ko:K15581	ecl:EcolC_2384
ko:K00791	ecl:EcolC_3842
ko:K10857	ecl:EcolC_1788
ko:K02342	ecl:EcolC_3450
ko:K03746	ecl:EcolC_2390
ko:K00382	ecl:EcolC_3543
ko:K01222	ecl:EcolC_1898
ko:K03573	ecl:EcolC_0884
ko:K02417	ecl:EcolC_1696
ko:K01141	ecl:EcolC_1629
ko:K03572	ecl:EcolC_3843
ko:K05515	ecl:EcolC_3010
ko:K02417	ecl:EcolC_3386
ko:K08298	ecl:EcolC_3617
ko:K03657	ecl:EcolC_4194
ko:K03587	ecl:EcolC_3573
ko:K18138	ecl:EcolC_3154
ko:K00242	ecl:EcolC_2933
ko:K00845	ecl:EcolC_1281
ko:K03563	ecl:EcolC_1016
ko:K01810	ecl:EcolC_4005
ko:K03631	ecl:EcolC_1068
ko:K18928	ecl:EcolC_3316
ko:K03168	ecl:EcolC_2354
ko:K02406	ecl:EcolC_1716
ko:K02420	ecl:EcolC_1693
ko:K02358	ecl:EcolC_0374
ko:K02358	ecl:EcolC_4045
ko:K03658	ecl:EcolC_2634
ko:K01673	ecl:EcolC_3533
ko:K01816	ecl:EcolC_3114
ko:K02361	ecl:EcolC_3051
ko:K01608	ecl:EcolC_3115
ko:K01483	ecl:EcolC_3117
ko:K03546	ecl:EcolC_3236
ko:K01657	ecl:EcolC_2363
ko:K08296	ecl:EcolC_1313
ko:K03722	ecl:EcolC_2844
ko:K03724	ecl:EcolC_1976
ko:K02470	ecl:EcolC_0004
ko:K01356	ecl:EcolC_3985
ko:K03723	ecl:EcolC_2487
ko:K02405	ecl:EcolC_1717
ko:K00790	ecl:EcolC_0511
ko:K02335	ecl:EcolC_4152
ko:K03701	ecl:EcolC_3969
ko:K03685	ecl:EcolC_1110
ko:K03702	ecl:EcolC_2864
ko:K03043	ecl:EcolC_4038
ko:K03046	ecl:EcolC_4037
ko:K18922	ecl:EcolC_3064
ko:K00244	ecl:EcolC_3856
ko:K00850	ecl:EcolC_4102
ko:K01448	ecl:EcolC_1244
ko:K03077	ecl:EcolC_3815
ko:K03604	ecl:EcolC_1971
ko:K07390	ecl:EcolC_1975
ko:K03683	ecl:EcolC_1977
ko:K01972	ecl:EcolC_1267
ko:K10680	ecl:EcolC_1979
ko:K06938	ecl:EcolC_1981
ko:K07638	ecl:EcolC_0309
ko:K04083	ecl:EcolC_0312
ko:K04762	ecl:EcolC_0313
ko:K08312	ecl:EcolC_0316
ko:K00891	ecl:EcolC_0323
ko:K01735	ecl:EcolC_0324
ko:K03112	ecl:EcolC_0325
ko:K01867	ecl:EcolC_0329
ko:K07048	ecl:EcolC_0334
ko:K02345	ecl:EcolC_1790
ko:K03629	ecl:EcolC_0003
ko:K07406	ecl:EcolC_3908
ko:K01524	ecl:EcolC_1174
ko:K06223	ecl:EcolC_0326
ko:K06866	ecl:EcolC_1098
ko:K11250	ecl:EcolC_1835
ko:K02769	ecl:EcolC_1481
ko:K02770	ecl:EcolC_1481
ko:K02773	ecl:EcolC_1640
ko:K02774	ecl:EcolC_1641
ko:K02775	ecl:EcolC_1647
ko:K01783	ecl:EcolC_1648
ko:K09891	ecl:EcolC_4026
ko:K01599	ecl:EcolC_4028
ko:K07740	ecl:EcolC_4030
ko:K03147	ecl:EcolC_4031
ko:K00788	ecl:EcolC_4032
ko:K03154	ecl:EcolC_4034
ko:K03149	ecl:EcolC_4035
ko:K03150	ecl:EcolC_4036
ko:K02935	ecl:EcolC_4039
ko:K02864	ecl:EcolC_4040
ko:K02863	ecl:EcolC_4041
ko:K02867	ecl:EcolC_4042
ko:K02601	ecl:EcolC_4043
ko:K03073	ecl:EcolC_4044
ko:K00867	ecl:EcolC_4046
ko:K06917	ecl:EcolC_3119
ko:K02003	ecl:EcolC_3121
ko:K05838	ecl:EcolC_3124
ko:K07340	ecl:EcolC_3128
ko:K01425	ecl:EcolC_3131
ko:K08223	ecl:EcolC_3137
ko:K03455	ecl:EcolC_3138
ko:K00892	ecl:EcolC_3139
ko:K01772	ecl:EcolC_3141
ko:K00606	ecl:EcolC_3525
ko:K01918	ecl:EcolC_3526
ko:K00797	ecl:EcolC_3538
ko:K01611	ecl:EcolC_3539
ko:K09910	ecl:EcolC_3540
ko:K03807	ecl:EcolC_3548
ko:K03806	ecl:EcolC_3549
ko:K00767	ecl:EcolC_3550
ko:K00364	ecl:EcolC_3554
ko:K09862	ecl:EcolC_3557
ko:K03531	ecl:EcolC_3562
ko:K03590	ecl:EcolC_3563
ko:K03589	ecl:EcolC_3564
ko:K01921	ecl:EcolC_3565
ko:K01924	ecl:EcolC_3566
ko:K01925	ecl:EcolC_3569
ko:K01000	ecl:EcolC_3570
ko:K01929	ecl:EcolC_3571
ko:K01928	ecl:EcolC_3572
ko:K03586	ecl:EcolC_3574
ko:K03327	ecl:EcolC_3984
ko:K00901	ecl:EcolC_3986
ko:K03181	ecl:EcolC_3989
ko:K05775	ecl:EcolC_3992
ko:K10111	ecl:EcolC_3994
ko:K10108	ecl:EcolC_3995
ko:K10109	ecl:EcolC_3996
ko:K10748	ecl:EcolC_2020
ko:K07639	ecl:EcolC_2021
ko:K07661	ecl:EcolC_2022
ko:K03758	ecl:EcolC_2025
ko:K01935	ecl:EcolC_2037
ko:K03281	ecl:EcolC_2038
ko:K08993	ecl:EcolC_0250
ko:K09812	ecl:EcolC_0253
ko:K09811	ecl:EcolC_0254
ko:K00278	ecl:EcolC_1103
ko:K02781	ecl:EcolC_1008
ko:K03089	ecl:EcolC_0255
ko:K01999	ecl:EcolC_0256
ko:K01999	ecl:EcolC_0258
ko:K01997	ecl:EcolC_0259
ko:K01998	ecl:EcolC_0260
ko:K01995	ecl:EcolC_0261
ko:K01996	ecl:EcolC_0262
ko:K05813	ecl:EcolC_0263
ko:K05814	ecl:EcolC_0264
ko:K05815	ecl:EcolC_0265
ko:K05816	ecl:EcolC_0266
ko:K01126	ecl:EcolC_0267
ko:K00681	ecl:EcolC_0269
ko:K00865	ecl:EcolC_0576
ko:K01754	ecl:EcolC_0581
ko:K00656	ecl:EcolC_0584
ko:K01752	ecl:EcolC_0586
ko:K01662	ecl:EcolC_3213
ko:K01095	ecl:EcolC_3215
ko:K00946	ecl:EcolC_3216
ko:K03625	ecl:EcolC_3217
ko:K00794	ecl:EcolC_3218
ko:K07738	ecl:EcolC_3220
ko:K05517	ecl:EcolC_3222
ko:K03074	ecl:EcolC_3224
ko:K03072	ecl:EcolC_3225
ko:K03210	ecl:EcolC_3226
ko:K00773	ecl:EcolC_3227
ko:K03424	ecl:EcolC_3678
ko:K02837	ecl:EcolC_3682
ko:K06903	ecl:EcolC_2764
ko:K06223	ecl:EcolC_2786
ko:K02457	ecl:EcolC_0384
ko:K02456	ecl:EcolC_0385
ko:K02454	ecl:EcolC_0387
ko:K02946	ecl:EcolC_0392
ko:K02906	ecl:EcolC_0393
ko:K02886	ecl:EcolC_0396
ko:K02965	ecl:EcolC_0397
ko:K02895	ecl:EcolC_0404
ko:K02954	ecl:EcolC_0406
ko:K02994	ecl:EcolC_0407
ko:K02933	ecl:EcolC_0408
ko:K02881	ecl:EcolC_0409
ko:K02988	ecl:EcolC_0410
ko:K02907	ecl:EcolC_0411
ko:K02876	ecl:EcolC_0412
ko:K02952	ecl:EcolC_0415
ko:K02879	ecl:EcolC_0419
ko:K09890	ecl:EcolC_0422
ko:K03282	ecl:EcolC_0423
ko:K03499	ecl:EcolC_0424
ko:K01462	ecl:EcolC_0427
ko:K04096	ecl:EcolC_0428
ko:K03747	ecl:EcolC_0429
ko:K07479	ecl:EcolC_0430
ko:K07566	ecl:EcolC_0431
ko:K00014	ecl:EcolC_0432
ko:K01439	ecl:EcolC_1205
ko:K01738	ecl:EcolC_1264
ko:K07184	ecl:EcolC_0644
ko:K02858	ecl:EcolC_0656
ko:K07238	ecl:EcolC_0658
ko:K09920	ecl:EcolC_0664
ko:K03651	ecl:EcolC_0665
ko:K07000	ecl:EcolC_0666
ko:K03923	ecl:EcolC_0669
ko:K08276	ecl:EcolC_1441
ko:K02193	ecl:EcolC_1449
ko:K01963	ecl:EcolC_1336
ko:K03609	ecl:EcolC_2450
ko:K03110	ecl:EcolC_0252
ko:K04564	ecl:EcolC_1973
ko:K11249	ecl:EcolC_1099
ko:K09980	ecl:EcolC_3832
ko:K06141	ecl:EcolC_0348
ko:K04095	ecl:EcolC_0351
ko:K00855	ecl:EcolC_0357
ko:K07019	ecl:EcolC_0359
ko:K06158	ecl:EcolC_0360
ko:K07070	ecl:EcolC_0363
ko:K03775	ecl:EcolC_0364
ko:K03745	ecl:EcolC_0365
ko:K03759	ecl:EcolC_3912
ko:K07283	ecl:EcolC_1910
ko:K02520	ecl:EcolC_1914
ko:K06073	ecl:EcolC_1920
ko:K00432	ecl:EcolC_1921
ko:K06074	ecl:EcolC_1922
ko:K10110	ecl:EcolC_3997
ko:K00928	ecl:EcolC_4006
ko:K06182	ecl:EcolC_4008
ko:K05995	ecl:EcolC_4009
ko:K00548	ecl:EcolC_4011
ko:K01637	ecl:EcolC_4015
ko:K01638	ecl:EcolC_4016
ko:K00651	ecl:EcolC_4017
ko:K01945	ecl:EcolC_4020
ko:K07709	ecl:EcolC_4022
ko:K00925	ecl:EcolC_1356
ko:K09899	ecl:EcolC_1357
ko:K09161	ecl:EcolC_1358
ko:K00330	ecl:EcolC_1364
ko:K00784	ecl:EcolC_1380
ko:K02348	ecl:EcolC_1381
ko:K07053	ecl:EcolC_2362
ko:K07275	ecl:EcolC_2371
ko:K10806	ecl:EcolC_2374
ko:K06181	ecl:EcolC_2468
ko:K00566	ecl:EcolC_2470
ko:K07153	ecl:EcolC_2471
ko:K11071	ecl:EcolC_2478
ko:K11070	ecl:EcolC_2479
ko:K11069	ecl:EcolC_2480
ko:K09808	ecl:EcolC_2483
ko:K09808	ecl:EcolC_2485
ko:K03885	ecl:EcolC_2492
ko:K07000	ecl:EcolC_2493
ko:K07337	ecl:EcolC_2496
ko:K03424	ecl:EcolC_2501
ko:K00943	ecl:EcolC_2503
ko:K07082	ecl:EcolC_2504
ko:K09458	ecl:EcolC_2506
ko:K02078	ecl:EcolC_2507
ko:K00645	ecl:EcolC_2509
ko:K00648	ecl:EcolC_2510
ko:K03621	ecl:EcolC_2511
ko:K03470	ecl:EcolC_3477
ko:K00677	ecl:EcolC_3479
ko:K02536	ecl:EcolC_3481
ko:K06142	ecl:EcolC_3482
ko:K07277	ecl:EcolC_3483
ko:K00981	ecl:EcolC_3485
ko:K00806	ecl:EcolC_3486
ko:K11191	ecl:EcolC_1250
ko:K11192	ecl:EcolC_1250
ko:K01580	ecl:EcolC_0200
ko:K00099	ecl:EcolC_3487
ko:K02838	ecl:EcolC_3488
ko:K09903	ecl:EcolC_3489
ko:K02357	ecl:EcolC_3490
ko:K02967	ecl:EcolC_3491
ko:K01265	ecl:EcolC_3492
ko:K00990	ecl:EcolC_3493
ko:K02647	ecl:EcolC_3497
ko:K01129	ecl:EcolC_3499
ko:K03281	ecl:EcolC_3504
ko:K01845	ecl:EcolC_3505
ko:K02015	ecl:EcolC_3506
ko:K02016	ecl:EcolC_3507
ko:K02013	ecl:EcolC_3508
ko:K02014	ecl:EcolC_3509
ko:K03579	ecl:EcolC_3511
ko:K01975	ecl:EcolC_3512
ko:K06206	ecl:EcolC_3513
ko:K06204	ecl:EcolC_3514
ko:K00950	ecl:EcolC_3517
ko:K03812	ecl:EcolC_2643
ko:K09857	ecl:EcolC_2644
ko:K06192	ecl:EcolC_2645
ko:K06162	ecl:EcolC_3931
ko:K05774	ecl:EcolC_3932
ko:K06167	ecl:EcolC_3934
ko:K10003	ecl:EcolC_2991
ko:K10002	ecl:EcolC_2992
ko:K10004	ecl:EcolC_2993
ko:K01869	ecl:EcolC_3003
ko:K03643	ecl:EcolC_3004
ko:K09710	ecl:EcolC_3008
ko:K00783	ecl:EcolC_3009
ko:K05837	ecl:EcolC_3011
ko:K03642	ecl:EcolC_3012
ko:K07258	ecl:EcolC_3013
ko:K09158	ecl:EcolC_3014
ko:K03801	ecl:EcolC_3015
ko:K06199	ecl:EcolC_3020
ko:K03704	ecl:EcolC_3021
ko:K03326	ecl:EcolC_3023
ko:K01910	ecl:EcolC_3026
ko:K05964	ecl:EcolC_3030
ko:K06140	ecl:EcolC_3034
ko:K03805	ecl:EcolC_3039
ko:K05516	ecl:EcolC_2595
ko:K07154	ecl:EcolC_2150
ko:K05804	ecl:EcolC_3660
ko:K03666	ecl:EcolC_3841
ko:K00230	ecl:EcolC_4160
ko:K08484	ecl:EcolC_0886
ko:K02548	ecl:EcolC_4088
ko:K01689	ecl:EcolC_0933
ko:K03599	ecl:EcolC_0477
ko:K02931	ecl:EcolC_0405
ko:K02878	ecl:EcolC_0400
ko:K02498	ecl:EcolC_4205
ko:K07636	ecl:EcolC_3233
ko:K03814	ecl:EcolC_0492
ko:K05808	ecl:EcolC_0497
ko:K06861	ecl:EcolC_0499
ko:K09774	ecl:EcolC_0500
ko:K03270	ecl:EcolC_0502
ko:K06041	ecl:EcolC_0503
ko:K07301	ecl:EcolC_0504
ko:K02065	ecl:EcolC_0505
ko:K02066	ecl:EcolC_0506
ko:K02067	ecl:EcolC_0507
ko:K07323	ecl:EcolC_0508
ko:K02523	ecl:EcolC_0513
ko:K07259	ecl:EcolC_0518
ko:K07574	ecl:EcolC_0520
ko:K02427	ecl:EcolC_0521
ko:K03798	ecl:EcolC_0522
ko:K00796	ecl:EcolC_0523
ko:K03075	ecl:EcolC_0525
ko:K01940	ecl:EcolC_0527
ko:K09748	ecl:EcolC_0528
ko:K00962	ecl:EcolC_0534
ko:K05803	ecl:EcolC_0535
ko:K05592	ecl:EcolC_0536
ko:K08303	ecl:EcolC_0540
ko:K03824	ecl:EcolC_0542
ko:K02356	ecl:EcolC_1476
ko:K06940	ecl:EcolC_1477
ko:K03291	ecl:EcolC_1478
ko:K01495	ecl:EcolC_1495
ko:K07148	ecl:EcolC_1496
ko:K10540	ecl:EcolC_1498
ko:K10542	ecl:EcolC_1499
ko:K06039	ecl:EcolC_2404
ko:K06197	ecl:EcolC_2406
ko:K07300	ecl:EcolC_2407
ko:K01627	ecl:EcolC_2411
ko:K02493	ecl:EcolC_2414
ko:K02835	ecl:EcolC_2415
ko:K02494	ecl:EcolC_2417
ko:K00919	ecl:EcolC_2418
ko:K00948	ecl:EcolC_2419
ko:K06942	ecl:EcolC_2423
ko:K03414	ecl:EcolC_1751
ko:K02401	ecl:EcolC_1752
ko:K03516	ecl:EcolC_1754
ko:K09907	ecl:EcolC_1757
ko:K07136	ecl:EcolC_1763
ko:K08310	ecl:EcolC_1767
ko:K09816	ecl:EcolC_1773
ko:K09817	ecl:EcolC_1774
ko:K09815	ecl:EcolC_1775
ko:K02560	ecl:EcolC_1777
ko:K00873	ecl:EcolC_1778
ko:K00036	ecl:EcolC_1780
ko:K01690	ecl:EcolC_1781
ko:K08289	ecl:EcolC_1783
ko:K09918	ecl:EcolC_1784
ko:K01354	ecl:EcolC_1787
ko:K07156	ecl:EcolC_1791
ko:K07313	ecl:EcolC_1794
ko:K09913	ecl:EcolC_3241
ko:K00891	ecl:EcolC_3244
ko:K09768	ecl:EcolC_3245
ko:K00286	ecl:EcolC_3246
ko:K01921	ecl:EcolC_3251
ko:K01698	ecl:EcolC_3259
ko:K09912	ecl:EcolC_3271
ko:K01666	ecl:EcolC_3273
ko:K03449	ecl:EcolC_3284
ko:K01725	ecl:EcolC_3285
ko:K01305	ecl:EcolC_3736
ko:K01686	ecl:EcolC_3742
ko:K06915	ecl:EcolC_3749
ko:K07091	ecl:EcolC_3751
ko:K01873	ecl:EcolC_3754
ko:K03828	ecl:EcolC_3756
ko:K09893	ecl:EcolC_3757
ko:K03319	ecl:EcolC_2892
ko:K02018	ecl:EcolC_2898
ko:K02020	ecl:EcolC_2899
ko:K02019	ecl:EcolC_2901
ko:K05776	ecl:EcolC_2902
ko:K00849	ecl:EcolC_2905
ko:K05966	ecl:EcolC_3031
ko:K02194	ecl:EcolC_1450
ko:K02195	ecl:EcolC_1451
ko:K02196	ecl:EcolC_1452
ko:K02197	ecl:EcolC_1453
ko:K02198	ecl:EcolC_1454
ko:K02199	ecl:EcolC_1455
ko:K02200	ecl:EcolC_1456
ko:K07685	ecl:EcolC_1457
ko:K07014	ecl:EcolC_1459
ko:K09904	ecl:EcolC_1460
ko:K06899	ecl:EcolC_1461
ko:K02897	ecl:EcolC_1462
ko:K07552	ecl:EcolC_1465
ko:K06872	ecl:EcolC_0934
ko:K00313	ecl:EcolC_0946
ko:K01737	ecl:EcolC_0947
ko:K00381	ecl:EcolC_0949
ko:K00860	ecl:EcolC_0962
ko:K03623	ecl:EcolC_0467
ko:K03402	ecl:EcolC_0469
ko:K09908	ecl:EcolC_0473
ko:K03600	ecl:EcolC_0478
ko:K03326	ecl:EcolC_0479
ko:K03290	ecl:EcolC_0482
ko:K01788	ecl:EcolC_0483
ko:K07139	ecl:EcolC_0489
ko:K07320	ecl:EcolC_1322
ko:K01736	ecl:EcolC_1323
ko:K07261	ecl:EcolC_1324
ko:K09906	ecl:EcolC_1326
ko:K03473	ecl:EcolC_1332
ko:K03975	ecl:EcolC_1335
ko:K03749	ecl:EcolC_1338
ko:K03558	ecl:EcolC_1339
ko:K00764	ecl:EcolC_1340
ko:K10014	ecl:EcolC_1343
ko:K10016	ecl:EcolC_1344
ko:K10015	ecl:EcolC_1345
ko:K10017	ecl:EcolC_1346
ko:K07071	ecl:EcolC_1348
ko:K07589	ecl:EcolC_1349
ko:K07095	ecl:EcolC_1352
ko:K03721	ecl:EcolC_2302
ko:K08990	ecl:EcolC_2303
ko:K06918	ecl:EcolC_2304
ko:K10112	ecl:EcolC_2307
ko:K02026	ecl:EcolC_2313
ko:K02025	ecl:EcolC_2314
ko:K03969	ecl:EcolC_2321
ko:K03974	ecl:EcolC_2322
ko:K09471	ecl:EcolC_2324
ko:K09472	ecl:EcolC_2325
ko:K00208	ecl:EcolC_2337
ko:K04062	ecl:EcolC_2343
ko:K01591	ecl:EcolC_2345
ko:K02168	ecl:EcolC_0734
ko:K09916	ecl:EcolC_1855
ko:K08369	ecl:EcolC_1857
ko:K00874	ecl:EcolC_0191
ko:K07290	ecl:EcolC_0193
ko:K07058	ecl:EcolC_0195
ko:K01194	ecl:EcolC_0198
ko:K00428	ecl:EcolC_0199
ko:K07507	ecl:EcolC_0209
ko:K07285	ecl:EcolC_0211
ko:K03893	ecl:EcolC_0214
ko:K00383	ecl:EcolC_0216
ko:K07115	ecl:EcolC_0217
ko:K01414	ecl:EcolC_0218
ko:K03305	ecl:EcolC_0220
ko:K06144	ecl:EcolC_0222
ko:K07007	ecl:EcolC_0224
ko:K07722	ecl:EcolC_0235
ko:K02387	ecl:EcolC_3371
ko:K02386	ecl:EcolC_3372
ko:K02399	ecl:EcolC_3374
ko:K02410	ecl:EcolC_3381
ko:K02408	ecl:EcolC_3383
ko:K02416	ecl:EcolC_3385
ko:K02419	ecl:EcolC_3387
ko:K02420	ecl:EcolC_3388
ko:K02421	ecl:EcolC_3389
ko:K02400	ecl:EcolC_3391
ko:K03271	ecl:EcolC_3398
ko:K06445	ecl:EcolC_3399
ko:K07156	ecl:EcolC_3414
ko:K07233	ecl:EcolC_3415
ko:K07798	ecl:EcolC_3423
ko:K08989	ecl:EcolC_3829
ko:K03218	ecl:EcolC_3833
ko:K09937	ecl:EcolC_3837
ko:K04087	ecl:EcolC_3838
ko:K04088	ecl:EcolC_3839
ko:K06925	ecl:EcolC_3845
ko:K06949	ecl:EcolC_3849
ko:K01613	ecl:EcolC_3850
ko:K00246	ecl:EcolC_3858
ko:K03098	ecl:EcolC_3861
ko:K04078	ecl:EcolC_3870
ko:K07113	ecl:EcolC_3872
ko:K03926	ecl:EcolC_3875
ko:K01647	ecl:EcolC_2935
ko:K11179	ecl:EcolC_2627
ko:K01512	ecl:EcolC_2628
ko:K06969	ecl:EcolC_2629
ko:K06929	ecl:EcolC_2631
ko:K09909	ecl:EcolC_2632
ko:K02112	ecl:EcolC_4262
ko:K07119	ecl:EcolC_2210
ko:K03823	ecl:EcolC_2211
ko:K09936	ecl:EcolC_2212
ko:K05782	ecl:EcolC_2226
ko:K09972	ecl:EcolC_0435
ko:K09971	ecl:EcolC_0436
ko:K09970	ecl:EcolC_0437
ko:K09969	ecl:EcolC_0438
ko:K06911	ecl:EcolC_0590
ko:K07393	ecl:EcolC_0594
ko:K09933	ecl:EcolC_1670
ko:K07147	ecl:EcolC_1674
ko:K07127	ecl:EcolC_1675
ko:K05523	ecl:EcolC_1678
ko:K04080	ecl:EcolC_0016
ko:K04081	ecl:EcolC_0017
ko:K07085	ecl:EcolC_0018
ko:K00389	ecl:EcolC_0024
ko:K06871	ecl:EcolC_0026
ko:K01653	ecl:EcolC_0029
ko:K07783	ecl:EcolC_0032
ko:K07784	ecl:EcolC_0033
ko:K01486	ecl:EcolC_0034
ko:K06901	ecl:EcolC_0035
ko:K02073	ecl:EcolC_0039
ko:K00939	ecl:EcolC_3142
ko:K04079	ecl:EcolC_3143
ko:K09747	ecl:EcolC_3145
ko:K00759	ecl:EcolC_3147
ko:K09790	ecl:EcolC_3148
ko:K03577	ecl:EcolC_3152
ko:K05839	ecl:EcolC_3156
ko:K07443	ecl:EcolC_3161
ko:K09914	ecl:EcolC_3162
ko:K10805	ecl:EcolC_3163
ko:K03320	ecl:EcolC_3164
ko:K04752	ecl:EcolC_3165
ko:K05800	ecl:EcolC_3168
ko:K00075	ecl:EcolC_4048
ko:K01776	ecl:EcolC_4049
ko:K00322	ecl:EcolC_4054
ko:K04761	ecl:EcolC_4055
ko:K04069	ecl:EcolC_4064
ko:K00656	ecl:EcolC_4065
ko:K03435	ecl:EcolC_3577
ko:K01653	ecl:EcolC_3579
ko:K03809	ecl:EcolC_2591
ko:K07811	ecl:EcolC_2598
ko:K03532	ecl:EcolC_2599
ko:K03704	ecl:EcolC_2607
ko:K03704	ecl:EcolC_2608
ko:K01991	ecl:EcolC_2613
ko:K00426	ecl:EcolC_2617
ko:K03618	ecl:EcolC_2619
ko:K03619	ecl:EcolC_2620
ko:K03620	ecl:EcolC_2622
ko:K06282	ecl:EcolC_2625
ko:K05589	ecl:EcolC_0964
ko:K00991	ecl:EcolC_0965
ko:K01770	ecl:EcolC_0966
ko:K06176	ecl:EcolC_0967
ko:K00573	ecl:EcolC_0969
ko:K06194	ecl:EcolC_0970
ko:K03299	ecl:EcolC_0972
ko:K00697	ecl:EcolC_1738
ko:K02403	ecl:EcolC_1740
ko:K02402	ecl:EcolC_1741
ko:K02556	ecl:EcolC_1742
ko:K03407	ecl:EcolC_1744
ko:K03182	ecl:EcolC_4167
ko:K05785	ecl:EcolC_4168
ko:K03424	ecl:EcolC_4169
ko:K03118	ecl:EcolC_4170
