ko:K18893	babr:DO74_372
ko:K03579	babr:DO74_1731
ko:K06601	babr:DO74_2513
ko:K02389	babr:DO74_2514
ko:K02420	babr:DO74_2515
ko:K02400	babr:DO74_2516
ko:K02400	babr:DO74_2517
ko:K02421	babr:DO74_2518
ko:K09823	babr:DO74_2524
ko:K09816	babr:DO74_2525
ko:K09817	babr:DO74_2526
ko:K09815	babr:DO74_2527
ko:K18676	babr:DO74_2530
ko:K03777	babr:DO74_2538
ko:K01628	babr:DO74_2541
ko:K01845	babr:DO74_2543
ko:K11078	babr:DO74_2547
ko:K01426	babr:DO74_2549
ko:K02034	babr:DO74_2553
ko:K02033	babr:DO74_2554
ko:K02035	babr:DO74_2555
ko:K02034	babr:DO74_2559
ko:K02033	babr:DO74_2560
ko:K02035	babr:DO74_2561
ko:K01434	babr:DO74_2562
ko:K06446	babr:DO74_2563
ko:K00074	babr:DO74_2565
ko:K03769	babr:DO74_5
ko:K00620	babr:DO74_6
ko:K03574	babr:DO74_8
ko:K01069	babr:DO74_11
ko:K06190	babr:DO74_12
ko:K03110	babr:DO74_13
ko:K18707	babr:DO74_14
ko:K01778	babr:DO74_15
ko:K06916	babr:DO74_17
ko:K00024	babr:DO74_18
ko:K01903	babr:DO74_19
ko:K01902	babr:DO74_20
ko:K00164	babr:DO74_21
ko:K00658	babr:DO74_22
ko:K00382	babr:DO74_26
ko:K09973	babr:DO74_27
ko:K03733	babr:DO74_28
ko:K02860	babr:DO74_29
ko:K00554	babr:DO74_30
ko:K07090	babr:DO74_35
ko:K02884	babr:DO74_38
ko:K01703	babr:DO74_39
ko:K00241	babr:DO74_41
ko:K00242	babr:DO74_42
ko:K00239	babr:DO74_43
ko:K00240	babr:DO74_44
ko:K03185	babr:DO74_46
ko:K10805	babr:DO74_47
ko:K03320	babr:DO74_48
ko:K03466	babr:DO74_49
ko:K09780	babr:DO74_54
ko:K00057	babr:DO74_55
ko:K01409	babr:DO74_56
ko:K01749	babr:DO74_57
ko:K07258	babr:DO74_891
ko:K03642	babr:DO74_892
ko:K00537	babr:DO74_893
ko:K00773	babr:DO74_906
ko:K09803	babr:DO74_907
ko:K16079	babr:DO74_910
ko:K16079	babr:DO74_911
ko:K01676	babr:DO74_926
ko:K03639	babr:DO74_929
ko:K03752	babr:DO74_930
ko:K03753	babr:DO74_931
ko:K02030	babr:DO74_932
ko:K06076	babr:DO74_936
ko:K01873	babr:DO74_938
ko:K09991	babr:DO74_939
ko:K12340	babr:DO74_940
ko:K00573	babr:DO74_941
ko:K07213	babr:DO74_942
ko:K13628	babr:DO74_944
ko:K00858	babr:DO74_946
ko:K00121	babr:DO74_1735
ko:K02348	babr:DO74_1736
ko:K01070	babr:DO74_1739
ko:K02470	babr:DO74_1740
ko:K05592	babr:DO74_1741
ko:K03684	babr:DO74_1744
ko:K16079	babr:DO74_1745
ko:K16079	babr:DO74_1746
ko:K00847	babr:DO74_1749
ko:K00763	babr:DO74_1752
ko:K13688	babr:DO74_1753
ko:K02045	babr:DO74_1754
ko:K02047	babr:DO74_1755
ko:K02046	babr:DO74_1756
ko:K02048	babr:DO74_1757
ko:K01687	babr:DO74_1765
ko:K02199	babr:DO74_1766
ko:K02196	babr:DO74_1767
ko:K02195	babr:DO74_1768
ko:K02194	babr:DO74_1769
ko:K02193	babr:DO74_1770
ko:K01681	babr:DO74_1771
ko:K03823	babr:DO74_1774
ko:K03823	babr:DO74_1775
ko:K06890	babr:DO74_1776
ko:K02004	babr:DO74_1777
ko:K02003	babr:DO74_1778
ko:K10804	babr:DO74_1779
ko:K01975	babr:DO74_1781
ko:K01104	babr:DO74_1780
ko:K01724	babr:DO74_1783
ko:K06941	babr:DO74_1787
ko:K11381	babr:DO74_2567
ko:K02035	babr:DO74_2568
ko:K00627	babr:DO74_2569
ko:K02033	babr:DO74_2571
ko:K02034	babr:DO74_2572
ko:K00135	babr:DO74_2576
ko:K07304	babr:DO74_2581
ko:K03745	babr:DO74_2582
ko:K00761	babr:DO74_2583
ko:K03183	babr:DO74_2585
ko:K03688	babr:DO74_2586
ko:K13038	babr:DO74_2587
ko:K02837	babr:DO74_2588
ko:K06131	babr:DO74_2590
ko:K00154	babr:DO74_2592
ko:K04719	babr:DO74_2595
ko:K01834	babr:DO74_2598
ko:K00215	babr:DO74_2599
ko:K06147	babr:DO74_2600
ko:K00845	babr:DO74_2601
ko:K01734	babr:DO74_2602
ko:K07261	babr:DO74_2603
ko:K00799	babr:DO74_2606
ko:K06153	babr:DO74_2607
ko:K00329	babr:DO74_2608
ko:K00356	babr:DO74_2608
ko:K03596	babr:DO74_2609
ko:K07461	babr:DO74_2610
ko:K07401	babr:DO74_2611
ko:K09760	babr:DO74_2612
ko:K01462	babr:DO74_2613
ko:K00604	babr:DO74_2614
ko:K06173	babr:DO74_2615
ko:K01439	babr:DO74_2617
ko:K06206	babr:DO74_614
ko:K09956	babr:DO74_615
ko:K14261	babr:DO74_620
ko:K00003	babr:DO74_621
ko:K11532	babr:DO74_622
ko:K01921	babr:DO74_623
ko:K07462	babr:DO74_624
ko:K01759	babr:DO74_627
ko:K03704	babr:DO74_628
ko:K09005	babr:DO74_629
ko:K00640	babr:DO74_631
ko:K03218	babr:DO74_639
ko:K02358	babr:DO74_642
ko:K03073	babr:DO74_644
ko:K02601	babr:DO74_645
ko:K02867	babr:DO74_646
ko:K02863	babr:DO74_647
ko:K02864	babr:DO74_648
ko:K02935	babr:DO74_649
ko:K03043	babr:DO74_650
ko:K03046	babr:DO74_651
ko:K02950	babr:DO74_653
ko:K02992	babr:DO74_654
ko:K02355	babr:DO74_655
ko:K02358	babr:DO74_656
ko:K02946	babr:DO74_657
ko:K02906	babr:DO74_658
ko:K02926	babr:DO74_659
ko:K02892	babr:DO74_660
ko:K02886	babr:DO74_661
ko:K02965	babr:DO74_662
ko:K02890	babr:DO74_663
ko:K02982	babr:DO74_664
ko:K02878	babr:DO74_665
ko:K02904	babr:DO74_666
ko:K02961	babr:DO74_667
ko:K02874	babr:DO74_668
ko:K02895	babr:DO74_669
ko:K02931	babr:DO74_670
ko:K02954	babr:DO74_671
ko:K02994	babr:DO74_672
ko:K10778	babr:DO74_1474
ko:K00404	babr:DO74_1479
ko:K00405	babr:DO74_1480
ko:K00407	babr:DO74_1481
ko:K00406	babr:DO74_1482
ko:K01533	babr:DO74_1485
ko:K01487	babr:DO74_1488
ko:K07402	babr:DO74_1491
ko:K13482	babr:DO74_1492
ko:K13481	babr:DO74_1493
ko:K14977	babr:DO74_1496
ko:K02480	babr:DO74_1501
ko:K03327	babr:DO74_1503
ko:K13747	babr:DO74_1507
ko:K00528	babr:DO74_1509
ko:K00606	babr:DO74_1510
ko:K01918	babr:DO74_1511
ko:K06518	babr:DO74_1514
ko:K00643	babr:DO74_1520
ko:K03282	babr:DO74_1521
ko:K01259	babr:DO74_1524
ko:K02412	babr:DO74_2317
ko:K02391	babr:DO74_2318
ko:K02556	babr:DO74_2320
ko:K02416	babr:DO74_2321
ko:K02416	babr:DO74_2322
ko:K02417	babr:DO74_2325
ko:K02410	babr:DO74_2327
ko:K02401	babr:DO74_2328
ko:K03543	babr:DO74_2332
ko:K02055	babr:DO74_2335
ko:K02054	babr:DO74_2336
ko:K02053	babr:DO74_2337
ko:K02052	babr:DO74_2338
ko:K00033	babr:DO74_2339
ko:K01581	babr:DO74_2349
ko:K01426	babr:DO74_2350
ko:K02051	babr:DO74_3145
ko:K02049	babr:DO74_3146
ko:K02050	babr:DO74_3147
ko:K01990	babr:DO74_3150
ko:K01990	babr:DO74_3151
ko:K01993	babr:DO74_3152
ko:K07112	babr:DO74_3156
ko:K07112	babr:DO74_3157
ko:K09781	babr:DO74_3159
ko:K01462	babr:DO74_3160
ko:K00058	babr:DO74_3161
ko:K01895	babr:DO74_3163
ko:K01895	babr:DO74_3164
ko:K00626	babr:DO74_3166
ko:K07305	babr:DO74_3168
ko:K08224	babr:DO74_3170
ko:K00864	babr:DO74_3172
ko:K01991	babr:DO74_3176
ko:K17948	babr:DO74_3181
ko:K02035	babr:DO74_3184
ko:K01719	babr:DO74_58
ko:K02498	babr:DO74_60
ko:K00568	babr:DO74_69
ko:K00928	babr:DO74_71
ko:K08484	babr:DO74_72
ko:K02835	babr:DO74_73
ko:K02493	babr:DO74_74
ko:K03695	babr:DO74_76
ko:K02888	babr:DO74_92
ko:K02899	babr:DO74_93
ko:K03979	babr:DO74_97
ko:K00931	babr:DO74_98
ko:K00147	babr:DO74_99
ko:K00969	babr:DO74_100
ko:K09710	babr:DO74_101
ko:K00783	babr:DO74_102
ko:K03797	babr:DO74_105
ko:K08311	babr:DO74_106
ko:K00140	babr:DO74_110
ko:K00868	babr:DO74_112
ko:K01673	babr:DO74_113
ko:K03106	babr:DO74_115
ko:K04092	babr:DO74_116
ko:K02959	babr:DO74_117
ko:K11717	babr:DO74_950
ko:K09015	babr:DO74_951
ko:K09013	babr:DO74_952
ko:K09014	babr:DO74_953
ko:K04487	babr:DO74_954
ko:K07018	babr:DO74_955
ko:K09001	babr:DO74_956
ko:K01866	babr:DO74_958
ko:K03564	babr:DO74_960
ko:K02836	babr:DO74_965
ko:K05366	babr:DO74_966
ko:K01448	babr:DO74_967
ko:K08300	babr:DO74_968
ko:K03786	babr:DO74_972
ko:K02160	babr:DO74_973
ko:K01961	babr:DO74_974
ko:K00684	babr:DO74_975
ko:K02434	babr:DO74_979
ko:K03545	babr:DO74_980
ko:K04094	babr:DO74_985
ko:K02291	babr:DO74_986
ko:K12257	babr:DO74_988
ko:K03210	babr:DO74_989
ko:K06923	babr:DO74_990
ko:K00573	babr:DO74_992
ko:K03787	babr:DO74_993
ko:K01875	babr:DO74_994
ko:K03118	babr:DO74_995
ko:K03117	babr:DO74_996
ko:K03116	babr:DO74_997
ko:K06024	babr:DO74_998
ko:K05896	babr:DO74_999
ko:K01207	babr:DO74_1000
ko:K01940	babr:DO74_1790
ko:K14160	babr:DO74_1793
ko:K14161	babr:DO74_1794
ko:K14162	babr:DO74_1795
ko:K11068	babr:DO74_1796
ko:K16165	babr:DO74_1801
ko:K06889	babr:DO74_1803
ko:K01835	babr:DO74_1805
ko:K03593	babr:DO74_1806
ko:K01759	babr:DO74_1807
ko:K09800	babr:DO74_1813
ko:K07278	babr:DO74_1814
ko:K02300	babr:DO74_1816
ko:K02299	babr:DO74_1817
ko:K02298	babr:DO74_1818
ko:K02298	babr:DO74_1819
ko:K02297	babr:DO74_1820
ko:K08738	babr:DO74_1822
ko:K00979	babr:DO74_1823
ko:K04518	babr:DO74_1824
ko:K03426	babr:DO74_1825
ko:K02343	babr:DO74_1827
ko:K09747	babr:DO74_1828
ko:K06187	babr:DO74_1829
ko:K02945	babr:DO74_1833
ko:K00945	babr:DO74_1834
ko:K00800	babr:DO74_1835
ko:K00674	babr:DO74_2620
ko:K06966	babr:DO74_2621
ko:K07025	babr:DO74_2622
ko:K00930	babr:DO74_2623
ko:K03978	babr:DO74_2624
ko:K03217	babr:DO74_2625
ko:K03536	babr:DO74_2626
ko:K08169	babr:DO74_2631
ko:K00128	babr:DO74_2633
ko:K00059	babr:DO74_2634
ko:K02035	babr:DO74_2635
ko:K02033	babr:DO74_2636
ko:K02034	babr:DO74_2637
ko:K02433	babr:DO74_2640
ko:K02433	babr:DO74_2641
ko:K02342	babr:DO74_2642
ko:K15736	babr:DO74_2643
ko:K00799	babr:DO74_2648
ko:K02014	babr:DO74_2651
ko:K10439	babr:DO74_2654
ko:K10441	babr:DO74_2655
ko:K10440	babr:DO74_2656
ko:K10440	babr:DO74_2657
ko:K17247	babr:DO74_2659
ko:K06999	babr:DO74_2661
ko:K01470	babr:DO74_2664
ko:K07010	babr:DO74_2669
ko:K02033	babr:DO74_3185
ko:K02034	babr:DO74_3186
ko:K01714	babr:DO74_3187
ko:K02933	babr:DO74_673
ko:K02881	babr:DO74_674
ko:K02988	babr:DO74_675
ko:K02907	babr:DO74_676
ko:K02876	babr:DO74_677
ko:K03076	babr:DO74_678
ko:K00939	babr:DO74_679
ko:K02952	babr:DO74_680
ko:K02948	babr:DO74_681
ko:K03040	babr:DO74_682
ko:K02879	babr:DO74_683
ko:K07478	babr:DO74_685
ko:K01872	babr:DO74_689
ko:K01077	babr:DO74_690
ko:K00031	babr:DO74_691
ko:K05520	babr:DO74_693
ko:K02533	babr:DO74_694
ko:K01776	babr:DO74_695
ko:K07080	babr:DO74_696
ko:K01847	babr:DO74_699
ko:K01965	babr:DO74_700
ko:K01965	babr:DO74_701
ko:K01966	babr:DO74_702
ko:K09457	babr:DO74_706
ko:K01752	babr:DO74_713
ko:K06891	babr:DO74_717
ko:K03694	babr:DO74_718
ko:K02503	babr:DO74_719
ko:K09919	babr:DO74_720
ko:K02967	babr:DO74_725
ko:K02357	babr:DO74_726
ko:K09903	babr:DO74_727
ko:K02838	babr:DO74_728
ko:K00254	babr:DO74_1527
ko:K01494	babr:DO74_1532
ko:K10764	babr:DO74_1533
ko:K06195	babr:DO74_1534
ko:K04083	babr:DO74_1535
ko:K13583	babr:DO74_1538
ko:K07636	babr:DO74_1539
ko:K02030	babr:DO74_1542
ko:K18138	babr:DO74_1544
ko:K03585	babr:DO74_1545
ko:K03577	babr:DO74_1546
ko:K01897	babr:DO74_1547
ko:K01091	babr:DO74_1548
ko:K06987	babr:DO74_1550
ko:K01810	babr:DO74_1551
ko:K17723	babr:DO74_1555
ko:K06016	babr:DO74_1557
ko:K01464	babr:DO74_1558
ko:K03189	babr:DO74_1564
ko:K03188	babr:DO74_1565
ko:K03187	babr:DO74_1566
ko:K01428	babr:DO74_1567
ko:K01429	babr:DO74_1568
ko:K01430	babr:DO74_1570
ko:K03190	babr:DO74_1571
ko:K02017	babr:DO74_2357
ko:K02018	babr:DO74_2358
ko:K02020	babr:DO74_2359
ko:K07146	babr:DO74_2360
ko:K01625	babr:DO74_2362
ko:K08602	babr:DO74_2365
ko:K01665	babr:DO74_2366
ko:K02619	babr:DO74_2367
ko:K00808	babr:DO74_2368
ko:K01772	babr:DO74_2370
ko:K07340	babr:DO74_2372
ko:K00963	babr:DO74_2375
ko:K08305	babr:DO74_2376
ko:K08305	babr:DO74_2377
ko:K09795	babr:DO74_2390
ko:K11737	babr:DO74_2391
ko:K00266	babr:DO74_2392
ko:K00265	babr:DO74_2393
ko:K01620	babr:DO74_2394
ko:K04080	babr:DO74_2395
ko:K01048	babr:DO74_2397
ko:K13589	babr:DO74_2400
ko:K07507	babr:DO74_2404
ko:K01531	babr:DO74_2407
ko:K00014	babr:DO74_2408
ko:K03744	babr:DO74_118
ko:K06872	babr:DO74_119
ko:K08988	babr:DO74_120
ko:K15371	babr:DO74_121
ko:K06902	babr:DO74_122
ko:K00602	babr:DO74_123
ko:K03500	babr:DO74_125
ko:K03799	babr:DO74_126
ko:K01895	babr:DO74_128
ko:K06997	babr:DO74_131
ko:K01869	babr:DO74_132
ko:K03643	babr:DO74_133
ko:K00616	babr:DO74_134
ko:K04066	babr:DO74_135
ko:K02113	babr:DO74_137
ko:K02111	babr:DO74_138
ko:K02115	babr:DO74_139
ko:K02112	babr:DO74_140
ko:K02114	babr:DO74_141
ko:K06075	babr:DO74_142
ko:K00285	babr:DO74_144
ko:K12658	babr:DO74_145
ko:K01997	babr:DO74_146
ko:K01998	babr:DO74_147
ko:K01995	babr:DO74_148
ko:K01996	babr:DO74_149
ko:K01999	babr:DO74_151
ko:K01999	babr:DO74_153
ko:K01958	babr:DO74_154
ko:K00019	babr:DO74_156
ko:K00795	babr:DO74_158
ko:K03814	babr:DO74_159
ko:K02911	babr:DO74_160
ko:K00626	babr:DO74_162
ko:K17675	babr:DO74_163
ko:K04762	babr:DO74_164
ko:K05524	babr:DO74_165
ko:K07736	babr:DO74_166
ko:K03089	babr:DO74_167
ko:K02062	babr:DO74_170
ko:K02063	babr:DO74_171
ko:K01887	babr:DO74_1002
ko:K01129	babr:DO74_1003
ko:K01142	babr:DO74_1006
ko:K07126	babr:DO74_1007
ko:K05800	babr:DO74_1010
ko:K00768	babr:DO74_1011
ko:K02233	babr:DO74_1012
ko:K06985	babr:DO74_1014
ko:K05539	babr:DO74_1013
ko:K02030	babr:DO74_1015
ko:K06162	babr:DO74_1016
ko:K00874	babr:DO74_1020
ko:K01785	babr:DO74_1019
ko:K09458	babr:DO74_1023
ko:K09458	babr:DO74_1024
ko:K02517	babr:DO74_1026
ko:K01783	babr:DO74_1027
ko:K01756	babr:DO74_1028
ko:K07104	babr:DO74_1029
ko:K07002	babr:DO74_1030
ko:K02510	babr:DO74_1031
ko:K01923	babr:DO74_1033
ko:K01952	babr:DO74_1034
ko:K01952	babr:DO74_1035
ko:K01952	babr:DO74_1038
ko:K07390	babr:DO74_1040
ko:K07552	babr:DO74_1041
ko:K14058	babr:DO74_1044
ko:K02986	babr:DO74_1045
ko:K02337	babr:DO74_1049
ko:K09810	babr:DO74_1050
