ko:K03722	ecok:ECMDS42_1482
ko:K14221	ecok:ECMDS42_3198
ko:K14221	ecok:ECMDS42_0204
ko:K14234	ecok:ECMDS42_0233
ko:K01983	ecok:ECMDS42_0354
ko:K14219	ecok:ECMDS42_0431
ko:K14223	ecok:ECMDS42_0523
ko:K14223	ecok:ECMDS42_0524
ko:K14230	ecok:ECMDS42_0525
ko:K14230	ecok:ECMDS42_0529
ko:K14223	ecok:ECMDS42_0526
ko:K14223	ecok:ECMDS42_0527
ko:K18842	ecok:ECMDS42_3666
ko:K00370	ecok:ECMDS42_1180
ko:K01139	ecok:ECMDS42_3084
ko:K07274	ecok:ECMDS42_3021
ko:K19234	ecok:ECMDS42_1349
ko:K19230	ecok:ECMDS42_1088
ko:K18831	ecok:ECMDS42_2551
ko:K00537	ecok:ECMDS42_2038
ko:K07012	ecok:ECMDS42_2266
ko:K05714	ecok:ECMDS42_0271
ko:K08279	ecok:ECMDS42_0028
ko:K00087	ecok:ECMDS42_2366
ko:K11745	ecok:ECMDS42_0040
ko:K11748	ecok:ECMDS42_2798
ko:K04753	ecok:ECMDS42_2492
ko:K02485	ecok:ECMDS42_1029
ko:K09472	ecok:ECMDS42_1098
ko:K13053	ecok:ECMDS42_0810
ko:K04771	ecok:ECMDS42_0148
ko:K10014	ecok:ECMDS42_1880
ko:K04772	ecok:ECMDS42_2698
ko:K01096	ecok:ECMDS42_1076
ko:K04065	ecok:ECMDS42_3732
ko:K03605	ecok:ECMDS42_0827
ko:K03973	ecok:ECMDS42_1104
ko:K07273	ecok:ECMDS42_1668
ko:K08172	ecok:ECMDS42_1609
ko:K03445	ecok:ECMDS42_3097
ko:K01035	ecok:ECMDS42_1790
ko:K04028	ecok:ECMDS42_1998
ko:K03077	ecok:ECMDS42_3640
ko:K07662	ecok:ECMDS42_3351
ko:K07645	ecok:ECMDS42_2501
ko:K00557	ecok:ECMDS42_3403
ko:K15773	ecok:ECMDS42_1219
ko:K01190	ecok:ECMDS42_0266
ko:K03719	ecok:ECMDS42_0741
ko:K07713	ecok:ECMDS42_3442
ko:K08351	ecok:ECMDS42_2988
ko:K08194	ecok:ECMDS42_3127
ko:K00879	ecok:ECMDS42_2308
ko:K18141	ecok:ECMDS42_2727
ko:K11645	ecok:ECMDS42_1663
ko:K19235	ecok:ECMDS42_0670
ko:K09900	ecok:ECMDS42_2399
ko:K01223	ecok:ECMDS42_2400
ko:K00281	ecok:ECMDS42_2402
ko:K02437	ecok:ECMDS42_2403
ko:K10124	ecok:ECMDS42_3157
ko:K01223	ecok:ECMDS42_3158
ko:K02039	ecok:ECMDS42_3161
ko:K02036	ecok:ECMDS42_3162
ko:K02038	ecok:ECMDS42_3163
ko:K02037	ecok:ECMDS42_3164
ko:K02040	ecok:ECMDS42_3165
ko:K00820	ecok:ECMDS42_3166
ko:K04042	ecok:ECMDS42_3167
ko:K02114	ecok:ECMDS42_3168
ko:K02112	ecok:ECMDS42_3169
ko:K02115	ecok:ECMDS42_3170
ko:K02111	ecok:ECMDS42_3171
ko:K02113	ecok:ECMDS42_3172
ko:K02109	ecok:ECMDS42_3173
ko:K02110	ecok:ECMDS42_3174
ko:K02108	ecok:ECMDS42_3175
ko:K03501	ecok:ECMDS42_3177
ko:K03495	ecok:ECMDS42_3178
ko:K06205	ecok:ECMDS42_3180
ko:K01914	ecok:ECMDS42_3182
ko:K03924	ecok:ECMDS42_3184
ko:K03549	ecok:ECMDS42_3185
ko:K06726	ecok:ECMDS42_3186
ko:K10441	ecok:ECMDS42_3187
ko:K02529	ecok:ECMDS42_3191
ko:K09897	ecok:ECMDS42_3201
ko:K07391	ecok:ECMDS42_3202
ko:K01070	ecok:ECMDS42_0277
ko:K01698	ecok:ECMDS42_0280
ko:K01921	ecok:ECMDS42_0281
ko:K00286	ecok:ECMDS42_0286
ko:K09768	ecok:ECMDS42_0287
ko:K00891	ecok:ECMDS42_0288
ko:K14591	ecok:ECMDS42_0290
ko:K09913	ecok:ECMDS42_0291
ko:K01695	ecok:ECMDS42_1055
ko:K01696	ecok:ECMDS42_1056
ko:K13498	ecok:ECMDS42_1057
ko:K13497	ecok:ECMDS42_1058
ko:K01657	ecok:ECMDS42_1059
ko:K07053	ecok:ECMDS42_1061
ko:K06178	ecok:ECMDS42_1064
ko:K03168	ecok:ECMDS42_1069
ko:K13634	ecok:ECMDS42_1070
ko:K01681	ecok:ECMDS42_1074
ko:K01591	ecok:ECMDS42_1079
ko:K03113	ecok:ECMDS42_1080
ko:K04062	ecok:ECMDS42_1081
ko:K14051	ecok:ECMDS42_1083
ko:K01147	ecok:ECMDS42_1084
ko:K00208	ecok:ECMDS42_1086
ko:K14052	ecok:ECMDS42_1094
ko:K09470	ecok:ECMDS42_1095
ko:K09473	ecok:ECMDS42_1096
ko:K14056	ecok:ECMDS42_1097
ko:K00823	ecok:ECMDS42_1100
ko:K03974	ecok:ECMDS42_1101
ko:K03969	ecok:ECMDS42_1102
ko:K14260	ecok:ECMDS42_1861
ko:K09161	ecok:ECMDS42_1865
ko:K09899	ecok:ECMDS42_1866
ko:K00925	ecok:ECMDS42_1867
ko:K13788	ecok:ECMDS42_1868
ko:K07095	ecok:ECMDS42_1871
ko:K07589	ecok:ECMDS42_1874
ko:K07071	ecok:ECMDS42_1875
ko:K10017	ecok:ECMDS42_1877
ko:K10015	ecok:ECMDS42_1878
ko:K10016	ecok:ECMDS42_1879
ko:K10013	ecok:ECMDS42_1881
ko:K03186	ecok:ECMDS42_1882
ko:K00764	ecok:ECMDS42_1883
ko:K03558	ecok:ECMDS42_1884
ko:K03749	ecok:ECMDS42_1885
ko:K11754	ecok:ECMDS42_1886
ko:K01963	ecok:ECMDS42_1887
ko:K03975	ecok:ECMDS42_1888
ko:K06173	ecok:ECMDS42_1889
ko:K03473	ecok:ECMDS42_1891
ko:K15461	ecok:ECMDS42_1895
ko:K09906	ecok:ECMDS42_1897
ko:K07090	ecok:ECMDS42_1898
ko:K07261	ecok:ECMDS42_1899
ko:K01736	ecok:ECMDS42_1900
ko:K07320	ecok:ECMDS42_1901
ko:K02523	ecok:ECMDS42_2655
ko:K00790	ecok:ECMDS42_2657
ko:K07122	ecok:ECMDS42_2659
ko:K07323	ecok:ECMDS42_2660
ko:K02066	ecok:ECMDS42_2662
ko:K02065	ecok:ECMDS42_2663
ko:K07301	ecok:ECMDS42_2664
ko:K06041	ecok:ECMDS42_2665
ko:K03270	ecok:ECMDS42_2666
ko:K11719	ecok:ECMDS42_2667
ko:K09774	ecok:ECMDS42_2668
ko:K06861	ecok:ECMDS42_2669
ko:K03092	ecok:ECMDS42_2670
ko:K05808	ecok:ECMDS42_2671
ko:K06958	ecok:ECMDS42_2673
ko:K03814	ecok:ECMDS42_2676
ko:K07648	ecok:ECMDS42_2679
ko:K07139	ecok:ECMDS42_2680
ko:K00266	ecok:ECMDS42_2682
ko:K00885	ecok:ECMDS42_2686
ko:K03290	ecok:ECMDS42_2688
ko:K03600	ecok:ECMDS42_2692
ko:K03599	ecok:ECMDS42_2693
ko:K02996	ecok:ECMDS42_2694
ko:K02871	ecok:ECMDS42_2695
ko:K06916	ecok:ECMDS42_2696
ko:K09908	ecok:ECMDS42_2697
ko:K04691	ecok:ECMDS42_2699
ko:K00024	ecok:ECMDS42_2700
ko:K03402	ecok:ECMDS42_2701
ko:K03623	ecok:ECMDS42_2703
ko:K03324	ecok:ECMDS42_3458
ko:K05995	ecok:ECMDS42_3459
ko:K06182	ecok:ECMDS42_3460
ko:K00928	ecok:ECMDS42_3462
ko:K01810	ecok:ECMDS42_3463
ko:K13256	ecok:ECMDS42_3468
ko:K08138	ecok:ECMDS42_3469
ko:K10110	ecok:ECMDS42_3470
ko:K10109	ecok:ECMDS42_3471
ko:K10108	ecok:ECMDS42_3472
ko:K10111	ecok:ECMDS42_3473
ko:K02024	ecok:ECMDS42_3474
ko:K05775	ecok:ECMDS42_3475
ko:K03181	ecok:ECMDS42_3477
ko:K03179	ecok:ECMDS42_3478
ko:K00631	ecok:ECMDS42_3479
ko:K00901	ecok:ECMDS42_3480
ko:K01356	ecok:ECMDS42_3481
ko:K03327	ecok:ECMDS42_3482
ko:K09823	ecok:ECMDS42_3484
ko:K05539	ecok:ECMDS42_3487
ko:K01775	ecok:ECMDS42_3491
ko:K00832	ecok:ECMDS42_3492
ko:K03788	ecok:ECMDS42_3493
ko:K03701	ecok:ECMDS42_3496
ko:K13631	ecok:ECMDS42_3500
ko:K13639	ecok:ECMDS42_3501
ko:K06901	ecok:ECMDS42_3503
ko:K14393	ecok:ECMDS42_3506
ko:K01895	ecok:ECMDS42_3508
ko:K06168	ecok:ECMDS42_0521
ko:K03184	ecok:ECMDS42_0522
ko:K01953	ecok:ECMDS42_0530
ko:K02565	ecok:ECMDS42_0532
ko:K01443	ecok:ECMDS42_0533
ko:K02802	ecok:ECMDS42_0535
ko:K02803	ecok:ECMDS42_0535
ko:K02804	ecok:ECMDS42_0535
ko:K01886	ecok:ECMDS42_0536
ko:K03839	ecok:ECMDS42_0540
ko:K03305	ecok:ECMDS42_1305
ko:K00868	ecok:ECMDS42_1307
ko:K01866	ecok:ECMDS42_1308
ko:K00275	ecok:ECMDS42_1309
ko:K09001	ecok:ECMDS42_1311
ko:K06077	ecok:ECMDS42_1312
ko:K06938	ecok:ECMDS42_1319
ko:K16137	ecok:ECMDS42_1320
ko:K10680	ecok:ECMDS42_1321
ko:K03683	ecok:ECMDS42_1323
ko:K03724	ecok:ECMDS42_1324
ko:K07390	ecok:ECMDS42_1325
ko:K04564	ecok:ECMDS42_1327
ko:K00574	ecok:ECMDS42_1332
ko:K00793	ecok:ECMDS42_1333
ko:K03327	ecok:ECMDS42_1334
ko:K08354	ecok:ECMDS42_1341
ko:K00873	ecok:ECMDS42_1347
ko:K02426	ecok:ECMDS42_1350
ko:K11717	ecok:ECMDS42_1351
ko:K09015	ecok:ECMDS42_1352
ko:K09013	ecok:ECMDS42_1353
ko:K09014	ecok:ECMDS42_1354
ko:K05997	ecok:ECMDS42_1355
ko:K01952	ecok:ECMDS42_2102
ko:K11991	ecok:ECMDS42_2104
ko:K00997	ecok:ECMDS42_2108
ko:K03474	ecok:ECMDS42_2109
ko:K03584	ecok:ECMDS42_2110
ko:K03685	ecok:ECMDS42_2112
ko:K03100	ecok:ECMDS42_2113
ko:K03596	ecok:ECMDS42_2114
ko:K03598	ecok:ECMDS42_2116
ko:K03597	ecok:ECMDS42_2117
ko:K03088	ecok:ECMDS42_2118
ko:K00278	ecok:ECMDS42_2119
ko:K05590	ecok:ECMDS42_2121
ko:K11249	ecok:ECMDS42_2123
ko:K03648	ecok:ECMDS42_2125
ko:K03214	ecok:ECMDS42_2126
ko:K03672	ecok:ECMDS42_2127
ko:K00998	ecok:ECMDS42_2130
ko:K05811	ecok:ECMDS42_2131
ko:K03695	ecok:ECMDS42_2137
ko:K05810	ecok:ECMDS42_2138
ko:K06180	ecok:ECMDS42_2139
ko:K05807	ecok:ECMDS42_2140
ko:K05809	ecok:ECMDS42_2141
ko:K14170	ecok:ECMDS42_2143
ko:K14187	ecok:ECMDS42_2144
ko:K01626	ecok:ECMDS42_2145
ko:K02884	ecok:ECMDS42_2150
ko:K00554	ecok:ECMDS42_2151
ko:K02860	ecok:ECMDS42_2152
ko:K09812	ecok:ECMDS42_2902
ko:K03110	ecok:ECMDS42_2903
ko:K08993	ecok:ECMDS42_2905
ko:K01534	ecok:ECMDS42_2908
ko:K09125	ecok:ECMDS42_2910
ko:K06133	ecok:ECMDS42_2914
ko:K15584	ecok:ECMDS42_2915
ko:K15585	ecok:ECMDS42_2916
ko:K15586	ecok:ECMDS42_2917
ko:K15587	ecok:ECMDS42_2918
ko:K10824	ecok:ECMDS42_2919
ko:K07722	ecok:ECMDS42_2920
ko:K13926	ecok:ECMDS42_2922
ko:K01993	ecok:ECMDS42_2923
ko:K07007	ecok:ECMDS42_2928
ko:K16322	ecok:ECMDS42_2929
ko:K06144	ecok:ECMDS42_2930
ko:K03305	ecok:ECMDS42_2932
ko:K15984	ecok:ECMDS42_2933
ko:K01414	ecok:ECMDS42_2934
ko:K07115	ecok:ECMDS42_2935
ko:K03893	ecok:ECMDS42_2938
ko:K07285	ecok:ECMDS42_2940
ko:K07507	ecok:ECMDS42_2942
ko:K00098	ecok:ECMDS42_3706
ko:K12957	ecok:ECMDS42_3708
ko:K16321	ecok:ECMDS42_3710
ko:K01686	ecok:ECMDS42_3711
ko:K02317	ecok:ECMDS42_3717
ko:K13255	ecok:ECMDS42_3722
ko:K02344	ecok:ECMDS42_3728
ko:K03789	ecok:ECMDS42_3729
ko:K08723	ecok:ECMDS42_3730
ko:K02837	ecok:ECMDS42_3731
ko:K03424	ecok:ECMDS42_3735
ko:K01839	ecok:ECMDS42_3740
ko:K03800	ecok:ECMDS42_3743
ko:K01079	ecok:ECMDS42_3745
ko:K04485	ecok:ECMDS42_3746
ko:K06211	ecok:ECMDS42_3747
ko:K08309	ecok:ECMDS42_3749
ko:K03720	ecok:ECMDS42_3750
ko:K05804	ecok:ECMDS42_3753
ko:K05805	ecok:ECMDS42_3754
ko:K07663	ecok:ECMDS42_3755
ko:K07279	ecok:ECMDS42_1802
ko:K01420	ecok:ECMDS42_1124
ko:K03779	ecok:ECMDS42_2530
ko:K03554	ecok:ECMDS42_0293
ko:K00847	ecok:ECMDS42_0294
ko:K03547	ecok:ECMDS42_0297
ko:K07636	ecok:ECMDS42_0299
ko:K03311	ecok:ECMDS42_0300
ko:K11736	ecok:ECMDS42_0301
ko:K08682	ecok:ECMDS42_0303
ko:K07568	ecok:ECMDS42_0304
ko:K00773	ecok:ECMDS42_0305
ko:K03210	ecok:ECMDS42_0306
ko:K03072	ecok:ECMDS42_0307
ko:K03074	ecok:ECMDS42_0308
ko:K05517	ecok:ECMDS42_0310
ko:K07738	ecok:ECMDS42_0312
ko:K11752	ecok:ECMDS42_0313
ko:K00794	ecok:ECMDS42_0314
ko:K03625	ecok:ECMDS42_0315
ko:K00946	ecok:ECMDS42_0316
ko:K01095	ecok:ECMDS42_0317
ko:K01662	ecok:ECMDS42_0319
ko:K00795	ecok:ECMDS42_0320
ko:K03602	ecok:ECMDS42_0321
ko:K03151	ecok:ECMDS42_0322
ko:K03152	ecok:ECMDS42_0323
ko:K00077	ecok:ECMDS42_0324
ko:K09767	ecok:ECMDS42_0325
ko:K02300	ecok:ECMDS42_0328
ko:K02299	ecok:ECMDS42_0329
ko:K08485	ecok:ECMDS42_2674
ko:K03645	ecok:ECMDS42_0543
ko:K01581	ecok:ECMDS42_0549
ko:K12524	ecok:ECMDS42_0002
ko:K00872	ecok:ECMDS42_0003
ko:K01733	ecok:ECMDS42_0004
ko:K09861	ecok:ECMDS42_0006
ko:K03310	ecok:ECMDS42_0007
ko:K03831	ecok:ECMDS42_0009
ko:K04043	ecok:ECMDS42_0014
ko:K03686	ecok:ECMDS42_0015
ko:K02968	ecok:ECMDS42_0016
ko:K11753	ecok:ECMDS42_0018
ko:K01870	ecok:ECMDS42_0019
ko:K03101	ecok:ECMDS42_0020
ko:K03774	ecok:ECMDS42_0021
ko:K03527	ecok:ECMDS42_0022
ko:K12700	ecok:ECMDS42_0023
ko:K00215	ecok:ECMDS42_0024
ko:K01956	ecok:ECMDS42_0025
ko:K01955	ecok:ECMDS42_0026
ko:K08277	ecok:ECMDS42_0027
ko:K02182	ecok:ECMDS42_0030
ko:K08298	ecok:ECMDS42_0031
ko:K08297	ecok:ECMDS42_0032
ko:K05245	ecok:ECMDS42_0033
ko:K03521	ecok:ECMDS42_0034
ko:K03522	ecok:ECMDS42_0035
ko:K07140	ecok:ECMDS42_0799
ko:K12297	ecok:ECMDS42_0800
ko:K15738	ecok:ECMDS42_0801
ko:K03808	ecok:ECMDS42_0802
ko:K06192	ecok:ECMDS42_0803
ko:K09857	ecok:ECMDS42_0804
ko:K03812	ecok:ECMDS42_0805
ko:K01716	ecok:ECMDS42_0806
ko:K04770	ecok:ECMDS42_0807
ko:K09911	ecok:ECMDS42_0808
ko:K03658	ecok:ECMDS42_0814
ko:K01734	ecok:ECMDS42_0815
ko:K06929	ecok:ECMDS42_0817
ko:K11940	ecok:ECMDS42_0818
ko:K06969	ecok:ECMDS42_0819
ko:K01512	ecok:ECMDS42_0820
ko:K03620	ecok:ECMDS42_0826
ko:K03619	ecok:ECMDS42_0828
ko:K03618	ecok:ECMDS42_0829
ko:K00425	ecok:ECMDS42_0830
ko:K00426	ecok:ECMDS42_0831
ko:K01093	ecok:ECMDS42_0832
ko:K03704	ecok:ECMDS42_0833
ko:K03704	ecok:ECMDS42_0834
ko:K07647	ecok:ECMDS42_0838
ko:K11930	ecok:ECMDS42_0839
ko:K03532	ecok:ECMDS42_0841
ko:K07811	ecok:ECMDS42_0842
ko:K03533	ecok:ECMDS42_0843
ko:K05516	ecok:ECMDS42_0845
ko:K01085	ecok:ECMDS42_0847
ko:K03809	ecok:ECMDS42_0849
ko:K13635	ecok:ECMDS42_1615
ko:K00768	ecok:ECMDS42_1619
ko:K02233	ecok:ECMDS42_1620
ko:K02231	ecok:ECMDS42_1621
ko:K07470	ecok:ECMDS42_1622
ko:K01141	ecok:ECMDS42_1624
ko:K07112	ecok:ECMDS42_1626
ko:K00765	ecok:ECMDS42_1633
ko:K00013	ecok:ECMDS42_1634
ko:K00817	ecok:ECMDS42_1635
ko:K07667	ecok:ECMDS42_0550
ko:K07646	ecok:ECMDS42_0551
ko:K01548	ecok:ECMDS42_0552
ko:K01547	ecok:ECMDS42_0553
ko:K01546	ecok:ECMDS42_0554
ko:K01669	ecok:ECMDS42_0558
ko:K03305	ecok:ECMDS42_0559
ko:K07160	ecok:ECMDS42_0563
ko:K01647	ecok:ECMDS42_0570
ko:K00242	ecok:ECMDS42_0572
ko:K00239	ecok:ECMDS42_0573
ko:K00240	ecok:ECMDS42_0574
ko:K00164	ecok:ECMDS42_0575
ko:K00658	ecok:ECMDS42_0576
ko:K01903	ecok:ECMDS42_0577
ko:K01902	ecok:ECMDS42_0578
ko:K11922	ecok:ECMDS42_0579
ko:K11198	ecok:ECMDS42_0580
ko:K11199	ecok:ECMDS42_0580
ko:K11200	ecok:ECMDS42_0580
ko:K00425	ecok:ECMDS42_0582
ko:K00426	ecok:ECMDS42_0583
ko:K07107	ecok:ECMDS42_0586
ko:K03562	ecok:ECMDS42_0587
ko:K03641	ecok:ECMDS42_0590
ko:K03640	ecok:ECMDS42_0591
ko:K05887	ecok:ECMDS42_1365
ko:K03785	ecok:ECMDS42_1366
ko:K00313	ecok:ECMDS42_1372
ko:K12507	ecok:ECMDS42_1374
ko:K09773	ecok:ECMDS42_1376
ko:K01626	ecok:ECMDS42_1377
ko:K06074	ecok:ECMDS42_1382
ko:K00432	ecok:ECMDS42_1383
ko:K06073	ecok:ECMDS42_1384
ko:K04764	ecok:ECMDS42_1385
ko:K01890	ecok:ECMDS42_1386
ko:K01889	ecok:ECMDS42_1387
ko:K02887	ecok:ECMDS42_1389
ko:K02916	ecok:ECMDS42_1390
ko:K02520	ecok:ECMDS42_1391
ko:K01868	ecok:ECMDS42_1392
ko:K07038	ecok:ECMDS42_1403
ko:K06956	ecok:ECMDS42_1404
ko:K15722	ecok:ECMDS42_1406
ko:K03781	ecok:ECMDS42_1407
ko:K02959	ecok:ECMDS42_2153
ko:K03106	ecok:ECMDS42_2154
ko:K03687	ecok:ECMDS42_2157
ko:K00858	ecok:ECMDS42_2158
ko:K03631	ecok:ECMDS42_2159
ko:K06186	ecok:ECMDS42_2160
ko:K09801	ecok:ECMDS42_2161
ko:K03664	ecok:ECMDS42_2163
ko:K11735	ecok:ECMDS42_2167
ko:K15735	ecok:ECMDS42_2168
ko:K02000	ecok:ECMDS42_2181
ko:K02001	ecok:ECMDS42_2182
ko:K02002	ecok:ECMDS42_2183
ko:K15974	ecok:ECMDS42_2188
ko:K03543	ecok:ECMDS42_2189
ko:K03446	ecok:ECMDS42_2190
ko:K07173	ecok:ECMDS42_2191
ko:K01919	ecok:ECMDS42_2193
ko:K03563	ecok:ECMDS42_2201
ko:K01872	ecok:ECMDS42_2202
ko:K03565	ecok:ECMDS42_2203
ko:K00428	ecok:ECMDS42_2953
ko:K01194	ecok:ECMDS42_2954
ko:K07058	ecok:ECMDS42_2957
ko:K07290	ecok:ECMDS42_2959
ko:K00874	ecok:ECMDS42_2961
ko:K11103	ecok:ECMDS42_2963
ko:K00694	ecok:ECMDS42_2968
ko:K12372	ecok:ECMDS42_2977
ko:K12371	ecok:ECMDS42_2978
ko:K12370	ecok:ECMDS42_2979
ko:K12369	ecok:ECMDS42_2980
ko:K12368	ecok:ECMDS42_2981
ko:K12975	ecok:ECMDS42_2983
ko:K08177	ecok:ECMDS42_2984
ko:K01246	ecok:ECMDS42_2986
ko:K03826	ecok:ECMDS42_2987
ko:K07726	ecok:ECMDS42_2992
ko:K03704	ecok:ECMDS42_2993
ko:K01879	ecok:ECMDS42_2995
ko:K01878	ecok:ECMDS42_2996
ko:K01805	ecok:ECMDS42_3002
ko:K10543	ecok:ECMDS42_3003
ko:K10545	ecok:ECMDS42_3004
ko:K07641	ecok:ECMDS42_3756
ko:K06143	ecok:ECMDS42_3757
ko:K07773	ecok:ECMDS42_3758
ko:K01089	ecok:ECMDS42_1636
ko:K02501	ecok:ECMDS42_1637
ko:K01814	ecok:ECMDS42_1638
ko:K02500	ecok:ECMDS42_1639
ko:K11755	ecok:ECMDS42_1640
ko:K05789	ecok:ECMDS42_1641
ko:K00012	ecok:ECMDS42_1642
ko:K07289	ecok:ECMDS42_1645
ko:K01494	ecok:ECMDS42_1646
ko:K00876	ecok:ECMDS42_1647
ko:K01247	ecok:ECMDS42_1649
ko:K04046	ecok:ECMDS42_1650
ko:K07799	ecok:ECMDS42_1657
ko:K07788	ecok:ECMDS42_1658
ko:K07789	ecok:ECMDS42_1659
ko:K07642	ecok:ECMDS42_1661
ko:K07664	ecok:ECMDS42_1662
ko:K00605	ecok:ECMDS42_2404
ko:K03185	ecok:ECMDS42_2406
ko:K09895	ecok:ECMDS42_2408
ko:K09888	ecok:ECMDS42_2409
ko:K01807	ecok:ECMDS42_2414
ko:K05596	ecok:ECMDS42_2416
ko:K11264	ecok:ECMDS42_2419
ko:K09807	ecok:ECMDS42_2422
ko:K06895	ecok:ECMDS42_2423
ko:K01624	ecok:ECMDS42_2425
ko:K00927	ecok:ECMDS42_2426
ko:K03472	ecok:ECMDS42_2427
ko:K00615	ecok:ECMDS42_2434
ko:K07387	ecok:ECMDS42_2435
ko:K00789	ecok:ECMDS42_2441
ko:K08137	ecok:ECMDS42_2442
ko:K02742	ecok:ECMDS42_2443
ko:K09761	ecok:ECMDS42_2444
ko:K01920	ecok:ECMDS42_2445
ko:K07735	ecok:ECMDS42_2446
ko:K07447	ecok:ECMDS42_2447
ko:K02669	ecok:ECMDS42_2448
ko:K06997	ecok:ECMDS42_2449
ko:K02221	ecok:ECMDS42_2450
ko:K09131	ecok:ECMDS42_2451
ko:K11258	ecok:ECMDS42_3207
ko:K00826	ecok:ECMDS42_3208
ko:K01687	ecok:ECMDS42_3209
ko:K01754	ecok:ECMDS42_3210
ko:K02521	ecok:ECMDS42_3211
ko:K00053	ecok:ECMDS42_3212
ko:K03656	ecok:ECMDS42_3216
ko:K01524	ecok:ECMDS42_3217
ko:K03732	ecok:ECMDS42_3218
ko:K03671	ecok:ECMDS42_3219
ko:K03628	ecok:ECMDS42_3221
ko:K05790	ecok:ECMDS42_3223
ko:K02472	ecok:ECMDS42_3225
ko:K00973	ecok:ECMDS42_3227
ko:K16704	ecok:ECMDS42_3228
ko:K02805	ecok:ECMDS42_3229
ko:K16693	ecok:ECMDS42_3230
ko:K12582	ecok:ECMDS42_3231
ko:K02853	ecok:ECMDS42_3232
ko:K06871	ecok:ECMDS42_3239
ko:K02498	ecok:ECMDS42_3242
ko:K02496	ecok:ECMDS42_3243
ko:K01749	ecok:ECMDS42_3245
ko:K05851	ecok:ECMDS42_3246
ko:K06202	ecok:ECMDS42_3247
ko:K01778	ecok:ECMDS42_3250
ko:K09921	ecok:ECMDS42_3251
ko:K03733	ecok:ECMDS42_3252
ko:K03657	ecok:ECMDS42_3254
ko:K03284	ecok:ECMDS42_3256
ko:K09477	ecok:ECMDS42_0473
ko:K03517	ecok:ECMDS42_0600
ko:K03811	ecok:ECMDS42_0601
ko:K16264	ecok:ECMDS42_0602
ko:K01626	ecok:ECMDS42_0604
ko:K00849	ecok:ECMDS42_0607
ko:K00965	ecok:ECMDS42_0608
ko:K05776	ecok:ECMDS42_0610
ko:K02019	ecok:ECMDS42_0611
ko:K02020	ecok:ECMDS42_0613
ko:K02018	ecok:ECMDS42_0614
ko:K03319	ecok:ECMDS42_0620
ko:K01681	ecok:ECMDS42_0621
ko:K01051	ecok:ECMDS42_0622
ko:K00833	ecok:ECMDS42_0624
ko:K01012	ecok:ECMDS42_0625
ko:K02169	ecok:ECMDS42_0627
ko:K01935	ecok:ECMDS42_0628
ko:K03702	ecok:ECMDS42_0629
ko:K03639	ecok:ECMDS42_0631
ko:K03638	ecok:ECMDS42_0632
ko:K03637	ecok:ECMDS42_0633
ko:K03636	ecok:ECMDS42_0634
ko:K06890	ecok:ECMDS42_0636
ko:K06890	ecok:ECMDS42_0637
ko:K01993	ecok:ECMDS42_0645
ko:K03490	ecok:ECMDS42_1410
ko:K02759	ecok:ECMDS42_1411
ko:K02761	ecok:ECMDS42_1412
ko:K02760	ecok:ECMDS42_1413
ko:K04064	ecok:ECMDS42_1414
ko:K05984	ecok:ECMDS42_1416
ko:K09975	ecok:ECMDS42_1417
