ko:K10026	sir:SiRe_1385
ko:K01951	sir:SiRe_0239
ko:K05982	sir:SiRe_0242
ko:K09003	sir:SiRe_0246
ko:K01704	sir:SiRe_0259
ko:K01703	sir:SiRe_0260
ko:K01669	sir:SiRe_0261
ko:K12410	sir:SiRe_0268
ko:K02435	sir:SiRe_1131
ko:K07732	sir:SiRe_1134
ko:K01273	sir:SiRe_0635
ko:K06153	sir:SiRe_0638
ko:K03799	sir:SiRe_0639
ko:K03183	sir:SiRe_0648
ko:K08980	sir:SiRe_0650
ko:K02616	sir:SiRe_0662
ko:K00286	sir:SiRe_1510
ko:K01733	sir:SiRe_1512
ko:K02036	sir:SiRe_1513
ko:K02013	sir:SiRe_1514
ko:K02015	sir:SiRe_1515
ko:K02016	sir:SiRe_1516
ko:K03118	sir:SiRe_1517
ko:K03116	sir:SiRe_1518
ko:K03116	sir:SiRe_1519
ko:K07739	sir:SiRe_1521
ko:K09744	sir:SiRe_1525
ko:K06915	sir:SiRe_1531
ko:K01867	sir:SiRe_1548
ko:K00817	sir:SiRe_1553
ko:K00170	sir:SiRe_2379
ko:K00169	sir:SiRe_2380
ko:K00171	sir:SiRe_2381
ko:K00172	sir:SiRe_2382
ko:K03522	sir:SiRe_2387
ko:K03521	sir:SiRe_2388
ko:K00384	sir:SiRe_2390
ko:K00313	sir:SiRe_2400
ko:K07133	sir:SiRe_2412
ko:K14656	sir:SiRe_1135
ko:K06953	sir:SiRe_1137
ko:K03120	sir:SiRe_1138
ko:K08975	sir:SiRe_1141
ko:K03124	sir:SiRe_1144
ko:K00555	sir:SiRe_1146
ko:K07728	sir:SiRe_1147
ko:K09737	sir:SiRe_1148
ko:K04795	sir:SiRe_1149
ko:K14564	sir:SiRe_1150
ko:K02983	sir:SiRe_1151
ko:K09482	sir:SiRe_1152
ko:K03330	sir:SiRe_1153
ko:K09014	sir:SiRe_1159
ko:K09013	sir:SiRe_1160
ko:K06869	sir:SiRe_1163
ko:K02437	sir:SiRe_1164
ko:K00605	sir:SiRe_1165
ko:K00282	sir:SiRe_1166
ko:K00283	sir:SiRe_1167
ko:K01689	sir:SiRe_1171
ko:K03168	sir:SiRe_1176
ko:K03638	sir:SiRe_1975
ko:K06920	sir:SiRe_1979
ko:K07090	sir:SiRe_1980
ko:K07022	sir:SiRe_1997
ko:K02233	sir:SiRe_2010
ko:K02232	sir:SiRe_2011
ko:K01951	sir:SiRe_2012
ko:K03799	sir:SiRe_2013
ko:K06957	sir:SiRe_2024
ko:K00823	sir:SiRe_2027
ko:K01652	sir:SiRe_2028
ko:K10725	sir:SiRe_0002
ko:K06915	sir:SiRe_0017
ko:K06888	sir:SiRe_0021
ko:K01895	sir:SiRe_0033
ko:K07060	sir:SiRe_0034
ko:K00858	sir:SiRe_0035
ko:K07574	sir:SiRe_0040
ko:K14568	sir:SiRe_0042
ko:K03671	sir:SiRe_0049
ko:K09716	sir:SiRe_0051
ko:K01434	sir:SiRe_0922
ko:K03552	sir:SiRe_0930
ko:K07301	sir:SiRe_0932
ko:K07133	sir:SiRe_0944
ko:K03592	sir:SiRe_0952
ko:K03568	sir:SiRe_0953
ko:K06001	sir:SiRe_0961
ko:K02979	sir:SiRe_1763
ko:K02896	sir:SiRe_1764
ko:K00940	sir:SiRe_1765
ko:K03243	sir:SiRe_1766
ko:K03053	sir:SiRe_1767
ko:K03041	sir:SiRe_1769
ko:K03042	sir:SiRe_1770
ko:K02908	sir:SiRe_1771
ko:K02600	sir:SiRe_1772
ko:K02950	sir:SiRe_1773
ko:K02992	sir:SiRe_1775
ko:K03231	sir:SiRe_1776
ko:K02946	sir:SiRe_1777
ko:K09717	sir:SiRe_1781
ko:K03789	sir:SiRe_1785
ko:K13038	sir:SiRe_1784
ko:K15778	sir:SiRe_1800
ko:K01937	sir:SiRe_1805
ko:K04796	sir:SiRe_1807
ko:K00789	sir:SiRe_1808
ko:K09150	sir:SiRe_1809
ko:K07179	sir:SiRe_1810
ko:K09122	sir:SiRe_1813
ko:K09141	sir:SiRe_1814
ko:K01151	sir:SiRe_2666
ko:K07743	sir:SiRe_2670
ko:K00067	sir:SiRe_2671
ko:K00031	sir:SiRe_2695
ko:K01304	sir:SiRe_0507
ko:K07095	sir:SiRe_0509
ko:K02440	sir:SiRe_0510
ko:K00864	sir:SiRe_0511
ko:K04561	sir:SiRe_0538
ko:K06871	sir:SiRe_0543
ko:K07133	sir:SiRe_0544
ko:K09703	sir:SiRe_0556
ko:K01591	sir:SiRe_1391
ko:K00762	sir:SiRe_1392
ko:K00609	sir:SiRe_1393
ko:K00610	sir:SiRe_1394
ko:K01465	sir:SiRe_1396
ko:K03057	sir:SiRe_1402
ko:K01875	sir:SiRe_1405
ko:K02501	sir:SiRe_1408
ko:K00013	sir:SiRe_1410
ko:K02500	sir:SiRe_1411
ko:K01693	sir:SiRe_1412
ko:K01814	sir:SiRe_1413
ko:K00765	sir:SiRe_1414
ko:K00817	sir:SiRe_1415
ko:K01869	sir:SiRe_1417
ko:K09732	sir:SiRe_1420
ko:K01611	sir:SiRe_1421
ko:K01652	sir:SiRe_1428
ko:K00053	sir:SiRe_1430
ko:K03552	sir:SiRe_1431
ko:K06865	sir:SiRe_1432
ko:K08681	sir:SiRe_1433
ko:K06215	sir:SiRe_1434
ko:K02976	sir:SiRe_1435
ko:K01881	sir:SiRe_1436
ko:K02826	sir:SiRe_2271
ko:K02034	sir:SiRe_2283
ko:K01494	sir:SiRe_2287
ko:K06871	sir:SiRe_2291
ko:K07090	sir:SiRe_2307
ko:K00958	sir:SiRe_2309
ko:K00390	sir:SiRe_2310
ko:K00381	sir:SiRe_2311
ko:K01902	sir:SiRe_0276
ko:K01903	sir:SiRe_0277
ko:K01868	sir:SiRe_0280
ko:K00111	sir:SiRe_0319
ko:K03055	sir:SiRe_1177
ko:K03653	sir:SiRe_1180
ko:K01873	sir:SiRe_1186
ko:K00812	sir:SiRe_1188
ko:K01609	sir:SiRe_1189
ko:K01657	sir:SiRe_1191
ko:K01817	sir:SiRe_1192
ko:K00766	sir:SiRe_1193
ko:K01695	sir:SiRe_1194
ko:K06001	sir:SiRe_1195
ko:K01512	sir:SiRe_1196
ko:K01858	sir:SiRe_1197
ko:K03182	sir:SiRe_1202
ko:K01733	sir:SiRe_1203
ko:K00928	sir:SiRe_1204
ko:K00133	sir:SiRe_1205
ko:K00611	sir:SiRe_1208
ko:K01887	sir:SiRe_1218
ko:K09721	sir:SiRe_1219
ko:K07143	sir:SiRe_1220
ko:K00943	sir:SiRe_1221
ko:K10725	sir:SiRe_1231
ko:K03281	sir:SiRe_2036
ko:K07301	sir:SiRe_2043
ko:K03417	sir:SiRe_2620
ko:K05592	sir:SiRe_0681
ko:K01895	sir:SiRe_0686
ko:K00261	sir:SiRe_0689
ko:K01895	sir:SiRe_0711
ko:K00179	sir:SiRe_0722
ko:K00180	sir:SiRe_0723
ko:K01895	sir:SiRe_0724
ko:K03564	sir:SiRe_0725
ko:K03124	sir:SiRe_1555
ko:K03113	sir:SiRe_1556
ko:K03059	sir:SiRe_1557
ko:K01880	sir:SiRe_1559
ko:K01170	sir:SiRe_1563
ko:K03186	sir:SiRe_1565
ko:K02974	sir:SiRe_1567
ko:K02977	sir:SiRe_1568
ko:K02975	sir:SiRe_1579
ko:K03170	sir:SiRe_1581
ko:K13525	sir:SiRe_1582
ko:K09735	sir:SiRe_1584
ko:K03050	sir:SiRe_1585
ko:K03049	sir:SiRe_1586
ko:K07158	sir:SiRe_1587
ko:K02991	sir:SiRe_1589
ko:K02956	sir:SiRe_1591
ko:K00549	sir:SiRe_1592
ko:K00549	sir:SiRe_1593
ko:K02224	sir:SiRe_1595
ko:K00793	sir:SiRe_1598
ko:K00794	sir:SiRe_1599
ko:K00174	sir:SiRe_2456
ko:K00175	sir:SiRe_2457
ko:K00313	sir:SiRe_2459
ko:K02379	sir:SiRe_2462
ko:K00123	sir:SiRe_2464
ko:K00836	sir:SiRe_2476
ko:K15372	sir:SiRe_2479
ko:K06915	sir:SiRe_0064
ko:K03564	sir:SiRe_0067
ko:K01595	sir:SiRe_0068
ko:K01849	sir:SiRe_0075
ko:K07090	sir:SiRe_0081
ko:K01714	sir:SiRe_0083
ko:K01883	sir:SiRe_0090
ko:K15916	sir:SiRe_0091
ko:K06915	sir:SiRe_0095
ko:K01142	sir:SiRe_0100
ko:K07107	sir:SiRe_0104
ko:K02189	sir:SiRe_0106
ko:K05936	sir:SiRe_0107
ko:K03394	sir:SiRe_0108
ko:K02191	sir:SiRe_0109
ko:K02188	sir:SiRe_0110
ko:K06042	sir:SiRe_0112
ko:K03390	sir:SiRe_0971
ko:K03388	sir:SiRe_0973
ko:K03390	sir:SiRe_0975
ko:K00382	sir:SiRe_0979
ko:K01012	sir:SiRe_0986
ko:K09711	sir:SiRe_0987
ko:K03800	sir:SiRe_0988
ko:K06929	sir:SiRe_0989
ko:K01681	sir:SiRe_1005
ko:K15566	sir:SiRe_1012
ko:K01040	sir:SiRe_1014
ko:K02003	sir:SiRe_1019
ko:K05520	sir:SiRe_1025
ko:K02019	sir:SiRe_1026
ko:K01589	sir:SiRe_1027
ko:K01494	sir:SiRe_1817
ko:K00303	sir:SiRe_1820
ko:K01749	sir:SiRe_1825
ko:K01845	sir:SiRe_1826
ko:K01698	sir:SiRe_1827
ko:K02492	sir:SiRe_1828
ko:K02304	sir:SiRe_1829
ko:K13525	sir:SiRe_1832
ko:K07580	sir:SiRe_1834
ko:K06176	sir:SiRe_1836
ko:K03105	sir:SiRe_1846
ko:K02995	sir:SiRe_1847
ko:K15888	sir:SiRe_1848
ko:K05831	sir:SiRe_1849
ko:K05827	sir:SiRe_1851
ko:K05826	sir:SiRe_1852
ko:K05828	sir:SiRe_1854
ko:K05829	sir:SiRe_1855
ko:K06915	sir:SiRe_1857
ko:K08094	sir:SiRe_1858
ko:K01895	sir:SiRe_0739
ko:K01638	sir:SiRe_0741
ko:K01637	sir:SiRe_0742
ko:K01790	sir:SiRe_0746
ko:K00261	sir:SiRe_0749
ko:K00053	sir:SiRe_0753
ko:K15342	sir:SiRe_0761
ko:K07133	sir:SiRe_0778
ko:K06915	sir:SiRe_1604
ko:K03724	sir:SiRe_1605
ko:K02875	sir:SiRe_1606
ko:K06957	sir:SiRe_1610
ko:K07731	sir:SiRe_1615
ko:K00820	sir:SiRe_1619
ko:K00973	sir:SiRe_1620
ko:K00798	sir:SiRe_1623
ko:K03500	sir:SiRe_1628
ko:K03671	sir:SiRe_1631
ko:K01915	sir:SiRe_1633
ko:K01495	sir:SiRe_1635
ko:K03639	sir:SiRe_1637
ko:K01738	sir:SiRe_1641
ko:K09157	sir:SiRe_1644
ko:K00763	sir:SiRe_1646
ko:K02966	sir:SiRe_1647
ko:K06875	sir:SiRe_1648
ko:K02910	sir:SiRe_1650
ko:K03264	sir:SiRe_1651
ko:K02944	sir:SiRe_1652
ko:K04797	sir:SiRe_1653
ko:K03110	sir:SiRe_1654
ko:K02601	sir:SiRe_1656
ko:K06940	sir:SiRe_2488
ko:K15977	sir:SiRe_2491
ko:K06137	sir:SiRe_2499
ko:K03799	sir:SiRe_2506
ko:K07332	sir:SiRe_2519
ko:K07333	sir:SiRe_2520
ko:K06920	sir:SiRe_2525
ko:K01443	sir:SiRe_2533
ko:K02034	sir:SiRe_2536
ko:K00170	sir:SiRe_0338
ko:K00169	sir:SiRe_0339
ko:K00171	sir:SiRe_0340
ko:K08177	sir:SiRe_0341
ko:K03303	sir:SiRe_0342
ko:K00943	sir:SiRe_0359
ko:K00943	sir:SiRe_0360
ko:K01524	sir:SiRe_0361
ko:K08296	sir:SiRe_0362
ko:K00170	sir:SiRe_0363
ko:K00169	sir:SiRe_0364
ko:K00171	sir:SiRe_0365
ko:K00172	sir:SiRe_0366
ko:K00140	sir:SiRe_0376
ko:K15762	sir:SiRe_0387
ko:K03637	sir:SiRe_1233
ko:K04800	sir:SiRe_1234
ko:K03433	sir:SiRe_1237
ko:K07041	sir:SiRe_1248
ko:K04796	sir:SiRe_1251
ko:K02922	sir:SiRe_1252
ko:K00797	sir:SiRe_1253
ko:K01251	sir:SiRe_1254
ko:K02889	sir:SiRe_1258
ko:K03051	sir:SiRe_1259
ko:K07572	sir:SiRe_1260
ko:K02528	sir:SiRe_1261
ko:K02984	sir:SiRe_1264
ko:K04042	sir:SiRe_1265
ko:K06942	sir:SiRe_1266
ko:K02877	sir:SiRe_1267
ko:K07581	sir:SiRe_1268
ko:K03539	sir:SiRe_1269
ko:K03537	sir:SiRe_1270
ko:K03432	sir:SiRe_1271
ko:K14574	sir:SiRe_1272
ko:K03679	sir:SiRe_1273
ko:K11600	sir:SiRe_1274
ko:K02921	sir:SiRe_1276
ko:K04798	sir:SiRe_1279
ko:K10848	sir:SiRe_1280
ko:K11473	sir:SiRe_2090
ko:K03800	sir:SiRe_2091
ko:K03644	sir:SiRe_2092
ko:K03800	sir:SiRe_2093
ko:K03809	sir:SiRe_2094
ko:K08980	sir:SiRe_2096
ko:K03885	sir:SiRe_2098
ko:K08369	sir:SiRe_2105
ko:K00782	sir:SiRe_2120
ko:K06885	sir:SiRe_2124
ko:K03118	sir:SiRe_2139
ko:K03116	sir:SiRe_2140
ko:K01687	sir:SiRe_2141
ko:K01299	sir:SiRe_2142
ko:K07333	sir:SiRe_0118
ko:K07332	sir:SiRe_0119
ko:K07331	sir:SiRe_0120
ko:K07330	sir:SiRe_0122
ko:K07325	sir:SiRe_0124
ko:K03609	sir:SiRe_0132
ko:K03265	sir:SiRe_0138
ko:K07101	sir:SiRe_0139
ko:K13051	sir:SiRe_0147
ko:K08979	sir:SiRe_0152
ko:K00239	sir:SiRe_0155
ko:K00240	sir:SiRe_0156
ko:K03924	sir:SiRe_0160
ko:K03750	sir:SiRe_0163
ko:K00872	sir:SiRe_0164
ko:K01588	sir:SiRe_1028
ko:K02437	sir:SiRe_1032
ko:K03320	sir:SiRe_1039
ko:K03237	sir:SiRe_1043
ko:K02978	sir:SiRe_1044
ko:K02929	sir:SiRe_1045
ko:K02683	sir:SiRe_1047
ko:K00948	sir:SiRe_1050
ko:K07446	sir:SiRe_1051
ko:K09736	sir:SiRe_1053
ko:K01975	sir:SiRe_1055
ko:K07558	sir:SiRe_1056
ko:K07176	sir:SiRe_1057
ko:K07124	sir:SiRe_1067
ko:K00123	sir:SiRe_1068
ko:K03424	sir:SiRe_1069
ko:K12140	sir:SiRe_1074
ko:K12141	sir:SiRe_1075
ko:K01649	sir:SiRe_1872
ko:K03179	sir:SiRe_1873
ko:K03500	sir:SiRe_1877
ko:K10773	sir:SiRe_1884
ko:K03724	sir:SiRe_1887
ko:K01890	sir:SiRe_1896
ko:K01889	sir:SiRe_1897
ko:K01265	sir:SiRe_1899
ko:K06885	sir:SiRe_1902
ko:K02936	sir:SiRe_1905
ko:K04567	sir:SiRe_1906
ko:K07073	sir:SiRe_1907
ko:K06965	sir:SiRe_1911
ko:K03789	sir:SiRe_1912
ko:K01866	sir:SiRe_1915
ko:K02952	sir:SiRe_1918
ko:K02986	sir:SiRe_1919
ko:K02948	sir:SiRe_1920
ko:K03047	sir:SiRe_1921
ko:K00973	sir:SiRe_0841
ko:K00067	sir:SiRe_0842
ko:K01790	sir:SiRe_0843
ko:K02867	sir:SiRe_1657
ko:K02863	sir:SiRe_1658
ko:K02864	sir:SiRe_1659
ko:K02869	sir:SiRe_1660
ko:K01872	sir:SiRe_1661
ko:K03151	sir:SiRe_1665
ko:K01858	sir:SiRe_1666
ko:K00343	sir:SiRe_1667
ko:K00340	sir:SiRe_1669
ko:K00339	sir:SiRe_1670
ko:K00338	sir:SiRe_1671
ko:K00337	sir:SiRe_1672
ko:K00333	sir:SiRe_1673
ko:K00332	sir:SiRe_1674
ko:K00330	sir:SiRe_1675
ko:K04564	sir:SiRe_1681
ko:K03785	sir:SiRe_1688
ko:K00800	sir:SiRe_1689
ko:K00891	sir:SiRe_1690
ko:K01736	sir:SiRe_1691
ko:K00014	sir:SiRe_1692
ko:K01735	sir:SiRe_1693
ko:K14187	sir:SiRe_1695
ko:K00615	sir:SiRe_1696
ko:K00615	sir:SiRe_1698
ko:K02866	sir:SiRe_1702
ko:K07561	sir:SiRe_1703
ko:K07573	sir:SiRe_1704
ko:K03056	sir:SiRe_1705
ko:K03057	sir:SiRe_1706
ko:K03057	sir:SiRe_1707
ko:K02826	sir:SiRe_2548
ko:K02827	sir:SiRe_2549
ko:K00113	sir:SiRe_2562
ko:K01912	sir:SiRe_2578
ko:K02034	sir:SiRe_2588
ko:K01652	sir:SiRe_0391
ko:K06911	sir:SiRe_0393
ko:K00688	sir:SiRe_0399
ko:K02034	sir:SiRe_0416
ko:K00820	sir:SiRe_0423
ko:K06966	sir:SiRe_0427
ko:K07241	sir:SiRe_0433
ko:K01644	sir:SiRe_0435
ko:K00373	sir:SiRe_0442
ko:K00371	sir:SiRe_0443
ko:K00370	sir:SiRe_0444
ko:K09154	sir:SiRe_1284
ko:K00052	sir:SiRe_1285
ko:K01870	sir:SiRe_1286
ko:K09142	sir:SiRe_1287
ko:K02906	sir:SiRe_1288
ko:K02930	sir:SiRe_1289
ko:K02892	sir:SiRe_1290
ko:K02886	sir:SiRe_1291
ko:K02965	sir:SiRe_1292
ko:K02890	sir:SiRe_1293
ko:K02982	sir:SiRe_1294
ko:K02904	sir:SiRe_1295
ko:K03538	sir:SiRe_1296
ko:K02961	sir:SiRe_1297
ko:K02874	sir:SiRe_1298
ko:K02895	sir:SiRe_1299
ko:K02987	sir:SiRe_1300
ko:K02931	sir:SiRe_1301
ko:K02954	sir:SiRe_1302
ko:K02994	sir:SiRe_1303
ko:K02933	sir:SiRe_1304
ko:K02912	sir:SiRe_1305
ko:K02885	sir:SiRe_1306
ko:K02881	sir:SiRe_1307
ko:K02988	sir:SiRe_1308
ko:K02907	sir:SiRe_1309
ko:K02876	sir:SiRe_1310
ko:K03076	sir:SiRe_1311
ko:K02915	sir:SiRe_1314
ko:K00945	sir:SiRe_1315
ko:K06974	sir:SiRe_1320
ko:K07112	sir:SiRe_2160
ko:K07238	sir:SiRe_2174
ko:K01714	sir:SiRe_2175
ko:K02034	sir:SiRe_2186
ko:K02034	sir:SiRe_2196
ko:K06915	sir:SiRe_0566
ko:K00451	sir:SiRe_0576
ko:K06915	sir:SiRe_0581
ko:K09000	sir:SiRe_0602
ko:K07402	sir:SiRe_0608
ko:K01874	sir:SiRe_1445
ko:K09140	sir:SiRe_1452
ko:K00927	sir:SiRe_1455
ko:K00600	sir:SiRe_1458
ko:K00021	sir:SiRe_1459
ko:K01611	sir:SiRe_1463
ko:K01869	sir:SiRe_1496
ko:K07402	sir:SiRe_2324
ko:K00074	sir:SiRe_2330
ko:K01895	sir:SiRe_2338
ko:K01997	sir:SiRe_2349
ko:K01998	sir:SiRe_2350
ko:K06961	sir:SiRe_0170
ko:K07178	sir:SiRe_0171
ko:K03238	sir:SiRe_0175
ko:K09148	sir:SiRe_0176
ko:K07562	sir:SiRe_0177
ko:K03470	sir:SiRe_0178
ko:K07333	sir:SiRe_0180
ko:K07332	sir:SiRe_0181
ko:K07023	sir:SiRe_0184
ko:K06982	sir:SiRe_0189
ko:K09722	sir:SiRe_0190
ko:K00606	sir:SiRe_0191
ko:K01649	sir:SiRe_0199
ko:K07142	sir:SiRe_0200
ko:K01737	sir:SiRe_0205
ko:K00384	sir:SiRe_0208
ko:K07101	sir:SiRe_0213
ko:K05606	sir:SiRe_0215
ko:K13993	sir:SiRe_0216
ko:K06874	sir:SiRe_0217
ko:K03231	sir:SiRe_0218
ko:K07241	sir:SiRe_1081
ko:K00156	sir:SiRe_1083
ko:K03885	sir:SiRe_1084
ko:K03517	sir:SiRe_1089
ko:K00278	sir:SiRe_1090
ko:K00767	sir:SiRe_1091
ko:K00703	sir:SiRe_1099
ko:K00873	sir:SiRe_1105
ko:K01807	sir:SiRe_1107
ko:K01649	sir:SiRe_1108
ko:K09903	sir:SiRe_1110
ko:K03106	sir:SiRe_1115
ko:K03263	sir:SiRe_1116
ko:K03166	sir:SiRe_1117
ko:K03167	sir:SiRe_1118
ko:K00809	sir:SiRe_1119
ko:K14415	sir:SiRe_1120
ko:K03724	sir:SiRe_1122
ko:K03170	sir:SiRe_1124
ko:K03622	sir:SiRe_1125
ko:K02883	sir:SiRe_1922
ko:K02871	sir:SiRe_1923
ko:K02996	sir:SiRe_1924
ko:K03058	sir:SiRe_1925
ko:K02967	sir:SiRe_1926
ko:K06981	sir:SiRe_1929
ko:K01001	sir:SiRe_1932
ko:K03424	sir:SiRe_1950
ko:K04768	sir:SiRe_1967
ko:K08289	sir:SiRe_1968
ko:K14534	sir:SiRe_2362
ko:K00390	sir:SiRe_0879
ko:K07133	sir:SiRe_0883
ko:K09000	sir:SiRe_0890
ko:K07133	sir:SiRe_0897
ko:K06174	sir:SiRe_1710
ko:K01622	sir:SiRe_1711
ko:K02962	sir:SiRe_1712
ko:K06915	sir:SiRe_1715
ko:K01170	sir:SiRe_1718
ko:K01892	sir:SiRe_1719
ko:K03433	sir:SiRe_1720
ko:K06869	sir:SiRe_1724
ko:K07398	sir:SiRe_1725
ko:K03420	sir:SiRe_1726
ko:K03627	sir:SiRe_1727
ko:K03665	sir:SiRe_1728
ko:K07254	sir:SiRe_1729
ko:K06932	sir:SiRe_1739
ko:K10725	sir:SiRe_1740
ko:K09120	sir:SiRe_1741
ko:K00952	sir:SiRe_1742
ko:K05873	sir:SiRe_1744
ko:K04483	sir:SiRe_1747
ko:K01754	sir:SiRe_1749
ko:K07137	sir:SiRe_1752
ko:K01939	sir:SiRe_1753
ko:K06863	sir:SiRe_1754
ko:K06863	sir:SiRe_1756
ko:K01756	sir:SiRe_1755
ko:K00946	sir:SiRe_1757
ko:K06937	sir:SiRe_1758
ko:K02434	sir:SiRe_1761
ko:K10747	sir:SiRe_1818
ko:K03177	sir:SiRe_1607
ko:K11131	sir:SiRe_1608
ko:K00869	sir:SiRe_1618
ko:K04763	sir:SiRe_1625
ko:K06984	sir:SiRe_1629
ko:K02924	sir:SiRe_1649
ko:K00772	sir:SiRe_2492
ko:K09715	sir:SiRe_2514
ko:K02035	sir:SiRe_2537
ko:K02033	sir:SiRe_2538
ko:K03236	sir:SiRe_0172
ko:K00626	sir:SiRe_0173
ko:K06944	sir:SiRe_0179
ko:K01507	sir:SiRe_0183
ko:K01990	sir:SiRe_0192
ko:K01992	sir:SiRe_0194
ko:K01092	sir:SiRe_0209
ko:K01848	sir:SiRe_0214
ko:K00389	sir:SiRe_1106
ko:K00059	sir:SiRe_1112
ko:K06990	sir:SiRe_1927
ko:K01823	sir:SiRe_1930
ko:K13787	sir:SiRe_1931
ko:K06889	sir:SiRe_0447
ko:K08676	sir:SiRe_0491
ko:K14654	sir:SiRe_0492
ko:K03709	sir:SiRe_1345
ko:K05989	sir:SiRe_2217
ko:K01191	sir:SiRe_2237
ko:K01597	sir:SiRe_2252
ko:K00938	sir:SiRe_2253
ko:K06994	sir:SiRe_1534
ko:K03593	sir:SiRe_1541
ko:K01934	sir:SiRe_1544
ko:K01724	sir:SiRe_0005
ko:K07503	sir:SiRe_0025
ko:K07055	sir:SiRe_0039
ko:K03540	sir:SiRe_0041
ko:K09825	sir:SiRe_0057
ko:K01478	sir:SiRe_0959
ko:K01990	sir:SiRe_0962
ko:K01992	sir:SiRe_0963
ko:K05966	sir:SiRe_1782
ko:K08093	sir:SiRe_1804
ko:K07025	sir:SiRe_2669
ko:K01515	sir:SiRe_2679
ko:K06928	sir:SiRe_2683
ko:K01916	sir:SiRe_2684
ko:K03386	sir:SiRe_0346
ko:K03307	sir:SiRe_0351
ko:K06910	sir:SiRe_1236
ko:K02433	sir:SiRe_1238
ko:K12589	sir:SiRe_1275
ko:K14561	sir:SiRe_1277
ko:K03234	sir:SiRe_1281
ko:K01259	sir:SiRe_2131
ko:K00059	sir:SiRe_2133
ko:K01990	sir:SiRe_0801
ko:K01992	sir:SiRe_0802
ko:K03856	sir:SiRe_1694
ko:K00626	sir:SiRe_2580
ko:K02033	sir:SiRe_2587
ko:K03518	sir:SiRe_0222
ko:K03519	sir:SiRe_0223
ko:K01974	sir:SiRe_0234
ko:K00852	sir:SiRe_0237
ko:K03726	sir:SiRe_0250
ko:K02050	sir:SiRe_0257
ko:K02049	sir:SiRe_0258
ko:K03307	sir:SiRe_0267
ko:K06994	sir:SiRe_0514
ko:K01474	sir:SiRe_0551
ko:K05595	sir:SiRe_1400
ko:K01496	sir:SiRe_1407
ko:K01523	sir:SiRe_1409
ko:K02124	sir:SiRe_1437
ko:K02120	sir:SiRe_1439
ko:K02118	sir:SiRe_1440
ko:K02117	sir:SiRe_1441
ko:K02121	sir:SiRe_1442
ko:K02122	sir:SiRe_1443
ko:K02035	sir:SiRe_2281
ko:K02033	sir:SiRe_2282
ko:K01474	sir:SiRe_2304
ko:K01011	sir:SiRe_2313
ko:K02433	sir:SiRe_1132
ko:K13280	sir:SiRe_1168
ko:K06877	sir:SiRe_1977
ko:K00852	sir:SiRe_1992
ko:K00721	sir:SiRe_2005
ko:K07575	sir:SiRe_2006
ko:K07114	sir:SiRe_1008
ko:K07114	sir:SiRe_1011
ko:K01039	sir:SiRe_1015
ko:K07588	sir:SiRe_0074
ko:K00059	sir:SiRe_0085
ko:K00059	sir:SiRe_0099
ko:K03399	sir:SiRe_0105
ko:K13953	sir:SiRe_0397
