ko:K02495	sfe:SFxv_4293
ko:K07000	sfe:SFxv_3372
ko:K03651	sfe:SFxv_3373
ko:K09920	sfe:SFxv_3374
ko:K12340	sfe:SFxv_3376
ko:K07238	sfe:SFxv_3380
ko:K09921	sfe:SFxv_4235
ko:K03733	sfe:SFxv_4236
ko:K03657	sfe:SFxv_4238
ko:K03284	sfe:SFxv_4244
ko:K05786	sfe:SFxv_4248
ko:K01058	sfe:SFxv_4250
ko:K03654	sfe:SFxv_4251
ko:K05835	sfe:SFxv_4252
ko:K05834	sfe:SFxv_4253
ko:K03576	sfe:SFxv_4257
ko:K00549	sfe:SFxv_4258
ko:K01061	sfe:SFxv_4260
ko:K00757	sfe:SFxv_4261
ko:K09760	sfe:SFxv_4262
ko:K03183	sfe:SFxv_4263
ko:K03690	sfe:SFxv_4265
ko:K03688	sfe:SFxv_4266
ko:K03116	sfe:SFxv_4267
ko:K03117	sfe:SFxv_4268
ko:K03118	sfe:SFxv_4269
ko:K03424	sfe:SFxv_4270
ko:K03182	sfe:SFxv_4272
ko:K05368	sfe:SFxv_4273
ko:K01825	sfe:SFxv_4275
ko:K03753	sfe:SFxv_4282
ko:K03752	sfe:SFxv_4283
ko:K09896	sfe:SFxv_4284
ko:K03673	sfe:SFxv_4286
ko:K03531	sfe:SFxv_0096
ko:K02535	sfe:SFxv_0098
ko:K13301	sfe:SFxv_0099
ko:K03070	sfe:SFxv_0100
ko:K09862	sfe:SFxv_0103
ko:K00859	sfe:SFxv_0105
ko:K00364	sfe:SFxv_0107
ko:K02505	sfe:SFxv_0109
ko:K02682	sfe:SFxv_0111
ko:K00767	sfe:SFxv_0112
ko:K03806	sfe:SFxv_0113
ko:K03807	sfe:SFxv_0114
ko:K11734	sfe:SFxv_0115
ko:K00163	sfe:SFxv_0117
ko:K00627	sfe:SFxv_0118
ko:K00382	sfe:SFxv_0119
ko:K01682	sfe:SFxv_0121
ko:K09910	sfe:SFxv_0122
ko:K01611	sfe:SFxv_0123
ko:K00797	sfe:SFxv_0124
ko:K14588	sfe:SFxv_0125
ko:K09997	sfe:SFxv_0885
ko:K11066	sfe:SFxv_0891
ko:K01620	sfe:SFxv_0894
ko:K00156	sfe:SFxv_0895
ko:K11933	sfe:SFxv_0896
ko:K06188	sfe:SFxv_0903
ko:K09824	sfe:SFxv_0907
ko:K13888	sfe:SFxv_0908
ko:K05685	sfe:SFxv_0909
ko:K03704	sfe:SFxv_0910
ko:K06891	sfe:SFxv_0911
ko:K03694	sfe:SFxv_0912
ko:K02518	sfe:SFxv_0913
ko:K00684	sfe:SFxv_0914
ko:K00384	sfe:SFxv_0917
ko:K03466	sfe:SFxv_0919
ko:K03634	sfe:SFxv_0920
ko:K07478	sfe:SFxv_0921
ko:K01875	sfe:SFxv_0922
ko:K07306	sfe:SFxv_0923
ko:K08219	sfe:SFxv_0928
ko:K09765	sfe:SFxv_0936
ko:K07661	sfe:SFxv_1825
ko:K06956	sfe:SFxv_1826
ko:K07639	sfe:SFxv_1827
ko:K01676	sfe:SFxv_1832
ko:K01809	sfe:SFxv_1833
ko:K01195	sfe:SFxv_1839
ko:K14155	sfe:SFxv_1848
ko:K10773	sfe:SFxv_1860
ko:K03305	sfe:SFxv_1861
ko:K00868	sfe:SFxv_1863
ko:K01866	sfe:SFxv_1864
ko:K00275	sfe:SFxv_1865
ko:K09001	sfe:SFxv_1870
ko:K06077	sfe:SFxv_1871
ko:K06938	sfe:SFxv_1881
ko:K10680	sfe:SFxv_1882
ko:K03683	sfe:SFxv_1884
ko:K07390	sfe:SFxv_1890
ko:K04564	sfe:SFxv_1892
ko:K01776	sfe:SFxv_2753
ko:K04019	sfe:SFxv_2756
ko:K04031	sfe:SFxv_2758
ko:K00029	sfe:SFxv_2759
ko:K00615	sfe:SFxv_2761
ko:K12945	sfe:SFxv_2763
ko:K06999	sfe:SFxv_2770
ko:K06957	sfe:SFxv_2771
ko:K01923	sfe:SFxv_2773
ko:K07287	sfe:SFxv_2775
ko:K01714	sfe:SFxv_2776
ko:K03567	sfe:SFxv_2777
ko:K03564	sfe:SFxv_2778
ko:K12138	sfe:SFxv_2781
ko:K12139	sfe:SFxv_2782
ko:K12140	sfe:SFxv_2783
ko:K12141	sfe:SFxv_2784
ko:K10763	sfe:SFxv_2794
ko:K00761	sfe:SFxv_2796
ko:K01933	sfe:SFxv_2797
ko:K11175	sfe:SFxv_2798
ko:K00937	sfe:SFxv_2799
ko:K01524	sfe:SFxv_2800
ko:K01951	sfe:SFxv_2808
ko:K02906	sfe:SFxv_3664
ko:K02946	sfe:SFxv_3665
ko:K03594	sfe:SFxv_3667
ko:K02192	sfe:SFxv_3668
ko:K02358	sfe:SFxv_3669
ko:K02355	sfe:SFxv_3670
ko:K02992	sfe:SFxv_3671
ko:K02950	sfe:SFxv_3672
ko:K07237	sfe:SFxv_3673
ko:K07236	sfe:SFxv_3674
ko:K07235	sfe:SFxv_3675
ko:K03745	sfe:SFxv_3678
ko:K07070	sfe:SFxv_3679
ko:K06158	sfe:SFxv_3682
ko:K00855	sfe:SFxv_3685
ko:K07397	sfe:SFxv_3686
ko:K04095	sfe:SFxv_3691
ko:K06141	sfe:SFxv_3694
ko:K00362	sfe:SFxv_3695
ko:K00363	sfe:SFxv_3696
ko:K02598	sfe:SFxv_3697
ko:K02302	sfe:SFxv_3698
ko:K10709	sfe:SFxv_3702
ko:K00965	sfe:SFxv_0602
ko:K00849	sfe:SFxv_0603
ko:K01626	sfe:SFxv_0606
ko:K03811	sfe:SFxv_0609
ko:K03517	sfe:SFxv_0610
ko:K03640	sfe:SFxv_0612
ko:K03641	sfe:SFxv_0613
ko:K03562	sfe:SFxv_0616
ko:K07107	sfe:SFxv_0617
ko:K00426	sfe:SFxv_0620
ko:K00425	sfe:SFxv_0621
ko:K11198	sfe:SFxv_0624
ko:K11199	sfe:SFxv_0624
ko:K11200	sfe:SFxv_0624
ko:K01902	sfe:SFxv_0626
ko:K01903	sfe:SFxv_0627
ko:K00658	sfe:SFxv_0628
ko:K00164	sfe:SFxv_0629
ko:K00240	sfe:SFxv_0632
ko:K00239	sfe:SFxv_0633
ko:K00242	sfe:SFxv_0634
ko:K01647	sfe:SFxv_0636
ko:K07160	sfe:SFxv_0644
ko:K03305	sfe:SFxv_0648
ko:K01669	sfe:SFxv_0649
ko:K11606	sfe:SFxv_1546
ko:K11605	sfe:SFxv_1547
ko:K03808	sfe:SFxv_1579
ko:K03607	sfe:SFxv_1581
ko:K03797	sfe:SFxv_1582
ko:K03799	sfe:SFxv_1583
ko:K08169	sfe:SFxv_1584
ko:K03704	sfe:SFxv_1590
ko:K00563	sfe:SFxv_1591
ko:K02529	sfe:SFxv_2468
ko:K07148	sfe:SFxv_2469
ko:K11733	sfe:SFxv_2474
ko:K01151	sfe:SFxv_2477
ko:K10213	sfe:SFxv_2480
ko:K02769	sfe:SFxv_2485
ko:K02770	sfe:SFxv_2485
ko:K02768	sfe:SFxv_2487
ko:K11183	sfe:SFxv_2487
ko:K03291	sfe:SFxv_2488
ko:K06940	sfe:SFxv_2492
ko:K02356	sfe:SFxv_2491
ko:K13694	sfe:SFxv_2496
ko:K13893	sfe:SFxv_2499
ko:K13894	sfe:SFxv_2500
ko:K13895	sfe:SFxv_2501
ko:K13896	sfe:SFxv_2502
ko:K07552	sfe:SFxv_2504
ko:K06899	sfe:SFxv_2507
ko:K09904	sfe:SFxv_2508
ko:K07014	sfe:SFxv_2509
ko:K07685	sfe:SFxv_2512
ko:K02199	sfe:SFxv_2514
ko:K02198	sfe:SFxv_2515
ko:K02197	sfe:SFxv_2516
ko:K02195	sfe:SFxv_2517
ko:K02194	sfe:SFxv_2518
ko:K02568	sfe:SFxv_2521
ko:K02573	sfe:SFxv_2523
ko:K03272	sfe:SFxv_3397
ko:K00982	sfe:SFxv_3398
ko:K07184	sfe:SFxv_3400
ko:K06153	sfe:SFxv_3402
ko:K01633	sfe:SFxv_3403
ko:K03780	sfe:SFxv_3408
ko:K11106	sfe:SFxv_3409
ko:K02970	sfe:SFxv_3411
ko:K03086	sfe:SFxv_3413
ko:K12113	sfe:SFxv_3422
ko:K12111	sfe:SFxv_3423
ko:K12112	sfe:SFxv_3424
ko:K03931	sfe:SFxv_3427
ko:K07043	sfe:SFxv_3431
ko:K07862	sfe:SFxv_3436
ko:K01685	sfe:SFxv_3438
ko:K01812	sfe:SFxv_3439
ko:K08191	sfe:SFxv_3440
ko:K03978	sfe:SFxv_4291
ko:K09894	sfe:SFxv_4292
ko:K07712	sfe:SFxv_4294
ko:K07708	sfe:SFxv_4295
ko:K01915	sfe:SFxv_4296
ko:K06207	sfe:SFxv_4297
ko:K15922	sfe:SFxv_4304
ko:K08318	sfe:SFxv_4308
ko:K07058	sfe:SFxv_4312
ko:K07560	sfe:SFxv_4313
ko:K02380	sfe:SFxv_4324
ko:K02379	sfe:SFxv_4328
ko:K11202	sfe:SFxv_4333
ko:K11203	sfe:SFxv_4333
ko:K11201	sfe:SFxv_4334
ko:K03534	sfe:SFxv_4335
ko:K00848	sfe:SFxv_4339
ko:K02854	sfe:SFxv_4342
ko:K02856	sfe:SFxv_4343
ko:K04564	sfe:SFxv_4344
ko:K10711	sfe:SFxv_3704
ko:K01867	sfe:SFxv_3713
ko:K01091	sfe:SFxv_3714
ko:K01783	sfe:SFxv_3715
ko:K03112	sfe:SFxv_3717
ko:K01735	sfe:SFxv_3718
ko:K01686	sfe:SFxv_4581
ko:K07350	sfe:SFxv_4583
ko:K07348	sfe:SFxv_4585
ko:K07351	sfe:SFxv_4590
ko:K07345	sfe:SFxv_4591
ko:K07357	sfe:SFxv_4593
ko:K11534	sfe:SFxv_4599
ko:K12957	sfe:SFxv_4607
ko:K06915	sfe:SFxv_4608
ko:K11720	sfe:SFxv_4609
ko:K07091	sfe:SFxv_4611
ko:K01255	sfe:SFxv_4612
ko:K02339	sfe:SFxv_4613
ko:K01873	sfe:SFxv_4614
ko:K03828	sfe:SFxv_4616
ko:K09893	sfe:SFxv_4617
ko:K00611	sfe:SFxv_4618
ko:K00609	sfe:SFxv_4628
ko:K00610	sfe:SFxv_4629
ko:K01531	sfe:SFxv_4631
ko:K12524	sfe:SFxv_0001
ko:K00872	sfe:SFxv_0002
ko:K01733	sfe:SFxv_0003
ko:K09861	sfe:SFxv_0005
ko:K03831	sfe:SFxv_0008
ko:K01546	sfe:SFxv_0658
ko:K01548	sfe:SFxv_0660
ko:K03645	sfe:SFxv_0668
ko:K03839	sfe:SFxv_0671
ko:K01886	sfe:SFxv_0678
ko:K02802	sfe:SFxv_0679
ko:K00117	sfe:SFxv_0127
ko:K00760	sfe:SFxv_0128
ko:K01673	sfe:SFxv_0129
ko:K01579	sfe:SFxv_0135
ko:K01918	sfe:SFxv_0137
ko:K00606	sfe:SFxv_0138
ko:K00950	sfe:SFxv_0141
ko:K01894	sfe:SFxv_0143
ko:K06204	sfe:SFxv_0144
ko:K06206	sfe:SFxv_0145
ko:K01975	sfe:SFxv_0147
ko:K03579	sfe:SFxv_0146
ko:K05365	sfe:SFxv_0148
ko:K02013	sfe:SFxv_0151
ko:K02016	sfe:SFxv_0152
ko:K03319	sfe:SFxv_0967
ko:K01681	sfe:SFxv_0968
ko:K01051	sfe:SFxv_0969
ko:K04069	sfe:SFxv_0972
ko:K09136	sfe:SFxv_0975
ko:K00831	sfe:SFxv_0977
ko:K00800	sfe:SFxv_0978
ko:K07387	sfe:SFxv_0980
ko:K00945	sfe:SFxv_0981
ko:K02945	sfe:SFxv_0982
ko:K05788	sfe:SFxv_0983
ko:K00912	sfe:SFxv_0986
ko:K09927	sfe:SFxv_0987
ko:K09791	sfe:SFxv_0988
ko:K00979	sfe:SFxv_0989
ko:K06219	sfe:SFxv_0992
ko:K03633	sfe:SFxv_0993
ko:K03804	sfe:SFxv_0994
ko:K03632	sfe:SFxv_0995
ko:K01893	sfe:SFxv_1002
ko:K00763	sfe:SFxv_1003
ko:K01256	sfe:SFxv_1004
ko:K00574	sfe:SFxv_1897
ko:K00793	sfe:SFxv_1898
ko:K03327	sfe:SFxv_1899
ko:K08354	sfe:SFxv_1904
ko:K00873	sfe:SFxv_1912
ko:K02426	sfe:SFxv_1916
ko:K11717	sfe:SFxv_1917
ko:K09015	sfe:SFxv_1918
ko:K09013	sfe:SFxv_1919
ko:K09014	sfe:SFxv_1920
ko:K05997	sfe:SFxv_1921
ko:K05887	sfe:SFxv_1929
ko:K03785	sfe:SFxv_1930
ko:K06871	sfe:SFxv_1934
ko:K13069	sfe:SFxv_1945
ko:K13243	sfe:SFxv_1946
ko:K08641	sfe:SFxv_1947
ko:K02034	sfe:SFxv_1948
ko:K03601	sfe:SFxv_2810
ko:K03977	sfe:SFxv_2812
ko:K01892	sfe:SFxv_2815
ko:K15539	sfe:SFxv_2817
ko:K06941	sfe:SFxv_2818
ko:K00940	sfe:SFxv_2819
ko:K05367	sfe:SFxv_2820
ko:K07751	sfe:SFxv_2826
ko:K04755	sfe:SFxv_2828
ko:K04044	sfe:SFxv_2829
ko:K04082	sfe:SFxv_2830
ko:K04487	sfe:SFxv_2833
ko:K13643	sfe:SFxv_2834
ko:K15396	sfe:SFxv_2835
ko:K05820	sfe:SFxv_2839
ko:K05817	sfe:SFxv_2840
ko:K02057	sfe:SFxv_2849
ko:K00600	sfe:SFxv_2854
ko:K05916	sfe:SFxv_2855
ko:K04751	sfe:SFxv_2856
ko:K07715	sfe:SFxv_2857
ko:K07711	sfe:SFxv_2859
ko:K01952	sfe:SFxv_2860
ko:K11991	sfe:SFxv_2862
ko:K00891	sfe:SFxv_3719
ko:K02507	sfe:SFxv_3720
ko:K12291	sfe:SFxv_3721
ko:K12290	sfe:SFxv_3722
ko:K12289	sfe:SFxv_3723
ko:K12288	sfe:SFxv_3724
ko:K05366	sfe:SFxv_3725
ko:K08312	sfe:SFxv_3726
ko:K04762	sfe:SFxv_3730
ko:K04083	sfe:SFxv_3731
ko:K01610	sfe:SFxv_3735
ko:K07638	sfe:SFxv_3736
ko:K07659	sfe:SFxv_3737
ko:K04760	sfe:SFxv_3738
ko:K06959	sfe:SFxv_3739
ko:K04758	sfe:SFxv_3741
ko:K04759	sfe:SFxv_3742
ko:K07490	sfe:SFxv_3743
ko:K02170	sfe:SFxv_3752
ko:K07400	sfe:SFxv_3753
ko:K06155	sfe:SFxv_3754
ko:K00705	sfe:SFxv_3755
ko:K00688	sfe:SFxv_3756
ko:K14415	sfe:SFxv_3759
ko:K14414	sfe:SFxv_3760
ko:K02444	sfe:SFxv_3761
ko:K02439	sfe:SFxv_3763
ko:K00111	sfe:SFxv_3764
ko:K00688	sfe:SFxv_3768
ko:K00703	sfe:SFxv_3769
ko:K00975	sfe:SFxv_3770
ko:K00133	sfe:SFxv_3773
ko:K06156	sfe:SFxv_3775
ko:K06145	sfe:SFxv_3777
ko:K03485	sfe:SFxv_4632
ko:K03592	sfe:SFxv_4639
ko:K09889	sfe:SFxv_4640
ko:K02558	sfe:SFxv_4641
ko:K03841	sfe:SFxv_4643
ko:K02057	sfe:SFxv_4646
ko:K09800	sfe:SFxv_4653
ko:K07278	sfe:SFxv_4654
ko:K07109	sfe:SFxv_4659
ko:K07322	sfe:SFxv_4666
ko:K11737	sfe:SFxv_4667
ko:K03773	sfe:SFxv_4668
ko:K07269	sfe:SFxv_4669
ko:K04084	sfe:SFxv_4679
ko:K03926	sfe:SFxv_4680
ko:K07791	sfe:SFxv_4681
ko:K01744	sfe:SFxv_4682
ko:K07113	sfe:SFxv_4683
ko:K04078	sfe:SFxv_4685
ko:K04077	sfe:SFxv_4686
ko:K02015	sfe:SFxv_0153
ko:K01845	sfe:SFxv_0154
ko:K15724	sfe:SFxv_0156
ko:K01129	sfe:SFxv_0160
ko:K00990	sfe:SFxv_0166
ko:K01265	sfe:SFxv_0167
ko:K02357	sfe:SFxv_0170
ko:K09903	sfe:SFxv_0171
ko:K02838	sfe:SFxv_0172
ko:K00099	sfe:SFxv_0173
ko:K00806	sfe:SFxv_0174
ko:K00981	sfe:SFxv_0175
ko:K11749	sfe:SFxv_0176
ko:K07277	sfe:SFxv_0177
ko:K06142	sfe:SFxv_0178
ko:K02536	sfe:SFxv_0179
ko:K02372	sfe:SFxv_0180
ko:K00677	sfe:SFxv_0181
ko:K00748	sfe:SFxv_0182
ko:K15553	sfe:SFxv_1013
ko:K00299	sfe:SFxv_1014
ko:K07347	sfe:SFxv_1020
ko:K07140	sfe:SFxv_1027
ko:K12297	sfe:SFxv_1028
ko:K15738	sfe:SFxv_1029
ko:K03808	sfe:SFxv_1030
ko:K06192	sfe:SFxv_1031
ko:K09857	sfe:SFxv_1032
ko:K03812	sfe:SFxv_1033
ko:K01716	sfe:SFxv_1034
ko:K04770	sfe:SFxv_1035
ko:K09911	sfe:SFxv_1036
ko:K03658	sfe:SFxv_1046
ko:K01734	sfe:SFxv_1047
ko:K06929	sfe:SFxv_1049
ko:K11940	sfe:SFxv_1051
ko:K06969	sfe:SFxv_1052
ko:K01512	sfe:SFxv_1053
ko:K03620	sfe:SFxv_1058
ko:K03619	sfe:SFxv_1060
ko:K03618	sfe:SFxv_1061
ko:K00425	sfe:SFxv_1062
ko:K00426	sfe:SFxv_1063
ko:K01093	sfe:SFxv_1064
ko:K01991	sfe:SFxv_1067
ko:K08349	sfe:SFxv_1958
ko:K02575	sfe:SFxv_1966
ko:K09936	sfe:SFxv_1977
ko:K00137	sfe:SFxv_1981
ko:K02053	sfe:SFxv_1982
ko:K03304	sfe:SFxv_1994
ko:K03817	sfe:SFxv_1996
ko:K09794	sfe:SFxv_1997
ko:K05876	sfe:SFxv_2002
ko:K00997	sfe:SFxv_2882
ko:K03474	sfe:SFxv_2883
ko:K03584	sfe:SFxv_2884
ko:K03685	sfe:SFxv_2886
ko:K03100	sfe:SFxv_2887
ko:K03596	sfe:SFxv_2888
ko:K03598	sfe:SFxv_2890
ko:K03597	sfe:SFxv_2891
ko:K03088	sfe:SFxv_2892
ko:K05590	sfe:SFxv_2895
ko:K11249	sfe:SFxv_2897
ko:K03648	sfe:SFxv_2899
ko:K03214	sfe:SFxv_2900
ko:K03672	sfe:SFxv_2901
ko:K00998	sfe:SFxv_2904
ko:K05811	sfe:SFxv_2905
ko:K05807	sfe:SFxv_2910
ko:K06180	sfe:SFxv_2911
ko:K05810	sfe:SFxv_2912
ko:K03695	sfe:SFxv_2913
ko:K05809	sfe:SFxv_2916
ko:K14170	sfe:SFxv_2917
ko:K14187	sfe:SFxv_2918
ko:K01626	sfe:SFxv_2919
ko:K06911	sfe:SFxv_3778
ko:K01126	sfe:SFxv_3783
ko:K05813	sfe:SFxv_3787
ko:K01996	sfe:SFxv_3788
ko:K01995	sfe:SFxv_3789
ko:K01998	sfe:SFxv_3790
ko:K01997	sfe:SFxv_3791
ko:K01999	sfe:SFxv_3792
ko:K01999	sfe:SFxv_3794
ko:K03089	sfe:SFxv_3795
ko:K09811	sfe:SFxv_3796
ko:K09812	sfe:SFxv_3797
ko:K03110	sfe:SFxv_3798
ko:K08993	sfe:SFxv_3800
ko:K01534	sfe:SFxv_3803
ko:K09125	sfe:SFxv_3805
ko:K06133	sfe:SFxv_3809
ko:K15584	sfe:SFxv_3810
ko:K15585	sfe:SFxv_3811
ko:K15586	sfe:SFxv_3812
ko:K15587	sfe:SFxv_3813
ko:K10824	sfe:SFxv_3814
ko:K07722	sfe:SFxv_3815
ko:K13926	sfe:SFxv_3818
ko:K01993	sfe:SFxv_3819
ko:K02356	sfe:SFxv_4692
ko:K03098	sfe:SFxv_4696
ko:K00246	sfe:SFxv_4699
ko:K04568	sfe:SFxv_4702
ko:K01613	sfe:SFxv_4707
ko:K06949	sfe:SFxv_4708
ko:K13288	sfe:SFxv_4709
ko:K06925	sfe:SFxv_4712
ko:K01448	sfe:SFxv_4713
ko:K03572	sfe:SFxv_4714
ko:K00791	sfe:SFxv_4715
ko:K03666	sfe:SFxv_4716
ko:K03665	sfe:SFxv_4717
ko:K04088	sfe:SFxv_4718
ko:K04087	sfe:SFxv_4719
ko:K09937	sfe:SFxv_4720
ko:K01939	sfe:SFxv_4721
ko:K13771	sfe:SFxv_4722
ko:K12573	sfe:SFxv_4723
ko:K03218	sfe:SFxv_4724
ko:K08989	sfe:SFxv_4727
ko:K03477	sfe:SFxv_4737
ko:K03078	sfe:SFxv_4742
ko:K03281	sfe:SFxv_0155
ko:K03470	sfe:SFxv_0183
ko:K02337	sfe:SFxv_0184
ko:K01962	sfe:SFxv_0185
ko:K04075	sfe:SFxv_0188
ko:K15034	sfe:SFxv_0192
ko:K06079	sfe:SFxv_0193
ko:K01881	sfe:SFxv_0195
ko:K06080	sfe:SFxv_0197
ko:K02073	sfe:SFxv_0198
ko:K02072	sfe:SFxv_0199
ko:K02071	sfe:SFxv_0200
ko:K03273	sfe:SFxv_0201
ko:K06222	sfe:SFxv_0204
ko:K03704	sfe:SFxv_1072
ko:K03704	sfe:SFxv_1074
ko:K11930	sfe:SFxv_1080
ko:K03532	sfe:SFxv_1082
ko:K05516	sfe:SFxv_1089
ko:K01085	sfe:SFxv_1091
ko:K03809	sfe:SFxv_1093
ko:K09016	sfe:SFxv_1095
ko:K09024	sfe:SFxv_1096
ko:K09019	sfe:SFxv_1097
ko:K09023	sfe:SFxv_1098
ko:K09021	sfe:SFxv_1099
ko:K09018	sfe:SFxv_1101
ko:K07243	sfe:SFxv_1105
ko:K07224	sfe:SFxv_1107
ko:K00645	sfe:SFxv_1113
ko:K01698	sfe:SFxv_0263
ko:K03119	sfe:SFxv_0264
ko:K15552	sfe:SFxv_0265
ko:K15551	sfe:SFxv_0267
ko:K00782	sfe:SFxv_0273
ko:K03271	sfe:SFxv_0289
ko:K02400	sfe:SFxv_0295
ko:K02557	sfe:SFxv_0294
ko:K02346	sfe:SFxv_0296
ko:K02839	sfe:SFxv_0301
ko:K11750	sfe:SFxv_0304
ko:K11926	sfe:SFxv_0305
ko:K00931	sfe:SFxv_0308
ko:K00147	sfe:SFxv_0309
ko:K11941	sfe:SFxv_1185
ko:K03670	sfe:SFxv_1187
ko:K03669	sfe:SFxv_1188
ko:K02517	sfe:SFxv_1207
ko:K07146	sfe:SFxv_1208
ko:K02846	sfe:SFxv_1213
ko:K12148	sfe:SFxv_1214
ko:K12149	sfe:SFxv_1215
ko:K01465	sfe:SFxv_1216
ko:K03675	sfe:SFxv_1218
ko:K08162	sfe:SFxv_1219
ko:K03790	sfe:SFxv_1220
ko:K09915	sfe:SFxv_1221
ko:K03980	sfe:SFxv_1223
ko:K02399	sfe:SFxv_1224
ko:K02398	sfe:SFxv_1225
ko:K02386	sfe:SFxv_1227
ko:K02387	sfe:SFxv_1228
ko:K02389	sfe:SFxv_1230
ko:K02390	sfe:SFxv_1231
ko:K02392	sfe:SFxv_1233
ko:K02393	sfe:SFxv_1234
ko:K02394	sfe:SFxv_1235
ko:K02395	sfe:SFxv_1236
ko:K08300	sfe:SFxv_1239
ko:K07040	sfe:SFxv_1244
ko:K02911	sfe:SFxv_1245
ko:K03621	sfe:SFxv_1246
ko:K00648	sfe:SFxv_1247
ko:K07136	sfe:SFxv_2134
ko:K15256	sfe:SFxv_2135
ko:K15257	sfe:SFxv_2136
ko:K02804	sfe:SFxv_0679
ko:K01443	sfe:SFxv_0681
ko:K02565	sfe:SFxv_0682
ko:K01953	sfe:SFxv_0684
ko:K03184	sfe:SFxv_0686
ko:K06168	sfe:SFxv_0687
ko:K07042	sfe:SFxv_0689
ko:K06189	sfe:SFxv_0690
ko:K03820	sfe:SFxv_0691
ko:K10001	sfe:SFxv_0693
ko:K10003	sfe:SFxv_0694
ko:K10002	sfe:SFxv_0695
ko:K10004	sfe:SFxv_0696
ko:K01869	sfe:SFxv_0706
ko:K03643	sfe:SFxv_0707
ko:K02340	sfe:SFxv_0708
ko:K00969	sfe:SFxv_0709
ko:K01752	sfe:SFxv_1601
ko:K01665	sfe:SFxv_1603
ko:K09917	sfe:SFxv_1604
ko:K07285	sfe:SFxv_1610
ko:K03684	sfe:SFxv_1612
ko:K13069	sfe:SFxv_1617
ko:K03449	sfe:SFxv_1619
ko:K07180	sfe:SFxv_1626
ko:K01792	sfe:SFxv_1629
ko:K00134	sfe:SFxv_1630
ko:K09916	sfe:SFxv_1632
ko:K08369	sfe:SFxv_1634
ko:K08369	sfe:SFxv_1640
ko:K08281	sfe:SFxv_1641
ko:K04773	sfe:SFxv_1643
ko:K01008	sfe:SFxv_1645
ko:K00262	sfe:SFxv_1648
ko:K08320	sfe:SFxv_1654
ko:K02567	sfe:SFxv_2524
ko:K02570	sfe:SFxv_2525
ko:K02572	sfe:SFxv_2526
ko:K08276	sfe:SFxv_2528
ko:K06159	sfe:SFxv_2530
ko:K03919	sfe:SFxv_2531
ko:K10778	sfe:SFxv_2533
ko:K03734	sfe:SFxv_2534
ko:K09475	sfe:SFxv_2535
ko:K07676	sfe:SFxv_2537
ko:K07687	sfe:SFxv_2538
ko:K07677	sfe:SFxv_2539
ko:K06894	sfe:SFxv_2542
ko:K09934	sfe:SFxv_2547
ko:K02469	sfe:SFxv_2549
ko:K11107	sfe:SFxv_2559
ko:K01126	sfe:SFxv_2562
ko:K02445	sfe:SFxv_2563
ko:K00111	sfe:SFxv_2564
ko:K00112	sfe:SFxv_2565
ko:K00113	sfe:SFxv_2566
ko:K12660	sfe:SFxv_2569
ko:K07806	sfe:SFxv_2574
ko:K10012	sfe:SFxv_2575
ko:K10011	sfe:SFxv_2577
ko:K13014	sfe:SFxv_2578
ko:K07264	sfe:SFxv_2579
ko:K12962	sfe:SFxv_2580
ko:K12963	sfe:SFxv_2581
ko:K01911	sfe:SFxv_2583
ko:K01661	sfe:SFxv_2585
