ko:K10773	nmn:NMCC_0472
ko:K00616	nmn:NMCC_1791
ko:K03555	nmn:NMCC_2120
ko:K00558	nmn:NMCC_1162
ko:K07213	nmn:NMCC_1181
ko:K08307	nmn:NMCC_1210
ko:K02867	nmn:NMCC_2017
ko:K07501	nmn:NMCC_1322
ko:K03695	nmn:NMCC_1384
ko:K03787	nmn:NMCC_1395
ko:K00782	nmn:NMCC_1347
ko:K00052	nmn:NMCC_1164
ko:K00925	nmn:NMCC_1711
ko:K10563	nmn:NMCC_1208
ko:K03043	nmn:NMCC_2013
ko:K02935	nmn:NMCC_2014
ko:K02358	nmn:NMCC_2008
ko:K07270	nmn:NMCC_0290
ko:K07270	nmn:NMCC_0292
ko:K00833	nmn:NMCC_0692
ko:K03665	nmn:NMCC_1154
ko:K03550	nmn:NMCC_1880
ko:K00919	nmn:NMCC_0833
ko:K08303	nmn:NMCC_1575
ko:K03177	nmn:NMCC_1286
ko:K01448	nmn:NMCC_1687
ko:K03498	nmn:NMCC_0614
ko:K03111	nmn:NMCC_1373
ko:K04066	nmn:NMCC_0493
ko:K01878	nmn:NMCC_0286
ko:K03551	nmn:NMCC_1124
ko:K00405	nmn:NMCC_1637
ko:K03572	nmn:NMCC_1353
ko:K03673	nmn:NMCC_1851
ko:K01159	nmn:NMCC_1325
ko:K05366	nmn:NMCC_0421
ko:K00963	nmn:NMCC_0586
ko:K03303	nmn:NMCC_0484
ko:K06183	nmn:NMCC_1211
ko:K00604	nmn:NMCC_2038
ko:K07042	nmn:NMCC_0479
ko:K00567	nmn:NMCC_1436
ko:K03110	nmn:NMCC_0046
ko:K01649	nmn:NMCC_0988
ko:K02493	nmn:NMCC_0121
ko:K00242	nmn:NMCC_0893
ko:K01962	nmn:NMCC_1058
ko:K03469	nmn:NMCC_1527
ko:K03470	nmn:NMCC_1958
ko:K00350	nmn:NMCC_0511
ko:K00351	nmn:NMCC_0510
ko:K02335	nmn:NMCC_0231
ko:K03656	nmn:NMCC_1358
ko:K01939	nmn:NMCC_0779
ko:K03315	nmn:NMCC_0476
ko:K03685	nmn:NMCC_0642
ko:K01256	nmn:NMCC_1321
ko:K02517	nmn:NMCC_1324
ko:K04567	nmn:NMCC_1335
ko:K01262	nmn:NMCC_1337
ko:K00800	nmn:NMCC_1342
ko:K02907	nmn:NMCC_1989
ko:K02876	nmn:NMCC_1988a
ko:K00762	nmn:NMCC_0347
ko:K02874	nmn:NMCC_1995a
ko:K02994	nmn:NMCC_1992a
ko:K02933	nmn:NMCC_1992
ko:K03595	nmn:NMCC_0644
ko:K02110	nmn:NMCC_0279
ko:K02113	nmn:NMCC_0281
ko:K01704	nmn:NMCC_1161
ko:K03687	nmn:NMCC_0507
ko:K00332	nmn:NMCC_1903
ko:K00335	nmn:NMCC_1900
ko:K03274	nmn:NMCC_0789
ko:K02837	nmn:NMCC_0574
ko:K00901	nmn:NMCC_1460
ko:K00549	nmn:NMCC_0887
ko:K03835	nmn:NMCC_0168
ko:K03183	nmn:NMCC_0707
ko:K01142	nmn:NMCC_1746
ko:K00525	nmn:NMCC_1204
ko:K06076	nmn:NMCC_0097
ko:K02945	nmn:NMCC_1214
ko:K00820	nmn:NMCC_0032
ko:K02434	nmn:NMCC_1269
ko:K02433	nmn:NMCC_1267
ko:K02160	nmn:NMCC_0361
ko:K04754	nmn:NMCC_0254
ko:K06192	nmn:NMCC_1582
ko:K03808	nmn:NMCC_1581
ko:K01007	nmn:NMCC_0566
ko:K02435	nmn:NMCC_1266
ko:K03760	nmn:NMCC_1538
ko:K03923	nmn:NMCC_0365
ko:K01147	nmn:NMCC_1863
ko:K02357	nmn:NMCC_2066
ko:K08591	nmn:NMCC_0978
ko:K02834	nmn:NMCC_1285
ko:K00341	nmn:NMCC_1891
ko:K03624	nmn:NMCC_1341
ko:K01972	nmn:NMCC_0619
ko:K00677	nmn:NMCC_1974
ko:K00057	nmn:NMCC_0126
ko:K07488	nmn:NMCC_1908
ko:K00790	nmn:NMCC_0012
ko:K01297	nmn:NMCC_1529
ko:K02339	nmn:NMCC_1471
ko:K06945	nmn:NMCC_1665
ko:K02169	nmn:NMCC_1668
ko:K07173	nmn:NMCC_0232
ko:K03040	nmn:NMCC_1984
ko:K06518	nmn:NMCC_0201
ko:K02340	nmn:NMCC_0667
ko:K03634	nmn:NMCC_0570
ko:K02911	nmn:NMCC_0309
ko:K07056	nmn:NMCC_0312
ko:K02112	nmn:NMCC_0284
ko:K01657	nmn:NMCC_0965
ko:K02968	nmn:NMCC_1679
ko:K01689	nmn:NMCC_1198
ko:K08324	nmn:NMCC_1264
ko:K07166	nmn:NMCC_1555
ko:K00239	nmn:NMCC_0894
ko:K03153	nmn:NMCC_0117
ko:K02879	nmn:NMCC_1983
ko:K01703	nmn:NMCC_1159
ko:K00766	nmn:NMCC_0910
ko:K03648	nmn:NMCC_1101
ko:K07568	nmn:NMCC_0363
ko:K02931	nmn:NMCC_1994
ko:K02954	nmn:NMCC_1993
ko:K02881	nmn:NMCC_1991
ko:K02988	nmn:NMCC_1990
ko:K02919	nmn:NMCC_1987a
ko:K02669	nmn:NMCC_0052
ko:K00411	nmn:NMCC_0133
ko:K04044	nmn:NMCC_1050
ko:K02952	nmn:NMCC_1987
ko:K02948	nmn:NMCC_1986
ko:K02986	nmn:NMCC_1985
ko:K02835	nmn:NMCC_1599
ko:K03655	nmn:NMCC_0438
ko:K03179	nmn:NMCC_0695
ko:K01956	nmn:NMCC_0373
ko:K00526	nmn:NMCC_1201
ko:K00845	nmn:NMCC_1305
ko:K00004	nmn:NMCC_0550
ko:K02010	nmn:NMCC_0580
ko:K04075	nmn:NMCC_1059
ko:K07684	nmn:NMCC_1131
ko:K00413	nmn:NMCC_0135
ko:K01056	nmn:NMCC_0759
ko:K03631	nmn:NMCC_0701
ko:K07462	nmn:NMCC_0800
ko:K08304	nmn:NMCC_0034
ko:K09458	nmn:NMCC_1926
ko:K02563	nmn:NMCC_1722
ko:K03975	nmn:NMCC_0967
ko:K03702	nmn:NMCC_1244
ko:K01915	nmn:NMCC_1782
ko:K02437	nmn:NMCC_0521
ko:K02313	nmn:NMCC_0317
ko:K00974	nmn:NMCC_1122
ko:K00970	nmn:NMCC_0802
ko:K03701	nmn:NMCC_0906
ko:K03723	nmn:NMCC_1194
ko:K03980	nmn:NMCC_1868
ko:K07447	nmn:NMCC_1250
ko:K00600	nmn:NMCC_0971
ko:K04095	nmn:NMCC_1893
ko:K06223	nmn:NMCC_0325
ko:K02498	nmn:NMCC_0743
ko:K01599	nmn:NMCC_0744
ko:K07223	nmn:NMCC_0752
ko:K09801	nmn:NMCC_0760
ko:K03798	nmn:NMCC_0762
ko:K02427	nmn:NMCC_0763
ko:K01698	nmn:NMCC_0765
ko:K06182	nmn:NMCC_0770
ko:K00858	nmn:NMCC_0771
ko:K00075	nmn:NMCC_0775
ko:K03327	nmn:NMCC_0777
ko:K02502	nmn:NMCC_0778
ko:K03799	nmn:NMCC_0783
ko:K00939	nmn:NMCC_0784
ko:K01591	nmn:NMCC_0785
ko:K00404	nmn:NMCC_1638
ko:K03559	nmn:NMCC_1641
ko:K03675	nmn:NMCC_1647
ko:K01012	nmn:NMCC_1066
ko:K00381	nmn:NMCC_1069
ko:K00380	nmn:NMCC_1070
ko:K00390	nmn:NMCC_1073
ko:K06207	nmn:NMCC_1078
ko:K00990	nmn:NMCC_1086
ko:K03594	nmn:NMCC_1088
ko:K03594	nmn:NMCC_1089
ko:K03644	nmn:NMCC_1095
ko:K03801	nmn:NMCC_1096
ko:K09158	nmn:NMCC_1098
ko:K06158	nmn:NMCC_1107
ko:K00003	nmn:NMCC_1109
ko:K03530	nmn:NMCC_1111
ko:K09808	nmn:NMCC_1116
ko:K06187	nmn:NMCC_1118
ko:K03770	nmn:NMCC_1119
ko:K09889	nmn:NMCC_0798
ko:K06217	nmn:NMCC_0804
ko:K01494	nmn:NMCC_0807
ko:K07018	nmn:NMCC_0825
ko:K00797	nmn:NMCC_0826
ko:K00606	nmn:NMCC_0829
ko:K01918	nmn:NMCC_0830
ko:K02494	nmn:NMCC_0832
ko:K00948	nmn:NMCC_0837
ko:K02897	nmn:NMCC_0838
ko:K07258	nmn:NMCC_0839
ko:K01754	nmn:NMCC_0840
ko:K02045	nmn:NMCC_0841
ko:K02047	nmn:NMCC_0842
ko:K02046	nmn:NMCC_0843
ko:K08084	nmn:NMCC_0848
ko:K02672	nmn:NMCC_0850
ko:K02655	nmn:NMCC_0852
ko:K01520	nmn:NMCC_0854
ko:K09823	nmn:NMCC_1176
ko:K00865	nmn:NMCC_1178
ko:K02864	nmn:NMCC_2015
ko:K02863	nmn:NMCC_2016
ko:K02601	nmn:NMCC_2018
ko:K03073	nmn:NMCC_2019
ko:K03747	nmn:NMCC_2031
ko:K03319	nmn:NMCC_1672
ko:K01480	nmn:NMCC_1673
ko:K01776	nmn:NMCC_1685
ko:K06925	nmn:NMCC_1686
ko:K07444	nmn:NMCC_1689
ko:K04096	nmn:NMCC_2032
ko:K01462	nmn:NMCC_2039
ko:K00610	nmn:NMCC_2043
ko:K07056	nmn:NMCC_2053
ko:K07460	nmn:NMCC_2054
ko:K01265	nmn:NMCC_2058
ko:K00116	nmn:NMCC_2061
ko:K03599	nmn:NMCC_0262
ko:K03600	nmn:NMCC_0263
ko:K09117	nmn:NMCC_0265
ko:K02970	nmn:NMCC_0266
ko:K01783	nmn:NMCC_1125
ko:K06923	nmn:NMCC_1127
ko:K03752	nmn:NMCC_1129
ko:K07673	nmn:NMCC_1130
ko:K03427	nmn:NMCC_1140
ko:K01153	nmn:NMCC_1142
ko:K07478	nmn:NMCC_1143
ko:K01733	nmn:NMCC_1149
ko:K00528	nmn:NMCC_1151
ko:K09765	nmn:NMCC_1156
ko:K03630	nmn:NMCC_1157
ko:K01919	nmn:NMCC_1158
ko:K06980	nmn:NMCC_1171
ko:K03609	nmn:NMCC_1981
ko:K02806	nmn:NMCC_0696
ko:K00278	nmn:NMCC_1751
ko:K03497	nmn:NMCC_0272
ko:K02670	nmn:NMCC_0051
ko:K06997	nmn:NMCC_0053
ko:K00286	nmn:NMCC_0055
ko:K06204	nmn:NMCC_0056
ko:K01790	nmn:NMCC_0069
ko:K00325	nmn:NMCC_0921
ko:K01448	nmn:NMCC_0930
ko:K03777	nmn:NMCC_0940
ko:K05541	nmn:NMCC_0943
ko:K02048	nmn:NMCC_0961
ko:K02108	nmn:NMCC_0278
ko:K02109	nmn:NMCC_0280
ko:K03557	nmn:NMCC_1326
ko:K09824	nmn:NMCC_1268
ko:K00275	nmn:NMCC_1271
ko:K06178	nmn:NMCC_1272
ko:K07322	nmn:NMCC_1276
ko:K03671	nmn:NMCC_1277
ko:K03544	nmn:NMCC_1284
ko:K00101	nmn:NMCC_1290
ko:K02652	nmn:NMCC_1814
ko:K02523	nmn:NMCC_1817
ko:K02888	nmn:NMCC_1818
ko:K02899	nmn:NMCC_1819
ko:K02913	nmn:NMCC_1822
ko:K02902	nmn:NMCC_1823
ko:K03543	nmn:NMCC_1826
ko:K01885	nmn:NMCC_0003
ko:K09812	nmn:NMCC_0007
ko:K00927	nmn:NMCC_0010
ko:K02527	nmn:NMCC_0016
ko:K00033	nmn:NMCC_0017
ko:K02535	nmn:NMCC_0020
ko:K07243	nmn:NMCC_0035
ko:K07224	nmn:NMCC_0036
ko:K06193	nmn:NMCC_0038
ko:K02064	nmn:NMCC_0042
ko:K03442	nmn:NMCC_0043
ko:K03743	nmn:NMCC_0044
ko:K07461	nmn:NMCC_0047
ko:K03521	nmn:NMCC_2114
ko:K02841	nmn:NMCC_2115
ko:K00134	nmn:NMCC_2119
ko:K01255	nmn:NMCC_1473
ko:K07091	nmn:NMCC_1472
ko:K09773	nmn:NMCC_0567
ko:K01496	nmn:NMCC_0575
ko:K02011	nmn:NMCC_0581
ko:K02012	nmn:NMCC_0582
ko:K11073	nmn:NMCC_1504
ko:K01872	nmn:NMCC_1505
ko:K10764	nmn:NMCC_1515
ko:K03499	nmn:NMCC_1520
ko:K00432	nmn:NMCC_1530
ko:K04561	nmn:NMCC_1531
ko:K00831	nmn:NMCC_1540
ko:K01142	nmn:NMCC_0103
ko:K00133	nmn:NMCC_0105
ko:K03149	nmn:NMCC_0114
ko:K03154	nmn:NMCC_0115
ko:K00788	nmn:NMCC_0116
ko:K03568	nmn:NMCC_0119
ko:K07084	nmn:NMCC_0122
ko:K03745	nmn:NMCC_0123
ko:K01595	nmn:NMCC_0124
ko:K09888	nmn:NMCC_0128
ko:K02871	nmn:NMCC_0129
ko:K02996	nmn:NMCC_0130
ko:K03576	nmn:NMCC_0131
ko:K00412	nmn:NMCC_0134
ko:K00931	nmn:NMCC_0987
ko:K07039	nmn:NMCC_0989
ko:K00930	nmn:NMCC_0992
ko:K10763	nmn:NMCC_0995
ko:K02471	nmn:NMCC_0996
ko:K03703	nmn:NMCC_1241
ko:K03585	nmn:NMCC_1628
ko:K01154	nmn:NMCC_0792
ko:K00311	nmn:NMCC_0527
ko:K02338	nmn:NMCC_0318
ko:K02314	nmn:NMCC_0847
ko:K02316	nmn:NMCC_1445
ko:K00537	nmn:NMCC_0005
ko:K00611	nmn:NMCC_1476
ko:K00053	nmn:NMCC_1477
ko:K01653	nmn:NMCC_1479
ko:K07152	nmn:NMCC_1482
ko:K01693	nmn:NMCC_1487
ko:K00995	nmn:NMCC_1498
ko:K00554	nmn:NMCC_0536
ko:K02860	nmn:NMCC_0537
ko:K02959	nmn:NMCC_0538
ko:K06287	nmn:NMCC_0544
ko:K03117	nmn:NMCC_0546
ko:K03116	nmn:NMCC_0547
ko:K01523	nmn:NMCC_0549
ko:K03584	nmn:NMCC_1696
ko:K01695	nmn:NMCC_0634
ko:K06173	nmn:NMCC_0161
ko:K01624	nmn:NMCC_0352
ko:K01662	nmn:NMCC_0354
ko:K01955	nmn:NMCC_0367
ko:K02674	nmn:NMCC_0375
ko:K03593	nmn:NMCC_0376
ko:K01938	nmn:NMCC_0383
ko:K06942	nmn:NMCC_0384
ko:K01866	nmn:NMCC_0387
ko:K01870	nmn:NMCC_0389
ko:K03101	nmn:NMCC_0390
ko:K03527	nmn:NMCC_0391
ko:K04488	nmn:NMCC_1295
ko:K04082	nmn:NMCC_1297
ko:K01810	nmn:NMCC_1303
ko:K01057	nmn:NMCC_1306
ko:K00036	nmn:NMCC_1307
ko:K01690	nmn:NMCC_1308
ko:K01803	nmn:NMCC_0334
ko:K00573	nmn:NMCC_0336
ko:K06941	nmn:NMCC_1221
ko:K02887	nmn:NMCC_0683
ko:K02916	nmn:NMCC_0682
ko:K00558	nmn:NMCC_0787
ko:K00558	nmn:NMCC_0747
ko:K14682	nmn:NMCC_0345
ko:K03610	nmn:NMCC_1982
ko:K10806	nmn:NMCC_0866
ko:K09007	nmn:NMCC_0766
ko:K03118	nmn:NMCC_0545
ko:K02500	nmn:NMCC_0576
ko:K03590	nmn:NMCC_1718
ko:K03592	nmn:NMCC_0797
ko:K02238	nmn:NMCC_0660
ko:K02655	nmn:NMCC_0489
ko:K03608	nmn:NMCC_1980
ko:K02600	nmn:NMCC_1542
ko:K01933	nmn:NMCC_1133
ko:K01903	nmn:NMCC_0902
ko:K03654	nmn:NMCC_1871
ko:K01902	nmn:NMCC_0903
ko:K02346	nmn:NMCC_1359
ko:K03785	nmn:NMCC_1357
ko:K01889	nmn:NMCC_0684
ko:K03046	nmn:NMCC_2012
ko:K00793	nmn:NMCC_1128
ko:K00794	nmn:NMCC_0641
ko:K03582	nmn:NMCC_0751
ko:K03581	nmn:NMCC_1114
ko:K00324	nmn:NMCC_0923
ko:K00163	nmn:NMCC_1254
ko:K03583	nmn:NMCC_1632
ko:K00609	nmn:NMCC_2044
ko:K04564	nmn:NMCC_0846
ko:K01696	nmn:NMCC_0658
ko:K02687	nmn:NMCC_0359
ko:K03106	nmn:NMCC_1850
ko:K02342	nmn:NMCC_1419
ko:K04565	nmn:NMCC_1314
ko:K03722	nmn:NMCC_1858
ko:K02686	nmn:NMCC_1237
ko:K02621	nmn:NMCC_1510
ko:K05589	nmn:NMCC_1199
ko:K00287	nmn:NMCC_1836
ko:K00346	nmn:NMCC_0515
ko:K02343	nmn:NMCC_1354
ko:K01892	nmn:NMCC_0812
ko:K00347	nmn:NMCC_0514
ko:K00348	nmn:NMCC_0513
ko:K00349	nmn:NMCC_0512
ko:K02337	nmn:NMCC_0398
ko:K03060	nmn:NMCC_1570
ko:K09861	nmn:NMCC_0856
ko:K07287	nmn:NMCC_0871
ko:K01714	nmn:NMCC_0872
ko:K03218	nmn:NMCC_0874
ko:K09793	nmn:NMCC_0875
ko:K00791	nmn:NMCC_0877
ko:K00641	nmn:NMCC_0883
ko:K02919	nmn:NMCC_0884
ko:K02909	nmn:NMCC_0885
ko:K00241	nmn:NMCC_0892
ko:K09159	nmn:NMCC_0896
ko:K01647	nmn:NMCC_0897
ko:K00164	nmn:NMCC_0898
ko:K01613	nmn:NMCC_0907
ko:K02014	nmn:NMCC_0908
ko:K01658	nmn:NMCC_0909
ko:K03621	nmn:NMCC_0307
ko:K07101	nmn:NMCC_0308
ko:K07040	nmn:NMCC_0310
ko:K03217	nmn:NMCC_0313
ko:K08998	nmn:NMCC_0314
ko:K03536	nmn:NMCC_0315
ko:K04083	nmn:NMCC_0205
ko:K01952	nmn:NMCC_0209
ko:K02013	nmn:NMCC_0211
ko:K02015	nmn:NMCC_0213
ko:K02015	nmn:NMCC_0214
ko:K02016	nmn:NMCC_0215
ko:K03650	nmn:NMCC_0220
ko:K06202	nmn:NMCC_0235
ko:K01586	nmn:NMCC_0237
ko:K03308	nmn:NMCC_0238
ko:K02065	nmn:NMCC_0249
ko:K02066	nmn:NMCC_0250
ko:K02067	nmn:NMCC_0251
ko:K07323	nmn:NMCC_0252
ko:K02909	nmn:NMCC_0259
ko:K00997	nmn:NMCC_1692
ko:K03797	nmn:NMCC_1245
ko:K04773	nmn:NMCC_2085
ko:K01940	nmn:NMCC_2087
ko:K09800	nmn:NMCC_2092
ko:K03305	nmn:NMCC_2095
ko:K02836	nmn:NMCC_2097
ko:K09930	nmn:NMCC_2101
ko:K09929	nmn:NMCC_2102
ko:K03088	nmn:NMCC_2103
ko:K07566	nmn:NMCC_2108
ko:K01945	nmn:NMCC_2110
ko:K03522	nmn:NMCC_2113
ko:K02914	nmn:NMCC_0316
ko:K00937	nmn:NMCC_0320
ko:K09795	nmn:NMCC_1184
ko:K02168	nmn:NMCC_1188
ko:K01627	nmn:NMCC_1196
ko:K11107	nmn:NMCC_1200
ko:K00655	nmn:NMCC_1207
ko:K00945	nmn:NMCC_1213
ko:K03210	nmn:NMCC_0552
ko:K03072	nmn:NMCC_0553
ko:K03074	nmn:NMCC_0554
ko:K02956	nmn:NMCC_0556
ko:K11076	nmn:NMCC_0557
ko:K11074	nmn:NMCC_0559
ko:K09471	nmn:NMCC_0560
ko:K03320	nmn:NMCC_0562
ko:K03628	nmn:NMCC_0565
ko:K07102	nmn:NMCC_1866
ko:K03673	nmn:NMCC_1867
ko:K07019	nmn:NMCC_1869
ko:K01609	nmn:NMCC_1870
ko:K02170	nmn:NMCC_1875
ko:K03216	nmn:NMCC_1877
ko:K03642	nmn:NMCC_1878
ko:K06949	nmn:NMCC_1883
ko:K00795	nmn:NMCC_1885
ko:K00973	nmn:NMCC_0070
ko:K01991	nmn:NMCC_0079
ko:K10107	nmn:NMCC_0080
ko:K09688	nmn:NMCC_0081
ko:K09689	nmn:NMCC_0082
ko:K06959	nmn:NMCC_0083
ko:K01790	nmn:NMCC_0089
ko:K07266	nmn:NMCC_0090
ko:K07265	nmn:NMCC_0091
ko:K03312	nmn:NMCC_0093
ko:K00873	nmn:NMCC_0098
ko:K03979	nmn:NMCC_0100
ko:K07234	nmn:NMCC_1707
ko:K06901	nmn:NMCC_1716
ko:K03531	nmn:NMCC_1717
ko:K03589	nmn:NMCC_1719
ko:K01921	nmn:NMCC_1720
ko:K03588	nmn:NMCC_1723
ko:K01925	nmn:NMCC_1724
ko:K01000	nmn:NMCC_1726
ko:K01929	nmn:NMCC_1728
ko:K01928	nmn:NMCC_1730
ko:K03586	nmn:NMCC_1732
ko:K03438	nmn:NMCC_1733
ko:K03925	nmn:NMCC_1734
ko:K06153	nmn:NMCC_1738
ko:K03673	nmn:NMCC_1739
ko:K07391	nmn:NMCC_1741
ko:K00767	nmn:NMCC_1748
ko:K03517	nmn:NMCC_1750
ko:K01095	nmn:NMCC_1757
ko:K00946	nmn:NMCC_1758
ko:K02967	nmn:NMCC_2065
ko:K09903	nmn:NMCC_2067
ko:K08309	nmn:NMCC_0267
ko:K02071	nmn:NMCC_0269
ko:K02072	nmn:NMCC_0270
ko:K02073	nmn:NMCC_0271
ko:K02111	nmn:NMCC_0282
ko:K02115	nmn:NMCC_0283
ko:K02114	nmn:NMCC_0285
ko:K09923	nmn:NMCC_0287
ko:K01879	nmn:NMCC_0288
ko:K09761	nmn:NMCC_0293
ko:K09858	nmn:NMCC_0295
ko:K00645	nmn:NMCC_0301
ko:K00648	nmn:NMCC_0303
ko:K03306	nmn:NMCC_1764
ko:K09001	nmn:NMCC_1765
ko:K07461	nmn:NMCC_1780
ko:K08218	nmn:NMCC_1781
ko:K00014	nmn:NMCC_1783
ko:K06861	nmn:NMCC_1786
ko:K09774	nmn:NMCC_1787
ko:K03270	nmn:NMCC_1789
ko:K06041	nmn:NMCC_1790
ko:K05539	nmn:NMCC_1794
ko:K07560	nmn:NMCC_1795
ko:K09780	nmn:NMCC_1799
ko:K06190	nmn:NMCC_1800
ko:K00208	nmn:NMCC_1807
ko:K01810	nmn:NMCC_1809
ko:K00859	nmn:NMCC_1812
ko:K09862	nmn:NMCC_1813
ko:K06916	nmn:NMCC_1219
ko:K00940	nmn:NMCC_1220
ko:K02656	nmn:NMCC_1222
ko:K03545	nmn:NMCC_1225
ko:K02963	nmn:NMCC_1236
ko:K00384	nmn:NMCC_1239
ko:K03439	nmn:NMCC_1243
ko:K00681	nmn:NMCC_0973
ko:K09794	nmn:NMCC_0975
ko:K07115	nmn:NMCC_0977
ko:K01633	nmn:NMCC_0979
ko:K06199	nmn:NMCC_0983
ko:K03466	nmn:NMCC_0985
ko:K00147	nmn:NMCC_0986
ko:K08973	nmn:NMCC_1833
ko:K01626	nmn:NMCC_1837
ko:K07078	nmn:NMCC_1854
ko:K01669	nmn:NMCC_1857
ko:K06966	nmn:NMCC_1862
ko:K03771	nmn:NMCC_1864
ko:K04744	nmn:NMCC_1865
ko:K04764	nmn:NMCC_0688
ko:K07113	nmn:NMCC_0690
ko:K01935	nmn:NMCC_0693
ko:K03181	nmn:NMCC_0694
ko:K06023	nmn:NMCC_0697
ko:K00950	nmn:NMCC_0709
ko:K07262	nmn:NMCC_0713
ko:K03564	nmn:NMCC_0714
ko:K02192	nmn:NMCC_0716
ko:K00067	nmn:NMCC_0720
ko:K01923	nmn:NMCC_0721
ko:K00942	nmn:NMCC_1571
ko:K00759	nmn:NMCC_1572
ko:K09857	nmn:NMCC_1583
ko:K01246	nmn:NMCC_1584
ko:K01736	nmn:NMCC_1593
ko:K08311	nmn:NMCC_1596
ko:K01875	nmn:NMCC_1597
ko:K07160	nmn:NMCC_1916
ko:K07043	nmn:NMCC_1918
ko:K00982	nmn:NMCC_1920
ko:K02078	nmn:NMCC_1925
ko:K03781	nmn:NMCC_1929
ko:K01414	nmn:NMCC_1931
ko:K09748	nmn:NMCC_1541
ko:K02519	nmn:NMCC_1543
ko:K03310	nmn:NMCC_1547
ko:K03611	nmn:NMCC_1549
ko:K01775	nmn:NMCC_1552
ko:K09157	nmn:NMCC_1554
ko:K07320	nmn:NMCC_1558
ko:K02528	nmn:NMCC_0656
ko:K05807	nmn:NMCC_0662
ko:K06180	nmn:NMCC_0661
ko:K03453	nmn:NMCC_0663
ko:K05810	nmn:NMCC_0665
ko:K03643	nmn:NMCC_0666
ko:K03089	nmn:NMCC_0671
ko:K09781	nmn:NMCC_0673
ko:K01772	nmn:NMCC_0677
ko:K00773	nmn:NMCC_0678
ko:K01868	nmn:NMCC_0680
ko:K02520	nmn:NMCC_0681
ko:K09803	nmn:NMCC_1037
ko:K02291	nmn:NMCC_1049
ko:K00340	nmn:NMCC_1894
ko:K00339	nmn:NMCC_1895
ko:K00338	nmn:NMCC_1896
ko:K00337	nmn:NMCC_1897
ko:K00336	nmn:NMCC_1898
ko:K07461	nmn:NMCC_1899
ko:K00333	nmn:NMCC_1902
ko:K00331	nmn:NMCC_1904
ko:K00330	nmn:NMCC_1905
ko:K01752	nmn:NMCC_1934
ko:K03455	nmn:NMCC_1940
ko:K03616	nmn:NMCC_1939
ko:K00134	nmn:NMCC_1941
ko:K00684	nmn:NMCC_1942
ko:K06186	nmn:NMCC_1943
ko:K06179	nmn:NMCC_1950
ko:K08300	nmn:NMCC_1952
ko:K00097	nmn:NMCC_1955
ko:K03310	nmn:NMCC_1956
ko:K03495	nmn:NMCC_1957
ko:K09760	nmn:NMCC_0136
ko:K02821	nmn:NMCC_0140
ko:K08483	nmn:NMCC_0142
ko:K03147	nmn:NMCC_0147
ko:K03768	nmn:NMCC_0757
ko:K04774	nmn:NMCC_1491
ko:K02824	nmn:NMCC_1227
ko:K03565	nmn:NMCC_1391
ko:K06194	nmn:NMCC_1394
ko:K00135	nmn:NMCC_1399
ko:K06200	nmn:NMCC_1401
ko:K00928	nmn:NMCC_1405
ko:K00989	nmn:NMCC_1406
ko:K00763	nmn:NMCC_1410
ko:K01807	nmn:NMCC_1416
ko:K01770	nmn:NMCC_1417
