ko:K01698	cmur:Y015_00005
ko:K11709	cmur:Y015_01800
ko:K00099	cmur:Y015_01805
ko:K03629	cmur:Y015_01820
ko:K02338	cmur:Y015_01825
ko:K03664	cmur:Y015_01830
ko:K03734	cmur:Y015_01835
ko:K01491	cmur:Y015_01840
ko:K08275	cmur:Y015_01850
ko:K02902	cmur:Y015_01875
ko:K00705	cmur:Y015_01880
ko:K03230	cmur:Y015_01895
ko:K06889	cmur:Y015_02210
ko:K02913	cmur:Y015_02220
ko:K09808	cmur:Y015_02225
ko:K09810	cmur:Y015_02230
ko:K01951	cmur:Y015_02305
ko:K00088	cmur:Y015_02310
ko:K02035	cmur:Y015_02330
ko:K03611	cmur:Y015_02340
ko:K02049	cmur:Y015_02360
ko:K00979	cmur:Y015_02380
ko:K01937	cmur:Y015_02385
ko:K07447	cmur:Y015_02390
ko:K00036	cmur:Y015_02395
ko:K01057	cmur:Y015_02400
ko:K02343	cmur:Y015_02405
ko:K00943	cmur:Y015_02410
ko:K02469	cmur:Y015_02415
ko:K02470	cmur:Y015_02420
ko:K00773	cmur:Y015_02440
ko:K06213	cmur:Y015_02445
ko:K01409	cmur:Y015_02460
ko:K15580	cmur:Y015_02465
ko:K15581	cmur:Y015_02470
ko:K15582	cmur:Y015_02475
ko:K10823	cmur:Y015_02480
ko:K15583	cmur:Y015_02485
ko:K03319	cmur:Y015_02495
ko:K02117	cmur:Y015_03060
ko:K02121	cmur:Y015_03070
ko:K00616	cmur:Y015_03085
ko:K03046	cmur:Y015_03090
ko:K03043	cmur:Y015_03095
ko:K02935	cmur:Y015_03100
ko:K02864	cmur:Y015_03105
ko:K02863	cmur:Y015_03110
ko:K02867	cmur:Y015_03115
ko:K02601	cmur:Y015_03120
ko:K03073	cmur:Y015_03125
ko:K02358	cmur:Y015_03135
ko:K02518	cmur:Y015_03145
ko:K01803	cmur:Y015_03185
ko:K03601	cmur:Y015_03190
ko:K03602	cmur:Y015_03195
ko:K01662	cmur:Y015_03205
ko:K00873	cmur:Y015_03210
ko:K03701	cmur:Y015_03215
ko:K02343	cmur:Y015_03220
ko:K09747	cmur:Y015_03225
ko:K08483	cmur:Y015_03230
ko:K11189	cmur:Y015_03235
ko:K11381	cmur:Y015_03255
ko:K03686	cmur:Y015_03260
ko:K02970	cmur:Y015_03265
ko:K01338	cmur:Y015_03275
ko:K00784	cmur:Y015_03285
ko:K03733	cmur:Y015_03290
ko:K06287	cmur:Y015_03300
ko:K03075	cmur:Y015_03315
ko:K01462	cmur:Y015_03320
ko:K02528	cmur:Y015_03325
ko:K06888	cmur:Y015_03335
ko:K03544	cmur:Y015_00415
ko:K06173	cmur:Y015_03940
ko:K07710	cmur:Y015_03965
ko:K07714	cmur:Y015_03970
ko:K03584	cmur:Y015_03985
ko:K08998	cmur:Y015_04010
ko:K01890	cmur:Y015_04020
ko:K00567	cmur:Y015_04030
ko:K02034	cmur:Y015_04035
ko:K02033	cmur:Y015_04040
ko:K02035	cmur:Y015_04045
ko:K01772	cmur:Y015_04085
ko:K02030	cmur:Y015_04090
ko:K07099	cmur:Y015_04100
ko:K00975	cmur:Y015_04105
ko:K03628	cmur:Y015_04115
ko:K00859	cmur:Y015_04120
ko:K03301	cmur:Y015_04140
ko:K00995	cmur:Y015_04145
ko:K03495	cmur:Y015_04160
ko:K03800	cmur:Y015_04165
ko:K00940	cmur:Y015_04170
ko:K03550	cmur:Y015_04175
ko:K01159	cmur:Y015_04180
ko:K00134	cmur:Y015_04200
ko:K02879	cmur:Y015_04205
ko:K03040	cmur:Y015_04210
ko:K02948	cmur:Y015_04215
ko:K02952	cmur:Y015_04220
ko:K03076	cmur:Y015_04225
ko:K02876	cmur:Y015_04230
ko:K02988	cmur:Y015_04235
ko:K02881	cmur:Y015_04240
ko:K02933	cmur:Y015_04245
ko:K02994	cmur:Y015_04250
ko:K02931	cmur:Y015_04255
ko:K02895	cmur:Y015_04260
ko:K02874	cmur:Y015_04265
ko:K02961	cmur:Y015_04270
ko:K02904	cmur:Y015_04275
ko:K02878	cmur:Y015_04280
ko:K02982	cmur:Y015_04285
ko:K02890	cmur:Y015_04290
ko:K02965	cmur:Y015_04295
ko:K02886	cmur:Y015_04300
ko:K02892	cmur:Y015_04305
ko:K02926	cmur:Y015_04310
ko:K02906	cmur:Y015_04315
ko:K00604	cmur:Y015_04325
ko:K00677	cmur:Y015_04330
ko:K02372	cmur:Y015_04335
ko:K02535	cmur:Y015_04340
ko:K03820	cmur:Y015_04345
ko:K02342	cmur:Y015_04355
ko:K06925	cmur:Y015_04360
ko:K03671	cmur:Y015_04380
ko:K03216	cmur:Y015_04385
ko:K01876	cmur:Y015_04395
ko:K01892	cmur:Y015_04400
ko:K07783	cmur:Y015_04405
ko:K02337	cmur:Y015_04410
ko:K00761	cmur:Y015_04415
ko:K07258	cmur:Y015_04445
ko:K03311	cmur:Y015_04460
ko:K00382	cmur:Y015_04485
ko:K03644	cmur:Y015_04490
ko:K03222	cmur:Y015_04495
ko:K03223	cmur:Y015_04505
ko:K03226	cmur:Y015_04510
ko:K03227	cmur:Y015_04515
ko:K03228	cmur:Y015_04520
ko:K02455	cmur:Y015_04550
ko:K02454	cmur:Y015_04555
ko:K02453	cmur:Y015_04560
ko:K01262	cmur:Y015_04570
ko:K03572	cmur:Y015_04575
ko:K01868	cmur:Y015_04605
ko:K03496	cmur:Y015_04610
ko:K01867	cmur:Y015_04625
ko:K03702	cmur:Y015_04630
ko:K01689	cmur:Y015_04640
ko:K07315	cmur:Y015_04650
ko:K00240	cmur:Y015_04665
ko:K00239	cmur:Y015_04670
ko:K00241	cmur:Y015_04675
ko:K03424	cmur:Y015_04680
ko:K04084	cmur:Y015_04685
ko:K03562	cmur:Y015_04690
ko:K03559	cmur:Y015_04695
ko:K03641	cmur:Y015_04705
ko:K03640	cmur:Y015_04710
ko:K03386	cmur:Y015_04725
ko:K02428	cmur:Y015_04745
ko:K03648	cmur:Y015_04755
ko:K03657	cmur:Y015_04760
ko:K03092	cmur:Y015_04765
ko:K06137	cmur:Y015_04770
ko:K13941	cmur:Y015_04785
ko:K01633	cmur:Y015_04790
ko:K03086	cmur:Y015_04795
ko:K02968	cmur:Y015_04810
ko:K03980	cmur:Y015_04850
ko:K01151	cmur:Y015_04855
ko:K02986	cmur:Y015_04860
ko:K07146	cmur:Y015_04870
ko:K13789	cmur:Y015_04875
ko:K03523	cmur:Y015_03355
ko:K01714	cmur:Y015_03365
ko:K00928	cmur:Y015_03370
ko:K00133	cmur:Y015_03375
ko:K00215	cmur:Y015_03380
ko:K00800	cmur:Y015_03390
ko:K00891	cmur:Y015_03395
ko:K01736	cmur:Y015_03400
ko:K01735	cmur:Y015_03405
ko:K13832	cmur:Y015_03410
ko:K03758	cmur:Y015_03430
ko:K00024	cmur:Y015_03440
ko:K08274	cmur:Y015_03445
ko:K01810	cmur:Y015_03450
ko:K03665	cmur:Y015_03455
ko:K06167	cmur:Y015_03460
ko:K09996	cmur:Y015_03465
ko:K03856	cmur:Y015_03470
ko:K06966	cmur:Y015_03505
ko:K09131	cmur:Y015_03510
ko:K10206	cmur:Y015_03520
ko:K01881	cmur:Y015_03535
ko:K03705	cmur:Y015_03540
ko:K03687	cmur:Y015_03545
ko:K04043	cmur:Y015_03550
ko:K12573	cmur:Y015_03555
ko:K07164	cmur:Y015_03560
ko:K06041	cmur:Y015_03570
ko:K00658	cmur:Y015_03575
ko:K00912	cmur:Y015_03585
ko:K03437	cmur:Y015_03590
ko:K06969	cmur:Y015_03595
ko:K00793	cmur:Y015_03600
ko:K07738	cmur:Y015_03605
ko:K06204	cmur:Y015_03610
ko:K03101	cmur:Y015_03615
ko:K03310	cmur:Y015_03620
ko:K00970	cmur:Y015_03625
ko:K00748	cmur:Y015_03630
ko:K04771	cmur:Y015_01105
ko:K02031	cmur:Y015_00340
ko:K11645	cmur:Y015_02570
ko:K11749	cmur:Y015_01810
ko:K19405	cmur:Y015_00240
ko:K19411	cmur:Y015_00245
ko:K07125	cmur:Y015_03160
ko:K02032	cmur:Y015_00335
ko:K14237	cmur:Y015_01140
ko:K01977	cmur:Y015_00610
ko:K01977	cmur:Y015_00685
ko:K12132	cmur:Y015_03025
ko:K20074	cmur:Y015_02800
ko:K20265	cmur:Y015_02575
ko:K14234	cmur:Y015_00235
ko:K14225	cmur:Y015_00280
ko:K14225	cmur:Y015_00430
ko:K01985	cmur:Y015_00620
ko:K01985	cmur:Y015_00695
ko:K14233	cmur:Y015_01180
ko:K14232	cmur:Y015_01730
ko:K14237	cmur:Y015_02615
ko:K14227	cmur:Y015_02365
ko:K14230	cmur:Y015_02520
ko:K14220	cmur:Y015_01605
ko:K01980	cmur:Y015_00615
ko:K01980	cmur:Y015_00690
ko:K14234	cmur:Y015_02165
ko:K01978	cmur:Y015_03565
ko:K21053	cmur:Y015_02300
ko:K22100	cmur:Y015_03180
ko:K22099	cmur:Y015_04775
ko:K00526	cmur:Y015_01130
ko:K02335	cmur:Y015_04125
ko:K02314	cmur:Y015_04155
ko:K00287	cmur:Y015_04780
ko:K02316	cmur:Y015_00930
ko:K01520	cmur:Y015_02975
ko:K03553	cmur:Y015_00100
ko:K00525	cmur:Y015_01125
ko:K02050	cmur:Y015_01280
ko:K02051	cmur:Y015_01280
ko:K03309	cmur:Y015_03580
ko:K01829	cmur:Y015_00885
ko:K14236	cmur:Y015_02170
ko:K14226	cmur:Y015_00600
ko:K01534	cmur:Y015_00535
ko:K16239	cmur:Y015_01870
ko:K04058	cmur:Y015_01890
