ko:K09796	pstu:UIB01_11395
ko:K02035	pstu:UIB01_20185
ko:K01955	pstu:UIB01_20195
ko:K01586	pstu:UIB01_20200
ko:K03654	pstu:UIB01_20220
ko:K01610	pstu:UIB01_20235
ko:K04083	pstu:UIB01_20240
ko:K00012	pstu:UIB01_20245
ko:K08679	pstu:UIB01_20250
ko:K01991	pstu:UIB01_20265
ko:K03478	pstu:UIB01_20320
ko:K04762	pstu:UIB01_20325
ko:K05844	pstu:UIB01_20335
ko:K07638	pstu:UIB01_20340
ko:K07659	pstu:UIB01_20345
ko:K06959	pstu:UIB01_20350
ko:K02614	pstu:UIB01_20355
ko:K01919	pstu:UIB01_20360
ko:K14682	pstu:UIB01_20370
ko:K01438	pstu:UIB01_20375
ko:K03306	pstu:UIB01_20380
ko:K07220	pstu:UIB01_20385
ko:K02454	pstu:UIB01_20395
ko:K11894	pstu:UIB01_21605
ko:K07092	pstu:UIB01_21010
ko:K08085	pstu:UIB01_04340
ko:K00249	pstu:UIB01_11005
ko:K00248	pstu:UIB01_01865
ko:K00042	pstu:UIB01_05495
ko:K01800	pstu:UIB01_03775
ko:K01980	pstu:UIB01_10395
ko:K01980	pstu:UIB01_18355
ko:K01980	pstu:UIB01_16745
ko:K01980	pstu:UIB01_13575
ko:K14221	pstu:UIB01_07190
ko:K14221	pstu:UIB01_13075
ko:K14219	pstu:UIB01_11695
ko:K14230	pstu:UIB01_13190
ko:K14230	pstu:UIB01_13195
ko:K14230	pstu:UIB01_17085
ko:K01985	pstu:UIB01_10400
ko:K01985	pstu:UIB01_13570
ko:K01985	pstu:UIB01_18350
ko:K01985	pstu:UIB01_16740
ko:K14237	pstu:UIB01_07185
ko:K14224	pstu:UIB01_06065
ko:K14224	pstu:UIB01_08375
ko:K14224	pstu:UIB01_06075
ko:K14218	pstu:UIB01_06060
ko:K14218	pstu:UIB01_06070
ko:K01869	pstu:UIB01_02380
ko:K03820	pstu:UIB01_02395
ko:K06189	pstu:UIB01_02400
ko:K07042	pstu:UIB01_02405
ko:K06168	pstu:UIB01_02415
ko:K07126	pstu:UIB01_02420
ko:K01845	pstu:UIB01_02430
ko:K00788	pstu:UIB01_02435
ko:K00941	pstu:UIB01_02440
ko:K09456	pstu:UIB01_02450
ko:K18118	pstu:UIB01_02460
ko:K01241	pstu:UIB01_02465
ko:K03192	pstu:UIB01_02475
ko:K03189	pstu:UIB01_02480
ko:K03188	pstu:UIB01_02485
ko:K03187	pstu:UIB01_02490
ko:K03457	pstu:UIB01_02525
ko:K01428	pstu:UIB01_02530
ko:K01429	pstu:UIB01_02535
ko:K03823	pstu:UIB01_02540
ko:K01430	pstu:UIB01_02545
ko:K03190	pstu:UIB01_02550
ko:K01531	pstu:UIB01_02555
ko:K11963	pstu:UIB01_02560
ko:K11962	pstu:UIB01_02565
ko:K11961	pstu:UIB01_02570
ko:K11960	pstu:UIB01_02575
ko:K11959	pstu:UIB01_02580
ko:K06181	pstu:UIB01_02585
ko:K03719	pstu:UIB01_02600
ko:K03579	pstu:UIB01_02625
ko:K02030	pstu:UIB01_02630
ko:K01662	pstu:UIB01_02655
ko:K03640	pstu:UIB01_06950
ko:K10026	pstu:UIB01_06960
ko:K06920	pstu:UIB01_06965
ko:K18118	pstu:UIB01_06975
ko:K03517	pstu:UIB01_06980
ko:K03548	pstu:UIB01_06995
ko:K03564	pstu:UIB01_07000
ko:K03567	pstu:UIB01_07005
ko:K01714	pstu:UIB01_07010
ko:K07287	pstu:UIB01_07015
ko:K01923	pstu:UIB01_07020
ko:K02336	pstu:UIB01_07115
ko:K09978	pstu:UIB01_07125
ko:K09760	pstu:UIB01_07145
ko:K03554	pstu:UIB01_07180
ko:K03773	pstu:UIB01_07195
ko:K03594	pstu:UIB01_07200
ko:K02192	pstu:UIB01_07205
ko:K07160	pstu:UIB01_07230
ko:K07462	pstu:UIB01_07240
ko:K02836	pstu:UIB01_07265
ko:K04567	pstu:UIB01_07270
ko:K00831	pstu:UIB01_11610
ko:K00254	pstu:UIB01_11615
ko:K03770	pstu:UIB01_11620
ko:K03530	pstu:UIB01_11625
ko:K01338	pstu:UIB01_11630
ko:K03544	pstu:UIB01_11635
ko:K01358	pstu:UIB01_11640
ko:K03545	pstu:UIB01_11645
ko:K14162	pstu:UIB01_11650
ko:K14161	pstu:UIB01_11655
ko:K07090	pstu:UIB01_11670
ko:K01491	pstu:UIB01_11700
ko:K01883	pstu:UIB01_11705
ko:K01886	pstu:UIB01_11710
ko:K03768	pstu:UIB01_11715
ko:K03269	pstu:UIB01_11720
ko:K06169	pstu:UIB01_11725
ko:K06938	pstu:UIB01_11735
ko:K01682	pstu:UIB01_11740
ko:K03286	pstu:UIB01_11745
ko:K03088	pstu:UIB01_11750
ko:K16074	pstu:UIB01_11765
ko:K02553	pstu:UIB01_11770
ko:K09773	pstu:UIB01_11780
ko:K01659	pstu:UIB01_11795
ko:K03417	pstu:UIB01_11800
ko:K01665	pstu:UIB01_11825
ko:K02203	pstu:UIB01_11830
ko:K00390	pstu:UIB01_11835
ko:K13634	pstu:UIB01_11840
ko:K00077	pstu:UIB01_11845
ko:K01626	pstu:UIB01_11850
ko:K06975	pstu:UIB01_11855
ko:K01733	pstu:UIB01_16155
ko:K00003	pstu:UIB01_16160
ko:K03981	pstu:UIB01_16170
ko:K04763	pstu:UIB01_16175
ko:K02884	pstu:UIB01_16180
ko:K00554	pstu:UIB01_16185
ko:K02860	pstu:UIB01_16190
ko:K02959	pstu:UIB01_16195
ko:K03106	pstu:UIB01_16200
ko:K08289	pstu:UIB01_16215
ko:K06938	pstu:UIB01_16220
ko:K01952	pstu:UIB01_16250
ko:K09972	pstu:UIB01_16255
ko:K09971	pstu:UIB01_16260
ko:K09970	pstu:UIB01_16265
ko:K09969	pstu:UIB01_16270
ko:K06999	pstu:UIB01_16280
ko:K03732	pstu:UIB01_16285
ko:K03635	pstu:UIB01_16295
ko:K03636	pstu:UIB01_16300
ko:K03637	pstu:UIB01_16305
ko:K07175	pstu:UIB01_16310
ko:K09861	pstu:UIB01_16320
ko:K06915	pstu:UIB01_16340
ko:K01433	pstu:UIB01_16350
ko:K01141	pstu:UIB01_16360
ko:K03924	pstu:UIB01_16385
ko:K00873	pstu:UIB01_16410
ko:K01676	pstu:UIB01_16425
ko:K05520	pstu:UIB01_16435
ko:K03427	pstu:UIB01_20700
ko:K01153	pstu:UIB01_20705
ko:K16922	pstu:UIB01_20730
ko:K03778	pstu:UIB01_20760
ko:K09950	pstu:UIB01_20770
ko:K01589	pstu:UIB01_20780
ko:K01588	pstu:UIB01_20785
ko:K00457	pstu:UIB01_20795
ko:K01744	pstu:UIB01_20810
ko:K03310	pstu:UIB01_20825
ko:K01424	pstu:UIB01_20830
ko:K01673	pstu:UIB01_20840
ko:K01425	pstu:UIB01_20845
ko:K07086	pstu:UIB01_20855
ko:K01960	pstu:UIB01_20860
ko:K01959	pstu:UIB01_20865
ko:K00036	pstu:UIB01_20885
ko:K06718	pstu:UIB01_20890
ko:K00836	pstu:UIB01_20895
ko:K06720	pstu:UIB01_20900
ko:K10674	pstu:UIB01_20905
ko:K00928	pstu:UIB01_20910
ko:K09794	pstu:UIB01_20915
ko:K08303	pstu:UIB01_20920
ko:K03657	pstu:UIB01_20930
ko:K00123	pstu:UIB01_20960
ko:K00123	pstu:UIB01_20965
ko:K00124	pstu:UIB01_20970
ko:K02963	pstu:UIB01_02945
ko:K02939	pstu:UIB01_02955
ko:K01775	pstu:UIB01_02965
ko:K02667	pstu:UIB01_02995
ko:K02668	pstu:UIB01_03000
ko:K06950	pstu:UIB01_03005
ko:K05807	pstu:UIB01_03010
ko:K06180	pstu:UIB01_03015
ko:K05810	pstu:UIB01_03020
ko:K03695	pstu:UIB01_03025
ko:K03885	pstu:UIB01_03045
ko:K00767	pstu:UIB01_03065
ko:K09908	pstu:UIB01_03070
ko:K07018	pstu:UIB01_03075
ko:K01867	pstu:UIB01_03080
ko:K06916	pstu:UIB01_03085
ko:K05982	pstu:UIB01_03095
ko:K03806	pstu:UIB01_03100
ko:K03807	pstu:UIB01_03105
ko:K03406	pstu:UIB01_03110
ko:K03424	pstu:UIB01_03115
ko:K10778	pstu:UIB01_03125
ko:K07178	pstu:UIB01_03135
ko:K03594	pstu:UIB01_03155
ko:K03406	pstu:UIB01_03160
ko:K00116	pstu:UIB01_03165
ko:K17686	pstu:UIB01_03175
ko:K07213	pstu:UIB01_03180
ko:K07552	pstu:UIB01_03190
ko:K06204	pstu:UIB01_03225
ko:K09024	pstu:UIB01_03230
ko:K09019	pstu:UIB01_03235
ko:K09023	pstu:UIB01_03240
ko:K03704	pstu:UIB01_07565
ko:K00563	pstu:UIB01_07575
ko:K01439	pstu:UIB01_07580
ko:K07221	pstu:UIB01_07590
ko:K09919	pstu:UIB01_07595
ko:K03767	pstu:UIB01_07605
ko:K07090	pstu:UIB01_07650
ko:K15461	pstu:UIB01_07660
ko:K07678	pstu:UIB01_07665
ko:K05596	pstu:UIB01_07675
ko:K12339	pstu:UIB01_07680
ko:K03215	pstu:UIB01_07685
ko:K00951	pstu:UIB01_07690
ko:K04765	pstu:UIB01_07695
ko:K09912	pstu:UIB01_07700
ko:K03724	pstu:UIB01_07720
ko:K07577	pstu:UIB01_07735
ko:K03723	pstu:UIB01_07755
ko:K00134	pstu:UIB01_07760
ko:K00346	pstu:UIB01_07765
ko:K00347	pstu:UIB01_07770
ko:K00348	pstu:UIB01_07775
ko:K00349	pstu:UIB01_07780
ko:K00350	pstu:UIB01_07785
ko:K00351	pstu:UIB01_07790
ko:K03734	pstu:UIB01_07795
ko:K05952	pstu:UIB01_07800
ko:K00322	pstu:UIB01_07805
ko:K01126	pstu:UIB01_07810
ko:K09808	pstu:UIB01_07825
ko:K09810	pstu:UIB01_07830
ko:K01669	pstu:UIB01_12180
ko:K09701	pstu:UIB01_12200
ko:K00574	pstu:UIB01_12205
ko:K03406	pstu:UIB01_12210
ko:K12410	pstu:UIB01_12220
ko:K00362	pstu:UIB01_12225
ko:K00363	pstu:UIB01_12230
ko:K07093	pstu:UIB01_12245
ko:K03560	pstu:UIB01_12255
ko:K03562	pstu:UIB01_12260
ko:K01083	pstu:UIB01_12265
ko:K02379	pstu:UIB01_12290
ko:K03499	pstu:UIB01_12305
ko:K07184	pstu:UIB01_12320
ko:K00688	pstu:UIB01_12335
ko:K07667	pstu:UIB01_12340
ko:K07646	pstu:UIB01_12345
ko:K01548	pstu:UIB01_12350
ko:K01547	pstu:UIB01_12355
ko:K01546	pstu:UIB01_12360
ko:K00140	pstu:UIB01_12380
ko:K01692	pstu:UIB01_12385
ko:K01796	pstu:UIB01_12410
ko:K00626	pstu:UIB01_12425
ko:K03808	pstu:UIB01_16730
ko:K03808	pstu:UIB01_16735
ko:K17247	pstu:UIB01_16770
ko:K17103	pstu:UIB01_16780
ko:K00053	pstu:UIB01_16785
ko:K01653	pstu:UIB01_16790
ko:K01652	pstu:UIB01_16795
ko:K05365	pstu:UIB01_16820
ko:K07028	pstu:UIB01_16825
ko:K02013	pstu:UIB01_16850
ko:K02015	pstu:UIB01_16855
ko:K04084	pstu:UIB01_16865
ko:K03786	pstu:UIB01_16870
ko:K02160	pstu:UIB01_16875
ko:K01961	pstu:UIB01_16880
ko:K02687	pstu:UIB01_16885
ko:K05540	pstu:UIB01_16895
ko:K03557	pstu:UIB01_16900
ko:K00602	pstu:UIB01_16905
ko:K01945	pstu:UIB01_16915
ko:K15629	pstu:UIB01_16925
ko:K07027	pstu:UIB01_16930
ko:K07088	pstu:UIB01_16945
ko:K00067	pstu:UIB01_16950
ko:K06206	pstu:UIB01_16955
ko:K06204	pstu:UIB01_16965
ko:K01894	pstu:UIB01_16970
ko:K00970	pstu:UIB01_16990
ko:K00950	pstu:UIB01_16995
ko:K00606	pstu:UIB01_17000
ko:K02408	pstu:UIB01_21245
ko:K02416	pstu:UIB01_21255
ko:K02417	pstu:UIB01_21260
ko:K02419	pstu:UIB01_21265
ko:K02420	pstu:UIB01_21270
ko:K02421	pstu:UIB01_21275
ko:K02401	pstu:UIB01_21280
ko:K02400	pstu:UIB01_21285
ko:K07088	pstu:UIB01_21310
ko:K04761	pstu:UIB01_21330
ko:K03655	pstu:UIB01_21335
ko:K02462	pstu:UIB01_21345
ko:K02461	pstu:UIB01_21350
ko:K02460	pstu:UIB01_21355
ko:K02459	pstu:UIB01_21360
ko:K02458	pstu:UIB01_21365
ko:K02457	pstu:UIB01_21370
ko:K02456	pstu:UIB01_21375
ko:K02455	pstu:UIB01_21380
ko:K02454	pstu:UIB01_21390
ko:K00324	pstu:UIB01_21395
ko:K00324	pstu:UIB01_21400
ko:K00325	pstu:UIB01_21405
ko:K03923	pstu:UIB01_21410
ko:K14347	pstu:UIB01_21415
ko:K11904	pstu:UIB01_21465
ko:K11903	pstu:UIB01_21470
ko:K02204	pstu:UIB01_21485
ko:K06966	pstu:UIB01_21490
ko:K02913	pstu:UIB01_21510
ko:K02902	pstu:UIB01_21515
ko:K01897	pstu:UIB01_21520
ko:K18691	pstu:UIB01_05655
ko:K03116	pstu:UIB01_03540
ko:K07234	pstu:UIB01_03545
ko:K00404	pstu:UIB01_03560
ko:K07168	pstu:UIB01_03565
ko:K02303	pstu:UIB01_03580
ko:K02164	pstu:UIB01_03595
ko:K04748	pstu:UIB01_03600
ko:K15864	pstu:UIB01_03605
ko:K08738	pstu:UIB01_03610
ko:K02305	pstu:UIB01_03645
ko:K04561	pstu:UIB01_03650
ko:K02448	pstu:UIB01_03655
ko:K07322	pstu:UIB01_03675
ko:K12266	pstu:UIB01_03680
ko:K08303	pstu:UIB01_03690
ko:K00948	pstu:UIB01_03705
ko:K00758	pstu:UIB01_03710
ko:K00019	pstu:UIB01_03715
ko:K02106	pstu:UIB01_03725
ko:K09005	pstu:UIB01_03730
ko:K03406	pstu:UIB01_03735
ko:K05800	pstu:UIB01_03740
ko:K04090	pstu:UIB01_03745
ko:K00263	pstu:UIB01_03750
ko:K03308	pstu:UIB01_03755
ko:K00457	pstu:UIB01_03760
ko:K00451	pstu:UIB01_03765
ko:K16171	pstu:UIB01_03770
ko:K03308	pstu:UIB01_03780
ko:K03406	pstu:UIB01_03785
ko:K13953	pstu:UIB01_03815
ko:K07007	pstu:UIB01_03825
ko:K02414	pstu:UIB01_08125
ko:K02415	pstu:UIB01_08130
ko:K02416	pstu:UIB01_08135
ko:K02417	pstu:UIB01_08140
ko:K02418	pstu:UIB01_08145
ko:K02419	pstu:UIB01_08150
ko:K02420	pstu:UIB01_08155
ko:K02421	pstu:UIB01_08160
ko:K02401	pstu:UIB01_08165
ko:K02400	pstu:UIB01_08175
ko:K02404	pstu:UIB01_08180
ko:K04562	pstu:UIB01_08185
ko:K02405	pstu:UIB01_08190
ko:K03413	pstu:UIB01_08195
ko:K03414	pstu:UIB01_08200
ko:K03407	pstu:UIB01_08205
ko:K03412	pstu:UIB01_08210
ko:K02556	pstu:UIB01_08215
ko:K02557	pstu:UIB01_08220
ko:K03408	pstu:UIB01_08230
ko:K03408	pstu:UIB01_08235
ko:K04061	pstu:UIB01_08250
ko:K02193	pstu:UIB01_08260
ko:K02194	pstu:UIB01_08265
ko:K02195	pstu:UIB01_08270
ko:K02196	pstu:UIB01_08275
ko:K02197	pstu:UIB01_08280
ko:K02198	pstu:UIB01_08285
ko:K02199	pstu:UIB01_08290
ko:K02200	pstu:UIB01_08295
ko:K02200	pstu:UIB01_08300
ko:K10941	pstu:UIB01_08310
ko:K10942	pstu:UIB01_08315
ko:K10943	pstu:UIB01_08320
ko:K00569	pstu:UIB01_08325
ko:K03799	pstu:UIB01_08335
ko:K14260	pstu:UIB01_08345
ko:K07305	pstu:UIB01_08350
ko:K00432	pstu:UIB01_08355
ko:K06923	pstu:UIB01_08360
ko:K00799	pstu:UIB01_08365
ko:K07112	pstu:UIB01_08395
ko:K07112	pstu:UIB01_08400
ko:K03639	pstu:UIB01_12740
ko:K10716	pstu:UIB01_12745
ko:K02275	pstu:UIB01_12760
ko:K15408	pstu:UIB01_12765
ko:K04085	pstu:UIB01_12780
ko:K06968	pstu:UIB01_12785
ko:K01681	pstu:UIB01_12790
ko:K03776	pstu:UIB01_12795
ko:K07020	pstu:UIB01_12800
ko:K00404	pstu:UIB01_12805
ko:K00405	pstu:UIB01_12810
ko:K00406	pstu:UIB01_12815
ko:K00404	pstu:UIB01_12825
ko:K00405	pstu:UIB01_12830
ko:K00407	pstu:UIB01_12835
ko:K00406	pstu:UIB01_12840
ko:K09926	pstu:UIB01_12850
ko:K01533	pstu:UIB01_12855
ko:K09792	pstu:UIB01_12865
ko:K01916	pstu:UIB01_12870
ko:K00759	pstu:UIB01_12885
ko:K07152	pstu:UIB01_12890
ko:K02030	pstu:UIB01_12895
ko:K02050	pstu:UIB01_12900
ko:K02049	pstu:UIB01_12905
ko:K02051	pstu:UIB01_12910
ko:K06187	pstu:UIB01_12915
ko:K09747	pstu:UIB01_12920
ko:K02343	pstu:UIB01_12925
ko:K03473	pstu:UIB01_12930
ko:K03327	pstu:UIB01_12935
ko:K00219	pstu:UIB01_12960
ko:K00426	pstu:UIB01_12985
ko:K00425	pstu:UIB01_12990
ko:K03809	pstu:UIB01_13020
ko:K01620	pstu:UIB01_13030
ko:K01534	pstu:UIB01_17305
ko:K03101	pstu:UIB01_17370
ko:K15629	pstu:UIB01_17410
ko:K03752	pstu:UIB01_17435
ko:K07644	pstu:UIB01_17455
ko:K07665	pstu:UIB01_17460
ko:K15725	pstu:UIB01_17470
ko:K15727	pstu:UIB01_17475
ko:K15726	pstu:UIB01_17480
ko:K16264	pstu:UIB01_17490
ko:K03581	pstu:UIB01_17565
ko:K03582	pstu:UIB01_17570
ko:K03583	pstu:UIB01_17575
ko:K12256	pstu:UIB01_21810
ko:K01915	pstu:UIB01_21815
ko:K07010	pstu:UIB01_21820
ko:K01915	pstu:UIB01_21825
ko:K12251	pstu:UIB01_21835
ko:K10536	pstu:UIB01_21840
ko:K12254	pstu:UIB01_21885
ko:K00822	pstu:UIB01_21890
ko:K09815	pstu:UIB01_21895
ko:K09823	pstu:UIB01_21900
ko:K09817	pstu:UIB01_21905
ko:K09816	pstu:UIB01_21910
ko:K07043	pstu:UIB01_21915
ko:K03781	pstu:UIB01_21920
ko:K02071	pstu:UIB01_21925
ko:K02072	pstu:UIB01_21930
ko:K02073	pstu:UIB01_21935
ko:K13953	pstu:UIB01_21940
ko:K06991	pstu:UIB01_21945
ko:K01414	pstu:UIB01_21955
ko:K07070	pstu:UIB01_21960
ko:K02275	pstu:UIB01_21985
ko:K02274	pstu:UIB01_21990
ko:K02258	pstu:UIB01_21995
ko:K02276	pstu:UIB01_22000
ko:K02259	pstu:UIB01_22020
ko:K07152	pstu:UIB01_22030
ko:K02014	pstu:UIB01_22040
ko:K07165	pstu:UIB01_22045
ko:K03088	pstu:UIB01_22050
ko:K01607	pstu:UIB01_04125
ko:K00528	pstu:UIB01_04140
ko:K00262	pstu:UIB01_04145
ko:K00600	pstu:UIB01_04175
ko:K04485	pstu:UIB01_04190
ko:K09794	pstu:UIB01_04200
ko:K03282	pstu:UIB01_04205
ko:K00428	pstu:UIB01_04210
ko:K06876	pstu:UIB01_04235
ko:K03773	pstu:UIB01_04240
ko:K02523	pstu:UIB01_04250
ko:K02888	pstu:UIB01_04255
ko:K02899	pstu:UIB01_04260
ko:K03979	pstu:UIB01_04265
ko:K00931	pstu:UIB01_04270
ko:K05805	pstu:UIB01_04275
ko:K02968	pstu:UIB01_04280
ko:K03980	pstu:UIB01_04285
ko:K11753	pstu:UIB01_04290
ko:K01870	pstu:UIB01_04295
ko:K03101	pstu:UIB01_04300
ko:K03774	pstu:UIB01_04305
ko:K03527	pstu:UIB01_04310
ko:K02655	pstu:UIB01_04315
ko:K02674	pstu:UIB01_04320
ko:K02673	pstu:UIB01_04325
ko:K02672	pstu:UIB01_04330
ko:K02671	pstu:UIB01_04335
ko:K08084	pstu:UIB01_04345
ko:K03153	pstu:UIB01_04350
ko:K03113	pstu:UIB01_04355
ko:K01585	pstu:UIB01_04360
ko:K08983	pstu:UIB01_04365
ko:K03327	pstu:UIB01_04370
ko:K09936	pstu:UIB01_04385
ko:K06219	pstu:UIB01_04400
ko:K16692	pstu:UIB01_08745
ko:K01104	pstu:UIB01_08750
ko:K03415	pstu:UIB01_08765
ko:K07140	pstu:UIB01_08770
ko:K08309	pstu:UIB01_08775
ko:K15738	pstu:UIB01_08780
ko:K06149	pstu:UIB01_08790
ko:K09989	pstu:UIB01_08810
ko:K01738	pstu:UIB01_08830
ko:K00906	pstu:UIB01_08840
ko:K00799	pstu:UIB01_08850
ko:K09790	pstu:UIB01_08860
ko:K07039	pstu:UIB01_08865
ko:K03654	pstu:UIB01_08870
ko:K06075	pstu:UIB01_08875
ko:K07001	pstu:UIB01_08880
ko:K07401	pstu:UIB01_08885
ko:K09781	pstu:UIB01_08915
ko:K03498	pstu:UIB01_08920
ko:K06940	pstu:UIB01_08925
ko:K09780	pstu:UIB01_08955
ko:K07053	pstu:UIB01_08960
ko:K01867	pstu:UIB01_08970
ko:K05896	pstu:UIB01_08975
ko:K06024	pstu:UIB01_08980
ko:K01690	pstu:UIB01_08985
ko:K00845	pstu:UIB01_08990
ko:K14441	pstu:UIB01_13315
ko:K02168	pstu:UIB01_13330
ko:K06001	pstu:UIB01_13335
ko:K07116	pstu:UIB01_13345
ko:K01207	pstu:UIB01_13370
ko:K01356	pstu:UIB01_13385
ko:K13053	pstu:UIB01_13390
ko:K03168	pstu:UIB01_13410
ko:K01825	pstu:UIB01_13425
ko:K01354	pstu:UIB01_13435
ko:K01895	pstu:UIB01_13445
ko:K11688	pstu:UIB01_13450
ko:K01640	pstu:UIB01_13465
ko:K11688	pstu:UIB01_13475
ko:K18292	pstu:UIB01_13480
ko:K18289	pstu:UIB01_13485
ko:K15034	pstu:UIB01_13525
ko:K07038	pstu:UIB01_13530
ko:K03406	pstu:UIB01_13535
ko:K07396	pstu:UIB01_13545
ko:K07146	pstu:UIB01_13550
ko:K05527	pstu:UIB01_13555
ko:K09924	pstu:UIB01_13560
ko:K01679	pstu:UIB01_13565
ko:K03547	pstu:UIB01_17910
ko:K16092	pstu:UIB01_17920
ko:K01497	pstu:UIB01_17935
ko:K06985	pstu:UIB01_17940
ko:K01095	pstu:UIB01_17945
ko:K00946	pstu:UIB01_17950
ko:K03625	pstu:UIB01_17955
ko:K00794	pstu:UIB01_17960
ko:K14652	pstu:UIB01_17965
ko:K00793	pstu:UIB01_17970
ko:K11752	pstu:UIB01_17975
ko:K07738	pstu:UIB01_17980
ko:K01975	pstu:UIB01_17995
ko:K07112	pstu:UIB01_18005
ko:K05838	pstu:UIB01_18010
ko:K02003	pstu:UIB01_18025
ko:K02004	pstu:UIB01_18030
ko:K09950	pstu:UIB01_18035
ko:K03832	pstu:UIB01_18045
ko:K03559	pstu:UIB01_18050
ko:K03561	pstu:UIB01_18055
ko:K03561	pstu:UIB01_18060
ko:K07275	pstu:UIB01_18070
ko:K01784	pstu:UIB01_18075
ko:K00067	pstu:UIB01_18080
ko:K03701	pstu:UIB01_18095
ko:K03781	pstu:UIB01_18105
ko:K02879	pstu:UIB01_18110
ko:K03040	pstu:UIB01_18115
ko:K02986	pstu:UIB01_18120
ko:K02948	pstu:UIB01_18125
ko:K02952	pstu:UIB01_18130
ko:K02919	pstu:UIB01_18135
ko:K03076	pstu:UIB01_18140
ko:K02876	pstu:UIB01_18145
ko:K02907	pstu:UIB01_18150
ko:K02988	pstu:UIB01_18155
ko:K06899	pstu:UIB01_22380
ko:K06076	pstu:UIB01_22660
ko:K03272	pstu:UIB01_02100
ko:K02527	pstu:UIB01_02125
ko:K12340	pstu:UIB01_02130
ko:K03147	pstu:UIB01_02135
ko:K01515	pstu:UIB01_02145
