ko:K04042	cbb:CLD_0938
ko:K02115	cbb:CLD_0630
ko:K03498	cbb:CLD_1407
ko:K03177	cbb:CLD_2225
ko:K04069	cbb:CLD_1317
ko:K03553	cbb:CLD_2236
ko:K04075	cbb:CLD_0964
ko:K01222	cbb:CLD_1160
ko:K03040	cbb:CLD_A0078
ko:K13653	cbb:CLD_3790
ko:K07456	cbb:CLD_1418
ko:K06442	cbb:CLD_2757
ko:K02188	cbb:CLD_3625
ko:K02016	cbb:CLD_0449
ko:K02015	cbb:CLD_0448
ko:K02013	cbb:CLD_0447
ko:K03601	cbb:CLD_2752
ko:K03110	cbb:CLD_2189
ko:K03969	cbb:CLD_A0087
ko:K09936	cbb:CLD_1692
ko:K03499	cbb:CLD_3241
ko:K03546	cbb:CLD_0271
ko:K02835	cbb:CLD_0647
ko:K03572	cbb:CLD_2841
ko:K06187	cbb:CLD_0784
ko:K09747	cbb:CLD_0785
ko:K02556	cbb:CLD_2348
ko:K02406	cbb:CLD_1843
ko:K01624	cbb:CLD_0586
ko:K06208	cbb:CLD_2831
ko:K07461	cbb:CLD_1175
ko:K07052	cbb:CLD_3260
ko:K02405	cbb:CLD_1922
ko:K03977	cbb:CLD_2116
ko:K02469	cbb:CLD_0819
ko:K03303	cbb:CLD_3561
ko:K02837	cbb:CLD_1192
ko:K03496	cbb:CLD_0835
ko:K00525	cbb:CLD_1760
ko:K01962	cbb:CLD_0892
ko:K01963	cbb:CLD_0891
ko:K03500	cbb:CLD_2130
ko:K02415	cbb:CLD_1913
ko:K02400	cbb:CLD_1918
ko:K01677	cbb:CLD_1063
ko:K03168	cbb:CLD_2203
ko:K03665	cbb:CLD_1460
ko:K04562	cbb:CLD_1920
ko:K09812	cbb:CLD_1117
ko:K09811	cbb:CLD_1118
ko:K02190	cbb:CLD_3608
ko:K02160	cbb:CLD_0888
ko:K02119	cbb:CLD_1938
ko:K03685	cbb:CLD_2186
ko:K10794	cbb:CLD_2160
ko:K06173	cbb:CLD_1058
ko:K06173	cbb:CLD_2713
ko:K03666	cbb:CLD_2843
ko:K03040	cbb:CLD_1053
ko:K00526	cbb:CLD_1761
ko:K03409	cbb:CLD_2851
ko:K06967	cbb:CLD_1610
ko:K09121	cbb:CLD_0683
ko:K05799	cbb:CLD_3469
ko:K03975	cbb:CLD_1098
ko:K04069	cbb:CLD_1347
ko:K01620	cbb:CLD_2342
ko:K03614	cbb:CLD_0382
ko:K02313	cbb:CLD_0825
ko:K03613	cbb:CLD_0380
ko:K02470	cbb:CLD_0820
ko:K02338	cbb:CLD_0824
ko:K03734	cbb:CLD_0374
ko:K03612	cbb:CLD_0381
ko:K01998	cbb:CLD_0287
ko:K03617	cbb:CLD_0379
ko:K06897	cbb:CLD_3496
ko:K03070	cbb:CLD_0607
ko:K03787	cbb:CLD_0542
ko:K00794	cbb:CLD_1679
ko:K10773	cbb:CLD_0566
ko:K02759	cbb:CLD_1164
ko:K00826	cbb:CLD_1818
ko:K02781	cbb:CLD_1092
ko:K02822	cbb:CLD_2484
ko:K00385	cbb:CLD_3601
ko:K03569	cbb:CLD_1542
ko:K03569	cbb:CLD_0622
ko:K04651	cbb:CLD_2356
ko:K04651	cbb:CLD_3772
ko:K00537	cbb:CLD_3493
ko:K02755	cbb:CLD_1717
ko:K02756	cbb:CLD_1717
ko:K02757	cbb:CLD_1717
ko:K01995	cbb:CLD_0286
ko:K10811	cbb:CLD_3794
ko:K02761	cbb:CLD_1161
ko:K03741	cbb:CLD_3802
ko:K09931	cbb:CLD_1951
ko:K02387	cbb:CLD_1898
ko:K02406	cbb:CLD_1897
ko:K01755	cbb:CLD_1895
ko:K01940	cbb:CLD_1894
ko:K06131	cbb:CLD_1891
ko:K02406	cbb:CLD_1870
ko:K01955	cbb:CLD_1868
ko:K01790	cbb:CLD_1864
ko:K00067	cbb:CLD_1862
ko:K00973	cbb:CLD_1861
ko:K04769	cbb:CLD_0946
ko:K07533	cbb:CLD_0945
ko:K03723	cbb:CLD_0944
ko:K00948	cbb:CLD_0939
ko:K06412	cbb:CLD_0937
ko:K02897	cbb:CLD_1314
ko:K09825	cbb:CLD_1312
ko:K03978	cbb:CLD_1304
ko:K01338	cbb:CLD_1303
ko:K04076	cbb:CLD_1302
ko:K03544	cbb:CLD_1301
ko:K03545	cbb:CLD_1299
ko:K00762	cbb:CLD_1296
ko:K01591	cbb:CLD_1293
ko:K01465	cbb:CLD_1292
ko:K00610	cbb:CLD_1291
ko:K00793	cbb:CLD_1677
ko:K01531	cbb:CLD_1673
ko:K01945	cbb:CLD_1668
ko:K01933	cbb:CLD_1665
ko:K00764	cbb:CLD_1664
ko:K01923	cbb:CLD_1663
ko:K01464	cbb:CLD_1656
ko:K01751	cbb:CLD_1654
ko:K07141	cbb:CLD_1651
ko:K07402	cbb:CLD_1650
ko:K07402	cbb:CLD_1649
ko:K02015	cbb:CLD_1647
ko:K02013	cbb:CLD_1646
ko:K02016	cbb:CLD_1645
ko:K06901	cbb:CLD_1641
ko:K03310	cbb:CLD_1640
ko:K06024	cbb:CLD_2784
ko:K03609	cbb:CLD_1547
ko:K01867	cbb:CLD_1190
ko:K01586	cbb:CLD_1185
ko:K00928	cbb:CLD_1184
ko:K03798	cbb:CLD_1178
ko:K01439	cbb:CLD_1177
ko:K01881	cbb:CLD_1176
ko:K01611	cbb:CLD_1157
ko:K01126	cbb:CLD_1616
ko:K07164	cbb:CLD_1612
ko:K03086	cbb:CLD_1608
ko:K01129	cbb:CLD_1606
ko:K01006	cbb:CLD_1604
ko:K03595	cbb:CLD_1600
ko:K01489	cbb:CLD_1599
ko:K07042	cbb:CLD_1597
ko:K07037	cbb:CLD_1596
ko:K06438	cbb:CLD_1595
ko:K09936	cbb:CLD_1143
ko:K00873	cbb:CLD_1136
ko:K00850	cbb:CLD_1135
ko:K09762	cbb:CLD_1133
ko:K09768	cbb:CLD_1245
ko:K01810	cbb:CLD_1244
ko:K03311	cbb:CLD_1229
ko:K01951	cbb:CLD_1228
ko:K00088	cbb:CLD_1227
ko:K04078	cbb:CLD_1224
ko:K00528	cbb:CLD_1218
ko:K01926	cbb:CLD_1217
ko:K09117	cbb:CLD_1593
ko:K03708	cbb:CLD_0989
ko:K02355	cbb:CLD_0987
ko:K01925	cbb:CLD_0974
ko:K03525	cbb:CLD_0968
ko:K01938	cbb:CLD_0967
ko:K03798	cbb:CLD_0966
ko:K00760	cbb:CLD_0965
ko:K06382	cbb:CLD_0963
ko:K07571	cbb:CLD_0954
ko:K03530	cbb:CLD_0949
ko:K02420	cbb:CLD_1916
ko:K02418	cbb:CLD_1914
ko:K02557	cbb:CLD_1912
ko:K02556	cbb:CLD_1911
ko:K02385	cbb:CLD_1910
ko:K02390	cbb:CLD_1909
ko:K02389	cbb:CLD_1907
ko:K02413	cbb:CLD_1905
ko:K06871	cbb:CLD_1367
ko:K02051	cbb:CLD_1362
ko:K02049	cbb:CLD_1360
ko:K02050	cbb:CLD_1359
ko:K03565	cbb:CLD_1356
ko:K09913	cbb:CLD_1350
ko:K00286	cbb:CLD_1349
ko:K00656	cbb:CLD_1348
ko:K03924	cbb:CLD_1342
ko:K03522	cbb:CLD_1334
ko:K03521	cbb:CLD_1333
ko:K06901	cbb:CLD_1326
ko:K07095	cbb:CLD_1322
ko:K00656	cbb:CLD_1316
ko:K07095	cbb:CLD_1262
ko:K02035	cbb:CLD_1258
ko:K02434	cbb:CLD_1257
ko:K02433	cbb:CLD_1256
ko:K02435	cbb:CLD_1255
ko:K09685	cbb:CLD_0936
ko:K01924	cbb:CLD_0935
ko:K07139	cbb:CLD_0929
ko:K04070	cbb:CLD_0926
ko:K01776	cbb:CLD_0921
ko:K01915	cbb:CLD_0920
ko:K00790	cbb:CLD_0918
ko:K00783	cbb:CLD_0914
ko:K01265	cbb:CLD_0909
ko:K01012	cbb:CLD_0904
ko:K03150	cbb:CLD_0903
ko:K09936	cbb:CLD_0897
ko:K01972	cbb:CLD_1252
ko:K04024	cbb:CLD_2528
ko:K04029	cbb:CLD_2526
ko:K04031	cbb:CLD_2525
ko:K00604	cbb:CLD_1851
ko:K06603	cbb:CLD_1838
ko:K03563	cbb:CLD_1837
ko:K02397	cbb:CLD_1835
ko:K02398	cbb:CLD_1832
ko:K03408	cbb:CLD_1829
ko:K03413	cbb:CLD_1828
ko:K03407	cbb:CLD_1826
ko:K03408	cbb:CLD_1822
ko:K09749	cbb:CLD_1821
ko:K07462	cbb:CLD_1810
ko:K01151	cbb:CLD_1809
ko:K03152	cbb:CLD_1805
ko:K02622	cbb:CLD_1802
ko:K00616	cbb:CLD_3275
ko:K03310	cbb:CLD_3273
ko:K02654	cbb:CLD_3243
ko:K03710	cbb:CLD_1739
ko:K09013	cbb:CLD_1730
ko:K07141	cbb:CLD_1721
ko:K08303	cbb:CLD_1417
ko:K05592	cbb:CLD_1772
ko:K03470	cbb:CLD_2199
ko:K03469	cbb:CLD_0347
ko:K07023	cbb:CLD_2961
ko:K03523	cbb:CLD_3653
ko:K00558	cbb:CLD_A0187
ko:K00558	cbb:CLD_A0053
ko:K03555	cbb:CLD_2840
ko:K03615	cbb:CLD_0383
ko:K04652	cbb:CLD_3774
ko:K04652	cbb:CLD_0312
ko:K04652	cbb:CLD_2355
ko:K02600	cbb:CLD_2219
ko:K03169	cbb:CLD_3279
ko:K02621	cbb:CLD_1803
ko:K03629	cbb:CLD_0822
ko:K03610	cbb:CLD_1546
ko:K03608	cbb:CLD_1548
ko:K02823	cbb:CLD_1294
ko:K04066	cbb:CLD_2126
ko:K02769	cbb:CLD_2633
ko:K02010	cbb:CLD_3413
ko:K02770	cbb:CLD_2633
ko:K03778	cbb:CLD_1239
ko:K03778	cbb:CLD_1240
ko:K00266	cbb:CLD_2910
ko:K02337	cbb:CLD_1134
ko:K02564	cbb:CLD_1741
ko:K00266	cbb:CLD_1219
ko:K02404	cbb:CLD_1919
ko:K10947	cbb:CLD_0689
ko:K04567	cbb:CLD_0972
ko:K02335	cbb:CLD_1531
ko:K03763	cbb:CLD_2217
ko:K02346	cbb:CLD_1757
ko:K01056	cbb:CLD_0943
ko:K01588	cbb:CLD_1662
ko:K02428	cbb:CLD_1261
ko:K02392	cbb:CLD_1925
ko:K02408	cbb:CLD_1900
ko:K07173	cbb:CLD_0027
ko:K00282	cbb:CLD_0068
ko:K02825	cbb:CLD_3073
ko:K00872	cbb:CLD_2916
ko:K02340	cbb:CLD_1577
ko:K02338	cbb:CLD_A0160
ko:K02343	cbb:CLD_A0014
ko:K02340	cbb:CLD_A0017
ko:K03043	cbb:CLD_1016
ko:K03046	cbb:CLD_1017
ko:K01448	cbb:CLD_1429
ko:K01448	cbb:CLD_3119
ko:K00198	cbb:CLD_2358
ko:K00198	cbb:CLD_3226
ko:K02499	cbb:CLD_0948
ko:K02411	cbb:CLD_1903
ko:K02557	cbb:CLD_2349
ko:K02388	cbb:CLD_1899
ko:K02422	cbb:CLD_1840
ko:K03412	cbb:CLD_1824
ko:K09696	cbb:CLD_2338
ko:K09697	cbb:CLD_2337
ko:K02343	cbb:CLD_0786
ko:K00283	cbb:CLD_0067
ko:K02663	cbb:CLD_2736
ko:K02809	cbb:CLD_3191
ko:K02810	cbb:CLD_3191
ko:K02040	cbb:CLD_0365
ko:K02037	cbb:CLD_0364
ko:K02038	cbb:CLD_0363
ko:K07043	cbb:CLD_0357
ko:K03147	cbb:CLD_1631
ko:K09764	cbb:CLD_1629
ko:K02858	cbb:CLD_1623
ko:K07313	cbb:CLD_A0094
ko:K07341	cbb:CLD_A0108
ko:K02803	cbb:CLD_1733
ko:K02804	cbb:CLD_1733
ko:K02783	cbb:CLD_1090
ko:K02650	cbb:CLD_2730
ko:K04486	cbb:CLD_1994
ko:K19225	cbb:CLD_0351
ko:K01515	cbb:CLD_2771
ko:K07719	cbb:CLD_0143
ko:K07717	cbb:CLD_0142
ko:K01875	cbb:CLD_0238
ko:K04564	cbb:CLD_0228
ko:K06897	cbb:CLD_0227
ko:K07240	cbb:CLD_0216
ko:K07240	cbb:CLD_0215
ko:K09770	cbb:CLD_0213
ko:K02003	cbb:CLD_3220
ko:K02016	cbb:CLD_3216
ko:K02015	cbb:CLD_3215
ko:K02013	cbb:CLD_3214
ko:K02858	cbb:CLD_3201
ko:K00560	cbb:CLD_3796
ko:K02003	cbb:CLD_3783
ko:K03311	cbb:CLD_3759
ko:K04758	cbb:CLD_3756
ko:K02233	cbb:CLD_3751
ko:K00865	cbb:CLD_2341
ko:K02348	cbb:CLD_2336
ko:K00111	cbb:CLD_2331
ko:K00878	cbb:CLD_2322
ko:K03826	cbb:CLD_2320
ko:K01935	cbb:CLD_2317
ko:K01387	cbb:CLD_2936
ko:K00548	cbb:CLD_2933
ko:K00627	cbb:CLD_2922
ko:K00382	cbb:CLD_2921
ko:K03800	cbb:CLD_2920
ko:K05845	cbb:CLD_2918
ko:K05846	cbb:CLD_2918
ko:K01733	cbb:CLD_2917
ko:K00928	cbb:CLD_2915
ko:K00003	cbb:CLD_2914
ko:K00528	cbb:CLD_2911
ko:K01012	cbb:CLD_2316
ko:K03523	cbb:CLD_2315
ko:K01262	cbb:CLD_2311
ko:K03183	cbb:CLD_0275
ko:K07727	cbb:CLD_0274
ko:K07175	cbb:CLD_0265
ko:K03439	cbb:CLD_0249
ko:K03091	cbb:CLD_2023
ko:K00876	cbb:CLD_2011
ko:K08303	cbb:CLD_2010
ko:K07082	cbb:CLD_2008
ko:K06207	cbb:CLD_2007
ko:K07447	cbb:CLD_2003
ko:K01872	cbb:CLD_2001
ko:K04488	cbb:CLD_1998
ko:K07478	cbb:CLD_1995
ko:K07088	cbb:CLD_1993
ko:K01750	cbb:CLD_1990
ko:K03310	cbb:CLD_1989
ko:K03310	cbb:CLD_1988
ko:K01952	cbb:CLD_1985
ko:K11105	cbb:CLD_2641
ko:K02755	cbb:CLD_0102
ko:K02756	cbb:CLD_0102
ko:K02757	cbb:CLD_0102
ko:K02777	cbb:CLD_0481
ko:K02003	cbb:CLD_0478
ko:K01775	cbb:CLD_0476
ko:K02012	cbb:CLD_3415
ko:K02011	cbb:CLD_3414
ko:K02945	cbb:CLD_3410
ko:K07107	cbb:CLD_3409
ko:K01989	cbb:CLD_3407
ko:K05832	cbb:CLD_3406
ko:K05833	cbb:CLD_3405
ko:K00077	cbb:CLD_3399
ko:K02015	cbb:CLD_0079
ko:K02015	cbb:CLD_0078
ko:K02013	cbb:CLD_0077
ko:K00605	cbb:CLD_0070
ko:K02437	cbb:CLD_0069
ko:K00382	cbb:CLD_0066
ko:K03800	cbb:CLD_0065
ko:K10254	cbb:CLD_0044
ko:K00648	cbb:CLD_0035
ko:K01738	cbb:CLD_0028
ko:K01478	cbb:CLD_2965
ko:K03758	cbb:CLD_2964
ko:K00845	cbb:CLD_2951
ko:K03466	cbb:CLD_2233
ko:K04077	cbb:CLD_1225
ko:K06158	cbb:CLD_1216
ko:K01409	cbb:CLD_1210
ko:K06925	cbb:CLD_1201
ko:K01866	cbb:CLD_1198
ko:K00075	cbb:CLD_1130
ko:K03703	cbb:CLD_1128
ko:K03701	cbb:CLD_1122
ko:K03702	cbb:CLD_1121
ko:K03797	cbb:CLD_1119
ko:K00615	cbb:CLD_1114
ko:K00615	cbb:CLD_1113
ko:K01775	cbb:CLD_1110
ko:K00997	cbb:CLD_1107
ko:K07058	cbb:CLD_1104
ko:K02986	cbb:CLD_1102
ko:K06209	cbb:CLD_1535
ko:K00859	cbb:CLD_1532
ko:K01736	cbb:CLD_1530
ko:K01448	cbb:CLD_1430
ko:K00963	cbb:CLD_1427
ko:K02897	cbb:CLD_1424
ko:K07322	cbb:CLD_0098
ko:K09155	cbb:CLD_0097
ko:K02016	cbb:CLD_0080
ko:K03305	cbb:CLD_3016
ko:K09936	cbb:CLD_3008
ko:K03556	cbb:CLD_3003
ko:K01737	cbb:CLD_2998
ko:K01495	cbb:CLD_2996
ko:K06920	cbb:CLD_2995
ko:K00005	cbb:CLD_3589
ko:K03830	cbb:CLD_3587
ko:K03101	cbb:CLD_3577
ko:K07095	cbb:CLD_3569
ko:K03413	cbb:CLD_3568
ko:K04068	cbb:CLD_3564
ko:K03521	cbb:CLD_3559
ko:K03522	cbb:CLD_3558
ko:K02653	cbb:CLD_2719
ko:K01778	cbb:CLD_2715
ko:K02782	cbb:CLD_1091
ko:K02783	cbb:CLD_1091
ko:K02970	cbb:CLD_1592
ko:K09761	cbb:CLD_1589
ko:K04043	cbb:CLD_1586
ko:K03687	cbb:CLD_1585
ko:K03705	cbb:CLD_1584
ko:K03596	cbb:CLD_1582
ko:K06385	cbb:CLD_1580
ko:K06012	cbb:CLD_1579
ko:K02968	cbb:CLD_1578
ko:K02238	cbb:CLD_1576
ko:K03833	cbb:CLD_1569
ko:K01042	cbb:CLD_1568
ko:K01008	cbb:CLD_1567
ko:K06180	cbb:CLD_1564
ko:K00969	cbb:CLD_1560
ko:K07574	cbb:CLD_1559
ko:K03979	cbb:CLD_1558
ko:K02899	cbb:CLD_1557
ko:K07584	cbb:CLD_1556
ko:K02888	cbb:CLD_1555
ko:K08301	cbb:CLD_1554
ko:K05837	cbb:CLD_1549
ko:K05515	cbb:CLD_1545
ko:K03571	cbb:CLD_1544
ko:K00661	cbb:CLD_2478
ko:K07650	cbb:CLD_0454
ko:K00806	cbb:CLD_3230
ko:K08884	cbb:CLD_2389
ko:K07078	cbb:CLD_2375
ko:K01442	cbb:CLD_2374
ko:K00820	cbb:CLD_1096
ko:K00068	cbb:CLD_1093
ko:K03431	cbb:CLD_1086
ko:K00174	cbb:CLD_1083
ko:K00176	cbb:CLD_1082
ko:K00929	cbb:CLD_1080
ko:K00929	cbb:CLD_1078
ko:K07137	cbb:CLD_1077
ko:K00384	cbb:CLD_1072
ko:K03671	cbb:CLD_1071
ko:K01305	cbb:CLD_1070
ko:K08483	cbb:CLD_1067
ko:K02996	cbb:CLD_1060
ko:K02871	cbb:CLD_1059
ko:K02879	cbb:CLD_1054
ko:K02986	cbb:CLD_1052
ko:K02948	cbb:CLD_1051
ko:K02952	cbb:CLD_1050
ko:K02919	cbb:CLD_1049
ko:K02518	cbb:CLD_1048
ko:K09888	cbb:CLD_1412
ko:K03437	cbb:CLD_1409
ko:K03499	cbb:CLD_1408
ko:K02887	cbb:CLD_1406
ko:K02916	cbb:CLD_1405
ko:K02520	cbb:CLD_1404
ko:K01868	cbb:CLD_1403
ko:K04083	cbb:CLD_1393
ko:K00133	cbb:CLD_1384
ko:K01714	cbb:CLD_1383
ko:K03803	cbb:CLD_1487
ko:K01876	cbb:CLD_1486
ko:K01265	cbb:CLD_1046
ko:K00939	cbb:CLD_1045
ko:K02876	cbb:CLD_1043
ko:K02907	cbb:CLD_1042
ko:K02988	cbb:CLD_1041
ko:K02881	cbb:CLD_1040
ko:K02933	cbb:CLD_1039
ko:K02994	cbb:CLD_1038
ko:K02954	cbb:CLD_1037
ko:K02931	cbb:CLD_1036
ko:K02895	cbb:CLD_1035
ko:K02874	cbb:CLD_1034
ko:K02961	cbb:CLD_1033
ko:K02904	cbb:CLD_1032
ko:K02878	cbb:CLD_1031
ko:K02982	cbb:CLD_1030
ko:K02890	cbb:CLD_1029
ko:K02965	cbb:CLD_1028
ko:K02886	cbb:CLD_1027
ko:K02892	cbb:CLD_1026
ko:K02926	cbb:CLD_1025
ko:K02906	cbb:CLD_1024
ko:K02946	cbb:CLD_1023
ko:K02355	cbb:CLD_1021
ko:K02992	cbb:CLD_1020
ko:K02950	cbb:CLD_1019
ko:K07590	cbb:CLD_1018
ko:K02601	cbb:CLD_1011
ko:K03073	cbb:CLD_1010
ko:K02358	cbb:CLD_1008
ko:K01874	cbb:CLD_0711
ko:K06962	cbb:CLD_1004
ko:K03218	cbb:CLD_1003
ko:K03465	cbb:CLD_1002
ko:K11145	cbb:CLD_1001
ko:K01754	cbb:CLD_0999
ko:K01881	cbb:CLD_0998
ko:K00567	cbb:CLD_0122
ko:K06958	cbb:CLD_1131
ko:K01777	cbb:CLD_2164
ko:K03570	cbb:CLD_1543
ko:K03630	cbb:CLD_1541
ko:K06287	cbb:CLD_1540
ko:K00567	cbb:CLD_3023
ko:K07090	cbb:CLD_1680
ko:K02652	cbb:CLD_2718
ko:K07770	cbb:CLD_0455
ko:K00812	cbb:CLD_2242
ko:K05946	cbb:CLD_1448
ko:K00868	cbb:CLD_3149
ko:K03711	cbb:CLD_2005
ko:K02121	cbb:CLD_1937
ko:K00298	cbb:CLD_0234
ko:K00686	cbb:CLD_2279
ko:K03410	cbb:CLD_1827
ko:K00759	cbb:CLD_2619
ko:K06901	cbb:CLD_2618
ko:K03802	cbb:CLD_0666
ko:K00919	cbb:CLD_0665
ko:K06387	cbb:CLD_0660
ko:K01937	cbb:CLD_0654
ko:K03628	cbb:CLD_0652
ko:K02909	cbb:CLD_0651
ko:K00857	cbb:CLD_0650
ko:K02493	cbb:CLD_0648
ko:K07238	cbb:CLD_0645
ko:K07566	cbb:CLD_0644
ko:K00761	cbb:CLD_0641
ko:K01493	cbb:CLD_0639
ko:K02526	cbb:CLD_0517
ko:K02342	cbb:CLD_0507
ko:K06196	cbb:CLD_0496
ko:K10974	cbb:CLD_2564
ko:K09705	cbb:CLD_0018
ko:K03501	cbb:CLD_0833
ko:K01619	cbb:CLD_2989
ko:K00852	cbb:CLD_2988
ko:K00765	cbb:CLD_2986
ko:K00013	cbb:CLD_2985
ko:K01693	cbb:CLD_2984
ko:K01814	cbb:CLD_2982
ko:K00817	cbb:CLD_2981
ko:K01496	cbb:CLD_2979
ko:K01523	cbb:CLD_2978
ko:K07112	cbb:CLD_2975
ko:K07112	cbb:CLD_2971
ko:K05810	cbb:CLD_2107
ko:K07738	cbb:CLD_2106
ko:K03091	cbb:CLD_2104
ko:K03091	cbb:CLD_2103
ko:K06383	cbb:CLD_2102
ko:K03531	cbb:CLD_2101
ko:K03590	cbb:CLD_2100
ko:K02669	cbb:CLD_2097
ko:K00014	cbb:CLD_2096
ko:K03205	cbb:CLD_2087
ko:K00111	cbb:CLD_3491
ko:K02445	cbb:CLD_3488
ko:K01887	cbb:CLD_3487
ko:K04079	cbb:CLD_2640
ko:K01226	cbb:CLD_2637
ko:K03486	cbb:CLD_2636
ko:K08302	cbb:CLD_2631
ko:K00005	cbb:CLD_2625
ko:K11189	cbb:CLD_2243
ko:K07304	cbb:CLD_3148
ko:K00074	cbb:CLD_1330
ko:K07105	cbb:CLD_0811
ko:K01270	cbb:CLD_1675
ko:K11753	cbb:CLD_2226
ko:K01485	cbb:CLD_2565
ko:K00625	cbb:CLD_2180
ko:K01270	cbb:CLD_2343
ko:K00949	cbb:CLD_2136
ko:K01259	cbb:CLD_2595
ko:K03686	cbb:CLD_1587
ko:K05896	cbb:CLD_2783
ko:K00991	cbb:CLD_0997
ko:K07067	cbb:CLD_0994
ko:K03696	cbb:CLD_0992
ko:K07560	cbb:CLD_1482
ko:K00759	cbb:CLD_1480
ko:K03074	cbb:CLD_1478
ko:K03072	cbb:CLD_1477
ko:K06871	cbb:CLD_1476
ko:K03210	cbb:CLD_1473
ko:K00773	cbb:CLD_1472
ko:K03550	cbb:CLD_1469
ko:K00760	cbb:CLD_1459
ko:K06407	cbb:CLD_1456
ko:K06406	cbb:CLD_1455
ko:K06405	cbb:CLD_1454
ko:K03091	cbb:CLD_1453
ko:K06379	cbb:CLD_1452
ko:K03980	cbb:CLD_1445
ko:K01873	cbb:CLD_1372
ko:K03825	cbb:CLD_1371
ko:K00027	cbb:CLD_0565
ko:K00027	cbb:CLD_0518
ko:K02035	cbb:CLD_3340
ko:K01520	cbb:CLD_3332
ko:K00384	cbb:CLD_3313
ko:K00384	cbb:CLD_3308
ko:K03671	cbb:CLD_3307
ko:K00899	cbb:CLD_3300
ko:K08963	cbb:CLD_3299
ko:K01443	cbb:CLD_1740
ko:K03111	cbb:CLD_A0006
ko:K00942	cbb:CLD_A0034
ko:K07238	cbb:CLD_3392
ko:K01738	cbb:CLD_3390
ko:K06864	cbb:CLD_3386
ko:K00566	cbb:CLD_3384
ko:K07707	cbb:CLD_3382
ko:K07706	cbb:CLD_3380
ko:K01126	cbb:CLD_3377
ko:K01223	cbb:CLD_3366
ko:K01866	cbb:CLD_3364
ko:K01752	cbb:CLD_3354
ko:K01752	cbb:CLD_3353
ko:K07727	cbb:CLD_2495
ko:K01735	cbb:CLD_2491
ko:K02003	cbb:CLD_2489
ko:K02821	cbb:CLD_2483
ko:K00616	cbb:CLD_2482
ko:K03704	cbb:CLD_0469
ko:K07118	cbb:CLD_0464
ko:K02777	cbb:CLD_0460
ko:K01687	cbb:CLD_0459
ko:K00874	cbb:CLD_0457
ko:K00645	cbb:CLD_0885
ko:K02371	cbb:CLD_0884
ko:K02078	cbb:CLD_0883
ko:K09773	cbb:CLD_0863
ko:K07007	cbb:CLD_0861
ko:K01939	cbb:CLD_0858
ko:K07137	cbb:CLD_0857
ko:K02314	cbb:CLD_0854
ko:K01338	cbb:CLD_0853
ko:K02939	cbb:CLD_0852
ko:K02963	cbb:CLD_0848
ko:K03111	cbb:CLD_0847
ko:K02990	cbb:CLD_0846
ko:K03495	cbb:CLD_0832
ko:K03650	cbb:CLD_0831
ko:K06346	cbb:CLD_0830
ko:K03217	cbb:CLD_0829
ko:K08998	cbb:CLD_0828
ko:K03536	cbb:CLD_0827
ko:K02914	cbb:CLD_0826
ko:K01486	cbb:CLD_0456
ko:K02016	cbb:CLD_0444
ko:K02016	cbb:CLD_0443
ko:K02015	cbb:CLD_0442
