ko:K18929	heg:HPGAM_00715
ko:K02948	heg:HPGAM_06695
ko:K02952	heg:HPGAM_06700
ko:K02919	heg:HPGAM_06705
ko:K02518	heg:HPGAM_06710
ko:K01265	heg:HPGAM_06715
ko:K03076	heg:HPGAM_06720
ko:K02876	heg:HPGAM_06725
ko:K02988	heg:HPGAM_06730
ko:K02881	heg:HPGAM_06735
ko:K02933	heg:HPGAM_06740
ko:K02994	heg:HPGAM_06745
ko:K02954	heg:HPGAM_06750
ko:K02931	heg:HPGAM_06755
ko:K02895	heg:HPGAM_06760
ko:K02874	heg:HPGAM_06765
ko:K02961	heg:HPGAM_06770
ko:K02904	heg:HPGAM_06775
ko:K02878	heg:HPGAM_06780
ko:K02982	heg:HPGAM_06785
ko:K02890	heg:HPGAM_06790
ko:K02965	heg:HPGAM_06795
ko:K02886	heg:HPGAM_06800
ko:K02892	heg:HPGAM_06805
ko:K02926	heg:HPGAM_06810
ko:K02906	heg:HPGAM_06815
ko:K11473	heg:HPGAM_03445
ko:K00812	heg:HPGAM_03475
ko:K07090	heg:HPGAM_03490
ko:K04042	heg:HPGAM_03515
ko:K02419	heg:HPGAM_03520
ko:K04759	heg:HPGAM_03530
ko:K07501	heg:HPGAM_03535
ko:K10856	heg:HPGAM_03565
ko:K02106	heg:HPGAM_03585
ko:K01029	heg:HPGAM_03590
ko:K01028	heg:HPGAM_03595
ko:K00901	heg:HPGAM_03610
ko:K02469	heg:HPGAM_03615
ko:K03701	heg:HPGAM_03630
ko:K03438	heg:HPGAM_03640
ko:K07023	heg:HPGAM_03660
ko:K03092	heg:HPGAM_03675
ko:K06861	heg:HPGAM_03680
ko:K06925	heg:HPGAM_03685
ko:K02343	heg:HPGAM_03690
ko:K06895	heg:HPGAM_03695
ko:K07791	heg:HPGAM_03720
ko:K08591	heg:HPGAM_07940
ko:K01633	heg:HPGAM_07945
ko:K01042	heg:HPGAM_07960
ko:K02600	heg:HPGAM_07965
ko:K03655	heg:HPGAM_08030
ko:K01142	heg:HPGAM_08045
ko:K02313	heg:HPGAM_08060
ko:K00820	heg:HPGAM_08075
ko:K01154	heg:HPGAM_08100
ko:K03427	heg:HPGAM_08105
ko:K01153	heg:HPGAM_08110
ko:K07043	heg:HPGAM_08115
ko:K01476	heg:HPGAM_08125
ko:K00259	heg:HPGAM_08130
ko:K00858	heg:HPGAM_08150
ko:K03631	heg:HPGAM_08155
ko:K01783	heg:HPGAM_08180
ko:K03841	heg:HPGAM_08185
ko:K02357	heg:HPGAM_08205
ko:K02967	heg:HPGAM_08210
ko:K03313	heg:HPGAM_08220
ko:K03210	heg:HPGAM_08225
ko:K03072	heg:HPGAM_08230
ko:K03074	heg:HPGAM_08235
ko:K01939	heg:HPGAM_01445
ko:K11749	heg:HPGAM_01460
ko:K03601	heg:HPGAM_01465
ko:K03695	heg:HPGAM_01495
ko:K01465	heg:HPGAM_01505
ko:K06168	heg:HPGAM_01520
ko:K09778	heg:HPGAM_01525
ko:K06940	heg:HPGAM_01545
ko:K01609	heg:HPGAM_01555
ko:K01524	heg:HPGAM_01565
ko:K02841	heg:HPGAM_01570
ko:K02517	heg:HPGAM_01575
ko:K00773	heg:HPGAM_01580
ko:K09944	heg:HPGAM_01585
ko:K01735	heg:HPGAM_01590
ko:K01586	heg:HPGAM_01625
ko:K01163	heg:HPGAM_01635
ko:K02397	heg:HPGAM_01655
ko:K02888	heg:HPGAM_01660
ko:K02899	heg:HPGAM_01665
ko:K12368	heg:HPGAM_01670
ko:K12370	heg:HPGAM_01680
ko:K12372	heg:HPGAM_01690
ko:K03979	heg:HPGAM_01695
ko:K01845	heg:HPGAM_01710
ko:K02429	heg:HPGAM_06070
ko:K06901	heg:HPGAM_06075
ko:K01839	heg:HPGAM_06110
ko:K08159	heg:HPGAM_06145
ko:K00133	heg:HPGAM_06160
ko:K01892	heg:HPGAM_06165
ko:K02355	heg:HPGAM_06180
ko:K02992	heg:HPGAM_06185
ko:K02950	heg:HPGAM_06190
ko:K02935	heg:HPGAM_06200
ko:K02864	heg:HPGAM_06205
ko:K02863	heg:HPGAM_06210
ko:K02867	heg:HPGAM_06215
ko:K02601	heg:HPGAM_06220
ko:K03073	heg:HPGAM_06225
ko:K02913	heg:HPGAM_06230
ko:K02358	heg:HPGAM_06235
ko:K00640	heg:HPGAM_06260
ko:K02110	heg:HPGAM_06265
ko:K00962	heg:HPGAM_06270
ko:K04744	heg:HPGAM_06280
ko:K01962	heg:HPGAM_02860
ko:K09458	heg:HPGAM_02865
ko:K02078	heg:HPGAM_02870
ko:K02970	heg:HPGAM_02880
ko:K01778	heg:HPGAM_02905
ko:K06942	heg:HPGAM_02930
ko:K01255	heg:HPGAM_02935
ko:K00759	heg:HPGAM_02945
ko:K01808	heg:HPGAM_02955
ko:K03100	heg:HPGAM_02965
ko:K01491	heg:HPGAM_02970
ko:K01465	heg:HPGAM_02990
ko:K02417	heg:HPGAM_03005
ko:K10773	heg:HPGAM_03010
ko:K07082	heg:HPGAM_03025
ko:K00176	heg:HPGAM_03030
ko:K00174	heg:HPGAM_03035
ko:K00175	heg:HPGAM_03040
ko:K00177	heg:HPGAM_03045
ko:K03611	heg:HPGAM_03060
ko:K02406	heg:HPGAM_03100
ko:K01599	heg:HPGAM_03115
ko:K03168	heg:HPGAM_07425
ko:K01154	heg:HPGAM_07540
ko:K01433	heg:HPGAM_07545
ko:K04773	heg:HPGAM_07550
ko:K03563	heg:HPGAM_07585
ko:K00919	heg:HPGAM_07590
ko:K03664	heg:HPGAM_07595
ko:K03561	heg:HPGAM_07600
ko:K02914	heg:HPGAM_07615
ko:K03536	heg:HPGAM_07620
ko:K03217	heg:HPGAM_07630
ko:K03650	heg:HPGAM_07640
ko:K03625	heg:HPGAM_00005
ko:K00794	heg:HPGAM_00010
ko:K01627	heg:HPGAM_00015
ko:K09860	heg:HPGAM_04330
ko:K15894	heg:HPGAM_04345
ko:K13038	heg:HPGAM_04350
ko:K00788	heg:HPGAM_04360
ko:K00941	heg:HPGAM_04365
ko:K00878	heg:HPGAM_04370
ko:K01153	heg:HPGAM_04375
ko:K01154	heg:HPGAM_04380
ko:K03427	heg:HPGAM_04385
ko:K09805	heg:HPGAM_04395
ko:K00364	heg:HPGAM_04405
ko:K03271	heg:HPGAM_04410
ko:K03272	heg:HPGAM_04415
ko:K03274	heg:HPGAM_04420
ko:K03273	heg:HPGAM_04425
ko:K09792	heg:HPGAM_04430
ko:K03525	heg:HPGAM_04435
ko:K03624	heg:HPGAM_04455
ko:K00748	heg:HPGAM_04460
ko:K04651	heg:HPGAM_04470
ko:K02390	heg:HPGAM_04475
ko:K01521	heg:HPGAM_04480
ko:K06193	heg:HPGAM_04485
ko:K03781	heg:HPGAM_04500
ko:K01159	heg:HPGAM_04510
ko:K03550	heg:HPGAM_04530
ko:K03980	heg:HPGAM_04540
ko:K01883	heg:HPGAM_04545
ko:K02013	heg:HPGAM_04560
ko:K02015	heg:HPGAM_04565
ko:K02421	heg:HPGAM_00890
ko:K01624	heg:HPGAM_00910
ko:K02356	heg:HPGAM_00915
ko:K03820	heg:HPGAM_00930
ko:K03558	heg:HPGAM_00935
ko:K04567	heg:HPGAM_00940
ko:K00600	heg:HPGAM_00945
ko:K00246	heg:HPGAM_00985
ko:K01803	heg:HPGAM_00990
ko:K00208	heg:HPGAM_00995
ko:K02536	heg:HPGAM_01000
ko:K00789	heg:HPGAM_01125
ko:K00940	heg:HPGAM_01130
ko:K02911	heg:HPGAM_01140
ko:K03621	heg:HPGAM_01145
ko:K00648	heg:HPGAM_01150
ko:K02493	heg:HPGAM_05510
ko:K00262	heg:HPGAM_05515
ko:K01772	heg:HPGAM_05535
ko:K09761	heg:HPGAM_05545
ko:K01494	heg:HPGAM_05555
ko:K02160	heg:HPGAM_05560
ko:K01961	heg:HPGAM_05565
ko:K00573	heg:HPGAM_05610
ko:K07091	heg:HPGAM_05615
ko:K06173	heg:HPGAM_05620
ko:K01625	heg:HPGAM_05650
ko:K01690	heg:HPGAM_05655
ko:K00036	heg:HPGAM_05660
ko:K01057	heg:HPGAM_05665
ko:K13979	heg:HPGAM_05675
ko:K00172	heg:HPGAM_05710
ko:K00171	heg:HPGAM_05715
ko:K00169	heg:HPGAM_05720
ko:K00170	heg:HPGAM_05725
ko:K01756	heg:HPGAM_05730
ko:K03702	heg:HPGAM_05740
ko:K02396	heg:HPGAM_05770
ko:K04075	heg:HPGAM_03750
ko:K01095	heg:HPGAM_03810
ko:K01921	heg:HPGAM_03815
ko:K01929	heg:HPGAM_03825
ko:K00948	heg:HPGAM_03835
ko:K05837	heg:HPGAM_03840
ko:K06180	heg:HPGAM_03855
ko:K03439	heg:HPGAM_03865
ko:K09812	heg:HPGAM_03870
ko:K09811	heg:HPGAM_03875
ko:K02407	heg:HPGAM_03890
ko:K02422	heg:HPGAM_03895
ko:K12251	heg:HPGAM_03915
ko:K07084	heg:HPGAM_03920
ko:K03110	heg:HPGAM_03945
ko:K06940	heg:HPGAM_03950
ko:K03639	heg:HPGAM_03965
ko:K03752	heg:HPGAM_03970
ko:K02401	heg:HPGAM_03975
ko:K01448	heg:HPGAM_03985
ko:K00459	heg:HPGAM_03990
ko:K01866	heg:HPGAM_03995
ko:K03060	heg:HPGAM_04005
ko:K09903	heg:HPGAM_04010
ko:K01682	heg:HPGAM_04020
ko:K03634	heg:HPGAM_04050
ko:K01869	heg:HPGAM_08245
ko:K11754	heg:HPGAM_08255
ko:K03723	heg:HPGAM_08275
ko:K00411	heg:HPGAM_08280
ko:K00412	heg:HPGAM_08285
ko:K00413	heg:HPGAM_08290
ko:K03587	heg:HPGAM_08315
ko:K02408	heg:HPGAM_08320
ko:K02388	heg:HPGAM_08325
ko:K02387	heg:HPGAM_08330
ko:K03588	heg:HPGAM_08340
ko:K02016	heg:HPGAM_08345
ko:K02073	heg:HPGAM_08360
ko:K05515	heg:HPGAM_08370
ko:K03978	heg:HPGAM_08380
ko:K09774	heg:HPGAM_08385
ko:K03270	heg:HPGAM_08395
ko:K03642	heg:HPGAM_08400
ko:K08307	heg:HPGAM_08405
ko:K03424	heg:HPGAM_08410
ko:K00793	heg:HPGAM_08415
ko:K04061	heg:HPGAM_08420
ko:K02071	heg:HPGAM_08425
ko:K02072	heg:HPGAM_08430
ko:K03474	heg:HPGAM_08455
ko:K00097	heg:HPGAM_08460
ko:K02392	heg:HPGAM_08470
ko:K13821	heg:HPGAM_00285
ko:K03190	heg:HPGAM_00365
ko:K03189	heg:HPGAM_00370
ko:K03188	heg:HPGAM_00375
ko:K12506	heg:HPGAM_02300
ko:K00995	heg:HPGAM_02315
ko:K01714	heg:HPGAM_02330
ko:K00937	heg:HPGAM_02345
ko:K01154	heg:HPGAM_02350
ko:K03427	heg:HPGAM_02355
ko:K01153	heg:HPGAM_02360
ko:K08602	heg:HPGAM_02390
ko:K02020	heg:HPGAM_02405
ko:K02018	heg:HPGAM_02410
ko:K06207	heg:HPGAM_02435
ko:K03781	heg:HPGAM_02465
ko:K02902	heg:HPGAM_02510
ko:K15846	heg:HPGAM_02515
ko:K01000	heg:HPGAM_02520
ko:K01925	heg:HPGAM_02525
ko:K07107	heg:HPGAM_02535
ko:K03308	heg:HPGAM_02540
ko:K03308	heg:HPGAM_02545
ko:K02338	heg:HPGAM_02560
ko:K02470	heg:HPGAM_02565
ko:K02946	heg:HPGAM_06820
ko:K07133	heg:HPGAM_06825
ko:K03470	heg:HPGAM_06835
ko:K07787	heg:HPGAM_06865
ko:K03686	heg:HPGAM_06880
ko:K00566	heg:HPGAM_06890
ko:K00969	heg:HPGAM_06900
ko:K07722	heg:HPGAM_06905
ko:K03561	heg:HPGAM_06910
ko:K03832	heg:HPGAM_06920
ko:K03284	heg:HPGAM_06950
ko:K00927	heg:HPGAM_06955
ko:K00134	heg:HPGAM_06960
ko:K03648	heg:HPGAM_06965
ko:K00655	heg:HPGAM_06970
ko:K03797	heg:HPGAM_06980
ko:K00767	heg:HPGAM_07015
ko:K03517	heg:HPGAM_07020
ko:K01613	heg:HPGAM_07025
ko:K03179	heg:HPGAM_07040
ko:K03187	heg:HPGAM_00380
ko:K01428	heg:HPGAM_00390
ko:K03101	heg:HPGAM_00400
ko:K03431	heg:HPGAM_00405
ko:K02968	heg:HPGAM_00410
ko:K02835	heg:HPGAM_00415
ko:K02996	heg:HPGAM_00450
ko:K02871	heg:HPGAM_00455
ko:K00116	heg:HPGAM_00470
ko:K03086	heg:HPGAM_00480
ko:K00645	heg:HPGAM_00490
ko:K09805	heg:HPGAM_00495
ko:K01733	heg:HPGAM_00530
ko:K09765	heg:HPGAM_00540
ko:K07173	heg:HPGAM_00565
ko:K04043	heg:HPGAM_00590
ko:K03687	heg:HPGAM_00595
ko:K03705	heg:HPGAM_00600
ko:K00783	heg:HPGAM_04910
ko:K01963	heg:HPGAM_04915
ko:K13292	heg:HPGAM_04940
ko:K02527	heg:HPGAM_04950
ko:K07164	heg:HPGAM_04955
ko:K01878	heg:HPGAM_04965
ko:K00057	heg:HPGAM_04970
ko:K01879	heg:HPGAM_05035
ko:K15633	heg:HPGAM_05045
ko:K02435	heg:HPGAM_05050
ko:K00833	heg:HPGAM_05055
ko:K03770	heg:HPGAM_05060
ko:K03590	heg:HPGAM_05065
ko:K03531	heg:HPGAM_05070
ko:K03168	heg:HPGAM_05105
ko:K07226	heg:HPGAM_01770
ko:K01887	heg:HPGAM_01775
ko:K03116	heg:HPGAM_01780
ko:K00942	heg:HPGAM_01785
ko:K02393	heg:HPGAM_01805
ko:K00912	heg:HPGAM_01825
ko:K00053	heg:HPGAM_01835
ko:K03609	heg:HPGAM_01840
ko:K03608	heg:HPGAM_01845
ko:K04096	heg:HPGAM_01850
ko:K07447	heg:HPGAM_01855
ko:K06180	heg:HPGAM_01875
ko:K07462	heg:HPGAM_01880
ko:K01937	heg:HPGAM_01885
ko:K02409	heg:HPGAM_01895
ko:K02410	heg:HPGAM_01900
ko:K02411	heg:HPGAM_01905
ko:K01662	heg:HPGAM_01910
ko:K03596	heg:HPGAM_01915
ko:K02392	heg:HPGAM_01935
ko:K03466	heg:HPGAM_01950
ko:K00615	heg:HPGAM_01960
ko:K11753	heg:HPGAM_01965
ko:K06442	heg:HPGAM_01970
ko:K00609	heg:HPGAM_01980
ko:K01945	heg:HPGAM_06290
ko:K00806	heg:HPGAM_06300
ko:K06199	heg:HPGAM_06320
ko:K08311	heg:HPGAM_06340
ko:K00928	heg:HPGAM_06345
ko:K02341	heg:HPGAM_06355
ko:K00796	heg:HPGAM_06360
ko:K09804	heg:HPGAM_06385
ko:K01956	heg:HPGAM_06390
ko:K06287	heg:HPGAM_06410
ko:K01872	heg:HPGAM_06415
ko:K09794	heg:HPGAM_06420
ko:K02963	heg:HPGAM_06440
ko:K02990	heg:HPGAM_06450
ko:K02340	heg:HPGAM_06455
ko:K12573	heg:HPGAM_06460
ko:K00014	heg:HPGAM_06465
ko:K13894	heg:HPGAM_06475
ko:K13893	heg:HPGAM_06480
ko:K01867	heg:HPGAM_06485
ko:K02169	heg:HPGAM_06490
ko:K03075	heg:HPGAM_06495
ko:K02838	heg:HPGAM_06500
ko:K00762	heg:HPGAM_06505
ko:K12410	heg:HPGAM_06515
ko:K00330	heg:HPGAM_06520
ko:K00331	heg:HPGAM_06525
ko:K00332	heg:HPGAM_06535
ko:K00333	heg:HPGAM_06540
ko:K00334	heg:HPGAM_06545
ko:K01972	heg:HPGAM_03165
ko:K03415	heg:HPGAM_03170
ko:K01876	heg:HPGAM_03175
ko:K07270	heg:HPGAM_03185
ko:K07270	heg:HPGAM_03190
ko:K07456	heg:HPGAM_03200
ko:K01924	heg:HPGAM_03210
ko:K03923	heg:HPGAM_03240
ko:K03620	heg:HPGAM_03255
ko:K06920	heg:HPGAM_03285
ko:K02221	heg:HPGAM_03325
ko:K08309	heg:HPGAM_03330
ko:K00963	heg:HPGAM_03335
ko:K00790	heg:HPGAM_03345
ko:K01744	heg:HPGAM_03350
ko:K01079	heg:HPGAM_03365
ko:K02217	heg:HPGAM_03370
ko:K02434	heg:HPGAM_03405
ko:K03685	heg:HPGAM_03425
ko:K01736	heg:HPGAM_03430
ko:K07337	heg:HPGAM_07670
ko:K06178	heg:HPGAM_07680
ko:K02337	heg:HPGAM_07685
ko:K00428	heg:HPGAM_07690
ko:K02065	heg:HPGAM_07710
ko:K02066	heg:HPGAM_07715
ko:K00826	heg:HPGAM_07725
ko:K00943	heg:HPGAM_07755
ko:K00954	heg:HPGAM_07760
ko:K03186	heg:HPGAM_07765
ko:K02386	heg:HPGAM_07775
ko:K03657	heg:HPGAM_07780
ko:K01875	heg:HPGAM_07790
ko:K03602	heg:HPGAM_07800
ko:K03183	heg:HPGAM_07805
ko:K08973	heg:HPGAM_07810
ko:K01993	heg:HPGAM_07830
ko:K03306	heg:HPGAM_07845
ko:K01928	heg:HPGAM_07860
ko:K02897	heg:HPGAM_07870
ko:K01056	heg:HPGAM_07875
ko:K11720	heg:HPGAM_07880
ko:K09943	heg:HPGAM_07905
ko:K11752	heg:HPGAM_07920
ko:K03312	heg:HPGAM_07925
ko:K01673	heg:HPGAM_00020
ko:K01591	heg:HPGAM_00025
ko:K01918	heg:HPGAM_00030
ko:K04077	heg:HPGAM_00050
ko:K04078	heg:HPGAM_00055
ko:K00566	heg:HPGAM_00065
ko:K09859	heg:HPGAM_00090
ko:K03415	heg:HPGAM_00095
ko:K13747	heg:HPGAM_00100
ko:K03760	heg:HPGAM_00110
ko:K01647	heg:HPGAM_00125
ko:K00031	heg:HPGAM_00130
ko:K01935	heg:HPGAM_00140
ko:K06891	heg:HPGAM_00155
ko:K03694	heg:HPGAM_00160
ko:K01579	heg:HPGAM_00165
ko:K09747	heg:HPGAM_00170
ko:K01711	heg:HPGAM_00210
ko:K02377	heg:HPGAM_00215
ko:K04656	heg:HPGAM_00235
ko:K04654	heg:HPGAM_04625
ko:K04653	heg:HPGAM_04630
ko:K00925	heg:HPGAM_04650
ko:K13788	heg:HPGAM_04655
ko:K02389	heg:HPGAM_04665
ko:K02390	heg:HPGAM_04670
ko:K01955	heg:HPGAM_04745
ko:K00134	heg:HPGAM_04755
ko:K01821	heg:HPGAM_04770
ko:K06187	heg:HPGAM_04775
ko:K06176	heg:HPGAM_04780
ko:K03799	heg:HPGAM_04785
ko:K01495	heg:HPGAM_04790
ko:K00795	heg:HPGAM_04795
ko:K03787	heg:HPGAM_04800
ko:K01737	heg:HPGAM_04810
ko:K01775	heg:HPGAM_04860
ko:K03310	heg:HPGAM_04865
ko:K00285	heg:HPGAM_04870
ko:K04079	heg:HPGAM_01200
ko:K03495	heg:HPGAM_01215
ko:K14445	heg:HPGAM_01220
ko:K00981	heg:HPGAM_01225
ko:K00099	heg:HPGAM_01230
ko:K04487	heg:HPGAM_01255
ko:K13819	heg:HPGAM_01260
ko:K04485	heg:HPGAM_01270
ko:K12267	heg:HPGAM_01275
ko:K07090	heg:HPGAM_01285
ko:K00979	heg:HPGAM_01310
ko:K03981	heg:HPGAM_01315
ko:K01749	heg:HPGAM_01355
ko:K01881	heg:HPGAM_01360
ko:K02492	heg:HPGAM_01365
ko:K02523	heg:HPGAM_01370
ko:K04047	heg:HPGAM_01385
ko:K07710	heg:HPGAM_01390
ko:K02394	heg:HPGAM_01400
ko:K05592	heg:HPGAM_01405
ko:K13896	heg:HPGAM_01420
ko:K13895	heg:HPGAM_01425
ko:K03775	heg:HPGAM_05795
ko:K03640	heg:HPGAM_05805
ko:K03641	heg:HPGAM_05810
ko:K02114	heg:HPGAM_05830
ko:K02112	heg:HPGAM_05835
ko:K02115	heg:HPGAM_05840
ko:K02111	heg:HPGAM_05845
ko:K02113	heg:HPGAM_05850
ko:K02109	heg:HPGAM_05855
ko:K02109	heg:HPGAM_05860
ko:K03524	heg:HPGAM_05875
ko:K00604	heg:HPGAM_05880
ko:K02884	heg:HPGAM_05920
ko:K00554	heg:HPGAM_05925
ko:K02860	heg:HPGAM_05930
ko:K06960	heg:HPGAM_05935
ko:K02959	heg:HPGAM_05940
ko:K03106	heg:HPGAM_05945
ko:K01873	heg:HPGAM_05950
ko:K02563	heg:HPGAM_05960
ko:K00286	heg:HPGAM_05980
ko:K07042	heg:HPGAM_05995
ko:K03839	heg:HPGAM_06000
ko:K00384	heg:HPGAM_06015
ko:K01810	heg:HPGAM_06025
ko:K06200	heg:HPGAM_06040
ko:K02029	heg:HPGAM_06045
ko:K16091	heg:HPGAM_03525
ko:K16091	heg:HPGAM_08120
ko:K14233	heg:HPGAM_t08519
ko:K14218	heg:HPGAM_t08523
ko:K15726	heg:HPGAM_05020
ko:K14230	heg:HPGAM_t08561
ko:K14234	heg:HPGAM_t08565
ko:K14225	heg:HPGAM_t08567
ko:K14236	heg:HPGAM_t08569
ko:K14234	heg:HPGAM_t08571
ko:K14228	heg:HPGAM_t08573
ko:K01977	heg:HPGAM_r08583
ko:K01977	heg:HPGAM_r08585
ko:K14222	heg:HPGAM_t08543
ko:K14228	heg:HPGAM_t08575
ko:K14231	heg:HPGAM_t08577
ko:K14226	heg:HPGAM_t08551
ko:K10716	heg:HPGAM_02505
ko:K02014	heg:HPGAM_04505
ko:K02014	heg:HPGAM_07955
ko:K03496	heg:HPGAM_05195
ko:K03496	heg:HPGAM_07400
ko:K02028	heg:HPGAM_06055
ko:K02030	heg:HPGAM_06060
ko:K15898	heg:HPGAM_00920
ko:K00245	heg:HPGAM_00975
ko:K00244	heg:HPGAM_00980
ko:K06013	heg:HPGAM_05505
ko:K01784	heg:HPGAM_05625
ko:K07126	heg:HPGAM_05645
ko:K00845	heg:HPGAM_05670
ko:K07126	heg:HPGAM_05760
ko:K01992	heg:HPGAM_01750
ko:K01992	heg:HPGAM_01755
ko:K01916	heg:HPGAM_01830
