ko:K12978	ftz:CH68_1842
ko:K07478	ftz:CH68_662
ko:K03040	ftz:CH68_663
ko:K03584	ftz:CH68_778
ko:K03975	ftz:CH68_779
ko:K03975	ftz:CH68_780
ko:K05527	ftz:CH68_781
ko:K01934	ftz:CH68_782
ko:K09895	ftz:CH68_783
ko:K03185	ftz:CH68_784
ko:K18800	ftz:CH68_785
ko:K07568	ftz:CH68_787
ko:K09125	ftz:CH68_789
ko:K01759	ftz:CH68_790
ko:K07386	ftz:CH68_793
ko:K01807	ftz:CH68_795
ko:K03495	ftz:CH68_798
ko:K01141	ftz:CH68_804
ko:K03702	ftz:CH68_805
ko:K01776	ftz:CH68_807
ko:K03601	ftz:CH68_815
ko:K03762	ftz:CH68_817
ko:K03762	ftz:CH68_818
ko:K14058	ftz:CH68_821
ko:K03664	ftz:CH68_822
ko:K09801	ftz:CH68_824
ko:K04754	ftz:CH68_826
ko:K00681	ftz:CH68_827
ko:K06207	ftz:CH68_829
ko:K01153	ftz:CH68_832
ko:K01173	ftz:CH68_948
ko:K17836	ftz:CH68_947
ko:K03820	ftz:CH68_951
ko:K06189	ftz:CH68_952
ko:K07042	ftz:CH68_953
ko:K06168	ftz:CH68_955
ko:K03545	ftz:CH68_960
ko:K01358	ftz:CH68_961
ko:K03544	ftz:CH68_962
ko:K01338	ftz:CH68_963
ko:K03530	ftz:CH68_964
ko:K03770	ftz:CH68_965
ko:K00791	ftz:CH68_966
ko:K03666	ftz:CH68_967
ko:K03665	ftz:CH68_968
ko:K04088	ftz:CH68_972
ko:K04087	ftz:CH68_973
ko:K01104	ftz:CH68_974
ko:K03978	ftz:CH68_975
ko:K01733	ftz:CH68_977
ko:K01687	ftz:CH68_980
ko:K01687	ftz:CH68_981
ko:K01652	ftz:CH68_982
ko:K01652	ftz:CH68_983
ko:K01653	ftz:CH68_984
ko:K00053	ftz:CH68_985
ko:K03723	ftz:CH68_986
ko:K10773	ftz:CH68_990
ko:K03616	ftz:CH68_991
ko:K03675	ftz:CH68_992
ko:K03305	ftz:CH68_993
ko:K03305	ftz:CH68_994
ko:K02217	ftz:CH68_995
ko:K03644	ftz:CH68_996
ko:K01159	ftz:CH68_999
ko:K03550	ftz:CH68_1001
ko:K09760	ftz:CH68_1002
ko:K00024	ftz:CH68_1059
ko:K06134	ftz:CH68_1061
ko:K03386	ftz:CH68_1069
ko:K06193	ftz:CH68_1072
ko:K02342	ftz:CH68_1076
ko:K07260	ftz:CH68_1077
ko:K00128	ftz:CH68_1083
ko:K04761	ftz:CH68_1088
ko:K00945	ftz:CH68_1091
ko:K00831	ftz:CH68_1092
ko:K00228	ftz:CH68_1096
ko:K02990	ftz:CH68_1098
ko:K02963	ftz:CH68_1099
ko:K02939	ftz:CH68_1100
ko:K06941	ftz:CH68_1102
ko:K02656	ftz:CH68_1103
ko:K06178	ftz:CH68_1104
ko:K03789	ftz:CH68_1106
ko:K00956	ftz:CH68_1112
ko:K00956	ftz:CH68_1113
ko:K00860	ftz:CH68_1114
ko:K00059	ftz:CH68_1225
ko:K00645	ftz:CH68_1226
ko:K00648	ftz:CH68_1227
ko:K03621	ftz:CH68_1228
ko:K02911	ftz:CH68_1229
ko:K07040	ftz:CH68_1230
ko:K00615	ftz:CH68_1231
ko:K00134	ftz:CH68_1232
ko:K00927	ftz:CH68_1233
ko:K00873	ftz:CH68_1234
ko:K01624	ftz:CH68_1235
ko:K01194	ftz:CH68_1236
ko:K11901	ftz:CH68_1243
ko:K11900	ftz:CH68_1244
ko:K01697	ftz:CH68_1270
ko:K01442	ftz:CH68_1271
ko:K03650	ftz:CH68_1275
ko:K05808	ftz:CH68_1277
ko:K02806	ftz:CH68_1278
ko:K01207	ftz:CH68_1388
ko:K01845	ftz:CH68_1389
ko:K01920	ftz:CH68_1390
ko:K00604	ftz:CH68_1391
ko:K12297	ftz:CH68_1393
ko:K07007	ftz:CH68_1399
ko:K02909	ftz:CH68_1411
ko:K01919	ftz:CH68_1412
ko:K03980	ftz:CH68_1413
ko:K07126	ftz:CH68_1414
ko:K06925	ftz:CH68_1415
ko:K11754	ftz:CH68_1416
ko:K01963	ftz:CH68_1417
ko:K00940	ftz:CH68_1418
ko:K01937	ftz:CH68_1419
ko:K07464	ftz:CH68_1427
ko:K09951	ftz:CH68_1428
ko:K15342	ftz:CH68_1430
ko:K00954	ftz:CH68_1437
ko:K13628	ftz:CH68_1439
ko:K11717	ftz:CH68_1440
ko:K07025	ftz:CH68_1549
ko:K12995	ftz:CH68_1557
ko:K01784	ftz:CH68_1558
ko:K01783	ftz:CH68_1560
ko:K06041	ftz:CH68_1561
ko:K09929	ftz:CH68_1563
ko:K09930	ftz:CH68_1565
ko:K00208	ftz:CH68_1570
ko:K06966	ftz:CH68_1571
ko:K03703	ftz:CH68_1576
ko:K03684	ftz:CH68_1577
ko:K09966	ftz:CH68_1578
ko:K02899	ftz:CH68_1580
ko:K02888	ftz:CH68_1581
ko:K00865	ftz:CH68_1582
ko:K00865	ftz:CH68_1584
ko:K01246	ftz:CH68_1583
ko:K01246	ftz:CH68_1585
ko:K03070	ftz:CH68_1586
ko:K03784	ftz:CH68_1588
ko:K03798	ftz:CH68_1593
ko:K03701	ftz:CH68_1598
ko:K03624	ftz:CH68_1599
ko:K08084	ftz:CH68_1600
ko:K01810	ftz:CH68_1601
ko:K06949	ftz:CH68_1710
ko:K11073	ftz:CH68_1712
ko:K03548	ftz:CH68_1714
ko:K07462	ftz:CH68_1715
ko:K03524	ftz:CH68_1716
ko:K04568	ftz:CH68_1717
ko:K16052	ftz:CH68_1718
ko:K16052	ftz:CH68_1719
ko:K16052	ftz:CH68_1721
ko:K01961	ftz:CH68_1723
ko:K02160	ftz:CH68_1724
ko:K03786	ftz:CH68_1725
ko:K01525	ftz:CH68_1726
ko:K02528	ftz:CH68_1727
ko:K03771	ftz:CH68_1728
ko:K04744	ftz:CH68_1729
ko:K01887	ftz:CH68_1730
ko:K01424	ftz:CH68_1732
ko:K03216	ftz:CH68_1733
ko:K01698	ftz:CH68_1734
ko:K07574	ftz:CH68_1735
ko:K02341	ftz:CH68_1736
ko:K04774	ftz:CH68_1737
ko:K03599	ftz:CH68_1738
ko:K11179	ftz:CH68_1739
ko:K03588	ftz:CH68_1746
ko:K01925	ftz:CH68_1747
ko:K01000	ftz:CH68_1748
ko:K01610	ftz:CH68_1749
ko:K01886	ftz:CH68_1750
ko:K03305	ftz:CH68_1753
ko:K15738	ftz:CH68_1754
ko:K17713	ftz:CH68_1869
ko:K02622	ftz:CH68_1871
ko:K03806	ftz:CH68_1872
ko:K08311	ftz:CH68_1874
ko:K04763	ftz:CH68_1879
ko:K02884	ftz:CH68_1880
ko:K00554	ftz:CH68_1881
ko:K02860	ftz:CH68_1882
ko:K02959	ftz:CH68_1883
ko:K00789	ftz:CH68_1884
ko:K01409	ftz:CH68_1886
ko:K03046	ftz:CH68_1888
ko:K03043	ftz:CH68_1889
ko:K02935	ftz:CH68_1890
ko:K02864	ftz:CH68_1891
ko:K02863	ftz:CH68_1892
ko:K02867	ftz:CH68_1893
ko:K02601	ftz:CH68_1894
ko:K03073	ftz:CH68_1895
ko:K02358	ftz:CH68_1897
ko:K03442	ftz:CH68_1903
ko:K02440	ftz:CH68_1905
ko:K00111	ftz:CH68_1906
ko:K07645	ftz:CH68_1914
ko:K07071	ftz:CH68_1913
ko:K00425	ftz:CH68_1916
ko:K00426	ftz:CH68_1917
ko:K06955	ftz:CH68_1919
ko:K06955	ftz:CH68_1921
ko:K02669	ftz:CH68_1922
ko:K02669	ftz:CH68_1923
ko:K18552	ftz:CH68_2023
ko:K02471	ftz:CH68_2026
ko:K03979	ftz:CH68_2028
ko:K07667	ftz:CH68_2032
ko:K07646	ftz:CH68_2033
ko:K07646	ftz:CH68_2035
ko:K01548	ftz:CH68_2036
ko:K01547	ftz:CH68_2037
ko:K01547	ftz:CH68_2038
ko:K01546	ftz:CH68_2039
ko:K00052	ftz:CH68_2044
ko:K01704	ftz:CH68_2045
ko:K01703	ftz:CH68_2046
ko:K03098	ftz:CH68_2053
ko:K02340	ftz:CH68_2054
ko:K01915	ftz:CH68_2055
ko:K01425	ftz:CH68_2056
ko:K07052	ftz:CH68_2057
ko:K04567	ftz:CH68_2059
ko:K02836	ftz:CH68_2060
ko:K02343	ftz:CH68_2061
ko:K02535	ftz:CH68_2062
ko:K03531	ftz:CH68_2063
ko:K03590	ftz:CH68_2064
ko:K03589	ftz:CH68_2065
ko:K01921	ftz:CH68_2066
ko:K02945	ftz:CH68_2068
ko:K07566	ftz:CH68_2069
ko:K02238	ftz:CH68_2072
ko:K06186	ftz:CH68_62
ko:K02968	ftz:CH68_63
ko:K03596	ftz:CH68_64
ko:K00566	ftz:CH68_65
ko:K01462	ftz:CH68_67
ko:K00794	ftz:CH68_68
ko:K14652	ftz:CH68_69
ko:K00793	ftz:CH68_70
ko:K11752	ftz:CH68_71
ko:K12262	ftz:CH68_76
ko:K03313	ftz:CH68_79
ko:K00655	ftz:CH68_81
ko:K00655	ftz:CH68_82
ko:K05524	ftz:CH68_83
ko:K08289	ftz:CH68_86
ko:K01183	ftz:CH68_87
ko:K03695	ftz:CH68_88
ko:K03811	ftz:CH68_89
ko:K03811	ftz:CH68_90
ko:K01695	ftz:CH68_92
ko:K01696	ftz:CH68_93
ko:K01299	ftz:CH68_94
ko:K03281	ftz:CH68_95
ko:K03811	ftz:CH68_99
ko:K11901	ftz:CH68_105
ko:K11900	ftz:CH68_106
ko:K13288	ftz:CH68_175
ko:K02356	ftz:CH68_176
ko:K02655	ftz:CH68_177
ko:K02517	ftz:CH68_178
ko:K02517	ftz:CH68_179
ko:K03217	ftz:CH68_180
ko:K03536	ftz:CH68_181
ko:K02914	ftz:CH68_182
ko:K00014	ftz:CH68_184
ko:K01924	ftz:CH68_185
ko:K07056	ftz:CH68_186
ko:K07015	ftz:CH68_189
ko:K01713	ftz:CH68_197
ko:K00426	ftz:CH68_199
ko:K00425	ftz:CH68_200
ko:K02297	ftz:CH68_202
ko:K02298	ftz:CH68_203
ko:K02299	ftz:CH68_204
ko:K02300	ftz:CH68_205
ko:K02536	ftz:CH68_207
ko:K00868	ftz:CH68_209
ko:K03924	ftz:CH68_211
ko:K07114	ftz:CH68_214
ko:K07114	ftz:CH68_215
ko:K07114	ftz:CH68_216
ko:K01304	ftz:CH68_218
ko:K02339	ftz:CH68_220
ko:K01873	ftz:CH68_221
ko:K00101	ftz:CH68_224
ko:K10679	ftz:CH68_226
ko:K01679	ftz:CH68_228
ko:K01885	ftz:CH68_229
ko:K02967	ftz:CH68_237
ko:K02357	ftz:CH68_238
ko:K09903	ftz:CH68_239
ko:K02838	ftz:CH68_240
ko:K00806	ftz:CH68_241
ko:K00981	ftz:CH68_242
ko:K00995	ftz:CH68_244
ko:K02950	ftz:CH68_245
ko:K02992	ftz:CH68_246
ko:K02355	ftz:CH68_247
ko:K02946	ftz:CH68_248
ko:K02906	ftz:CH68_249
ko:K02926	ftz:CH68_250
ko:K02892	ftz:CH68_251
ko:K02886	ftz:CH68_252
ko:K02965	ftz:CH68_253
ko:K02890	ftz:CH68_254
ko:K02982	ftz:CH68_255
ko:K02878	ftz:CH68_256
ko:K02904	ftz:CH68_257
ko:K02961	ftz:CH68_258
ko:K02874	ftz:CH68_259
ko:K02895	ftz:CH68_260
ko:K02931	ftz:CH68_261
ko:K02954	ftz:CH68_262
ko:K02994	ftz:CH68_263
ko:K02933	ftz:CH68_264
ko:K02881	ftz:CH68_265
ko:K02988	ftz:CH68_266
ko:K02907	ftz:CH68_267
ko:K02876	ftz:CH68_268
ko:K03076	ftz:CH68_269
ko:K02919	ftz:CH68_270
ko:K02952	ftz:CH68_271
ko:K02948	ftz:CH68_272
ko:K00627	ftz:CH68_330
ko:K00382	ftz:CH68_331
ko:K03574	ftz:CH68_334
ko:K00537	ftz:CH68_335
ko:K06901	ftz:CH68_338
ko:K09758	ftz:CH68_339
ko:K04096	ftz:CH68_342
ko:K03774	ftz:CH68_345
ko:K03527	ftz:CH68_346
ko:K06208	ftz:CH68_347
ko:K17103	ftz:CH68_348
ko:K03562	ftz:CH68_350
ko:K03560	ftz:CH68_351
ko:K03646	ftz:CH68_352
ko:K03641	ftz:CH68_353
ko:K03640	ftz:CH68_355
ko:K14441	ftz:CH68_356
ko:K01669	ftz:CH68_361
ko:K01669	ftz:CH68_362
ko:K06876	ftz:CH68_364
ko:K03453	ftz:CH68_366
ko:K03179	ftz:CH68_378
ko:K03181	ftz:CH68_379
ko:K00989	ftz:CH68_380
ko:K03799	ftz:CH68_384
ko:K03744	ftz:CH68_385
ko:K08309	ftz:CH68_501
ko:K02337	ftz:CH68_506
ko:K01462	ftz:CH68_507
ko:K09808	ftz:CH68_509
ko:K09810	ftz:CH68_510
ko:K00605	ftz:CH68_512
ko:K02437	ftz:CH68_513
ko:K00282	ftz:CH68_514
ko:K00283	ftz:CH68_515
ko:K00014	ftz:CH68_516
ko:K00700	ftz:CH68_518
ko:K01835	ftz:CH68_519
ko:K00975	ftz:CH68_520
ko:K00703	ftz:CH68_521
ko:K00688	ftz:CH68_522
ko:K00705	ftz:CH68_523
ko:K01878	ftz:CH68_524
ko:K01928	ftz:CH68_525
ko:K01929	ftz:CH68_527
ko:K00133	ftz:CH68_529
ko:K12524	ftz:CH68_530
ko:K00872	ftz:CH68_531
ko:K01733	ftz:CH68_532
ko:K01611	ftz:CH68_534
ko:K00797	ftz:CH68_535
ko:K01585	ftz:CH68_537
ko:K10536	ftz:CH68_539
ko:K12251	ftz:CH68_542
ko:K12251	ftz:CH68_543
ko:K03269	ftz:CH68_544
ko:K00762	ftz:CH68_545
ko:K02558	ftz:CH68_546
ko:K03218	ftz:CH68_548
ko:K07122	ftz:CH68_553
ko:K07323	ftz:CH68_554
ko:K03594	ftz:CH68_666
ko:K03424	ftz:CH68_669
ko:K11312	ftz:CH68_670
ko:K01990	ftz:CH68_672
ko:K01992	ftz:CH68_673
ko:K00858	ftz:CH68_676
ko:K03439	ftz:CH68_677
ko:K07090	ftz:CH68_689
ko:K07394	ftz:CH68_688
ko:K09160	ftz:CH68_690
ko:K03625	ftz:CH68_694
ko:K14287	ftz:CH68_698
ko:K14287	ftz:CH68_699
ko:K01881	ftz:CH68_700
ko:K02426	ftz:CH68_705
ko:K01719	ftz:CH68_706
ko:K01069	ftz:CH68_709
ko:K04758	ftz:CH68_711
ko:K03583	ftz:CH68_720
ko:K03582	ftz:CH68_723
ko:K01154	ftz:CH68_839
ko:K01154	ftz:CH68_840
ko:K03427	ftz:CH68_842
ko:K03427	ftz:CH68_844
ko:K14540	ftz:CH68_847
ko:K01443	ftz:CH68_848
ko:K14742	ftz:CH68_849
ko:K00812	ftz:CH68_851
ko:K18930	ftz:CH68_854
ko:K18930	ftz:CH68_855
ko:K18930	ftz:CH68_856
ko:K00939	ftz:CH68_858
ko:K02663	ftz:CH68_860
ko:K02664	ftz:CH68_861
ko:K02665	ftz:CH68_862
ko:K02666	ftz:CH68_863
ko:K00891	ftz:CH68_864
ko:K01735	ftz:CH68_865
ko:K09159	ftz:CH68_868
ko:K13821	ftz:CH68_869
ko:K13038	ftz:CH68_872
ko:K01785	ftz:CH68_873
ko:K01669	ftz:CH68_883
ko:K01669	ftz:CH68_884
ko:K01772	ftz:CH68_887
ko:K02523	ftz:CH68_1119
ko:K03773	ftz:CH68_1120
ko:K14058	ftz:CH68_1121
ko:K07107	ftz:CH68_1122
ko:K07259	ftz:CH68_1124
ko:K02970	ftz:CH68_1125
ko:K09117	ftz:CH68_1126
ko:K03086	ftz:CH68_1128
ko:K03885	ftz:CH68_1129
ko:K15922	ftz:CH68_1130
ko:K15922	ftz:CH68_1131
ko:K15922	ftz:CH68_1132
ko:K16210	ftz:CH68_1133
ko:K16210	ftz:CH68_1134
ko:K03801	ftz:CH68_1135
ko:K09158	ftz:CH68_1136
ko:K07258	ftz:CH68_1137
ko:K01507	ftz:CH68_1138
ko:K03270	ftz:CH68_1139
ko:K11719	ftz:CH68_1140
ko:K06861	ftz:CH68_1142
ko:K06173	ftz:CH68_1145
ko:K01951	ftz:CH68_1148
ko:K01662	ftz:CH68_1149
ko:K03551	ftz:CH68_1154
ko:K07727	ftz:CH68_1158
ko:K03305	ftz:CH68_1168
ko:K02533	ftz:CH68_1279
ko:K03470	ftz:CH68_1280
ko:K03600	ftz:CH68_1281
ko:K03599	ftz:CH68_1283
ko:K02996	ftz:CH68_1284
ko:K02871	ftz:CH68_1285
ko:K08304	ftz:CH68_1287
ko:K03687	ftz:CH68_1288
ko:K04043	ftz:CH68_1289
ko:K03686	ftz:CH68_1290
ko:K01889	ftz:CH68_1296
ko:K01890	ftz:CH68_1297
ko:K09823	ftz:CH68_1298
ko:K06131	ftz:CH68_1302
ko:K06131	ftz:CH68_1303
ko:K03593	ftz:CH68_1306
ko:K01494	ftz:CH68_1307
ko:K16053	ftz:CH68_1308
ko:K03643	ftz:CH68_1310
ko:K01869	ftz:CH68_1311
ko:K07447	ftz:CH68_1314
ko:K07735	ftz:CH68_1315
ko:K03574	ftz:CH68_1316
ko:K03574	ftz:CH68_1317
ko:K02205	ftz:CH68_1322
ko:K03671	ftz:CH68_1326
ko:K09015	ftz:CH68_1330
ko:K09013	ftz:CH68_1331
ko:K09014	ftz:CH68_1332
ko:K01752	ftz:CH68_1441
ko:K04518	ftz:CH68_1443
ko:K01775	ftz:CH68_1446
ko:K09799	ftz:CH68_1452
ko:K01079	ftz:CH68_1453
ko:K01079	ftz:CH68_1454
ko:K03305	ftz:CH68_1455
ko:K01879	ftz:CH68_1460
ko:K03424	ftz:CH68_1461
ko:K03629	ftz:CH68_1462
ko:K01895	ftz:CH68_1466
ko:K00963	ftz:CH68_1467
ko:K02970	ftz:CH68_1472
ko:K03704	ftz:CH68_1475
ko:K04744	ftz:CH68_1491
ko:K04762	ftz:CH68_1492
ko:K00949	ftz:CH68_1602
ko:K00088	ftz:CH68_1603
ko:K01255	ftz:CH68_1604
ko:K07091	ftz:CH68_1605
ko:K11720	ftz:CH68_1606
ko:K07263	ftz:CH68_1607
ko:K08316	ftz:CH68_1609
ko:K06169	ftz:CH68_1611
ko:K00757	ftz:CH68_1612
ko:K01489	ftz:CH68_1613
ko:K15633	ftz:CH68_1617
ko:K01875	ftz:CH68_1618
ko:K00847	ftz:CH68_1619
ko:K16013	ftz:CH68_1622
ko:K16012	ftz:CH68_1623
ko:K11103	ftz:CH68_1624
ko:K03321	ftz:CH68_1626
ko:K01129	ftz:CH68_1628
ko:K03782	ftz:CH68_1630
ko:K07259	ftz:CH68_1635
ko:K02445	ftz:CH68_1636
ko:K01126	ftz:CH68_1637
ko:K01993	ftz:CH68_1638
ko:K01992	ftz:CH68_1640
ko:K01433	ftz:CH68_1644
ko:K01433	ftz:CH68_1645
ko:K00761	ftz:CH68_1646
ko:K00639	ftz:CH68_1648
ko:K00060	ftz:CH68_1649
ko:K00991	ftz:CH68_1651
ko:K05589	ftz:CH68_1652
ko:K01689	ftz:CH68_1653
ko:K00568	ftz:CH68_1770
ko:K04754	ftz:CH68_1771
ko:K00864	ftz:CH68_1779
ko:K15583	ftz:CH68_1784
ko:K15582	ftz:CH68_1785
ko:K15582	ftz:CH68_1786
ko:K15581	ftz:CH68_1787
ko:K15581	ftz:CH68_1788
ko:K15580	ftz:CH68_1790
ko:K03657	ftz:CH68_1792
ko:K03110	ftz:CH68_1793
ko:K02837	ftz:CH68_1795
ko:K00943	ftz:CH68_1796
ko:K11535	ftz:CH68_1797
ko:K03317	ftz:CH68_1798
ko:K01619	ftz:CH68_1799
ko:K01839	ftz:CH68_1800
ko:K03525	ftz:CH68_1801
ko:K00912	ftz:CH68_1803
ko:K11085	ftz:CH68_1804
ko:K00974	ftz:CH68_1805
ko:K03611	ftz:CH68_1806
ko:K03585	ftz:CH68_1807
ko:K18138	ftz:CH68_1808
ko:K01681	ftz:CH68_1924
ko:K07223	ftz:CH68_1925
ko:K03075	ftz:CH68_1932
ko:K01803	ftz:CH68_1933
ko:K03431	ftz:CH68_1934
ko:K00759	ftz:CH68_1935
ko:K00658	ftz:CH68_1936
ko:K00164	ftz:CH68_1937
ko:K00240	ftz:CH68_1938
ko:K00239	ftz:CH68_1939
ko:K00242	ftz:CH68_1940
ko:K00241	ftz:CH68_1941
ko:K01647	ftz:CH68_1942
ko:K08218	ftz:CH68_1943
ko:K04564	ftz:CH68_1944
ko:K07390	ftz:CH68_1945
ko:K02114	ftz:CH68_1947
ko:K02112	ftz:CH68_1948
ko:K02115	ftz:CH68_1949
ko:K02111	ftz:CH68_1950
ko:K02113	ftz:CH68_1951
ko:K02109	ftz:CH68_1952
ko:K02110	ftz:CH68_1953
ko:K02108	ftz:CH68_1954
ko:K06179	ftz:CH68_1957
ko:K06916	ftz:CH68_1958
ko:K01892	ftz:CH68_1960
ko:K02834	ftz:CH68_1961
ko:K02519	ftz:CH68_1962
ko:K02600	ftz:CH68_1963
ko:K09748	ftz:CH68_1964
ko:K01599	ftz:CH68_1966
ko:K07391	ftz:CH68_1968
ko:K09806	ftz:CH68_1971
ko:K00343	ftz:CH68_1972
ko:K02050	ftz:CH68_2075
ko:K02050	ftz:CH68_2076
ko:K02221	ftz:CH68_2077
ko:K00602	ftz:CH68_2086
ko:K01939	ftz:CH68_2087
ko:K00760	ftz:CH68_2088
ko:K02075	ftz:CH68_2091
ko:K02074	ftz:CH68_2092
ko:K02077	ftz:CH68_2093
ko:K06077	ftz:CH68_2097
ko:K03809	ftz:CH68_2098
ko:K07058	ftz:CH68_2099
ko:K04066	ftz:CH68_2101
ko:K06895	ftz:CH68_2111
ko:K06895	ftz:CH68_2112
ko:K05596	ftz:CH68_2114
ko:K05596	ftz:CH68_2115
ko:K01256	ftz:CH68_2120
ko:K13993	ftz:CH68_2122
ko:K13498	ftz:CH68_2121
ko:K07304	ftz:CH68_2124
ko:K02986	ftz:CH68_273
ko:K03040	ftz:CH68_274
ko:K02879	ftz:CH68_275
ko:K04079	ftz:CH68_281
ko:K00262	ftz:CH68_284
ko:K01586	ftz:CH68_287
ko:K00567	ftz:CH68_291
ko:K05516	ftz:CH68_298
ko:K03834	ftz:CH68_299
ko:K00951	ftz:CH68_301
ko:K15984	ftz:CH68_305
ko:K03733	ftz:CH68_306
ko:K03071	ftz:CH68_310
ko:K03555	ftz:CH68_311
ko:K01962	ftz:CH68_312
ko:K07106	ftz:CH68_316
ko:K03316	ftz:CH68_322
ko:K01867	ftz:CH68_324
ko:K00859	ftz:CH68_327
ko:K00163	ftz:CH68_329
ko:K01534	ftz:CH68_391
ko:K00057	ftz:CH68_397
ko:K04485	ftz:CH68_398
ko:K01736	ftz:CH68_401
ko:K07305	ftz:CH68_403
ko:K04565	ftz:CH68_404
ko:K00121	ftz:CH68_408
ko:K00121	ftz:CH68_409
ko:K00121	ftz:CH68_410
ko:K00812	ftz:CH68_411
ko:K03631	ftz:CH68_413
ko:K01491	ftz:CH68_418
ko:K01933	ftz:CH68_419
ko:K11175	ftz:CH68_421
ko:K01588	ftz:CH68_422
ko:K01589	ftz:CH68_424
ko:K06190	ftz:CH68_427
ko:K00845	ftz:CH68_428
ko:K03183	ftz:CH68_430
ko:K03690	ftz:CH68_431
ko:K03688	ftz:CH68_432
ko:K02503	ftz:CH68_433
ko:K00075	ftz:CH68_438
ko:K00790	ftz:CH68_439
ko:K03977	ftz:CH68_440
ko:K02067	ftz:CH68_555
ko:K02066	ftz:CH68_556
ko:K02065	ftz:CH68_557
ko:K03608	ftz:CH68_558
ko:K03609	ftz:CH68_559
ko:K03610	ftz:CH68_560
ko:K02913	ftz:CH68_561
ko:K02902	ftz:CH68_562
ko:K03655	ftz:CH68_564
ko:K01676	ftz:CH68_566
ko:K07461	ftz:CH68_570
ko:K01156	ftz:CH68_571
ko:K03648	ftz:CH68_572
ko:K02469	ftz:CH68_576
ko:K00099	ftz:CH68_577
ko:K07277	ftz:CH68_578
ko:K06142	ftz:CH68_579
ko:K02536	ftz:CH68_580
ko:K02372	ftz:CH68_581
ko:K00677	ftz:CH68_582
ko:K00748	ftz:CH68_583
ko:K01207	ftz:CH68_586
ko:K01004	ftz:CH68_589
ko:K00795	ftz:CH68_590
ko:K02527	ftz:CH68_591
ko:K02428	ftz:CH68_592
ko:K00286	ftz:CH68_593
ko:K03100	ftz:CH68_597
ko:K03685	ftz:CH68_598
ko:K03177	ftz:CH68_599
ko:K12573	ftz:CH68_600
