ko:K19405	ctln:L2BCAN2_00711
ko:K09903	ctln:L2BCAN2_00716
ko:K02357	ctln:L2BCAN2_00717
ko:K02967	ctln:L2BCAN2_00718
ko:K03162	ctln:L2BCAN2_00721
ko:K09013	ctln:L2BCAN2_00725
ko:K09015	ctln:L2BCAN2_00726
ko:K11717	ctln:L2BCAN2_00727
ko:K07220	ctln:L2BCAN2_00731
ko:K03306	ctln:L2BCAN2_00732
ko:K00927	ctln:L2BCAN2_00733
ko:K10773	ctln:L2BCAN2_00737
ko:K03650	ctln:L2BCAN2_00738
ko:K01613	ctln:L2BCAN2_00739
ko:K03070	ctln:L2BCAN2_00741
ko:K03977	ctln:L2BCAN2_00743
ko:K03544	ctln:L2BCAN2_00745
ko:K01358	ctln:L2BCAN2_00746
ko:K03545	ctln:L2BCAN2_00747
ko:K03569	ctln:L2BCAN2_00750
ko:K00057	ctln:L2BCAN2_00755
ko:K02412	ctln:L2BCAN2_00758
ko:K02411	ctln:L2BCAN2_00759
ko:K02409	ctln:L2BCAN2_00760
ko:K13819	ctln:L2BCAN2_00761
ko:K04487	ctln:L2BCAN2_00762
ko:K06178	ctln:L2BCAN2_00764
ko:K03524	ctln:L2BCAN2_00766
ko:K05837	ctln:L2BCAN2_00767
ko:K01875	ctln:L2BCAN2_00770
ko:K11752	ctln:L2BCAN2_00771
ko:K14652	ctln:L2BCAN2_00772
ko:K00794	ctln:L2BCAN2_00773
ko:K03310	ctln:L2BCAN2_00776
ko:K03466	ctln:L2BCAN2_00780
ko:K04058	ctln:L2BCAN2_00090
ko:K03230	ctln:L2BCAN2_00091
ko:K03229	ctln:L2BCAN2_00092
ko:K06942	ctln:L2BCAN2_00093
ko:K11753	ctln:L2BCAN2_00094
ko:K02834	ctln:L2BCAN2_00096
ko:K02519	ctln:L2BCAN2_00097
ko:K02600	ctln:L2BCAN2_00098
ko:K02945	ctln:L2BCAN2_00099
ko:K00384	ctln:L2BCAN2_00100
ko:K00997	ctln:L2BCAN2_00101
ko:K00208	ctln:L2BCAN2_00105
ko:K03575	ctln:L2BCAN2_00108
ko:K04077	ctln:L2BCAN2_00111
ko:K04078	ctln:L2BCAN2_00112
ko:K08602	ctln:L2BCAN2_00114
ko:K03695	ctln:L2BCAN2_00115
ko:K01783	ctln:L2BCAN2_00123
ko:K02356	ctln:L2BCAN2_00124
ko:K02160	ctln:L2BCAN2_00125
ko:K01961	ctln:L2BCAN2_00126
ko:K02871	ctln:L2BCAN2_00127
ko:K02996	ctln:L2BCAN2_00128
ko:K02029	ctln:L2BCAN2_00131
ko:K07058	ctln:L2BCAN2_00134
ko:K06999	ctln:L2BCAN2_00138
ko:K07566	ctln:L2BCAN2_00139
ko:K09125	ctln:L2BCAN2_00142
ko:K07039	ctln:L2BCAN2_00143
ko:K03705	ctln:L2BCAN2_00409
ko:K03687	ctln:L2BCAN2_00410
ko:K04043	ctln:L2BCAN2_00411
ko:K12573	ctln:L2BCAN2_00412
ko:K07164	ctln:L2BCAN2_00413
ko:K06041	ctln:L2BCAN2_00414
ko:K00658	ctln:L2BCAN2_00415
ko:K00912	ctln:L2BCAN2_00417
ko:K03437	ctln:L2BCAN2_00418
ko:K06969	ctln:L2BCAN2_00419
ko:K00793	ctln:L2BCAN2_00420
ko:K07738	ctln:L2BCAN2_00421
ko:K06204	ctln:L2BCAN2_00422
ko:K03101	ctln:L2BCAN2_00423
ko:K03310	ctln:L2BCAN2_00424
ko:K00748	ctln:L2BCAN2_00426
ko:K09817	ctln:L2BCAN2_00432
ko:K09816	ctln:L2BCAN2_00433
ko:K03979	ctln:L2BCAN2_00434
ko:K02899	ctln:L2BCAN2_00435
ko:K02888	ctln:L2BCAN2_00436
ko:K07042	ctln:L2BCAN2_00441
ko:K03183	ctln:L2BCAN2_00447
ko:K01778	ctln:L2BCAN2_00449
ko:K01358	ctln:L2BCAN2_00450
ko:K00600	ctln:L2BCAN2_00451
ko:K01770	ctln:L2BCAN2_00453
ko:K02946	ctln:L2BCAN2_00455
ko:K02355	ctln:L2BCAN2_00456
ko:K02992	ctln:L2BCAN2_00457
ko:K02950	ctln:L2BCAN2_00458
ko:K03797	ctln:L2BCAN2_00460
ko:K00351	ctln:L2BCAN2_00784
ko:K03210	ctln:L2BCAN2_00785
ko:K00231	ctln:L2BCAN2_00789
ko:K01599	ctln:L2BCAN2_00791
ko:K03723	ctln:L2BCAN2_00792
ko:K01872	ctln:L2BCAN2_00793
ko:K00615	ctln:L2BCAN2_00796
ko:K01241	ctln:L2BCAN2_00797
ko:K02356	ctln:L2BCAN2_00798
ko:K01929	ctln:L2BCAN2_00803
ko:K01000	ctln:L2BCAN2_00804
ko:K01925	ctln:L2BCAN2_00805
ko:K03588	ctln:L2BCAN2_00807
ko:K02563	ctln:L2BCAN2_00808
ko:K06960	ctln:L2BCAN2_00810
ko:K00791	ctln:L2BCAN2_00813
ko:K09710	ctln:L2BCAN2_00816
ko:K09458	ctln:L2BCAN2_00817
ko:K00263	ctln:L2BCAN2_00820
ko:K00655	ctln:L2BCAN2_00822
ko:K04066	ctln:L2BCAN2_00825
ko:K04567	ctln:L2BCAN2_00829
ko:K01883	ctln:L2BCAN2_00830
ko:K01972	ctln:L2BCAN2_00150
ko:K02913	ctln:L2BCAN2_00154
ko:K09808	ctln:L2BCAN2_00155
ko:K09810	ctln:L2BCAN2_00156
ko:K03720	ctln:L2BCAN2_00170
ko:K01696	ctln:L2BCAN2_00171
ko:K01695	ctln:L2BCAN2_00172
ko:K03611	ctln:L2BCAN2_00176
ko:K00979	ctln:L2BCAN2_00184
ko:K01937	ctln:L2BCAN2_00185
ko:K07447	ctln:L2BCAN2_00186
ko:K00036	ctln:L2BCAN2_00187
ko:K01057	ctln:L2BCAN2_00188
ko:K02343	ctln:L2BCAN2_00189
ko:K00943	ctln:L2BCAN2_00190
ko:K02469	ctln:L2BCAN2_00191
ko:K02470	ctln:L2BCAN2_00192
ko:K00773	ctln:L2BCAN2_00195
ko:K06213	ctln:L2BCAN2_00196
ko:K07462	ctln:L2BCAN2_00467
ko:K12257	ctln:L2BCAN2_00468
ko:K00806	ctln:L2BCAN2_00470
ko:K00981	ctln:L2BCAN2_00471
ko:K00945	ctln:L2BCAN2_00472
ko:K00655	ctln:L2BCAN2_00473
ko:K01887	ctln:L2BCAN2_00474
ko:K00790	ctln:L2BCAN2_00475
ko:K02836	ctln:L2BCAN2_00479
ko:K00991	ctln:L2BCAN2_00482
ko:K06173	ctln:L2BCAN2_00483
ko:K07710	ctln:L2BCAN2_00488
ko:K07714	ctln:L2BCAN2_00489
ko:K03584	ctln:L2BCAN2_00492
ko:K08998	ctln:L2BCAN2_00496
ko:K01890	ctln:L2BCAN2_00498
ko:K02034	ctln:L2BCAN2_00501
ko:K01772	ctln:L2BCAN2_00510
ko:K07099	ctln:L2BCAN2_00513
ko:K00975	ctln:L2BCAN2_00514
ko:K03536	ctln:L2BCAN2_00832
ko:K02919	ctln:L2BCAN2_00833
ko:K02954	ctln:L2BCAN2_00834
ko:K03703	ctln:L2BCAN2_00838
ko:K03555	ctln:L2BCAN2_00839
ko:K14164	ctln:L2BCAN2_00843
ko:K00995	ctln:L2BCAN2_00844
ko:K00703	ctln:L2BCAN2_00845
ko:K02897	ctln:L2BCAN2_00847
ko:K01056	ctln:L2BCAN2_00848
ko:K02990	ctln:L2BCAN2_00849
ko:K02963	ctln:L2BCAN2_00850
ko:K02939	ctln:L2BCAN2_00851
ko:K00919	ctln:L2BCAN2_00852
ko:K00630	ctln:L2BCAN2_00856
ko:K08301	ctln:L2BCAN2_00857
ko:K02911	ctln:L2BCAN2_00860
ko:K03621	ctln:L2BCAN2_00861
ko:K03431	ctln:L2BCAN2_00866
ko:K00820	ctln:L2BCAN2_00867
ko:K03834	ctln:L2BCAN2_00868
ko:K03834	ctln:L2BCAN2_00870
ko:K06890	ctln:L2BCAN2_00871
ko:K03110	ctln:L2BCAN2_00872
ko:K01903	ctln:L2BCAN2_00873
ko:K01902	ctln:L2BCAN2_00874
ko:K09760	ctln:L2BCAN2_00877
ko:K00075	ctln:L2BCAN2_00883
ko:K02520	ctln:L2BCAN2_00885
ko:K02916	ctln:L2BCAN2_00886
ko:K03559	ctln:L2BCAN2_00626
ko:K15580	ctln:L2BCAN2_00200
ko:K15581	ctln:L2BCAN2_00201
ko:K03319	ctln:L2BCAN2_00206
ko:K00850	ctln:L2BCAN2_00207
ko:K00895	ctln:L2BCAN2_00209
ko:K02527	ctln:L2BCAN2_00212
ko:K01869	ctln:L2BCAN2_00213
ko:K01845	ctln:L2BCAN2_00214
ko:K07735	ctln:L2BCAN2_00215
ko:K08999	ctln:L2BCAN2_00216
ko:K01807	ctln:L2BCAN2_00217
ko:K03787	ctln:L2BCAN2_00222
ko:K03179	ctln:L2BCAN2_00223
ko:K03186	ctln:L2BCAN2_00224
ko:K03308	ctln:L2BCAN2_00237
ko:K02078	ctln:L2BCAN2_00242
ko:K00645	ctln:L2BCAN2_00244
ko:K00648	ctln:L2BCAN2_00245
ko:K06187	ctln:L2BCAN2_00246
ko:K07277	ctln:L2BCAN2_00247
ko:K06142	ctln:L2BCAN2_00248
ko:K02536	ctln:L2BCAN2_00249
ko:K03628	ctln:L2BCAN2_00516
ko:K00859	ctln:L2BCAN2_00517
ko:K03301	ctln:L2BCAN2_00520
ko:K00995	ctln:L2BCAN2_00521
ko:K03495	ctln:L2BCAN2_00524
ko:K03800	ctln:L2BCAN2_00525
ko:K00940	ctln:L2BCAN2_00526
ko:K03550	ctln:L2BCAN2_00527
ko:K01159	ctln:L2BCAN2_00528
ko:K00134	ctln:L2BCAN2_00532
ko:K02879	ctln:L2BCAN2_00533
ko:K03040	ctln:L2BCAN2_00534
ko:K02948	ctln:L2BCAN2_00535
ko:K02952	ctln:L2BCAN2_00536
ko:K03076	ctln:L2BCAN2_00537
ko:K02876	ctln:L2BCAN2_00538
ko:K02988	ctln:L2BCAN2_00539
ko:K02881	ctln:L2BCAN2_00540
ko:K02933	ctln:L2BCAN2_00541
ko:K02994	ctln:L2BCAN2_00542
ko:K02931	ctln:L2BCAN2_00543
ko:K02895	ctln:L2BCAN2_00544
ko:K02874	ctln:L2BCAN2_00545
ko:K02961	ctln:L2BCAN2_00546
ko:K02904	ctln:L2BCAN2_00547
ko:K02878	ctln:L2BCAN2_00548
ko:K02982	ctln:L2BCAN2_00549
ko:K02890	ctln:L2BCAN2_00550
ko:K02965	ctln:L2BCAN2_00551
ko:K02886	ctln:L2BCAN2_00552
ko:K02892	ctln:L2BCAN2_00553
ko:K02926	ctln:L2BCAN2_00554
ko:K02906	ctln:L2BCAN2_00555
ko:K00604	ctln:L2BCAN2_00557
ko:K00677	ctln:L2BCAN2_00558
ko:K02372	ctln:L2BCAN2_00559
ko:K02535	ctln:L2BCAN2_00560
ko:K03820	ctln:L2BCAN2_00561
ko:K06925	ctln:L2BCAN2_00564
ko:K02887	ctln:L2BCAN2_00887
ko:K01889	ctln:L2BCAN2_00888
ko:K11720	ctln:L2BCAN2_00891
ko:K07091	ctln:L2BCAN2_00892
ko:K04075	ctln:L2BCAN2_00893
ko:K03798	ctln:L2BCAN2_00894
ko:K00962	ctln:L2BCAN2_00895
ko:K02956	ctln:L2BCAN2_00896
ko:K01265	ctln:L2BCAN2_00906
ko:K03321	ctln:L2BCAN2_00913
ko:K03527	ctln:L2BCAN2_00916
ko:K02028	ctln:L2BCAN2_00132
ko:K15035	ctln:L2BCAN2_00020
ko:K14222	ctln:L2BCAN2_00802
ko:K14220	ctln:L2BCAN2_00039
ko:K01980	ctln:L2BCAN2_00783
ko:K01980	ctln:L2BCAN2_00795
ko:K17103	ctln:L2BCAN2_00878
ko:K01408	ctln:L2BCAN2_00855
ko:K07258	ctln:L2BCAN2_00579
ko:K03227	ctln:L2BCAN2_00591
ko:K02454	ctln:L2BCAN2_00599
ko:K01262	ctln:L2BCAN2_00602
ko:K07315	ctln:L2BCAN2_00616
ko:K00970	ctln:L2BCAN2_00744
ko:K01596	ctln:L2BCAN2_00751
ko:K00972	ctln:L2BCAN2_00756
ko:K01834	ctln:L2BCAN2_00763
ko:K00241	ctln:L2BCAN2_00621
ko:K00241	ctln:L2BCAN2_00622
ko:K03386	ctln:L2BCAN2_00632
ko:K02428	ctln:L2BCAN2_00636
ko:K01679	ctln:L2BCAN2_00912
ko:K04763	ctln:L2BCAN2_00923
ko:K00700	ctln:L2BCAN2_00925
ko:K02342	ctln:L2BCAN2_00563
ko:K06910	ctln:L2BCAN2_00777
ko:K07117	ctln:L2BCAN2_00778
ko:K01507	ctln:L2BCAN2_00819
ko:K01082	ctln:L2BCAN2_00821
ko:K01909	ctln:L2BCAN2_00823
ko:K00652	ctln:L2BCAN2_00824
ko:K00813	ctln:L2BCAN2_00670
ko:K01934	ctln:L2BCAN2_00682
ko:K08483	ctln:L2BCAN2_00347
ko:K11189	ctln:L2BCAN2_00348
ko:K00784	ctln:L2BCAN2_00358
ko:K03856	ctln:L2BCAN2_00396
ko:K00970	ctln:L2BCAN2_00425
ko:K09815	ctln:L2BCAN2_00431
ko:K01719	ctln:L2BCAN2_00452
ko:K00380	ctln:L2BCAN2_00454
ko:K01885	ctln:L2BCAN2_00465
ko:K07098	ctln:L2BCAN2_00481
ko:K00567	ctln:L2BCAN2_00500
ko:K02033	ctln:L2BCAN2_00502
ko:K02035	ctln:L2BCAN2_00503
ko:K02030	ctln:L2BCAN2_00511
ko:K01409	ctln:L2BCAN2_00199
ko:K15582	ctln:L2BCAN2_00202
ko:K10823	ctln:L2BCAN2_00203
ko:K15583	ctln:L2BCAN2_00204
ko:K06889	ctln:L2BCAN2_00208
ko:K00059	ctln:L2BCAN2_00243
ko:K07052	ctln:L2BCAN2_00260
ko:K02342	ctln:L2BCAN2_00267
ko:K14228	ctln:L2BCAN2_00486
ko:K14233	ctln:L2BCAN2_00522
ko:K14219	ctln:L2BCAN2_00633
ko:K04084	ctln:L2BCAN2_00624
ko:K02035	ctln:L2BCAN2_00175
ko:K02049	ctln:L2BCAN2_00180
ko:K02806	ctln:L2BCAN2_00296
ko:K02806	ctln:L2BCAN2_00297
ko:K02124	ctln:L2BCAN2_00310
ko:K02123	ctln:L2BCAN2_00311
ko:K02120	ctln:L2BCAN2_00312
ko:K02118	ctln:L2BCAN2_00313
ko:K02117	ctln:L2BCAN2_00314
ko:K02121	ctln:L2BCAN2_00316
ko:K00616	ctln:L2BCAN2_00319
ko:K14227	ctln:L2BCAN2_00181
ko:K14218	ctln:L2BCAN2_00669
ko:K14230	ctln:L2BCAN2_00210
ko:K14230	ctln:L2BCAN2_00336
ko:K14235	ctln:L2BCAN2_00328
ko:K14233	ctln:L2BCAN2_00369
ko:K14231	ctln:L2BCAN2_00437
ko:K14221	ctln:L2BCAN2_00226
ko:K14233	ctln:L2BCAN2_00430
ko:K14228	ctln:L2BCAN2_00530
ko:K14228	ctln:L2BCAN2_00566
ko:K14219	ctln:L2BCAN2_00490
ko:K14219	ctln:L2BCAN2_00690
ko:K14232	ctln:L2BCAN2_00663
ko:K14229	ctln:L2BCAN2_00713
ko:K14224	ctln:L2BCAN2_00714
ko:K14226	ctln:L2BCAN2_00781
ko:K14223	ctln:L2BCAN2_00846
ko:K14218	ctln:L2BCAN2_00182
ko:K14234	ctln:L2BCAN2_00710
ko:K14225	ctln:L2BCAN2_00719
ko:K14228	ctln:L2BCAN2_00494
ko:K14228	ctln:L2BCAN2_00921
ko:K14232	ctln:L2BCAN2_00062
ko:K14237	ctln:L2BCAN2_00227
ko:K14230	ctln:L2BCAN2_00211
ko:K01977	ctln:L2BCAN2_00782
ko:K01977	ctln:L2BCAN2_00794
ko:K14234	ctln:L2BCAN2_00144
ko:K14234	ctln:L2BCAN2_00330
ko:K14236	ctln:L2BCAN2_00145
ko:K14225	ctln:L2BCAN2_00748
ko:K14237	ctln:L2BCAN2_00881
ko:K01840	ctln:L2BCAN2_00301
ko:K06972	ctln:L2BCAN2_00876
ko:K08274	ctln:L2BCAN2_00391
ko:K07081	ctln:L2BCAN2_00446
ko:K07125	ctln:L2BCAN2_00333
ko:K03625	ctln:L2BCAN2_00884
ko:K01679	ctln:L2BCAN2_00910
ko:K01802	ctln:L2BCAN2_00569
ko:K08275	ctln:L2BCAN2_00082
ko:K08719	ctln:L2BCAN2_00754
ko:K01829	ctln:L2BCAN2_00827
ko:K01829	ctln:L2BCAN2_00831
ko:K03309	ctln:L2BCAN2_00416
ko:K07033	ctln:L2BCAN2_00724
ko:K01214	ctln:L2BCAN2_00044
ko:K03111	ctln:L2BCAN2_00046
ko:K03825	ctln:L2BCAN2_00478
ko:K03496	ctln:L2BCAN2_00610
ko:K03497	ctln:L2BCAN2_00728
ko:K03496	ctln:L2bCan2_p7
ko:K02626	ctln:L2BCAN2_00387
ko:K11991	ctln:L2BCAN2_00897
ko:K04771	ctln:L2BCAN2_00875
ko:K19411	ctln:L2BCAN2_00712
ko:K02031	ctln:L2BCAN2_00730
ko:K22100	ctln:L2BCAN2_00337
ko:K12132	ctln:L2BCAN2_00307
ko:K20265	ctln:L2BCAN2_00220
ko:K20074	ctln:L2BCAN2_00265
ko:K11749	ctln:L2BCAN2_00075
ko:K22099	ctln:L2BCAN2_00642
ko:K00526	ctln:L2BCAN2_00880
ko:K00287	ctln:L2BCAN2_00643
ko:K03553	ctln:L2BCAN2_00683
ko:K02335	ctln:L2BCAN2_00518
ko:K01520	ctln:L2BCAN2_00298
ko:K02314	ctln:L2BCAN2_00523
ko:K02316	ctln:L2BCAN2_00840
ko:K02314	ctln:L2bCan2_p3
ko:K02032	ctln:L2BCAN2_00729
ko:K00525	ctln:L2BCAN2_00879
ko:K02050	ctln:L2BCAN2_00909
ko:K02051	ctln:L2BCAN2_00909
ko:K01534	ctln:L2BCAN2_00768
ko:K16239	ctln:L2BCAN2_00086
