ko:K01699	lmow:AX10_14270
ko:K03704	lmow:AX10_04320
ko:K01778	lmow:AX10_04330
ko:K01870	lmow:AX10_04335
ko:K04074	lmow:AX10_04340
ko:K07105	lmow:AX10_04345
ko:K04487	lmow:AX10_04350
ko:K00278	lmow:AX10_04355
ko:K00767	lmow:AX10_04360
ko:K03517	lmow:AX10_04365
ko:K02221	lmow:AX10_04385
ko:K09772	lmow:AX10_04390
ko:K06997	lmow:AX10_04395
ko:K03531	lmow:AX10_04400
ko:K03590	lmow:AX10_04405
ko:K03589	lmow:AX10_04410
ko:K02563	lmow:AX10_04415
ko:K01925	lmow:AX10_04420
ko:K01000	lmow:AX10_04425
ko:K01928	lmow:AX10_04430
ko:K08724	lmow:AX10_04435
ko:K03438	lmow:AX10_04445
ko:K03925	lmow:AX10_04450
ko:K08152	lmow:AX10_04455
ko:K00077	lmow:AX10_04470
ko:K02911	lmow:AX10_04475
ko:K07040	lmow:AX10_04480
ko:K07177	lmow:AX10_04495
ko:K02026	lmow:AX10_08370
ko:K02025	lmow:AX10_08375
ko:K02027	lmow:AX10_08380
ko:K03534	lmow:AX10_08415
ko:K01629	lmow:AX10_08420
ko:K01813	lmow:AX10_08425
ko:K00848	lmow:AX10_08430
ko:K06610	lmow:AX10_08435
ko:K06346	lmow:AX10_08450
ko:K03217	lmow:AX10_08455
ko:K03536	lmow:AX10_08460
ko:K02914	lmow:AX10_08465
ko:K02313	lmow:AX10_08475
ko:K02338	lmow:AX10_08480
ko:K03629	lmow:AX10_08495
ko:K02470	lmow:AX10_08500
ko:K02469	lmow:AX10_08505
ko:K06131	lmow:AX10_08510
ko:K00657	lmow:AX10_08515
ko:K00869	lmow:AX10_08525
ko:K01597	lmow:AX10_08530
ko:K00938	lmow:AX10_08535
ko:K02826	lmow:AX10_08540
ko:K02827	lmow:AX10_08545
ko:K02828	lmow:AX10_08550
ko:K02829	lmow:AX10_08555
ko:K07282	lmow:AX10_08560
ko:K01223	lmow:AX10_08565
ko:K02793	lmow:AX10_08580
ko:K02794	lmow:AX10_08585
ko:K02795	lmow:AX10_08590
ko:K06201	lmow:AX10_08605
ko:K02755	lmow:AX10_08610
ko:K02756	lmow:AX10_08610
ko:K02757	lmow:AX10_08610
ko:K02529	lmow:AX10_08630
ko:K02761	lmow:AX10_08645
ko:K03118	lmow:AX10_10360
ko:K03116	lmow:AX10_10365
ko:K05995	lmow:AX10_10370
ko:K07243	lmow:AX10_10385
ko:K07224	lmow:AX10_10390
ko:K16301	lmow:AX10_10395
ko:K06193	lmow:AX10_10410
ko:K05350	lmow:AX10_10420
ko:K02761	lmow:AX10_10425
ko:K02760	lmow:AX10_10430
ko:K06608	lmow:AX10_10475
ko:K00140	lmow:AX10_10480
ko:K03337	lmow:AX10_10485
ko:K03338	lmow:AX10_10490
ko:K03336	lmow:AX10_10495
ko:K05937	lmow:AX10_10500
ko:K03648	lmow:AX10_10515
ko:K00286	lmow:AX10_10545
ko:K02768	lmow:AX10_10555
ko:K02769	lmow:AX10_10560
ko:K02770	lmow:AX10_10565
ko:K15524	lmow:AX10_10570
ko:K03306	lmow:AX10_10590
ko:K01759	lmow:AX10_10595
ko:K07238	lmow:AX10_10630
ko:K07729	lmow:AX10_10640
ko:K03703	lmow:AX10_14675
ko:K00928	lmow:AX10_14680
ko:K01776	lmow:AX10_14690
ko:K00989	lmow:AX10_14695
ko:K02428	lmow:AX10_14700
ko:K07095	lmow:AX10_14705
ko:K09825	lmow:AX10_02630
ko:K01845	lmow:AX10_02640
ko:K07586	lmow:AX10_02650
ko:K10780	lmow:AX10_02655
ko:K03575	lmow:AX10_02660
ko:K07038	lmow:AX10_02665
ko:K03565	lmow:AX10_02680
ko:K07071	lmow:AX10_02685
ko:K14205	lmow:AX10_02690
ko:K03790	lmow:AX10_02705
ko:K07058	lmow:AX10_02745
ko:K01265	lmow:AX10_02760
ko:K03839	lmow:AX10_02765
ko:K03569	lmow:AX10_02780
ko:K09963	lmow:AX10_02800
ko:K02759	lmow:AX10_02805
ko:K02760	lmow:AX10_02810
ko:K01990	lmow:AX10_02830
ko:K02529	lmow:AX10_02845
ko:K05349	lmow:AX10_02855
ko:K02004	lmow:AX10_06990
ko:K02379	lmow:AX10_07005
ko:K00123	lmow:AX10_07015
ko:K03593	lmow:AX10_07070
ko:K09952	lmow:AX10_07115
ko:K02996	lmow:AX10_07125
ko:K02871	lmow:AX10_07130
ko:K06173	lmow:AX10_07135
ko:K16785	lmow:AX10_07140
ko:K16787	lmow:AX10_07145
ko:K16786	lmow:AX10_07150
ko:K07507	lmow:AX10_07155
ko:K01426	lmow:AX10_07160
ko:K02879	lmow:AX10_07170
ko:K03040	lmow:AX10_07175
ko:K02948	lmow:AX10_07180
ko:K02952	lmow:AX10_07185
ko:K02919	lmow:AX10_07190
ko:K02518	lmow:AX10_07195
ko:K00939	lmow:AX10_07200
ko:K03076	lmow:AX10_07205
ko:K02876	lmow:AX10_07210
ko:K02907	lmow:AX10_07215
ko:K02988	lmow:AX10_07220
ko:K02881	lmow:AX10_07225
ko:K02933	lmow:AX10_07230
ko:K02994	lmow:AX10_07235
ko:K02954	lmow:AX10_07240
ko:K02931	lmow:AX10_07245
ko:K02895	lmow:AX10_07250
ko:K02874	lmow:AX10_07255
ko:K02961	lmow:AX10_07260
ko:K02387	lmow:AX10_12100
ko:K02388	lmow:AX10_12105
ko:K02408	lmow:AX10_12110
ko:K02409	lmow:AX10_12115
ko:K02410	lmow:AX10_12120
ko:K02411	lmow:AX10_12125
ko:K02412	lmow:AX10_12130
ko:K10947	lmow:AX10_12145
ko:K00158	lmow:AX10_12160
ko:K03406	lmow:AX10_12165
ko:K00820	lmow:AX10_12180
ko:K07726	lmow:AX10_12210
ko:K02529	lmow:AX10_12215
ko:K01783	lmow:AX10_12220
ko:K01808	lmow:AX10_12225
ko:K02755	lmow:AX10_12235
ko:K02756	lmow:AX10_12235
ko:K02757	lmow:AX10_12235
ko:K01223	lmow:AX10_12240
ko:K01990	lmow:AX10_12255
ko:K07729	lmow:AX10_12285
ko:K15975	lmow:AX10_12335
ko:K06999	lmow:AX10_12340
ko:K03665	lmow:AX10_12350
ko:K07098	lmow:AX10_12355
ko:K03800	lmow:AX10_12360
ko:K09704	lmow:AX10_12365
ko:K02025	lmow:AX10_12370
ko:K02026	lmow:AX10_12375
ko:K02027	lmow:AX10_12380
ko:K03088	lmow:AX10_10675
ko:K05340	lmow:AX10_10680
ko:K02768	lmow:AX10_10690
ko:K02769	lmow:AX10_10695
ko:K02770	lmow:AX10_10700
ko:K01421	lmow:AX10_10775
ko:K01442	lmow:AX10_10785
ko:K01580	lmow:AX10_10790
ko:K03924	lmow:AX10_10830
ko:K10974	lmow:AX10_10840
ko:K09703	lmow:AX10_10845
ko:K06885	lmow:AX10_10895
ko:K10254	lmow:AX10_10925
ko:K06941	lmow:AX10_10930
ko:K13653	lmow:AX10_10935
ko:K07145	lmow:AX10_10940
ko:K02911	lmow:AX10_10950
ko:K02027	lmow:AX10_02860
ko:K02026	lmow:AX10_02870
ko:K00266	lmow:AX10_02875
ko:K00265	lmow:AX10_02880
ko:K08317	lmow:AX10_02895
ko:K02030	lmow:AX10_02900
ko:K02028	lmow:AX10_02905
ko:K02029	lmow:AX10_02910
ko:K01486	lmow:AX10_02920
ko:K02004	lmow:AX10_02940
ko:K02003	lmow:AX10_02945
ko:K00891	lmow:AX10_02955
ko:K03215	lmow:AX10_02965
ko:K02434	lmow:AX10_02980
ko:K02433	lmow:AX10_02985
ko:K02435	lmow:AX10_02990
ko:K01972	lmow:AX10_03000
ko:K03657	lmow:AX10_03005
ko:K07094	lmow:AX10_03010
ko:K03308	lmow:AX10_03015
ko:K01945	lmow:AX10_03030
ko:K00602	lmow:AX10_03035
ko:K11175	lmow:AX10_03040
ko:K01933	lmow:AX10_03045
ko:K00764	lmow:AX10_03050
ko:K01952	lmow:AX10_03055
ko:K01952	lmow:AX10_03060
ko:K01952	lmow:AX10_03065
ko:K01923	lmow:AX10_03070
ko:K01756	lmow:AX10_03075
ko:K01589	lmow:AX10_03080
ko:K01588	lmow:AX10_03085
ko:K06950	lmow:AX10_03110
ko:K02013	lmow:AX10_03115
ko:K02904	lmow:AX10_07265
ko:K02878	lmow:AX10_07270
ko:K02982	lmow:AX10_07275
ko:K02890	lmow:AX10_07280
ko:K02965	lmow:AX10_07285
ko:K02886	lmow:AX10_07290
ko:K02892	lmow:AX10_07295
ko:K02926	lmow:AX10_07300
ko:K02906	lmow:AX10_07305
ko:K02946	lmow:AX10_07310
ko:K16785	lmow:AX10_07315
ko:K03734	lmow:AX10_07325
ko:K03885	lmow:AX10_07335
ko:K00805	lmow:AX10_07345
ko:K00805	lmow:AX10_07350
ko:K01470	lmow:AX10_07380
ko:K07048	lmow:AX10_07385
ko:K03475	lmow:AX10_07390
ko:K02822	lmow:AX10_07395
ko:K02358	lmow:AX10_07410
ko:K02355	lmow:AX10_07415
ko:K00954	lmow:AX10_04500
ko:K02992	lmow:AX10_07420
ko:K02950	lmow:AX10_07425
ko:K01129	lmow:AX10_07430
ko:K01783	lmow:AX10_07440
ko:K00615	lmow:AX10_07445
ko:K01783	lmow:AX10_07450
ko:K01808	lmow:AX10_07455
ko:K00008	lmow:AX10_07465
ko:K00008	lmow:AX10_07470
ko:K02775	lmow:AX10_07475
ko:K02774	lmow:AX10_07480
ko:K02773	lmow:AX10_07485
ko:K01808	lmow:AX10_07520
ko:K00014	lmow:AX10_10970
ko:K03785	lmow:AX10_10975
ko:K06978	lmow:AX10_10985
ko:K01808	lmow:AX10_11010
ko:K01783	lmow:AX10_11015
ko:K02773	lmow:AX10_11035
ko:K01783	lmow:AX10_11045
ko:K00008	lmow:AX10_11050
ko:K02774	lmow:AX10_11055
ko:K02775	lmow:AX10_11060
ko:K00948	lmow:AX10_11065
ko:K07282	lmow:AX10_11100
ko:K08987	lmow:AX10_11110
ko:K01222	lmow:AX10_11125
ko:K07166	lmow:AX10_11185
ko:K09157	lmow:AX10_11190
ko:K01222	lmow:AX10_11200
ko:K02083	lmow:AX10_11205
ko:K01635	lmow:AX10_11215
ko:K02016	lmow:AX10_11225
ko:K02781	lmow:AX10_11230
ko:K02782	lmow:AX10_11235
ko:K02783	lmow:AX10_11235
ko:K04750	lmow:AX10_00275
ko:K03574	lmow:AX10_00300
ko:K02259	lmow:AX10_04530
ko:K10716	lmow:AX10_04535
ko:K14166	lmow:AX10_04550
ko:K03282	lmow:AX10_04560
ko:K01442	lmow:AX10_04575
ko:K04077	lmow:AX10_04580
ko:K04078	lmow:AX10_04585
ko:K07052	lmow:AX10_04590
ko:K01926	lmow:AX10_04600
ko:K06158	lmow:AX10_04605
ko:K06889	lmow:AX10_04610
ko:K01409	lmow:AX10_04615
ko:K03789	lmow:AX10_04620
ko:K06925	lmow:AX10_04630
ko:K06199	lmow:AX10_04645
ko:K06199	lmow:AX10_04650
ko:K01940	lmow:AX10_04695
ko:K01755	lmow:AX10_04700
ko:K05020	lmow:AX10_04705
ko:K01628	lmow:AX10_04715
ko:K00882	lmow:AX10_04720
ko:K02775	lmow:AX10_04725
ko:K02774	lmow:AX10_04730
ko:K02773	lmow:AX10_04735
ko:K06215	lmow:AX10_04750
ko:K08681	lmow:AX10_04755
ko:K00625	lmow:AX10_04770
ko:K04758	lmow:AX10_04775
ko:K04759	lmow:AX10_04780
ko:K01258	lmow:AX10_03125
ko:K01142	lmow:AX10_03135
ko:K02887	lmow:AX10_03140
ko:K02916	lmow:AX10_03145
ko:K02520	lmow:AX10_03150
ko:K02884	lmow:AX10_03165
ko:K00554	lmow:AX10_03190
ko:K02860	lmow:AX10_03195
ko:K07010	lmow:AX10_03205
ko:K06960	lmow:AX10_03210
ko:K02959	lmow:AX10_03215
ko:K01104	lmow:AX10_03230
ko:K03106	lmow:AX10_03235
ko:K09787	lmow:AX10_03240
ko:K03110	lmow:AX10_03245
ko:K03529	lmow:AX10_03250
ko:K03685	lmow:AX10_03255
ko:K02078	lmow:AX10_03265
ko:K00059	lmow:AX10_03270
ko:K00645	lmow:AX10_03275
ko:K03621	lmow:AX10_03280
ko:K03655	lmow:AX10_03290
ko:K01752	lmow:AX10_03295
ko:K01752	lmow:AX10_03300
ko:K07030	lmow:AX10_03305
ko:K02902	lmow:AX10_03315
ko:K00949	lmow:AX10_03320
ko:K01783	lmow:AX10_03325
ko:K06949	lmow:AX10_03330
ko:K03500	lmow:AX10_03345
ko:K00604	lmow:AX10_03350
ko:K04066	lmow:AX10_03355
ko:K13038	lmow:AX10_03360
ko:K03060	lmow:AX10_03365
ko:K00942	lmow:AX10_03370
ko:K00762	lmow:AX10_03390
ko:K01591	lmow:AX10_03395
ko:K07667	lmow:AX10_07540
ko:K07646	lmow:AX10_07545
ko:K01548	lmow:AX10_07550
ko:K01547	lmow:AX10_07555
ko:K01546	lmow:AX10_07560
ko:K02760	lmow:AX10_07570
ko:K02761	lmow:AX10_07575
ko:K02759	lmow:AX10_07580
ko:K01531	lmow:AX10_07605
ko:K00943	lmow:AX10_07635
ko:K05878	lmow:AX10_07645
ko:K05879	lmow:AX10_07650
ko:K06187	lmow:AX10_07680
ko:K09747	lmow:AX10_07685
ko:K02343	lmow:AX10_07690
ko:K02761	lmow:AX10_07715
ko:K00851	lmow:AX10_07735
ko:K16012	lmow:AX10_07750
ko:K16013	lmow:AX10_07755
ko:K00426	lmow:AX10_07760
ko:K00425	lmow:AX10_07765
ko:K11991	lmow:AX10_07770
ko:K01895	lmow:AX10_07775
ko:K04750	lmow:AX10_07795
ko:K02795	lmow:AX10_12450
ko:K02794	lmow:AX10_12455
ko:K02793	lmow:AX10_12460
ko:K01118	lmow:AX10_12470
ko:K11737	lmow:AX10_12475
ko:K03976	lmow:AX10_12490
ko:K07150	lmow:AX10_12505
ko:K07118	lmow:AX10_12510
ko:K05786	lmow:AX10_12515
ko:K11733	lmow:AX10_12530
ko:K03316	lmow:AX10_12555
ko:K11072	lmow:AX10_12575
ko:K11071	lmow:AX10_12580
ko:K11070	lmow:AX10_12585
ko:K11069	lmow:AX10_12590
ko:K01674	lmow:AX10_12595
ko:K00847	lmow:AX10_12605
ko:K02371	lmow:AX10_12610
ko:K00054	lmow:AX10_12665
ko:K03324	lmow:AX10_12670
ko:K03737	lmow:AX10_12675
ko:K03486	lmow:AX10_00340
ko:K01226	lmow:AX10_00345
ko:K02818	lmow:AX10_00350
ko:K02819	lmow:AX10_00350
ko:K00147	lmow:AX10_00370
ko:K00931	lmow:AX10_00375
ko:K03545	lmow:AX10_00410
ko:K03544	lmow:AX10_00415
ko:K03100	lmow:AX10_00420
ko:K03100	lmow:AX10_00425
ko:K03100	lmow:AX10_00430
ko:K14540	lmow:AX10_00435
ko:K03470	lmow:AX10_00440
ko:K04096	lmow:AX10_00445
ko:K03168	lmow:AX10_00450
ko:K04094	lmow:AX10_00455
ko:K03733	lmow:AX10_00460
ko:K01419	lmow:AX10_00465
ko:K03667	lmow:AX10_00470
ko:K03706	lmow:AX10_00475
ko:K07107	lmow:AX10_00480
ko:K08591	lmow:AX10_00495
ko:K02622	lmow:AX10_00505
ko:K02621	lmow:AX10_00510
ko:K07173	lmow:AX10_00515
ko:K01126	lmow:AX10_00535
ko:K00111	lmow:AX10_00540
ko:K00791	lmow:AX10_00545
ko:K03666	lmow:AX10_00550
ko:K03665	lmow:AX10_00555
ko:K03713	lmow:AX10_00565
ko:K01915	lmow:AX10_00570
ko:K03893	lmow:AX10_00575
ko:K01356	lmow:AX10_00585
ko:K00615	lmow:AX10_00600
ko:K09976	lmow:AX10_00605
ko:K07098	lmow:AX10_04790
ko:K01443	lmow:AX10_04800
ko:K01809	lmow:AX10_04810
ko:K02003	lmow:AX10_04830
ko:K02004	lmow:AX10_04835
ko:K03431	lmow:AX10_04850
ko:K00691	lmow:AX10_04865
ko:K15772	lmow:AX10_04875
ko:K15771	lmow:AX10_04880
ko:K15770	lmow:AX10_04885
ko:K07052	lmow:AX10_04895
ko:K01624	lmow:AX10_04950
ko:K01624	lmow:AX10_04955
ko:K02770	lmow:AX10_04960
ko:K02769	lmow:AX10_04965
ko:K02768	lmow:AX10_04970
ko:K01990	lmow:AX10_04980
ko:K01992	lmow:AX10_04985
ko:K03710	lmow:AX10_05015
ko:K07035	lmow:AX10_05020
ko:K03671	lmow:AX10_05055
ko:K02783	lmow:AX10_11240
ko:K08325	lmow:AX10_11290
ko:K03305	lmow:AX10_11295
ko:K07404	lmow:AX10_11310
ko:K00262	lmow:AX10_11320
ko:K01523	lmow:AX10_11325
ko:K01496	lmow:AX10_11330
ko:K02500	lmow:AX10_11335
ko:K01814	lmow:AX10_11340
ko:K02501	lmow:AX10_11345
ko:K01693	lmow:AX10_11350
ko:K00013	lmow:AX10_11355
ko:K00765	lmow:AX10_11360
ko:K02502	lmow:AX10_11365
ko:K04486	lmow:AX10_11370
ko:K07443	lmow:AX10_11375
ko:K06901	lmow:AX10_11385
ko:K01223	lmow:AX10_11390
ko:K03492	lmow:AX10_11395
ko:K06999	lmow:AX10_11420
ko:K06969	lmow:AX10_11425
ko:K03070	lmow:AX10_11435
ko:K01669	lmow:AX10_11460
ko:K07030	lmow:AX10_11470
ko:K00641	lmow:AX10_11490
ko:K01740	lmow:AX10_11495
ko:K17828	lmow:AX10_03400
ko:K02823	lmow:AX10_03405
ko:K01955	lmow:AX10_03410
ko:K01956	lmow:AX10_03415
ko:K01465	lmow:AX10_03420
ko:K00609	lmow:AX10_03425
ko:K02824	lmow:AX10_03430
ko:K02825	lmow:AX10_03435
ko:K06180	lmow:AX10_03450
ko:K03101	lmow:AX10_03455
ko:K06901	lmow:AX10_03460
ko:K03327	lmow:AX10_03465
ko:K03797	lmow:AX10_03490
ko:K07213	lmow:AX10_03495
ko:K17686	lmow:AX10_03500
ko:K07260	lmow:AX10_03510
ko:K03784	lmow:AX10_03515
ko:K03810	lmow:AX10_03525
ko:K07305	lmow:AX10_03530
ko:K07304	lmow:AX10_03535
ko:K11068	lmow:AX10_03555
ko:K09773	lmow:AX10_03565
ko:K01006	lmow:AX10_03570
ko:K01006	lmow:AX10_03575
ko:K00563	lmow:AX10_03600
ko:K15738	lmow:AX10_03615
ko:K01938	lmow:AX10_03620
ko:K03704	lmow:AX10_03630
ko:K03469	lmow:AX10_03635
ko:K02954	lmow:AX10_03645
ko:K16169	lmow:AX10_03655
ko:K03816	lmow:AX10_03660
ko:K01299	lmow:AX10_03665
ko:K07444	lmow:AX10_03670
ko:K02768	lmow:AX10_07840
ko:K02769	lmow:AX10_07840
ko:K02770	lmow:AX10_07840
ko:K01191	lmow:AX10_07845
ko:K00865	lmow:AX10_07855
ko:K03699	lmow:AX10_07865
ko:K12410	lmow:AX10_07870
ko:K08161	lmow:AX10_07880
ko:K00616	lmow:AX10_07890
ko:K18104	lmow:AX10_07900
ko:K07343	lmow:AX10_07905
ko:K01875	lmow:AX10_07910
ko:K03342	lmow:AX10_07925
ko:K07258	lmow:AX10_07945
ko:K06978	lmow:AX10_07950
ko:K03654	lmow:AX10_07960
ko:K00088	lmow:AX10_07965
ko:K01223	lmow:AX10_07990
ko:K02760	lmow:AX10_07995
ko:K02761	lmow:AX10_08000
ko:K02759	lmow:AX10_08010
ko:K01990	lmow:AX10_08030
ko:K01919	lmow:AX10_08035
ko:K01223	lmow:AX10_08040
ko:K02755	lmow:AX10_08045
ko:K02756	lmow:AX10_08045
ko:K02757	lmow:AX10_08045
ko:K03488	lmow:AX10_08050
ko:K06942	lmow:AX10_08080
ko:K02759	lmow:AX10_08085
ko:K05349	lmow:AX10_08090
ko:K04041	lmow:AX10_12680
ko:K07088	lmow:AX10_12685
ko:K13256	lmow:AX10_12710
ko:K06147	lmow:AX10_12715
ko:K07784	lmow:AX10_12720
ko:K09022	lmow:AX10_12750
ko:K02029	lmow:AX10_12765
ko:K02030	lmow:AX10_12765
ko:K02028	lmow:AX10_12770
ko:K01426	lmow:AX10_12775
ko:K01921	lmow:AX10_12805
ko:K01929	lmow:AX10_12810
ko:K02529	lmow:AX10_12820
ko:K02027	lmow:AX10_12825
ko:K02025	lmow:AX10_12830
ko:K02026	lmow:AX10_12835
ko:K01226	lmow:AX10_12840
ko:K01840	lmow:AX10_12855
ko:K05592	lmow:AX10_12860
ko:K07045	lmow:AX10_12880
ko:K02759	lmow:AX10_12905
ko:K02760	lmow:AX10_12910
ko:K02761	lmow:AX10_12915
ko:K09167	lmow:AX10_12945
ko:K08981	lmow:AX10_12950
ko:K00231	lmow:AX10_12955
ko:K00997	lmow:AX10_12960
ko:K09903	lmow:AX10_00640
ko:K02838	lmow:AX10_00645
ko:K00806	lmow:AX10_00650
ko:K00981	lmow:AX10_00655
ko:K00099	lmow:AX10_00660
ko:K11749	lmow:AX10_00665
ko:K01881	lmow:AX10_00670
ko:K03763	lmow:AX10_00675
ko:K09748	lmow:AX10_00680
ko:K02600	lmow:AX10_00685
ko:K07742	lmow:AX10_00690
ko:K02519	lmow:AX10_00700
ko:K09764	lmow:AX10_00705
ko:K02834	lmow:AX10_00710
ko:K03177	lmow:AX10_00715
ko:K11753	lmow:AX10_00720
ko:K02956	lmow:AX10_00725
ko:K00962	lmow:AX10_00730
ko:K06949	lmow:AX10_00735
ko:K02913	lmow:AX10_00750
ko:K01934	lmow:AX10_00755
ko:K00845	lmow:AX10_00770
ko:K02249	lmow:AX10_00780
ko:K02248	lmow:AX10_00785
ko:K02247	lmow:AX10_00790
ko:K02246	lmow:AX10_00795
ko:K02245	lmow:AX10_00800
ko:K02244	lmow:AX10_00805
ko:K03523	lmow:AX10_11515
ko:K10947	lmow:AX10_11520
ko:K06147	lmow:AX10_11560
ko:K06147	lmow:AX10_11565
ko:K01118	lmow:AX10_11580
ko:K01126	lmow:AX10_11605
ko:K07090	lmow:AX10_11630
ko:K02768	lmow:AX10_11680
ko:K11203	lmow:AX10_11685
ko:K11202	lmow:AX10_11690
ko:K07025	lmow:AX10_11700
ko:K01534	lmow:AX10_11740
ko:K03294	lmow:AX10_11760
ko:K07104	lmow:AX10_11765
ko:K03284	lmow:AX10_11775
ko:K01421	lmow:AX10_11785
ko:K02243	lmow:AX10_00810
ko:K00605	lmow:AX10_00815
ko:K00282	lmow:AX10_00820
ko:K00283	lmow:AX10_00825
ko:K01262	lmow:AX10_00845
ko:K02356	lmow:AX10_00850
ko:K02160	lmow:AX10_00855
ko:K01961	lmow:AX10_00860
ko:K03625	lmow:AX10_00870
ko:K01491	lmow:AX10_00875
ko:K03601	lmow:AX10_00880
ko:K03602	lmow:AX10_00885
ko:K13789	lmow:AX10_00890
ko:K03704	lmow:AX10_00895
ko:K01662	lmow:AX10_00900
ko:K01759	lmow:AX10_05135
ko:K08177	lmow:AX10_05150
ko:K01026	lmow:AX10_05155
ko:K08600	lmow:AX10_05200
ko:K02013	lmow:AX10_05205
ko:K02015	lmow:AX10_05210
ko:K02016	lmow:AX10_05215
ko:K08602	lmow:AX10_05235
ko:K06198	lmow:AX10_05240
ko:K16511	lmow:AX10_05245
ko:K16509	lmow:AX10_05250
ko:K10823	lmow:AX10_05255
ko:K15583	lmow:AX10_05260
ko:K15582	lmow:AX10_05265
ko:K15580	lmow:AX10_05275
ko:K01867	lmow:AX10_05285
ko:K09458	lmow:AX10_05300
ko:K00648	lmow:AX10_05305
ko:K01834	lmow:AX10_05320
ko:K03695	lmow:AX10_05325
ko:K06890	lmow:AX10_05330
ko:K13252	lmow:AX10_08655
ko:K10536	lmow:AX10_08665
ko:K00926	lmow:AX10_08670
ko:K10536	lmow:AX10_08675
ko:K03481	lmow:AX10_08680
ko:K03975	lmow:AX10_08685
ko:K01478	lmow:AX10_08690
ko:K02990	lmow:AX10_08695
ko:K02963	lmow:AX10_08705
ko:K07813	lmow:AX10_08715
ko:K07706	lmow:AX10_08725
ko:K07707	lmow:AX10_08730
ko:K02939	lmow:AX10_08740
ko:K01939	lmow:AX10_08755
ko:K03466	lmow:AX10_08790
ko:K10778	lmow:AX10_08850
ko:K01775	lmow:AX10_12965
ko:K07723	lmow:AX10_12970
ko:K17763	lmow:AX10_12980
ko:K17762	lmow:AX10_12985
ko:K17752	lmow:AX10_12990
ko:K07315	lmow:AX10_12995
ko:K04757	lmow:AX10_13005
ko:K03090	lmow:AX10_13010
ko:K05518	lmow:AX10_13015
ko:K03321	lmow:AX10_13020
ko:K06959	lmow:AX10_13025
