ko:K04042	cbh:CLC_3523
ko:K03830	cbh:CLC_1033
ko:K03738	cbh:CLC_1881
ko:K03637	cbh:CLC_1884
ko:K03639	cbh:CLC_1885
ko:K03750	cbh:CLC_1886
ko:K07219	cbh:CLC_1886
ko:K03750	cbh:CLC_1887
ko:K05773	cbh:CLC_1890
ko:K05772	cbh:CLC_1891
ko:K02003	cbh:CLC_1895
ko:K00943	cbh:CLC_0102
ko:K07056	cbh:CLC_0109
ko:K06284	cbh:CLC_0111
ko:K01478	cbh:CLC_0113
ko:K01770	cbh:CLC_0114
ko:K06373	cbh:CLC_0118
ko:K06374	cbh:CLC_0119
ko:K03424	cbh:CLC_0125
ko:K05985	cbh:CLC_0127
ko:K02003	cbh:CLC_0133
ko:K07507	cbh:CLC_0140
ko:K02520	cbh:CLC_3040
ko:K02338	cbh:CLC_0002
ko:K05873	cbh:CLC_0247
ko:K03308	cbh:CLC_1979
ko:K07816	cbh:CLC_0238
ko:K01869	cbh:CLC_0240
ko:K00876	cbh:CLC_0252
ko:K01738	cbh:CLC_0261
ko:K00640	cbh:CLC_0262
ko:K00655	cbh:CLC_0264
ko:K03216	cbh:CLC_0273
ko:K02342	cbh:CLC_0314
ko:K03518	cbh:CLC_0319
ko:K07699	cbh:CLC_1816
ko:K06399	cbh:CLC_1817
ko:K00651	cbh:CLC_1818
ko:K00003	cbh:CLC_1819
ko:K01740	cbh:CLC_1820
ko:K03631	cbh:CLC_1821
ko:K03402	cbh:CLC_1822
ko:K00858	cbh:CLC_1823
ko:K01662	cbh:CLC_1825
ko:K03625	cbh:CLC_1830
ko:K06397	cbh:CLC_1832
ko:K06396	cbh:CLC_1833
ko:K06394	cbh:CLC_1835
ko:K06393	cbh:CLC_1836
ko:K06392	cbh:CLC_1837
ko:K06391	cbh:CLC_1838
ko:K06390	cbh:CLC_1839
ko:K00891	cbh:CLC_1843
ko:K02653	cbh:CLC_1852
ko:K01778	cbh:CLC_1856
ko:K02777	cbh:CLC_0330
ko:K02003	cbh:CLC_0333
ko:K09118	cbh:CLC_0020
ko:K01875	cbh:CLC_0024
ko:K01613	cbh:CLC_0042
ko:K03688	cbh:CLC_0043
ko:K03721	cbh:CLC_0046
ko:K01761	cbh:CLC_0047
ko:K06317	cbh:CLC_0055
ko:K03790	cbh:CLC_0063
ko:K03786	cbh:CLC_1842
ko:K01520	cbh:CLC_1276
ko:K00384	cbh:CLC_1294
ko:K01735	cbh:CLC_2089
ko:K02003	cbh:CLC_2091
ko:K02821	cbh:CLC_2096
ko:K07707	cbh:CLC_1229
ko:K07706	cbh:CLC_1230
ko:K04024	cbh:CLC_2055
ko:K04029	cbh:CLC_2057
ko:K04031	cbh:CLC_2058
ko:K07727	cbh:CLC_2085
ko:K03789	cbh:CLC_3267
ko:K03091	cbh:CLC_3445
ko:K01448	cbh:CLC_3387
ko:K03547	cbh:CLC_0546
ko:K02445	cbh:CLC_1123
ko:K01887	cbh:CLC_1124
ko:K04759	cbh:CLC_1129
ko:K04758	cbh:CLC_1130
ko:K02071	cbh:CLC_1136
ko:K02072	cbh:CLC_1137
ko:K02073	cbh:CLC_1139
ko:K01885	cbh:CLC_1146
ko:K00134	cbh:CLC_1147
ko:K07576	cbh:CLC_1148
ko:K03310	cbh:CLC_1152
ko:K03310	cbh:CLC_1153
ko:K01163	cbh:CLC_1162
ko:K10254	cbh:CLC_1989
ko:K00973	cbh:CLC_1999
ko:K03802	cbh:CLC_0168
ko:K00919	cbh:CLC_0169
ko:K06387	cbh:CLC_0174
ko:K07238	cbh:CLC_0189
ko:K00761	cbh:CLC_0193
ko:K01493	cbh:CLC_0194
ko:K00790	cbh:CLC_0207
ko:K06381	cbh:CLC_0208
ko:K06283	cbh:CLC_0210
ko:K00789	cbh:CLC_0222
ko:K03581	cbh:CLC_0223
ko:K05808	cbh:CLC_0226
ko:K02836	cbh:CLC_0228
ko:K06959	cbh:CLC_0230
ko:K04061	cbh:CLC_0233
ko:K00874	cbh:CLC_0352
ko:K01486	cbh:CLC_0353
ko:K02016	cbh:CLC_0365
ko:K01126	cbh:CLC_1233
ko:K01223	cbh:CLC_1244
ko:K01866	cbh:CLC_1246
ko:K01752	cbh:CLC_1255
ko:K01752	cbh:CLC_1256
ko:K02003	cbh:CLC_1265
ko:K02034	cbh:CLC_1266
ko:K02033	cbh:CLC_1267
ko:K02035	cbh:CLC_1268
ko:K06213	cbh:CLC_1174
ko:K02012	cbh:CLC_1197
ko:K02011	cbh:CLC_1198
ko:K02945	cbh:CLC_1202
ko:K07107	cbh:CLC_1203
ko:K01989	cbh:CLC_1205
ko:K05832	cbh:CLC_1206
ko:K05833	cbh:CLC_1207
ko:K00077	cbh:CLC_1213
ko:K07238	cbh:CLC_1220
ko:K01738	cbh:CLC_1222
ko:K06864	cbh:CLC_1226
ko:K00566	cbh:CLC_1228
ko:K00609	cbh:CLC_3152
ko:K07023	cbh:CLC_1621
ko:K03704	cbh:CLC_0341
ko:K07118	cbh:CLC_0345
ko:K01687	cbh:CLC_0350
ko:K01937	cbh:CLC_0180
ko:K03628	cbh:CLC_0182
ko:K02909	cbh:CLC_0183
ko:K00857	cbh:CLC_0184
ko:K02493	cbh:CLC_0186
ko:K00794	cbh:CLC_2762
ko:K03497	cbh:CLC_3637
ko:K05311	cbh:CLC_0281
ko:K00134	cbh:CLC_0282
ko:K00927	cbh:CLC_0283
ko:K01803	cbh:CLC_0284
ko:K03737	cbh:CLC_2634
ko:K07455	cbh:CLC_2421
ko:K04068	cbh:CLC_0142
ko:K01870	cbh:CLC_0147
ko:K02529	cbh:CLC_0148
ko:K06898	cbh:CLC_0153
ko:K07095	cbh:CLC_1050
ko:K03413	cbh:CLC_1051
ko:K04068	cbh:CLC_1055
ko:K03521	cbh:CLC_1060
ko:K03522	cbh:CLC_1061
ko:K01880	cbh:CLC_3481
ko:K03060	cbh:CLC_2368
ko:K04759	cbh:CLC_1082
ko:K08384	cbh:CLC_1493
ko:K01737	cbh:CLC_0882
ko:K00796	cbh:CLC_0883
ko:K03088	cbh:CLC_0891
ko:K00945	cbh:CLC_1750
ko:K07007	cbh:CLC_1752
ko:K03671	cbh:CLC_1762
ko:K01387	cbh:CLC_1647
ko:K03657	cbh:CLC_0737
ko:K02016	cbh:CLC_0740
ko:K02015	cbh:CLC_0741
ko:K02015	cbh:CLC_0742
ko:K02013	cbh:CLC_0743
ko:K00605	cbh:CLC_0750
ko:K02437	cbh:CLC_0751
ko:K00382	cbh:CLC_0754
ko:K03800	cbh:CLC_0755
ko:K01478	cbh:CLC_1617
ko:K03758	cbh:CLC_1618
ko:K00845	cbh:CLC_1631
ko:K03652	cbh:CLC_1303
ko:K05366	cbh:CLC_2985
ko:K01808	cbh:CLC_0192
ko:K00765	cbh:CLC_1597
ko:K00013	cbh:CLC_1598
ko:K01693	cbh:CLC_1599
ko:K01814	cbh:CLC_1601
ko:K00817	cbh:CLC_1602
ko:K07112	cbh:CLC_1607
ko:K07175	cbh:CLC_0557
ko:K06942	cbh:CLC_1489
ko:K03925	cbh:CLC_1490
ko:K03438	cbh:CLC_1491
ko:K01928	cbh:CLC_1494
ko:K01929	cbh:CLC_1495
ko:K01000	cbh:CLC_1496
ko:K03588	cbh:CLC_1497
ko:K03589	cbh:CLC_1498
ko:K06997	cbh:CLC_1502
ko:K09772	cbh:CLC_1503
ko:K02221	cbh:CLC_1504
ko:K04074	cbh:CLC_1506
ko:K00558	cbh:CLC_0890
ko:K03601	cbh:CLC_1829
ko:K03602	cbh:CLC_1828
ko:K02863	cbh:CLC_3436
ko:K10773	cbh:CLC_0265
ko:K00548	cbh:CLC_1650
ko:K00627	cbh:CLC_1659
ko:K00382	cbh:CLC_1660
ko:K03800	cbh:CLC_1661
ko:K05845	cbh:CLC_1663
ko:K05846	cbh:CLC_1663
ko:K01733	cbh:CLC_1664
ko:K00928	cbh:CLC_1666
ko:K00003	cbh:CLC_1667
ko:K02387	cbh:CLC_2540
ko:K02406	cbh:CLC_2541
ko:K01755	cbh:CLC_2543
ko:K01940	cbh:CLC_2544
ko:K06131	cbh:CLC_2547
ko:K02406	cbh:CLC_2568
ko:K01953	cbh:CLC_2579
ko:K01790	cbh:CLC_2589
ko:K00978	cbh:CLC_2592
ko:K02935	cbh:CLC_3434
ko:K02864	cbh:CLC_3435
ko:K03411	cbh:CLC_2625
ko:K02913	cbh:CLC_3440
ko:K01735	cbh:CLC_1507
ko:K01462	cbh:CLC_2495
ko:K02117	cbh:CLC_2498
ko:K02122	cbh:CLC_2499
ko:K01114	cbh:CLC_2507
ko:K02392	cbh:CLC_2512
ko:K01258	cbh:CLC_0513
ko:K00788	cbh:CLC_0523
ko:K00878	cbh:CLC_0524
ko:K01921	cbh:CLC_0526
ko:K01999	cbh:CLC_0527
ko:K01997	cbh:CLC_0528
ko:K01996	cbh:CLC_0531
ko:K03744	cbh:CLC_0536
ko:K06872	cbh:CLC_0537
ko:K06872	cbh:CLC_0538
ko:K03183	cbh:CLC_0542
ko:K07727	cbh:CLC_0543
ko:K01914	cbh:CLC_1538
ko:K01737	cbh:CLC_1586
ko:K01495	cbh:CLC_1588
ko:K06920	cbh:CLC_1589
ko:K01619	cbh:CLC_1594
ko:K00852	cbh:CLC_1595
ko:K03665	cbh:CLC_2982
ko:K03498	cbh:CLC_1356
ko:K02120	cbh:CLC_2496
ko:K02109	cbh:CLC_0200
ko:K02118	cbh:CLC_2497
ko:K02124	cbh:CLC_2502
ko:K02123	cbh:CLC_2503
ko:K02115	cbh:CLC_0203
ko:K03498	cbh:CLC_3037
ko:K04069	cbh:CLC_3125
ko:K03553	cbh:CLC_2251
ko:K04075	cbh:CLC_3490
ko:K03177	cbh:CLC_2262
ko:K01222	cbh:CLC_3305
ko:K04655	cbh:CLC_1775
ko:K02007	cbh:CLC_0971
ko:K02040	cbh:CLC_2384
ko:K13653	cbh:CLC_0835
ko:K13653	cbh:CLC_0768
ko:K01569	cbh:CLC_0917
ko:K07456	cbh:CLC_3025
ko:K06442	cbh:CLC_1824
ko:K02188	cbh:CLC_0991
ko:K02895	cbh:CLC_3414
ko:K02016	cbh:CLC_0360
ko:K02015	cbh:CLC_0361
ko:K02013	cbh:CLC_0362
ko:K03110	cbh:CLC_2299
ko:K09936	cbh:CLC_0919
ko:K03546	cbh:CLC_0547
ko:K02835	cbh:CLC_0187
ko:K02469	cbh:CLC_0007
ko:K06206	cbh:CLC_0056
ko:K02470	cbh:CLC_0006
ko:K03469	cbh:CLC_0439
ko:K03169	cbh:CLC_1327
ko:K03168	cbh:CLC_2285
ko:K07566	cbh:CLC_0190
ko:K06180	cbh:CLC_1513
ko:K06187	cbh:CLC_0053
ko:K09747	cbh:CLC_0052
ko:K02556	cbh:CLC_2149
ko:K02406	cbh:CLC_2604
ko:K01624	cbh:CLC_0249
ko:K06208	cbh:CLC_1751
ko:K07461	cbh:CLC_3290
ko:K02405	cbh:CLC_2516
ko:K03977	cbh:CLC_2378
ko:K07089	cbh:CLC_3166
ko:K02121	cbh:CLC_2501
ko:K02837	cbh:CLC_3274
ko:K03496	cbh:CLC_3638
ko:K00648	cbh:CLC_3582
ko:K03500	cbh:CLC_2362
ko:K01962	cbh:CLC_3572
ko:K07030	cbh:CLC_2351
ko:K02902	cbh:CLC_2353
ko:K03439	cbh:CLC_0573
ko:K11065	cbh:CLC_0575
ko:K01875	cbh:CLC_0584
ko:K04564	cbh:CLC_0594
ko:K06897	cbh:CLC_0595
ko:K06200	cbh:CLC_0607
ko:K03282	cbh:CLC_0611
ko:K11071	cbh:CLC_0619
ko:K06950	cbh:CLC_0624
ko:K03100	cbh:CLC_0630
ko:K02003	cbh:CLC_1428
ko:K00763	cbh:CLC_1447
ko:K06179	cbh:CLC_1470
ko:K00767	cbh:CLC_1484
ko:K00278	cbh:CLC_1485
ko:K03517	cbh:CLC_1486
ko:K01783	cbh:CLC_2357
ko:K06949	cbh:CLC_2358
ko:K06941	cbh:CLC_2361
ko:K06973	cbh:CLC_2363
ko:K00604	cbh:CLC_2364
ko:K01462	cbh:CLC_2365
ko:K00942	cbh:CLC_2369
ko:K09777	cbh:CLC_2370
ko:K06398	cbh:CLC_2374
ko:K00057	cbh:CLC_2377
ko:K02039	cbh:CLC_2380
ko:K02036	cbh:CLC_2381
ko:K02038	cbh:CLC_2382
ko:K02037	cbh:CLC_2383
ko:K05810	cbh:CLC_2387
ko:K07738	cbh:CLC_2388
ko:K03091	cbh:CLC_2390
ko:K03091	cbh:CLC_2391
ko:K06383	cbh:CLC_2392
ko:K03531	cbh:CLC_2393
ko:K03590	cbh:CLC_2394
ko:K02669	cbh:CLC_2397
ko:K00014	cbh:CLC_2398
ko:K03205	cbh:CLC_2407
ko:K08591	cbh:CLC_2100
ko:K02400	cbh:CLC_2520
ko:K01677	cbh:CLC_3386
ko:K02346	cbh:CLC_2694
ko:K02337	cbh:CLC_3317
ko:K04562	cbh:CLC_2518
ko:K09812	cbh:CLC_3334
ko:K09811	cbh:CLC_3333
ko:K02190	cbh:CLC_1008
ko:K02160	cbh:CLC_3576
ko:K02119	cbh:CLC_2500
ko:K03685	cbh:CLC_2303
ko:K03763	cbh:CLC_2270
ko:K03778	cbh:CLC_3225
ko:K03778	cbh:CLC_3226
ko:K01620	cbh:CLC_2156
ko:K00865	cbh:CLC_2157
ko:K02348	cbh:CLC_2162
ko:K00111	cbh:CLC_2167
ko:K02013	cbh:CLC_0371
ko:K06153	cbh:CLC_0378
ko:K07813	cbh:CLC_0389
ko:K07813	cbh:CLC_0396
ko:K00575	cbh:CLC_2623
ko:K04654	cbh:CLC_1776
ko:K04653	cbh:CLC_1777
ko:K02528	cbh:CLC_0128
ko:K04656	cbh:CLC_1778
ko:K06281	cbh:CLC_1782
ko:K06282	cbh:CLC_1783
ko:K07258	cbh:CLC_1802
ko:K01955	cbh:CLC_2597
ko:K02406	cbh:CLC_2605
ko:K02313	cbh:CLC_0001
ko:K02888	cbh:CLC_2886
ko:K03666	cbh:CLC_1739
ko:K03409	cbh:CLC_1730
ko:K02933	cbh:CLC_3410
ko:K03741	cbh:CLC_0808
ko:K03088	cbh:CLC_0079
ko:K03284	cbh:CLC_0097
ko:K02008	cbh:CLC_0973
ko:K01749	cbh:CLC_0975
ko:K01698	cbh:CLC_0978
ko:K06042	cbh:CLC_0980
ko:K03399	cbh:CLC_0992
ko:K05799	cbh:CLC_1143
ko:K03614	cbh:CLC_0427
ko:K13038	cbh:CLC_2367
ko:K01154	cbh:CLC_0733
ko:K03613	cbh:CLC_0429
ko:K02621	cbh:CLC_2645
ko:K02622	cbh:CLC_2646
ko:K03734	cbh:CLC_0435
ko:K03612	cbh:CLC_0428
ko:K01998	cbh:CLC_0529
ko:K03617	cbh:CLC_0430
ko:K09121	cbh:CLC_0151
ko:K00925	cbh:CLC_2308
ko:K03070	cbh:CLC_0227
ko:K03787	cbh:CLC_0289
ko:K03703	cbh:CLC_3323
ko:K07058	cbh:CLC_3348
ko:K02986	cbh:CLC_3350
ko:K00820	cbh:CLC_3355
ko:K00068	cbh:CLC_3358
ko:K03431	cbh:CLC_3365
ko:K00174	cbh:CLC_3367
ko:K02759	cbh:CLC_3301
ko:K00826	cbh:CLC_2630
ko:K02781	cbh:CLC_3359
ko:K00385	cbh:CLC_1015
ko:K03569	cbh:CLC_2899
ko:K03569	cbh:CLC_0211
ko:K03609	cbh:CLC_2894
ko:K00962	cbh:CLC_2259
ko:K02956	cbh:CLC_2260
ko:K02834	cbh:CLC_2264
ko:K02519	cbh:CLC_2265
ko:K07742	cbh:CLC_2267
ko:K09748	cbh:CLC_2269
ko:K00099	cbh:CLC_2273
ko:K00981	cbh:CLC_2277
ko:K00806	cbh:CLC_2278
ko:K02838	cbh:CLC_2279
ko:K09903	cbh:CLC_2280
ko:K02357	cbh:CLC_2282
ko:K02967	cbh:CLC_2283
ko:K03706	cbh:CLC_2284
ko:K04096	cbh:CLC_2286
ko:K07391	cbh:CLC_2287
ko:K07460	cbh:CLC_2288
ko:K03100	cbh:CLC_2291
ko:K02884	cbh:CLC_2292
ko:K01925	cbh:CLC_3480
ko:K03525	cbh:CLC_3486
ko:K01938	cbh:CLC_3487
ko:K03798	cbh:CLC_3488
ko:K00760	cbh:CLC_3489
ko:K06382	cbh:CLC_3491
ko:K04651	cbh:CLC_0508
ko:K00537	cbh:CLC_1118
ko:K02769	cbh:CLC_1937
ko:K02770	cbh:CLC_1937
ko:K01995	cbh:CLC_0530
ko:K10811	cbh:CLC_0826
ko:K02761	cbh:CLC_3304
ko:K09931	cbh:CLC_2486
ko:K06024	cbh:CLC_1799
ko:K03980	cbh:CLC_2997
ko:K01448	cbh:CLC_3012
ko:K00963	cbh:CLC_3016
ko:K02897	cbh:CLC_3019
ko:K03571	cbh:CLC_2897
ko:K03570	cbh:CLC_2898
ko:K03630	cbh:CLC_2900
ko:K06287	cbh:CLC_2901
ko:K06209	cbh:CLC_2906
ko:K00859	cbh:CLC_2910
ko:K01736	cbh:CLC_2912
ko:K02501	cbh:CLC_1600
ko:K02500	cbh:CLC_1603
ko:K07568	cbh:CLC_2971
ko:K03803	cbh:CLC_2955
ko:K01876	cbh:CLC_2956
ko:K07560	cbh:CLC_2960
ko:K00759	cbh:CLC_2962
ko:K09888	cbh:CLC_3032
ko:K03437	cbh:CLC_3035
ko:K03499	cbh:CLC_3036
ko:K02887	cbh:CLC_3038
ko:K01868	cbh:CLC_3041
ko:K08303	cbh:CLC_3026
ko:K00176	cbh:CLC_3368
ko:K00929	cbh:CLC_3370
ko:K00929	cbh:CLC_3372
ko:K07137	cbh:CLC_3373
ko:K00384	cbh:CLC_3377
ko:K03671	cbh:CLC_3378
ko:K01305	cbh:CLC_3379
ko:K08483	cbh:CLC_3382
ko:K02996	cbh:CLC_3389
ko:K02871	cbh:CLC_3390
ko:K02879	cbh:CLC_3395
ko:K02986	cbh:CLC_3397
ko:K02948	cbh:CLC_3398
ko:K02952	cbh:CLC_3399
ko:K02919	cbh:CLC_3400
ko:K02518	cbh:CLC_3401
ko:K01265	cbh:CLC_3403
ko:K00939	cbh:CLC_3404
ko:K04083	cbh:CLC_3053
ko:K00133	cbh:CLC_3061
ko:K01714	cbh:CLC_3062
ko:K01873	cbh:CLC_3073
ko:K03825	cbh:CLC_3074
ko:K02051	cbh:CLC_3078
ko:K02049	cbh:CLC_3081
ko:K02050	cbh:CLC_3082
ko:K03565	cbh:CLC_3085
ko:K09913	cbh:CLC_3091
ko:K00286	cbh:CLC_3092
ko:K00656	cbh:CLC_3093
ko:K04069	cbh:CLC_3094
ko:K03924	cbh:CLC_3099
ko:K05592	cbh:CLC_2678
ko:K03311	cbh:CLC_0868
ko:K03311	cbh:CLC_0869
ko:K04758	cbh:CLC_0871
ko:K01989	cbh:CLC_0724
ko:K03088	cbh:CLC_0728
ko:K06901	cbh:CLC_3115
ko:K07095	cbh:CLC_3120
ko:K00656	cbh:CLC_3126
ko:K02897	cbh:CLC_3128
ko:K09825	cbh:CLC_3130
ko:K03978	cbh:CLC_3138
ko:K01338	cbh:CLC_3139
ko:K04076	cbh:CLC_3140
ko:K03544	cbh:CLC_3141
ko:K03545	cbh:CLC_3143
ko:K00762	cbh:CLC_3146
ko:K01591	cbh:CLC_3149
ko:K01465	cbh:CLC_3150
ko:K00610	cbh:CLC_3151
ko:K02916	cbh:CLC_3039
ko:K03523	cbh:CLC_0960
ko:K00558	cbh:CLC_2744
ko:K03610	cbh:CLC_2895
ko:K03615	cbh:CLC_0426
ko:K03686	cbh:CLC_2854
ko:K04652	cbh:CLC_0506
ko:K02600	cbh:CLC_2268
ko:K03413	cbh:CLC_2620
ko:K03040	cbh:CLC_3396
ko:K03629	cbh:CLC_0004
ko:K03608	cbh:CLC_2893
ko:K02823	cbh:CLC_3148
ko:K04066	cbh:CLC_2366
ko:K02010	cbh:CLC_1199
ko:K02004	cbh:CLC_1429
ko:K00266	cbh:CLC_3246
ko:K02564	cbh:CLC_2710
ko:K00266	cbh:CLC_1671
ko:K06173	cbh:CLC_3391
ko:K00648	cbh:CLC_0773
ko:K01738	cbh:CLC_0780
ko:K02825	cbh:CLC_2697
ko:K01975	cbh:CLC_2702
ko:K01443	cbh:CLC_2711
ko:K03710	cbh:CLC_2712
ko:K02003	cbh:CLC_0839
ko:K01775	cbh:CLC_1685
ko:K06901	cbh:CLC_1687
ko:K02035	cbh:CLC_1696
ko:K02033	cbh:CLC_1697
ko:K02034	cbh:CLC_1698
ko:K00882	cbh:CLC_1706
ko:K03704	cbh:CLC_1715
ko:K03415	cbh:CLC_1720
ko:K00243	cbh:CLC_1722
ko:K00560	cbh:CLC_0824
ko:K01551	cbh:CLC_0812
ko:K03325	cbh:CLC_0813
ko:K01356	cbh:CLC_1737
ko:K00791	cbh:CLC_1740
ko:K03572	cbh:CLC_1741
ko:K00864	cbh:CLC_2660
ko:K02440	cbh:CLC_2661
ko:K06215	cbh:CLC_2676
ko:K01425	cbh:CLC_2684
ko:K02404	cbh:CLC_2519
ko:K03856	cbh:CLC_1509
ko:K00800	cbh:CLC_1510
ko:K03101	cbh:CLC_1512
ko:K01142	cbh:CLC_1516
ko:K07444	cbh:CLC_1517
ko:K01673	cbh:CLC_1518
ko:K02020	cbh:CLC_1519
ko:K02018	cbh:CLC_1520
ko:K07001	cbh:CLC_1523
ko:K07112	cbh:CLC_1611
ko:K07053	cbh:CLC_2476
ko:K03284	cbh:CLC_2478
ko:K06023	cbh:CLC_2480
ko:K03169	cbh:CLC_1540
ko:K02003	cbh:CLC_1544
ko:K00876	cbh:CLC_2425
ko:K07082	cbh:CLC_2428
ko:K06207	cbh:CLC_2429
ko:K07447	cbh:CLC_2433
ko:K01872	cbh:CLC_2435
ko:K04488	cbh:CLC_2439
ko:K07478	cbh:CLC_2442
ko:K07088	cbh:CLC_2444
ko:K01750	cbh:CLC_2447
ko:K03310	cbh:CLC_2449
ko:K01952	cbh:CLC_2452
ko:K00611	cbh:CLC_2465
ko:K00926	cbh:CLC_2466
ko:K00600	cbh:CLC_2467
ko:K06871	cbh:CLC_0636
ko:K02003	cbh:CLC_0643
ko:K01893	cbh:CLC_0651
ko:K05837	cbh:CLC_0670
ko:K00574	cbh:CLC_0671
ko:K06878	cbh:CLC_0677
ko:K06016	cbh:CLC_0684
ko:K09790	cbh:CLC_0689
ko:K00375	cbh:CLC_0692
ko:K03305	cbh:CLC_1571
ko:K02420	cbh:CLC_2522
ko:K02418	cbh:CLC_2524
ko:K02557	cbh:CLC_2526
ko:K02556	cbh:CLC_2527
ko:K02385	cbh:CLC_2528
ko:K02390	cbh:CLC_2529
ko:K02389	cbh:CLC_2531
ko:K02413	cbh:CLC_2533
ko:K03488	cbh:CLC_0707
ko:K07053	cbh:CLC_0709
ko:K07322	cbh:CLC_0712
ko:K09155	cbh:CLC_0713
ko:K03312	cbh:CLC_0715
ko:K10947	cbh:CLC_0145
ko:K04567	cbh:CLC_3482
ko:K09458	cbh:CLC_3577
ko:K01963	cbh:CLC_3573
ko:K01056	cbh:CLC_3518
ko:K01588	cbh:CLC_2776
ko:K02428	cbh:CLC_3204
ko:K08303	cbh:CLC_2426
ko:K02392	cbh:CLC_2513
ko:K01892	cbh:CLC_2957
ko:K02408	cbh:CLC_2538
ko:K07173	cbh:CLC_0781
ko:K00793	cbh:CLC_2764
ko:K00282	cbh:CLC_0752
ko:K02825	cbh:CLC_1514
ko:K10793	cbh:CLC_2331
ko:K00872	cbh:CLC_1665
ko:K03043	cbh:CLC_3433
ko:K03046	cbh:CLC_3432
ko:K01448	cbh:CLC_3013
ko:K01448	cbh:CLC_1469
ko:K00198	cbh:CLC_1369
ko:K02499	cbh:CLC_3513
ko:K02411	cbh:CLC_2535
ko:K02557	cbh:CLC_2148
ko:K02388	cbh:CLC_2539
ko:K02422	cbh:CLC_2608
ko:K04477	cbh:CLC_3322
ko:K03412	cbh:CLC_2624
ko:K02233	cbh:CLC_0876
ko:K09696	cbh:CLC_2160
ko:K09697	cbh:CLC_2161
ko:K00283	cbh:CLC_0753
ko:K03303	cbh:CLC_1058
ko:K03470	cbh:CLC_2289
ko:K02663	cbh:CLC_1845
ko:K01126	cbh:CLC_2822
ko:K07164	cbh:CLC_2829
ko:K06967	cbh:CLC_2831
ko:K03086	cbh:CLC_2833
ko:K01129	cbh:CLC_2835
ko:K01006	cbh:CLC_2837
ko:K03595	cbh:CLC_2841
ko:K01489	cbh:CLC_2842
ko:K07042	cbh:CLC_2844
ko:K07037	cbh:CLC_2845
