ko:K22306	aacn:AANUM_0700
ko:K04770	aacn:AANUM_1801
ko:K09911	aacn:AANUM_1802
ko:K03704	aacn:AANUM_1803
ko:K09917	aacn:AANUM_1804
ko:K06175	aacn:AANUM_1805
ko:K06879	aacn:AANUM_1808
ko:K08476	aacn:AANUM_1809
ko:K08475	aacn:AANUM_1810
ko:K08475	aacn:AANUM_1811
ko:K07483	aacn:AANUM_1812
ko:K08478	aacn:AANUM_1815
ko:K02012	aacn:AANUM_1816
ko:K02012	aacn:AANUM_1817
ko:K02010	aacn:AANUM_1818
ko:K02011	aacn:AANUM_1819
ko:K02010	aacn:AANUM_1820
ko:K09906	aacn:AANUM_1821
ko:K03798	aacn:AANUM_1822
ko:K02427	aacn:AANUM_1823
ko:K01433	aacn:AANUM_1824
ko:K03746	aacn:AANUM_1825
ko:K07126	aacn:AANUM_1827
ko:K02343	aacn:AANUM_1834
ko:K00759	aacn:AANUM_1835
ko:K02560	aacn:AANUM_1836
ko:K07090	aacn:AANUM_1837
ko:K07261	aacn:AANUM_1838
ko:K01736	aacn:AANUM_1839
ko:K05802	aacn:AANUM_1840
ko:K01911	aacn:AANUM_1841
ko:K03645	aacn:AANUM_1842
ko:K01175	aacn:AANUM_1843
ko:K03839	aacn:AANUM_1844
ko:K03711	aacn:AANUM_1845
ko:K02469	aacn:AANUM_1846
ko:K02469	aacn:AANUM_1847
ko:K03113	aacn:AANUM_1849
ko:K01591	aacn:AANUM_1850
ko:K19804	aacn:AANUM_1851
ko:K19611	aacn:AANUM_1672
ko:K02563	aacn:AANUM_1001
ko:K03588	aacn:AANUM_1002
ko:K01925	aacn:AANUM_1003
ko:K01000	aacn:AANUM_1004
ko:K01929	aacn:AANUM_1005
ko:K01928	aacn:AANUM_1006
ko:K03587	aacn:AANUM_1007
ko:K03586	aacn:AANUM_1008
ko:K03438	aacn:AANUM_1009
ko:K03925	aacn:AANUM_1010
ko:K09998	aacn:AANUM_1012
ko:K09999	aacn:AANUM_1013
ko:K09997	aacn:AANUM_1014
ko:K10000	aacn:AANUM_1015
ko:K03271	aacn:AANUM_1016
ko:K03723	aacn:AANUM_1017
ko:K06957	aacn:AANUM_1019
ko:K07042	aacn:AANUM_1021
ko:K02651	aacn:AANUM_1022
ko:K02651	aacn:AANUM_1023
ko:K02279	aacn:AANUM_1024
ko:K02280	aacn:AANUM_1025
ko:K02282	aacn:AANUM_1027
ko:K02283	aacn:AANUM_1028
ko:K12510	aacn:AANUM_1029
ko:K12511	aacn:AANUM_1030
ko:K12512	aacn:AANUM_1031
ko:K12513	aacn:AANUM_1032
ko:K12514	aacn:AANUM_1033
ko:K12515	aacn:AANUM_1034
ko:K07497	aacn:AANUM_1037
ko:K02769	aacn:AANUM_1047
ko:K02770	aacn:AANUM_1047
ko:K00882	aacn:AANUM_1048
ko:K02768	aacn:AANUM_1049
ko:K11183	aacn:AANUM_1049
ko:K03752	aacn:AANUM_1051
ko:K09896	aacn:AANUM_1052
ko:K03673	aacn:AANUM_1053
ko:K09897	aacn:AANUM_1054
ko:K00557	aacn:AANUM_1055
ko:K08992	aacn:AANUM_1852
ko:K05788	aacn:AANUM_1853
ko:K02945	aacn:AANUM_1854
ko:K00945	aacn:AANUM_1855
ko:K09824	aacn:AANUM_1856
ko:K07724	aacn:AANUM_1860
ko:K02313	aacn:AANUM_0001
ko:K02338	aacn:AANUM_0002
ko:K03629	aacn:AANUM_0003
ko:K04565	aacn:AANUM_0005
ko:K07007	aacn:AANUM_0007
ko:K02200	aacn:AANUM_0008
ko:K02199	aacn:AANUM_0009
ko:K04016	aacn:AANUM_0010
ko:K15984	aacn:AANUM_1056
ko:K03555	aacn:AANUM_1062
ko:K06889	aacn:AANUM_1064
ko:K03299	aacn:AANUM_1067
ko:K04751	aacn:AANUM_1073
ko:K07082	aacn:AANUM_1074
ko:K00943	aacn:AANUM_1075
ko:K02341	aacn:AANUM_1076
ko:K03424	aacn:AANUM_1077
ko:K07126	aacn:AANUM_1081
ko:K01834	aacn:AANUM_1084
ko:K01840	aacn:AANUM_1085
ko:K09798	aacn:AANUM_1087
ko:K07391	aacn:AANUM_1088
ko:K03978	aacn:AANUM_1089
ko:K09824	aacn:AANUM_1090
ko:K03216	aacn:AANUM_1091
ko:K06910	aacn:AANUM_1092
ko:K02073	aacn:AANUM_1093
ko:K02073	aacn:AANUM_1094
ko:K02072	aacn:AANUM_1095
ko:K02071	aacn:AANUM_1096
ko:K03273	aacn:AANUM_1097
ko:K01883	aacn:AANUM_1103
ko:K03768	aacn:AANUM_1104
ko:K03424	aacn:AANUM_1107
ko:K07263	aacn:AANUM_1914
ko:K03576	aacn:AANUM_1917
ko:K00549	aacn:AANUM_1918
ko:K09951	aacn:AANUM_1919
ko:K15342	aacn:AANUM_1920
ko:K07464	aacn:AANUM_1922
ko:K19118	aacn:AANUM_1923
ko:K19117	aacn:AANUM_1924
ko:K19119	aacn:AANUM_1925
ko:K07012	aacn:AANUM_1926
ko:K00982	aacn:AANUM_1927
ko:K02837	aacn:AANUM_1930
ko:K01940	aacn:AANUM_1932
ko:K00681	aacn:AANUM_1934
ko:K07645	aacn:AANUM_1935
ko:K07645	aacn:AANUM_1936
ko:K07666	aacn:AANUM_1937
ko:K07666	aacn:AANUM_1938
ko:K02380	aacn:AANUM_1940
ko:K01119	aacn:AANUM_1941
ko:K02016	aacn:AANUM_1942
ko:K02015	aacn:AANUM_1943
ko:K02015	aacn:AANUM_1944
ko:K02013	aacn:AANUM_1945
ko:K09817	aacn:AANUM_1947
ko:K09816	aacn:AANUM_1948
ko:K03308	aacn:AANUM_1949
ko:K10773	aacn:AANUM_1950
ko:K03613	aacn:AANUM_1951
ko:K03612	aacn:AANUM_1952
ko:K03614	aacn:AANUM_1953
ko:K03615	aacn:AANUM_1954
ko:K03616	aacn:AANUM_1955
ko:K03617	aacn:AANUM_1956
ko:K07071	aacn:AANUM_1957
ko:K03402	aacn:AANUM_1958
ko:K00024	aacn:AANUM_1959
ko:K00826	aacn:AANUM_1961
ko:K03566	aacn:AANUM_1962
ko:K06968	aacn:AANUM_1963
ko:K02237	aacn:AANUM_0282
ko:K00133	aacn:AANUM_0283
ko:K07400	aacn:AANUM_0286
ko:K11755	aacn:AANUM_0287
ko:K03311	aacn:AANUM_0288
ko:K01937	aacn:AANUM_0289
ko:K01879	aacn:AANUM_0290
ko:K01878	aacn:AANUM_0296
ko:K07308	aacn:AANUM_0299
ko:K07307	aacn:AANUM_0300
ko:K07306	aacn:AANUM_0302
ko:K03656	aacn:AANUM_0307
ko:K00661	aacn:AANUM_0310
ko:K07173	aacn:AANUM_0312
ko:K07126	aacn:AANUM_0320
ko:K00931	aacn:AANUM_0326
ko:K03773	aacn:AANUM_0327
ko:K01613	aacn:AANUM_0328
ko:K00833	aacn:AANUM_0329
ko:K00652	aacn:AANUM_0330
ko:K09789	aacn:AANUM_0331
ko:K02169	aacn:AANUM_0332
ko:K01935	aacn:AANUM_0333
ko:K07040	aacn:AANUM_0334
ko:K04015	aacn:AANUM_0011
ko:K01897	aacn:AANUM_1111
ko:K02337	aacn:AANUM_1112
ko:K03781	aacn:AANUM_1117
ko:K00262	aacn:AANUM_1118
ko:K01755	aacn:AANUM_1119
ko:K01885	aacn:AANUM_1121
ko:K07738	aacn:AANUM_1964
ko:K11752	aacn:AANUM_1965
ko:K04691	aacn:AANUM_1966
ko:K08722	aacn:AANUM_1967
ko:K14445	aacn:AANUM_1968
ko:K02019	aacn:AANUM_1969
ko:K02020	aacn:AANUM_1970
ko:K02018	aacn:AANUM_1971
ko:K02017	aacn:AANUM_1972
ko:K01255	aacn:AANUM_1973
ko:K07091	aacn:AANUM_1974
ko:K11720	aacn:AANUM_1975
ko:K00297	aacn:AANUM_1976
ko:K00014	aacn:AANUM_1977
ko:K04655	aacn:AANUM_1982
ko:K04654	aacn:AANUM_1983
ko:K04652	aacn:AANUM_1984
ko:K02006	aacn:AANUM_1985
ko:K02008	aacn:AANUM_1986
ko:K02007	aacn:AANUM_1987
ko:K16915	aacn:AANUM_1988
ko:K01243	aacn:AANUM_1990
ko:K03673	aacn:AANUM_1991
ko:K07462	aacn:AANUM_1992
ko:K03981	aacn:AANUM_1993
ko:K02836	aacn:AANUM_1994
ko:K04567	aacn:AANUM_1995
ko:K07783	aacn:AANUM_1999
ko:K01092	aacn:AANUM_2000
ko:K03337	aacn:AANUM_2001
ko:K07126	aacn:AANUM_2002
ko:K11904	aacn:AANUM_2005
ko:K03435	aacn:AANUM_2007
ko:K03748	aacn:AANUM_2008
ko:K00641	aacn:AANUM_2009
ko:K03604	aacn:AANUM_2010
ko:K09901	aacn:AANUM_2011
ko:K00674	aacn:AANUM_2012
ko:K13634	aacn:AANUM_2013
ko:K06178	aacn:AANUM_2014
ko:K14187	aacn:AANUM_2016
ko:K02911	aacn:AANUM_0335
ko:K03621	aacn:AANUM_0336
ko:K00648	aacn:AANUM_0337
ko:K00645	aacn:AANUM_0338
ko:K00059	aacn:AANUM_0339
ko:K02078	aacn:AANUM_0340
ko:K03628	aacn:AANUM_0342
ko:K03732	aacn:AANUM_0343
ko:K09710	aacn:AANUM_0344
ko:K00783	aacn:AANUM_0345
ko:K05515	aacn:AANUM_0346
ko:K05837	aacn:AANUM_0347
ko:K03642	aacn:AANUM_0348
ko:K07258	aacn:AANUM_0349
ko:K09158	aacn:AANUM_0350
ko:K03801	aacn:AANUM_0351
ko:K03644	aacn:AANUM_0352
ko:K03644	aacn:AANUM_0353
ko:K07001	aacn:AANUM_0355
ko:K09471	aacn:AANUM_0356
ko:K02424	aacn:AANUM_0357
ko:K10009	aacn:AANUM_0358
ko:K10010	aacn:AANUM_0359
ko:K07237	aacn:AANUM_0360
ko:K07236	aacn:AANUM_0361
ko:K07235	aacn:AANUM_0362
ko:K03772	aacn:AANUM_0364
ko:K03745	aacn:AANUM_0365
ko:K04761	aacn:AANUM_0367
ko:K07792	aacn:AANUM_0371
ko:K03071	aacn:AANUM_0373
ko:K00057	aacn:AANUM_0374
ko:K00640	aacn:AANUM_0375
ko:K02446	aacn:AANUM_0376
ko:K09892	aacn:AANUM_0377
ko:K06205	aacn:AANUM_0378
ko:K03495	aacn:AANUM_0379
ko:K19267	aacn:AANUM_0380
ko:K03501	aacn:AANUM_0383
ko:K02116	aacn:AANUM_0384
ko:K02108	aacn:AANUM_0385
ko:K02110	aacn:AANUM_0386
ko:K02109	aacn:AANUM_0387
ko:K02113	aacn:AANUM_0388
ko:K02111	aacn:AANUM_0389
ko:K02115	aacn:AANUM_0390
ko:K02112	aacn:AANUM_0391
ko:K03704	aacn:AANUM_1195
ko:K00852	aacn:AANUM_1196
ko:K10439	aacn:AANUM_1197
ko:K10440	aacn:AANUM_1198
ko:K10441	aacn:AANUM_1199
ko:K06726	aacn:AANUM_1200
ko:K08311	aacn:AANUM_1201
ko:K07090	aacn:AANUM_1202
ko:K13292	aacn:AANUM_1203
ko:K11991	aacn:AANUM_1205
ko:K11904	aacn:AANUM_1212
ko:K03593	aacn:AANUM_1214
ko:K01874	aacn:AANUM_1215
ko:K04755	aacn:AANUM_1217
ko:K04044	aacn:AANUM_1218
ko:K04082	aacn:AANUM_1219
ko:K04773	aacn:AANUM_2017
ko:K00382	aacn:AANUM_2019
ko:K00627	aacn:AANUM_2020
ko:K00163	aacn:AANUM_2021
ko:K16868	aacn:AANUM_2022
ko:K03556	aacn:AANUM_2023
ko:K00688	aacn:AANUM_2024
ko:K00705	aacn:AANUM_2025
ko:K03558	aacn:AANUM_2026
ko:K09899	aacn:AANUM_2027
ko:K00925	aacn:AANUM_2028
ko:K13788	aacn:AANUM_2029
ko:K00950	aacn:AANUM_2031
ko:K00970	aacn:AANUM_2032
ko:K06204	aacn:AANUM_2033
ko:K02238	aacn:AANUM_2034
ko:K11085	aacn:AANUM_2035
ko:K00912	aacn:AANUM_2036
ko:K09791	aacn:AANUM_2037
ko:K00979	aacn:AANUM_2038
ko:K03703	aacn:AANUM_2039
ko:K02055	aacn:AANUM_2040
ko:K02053	aacn:AANUM_2041
ko:K02054	aacn:AANUM_2042
ko:K01008	aacn:AANUM_2044
ko:K00325	aacn:AANUM_2049
ko:K00324	aacn:AANUM_2050
ko:K06206	aacn:AANUM_2051
ko:K01866	aacn:AANUM_2052
ko:K03177	aacn:AANUM_2054
ko:K02834	aacn:AANUM_2055
ko:K02519	aacn:AANUM_2057
ko:K02600	aacn:AANUM_2058
ko:K09748	aacn:AANUM_2059
ko:K07483	aacn:AANUM_2060
ko:K04062	aacn:AANUM_2061
ko:K03524	aacn:AANUM_2062
ko:K00088	aacn:AANUM_2063
ko:K13628	aacn:AANUM_1220
ko:K04488	aacn:AANUM_1221
ko:K04487	aacn:AANUM_1222
ko:K13643	aacn:AANUM_1223
ko:K15396	aacn:AANUM_1224
ko:K01092	aacn:AANUM_1225
ko:K01739	aacn:AANUM_1233
ko:K01739	aacn:AANUM_1234
ko:K03778	aacn:AANUM_1235
ko:K03671	aacn:AANUM_1236
ko:K06179	aacn:AANUM_1237
ko:K08300	aacn:AANUM_1238
ko:K15977	aacn:AANUM_1239
ko:K04084	aacn:AANUM_1240
ko:K06966	aacn:AANUM_1241
ko:K02909	aacn:AANUM_1242
ko:K02919	aacn:AANUM_1243
ko:K07773	aacn:AANUM_1244
ko:K10823	aacn:AANUM_1245
ko:K15583	aacn:AANUM_1246
ko:K15582	aacn:AANUM_1247
ko:K15581	aacn:AANUM_1250
ko:K15580	aacn:AANUM_1251
ko:K03664	aacn:AANUM_1252
ko:K03979	aacn:AANUM_1253
ko:K02899	aacn:AANUM_1256
ko:K02888	aacn:AANUM_1257
ko:K02523	aacn:AANUM_1258
ko:K09765	aacn:AANUM_1259
ko:K06168	aacn:AANUM_1260
ko:K04067	aacn:AANUM_1261
ko:K07084	aacn:AANUM_1262
ko:K03683	aacn:AANUM_1263
ko:K01759	aacn:AANUM_1264
ko:K16087	aacn:AANUM_1265
ko:K02445	aacn:AANUM_1266
ko:K04014	aacn:AANUM_0012
ko:K04013	aacn:AANUM_0013
ko:K03385	aacn:AANUM_0014
ko:K02200	aacn:AANUM_0018
ko:K02199	aacn:AANUM_0019
ko:K02198	aacn:AANUM_0020
ko:K02197	aacn:AANUM_0021
ko:K02196	aacn:AANUM_0022
ko:K02195	aacn:AANUM_0023
ko:K02195	aacn:AANUM_0024
ko:K02194	aacn:AANUM_0025
ko:K02193	aacn:AANUM_0026
ko:K07552	aacn:AANUM_0027
ko:K06183	aacn:AANUM_0028
ko:K07483	aacn:AANUM_0034
ko:K00789	aacn:AANUM_0037
ko:K02956	aacn:AANUM_0038
ko:K08680	aacn:AANUM_0039
ko:K02551	aacn:AANUM_0040
ko:K02552	aacn:AANUM_0041
ko:K14260	aacn:AANUM_0042
ko:K03603	aacn:AANUM_0043
ko:K03314	aacn:AANUM_0044
ko:K03611	aacn:AANUM_0045
ko:K18691	aacn:AANUM_0046
ko:K01633	aacn:AANUM_0047
ko:K08591	aacn:AANUM_0048
ko:K07054	aacn:AANUM_0050
ko:K04564	aacn:AANUM_0052
ko:K00029	aacn:AANUM_0053
ko:K07483	aacn:AANUM_0060
ko:K02742	aacn:AANUM_0061
ko:K03837	aacn:AANUM_0062
ko:K01752	aacn:AANUM_0063
ko:K01424	aacn:AANUM_0064
ko:K06941	aacn:AANUM_0065
ko:K02656	aacn:AANUM_0066
ko:K15539	aacn:AANUM_0067
ko:K03526	aacn:AANUM_0068
ko:K10763	aacn:AANUM_0072
ko:K02824	aacn:AANUM_0073
ko:K00761	aacn:AANUM_0074
ko:K03770	aacn:AANUM_0075
ko:K01338	aacn:AANUM_0076
ko:K03321	aacn:AANUM_0077
ko:K01686	aacn:AANUM_0081
ko:K13637	aacn:AANUM_0082
ko:K01187	aacn:AANUM_0083
ko:K00874	aacn:AANUM_0088
ko:K01812	aacn:AANUM_0090
ko:K01812	aacn:AANUM_0091
ko:K01625	aacn:AANUM_0092
ko:K02016	aacn:AANUM_0093
ko:K00058	aacn:AANUM_0094
ko:K01807	aacn:AANUM_0095
ko:K02428	aacn:AANUM_0098
ko:K02237	aacn:AANUM_0099
ko:K03527	aacn:AANUM_0100
ko:K03101	aacn:AANUM_0101
ko:K01870	aacn:AANUM_0102
ko:K11753	aacn:AANUM_0104
ko:K03980	aacn:AANUM_0105
ko:K02968	aacn:AANUM_0106
ko:K07186	aacn:AANUM_0107
ko:K01079	aacn:AANUM_0108
ko:K09767	aacn:AANUM_0109
ko:K01056	aacn:AANUM_0110
ko:K06942	aacn:AANUM_0111
ko:K01738	aacn:AANUM_0113
ko:K06203	aacn:AANUM_0114
ko:K03528	aacn:AANUM_0115
ko:K01972	aacn:AANUM_0116
ko:K01409	aacn:AANUM_0119
ko:K02970	aacn:AANUM_0120
ko:K03086	aacn:AANUM_0122
ko:K01892	aacn:AANUM_0069
ko:K02114	aacn:AANUM_0392
ko:K11069	aacn:AANUM_0393
ko:K07106	aacn:AANUM_0394
ko:K09001	aacn:AANUM_0395
ko:K04042	aacn:AANUM_0396
ko:K11534	aacn:AANUM_0398
ko:K01619	aacn:AANUM_0399
ko:K11904	aacn:AANUM_0405
ko:K02548	aacn:AANUM_0421
ko:K02553	aacn:AANUM_0422
ko:K14445	aacn:AANUM_0423
ko:K09889	aacn:AANUM_0424
ko:K03592	aacn:AANUM_0425
ko:K00760	aacn:AANUM_0426
ko:K00865	aacn:AANUM_0427
ko:K03299	aacn:AANUM_0428
ko:K02647	aacn:AANUM_0429
ko:K00012	aacn:AANUM_0430
ko:K05592	aacn:AANUM_0431
ko:K05803	aacn:AANUM_0432
ko:K00962	aacn:AANUM_0433
ko:K03806	aacn:AANUM_0435
ko:K02682	aacn:AANUM_0436
ko:K02504	aacn:AANUM_0437
ko:K02505	aacn:AANUM_0438
