ko:K18929	cft:CFF04554_0888
ko:K02112	cft:CFF04554_1537
ko:K02115	cft:CFF04554_1538
ko:K02111	cft:CFF04554_1539
ko:K02113	cft:CFF04554_1540
ko:K02109	cft:CFF04554_1541
ko:K02109	cft:CFF04554_1542
ko:K03524	cft:CFF04554_1545
ko:K00604	cft:CFF04554_1546
ko:K00931	cft:CFF04554_1547
ko:K03979	cft:CFF04554_1548
ko:K02899	cft:CFF04554_1549
ko:K02888	cft:CFF04554_1550
ko:K00428	cft:CFF04554_1551
ko:K00124	cft:CFF04554_1552
ko:K03923	cft:CFF04554_1788
ko:K15977	cft:CFF04554_1795
ko:K06178	cft:CFF04554_1800
ko:K06041	cft:CFF04554_1801
ko:K12574	cft:CFF04554_1802
ko:K02528	cft:CFF04554_1803
ko:K02500	cft:CFF04554_1805
ko:K06941	cft:CFF04554_1807
ko:K06180	cft:CFF04554_1809
ko:K01756	cft:CFF04554_1810
ko:K11733	cft:CFF04554_1812
ko:K01159	cft:CFF04554_1813
ko:K03637	cft:CFF04554_0143
ko:K07792	cft:CFF04554_0147
ko:K17938	cft:CFF04554_0148
ko:K03303	cft:CFF04554_0150
ko:K09004	cft:CFF04554_0157
ko:K00330	cft:CFF04554_0158
ko:K00331	cft:CFF04554_0159
ko:K13378	cft:CFF04554_0160
ko:K00334	cft:CFF04554_0161
ko:K00337	cft:CFF04554_0164
ko:K00338	cft:CFF04554_0165
ko:K00339	cft:CFF04554_0166
ko:K00340	cft:CFF04554_0167
ko:K00341	cft:CFF04554_0168
ko:K00342	cft:CFF04554_0169
ko:K00343	cft:CFF04554_0170
ko:K02009	cft:CFF04554_0171
ko:K02007	cft:CFF04554_0172
ko:K16915	cft:CFF04554_0173
ko:K02008	cft:CFF04554_0174
ko:K02006	cft:CFF04554_0175
ko:K03168	cft:CFF04554_0176
ko:K01012	cft:CFF04554_0177
ko:K01647	cft:CFF04554_0179
ko:K01082	cft:CFF04554_0180
ko:K02040	cft:CFF04554_0181
ko:K02037	cft:CFF04554_0182
ko:K02038	cft:CFF04554_0183
ko:K00123	cft:CFF04554_1553
ko:K01042	cft:CFF04554_1557
ko:K03833	cft:CFF04554_1558
ko:K03981	cft:CFF04554_1559
ko:K15898	cft:CFF04554_1565
ko:K00262	cft:CFF04554_1566
ko:K11782	cft:CFF04554_1567
ko:K00761	cft:CFF04554_1568
ko:K00029	cft:CFF04554_1569
ko:K01885	cft:CFF04554_1571
ko:K01961	cft:CFF04554_1573
ko:K02160	cft:CFF04554_1574
ko:K01494	cft:CFF04554_1575
ko:K15895	cft:CFF04554_1576
ko:K00286	cft:CFF04554_1578
ko:K03118	cft:CFF04554_1147
ko:K07568	cft:CFF04554_1148
ko:K07447	cft:CFF04554_1151
ko:K09798	cft:CFF04554_1153
ko:K00053	cft:CFF04554_1154
ko:K12573	cft:CFF04554_1156
ko:K02340	cft:CFF04554_1157
ko:K02990	cft:CFF04554_1158
ko:K02963	cft:CFF04554_1160
ko:K03686	cft:CFF04554_1161
ko:K02484	cft:CFF04554_1163
ko:K06187	cft:CFF04554_1164
ko:K00014	cft:CFF04554_1165
ko:K03749	cft:CFF04554_1166
ko:K00600	cft:CFF04554_1168
ko:K04567	cft:CFF04554_1169
ko:K03711	cft:CFF04554_1170
ko:K03558	cft:CFF04554_1171
ko:K02669	cft:CFF04554_1172
ko:K02435	cft:CFF04554_1173
ko:K03525	cft:CFF04554_1177
ko:K00765	cft:CFF04554_1178
ko:K03311	cft:CFF04554_1179
ko:K07098	cft:CFF04554_1180
ko:K01613	cft:CFF04554_1181
ko:K02570	cft:CFF04554_1182
ko:K02572	cft:CFF04554_1184
ko:K02568	cft:CFF04554_1185
ko:K02574	cft:CFF04554_1186
ko:K02573	cft:CFF04554_1187
ko:K02567	cft:CFF04554_1188
ko:K10040	cft:CFF04554_1189
ko:K10040	cft:CFF04554_1190
ko:K10041	cft:CFF04554_1192
ko:K06942	cft:CFF04554_1193
ko:K01255	cft:CFF04554_1194
ko:K09778	cft:CFF04554_1391
ko:K06168	cft:CFF04554_1392
ko:K02600	cft:CFF04554_1394
ko:K00012	cft:CFF04554_1403
ko:K01784	cft:CFF04554_1404
ko:K08679	cft:CFF04554_1408
ko:K02474	cft:CFF04554_1409
ko:K07501	cft:CFF04554_1410
ko:K02841	cft:CFF04554_1411
ko:K02517	cft:CFF04554_1412
ko:K02849	cft:CFF04554_1414
ko:K02844	cft:CFF04554_1422
ko:K02843	cft:CFF04554_1423
ko:K03271	cft:CFF04554_1424
ko:K03272	cft:CFF04554_1426
ko:K03274	cft:CFF04554_1427
ko:K03273	cft:CFF04554_1428
ko:K08738	cft:CFF04554_1431
ko:K17686	cft:CFF04554_1433
ko:K03628	cft:CFF04554_1434
ko:K02343	cft:CFF04554_1435
ko:K11175	cft:CFF04554_1688
ko:K07391	cft:CFF04554_1690
ko:K01462	cft:CFF04554_1691
ko:K01358	cft:CFF04554_1693
ko:K03545	cft:CFF04554_1694
ko:K01495	cft:CFF04554_1695
ko:K02412	cft:CFF04554_1696
ko:K04487	cft:CFF04554_1697
ko:K13819	cft:CFF04554_1698
ko:K03406	cft:CFF04554_1699
ko:K02520	cft:CFF04554_1702
ko:K01868	cft:CFF04554_1703
ko:K08973	cft:CFF04554_1713
ko:K03101	cft:CFF04554_1715
ko:K03431	cft:CFF04554_1716
ko:K02968	cft:CFF04554_1717
ko:K02835	cft:CFF04554_1718
ko:K01142	cft:CFF04554_1721
ko:K03760	cft:CFF04554_1722
ko:K00901	cft:CFF04554_1723
ko:K09816	cft:CFF04554_1727
ko:K09817	cft:CFF04554_1728
ko:K09815	cft:CFF04554_1730
ko:K09823	cft:CFF04554_1731
ko:K00428	cft:CFF04554_1732
ko:K01673	cft:CFF04554_1734
ko:K16052	cft:CFF04554_1735
ko:K04564	cft:CFF04554_0031
ko:K02946	cft:CFF04554_0032
ko:K02906	cft:CFF04554_0033
ko:K02926	cft:CFF04554_0034
ko:K02892	cft:CFF04554_0035
ko:K02886	cft:CFF04554_0036
ko:K02965	cft:CFF04554_0037
ko:K02890	cft:CFF04554_0038
ko:K02982	cft:CFF04554_0039
ko:K02878	cft:CFF04554_0040
ko:K02904	cft:CFF04554_0041
ko:K02961	cft:CFF04554_0042
ko:K02874	cft:CFF04554_0043
ko:K02895	cft:CFF04554_0044
ko:K02931	cft:CFF04554_0045
ko:K02954	cft:CFF04554_0046
ko:K02994	cft:CFF04554_0047
ko:K02933	cft:CFF04554_0048
ko:K02881	cft:CFF04554_0049
ko:K02988	cft:CFF04554_0050
ko:K02876	cft:CFF04554_0051
ko:K03076	cft:CFF04554_0052
ko:K01265	cft:CFF04554_0053
ko:K02518	cft:CFF04554_0054
ko:K02919	cft:CFF04554_0055
ko:K02952	cft:CFF04554_0056
ko:K02948	cft:CFF04554_0057
ko:K02986	cft:CFF04554_0058
ko:K03040	cft:CFF04554_0059
ko:K02879	cft:CFF04554_0060
ko:K01928	cft:CFF04554_0063
ko:K01579	cft:CFF04554_0064
ko:K03406	cft:CFF04554_0065
ko:K09747	cft:CFF04554_0066
ko:K00795	cft:CFF04554_0068
ko:K00615	cft:CFF04554_0069
ko:K07248	cft:CFF04554_0070
ko:K06200	cft:CFF04554_0072
ko:K03154	cft:CFF04554_0073
ko:K03148	cft:CFF04554_0074
ko:K03149	cft:CFF04554_0075
ko:K03150	cft:CFF04554_0076
ko:K00963	cft:CFF04554_0078
ko:K01810	cft:CFF04554_0079
ko:K04047	cft:CFF04554_0080
ko:K01935	cft:CFF04554_0083
ko:K00290	cft:CFF04554_0283
ko:K02909	cft:CFF04554_0285
ko:K07056	cft:CFF04554_0286
ko:K03218	cft:CFF04554_0287
ko:K14261	cft:CFF04554_0290
ko:K00003	cft:CFF04554_0291
ko:K07460	cft:CFF04554_0292
ko:K03671	cft:CFF04554_0293
ko:K00384	cft:CFF04554_0294
ko:K00215	cft:CFF04554_0296
ko:K00764	cft:CFF04554_0297
ko:K11755	cft:CFF04554_0300
ko:K00826	cft:CFF04554_0302
ko:K01821	cft:CFF04554_0308
ko:K03564	cft:CFF04554_0309
ko:K09765	cft:CFF04554_0311
ko:K02372	cft:CFF04554_0312
ko:K00677	cft:CFF04554_0313
ko:K03544	cft:CFF04554_0314
ko:K03569	cft:CFF04554_0315
ko:K03570	cft:CFF04554_0316
ko:K01955	cft:CFF04554_0317
ko:K03813	cft:CFF04554_0320
ko:K03406	cft:CFF04554_0322
ko:K03787	cft:CFF04554_0325
ko:K00748	cft:CFF04554_0326
ko:K03624	cft:CFF04554_0327
ko:K00145	cft:CFF04554_0328
ko:K03269	cft:CFF04554_0329
ko:K03415	cft:CFF04554_0330
ko:K03407	cft:CFF04554_0331
ko:K03408	cft:CFF04554_0332
ko:K01079	cft:CFF04554_0333
ko:K07058	cft:CFF04554_0701
ko:K00104	cft:CFF04554_0702
ko:K06213	cft:CFF04554_0705
ko:K08077	cft:CFF04554_0706
ko:K04078	cft:CFF04554_0708
ko:K04077	cft:CFF04554_0709
ko:K01772	cft:CFF04554_0710
ko:K03587	cft:CFF04554_0711
ko:K02408	cft:CFF04554_0712
ko:K02388	cft:CFF04554_0713
ko:K02387	cft:CFF04554_0714
ko:K00684	cft:CFF04554_0715
ko:K03694	cft:CFF04554_0717
ko:K06891	cft:CFF04554_0718
ko:K03664	cft:CFF04554_0720
ko:K00919	cft:CFF04554_0721
ko:K03563	cft:CFF04554_0722
ko:K03177	cft:CFF04554_0723
ko:K03657	cft:CFF04554_0724
ko:K08602	cft:CFF04554_0727
ko:K07862	cft:CFF04554_0728
ko:K00789	cft:CFF04554_0729
ko:K11604	cft:CFF04554_0730
ko:K11607	cft:CFF04554_0731
ko:K11605	cft:CFF04554_0732
ko:K11606	cft:CFF04554_0733
ko:K03820	cft:CFF04554_0734
ko:K03210	cft:CFF04554_0735
ko:K03072	cft:CFF04554_0736
ko:K03074	cft:CFF04554_0737
ko:K01869	cft:CFF04554_0739
ko:K11754	cft:CFF04554_0742
ko:K03723	cft:CFF04554_0745
ko:K06923	cft:CFF04554_0747
ko:K07457	cft:CFF04554_0748
ko:K06929	cft:CFF04554_0750
ko:K04763	cft:CFF04554_0849
ko:K03588	cft:CFF04554_0850
ko:K02563	cft:CFF04554_0851
ko:K03530	cft:CFF04554_0852
ko:K03561	cft:CFF04554_0853
ko:K03559	cft:CFF04554_0854
ko:K03832	cft:CFF04554_0855
ko:K06925	cft:CFF04554_0857
ko:K06861	cft:CFF04554_0858
ko:K03092	cft:CFF04554_0859
ko:K01735	cft:CFF04554_0860
ko:K03831	cft:CFF04554_0864
ko:K06997	cft:CFF04554_0865
ko:K11749	cft:CFF04554_0866
ko:K01783	cft:CFF04554_0867
ko:K02342	cft:CFF04554_0868
ko:K04066	cft:CFF04554_0869
ko:K02456	cft:CFF04554_0870
ko:K02456	cft:CFF04554_0873
ko:K03702	cft:CFF04554_0876
ko:K16088	cft:CFF04554_0878
ko:K00937	cft:CFF04554_0880
ko:K00549	cft:CFF04554_0881
ko:K08296	cft:CFF04554_0884
ko:K00782	cft:CFF04554_0889
ko:K00790	cft:CFF04554_0891
ko:K03750	cft:CFF04554_0892
ko:K02386	cft:CFF04554_0894
ko:K00954	cft:CFF04554_0895
ko:K00943	cft:CFF04554_0896
ko:K01892	cft:CFF04554_0897
ko:K01585	cft:CFF04554_0898
ko:K03781	cft:CFF04554_1045
ko:K02014	cft:CFF04554_1046
ko:K01338	cft:CFF04554_1047
ko:K05807	cft:CFF04554_1048
ko:K16850	cft:CFF04554_1051
ko:K18333	cft:CFF04554_1052
ko:K02429	cft:CFF04554_1053
ko:K13626	cft:CFF04554_1055
ko:K05808	cft:CFF04554_1059
ko:K01270	cft:CFF04554_1060
ko:K15257	cft:CFF04554_1061
ko:K01916	cft:CFF04554_1064
ko:K00912	cft:CFF04554_1066
ko:K00930	cft:CFF04554_1067
ko:K01733	cft:CFF04554_1068
ko:K00979	cft:CFF04554_1069
ko:K04084	cft:CFF04554_1073
ko:K04043	cft:CFF04554_1075
ko:K03687	cft:CFF04554_1076
ko:K03705	cft:CFF04554_1077
ko:K02400	cft:CFF04554_1081
ko:K02956	cft:CFF04554_1083
ko:K01665	cft:CFF04554_1084
ko:K02619	cft:CFF04554_1085
ko:K02052	cft:CFF04554_1087
ko:K02053	cft:CFF04554_1088
ko:K02054	cft:CFF04554_1089
ko:K01719	cft:CFF04554_1289
ko:K01951	cft:CFF04554_1291
ko:K03703	cft:CFF04554_1293
ko:K09979	cft:CFF04554_1297
ko:K03324	cft:CFF04554_1301
ko:K14393	cft:CFF04554_1304
ko:K10806	cft:CFF04554_1305
ko:K12267	cft:CFF04554_1306
ko:K02110	cft:CFF04554_1308
ko:K09771	cft:CFF04554_1310
ko:K09981	cft:CFF04554_1311
ko:K03308	cft:CFF04554_1318
ko:K01960	cft:CFF04554_1319
ko:K01610	cft:CFF04554_1320
ko:K01755	cft:CFF04554_1321
ko:K04758	cft:CFF04554_1322
ko:K01118	cft:CFF04554_1324
ko:K03406	cft:CFF04554_1326
ko:K03406	cft:CFF04554_1327
ko:K02355	cft:CFF04554_1329
ko:K02992	cft:CFF04554_1330
ko:K02950	cft:CFF04554_1331
ko:K03043	cft:CFF04554_1333
ko:K02935	cft:CFF04554_1334
ko:K02864	cft:CFF04554_1335
ko:K02863	cft:CFF04554_1336
ko:K02867	cft:CFF04554_1337
ko:K02601	cft:CFF04554_1338
ko:K03073	cft:CFF04554_1339
ko:K00611	cft:CFF04554_1582
ko:K01698	cft:CFF04554_1583
ko:K01497	cft:CFF04554_1584
ko:K03501	cft:CFF04554_1585
ko:K06950	cft:CFF04554_1586
ko:K03799	cft:CFF04554_1588
ko:K01775	cft:CFF04554_1589
ko:K00615	cft:CFF04554_1597
ko:K00615	cft:CFF04554_1598
ko:K00604	cft:CFF04554_1606
ko:K02843	cft:CFF04554_1610
ko:K01953	cft:CFF04554_1613
ko:K01953	cft:CFF04554_1619
ko:K09726	cft:CFF04554_1620
ko:K00860	cft:CFF04554_1629
ko:K07010	cft:CFF04554_1633
ko:K15894	cft:CFF04554_1635
ko:K02036	cft:CFF04554_0184
ko:K07112	cft:CFF04554_0187
ko:K01163	cft:CFF04554_0189
ko:K03750	cft:CFF04554_0190
ko:K03406	cft:CFF04554_0191
ko:K03635	cft:CFF04554_0193
ko:K03636	cft:CFF04554_0194
ko:K01703	cft:CFF04554_0196
ko:K03752	cft:CFF04554_0197
ko:K01058	cft:CFF04554_0198
ko:K01689	cft:CFF04554_0201
ko:K11785	cft:CFF04554_0203
ko:K02420	cft:CFF04554_0204
ko:K00075	cft:CFF04554_0205
ko:K00981	cft:CFF04554_0209
ko:K00099	cft:CFF04554_0210
ko:K01246	cft:CFF04554_0211
ko:K02824	cft:CFF04554_0212
ko:K01409	cft:CFF04554_0215
ko:K00791	cft:CFF04554_0217
ko:K03179	cft:CFF04554_0218
ko:K03639	cft:CFF04554_0221
ko:K08325	cft:CFF04554_0223
ko:K01737	cft:CFF04554_0224
ko:K09761	cft:CFF04554_0227
ko:K02556	cft:CFF04554_0230
ko:K02557	cft:CFF04554_0231
ko:K00940	cft:CFF04554_0233
ko:K03582	cft:CFF04554_0385
ko:K02871	cft:CFF04554_0386
ko:K02996	cft:CFF04554_0387
ko:K03286	cft:CFF04554_0388
ko:K03442	cft:CFF04554_0389
ko:K01091	cft:CFF04554_0390
ko:K03737	cft:CFF04554_0391
ko:K01999	cft:CFF04554_0398
ko:K01997	cft:CFF04554_0399
ko:K01998	cft:CFF04554_0400
ko:K01995	cft:CFF04554_0401
ko:K01996	cft:CFF04554_0402
ko:K01095	cft:CFF04554_0405
ko:K00958	cft:CFF04554_0406
ko:K12506	cft:CFF04554_0408
ko:K03147	cft:CFF04554_0409
ko:K03593	cft:CFF04554_0410
ko:K00674	cft:CFF04554_0411
ko:K00245	cft:CFF04554_0413
ko:K00244	cft:CFF04554_0414
ko:K00246	cft:CFF04554_0415
ko:K13292	cft:CFF04554_0416
ko:K02346	cft:CFF04554_0418
ko:K03837	cft:CFF04554_0422
ko:K03768	cft:CFF04554_0424
ko:K11103	cft:CFF04554_0425
ko:K07812	cft:CFF04554_0427
ko:K03532	cft:CFF04554_0428
ko:K03673	cft:CFF04554_0431
ko:K03611	cft:CFF04554_0432
ko:K04485	cft:CFF04554_0490
ko:K03110	cft:CFF04554_0491
ko:K01934	cft:CFF04554_0493
ko:K02237	cft:CFF04554_0502
ko:K00833	cft:CFF04554_0504
ko:K10773	cft:CFF04554_0505
ko:K01624	cft:CFF04554_0507
ko:K02557	cft:CFF04554_0509
ko:K00013	cft:CFF04554_0511
ko:K02406	cft:CFF04554_0512
ko:K03086	cft:CFF04554_0514
ko:K02392	cft:CFF04554_0515
ko:K02392	cft:CFF04554_0516
ko:K07243	cft:CFF04554_0517
ko:K07230	cft:CFF04554_0518
ko:K02004	cft:CFF04554_0520
ko:K00208	cft:CFF04554_1439
ko:K01803	cft:CFF04554_1440
ko:K00927	cft:CFF04554_1441
ko:K00134	cft:CFF04554_1442
ko:K00969	cft:CFF04554_1443
ko:K09710	cft:CFF04554_1444
ko:K01887	cft:CFF04554_1447
ko:K03116	cft:CFF04554_1448
ko:K00942	cft:CFF04554_1449
ko:K02421	cft:CFF04554_1451
ko:K02003	cft:CFF04554_1453
ko:K02357	cft:CFF04554_1454
ko:K02967	cft:CFF04554_1455
ko:K05810	cft:CFF04554_1457
ko:K00793	cft:CFF04554_1458
ko:K03495	cft:CFF04554_1459
ko:K00411	cft:CFF04554_1460
ko:K00412	cft:CFF04554_1461
ko:K00413	cft:CFF04554_1462
ko:K01599	cft:CFF04554_1472
ko:K00133	cft:CFF04554_1474
ko:K09860	cft:CFF04554_1477
ko:K02469	cft:CFF04554_1478
ko:K02242	cft:CFF04554_1484
ko:K07286	cft:CFF04554_1485
ko:K01736	cft:CFF04554_1737
ko:K03685	cft:CFF04554_1738
ko:K03469	cft:CFF04554_1739
ko:K00566	cft:CFF04554_1742
ko:K07084	cft:CFF04554_1745
ko:K01687	cft:CFF04554_1748
ko:K01937	cft:CFF04554_1750
ko:K07462	cft:CFF04554_1751
ko:K03313	cft:CFF04554_1752
ko:K06159	cft:CFF04554_1753
ko:K07226	cft:CFF04554_1754
ko:K02014	cft:CFF04554_1756
ko:K02015	cft:CFF04554_1757
ko:K02013	cft:CFF04554_1758
ko:K02016	cft:CFF04554_1759
ko:K03781	cft:CFF04554_1761
ko:K02390	cft:CFF04554_1764
ko:K03796	cft:CFF04554_1765
ko:K01778	cft:CFF04554_1766
ko:K00859	cft:CFF04554_1767
ko:K09022	cft:CFF04554_1768
ko:K01933	cft:CFF04554_1769
ko:K07001	cft:CFF04554_1770
ko:K07478	cft:CFF04554_1771
ko:K11065	cft:CFF04554_1773
ko:K00762	cft:CFF04554_1775
ko:K02838	cft:CFF04554_1776
ko:K03075	cft:CFF04554_1778
ko:K02004	cft:CFF04554_0521
ko:K02003	cft:CFF04554_0522
ko:K12251	cft:CFF04554_0526
ko:K03312	cft:CFF04554_0527
ko:K07043	cft:CFF04554_0528
ko:K15738	cft:CFF04554_0533
ko:K03308	cft:CFF04554_0534
ko:K06013	cft:CFF04554_0535
ko:K02493	cft:CFF04554_0536
ko:K02237	cft:CFF04554_0589
ko:K03743	cft:CFF04554_0601
ko:K01870	cft:CFF04554_0603
ko:K02433	cft:CFF04554_0604
ko:K00088	cft:CFF04554_0605
ko:K00641	cft:CFF04554_0606
ko:K03602	cft:CFF04554_0607
ko:K01924	cft:CFF04554_0609
ko:K02049	cft:CFF04554_0612
ko:K02050	cft:CFF04554_0613
ko:K02051	cft:CFF04554_0614
ko:K07456	cft:CFF04554_0617
ko:K06895	cft:CFF04554_0619
ko:K01439	cft:CFF04554_0620
ko:K00116	cft:CFF04554_0621
ko:K00873	cft:CFF04554_0623
ko:K03655	cft:CFF04554_0625
ko:K01626	cft:CFF04554_0626
ko:K00147	cft:CFF04554_0627
ko:K00384	cft:CFF04554_0628
ko:K06940	cft:CFF04554_0631
ko:K01609	cft:CFF04554_0633
ko:K09861	cft:CFF04554_0635
ko:K04095	cft:CFF04554_0640
ko:K01754	cft:CFF04554_0751
ko:K06173	cft:CFF04554_0754
ko:K07091	cft:CFF04554_0755
ko:K02654	cft:CFF04554_0756
ko:K00806	cft:CFF04554_0757
ko:K13038	cft:CFF04554_0759
ko:K04042	cft:CFF04554_0760
ko:K02419	cft:CFF04554_0761
ko:K07088	cft:CFF04554_0763
ko:K03517	cft:CFF04554_0764
ko:K13888	cft:CFF04554_0765
ko:K05685	cft:CFF04554_0766
ko:K02238	cft:CFF04554_0768
ko:K02484	cft:CFF04554_0769
ko:K05516	cft:CFF04554_0772
ko:K13640	cft:CFF04554_0773
ko:K03455	cft:CFF04554_0774
ko:K11105	cft:CFF04554_0775
ko:K07090	cft:CFF04554_0777
ko:K02108	cft:CFF04554_0778
ko:K00788	cft:CFF04554_0779
ko:K02434	cft:CFF04554_0781
ko:K00057	cft:CFF04554_0782
ko:K01207	cft:CFF04554_0783
ko:K05786	cft:CFF04554_0785
ko:K10010	cft:CFF04554_0786
ko:K10009	cft:CFF04554_0787
ko:K02424	cft:CFF04554_0788
ko:K00995	cft:CFF04554_0789
ko:K00076	cft:CFF04554_0790
ko:K01714	cft:CFF04554_0791
ko:K00254	cft:CFF04554_0793
ko:K11085	cft:CFF04554_0794
ko:K01883	cft:CFF04554_0795
ko:K03980	cft:CFF04554_0796
ko:K11927	cft:CFF04554_0797
ko:K03797	cft:CFF04554_0945
ko:K01923	cft:CFF04554_0946
ko:K01952	cft:CFF04554_0947
