ko:K12340	yep:YE105_C3363
ko:K00246	yep:YE105_C0384
ko:K00245	yep:YE105_C0385
ko:K00244	yep:YE105_C0386
ko:K04568	yep:YE105_C0387
ko:K01613	yep:YE105_C0389
ko:K06949	yep:YE105_C0390
ko:K13288	yep:YE105_C0391
ko:K06925	yep:YE105_C0394
ko:K01448	yep:YE105_C0395
ko:K03572	yep:YE105_C0396
ko:K00791	yep:YE105_C0397
ko:K03666	yep:YE105_C0398
ko:K03665	yep:YE105_C0399
ko:K04088	yep:YE105_C0400
ko:K04087	yep:YE105_C0401
ko:K09937	yep:YE105_C0402
ko:K01939	yep:YE105_C0403
ko:K13771	yep:YE105_C0404
ko:K12573	yep:YE105_C0405
ko:K03218	yep:YE105_C0406
ko:K09456	yep:YE105_C0407
ko:K07665	yep:YE105_C1210
ko:K06889	yep:YE105_C1211
ko:K03182	yep:YE105_C1216
ko:K07313	yep:YE105_C1221
ko:K03704	yep:YE105_C1225
ko:K06199	yep:YE105_C1226
ko:K03425	yep:YE105_C1228
ko:K03644	yep:YE105_C1229
ko:K03801	yep:YE105_C1230
ko:K09158	yep:YE105_C1231
ko:K07258	yep:YE105_C1232
ko:K03642	yep:YE105_C1233
ko:K05837	yep:YE105_C1234
ko:K05515	yep:YE105_C1235
ko:K00783	yep:YE105_C1236
ko:K09710	yep:YE105_C1237
ko:K00969	yep:YE105_C1238
ko:K02340	yep:YE105_C1239
ko:K03643	yep:YE105_C1240
ko:K01869	yep:YE105_C1241
ko:K10004	yep:YE105_C1243
ko:K10002	yep:YE105_C1244
ko:K10003	yep:YE105_C1245
ko:K10001	yep:YE105_C1246
ko:K07006	yep:YE105_C1247
ko:K03820	yep:YE105_C1248
ko:K06189	yep:YE105_C1249
ko:K07042	yep:YE105_C1250
ko:K06217	yep:YE105_C1251
ko:K06168	yep:YE105_C1252
ko:K03184	yep:YE105_C1253
ko:K01953	yep:YE105_C1254
ko:K02566	yep:YE105_C1255
ko:K09001	yep:YE105_C2050
ko:K00275	yep:YE105_C2052
ko:K01866	yep:YE105_C2053
ko:K00868	yep:YE105_C2054
ko:K00799	yep:YE105_C2055
ko:K06996	yep:YE105_C2058
ko:K03305	yep:YE105_C2059
ko:K03974	yep:YE105_C2069
ko:K03969	yep:YE105_C2070
ko:K03970	yep:YE105_C2071
ko:K03971	yep:YE105_C2073
ko:K06918	yep:YE105_C2074
ko:K08990	yep:YE105_C2075
ko:K03721	yep:YE105_C2078
ko:K11065	yep:YE105_C2079
ko:K14054	yep:YE105_C2081
ko:K14058	yep:YE105_C2084
ko:K01771	yep:YE105_C2085
ko:K03737	yep:YE105_C2086
ko:K07507	yep:YE105_C2088
ko:K03778	yep:YE105_C2090
ko:K09978	yep:YE105_C2093
ko:K01118	yep:YE105_C2094
ko:K03578	yep:YE105_C2095
ko:K04775	yep:YE105_C2098
ko:K01299	yep:YE105_C2100
ko:K07639	yep:YE105_C2101
ko:K07661	yep:YE105_C2102
ko:K00845	yep:YE105_C2887
ko:K03322	yep:YE105_C2893
ko:K11535	yep:YE105_C2894
ko:K01885	yep:YE105_C2895
ko:K09962	yep:YE105_C2896
ko:K09954	yep:YE105_C2898
ko:K01972	yep:YE105_C2899
ko:K03528	yep:YE105_C2900
ko:K06203	yep:YE105_C2901
ko:K01738	yep:YE105_C2902
ko:K02784	yep:YE105_C2903
ko:K08483	yep:YE105_C2904
ko:K02777	yep:YE105_C2905
ko:K13888	yep:YE105_C2908
ko:K05685	yep:YE105_C2909
ko:K12339	yep:YE105_C2910
ko:K02045	yep:YE105_C2911
ko:K02047	yep:YE105_C2912
ko:K02046	yep:YE105_C2913
ko:K02048	yep:YE105_C2914
ko:K03290	yep:YE105_C2915
ko:K00885	yep:YE105_C2918
ko:K01788	yep:YE105_C2919
ko:K01639	yep:YE105_C2920
ko:K07223	yep:YE105_C2922
ko:K00228	yep:YE105_C2926
ko:K09768	yep:YE105_C2927
ko:K00029	yep:YE105_C2929
ko:K02569	yep:YE105_C2931
ko:K02568	yep:YE105_C2932
ko:K02567	yep:YE105_C2933
ko:K02570	yep:YE105_C2934
ko:K02572	yep:YE105_C2935
ko:K00703	yep:YE105_C3729
ko:K00975	yep:YE105_C3730
ko:K02438	yep:YE105_C3731
ko:K00700	yep:YE105_C3732
ko:K02478	yep:YE105_C3733
ko:K01575	yep:YE105_C3735
ko:K01652	yep:YE105_C3736
ko:K00133	yep:YE105_C3737
ko:K00851	yep:YE105_C3739
ko:K06155	yep:YE105_C3740
ko:K06145	yep:YE105_C3741
ko:K06911	yep:YE105_C3742
ko:K03825	yep:YE105_C3743
ko:K03335	yep:YE105_C3744
ko:K00010	yep:YE105_C3745
ko:K03336	yep:YE105_C3746
ko:K03338	yep:YE105_C3747
ko:K03337	yep:YE105_C3749
ko:K00140	yep:YE105_C3750
ko:K01676	yep:YE105_C3756
ko:K04835	yep:YE105_C3763
ko:K07007	yep:YE105_C3767
ko:K06144	yep:YE105_C3769
ko:K06149	yep:YE105_C3770
ko:K00262	yep:YE105_C3771
ko:K01414	yep:YE105_C3774
ko:K07115	yep:YE105_C3775
ko:K00383	yep:YE105_C3776
ko:K07058	yep:YE105_C3778
ko:K01521	yep:YE105_C3779
ko:K07290	yep:YE105_C3780
ko:K01821	yep:YE105_C3782
ko:K00874	yep:YE105_C3783
ko:K06889	yep:YE105_C0409
ko:K02990	yep:YE105_C0411
ko:K02686	yep:YE105_C0412
ko:K02963	yep:YE105_C0413
ko:K02939	yep:YE105_C0414
ko:K07269	yep:YE105_C0416
ko:K03773	yep:YE105_C0417
ko:K07322	yep:YE105_C0418
ko:K01119	yep:YE105_C0419
ko:K07109	yep:YE105_C0421
ko:K07304	yep:YE105_C0424
ko:K07278	yep:YE105_C0426
ko:K09800	yep:YE105_C0427
ko:K01507	yep:YE105_C0429
ko:K03841	yep:YE105_C0431
ko:K02558	yep:YE105_C0432
ko:K03402	yep:YE105_C0434
ko:K00024	yep:YE105_C0435
ko:K07724	yep:YE105_C0436
ko:K02523	yep:YE105_C0438
ko:K02888	yep:YE105_C0439
ko:K02899	yep:YE105_C0440
ko:K03979	yep:YE105_C0442
ko:K07643	yep:YE105_C0443
ko:K07259	yep:YE105_C0445
ko:K03624	yep:YE105_C0446
ko:K07574	yep:YE105_C0447
ko:K02427	yep:YE105_C0448
ko:K03798	yep:YE105_C0449
ko:K00796	yep:YE105_C0450
ko:K03431	yep:YE105_C0451
ko:K03075	yep:YE105_C0452
ko:K09748	yep:YE105_C0453
ko:K02600	yep:YE105_C0454
ko:K02519	yep:YE105_C0455
ko:K02834	yep:YE105_C0456
ko:K03177	yep:YE105_C0457
ko:K02956	yep:YE105_C0458
ko:K00962	yep:YE105_C0459
ko:K05803	yep:YE105_C0460
ko:K05592	yep:YE105_C0461
ko:K02565	yep:YE105_C1256
ko:K01443	yep:YE105_C1257
ko:K02564	yep:YE105_C1258
ko:K02802	yep:YE105_C1259
ko:K02803	yep:YE105_C1259
ko:K02804	yep:YE105_C1259
ko:K01886	yep:YE105_C1260
ko:K03711	yep:YE105_C1263
ko:K03839	yep:YE105_C1264
ko:K03406	yep:YE105_C1265
ko:K03645	yep:YE105_C1268
ko:K08978	yep:YE105_C1271
ko:K07667	yep:YE105_C1272
ko:K07646	yep:YE105_C1273
ko:K01548	yep:YE105_C1274
ko:K01547	yep:YE105_C1275
ko:K01546	yep:YE105_C1276
ko:K07389	yep:YE105_C1279
ko:K01669	yep:YE105_C1282
ko:K07160	yep:YE105_C1287
ko:K01304	yep:YE105_C1290
ko:K01647	yep:YE105_C1291
ko:K00241	yep:YE105_C1292
ko:K00242	yep:YE105_C1293
ko:K00239	yep:YE105_C1294
ko:K00240	yep:YE105_C1295
ko:K00164	yep:YE105_C1296
ko:K00658	yep:YE105_C1297
ko:K01903	yep:YE105_C1298
ko:K01902	yep:YE105_C1299
ko:K00425	yep:YE105_C1300
ko:K00426	yep:YE105_C1301
ko:K07107	yep:YE105_C1303
ko:K03562	yep:YE105_C1304
ko:K03560	yep:YE105_C1305
ko:K03646	yep:YE105_C1306
ko:K08303	yep:YE105_C0468
ko:K03824	yep:YE105_C0470
ko:K07461	yep:YE105_C0471
ko:K03756	yep:YE105_C0472
ko:K01581	yep:YE105_C0473
ko:K02027	yep:YE105_C0476
ko:K02025	yep:YE105_C0477
ko:K02026	yep:YE105_C0478
ko:K09979	yep:YE105_C0481
ko:K06167	yep:YE105_C0485
ko:K05774	yep:YE105_C0486
ko:K06958	yep:YE105_C3470
ko:K08485	yep:YE105_C3471
ko:K00609	yep:YE105_C3473
ko:K00610	yep:YE105_C3474
ko:K09022	yep:YE105_C3475
ko:K07395	yep:YE105_C3479
ko:K01226	yep:YE105_C3480
ko:K02818	yep:YE105_C3481
ko:K02819	yep:YE105_C3481
ko:K03485	yep:YE105_C3482
ko:K01531	yep:YE105_C3483
ko:K01042	yep:YE105_C3489
ko:K01465	yep:YE105_C3490
ko:K06140	yep:YE105_C3496
ko:K03592	yep:YE105_C3499
ko:K09889	yep:YE105_C3500
ko:K03623	yep:YE105_C3501
ko:K00135	yep:YE105_C3503
ko:K02822	yep:YE105_C2779
ko:K03475	yep:YE105_C2780
ko:K07095	yep:YE105_C2782
ko:K07071	yep:YE105_C2784
ko:K09823	yep:YE105_C3573
ko:K01356	yep:YE105_C3575
ko:K00901	yep:YE105_C3576
ko:K00631	yep:YE105_C3577
ko:K03179	yep:YE105_C3578
ko:K03181	yep:YE105_C3579
ko:K05775	yep:YE105_C3581
ko:K02024	yep:YE105_C3582
ko:K10111	yep:YE105_C3583
ko:K10108	yep:YE105_C3584
ko:K10110	yep:YE105_C3586
ko:K13256	yep:YE105_C3587
ko:K01810	yep:YE105_C3588
ko:K00928	yep:YE105_C3589
ko:K03453	yep:YE105_C3590
ko:K11017	yep:YE105_C3591
ko:K11016	yep:YE105_C3592
ko:K00548	yep:YE105_C3593
ko:K13641	yep:YE105_C3594
ko:K00906	yep:YE105_C3595
ko:K01637	yep:YE105_C3596
ko:K01638	yep:YE105_C3597
ko:K00651	yep:YE105_C3598
ko:K00014	yep:YE105_C3602
ko:K07566	yep:YE105_C3603
ko:K07479	yep:YE105_C3604
ko:K03747	yep:YE105_C3605
ko:K04096	yep:YE105_C3606
ko:K01462	yep:YE105_C3607
ko:K00604	yep:YE105_C3608
ko:K03500	yep:YE105_C3609
ko:K03499	yep:YE105_C3610
ko:K03282	yep:YE105_C3611
ko:K09890	yep:YE105_C3612
ko:K13638	yep:YE105_C3613
ko:K02879	yep:YE105_C3615
ko:K03040	yep:YE105_C3616
ko:K02986	yep:YE105_C3617
ko:K02948	yep:YE105_C3618
ko:K02952	yep:YE105_C3619
ko:K07738	yep:YE105_C1102
ko:K11752	yep:YE105_C1103
ko:K00794	yep:YE105_C1104
ko:K03625	yep:YE105_C1105
ko:K00946	yep:YE105_C1106
ko:K01095	yep:YE105_C1107
ko:K01662	yep:YE105_C1109
ko:K00795	yep:YE105_C1110
ko:K03602	yep:YE105_C1111
ko:K03151	yep:YE105_C1112
ko:K03152	yep:YE105_C1113
ko:K00077	yep:YE105_C1114
ko:K09767	yep:YE105_C1115
ko:K02300	yep:YE105_C1118
ko:K02299	yep:YE105_C1119
ko:K02298	yep:YE105_C1120
ko:K02297	yep:YE105_C1121
ko:K08218	yep:YE105_C1123
ko:K07286	yep:YE105_C1124
ko:K05527	yep:YE105_C1125
ko:K03545	yep:YE105_C1126
ko:K01358	yep:YE105_C1127
ko:K03544	yep:YE105_C1128
ko:K01338	yep:YE105_C1129
ko:K03530	yep:YE105_C1130
ko:K03770	yep:YE105_C1131
ko:K02237	yep:YE105_C1132
ko:K12500	yep:YE105_C1133
ko:K06920	yep:YE105_C1134
ko:K11938	yep:YE105_C1136
ko:K01738	yep:YE105_C1137
ko:K05800	yep:YE105_C1138
ko:K04752	yep:YE105_C1141
ko:K03320	yep:YE105_C1142
ko:K10805	yep:YE105_C1143
ko:K09914	yep:YE105_C1144
ko:K07443	yep:YE105_C1145
ko:K05839	yep:YE105_C1146
ko:K02074	yep:YE105_C1150
ko:K02077	yep:YE105_C1152
ko:K02919	yep:YE105_C1153
ko:K03808	yep:YE105_C1948
ko:K03607	yep:YE105_C1950
ko:K03797	yep:YE105_C1951
ko:K03799	yep:YE105_C1952
ko:K08169	yep:YE105_C1954
ko:K01730	yep:YE105_C1955
ko:K11066	yep:YE105_C1957
ko:K06956	yep:YE105_C1958
ko:K07038	yep:YE105_C1959
ko:K10192	yep:YE105_C1961
ko:K10194	yep:YE105_C1963
ko:K10193	yep:YE105_C1964
ko:K01815	yep:YE105_C1968
ko:K11264	yep:YE105_C1974
ko:K07588	yep:YE105_C1975
ko:K01847	yep:YE105_C1976
ko:K11606	yep:YE105_C1978
ko:K11605	yep:YE105_C1979
ko:K11607	yep:YE105_C1980
ko:K11604	yep:YE105_C1981
ko:K08308	yep:YE105_C1982
ko:K05595	yep:YE105_C1983
ko:K07150	yep:YE105_C1986
ko:K01868	yep:YE105_C1989
ko:K02520	yep:YE105_C1990
ko:K02916	yep:YE105_C1991
ko:K02887	yep:YE105_C1992
ko:K01889	yep:YE105_C1993
ko:K01890	yep:YE105_C1994
ko:K04764	yep:YE105_C1995
ko:K10017	yep:YE105_C2786
ko:K10015	yep:YE105_C2787
ko:K10016	yep:YE105_C2788
ko:K10014	yep:YE105_C2789
ko:K03186	yep:YE105_C2790
ko:K00764	yep:YE105_C2791
ko:K03558	yep:YE105_C2792
ko:K03749	yep:YE105_C2793
ko:K11754	yep:YE105_C2794
ko:K01963	yep:YE105_C2795
ko:K03975	yep:YE105_C2796
ko:K06173	yep:YE105_C2797
ko:K03473	yep:YE105_C2799
ko:K01085	yep:YE105_C2810
ko:K02760	yep:YE105_C2812
ko:K02761	yep:YE105_C2813
ko:K02759	yep:YE105_C2815
ko:K02024	yep:YE105_C2816
ko:K01779	yep:YE105_C2817
ko:K00647	yep:YE105_C2819
ko:K09906	yep:YE105_C2822
ko:K07090	yep:YE105_C2823
ko:K07261	yep:YE105_C2824
ko:K01736	yep:YE105_C2825
ko:K07320	yep:YE105_C2826
ko:K08296	yep:YE105_C2828
ko:K01782	yep:YE105_C2829
ko:K06076	yep:YE105_C2832
ko:K04754	yep:YE105_C2833
ko:K02200	yep:YE105_C2835
ko:K02199	yep:YE105_C2836
ko:K02198	yep:YE105_C2837
ko:K03076	yep:YE105_C3620
ko:K02876	yep:YE105_C3621
ko:K02907	yep:YE105_C3622
ko:K02988	yep:YE105_C3623
ko:K02881	yep:YE105_C3624
ko:K02933	yep:YE105_C3625
ko:K02994	yep:YE105_C3626
ko:K02954	yep:YE105_C3627
ko:K02931	yep:YE105_C3628
ko:K02895	yep:YE105_C3629
ko:K02874	yep:YE105_C3630
ko:K02904	yep:YE105_C3631
ko:K02878	yep:YE105_C3632
ko:K02982	yep:YE105_C3633
ko:K02890	yep:YE105_C3634
ko:K02965	yep:YE105_C3635
ko:K02886	yep:YE105_C3636
ko:K02892	yep:YE105_C3637
ko:K02926	yep:YE105_C3638
ko:K02906	yep:YE105_C3639
ko:K02946	yep:YE105_C3640
ko:K03594	yep:YE105_C3641
ko:K02192	yep:YE105_C3642
ko:K02358	yep:YE105_C3643
ko:K02355	yep:YE105_C3644
ko:K02992	yep:YE105_C3645
ko:K02950	yep:YE105_C3646
ko:K07237	yep:YE105_C3647
ko:K07236	yep:YE105_C3648
ko:K07235	yep:YE105_C3649
ko:K03772	yep:YE105_C3651
ko:K03745	yep:YE105_C3652
ko:K03775	yep:YE105_C3653
ko:K07070	yep:YE105_C3654
ko:K11747	yep:YE105_C3655
ko:K06158	yep:YE105_C3657
ko:K03119	yep:YE105_C3660
ko:K07019	yep:YE105_C3666
ko:K09898	yep:YE105_C3667
ko:K00855	yep:YE105_C3668
ko:K07397	yep:YE105_C3669
ko:K10914	yep:YE105_C3670
ko:K00821	yep:YE105_C3672
ko:K02909	yep:YE105_C1154
ko:K03577	yep:YE105_C1162
ko:K06039	yep:YE105_C1163
ko:K05802	yep:YE105_C1164
ko:K04067	yep:YE105_C1166
ko:K09790	yep:YE105_C1167
ko:K00759	yep:YE105_C1168
ko:K02343	yep:YE105_C1169
ko:K09747	yep:YE105_C1170
ko:K06187	yep:YE105_C1171
ko:K04079	yep:YE105_C1172
ko:K00939	yep:YE105_C1173
ko:K01772	yep:YE105_C1174
ko:K03328	yep:YE105_C1175
ko:K13007	yep:YE105_C1180
ko:K01784	yep:YE105_C1183
ko:K00892	yep:YE105_C1184
ko:K03455	yep:YE105_C1185
ko:K08223	yep:YE105_C1186
ko:K11751	yep:YE105_C1187
ko:K09973	yep:YE105_C1189
ko:K07340	yep:YE105_C1192
ko:K05838	yep:YE105_C1194
ko:K10804	yep:YE105_C1196
ko:K02003	yep:YE105_C1197
ko:K02004	yep:YE105_C1198
ko:K01589	yep:YE105_C1199
ko:K01588	yep:YE105_C1200
ko:K03269	yep:YE105_C1201
ko:K03768	yep:YE105_C1202
ko:K01883	yep:YE105_C1203
ko:K01491	yep:YE105_C1205
ko:K06073	yep:YE105_C1998
ko:K00432	yep:YE105_C1999
ko:K06074	yep:YE105_C2000
ko:K07806	yep:YE105_C2001
ko:K10012	yep:YE105_C2002
ko:K10011	yep:YE105_C2003
ko:K13014	yep:YE105_C2004
ko:K07264	yep:YE105_C2005
ko:K12962	yep:YE105_C2006
ko:K12963	yep:YE105_C2007
ko:K13695	yep:YE105_C2008
ko:K03800	yep:YE105_C2009
ko:K08997	yep:YE105_C2010
ko:K01626	yep:YE105_C2015
ko:K09773	yep:YE105_C2017
ko:K01007	yep:YE105_C2016
ko:K05997	yep:YE105_C2021
ko:K09014	yep:YE105_C2022
ko:K09013	yep:YE105_C2023
ko:K09015	yep:YE105_C2024
ko:K11717	yep:YE105_C2025
ko:K02426	yep:YE105_C2026
ko:K00873	yep:YE105_C2028
ko:K03327	yep:YE105_C2029
ko:K00793	yep:YE105_C2030
ko:K00574	yep:YE105_C2031
ko:K03981	yep:YE105_C0885
ko:K07462	yep:YE105_C0886
ko:K02836	yep:YE105_C0887
ko:K04567	yep:YE105_C0888
ko:K13651	yep:YE105_C0894
ko:K02557	yep:YE105_C1680
ko:K03407	yep:YE105_C1681
ko:K03408	yep:YE105_C1682
ko:K05877	yep:YE105_C1684
ko:K00575	yep:YE105_C1685
ko:K03412	yep:YE105_C1686
ko:K03413	yep:YE105_C1687
ko:K03414	yep:YE105_C1688
ko:K02401	yep:YE105_C1690
ko:K02400	yep:YE105_C1691
ko:K03516	yep:YE105_C1692
ko:K02399	yep:YE105_C1694
ko:K02398	yep:YE105_C1695
ko:K02386	yep:YE105_C1696
ko:K02387	yep:YE105_C1697
ko:K02388	yep:YE105_C1698
ko:K02389	yep:YE105_C1699
ko:K02390	yep:YE105_C1700
ko:K02391	yep:YE105_C1701
ko:K02392	yep:YE105_C1702
ko:K02393	yep:YE105_C1703
ko:K02394	yep:YE105_C1704
ko:K02395	yep:YE105_C1705
ko:K02396	yep:YE105_C1706
ko:K02397	yep:YE105_C1707
ko:K02421	yep:YE105_C1708
ko:K02420	yep:YE105_C1709
ko:K02419	yep:YE105_C1710
ko:K02418	yep:YE105_C1711
ko:K02417	yep:YE105_C1712
ko:K02416	yep:YE105_C1713
ko:K02415	yep:YE105_C1714
ko:K02414	yep:YE105_C1715
ko:K02413	yep:YE105_C1716
ko:K02412	yep:YE105_C1717
ko:K02411	yep:YE105_C1718
ko:K02410	yep:YE105_C1719
ko:K02409	yep:YE105_C1720
ko:K02408	yep:YE105_C1721
ko:K01247	yep:YE105_C1726
ko:K02423	yep:YE105_C1729
ko:K02422	yep:YE105_C1730
ko:K02407	yep:YE105_C1731
ko:K02406	yep:YE105_C1732
ko:K02406	yep:YE105_C1733
ko:K04013	yep:YE105_C2528
ko:K03385	yep:YE105_C2529
ko:K11179	yep:YE105_C2531
ko:K01512	yep:YE105_C2532
ko:K06969	yep:YE105_C2535
ko:K11940	yep:YE105_C2536
ko:K06929	yep:YE105_C2537
ko:K09909	yep:YE105_C2538
ko:K01734	yep:YE105_C2539
ko:K03658	yep:YE105_C2540
ko:K07343	yep:YE105_C2543
ko:K03286	yep:YE105_C2545
ko:K09911	yep:YE105_C2546
ko:K04770	yep:YE105_C2547
ko:K01716	yep:YE105_C2548
ko:K09458	yep:YE105_C2551
ko:K07224	yep:YE105_C1749
ko:K03809	yep:YE105_C1751
ko:K09024	yep:YE105_C1754
