ko:K02433	ctra:BN442_0031
ko:K02493	ctra:BN442_0241
ko:K03106	ctra:BN442_0251
ko:K02959	ctra:BN442_0261
ko:K00554	ctra:BN442_0271
ko:K02884	ctra:BN442_0281
ko:K03470	ctra:BN442_0291
ko:K00942	ctra:BN442_0301
ko:K01874	ctra:BN442_0321
ko:K03581	ctra:BN442_0331
ko:K01494	ctra:BN442_0391
ko:K03551	ctra:BN442_0411
ko:K01255	ctra:BN442_0461
ko:K02340	ctra:BN442_0481
ko:K07056	ctra:BN442_0491
ko:K00164	ctra:BN442_0551
ko:K00658	ctra:BN442_0561
ko:K05810	ctra:BN442_0571
ko:K03526	ctra:BN442_0581
ko:K02400	ctra:BN442_0611
ko:K02405	ctra:BN442_0621
ko:K01866	ctra:BN442_0631
ko:K03596	ctra:BN442_0651
ko:K03301	ctra:BN442_0661
ko:K00099	ctra:BN442_0721
ko:K03629	ctra:BN442_0751
ko:K02338	ctra:BN442_0761
ko:K03664	ctra:BN442_0771
ko:K03734	ctra:BN442_0781
ko:K01491	ctra:BN442_0791
ko:K02902	ctra:BN442_0871
ko:K00705	ctra:BN442_0881
ko:K04058	ctra:BN442_0901
ko:K03230	ctra:BN442_0911
ko:K03229	ctra:BN442_0921
ko:K06942	ctra:BN442_0931
ko:K11753	ctra:BN442_0941
ko:K02834	ctra:BN442_0961
ko:K02519	ctra:BN442_0971
ko:K02600	ctra:BN442_0981
ko:K02945	ctra:BN442_0991
ko:K00384	ctra:BN442_1001
ko:K00997	ctra:BN442_1011
ko:K00208	ctra:BN442_1051
ko:K03575	ctra:BN442_1081
ko:K04077	ctra:BN442_1111
ko:K04078	ctra:BN442_1121
ko:K08602	ctra:BN442_1131
ko:K03695	ctra:BN442_1141
ko:K01783	ctra:BN442_1221
ko:K02356	ctra:BN442_1231
ko:K02160	ctra:BN442_1241
ko:K01961	ctra:BN442_1251
ko:K02871	ctra:BN442_1261
ko:K02996	ctra:BN442_1271
ko:K02029	ctra:BN442_1301
ko:K07058	ctra:BN442_1331
ko:K06999	ctra:BN442_1371
ko:K07566	ctra:BN442_1381
ko:K09125	ctra:BN442_1411
ko:K07039	ctra:BN442_1421
ko:K01972	ctra:BN442_1471
ko:K02913	ctra:BN442_1511
ko:K09808	ctra:BN442_1521
ko:K09810	ctra:BN442_1531
ko:K03720	ctra:BN442_1681
ko:K01696	ctra:BN442_1691
ko:K01695	ctra:BN442_1701
ko:K03611	ctra:BN442_1751
ko:K00979	ctra:BN442_1811
ko:K01937	ctra:BN442_1821
ko:K07447	ctra:BN442_1831
ko:K00036	ctra:BN442_1841
ko:K01057	ctra:BN442_1851
ko:K02343	ctra:BN442_1861
ko:K00943	ctra:BN442_1871
ko:K02469	ctra:BN442_1881
ko:K02470	ctra:BN442_1891
ko:K00773	ctra:BN442_1921
ko:K06213	ctra:BN442_1931
ko:K15580	ctra:BN442_1971
ko:K15581	ctra:BN442_1981
ko:K03319	ctra:BN442_2031
ko:K00850	ctra:BN442_2041
ko:K00895	ctra:BN442_2061
ko:K02527	ctra:BN442_2071
ko:K01869	ctra:BN442_2081
ko:K01845	ctra:BN442_2091
ko:K07735	ctra:BN442_2101
ko:K08999	ctra:BN442_2111
ko:K01807	ctra:BN442_2121
ko:K03787	ctra:BN442_2171
ko:K03179	ctra:BN442_2181
ko:K03186	ctra:BN442_2191
ko:K03308	ctra:BN442_2311
ko:K02078	ctra:BN442_2361
ko:K00645	ctra:BN442_2381
ko:K00648	ctra:BN442_2391
ko:K06187	ctra:BN442_2401
ko:K07277	ctra:BN442_2411
ko:K06142	ctra:BN442_2421
ko:K02536	ctra:BN442_2431
ko:K00161	ctra:BN442_2451
ko:K00162	ctra:BN442_2461
ko:K00627	ctra:BN442_2471
ko:K00688	ctra:BN442_2481
ko:K02313	ctra:BN442_2501
ko:K03217	ctra:BN442_2511
ko:K04487	ctra:BN442_2581
ko:K07083	ctra:BN442_2621
ko:K01962	ctra:BN442_2651
ko:K01448	ctra:BN442_2681
ko:K01928	ctra:BN442_2691
ko:K03587	ctra:BN442_2701
ko:K03438	ctra:BN442_2721
ko:K02313	ctra:BN442_2751
ko:K00347	ctra:BN442_2781
ko:K00348	ctra:BN442_2791
ko:K00349	ctra:BN442_2801
ko:K00350	ctra:BN442_2811
ko:K02437	ctra:BN442_2821
ko:K03800	ctra:BN442_2851
ko:K03696	ctra:BN442_2861
ko:K00566	ctra:BN442_2871
ko:K01963	ctra:BN442_2931
ko:K04564	ctra:BN442_2941
ko:K03685	ctra:BN442_2971
ko:K04485	ctra:BN442_2981
ko:K01749	ctra:BN442_2991
ko:K01873	ctra:BN442_3021
ko:K03046	ctra:BN442_3141
ko:K03043	ctra:BN442_3151
ko:K02935	ctra:BN442_3161
ko:K02864	ctra:BN442_3171
ko:K02863	ctra:BN442_3181
ko:K02867	ctra:BN442_3191
ko:K02601	ctra:BN442_3201
ko:K03073	ctra:BN442_3211
ko:K02358	ctra:BN442_3221
ko:K02518	ctra:BN442_3231
ko:K01803	ctra:BN442_3291
ko:K03601	ctra:BN442_3301
ko:K03602	ctra:BN442_3311
ko:K01662	ctra:BN442_3331
ko:K00873	ctra:BN442_3341
ko:K03701	ctra:BN442_3351
ko:K02343	ctra:BN442_3361
ko:K09747	ctra:BN442_3371
ko:K11381	ctra:BN442_3431
ko:K03686	ctra:BN442_3441
ko:K02970	ctra:BN442_3451
ko:K01338	ctra:BN442_3471
ko:K03733	ctra:BN442_3501
ko:K06287	ctra:BN442_3521
ko:K03075	ctra:BN442_3551
ko:K01462	ctra:BN442_3561
ko:K02528	ctra:BN442_3571
ko:K06888	ctra:BN442_3591
ko:K03523	ctra:BN442_3621
ko:K01714	ctra:BN442_3641
ko:K00928	ctra:BN442_3651
ko:K00133	ctra:BN442_3661
ko:K00215	ctra:BN442_3671
ko:K00800	ctra:BN442_3691
ko:K00891	ctra:BN442_3701
ko:K01736	ctra:BN442_3711
ko:K01735	ctra:BN442_3721
ko:K13832	ctra:BN442_3731
ko:K03758	ctra:BN442_3771
ko:K00024	ctra:BN442_3791
ko:K01810	ctra:BN442_3811
ko:K03665	ctra:BN442_3821
ko:K06167	ctra:BN442_3831
ko:K09996	ctra:BN442_3841
ko:K06966	ctra:BN442_3911
ko:K09131	ctra:BN442_3921
ko:K10206	ctra:BN442_3941
ko:K01881	ctra:BN442_3971
ko:K03705	ctra:BN442_3981
ko:K03687	ctra:BN442_3991
ko:K04043	ctra:BN442_4001
ko:K12573	ctra:BN442_4011
ko:K07164	ctra:BN442_4021
ko:K06041	ctra:BN442_4031
ko:K00658	ctra:BN442_4041
ko:K00912	ctra:BN442_4061
ko:K03437	ctra:BN442_4071
ko:K06969	ctra:BN442_4081
ko:K00793	ctra:BN442_4091
ko:K07738	ctra:BN442_4101
ko:K06204	ctra:BN442_4111
ko:K03101	ctra:BN442_4121
ko:K03310	ctra:BN442_4131
ko:K00748	ctra:BN442_4151
ko:K09817	ctra:BN442_4201
ko:K09816	ctra:BN442_4211
ko:K03979	ctra:BN442_4221
ko:K02899	ctra:BN442_4231
ko:K02888	ctra:BN442_4241
ko:K07042	ctra:BN442_4281
ko:K03183	ctra:BN442_4341
ko:K01778	ctra:BN442_4361
ko:K01358	ctra:BN442_4371
ko:K00600	ctra:BN442_4381
ko:K01770	ctra:BN442_4401
ko:K02946	ctra:BN442_4421
ko:K02355	ctra:BN442_4431
ko:K02992	ctra:BN442_4441
ko:K02950	ctra:BN442_4451
ko:K03797	ctra:BN442_4471
ko:K07462	ctra:BN442_4541
ko:K12257	ctra:BN442_4551
ko:K00806	ctra:BN442_4571
ko:K00981	ctra:BN442_4581
ko:K00945	ctra:BN442_4591
ko:K00655	ctra:BN442_4601
ko:K01887	ctra:BN442_4611
ko:K00790	ctra:BN442_4621
ko:K02836	ctra:BN442_4661
ko:K00991	ctra:BN442_4691
ko:K06173	ctra:BN442_4701
ko:K07710	ctra:BN442_4741
ko:K07714	ctra:BN442_4751
ko:K03584	ctra:BN442_4771
ko:K01890	ctra:BN442_4821
ko:K02034	ctra:BN442_4851
ko:K01772	ctra:BN442_4921
ko:K07099	ctra:BN442_4951
ko:K00975	ctra:BN442_4961
ko:K03628	ctra:BN442_4981
ko:K00859	ctra:BN442_4991
ko:K03301	ctra:BN442_5021
ko:K00995	ctra:BN442_5031
ko:K03495	ctra:BN442_5061
ko:K03800	ctra:BN442_5071
ko:K00940	ctra:BN442_5081
ko:K03550	ctra:BN442_5091
ko:K01159	ctra:BN442_5101
ko:K00134	ctra:BN442_5131
ko:K02879	ctra:BN442_5141
ko:K03040	ctra:BN442_5151
ko:K02948	ctra:BN442_5161
ko:K02952	ctra:BN442_5171
ko:K03076	ctra:BN442_5181
ko:K02876	ctra:BN442_5191
ko:K02988	ctra:BN442_5201
ko:K02881	ctra:BN442_5211
ko:K02933	ctra:BN442_5221
ko:K02994	ctra:BN442_5231
ko:K02931	ctra:BN442_5241
ko:K02895	ctra:BN442_5251
ko:K02874	ctra:BN442_5261
ko:K02961	ctra:BN442_5271
ko:K02904	ctra:BN442_5281
ko:K02878	ctra:BN442_5291
ko:K02982	ctra:BN442_5301
ko:K02890	ctra:BN442_5311
ko:K02965	ctra:BN442_5321
ko:K02886	ctra:BN442_5331
ko:K02892	ctra:BN442_5341
ko:K02926	ctra:BN442_5351
ko:K02906	ctra:BN442_5361
ko:K00604	ctra:BN442_5381
ko:K00677	ctra:BN442_5391
ko:K02372	ctra:BN442_5401
ko:K02535	ctra:BN442_5411
ko:K03820	ctra:BN442_5421
ko:K06925	ctra:BN442_5451
ko:K03671	ctra:BN442_5471
ko:K03216	ctra:BN442_5481
ko:K01876	ctra:BN442_5501
ko:K01892	ctra:BN442_5511
ko:K07783	ctra:BN442_5521
ko:K02337	ctra:BN442_5531
ko:K03311	ctra:BN442_5621
ko:K00382	ctra:BN442_5651
ko:K03644	ctra:BN442_5661
ko:K03222	ctra:BN442_5671
ko:K03223	ctra:BN442_5691
ko:K03226	ctra:BN442_5701
ko:K03228	ctra:BN442_5721
ko:K02455	ctra:BN442_5781
ko:K02453	ctra:BN442_5801
ko:K03572	ctra:BN442_5831
ko:K01868	ctra:BN442_5891
ko:K01867	ctra:BN442_5931
ko:K03702	ctra:BN442_5941
ko:K01689	ctra:BN442_5951
ko:K03424	ctra:BN442_6021
ko:K03562	ctra:BN442_6041
ko:K03641	ctra:BN442_6071
ko:K03640	ctra:BN442_6081
ko:K03648	ctra:BN442_6161
ko:K03657	ctra:BN442_6171
ko:K03092	ctra:BN442_6181
ko:K06137	ctra:BN442_6191
ko:K03224	ctra:BN442_6791
ko:K02417	ctra:BN442_6821
ko:K03219	ctra:BN442_6841
ko:K02838	ctra:BN442_6871
ko:K09903	ctra:BN442_6881
ko:K02357	ctra:BN442_6891
ko:K02967	ctra:BN442_6901
ko:K03162	ctra:BN442_6911
ko:K09013	ctra:BN442_6951
ko:K09015	ctra:BN442_6961
ko:K11717	ctra:BN442_6971
ko:K07220	ctra:BN442_7011
ko:K03306	ctra:BN442_7021
ko:K00927	ctra:BN442_7031
ko:K10773	ctra:BN442_7071
ko:K03650	ctra:BN442_7081
ko:K01613	ctra:BN442_7091
ko:K03070	ctra:BN442_7111
ko:K03977	ctra:BN442_7131
ko:K03544	ctra:BN442_7151
ko:K01358	ctra:BN442_7161
ko:K03545	ctra:BN442_7171
ko:K03569	ctra:BN442_7191
ko:K00057	ctra:BN442_7241
ko:K02412	ctra:BN442_7271
ko:K02411	ctra:BN442_7281
ko:K02409	ctra:BN442_7291
ko:K13819	ctra:BN442_7301
ko:K04487	ctra:BN442_7311
ko:K03524	ctra:BN442_7351
ko:K05837	ctra:BN442_7361
ko:K01875	ctra:BN442_7391
ko:K11752	ctra:BN442_7401
ko:K14652	ctra:BN442_7411
ko:K00794	ctra:BN442_7421
ko:K03310	ctra:BN442_7451
ko:K03466	ctra:BN442_7491
ko:K00351	ctra:BN442_7501
ko:K03210	ctra:BN442_7511
ko:K06178	ctra:BN442_7331
ko:K14164	ctra:BN442_8071
ko:K00995	ctra:BN442_8081
ko:K00703	ctra:BN442_8091
ko:K02897	ctra:BN442_8101
ko:K01056	ctra:BN442_8111
ko:K02990	ctra:BN442_8121
ko:K02963	ctra:BN442_8131
ko:K02939	ctra:BN442_8141
ko:K00919	ctra:BN442_8151
ko:K00630	ctra:BN442_8181
ko:K08301	ctra:BN442_8191
ko:K02911	ctra:BN442_8221
ko:K03621	ctra:BN442_8231
ko:K03431	ctra:BN442_8281
ko:K00820	ctra:BN442_8291
ko:K03834	ctra:BN442_8301
ko:K03834	ctra:BN442_8311
ko:K06890	ctra:BN442_8321
ko:K03110	ctra:BN442_8331
ko:K01903	ctra:BN442_8341
ko:K01902	ctra:BN442_8351
ko:K09760	ctra:BN442_8381
ko:K03439	ctra:BN442_8421
ko:K00075	ctra:BN442_8441
ko:K03625	ctra:BN442_8451
ko:K02520	ctra:BN442_8461
ko:K02916	ctra:BN442_8471
ko:K02887	ctra:BN442_8481
ko:K01889	ctra:BN442_8491
ko:K11720	ctra:BN442_8511
ko:K07091	ctra:BN442_8521
ko:K04075	ctra:BN442_8531
ko:K03798	ctra:BN442_8541
ko:K00962	ctra:BN442_8551
ko:K02956	ctra:BN442_8561
ko:K01985	ctra:BN442_7494
ko:K01985	ctra:BN442_7594
ko:K02028	ctra:BN442_1311
ko:K01980	ctra:BN442_7493
ko:K01980	ctra:BN442_7593
ko:K17103	ctra:BN442_8391
ko:K01977	ctra:BN442_7492
ko:K01977	ctra:BN442_7592
ko:K04084	ctra:BN442_6031
ko:K01840	ctra:BN442_2951
ko:K06972	ctra:BN442_8371
ko:K08274	ctra:BN442_3801
ko:K07081	ctra:BN442_4331
ko:K08275	ctra:BN442_0811
ko:K01802	ctra:BN442_5491
ko:K03309	ctra:BN442_4051
ko:K08719	ctra:BN442_7231
ko:K01921	ctra:BN442_7721
ko:K01924	ctra:BN442_7721
ko:K01829	ctra:BN442_7901
ko:K01829	ctra:BN442_7931
ko:K07033	ctra:BN442_6941
ko:K01214	ctra:BN442_0431
ko:K03825	ctra:BN442_4651
ko:K03111	ctra:BN442_0451
ko:K03497	ctra:BN442_6981
ko:K03496	ctra:BN442_p0061
ko:K03496	ctra:BN442_5901
ko:K02626	ctra:BN442_3761
ko:K11991	ctra:BN442_8571
ko:K04771	ctra:BN442_8361
ko:K19411	ctra:BN442_6861
ko:K02031	ctra:BN442_7001
ko:K07125	ctra:BN442_3251
ko:K22100	ctra:BN442_3281
ko:K12132	ctra:BN442_3011
ko:K20265	ctra:BN442_2151
ko:K20074	ctra:BN442_2591
ko:K11749	ctra:BN442_0731
ko:K22099	ctra:BN442_6201
ko:K00526	ctra:BN442_8411
ko:K01520	ctra:BN442_2921
ko:K02335	ctra:BN442_5001
ko:K02314	ctra:BN442_5051
ko:K00287	ctra:BN442_6211
ko:K02316	ctra:BN442_8041
ko:K02314	ctra:BN442_p0021
ko:K03553	ctra:BN442_6591
ko:K02032	ctra:BN442_6991
ko:K00525	ctra:BN442_8401
ko:K02050	ctra:BN442_8681
ko:K02051	ctra:BN442_8681
ko:K01534	ctra:BN442_7371
ko:K16239	ctra:BN442_0861
