ko:K04044	ypy:YPK_1280
ko:K02411	ypy:YPK_2393
ko:K02414	ypy:YPK_2396
ko:K02415	ypy:YPK_2398
ko:K02416	ypy:YPK_2399
ko:K02417	ypy:YPK_2400
ko:K02418	ypy:YPK_2401
ko:K02419	ypy:YPK_2402
ko:K02420	ypy:YPK_2403
ko:K02397	ypy:YPK_2415
ko:K02395	ypy:YPK_2417
ko:K02846	ypy:YPK_1672
ko:K06187	ypy:YPK_3196
ko:K00325	ypy:YPK_1942
ko:K03111	ypy:YPK_3850
ko:K00241	ypy:YPK_2972
ko:K02446	ypy:YPK_4114
ko:K07639	ypy:YPK_1936
ko:K03407	ypy:YPK_1749
ko:K07676	ypy:YPK_2842
ko:K07678	ypy:YPK_3451
ko:K07641	ypy:YPK_0879
ko:K10441	ypy:YPK_0813
ko:K10440	ypy:YPK_0814
ko:K10439	ypy:YPK_1611
ko:K10441	ypy:YPK_1612
ko:K02057	ypy:YPK_2408
ko:K02056	ypy:YPK_2409
ko:K01834	ypy:YPK_2948
ko:K02687	ypy:YPK_0454
ko:K03575	ypy:YPK_0820
ko:K03648	ypy:YPK_1173
ko:K07646	ypy:YPK_1156
ko:K00627	ypy:YPK_3490
ko:K10543	ypy:YPK_0057
ko:K10545	ypy:YPK_0058
ko:K10544	ypy:YPK_0059
ko:K10439	ypy:YPK_0127
ko:K10440	ypy:YPK_0126
ko:K10441	ypy:YPK_0125
ko:K02058	ypy:YPK_0431
ko:K02056	ypy:YPK_0432
ko:K02057	ypy:YPK_0433
ko:K02057	ypy:YPK_0434
ko:K10439	ypy:YPK_0812
ko:K02601	ypy:YPK_0334
ko:K03601	ypy:YPK_1301
ko:K02041	ypy:YPK_2878
ko:K02036	ypy:YPK_4234
ko:K02038	ypy:YPK_4233
ko:K02037	ypy:YPK_4232
ko:K00925	ypy:YPK_1551
ko:K02040	ypy:YPK_4231
ko:K07642	ypy:YPK_1328
ko:K10563	ypy:YPK_4152
ko:K02042	ypy:YPK_2876
ko:K02044	ypy:YPK_2877
ko:K02042	ypy:YPK_2875
ko:K11183	ypy:YPK_2764
ko:K02768	ypy:YPK_2764
ko:K03043	ypy:YPK_0340
ko:K09458	ypy:YPK_1688
ko:K00648	ypy:YPK_1684
ko:K01886	ypy:YPK_2994
ko:K02058	ypy:YPK_2410
ko:K02057	ypy:YPK_2411
ko:K10540	ypy:YPK_2566
ko:K10542	ypy:YPK_2565
ko:K10541	ypy:YPK_2564
ko:K02058	ypy:YPK_3398
ko:K02056	ypy:YPK_3399
ko:K02057	ypy:YPK_3400
ko:K02057	ypy:YPK_3401
ko:K02510	ypy:YPK_2455
ko:K07071	ypy:YPK_1542
ko:K10558	ypy:YPK_3650
ko:K10556	ypy:YPK_3651
ko:K10557	ypy:YPK_3652
ko:K10555	ypy:YPK_3653
ko:K02057	ypy:YPK_4065
ko:K02057	ypy:YPK_4066
ko:K02056	ypy:YPK_4067
ko:K02058	ypy:YPK_4068
ko:K01512	ypy:YPK_2619
ko:K02358	ypy:YPK_0332
ko:K01223	ypy:YPK_2805
ko:K02392	ypy:YPK_2420
ko:K02388	ypy:YPK_2424
ko:K02387	ypy:YPK_2425
ko:K02386	ypy:YPK_2426
ko:K02398	ypy:YPK_2427
ko:K03516	ypy:YPK_2430
ko:K03414	ypy:YPK_1759
ko:K03412	ypy:YPK_1757
ko:K03408	ypy:YPK_1750
ko:K02557	ypy:YPK_1748
ko:K02556	ypy:YPK_1747
ko:K02402	ypy:YPK_1746
ko:K07507	ypy:YPK_1743
ko:K03581	ypy:YPK_1044
ko:K10537	ypy:YPK_1999
ko:K10539	ypy:YPK_1998
ko:K10538	ypy:YPK_1997
ko:K02769	ypy:YPK_2762
ko:K02770	ypy:YPK_2762
ko:K02356	ypy:YPK_2777
ko:K03781	ypy:YPK_2855
ko:K08289	ypy:YPK_2447
ko:K00833	ypy:YPK_2932
ko:K08303	ypy:YPK_1325
ko:K01695	ypy:YPK_2047
ko:K01696	ypy:YPK_2046
ko:K00652	ypy:YPK_2930
ko:K00382	ypy:YPK_3489
ko:K00382	ypy:YPK_4081
ko:K01222	ypy:YPK_0241
ko:K06221	ypy:YPK_0667
ko:K09476	ypy:YPK_2649
ko:K10108	ypy:YPK_0378
ko:K02417	ypy:YPK_0707
ko:K10111	ypy:YPK_0380
ko:K10109	ypy:YPK_0377
ko:K10110	ypy:YPK_0376
ko:K03555	ypy:YPK_3424
ko:K05367	ypy:YPK_3054
ko:K03073	ypy:YPK_0333
ko:K06158	ypy:YPK_0264
ko:K03814	ypy:YPK_0535
ko:K03974	ypy:YPK_1893
ko:K03969	ypy:YPK_1894
ko:K07042	ypy:YPK_3007
ko:K02057	ypy:YPK_2766
ko:K02056	ypy:YPK_2767
ko:K02058	ypy:YPK_2768
ko:K03046	ypy:YPK_0341
ko:K03110	ypy:YPK_3979
ko:K01649	ypy:YPK_3535
ko:K03973	ypy:YPK_1896
ko:K02493	ypy:YPK_2178
ko:K02909	ypy:YPK_4098
ko:K03640	ypy:YPK_2955
ko:K03658	ypy:YPK_2625
ko:K02343	ypy:YPK_3198
ko:K00826	ypy:YPK_4059
ko:K01673	ypy:YPK_3478
ko:K03546	ypy:YPK_3278
ko:K03186	ypy:YPK_1536
ko:K03701	ypy:YPK_3851
ko:K03569	ypy:YPK_0465
ko:K15770	ypy:YPK_0968
ko:K05592	ypy:YPK_3724
ko:K10805	ypy:YPK_3217
ko:K01588	ypy:YPK_3155
ko:K07461	ypy:YPK_3712
ko:K03641	ypy:YPK_2956
ko:K01897	ypy:YPK_3532
ko:K00648	ypy:YPK_2217
ko:K00901	ypy:YPK_3861
ko:K06206	ypy:YPK_3467
ko:K00525	ypy:YPK_1117
ko:K07643	ypy:YPK_3742
ko:K03835	ypy:YPK_2776
ko:K01142	ypy:YPK_2085
ko:K02469	ypy:YPK_2846
ko:K02470	ypy:YPK_0004
ko:K00425	ypy:YPK_2964
ko:K02837	ypy:YPK_3633
ko:K07709	ypy:YPK_2908
ko:K07803	ypy:YPK_2909
ko:K00525	ypy:YPK_2848
ko:K06076	ypy:YPK_1506
ko:K01892	ypy:YPK_1294
ko:K10806	ypy:YPK_2054
ko:K02945	ypy:YPK_2668
ko:K00604	ypy:YPK_0315
ko:K02421	ypy:YPK_2404
ko:K02401	ypy:YPK_2432
ko:K03413	ypy:YPK_1758
ko:K00820	ypy:YPK_4229
ko:K02238	ypy:YPK_2666
ko:K02302	ypy:YPK_3437
ko:K03686	ypy:YPK_3593
ko:K00526	ypy:YPK_1116
ko:K02160	ypy:YPK_0459
ko:K02400	ypy:YPK_2431
ko:K01845	ypy:YPK_3459
ko:K04754	ypy:YPK_1505
ko:K03808	ypy:YPK_1780
ko:K01007	ypy:YPK_1843
ko:K00790	ypy:YPK_0518
ko:K06968	ypy:YPK_1054
ko:K03923	ypy:YPK_0661
ko:K00864	ypy:YPK_4113
ko:K06192	ypy:YPK_2638
ko:K09811	ypy:YPK_3977
ko:K03624	ypy:YPK_3739
ko:K07713	ypy:YPK_2907
ko:K08591	ypy:YPK_0638
ko:K06073	ypy:YPK_1828
ko:K06074	ypy:YPK_1830
ko:K03574	ypy:YPK_3508
ko:K03470	ypy:YPK_1080
ko:K03469	ypy:YPK_1108
ko:K01428	ypy:YPK_1133
ko:K03587	ypy:YPK_3524
ko:K08302	ypy:YPK_0982
ko:K00794	ypy:YPK_3257
ko:K01096	ypy:YPK_2028
ko:K01624	ypy:YPK_0853
ko:K03777	ypy:YPK_2884
ko:K03666	ypy:YPK_3799
ko:K01956	ypy:YPK_3583
ko:K03315	ypy:YPK_1967
ko:K00526	ypy:YPK_2849
ko:K04075	ypy:YPK_1084
ko:K00867	ypy:YPK_0328
ko:K01893	ypy:YPK_2648
ko:K02338	ypy:YPK_0002
ko:K02313	ypy:YPK_0001
ko:K05834	ypy:YPK_3996
ko:K03566	ypy:YPK_1052
ko:K03733	ypy:YPK_4009
ko:K03498	ypy:YPK_3930
ko:K00111	ypy:YPK_3991
ko:K00113	ypy:YPK_3989
ko:K06155	ypy:YPK_0135
ko:K02959	ypy:YPK_3364
ko:K02860	ypy:YPK_3363
ko:K02884	ypy:YPK_3361
ko:K03695	ypy:YPK_3349
ko:K02342	ypy:YPK_1109
ko:K03554	ypy:YPK_3280
ko:K03074	ypy:YPK_3261
ko:K03625	ypy:YPK_3256
ko:K03151	ypy:YPK_3250
ko:K03562	ypy:YPK_2959
ko:K03560	ypy:YPK_2958
ko:K03811	ypy:YPK_2952
ko:K02019	ypy:YPK_2939
ko:K03702	ypy:YPK_2926
ko:K03639	ypy:YPK_2922
ko:K03635	ypy:YPK_2919
ko:K02114	ypy:YPK_4227
ko:K01419	ypy:YPK_4103
ko:K05805	ypy:YPK_3607
ko:K04043	ypy:YPK_3594
ko:K03313	ypy:YPK_3592
ko:K06195	ypy:YPK_3574
ko:K03771	ypy:YPK_3571
ko:K03616	ypy:YPK_2007
ko:K00344	ypy:YPK_3856
ko:K03578	ypy:YPK_1925
ko:K03657	ypy:YPK_4007
ko:K03975	ypy:YPK_1530
ko:K03981	ypy:YPK_0921
ko:K04763	ypy:YPK_0920
ko:K06143	ypy:YPK_0880
ko:K02437	ypy:YPK_0868
ko:K03427	ypy:YPK_3672
ko:K03584	ypy:YPK_1191
ko:K03595	ypy:YPK_1190
ko:K03596	ypy:YPK_1187
ko:K03803	ypy:YPK_1185
ko:K03598	ypy:YPK_1184
ko:K03597	ypy:YPK_1183
ko:K03687	ypy:YPK_2974
ko:K03631	ypy:YPK_2976
ko:K06191	ypy:YPK_1119
ko:K03647	ypy:YPK_1118
ko:K02111	ypy:YPK_4224
ko:K02113	ypy:YPK_4223
ko:K02110	ypy:YPK_4221
ko:K06213	ypy:YPK_1341
ko:K03614	ypy:YPK_2010
ko:K03311	ypy:YPK_3273
ko:K03977	ypy:YPK_1297
ko:K02656	ypy:YPK_1291
ko:K02358	ypy:YPK_0278
ko:K03150	ypy:YPK_0342
ko:K03149	ypy:YPK_0343
ko:K03154	ypy:YPK_0344
ko:K07740	ypy:YPK_0348
ko:K03926	ypy:YPK_3827
ko:K07791	ypy:YPK_3826
ko:K02356	ypy:YPK_3818
ko:K00246	ypy:YPK_3815
ko:K00245	ypy:YPK_3814
ko:K00244	ypy:YPK_3813
ko:K04568	ypy:YPK_3812
ko:K03572	ypy:YPK_3801
ko:K03665	ypy:YPK_3797
ko:K04088	ypy:YPK_3796
ko:K04087	ypy:YPK_3795
ko:K02990	ypy:YPK_3784
ko:K02963	ypy:YPK_3782
ko:K02939	ypy:YPK_3781
ko:K03402	ypy:YPK_3762
ko:K02888	ypy:YPK_3757
ko:K02899	ypy:YPK_3756
ko:K03075	ypy:YPK_3733
ko:K02600	ypy:YPK_3731
ko:K02519	ypy:YPK_3730
ko:K03446	ypy:YPK_3339
ko:K02967	ypy:YPK_1066
ko:K03573	ypy:YPK_1032
ko:K03168	ypy:YPK_2033
ko:K03613	ypy:YPK_2012
ko:K03553	ypy:YPK_3375
ko:K02569	ypy:YPK_1389
ko:K02568	ypy:YPK_1388
ko:K02570	ypy:YPK_1386
ko:K02572	ypy:YPK_1385
ko:K07287	ypy:YPK_1363
ko:K03567	ypy:YPK_1361
ko:K10763	ypy:YPK_1354
ko:K02824	ypy:YPK_1353
ko:K02380	ypy:YPK_0041
ko:K03832	ypy:YPK_4082
ko:K02834	ypy:YPK_3729
ko:K02956	ypy:YPK_3727
ko:K03634	ypy:YPK_2684
ko:K07308	ypy:YPK_3392
ko:K03734	ypy:YPK_3299
ko:K03633	ypy:YPK_2657
ko:K03804	ypy:YPK_2656
ko:K03632	ypy:YPK_2655
ko:K03808	ypy:YPK_2639
ko:K03809	ypy:YPK_2363
ko:K02911	ypy:YPK_1682
ko:K03621	ypy:YPK_1683
ko:K02078	ypy:YPK_1687
ko:K02778	ypy:YPK_1694
ko:K02779	ypy:YPK_1694
ko:K02345	ypy:YPK_2439
ko:K02835	ypy:YPK_2179
ko:K03607	ypy:YPK_1782
ko:K03799	ypy:YPK_1784
ko:K02520	ypy:YPK_1821
ko:K02916	ypy:YPK_1822
ko:K02887	ypy:YPK_1823
ko:K04764	ypy:YPK_1826
ko:K09015	ypy:YPK_1850
ko:K02426	ypy:YPK_1852
ko:K06078	ypy:YPK_1854
ko:K03723	ypy:YPK_1706
ko:K03612	ypy:YPK_2011
ko:K01997	ypy:YPK_3973
ko:K03683	ypy:YPK_1868
ko:K03980	ypy:YPK_2158
ko:K03617	ypy:YPK_2006
ko:K02116	ypy:YPK_4219
ko:K03650	ypy:YPK_4245
ko:K01878	ypy:YPK_0022
ko:K02379	ypy:YPK_0036
ko:K03656	ypy:YPK_4038
ko:K02498	ypy:YPK_4019
ko:K02496	ypy:YPK_4018
ko:K03629	ypy:YPK_0003
ko:K01879	ypy:YPK_0023
ko:K00973	ypy:YPK_4028
ko:K05786	ypy:YPK_4001
ko:K03688	ypy:YPK_3943
ko:K03116	ypy:YPK_3942
ko:K03117	ypy:YPK_3941
ko:K03118	ypy:YPK_3940
ko:K03424	ypy:YPK_3939
ko:K00537	ypy:YPK_1355
ko:K05837	ypy:YPK_3022
ko:K02340	ypy:YPK_3017
ko:K03643	ypy:YPK_3016
ko:K06217	ypy:YPK_3006
ko:K06223	ypy:YPK_0228
ko:K01915	ypy:YPK_4189
ko:K02057	ypy:YPK_2521
ko:K02056	ypy:YPK_2520
ko:K02108	ypy:YPK_4220
ko:K07644	ypy:YPK_2193
ko:K01247	ypy:YPK_2387
ko:K01962	ypy:YPK_1082
ko:K01963	ypy:YPK_1531
ko:K15581	ypy:YPK_2069
ko:K06866	ypy:YPK_1174
ko:K07708	ypy:YPK_4190
ko:K07712	ypy:YPK_4191
ko:K09894	ypy:YPK_4193
ko:K03978	ypy:YPK_4194
ko:K09896	ypy:YPK_4198
ko:K03752	ypy:YPK_4199
ko:K00852	ypy:YPK_4209
ko:K03549	ypy:YPK_4211
ko:K03924	ypy:YPK_4212
ko:K01914	ypy:YPK_4214
ko:K06205	ypy:YPK_4216
ko:K03495	ypy:YPK_4217
ko:K01151	ypy:YPK_2756
ko:K00882	ypy:YPK_2763
ko:K00135	ypy:YPK_2771
ko:K06940	ypy:YPK_2775
ko:K00549	ypy:YPK_3952
ko:K03576	ypy:YPK_3953
ko:K07088	ypy:YPK_3957
ko:K01126	ypy:YPK_3958
ko:K05816	ypy:YPK_3959
ko:K05815	ypy:YPK_3960
ko:K05814	ypy:YPK_3961
ko:K05813	ypy:YPK_3962
ko:K01998	ypy:YPK_3972
ko:K01709	ypy:YPK_3190
ko:K00978	ypy:YPK_3191
ko:K01772	ypy:YPK_3193
ko:K00939	ypy:YPK_3194
ko:K09747	ypy:YPK_3197
ko:K00759	ypy:YPK_3199
ko:K06039	ypy:YPK_3205
ko:K03577	ypy:YPK_3206
ko:K02919	ypy:YPK_3211
ko:K05839	ypy:YPK_3214
ko:K07443	ypy:YPK_3215
ko:K09914	ypy:YPK_3216
ko:K03320	ypy:YPK_3219
ko:K04752	ypy:YPK_3220
ko:K02759	ypy:YPK_1146
ko:K02806	ypy:YPK_0503
ko:K04564	ypy:YPK_1863
ko:K06167	ypy:YPK_3702
ko:K05774	ypy:YPK_3701
ko:K06162	ypy:YPK_3700
ko:K06163	ypy:YPK_3697
ko:K06165	ypy:YPK_3695
ko:K06166	ypy:YPK_3694
ko:K02339	ypy:YPK_3680
ko:K03789	ypy:YPK_3634
ko:K01703	ypy:YPK_3537
ko:K01652	ypy:YPK_3531
ko:K01653	ypy:YPK_3530
ko:K03925	ypy:YPK_3527
ko:K03438	ypy:YPK_3526
ko:K03586	ypy:YPK_3525
ko:K03588	ypy:YPK_3519
ko:K03590	ypy:YPK_3514
ko:K03531	ypy:YPK_3513
ko:K03070	ypy:YPK_3509
ko:K02761	ypy:YPK_1145
ko:K03565	ypy:YPK_3374
ko:K03563	ypy:YPK_3372
ko:K02115	ypy:YPK_4225
ko:K02412	ypy:YPK_0714
ko:K03224	ypy:YPK_3906
ko:K03703	ypy:YPK_2355
ko:K09903	ypy:YPK_1068
ko:K01995	ypy:YPK_3971
ko:K04069	ypy:YPK_2679
ko:K02802	ypy:YPK_2996
ko:K02803	ypy:YPK_2996
ko:K02804	ypy:YPK_2996
ko:K03273	ypy:YPK_1097
ko:K06903	ypy:YPK_2297
ko:K01664	ypy:YPK_0244
ko:K06181	ypy:YPK_1722
ko:K02300	ypy:YPK_3244
ko:K02299	ypy:YPK_3243
ko:K02298	ypy:YPK_3242
ko:K02297	ypy:YPK_3241
ko:K03545	ypy:YPK_3235
ko:K03544	ypy:YPK_3233
ko:K02909	ypy:YPK_3210
ko:K04079	ypy:YPK_3195
ko:K03269	ypy:YPK_3154
ko:K06199	ypy:YPK_3030
ko:K00130	ypy:YPK_2916
ko:K08276	ypy:YPK_2851
ko:K06891	ypy:YPK_2693
ko:K03694	ypy:YPK_2692
ko:K02518	ypy:YPK_2691
ko:K00230	ypy:YPK_3929
ko:K08484	ypy:YPK_1034
ko:K05804	ypy:YPK_3609
ko:K07636	ypy:YPK_3275
ko:K01000	ypy:YPK_3521
ko:K01929	ypy:YPK_3522
ko:K01928	ypy:YPK_3523
ko:K03435	ypy:YPK_3529
ko:K05798	ypy:YPK_3533
ko:K00052	ypy:YPK_3536
ko:K10748	ypy:YPK_1984
ko:K03710	ypy:YPK_1988
ko:K01804	ypy:YPK_2001
ko:K00891	ypy:YPK_0225
ko:K01735	ypy:YPK_0226
ko:K03112	ypy:YPK_0227
ko:K01783	ypy:YPK_0229
ko:K01867	ypy:YPK_0231
ko:K01686	ypy:YPK_2778
ko:K07053	ypy:YPK_2041
ko:K00766	ypy:YPK_2044
ko:K03832	ypy:YPK_2055
ko:K09780	ypy:YPK_2057
ko:K09981	ypy:YPK_2058
ko:K06131	ypy:YPK_2063
ko:K09901	ypy:YPK_2064
ko:K07070	ypy:YPK_0267
ko:K03775	ypy:YPK_0268
ko:K03745	ypy:YPK_0269
ko:K07236	ypy:YPK_0273
ko:K07237	ypy:YPK_0274
ko:K02950	ypy:YPK_0275
ko:K02992	ypy:YPK_0276
ko:K02355	ypy:YPK_0277
ko:K02192	ypy:YPK_0280
ko:K02906	ypy:YPK_0283
ko:K02926	ypy:YPK_0284
ko:K02892	ypy:YPK_0285
ko:K02168	ypy:YPK_2914
ko:K02167	ypy:YPK_2915
ko:K06890	ypy:YPK_2918
ko:K03637	ypy:YPK_2921
ko:K01935	ypy:YPK_2928
ko:K02169	ypy:YPK_2929
ko:K02018	ypy:YPK_2936
ko:K02020	ypy:YPK_2937
ko:K05776	ypy:YPK_2940
ko:K03720	ypy:YPK_3612
ko:K08309	ypy:YPK_3613
ko:K03784	ypy:YPK_3624
ko:K01839	ypy:YPK_3625
ko:K01619	ypy:YPK_3627
ko:K03424	ypy:YPK_3629
ko:K07552	ypy:YPK_2792
ko:K02897	ypy:YPK_2795
ko:K06899	ypy:YPK_2796
ko:K09904	ypy:YPK_2797
ko:K07014	ypy:YPK_2798
ko:K05800	ypy:YPK_3223
ko:K01738	ypy:YPK_3224
ko:K06920	ypy:YPK_3227
ko:K03770	ypy:YPK_3230
ko:K01338	ypy:YPK_3232
ko:K07286	ypy:YPK_3238
ko:K08218	ypy:YPK_3239
ko:K09767	ypy:YPK_3247
ko:K00077	ypy:YPK_3248
ko:K03152	ypy:YPK_3249
ko:K01999	ypy:YPK_3974
ko:K03089	ypy:YPK_3976
ko:K09812	ypy:YPK_3978
ko:K08316	ypy:YPK_3980
ko:K08993	ypy:YPK_3981
ko:K01126	ypy:YPK_3992
ko:K01448	ypy:YPK_1046
ko:K00242	ypy:YPK_2971
ko:K07507	ypy:YPK_1915
ko:K03778	ypy:YPK_1918
ko:K09978	ypy:YPK_1921
ko:K01118	ypy:YPK_1924
ko:K00950	ypy:YPK_3471
ko:K00606	ypy:YPK_3472
ko:K01918	ypy:YPK_3473
ko:K01579	ypy:YPK_3474
ko:K00760	ypy:YPK_3479
ko:K00797	ypy:YPK_3482
ko:K01611	ypy:YPK_3483
ko:K09910	ypy:YPK_3486
ko:K03704	ypy:YPK_2694
ko:K09824	ypy:YPK_2697
ko:K00156	ypy:YPK_2703
ko:K01620	ypy:YPK_2705
ko:K10000	ypy:YPK_2710
ko:K09997	ypy:YPK_2711
ko:K09999	ypy:YPK_2712
ko:K09998	ypy:YPK_2713
ko:K02013	ypy:YPK_2718
ko:K09996	ypy:YPK_2724
ko:K03212	ypy:YPK_2725
ko:K02377	ypy:YPK_3182
ko:K01711	ypy:YPK_3183
ko:K01775	ypy:YPK_3854
ko:K02314	ypy:YPK_3855
ko:K05539	ypy:YPK_3858
ko:K01356	ypy:YPK_3860
ko:K03181	ypy:YPK_3864
ko:K05795	ypy:YPK_3872
ko:K05795	ypy:YPK_3873
ko:K05792	ypy:YPK_3876
ko:K07227	ypy:YPK_3886
ko:K07225	ypy:YPK_3890
ko:K02016	ypy:YPK_3891
ko:K02015	ypy:YPK_3892
ko:K02013	ypy:YPK_3893
ko:K07112	ypy:YPK_3898
ko:K00432	ypy:YPK_1829
ko:K10012	ypy:YPK_1832
ko:K10011	ypy:YPK_1833
ko:K03800	ypy:YPK_1839
ko:K01626	ypy:YPK_1841
ko:K09773	ypy:YPK_1842
ko:K05997	ypy:YPK_1847
ko:K09014	ypy:YPK_1848
ko:K09013	ypy:YPK_1849
ko:K00873	ypy:YPK_1855
ko:K03327	ypy:YPK_1856
ko:K00793	ypy:YPK_1857
ko:K00574	ypy:YPK_1858
ko:K03604	ypy:YPK_1862
ko:K07390	ypy:YPK_1866
ko:K10680	ypy:YPK_1871
ko:K02013	ypy:YPK_0068
ko:K02015	ypy:YPK_0069
ko:K02015	ypy:YPK_0070
ko:K02016	ypy:YPK_0071
ko:K00759	ypy:YPK_0074
ko:K01712	ypy:YPK_0076
ko:K01745	ypy:YPK_0077
ko:K00930	ypy:YPK_4088
ko:K00145	ypy:YPK_4089
ko:K01438	ypy:YPK_4090
ko:K01595	ypy:YPK_4091
ko:K00899	ypy:YPK_3317
ko:K08963	ypy:YPK_3318
ko:K03543	ypy:YPK_3338
ko:K03214	ypy:YPK_3340
ko:K03672	ypy:YPK_3341
ko:K09181	ypy:YPK_3343
ko:K00998	ypy:YPK_3344
ko:K05811	ypy:YPK_3345
ko:K05810	ypy:YPK_3350
ko:K06180	ypy:YPK_3351
ko:K05807	ypy:YPK_3352
ko:K05809	ypy:YPK_3353
ko:K01626	ypy:YPK_3357
ko:K07283	ypy:YPK_3360
ko:K03184	ypy:YPK_3004
ko:K06189	ypy:YPK_3008
ko:K10001	ypy:YPK_3010
ko:K10003	ypy:YPK_3011
ko:K10002	ypy:YPK_3012
ko:K10004	ypy:YPK_3013
ko:K01869	ypy:YPK_3015
ko:K00969	ypy:YPK_3018
ko:K09710	ypy:YPK_3019
ko:K00783	ypy:YPK_3020
ko:K03642	ypy:YPK_3023
ko:K07258	ypy:YPK_3024
ko:K09158	ypy:YPK_3025
ko:K03801	ypy:YPK_3026
ko:K03644	ypy:YPK_3027
ko:K03704	ypy:YPK_3031
ko:K03337	ypy:YPK_3039
ko:K03335	ypy:YPK_3040
ko:K03338	ypy:YPK_3041
ko:K03336	ypy:YPK_3048
ko:K00140	ypy:YPK_3049
ko:K06894	ypy:YPK_3053
ko:K01299	ypy:YPK_1935
ko:K07661	ypy:YPK_1937
ko:K06911	ypy:YPK_0133
ko:K06145	ypy:YPK_0134
ko:K00851	ypy:YPK_0136
ko:K00133	ypy:YPK_0141
ko:K00700	ypy:YPK_0147
ko:K00975	ypy:YPK_0149
ko:K00688	ypy:YPK_0151
ko:K00111	ypy:YPK_0152
ko:K02444	ypy:YPK_0157
ko:K02441	ypy:YPK_0158
ko:K02439	ypy:YPK_0159
ko:K03556	ypy:YPK_0160
ko:K00688	ypy:YPK_0161
ko:K00705	ypy:YPK_0162
ko:K07400	ypy:YPK_0163
ko:K07490	ypy:YPK_0167
ko:K06959	ypy:YPK_0170
ko:K04760	ypy:YPK_0171
ko:K04083	ypy:YPK_0175
ko:K04762	ypy:YPK_0176
ko:K08312	ypy:YPK_0180
ko:K06223	ypy:YPK_0181
ko:K03674	ypy:YPK_2733
ko:K07085	ypy:YPK_2734
ko:K01619	ypy:YPK_2737
ko:K03837	ypy:YPK_2739
ko:K07258	ypy:YPK_2740
ko:K02072	ypy:YPK_2741
ko:K02073	ypy:YPK_2743
ko:K02013	ypy:YPK_2749
ko:K02015	ypy:YPK_2750
ko:K02016	ypy:YPK_2751
ko:K03807	ypy:YPK_3495
ko:K00767	ypy:YPK_3497
ko:K00364	ypy:YPK_3501
ko:K00859	ypy:YPK_3503
ko:K09862	ypy:YPK_3505
ko:K02535	ypy:YPK_3512
ko:K03589	ypy:YPK_3515
ko:K02890	ypy:YPK_0288
ko:K02982	ypy:YPK_0289
ko:K02878	ypy:YPK_0290
ko:K02961	ypy:YPK_0292
ko:K02874	ypy:YPK_0293
ko:K02895	ypy:YPK_0294
ko:K02931	ypy:YPK_0295
ko:K02954	ypy:YPK_0296
ko:K02994	ypy:YPK_0297
ko:K02881	ypy:YPK_0299
ko:K02988	ypy:YPK_0300
ko:K02907	ypy:YPK_0301
