ko:K19416	sbt:Sbal678_2315
ko:K03704	sbt:Sbal678_1536
ko:K04477	sbt:Sbal678_1539
ko:K00067	sbt:Sbal678_1540
ko:K01082	sbt:Sbal678_1541
ko:K00847	sbt:Sbal678_1542
ko:K02572	sbt:Sbal678_1548
ko:K01784	sbt:Sbal678_1549
ko:K00963	sbt:Sbal678_1550
ko:K00500	sbt:Sbal678_1551
ko:K01724	sbt:Sbal678_1552
ko:K03721	sbt:Sbal678_1553
ko:K09962	sbt:Sbal678_1557
ko:K07275	sbt:Sbal678_1558
ko:K09914	sbt:Sbal678_1560
ko:K00651	sbt:Sbal678_1561
ko:K00626	sbt:Sbal678_1562
ko:K03412	sbt:Sbal678_2359
ko:K03411	sbt:Sbal678_2360
ko:K00575	sbt:Sbal678_2361
ko:K03406	sbt:Sbal678_2362
ko:K03408	sbt:Sbal678_2363
ko:K03407	sbt:Sbal678_2364
ko:K03413	sbt:Sbal678_2365
ko:K03406	sbt:Sbal678_2368
ko:K13590	sbt:Sbal678_2370
ko:K03760	sbt:Sbal678_2371
ko:K01322	sbt:Sbal678_2372
ko:K08276	sbt:Sbal678_2375
ko:K03654	sbt:Sbal678_2377
ko:K07093	sbt:Sbal678_2381
ko:K05812	sbt:Sbal678_2382
ko:K00998	sbt:Sbal678_2385
ko:K07259	sbt:Sbal678_2388
ko:K09912	sbt:Sbal678_2390
ko:K01591	sbt:Sbal678_2392
ko:K08992	sbt:Sbal678_2394
ko:K05788	sbt:Sbal678_2395
ko:K02945	sbt:Sbal678_2396
ko:K00945	sbt:Sbal678_2397
ko:K00800	sbt:Sbal678_2398
ko:K04069	sbt:Sbal678_2401
ko:K00831	sbt:Sbal678_2403
ko:K02469	sbt:Sbal678_2404
ko:K07386	sbt:Sbal678_4022
ko:K07218	sbt:Sbal678_4026
ko:K02198	sbt:Sbal678_4034
ko:K02200	sbt:Sbal678_4035
ko:K00459	sbt:Sbal678_4041
ko:K03179	sbt:Sbal678_4044
ko:K03657	sbt:Sbal678_4045
ko:K07054	sbt:Sbal678_4052
ko:K06915	sbt:Sbal678_4055
ko:K07080	sbt:Sbal678_4057
ko:K11107	sbt:Sbal678_2409
ko:K01620	sbt:Sbal678_3175
ko:K03442	sbt:Sbal678_3177
ko:K11065	sbt:Sbal678_3178
ko:K03113	sbt:Sbal678_3182
ko:K07735	sbt:Sbal678_3183
ko:K07447	sbt:Sbal678_3184
ko:K01772	sbt:Sbal678_3185
ko:K00432	sbt:Sbal678_3186
ko:K02670	sbt:Sbal678_3187
ko:K02669	sbt:Sbal678_3188
ko:K06997	sbt:Sbal678_3189
ko:K00286	sbt:Sbal678_3190
ko:K02221	sbt:Sbal678_3191
ko:K09131	sbt:Sbal678_3192
ko:K02428	sbt:Sbal678_3194
ko:K01425	sbt:Sbal678_3199
ko:K09923	sbt:Sbal678_3200
ko:K03439	sbt:Sbal678_3201
ko:K03575	sbt:Sbal678_3202
ko:K12262	sbt:Sbal678_3205
ko:K00574	sbt:Sbal678_3212
ko:K09701	sbt:Sbal678_3213
ko:K01669	sbt:Sbal678_3217
ko:K15034	sbt:Sbal678_4010
ko:K03786	sbt:Sbal678_4011
ko:K02160	sbt:Sbal678_4012
ko:K03182	sbt:Sbal678_4016
ko:K05368	sbt:Sbal678_4017
ko:K03498	sbt:Sbal678_0058
ko:K03499	sbt:Sbal678_0059
ko:K07667	sbt:Sbal678_0060
ko:K06911	sbt:Sbal678_0062
ko:K02478	sbt:Sbal678_0063
ko:K08177	sbt:Sbal678_0065
ko:K07090	sbt:Sbal678_0066
ko:K00690	sbt:Sbal678_0070
ko:K00847	sbt:Sbal678_0073
ko:K03831	sbt:Sbal678_0074
ko:K06894	sbt:Sbal678_0075
ko:K05367	sbt:Sbal678_0076
ko:K09696	sbt:Sbal678_0078
ko:K09697	sbt:Sbal678_0079
ko:K07107	sbt:Sbal678_0086
ko:K06975	sbt:Sbal678_0089
ko:K07107	sbt:Sbal678_0090
ko:K01607	sbt:Sbal678_0093
ko:K09880	sbt:Sbal678_0095
ko:K01126	sbt:Sbal678_0099
ko:K07734	sbt:Sbal678_0100
ko:K01468	sbt:Sbal678_0104
ko:K05836	sbt:Sbal678_0105
ko:K01712	sbt:Sbal678_0106
ko:K01745	sbt:Sbal678_0107
ko:K06158	sbt:Sbal678_0920
ko:K07070	sbt:Sbal678_0921
ko:K10778	sbt:Sbal678_0925
ko:K06911	sbt:Sbal678_0927
ko:K05591	sbt:Sbal678_0928
ko:K11927	sbt:Sbal678_0930
ko:K05873	sbt:Sbal678_0935
ko:K13821	sbt:Sbal678_0938
ko:K07184	sbt:Sbal678_0940
ko:K03306	sbt:Sbal678_0941
ko:K07220	sbt:Sbal678_0942
ko:K09980	sbt:Sbal678_0948
ko:K00797	sbt:Sbal678_0949
ko:K00982	sbt:Sbal678_0952
ko:K07086	sbt:Sbal678_0954
ko:K03406	sbt:Sbal678_0956
ko:K06916	sbt:Sbal678_0957
ko:K07221	sbt:Sbal678_0959
ko:K01077	sbt:Sbal678_0711
ko:K01077	sbt:Sbal678_0712
ko:K03286	sbt:Sbal678_0717
ko:K07178	sbt:Sbal678_0724
ko:K06213	sbt:Sbal678_0729
ko:K06958	sbt:Sbal678_0731
ko:K02806	sbt:Sbal678_0732
ko:K05808	sbt:Sbal678_0733
ko:K03092	sbt:Sbal678_0734
ko:K06861	sbt:Sbal678_0735
ko:K09774	sbt:Sbal678_0736
ko:K11719	sbt:Sbal678_0737
ko:K03270	sbt:Sbal678_0738
ko:K06041	sbt:Sbal678_0739
ko:K02065	sbt:Sbal678_0740
ko:K02066	sbt:Sbal678_0741
ko:K02067	sbt:Sbal678_0742
ko:K07323	sbt:Sbal678_0743
ko:K07122	sbt:Sbal678_0744
ko:K00790	sbt:Sbal678_0746
ko:K04691	sbt:Sbal678_0747
ko:K06916	sbt:Sbal678_0749
ko:K02871	sbt:Sbal678_0750
ko:K02996	sbt:Sbal678_0751
ko:K09937	sbt:Sbal678_0752
ko:K01939	sbt:Sbal678_0753
ko:K04072	sbt:Sbal678_1994
ko:K05595	sbt:Sbal678_1995
ko:K13255	sbt:Sbal678_2820
ko:K06190	sbt:Sbal678_2821
ko:K09780	sbt:Sbal678_2822
ko:K01142	sbt:Sbal678_2823
ko:K03406	sbt:Sbal678_2830
ko:K07303	sbt:Sbal678_2832
ko:K07302	sbt:Sbal678_2833
ko:K07402	sbt:Sbal678_2835
ko:K03406	sbt:Sbal678_2836
ko:K00764	sbt:Sbal678_2841
ko:K03558	sbt:Sbal678_2842
ko:K03749	sbt:Sbal678_2843
ko:K11754	sbt:Sbal678_2844
ko:K06173	sbt:Sbal678_2845
ko:K08086	sbt:Sbal678_2846
ko:K00133	sbt:Sbal678_2847
ko:K03473	sbt:Sbal678_2848
ko:K00647	sbt:Sbal678_2849
ko:K15461	sbt:Sbal678_2850
ko:K05820	sbt:Sbal678_2854
ko:K01736	sbt:Sbal678_2855
ko:K07320	sbt:Sbal678_2856
ko:K08296	sbt:Sbal678_2858
ko:K01782	sbt:Sbal678_2864
ko:K03924	sbt:Sbal678_2866
ko:K07114	sbt:Sbal678_2869
ko:K02836	sbt:Sbal678_3638
ko:K00123	sbt:Sbal678_3639
ko:K03406	sbt:Sbal678_3640
ko:K07240	sbt:Sbal678_3641
ko:K03212	sbt:Sbal678_3642
ko:K04096	sbt:Sbal678_0033
ko:K03747	sbt:Sbal678_0034
ko:K07479	sbt:Sbal678_0035
ko:K07566	sbt:Sbal678_0036
ko:K00228	sbt:Sbal678_0037
ko:K06886	sbt:Sbal678_0038
ko:K00014	sbt:Sbal678_0039
ko:K06940	sbt:Sbal678_0042
ko:K01462	sbt:Sbal678_0031
ko:K13771	sbt:Sbal678_0043
ko:K09798	sbt:Sbal678_0044
ko:K03797	sbt:Sbal678_0045
ko:K15633	sbt:Sbal678_0047
ko:K03071	sbt:Sbal678_0049
ko:K00057	sbt:Sbal678_0050
ko:K07007	sbt:Sbal678_0051
ko:K02742	sbt:Sbal678_0868
ko:K02355	sbt:Sbal678_0877
ko:K02568	sbt:Sbal678_0880
ko:K02567	sbt:Sbal678_0881
ko:K02570	sbt:Sbal678_0882
ko:K02671	sbt:Sbal678_0885
ko:K08084	sbt:Sbal678_0886
ko:K02655	sbt:Sbal678_0887
ko:K02004	sbt:Sbal678_0889
ko:K02003	sbt:Sbal678_0890
ko:K03310	sbt:Sbal678_0891
ko:K06980	sbt:Sbal678_0894
ko:K00058	sbt:Sbal678_0895
ko:K08984	sbt:Sbal678_0896
ko:K04335	sbt:Sbal678_0899
ko:K01918	sbt:Sbal678_0901
ko:K00606	sbt:Sbal678_0902
ko:K00950	sbt:Sbal678_0903
ko:K00970	sbt:Sbal678_0904
ko:K01894	sbt:Sbal678_0905
ko:K06204	sbt:Sbal678_0906
ko:K06206	sbt:Sbal678_0907
ko:K07751	sbt:Sbal678_0908
ko:K00855	sbt:Sbal678_0910
ko:K07019	sbt:Sbal678_0912
ko:K03702	sbt:Sbal678_2162
ko:K06920	sbt:Sbal678_2164
ko:K10026	sbt:Sbal678_2165
ko:K01738	sbt:Sbal678_2166
ko:K09858	sbt:Sbal678_2170
ko:K01283	sbt:Sbal678_2173
ko:K00873	sbt:Sbal678_2176
ko:K00036	sbt:Sbal678_2178
ko:K01057	sbt:Sbal678_2179
ko:K01690	sbt:Sbal678_2180
ko:K01625	sbt:Sbal678_2181
ko:K01129	sbt:Sbal678_2187
ko:K14260	sbt:Sbal678_2189
ko:K07793	sbt:Sbal678_0962
ko:K11105	sbt:Sbal678_0970
ko:K00166	sbt:Sbal678_2203
ko:K07795	sbt:Sbal678_0960
ko:K00167	sbt:Sbal678_2204
ko:K09699	sbt:Sbal678_2205
ko:K03517	sbt:Sbal678_2206
