ko:K01006	pacc:PAC1_10445
ko:K13993	pacc:PAC1_03990
ko:K00281	pacc:PAC1_04010
ko:K02437	pacc:PAC1_04015
ko:K00605	pacc:PAC1_04020
ko:K02003	pacc:PAC1_00365
ko:K02016	pacc:PAC1_00375
ko:K02015	pacc:PAC1_00380
ko:K02013	pacc:PAC1_00385
ko:K00688	pacc:PAC1_00400
ko:K15533	pacc:PAC1_00415
ko:K01744	pacc:PAC1_00485
ko:K07791	pacc:PAC1_00490
ko:K06975	pacc:PAC1_00495
ko:K03781	pacc:PAC1_00500
ko:K02230	pacc:PAC1_00525
ko:K06871	pacc:PAC1_00530
ko:K02013	pacc:PAC1_00535
ko:K02015	pacc:PAC1_00540
ko:K02016	pacc:PAC1_00545
ko:K02016	pacc:PAC1_00550
ko:K00941	pacc:PAC1_00565
ko:K00788	pacc:PAC1_00575
ko:K01546	pacc:PAC1_00605
ko:K01547	pacc:PAC1_00610
ko:K01548	pacc:PAC1_00615
ko:K07646	pacc:PAC1_00620
ko:K10773	pacc:PAC1_01210
ko:K03313	pacc:PAC1_01230
ko:K02283	pacc:PAC1_01245
ko:K12510	pacc:PAC1_01250
ko:K03168	pacc:PAC1_01295
ko:K00943	pacc:PAC1_01305
ko:K02341	pacc:PAC1_01310
ko:K08296	pacc:PAC1_01350
ko:K01060	pacc:PAC1_01355
ko:K07259	pacc:PAC1_01370
ko:K04075	pacc:PAC1_01375
ko:K00760	pacc:PAC1_01380
ko:K03798	pacc:PAC1_01385
ko:K01495	pacc:PAC1_01390
ko:K00796	pacc:PAC1_01425
ko:K01633	pacc:PAC1_01430
ko:K00950	pacc:PAC1_01435
ko:K00333	pacc:PAC1_01450
ko:K03696	pacc:PAC1_01460
ko:K07160	pacc:PAC1_01480
ko:K07693	pacc:PAC1_02110
ko:K02227	pacc:PAC1_02120
ko:K02232	pacc:PAC1_02125
ko:K03394	pacc:PAC1_02130
ko:K05936	pacc:PAC1_02135
ko:K02015	pacc:PAC1_02160
ko:K02013	pacc:PAC1_02165
ko:K02016	pacc:PAC1_02170
ko:K06042	pacc:PAC1_02185
ko:K02007	pacc:PAC1_02190
ko:K02224	pacc:PAC1_02225
ko:K05895	pacc:PAC1_02235
ko:K02233	pacc:PAC1_02245
ko:K07173	pacc:PAC1_02295
ko:K01809	pacc:PAC1_02300
ko:K04077	pacc:PAC1_02310
ko:K03338	pacc:PAC1_02325
ko:K03337	pacc:PAC1_02335
ko:K03336	pacc:PAC1_02340
ko:K00140	pacc:PAC1_02350
ko:K03624	pacc:PAC1_02915
ko:K06888	pacc:PAC1_02930
ko:K11068	pacc:PAC1_02940
ko:K07175	pacc:PAC1_02945
ko:K03602	pacc:PAC1_02955
ko:K03601	pacc:PAC1_02960
ko:K03527	pacc:PAC1_02970
ko:K09760	pacc:PAC1_02975
ko:K06942	pacc:PAC1_02985
ko:K03758	pacc:PAC1_03020
ko:K00611	pacc:PAC1_03030
ko:K00926	pacc:PAC1_03035
ko:K11065	pacc:PAC1_03060
ko:K11733	pacc:PAC1_03065
ko:K00012	pacc:PAC1_03075
ko:K14645	pacc:PAC1_03115
ko:K02029	pacc:PAC1_03130
ko:K01818	pacc:PAC1_03170
ko:K01818	pacc:PAC1_03175
ko:K03924	pacc:PAC1_04040
ko:K03925	pacc:PAC1_04045
ko:K03438	pacc:PAC1_04050
ko:K03587	pacc:PAC1_04060
ko:K01928	pacc:PAC1_04065
ko:K01929	pacc:PAC1_04070
ko:K01000	pacc:PAC1_04075
ko:K01925	pacc:PAC1_04080
ko:K03588	pacc:PAC1_04085
ko:K02563	pacc:PAC1_04090
ko:K01924	pacc:PAC1_04095
ko:K03589	pacc:PAC1_04100
ko:K03531	pacc:PAC1_04105
ko:K05810	pacc:PAC1_04110
ko:K09772	pacc:PAC1_04115
ko:K02221	pacc:PAC1_04120
ko:K06204	pacc:PAC1_04130
ko:K03101	pacc:PAC1_04135
ko:K06180	pacc:PAC1_04140
ko:K00873	pacc:PAC1_04145
ko:K06199	pacc:PAC1_04150
ko:K06199	pacc:PAC1_04155
ko:K02945	pacc:PAC1_04190
ko:K02016	pacc:PAC1_04200
ko:K02015	pacc:PAC1_04205
ko:K02013	pacc:PAC1_04210
ko:K03078	pacc:PAC1_04660
ko:K00874	pacc:PAC1_04675
ko:K08369	pacc:PAC1_04680
ko:K00878	pacc:PAC1_04685
ko:K00788	pacc:PAC1_04690
ko:K01869	pacc:PAC1_04720
ko:K02237	pacc:PAC1_04725
ko:K02340	pacc:PAC1_04740
ko:K02968	pacc:PAC1_04745
ko:K03596	pacc:PAC1_04755
ko:K02551	pacc:PAC1_04765
ko:K01911	pacc:PAC1_04780
ko:K01661	pacc:PAC1_04785
ko:K01895	pacc:PAC1_04810
ko:K00134	pacc:PAC1_04370
ko:K00927	pacc:PAC1_04375
ko:K01803	pacc:PAC1_04380
ko:K03075	pacc:PAC1_04385
ko:K11754	pacc:PAC1_04395
ko:K00940	pacc:PAC1_04405
ko:K02888	pacc:PAC1_04425
ko:K02899	pacc:PAC1_04430
ko:K03979	pacc:PAC1_04450
ko:K00931	pacc:PAC1_04455
ko:K00147	pacc:PAC1_04460
ko:K00969	pacc:PAC1_04470
ko:K09710	pacc:PAC1_04475
ko:K02003	pacc:PAC1_04575
ko:K06958	pacc:PAC1_04355
ko:K11939	pacc:PAC1_04875
ko:K09761	pacc:PAC1_04845
ko:K03654	pacc:PAC1_04865
ko:K03705	pacc:PAC1_04835
ko:K03686	pacc:PAC1_04840
ko:K00773	pacc:PAC1_04880
ko:K00859	pacc:PAC1_04225
ko:K02013	pacc:PAC1_04260
ko:K02015	pacc:PAC1_04265
ko:K02016	pacc:PAC1_04270
ko:K03702	pacc:PAC1_04310
ko:K03701	pacc:PAC1_04330
ko:K03703	pacc:PAC1_04350
ko:K07667	pacc:PAC1_00625
ko:K03305	pacc:PAC1_00750
ko:K02768	pacc:PAC1_00770
ko:K02769	pacc:PAC1_00770
ko:K02770	pacc:PAC1_00770
ko:K07071	pacc:PAC1_01500
ko:K03575	pacc:PAC1_01555
ko:K01845	pacc:PAC1_01560
ko:K01698	pacc:PAC1_01565
ko:K01749	pacc:PAC1_01575
ko:K00231	pacc:PAC1_01580
ko:K01599	pacc:PAC1_01585
ko:K02492	pacc:PAC1_01590
ko:K01772	pacc:PAC1_01595
ko:K04485	pacc:PAC1_01615
ko:K03335	pacc:PAC1_02405
ko:K03704	pacc:PAC1_02450
ko:K02003	pacc:PAC1_03190
ko:K02313	pacc:PAC1_00005
ko:K02338	pacc:PAC1_00010
ko:K03629	pacc:PAC1_00020
ko:K01809	pacc:PAC1_00045
ko:K02470	pacc:PAC1_00050
ko:K02469	pacc:PAC1_00055
ko:K02529	pacc:PAC1_00070
ko:K03885	pacc:PAC1_00820
ko:K03579	pacc:PAC1_00830
ko:K03737	pacc:PAC1_00860
ko:K03303	pacc:PAC1_00885
ko:K00782	pacc:PAC1_00900
ko:K00318	pacc:PAC1_01635
ko:K00133	pacc:PAC1_01645
ko:K00286	pacc:PAC1_01650
ko:K13542	pacc:PAC1_01665
ko:K07399	pacc:PAC1_01685
ko:K07124	pacc:PAC1_01700
ko:K02016	pacc:PAC1_01720
ko:K02013	pacc:PAC1_01725
ko:K02015	pacc:PAC1_01730
ko:K02036	pacc:PAC1_01740
ko:K02038	pacc:PAC1_01745
ko:K02037	pacc:PAC1_01750
ko:K02040	pacc:PAC1_01755
ko:K00937	pacc:PAC1_01765
ko:K07560	pacc:PAC1_01780
ko:K06980	pacc:PAC1_01790
ko:K06901	pacc:PAC1_02465
ko:K00831	pacc:PAC1_02480
ko:K01443	pacc:PAC1_02485
ko:K00963	pacc:PAC1_02510
ko:K03282	pacc:PAC1_02520
ko:K03750	pacc:PAC1_02540
ko:K03790	pacc:PAC1_02545
ko:K03637	pacc:PAC1_02560
ko:K03750	pacc:PAC1_02565
ko:K03639	pacc:PAC1_02580
ko:K02020	pacc:PAC1_02590
ko:K00373	pacc:PAC1_02615
ko:K00371	pacc:PAC1_02620
ko:K00370	pacc:PAC1_02625
ko:K02575	pacc:PAC1_02630
ko:K13821	pacc:PAC1_03230
ko:K07101	pacc:PAC1_03250
ko:K03823	pacc:PAC1_03255
ko:K00324	pacc:PAC1_03260
ko:K00325	pacc:PAC1_03265
ko:K00613	pacc:PAC1_03290
ko:K03762	pacc:PAC1_03300
ko:K00975	pacc:PAC1_03330
ko:K01714	pacc:PAC1_03340
ko:K03117	pacc:PAC1_03345
ko:K02259	pacc:PAC1_03375
ko:K07164	pacc:PAC1_03390
ko:K02016	pacc:PAC1_03405
ko:K02015	pacc:PAC1_03410
ko:K02013	pacc:PAC1_03415
ko:K06200	pacc:PAC1_03430
ko:K01265	pacc:PAC1_03440
ko:K10441	pacc:PAC1_00075
ko:K06726	pacc:PAC1_00095
ko:K02773	pacc:PAC1_00105
ko:K02774	pacc:PAC1_00115
ko:K00817	pacc:PAC1_00165
ko:K01938	pacc:PAC1_00235
ko:K02003	pacc:PAC1_00260
ko:K00426	pacc:PAC1_00930
ko:K00425	pacc:PAC1_00935
ko:K04567	pacc:PAC1_00965
ko:K00991	pacc:PAC1_01815
ko:K01770	pacc:PAC1_01820
ko:K02781	pacc:PAC1_01825
ko:K02774	pacc:PAC1_01830
ko:K07736	pacc:PAC1_01835
ko:K02039	pacc:PAC1_01855
ko:K02773	pacc:PAC1_01870
ko:K02774	pacc:PAC1_01875
ko:K11738	pacc:PAC1_01885
ko:K01915	pacc:PAC1_03450
ko:K00982	pacc:PAC1_03460
ko:K01915	pacc:PAC1_03485
ko:K03522	pacc:PAC1_11280
ko:K03521	pacc:PAC1_11285
ko:K01875	pacc:PAC1_11315
ko:K00684	pacc:PAC1_11330
ko:K06153	pacc:PAC1_11350
ko:K02217	pacc:PAC1_11355
ko:K02939	pacc:PAC1_11365
ko:K02963	pacc:PAC1_11370
ko:K02990	pacc:PAC1_11380
ko:K01151	pacc:PAC1_11405
ko:K07124	pacc:PAC1_11410
ko:K00655	pacc:PAC1_11415
ko:K09125	pacc:PAC1_04910
ko:K07042	pacc:PAC1_04935
ko:K00806	pacc:PAC1_04965
ko:K03584	pacc:PAC1_04975
ko:K01880	pacc:PAC1_05000
ko:K00239	pacc:PAC1_05015
ko:K00240	pacc:PAC1_05020
ko:K01129	pacc:PAC1_05035
ko:K02069	pacc:PAC1_05040
ko:K06287	pacc:PAC1_08790
ko:K00868	pacc:PAC1_08815
ko:K03284	pacc:PAC1_08835
ko:K00382	pacc:PAC1_08855
ko:K00876	pacc:PAC1_08875
ko:K01874	pacc:PAC1_08890
ko:K02057	pacc:PAC1_08905
ko:K02057	pacc:PAC1_08910
ko:K07335	pacc:PAC1_08920
ko:K00031	pacc:PAC1_08940
ko:K01433	pacc:PAC1_08945
ko:K00024	pacc:PAC1_08950
ko:K13922	pacc:PAC1_08955
ko:K01491	pacc:PAC1_08965
ko:K00602	pacc:PAC1_08985
ko:K11175	pacc:PAC1_08990
ko:K00794	pacc:PAC1_08995
ko:K14652	pacc:PAC1_09000
ko:K00793	pacc:PAC1_09005
ko:K11752	pacc:PAC1_09010
ko:K01902	pacc:PAC1_09020
ko:K01903	pacc:PAC1_09025
ko:K03657	pacc:PAC1_09030
ko:K02073	pacc:PAC1_09040
ko:K15034	pacc:PAC1_06440
ko:K02114	pacc:PAC1_06475
ko:K02112	pacc:PAC1_06480
ko:K02115	pacc:PAC1_06485
ko:K02111	pacc:PAC1_06490
ko:K02113	pacc:PAC1_06495
ko:K02109	pacc:PAC1_06500
ko:K02110	pacc:PAC1_06505
ko:K02108	pacc:PAC1_06510
ko:K02493	pacc:PAC1_06535
ko:K02835	pacc:PAC1_06540
ko:K02909	pacc:PAC1_06545
ko:K03628	pacc:PAC1_06550
ko:K00872	pacc:PAC1_06555
ko:K01733	pacc:PAC1_06560
ko:K00003	pacc:PAC1_06565
ko:K01586	pacc:PAC1_06570
ko:K00164	pacc:PAC1_06580
ko:K03088	pacc:PAC1_06610
ko:K00800	pacc:PAC1_06620
ko:K06949	pacc:PAC1_06625
ko:K02034	pacc:PAC1_06655
ko:K02003	pacc:PAC1_10350
ko:K07085	pacc:PAC1_10370
ko:K03686	pacc:PAC1_10390
ko:K03687	pacc:PAC1_10395
ko:K04043	pacc:PAC1_10405
ko:K03306	pacc:PAC1_10415
ko:K09773	pacc:PAC1_10450
ko:K01079	pacc:PAC1_10460
ko:K01792	pacc:PAC1_10465
ko:K00627	pacc:PAC1_10590
ko:K00162	pacc:PAC1_10595
ko:K00161	pacc:PAC1_10600
ko:K00231	pacc:PAC1_10605
ko:K00008	pacc:PAC1_04850
ko:K00053	pacc:PAC1_07210
ko:K01653	pacc:PAC1_07215
ko:K02503	pacc:PAC1_07225
ko:K02500	pacc:PAC1_07230
ko:K03118	pacc:PAC1_07240
ko:K03116	pacc:PAC1_07245
ko:K06178	pacc:PAC1_07275
ko:K01937	pacc:PAC1_07300
ko:K03631	pacc:PAC1_07320
ko:K00858	pacc:PAC1_07325
ko:K06442	pacc:PAC1_07330
ko:K03523	pacc:PAC1_07350
ko:K01866	pacc:PAC1_07370
ko:K03402	pacc:PAC1_07375
ko:K01012	pacc:PAC1_07385
ko:K01890	pacc:PAC1_07390
ko:K01889	pacc:PAC1_07395
ko:K03437	pacc:PAC1_07400
ko:K02887	pacc:PAC1_07405
ko:K02916	pacc:PAC1_07410
ko:K02520	pacc:PAC1_07415
ko:K00765	pacc:PAC1_07430
ko:K03811	pacc:PAC1_07440
ko:K01647	pacc:PAC1_07460
ko:K03652	pacc:PAC1_11460
ko:K00113	pacc:PAC1_11465
ko:K00112	pacc:PAC1_11470
ko:K00111	pacc:PAC1_11475
ko:K03281	pacc:PAC1_11490
ko:K01950	pacc:PAC1_11550
ko:K00850	pacc:PAC1_11555
ko:K00259	pacc:PAC1_11560
ko:K11737	pacc:PAC1_11565
ko:K01647	pacc:PAC1_11590
ko:K00259	pacc:PAC1_11600
ko:K11737	pacc:PAC1_11645
ko:K11737	pacc:PAC1_11650
ko:K01775	pacc:PAC1_11655
ko:K00849	pacc:PAC1_11665
ko:K00973	pacc:PAC1_11670
ko:K00865	pacc:PAC1_11720
ko:K00697	pacc:PAC1_05065
ko:K01087	pacc:PAC1_05070
ko:K01738	pacc:PAC1_05075
ko:K00375	pacc:PAC1_05080
ko:K06215	pacc:PAC1_05085
ko:K08681	pacc:PAC1_05090
ko:K00833	pacc:PAC1_05095
ko:K01935	pacc:PAC1_05100
ko:K03924	pacc:PAC1_05140
ko:K06997	pacc:PAC1_05160
ko:K09458	pacc:PAC1_05170
ko:K02078	pacc:PAC1_05175
ko:K00648	pacc:PAC1_05180
ko:K00645	pacc:PAC1_05185
ko:K00077	pacc:PAC1_05190
ko:K00163	pacc:PAC1_05210
ko:K08281	pacc:PAC1_05225
ko:K02825	pacc:PAC1_05235
ko:K00609	pacc:PAC1_05240
ko:K01465	pacc:PAC1_05245
ko:K01956	pacc:PAC1_05250
ko:K01955	pacc:PAC1_05255
ko:K01591	pacc:PAC1_05270
ko:K00762	pacc:PAC1_05275
ko:K00995	pacc:PAC1_05290
ko:K03565	pacc:PAC1_05320
ko:K02071	pacc:PAC1_09045
ko:K02072	pacc:PAC1_09050
ko:K06131	pacc:PAC1_09055
ko:K01951	pacc:PAC1_09070
ko:K00640	pacc:PAC1_09075
ko:K04092	pacc:PAC1_09080
ko:K03310	pacc:PAC1_09100
ko:K04077	pacc:PAC1_09110
ko:K04078	pacc:PAC1_09115
ko:K02013	pacc:PAC1_09140
ko:K02015	pacc:PAC1_09145
ko:K02016	pacc:PAC1_09150
ko:K03789	pacc:PAC1_09165
ko:K06925	pacc:PAC1_09175
ko:K02003	pacc:PAC1_09195
ko:K00997	pacc:PAC1_09210
ko:K00820	pacc:PAC1_09215
ko:K03431	pacc:PAC1_09245
ko:K02996	pacc:PAC1_09250
ko:K02871	pacc:PAC1_09255
ko:K03439	pacc:PAC1_09275
ko:K06173	pacc:PAC1_09280
ko:K04096	pacc:PAC1_07490
ko:K07391	pacc:PAC1_07495
ko:K07460	pacc:PAC1_07500
ko:K03470	pacc:PAC1_07510
ko:K03100	pacc:PAC1_07515
ko:K02884	pacc:PAC1_07520
ko:K00240	pacc:PAC1_07530
ko:K00239	pacc:PAC1_07535
ko:K00554	pacc:PAC1_07545
ko:K02860	pacc:PAC1_07550
ko:K06960	pacc:PAC1_07555
ko:K02959	pacc:PAC1_07560
ko:K03106	pacc:PAC1_07570
ko:K03110	pacc:PAC1_07580
ko:K03685	pacc:PAC1_07615
ko:K02911	pacc:PAC1_07620
ko:K07040	pacc:PAC1_07625
ko:K02034	pacc:PAC1_07675
ko:K00954	pacc:PAC1_07710
ko:K00864	pacc:PAC1_11745
ko:K02440	pacc:PAC1_11750
ko:K00384	pacc:PAC1_11770
ko:K03671	pacc:PAC1_11795
ko:K00057	pacc:PAC1_11800
ko:K00615	pacc:PAC1_11830
ko:K01808	pacc:PAC1_11860
ko:K01686	pacc:PAC1_11875
ko:K01812	pacc:PAC1_11885
ko:K02529	pacc:PAC1_11890
ko:K01195	pacc:PAC1_11920
ko:K01921	pacc:PAC1_11940
ko:K03501	pacc:PAC1_11970
ko:K06168	pacc:PAC1_05340
ko:K00791	pacc:PAC1_05350
ko:K01778	pacc:PAC1_05355
ko:K03665	pacc:PAC1_05360
ko:K01356	pacc:PAC1_05370
ko:K07738	pacc:PAC1_05380
ko:K03578	pacc:PAC1_05400
ko:K10805	pacc:PAC1_05405
ko:K03086	pacc:PAC1_05415
ko:K02470	pacc:PAC1_05470
ko:K07791	pacc:PAC1_05475
ko:K02469	pacc:PAC1_05485
ko:K01681	pacc:PAC1_05565
ko:K01662	pacc:PAC1_05570
ko:K03684	pacc:PAC1_05575
ko:K01667	pacc:PAC1_05600
ko:K04564	pacc:PAC1_09325
ko:K12308	pacc:PAC1_09330
ko:K08368	pacc:PAC1_09340
ko:K02879	pacc:PAC1_09355
ko:K03040	pacc:PAC1_09360
ko:K02986	pacc:PAC1_09365
ko:K02948	pacc:PAC1_09370
ko:K02952	pacc:PAC1_09375
ko:K02919	pacc:PAC1_09385
ko:K02518	pacc:PAC1_09390
ko:K01265	pacc:PAC1_09395
ko:K03076	pacc:PAC1_09405
ko:K01126	pacc:PAC1_09420
ko:K02876	pacc:PAC1_09435
ko:K02907	pacc:PAC1_09440
ko:K02988	pacc:PAC1_09445
ko:K02881	pacc:PAC1_09450
ko:K02933	pacc:PAC1_09455
ko:K02994	pacc:PAC1_09460
ko:K02954	pacc:PAC1_09465
ko:K02931	pacc:PAC1_09470
ko:K02895	pacc:PAC1_09475
ko:K02874	pacc:PAC1_09480
ko:K02961	pacc:PAC1_09485
ko:K02904	pacc:PAC1_09490
ko:K02878	pacc:PAC1_09495
ko:K02982	pacc:PAC1_09500
ko:K02890	pacc:PAC1_09505
ko:K02965	pacc:PAC1_09510
ko:K02886	pacc:PAC1_09515
ko:K02892	pacc:PAC1_09520
ko:K02926	pacc:PAC1_09525
ko:K02906	pacc:PAC1_09530
ko:K02946	pacc:PAC1_09535
ko:K01886	pacc:PAC1_09560
ko:K02358	pacc:PAC1_09575
ko:K06133	pacc:PAC1_06775
ko:K07043	pacc:PAC1_06870
ko:K03657	pacc:PAC1_06885
ko:K03583	pacc:PAC1_06890
ko:K03582	pacc:PAC1_06895
ko:K03581	pacc:PAC1_06900
ko:K03426	pacc:PAC1_06905
ko:K03657	pacc:PAC1_06910
ko:K11738	pacc:PAC1_06945
ko:K01867	pacc:PAC1_06950
ko:K07053	pacc:PAC1_06955
ko:K13051	pacc:PAC1_10730
ko:K13051	pacc:PAC1_10735
ko:K09780	pacc:PAC1_10755
ko:K00886	pacc:PAC1_10795
ko:K02919	pacc:PAC1_10805
ko:K01887	pacc:PAC1_10825
ko:K01810	pacc:PAC1_10845
ko:K01625	pacc:PAC1_10855
ko:K04047	pacc:PAC1_10860
ko:K03655	pacc:PAC1_07725
ko:K02902	pacc:PAC1_07730
ko:K00156	pacc:PAC1_07745
ko:K00215	pacc:PAC1_07755
ko:K00962	pacc:PAC1_07760
ko:K02956	pacc:PAC1_07765
ko:K11753	pacc:PAC1_07770
ko:K02002	pacc:PAC1_07775
ko:K02001	pacc:PAC1_07780
ko:K02000	pacc:PAC1_07785
ko:K02781	pacc:PAC1_07825
ko:K02834	pacc:PAC1_07840
ko:K02519	pacc:PAC1_07860
ko:K07742	pacc:PAC1_07865
ko:K02600	pacc:PAC1_07870
ko:K09748	pacc:PAC1_07875
ko:K07090	pacc:PAC1_07885
ko:K01881	pacc:PAC1_07895
ko:K00099	pacc:PAC1_07950
ko:K00262	pacc:PAC1_07965
ko:K06941	pacc:PAC1_07970
ko:K03217	pacc:PAC1_12000
ko:K08998	pacc:PAC1_12005
ko:K03536	pacc:PAC1_12010
ko:K02914	pacc:PAC1_12015
ko:K13979	pacc:PAC1_05615
ko:K01868	pacc:PAC1_05635
ko:K00995	pacc:PAC1_05645
ko:K02437	pacc:PAC1_05670
ko:K08999	pacc:PAC1_05685
ko:K07058	pacc:PAC1_05695
ko:K05606	pacc:PAC1_05785
ko:K05838	pacc:PAC1_05795
ko:K05343	pacc:PAC1_05830
ko:K16147	pacc:PAC1_05835
ko:K04487	pacc:PAC1_05845
ko:K00566	pacc:PAC1_05850
