ko:K19405	ctct:CTW3_03740
ko:K01874	ctct:CTW3_00170
ko:K03581	ctct:CTW3_00175
ko:K01494	ctct:CTW3_00210
ko:K03551	ctct:CTW3_00220
ko:K01255	ctct:CTW3_00245
ko:K02340	ctct:CTW3_00255
ko:K07056	ctct:CTW3_00260
ko:K00164	ctct:CTW3_00295
ko:K00658	ctct:CTW3_00300
ko:K05810	ctct:CTW3_00305
ko:K03526	ctct:CTW3_00310
ko:K02400	ctct:CTW3_00330
ko:K02405	ctct:CTW3_00335
ko:K01866	ctct:CTW3_00340
ko:K00033	ctct:CTW3_00345
ko:K00351	ctct:CTW3_04140
ko:K03210	ctct:CTW3_04145
ko:K00231	ctct:CTW3_04165
ko:K01599	ctct:CTW3_04175
ko:K03723	ctct:CTW3_04180
ko:K01872	ctct:CTW3_04185
ko:K00615	ctct:CTW3_04210
ko:K01241	ctct:CTW3_04215
ko:K02356	ctct:CTW3_04225
ko:K01929	ctct:CTW3_04250
ko:K01000	ctct:CTW3_04255
ko:K01925	ctct:CTW3_04260
ko:K03588	ctct:CTW3_04270
ko:K02563	ctct:CTW3_04275
ko:K06960	ctct:CTW3_04285
ko:K00791	ctct:CTW3_04300
ko:K09710	ctct:CTW3_04315
ko:K09458	ctct:CTW3_04320
ko:K01507	ctct:CTW3_04330
ko:K00263	ctct:CTW3_04340
ko:K01082	ctct:CTW3_04345
ko:K00655	ctct:CTW3_04350
ko:K01909	ctct:CTW3_04355
ko:K04066	ctct:CTW3_04365
ko:K04567	ctct:CTW3_04385
ko:K01883	ctct:CTW3_04390
ko:K03536	ctct:CTW3_04400
ko:K02919	ctct:CTW3_04405
ko:K02954	ctct:CTW3_04410
ko:K03703	ctct:CTW3_04430
ko:K03555	ctct:CTW3_04435
ko:K14164	ctct:CTW3_04460
ko:K00995	ctct:CTW3_04470
ko:K00703	ctct:CTW3_04475
ko:K02897	ctct:CTW3_04485
ko:K01056	ctct:CTW3_04490
ko:K02990	ctct:CTW3_04495
ko:K02963	ctct:CTW3_04500
ko:K02939	ctct:CTW3_04505
ko:K00919	ctct:CTW3_04510
ko:K01408	ctct:CTW3_04525
ko:K00630	ctct:CTW3_04530
ko:K08301	ctct:CTW3_04535
ko:K02911	ctct:CTW3_04545
ko:K03621	ctct:CTW3_04550
ko:K03431	ctct:CTW3_04580
ko:K00820	ctct:CTW3_04585
ko:K03834	ctct:CTW3_04590
ko:K03834	ctct:CTW3_04600
ko:K06890	ctct:CTW3_04605
ko:K03110	ctct:CTW3_04610
ko:K01903	ctct:CTW3_04615
ko:K01902	ctct:CTW3_04620
ko:K06972	ctct:CTW3_04630
ko:K09760	ctct:CTW3_04635
ko:K17103	ctct:CTW3_04640
ko:K03439	ctct:CTW3_04655
ko:K00075	ctct:CTW3_04670
ko:K03625	ctct:CTW3_04680
ko:K02520	ctct:CTW3_04685
ko:K02916	ctct:CTW3_04690
ko:K02887	ctct:CTW3_04695
ko:K01889	ctct:CTW3_04700
ko:K11720	ctct:CTW3_04720
ko:K07091	ctct:CTW3_04725
ko:K04075	ctct:CTW3_04730
ko:K03798	ctct:CTW3_04735
ko:K00962	ctct:CTW3_04745
ko:K02956	ctct:CTW3_04750
ko:K01265	ctct:CTW3_04795
ko:K01679	ctct:CTW3_04815
ko:K03321	ctct:CTW3_04820
ko:K03527	ctct:CTW3_04840
ko:K04763	ctct:CTW3_04875
ko:K00700	ctct:CTW3_04885
ko:K03596	ctct:CTW3_00350
ko:K03301	ctct:CTW3_00355
ko:K11707	ctct:CTW3_00370
ko:K11710	ctct:CTW3_00375
ko:K11708	ctct:CTW3_00380
ko:K11709	ctct:CTW3_00385
ko:K00099	ctct:CTW3_00390
ko:K03629	ctct:CTW3_00405
ko:K02338	ctct:CTW3_00410
ko:K03664	ctct:CTW3_00415
ko:K03734	ctct:CTW3_00420
ko:K01491	ctct:CTW3_00425
ko:K02902	ctct:CTW3_00460
ko:K00705	ctct:CTW3_00465
ko:K04058	ctct:CTW3_00475
ko:K03230	ctct:CTW3_00480
ko:K03229	ctct:CTW3_00485
ko:K06942	ctct:CTW3_00495
ko:K11753	ctct:CTW3_00500
ko:K03177	ctct:CTW3_00505
ko:K02834	ctct:CTW3_00510
ko:K02519	ctct:CTW3_00515
ko:K02600	ctct:CTW3_00520
ko:K02945	ctct:CTW3_00525
ko:K00384	ctct:CTW3_00530
ko:K00997	ctct:CTW3_00535
ko:K00208	ctct:CTW3_00555
ko:K06179	ctct:CTW3_00565
ko:K03575	ctct:CTW3_00570
ko:K04077	ctct:CTW3_00585
ko:K04078	ctct:CTW3_00590
ko:K08602	ctct:CTW3_00595
ko:K03695	ctct:CTW3_00605
ko:K03602	ctct:CTW3_01795
ko:K01662	ctct:CTW3_01805
ko:K00873	ctct:CTW3_01810
ko:K03701	ctct:CTW3_01815
ko:K02343	ctct:CTW3_01820
ko:K09747	ctct:CTW3_01825
ko:K08483	ctct:CTW3_01830
ko:K11189	ctct:CTW3_01835
ko:K11381	ctct:CTW3_01855
ko:K03686	ctct:CTW3_01860
ko:K02970	ctct:CTW3_01865
ko:K01338	ctct:CTW3_01875
ko:K00784	ctct:CTW3_01885
ko:K03733	ctct:CTW3_01890
ko:K06287	ctct:CTW3_01900
ko:K03075	ctct:CTW3_01915
ko:K01462	ctct:CTW3_01920
ko:K02528	ctct:CTW3_01930
ko:K06888	ctct:CTW3_01945
ko:K03523	ctct:CTW3_01965
ko:K01714	ctct:CTW3_01980
ko:K00928	ctct:CTW3_01985
ko:K00133	ctct:CTW3_01990
ko:K00215	ctct:CTW3_01995
ko:K00800	ctct:CTW3_02005
ko:K00891	ctct:CTW3_02010
ko:K01736	ctct:CTW3_02015
ko:K01735	ctct:CTW3_02020
ko:K13832	ctct:CTW3_02025
ko:K00024	ctct:CTW3_02055
ko:K01810	ctct:CTW3_02060
ko:K03665	ctct:CTW3_02070
ko:K06167	ctct:CTW3_02075
ko:K09996	ctct:CTW3_02080
ko:K03856	ctct:CTW3_02085
ko:K00380	ctct:CTW3_02390
ko:K02946	ctct:CTW3_02395
ko:K02355	ctct:CTW3_02400
ko:K02992	ctct:CTW3_02405
ko:K02950	ctct:CTW3_02410
ko:K03797	ctct:CTW3_02420
ko:K01885	ctct:CTW3_02450
ko:K07462	ctct:CTW3_02460
ko:K12257	ctct:CTW3_02465
ko:K00806	ctct:CTW3_02490
ko:K00981	ctct:CTW3_02495
ko:K00945	ctct:CTW3_02500
ko:K00655	ctct:CTW3_02505
ko:K01887	ctct:CTW3_02510
ko:K00790	ctct:CTW3_02515
ko:K07098	ctct:CTW3_02545
ko:K00991	ctct:CTW3_02550
ko:K06173	ctct:CTW3_02555
ko:K07710	ctct:CTW3_02580
ko:K07714	ctct:CTW3_02585
ko:K03584	ctct:CTW3_02600
ko:K01890	ctct:CTW3_02635
ko:K00567	ctct:CTW3_02645
ko:K02034	ctct:CTW3_02650
ko:K02033	ctct:CTW3_02655
ko:K02035	ctct:CTW3_02660
ko:K01772	ctct:CTW3_02700
ko:K02030	ctct:CTW3_02705
ko:K07099	ctct:CTW3_02715
ko:K00975	ctct:CTW3_02720
ko:K03628	ctct:CTW3_02730
ko:K00859	ctct:CTW3_02735
ko:K03301	ctct:CTW3_02750
ko:K00995	ctct:CTW3_02755
ko:K03495	ctct:CTW3_02780
ko:K03800	ctct:CTW3_02785
ko:K00940	ctct:CTW3_02790
ko:K03550	ctct:CTW3_02795
ko:K01159	ctct:CTW3_02800
ko:K00134	ctct:CTW3_02820
ko:K02879	ctct:CTW3_02825
ko:K03040	ctct:CTW3_02830
ko:K02948	ctct:CTW3_02835
ko:K02952	ctct:CTW3_02840
ko:K03076	ctct:CTW3_02845
ko:K02876	ctct:CTW3_02850
ko:K02988	ctct:CTW3_02855
ko:K02881	ctct:CTW3_02860
ko:K02933	ctct:CTW3_02865
ko:K02994	ctct:CTW3_02870
ko:K02931	ctct:CTW3_02875
ko:K02895	ctct:CTW3_02880
ko:K02874	ctct:CTW3_02885
ko:K02961	ctct:CTW3_02890
ko:K02904	ctct:CTW3_02895
ko:K02878	ctct:CTW3_02900
ko:K02982	ctct:CTW3_02905
ko:K02890	ctct:CTW3_02910
ko:K02965	ctct:CTW3_02915
ko:K02886	ctct:CTW3_02920
ko:K02892	ctct:CTW3_02925
ko:K02926	ctct:CTW3_02930
ko:K02906	ctct:CTW3_02935
ko:K00604	ctct:CTW3_02945
ko:K00677	ctct:CTW3_02950
ko:K02372	ctct:CTW3_02955
ko:K02535	ctct:CTW3_02960
ko:K03820	ctct:CTW3_02965
ko:K02342	ctct:CTW3_02975
ko:K06925	ctct:CTW3_02980
ko:K03671	ctct:CTW3_02995
ko:K03216	ctct:CTW3_03000
ko:K01876	ctct:CTW3_03010
ko:K01892	ctct:CTW3_03015
ko:K07783	ctct:CTW3_03020
ko:K02337	ctct:CTW3_03025
ko:K07258	ctct:CTW3_03055
ko:K03311	ctct:CTW3_03070
ko:K00382	ctct:CTW3_03085
ko:K03644	ctct:CTW3_03090
ko:K03222	ctct:CTW3_03095
ko:K03223	ctct:CTW3_03110
ko:K03226	ctct:CTW3_03115
ko:K03227	ctct:CTW3_03120
ko:K03228	ctct:CTW3_03125
ko:K02455	ctct:CTW3_03155
ko:K02454	ctct:CTW3_03160
ko:K02453	ctct:CTW3_03165
ko:K01262	ctct:CTW3_03175
ko:K03572	ctct:CTW3_03180
ko:K01868	ctct:CTW3_03210
ko:K01867	ctct:CTW3_03230
ko:K03702	ctct:CTW3_03235
ko:K01689	ctct:CTW3_03240
ko:K07315	ctct:CTW3_03245
ko:K00240	ctct:CTW3_03260
ko:K00239	ctct:CTW3_03265
ko:K03424	ctct:CTW3_03275
ko:K04084	ctct:CTW3_03280
ko:K03562	ctct:CTW3_03285
ko:K03559	ctct:CTW3_03290
ko:K03641	ctct:CTW3_03300
ko:K03640	ctct:CTW3_03305
ko:K03386	ctct:CTW3_03320
ko:K02428	ctct:CTW3_03340
ko:K03648	ctct:CTW3_03350
ko:K03657	ctct:CTW3_03355
ko:K03092	ctct:CTW3_03360
ko:K06137	ctct:CTW3_03365
ko:K13941	ctct:CTW3_03380
ko:K01633	ctct:CTW3_03385
ko:K03086	ctct:CTW3_03390
ko:K02968	ctct:CTW3_03400
ko:K03980	ctct:CTW3_03435
ko:K01151	ctct:CTW3_03440
ko:K02986	ctct:CTW3_03450
ko:K07146	ctct:CTW3_03455
ko:K13789	ctct:CTW3_03460
ko:K01698	ctct:CTW3_03495
ko:K00346	ctct:CTW3_03500
ko:K00813	ctct:CTW3_03520
ko:K03582	ctct:CTW3_03530
ko:K03583	ctct:CTW3_03535
ko:K03168	ctct:CTW3_03550
ko:K02221	ctct:CTW3_03560
ko:K01934	ctct:CTW3_03580
ko:K03581	ctct:CTW3_03600
ko:K06861	ctct:CTW3_03610
ko:K01627	ctct:CTW3_03620
ko:K06180	ctct:CTW3_03645
ko:K06960	ctct:CTW3_03650
ko:K02469	ctct:CTW3_03655
ko:K02470	ctct:CTW3_03660
ko:K02492	ctct:CTW3_03665
ko:K03224	ctct:CTW3_03705
ko:K02417	ctct:CTW3_03720
ko:K03219	ctct:CTW3_03730
ko:K02838	ctct:CTW3_03770
ko:K09903	ctct:CTW3_03775
ko:K02357	ctct:CTW3_03780
ko:K02967	ctct:CTW3_03785
ko:K03162	ctct:CTW3_03800
ko:K09013	ctct:CTW3_03830
ko:K09015	ctct:CTW3_03835
ko:K11717	ctct:CTW3_03840
ko:K07220	ctct:CTW3_03860
ko:K03306	ctct:CTW3_03865
ko:K00927	ctct:CTW3_03870
ko:K10773	ctct:CTW3_03890
ko:K03650	ctct:CTW3_03895
ko:K01613	ctct:CTW3_03900
ko:K03070	ctct:CTW3_03910
ko:K03977	ctct:CTW3_03920
ko:K00970	ctct:CTW3_03925
ko:K03544	ctct:CTW3_03930
ko:K01358	ctct:CTW3_03935
ko:K03545	ctct:CTW3_03940
ko:K03569	ctct:CTW3_03960
ko:K01596	ctct:CTW3_03965
ko:K00057	ctct:CTW3_03985
ko:K00972	ctct:CTW3_03990
ko:K02412	ctct:CTW3_04000
ko:K02411	ctct:CTW3_04005
ko:K02409	ctct:CTW3_04010
ko:K13819	ctct:CTW3_04015
ko:K04487	ctct:CTW3_04020
ko:K01834	ctct:CTW3_04025
ko:K06178	ctct:CTW3_04030
ko:K03524	ctct:CTW3_04040
ko:K05837	ctct:CTW3_04045
ko:K01875	ctct:CTW3_04060
ko:K11752	ctct:CTW3_04065
ko:K14652	ctct:CTW3_04070
ko:K00794	ctct:CTW3_04075
ko:K03310	ctct:CTW3_04090
ko:K06910	ctct:CTW3_04095
ko:K07117	ctct:CTW3_04100
ko:K03466	ctct:CTW3_04110
ko:K01783	ctct:CTW3_00645
ko:K02356	ctct:CTW3_00650
ko:K02160	ctct:CTW3_00655
ko:K01961	ctct:CTW3_00660
ko:K02871	ctct:CTW3_00670
ko:K02996	ctct:CTW3_00675
ko:K00939	ctct:CTW3_00685
ko:K02029	ctct:CTW3_00690
ko:K02028	ctct:CTW3_00695
ko:K07058	ctct:CTW3_00705
ko:K06999	ctct:CTW3_00725
ko:K07566	ctct:CTW3_00730
ko:K02035	ctct:CTW3_00740
ko:K09125	ctct:CTW3_00745
ko:K07039	ctct:CTW3_00750
ko:K01972	ctct:CTW3_00785
ko:K06889	ctct:CTW3_00800
ko:K02913	ctct:CTW3_00805
ko:K09808	ctct:CTW3_00810
ko:K09810	ctct:CTW3_00815
ko:K03720	ctct:CTW3_00900
ko:K01696	ctct:CTW3_00910
ko:K02035	ctct:CTW3_00940
ko:K03611	ctct:CTW3_00945
ko:K06966	ctct:CTW3_02115
ko:K09131	ctct:CTW3_02120
ko:K10206	ctct:CTW3_02130
ko:K01881	ctct:CTW3_02145
ko:K03705	ctct:CTW3_02150
ko:K03687	ctct:CTW3_02155
ko:K04043	ctct:CTW3_02160
ko:K12573	ctct:CTW3_02165
ko:K07164	ctct:CTW3_02170
ko:K06041	ctct:CTW3_02180
ko:K00658	ctct:CTW3_02185
ko:K00912	ctct:CTW3_02200
ko:K03437	ctct:CTW3_02205
ko:K06969	ctct:CTW3_02210
ko:K00793	ctct:CTW3_02215
ko:K07738	ctct:CTW3_02220
ko:K06204	ctct:CTW3_02225
ko:K03101	ctct:CTW3_02230
ko:K03310	ctct:CTW3_02235
ko:K00970	ctct:CTW3_02240
ko:K00748	ctct:CTW3_02245
ko:K09815	ctct:CTW3_02270
ko:K09817	ctct:CTW3_02275
ko:K09816	ctct:CTW3_02280
ko:K03979	ctct:CTW3_02285
ko:K02899	ctct:CTW3_02290
ko:K02888	ctct:CTW3_02295
ko:K07042	ctct:CTW3_02320
ko:K03183	ctct:CTW3_02350
ko:K01778	ctct:CTW3_02360
ko:K01358	ctct:CTW3_02365
ko:K00600	ctct:CTW3_02370
ko:K01719	ctct:CTW3_02380
ko:K01770	ctct:CTW3_02385
ko:K02049	ctct:CTW3_00965
ko:K00979	ctct:CTW3_00985
ko:K01937	ctct:CTW3_00990
ko:K07447	ctct:CTW3_00995
ko:K00036	ctct:CTW3_01000
ko:K01057	ctct:CTW3_01005
ko:K02343	ctct:CTW3_01010
ko:K00943	ctct:CTW3_01015
ko:K02469	ctct:CTW3_01020
ko:K02470	ctct:CTW3_01025
ko:K00773	ctct:CTW3_01040
ko:K06213	ctct:CTW3_01045
ko:K01409	ctct:CTW3_01060
ko:K15580	ctct:CTW3_01065
ko:K15581	ctct:CTW3_01070
ko:K15582	ctct:CTW3_01075
ko:K10823	ctct:CTW3_01080
ko:K15583	ctct:CTW3_01085
ko:K03319	ctct:CTW3_01095
ko:K00850	ctct:CTW3_01100
ko:K06889	ctct:CTW3_01105
ko:K00895	ctct:CTW3_01110
ko:K02527	ctct:CTW3_01125
ko:K01869	ctct:CTW3_01130
ko:K01845	ctct:CTW3_01135
ko:K07735	ctct:CTW3_01140
ko:K08999	ctct:CTW3_01145
ko:K01807	ctct:CTW3_01150
ko:K03787	ctct:CTW3_01175
ko:K03179	ctct:CTW3_01180
ko:K03186	ctct:CTW3_01185
ko:K03308	ctct:CTW3_01260
ko:K02078	ctct:CTW3_01285
ko:K00059	ctct:CTW3_01290
ko:K00645	ctct:CTW3_01295
ko:K00648	ctct:CTW3_01300
ko:K06187	ctct:CTW3_01305
ko:K07277	ctct:CTW3_01310
ko:K06142	ctct:CTW3_01315
ko:K02536	ctct:CTW3_01320
ko:K00161	ctct:CTW3_01330
ko:K00162	ctct:CTW3_01335
ko:K00627	ctct:CTW3_01340
ko:K00688	ctct:CTW3_01345
ko:K02313	ctct:CTW3_01355
ko:K03217	ctct:CTW3_01360
ko:K07052	ctct:CTW3_01375
ko:K04487	ctct:CTW3_01395
ko:K02342	ctct:CTW3_01415
ko:K07083	ctct:CTW3_01420
ko:K01962	ctct:CTW3_01435
ko:K01448	ctct:CTW3_01450
ko:K01928	ctct:CTW3_01455
ko:K03587	ctct:CTW3_01460
ko:K03438	ctct:CTW3_01470
ko:K02313	ctct:CTW3_01485
ko:K00347	ctct:CTW3_01500
ko:K00348	ctct:CTW3_01505
ko:K00349	ctct:CTW3_01510
ko:K01980	ctct:CTW3_04130
ko:K01980	ctct:CTW3_04200
ko:K01977	ctct:CTW3_04195
ko:K01977	ctct:CTW3_04125
ko:K11645	ctct:CTW3_01160
ko:K01985	ctct:CTW3_04135
ko:K01985	ctct:CTW3_04205
ko:K01978	ctct:CTW3_02175
ko:K14233	ctct:CTW3_02265
ko:K07081	ctct:CTW3_02345
ko:K14218	ctct:CTW3_03515
ko:K14228	ctct:CTW3_02570
ko:K14218	ctct:CTW3_00975
ko:K14225	ctct:CTW3_03790
ko:K14220	ctct:CTW3_00200
ko:K08275	ctct:CTW3_00435
ko:K14232	ctct:CTW3_00325
ko:K08719	ctct:CTW3_03980
ko:K01802	ctct:CTW3_03005
ko:K14232	ctct:CTW3_03480
ko:K01921	ctct:CTW3_04280
ko:K01924	ctct:CTW3_04280
ko:K01829	ctct:CTW3_04375
ko:K01829	ctct:CTW3_04395
ko:K03309	ctct:CTW3_02195
ko:K07033	ctct:CTW3_03825
ko:K14228	ctct:CTW3_02810
ko:K14237	ctct:CTW3_04660
ko:K14235	ctct:CTW3_01730
ko:K14219	ctct:CTW3_03630
ko:K14226	ctct:CTW3_04115
ko:K14222	ctct:CTW3_04245
ko:K14234	ctct:CTW3_03735
ko:K14219	ctct:CTW3_02590
ko:K14234	ctct:CTW3_00755
ko:K14234	ctct:CTW3_01740
ko:K14224	ctct:CTW3_03760
ko:K14225	ctct:CTW3_03945
ko:K14237	ctct:CTW3_01200
ko:K14233	ctct:CTW3_04705
ko:K14233	ctct:CTW3_02760
ko:K14228	ctct:CTW3_02615
ko:K14236	ctct:CTW3_00760
ko:K14227	ctct:CTW3_00970
ko:K14230	ctct:CTW3_01120
ko:K14230	ctct:CTW3_01775
ko:K14233	ctct:CTW3_01950
ko:K14229	ctct:CTW3_03755
ko:K03825	ctct:CTW3_02530
ko:K03111	ctct:CTW3_00240
ko:K03496	ctct:CTW3_04970
ko:K03496	ctct:CTW3_03215
ko:K03497	ctct:CTW3_03845
ko:K02626	ctct:CTW3_02040
ko:K11991	ctct:CTW3_04755
ko:K04771	ctct:CTW3_04625
ko:K19411	ctct:CTW3_03745
ko:K02031	ctct:CTW3_03855
ko:K07125	ctct:CTW3_01760
ko:K22100	ctct:CTW3_01780
ko:K12132	ctct:CTW3_01620
ko:K20265	ctct:CTW3_01165
ko:K20074	ctct:CTW3_01400
ko:K14228	ctct:CTW3_04865
ko:K11749	ctct:CTW3_00395
ko:K01214	ctct:CTW3_00230
ko:K22099	ctct:CTW3_03370
ko:K00526	ctct:CTW3_04650
ko:K01520	ctct:CTW3_01580
ko:K02335	ctct:CTW3_02740
ko:K02316	ctct:CTW3_04445
ko:K02314	ctct:CTW3_04950
ko:K02314	ctct:CTW3_02775
ko:K00287	ctct:CTW3_03375
ko:K03553	ctct:CTW3_03590
ko:K02032	ctct:CTW3_03850
ko:K00525	ctct:CTW3_04645
ko:K02050	ctct:CTW3_04810
ko:K02051	ctct:CTW3_04810
ko:K01534	ctct:CTW3_04050
ko:K16239	ctct:CTW3_00455
