ko:K16238	kpk:A593_15915
ko:K03499	kpk:A593_08635
ko:K03282	kpk:A593_08640
ko:K09890	kpk:A593_08645
ko:K02879	kpk:A593_08660
ko:K03040	kpk:A593_08665
ko:K02986	kpk:A593_08670
ko:K02948	kpk:A593_08675
ko:K02952	kpk:A593_08680
ko:K03076	kpk:A593_08685
ko:K02876	kpk:A593_08690
ko:K02881	kpk:A593_08705
ko:K02933	kpk:A593_08710
ko:K02994	kpk:A593_08715
ko:K02954	kpk:A593_08720
ko:K02931	kpk:A593_08725
ko:K02895	kpk:A593_08730
ko:K02874	kpk:A593_08735
ko:K02878	kpk:A593_08750
ko:K02982	kpk:A593_08755
ko:K02890	kpk:A593_08760
ko:K02965	kpk:A593_08765
ko:K02886	kpk:A593_08770
ko:K02892	kpk:A593_08775
ko:K02926	kpk:A593_08780
ko:K02906	kpk:A593_08785
ko:K02946	kpk:A593_08790
ko:K02506	kpk:A593_08800
ko:K03594	kpk:A593_08805
ko:K02192	kpk:A593_08810
ko:K02356	kpk:A593_12795
ko:K16347	kpk:A593_12800
ko:K16348	kpk:A593_12805
ko:K03098	kpk:A593_12815
ko:K00247	kpk:A593_12820
ko:K00246	kpk:A593_12825
ko:K00245	kpk:A593_12830
ko:K00244	kpk:A593_12835
ko:K04568	kpk:A593_12840
ko:K01613	kpk:A593_12855
ko:K06949	kpk:A593_12860
ko:K13288	kpk:A593_12865
ko:K09996	kpk:A593_12870
ko:K17758	kpk:A593_12895
ko:K17759	kpk:A593_12895
ko:K06925	kpk:A593_12900
ko:K01448	kpk:A593_12905
ko:K03572	kpk:A593_12910
ko:K00791	kpk:A593_12915
ko:K03666	kpk:A593_12920
ko:K03665	kpk:A593_12925
ko:K04088	kpk:A593_12930
ko:K09937	kpk:A593_12945
ko:K13771	kpk:A593_12955
ko:K03218	kpk:A593_12965
ko:K09456	kpk:A593_12970
ko:K06889	kpk:A593_12985
ko:K03477	kpk:A593_12990
ko:K03476	kpk:A593_12995
ko:K03475	kpk:A593_13000
ko:K02822	kpk:A593_13005
ko:K02821	kpk:A593_13010
ko:K03078	kpk:A593_13015
ko:K03079	kpk:A593_13020
ko:K03077	kpk:A593_13025
ko:K02990	kpk:A593_13040
ko:K02686	kpk:A593_13045
ko:K02963	kpk:A593_13050
ko:K02939	kpk:A593_13055
ko:K07269	kpk:A593_13060
ko:K03773	kpk:A593_13065
ko:K11737	kpk:A593_13070
ko:K07322	kpk:A593_13075
ko:K16053	kpk:A593_17155
ko:K10679	kpk:A593_17185
ko:K18325	kpk:A593_17205
ko:K06048	kpk:A593_17240
ko:K02035	kpk:A593_17245
ko:K02033	kpk:A593_17250
ko:K02034	kpk:A593_17255
ko:K06016	kpk:A593_17270
ko:K00375	kpk:A593_17285
ko:K02029	kpk:A593_17295
ko:K02029	kpk:A593_17300
ko:K02028	kpk:A593_17305
ko:K15373	kpk:A593_17310
ko:K02034	kpk:A593_17330
ko:K02033	kpk:A593_17335
ko:K02035	kpk:A593_17340
ko:K02167	kpk:A593_17380
ko:K02168	kpk:A593_17385
ko:K03566	kpk:A593_17400
ko:K17203	kpk:A593_17420
ko:K17204	kpk:A593_17425
ko:K11904	kpk:A593_21480
ko:K11891	kpk:A593_21540
ko:K11910	kpk:A593_21545
ko:K11896	kpk:A593_21560
ko:K11895	kpk:A593_21565
ko:K11906	kpk:A593_21570
ko:K08969	kpk:A593_21640
ko:K02073	kpk:A593_21645
ko:K02072	kpk:A593_21655
ko:K00832	kpk:A593_21660
ko:K11734	kpk:A593_21675
ko:K16074	kpk:A593_21700
ko:K05591	kpk:A593_21705
ko:K14058	kpk:A593_21710
ko:K14061	kpk:A593_21715
ko:K14062	kpk:A593_21725
ko:K03737	kpk:A593_21730
ko:K03778	kpk:A593_21745
ko:K09978	kpk:A593_21765
ko:K14063	kpk:A593_21770
ko:K00046	kpk:A593_26075
ko:K00004	kpk:A593_26080
ko:K00013	kpk:A593_26090
ko:K02049	kpk:A593_26095
ko:K02050	kpk:A593_26100
ko:K02051	kpk:A593_26105
ko:K12972	kpk:A593_26115
ko:K06199	kpk:A593_26145
ko:K01689	kpk:A593_26150
ko:K15986	kpk:A593_26160
ko:K03981	kpk:A593_26230
ko:K14475	kpk:A593_26300
ko:K13409	kpk:A593_26340
ko:K03752	kpk:A593_10945
ko:K14234	kpk:A593_11850
ko:K01985	kpk:A593_08580
ko:K01985	kpk:A593_13730
ko:K01985	kpk:A593_12050
ko:K01985	kpk:A593_15490
ko:K01985	kpk:A593_08570
ko:K01980	kpk:A593_26840
ko:K18691	kpk:A593_04645
ko:K09896	kpk:A593_10950
ko:K03673	kpk:A593_10960
ko:K03978	kpk:A593_10975
ko:K09894	kpk:A593_10980
ko:K07712	kpk:A593_10990
ko:K07708	kpk:A593_10995
ko:K01915	kpk:A593_11000
ko:K06207	kpk:A593_11005
ko:K07058	kpk:A593_11015
ko:K07560	kpk:A593_11020
ko:K02380	kpk:A593_11045
ko:K00127	kpk:A593_11050
ko:K00124	kpk:A593_11055
ko:K00123	kpk:A593_11060
ko:K00123	kpk:A593_11065
ko:K02379	kpk:A593_11070
ko:K00850	kpk:A593_11080
ko:K02822	kpk:A593_11085
ko:K01894	kpk:A593_15130
ko:K06204	kpk:A593_15135
ko:K06206	kpk:A593_15140
ko:K01975	kpk:A593_15145
ko:K02463	kpk:A593_15160
ko:K02462	kpk:A593_15165
ko:K02461	kpk:A593_15170
ko:K02460	kpk:A593_15175
ko:K02459	kpk:A593_15180
ko:K02458	kpk:A593_15185
ko:K02457	kpk:A593_15190
ko:K02456	kpk:A593_15195
ko:K02454	kpk:A593_15205
ko:K02453	kpk:A593_15210
ko:K02452	kpk:A593_15215
ko:K02451	kpk:A593_15225
ko:K02465	kpk:A593_15230
ko:K05365	kpk:A593_15235
ko:K02014	kpk:A593_15240
ko:K02013	kpk:A593_15245
ko:K02016	kpk:A593_15250
ko:K02015	kpk:A593_15255
ko:K01845	kpk:A593_15260
ko:K03281	kpk:A593_15265
ko:K15724	kpk:A593_15270
ko:K06858	kpk:A593_15280
ko:K01243	kpk:A593_15285
ko:K01129	kpk:A593_15290
ko:K00674	kpk:A593_15310
ko:K00990	kpk:A593_15315
ko:K01265	kpk:A593_15320
ko:K02967	kpk:A593_15325
ko:K02357	kpk:A593_15330
ko:K09903	kpk:A593_15335
ko:K02838	kpk:A593_15340
ko:K00099	kpk:A593_15345
ko:K00806	kpk:A593_15350
ko:K00981	kpk:A593_15355
ko:K11749	kpk:A593_15360
ko:K07277	kpk:A593_15365
ko:K06142	kpk:A593_15370
ko:K02536	kpk:A593_15375
ko:K02372	kpk:A593_15380
ko:K00677	kpk:A593_15385
ko:K00748	kpk:A593_15390
ko:K03470	kpk:A593_15395
ko:K03658	kpk:A593_19430
ko:K01734	kpk:A593_19435
ko:K06929	kpk:A593_19440
ko:K11940	kpk:A593_19445
ko:K06969	kpk:A593_19450
ko:K06910	kpk:A593_19455
ko:K01512	kpk:A593_19465
ko:K15580	kpk:A593_19480
ko:K02012	kpk:A593_19495
ko:K02011	kpk:A593_19500
ko:K02010	kpk:A593_19505
ko:K11202	kpk:A593_19525
ko:K04069	kpk:A593_19530
ko:K00656	kpk:A593_19535
ko:K11202	kpk:A593_19540
ko:K11203	kpk:A593_19545
ko:K08483	kpk:A593_19550
ko:K11189	kpk:A593_19550
ko:K11201	kpk:A593_19550
ko:K00135	kpk:A593_19560
ko:K03451	kpk:A593_19570
ko:K07246	kpk:A593_19575
ko:K16135	kpk:A593_19580
ko:K09471	kpk:A593_19585
ko:K14056	kpk:A593_19595
ko:K09473	kpk:A593_19600
ko:K09470	kpk:A593_19605
ko:K14052	kpk:A593_19610
ko:K07124	kpk:A593_19625
ko:K01085	kpk:A593_19635
ko:K03809	kpk:A593_19645
ko:K09016	kpk:A593_19660
ko:K09024	kpk:A593_19665
ko:K09019	kpk:A593_19670
ko:K09023	kpk:A593_19675
ko:K09021	kpk:A593_19680
ko:K09020	kpk:A593_19685
ko:K09018	kpk:A593_19690
ko:K13821	kpk:A593_19705
ko:K01273	kpk:A593_23910
ko:K06136	kpk:A593_23920
ko:K06137	kpk:A593_23925
ko:K06138	kpk:A593_23930
ko:K06139	kpk:A593_23935
ko:K01951	kpk:A593_23945
ko:K05515	kpk:A593_23950
ko:K03782	kpk:A593_23960
ko:K02358	kpk:A593_23965
ko:K06916	kpk:A593_23975
ko:K08369	kpk:A593_23980
ko:K02030	kpk:A593_24005
ko:K04063	kpk:A593_24015
ko:K02972	kpk:A593_24095
ko:K00027	kpk:A593_24100
ko:K01507	kpk:A593_24120
ko:K13953	kpk:A593_24125
ko:K02035	kpk:A593_24130
ko:K02033	kpk:A593_24135
ko:K02034	kpk:A593_24140
ko:K02031	kpk:A593_24145
ko:K02032	kpk:A593_24145
ko:K01978	kpk:A593_25845
ko:K07788	kpk:A593_02445
ko:K07789	kpk:A593_02450
ko:K18326	kpk:A593_02455
ko:K07642	kpk:A593_02460
ko:K07664	kpk:A593_02465
ko:K08303	kpk:A593_02470
ko:K02034	kpk:A593_02490
ko:K02033	kpk:A593_02495
ko:K02035	kpk:A593_02500
ko:K00854	kpk:A593_02520
ko:K00007	kpk:A593_02525
ko:K00941	kpk:A593_02540
ko:K00878	kpk:A593_02545
ko:K01486	kpk:A593_02560
ko:K06901	kpk:A593_02565
ko:K03593	kpk:A593_02585
ko:K01874	kpk:A593_02590
ko:K02477	kpk:A593_02600
ko:K02478	kpk:A593_02605
ko:K05846	kpk:A593_02615
ko:K05847	kpk:A593_02620
ko:K05846	kpk:A593_02625
ko:K05845	kpk:A593_02630
ko:K05349	kpk:A593_02635
ko:K03777	kpk:A593_02640
ko:K03823	kpk:A593_02645
ko:K07262	kpk:A593_02650
ko:K01223	kpk:A593_02675
ko:K02755	kpk:A593_02680
ko:K02756	kpk:A593_02680
ko:K02757	kpk:A593_02680
ko:K03488	kpk:A593_02685
ko:K07267	kpk:A593_02690
ko:K05541	kpk:A593_02695
ko:K06518	kpk:A593_02700
ko:K03748	kpk:A593_02715
ko:K07154	kpk:A593_02720
ko:K06980	kpk:A593_06810
ko:K11068	kpk:A593_06815
ko:K09900	kpk:A593_06820
ko:K01223	kpk:A593_06830
ko:K08344	kpk:A593_06845
ko:K00281	kpk:A593_06865
ko:K02437	kpk:A593_06870
ko:K00605	kpk:A593_06875
ko:K03185	kpk:A593_06885
ko:K01262	kpk:A593_06890
ko:K09895	kpk:A593_06895
ko:K09888	kpk:A593_06900
ko:K01934	kpk:A593_06905
ko:K00058	kpk:A593_06910
ko:K01807	kpk:A593_06915
ko:K05596	kpk:A593_06920
ko:K09807	kpk:A593_06925
ko:K06895	kpk:A593_06930
ko:K01624	kpk:A593_06940
ko:K00927	kpk:A593_06945
ko:K03472	kpk:A593_06950
ko:K00615	kpk:A593_06955
ko:K07387	kpk:A593_06960
ko:K01480	kpk:A593_06970
ko:K01585	kpk:A593_06975
ko:K00789	kpk:A593_06985
ko:K08137	kpk:A593_06990
ko:K02742	kpk:A593_06995
ko:K01150	kpk:A593_07000
ko:K09761	kpk:A593_07005
ko:K01920	kpk:A593_07010
ko:K07735	kpk:A593_07015
ko:K07447	kpk:A593_07020
ko:K02669	kpk:A593_07030
ko:K06997	kpk:A593_07035
ko:K02221	kpk:A593_07040
ko:K09131	kpk:A593_07045
ko:K02428	kpk:A593_07050
ko:K09923	kpk:A593_07065
ko:K03439	kpk:A593_07070
ko:K03575	kpk:A593_07075
ko:K08306	kpk:A593_07085
ko:K03289	kpk:A593_07090
ko:K08996	kpk:A593_00160
ko:K10762	kpk:A593_00205
ko:K00101	kpk:A593_00280
ko:K02016	kpk:A593_00310
ko:K02015	kpk:A593_00315
ko:K02013	kpk:A593_00320
ko:K00549	kpk:A593_00330
ko:K09773	kpk:A593_00375
ko:K01626	kpk:A593_00380
ko:K08997	kpk:A593_00390
ko:K06941	kpk:A593_04490
ko:K00940	kpk:A593_04495
ko:K06894	kpk:A593_04505
ko:K01011	kpk:A593_04510
ko:K07751	kpk:A593_04525
ko:K04755	kpk:A593_04535
ko:K04044	kpk:A593_04540
ko:K04082	kpk:A593_04545
ko:K13628	kpk:A593_04550
ko:K04488	kpk:A593_04555
ko:K04487	kpk:A593_04560
ko:K13643	kpk:A593_04565
ko:K15396	kpk:A593_04570
ko:K01092	kpk:A593_04575
ko:K05820	kpk:A593_04600
ko:K15977	kpk:A593_04605
ko:K00600	kpk:A593_04610
ko:K05916	kpk:A593_04615
ko:K04751	kpk:A593_04620
ko:K07715	kpk:A593_04625
ko:K07711	kpk:A593_04635
ko:K01952	kpk:A593_04640
ko:K11991	kpk:A593_04650
ko:K00997	kpk:A593_04670
ko:K03584	kpk:A593_04680
ko:K03685	kpk:A593_04690
ko:K03100	kpk:A593_04695
ko:K03596	kpk:A593_04700
ko:K03803	kpk:A593_04705
ko:K03598	kpk:A593_04710
ko:K03597	kpk:A593_04715
ko:K03088	kpk:A593_04720
ko:K00278	kpk:A593_04725
ko:K15460	kpk:A593_04730
ko:K05590	kpk:A593_04735
ko:K03648	kpk:A593_04745
ko:K03214	kpk:A593_04750
ko:K03672	kpk:A593_04755
ko:K05812	kpk:A593_04760
ko:K02992	kpk:A593_08825
ko:K02950	kpk:A593_08830
ko:K07237	kpk:A593_08835
ko:K07236	kpk:A593_08840
ko:K07235	kpk:A593_08845
ko:K03772	kpk:A593_08855
ko:K03745	kpk:A593_08860
ko:K03775	kpk:A593_08865
ko:K07070	kpk:A593_08870
ko:K11747	kpk:A593_08875
ko:K06158	kpk:A593_08885
ko:K07019	kpk:A593_08890
ko:K09898	kpk:A593_08895
ko:K00855	kpk:A593_08900
ko:K07397	kpk:A593_08905
ko:K10914	kpk:A593_08910
ko:K01664	kpk:A593_08925
ko:K04095	kpk:A593_08930
ko:K03767	kpk:A593_08940
ko:K06141	kpk:A593_08945
ko:K01485	kpk:A593_08950
ko:K00362	kpk:A593_08955
ko:K00363	kpk:A593_08960
ko:K02302	kpk:A593_08965
ko:K01867	kpk:A593_08970
ko:K01091	kpk:A593_08975
ko:K01783	kpk:A593_08980
ko:K03112	kpk:A593_08990
ko:K01735	kpk:A593_08995
ko:K00891	kpk:A593_09000
ko:K02507	kpk:A593_09005
ko:K12291	kpk:A593_09010
ko:K12290	kpk:A593_09015
ko:K12289	kpk:A593_09020
ko:K12288	kpk:A593_09025
ko:K05366	kpk:A593_09030
ko:K08312	kpk:A593_09035
ko:K04762	kpk:A593_09050
ko:K04083	kpk:A593_09055
ko:K01610	kpk:A593_09060
ko:K07638	kpk:A593_09065
ko:K07659	kpk:A593_09070
ko:K04760	kpk:A593_09075
ko:K06959	kpk:A593_09080
ko:K04758	kpk:A593_09090
ko:K04759	kpk:A593_09095
ko:K07490	kpk:A593_09100
ko:K02170	kpk:A593_09110
ko:K01119	kpk:A593_13100
ko:K01082	kpk:A593_13105
ko:K07109	kpk:A593_13110
ko:K02529	kpk:A593_13135
ko:K01714	kpk:A593_13140
ko:K07304	kpk:A593_13155
ko:K07278	kpk:A593_13160
ko:K09800	kpk:A593_13165
ko:K01507	kpk:A593_13180
ko:K02058	kpk:A593_13185
ko:K02056	kpk:A593_13190
ko:K02057	kpk:A593_13195
ko:K02057	kpk:A593_13200
ko:K03841	kpk:A593_13205
ko:K02558	kpk:A593_13210
ko:K09889	kpk:A593_13225
ko:K03592	kpk:A593_13230
ko:K15536	kpk:A593_13235
ko:K01465	kpk:A593_13265
ko:K01042	kpk:A593_13270
ko:K01226	kpk:A593_13305
ko:K02818	kpk:A593_13310
ko:K02819	kpk:A593_13310
ko:K03485	kpk:A593_13315
ko:K01531	kpk:A593_13320
ko:K09022	kpk:A593_13325
ko:K00610	kpk:A593_13330
ko:K00609	kpk:A593_13335
ko:K00611	kpk:A593_13345
ko:K09893	kpk:A593_13350
ko:K06169	kpk:A593_13355
ko:K03828	kpk:A593_13360
ko:K17202	kpk:A593_17435
ko:K00864	kpk:A593_17440
ko:K00615	kpk:A593_17450
ko:K00615	kpk:A593_17455
ko:K02362	kpk:A593_17460
ko:K07214	kpk:A593_17470
ko:K02364	kpk:A593_17480
ko:K02013	kpk:A593_17490
ko:K02015	kpk:A593_17495
ko:K02015	kpk:A593_17500
ko:K08225	kpk:A593_17505
ko:K02016	kpk:A593_17510
ko:K02361	kpk:A593_17515
ko:K02363	kpk:A593_17520
ko:K01252	kpk:A593_17525
ko:K00216	kpk:A593_17530
ko:K06200	kpk:A593_17540
ko:K08317	kpk:A593_17565
ko:K02056	kpk:A593_17575
ko:K02057	kpk:A593_17580
ko:K02058	kpk:A593_17585
ko:K00899	kpk:A593_17595
ko:K08963	kpk:A593_17600
ko:K01093	kpk:A593_17605
ko:K07783	kpk:A593_17610
ko:K01092	kpk:A593_17615
ko:K01485	kpk:A593_17625
ko:K10974	kpk:A593_17635
ko:K08964	kpk:A593_17640
ko:K00058	kpk:A593_17650
ko:K10440	kpk:A593_17665
ko:K10441	kpk:A593_17670
ko:K10439	kpk:A593_17675
ko:K08351	kpk:A593_17680
ko:K08967	kpk:A593_17685
ko:K09880	kpk:A593_17690
ko:K14287	kpk:A593_17695
ko:K03805	kpk:A593_17715
ko:K00077	kpk:A593_21780
ko:K02030	kpk:A593_21790
ko:K07222	kpk:A593_21810
ko:K01438	kpk:A593_21825
ko:K00276	kpk:A593_21840
ko:K02618	kpk:A593_21845
ko:K02609	kpk:A593_21850
ko:K02610	kpk:A593_21855
ko:K02611	kpk:A593_21860
ko:K02612	kpk:A593_21865
ko:K02613	kpk:A593_21870
ko:K01692	kpk:A593_21875
ko:K15866	kpk:A593_21880
ko:K00074	kpk:A593_21885
ko:K02614	kpk:A593_21890
ko:K01912	kpk:A593_21900
ko:K02616	kpk:A593_21905
ko:K02617	kpk:A593_21910
ko:K01118	kpk:A593_21925
ko:K03578	kpk:A593_21930
ko:K06075	kpk:A593_21960
ko:K00626	kpk:A593_21990
ko:K00261	kpk:A593_22005
ko:K00840	kpk:A593_22015
ko:K00673	kpk:A593_22020
ko:K06447	kpk:A593_22025
ko:K01484	kpk:A593_22030
ko:K05526	kpk:A593_22035
ko:K07248	kpk:A593_22055
ko:K00134	kpk:A593_22060
ko:K01581	kpk:A593_07095
ko:K03475	kpk:A593_11090
ko:K02821	kpk:A593_11105
ko:K02529	kpk:A593_11130
ko:K07407	kpk:A593_11135
ko:K02532	kpk:A593_11140
ko:K02529	kpk:A593_11145
ko:K03534	kpk:A593_11160
ko:K10561	kpk:A593_11170
ko:K10560	kpk:A593_11175
ko:K10562	kpk:A593_11180
ko:K10559	kpk:A593_11185
ko:K01629	kpk:A593_11190
ko:K01813	kpk:A593_11195
ko:K00848	kpk:A593_11200
ko:K02854	kpk:A593_11210
ko:K02856	kpk:A593_11215
ko:K04564	kpk:A593_11220
ko:K07640	kpk:A593_11230
ko:K06006	kpk:A593_11240
ko:K13283	kpk:A593_11245
ko:K00850	kpk:A593_11250
ko:K02553	kpk:A593_11255
ko:K02548	kpk:A593_11260
ko:K03667	kpk:A593_11265
ko:K01419	kpk:A593_11270
ko:K03591	kpk:A593_11275
ko:K05499	kpk:A593_11280
ko:K04066	kpk:A593_11285
ko:K02909	kpk:A593_11290
ko:K03764	kpk:A593_11295
ko:K01739	kpk:A593_11300
ko:K12525	kpk:A593_11305
ko:K01607	kpk:A593_11310
ko:K00297	kpk:A593_11320
ko:K00005	kpk:A593_11325
ko:K08314	kpk:A593_11330
ko:K01595	kpk:A593_11345
ko:K01438	kpk:A593_11350
ko:K00145	kpk:A593_11355
ko:K00930	kpk:A593_11360
ko:K02337	kpk:A593_15400
ko:K01962	kpk:A593_15405
ko:K08234	kpk:A593_15415
ko:K04075	kpk:A593_15420
ko:K15034	kpk:A593_15440
ko:K06079	kpk:A593_15445
ko:K01881	kpk:A593_15455
ko:K06080	kpk:A593_15465
ko:K02073	kpk:A593_15470
ko:K02072	kpk:A593_15475
ko:K02071	kpk:A593_15480
ko:K06222	kpk:A593_15505
ko:K08307	kpk:A593_15530
ko:K01069	kpk:A593_15535
ko:K03469	kpk:A593_15545
ko:K02342	kpk:A593_15550
ko:K11249	kpk:A593_15565
ko:K06445	kpk:A593_15580
ko:K03271	kpk:A593_15585
ko:K00346	kpk:A593_15600
ko:K00347	kpk:A593_15605
ko:K00348	kpk:A593_15610
ko:K00349	kpk:A593_15615
ko:K00350	kpk:A593_15620
ko:K00351	kpk:A593_15625
ko:K05952	kpk:A593_15630
ko:K02346	kpk:A593_15640
ko:K03830	kpk:A593_15645
ko:K01270	kpk:A593_15650
ko:K00769	kpk:A593_15655
ko:K11750	kpk:A593_15660
ko:K11926	kpk:A593_15665
ko:K15735	kpk:A593_15670
ko:K11735	kpk:A593_15675
ko:K07250	kpk:A593_15680
ko:K11928	kpk:A593_19710
ko:K03317	kpk:A593_19720
ko:K07243	kpk:A593_19725
ko:K07224	kpk:A593_19730
ko:K16301	kpk:A593_19735
ko:K06911	kpk:A593_19755
