ko:K00001	blf:BLIF_0541
ko:K07133	blf:BLIF_0021
ko:K04047	blf:BLIF_0022
ko:K01673	blf:BLIF_0024
ko:K03386	blf:BLIF_0025
ko:K00384	blf:BLIF_0026
ko:K08177	blf:BLIF_0027
ko:K01595	blf:BLIF_0030
ko:K11928	blf:BLIF_0032
ko:K07282	blf:BLIF_1762
ko:K02346	blf:BLIF_1764
ko:K03294	blf:BLIF_1767
ko:K00075	blf:BLIF_1768
ko:K02913	blf:BLIF_1769
ko:K04078	blf:BLIF_1772
ko:K03790	blf:BLIF_1774
ko:K01934	blf:BLIF_1775
ko:K02935	blf:BLIF_1781
ko:K02864	blf:BLIF_1782
ko:K06901	blf:BLIF_1784
ko:K00962	blf:BLIF_1785
ko:K02956	blf:BLIF_1786
ko:K00997	blf:BLIF_1802
ko:K11533	blf:BLIF_1803
ko:K11263	blf:BLIF_1805
ko:K03523	blf:BLIF_1806
ko:K03524	blf:BLIF_1807
ko:K02863	blf:BLIF_1816
ko:K02867	blf:BLIF_1817
ko:K02601	blf:BLIF_1818
ko:K03073	blf:BLIF_1819
ko:K00931	blf:BLIF_1821
ko:K03979	blf:BLIF_1822
ko:K02899	blf:BLIF_1823
ko:K02888	blf:BLIF_1824
ko:K01439	blf:BLIF_1826
ko:K07088	blf:BLIF_1827
ko:K02003	blf:BLIF_1829
ko:K06287	blf:BLIF_1831
ko:K00872	blf:BLIF_1832
ko:K00003	blf:BLIF_1833
ko:K01586	blf:BLIF_1834
ko:K01887	blf:BLIF_1835
ko:K14155	blf:BLIF_1839
ko:K00790	blf:BLIF_1840
ko:K01704	blf:BLIF_1845
ko:K01703	blf:BLIF_1846
ko:K00937	blf:BLIF_1851
ko:K07133	blf:BLIF_1854
ko:K00761	blf:BLIF_1855
ko:K00783	blf:BLIF_1856
ko:K01885	blf:BLIF_1858
ko:K03695	blf:BLIF_1859
ko:K01745	blf:BLIF_1860
ko:K01854	blf:BLIF_1865
ko:K02338	blf:BLIF_0002
ko:K02755	blf:BLIF_1700
ko:K02756	blf:BLIF_1700
ko:K02757	blf:BLIF_1700
ko:K01278	blf:BLIF_0053
ko:K12267	blf:BLIF_0065
ko:K00773	blf:BLIF_0073
ko:K08372	blf:BLIF_0074
ko:K07133	blf:BLIF_0077
ko:K00528	blf:BLIF_0078
ko:K03799	blf:BLIF_0079
ko:K01624	blf:BLIF_0080
ko:K01939	blf:BLIF_0081
ko:K06199	blf:BLIF_0083
ko:K06199	blf:BLIF_0084
ko:K03484	blf:BLIF_0085
ko:K00690	blf:BLIF_0096
ko:K03484	blf:BLIF_0098
ko:K00053	blf:BLIF_0100
ko:K00053	blf:BLIF_0101
ko:K01187	blf:BLIF_0102
ko:K00705	blf:BLIF_0104
ko:K04043	blf:BLIF_0110
ko:K03687	blf:BLIF_0111
ko:K03686	blf:BLIF_0112
ko:K13640	blf:BLIF_0113
ko:K00059	blf:BLIF_0117
ko:K03975	blf:BLIF_0119
ko:K02283	blf:BLIF_0121
ko:K02343	blf:BLIF_0129
ko:K06187	blf:BLIF_0130
ko:K07284	blf:BLIF_0131
ko:K07133	blf:BLIF_0132
ko:K00928	blf:BLIF_0133
ko:K00928	blf:BLIF_0134
ko:K00133	blf:BLIF_0135
ko:K01649	blf:BLIF_0138
ko:K03168	blf:BLIF_0141
ko:K00943	blf:BLIF_0142
ko:K02341	blf:BLIF_0143
ko:K06910	blf:BLIF_0144
ko:K08659	blf:BLIF_0145
ko:K01938	blf:BLIF_0146
ko:K01792	blf:BLIF_0152
ko:K01885	blf:BLIF_0155
ko:K07243	blf:BLIF_0160
ko:K07230	blf:BLIF_0161
ko:K02004	blf:BLIF_0163
ko:K02004	blf:BLIF_0164
ko:K02003	blf:BLIF_0165
ko:K01421	blf:BLIF_0168
ko:K00033	blf:BLIF_0171
ko:K01057	blf:BLIF_0172
ko:K00036	blf:BLIF_0174
ko:K08659	blf:BLIF_0175
ko:K03110	blf:BLIF_0178
ko:K03320	blf:BLIF_0179
ko:K04751	blf:BLIF_0180
ko:K00990	blf:BLIF_0181
ko:K02314	blf:BLIF_0183
ko:K07009	blf:BLIF_0185
ko:K03688	blf:BLIF_0187
ko:K02529	blf:BLIF_0188
ko:K02027	blf:BLIF_0189
ko:K01867	blf:BLIF_0035
ko:K00688	blf:BLIF_0038
ko:K03469	blf:BLIF_1707
ko:K01807	blf:BLIF_1708
ko:K04485	blf:BLIF_1710
ko:K11753	blf:BLIF_1711
ko:K03177	blf:BLIF_1712
ko:K02834	blf:BLIF_1713
ko:K02519	blf:BLIF_1714
ko:K02600	blf:BLIF_1715
ko:K06173	blf:BLIF_1722
ko:K02879	blf:BLIF_1723
ko:K03040	blf:BLIF_1724
ko:K02948	blf:BLIF_1725
ko:K02952	blf:BLIF_1726
ko:K02919	blf:BLIF_1727
ko:K02518	blf:BLIF_1728
ko:K00939	blf:BLIF_1729
ko:K03076	blf:BLIF_1730
ko:K02876	blf:BLIF_1731
ko:K02907	blf:BLIF_1732
ko:K02988	blf:BLIF_1733
ko:K02881	blf:BLIF_1734
ko:K02933	blf:BLIF_1735
ko:K02994	blf:BLIF_1736
ko:K02954	blf:BLIF_1737
ko:K02931	blf:BLIF_1738
ko:K02895	blf:BLIF_1739
ko:K02874	blf:BLIF_1740
ko:K02961	blf:BLIF_1741
ko:K02904	blf:BLIF_1742
ko:K02878	blf:BLIF_1743
ko:K02982	blf:BLIF_1744
ko:K02890	blf:BLIF_1745
ko:K02965	blf:BLIF_1746
ko:K02886	blf:BLIF_1747
ko:K02892	blf:BLIF_1748
ko:K02926	blf:BLIF_1749
ko:K02906	blf:BLIF_1750
ko:K02946	blf:BLIF_1751
ko:K04072	blf:BLIF_1753
ko:K02996	blf:BLIF_1756
ko:K02871	blf:BLIF_1757
ko:K00705	blf:BLIF_1758
ko:K07272	blf:BLIF_1872
ko:K00973	blf:BLIF_1874
ko:K01710	blf:BLIF_1876
ko:K06950	blf:BLIF_1884
ko:K03549	blf:BLIF_1886
ko:K03424	blf:BLIF_1887
ko:K09955	blf:BLIF_1895
ko:K01372	blf:BLIF_1896
ko:K01874	blf:BLIF_1899
ko:K07056	blf:BLIF_1902
ko:K03734	blf:BLIF_1904
ko:K03655	blf:BLIF_1910
ko:K03293	blf:BLIF_1911
ko:K02004	blf:BLIF_1912
ko:K02003	blf:BLIF_1913
ko:K03293	blf:BLIF_1915
ko:K01421	blf:BLIF_1928
ko:K01421	blf:BLIF_1929
ko:K12410	blf:BLIF_1934
ko:K01754	blf:BLIF_1935
ko:K07407	blf:BLIF_1941
ko:K03316	blf:BLIF_1943
ko:K06999	blf:BLIF_1944
ko:K01494	blf:BLIF_1946
ko:K03218	blf:BLIF_1951
ko:K07284	blf:BLIF_1955
ko:K00526	blf:BLIF_1960
ko:K00525	blf:BLIF_1961
ko:K03647	blf:BLIF_1962
ko:K06191	blf:BLIF_1963
ko:K02025	blf:BLIF_0190
ko:K02026	blf:BLIF_0191
ko:K06997	blf:BLIF_0195
ko:K00948	blf:BLIF_0196
ko:K02990	blf:BLIF_0198
ko:K03111	blf:BLIF_0199
ko:K02963	blf:BLIF_0200
ko:K02939	blf:BLIF_0201
ko:K11189	blf:BLIF_0202
ko:K08483	blf:BLIF_0203
ko:K02440	blf:BLIF_0204
ko:K09760	blf:BLIF_0207
ko:K02435	blf:BLIF_0211
ko:K02433	blf:BLIF_0212
ko:K02434	blf:BLIF_0213
ko:K03628	blf:BLIF_0218
ko:K04092	blf:BLIF_0220
ko:K01873	blf:BLIF_0222
ko:K10773	blf:BLIF_0224
ko:K00567	blf:BLIF_0259
ko:K06902	blf:BLIF_0260
ko:K02902	blf:BLIF_0262
ko:K03655	blf:BLIF_0263
ko:K00554	blf:BLIF_0265
ko:K08303	blf:BLIF_0266
ko:K01304	blf:BLIF_0269
ko:K01372	blf:BLIF_0271
ko:K01372	blf:BLIF_0272
ko:K05595	blf:BLIF_0273
ko:K02027	blf:BLIF_0275
ko:K02025	blf:BLIF_0276
ko:K02026	blf:BLIF_0277
ko:K12111	blf:BLIF_0281
ko:K03458	blf:BLIF_0114
ko:K01176	blf:BLIF_0106
ko:K01929	blf:BLIF_1327
ko:K03587	blf:BLIF_1329
ko:K03438	blf:BLIF_1331
ko:K03925	blf:BLIF_1332
ko:K00058	blf:BLIF_1334
ko:K07738	blf:BLIF_1335
ko:K01356	blf:BLIF_1337
ko:K00016	blf:BLIF_1339
ko:K03665	blf:BLIF_1340
ko:K03578	blf:BLIF_1342
ko:K03426	blf:BLIF_0404
ko:K02437	blf:BLIF_0405
ko:K01354	blf:BLIF_0407
ko:K02335	blf:BLIF_0651
ko:K01246	blf:BLIF_0658
ko:K00800	blf:BLIF_0663
ko:K00925	blf:BLIF_0664
ko:K13788	blf:BLIF_0665
ko:K09710	blf:BLIF_0667
ko:K04042	blf:BLIF_0668
ko:K00948	blf:BLIF_0669
ko:K03325	blf:BLIF_0686
ko:K01951	blf:BLIF_0687
ko:K02073	blf:BLIF_0690
ko:K02071	blf:BLIF_0691
ko:K02072	blf:BLIF_0692
ko:K01950	blf:BLIF_0694
ko:K00656	blf:BLIF_0696
ko:K04069	blf:BLIF_0697
ko:K03684	blf:BLIF_0699
ko:K02945	blf:BLIF_0644
ko:K03545	blf:BLIF_0700
ko:K07386	blf:BLIF_1590
ko:K01881	blf:BLIF_1592
ko:K04069	blf:BLIF_1594
ko:K06990	blf:BLIF_1595
ko:K13288	blf:BLIF_1598
ko:K00088	blf:BLIF_1600
ko:K00661	blf:BLIF_1603
ko:K01996	blf:BLIF_1604
ko:K01995	blf:BLIF_1605
ko:K01998	blf:BLIF_1606
ko:K01997	blf:BLIF_1607
ko:K01999	blf:BLIF_1608
ko:K02493	blf:BLIF_1610
ko:K02835	blf:BLIF_1611
ko:K02909	blf:BLIF_1612
ko:K00854	blf:BLIF_1614
ko:K00661	blf:BLIF_1619
ko:K02529	blf:BLIF_1625
ko:K01805	blf:BLIF_1627
ko:K01462	blf:BLIF_1632
ko:K10547	blf:BLIF_1636
ko:K10548	blf:BLIF_1637
ko:K10546	blf:BLIF_1638
ko:K00845	blf:BLIF_1641
ko:K10805	blf:BLIF_1643
ko:K01358	blf:BLIF_0703
ko:K01358	blf:BLIF_0704
ko:K03544	blf:BLIF_0705
ko:K03313	blf:BLIF_0706
ko:K06966	blf:BLIF_0707
ko:K00240	blf:BLIF_0709
ko:K00239	blf:BLIF_0710
ko:K04096	blf:BLIF_0711
ko:K07391	blf:BLIF_0712
ko:K07460	blf:BLIF_0713
ko:K00868	blf:BLIF_0714
ko:K01740	blf:BLIF_0715
ko:K02003	blf:BLIF_0716
ko:K02004	blf:BLIF_0717
ko:K00286	blf:BLIF_0721
ko:K06942	blf:BLIF_0722
ko:K06200	blf:BLIF_0745
ko:K03306	blf:BLIF_0747
ko:K07220	blf:BLIF_0748
ko:K03655	blf:BLIF_0754
ko:K08281	blf:BLIF_0756
ko:K01814	blf:BLIF_1347
ko:K01817	blf:BLIF_1347
ko:K02501	blf:BLIF_1348
ko:K01693	blf:BLIF_1350
ko:K00817	blf:BLIF_1351
ko:K00013	blf:BLIF_1352
ko:K00854	blf:BLIF_1354
ko:K10254	blf:BLIF_1360
ko:K02337	blf:BLIF_1362
ko:K07058	blf:BLIF_1365
ko:K06180	blf:BLIF_1367
ko:K03101	blf:BLIF_1368
ko:K02221	blf:BLIF_1370
ko:K09772	blf:BLIF_1371
ko:K03531	blf:BLIF_1372
ko:K01880	blf:BLIF_1374
ko:K00878	blf:BLIF_1376
ko:K03147	blf:BLIF_1377
ko:K00941	blf:BLIF_1379
ko:K08369	blf:BLIF_1381
ko:K02529	blf:BLIF_1384
ko:K02532	blf:BLIF_1385
ko:K01193	blf:BLIF_1386
ko:K00806	blf:BLIF_1390
ko:K03584	blf:BLIF_1391
ko:K00099	blf:BLIF_1394
ko:K07177	blf:BLIF_1397
ko:K03657	blf:BLIF_1399
ko:K07727	blf:BLIF_0761
ko:K03458	blf:BLIF_0762
ko:K03816	blf:BLIF_0763
ko:K03657	blf:BLIF_0764
ko:K02004	blf:BLIF_0766
ko:K02003	blf:BLIF_0767
ko:K02986	blf:BLIF_0768
ko:K01872	blf:BLIF_0773
ko:K07447	blf:BLIF_0774
ko:K07082	blf:BLIF_0775
ko:K02654	blf:BLIF_0776
ko:K01736	blf:BLIF_0777
ko:K03786	blf:BLIF_0779
ko:K01439	blf:BLIF_0780
ko:K03488	blf:BLIF_1699
ko:K14232	blf:BLIF_tRNA49
ko:K02075	blf:BLIF_0640
ko:K08316	blf:BLIF_0264
ko:K01421	blf:BLIF_0169
ko:K12554	blf:BLIF_0326
ko:K03710	blf:BLIF_0486
ko:K06199	blf:BLIF_0540
ko:K07133	blf:BLIF_0546
ko:K03205	blf:BLIF_1171
ko:K03496	blf:BLIF_1193
ko:K00951	blf:BLIF_1203
ko:K01520	blf:BLIF_1204
ko:K02469	blf:BLIF_1208
ko:K03724	blf:BLIF_1210
ko:K00852	blf:BLIF_1211
ko:K02470	blf:BLIF_1213
ko:K03086	blf:BLIF_1214
ko:K13787	blf:BLIF_1216
ko:K00655	blf:BLIF_1218
ko:K00766	blf:BLIF_1220
ko:K03070	blf:BLIF_1223
ko:K03565	blf:BLIF_1225
ko:K03553	blf:BLIF_1226
ko:K03743	blf:BLIF_1229
ko:K00763	blf:BLIF_0319
ko:K00989	blf:BLIF_0322
ko:K12554	blf:BLIF_0324
ko:K01810	blf:BLIF_0328
ko:K02884	blf:BLIF_0329
ko:K03100	blf:BLIF_0330
ko:K03470	blf:BLIF_0331
ko:K01804	blf:BLIF_0336
ko:K07010	blf:BLIF_0337
ko:K00995	blf:BLIF_1230
ko:K03466	blf:BLIF_1231
ko:K04095	blf:BLIF_1232
ko:K00791	blf:BLIF_1233
ko:K06168	blf:BLIF_1234
ko:K06890	blf:BLIF_1237
ko:K00052	blf:BLIF_0408
ko:K03800	blf:BLIF_0409
ko:K00226	blf:BLIF_0413
ko:K00965	blf:BLIF_0415
ko:K00849	blf:BLIF_0416
ko:K07166	blf:BLIF_0417
ko:K09157	blf:BLIF_0418
ko:K03216	blf:BLIF_0419
ko:K03575	blf:BLIF_0420
ko:K03043	blf:BLIF_0422
ko:K03046	blf:BLIF_0423
ko:K03924	blf:BLIF_0429
ko:K03657	blf:BLIF_0433
ko:K00215	blf:BLIF_0435
ko:K01714	blf:BLIF_0436
ko:K12574	blf:BLIF_0437
ko:K01256	blf:BLIF_0438
ko:K07090	blf:BLIF_0439
ko:K03431	blf:BLIF_0441
ko:K01462	blf:BLIF_0442
ko:K02836	blf:BLIF_0445
ko:K09812	blf:BLIF_0446
ko:K09811	blf:BLIF_0447
ko:K03664	blf:BLIF_0449
ko:K02029	blf:BLIF_0452
ko:K00820	blf:BLIF_0454
ko:K02025	blf:BLIF_0458
ko:K02026	blf:BLIF_0459
ko:K12308	blf:BLIF_0460
ko:K02027	blf:BLIF_0463
ko:K02027	blf:BLIF_0464
ko:K13940	blf:BLIF_1645
ko:K00796	blf:BLIF_1646
ko:K01495	blf:BLIF_1647
ko:K03798	blf:BLIF_1648
ko:K00760	blf:BLIF_1649
ko:K04075	blf:BLIF_1650
ko:K07259	blf:BLIF_1651
ko:K00048	blf:BLIF_1657
ko:K00574	blf:BLIF_1658
ko:K01784	blf:BLIF_1660
ko:K03439	blf:BLIF_1661
ko:K01104	blf:BLIF_1664
ko:K00287	blf:BLIF_1665
ko:K00560	blf:BLIF_1666
ko:K00831	blf:BLIF_1673
ko:K02039	blf:BLIF_1676
ko:K02548	blf:BLIF_1678
ko:K04567	blf:BLIF_1679
ko:K01784	blf:BLIF_1688
ko:K00965	blf:BLIF_1689
ko:K02026	blf:BLIF_1692
ko:K02025	blf:BLIF_1693
ko:K02027	blf:BLIF_1694
ko:K01875	blf:BLIF_1697
ko:K02027	blf:BLIF_0465
ko:K03525	blf:BLIF_0466
ko:K02035	blf:BLIF_0467
ko:K02033	blf:BLIF_0468
ko:K02034	blf:BLIF_0469
ko:K02031	blf:BLIF_0470
ko:K02032	blf:BLIF_0471
ko:K01697	blf:BLIF_0472
ko:K03654	blf:BLIF_0475
ko:K07173	blf:BLIF_0476
ko:K03294	blf:BLIF_0478
ko:K01775	blf:BLIF_0479
ko:K01129	blf:BLIF_0480
ko:K02316	blf:BLIF_0481
ko:K06215	blf:BLIF_0484
ko:K08681	blf:BLIF_0485
ko:K13051	blf:BLIF_0487
ko:K02003	blf:BLIF_0494
ko:K01662	blf:BLIF_0497
ko:K01588	blf:BLIF_0499
ko:K01589	blf:BLIF_0500
ko:K03711	blf:BLIF_0501
ko:K02077	blf:BLIF_0503
ko:K01945	blf:BLIF_0506
ko:K01933	blf:BLIF_0507
ko:K00764	blf:BLIF_0508
ko:K02029	blf:BLIF_0510
ko:K09705	blf:BLIF_0512
ko:K01251	blf:BLIF_0514
ko:K03502	blf:BLIF_0515
ko:K03315	blf:BLIF_0519
ko:K07053	blf:BLIF_1402
ko:K01778	blf:BLIF_1404
ko:K01776	blf:BLIF_1405
ko:K01760	blf:BLIF_1413
ko:K02029	blf:BLIF_1417
ko:K06999	blf:BLIF_1418
ko:K02342	blf:BLIF_1420
ko:K00942	blf:BLIF_1421
ko:K01591	blf:BLIF_1422
ko:K01955	blf:BLIF_1423
ko:K01956	blf:BLIF_1424
ko:K03625	blf:BLIF_1425
ko:K02356	blf:BLIF_1426
ko:K02068	blf:BLIF_1427
ko:K02069	blf:BLIF_1428
ko:K00598	blf:BLIF_1431
ko:K00074	blf:BLIF_1433
ko:K01811	blf:BLIF_1434
ko:K03593	blf:BLIF_1440
ko:K01972	blf:BLIF_1441
ko:K00886	blf:BLIF_1447
ko:K07574	blf:BLIF_1452
ko:K08972	blf:BLIF_1453
ko:K01952	blf:BLIF_0523
ko:K01923	blf:BLIF_0524
ko:K08289	blf:BLIF_0525
ko:K01620	blf:BLIF_0528
ko:K03453	blf:BLIF_0529
ko:K02950	blf:BLIF_0531
ko:K02992	blf:BLIF_0532
ko:K02355	blf:BLIF_0533
ko:K02358	blf:BLIF_0534
ko:K06199	blf:BLIF_0539
ko:K07133	blf:BLIF_0542
ko:K03701	blf:BLIF_0548
ko:K07457	blf:BLIF_0550
ko:K01915	blf:BLIF_0558
ko:K00382	blf:BLIF_0561
ko:K03437	blf:BLIF_0567
ko:K01889	blf:BLIF_0568
ko:K01890	blf:BLIF_0569
ko:K00145	blf:BLIF_0571
ko:K00620	blf:BLIF_0572
ko:K00930	blf:BLIF_0573
ko:K00611	blf:BLIF_0575
ko:K03402	blf:BLIF_0576
ko:K01940	blf:BLIF_0577
ko:K01755	blf:BLIF_0579
ko:K03154	blf:BLIF_0580
ko:K03149	blf:BLIF_0581
ko:K10007	blf:BLIF_1472
ko:K10006	blf:BLIF_1473
ko:K10005	blf:BLIF_1474
ko:K10008	blf:BLIF_1475
ko:K01876	blf:BLIF_1477
ko:K01892	blf:BLIF_1478
ko:K01470	blf:BLIF_1481
ko:K03762	blf:BLIF_1482
ko:K03696	blf:BLIF_1486
ko:K03704	blf:BLIF_1489
ko:K04077	blf:BLIF_1494
ko:K03704	blf:BLIF_1495
ko:K03648	blf:BLIF_1497
ko:K03924	blf:BLIF_1498
ko:K07114	blf:BLIF_1502
ko:K01756	blf:BLIF_1507
ko:K03530	blf:BLIF_1509
ko:K13571	blf:BLIF_1510
ko:K13570	blf:BLIF_1511
ko:K01092	blf:BLIF_1512
ko:K13527	blf:BLIF_1514
ko:K01079	blf:BLIF_1516
ko:K04066	blf:BLIF_1517
ko:K07025	blf:BLIF_1518
ko:K00604	blf:BLIF_1519
ko:K01687	blf:BLIF_1520
ko:K03060	blf:BLIF_1521
ko:K00789	blf:BLIF_1522
ko:K01153	blf:BLIF_1523
ko:K01154	blf:BLIF_1525
ko:K03427	blf:BLIF_1526
ko:K01154	blf:BLIF_1529
ko:K01870	blf:BLIF_1530
ko:K06950	blf:BLIF_0584
ko:K01866	blf:BLIF_0586
ko:K06442	blf:BLIF_0590
ko:K03499	blf:BLIF_0592
ko:K00858	blf:BLIF_0594
ko:K03631	blf:BLIF_0595
ko:K01733	blf:BLIF_0602
ko:K00600	blf:BLIF_0603
ko:K00147	blf:BLIF_0604
ko:K00969	blf:BLIF_0606
ko:K01207	blf:BLIF_0607
ko:K09118	blf:BLIF_0608
ko:K03823	blf:BLIF_0609
ko:K01056	blf:BLIF_0610
ko:K03723	blf:BLIF_0611
ko:K01689	blf:BLIF_0613
ko:K09009	blf:BLIF_0615
ko:K01752	blf:BLIF_0618
ko:K03624	blf:BLIF_0620
ko:K11068	blf:BLIF_0621
ko:K03466	blf:BLIF_0625
ko:K00700	blf:BLIF_0637
ko:K07736	blf:BLIF_0638
ko:K01770	blf:BLIF_0639
ko:K02074	blf:BLIF_0641
ko:K02077	blf:BLIF_0642
ko:K01491	blf:BLIF_0643
ko:K14155	blf:BLIF_1532
ko:K02529	blf:BLIF_1534
ko:K00852	blf:BLIF_1536
ko:K01091	blf:BLIF_1538
ko:K01250	blf:BLIF_1539
ko:K01817	blf:BLIF_1541
ko:K00852	blf:BLIF_1546
ko:K05349	blf:BLIF_1550
ko:K06978	blf:BLIF_1553
ko:K05349	blf:BLIF_1561
ko:K01919	blf:BLIF_1563
ko:K04068	blf:BLIF_1565
ko:K03601	blf:BLIF_1568
ko:K03602	blf:BLIF_1569
ko:K03282	blf:BLIF_1572
ko:K07458	blf:BLIF_1579
ko:K00674	blf:BLIF_1585
ko:K01647	blf:BLIF_1586
ko:K01265	blf:BLIF_1587
ko:K00859	blf:BLIF_0645
ko:K03702	blf:BLIF_0646
ko:K05794	blf:BLIF_0647
ko:K00873	blf:BLIF_0648
ko:K01515	blf:BLIF_0649
ko:K01937	blf:BLIF_0781
ko:K09014	blf:BLIF_0783
ko:K09015	blf:BLIF_0784
ko:K09013	blf:BLIF_0785
ko:K11717	blf:BLIF_0786
ko:K04488	blf:BLIF_0787
ko:K00975	blf:BLIF_0789
ko:K09761	blf:BLIF_0791
ko:K02503	blf:BLIF_0792
ko:K06217	blf:BLIF_0793
ko:K07042	blf:BLIF_0794
ko:K03595	blf:BLIF_0796
ko:K00324	blf:BLIF_0798
ko:K00324	blf:BLIF_0799
ko:K00325	blf:BLIF_0800
ko:K06889	blf:BLIF_0801
ko:K02897	blf:BLIF_0802
ko:K00826	blf:BLIF_0803
ko:K02057	blf:BLIF_1458
ko:K02057	blf:BLIF_1459
ko:K07654	blf:BLIF_1463
ko:K07670	blf:BLIF_1464
ko:K07478	blf:BLIF_1465
ko:K01915	blf:BLIF_1345
ko:K07473	blf:BLIF_0842
ko:K02428	blf:BLIF_0891
