ko:K02428	cpu:cpfrc_01656
ko:K00163	cpu:cpfrc_01505
ko:K02078	cpu:cpfrc_01507
ko:K00820	cpu:cpfrc_01515
ko:K01129	cpu:cpfrc_01518
ko:K00940	cpu:cpfrc_01595
ko:K11754	cpu:cpfrc_01598
ko:K01873	cpu:cpfrc_01599
ko:K00024	cpu:cpfrc_01600
ko:K03544	cpu:cpfrc_01602
ko:K13950	cpu:cpfrc_01603
ko:K04756	cpu:cpfrc_01225
ko:K04761	cpu:cpfrc_01228
ko:K03578	cpu:cpfrc_01230
ko:K07738	cpu:cpfrc_01231
ko:K01356	cpu:cpfrc_01233
ko:K02768	cpu:cpfrc_01238
ko:K02769	cpu:cpfrc_01238
ko:K02770	cpu:cpfrc_01238
ko:K00299	cpu:cpfrc_01241
ko:K03665	cpu:cpfrc_01243
ko:K01609	cpu:cpfrc_01354
ko:K02500	cpu:cpfrc_01357
ko:K00995	cpu:cpfrc_01188
ko:K01868	cpu:cpfrc_01190
ko:K07156	cpu:cpfrc_01193
ko:K03684	cpu:cpfrc_01199
ko:K01662	cpu:cpfrc_01200
ko:K04762	cpu:cpfrc_01375
ko:K01754	cpu:cpfrc_01378
ko:K02337	cpu:cpfrc_01379
ko:K05786	cpu:cpfrc_01380
ko:K06180	cpu:cpfrc_01382
ko:K03101	cpu:cpfrc_01383
ko:K07503	cpu:cpfrc_00852
ko:K02346	cpu:cpfrc_01387
ko:K01870	cpu:cpfrc_01388
ko:K09772	cpu:cpfrc_01392
ko:K05810	cpu:cpfrc_01393
ko:K03531	cpu:cpfrc_01394
ko:K00700	cpu:cpfrc_00857
ko:K03589	cpu:cpfrc_01395
ko:K01924	cpu:cpfrc_01396
ko:K02563	cpu:cpfrc_01397
ko:K03588	cpu:cpfrc_01398
ko:K01925	cpu:cpfrc_01399
ko:K01000	cpu:cpfrc_01400
ko:K01929	cpu:cpfrc_01401
ko:K01928	cpu:cpfrc_01402
ko:K01733	cpu:cpfrc_01484
ko:K00982	cpu:cpfrc_01488
ko:K01915	cpu:cpfrc_01489
ko:K00849	cpu:cpfrc_01493
ko:K07164	cpu:cpfrc_01497
ko:K00817	cpu:cpfrc_01499
ko:K01880	cpu:cpfrc_01523
ko:K02034	cpu:cpfrc_01560
ko:K06997	cpu:cpfrc_01564
ko:K07112	cpu:cpfrc_01565
ko:K03596	cpu:cpfrc_01573
ko:K02968	cpu:cpfrc_01575
ko:K02340	cpu:cpfrc_01578
ko:K04751	cpu:cpfrc_01332
ko:K03110	cpu:cpfrc_01333
ko:K03529	cpu:cpfrc_01336
ko:K01512	cpu:cpfrc_01337
ko:K03310	cpu:cpfrc_01338
ko:K03685	cpu:cpfrc_01340
ko:K07040	cpu:cpfrc_01341
ko:K00259	cpu:cpfrc_01344
ko:K00262	cpu:cpfrc_01345
ko:K00865	cpu:cpfrc_01346
ko:K00688	cpu:cpfrc_01350
ko:K00873	cpu:cpfrc_01352
ko:K02237	cpu:cpfrc_01580
ko:K09710	cpu:cpfrc_01583
ko:K00969	cpu:cpfrc_01584
ko:K00147	cpu:cpfrc_01585
ko:K09790	cpu:cpfrc_01587
ko:K07085	cpu:cpfrc_01588
ko:K03427	cpu:cpfrc_01469
ko:K02003	cpu:cpfrc_01473
ko:K07084	cpu:cpfrc_01481
ko:K03311	cpu:cpfrc_01552
ko:K07088	cpu:cpfrc_01557
ko:K13953	cpu:cpfrc_01892
ko:K01906	cpu:cpfrc_01183
ko:K01186	cpu:cpfrc_00386
ko:K10563	cpu:cpfrc_01339
ko:K03317	cpu:cpfrc_01993
ko:K06147	cpu:cpfrc_01551
ko:K00108	cpu:cpfrc_01783
ko:K07316	cpu:cpfrc_01462
ko:K01156	cpu:cpfrc_01464
ko:K02004	cpu:cpfrc_01474
ko:K07035	cpu:cpfrc_01478
ko:K00088	cpu:cpfrc_01479
ko:K14221	cpu:cpfrc_t044
ko:K14221	cpu:cpfrc_t045
ko:K00652	cpu:cpfrc_01184
ko:K01916	cpu:cpfrc_01675
ko:K08256	cpu:cpfrc_01186
ko:K07305	cpu:cpfrc_01196
ko:K01424	cpu:cpfrc_01386
ko:K01104	cpu:cpfrc_01501
ko:K03711	cpu:cpfrc_01525
ko:K02035	cpu:cpfrc_01558
ko:K02033	cpu:cpfrc_01559
ko:K02035	cpu:cpfrc_01568
ko:K02238	cpu:cpfrc_01579
ko:K14230	cpu:cpfrc_t034
ko:K14224	cpu:cpfrc_t024
ko:K14224	cpu:cpfrc_t023
ko:K02566	cpu:cpfrc_01508
ko:K14234	cpu:cpfrc_t014
ko:K01768	cpu:cpfrc_00227
ko:K03767	cpu:cpfrc_00018
ko:K00537	cpu:cpfrc_00764
ko:K02755	cpu:cpfrc_00934
ko:K02756	cpu:cpfrc_00934
ko:K02757	cpu:cpfrc_00934
ko:K07792	cpu:cpfrc_00983
ko:K06889	cpu:cpfrc_00999
ko:K07397	cpu:cpfrc_00999
ko:K00033	cpu:cpfrc_01011
ko:K07054	cpu:cpfrc_01154
ko:K03768	cpu:cpfrc_01168
ko:K02035	cpu:cpfrc_01172
ko:K07030	cpu:cpfrc_00919
ko:K08974	cpu:cpfrc_00929
ko:K04763	cpu:cpfrc_00971
ko:K13540	cpu:cpfrc_01026
ko:K00595	cpu:cpfrc_01029
ko:K03727	cpu:cpfrc_01032
ko:K04488	cpu:cpfrc_01090
ko:K00616	cpu:cpfrc_01102
ko:K09762	cpu:cpfrc_01111
ko:K00567	cpu:cpfrc_01291
ko:K03404	cpu:cpfrc_01295
ko:K01840	cpu:cpfrc_00165
ko:K01977	cpu:cpfrc_r001
ko:K01977	cpu:cpfrc_r009
ko:K01977	cpu:cpfrc_r004
ko:K01977	cpu:cpfrc_r012
ko:K07052	cpu:cpfrc_02072
ko:K01802	cpu:cpfrc_00608
ko:K14232	cpu:cpfrc_t011
ko:K14233	cpu:cpfrc_t006
ko:K14219	cpu:cpfrc_t021
ko:K13573	cpu:cpfrc_01035
ko:K13571	cpu:cpfrc_01037
ko:K13570	cpu:cpfrc_01038
ko:K13527	cpu:cpfrc_01040
ko:K07442	cpu:cpfrc_01041
ko:K03743	cpu:cpfrc_01261
ko:K01523	cpu:cpfrc_01050
ko:K00548	cpu:cpfrc_01052
ko:K06910	cpu:cpfrc_01061
ko:K07588	cpu:cpfrc_01069
ko:K01847	cpu:cpfrc_01070
ko:K01847	cpu:cpfrc_01071
ko:K01092	cpu:cpfrc_01208
ko:K03087	cpu:cpfrc_01218
ko:K01784	cpu:cpfrc_01220
ko:K03177	cpu:cpfrc_01275
ko:K13787	cpu:cpfrc_01411
ko:K00845	cpu:cpfrc_01419
ko:K13668	cpu:cpfrc_01420
ko:K03891	cpu:cpfrc_01423
ko:K03890	cpu:cpfrc_01424
ko:K03889	cpu:cpfrc_01425
ko:K01823	cpu:cpfrc_01545
ko:K03386	cpu:cpfrc_01226
ko:K03436	cpu:cpfrc_01234
ko:K08483	cpu:cpfrc_01235
ko:K03436	cpu:cpfrc_01236
ko:K00882	cpu:cpfrc_01237
ko:K01496	cpu:cpfrc_01356
ko:K01092	cpu:cpfrc_01358
ko:K01814	cpu:cpfrc_01359
ko:K01817	cpu:cpfrc_01359
ko:K02342	cpu:cpfrc_01371
ko:K01808	cpu:cpfrc_01610
ko:K01256	cpu:cpfrc_01613
ko:K06886	cpu:cpfrc_01616
ko:K14219	cpu:cpfrc_t038
ko:K11189	cpu:cpfrc_01239
ko:K10947	cpu:cpfrc_01859
ko:K01897	cpu:cpfrc_00255
ko:K14232	cpu:cpfrc_t026
ko:K14230	cpu:cpfrc_t015
ko:K14232	cpu:cpfrc_t036
ko:K02013	cpu:cpfrc_00859
ko:K14223	cpu:cpfrc_t019
ko:K14228	cpu:cpfrc_t041
ko:K14233	cpu:cpfrc_t010
ko:K14225	cpu:cpfrc_t049
ko:K05565	cpu:cpfrc_01810
ko:K00758	cpu:cpfrc_01995
ko:K14233	cpu:cpfrc_t005
ko:K14260	cpu:cpfrc_01929
ko:K14347	cpu:cpfrc_02090
ko:K01840	cpu:cpfrc_00510
ko:K14228	cpu:cpfrc_t004
ko:K14234	cpu:cpfrc_t048
ko:K01358	cpu:cpfrc_01604
ko:K01358	cpu:cpfrc_01605
ko:K03545	cpu:cpfrc_01606
ko:K06911	cpu:cpfrc_01609
ko:K06867	cpu:cpfrc_01577
ko:K03709	cpu:cpfrc_01219
ko:K02056	cpu:cpfrc_00016
ko:K14225	cpu:cpfrc_t037
ko:K01046	cpu:cpfrc_00070
ko:K14233	cpu:cpfrc_t009
ko:K14223	cpu:cpfrc_t022
ko:K14228	cpu:cpfrc_t027
ko:K14231	cpu:cpfrc_t043
ko:K14222	cpu:cpfrc_t030
ko:K00666	cpu:cpfrc_00836
ko:K14226	cpu:cpfrc_t039
ko:K00130	cpu:cpfrc_01781
ko:K14236	cpu:cpfrc_t013
ko:K14337	cpu:cpfrc_01412
ko:K01259	cpu:cpfrc_00695
ko:K14339	cpu:cpfrc_01096
ko:K03709	cpu:cpfrc_00447
ko:K14224	cpu:cpfrc_t046
ko:K14136	cpu:cpfrc_01962
ko:K05794	cpu:cpfrc_01264
ko:K14393	cpu:cpfrc_00614
ko:K00965	cpu:cpfrc_00809
ko:K14237	cpu:cpfrc_t028
ko:K14230	cpu:cpfrc_t017
ko:K14237	cpu:cpfrc_t031
ko:K14225	cpu:cpfrc_t029
ko:K14225	cpu:cpfrc_t032
ko:K14220	cpu:cpfrc_t035
ko:K14445	cpu:cpfrc_00123
ko:K14228	cpu:cpfrc_t020
ko:K14218	cpu:cpfrc_t042
ko:K00721	cpu:cpfrc_01020
ko:K02484	cpu:cpfrc_01740
ko:K02029	cpu:cpfrc_00927
ko:K01990	cpu:cpfrc_02022
ko:K04517	cpu:cpfrc_00134
ko:K01985	cpu:cpfrc_r003
ko:K01985	cpu:cpfrc_r010
ko:K01985	cpu:cpfrc_r006
ko:K01985	cpu:cpfrc_r007
ko:K02030	cpu:cpfrc_01828
ko:K01980	cpu:cpfrc_r002
ko:K01980	cpu:cpfrc_r008
ko:K01980	cpu:cpfrc_r011
ko:K01980	cpu:cpfrc_r005
ko:K02057	cpu:cpfrc_00015
ko:K05570	cpu:cpfrc_00186
ko:K05565	cpu:cpfrc_00190
ko:K01267	cpu:cpfrc_01042
ko:K14235	cpu:cpfrc_t016
ko:K09819	cpu:cpfrc_00317
ko:K00674	cpu:cpfrc_00776
ko:K02483	cpu:cpfrc_01741
ko:K00970	cpu:cpfrc_02095
ko:K01515	cpu:cpfrc_00970
ko:K00098	cpu:cpfrc_00141
ko:K00046	cpu:cpfrc_00142
ko:K03088	cpu:cpfrc_00174
ko:K03781	cpu:cpfrc_00175
ko:K02283	cpu:cpfrc_00217
ko:K06877	cpu:cpfrc_00223
ko:K03704	cpu:cpfrc_00224
ko:K03168	cpu:cpfrc_00225
ko:K02881	cpu:cpfrc_00370
ko:K02341	cpu:cpfrc_00228
ko:K00973	cpu:cpfrc_00232
ko:K01322	cpu:cpfrc_00236
ko:K00382	cpu:cpfrc_00239
ko:K07110	cpu:cpfrc_00240
ko:K00241	cpu:cpfrc_00241
ko:K00239	cpu:cpfrc_00242
ko:K00240	cpu:cpfrc_00243
ko:K01619	cpu:cpfrc_00247
ko:K02492	cpu:cpfrc_00270
ko:K01749	cpu:cpfrc_00271
ko:K13542	cpu:cpfrc_00272
ko:K01698	cpu:cpfrc_00273
ko:K01599	cpu:cpfrc_00276
ko:K00231	cpu:cpfrc_00277
ko:K03837	cpu:cpfrc_00363
ko:K01752	cpu:cpfrc_00364
ko:K01424	cpu:cpfrc_00366
ko:K02994	cpu:cpfrc_00368
ko:K02933	cpu:cpfrc_00369
ko:K01524	cpu:cpfrc_00717
ko:K01239	cpu:cpfrc_01774
ko:K09146	cpu:cpfrc_00765
ko:K01126	cpu:cpfrc_01992
ko:K04564	cpu:cpfrc_01998
ko:K08224	cpu:cpfrc_02000
ko:K07146	cpu:cpfrc_02012
ko:K03217	cpu:cpfrc_02015
ko:K09125	cpu:cpfrc_02017
ko:K00966	cpu:cpfrc_00506
ko:K05569	cpu:cpfrc_01813
ko:K00111	cpu:cpfrc_01868
ko:K03695	cpu:cpfrc_01876
ko:K02013	cpu:cpfrc_01918
ko:K02015	cpu:cpfrc_01919
ko:K02016	cpu:cpfrc_01920
ko:K03190	cpu:cpfrc_01921
ko:K03189	cpu:cpfrc_01922
ko:K03188	cpu:cpfrc_01923
ko:K03187	cpu:cpfrc_01924
ko:K01428	cpu:cpfrc_01925
ko:K01429	cpu:cpfrc_01926
ko:K01430	cpu:cpfrc_01927
ko:K04567	cpu:cpfrc_01931
ko:K00012	cpu:cpfrc_01934
ko:K01494	cpu:cpfrc_01935
ko:K01207	cpu:cpfrc_01938
ko:K14229	cpu:cpfrc_t040
ko:K09936	cpu:cpfrc_01617
ko:K07107	cpu:cpfrc_01619
ko:K02217	cpu:cpfrc_01670
ko:K02919	cpu:cpfrc_01674
ko:K02038	cpu:cpfrc_01711
ko:K02037	cpu:cpfrc_01712
ko:K02040	cpu:cpfrc_01713
ko:K06980	cpu:cpfrc_01719
ko:K01933	cpu:cpfrc_01721
ko:K00764	cpu:cpfrc_01722
ko:K11068	cpu:cpfrc_01726
ko:K01952	cpu:cpfrc_01727
ko:K01952	cpu:cpfrc_01728
ko:K01952	cpu:cpfrc_01729
ko:K00432	cpu:cpfrc_01730
ko:K01354	cpu:cpfrc_01731
ko:K01923	cpu:cpfrc_01733
ko:K01756	cpu:cpfrc_01734
ko:K01945	cpu:cpfrc_01737
ko:K00991	cpu:cpfrc_01760
ko:K07736	cpu:cpfrc_01761
ko:K04485	cpu:cpfrc_01765
ko:K01673	cpu:cpfrc_01767
ko:K03575	cpu:cpfrc_01768
ko:K03696	cpu:cpfrc_01771
ko:K04567	cpu:cpfrc_01777
ko:K02168	cpu:cpfrc_01782
ko:K01918	cpu:cpfrc_01784
ko:K00950	cpu:cpfrc_01788
ko:K01633	cpu:cpfrc_01789
ko:K00796	cpu:cpfrc_01790
ko:K01495	cpu:cpfrc_01791
ko:K03798	cpu:cpfrc_01792
ko:K00760	cpu:cpfrc_01793
ko:K04075	cpu:cpfrc_01794
ko:K07259	cpu:cpfrc_01795
ko:K11103	cpu:cpfrc_01798
ko:K05571	cpu:cpfrc_01815
ko:K06048	cpu:cpfrc_01817
ko:K01462	cpu:cpfrc_01820
ko:K01142	cpu:cpfrc_01822
ko:K06131	cpu:cpfrc_01823
ko:K00925	cpu:cpfrc_01830
ko:K13788	cpu:cpfrc_01831
ko:K00528	cpu:cpfrc_01832
ko:K08289	cpu:cpfrc_01835
ko:K07101	cpu:cpfrc_01836
ko:K07399	cpu:cpfrc_01845
ko:K03385	cpu:cpfrc_01847
ko:K01939	cpu:cpfrc_01849
ko:K14194	cpu:cpfrc_01861
ko:K01624	cpu:cpfrc_01862
ko:K03312	cpu:cpfrc_01880
ko:K02003	cpu:cpfrc_01888
ko:K03686	cpu:cpfrc_01897
ko:K03687	cpu:cpfrc_01898
ko:K04043	cpu:cpfrc_01899
ko:K02034	cpu:cpfrc_01909
ko:K03306	cpu:cpfrc_01913
ko:K00762	cpu:cpfrc_01865
ko:K03439	cpu:cpfrc_01946
ko:K01126	cpu:cpfrc_01968
ko:K02445	cpu:cpfrc_01969
ko:K14228	cpu:cpfrc_t025
ko:K09136	cpu:cpfrc_01624
ko:K09136	cpu:cpfrc_01629
ko:K06200	cpu:cpfrc_01633
ko:K07124	cpu:cpfrc_01636
ko:K13288	cpu:cpfrc_01637
ko:K01714	cpu:cpfrc_01638
ko:K08281	cpu:cpfrc_01641
ko:K03564	cpu:cpfrc_01644
ko:K00997	cpu:cpfrc_01646
ko:K11533	cpu:cpfrc_01647
ko:K00989	cpu:cpfrc_01657
ko:K01776	cpu:cpfrc_01659
ko:K06891	cpu:cpfrc_01662
ko:K00763	cpu:cpfrc_01663
ko:K01079	cpu:cpfrc_01666
ko:K06199	cpu:cpfrc_01691
ko:K06199	cpu:cpfrc_01692
ko:K02003	cpu:cpfrc_01694
ko:K00790	cpu:cpfrc_01695
ko:K01738	cpu:cpfrc_01698
ko:K00640	cpu:cpfrc_01699
ko:K06975	cpu:cpfrc_01700
ko:K00005	cpu:cpfrc_01701
ko:K00425	cpu:cpfrc_01702
ko:K00426	cpu:cpfrc_01703
ko:K02039	cpu:cpfrc_01708
ko:K02036	cpu:cpfrc_01710
ko:K00156	cpu:cpfrc_01748
ko:K00697	cpu:cpfrc_01752
ko:K01087	cpu:cpfrc_01754
ko:K03218	cpu:cpfrc_01757
ko:K01883	cpu:cpfrc_01758
ko:K01770	cpu:cpfrc_01759
ko:K04077	cpu:cpfrc_01805
ko:K05567	cpu:cpfrc_01811
ko:K14234	cpu:cpfrc_t012
ko:K14219	cpu:cpfrc_t007
