ko:K18917	cgq:CGLAR1_04630
ko:K01265	cgq:CGLAR1_03265
ko:K02518	cgq:CGLAR1_03275
ko:K02952	cgq:CGLAR1_03280
ko:K02948	cgq:CGLAR1_03285
ko:K02986	cgq:CGLAR1_03290
ko:K03040	cgq:CGLAR1_03295
ko:K02879	cgq:CGLAR1_03300
ko:K06173	cgq:CGLAR1_03305
ko:K00574	cgq:CGLAR1_03330
ko:K14743	cgq:CGLAR1_03340
ko:K03466	cgq:CGLAR1_03350
ko:K02871	cgq:CGLAR1_03370
ko:K02996	cgq:CGLAR1_03375
ko:K03431	cgq:CGLAR1_03380
ko:K01775	cgq:CGLAR1_03405
ko:K06925	cgq:CGLAR1_03410
ko:K07085	cgq:CGLAR1_03415
ko:K03789	cgq:CGLAR1_03430
ko:K01409	cgq:CGLAR1_03435
ko:K04078	cgq:CGLAR1_03450
ko:K04077	cgq:CGLAR1_03455
ko:K03088	cgq:CGLAR1_03465
ko:K00088	cgq:CGLAR1_03480
ko:K00088	cgq:CGLAR1_03485
ko:K11939	cgq:CGLAR1_03490
ko:K01951	cgq:CGLAR1_03500
ko:K14161	cgq:CGLAR1_03545
ko:K06994	cgq:CGLAR1_03585
ko:K13789	cgq:CGLAR1_03590
ko:K03098	cgq:CGLAR1_03600
ko:K01669	cgq:CGLAR1_03610
ko:K02003	cgq:CGLAR1_03625
ko:K02072	cgq:CGLAR1_03630
ko:K02071	cgq:CGLAR1_03635
ko:K02073	cgq:CGLAR1_03640
ko:K14162	cgq:CGLAR1_03645
ko:K09167	cgq:CGLAR1_03650
ko:K08981	cgq:CGLAR1_03655
ko:K03709	cgq:CGLAR1_03660
ko:K12410	cgq:CGLAR1_03670
ko:K02016	cgq:CGLAR1_03680
ko:K03216	cgq:CGLAR1_03685
ko:K01491	cgq:CGLAR1_03690
ko:K07192	cgq:CGLAR1_03700
ko:K00641	cgq:CGLAR1_03715
ko:K01740	cgq:CGLAR1_03720
ko:K06200	cgq:CGLAR1_03725
ko:K01720	cgq:CGLAR1_03735
ko:K03417	cgq:CGLAR1_03740
ko:K00031	cgq:CGLAR1_03770
ko:K02013	cgq:CGLAR1_03780
ko:K02015	cgq:CGLAR1_03785
ko:K02015	cgq:CGLAR1_03790
ko:K02016	cgq:CGLAR1_03795
ko:K01142	cgq:CGLAR1_03805
ko:K02016	cgq:CGLAR1_03820
ko:K02013	cgq:CGLAR1_03825
ko:K02015	cgq:CGLAR1_03830
ko:K01867	cgq:CGLAR1_03835
ko:K07058	cgq:CGLAR1_03840
ko:K07258	cgq:CGLAR1_03850
ko:K00761	cgq:CGLAR1_03870
ko:K01840	cgq:CGLAR1_03880
ko:K00382	cgq:CGLAR1_03890
ko:K01958	cgq:CGLAR1_03895
ko:K01720	cgq:CGLAR1_03920
ko:K03417	cgq:CGLAR1_03925
ko:K11263	cgq:CGLAR1_03950
ko:K01011	cgq:CGLAR1_03955
ko:K06287	cgq:CGLAR1_03975
ko:K01966	cgq:CGLAR1_03985
ko:K01966	cgq:CGLAR1_03990
ko:K03524	cgq:CGLAR1_03995
ko:K01589	cgq:CGLAR1_04005
ko:K03549	cgq:CGLAR1_04010
ko:K01588	cgq:CGLAR1_04020
ko:K00059	cgq:CGLAR1_04040
ko:K02026	cgq:CGLAR1_04065
ko:K02025	cgq:CGLAR1_04070
ko:K02027	cgq:CGLAR1_04080
ko:K10112	cgq:CGLAR1_04085
ko:K16870	cgq:CGLAR1_04140
ko:K00966	cgq:CGLAR1_04145
ko:K01840	cgq:CGLAR1_04165
ko:K01809	cgq:CGLAR1_04175
ko:K01251	cgq:CGLAR1_04190
ko:K00943	cgq:CGLAR1_04195
ko:K07670	cgq:CGLAR1_04200
ko:K07654	cgq:CGLAR1_04205
ko:K03070	cgq:CGLAR1_04225
ko:K06949	cgq:CGLAR1_04245
ko:K00800	cgq:CGLAR1_04250
ko:K03088	cgq:CGLAR1_04265
ko:K03657	cgq:CGLAR1_04310
ko:K10716	cgq:CGLAR1_04315
ko:K03426	cgq:CGLAR1_04320
ko:K03657	cgq:CGLAR1_04325
ko:K07043	cgq:CGLAR1_04335
ko:K07177	cgq:CGLAR1_04345
ko:K09118	cgq:CGLAR1_04360
ko:K00375	cgq:CGLAR1_04365
ko:K06215	cgq:CGLAR1_04370
ko:K08681	cgq:CGLAR1_04375
ko:K05602	cgq:CGLAR1_04395
ko:K02836	cgq:CGLAR1_04405
ko:K09812	cgq:CGLAR1_04410
ko:K09811	cgq:CGLAR1_04415
ko:K03664	cgq:CGLAR1_04420
ko:K02016	cgq:CGLAR1_04450
ko:K02015	cgq:CGLAR1_04455
ko:K02015	cgq:CGLAR1_04460
ko:K02013	cgq:CGLAR1_04465
ko:K14267	cgq:CGLAR1_04485
ko:K10843	cgq:CGLAR1_04495
ko:K03704	cgq:CGLAR1_04515
ko:K06901	cgq:CGLAR1_04535
ko:K00831	cgq:CGLAR1_04555
ko:K01647	cgq:CGLAR1_04560
ko:K01962	cgq:CGLAR1_04570
ko:K01963	cgq:CGLAR1_04570
ko:K14393	cgq:CGLAR1_04580
ko:K11533	cgq:CGLAR1_04595
ko:K01082	cgq:CGLAR1_04645
ko:K03724	cgq:CGLAR1_04650
ko:K05522	cgq:CGLAR1_04655
ko:K03449	cgq:CGLAR1_04675
ko:K01810	cgq:CGLAR1_04680
ko:K04093	cgq:CGLAR1_04690
ko:K03657	cgq:CGLAR1_04695
ko:K02004	cgq:CGLAR1_04700
ko:K02003	cgq:CGLAR1_04705
ko:K11175	cgq:CGLAR1_04725
ko:K00602	cgq:CGLAR1_04730
ko:K01644	cgq:CGLAR1_04735
ko:K02963	cgq:CGLAR1_04750
ko:K02954	cgq:CGLAR1_04755
ko:K02913	cgq:CGLAR1_04760
ko:K02902	cgq:CGLAR1_04765
ko:K03321	cgq:CGLAR1_04770
ko:K02909	cgq:CGLAR1_04780
ko:K02911	cgq:CGLAR1_04785
ko:K07669	cgq:CGLAR1_04790
ko:K07653	cgq:CGLAR1_04795
ko:K08372	cgq:CGLAR1_04800
ko:K03282	cgq:CGLAR1_04810
ko:K01934	cgq:CGLAR1_04820
ko:K00963	cgq:CGLAR1_04825
ko:K03750	cgq:CGLAR1_04830
ko:K03790	cgq:CGLAR1_04835
ko:K03449	cgq:CGLAR1_04845
ko:K15977	cgq:CGLAR1_04850
ko:K07056	cgq:CGLAR1_04870
ko:K01874	cgq:CGLAR1_04880
ko:K03654	cgq:CGLAR1_04885
ko:K03777	cgq:CGLAR1_04925
ko:K03424	cgq:CGLAR1_04955
ko:K02528	cgq:CGLAR1_04965
ko:K00919	cgq:CGLAR1_04970
ko:K00868	cgq:CGLAR1_04980
ko:K06994	cgq:CGLAR1_05035
ko:K02553	cgq:CGLAR1_05040
ko:K02837	cgq:CGLAR1_05060
ko:K11959	cgq:CGLAR1_05065
ko:K05786	cgq:CGLAR1_00960
ko:K01579	cgq:CGLAR1_00975
ko:K07120	cgq:CGLAR1_00985
ko:K07090	cgq:CGLAR1_00995
ko:K03579	cgq:CGLAR1_01005
ko:K00661	cgq:CGLAR1_01010
ko:K03919	cgq:CGLAR1_01015
ko:K01246	cgq:CGLAR1_01020
ko:K06996	cgq:CGLAR1_01035
ko:K07386	cgq:CGLAR1_01065
ko:K03338	cgq:CGLAR1_01085
ko:K00140	cgq:CGLAR1_01095
ko:K09117	cgq:CGLAR1_01690
ko:K00059	cgq:CGLAR1_01735
ko:K07045	cgq:CGLAR1_01740
ko:K00252	cgq:CGLAR1_01745
ko:K10773	cgq:CGLAR1_01770
ko:K02283	cgq:CGLAR1_01810
ko:K12510	cgq:CGLAR1_01815
ko:K06877	cgq:CGLAR1_01840
ko:K03704	cgq:CGLAR1_01845
ko:K03168	cgq:CGLAR1_01850
ko:K12583	cgq:CGLAR1_02755
ko:K11737	cgq:CGLAR1_02760
ko:K03183	cgq:CGLAR1_02765
ko:K00805	cgq:CGLAR1_02775
ko:K03073	cgq:CGLAR1_02805
ko:K02601	cgq:CGLAR1_02810
ko:K02867	cgq:CGLAR1_02815
ko:K02863	cgq:CGLAR1_02820
ko:K07250	cgq:CGLAR1_02830
ko:K00135	cgq:CGLAR1_02835
ko:K02864	cgq:CGLAR1_02860
ko:K02935	cgq:CGLAR1_02865
ko:K03043	cgq:CGLAR1_02875
ko:K03046	cgq:CGLAR1_02880
ko:K02950	cgq:CGLAR1_02900
ko:K02992	cgq:CGLAR1_02905
ko:K02355	cgq:CGLAR1_02910
ko:K02358	cgq:CGLAR1_02915
ko:K02013	cgq:CGLAR1_02930
ko:K02015	cgq:CGLAR1_02935
ko:K02015	cgq:CGLAR1_02940
ko:K18118	cgq:CGLAR1_02950
ko:K02946	cgq:CGLAR1_02955
ko:K02906	cgq:CGLAR1_02960
ko:K02926	cgq:CGLAR1_02965
ko:K11753	cgq:CGLAR1_09180
ko:K03177	cgq:CGLAR1_09185
ko:K02834	cgq:CGLAR1_09210
ko:K02519	cgq:CGLAR1_09215
ko:K07742	cgq:CGLAR1_09220
ko:K02600	cgq:CGLAR1_09225
ko:K09748	cgq:CGLAR1_09230
ko:K15580	cgq:CGLAR1_09240
ko:K15581	cgq:CGLAR1_09245
ko:K15582	cgq:CGLAR1_09250
ko:K02031	cgq:CGLAR1_09255
ko:K02032	cgq:CGLAR1_09255
ko:K01881	cgq:CGLAR1_09260
ko:K09861	cgq:CGLAR1_09265
ko:K13580	cgq:CGLAR1_09270
ko:K03404	cgq:CGLAR1_09275
ko:K00116	cgq:CGLAR1_09295
ko:K17883	cgq:CGLAR1_09305
ko:K01265	cgq:CGLAR1_09325
ko:K02004	cgq:CGLAR1_09345
ko:K02003	cgq:CGLAR1_09350
ko:K00099	cgq:CGLAR1_09365
ko:K01992	cgq:CGLAR1_09375
ko:K01990	cgq:CGLAR1_09380
ko:K06941	cgq:CGLAR1_09385
ko:K00981	cgq:CGLAR1_09395
ko:K02838	cgq:CGLAR1_09400
ko:K09903	cgq:CGLAR1_09405
ko:K02357	cgq:CGLAR1_09410
ko:K02967	cgq:CGLAR1_09415
ko:K03733	cgq:CGLAR1_09425
ko:K04096	cgq:CGLAR1_09430
ko:K07391	cgq:CGLAR1_09435
ko:K07460	cgq:CGLAR1_09440
ko:K01596	cgq:CGLAR1_13765
ko:K03439	cgq:CGLAR1_13775
ko:K06860	cgq:CGLAR1_13780
ko:K12437	cgq:CGLAR1_13805
ko:K12428	cgq:CGLAR1_13815
ko:K13687	cgq:CGLAR1_13845
ko:K14136	cgq:CGLAR1_13850
ko:K16650	cgq:CGLAR1_13860
ko:K07222	cgq:CGLAR1_13880
ko:K01854	cgq:CGLAR1_13885
ko:K01875	cgq:CGLAR1_13910
ko:K03710	cgq:CGLAR1_13915
ko:K04518	cgq:CGLAR1_13935
ko:K01126	cgq:CGLAR1_13985
ko:K03299	cgq:CGLAR1_13990
ko:K00873	cgq:CGLAR1_13995
ko:K00016	cgq:CGLAR1_14000
ko:K07025	cgq:CGLAR1_14010
ko:K00135	cgq:CGLAR1_00530
ko:K03380	cgq:CGLAR1_00540
ko:K01069	cgq:CGLAR1_00545
ko:K07090	cgq:CGLAR1_00550
ko:K03284	cgq:CGLAR1_00590
ko:K03811	cgq:CGLAR1_00605
ko:K07175	cgq:CGLAR1_00610
ko:K03300	cgq:CGLAR1_00625
ko:K01012	cgq:CGLAR1_00650
ko:K08170	cgq:CGLAR1_00675
ko:K01430	cgq:CGLAR1_00725
ko:K01429	cgq:CGLAR1_00730
ko:K01428	cgq:CGLAR1_00735
ko:K03187	cgq:CGLAR1_00740
ko:K03188	cgq:CGLAR1_00745
ko:K03189	cgq:CGLAR1_00750
ko:K03190	cgq:CGLAR1_00755
ko:K01241	cgq:CGLAR1_00775
ko:K13821	cgq:CGLAR1_00790
ko:K12942	cgq:CGLAR1_00800
ko:K00389	cgq:CGLAR1_00810
ko:K08296	cgq:CGLAR1_00840
ko:K00045	cgq:CGLAR1_00850
ko:K00854	cgq:CGLAR1_00865
ko:K01918	cgq:CGLAR1_00870
ko:K03336	cgq:CGLAR1_01105
ko:K03337	cgq:CGLAR1_01100
ko:K03335	cgq:CGLAR1_01110
ko:K00010	cgq:CGLAR1_01115
ko:K06605	cgq:CGLAR1_01120
ko:K03704	cgq:CGLAR1_01170
ko:K00266	cgq:CGLAR1_01220
ko:K11387	cgq:CGLAR1_01230
ko:K13686	cgq:CGLAR1_01235
ko:K16652	cgq:CGLAR1_01240
ko:K16653	cgq:CGLAR1_01245
ko:K16649	cgq:CGLAR1_01285
ko:K03310	cgq:CGLAR1_01330
ko:K03635	cgq:CGLAR1_01350
ko:K03637	cgq:CGLAR1_01360
ko:K03750	cgq:CGLAR1_01365
ko:K02018	cgq:CGLAR1_01370
ko:K02341	cgq:CGLAR1_01865
ko:K06179	cgq:CGLAR1_01965
ko:K00153	cgq:CGLAR1_01975
ko:K01784	cgq:CGLAR1_01995
ko:K09153	cgq:CGLAR1_02000
ko:K01081	cgq:CGLAR1_02020
ko:K13979	cgq:CGLAR1_02025
ko:K01470	cgq:CGLAR1_02030
ko:K03762	cgq:CGLAR1_02035
ko:K00973	cgq:CGLAR1_02040
ko:K02016	cgq:CGLAR1_02060
ko:K01322	cgq:CGLAR1_02080
ko:K00640	cgq:CGLAR1_02190
ko:K00382	cgq:CGLAR1_02230
ko:K07110	cgq:CGLAR1_02245
ko:K00241	cgq:CGLAR1_02250
ko:K00239	cgq:CGLAR1_02255
ko:K00240	cgq:CGLAR1_02260
ko:K01433	cgq:CGLAR1_02330
ko:K01619	cgq:CGLAR1_02335
ko:K17686	cgq:CGLAR1_02350
ko:K02016	cgq:CGLAR1_02365
ko:K02015	cgq:CGLAR1_02370
ko:K02013	cgq:CGLAR1_02375
ko:K00075	cgq:CGLAR1_02405
ko:K01897	cgq:CGLAR1_02415
ko:K15521	cgq:CGLAR1_02420
ko:K01834	cgq:CGLAR1_02425
ko:K07768	cgq:CGLAR1_02430
ko:K07776	cgq:CGLAR1_02435
ko:K02004	cgq:CGLAR1_02445
ko:K01524	cgq:CGLAR1_02460
ko:K11960	cgq:CGLAR1_05070
ko:K11961	cgq:CGLAR1_05075
ko:K11962	cgq:CGLAR1_05080
ko:K11963	cgq:CGLAR1_05085
ko:K01056	cgq:CGLAR1_05090
ko:K00459	cgq:CGLAR1_05095
ko:K00134	cgq:CGLAR1_05100
ko:K01056	cgq:CGLAR1_05105
ko:K02897	cgq:CGLAR1_05110
ko:K07032	cgq:CGLAR1_05115
ko:K00948	cgq:CGLAR1_05125
ko:K04042	cgq:CGLAR1_05130
ko:K01990	cgq:CGLAR1_05145
ko:K01992	cgq:CGLAR1_05150
ko:K07778	cgq:CGLAR1_05155
ko:K07693	cgq:CGLAR1_05160
ko:K07058	cgq:CGLAR1_05170
ko:K00681	cgq:CGLAR1_05190
ko:K03470	cgq:CGLAR1_09450
ko:K03100	cgq:CGLAR1_09455
ko:K02884	cgq:CGLAR1_09465
ko:K00788	cgq:CGLAR1_09470
ko:K03153	cgq:CGLAR1_09475
ko:K03154	cgq:CGLAR1_09480
ko:K03149	cgq:CGLAR1_09485
ko:K06959	cgq:CGLAR1_09495
ko:K03319	cgq:CGLAR1_09505
ko:K01857	cgq:CGLAR1_09510
ko:K00554	cgq:CGLAR1_09525
ko:K02860	cgq:CGLAR1_09535
ko:K02959	cgq:CGLAR1_09545
ko:K11051	cgq:CGLAR1_09555
ko:K11050	cgq:CGLAR1_09560
ko:K03106	cgq:CGLAR1_09565
ko:K00990	cgq:CGLAR1_09570
ko:K04751	cgq:CGLAR1_09575
ko:K03320	cgq:CGLAR1_09580
ko:K03110	cgq:CGLAR1_09585
ko:K03529	cgq:CGLAR1_09595
ko:K01512	cgq:CGLAR1_09600
ko:K07090	cgq:CGLAR1_09615
ko:K10563	cgq:CGLAR1_09630
ko:K03685	cgq:CGLAR1_09635
ko:K07040	cgq:CGLAR1_09640
ko:K00262	cgq:CGLAR1_09660
ko:K00865	cgq:CGLAR1_09665
ko:K07104	cgq:CGLAR1_09700
ko:K00873	cgq:CGLAR1_09705
ko:K01609	cgq:CGLAR1_09715
ko:K00101	cgq:CGLAR1_14035
ko:K07304	cgq:CGLAR1_14070
ko:K04564	cgq:CGLAR1_14075
ko:K08224	cgq:CGLAR1_14085
ko:K07146	cgq:CGLAR1_14125
ko:K03217	cgq:CGLAR1_14140
ko:K06177	cgq:CGLAR1_14170
ko:K03671	cgq:CGLAR1_14255
ko:K08369	cgq:CGLAR1_14265
ko:K02939	cgq:CGLAR1_14285
ko:K02990	cgq:CGLAR1_14295
ko:K03723	cgq:CGLAR1_05210
ko:K03758	cgq:CGLAR1_05235
ko:K02428	cgq:CGLAR1_05245
ko:K01689	cgq:CGLAR1_05265
ko:K09009	cgq:CGLAR1_05275
ko:K01524	cgq:CGLAR1_05280
ko:K03624	cgq:CGLAR1_05310
ko:K18455	cgq:CGLAR1_05320
ko:K01626	cgq:CGLAR1_05330
ko:K12503	cgq:CGLAR1_05335
ko:K00867	cgq:CGLAR1_05350
ko:K00600	cgq:CGLAR1_05355
ko:K13950	cgq:CGLAR1_05360
ko:K03823	cgq:CGLAR1_05380
ko:K07160	cgq:CGLAR1_05395
ko:K01679	cgq:CGLAR1_05415
ko:K04091	cgq:CGLAR1_05455
ko:K02446	cgq:CGLAR1_05460
ko:K01496	cgq:CGLAR1_09725
ko:K02500	cgq:CGLAR1_09730
ko:K01092	cgq:CGLAR1_09735
ko:K01814	cgq:CGLAR1_09740
ko:K01817	cgq:CGLAR1_09740
ko:K02501	cgq:CGLAR1_09805
ko:K01693	cgq:CGLAR1_09820
ko:K00817	cgq:CGLAR1_09825
ko:K00013	cgq:CGLAR1_09830
ko:K00010	cgq:CGLAR1_09870
ko:K02013	cgq:CGLAR1_09880
ko:K02015	cgq:CGLAR1_09885
ko:K02016	cgq:CGLAR1_09890
ko:K02342	cgq:CGLAR1_09900
ko:K06044	cgq:CGLAR1_09910
ko:K04762	cgq:CGLAR1_09940
ko:K01236	cgq:CGLAR1_09955
ko:K01754	cgq:CGLAR1_09960
ko:K00549	cgq:CGLAR1_09970
ko:K02337	cgq:CGLAR1_09975
ko:K05786	cgq:CGLAR1_09980
ko:K06180	cgq:CGLAR1_09990
ko:K03101	cgq:CGLAR1_09995
ko:K07146	cgq:CGLAR1_14345
ko:K02004	cgq:CGLAR1_14350
ko:K02003	cgq:CGLAR1_14355
ko:K02005	cgq:CGLAR1_14360
ko:K01858	cgq:CGLAR1_14365
ko:K04047	cgq:CGLAR1_14385
ko:K14415	cgq:CGLAR1_14395
ko:K00567	cgq:CGLAR1_14405
ko:K00027	cgq:CGLAR1_14420
ko:K00851	cgq:CGLAR1_14425
ko:K02313	cgq:CGLAR1_00005
ko:K02338	cgq:CGLAR1_00010
ko:K03629	cgq:CGLAR1_00015
ko:K02470	cgq:CGLAR1_00025
ko:K02469	cgq:CGLAR1_00060
ko:K01081	cgq:CGLAR1_00125
ko:K03655	cgq:CGLAR1_00160
ko:K02077	cgq:CGLAR1_00170
ko:K02020	cgq:CGLAR1_01375
ko:K10112	cgq:CGLAR1_01385
ko:K08972	cgq:CGLAR1_01390
ko:K00817	cgq:CGLAR1_01395
ko:K06213	cgq:CGLAR1_01410
ko:K14445	cgq:CGLAR1_01415
ko:K04517	cgq:CGLAR1_01425
ko:K06994	cgq:CGLAR1_01455
ko:K00773	cgq:CGLAR1_01460
ko:K09125	cgq:CGLAR1_01465
ko:K01885	cgq:CGLAR1_01480
ko:K02343	cgq:CGLAR1_01505
ko:K09747	cgq:CGLAR1_01510
ko:K06187	cgq:CGLAR1_01515
ko:K07009	cgq:CGLAR1_01520
ko:K02342	cgq:CGLAR1_01530
ko:K01649	cgq:CGLAR1_01545
ko:K00928	cgq:CGLAR1_01555
ko:K00133	cgq:CGLAR1_01560
ko:K03088	cgq:CGLAR1_01570
ko:K03781	cgq:CGLAR1_01575
ko:K05571	cgq:CGLAR1_01620
ko:K05570	cgq:CGLAR1_01625
ko:K05569	cgq:CGLAR1_01630
ko:K05568	cgq:CGLAR1_01635
ko:K05567	cgq:CGLAR1_01640
ko:K05565	cgq:CGLAR1_01645
ko:K00286	cgq:CGLAR1_02470
ko:K02492	cgq:CGLAR1_02500
ko:K01749	cgq:CGLAR1_02505
ko:K00457	cgq:CGLAR1_02525
ko:K03786	cgq:CGLAR1_02530
ko:K00014	cgq:CGLAR1_02535
ko:K02010	cgq:CGLAR1_02545
ko:K02011	cgq:CGLAR1_02550
ko:K02012	cgq:CGLAR1_02555
ko:K13542	cgq:CGLAR1_02560
ko:K01698	cgq:CGLAR1_02570
ko:K01599	cgq:CGLAR1_02590
ko:K00231	cgq:CGLAR1_02595
ko:K01845	cgq:CGLAR1_02600
ko:K06196	cgq:CGLAR1_02615
ko:K07399	cgq:CGLAR1_02620
ko:K02548	cgq:CGLAR1_02655
ko:K01911	cgq:CGLAR1_02665
ko:K15977	cgq:CGLAR1_02670
ko:K01707	cgq:CGLAR1_02680
ko:K03306	cgq:CGLAR1_02715
ko:K01661	cgq:CGLAR1_02725
ko:K01724	cgq:CGLAR1_02730
ko:K05995	cgq:CGLAR1_02735
ko:K02549	cgq:CGLAR1_02740
ko:K02551	cgq:CGLAR1_02745
ko:K00285	cgq:CGLAR1_14445
ko:K09019	cgq:CGLAR1_14460
ko:K01869	cgq:CGLAR1_14470
ko:K16163	cgq:CGLAR1_14485
ko:K00450	cgq:CGLAR1_14495
ko:K05548	cgq:CGLAR1_14505
ko:K01657	cgq:CGLAR1_14530
ko:K01658	cgq:CGLAR1_14535
ko:K00766	cgq:CGLAR1_14540
ko:K13498	cgq:CGLAR1_14545
ko:K01696	cgq:CGLAR1_14550
ko:K01695	cgq:CGLAR1_14555
ko:K03475	cgq:CGLAR1_14560
ko:K01990	cgq:CGLAR1_14570
ko:K01992	cgq:CGLAR1_14575
ko:K14347	cgq:CGLAR1_14590
ko:K09164	cgq:CGLAR1_14595
ko:K03602	cgq:CGLAR1_05485
ko:K03601	cgq:CGLAR1_05490
ko:K03527	cgq:CGLAR1_05495
ko:K03308	cgq:CGLAR1_05515
ko:K06942	cgq:CGLAR1_05530
ko:K07552	cgq:CGLAR1_05590
ko:K01607	cgq:CGLAR1_05610
ko:K03405	cgq:CGLAR1_05655
ko:K06193	cgq:CGLAR1_05685
ko:K04487	cgq:CGLAR1_05700
ko:K00767	cgq:CGLAR1_05705
ko:K03517	cgq:CGLAR1_05710
ko:K09936	cgq:CGLAR1_05720
ko:K03800	cgq:CGLAR1_05735
ko:K04750	cgq:CGLAR1_05740
ko:K00481	cgq:CGLAR1_05750
ko:K16925	cgq:CGLAR1_05755
ko:K16786	cgq:CGLAR1_05760
ko:K16787	cgq:CGLAR1_05760
ko:K16785	cgq:CGLAR1_05765
ko:K18230	cgq:CGLAR1_10005
ko:K01424	cgq:CGLAR1_10015
ko:K02346	cgq:CGLAR1_10020
ko:K11939	cgq:CGLAR1_10025
ko:K01870	cgq:CGLAR1_10040
ko:K02221	cgq:CGLAR1_10055
ko:K09772	cgq:CGLAR1_10060
ko:K06997	cgq:CGLAR1_10065
ko:K05810	cgq:CGLAR1_10070
ko:K03531	cgq:CGLAR1_10075
ko:K03589	cgq:CGLAR1_10080
ko:K01924	cgq:CGLAR1_10085
ko:K02563	cgq:CGLAR1_10090
ko:K03588	cgq:CGLAR1_10095
ko:K01925	cgq:CGLAR1_10100
ko:K01000	cgq:CGLAR1_10105
ko:K01929	cgq:CGLAR1_10110
ko:K01928	cgq:CGLAR1_10115
ko:K03587	cgq:CGLAR1_10120
ko:K03438	cgq:CGLAR1_10135
ko:K03925	cgq:CGLAR1_10140
ko:K00297	cgq:CGLAR1_10165
ko:K13787	cgq:CGLAR1_10170
ko:K14337	cgq:CGLAR1_10175
ko:K01626	cgq:CGLAR1_10200
ko:K13671	cgq:CGLAR1_10210
ko:K00655	cgq:CGLAR1_10230
ko:K00845	cgq:CGLAR1_10235
ko:K13668	cgq:CGLAR1_10240
ko:K03891	cgq:CGLAR1_10255
ko:K03890	cgq:CGLAR1_10260
ko:K03889	cgq:CGLAR1_10265
ko:K02276	cgq:CGLAR1_10270
ko:K03116	cgq:CGLAR1_14640
ko:K03305	cgq:CGLAR1_14645
ko:K04098	cgq:CGLAR1_14655
ko:K00010	cgq:CGLAR1_14685
