ko:K19416	amai:I635_11015
ko:K03602	amai:I635_13285
ko:K00795	amai:I635_13290
ko:K01662	amai:I635_13295
ko:K01095	amai:I635_13300
ko:K00946	amai:I635_13305
ko:K03625	amai:I635_13310
ko:K00794	amai:I635_13315
ko:K14652	amai:I635_13320
ko:K00793	amai:I635_13325
ko:K11752	amai:I635_13330
ko:K07738	amai:I635_13335
ko:K00600	amai:I635_13340
ko:K02536	amai:I635_13345
ko:K04485	amai:I635_13360
ko:K01079	amai:I635_13370
ko:K06987	amai:I635_17465
ko:K01895	amai:I635_17485
ko:K07093	amai:I635_17510
ko:K02358	amai:I635_17525
ko:K03525	amai:I635_17530
ko:K03524	amai:I635_17535
ko:K00075	amai:I635_17540
ko:K03717	amai:I635_17575
ko:K00012	amai:I635_17595
ko:K00067	amai:I635_17610
ko:K01790	amai:I635_17615
ko:K00973	amai:I635_17620
ko:K03147	amai:I635_00660
ko:K02498	amai:I635_00665
ko:K02496	amai:I635_00670
ko:K01749	amai:I635_00680
ko:K06999	amai:I635_00695
ko:K00942	amai:I635_00700
ko:K03060	amai:I635_00705
ko:K00556	amai:I635_00720
ko:K03655	amai:I635_00725
ko:K15984	amai:I635_00730
ko:K02012	amai:I635_00750
ko:K02011	amai:I635_00755
ko:K07007	amai:I635_00770
ko:K15726	amai:I635_00800
ko:K05596	amai:I635_00855
ko:K06895	amai:I635_00860
ko:K03585	amai:I635_00880
ko:K02406	amai:I635_05230
ko:K10941	amai:I635_05235
ko:K02408	amai:I635_05250
ko:K02409	amai:I635_05255
ko:K02410	amai:I635_05260
ko:K02411	amai:I635_05265
ko:K02412	amai:I635_05270
ko:K02413	amai:I635_05275
ko:K02415	amai:I635_05285
ko:K02416	amai:I635_05290
ko:K02417	amai:I635_05295
ko:K02418	amai:I635_05300
ko:K02419	amai:I635_05305
ko:K02420	amai:I635_05310
ko:K02421	amai:I635_05315
ko:K02401	amai:I635_05320
ko:K02400	amai:I635_05325
ko:K02404	amai:I635_05330
ko:K04562	amai:I635_05335
ko:K02405	amai:I635_05340
ko:K03413	amai:I635_05345
ko:K03414	amai:I635_05350
ko:K03407	amai:I635_05355
ko:K03412	amai:I635_05360
ko:K03408	amai:I635_05370
ko:K03408	amai:I635_05375
ko:K00651	amai:I635_05385
ko:K09913	amai:I635_05405
ko:K03576	amai:I635_05410
ko:K04761	amai:I635_05415
ko:K01673	amai:I635_05420
ko:K03321	amai:I635_05425
ko:K02167	amai:I635_05435
ko:K09919	amai:I635_05445
ko:K03565	amai:I635_05450
ko:K01872	amai:I635_05455
ko:K07303	amai:I635_09570
ko:K07302	amai:I635_09575
ko:K01756	amai:I635_09610
ko:K07153	amai:I635_09615
ko:K00566	amai:I635_09620
ko:K06181	amai:I635_09625
ko:K00031	amai:I635_09630
ko:K03704	amai:I635_09635
ko:K06891	amai:I635_09640
ko:K03694	amai:I635_09645
ko:K02518	amai:I635_09650
ko:K00684	amai:I635_09660
ko:K00384	amai:I635_09665
ko:K09899	amai:I635_09670
ko:K02742	amai:I635_09675
ko:K04773	amai:I635_09680
ko:K03644	amai:I635_09710
ko:K03801	amai:I635_09715
ko:K03618	amai:I635_01525
ko:K04653	amai:I635_01545
ko:K04651	amai:I635_01550
ko:K04654	amai:I635_01560
ko:K04656	amai:I635_01565
ko:K15726	amai:I635_01655
ko:K16264	amai:I635_01660
ko:K00901	amai:I635_01670
ko:K03760	amai:I635_01675
ko:K07156	amai:I635_01710
ko:K07233	amai:I635_01785
ko:K03630	amai:I635_06155
ko:K07240	amai:I635_06180
ko:K02402	amai:I635_06205
ko:K02403	amai:I635_06210
ko:K02837	amai:I635_06240
ko:K01887	amai:I635_06245
ko:K01738	amai:I635_06265
ko:K02836	amai:I635_06310
ko:K04567	amai:I635_06315
ko:K00077	amai:I635_06320
ko:K06219	amai:I635_10415
ko:K03778	amai:I635_10420
ko:K00432	amai:I635_10425
ko:K00563	amai:I635_10455
ko:K07014	amai:I635_10465
ko:K09904	amai:I635_10470
ko:K06899	amai:I635_10475
ko:K00850	amai:I635_10515
ko:K07146	amai:I635_10555
ko:K01029	amai:I635_10570
ko:K01028	amai:I635_10575
ko:K13634	amai:I635_10595
ko:K01752	amai:I635_10600
ko:K01665	amai:I635_10610
ko:K01676	amai:I635_10615
ko:K09760	amai:I635_10625
ko:K00166	amai:I635_10635
ko:K00167	amai:I635_10640
ko:K09699	amai:I635_10645
ko:K07115	amai:I635_10650
ko:K10805	amai:I635_10660
ko:K09807	amai:I635_10675
ko:K15726	amai:I635_14725
ko:K16264	amai:I635_14745
ko:K05916	amai:I635_14780
ko:K12266	amai:I635_14785
ko:K00281	amai:I635_14800
ko:K02437	amai:I635_14805
ko:K00605	amai:I635_14810
ko:K01443	amai:I635_14815
ko:K03303	amai:I635_14830
ko:K03185	amai:I635_14860
ko:K09895	amai:I635_14870
ko:K01807	amai:I635_14895
ko:K06938	amai:I635_14920
ko:K00382	amai:I635_14950
ko:K00627	amai:I635_14955
ko:K00163	amai:I635_14960
ko:K03807	amai:I635_14970
ko:K03806	amai:I635_14975
ko:K06985	amai:I635_14980
ko:K00820	amai:I635_19130
ko:K04042	amai:I635_19145
ko:K13529	amai:I635_19165
ko:K00325	amai:I635_19185
ko:K00324	amai:I635_19190
ko:K00324	amai:I635_19195
ko:K16087	amai:I635_19235
ko:K03088	amai:I635_19250
ko:K02300	amai:I635_19275
ko:K02299	amai:I635_19280
ko:K02298	amai:I635_19285
ko:K02297	amai:I635_19290
ko:K04077	amai:I635_19325
ko:K04078	amai:I635_19330
ko:K07113	amai:I635_19335
ko:K03926	amai:I635_19340
ko:K04084	amai:I635_19345
ko:K03786	amai:I635_19355
ko:K02160	amai:I635_19360
ko:K01961	amai:I635_19365
ko:K00145	amai:I635_02410
ko:K01734	amai:I635_02415
ko:K03216	amai:I635_02440
ko:K00057	amai:I635_02450
ko:K03071	amai:I635_02455
ko:K09798	amai:I635_02475
ko:K01126	amai:I635_02485
ko:K01613	amai:I635_02495
ko:K06949	amai:I635_02500
ko:K13288	amai:I635_02505
ko:K09897	amai:I635_02525
ko:K01652	amai:I635_02530
ko:K01653	amai:I635_02535
ko:K03116	amai:I635_02545
ko:K03117	amai:I635_02550
ko:K03118	amai:I635_02555
ko:K03424	amai:I635_02565
ko:K01698	amai:I635_02575
ko:K01524	amai:I635_02580
ko:K03732	amai:I635_02585
ko:K03671	amai:I635_02590
ko:K03628	amai:I635_02595
ko:K01876	amai:I635_06875
ko:K08310	amai:I635_06880
ko:K01159	amai:I635_06885
ko:K03550	amai:I635_06890
ko:K03551	amai:I635_06895
ko:K07107	amai:I635_06900
ko:K03562	amai:I635_06905
ko:K03641	amai:I635_06920
ko:K03640	amai:I635_06925
ko:K03517	amai:I635_06950
ko:K00077	amai:I635_06985
ko:K06996	amai:I635_07000
ko:K00133	amai:I635_07005
ko:K12262	amai:I635_07015
ko:K07043	amai:I635_07040
ko:K16090	amai:I635_07065
ko:K06192	amai:I635_07095
ko:K03808	amai:I635_07100
ko:K01893	amai:I635_07115
ko:K07301	amai:I635_07125
ko:K03564	amai:I635_11200
ko:K03809	amai:I635_11225
ko:K10763	amai:I635_11235
ko:K09938	amai:I635_11240
ko:K01933	amai:I635_11245
ko:K11175	amai:I635_11250
ko:K15256	amai:I635_11275
ko:K15257	amai:I635_11280
ko:K15918	amai:I635_11285
ko:K07026	amai:I635_11290
ko:K00690	amai:I635_11300
ko:K01091	amai:I635_11305
ko:K03750	amai:I635_11310
ko:K03327	amai:I635_11315
ko:K07141	amai:I635_11320
ko:K09989	amai:I635_11325
ko:K01738	amai:I635_11335
ko:K07726	amai:I635_11370
ko:K00432	amai:I635_11430
ko:K01118	amai:I635_11435
ko:K01740	amai:I635_11445
ko:K09768	amai:I635_11470
ko:K07460	amai:I635_15535
ko:K07778	amai:I635_15570
ko:K07693	amai:I635_15575
ko:K07648	amai:I635_15665
ko:K00266	amai:I635_15680
ko:K02227	amai:I635_15700
ko:K01866	amai:I635_15730
ko:K09001	amai:I635_15745
ko:K02429	amai:I635_15750
ko:K07267	amai:I635_15755
ko:K10680	amai:I635_15760
ko:K15724	amai:I635_15785
ko:K03608	amai:I635_15800
ko:K03609	amai:I635_15805
ko:K07391	amai:I635_19955
ko:K02521	amai:I635_19960
ko:K00053	amai:I635_19965
ko:K07552	amai:I635_19970
ko:K07278	amai:I635_19980
ko:K09800	amai:I635_19985
ko:K03088	amai:I635_19995
ko:K07107	amai:I635_20015
ko:K00931	amai:I635_20020
ko:K09986	amai:I635_20060
ko:K00762	amai:I635_20095
ko:K00989	amai:I635_20100
ko:K07154	amai:I635_20125
ko:K03427	amai:I635_20165
ko:K01153	amai:I635_20170
ko:K07733	amai:I635_20185
ko:K03924	amai:I635_20210
ko:K08591	amai:I635_03465
ko:K01633	amai:I635_03470
ko:K00950	amai:I635_03475
ko:K06153	amai:I635_03480
ko:K02503	amai:I635_03485
ko:K05782	amai:I635_03500
ko:K03554	amai:I635_03510
ko:K07636	amai:I635_03525
ko:K02040	amai:I635_03530
ko:K03561	amai:I635_03550
ko:K03561	amai:I635_03555
ko:K03832	amai:I635_03565
ko:K01682	amai:I635_03600
ko:K01682	amai:I635_03620
ko:K09005	amai:I635_03625
ko:K00928	amai:I635_03630
ko:K06195	amai:I635_03645
ko:K02528	amai:I635_03650
ko:K00097	amai:I635_03655
ko:K03771	amai:I635_03660
ko:K04744	amai:I635_03665
ko:K05801	amai:I635_03670
ko:K03981	amai:I635_03680
ko:K07462	amai:I635_03685
ko:K03584	amai:I635_03695
ko:K03474	amai:I635_03700
ko:K00997	amai:I635_03705
ko:K03215	amai:I635_03710
ko:K09790	amai:I635_03725
ko:K00021	amai:I635_03730
ko:K00457	amai:I635_07890
ko:K00451	amai:I635_07895
ko:K03531	amai:I635_07915
ko:K07302	amai:I635_07965
ko:K07127	amai:I635_07990
ko:K16840	amai:I635_07995
ko:K07402	amai:I635_08000
ko:K13482	amai:I635_08005
ko:K13481	amai:I635_08010
ko:K06901	amai:I635_08035
ko:K16345	amai:I635_08080
ko:K02083	amai:I635_08090
ko:K08325	amai:I635_12355
ko:K14445	amai:I635_12465
ko:K01494	amai:I635_12470
ko:K01874	amai:I635_12480
ko:K08307	amai:I635_12500
ko:K01883	amai:I635_12525
ko:K03269	amai:I635_12535
ko:K00690	amai:I635_12555
ko:K03781	amai:I635_12570
ko:K15408	amai:I635_16730
ko:K02275	amai:I635_16735
ko:K00425	amai:I635_16755
ko:K00426	amai:I635_16760
ko:K03782	amai:I635_16810
ko:K00817	amai:I635_16845
ko:K03410	amai:I635_16855
ko:K02336	amai:I635_16870
ko:K00322	amai:I635_16910
ko:K02609	amai:I635_21354
ko:K09158	amai:I635_09720
ko:K03642	amai:I635_09730
ko:K05837	amai:I635_09735
ko:K05515	amai:I635_09740
ko:K00783	amai:I635_09745
ko:K09710	amai:I635_09750
ko:K00969	amai:I635_09755
ko:K02340	amai:I635_09760
ko:K03643	amai:I635_09765
ko:K01869	amai:I635_09770
ko:K07574	amai:I635_09805
ko:K03798	amai:I635_09815
ko:K00796	amai:I635_09820
ko:K03431	amai:I635_09825
ko:K08989	amai:I635_13875
ko:K02003	amai:I635_13900
ko:K01425	amai:I635_13915
ko:K03415	amai:I635_13925
ko:K01637	amai:I635_13930
ko:K01638	amai:I635_13940
ko:K07001	amai:I635_13945
ko:K08679	amai:I635_13950
ko:K02472	amai:I635_14015
ko:K01953	amai:I635_14055
ko:K01953	amai:I635_14100
ko:K01991	amai:I635_14125
ko:K00029	amai:I635_18250
ko:K03764	amai:I635_18255
ko:K00297	amai:I635_18260
ko:K07058	amai:I635_18265
ko:K07560	amai:I635_18285
ko:K03089	amai:I635_18295
ko:K09811	amai:I635_18310
ko:K09812	amai:I635_18315
ko:K03110	amai:I635_18320
ko:K09891	amai:I635_18335
ko:K07751	amai:I635_18350
ko:K06206	amai:I635_18355
ko:K06204	amai:I635_18360
ko:K01894	amai:I635_18365
ko:K00950	amai:I635_18375
ko:K00606	amai:I635_18380
ko:K01918	amai:I635_18385
ko:K16090	amai:I635_18430
ko:K07089	amai:I635_18455
ko:K09973	amai:I635_18480
ko:K02355	amai:I635_18505
ko:K02992	amai:I635_18510
ko:K02950	amai:I635_18515
ko:K03046	amai:I635_18520
ko:K03043	amai:I635_18525
ko:K02864	amai:I635_18535
ko:K02863	amai:I635_18540
ko:K02867	amai:I635_18545
ko:K04096	amai:I635_00110
ko:K07479	amai:I635_00120
ko:K07566	amai:I635_00125
ko:K00228	amai:I635_00130
ko:K07275	amai:I635_00135
ko:K06886	amai:I635_00140
ko:K00014	amai:I635_00145
ko:K14161	amai:I635_00185
ko:K05501	amai:I635_00220
ko:K13038	amai:I635_00225
ko:K03630	amai:I635_00230
ko:K02902	amai:I635_00255
ko:K02913	amai:I635_00260
ko:K00954	amai:I635_00275
ko:K11211	amai:I635_00280
ko:K12982	amai:I635_00285
ko:K00060	amai:I635_00310
ko:K02439	amai:I635_00315
ko:K02415	amai:I635_00325
ko:K03181	amai:I635_00330
ko:K03179	amai:I635_00335
ko:K07726	amai:I635_00345
ko:K03656	amai:I635_00355
ko:K02196	amai:I635_04610
ko:K02197	amai:I635_04615
ko:K02198	amai:I635_04620
ko:K02199	amai:I635_04625
ko:K04754	amai:I635_04640
ko:K03305	amai:I635_04655
ko:K10107	amai:I635_04660
ko:K09689	amai:I635_04665
ko:K09688	amai:I635_04670
ko:K12990	amai:I635_04695
ko:K00963	amai:I635_04700
ko:K02237	amai:I635_04705
ko:K06966	amai:I635_04725
ko:K06879	amai:I635_04735
ko:K15723	amai:I635_04740
ko:K06175	amai:I635_04775
ko:K00990	amai:I635_04790
ko:K01265	amai:I635_04795
ko:K02967	amai:I635_04800
ko:K02357	amai:I635_04805
ko:K09903	amai:I635_04810
ko:K02838	amai:I635_04815
ko:K00806	amai:I635_04820
ko:K00981	amai:I635_04825
ko:K00099	amai:I635_04830
ko:K03654	amai:I635_00950
ko:K06213	amai:I635_00955
ko:K05786	amai:I635_00960
ko:K03657	amai:I635_00970
ko:K00640	amai:I635_00975
ko:K03733	amai:I635_00985
ko:K09921	amai:I635_00990
ko:K01778	amai:I635_00995
ko:K01586	amai:I635_01000
ko:K02553	amai:I635_01020
ko:K03186	amai:I635_01030
ko:K02558	amai:I635_01035
ko:K03841	amai:I635_01040
ko:K09950	amai:I635_01050
ko:K07107	amai:I635_01060
ko:K04046	amai:I635_01065
ko:K03701	amai:I635_01075
ko:K02529	amai:I635_01105
ko:K00965	amai:I635_01115
ko:K00849	amai:I635_01120
ko:K00864	amai:I635_01170
ko:K02444	amai:I635_01175
ko:K00111	amai:I635_01180
ko:K03563	amai:I635_05460
ko:K01573	amai:I635_05465
ko:K03974	amai:I635_05505
ko:K03969	amai:I635_05510
ko:K03970	amai:I635_05515
ko:K00500	amai:I635_05525
ko:K03721	amai:I635_05530
ko:K16171	amai:I635_05535
ko:K05800	amai:I635_05545
ko:K00263	amai:I635_05550
ko:K00453	amai:I635_05565
ko:K00472	amai:I635_05585
ko:K03561	amai:I635_05615
ko:K03561	amai:I635_05620
ko:K03832	amai:I635_05630
ko:K06957	amai:I635_05640
ko:K03811	amai:I635_05660
ko:K03789	amai:I635_05675
ko:K06222	amai:I635_05705
ko:K01803	amai:I635_09830
ko:K03075	amai:I635_09835
ko:K00262	amai:I635_09855
ko:K03168	amai:I635_09900
ko:K00931	amai:I635_09910
ko:K00147	amai:I635_09915
ko:K00962	amai:I635_09930
ko:K09948	amai:I635_09935
ko:K07461	amai:I635_14160
ko:K00982	amai:I635_14175
ko:K02517	amai:I635_14205
ko:K01194	amai:I635_01890
ko:K00826	amai:I635_01980
ko:K01681	amai:I635_01995
ko:K02946	amai:I635_02010
ko:K02906	amai:I635_02015
ko:K02926	amai:I635_02020
ko:K02892	amai:I635_02025
ko:K02886	amai:I635_02030
ko:K02965	amai:I635_02035
ko:K02890	amai:I635_02040
ko:K02982	amai:I635_02045
ko:K02878	amai:I635_02050
ko:K02904	amai:I635_02055
ko:K01919	amai:I635_06340
ko:K07320	amai:I635_06370
ko:K01736	amai:I635_06375
ko:K05820	amai:I635_06380
ko:K09786	amai:I635_06390
ko:K07180	amai:I635_06395
ko:K04564	amai:I635_06400
ko:K07390	amai:I635_06405
ko:K03088	amai:I635_06415
ko:K02192	amai:I635_06430
ko:K03683	amai:I635_06440
ko:K01126	amai:I635_06450
ko:K03704	amai:I635_06460
ko:K10773	amai:I635_06475
ko:K03702	amai:I635_06515
ko:K06920	amai:I635_06525
ko:K10026	amai:I635_06530
ko:K01953	amai:I635_06540
ko:K00860	amai:I635_06580
ko:K00957	amai:I635_06585
ko:K03607	amai:I635_10690
ko:K03797	amai:I635_10695
ko:K03308	amai:I635_10700
ko:K03315	amai:I635_10705
ko:K01256	amai:I635_10710
ko:K15371	amai:I635_10740
ko:K12297	amai:I635_10750
ko:K15738	amai:I635_10760
ko:K03812	amai:I635_10770
ko:K01716	amai:I635_10775
ko:K01669	amai:I635_10785
ko:K01669	amai:I635_10790
ko:K01669	amai:I635_10795
ko:K06876	amai:I635_10800
ko:K00901	amai:I635_10825
ko:K03594	amai:I635_10850
ko:K03594	amai:I635_10855
ko:K00404	amai:I635_10865
ko:K00405	amai:I635_10870
ko:K00407	amai:I635_10875
ko:K00406	amai:I635_10880
ko:K09926	amai:I635_10885
ko:K09792	amai:I635_10900
ko:K14055	amai:I635_10910
ko:K14058	amai:I635_10915
ko:K07001	amai:I635_10920
ko:K12410	amai:I635_10945
ko:K11065	amai:I635_10955
ko:K00767	amai:I635_14985
ko:K02654	amai:I635_15000
ko:K00859	amai:I635_15005
ko:K09862	amai:I635_15015
ko:K03070	amai:I635_15030
ko:K02535	amai:I635_15040
ko:K03531	amai:I635_15045
ko:K03590	amai:I635_15050
ko:K03589	amai:I635_15055
ko:K01921	amai:I635_15060
ko:K01924	amai:I635_15065
ko:K02563	amai:I635_15070
ko:K03588	amai:I635_15075
ko:K01925	amai:I635_15080
ko:K01000	amai:I635_15085
ko:K01929	amai:I635_15090
ko:K01928	amai:I635_15095
ko:K03587	amai:I635_15100
ko:K03586	amai:I635_15105
ko:K03438	amai:I635_15110
ko:K03925	amai:I635_15115
ko:K01273	amai:I635_15130
ko:K16872	amai:I635_15200
ko:K09761	amai:I635_15230
ko:K01920	amai:I635_15235
ko:K07735	amai:I635_15240
ko:K07447	amai:I635_15245
ko:K02687	amai:I635_19425
ko:K03557	amai:I635_19435
ko:K00602	amai:I635_19440
ko:K01945	amai:I635_19450
ko:K10716	amai:I635_19465
ko:K00855	amai:I635_19470
ko:K07659	amai:I635_19480
ko:K07638	amai:I635_19490
ko:K01610	amai:I635_19510
ko:K04083	amai:I635_19515
ko:K04762	amai:I635_19520
ko:K02452	amai:I635_19525
ko:K02453	amai:I635_19530
ko:K02455	amai:I635_19540
ko:K02456	amai:I635_19545
ko:K02457	amai:I635_19550
ko:K02458	amai:I635_19555
ko:K02459	amai:I635_19560
ko:K02460	amai:I635_19565
ko:K02461	amai:I635_19570
ko:K02462	amai:I635_19575
ko:K08312	amai:I635_19605
ko:K03669	amai:I635_19620
ko:K03670	amai:I635_19625
ko:K06158	amai:I635_19650
ko:K07070	amai:I635_19655
ko:K03313	amai:I635_02610
ko:K01588	amai:I635_02615
ko:K01589	amai:I635_02620
ko:K04047	amai:I635_02630
ko:K05838	amai:I635_02650
ko:K09937	amai:I635_02665
ko:K01939	amai:I635_02670
ko:K06991	amai:I635_02680
ko:K01207	amai:I635_02700
ko:K07106	amai:I635_02715
ko:K01775	amai:I635_02720
ko:K06193	amai:I635_02760
ko:K03829	amai:I635_02765
ko:K09803	amai:I635_02790
ko:K00833	amai:I635_07150
ko:K01012	amai:I635_07155
ko:K02169	amai:I635_07165
ko:K01935	amai:I635_07170
ko:K05995	amai:I635_07175
ko:K06074	amai:I635_07190
ko:K01626	amai:I635_07195
ko:K09954	amai:I635_07205
ko:K03639	amai:I635_07215
ko:K06938	amai:I635_07245
ko:K05541	amai:I635_07250
ko:K10804	amai:I635_07265
ko:K02003	amai:I635_07270
ko:K07071	amai:I635_07280
ko:K07589	amai:I635_07285
ko:K07637	amai:I635_07295
ko:K09780	amai:I635_07315
ko:K01695	amai:I635_07320
ko:K01696	amai:I635_07325
ko:K13498	amai:I635_07330
ko:K00766	amai:I635_07335
ko:K01657	amai:I635_07345
ko:K07053	amai:I635_07350
ko:K05896	amai:I635_07360
ko:K06024	amai:I635_07365
ko:K06178	amai:I635_07370
ko:K03522	amai:I635_11530
ko:K03521	amai:I635_11535
ko:K00311	amai:I635_11540
ko:K03839	amai:I635_11560
ko:K00824	amai:I635_11575
ko:K07160	amai:I635_11590
ko:K00243	amai:I635_11595
ko:K07397	amai:I635_11600
ko:K14260	amai:I635_11630
ko:K01129	amai:I635_11700
ko:K17247	amai:I635_11710
ko:K09858	amai:I635_11725
ko:K03610	amai:I635_15810
ko:K08973	amai:I635_15835
ko:K14155	amai:I635_15855
ko:K06207	amai:I635_15865
ko:K01915	amai:I635_15875
ko:K07708	amai:I635_15885
ko:K07712	amai:I635_15890
ko:K00655	amai:I635_15900
ko:K09893	amai:I635_15905
ko:K01873	amai:I635_15945
ko:K02339	amai:I635_15950
ko:K01255	amai:I635_15955
ko:K07091	amai:I635_15960
ko:K11720	amai:I635_15965
ko:K03088	amai:I635_15980
ko:K00154	amai:I635_20250
ko:K01625	amai:I635_20300
ko:K01690	amai:I635_20310
ko:K01057	amai:I635_20315
ko:K00036	amai:I635_20320
ko:K00873	amai:I635_20330
ko:K07154	amai:I635_20345
ko:K02529	amai:I635_20370
ko:K07443	amai:I635_20390
ko:K02114	amai:I635_20410
ko:K02112	amai:I635_20415
ko:K02115	amai:I635_20420
ko:K02111	amai:I635_20425
ko:K01825	amai:I635_02905
ko:K08309	amai:I635_02910
ko:K07238	amai:I635_02920
ko:K02523	amai:I635_02925
ko:K02888	amai:I635_02930
ko:K02899	amai:I635_02935
ko:K03979	amai:I635_02940
ko:K06194	amai:I635_02955
ko:K00573	amai:I635_02965
ko:K06176	amai:I635_02970
ko:K01770	amai:I635_02975
ko:K00991	amai:I635_02980
ko:K05589	amai:I635_02985
ko:K13821	amai:I635_03005
ko:K07184	amai:I635_03015
ko:K03573	amai:I635_03030
ko:K08311	amai:I635_03035
ko:K08484	amai:I635_03040
ko:K13292	amai:I635_03050
ko:K08218	amai:I635_03070
ko:K03580	amai:I635_03090
ko:K07175	amai:I635_03105
ko:K02302	amai:I635_03115
ko:K05592	amai:I635_03120
ko:K08714	amai:I635_03130
ko:K12340	amai:I635_03140
ko:K09920	amai:I635_03150
ko:K03651	amai:I635_03155
ko:K06222	amai:I635_07375
ko:K06186	amai:I635_07420
ko:K03631	amai:I635_07425
ko:K04047	amai:I635_07430
ko:K00858	amai:I635_07435
ko:K00019	amai:I635_07445
ko:K00641	amai:I635_07455
ko:K03687	amai:I635_07480
ko:K04043	amai:I635_07485
ko:K03686	amai:I635_07490
ko:K01908	amai:I635_07505
ko:K00215	amai:I635_07515
ko:K01956	amai:I635_07520
ko:K01955	amai:I635_07525
ko:K03624	amai:I635_07530
ko:K04080	amai:I635_07545
ko:K00925	amai:I635_07550
ko:K13788	amai:I635_07555
ko:K03820	amai:I635_07570
ko:K06189	amai:I635_07575
ko:K07042	amai:I635_07580
ko:K06168	amai:I635_07590
ko:K03184	amai:I635_07595
ko:K02018	amai:I635_11780
ko:K02020	amai:I635_11785
ko:K03636	amai:I635_11795
ko:K03637	amai:I635_11800
ko:K03638	amai:I635_11805
ko:K06987	amai:I635_11815
ko:K00817	amai:I635_11850
ko:K00549	amai:I635_11865
ko:K11939	amai:I635_11880
ko:K03581	amai:I635_11895
ko:K03582	amai:I635_11900
ko:K03583	amai:I635_11905
ko:K09897	amai:I635_11960
ko:K05970	amai:I635_16185
ko:K08323	amai:I635_16190
ko:K01235	amai:I635_16195
ko:K01198	amai:I635_16200
ko:K01209	amai:I635_16200
ko:K07226	amai:I635_16255
ko:K02013	amai:I635_16260
ko:K02015	amai:I635_16265
ko:K02016	amai:I635_16270
ko:K16089	amai:I635_16280
ko:K02440	amai:I635_16290
ko:K01251	amai:I635_16345
ko:K07088	amai:I635_16360
ko:K03650	amai:I635_20495
ko:K09767	amai:I635_20500
ko:K03217	amai:I635_20505
ko:K08998	amai:I635_20510
ko:K03536	amai:I635_20515
ko:K02914	amai:I635_20520
ko:K07243	amai:I635_03785
ko:K02871	amai:I635_03810
ko:K02996	amai:I635_03815
ko:K00411	amai:I635_03820
ko:K00412	amai:I635_03825
ko:K00413	amai:I635_03830
ko:K03599	amai:I635_03835
ko:K03600	amai:I635_03840
ko:K06213	amai:I635_03845
ko:K06958	amai:I635_03855
ko:K05808	amai:I635_03865
ko:K03092	amai:I635_03870
ko:K06861	amai:I635_03875
ko:K09774	amai:I635_03880
