ko:K01139	kps:KPNJ2_00117
ko:K06179	kps:KPNJ2_03433
ko:K08300	kps:KPNJ2_03434
ko:K03980	kps:KPNJ2_03437
ko:K03810	kps:KPNJ2_03438
ko:K09915	kps:KPNJ2_03439
ko:K03790	kps:KPNJ2_03440
ko:K08162	kps:KPNJ2_03441
ko:K01465	kps:KPNJ2_03443
ko:K12149	kps:KPNJ2_03444
ko:K12148	kps:KPNJ2_03445
ko:K02846	kps:KPNJ2_03446
ko:K07146	kps:KPNJ2_03448
ko:K02517	kps:KPNJ2_03449
ko:K08161	kps:KPNJ2_03450
ko:K12147	kps:KPNJ2_03451
ko:K03669	kps:KPNJ2_03453
ko:K03670	kps:KPNJ2_03454
ko:K11941	kps:KPNJ2_03455
ko:K04477	kps:KPNJ2_03460
ko:K12972	kps:KPNJ2_03461
ko:K06911	kps:KPNJ2_03463
ko:K03673	kps:KPNJ2_03465
ko:K16301	kps:KPNJ2_03467
ko:K07224	kps:KPNJ2_03468
ko:K07243	kps:KPNJ2_03469
ko:K03317	kps:KPNJ2_03470
ko:K11928	kps:KPNJ2_03473
ko:K13821	kps:KPNJ2_03474
ko:K02058	kps:KPNJ2_04001
ko:K02057	kps:KPNJ2_04002
ko:K02056	kps:KPNJ2_04003
ko:K08317	kps:KPNJ2_04005
ko:K06200	kps:KPNJ2_04010
ko:K00216	kps:KPNJ2_04012
ko:K01252	kps:KPNJ2_04013
ko:K02363	kps:KPNJ2_04014
ko:K02361	kps:KPNJ2_04015
ko:K02016	kps:KPNJ2_04017
ko:K08225	kps:KPNJ2_04018
ko:K02015	kps:KPNJ2_04020
ko:K02015	kps:KPNJ2_04021
ko:K02013	kps:KPNJ2_04022
ko:K02364	kps:KPNJ2_04023
ko:K07214	kps:KPNJ2_04025
ko:K02362	kps:KPNJ2_04027
ko:K00615	kps:KPNJ2_04028
ko:K00615	kps:KPNJ2_04029
ko:K00864	kps:KPNJ2_04031
ko:K17202	kps:KPNJ2_04032
ko:K17204	kps:KPNJ2_04034
ko:K17203	kps:KPNJ2_04035
ko:K03566	kps:KPNJ2_04039
ko:K16053	kps:KPNJ2_04040
ko:K02168	kps:KPNJ2_04042
ko:K02167	kps:KPNJ2_04043
ko:K02035	kps:KPNJ2_04047
ko:K02033	kps:KPNJ2_04048
ko:K02034	kps:KPNJ2_04049
ko:K03580	kps:KPNJ2_04635
ko:K06177	kps:KPNJ2_04636
ko:K05964	kps:KPNJ2_04637
ko:K07700	kps:KPNJ2_04639
ko:K07702	kps:KPNJ2_04640
ko:K05801	kps:KPNJ2_04641
ko:K04744	kps:KPNJ2_04642
ko:K03771	kps:KPNJ2_04643
ko:K00097	kps:KPNJ2_04644
ko:K02528	kps:KPNJ2_04645
ko:K06195	kps:KPNJ2_04646
ko:K01525	kps:KPNJ2_04647
ko:K11746	kps:KPNJ2_04650
ko:K01955	kps:KPNJ2_04652
ko:K01956	kps:KPNJ2_04653
ko:K00215	kps:KPNJ2_04656
ko:K05966	kps:KPNJ2_04657
ko:K01643	kps:KPNJ2_04658
ko:K01644	kps:KPNJ2_04659
ko:K01646	kps:KPNJ2_04660
ko:K01910	kps:KPNJ2_04661
ko:K01573	kps:KPNJ2_04663
ko:K01571	kps:KPNJ2_04664
ko:K01572	kps:KPNJ2_04665
ko:K07700	kps:KPNJ2_04666
ko:K07702	kps:KPNJ2_04667
ko:K12700	kps:KPNJ2_04671
ko:K03527	kps:KPNJ2_04672
ko:K03774	kps:KPNJ2_04673
ko:K03101	kps:KPNJ2_04674
ko:K01870	kps:KPNJ2_04675
ko:K11753	kps:KPNJ2_04676
ko:K02968	kps:KPNJ2_04677
ko:K03717	kps:KPNJ2_04679
ko:K03313	kps:KPNJ2_04680
ko:K03686	kps:KPNJ2_04681
ko:K04043	kps:KPNJ2_04682
ko:K07034	kps:KPNJ2_04685
ko:K01607	kps:KPNJ2_05314
ko:K12525	kps:KPNJ2_05317
ko:K01739	kps:KPNJ2_05318
ko:K03764	kps:KPNJ2_05319
ko:K02909	kps:KPNJ2_05320
ko:K04066	kps:KPNJ2_05322
ko:K05499	kps:KPNJ2_05324
ko:K03591	kps:KPNJ2_05325
ko:K01419	kps:KPNJ2_05326
ko:K03667	kps:KPNJ2_05327
ko:K02548	kps:KPNJ2_05328
ko:K02553	kps:KPNJ2_05329
ko:K00850	kps:KPNJ2_05330
ko:K13283	kps:KPNJ2_05331
ko:K06006	kps:KPNJ2_05332
ko:K07640	kps:KPNJ2_05334
ko:K04564	kps:KPNJ2_05336
ko:K02856	kps:KPNJ2_05337
ko:K02854	kps:KPNJ2_05338
ko:K02855	kps:KPNJ2_05339
ko:K00848	kps:KPNJ2_05340
ko:K01813	kps:KPNJ2_05341
ko:K01629	kps:KPNJ2_05342
ko:K10559	kps:KPNJ2_05343
ko:K10562	kps:KPNJ2_05344
ko:K10560	kps:KPNJ2_05345
ko:K10561	kps:KPNJ2_05346
ko:K03534	kps:KPNJ2_05348
ko:K02532	kps:KPNJ2_05349
ko:K07407	kps:KPNJ2_05350
ko:K02529	kps:KPNJ2_05351
ko:K02821	kps:KPNJ2_05356
ko:K01624	kps:KPNJ2_05358
ko:K03475	kps:KPNJ2_05359
ko:K02822	kps:KPNJ2_05360
ko:K00850	kps:KPNJ2_05361
ko:K02379	kps:KPNJ2_05365
ko:K00123	kps:KPNJ2_05366
ko:K02024	kps:KPNJ2_04844
ko:K01805	kps:KPNJ2_04845
ko:K03292	kps:KPNJ2_04847
ko:K01198	kps:KPNJ2_04848
ko:K07454	kps:KPNJ2_04850
ko:K11903	kps:KPNJ2_04854
ko:K07733	kps:KPNJ2_04863
ko:K01673	kps:KPNJ2_04870
ko:K12957	kps:KPNJ2_04872
ko:K05814	kps:KPNJ2_04873
ko:K05815	kps:KPNJ2_04874
ko:K05816	kps:KPNJ2_04876
ko:K05813	kps:KPNJ2_04877
ko:K03335	kps:KPNJ2_04878
ko:K06605	kps:KPNJ2_04879
ko:K00010	kps:KPNJ2_04880
ko:K03336	kps:KPNJ2_04881
ko:K03338	kps:KPNJ2_04882
ko:K03337	kps:KPNJ2_04891
ko:K00140	kps:KPNJ2_04892
ko:K06606	kps:KPNJ2_04893
ko:K06915	kps:KPNJ2_04894
ko:K11720	kps:KPNJ2_04895
ko:K07091	kps:KPNJ2_04896
ko:K07075	kps:KPNJ2_05569
ko:K00121	kps:KPNJ2_05585
ko:K01070	kps:KPNJ2_05587
ko:K00615	kps:KPNJ2_01507
ko:K00616	kps:KPNJ2_01508
ko:K00029	kps:KPNJ2_01509
ko:K04031	kps:KPNJ2_01510
ko:K04029	kps:KPNJ2_01511
ko:K04030	kps:KPNJ2_01512
ko:K04032	kps:KPNJ2_01513
ko:K04020	kps:KPNJ2_01514
ko:K04027	kps:KPNJ2_01515
ko:K04021	kps:KPNJ2_01517
ko:K04024	kps:KPNJ2_01518
ko:K04022	kps:KPNJ2_01519
ko:K04023	kps:KPNJ2_01521
ko:K04019	kps:KPNJ2_01522
ko:K03735	kps:KPNJ2_01523
ko:K03736	kps:KPNJ2_01524
ko:K04026	kps:KPNJ2_01525
ko:K04025	kps:KPNJ2_01526
ko:K04033	kps:KPNJ2_01527
ko:K00228	kps:KPNJ2_01528
ko:K01448	kps:KPNJ2_01529
ko:K07223	kps:KPNJ2_01534
ko:K02048	kps:KPNJ2_01535
ko:K02046	kps:KPNJ2_01536
ko:K02047	kps:KPNJ2_01537
ko:K02045	kps:KPNJ2_01538
ko:K12339	kps:KPNJ2_01539
ko:K00868	kps:KPNJ2_01542
ko:K08483	kps:KPNJ2_01545
ko:K02784	kps:KPNJ2_01546
ko:K01738	kps:KPNJ2_01548
ko:K06203	kps:KPNJ2_01549
ko:K03528	kps:KPNJ2_01551
ko:K01972	kps:KPNJ2_01553
ko:K09954	kps:KPNJ2_01554
ko:K14347	kps:KPNJ2_01555
ko:K01141	kps:KPNJ2_01870
ko:K07258	kps:KPNJ2_01871
ko:K07470	kps:KPNJ2_01873
ko:K09802	kps:KPNJ2_01875
ko:K02233	kps:KPNJ2_01876
ko:K00768	kps:KPNJ2_01877
ko:K01251	kps:KPNJ2_01878
ko:K07168	kps:KPNJ2_01879
ko:K03566	kps:KPNJ2_01889
ko:K07733	kps:KPNJ2_01895
ko:K01156	kps:KPNJ2_01923
ko:K02016	kps:KPNJ2_02298
ko:K05818	kps:KPNJ2_02299
ko:K05712	kps:KPNJ2_02300
ko:K05713	kps:KPNJ2_02301
ko:K02554	kps:KPNJ2_02303
ko:K04073	kps:KPNJ2_02304
ko:K01666	kps:KPNJ2_02305
ko:K05819	kps:KPNJ2_02306
ko:K05810	kps:KPNJ2_02307
ko:K04091	kps:KPNJ2_02311
ko:K15553	kps:KPNJ2_02313
ko:K02051	kps:KPNJ2_02314
ko:K02050	kps:KPNJ2_02315
ko:K02049	kps:KPNJ2_02316
ko:K02014	kps:KPNJ2_02317
ko:K02013	kps:KPNJ2_02319
ko:K02015	kps:KPNJ2_02320
ko:K02015	kps:KPNJ2_02321
ko:K02016	kps:KPNJ2_02322
ko:K02030	kps:KPNJ2_02324
ko:K02029	kps:KPNJ2_02325
ko:K02028	kps:KPNJ2_02326
ko:K13574	kps:KPNJ2_02334
ko:K02012	kps:KPNJ2_02336
ko:K02011	kps:KPNJ2_02338
ko:K02010	kps:KPNJ2_02339
ko:K06152	kps:KPNJ2_02341
ko:K06151	kps:KPNJ2_02342
ko:K02193	kps:KPNJ2_02344
ko:K02194	kps:KPNJ2_02345
ko:K02195	kps:KPNJ2_02346
ko:K02196	kps:KPNJ2_02347
ko:K02197	kps:KPNJ2_02348
ko:K02198	kps:KPNJ2_02349
ko:K02199	kps:KPNJ2_02350
ko:K02200	kps:KPNJ2_02351
ko:K07017	kps:KPNJ2_02780
ko:K01265	kps:KPNJ2_02787
ko:K07154	kps:KPNJ2_02794
ko:K07127	kps:KPNJ2_02796
ko:K16840	kps:KPNJ2_02797
ko:K16345	kps:KPNJ2_02798
ko:K16839	kps:KPNJ2_02799
ko:K02073	kps:KPNJ2_02809
ko:K02071	kps:KPNJ2_02810
ko:K02072	kps:KPNJ2_02811
ko:K00459	kps:KPNJ2_02812
ko:K00598	kps:KPNJ2_02818
ko:K01607	kps:KPNJ2_02819
ko:K11903	kps:KPNJ2_02821
ko:K00041	kps:KPNJ2_02827
ko:K07180	kps:KPNJ2_03321
ko:K09786	kps:KPNJ2_03322
ko:K00432	kps:KPNJ2_03324
ko:K03449	kps:KPNJ2_03340
ko:K09712	kps:KPNJ2_03344
ko:K13069	kps:KPNJ2_03345
ko:K11250	kps:KPNJ2_03350
ko:K12974	kps:KPNJ2_03351
ko:K01424	kps:KPNJ2_03353
ko:K03182	kps:KPNJ2_03358
ko:K00426	kps:KPNJ2_03366
ko:K00425	kps:KPNJ2_03367
ko:K07217	kps:KPNJ2_03368
ko:K01869	kps:KPNJ2_03894
ko:K03643	kps:KPNJ2_03895
ko:K02340	kps:KPNJ2_03896
ko:K00969	kps:KPNJ2_03897
ko:K02226	kps:KPNJ2_03898
ko:K09710	kps:KPNJ2_03899
ko:K00783	kps:KPNJ2_03900
ko:K05515	kps:KPNJ2_03901
ko:K05837	kps:KPNJ2_03902
ko:K03642	kps:KPNJ2_03903
ko:K07258	kps:KPNJ2_03904
ko:K09158	kps:KPNJ2_03905
ko:K03801	kps:KPNJ2_03906
ko:K03644	kps:KPNJ2_03908
ko:K03425	kps:KPNJ2_03909
ko:K06199	kps:KPNJ2_03911
ko:K03704	kps:KPNJ2_03912
ko:K12973	kps:KPNJ2_03913
ko:K03326	kps:KPNJ2_03915
ko:K01169	kps:KPNJ2_03916
ko:K06140	kps:KPNJ2_03917
ko:K11932	kps:KPNJ2_03918
ko:K03387	kps:KPNJ2_03919
ko:K03386	kps:KPNJ2_03920
ko:K03805	kps:KPNJ2_03921
ko:K14287	kps:KPNJ2_03925
ko:K09880	kps:KPNJ2_03926
ko:K08967	kps:KPNJ2_03927
ko:K08351	kps:KPNJ2_03928
ko:K10439	kps:KPNJ2_03929
ko:K10441	kps:KPNJ2_03930
ko:K10440	kps:KPNJ2_03931
ko:K10440	kps:KPNJ2_03932
ko:K00058	kps:KPNJ2_03934
ko:K08964	kps:KPNJ2_03936
ko:K10974	kps:KPNJ2_03937
ko:K01485	kps:KPNJ2_03939
ko:K01092	kps:KPNJ2_03941
ko:K07783	kps:KPNJ2_03942
ko:K06204	kps:KPNJ2_04532
ko:K01894	kps:KPNJ2_04533
ko:K00970	kps:KPNJ2_04534
ko:K00950	kps:KPNJ2_04535
ko:K00606	kps:KPNJ2_04536
ko:K01918	kps:KPNJ2_04537
ko:K01579	kps:KPNJ2_04538
ko:K01992	kps:KPNJ2_04541
ko:K01990	kps:KPNJ2_04542
ko:K01673	kps:KPNJ2_04543
ko:K00760	kps:KPNJ2_04544
ko:K00117	kps:KPNJ2_04546
ko:K14588	kps:KPNJ2_04547
ko:K00797	kps:KPNJ2_04555
ko:K01611	kps:KPNJ2_04556
ko:K09910	kps:KPNJ2_04557
ko:K01682	kps:KPNJ2_04558
ko:K00382	kps:KPNJ2_04564
ko:K00627	kps:KPNJ2_04565
ko:K00163	kps:KPNJ2_04566
ko:K11734	kps:KPNJ2_04569
ko:K03807	kps:KPNJ2_04572
ko:K03806	kps:KPNJ2_04573
ko:K00767	kps:KPNJ2_04574
ko:K02682	kps:KPNJ2_04576
ko:K02504	kps:KPNJ2_04577
ko:K02505	kps:KPNJ2_04578
ko:K00364	kps:KPNJ2_04579
ko:K00859	kps:KPNJ2_04581
ko:K09862	kps:KPNJ2_04583
ko:K03574	kps:KPNJ2_04584
ko:K03118	kps:KPNJ2_05217
ko:K03117	kps:KPNJ2_05218
ko:K03116	kps:KPNJ2_05219
ko:K03688	kps:KPNJ2_05220
ko:K03690	kps:KPNJ2_05221
ko:K03183	kps:KPNJ2_05222
ko:K09760	kps:KPNJ2_05223
ko:K00757	kps:KPNJ2_05224
ko:K01061	kps:KPNJ2_05225
ko:K00549	kps:KPNJ2_05226
ko:K03576	kps:KPNJ2_05228
ko:K01048	kps:KPNJ2_05231
ko:K05834	kps:KPNJ2_05232
ko:K05835	kps:KPNJ2_05234
ko:K03654	kps:KPNJ2_05235
ko:K01058	kps:KPNJ2_05236
ko:K05786	kps:KPNJ2_05238
ko:K03284	kps:KPNJ2_05239
ko:K03657	kps:KPNJ2_05240
ko:K03733	kps:KPNJ2_05242
ko:K09921	kps:KPNJ2_05243
ko:K01778	kps:KPNJ2_05244
ko:K06202	kps:KPNJ2_05246
ko:K05851	kps:KPNJ2_05247
ko:K01749	kps:KPNJ2_05248
ko:K01719	kps:KPNJ2_05249
ko:K02496	kps:KPNJ2_05250
ko:K02498	kps:KPNJ2_05251
ko:K02852	kps:KPNJ2_05254
ko:K02853	kps:KPNJ2_05255
ko:K12582	kps:KPNJ2_05256
ko:K16693	kps:KPNJ2_05257
ko:K02805	kps:KPNJ2_05258
ko:K16704	kps:KPNJ2_05259
ko:K00973	kps:KPNJ2_05260
ko:K02472	kps:KPNJ2_05262
ko:K03286	kps:KPNJ2_03528
ko:K09911	kps:KPNJ2_03529
ko:K04770	kps:KPNJ2_03530
ko:K01716	kps:KPNJ2_03531
ko:K03812	kps:KPNJ2_03532
ko:K09857	kps:KPNJ2_03533
ko:K06192	kps:KPNJ2_03534
ko:K03808	kps:KPNJ2_03535
ko:K15738	kps:KPNJ2_03536
ko:K12297	kps:KPNJ2_03537
ko:K07140	kps:KPNJ2_03538
ko:K00254	kps:KPNJ2_03540
ko:K00299	kps:KPNJ2_03541
ko:K15553	kps:KPNJ2_03542
ko:K04091	kps:KPNJ2_03543
ko:K15554	kps:KPNJ2_03544
ko:K15555	kps:KPNJ2_03545
ko:K01256	kps:KPNJ2_03546
ko:K00763	kps:KPNJ2_03547
ko:K06016	kps:KPNJ2_03549
ko:K03837	kps:KPNJ2_03550
ko:K01751	kps:KPNJ2_03551
ko:K01893	kps:KPNJ2_03553
ko:K09476	kps:KPNJ2_03555
ko:K00813	kps:KPNJ2_03556
ko:K03632	kps:KPNJ2_03560
ko:K03804	kps:KPNJ2_03561
ko:K03633	kps:KPNJ2_03562
ko:K06219	kps:KPNJ2_03563
ko:K00979	kps:KPNJ2_03566
ko:K09791	kps:KPNJ2_03567
ko:K09927	kps:KPNJ2_03568
ko:K00912	kps:KPNJ2_03569
ko:K11085	kps:KPNJ2_03570
ko:K02238	kps:KPNJ2_03571
ko:K05788	kps:KPNJ2_03572
ko:K02945	kps:KPNJ2_03573
ko:K00945	kps:KPNJ2_03574
ko:K00800	kps:KPNJ2_03575
ko:K00831	kps:KPNJ2_03576
ko:K09136	kps:KPNJ2_03578
ko:K06212	kps:KPNJ2_03579
ko:K02013	kps:KPNJ2_04109
ko:K00847	kps:KPNJ2_04115
ko:K16077	kps:KPNJ2_04117
ko:K02809	kps:KPNJ2_04118
ko:K02810	kps:KPNJ2_04118
ko:K01193	kps:KPNJ2_04119
ko:K03484	kps:KPNJ2_04120
ko:K17215	kps:KPNJ2_04124
ko:K17213	kps:KPNJ2_04125
ko:K02529	kps:KPNJ2_04127
ko:K00010	kps:KPNJ2_04128
ko:K03335	kps:KPNJ2_04131
ko:K04567	kps:KPNJ2_04134
ko:K03305	kps:KPNJ2_04135
ko:K03757	kps:KPNJ2_04137
ko:K03765	kps:KPNJ2_04138
ko:K02517	kps:KPNJ2_04140
ko:K07345	kps:KPNJ2_04145
ko:K01647	kps:KPNJ2_04148
ko:K07127	kps:KPNJ2_04152
ko:K01491	kps:KPNJ2_04154
ko:K00975	kps:KPNJ2_00335
ko:K03704	kps:KPNJ2_00852
ko:K07150	kps:KPNJ2_00866
ko:K01581	kps:KPNJ2_00867
ko:K03289	kps:KPNJ2_00868
ko:K08306	kps:KPNJ2_00869
ko:K03575	kps:KPNJ2_00871
ko:K05895	kps:KPNJ2_01086
ko:K02190	kps:KPNJ2_01087
ko:K03394	kps:KPNJ2_01088
ko:K02007	kps:KPNJ2_01089
ko:K02009	kps:KPNJ2_01090
ko:K02008	kps:KPNJ2_01091
ko:K02006	kps:KPNJ2_01092
ko:K02232	kps:KPNJ2_01093
ko:K02231	kps:KPNJ2_01094
ko:K00768	kps:KPNJ2_01095
ko:K08304	kps:KPNJ2_01096
ko:K02426	kps:KPNJ2_01098
ko:K01766	kps:KPNJ2_01099
ko:K03566	kps:KPNJ2_01101
ko:K06968	kps:KPNJ2_01103
ko:K02430	kps:KPNJ2_01104
ko:K02431	kps:KPNJ2_01105
ko:K00879	kps:KPNJ2_01106
ko:K01818	kps:KPNJ2_01107
ko:K02429	kps:KPNJ2_01108
ko:K01628	kps:KPNJ2_01112
ko:K00048	kps:KPNJ2_01113
ko:K01146	kps:KPNJ2_01114
ko:K04091	kps:KPNJ2_01117
ko:K15553	kps:KPNJ2_01125
ko:K01752	kps:KPNJ2_01127
ko:K03837	kps:KPNJ2_01128
ko:K06966	kps:KPNJ2_01130
ko:K06879	kps:KPNJ2_01131
ko:K15723	kps:KPNJ2_01132
ko:K06175	kps:KPNJ2_01135
ko:K03214	kps:KPNJ2_01398
ko:K03648	kps:KPNJ2_01399
ko:K05590	kps:KPNJ2_01401
ko:K15460	kps:KPNJ2_01402
ko:K00278	kps:KPNJ2_01403
ko:K03088	kps:KPNJ2_01404
ko:K03597	kps:KPNJ2_01405
ko:K03598	kps:KPNJ2_01406
ko:K03803	kps:KPNJ2_01407
ko:K03596	kps:KPNJ2_01408
ko:K03100	kps:KPNJ2_01409
ko:K03685	kps:KPNJ2_01412
ko:K03584	kps:KPNJ2_01414
ko:K03474	kps:KPNJ2_01415
ko:K00997	kps:KPNJ2_01416
ko:K11991	kps:KPNJ2_01420
ko:K01952	kps:KPNJ2_01422
ko:K07711	kps:KPNJ2_01423
ko:K07715	kps:KPNJ2_01425
ko:K04751	kps:KPNJ2_01426
ko:K05916	kps:KPNJ2_01427
ko:K00600	kps:KPNJ2_01429
ko:K15977	kps:KPNJ2_01430
ko:K05820	kps:KPNJ2_01436
ko:K01092	kps:KPNJ2_01441
ko:K15396	kps:KPNJ2_01442
ko:K13643	kps:KPNJ2_01443
ko:K04487	kps:KPNJ2_01444
ko:K04488	kps:KPNJ2_01445
ko:K13628	kps:KPNJ2_01446
ko:K04082	kps:KPNJ2_01447
ko:K04044	kps:KPNJ2_01448
ko:K04755	kps:KPNJ2_01449
ko:K07751	kps:KPNJ2_01451
ko:K01874	kps:KPNJ2_01766
ko:K03593	kps:KPNJ2_01767
ko:K06901	kps:KPNJ2_01771
ko:K01486	kps:KPNJ2_01772
ko:K00878	kps:KPNJ2_01775
ko:K00941	kps:KPNJ2_01776
ko:K00039	kps:KPNJ2_01780
ko:K03435	kps:KPNJ2_01781
ko:K00007	kps:KPNJ2_01783
ko:K00854	kps:KPNJ2_01784
ko:K02035	kps:KPNJ2_01788
ko:K02033	kps:KPNJ2_01789
ko:K02034	kps:KPNJ2_01790
ko:K08303	kps:KPNJ2_01795
ko:K07664	kps:KPNJ2_01796
ko:K07642	kps:KPNJ2_01797
ko:K18326	kps:KPNJ2_01798
ko:K07789	kps:KPNJ2_01799
ko:K07788	kps:KPNJ2_01800
ko:K07799	kps:KPNJ2_01801
ko:K07660	kps:KPNJ2_01806
ko:K04046	kps:KPNJ2_01808
ko:K01247	kps:KPNJ2_01809
ko:K00876	kps:KPNJ2_01810
ko:K01494	kps:KPNJ2_01811
ko:K07289	kps:KPNJ2_01812
ko:K00963	kps:KPNJ2_01814
ko:K00370	kps:KPNJ2_02193
ko:K00371	kps:KPNJ2_02194
ko:K00373	kps:KPNJ2_02195
ko:K00374	kps:KPNJ2_02196
ko:K03719	kps:KPNJ2_02198
ko:K01433	kps:KPNJ2_02200
ko:K09858	kps:KPNJ2_02201
ko:K07001	kps:KPNJ2_02202
ko:K00963	kps:KPNJ2_02204
ko:K04072	kps:KPNJ2_02208
ko:K15580	kps:KPNJ2_02213
ko:K15581	kps:KPNJ2_02214
ko:K15582	kps:KPNJ2_02215
ko:K15583	kps:KPNJ2_02216
ko:K10823	kps:KPNJ2_02217
ko:K10716	kps:KPNJ2_02218
ko:K09901	kps:KPNJ2_02219
ko:K06131	kps:KPNJ2_02220
ko:K09780	kps:KPNJ2_02225
ko:K03832	kps:KPNJ2_02226
ko:K16370	kps:KPNJ2_02229
ko:K07283	kps:KPNJ2_02230
ko:K01868	kps:KPNJ2_02233
ko:K02520	kps:KPNJ2_02234
ko:K02916	kps:KPNJ2_02235
ko:K02887	kps:KPNJ2_02236
ko:K01889	kps:KPNJ2_02237
ko:K01890	kps:KPNJ2_02238
ko:K04764	kps:KPNJ2_02239
ko:K00285	kps:KPNJ2_02241
