ko:K08744	mbk:K60_019080
ko:K12503	mbk:K60_011660
ko:K00867	mbk:K60_011770
ko:K01679	mbk:K60_011830
ko:K02446	mbk:K60_011840
ko:K16045	mbk:K60_011910
ko:K00033	mbk:K60_012080
ko:K00626	mbk:K60_012220
ko:K16168	mbk:K60_012260
ko:K07052	mbk:K60_012270
ko:K01692	mbk:K60_012280
ko:K01692	mbk:K60_012290
ko:K01796	mbk:K60_012300
ko:K06994	mbk:K60_012330
ko:K13669	mbk:K60_012500
ko:K01724	mbk:K60_012510
ko:K00374	mbk:K60_012560
ko:K15525	mbk:K60_012630
ko:K11779	mbk:K60_012660
ko:K00219	mbk:K60_012680
ko:K06994	mbk:K60_012750
ko:K12423	mbk:K60_012770
ko:K00294	mbk:K60_012790
ko:K00674	mbk:K60_012910
ko:K01439	mbk:K60_012920
ko:K00666	mbk:K60_012960
ko:K13693	mbk:K60_012980
ko:K16148	mbk:K60_013020
ko:K08981	mbk:K60_013160
ko:K09167	mbk:K60_013170
ko:K03593	mbk:K60_013200
ko:K02025	mbk:K60_013270
ko:K01616	mbk:K60_013400
ko:K06147	mbk:K60_013640
ko:K06147	mbk:K60_013650
ko:K02035	mbk:K60_013720
ko:K02033	mbk:K60_013750
ko:K02851	mbk:K60_013980
ko:K07068	mbk:K60_036800
ko:K01978	mbk:K60_miscRNA000010
ko:K04093	mbk:K60_019740
ko:K07171	mbk:K60_007020
ko:K07171	mbk:K60_020340
ko:K07448	mbk:K60_026270
ko:K07010	mbk:K60_029600
ko:K01915	mbk:K60_029610
ko:K01265	mbk:K60_029620
ko:K00099	mbk:K60_029720
ko:K07089	mbk:K60_030710
ko:K01433	mbk:K60_030720
ko:K00954	mbk:K60_030740
ko:K03655	mbk:K60_030830
ko:K02902	mbk:K60_030850
ko:K03648	mbk:K60_030860
ko:K00946	mbk:K60_030870
ko:K01921	mbk:K60_030910
ko:K00057	mbk:K60_030920
ko:K04069	mbk:K60_032570
ko:K00330	mbk:K60_032640
ko:K00331	mbk:K60_032650
ko:K00332	mbk:K60_032660
ko:K00333	mbk:K60_032670
ko:K00334	mbk:K60_032680
ko:K00337	mbk:K60_032710
ko:K00338	mbk:K60_032720
ko:K00339	mbk:K60_032730
ko:K00340	mbk:K60_032740
ko:K00341	mbk:K60_032750
ko:K00342	mbk:K60_032760
ko:K00343	mbk:K60_032770
ko:K03924	mbk:K60_032840
ko:K07133	mbk:K60_033020
ko:K01740	mbk:K60_034760
ko:K00641	mbk:K60_034770
ko:K01491	mbk:K60_034960
ko:K03216	mbk:K60_035060
ko:K01087	mbk:K60_035120
ko:K01662	mbk:K60_035180
ko:K03527	mbk:K60_035190
ko:K00574	mbk:K60_035290
ko:K00031	mbk:K60_034740
ko:K03893	mbk:K60_037170
ko:K03218	mbk:K60_037180
ko:K01883	mbk:K60_037190
ko:K01770	mbk:K60_037200
ko:K00991	mbk:K60_037210
ko:K07736	mbk:K60_037220
ko:K04485	mbk:K60_037240
ko:K01673	mbk:K60_037270
ko:K03575	mbk:K60_037280
ko:K03696	mbk:K60_037350
ko:K04567	mbk:K60_037370
ko:K03525	mbk:K60_037380
ko:K01579	mbk:K60_037390
ko:K01918	mbk:K60_037400
ko:K00950	mbk:K60_037440
ko:K01633	mbk:K60_037450
ko:K00796	mbk:K60_037460
ko:K01495	mbk:K60_037470
ko:K03798	mbk:K60_037480
ko:K02654	mbk:K60_026530
ko:K00014	mbk:K60_026540
ko:K07082	mbk:K60_026550
ko:K07447	mbk:K60_026560
ko:K01872	mbk:K60_026570
ko:K07478	mbk:K60_026610
ko:K02003	mbk:K60_026650
ko:K07001	mbk:K60_026660
ko:K03551	mbk:K60_026950
ko:K03550	mbk:K60_026960
ko:K01159	mbk:K60_026970
ko:K00797	mbk:K60_027050
ko:K08681	mbk:K60_027090
ko:K10805	mbk:K60_027100
ko:K06215	mbk:K60_027110
ko:K00275	mbk:K60_027120
ko:K00995	mbk:K60_027170
ko:K01868	mbk:K60_027190
ko:K00975	mbk:K60_013030
ko:K06978	mbk:K60_013050
ko:K03088	mbk:K60_013110
ko:K03117	mbk:K60_013140
ko:K03284	mbk:K60_013300
ko:K00024	mbk:K60_013310
ko:K05592	mbk:K60_013450
ko:K01246	mbk:K60_013000
ko:K00790	mbk:K60_014120
ko:K13529	mbk:K60_014150
ko:K05838	mbk:K60_014230
ko:K16147	mbk:K60_014260
ko:K00688	mbk:K60_014270
ko:K00763	mbk:K60_014290
ko:K06891	mbk:K60_014300
ko:K01776	mbk:K60_014370
ko:K00989	mbk:K60_014390
ko:K02078	mbk:K60_014430
ko:K03596	mbk:K60_024940
ko:K02968	mbk:K60_025020
ko:K02340	mbk:K60_025030
ko:K02237	mbk:K60_025050
ko:K09710	mbk:K60_025110
ko:K00969	mbk:K60_025120
ko:K00147	mbk:K60_025190
ko:K04756	mbk:K60_025230
ko:K01950	mbk:K60_025340
ko:K00931	mbk:K60_025350
ko:K03979	mbk:K60_025360
ko:K02899	mbk:K60_025370
ko:K02888	mbk:K60_025380
ko:K11103	mbk:K60_025390
ko:K00940	mbk:K60_025410
ko:K11754	mbk:K60_025430
ko:K06941	mbk:K60_029820
ko:K00981	mbk:K60_029830
ko:K02838	mbk:K60_029840
ko:K09903	mbk:K60_029850
ko:K02357	mbk:K60_029910
ko:K02967	mbk:K60_029920
ko:K03733	mbk:K60_029970
ko:K04096	mbk:K60_029990
ko:K07391	mbk:K60_030000
ko:K07460	mbk:K60_030010
ko:K02379	mbk:K60_030020
ko:K03470	mbk:K60_030050
ko:K00937	mbk:K60_030940
ko:K03530	mbk:K60_030960
ko:K01704	mbk:K60_030970
ko:K01703	mbk:K60_030980
ko:K00052	mbk:K60_031050
ko:K02069	mbk:K60_031110
ko:K00053	mbk:K60_031120
ko:K01653	mbk:K60_031130
ko:K01652	mbk:K60_031140
ko:K15977	mbk:K60_031160
ko:K02434	mbk:K60_031200
ko:K02435	mbk:K60_031230
ko:K01972	mbk:K60_031250
ko:K00566	mbk:K60_031360
ko:K04487	mbk:K60_031370
ko:K03522	mbk:K60_031400
ko:K03521	mbk:K60_031410
ko:K03657	mbk:K60_033230
ko:K03426	mbk:K60_033250
ko:K10716	mbk:K60_033260
ko:K03657	mbk:K60_033270
ko:K02361	mbk:K60_033430
ko:K03088	mbk:K60_033520
ko:K00800	mbk:K60_033570
ko:K01951	mbk:K60_035340
ko:K02291	mbk:K60_035350
ko:K03088	mbk:K60_035520
ko:K04077	mbk:K60_035550
ko:K04078	mbk:K60_035560
ko:K03789	mbk:K60_035580
ko:K06925	mbk:K60_035600
ko:K01775	mbk:K60_035610
ko:K00820	mbk:K60_035730
ko:K03431	mbk:K60_035780
ko:K02996	mbk:K60_035790
ko:K02871	mbk:K60_035800
ko:K03466	mbk:K60_035840
ko:K14161	mbk:K60_035310
ko:K09807	mbk:K60_037550
ko:K00760	mbk:K60_037560
ko:K04075	mbk:K60_037570
ko:K07259	mbk:K60_037590
ko:K09799	mbk:K60_037610
ko:K04095	mbk:K60_037730
ko:K02341	mbk:K60_037770
ko:K03168	mbk:K60_037790
ko:K12510	mbk:K60_037930
ko:K02283	mbk:K60_037940
ko:K01895	mbk:K60_038040
ko:K06168	mbk:K60_028250
ko:K03565	mbk:K60_028280
ko:K00995	mbk:K60_028410
ko:K03466	mbk:K60_028430
ko:K01714	mbk:K60_028470
ko:K15342	mbk:K60_029150
ko:K06173	mbk:K60_035910
ko:K02879	mbk:K60_035920
ko:K03040	mbk:K60_035930
ko:K02986	mbk:K60_035940
ko:K02948	mbk:K60_035950
ko:K02952	mbk:K60_035960
ko:K02919	mbk:K60_035970
ko:K02518	mbk:K60_035980
ko:K01790	mbk:K60_036010
ko:K01666	mbk:K60_036050
ko:K01652	mbk:K60_036060
ko:K00697	mbk:K60_036250
ko:K02066	mbk:K60_036350
ko:K02066	mbk:K60_036360
ko:K00373	mbk:K60_012550
ko:K06207	mbk:K60_012570
ko:K00318	mbk:K60_012800
ko:K03088	mbk:K60_012810
ko:K06966	mbk:K60_012950
ko:K00796	mbk:K60_012970
ko:K08296	mbk:K60_013680
ko:K02034	mbk:K60_013740
ko:K01673	mbk:K60_013770
ko:K00957	mbk:K60_013780
ko:K00955	mbk:K60_013790
ko:K01887	mbk:K60_013860
ko:K01586	mbk:K60_013870
ko:K00003	mbk:K60_013880
ko:K01733	mbk:K60_013890
ko:K00872	mbk:K60_013910
ko:K03628	mbk:K60_013920
ko:K02909	mbk:K60_013940
ko:K02835	mbk:K60_013950
ko:K02493	mbk:K60_013960
ko:K02108	mbk:K60_014000
ko:K02110	mbk:K60_014010
ko:K02109	mbk:K60_014020
ko:K02111	mbk:K60_014040
ko:K02115	mbk:K60_014050
ko:K02112	mbk:K60_014060
ko:K02114	mbk:K60_014070
ko:K09136	mbk:K60_014770
ko:K02825	mbk:K60_014810
ko:K00609	mbk:K60_014820
ko:K01465	mbk:K60_014830
ko:K01956	mbk:K60_014850
ko:K01955	mbk:K60_014860
ko:K01591	mbk:K60_014870
ko:K00942	mbk:K60_014920
ko:K03060	mbk:K60_014930
ko:K13038	mbk:K60_014940
ko:K00789	mbk:K60_014950
ko:K04066	mbk:K60_015050
ko:K00604	mbk:K60_015090
ko:K03500	mbk:K60_015100
ko:K01783	mbk:K60_015110
ko:K11752	mbk:K60_015120
ko:K00793	mbk:K60_015150
ko:K14652	mbk:K60_015180
ko:K00794	mbk:K60_015190
ko:K03703	mbk:K60_015230
ko:K06958	mbk:K60_015240
ko:K00134	mbk:K60_015380
ko:K00927	mbk:K60_015390
ko:K01803	mbk:K60_015400
ko:K01057	mbk:K60_015510
ko:K00036	mbk:K60_015530
ko:K00615	mbk:K60_015550
ko:K02259	mbk:K60_015620
ko:K09014	mbk:K60_015670
ko:K09015	mbk:K60_015680
ko:K09013	mbk:K60_015690
ko:K11717	mbk:K60_015700
ko:K01681	mbk:K60_015820
ko:K03924	mbk:K60_015860
ko:K01772	mbk:K60_015920
ko:K09165	mbk:K60_016080
ko:K02805	mbk:K60_016130
ko:K10773	mbk:K60_038110
ko:K01738	mbk:K60_038220
ko:K09117	mbk:K60_038260
ko:K03924	mbk:K60_038300
ko:K00864	mbk:K60_038340
ko:K07008	mbk:K60_038410
ko:K01919	mbk:K60_038430
ko:K00133	mbk:K60_038480
ko:K00928	mbk:K60_038490
ko:K01649	mbk:K60_038500
ko:K06187	mbk:K60_038550
ko:K09747	mbk:K60_038560
ko:K01448	mbk:K60_038570
ko:K00574	mbk:K60_038600
ko:K02013	mbk:K60_031540
ko:K01079	mbk:K60_031550
ko:K02016	mbk:K60_031570
ko:K13979	mbk:K60_031580
ko:K02346	mbk:K60_031700
ko:K06200	mbk:K60_031780
ko:K15977	mbk:K60_031800
ko:K06199	mbk:K60_031850
ko:K06199	mbk:K60_031860
ko:K01644	mbk:K60_031910
ko:K07228	mbk:K60_033660
ko:K03070	mbk:K60_033690
ko:K00943	mbk:K60_033760
ko:K01251	mbk:K60_033770
ko:K00496	mbk:K60_033810
ko:K01809	mbk:K60_033840
ko:K00067	mbk:K60_033960
ko:K01673	mbk:K60_034030
ko:K01588	mbk:K60_034050
ko:K01589	mbk:K60_034060
ko:K03524	mbk:K60_034090
ko:K06287	mbk:K60_034120
ko:K02426	mbk:K60_034140
ko:K07001	mbk:K60_038680
ko:K06937	mbk:K60_038690
ko:K09129	mbk:K60_038750
ko:K09957	mbk:K60_038940
ko:K05846	mbk:K60_038950
ko:K05846	mbk:K60_038960
ko:K05847	mbk:K60_038970
ko:K05845	mbk:K60_038980
ko:K02343	mbk:K60_038610
ko:K01875	mbk:K60_039780
ko:K01126	mbk:K60_039860
ko:K04564	mbk:K60_039940
ko:K02553	mbk:K60_040020
ko:K00266	mbk:K60_040080
ko:K03980	mbk:K60_040570
ko:K03088	mbk:K60_040580
ko:K00384	mbk:K60_040600
ko:K03671	mbk:K60_040610
ko:K03501	mbk:K60_040660
ko:K03217	mbk:K60_040680
ko:K08998	mbk:K60_040690
ko:K03536	mbk:K60_040700
ko:K02914	mbk:K60_040710
ko:K03652	mbk:K60_017730
ko:K01866	mbk:K60_017740
ko:K06442	mbk:K60_017790
ko:K00858	mbk:K60_017800
ko:K03631	mbk:K60_017810
ko:K01937	mbk:K60_017840
ko:K11737	mbk:K60_017900
ko:K03321	mbk:K60_017940
ko:K05896	mbk:K60_017960
ko:K06024	mbk:K60_017970
ko:K06178	mbk:K60_017980
ko:K00945	mbk:K60_017990
ko:K03977	mbk:K60_018000
ko:K00074	mbk:K60_018020
ko:K02548	mbk:K60_005670
ko:K01911	mbk:K60_005750
ko:K03306	mbk:K60_005780
ko:K01661	mbk:K60_005810
ko:K02551	mbk:K60_005890
ko:K03183	mbk:K60_005920
ko:K03799	mbk:K60_005970
ko:K00057	mbk:K60_005980
ko:K09767	mbk:K60_006000
ko:K00763	mbk:K60_006090
ko:K07282	mbk:K60_006100
ko:K06996	mbk:K60_006130
ko:K02575	mbk:K60_018260
ko:K01114	mbk:K60_018450
ko:K02471	mbk:K60_019050
ko:K01652	mbk:K60_019060
ko:K03070	mbk:K60_019070
ko:K02437	mbk:K60_019120
ko:K08999	mbk:K60_019150
ko:K00281	mbk:K60_019180
ko:K06978	mbk:K60_019210
ko:K01638	mbk:K60_019230
ko:K01430	mbk:K60_019340
ko:K01429	mbk:K60_019350
ko:K01428	mbk:K60_019360
ko:K03188	mbk:K60_019370
ko:K03189	mbk:K60_019380
ko:K03190	mbk:K60_019390
ko:K03885	mbk:K60_019400
ko:K02020	mbk:K60_019430
ko:K02018	mbk:K60_019440
ko:K02066	mbk:K60_006240
ko:K02066	mbk:K60_006250
ko:K07133	mbk:K60_006340
ko:K00965	mbk:K60_006580
ko:K00849	mbk:K60_006590
ko:K03581	mbk:K60_006690
ko:K03582	mbk:K60_006700
ko:K03583	mbk:K60_006710
ko:K07735	mbk:K60_000420
ko:K01869	mbk:K60_000450
ko:K01858	mbk:K60_000500
ko:K02990	mbk:K60_000570
ko:K02963	mbk:K60_000590
ko:K02939	mbk:K60_000600
ko:K00031	mbk:K60_000730
ko:K01752	mbk:K60_000760
ko:K00600	mbk:K60_000770
ko:K02003	mbk:K60_000820
ko:K14155	mbk:K60_000840
ko:K03281	mbk:K60_001590
ko:K09958	mbk:K60_001720
ko:K00324	mbk:K60_001730
ko:K00324	mbk:K60_001740
ko:K00325	mbk:K60_001750
ko:K07107	mbk:K60_001820
ko:K02066	mbk:K60_001860
ko:K02066	mbk:K60_001870
ko:K06911	mbk:K60_002000
ko:K03088	mbk:K60_002010
ko:K05349	mbk:K60_002050
ko:K01687	mbk:K60_002090
ko:K00240	mbk:K60_002690
ko:K00239	mbk:K60_002700
ko:K00362	mbk:K60_002740
ko:K00363	mbk:K60_002750
ko:K02231	mbk:K60_002760
ko:K02232	mbk:K60_002770
ko:K02575	mbk:K60_002820
ko:K02016	mbk:K60_002860
ko:K02575	mbk:K60_002880
ko:K07141	mbk:K60_003910
ko:K07402	mbk:K60_003920
ko:K07402	mbk:K60_003960
ko:K09165	mbk:K60_003990
ko:K00762	mbk:K60_004020
ko:K03695	mbk:K60_004040
ko:K08289	mbk:K60_004080
ko:K10764	mbk:K60_004100
ko:K03885	mbk:K60_004110
ko:K00252	mbk:K60_004200
ko:K13788	mbk:K60_004310
ko:K00925	mbk:K60_004320
ko:K00788	mbk:K60_004370
ko:K03154	mbk:K60_004390
ko:K03149	mbk:K60_004400
ko:K00075	mbk:K60_005090
ko:K06895	mbk:K60_005150
ko:K01524	mbk:K60_005240
ko:K00286	mbk:K60_005280
ko:K00574	mbk:K60_005330
ko:K02492	mbk:K60_005390
ko:K01749	mbk:K60_005400
ko:K13542	mbk:K60_005410
ko:K01698	mbk:K60_005420
ko:K11735	mbk:K60_005530
ko:K01845	mbk:K60_005550
ko:K07399	mbk:K60_005590
ko:K00705	mbk:K60_018670
ko:K07507	mbk:K60_018960
ko:K03885	mbk:K60_018970
ko:K03594	mbk:K60_019640
ko:K01915	mbk:K60_019670
ko:K07560	mbk:K60_019890
ko:K08972	mbk:K60_019950
ko:K03782	mbk:K60_020010
ko:K01637	mbk:K60_020080
ko:K03118	mbk:K60_021750
ko:K03116	mbk:K60_021760
ko:K03432	mbk:K60_021890
ko:K03433	mbk:K60_021900
ko:K00765	mbk:K60_022010
ko:K11738	mbk:K60_022080
ko:K06153	mbk:K60_022170
ko:K02913	mbk:K60_006760
ko:K03073	mbk:K60_006800
ko:K02601	mbk:K60_006810
ko:K02867	mbk:K60_006820
ko:K02863	mbk:K60_006830
ko:K00574	mbk:K60_006840
ko:K00574	mbk:K60_006850
ko:K00574	mbk:K60_006860
ko:K00574	mbk:K60_006870
ko:K00645	mbk:K60_006910
ko:K02864	mbk:K60_006940
ko:K02935	mbk:K60_006950
ko:K02065	mbk:K60_006980
ko:K03043	mbk:K60_007110
ko:K03046	mbk:K60_007120
ko:K01151	mbk:K60_007150
ko:K09456	mbk:K60_007170
ko:K02616	mbk:K60_007190
ko:K02950	mbk:K60_007270
ko:K02992	mbk:K60_007280
ko:K01647	mbk:K60_009570
ko:K06996	mbk:K60_009730
ko:K02168	mbk:K60_009800
ko:K03322	mbk:K60_009890
ko:K02040	mbk:K60_009930
ko:K02037	mbk:K60_009940
ko:K02038	mbk:K60_009950
ko:K02040	mbk:K60_009980
ko:K02036	mbk:K60_010000
ko:K02040	mbk:K60_010010
ko:K02037	mbk:K60_010020
ko:K02038	mbk:K60_010030
ko:K10979	mbk:K60_010040
ko:K09166	mbk:K60_020190
ko:K11065	mbk:K60_020240
ko:K14652	mbk:K60_020320
ko:K01194	mbk:K60_020790
ko:K07133	mbk:K60_020810
ko:K02221	mbk:K60_022290
ko:K09772	mbk:K60_022300
ko:K06997	mbk:K60_022310
ko:K05810	mbk:K60_022320
ko:K03531	mbk:K60_022330
ko:K03589	mbk:K60_022340
ko:K01924	mbk:K60_022350
ko:K02563	mbk:K60_022360
ko:K03588	mbk:K60_022370
ko:K01925	mbk:K60_022380
ko:K01000	mbk:K60_022390
ko:K01929	mbk:K60_022400
ko:K01928	mbk:K60_022410
ko:K03587	mbk:K60_022460
ko:K03438	mbk:K60_022480
ko:K03925	mbk:K60_022490
ko:K01626	mbk:K60_022590
ko:K00655	mbk:K60_022630
ko:K09990	mbk:K60_023110
ko:K07164	mbk:K60_023130
ko:K00817	mbk:K60_023150
ko:K02227	mbk:K60_023200
ko:K00163	mbk:K60_023260
ko:K00645	mbk:K60_023280
ko:K02078	mbk:K60_023290
ko:K00111	mbk:K60_023340
ko:K02358	mbk:K60_007300
ko:K02946	mbk:K60_007470
ko:K02906	mbk:K60_007480
ko:K02926	mbk:K60_007490
ko:K02892	mbk:K60_007500
ko:K02886	mbk:K60_007510
ko:K02965	mbk:K60_007520
ko:K02890	mbk:K60_007530
ko:K02982	mbk:K60_007540
ko:K02878	mbk:K60_007550
ko:K02904	mbk:K60_007560
ko:K02961	mbk:K60_007570
ko:K02874	mbk:K60_007620
ko:K02895	mbk:K60_007630
ko:K02931	mbk:K60_007640
ko:K02954	mbk:K60_007650
ko:K02994	mbk:K60_007660
ko:K02933	mbk:K60_007670
ko:K02881	mbk:K60_007680
ko:K02988	mbk:K60_007690
ko:K02907	mbk:K60_007700
ko:K02876	mbk:K60_007710
ko:K04773	mbk:K60_007720
ko:K01628	mbk:K60_007750
ko:K03076	mbk:K60_007800
ko:K01265	mbk:K60_007820
ko:K03088	mbk:K60_007830
ko:K02355	mbk:K60_007290
ko:K01810	mbk:K60_010130
ko:K03657	mbk:K60_010170
ko:K01903	mbk:K60_010190
ko:K01902	mbk:K60_010200
ko:K11175	mbk:K60_010240
ko:K00602	mbk:K60_010250
ko:K03282	mbk:K60_010550
ko:K02003	mbk:K60_010560
ko:K07001	mbk:K60_021160
ko:K08281	mbk:K60_021220
ko:K03820	mbk:K60_021300
ko:K07113	mbk:K60_021320
ko:K01061	mbk:K60_021330
ko:K02963	mbk:K60_021350
ko:K02954	mbk:K60_021360
ko:K02913	mbk:K60_021370
ko:K02902	mbk:K60_021380
ko:K07006	mbk:K60_021400
ko:K02230	mbk:K60_021410
ko:K02229	mbk:K60_021440
ko:K06042	mbk:K60_021450
ko:K02313	mbk:K60_000010
ko:K02338	mbk:K60_000020
ko:K03629	mbk:K60_000030
ko:K02470	mbk:K60_000050
ko:K02469	mbk:K60_000060
ko:K03088	mbk:K60_021490
ko:K05895	mbk:K60_021500
ko:K05936	mbk:K60_021510
ko:K00766	mbk:K60_022740
ko:K02276	mbk:K60_022750
ko:K02275	mbk:K60_022820
ko:K01953	mbk:K60_022830
ko:K00865	mbk:K60_022870
ko:K00768	mbk:K60_022890
ko:K02233	mbk:K60_022900
ko:K00826	mbk:K60_022920
ko:K00605	mbk:K60_022930
ko:K01255	mbk:K60_022950
ko:K00658	mbk:K60_022970
ko:K07071	mbk:K60_022980
ko:K03801	mbk:K60_022990
ko:K03644	mbk:K60_023000
