ko:K07005	bmai:DM57_10060
ko:K07347	bmai:DM57_182
ko:K07345	bmai:DM57_181
ko:K07687	bmai:DM57_174
ko:K01434	bmai:DM57_171
ko:K06916	bmai:DM57_162
ko:K00382	bmai:DM57_161
ko:K00658	bmai:DM57_160
ko:K00164	bmai:DM57_159
ko:K03833	bmai:DM57_07585
ko:K08195	bmai:DM57_07640
ko:K07152	bmai:DM57_07650
ko:K18292	bmai:DM57_07710
ko:K06207	bmai:DM57_158
ko:K03543	bmai:DM57_155
ko:K03446	bmai:DM57_154
ko:K03177	bmai:DM57_153
ko:K02834	bmai:DM57_152
ko:K02519	bmai:DM57_151
ko:K02600	bmai:DM57_150
ko:K09748	bmai:DM57_149
ko:K06178	bmai:DM57_148
ko:K06024	bmai:DM57_147
ko:K07287	bmai:DM57_136
ko:K04764	bmai:DM57_126
ko:K01890	bmai:DM57_125
ko:K01889	bmai:DM57_124
ko:K02887	bmai:DM57_123
ko:K02916	bmai:DM57_122
ko:K02520	bmai:DM57_121
ko:K01868	bmai:DM57_120
ko:K00951	bmai:DM57_118
ko:K01029	bmai:DM57_110
ko:K01028	bmai:DM57_109
ko:K07107	bmai:DM57_105
ko:K00311	bmai:DM57_103
ko:K00817	bmai:DM57_99
ko:K03408	bmai:DM57_91
ko:K00666	bmai:DM57_88
ko:K05845	bmai:DM57_85
ko:K05846	bmai:DM57_84
ko:K05847	bmai:DM57_83
ko:K05846	bmai:DM57_81
ko:K03758	bmai:DM57_79
ko:K01478	bmai:DM57_78
ko:K00611	bmai:DM57_77
ko:K00926	bmai:DM57_76
ko:K03449	bmai:DM57_68
ko:K05936	bmai:DM57_66
ko:K05895	bmai:DM57_65
ko:K02188	bmai:DM57_64
ko:K00595	bmai:DM57_63
ko:K02229	bmai:DM57_62
ko:K06042	bmai:DM57_61
ko:K03394	bmai:DM57_60
ko:K13541	bmai:DM57_59
ko:K01183	bmai:DM57_58
ko:K06999	bmai:DM57_56
ko:K13580	bmai:DM57_55
ko:K03405	bmai:DM57_54
ko:K02230	bmai:DM57_53
ko:K02234	bmai:DM57_52
ko:K07241	bmai:DM57_51
ko:K02189	bmai:DM57_50
ko:K02224	bmai:DM57_48
ko:K02050	bmai:DM57_3202
ko:K02049	bmai:DM57_3201
ko:K02051	bmai:DM57_3199
ko:K09786	bmai:DM57_3196
ko:K07180	bmai:DM57_3195
ko:K13635	bmai:DM57_3191
ko:K02045	bmai:DM57_3190
ko:K02047	bmai:DM57_3189
ko:K02046	bmai:DM57_3188
ko:K02048	bmai:DM57_3187
ko:K01356	bmai:DM57_3186
ko:K00799	bmai:DM57_05080
ko:K07001	bmai:DM57_05095
ko:K00019	bmai:DM57_05100
ko:K01574	bmai:DM57_05105
ko:K09930	bmai:DM57_05140
ko:K04062	bmai:DM57_572
ko:K06895	bmai:DM57_05160
ko:K05596	bmai:DM57_05165
ko:K18290	bmai:DM57_07715
ko:K18288	bmai:DM57_07720
ko:K00156	bmai:DM57_07725
ko:K00836	bmai:DM57_07730
ko:K03228	bmai:DM57_07765
ko:K03224	bmai:DM57_07775
ko:K03223	bmai:DM57_07780
ko:K18374	bmai:DM57_07795
ko:K03229	bmai:DM57_07805
ko:K03230	bmai:DM57_07810
ko:K03225	bmai:DM57_07820
ko:K03226	bmai:DM57_07825
ko:K03227	bmai:DM57_07830
ko:K00135	bmai:DM57_08465
ko:K00823	bmai:DM57_08470
ko:K00375	bmai:DM57_08475
ko:K01008	bmai:DM57_08515
ko:K18900	bmai:DM57_08545
ko:K18901	bmai:DM57_08555
ko:K18902	bmai:DM57_08560
ko:K18903	bmai:DM57_08565
ko:K07088	bmai:DM57_08585
ko:K00645	bmai:DM57_08595
ko:K01586	bmai:DM57_08610
ko:K00053	bmai:DM57_08620
ko:K00137	bmai:DM57_08630
ko:K02073	bmai:DM57_08665
ko:K02071	bmai:DM57_08675
ko:K02072	bmai:DM57_08680
ko:K18928	bmai:DM57_08705
ko:K18929	bmai:DM57_08710
ko:K00782	bmai:DM57_08715
ko:K03303	bmai:DM57_08720
ko:K15977	bmai:DM57_08725
ko:K00231	bmai:DM57_09325
ko:K03088	bmai:DM57_09345
ko:K01425	bmai:DM57_09395
ko:K02484	bmai:DM57_09410
ko:K07001	bmai:DM57_09415
ko:K03569	bmai:DM57_09420
ko:K07023	bmai:DM57_09430
ko:K00799	bmai:DM57_09460
ko:K07771	bmai:DM57_09475
ko:K13633	bmai:DM57_09500
ko:K09927	bmai:DM57_09560
ko:K01194	bmai:DM57_09575
ko:K02164	bmai:DM57_09585
ko:K01953	bmai:DM57_09605
ko:K02407	bmai:DM57_10185
ko:K07396	bmai:DM57_10195
ko:K00059	bmai:DM57_10220
ko:K06140	bmai:DM57_10295
ko:K01497	bmai:DM57_10310
ko:K07507	bmai:DM57_10335
ko:K07098	bmai:DM57_10340
ko:K09019	bmai:DM57_10345
ko:K01652	bmai:DM57_10400
ko:K06989	bmai:DM57_10405
ko:K01426	bmai:DM57_10450
ko:K01761	bmai:DM57_10460
ko:K01531	bmai:DM57_10765
ko:K14645	bmai:DM57_10770
ko:K15977	bmai:DM57_10795
ko:K10016	bmai:DM57_10815
ko:K10015	bmai:DM57_10820
ko:K10017	bmai:DM57_10825
ko:K00790	bmai:DM57_10830
ko:K03781	bmai:DM57_10890
ko:K00646	bmai:DM57_10915
ko:K15337	bmai:DM57_10920
ko:K15313	bmai:DM57_10925
ko:K15312	bmai:DM57_10930
ko:K15311	bmai:DM57_10945
ko:K14257	bmai:DM57_4424
ko:K07168	bmai:DM57_11010
ko:K07300	bmai:DM57_11025
ko:K05595	bmai:DM57_11030
ko:K02026	bmai:DM57_11325
ko:K02025	bmai:DM57_11330
ko:K02027	bmai:DM57_11335
ko:K16074	bmai:DM57_11355
ko:K07044	bmai:DM57_11380
ko:K03455	bmai:DM57_11390
ko:K02058	bmai:DM57_11400
ko:K03587	bmai:DM57_11405
ko:K01497	bmai:DM57_11450
ko:K18139	bmai:DM57_11455
ko:K18307	bmai:DM57_11460
ko:K18306	bmai:DM57_11465
ko:K03798	bmai:DM57_11485
ko:K03758	bmai:DM57_11500
ko:K09129	bmai:DM57_11510
ko:K15725	bmai:DM57_11525
ko:K15727	bmai:DM57_11530
ko:K15726	bmai:DM57_11535
ko:K07665	bmai:DM57_11540
ko:K07644	bmai:DM57_11545
ko:K13766	bmai:DM57_11610
ko:K11907	bmai:DM57_11900
ko:K11904	bmai:DM57_11905
ko:K11893	bmai:DM57_11935
ko:K11892	bmai:DM57_11940
ko:K11891	bmai:DM57_11945
ko:K01495	bmai:DM57_11960
ko:K07044	bmai:DM57_11975
ko:K18369	bmai:DM57_12030
ko:K01387	bmai:DM57_12100
ko:K04127	bmai:DM57_12105
ko:K03119	bmai:DM57_12115
ko:K06894	bmai:DM57_12160
ko:K05367	bmai:DM57_12165
ko:K03410	bmai:DM57_12170
ko:K01114	bmai:DM57_12475
ko:K00428	bmai:DM57_12480
ko:K01485	bmai:DM57_12520
ko:K10974	bmai:DM57_12530
ko:K01266	bmai:DM57_12575
ko:K02002	bmai:DM57_12680
ko:K02001	bmai:DM57_12690
ko:K02000	bmai:DM57_12695
ko:K00299	bmai:DM57_12700
ko:K03325	bmai:DM57_12730
ko:K11897	bmai:DM57_13305
ko:K11903	bmai:DM57_13310
ko:K11900	bmai:DM57_13315
ko:K05998	bmai:DM57_13335
ko:K02054	bmai:DM57_13345
ko:K02055	bmai:DM57_13350
ko:K02052	bmai:DM57_13355
ko:K00375	bmai:DM57_13360
ko:K02014	bmai:DM57_13375
ko:K12262	bmai:DM57_13385
ko:K06194	bmai:DM57_13395
ko:K00033	bmai:DM57_13410
ko:K03457	bmai:DM57_13425
ko:K11904	bmai:DM57_13460
ko:K11907	bmai:DM57_13465
ko:K11896	bmai:DM57_13475
ko:K11897	bmai:DM57_13480
ko:K06887	bmai:DM57_13485
ko:K11900	bmai:DM57_13490
ko:K11901	bmai:DM57_13495
ko:K11902	bmai:DM57_13500
ko:K11891	bmai:DM57_13515
ko:K11892	bmai:DM57_13520
ko:K11893	bmai:DM57_13525
ko:K11906	bmai:DM57_13530
ko:K07169	bmai:DM57_13540
ko:K03181	bmai:DM57_13550
ko:K07657	bmai:DM57_07890
ko:K02669	bmai:DM57_07900
ko:K03219	bmai:DM57_07950
ko:K12255	bmai:DM57_07980
ko:K07154	bmai:DM57_08000
ko:K00694	bmai:DM57_08045
ko:K10831	bmai:DM57_08070
ko:K15552	bmai:DM57_08075
ko:K09990	bmai:DM57_08105
ko:K03306	bmai:DM57_08110
ko:K08677	bmai:DM57_08135
ko:K00101	bmai:DM57_08150
ko:K12658	bmai:DM57_08765
ko:K01633	bmai:DM57_08820
ko:K02970	bmai:DM57_08825
ko:K03704	bmai:DM57_08830
ko:K07675	bmai:DM57_08875
ko:K08369	bmai:DM57_08880
ko:K02167	bmai:DM57_08905
ko:K18100	bmai:DM57_08920
ko:K18101	bmai:DM57_08925
ko:K12990	bmai:DM57_08930
ko:K03543	bmai:DM57_08945
ko:K01322	bmai:DM57_08950
ko:K00640	bmai:DM57_08960
ko:K11717	bmai:DM57_08975
ko:K07112	bmai:DM57_08995
ko:K07112	bmai:DM57_09000
ko:K07303	bmai:DM57_09615
ko:K07302	bmai:DM57_09620
ko:K02484	bmai:DM57_09650
ko:K05921	bmai:DM57_09675
ko:K05921	bmai:DM57_09680
ko:K00151	bmai:DM57_09685
ko:K00455	bmai:DM57_09690
ko:K01826	bmai:DM57_09695
ko:K02509	bmai:DM57_09700
ko:K02010	bmai:DM57_09720
ko:K02011	bmai:DM57_09725
ko:K02012	bmai:DM57_09730
ko:K07774	bmai:DM57_09735
ko:K07649	bmai:DM57_09740
ko:K07140	bmai:DM57_09745
ko:K01775	bmai:DM57_09770
ko:K03928	bmai:DM57_09795
ko:K02890	bmai:DM57_1396
ko:K01053	bmai:DM57_05190
ko:K00640	bmai:DM57_05215
ko:K01495	bmai:DM57_05225
ko:K00481	bmai:DM57_05235
ko:K01031	bmai:DM57_05240
ko:K01032	bmai:DM57_05245
ko:K01857	bmai:DM57_05250
ko:K01055	bmai:DM57_05255
ko:K05366	bmai:DM57_05870
ko:K07002	bmai:DM57_05910
ko:K03119	bmai:DM57_05925
ko:K03556	bmai:DM57_05940
ko:K00666	bmai:DM57_05945
ko:K13993	bmai:DM57_05955
ko:K07028	bmai:DM57_3365
ko:K03333	bmai:DM57_06010
ko:K00166	bmai:DM57_06035
ko:K00167	bmai:DM57_06040
ko:K09699	bmai:DM57_06045
ko:K00382	bmai:DM57_06050
ko:K06133	bmai:DM57_06080
ko:K00240	bmai:DM57_06100
ko:K01613	bmai:DM57_06105
ko:K06147	bmai:DM57_06115
ko:K03559	bmai:DM57_07000
ko:K03561	bmai:DM57_07005
ko:K03832	bmai:DM57_07010
ko:K02192	bmai:DM57_07015
ko:K01776	bmai:DM57_07020
ko:K03594	bmai:DM57_07025
ko:K01676	bmai:DM57_07030
ko:K01895	bmai:DM57_07045
ko:K14393	bmai:DM57_07055
ko:K03387	bmai:DM57_07075
ko:K03386	bmai:DM57_07080
ko:K07552	bmai:DM57_07135
ko:K03430	bmai:DM57_07155
ko:K01841	bmai:DM57_07165
ko:K18118	bmai:DM57_07190
ko:K11902	bmai:DM57_07195
ko:K15125	bmai:DM57_07215
ko:K01681	bmai:DM57_07220
ko:K01720	bmai:DM57_07225
ko:K01644	bmai:DM57_07235
ko:K00024	bmai:DM57_07240
ko:K03710	bmai:DM57_07245
ko:K00241	bmai:DM57_07250
ko:K00242	bmai:DM57_07255
ko:K00239	bmai:DM57_07260
ko:K00240	bmai:DM57_07265
ko:K09159	bmai:DM57_07270
ko:K01647	bmai:DM57_07275
ko:K03549	bmai:DM57_3077
ko:K07101	bmai:DM57_3076
ko:K01939	bmai:DM57_3075
ko:K02502	bmai:DM57_3074
ko:K09937	bmai:DM57_3073
ko:K04087	bmai:DM57_3072
ko:K04088	bmai:DM57_3071
ko:K03665	bmai:DM57_3070
ko:K03666	bmai:DM57_3069
ko:K03977	bmai:DM57_3068
ko:K17713	bmai:DM57_3067
ko:K01892	bmai:DM57_3065
ko:K15539	bmai:DM57_3063
ko:K06941	bmai:DM57_3062
ko:K00940	bmai:DM57_3061
ko:K03215	bmai:DM57_3059
ko:K07501	bmai:DM57_3057
ko:K03087	bmai:DM57_3056
ko:K06194	bmai:DM57_3055
ko:K00573	bmai:DM57_3054
ko:K03787	bmai:DM57_3053
ko:K06187	bmai:DM57_3051
ko:K09747	bmai:DM57_3050
ko:K02343	bmai:DM57_3049
ko:K03671	bmai:DM57_3048
ko:K03628	bmai:DM57_3047
ko:K09933	bmai:DM57_3044
ko:K02909	bmai:DM57_3043
ko:K03327	bmai:DM57_3041
ko:K01607	bmai:DM57_3040
ko:K03695	bmai:DM57_3036
ko:K13771	bmai:DM57_3035
ko:K06886	bmai:DM57_3034
ko:K03635	bmai:DM57_3033
ko:K03636	bmai:DM57_3032
ko:K03750	bmai:DM57_3031
ko:K01733	bmai:DM57_3030
ko:K00003	bmai:DM57_3029
ko:K09965	bmai:DM57_2796
ko:K00820	bmai:DM57_2793
ko:K00375	bmai:DM57_2791
ko:K07734	bmai:DM57_2790
ko:K02055	bmai:DM57_2782
ko:K02053	bmai:DM57_2781
ko:K02053	bmai:DM57_2779
ko:K02052	bmai:DM57_2778
ko:K03147	bmai:DM57_2767
ko:K00697	bmai:DM57_2763
ko:K08169	bmai:DM57_2760
ko:K06910	bmai:DM57_2759
ko:K08276	bmai:DM57_2755
ko:K07262	bmai:DM57_2754
ko:K02049	bmai:DM57_2749
ko:K02050	bmai:DM57_2748
ko:K07638	bmai:DM57_2746
ko:K07659	bmai:DM57_2745
ko:K10014	bmai:DM57_2741
ko:K10016	bmai:DM57_2740
ko:K10015	bmai:DM57_2739
ko:K10017	bmai:DM57_2738
ko:K00031	bmai:DM57_2510
ko:K06181	bmai:DM57_2509
ko:K02342	bmai:DM57_2502
ko:K04093	bmai:DM57_2501
ko:K02014	bmai:DM57_2498
ko:K03841	bmai:DM57_2490
ko:K03576	bmai:DM57_2489
ko:K00549	bmai:DM57_2488
ko:K01256	bmai:DM57_2487
ko:K01487	bmai:DM57_2484
ko:K06901	bmai:DM57_2483
ko:K07402	bmai:DM57_2481
ko:K03611	bmai:DM57_2480
ko:K02433	bmai:DM57_2479
ko:K00126	bmai:DM57_2474
ko:K00123	bmai:DM57_2473
ko:K00124	bmai:DM57_2472
ko:K00127	bmai:DM57_2471
ko:K00568	bmai:DM57_2463
ko:K03286	bmai:DM57_2462
ko:K02469	bmai:DM57_2461
ko:K09924	bmai:DM57_2460
ko:K00831	bmai:DM57_2459
ko:K14170	bmai:DM57_2458
ko:K00800	bmai:DM57_2457
ko:K00945	bmai:DM57_2456
ko:K07267	bmai:DM57_2167
ko:K00383	bmai:DM57_2160
ko:K01940	bmai:DM57_2159
ko:K07213	bmai:DM57_2156
ko:K01533	bmai:DM57_2155
ko:K03744	bmai:DM57_2154
ko:K06872	bmai:DM57_2153
ko:K07798	bmai:DM57_2149
ko:K07787	bmai:DM57_2148
ko:K00820	bmai:DM57_2145
ko:K04042	bmai:DM57_2144
ko:K14058	bmai:DM57_2143
ko:K01633	bmai:DM57_2142
ko:K00847	bmai:DM57_2137
ko:K14347	bmai:DM57_2133
ko:K01077	bmai:DM57_2126
ko:K01077	bmai:DM57_2125
ko:K06201	bmai:DM57_2123
ko:K01012	bmai:DM57_2122
ko:K01935	bmai:DM57_2121
ko:K00652	bmai:DM57_2120
ko:K00833	bmai:DM57_2119
ko:K09858	bmai:DM57_2117
ko:K00626	bmai:DM57_2115
ko:K01673	bmai:DM57_2114
ko:K00906	bmai:DM57_2113
ko:K01586	bmai:DM57_1818
ko:K01990	bmai:DM57_1811
ko:K01992	bmai:DM57_1810
ko:K00836	bmai:DM57_1808
ko:K14162	bmai:DM57_1804
ko:K14161	bmai:DM57_1803
ko:K14160	bmai:DM57_1802
ko:K05833	bmai:DM57_1801
ko:K05832	bmai:DM57_1800
ko:K01989	bmai:DM57_1799
ko:K03089	bmai:DM57_1795
ko:K01649	bmai:DM57_1792
ko:K00372	bmai:DM57_1789
ko:K00363	bmai:DM57_1788
ko:K00362	bmai:DM57_1787
ko:K03110	bmai:DM57_1785
ko:K00954	bmai:DM57_1783
ko:K00817	bmai:DM57_1781
ko:K01056	bmai:DM57_1780
ko:K02897	bmai:DM57_1779
ko:K00948	bmai:DM57_1778
ko:K00919	bmai:DM57_1776
ko:K02494	bmai:DM57_1775
ko:K10563	bmai:DM57_1773
ko:K03575	bmai:DM57_1772
ko:K07157	bmai:DM57_1771
ko:K06958	bmai:DM57_1770
ko:K06023	bmai:DM57_1769
ko:K05366	bmai:DM57_1431
ko:K06202	bmai:DM57_1429
ko:K01586	bmai:DM57_1427
ko:K17247	bmai:DM57_1426
ko:K02358	bmai:DM57_1418
