ko:K00130	saux:SAI6T6_1019460
ko:K01243	saux:SAI6T6_1011610
ko:K07160	saux:SAI6T6_1011640
ko:K01961	saux:SAI6T6_1011650
ko:K03624	saux:SAI6T6_1011680
ko:K00876	saux:SAI6T6_1011690
ko:K08303	saux:SAI6T6_1011700
ko:K01872	saux:SAI6T6_1011730
ko:K03581	saux:SAI6T6_1011740
ko:K00566	saux:SAI6T6_1011760
ko:K04487	saux:SAI6T6_1011770
ko:K07478	saux:SAI6T6_1011790
ko:K01876	saux:SAI6T6_1011810
ko:K01892	saux:SAI6T6_1011820
ko:K01448	saux:SAI6T6_1011830
ko:K00951	saux:SAI6T6_1011840
ko:K00759	saux:SAI6T6_1011850
ko:K00226	saux:SAI6T6_1019220
ko:K09765	saux:SAI6T6_1019230
ko:K06978	saux:SAI6T6_1019250
ko:K04763	saux:SAI6T6_1019320
ko:K01918	saux:SAI6T6_1019340
ko:K00606	saux:SAI6T6_1019350
ko:K00077	saux:SAI6T6_1019360
ko:K01575	saux:SAI6T6_1019370
ko:K00016	saux:SAI6T6_1019380
ko:K03294	saux:SAI6T6_1019390
ko:K00823	saux:SAI6T6_1019400
ko:K01623	saux:SAI6T6_1019410
ko:K00116	saux:SAI6T6_1019420
ko:K01895	saux:SAI6T6_1019430
ko:K03451	saux:SAI6T6_1019480
ko:K03300	saux:SAI6T6_1019510
ko:K02304	saux:SAI6T6_1019520
ko:K00380	saux:SAI6T6_1019530
ko:K00432	saux:SAI6T6_1019540
ko:K01077	saux:SAI6T6_1019590
ko:K14192	saux:SAI6T6_1019620
ko:K00926	saux:SAI6T6_1019640
ko:K08996	saux:SAI6T6_1001310
ko:K00930	saux:SAI6T6_1001320
ko:K00620	saux:SAI6T6_1001330
ko:K00145	saux:SAI6T6_1001340
ko:K00819	saux:SAI6T6_1001350
ko:K03311	saux:SAI6T6_1001360
ko:K09963	saux:SAI6T6_1001400
ko:K07106	saux:SAI6T6_1001410
ko:K02809	saux:SAI6T6_1001420
ko:K02810	saux:SAI6T6_1001420
ko:K01153	saux:SAI6T6_1001440
ko:K02005	saux:SAI6T6_1001460
ko:K02003	saux:SAI6T6_1001470
ko:K02004	saux:SAI6T6_1001480
ko:K01990	saux:SAI6T6_1001510
ko:K02031	saux:SAI6T6_1001520
ko:K02032	saux:SAI6T6_1001520
ko:K02033	saux:SAI6T6_1001530
ko:K02034	saux:SAI6T6_1001540
ko:K02035	saux:SAI6T6_1001550
ko:K01118	saux:SAI6T6_1001580
ko:K10112	saux:SAI6T6_1001600
ko:K15770	saux:SAI6T6_1001610
ko:K15771	saux:SAI6T6_1001620
ko:K15772	saux:SAI6T6_1001630
ko:K07784	saux:SAI6T6_1001680
ko:K07720	saux:SAI6T6_1001690
ko:K02012	saux:SAI6T6_1001710
ko:K00656	saux:SAI6T6_1001720
ko:K04069	saux:SAI6T6_1001730
ko:K01126	saux:SAI6T6_1001740
ko:K07516	saux:SAI6T6_1001770
ko:K00252	saux:SAI6T6_1001780
ko:K01990	saux:SAI6T6_1009440
ko:K01992	saux:SAI6T6_1009450
ko:K07778	saux:SAI6T6_1009460
ko:K00928	saux:SAI6T6_1009510
ko:K00003	saux:SAI6T6_1009520
ko:K01733	saux:SAI6T6_1009530
ko:K00872	saux:SAI6T6_1009540
ko:K03781	saux:SAI6T6_1009570
ko:K00364	saux:SAI6T6_1009580
ko:K01356	saux:SAI6T6_1009600
ko:K00615	saux:SAI6T6_1009610
ko:K03547	saux:SAI6T6_1009630
ko:K05020	saux:SAI6T6_1009660
ko:K01681	saux:SAI6T6_1009670
ko:K07107	saux:SAI6T6_1009680
ko:K08591	saux:SAI6T6_1009690
ko:K02622	saux:SAI6T6_1009700
ko:K02621	saux:SAI6T6_1009710
ko:K03310	saux:SAI6T6_1009720
ko:K03480	saux:SAI6T6_1009730
ko:K14205	saux:SAI6T6_1009750
ko:K07304	saux:SAI6T6_1009760
ko:K04517	saux:SAI6T6_1009790
ko:K01657	saux:SAI6T6_1009810
ko:K01658	saux:SAI6T6_1009820
ko:K00766	saux:SAI6T6_1009830
ko:K01609	saux:SAI6T6_1009840
ko:K01696	saux:SAI6T6_1009850
ko:K01695	saux:SAI6T6_1009860
ko:K11694	saux:SAI6T6_1009870
ko:K11695	saux:SAI6T6_1009880
ko:K01807	saux:SAI6T6_1017240
ko:K01785	saux:SAI6T6_1017260
ko:K01992	saux:SAI6T6_1017270
ko:K01990	saux:SAI6T6_1017280
ko:K03652	saux:SAI6T6_1017300
ko:K03312	saux:SAI6T6_1017310
ko:K01823	saux:SAI6T6_1017320
ko:K03284	saux:SAI6T6_1017330
ko:K07107	saux:SAI6T6_1017340
ko:K07552	saux:SAI6T6_1017400
ko:K09814	saux:SAI6T6_1017430
ko:K09813	saux:SAI6T6_1017440
ko:K00116	saux:SAI6T6_1017480
ko:K03303	saux:SAI6T6_1017490
ko:K02809	saux:SAI6T6_1017580
ko:K02810	saux:SAI6T6_1017580
ko:K00384	saux:SAI6T6_1005950
ko:K09762	saux:SAI6T6_1005980
ko:K01358	saux:SAI6T6_1006000
ko:K07071	saux:SAI6T6_1006010
ko:K05311	saux:SAI6T6_1006030
ko:K00134	saux:SAI6T6_1006040
ko:K00927	saux:SAI6T6_1006050
ko:K01803	saux:SAI6T6_1006060
ko:K15633	saux:SAI6T6_1006070
ko:K01689	saux:SAI6T6_1006080
ko:K03928	saux:SAI6T6_1006100
ko:K12573	saux:SAI6T6_1006110
ko:K06895	saux:SAI6T6_1006230
ko:K03785	saux:SAI6T6_1006250
ko:K04763	saux:SAI6T6_1006280
ko:K02071	saux:SAI6T6_1006330
ko:K02072	saux:SAI6T6_1006340
ko:K02073	saux:SAI6T6_1006350
ko:K08974	saux:SAI6T6_1006360
ko:K09013	saux:SAI6T6_1006370
ko:K09015	saux:SAI6T6_1006380
ko:K11717	saux:SAI6T6_1006390
ko:K04488	saux:SAI6T6_1006400
ko:K09014	saux:SAI6T6_1006410
ko:K00459	saux:SAI6T6_1006440
ko:K07090	saux:SAI6T6_1006460
ko:K03564	saux:SAI6T6_1014060
ko:K01845	saux:SAI6T6_1014070
ko:K11085	saux:SAI6T6_1014090
ko:K07586	saux:SAI6T6_1014100
ko:K03575	saux:SAI6T6_1014110
ko:K07038	saux:SAI6T6_1014120
ko:K09693	saux:SAI6T6_1014140
ko:K03565	saux:SAI6T6_1014150
ko:K04478	saux:SAI6T6_1014160
ko:K05520	saux:SAI6T6_1014170
ko:K01104	saux:SAI6T6_1014210
ko:K07058	saux:SAI6T6_1014220
ko:K07694	saux:SAI6T6_1014230
ko:K07681	saux:SAI6T6_1014240
ko:K01265	saux:SAI6T6_1014260
ko:K07009	saux:SAI6T6_1014290
ko:K02217	saux:SAI6T6_1014310
ko:K03311	saux:SAI6T6_1002320
ko:K02004	saux:SAI6T6_1002340
ko:K02003	saux:SAI6T6_1002350
ko:K16329	saux:SAI6T6_1002380
ko:K03307	saux:SAI6T6_1002400
ko:K01639	saux:SAI6T6_1002410
ko:K01788	saux:SAI6T6_1002440
ko:K03800	saux:SAI6T6_1002520
ko:K03475	saux:SAI6T6_1002540
ko:K02445	saux:SAI6T6_1002570
ko:K00299	saux:SAI6T6_1002600
ko:K03817	saux:SAI6T6_1002630
ko:K07224	saux:SAI6T6_1002640
ko:K16301	saux:SAI6T6_1002650
ko:K07243	saux:SAI6T6_1002660
ko:K03118	saux:SAI6T6_1002670
ko:K01990	saux:SAI6T6_1002690
ko:K00626	saux:SAI6T6_1002720
ko:K00549	saux:SAI6T6_1002740
ko:K01760	saux:SAI6T6_1002760
ko:K01739	saux:SAI6T6_1002770
ko:K06942	saux:SAI6T6_1002800
ko:K07444	saux:SAI6T6_1010410
ko:K03700	saux:SAI6T6_1010430
ko:K05366	saux:SAI6T6_1010440
ko:K10773	saux:SAI6T6_1010450
ko:K02086	saux:SAI6T6_1010460
ko:K01893	saux:SAI6T6_1010470
ko:K03524	saux:SAI6T6_1010490
ko:K00974	saux:SAI6T6_1010500
ko:K06973	saux:SAI6T6_1010520
ko:K00800	saux:SAI6T6_1010560
ko:K01735	saux:SAI6T6_1010570
ko:K01736	saux:SAI6T6_1010580
ko:K02313	saux:SAI6T6_1000010
ko:K02338	saux:SAI6T6_1000020
ko:K03629	saux:SAI6T6_1000030
ko:K02470	saux:SAI6T6_1000040
ko:K02469	saux:SAI6T6_1000050
ko:K01745	saux:SAI6T6_1000070
ko:K01875	saux:SAI6T6_1000080
ko:K00641	saux:SAI6T6_1000100
ko:K01939	saux:SAI6T6_1000140
ko:K07668	saux:SAI6T6_1000170
ko:K07652	saux:SAI6T6_1000180
ko:K00783	saux:SAI6T6_1000240
ko:K01126	saux:SAI6T6_1007940
ko:K00954	saux:SAI6T6_1007960
ko:K07040	saux:SAI6T6_1007980
ko:K14193	saux:SAI6T6_1008000
ko:K02016	saux:SAI6T6_1008030
ko:K02015	saux:SAI6T6_1008040
ko:K08600	saux:SAI6T6_1008050
ko:K03437	saux:SAI6T6_1008060
ko:K01889	saux:SAI6T6_1008070
ko:K01890	saux:SAI6T6_1008080
ko:K03471	saux:SAI6T6_1008090
ko:K02347	saux:SAI6T6_1008110
ko:K07456	saux:SAI6T6_1008120
ko:K03703	saux:SAI6T6_1008130
ko:K00241	saux:SAI6T6_1008140
ko:K00239	saux:SAI6T6_1008150
ko:K00240	saux:SAI6T6_1008160
ko:K01776	saux:SAI6T6_1008170
ko:K02428	saux:SAI6T6_1008180
ko:K07095	saux:SAI6T6_1008190
ko:K14200	saux:SAI6T6_1008210
ko:K11032	saux:SAI6T6_1008230
ko:K00611	saux:SAI6T6_1008270
ko:K00926	saux:SAI6T6_1008280
ko:K11041	saux:SAI6T6_1008300
ko:K07025	saux:SAI6T6_1008320
ko:K03438	saux:SAI6T6_1008340
ko:K12552	saux:SAI6T6_1008350
ko:K01000	saux:SAI6T6_1008360
ko:K01925	saux:SAI6T6_1008370
ko:K03589	saux:SAI6T6_1008380
ko:K03590	saux:SAI6T6_1008390
ko:K03531	saux:SAI6T6_1008400
ko:K05810	saux:SAI6T6_1008410
ko:K06997	saux:SAI6T6_1008420
ko:K09772	saux:SAI6T6_1008430
ko:K16264	saux:SAI6T6_1015770
ko:K04763	saux:SAI6T6_1015830
ko:K02013	saux:SAI6T6_1015860
ko:K00820	saux:SAI6T6_1015870
ko:K02799	saux:SAI6T6_1015880
ko:K02800	saux:SAI6T6_1015880
ko:K00009	saux:SAI6T6_1015900
ko:K03431	saux:SAI6T6_1015920
ko:K01476	saux:SAI6T6_1015950
ko:K03593	saux:SAI6T6_1016030
ko:K11068	saux:SAI6T6_1016080
ko:K07038	saux:SAI6T6_1016100
ko:K02015	saux:SAI6T6_1016120
ko:K02015	saux:SAI6T6_1016130
ko:K02016	saux:SAI6T6_1016140
ko:K01220	saux:SAI6T6_1016250
ko:K00940	saux:SAI6T6_1010590
ko:K00805	saux:SAI6T6_1010600
ko:K03183	saux:SAI6T6_1010610
ko:K00057	saux:SAI6T6_1010630
ko:K03977	saux:SAI6T6_1010640
ko:K02945	saux:SAI6T6_1010650
ko:K00945	saux:SAI6T6_1010660
ko:K01424	saux:SAI6T6_1010670
ko:K03654	saux:SAI6T6_1010700
ko:K07651	saux:SAI6T6_1010790
ko:K07775	saux:SAI6T6_1010800
ko:K06178	saux:SAI6T6_1010810
ko:K06024	saux:SAI6T6_1010820
ko:K05896	saux:SAI6T6_1010830
ko:K09763	saux:SAI6T6_1010840
ko:K04763	saux:SAI6T6_1010850
ko:K01515	saux:SAI6T6_1010860
ko:K07124	saux:SAI6T6_1010880
ko:K00286	saux:SAI6T6_1010890
ko:K02068	saux:SAI6T6_1018210
ko:K10824	saux:SAI6T6_1018270
ko:K15587	saux:SAI6T6_1018280
ko:K15586	saux:SAI6T6_1018290
ko:K15585	saux:SAI6T6_1018300
ko:K15584	saux:SAI6T6_1018310
ko:K12942	saux:SAI6T6_1018370
ko:K01835	saux:SAI6T6_1018490
ko:K00963	saux:SAI6T6_1018540
ko:K13732	saux:SAI6T6_1018550
ko:K03299	saux:SAI6T6_1018560
ko:K00851	saux:SAI6T6_1018570
ko:K11476	saux:SAI6T6_1018580
ko:K03535	saux:SAI6T6_1018630
ko:K01990	saux:SAI6T6_1018650
ko:K04041	saux:SAI6T6_1018670
ko:K06999	saux:SAI6T6_1018690
ko:K07258	saux:SAI6T6_1004930
ko:K18104	saux:SAI6T6_1004940
ko:K16323	saux:SAI6T6_1004950
ko:K02013	saux:SAI6T6_1004970
ko:K02015	saux:SAI6T6_1004980
ko:K02015	saux:SAI6T6_1004990
ko:K05878	saux:SAI6T6_1005000
ko:K05879	saux:SAI6T6_1005010
ko:K07220	saux:SAI6T6_1005110
ko:K03306	saux:SAI6T6_1005120
ko:K06890	saux:SAI6T6_1005140
ko:K09705	saux:SAI6T6_1005170
ko:K09793	saux:SAI6T6_1005210
ko:K06966	saux:SAI6T6_1005240
ko:K09768	saux:SAI6T6_1005250
ko:K06153	saux:SAI6T6_1005270
ko:K16013	saux:SAI6T6_1005280
ko:K16012	saux:SAI6T6_1005290
ko:K01669	saux:SAI6T6_1005330
ko:K03436	saux:SAI6T6_1005360
ko:K00882	saux:SAI6T6_1005370
ko:K02768	saux:SAI6T6_1005380
ko:K02769	saux:SAI6T6_1005380
ko:K02770	saux:SAI6T6_1005380
ko:K01443	saux:SAI6T6_1005390
ko:K10681	saux:SAI6T6_1005430
ko:K10682	saux:SAI6T6_1005440
ko:K03439	saux:SAI6T6_1012810
ko:K00824	saux:SAI6T6_1012830
ko:K01439	saux:SAI6T6_1012840
ko:K06183	saux:SAI6T6_1012850
ko:K07007	saux:SAI6T6_1012870
ko:K01869	saux:SAI6T6_1012890
ko:K07139	saux:SAI6T6_1012910
ko:K00318	saux:SAI6T6_1012950
ko:K14652	saux:SAI6T6_1012960
ko:K00793	saux:SAI6T6_1012970
ko:K11752	saux:SAI6T6_1012980
ko:K03893	saux:SAI6T6_1013000
ko:K07052	saux:SAI6T6_1013040
ko:K00616	saux:SAI6T6_1013050
ko:K00789	saux:SAI6T6_1013090
ko:K01610	saux:SAI6T6_1013100
ko:K02549	saux:SAI6T6_1013130
ko:K01911	saux:SAI6T6_1013140
ko:K01154	saux:SAI6T6_1013220
ko:K01154	saux:SAI6T6_1013230
ko:K03427	saux:SAI6T6_1013240
ko:K11102	saux:SAI6T6_1017610
ko:K10850	saux:SAI6T6_1017630
ko:K07696	saux:SAI6T6_1017660
ko:K07683	saux:SAI6T6_1017670
ko:K00374	saux:SAI6T6_1017680
ko:K00373	saux:SAI6T6_1017690
ko:K00371	saux:SAI6T6_1017700
ko:K00370	saux:SAI6T6_1017710
ko:K00375	saux:SAI6T6_1003930
ko:K06215	saux:SAI6T6_1003940
ko:K08681	saux:SAI6T6_1003950
ko:K11535	saux:SAI6T6_1003960
ko:K03708	saux:SAI6T6_1003970
ko:K03696	saux:SAI6T6_1004000
ko:K04485	saux:SAI6T6_1004010
ko:K09698	saux:SAI6T6_1004030
ko:K00640	saux:SAI6T6_1004040
ko:K01883	saux:SAI6T6_1004050
ko:K03218	saux:SAI6T6_1004060
ko:K06962	saux:SAI6T6_1004070
ko:K03091	saux:SAI6T6_1004080
ko:K02601	saux:SAI6T6_1004090
ko:K02863	saux:SAI6T6_1004100
ko:K02864	saux:SAI6T6_1004110
ko:K03043	saux:SAI6T6_1004130
ko:K03046	saux:SAI6T6_1004140
ko:K02992	saux:SAI6T6_1004150
ko:K02355	saux:SAI6T6_1004160
ko:K02358	saux:SAI6T6_1004170
ko:K00639	saux:SAI6T6_1004190
ko:K05523	saux:SAI6T6_1004200
ko:K00853	saux:SAI6T6_1004210
ko:K00826	saux:SAI6T6_1004230
ko:K01091	saux:SAI6T6_1004240
ko:K15519	saux:SAI6T6_1004250
ko:K15518	saux:SAI6T6_1004260
ko:K14194	saux:SAI6T6_1004290
ko:K14194	saux:SAI6T6_1004300
ko:K14194	saux:SAI6T6_1004310
ko:K00712	saux:SAI6T6_1004320
ko:K00712	saux:SAI6T6_1004330
ko:K09007	saux:SAI6T6_1004350
ko:K02564	saux:SAI6T6_1004370
ko:K07462	saux:SAI6T6_1011860
ko:K12257	saux:SAI6T6_1011870
ko:K00773	saux:SAI6T6_1011880
ko:K07568	saux:SAI6T6_1011890
ko:K03551	saux:SAI6T6_1011900
ko:K03550	saux:SAI6T6_1011910
ko:K03979	saux:SAI6T6_1011920
ko:K03571	saux:SAI6T6_1011930
ko:K03570	saux:SAI6T6_1011940
ko:K04763	saux:SAI6T6_1012000
ko:K03630	saux:SAI6T6_1012010
ko:K02236	saux:SAI6T6_1012020
ko:K11754	saux:SAI6T6_1012030
ko:K01873	saux:SAI6T6_1012040
ko:K01246	saux:SAI6T6_1012050
ko:K07120	saux:SAI6T6_1012060
ko:K01845	saux:SAI6T6_1012080
ko:K01698	saux:SAI6T6_1012090
ko:K01719	saux:SAI6T6_1012100
ko:K01749	saux:SAI6T6_1012110
ko:K02497	saux:SAI6T6_1012120
ko:K02492	saux:SAI6T6_1012130
ko:K03978	saux:SAI6T6_1012140
ko:K03544	saux:SAI6T6_1012150
ko:K03545	saux:SAI6T6_1012160
ko:K02520	saux:SAI6T6_1012190
ko:K11733	saux:SAI6T6_1012200
ko:K01868	saux:SAI6T6_1012210
ko:K11144	saux:SAI6T6_1012220
ko:K03346	saux:SAI6T6_1012230
ko:K07738	saux:SAI6T6_1012240
ko:K00134	saux:SAI6T6_1012250
ko:K00859	saux:SAI6T6_1012260
ko:K10563	saux:SAI6T6_1012270
ko:K07636	saux:SAI6T6_1012300
ko:K07658	saux:SAI6T6_1012310
ko:K03758	saux:SAI6T6_1019650
ko:K00611	saux:SAI6T6_1019660
ko:K01478	saux:SAI6T6_1019670
ko:K01401	saux:SAI6T6_1019690
ko:K02768	saux:SAI6T6_1019730
ko:K02769	saux:SAI6T6_1019730
ko:K02770	saux:SAI6T6_1019730
ko:K01809	saux:SAI6T6_1019740
ko:K01421	saux:SAI6T6_1019750
ko:K03070	saux:SAI6T6_1019810
ko:K12270	saux:SAI6T6_1019820
ko:K12269	saux:SAI6T6_1019830
ko:K12268	saux:SAI6T6_1019840
ko:K03076	saux:SAI6T6_1019850
ko:K07304	saux:SAI6T6_1019890
ko:K01104	saux:SAI6T6_1019910
ko:K11936	saux:SAI6T6_1019950
ko:K11755	saux:SAI6T6_1019990
ko:K02500	saux:SAI6T6_1020000
ko:K01814	saux:SAI6T6_1020010
ko:K02501	saux:SAI6T6_1020020
ko:K01693	saux:SAI6T6_1020030
ko:K00817	saux:SAI6T6_1020040
ko:K00013	saux:SAI6T6_1020050
ko:K00765	saux:SAI6T6_1020060
ko:K16785	saux:SAI6T6_1020100
ko:K03644	saux:SAI6T6_1006480
ko:K03367	saux:SAI6T6_1006520
ko:K03739	saux:SAI6T6_1006530
ko:K03740	saux:SAI6T6_1006540
ko:K03885	saux:SAI6T6_1006550
ko:K03885	saux:SAI6T6_1006560
ko:K01255	saux:SAI6T6_1006570
ko:K07084	saux:SAI6T6_1006580
ko:K05569	saux:SAI6T6_1006600
ko:K05568	saux:SAI6T6_1006610
ko:K05565	saux:SAI6T6_1006620
ko:K03768	saux:SAI6T6_1006640
ko:K00819	saux:SAI6T6_1006660
ko:K00260	saux:SAI6T6_1006670
ko:K01126	saux:SAI6T6_1006680
ko:K01755	saux:SAI6T6_1006690
ko:K01940	saux:SAI6T6_1006700
ko:K01810	saux:SAI6T6_1006710
ko:K03100	saux:SAI6T6_1006730
ko:K03100	saux:SAI6T6_1006740
ko:K16899	saux:SAI6T6_1006750
ko:K16898	saux:SAI6T6_1006760
ko:K08255	saux:SAI6T6_1006780
ko:K03695	saux:SAI6T6_1006810
ko:K06910	saux:SAI6T6_1006860
ko:K00648	saux:SAI6T6_1006870
ko:K09458	saux:SAI6T6_1006880
ko:K15581	saux:SAI6T6_1006890
ko:K15582	saux:SAI6T6_1006900
ko:K15583	saux:SAI6T6_1006910
ko:K10823	saux:SAI6T6_1006920
ko:K15580	saux:SAI6T6_1006930
ko:K02035	saux:SAI6T6_1006940
ko:K02342	saux:SAI6T6_1014320
ko:K02346	saux:SAI6T6_1014330
ko:K03215	saux:SAI6T6_1014350
ko:K02434	saux:SAI6T6_1014370
ko:K02433	saux:SAI6T6_1014380
ko:K11928	saux:SAI6T6_1014390
ko:K01972	saux:SAI6T6_1014410
ko:K03657	saux:SAI6T6_1014420
ko:K07094	saux:SAI6T6_1014430
ko:K01756	saux:SAI6T6_1014440
ko:K08258	saux:SAI6T6_1014450
ko:K01916	saux:SAI6T6_1014470
ko:K00763	saux:SAI6T6_1014480
ko:K00491	saux:SAI6T6_1014490
ko:K04518	saux:SAI6T6_1014500
ko:K14445	saux:SAI6T6_1014510
ko:K15986	saux:SAI6T6_1014540
ko:K00128	saux:SAI6T6_1014550
ko:K01992	saux:SAI6T6_1014620
ko:K01990	saux:SAI6T6_1014630
ko:K01990	saux:SAI6T6_1014650
ko:K01834	saux:SAI6T6_1002850
ko:K03387	saux:SAI6T6_1002870
ko:K03386	saux:SAI6T6_1002880
ko:K06956	saux:SAI6T6_1002900
ko:K03816	saux:SAI6T6_1002950
ko:K16169	saux:SAI6T6_1002960
ko:K00088	saux:SAI6T6_1002970
ko:K01951	saux:SAI6T6_1002980
ko:K11042	saux:SAI6T6_1003020
ko:K03427	saux:SAI6T6_1003120
ko:K01154	saux:SAI6T6_1003130
ko:K05577	saux:SAI6T6_1003290
ko:K09822	saux:SAI6T6_1003300
ko:K03928	saux:SAI6T6_1003330
ko:K03308	saux:SAI6T6_1003340
ko:K00784	saux:SAI6T6_1010900
ko:K00036	saux:SAI6T6_1010910
ko:K01187	saux:SAI6T6_1010930
ko:K00033	saux:SAI6T6_1010960
ko:K09699	saux:SAI6T6_1010990
ko:K00167	saux:SAI6T6_1011000
ko:K00166	saux:SAI6T6_1011010
ko:K00382	saux:SAI6T6_1011020
ko:K03631	saux:SAI6T6_1011030
ko:K13789	saux:SAI6T6_1011040
ko:K03601	saux:SAI6T6_1011050
ko:K01961	saux:SAI6T6_1011060
ko:K02160	saux:SAI6T6_1011070
ko:K02356	saux:SAI6T6_1011080
ko:K01262	saux:SAI6T6_1011090
ko:K03800	saux:SAI6T6_1011110
ko:K00283	saux:SAI6T6_1011120
ko:K00282	saux:SAI6T6_1011130
ko:K00605	saux:SAI6T6_1011140
ko:K00891	saux:SAI6T6_1011150
ko:K02244	saux:SAI6T6_1011170
ko:K02243	saux:SAI6T6_1011180
ko:K00845	saux:SAI6T6_1011200
ko:K12553	saux:SAI6T6_1011230
ko:K04564	saux:SAI6T6_1011240
ko:K09816	saux:SAI6T6_1011250
ko:K09817	saux:SAI6T6_1011260
ko:K01151	saux:SAI6T6_1011270
ko:K06967	saux:SAI6T6_1011300
ko:K03086	saux:SAI6T6_1011310
ko:K09773	saux:SAI6T6_1011330
ko:K01880	saux:SAI6T6_1011350
ko:K03584	saux:SAI6T6_1011360
ko:K15975	saux:SAI6T6_1018700
ko:K07104	saux:SAI6T6_1018710
ko:K03778	saux:SAI6T6_1018730
ko:K16917	saux:SAI6T6_1018750
ko:K16916	saux:SAI6T6_1018760
ko:K07284	saux:SAI6T6_1018770
ko:K03823	saux:SAI6T6_1018780
ko:K01752	saux:SAI6T6_1018790
ko:K01752	saux:SAI6T6_1018800
ko:K00158	saux:SAI6T6_1018850
ko:K00054	saux:SAI6T6_1018880
ko:K01641	saux:SAI6T6_1018890
ko:K00567	saux:SAI6T6_1018900
ko:K04086	saux:SAI6T6_1018910
ko:K04759	saux:SAI6T6_1018920
ko:K04759	saux:SAI6T6_1018930
ko:K06994	saux:SAI6T6_1018940
ko:K00294	saux:SAI6T6_1018960
ko:K17686	saux:SAI6T6_1018980
ko:K03778	saux:SAI6T6_1018990
ko:K10209	saux:SAI6T6_1019010
ko:K10208	saux:SAI6T6_1019020
ko:K10211	saux:SAI6T6_1019030
ko:K10210	saux:SAI6T6_1019040
ko:K10212	saux:SAI6T6_1019050
ko:K07035	saux:SAI6T6_1019100
ko:K07045	saux:SAI6T6_1019160
ko:K01126	saux:SAI6T6_1000260
ko:K02545	saux:SAI6T6_1000270
ko:K07090	saux:SAI6T6_1000380
ko:K00712	saux:SAI6T6_1000400
ko:K01929	saux:SAI6T6_1000420
ko:K07090	saux:SAI6T6_1000440
ko:K17218	saux:SAI6T6_1000470
ko:K01771	saux:SAI6T6_1000520
ko:K08170	saux:SAI6T6_1000600
ko:K03324	saux:SAI6T6_1000610
ko:K10254	saux:SAI6T6_1000620
ko:K03303	saux:SAI6T6_1000660
ko:K14196	saux:SAI6T6_1000670
