ko:K09022	sug:SAPIG0563
ko:K14232	sug:SAPIG1944
ko:K00950	sug:SAPIG0582
ko:K04567	sug:SAPIG0583
ko:K00375	sug:SAPIG0593
ko:K06215	sug:SAPIG0594
ko:K08681	sug:SAPIG0595
ko:K11535	sug:SAPIG0596
ko:K03696	sug:SAPIG0600
ko:K04485	sug:SAPIG0601
ko:K00640	sug:SAPIG0604
ko:K01883	sug:SAPIG0605
ko:K11145	sug:SAPIG0606
ko:K03218	sug:SAPIG0607
ko:K06962	sug:SAPIG0608
ko:K03091	sug:SAPIG0609
ko:K03073	sug:SAPIG0610
ko:K02601	sug:SAPIG0611
ko:K02867	sug:SAPIG0612
ko:K02863	sug:SAPIG0613
ko:K02864	sug:SAPIG0614
ko:K02935	sug:SAPIG0615
ko:K03043	sug:SAPIG0617
ko:K03046	sug:SAPIG0618
ko:K07590	sug:SAPIG0619
ko:K02950	sug:SAPIG0620
ko:K02992	sug:SAPIG0621
ko:K02355	sug:SAPIG0622
ko:K02358	sug:SAPIG0623
ko:K05523	sug:SAPIG0626
ko:K00826	sug:SAPIG0629
ko:K10773	sug:SAPIG1452
ko:K01893	sug:SAPIG1454
ko:K03524	sug:SAPIG1456
ko:K06973	sug:SAPIG1460
ko:K00800	sug:SAPIG1464
ko:K01735	sug:SAPIG1465
ko:K01736	sug:SAPIG1466
ko:K00940	sug:SAPIG1467
ko:K03183	sug:SAPIG1469
ko:K03530	sug:SAPIG1471
ko:K00057	sug:SAPIG1472
ko:K03977	sug:SAPIG1473
ko:K02945	sug:SAPIG1474
ko:K00945	sug:SAPIG1476
ko:K03654	sug:SAPIG1481
ko:K02895	sug:SAPIG2292
ko:K02874	sug:SAPIG2293
ko:K02961	sug:SAPIG2294
ko:K02904	sug:SAPIG2295
ko:K02878	sug:SAPIG2296
ko:K02982	sug:SAPIG2297
ko:K02890	sug:SAPIG2298
ko:K02965	sug:SAPIG2299
ko:K02886	sug:SAPIG2300
ko:K02892	sug:SAPIG2301
ko:K02926	sug:SAPIG2302
ko:K02906	sug:SAPIG2303
ko:K02946	sug:SAPIG2304
ko:K06901	sug:SAPIG2306
ko:K07088	sug:SAPIG2310
ko:K03639	sug:SAPIG2319
ko:K03752	sug:SAPIG2320
ko:K03636	sug:SAPIG2321
ko:K03753	sug:SAPIG2323
ko:K03750	sug:SAPIG2324
ko:K03637	sug:SAPIG2325
ko:K03638	sug:SAPIG2326
ko:K02018	sug:SAPIG2329
ko:K02020	sug:SAPIG2330
ko:K02379	sug:SAPIG2331
ko:K03523	sug:SAPIG2333
ko:K02016	sug:SAPIG2335
ko:K08717	sug:SAPIG2337
ko:K01430	sug:SAPIG2338
ko:K01429	sug:SAPIG2339
ko:K01428	sug:SAPIG2340
ko:K03187	sug:SAPIG2341
ko:K03188	sug:SAPIG2342
ko:K03189	sug:SAPIG2343
ko:K14235	sug:SAPIG1932
ko:K06890	sug:SAPIG0744
ko:K09793	sug:SAPIG0752
ko:K06966	sug:SAPIG0758
ko:K09768	sug:SAPIG0759
ko:K06153	sug:SAPIG0761
ko:K01669	sug:SAPIG0769
ko:K02768	sug:SAPIG0777
ko:K02769	sug:SAPIG0777
ko:K02770	sug:SAPIG0777
ko:K01443	sug:SAPIG0778
ko:K10681	sug:SAPIG0782
ko:K10682	sug:SAPIG0783
ko:K10026	sug:SAPIG0787
ko:K01737	sug:SAPIG0788
ko:K06920	sug:SAPIG0789
ko:K01665	sug:SAPIG0791
ko:K15738	sug:SAPIG0797
ko:K03654	sug:SAPIG0798
ko:K05847	sug:SAPIG0799
ko:K02913	sug:SAPIG1616
ko:K04564	sug:SAPIG1618
ko:K09816	sug:SAPIG1620
ko:K09817	sug:SAPIG1621
ko:K01151	sug:SAPIG1622
ko:K06967	sug:SAPIG1625
ko:K03086	sug:SAPIG1626
ko:K09773	sug:SAPIG1628
ko:K01880	sug:SAPIG1630
ko:K03584	sug:SAPIG1631
ko:K07042	sug:SAPIG1635
ko:K02970	sug:SAPIG1641
ko:K09761	sug:SAPIG1643
ko:K02687	sug:SAPIG1644
ko:K03686	sug:SAPIG1645
ko:K04043	sug:SAPIG1646
ko:K03687	sug:SAPIG1647
ko:K03705	sug:SAPIG1648
ko:K14230	sug:SAPIG1941
ko:K03596	sug:SAPIG1650
ko:K02968	sug:SAPIG1651
ko:K02340	sug:SAPIG1652
ko:K02237	sug:SAPIG1655
ko:K09710	sug:SAPIG1657
ko:K00969	sug:SAPIG1659
ko:K07574	sug:SAPIG1660
ko:K00363	sug:SAPIG2452
ko:K00362	sug:SAPIG2453
ko:K01012	sug:SAPIG2478
ko:K00833	sug:SAPIG2479
ko:K01935	sug:SAPIG2480
ko:K00865	sug:SAPIG2484
ko:K00077	sug:SAPIG2495
ko:K08170	sug:SAPIG2496
ko:K05846	sug:SAPIG2497
ko:K05845	sug:SAPIG2498
ko:K05846	sug:SAPIG2499
ko:K05847	sug:SAPIG2500
ko:K01951	sug:SAPIG0468
ko:K08987	sug:SAPIG0488
ko:K03427	sug:SAPIG0499
ko:K01154	sug:SAPIG0500
ko:K05577	sug:SAPIG0518
ko:K09822	sug:SAPIG0519
ko:K03928	sug:SAPIG0523
ko:K03308	sug:SAPIG0524
ko:K03547	sug:SAPIG1347
ko:K03282	sug:SAPIG1349
ko:K01681	sug:SAPIG1352
ko:K07107	sug:SAPIG1353
ko:K08591	sug:SAPIG1355
ko:K02622	sug:SAPIG1356
ko:K02621	sug:SAPIG1357
ko:K03310	sug:SAPIG1358
ko:K03480	sug:SAPIG1359
ko:K14205	sug:SAPIG1361
ko:K01821	sug:SAPIG1364
ko:K01657	sug:SAPIG1368
ko:K00766	sug:SAPIG1370
ko:K01609	sug:SAPIG1371
ko:K01817	sug:SAPIG1372
ko:K01696	sug:SAPIG1373
ko:K01695	sug:SAPIG1374
ko:K02034	sug:SAPIG1381
ko:K02039	sug:SAPIG1386
ko:K02036	sug:SAPIG1387
ko:K02038	sug:SAPIG1388
ko:K02037	sug:SAPIG1389
ko:K02040	sug:SAPIG1390
ko:K00243	sug:SAPIG1392
ko:K00928	sug:SAPIG1394
ko:K00133	sug:SAPIG1395
ko:K01714	sug:SAPIG1396
ko:K00215	sug:SAPIG1397
ko:K02013	sug:SAPIG2193
ko:K00820	sug:SAPIG2209
ko:K00009	sug:SAPIG2214
ko:K03431	sug:SAPIG2216
ko:K01476	sug:SAPIG2219
ko:K11068	sug:SAPIG2230
ko:K07038	sug:SAPIG2232
ko:K02015	sug:SAPIG2235
ko:K02015	sug:SAPIG2236
ko:K02016	sug:SAPIG2237
ko:K03800	sug:SAPIG0408
ko:K03529	sug:SAPIG1234
ko:K03110	sug:SAPIG1235
ko:K03106	sug:SAPIG1237
ko:K02959	sug:SAPIG1238
ko:K02860	sug:SAPIG1239
ko:K00554	sug:SAPIG1240
ko:K02884	sug:SAPIG1241
ko:K14540	sug:SAPIG1243
ko:K03470	sug:SAPIG1244
ko:K01903	sug:SAPIG1245
ko:K01902	sug:SAPIG1246
ko:K04096	sug:SAPIG1251
ko:K03168	sug:SAPIG1252
ko:K04094	sug:SAPIG1253
ko:K03733	sug:SAPIG1254
ko:K01419	sug:SAPIG1255
ko:K03667	sug:SAPIG1256
ko:K03706	sug:SAPIG1257
ko:K02967	sug:SAPIG1258
ko:K02357	sug:SAPIG1259
ko:K09903	sug:SAPIG1260
ko:K02838	sug:SAPIG1261
ko:K00806	sug:SAPIG1262
ko:K00981	sug:SAPIG1263
ko:K11749	sug:SAPIG1264
ko:K01881	sug:SAPIG1265
ko:K03763	sug:SAPIG1266
ko:K09748	sug:SAPIG1267
ko:K02600	sug:SAPIG1268
ko:K07742	sug:SAPIG1269
ko:K02519	sug:SAPIG1271
ko:K02834	sug:SAPIG1272
ko:K11753	sug:SAPIG1274
ko:K02956	sug:SAPIG1275
ko:K00962	sug:SAPIG1276
ko:K03466	sug:SAPIG1278
ko:K00995	sug:SAPIG1285
ko:K03789	sug:SAPIG2089
ko:K06925	sug:SAPIG2091
ko:K01687	sug:SAPIG2092
ko:K01652	sug:SAPIG2093
ko:K01653	sug:SAPIG2094
ko:K00053	sug:SAPIG2095
ko:K01649	sug:SAPIG2096
ko:K00052	sug:SAPIG2097
ko:K01703	sug:SAPIG2098
ko:K01704	sug:SAPIG2099
ko:K01754	sug:SAPIG2100
ko:K06959	sug:SAPIG2104
ko:K01775	sug:SAPIG2111
ko:K00997	sug:SAPIG2112
ko:K01548	sug:SAPIG2116
ko:K01547	sug:SAPIG2117
ko:K01546	sug:SAPIG2118
ko:K07646	sug:SAPIG2120
ko:K07667	sug:SAPIG2121
ko:K01929	sug:SAPIG2123
ko:K01921	sug:SAPIG2124
ko:K05837	sug:SAPIG2125
ko:K06131	sug:SAPIG2129
ko:K06950	sug:SAPIG2130
ko:K03217	sug:SAPIG2133
ko:K00788	sug:SAPIG2134
ko:K00878	sug:SAPIG2135
ko:K00941	sug:SAPIG2136
ko:K03707	sug:SAPIG2137
ko:K01091	sug:SAPIG0630
ko:K15519	sug:SAPIG0631
ko:K15518	sug:SAPIG0632
ko:K14194	sug:SAPIG0636
ko:K14194	sug:SAPIG0637
ko:K09007	sug:SAPIG0641
ko:K08094	sug:SAPIG0646
ko:K03762	sug:SAPIG0648
ko:K00868	sug:SAPIG0654
ko:K03648	sug:SAPIG0655
ko:K06885	sug:SAPIG0684
ko:K07651	sug:SAPIG1557
ko:K07775	sug:SAPIG1558
ko:K06178	sug:SAPIG1559
ko:K06024	sug:SAPIG1560
ko:K03190	sug:SAPIG2344
ko:K03315	sug:SAPIG2351
ko:K09940	sug:SAPIG2353
ko:K00123	sug:SAPIG2360
ko:K03453	sug:SAPIG2372
ko:K02749	sug:SAPIG2374
ko:K02750	sug:SAPIG2374
ko:K03481	sug:SAPIG2375
ko:K01468	sug:SAPIG2382
ko:K01712	sug:SAPIG2383
ko:K01807	sug:SAPIG2388
ko:K09771	sug:SAPIG2392
ko:K03652	sug:SAPIG2396
ko:K03312	sug:SAPIG2397
ko:K01126	sug:SAPIG0238
ko:K07516	sug:SAPIG0242
ko:K00252	sug:SAPIG0243
ko:K05916	sug:SAPIG0251
ko:K02773	sug:SAPIG0257
ko:K02774	sug:SAPIG0258
ko:K05352	sug:SAPIG0264
ko:K07322	sug:SAPIG0272
ko:K07704	sug:SAPIG0273
ko:K05338	sug:SAPIG0275
ko:K05339	sug:SAPIG0276
ko:K04561	sug:SAPIG0277
ko:K03489	sug:SAPIG0278
ko:K01223	sug:SAPIG0280
ko:K06726	sug:SAPIG0284
ko:K02529	sug:SAPIG0286
ko:K02016	sug:SAPIG1129
ko:K02015	sug:SAPIG1130
ko:K08600	sug:SAPIG1131
ko:K03437	sug:SAPIG1133
ko:K01889	sug:SAPIG1134
ko:K01890	sug:SAPIG1135
ko:K09888	sug:SAPIG1137
ko:K02347	sug:SAPIG1139
ko:K07456	sug:SAPIG1140
ko:K03671	sug:SAPIG1141
ko:K03703	sug:SAPIG1142
ko:K00239	sug:SAPIG1144
ko:K00240	sug:SAPIG1145
ko:K01776	sug:SAPIG1146
ko:K07095	sug:SAPIG1148
ko:K11032	sug:SAPIG1158
ko:K00611	sug:SAPIG1163
ko:K00926	sug:SAPIG1164
ko:K03925	sug:SAPIG1175
ko:K03438	sug:SAPIG1176
ko:K01000	sug:SAPIG1179
ko:K01265	sug:SAPIG1981
ko:K02217	sug:SAPIG1986
ko:K02346	sug:SAPIG1988
ko:K03215	sug:SAPIG1990
ko:K02434	sug:SAPIG1993
ko:K02435	sug:SAPIG1995
ko:K01972	sug:SAPIG1998
ko:K03657	sug:SAPIG1999
ko:K01756	sug:SAPIG2002
ko:K00763	sug:SAPIG2008
ko:K00491	sug:SAPIG2009
ko:K14445	sug:SAPIG2011
ko:K00122	sug:SAPIG0191
ko:K01875	sug:SAPIG0009
ko:K00641	sug:SAPIG0012
ko:K02939	sug:SAPIG0015
ko:K01939	sug:SAPIG0017
ko:K00783	sug:SAPIG0027
ko:K09968	sug:SAPIG0029
ko:K01126	sug:SAPIG0040
ko:K07238	sug:SAPIG0058
ko:K01534	sug:SAPIG0059
ko:K07090	sug:SAPIG0064
ko:K03367	sug:SAPIG0915
ko:K03739	sug:SAPIG0916
ko:K14188	sug:SAPIG0917
ko:K03740	sug:SAPIG0918
ko:K03885	sug:SAPIG0921
ko:K03885	sug:SAPIG0924
ko:K01255	sug:SAPIG0925
ko:K07084	sug:SAPIG0926
ko:K05571	sug:SAPIG0929
ko:K05569	sug:SAPIG0931
ko:K05567	sug:SAPIG0933
ko:K05566	sug:SAPIG0934
ko:K06347	sug:SAPIG0936
ko:K00260	sug:SAPIG0941
ko:K01126	sug:SAPIG0942
ko:K01755	sug:SAPIG0943
ko:K01940	sug:SAPIG0944
ko:K01810	sug:SAPIG0945
ko:K03100	sug:SAPIG0947
ko:K03100	sug:SAPIG0948
ko:K00259	sug:SAPIG1762
ko:K00925	sug:SAPIG1764
ko:K11065	sug:SAPIG1766
ko:K07090	sug:SAPIG1767
ko:K03151	sug:SAPIG1768
ko:K04487	sug:SAPIG1769
ko:K02986	sug:SAPIG1772
ko:K01126	sug:SAPIG1773
ko:K00655	sug:SAPIG1779
ko:K01866	sug:SAPIG1781
ko:K01938	sug:SAPIG1784
ko:K01895	sug:SAPIG1785
ko:K04766	sug:SAPIG1786
ko:K04768	sug:SAPIG1787
ko:K02529	sug:SAPIG1788
ko:K13853	sug:SAPIG1790
ko:K01924	sug:SAPIG1793
ko:K03466	sug:SAPIG1794
ko:K06878	sug:SAPIG1795
ko:K03439	sug:SAPIG1801
ko:K00824	sug:SAPIG1803
ko:K07007	sug:SAPIG1808
ko:K01869	sug:SAPIG1811
ko:K09765	sug:SAPIG2641
ko:K06978	sug:SAPIG2644
ko:K01579	sug:SAPIG2645
ko:K01918	sug:SAPIG2646
ko:K00606	sug:SAPIG2647
ko:K00077	sug:SAPIG2648
ko:K01575	sug:SAPIG2649
ko:K00823	sug:SAPIG2652
ko:K01623	sug:SAPIG2654
ko:K00116	sug:SAPIG2655
ko:K01895	sug:SAPIG2656
ko:K01586	sug:SAPIG0135
ko:K01839	sug:SAPIG0153
ko:K02042	sug:SAPIG0154
ko:K02042	sug:SAPIG0155
ko:K02041	sug:SAPIG0156
ko:K02044	sug:SAPIG0157
ko:K04072	sug:SAPIG0162
ko:K13012	sug:SAPIG0175
ko:K02472	sug:SAPIG0177
ko:K09790	sug:SAPIG0180
ko:K02250	sug:SAPIG1023
ko:K03800	sug:SAPIG1025
ko:K02003	sug:SAPIG1031
ko:K15977	sug:SAPIG1034
ko:K02016	sug:SAPIG1035
ko:K02548	sug:SAPIG1039
ko:K02551	sug:SAPIG1041
ko:K01661	sug:SAPIG1043
ko:K02829	sug:SAPIG1055
ko:K02828	sug:SAPIG1056
ko:K02827	sug:SAPIG1057
ko:K02826	sug:SAPIG1058
ko:K01491	sug:SAPIG1061
ko:K01588	sug:SAPIG1062
ko:K01589	sug:SAPIG1063
ko:K01923	sug:SAPIG1064
ko:K01952	sug:SAPIG1066
ko:K01952	sug:SAPIG1067
ko:K00764	sug:SAPIG1068
ko:K01933	sug:SAPIG1069
ko:K11175	sug:SAPIG1070
ko:K07002	sug:SAPIG1896
ko:K00231	sug:SAPIG1897
ko:K01772	sug:SAPIG1898
ko:K01599	sug:SAPIG1899
ko:K02503	sug:SAPIG1903
ko:K06180	sug:SAPIG1916
ko:K03216	sug:SAPIG1921
ko:K11936	sug:SAPIG2718
ko:K11755	sug:SAPIG2723
ko:K02500	sug:SAPIG2724
ko:K01814	sug:SAPIG2725
ko:K02501	sug:SAPIG2726
ko:K01693	sug:SAPIG2727
ko:K00817	sug:SAPIG2728
ko:K00013	sug:SAPIG2729
ko:K00765	sug:SAPIG2730
ko:K07146	sug:SAPIG2735
ko:K01304	sug:SAPIG2736
ko:K03319	sug:SAPIG2741
ko:K05786	sug:SAPIG2742
ko:K07241	sug:SAPIG2744
ko:K03704	sug:SAPIG2750
ko:K03501	sug:SAPIG2755
ko:K03495	sug:SAPIG2756
ko:K03650	sug:SAPIG2757
ko:K03536	sug:SAPIG2758
ko:K02914	sug:SAPIG2759
ko:K18935	sug:SAPIG2229
ko:K00817	sug:SAPIG0801
ko:K03305	sug:SAPIG0804
ko:K09457	sug:SAPIG0805
ko:K02015	sug:SAPIG0810
ko:K02015	sug:SAPIG0811
ko:K02013	sug:SAPIG0812
ko:K02016	sug:SAPIG0813
ko:K00075	sug:SAPIG0814
ko:K00865	sug:SAPIG0818
ko:K03070	sug:SAPIG0829
ko:K02836	sug:SAPIG0830
ko:K07023	sug:SAPIG0832
ko:K03702	sug:SAPIG0834
ko:K03701	sug:SAPIG0835
ko:K13292	sug:SAPIG0837
ko:K00384	sug:SAPIG0840
ko:K01358	sug:SAPIG0846
ko:K07071	sug:SAPIG0848
ko:K05311	sug:SAPIG0850
ko:K00134	sug:SAPIG0851
ko:K00927	sug:SAPIG0852
ko:K01803	sug:SAPIG0853
ko:K15633	sug:SAPIG0854
ko:K01689	sug:SAPIG0855
ko:K00014	sug:SAPIG1661
ko:K07015	sug:SAPIG1663
ko:K07160	sug:SAPIG1669
ko:K01961	sug:SAPIG1670
ko:K02160	sug:SAPIG1671
ko:K03624	sug:SAPIG1674
ko:K00876	sug:SAPIG1675
ko:K08303	sug:SAPIG1676
ko:K07447	sug:SAPIG1680
ko:K01872	sug:SAPIG1682
ko:K03581	sug:SAPIG1683
ko:K00566	sug:SAPIG1685
ko:K04487	sug:SAPIG1686
ko:K07478	sug:SAPIG1691
ko:K01876	sug:SAPIG1693
ko:K01892	sug:SAPIG1694
ko:K01448	sug:SAPIG1695
ko:K07560	sug:SAPIG1696
ko:K00759	sug:SAPIG1698
ko:K07462	sug:SAPIG1699
ko:K12257	sug:SAPIG1700
ko:K03210	sug:SAPIG1701
ko:K00773	sug:SAPIG1702
ko:K07568	sug:SAPIG1703
ko:K03551	sug:SAPIG1704
ko:K03550	sug:SAPIG1705
ko:K06209	sug:SAPIG1706
ko:K03979	sug:SAPIG1707
ko:K02899	sug:SAPIG1708
ko:K02888	sug:SAPIG1710
ko:K03571	sug:SAPIG1711
ko:K02069	sug:SAPIG2506
ko:K02068	sug:SAPIG2507
ko:K10824	sug:SAPIG2513
ko:K15587	sug:SAPIG2514
ko:K15586	sug:SAPIG2515
ko:K15585	sug:SAPIG2516
ko:K15584	sug:SAPIG2517
ko:K00963	sug:SAPIG2549
ko:K11476	sug:SAPIG2557
ko:K18940	sug:SAPIG1416
ko:K02071	sug:SAPIG0527
ko:K02072	sug:SAPIG0528
ko:K02073	sug:SAPIG0529
ko:K00266	sug:SAPIG0538
ko:K02818	sug:SAPIG0540
ko:K02819	sug:SAPIG0540
ko:K02343	sug:SAPIG0544
ko:K09747	sug:SAPIG0545
ko:K06187	sug:SAPIG0546
ko:K00943	sug:SAPIG0548
ko:K02341	sug:SAPIG0550
ko:K07461	sug:SAPIG0554
ko:K07056	sug:SAPIG0555
ko:K01874	sug:SAPIG0556
ko:K03424	sug:SAPIG0557
ko:K05985	sug:SAPIG0558
ko:K02528	sug:SAPIG0559
ko:K00919	sug:SAPIG0561
ko:K06412	sug:SAPIG0564
ko:K04042	sug:SAPIG0565
ko:K00948	sug:SAPIG0566
ko:K02897	sug:SAPIG0567
ko:K01056	sug:SAPIG0568
ko:K03723	sug:SAPIG0569
ko:K07571	sug:SAPIG0574
ko:K04075	sug:SAPIG0575
ko:K00760	sug:SAPIG0576
ko:K03798	sug:SAPIG0577
ko:K04083	sug:SAPIG0578
ko:K01775	sug:SAPIG1400
ko:K01586	sug:SAPIG1401
ko:K07734	sug:SAPIG1402
ko:K03704	sug:SAPIG1404
ko:K01512	sug:SAPIG1406
ko:K03311	sug:SAPIG1409
ko:K00658	sug:SAPIG1414
ko:K00164	sug:SAPIG1415
ko:K02563	sug:SAPIG1419
ko:K03797	sug:SAPIG1421
ko:K09125	sug:SAPIG1432
ko:K08170	sug:SAPIG1435
ko:K01754	sug:SAPIG1437
ko:K00259	sug:SAPIG1438
ko:K07444	sug:SAPIG1443
ko:K05366	sug:SAPIG1450
ko:K02787	sug:SAPIG2250
ko:K02788	sug:SAPIG2250
ko:K12410	sug:SAPIG2257
ko:K01575	sug:SAPIG2267
ko:K01652	sug:SAPIG2268
ko:K02996	sug:SAPIG2270
ko:K02871	sug:SAPIG2271
ko:K06173	sug:SAPIG2272
ko:K02879	sug:SAPIG2276
ko:K03040	sug:SAPIG2277
ko:K02948	sug:SAPIG2278
ko:K02952	sug:SAPIG2279
ko:K02919	sug:SAPIG2280
ko:K02518	sug:SAPIG2281
ko:K03076	sug:SAPIG2283
ko:K02876	sug:SAPIG2284
ko:K02907	sug:SAPIG2285
ko:K02988	sug:SAPIG2286
ko:K02881	sug:SAPIG2287
ko:K02933	sug:SAPIG2288
ko:K02994	sug:SAPIG2289
ko:K02954	sug:SAPIG2290
ko:K02931	sug:SAPIG2291
ko:K01887	sug:SAPIG0688
ko:K02016	sug:SAPIG0690
ko:K02015	sug:SAPIG0691
ko:K09936	sug:SAPIG0698
ko:K05566	sug:SAPIG0703
ko:K05567	sug:SAPIG0704
ko:K05569	sug:SAPIG0706
ko:K05571	sug:SAPIG0708
ko:K05946	sug:SAPIG0715
ko:K02013	sug:SAPIG0725
ko:K02015	sug:SAPIG0726
ko:K02015	sug:SAPIG0727
ko:K05878	sug:SAPIG0728
ko:K05879	sug:SAPIG0729
ko:K07220	sug:SAPIG0741
ko:K03306	sug:SAPIG0742
ko:K05896	sug:SAPIG1561
ko:K07124	sug:SAPIG1568
ko:K00286	sug:SAPIG1569
ko:K00036	sug:SAPIG1571
ko:K09699	sug:SAPIG1581
ko:K00167	sug:SAPIG1582
ko:K00166	sug:SAPIG1583
ko:K00382	sug:SAPIG1584
ko:K03631	sug:SAPIG1585
ko:K03402	sug:SAPIG1586
ko:K13789	sug:SAPIG1587
ko:K03602	sug:SAPIG1588
ko:K03601	sug:SAPIG1589
ko:K03625	sug:SAPIG1590
ko:K01961	sug:SAPIG1592
ko:K02160	sug:SAPIG1593
ko:K02356	sug:SAPIG1594
ko:K03800	sug:SAPIG1598
ko:K00283	sug:SAPIG1600
ko:K00282	sug:SAPIG1601
ko:K00605	sug:SAPIG1602
ko:K00891	sug:SAPIG1603
ko:K03284	sug:SAPIG2399
ko:K07107	sug:SAPIG2400
ko:K07552	sug:SAPIG2408
ko:K00116	sug:SAPIG2418
ko:K03303	sug:SAPIG2419
ko:K11102	sug:SAPIG2437
ko:K07696	sug:SAPIG2444
ko:K00373	sug:SAPIG2448
ko:K00371	sug:SAPIG2449
ko:K00370	sug:SAPIG2450
ko:K02445	sug:SAPIG0417
ko:K00299	sug:SAPIG0420
ko:K03817	sug:SAPIG0423
ko:K07224	sug:SAPIG0424
ko:K07243	sug:SAPIG0426
ko:K03116	sug:SAPIG0427
ko:K00549	sug:SAPIG0436
ko:K06942	sug:SAPIG0443
ko:K02990	sug:SAPIG0445
ko:K02963	sug:SAPIG0447
ko:K03387	sug:SAPIG0457
ko:K06956	sug:SAPIG0461
ko:K03816	sug:SAPIG0465
ko:K09769	sug:SAPIG1290
ko:K00174	sug:SAPIG1291
ko:K00175	sug:SAPIG1292
ko:K06168	sug:SAPIG1295
ko:K03555	sug:SAPIG1298
ko:K03572	sug:SAPIG1299
ko:K02440	sug:SAPIG1301
ko:K00864	sug:SAPIG1302
ko:K00111	sug:SAPIG1303
ko:K00791	sug:SAPIG1305
ko:K03666	sug:SAPIG1306
ko:K00432	sug:SAPIG1307
ko:K03665	sug:SAPIG1308
ko:K01915	sug:SAPIG1311
ko:K01620	sug:SAPIG1322
ko:K06131	sug:SAPIG1324
ko:K00928	sug:SAPIG1329
ko:K00003	sug:SAPIG1330
ko:K01733	sug:SAPIG1331
ko:K00872	sug:SAPIG1332
ko:K03781	sug:SAPIG1336
ko:K02913	sug:SAPIG1337
ko:K02954	sug:SAPIG1338
ko:K00364	sug:SAPIG1339
ko:K01356	sug:SAPIG1341
ko:K00615	sug:SAPIG1344
ko:K02372	sug:SAPIG2141
ko:K00790	sug:SAPIG2142
ko:K02114	sug:SAPIG2144
ko:K02112	sug:SAPIG2145
ko:K02115	sug:SAPIG2146
ko:K02111	sug:SAPIG2147
ko:K02113	sug:SAPIG2148
ko:K02109	sug:SAPIG2149
ko:K02110	sug:SAPIG2150
ko:K02108	sug:SAPIG2151
