ko:K16238	kpj:N559_4105
ko:K08305	kpj:N559_1201
ko:K02074	kpj:N559_1202
ko:K02075	kpj:N559_1203
ko:K02077	kpj:N559_1204
ko:K03743	kpj:N559_1205
ko:K07283	kpj:N559_2100
ko:K06078	kpj:N559_2154
ko:K16370	kpj:N559_2099
ko:K00065	kpj:N559_3040
ko:K03478	kpj:N559_3045
ko:K01222	kpj:N559_3046
ko:K01916	kpj:N559_3053
ko:K01424	kpj:N559_3081
ko:K00939	kpj:N559_3945
ko:K04067	kpj:N559_3952
ko:K15770	kpj:N559_3977
ko:K09022	kpj:N559_4885
ko:K00068	kpj:N559_4894
ko:K00548	kpj:N559_4902
ko:K13641	kpj:N559_4903
ko:K07709	kpj:N559_4912
ko:K01664	kpj:N559_0408
ko:K10914	kpj:N559_0411
ko:K09898	kpj:N559_0414
ko:K07019	kpj:N559_0415
ko:K02506	kpj:N559_0432
ko:K02200	kpj:N559_2217
ko:K02050	kpj:N559_2245
ko:K02049	kpj:N559_2246
ko:K02051	kpj:N559_2247
ko:K01470	kpj:N559_2248
ko:K02051	kpj:N559_2253
ko:K02033	kpj:N559_2268
ko:K02035	kpj:N559_2269
ko:K01759	kpj:N559_2271
ko:K07660	kpj:N559_3159
ko:K01258	kpj:N559_3162
ko:K11072	kpj:N559_3163
ko:K11071	kpj:N559_3164
ko:K11069	kpj:N559_3166
ko:K02014	kpj:N559_3180
ko:K02778	kpj:N559_3189
ko:K02779	kpj:N559_3189
ko:K02619	kpj:N559_3194
ko:K00059	kpj:N559_3197
ko:K06179	kpj:N559_3204
ko:K07657	kpj:N559_4072
ko:K01077	kpj:N559_4085
ko:K08161	kpj:N559_4087
ko:K10831	kpj:N559_4100
ko:K00547	kpj:N559_4102
ko:K02030	kpj:N559_4115
ko:K02028	kpj:N559_4116
ko:K01719	kpj:N559_4986
ko:K02852	kpj:N559_4990
ko:K02851	kpj:N559_5001
ko:K02798	kpj:N559_0206
ko:K02799	kpj:N559_0206
ko:K02800	kpj:N559_0206
ko:K01176	kpj:N559_0214
ko:K03796	kpj:N559_0215
ko:K00854	kpj:N559_0221
ko:K00090	kpj:N559_0235
ko:K04765	kpj:N559_1105
ko:K00380	kpj:N559_1113
ko:K03087	kpj:N559_1131
ko:K11607	kpj:N559_1155
ko:K11604	kpj:N559_1156
ko:K07232	kpj:N559_2050
ko:K06039	kpj:N559_2052
ko:K15577	kpj:N559_2056
ko:K15578	kpj:N559_2057
ko:K00374	kpj:N559_2070
ko:K15582	kpj:N559_2086
ko:K15583	kpj:N559_2087
ko:K10823	kpj:N559_2088
ko:K08992	kpj:N559_3000
ko:K04774	kpj:N559_3008
ko:K14761	kpj:N559_3916
ko:K03768	kpj:N559_3918
ko:K02004	kpj:N559_3926
ko:K11751	kpj:N559_3939
ko:K03455	kpj:N559_3942
ko:K10439	kpj:N559_4807
ko:K07126	kpj:N559_4815
ko:K03316	kpj:N559_4830
ko:K00799	kpj:N559_4832
ko:K01092	kpj:N559_4843
ko:K02010	kpj:N559_2205
ko:K02193	kpj:N559_2210
ko:K07305	kpj:N559_3094
ko:K01424	kpj:N559_3129
ko:K03386	kpj:N559_4056
ko:K02821	kpj:N559_4058
ko:K02822	kpj:N559_4059
ko:K03475	kpj:N559_4060
ko:K03148	kpj:N559_4923
ko:K07792	kpj:N559_4931
ko:K05815	kpj:N559_0343
ko:K05816	kpj:N559_0344
ko:K03825	kpj:N559_0348
ko:K00867	kpj:N559_4941
ko:K00230	kpj:N559_4944
ko:K03498	kpj:N559_4945
ko:K00851	kpj:N559_0353
ko:K01048	kpj:N559_4968
ko:K00700	kpj:N559_0356
ko:K02441	kpj:N559_0364
ko:K03647	kpj:N559_1228
ko:K02030	kpj:N559_1260
ko:K05712	kpj:N559_2167
ko:K05713	kpj:N559_2168
ko:K04073	kpj:N559_2172
ko:K04091	kpj:N559_2179
ko:K02051	kpj:N559_2182
ko:K02050	kpj:N559_2183
ko:K02049	kpj:N559_2184
ko:K02014	kpj:N559_2185
ko:K02030	kpj:N559_2191
ko:K02028	kpj:N559_2193
ko:K03499	kpj:N559_0462
ko:K03747	kpj:N559_0467
ko:K05812	kpj:N559_1347
ko:K15460	kpj:N559_1353
ko:K03803	kpj:N559_1358
ko:K03613	kpj:N559_2318
ko:K03612	kpj:N559_2319
ko:K00799	kpj:N559_2313
ko:K03614	kpj:N559_2320
ko:K03615	kpj:N559_2321
ko:K03616	kpj:N559_2322
ko:K03617	kpj:N559_2323
ko:K01488	kpj:N559_2328
ko:K03810	kpj:N559_3209
ko:K08161	kpj:N559_3222
ko:K04477	kpj:N559_3232
ko:K03317	kpj:N559_3242
ko:K09020	kpj:N559_3249
ko:K02443	kpj:N559_4155
ko:K00058	kpj:N559_4158
ko:K02775	kpj:N559_4159
ko:K00135	kpj:N559_4165
ko:K07250	kpj:N559_4166
ko:K00769	kpj:N559_4171
ko:K01270	kpj:N559_4172
ko:K03830	kpj:N559_4173
ko:K08314	kpj:N559_5037
ko:K01607	kpj:N559_5042
ko:K05499	kpj:N559_5050
ko:K13283	kpj:N559_5057
ko:K07640	kpj:N559_5060
ko:K02855	kpj:N559_5065
ko:K01813	kpj:N559_5067
ko:K01629	kpj:N559_5068
ko:K01250	kpj:N559_2377
ko:K11070	kpj:N559_3165
ko:K06075	kpj:N559_2305
ko:K00483	kpj:N559_4516
ko:K19611	kpj:N559_4849
ko:K01897	kpj:N559_1942
ko:K00265	kpj:N559_0540
ko:K00040	kpj:N559_2736
ko:K00951	kpj:N559_1104
ko:K03559	kpj:N559_0756
ko:K01190	kpj:N559_2711
ko:K15555	kpj:N559_3312
ko:K14233	kpj:N559_t039
ko:K14233	kpj:N559_t040
ko:K14233	kpj:N559_t041
ko:K14232	kpj:N559_t025
ko:K14219	kpj:N559_t024
ko:K14224	kpj:N559_t017
ko:K14224	kpj:N559_t083
ko:K14224	kpj:N559_t062
ko:K14224	kpj:N559_t068
ko:K14233	kpj:N559_t012
ko:K14225	kpj:N559_t008
ko:K01977	kpj:N559_r001
ko:K01977	kpj:N559_r013
ko:K01977	kpj:N559_r010
ko:K01977	kpj:N559_r025
ko:K01977	kpj:N559_r022
ko:K01977	kpj:N559_r019
ko:K01977	kpj:N559_r005
ko:K01977	kpj:N559_r016
ko:K01980	kpj:N559_r002
ko:K01985	kpj:N559_r003
ko:K01985	kpj:N559_r007
ko:K01985	kpj:N559_r020
ko:K01985	kpj:N559_r014
ko:K01985	kpj:N559_r023
ko:K01985	kpj:N559_r008
ko:K01985	kpj:N559_r017
ko:K01985	kpj:N559_r011
ko:K01985	kpj:N559_r004
ko:K14233	kpj:N559_t030
ko:K14230	kpj:N559_t053
ko:K01980	kpj:N559_r009
ko:K01980	kpj:N559_r024
ko:K01980	kpj:N559_r006
ko:K14219	kpj:N559_t078
ko:K14238	kpj:N559_t001
ko:K01980	kpj:N559_r021
ko:K01222	kpj:N559_0129
ko:K05350	kpj:N559_0988
ko:K13637	kpj:N559_0989
ko:K04720	kpj:N559_1015
ko:K13921	kpj:N559_1022
ko:K13923	kpj:N559_1027
ko:K11392	kpj:N559_1912
ko:K02795	kpj:N559_1930
ko:K02793	kpj:N559_1931
ko:K02794	kpj:N559_1931
ko:K11105	kpj:N559_1959
ko:K01297	kpj:N559_1960
ko:K02014	kpj:N559_1962
ko:K14062	kpj:N559_2878
ko:K14061	kpj:N559_2880
ko:K08969	kpj:N559_2895
ko:K02795	kpj:N559_3777
ko:K02014	kpj:N559_3802
ko:K09471	kpj:N559_3805
ko:K03077	kpj:N559_4703
ko:K03079	kpj:N559_4704
ko:K02821	kpj:N559_4706
ko:K02822	kpj:N559_4707
ko:K03475	kpj:N559_4708
ko:K03476	kpj:N559_4709
ko:K00244	kpj:N559_4740
ko:K00245	kpj:N559_4741
ko:K00247	kpj:N559_4743
ko:K03784	kpj:N559_4450
ko:K00758	kpj:N559_4452
ko:K01619	kpj:N559_4453
ko:K03317	kpj:N559_4454
ko:K00564	kpj:N559_4462
ko:K14229	kpj:N559_t018
ko:K14229	kpj:N559_t043
ko:K14229	kpj:N559_t048
ko:K14229	kpj:N559_t042
ko:K14229	kpj:N559_t044
ko:K14229	kpj:N559_t046
ko:K14220	kpj:N559_t026
ko:K14220	kpj:N559_t027
ko:K14220	kpj:N559_t029
ko:K14220	kpj:N559_t028
ko:K14218	kpj:N559_t022
ko:K14218	kpj:N559_t023
ko:K14219	kpj:N559_t013
ko:K14219	kpj:N559_t014
ko:K14219	kpj:N559_t016
ko:K14219	kpj:N559_t015
ko:K14237	kpj:N559_t036
ko:K14219	kpj:N559_t052
ko:K01980	kpj:N559_r012
ko:K01980	kpj:N559_r015
ko:K01980	kpj:N559_r018
ko:K14234	kpj:N559_t055
ko:K14223	kpj:N559_t051
ko:K14223	kpj:N559_t050
ko:K02030	kpj:N559_2462
ko:K02427	kpj:N559_0578
ko:K03177	kpj:N559_0592
ko:K12961	kpj:N559_0610
ko:K02436	kpj:N559_0615
ko:K00094	kpj:N559_0616
ko:K02775	kpj:N559_0617
ko:K11189	kpj:N559_0621
ko:K16370	kpj:N559_0623
ko:K00845	kpj:N559_1513
ko:K01782	kpj:N559_1528
ko:K00647	kpj:N559_1538
ko:K04063	kpj:N559_2460
ko:K06221	kpj:N559_0749
ko:K01760	kpj:N559_0753
ko:K11209	kpj:N559_0762
ko:K03593	kpj:N559_1699
ko:K00854	kpj:N559_1717
ko:K02035	kpj:N559_1721
ko:K02033	kpj:N559_1722
ko:K16839	kpj:N559_2645
ko:K00598	kpj:N559_2663
ko:K01607	kpj:N559_2664
ko:K00016	kpj:N559_2678
ko:K03307	kpj:N559_2685
ko:K07404	kpj:N559_3556
ko:K02017	kpj:N559_3558
ko:K01784	kpj:N559_3565
ko:K01785	kpj:N559_3568
ko:K01834	kpj:N559_3569
ko:K03560	kpj:N559_3581
ko:K00241	kpj:N559_3597
ko:K05522	kpj:N559_3599
ko:K01002	kpj:N559_4480
ko:K03307	kpj:N559_4498
ko:K01826	kpj:N559_4511
ko:K02510	kpj:N559_4513
ko:K00484	kpj:N559_4517
ko:K17686	kpj:N559_3936
ko:K05989	kpj:N559_2468
ko:K10000	kpj:N559_3383
ko:K09998	kpj:N559_3386
ko:K05844	kpj:N559_3397
ko:K03574	kpj:N559_4326
ko:K07214	kpj:N559_0022
ko:K00389	kpj:N559_0057
ko:K13636	kpj:N559_0062
ko:K07784	kpj:N559_0072
ko:K01607	kpj:N559_0923
ko:K09702	kpj:N559_0928
ko:K07346	kpj:N559_0946
ko:K00626	kpj:N559_0968
ko:K03289	kpj:N559_0837
ko:K02428	kpj:N559_0845
ko:K01585	kpj:N559_0861
ko:K07660	kpj:N559_1737
ko:K00033	kpj:N559_1763
ko:K07258	kpj:N559_1789
ko:K05595	kpj:N559_2691
ko:K03299	kpj:N559_2721
ko:K00657	kpj:N559_2740
ko:K07312	kpj:N559_2747
ko:K01835	kpj:N559_3618
ko:K03711	kpj:N559_3623
ko:K02564	kpj:N559_3629
ko:K02566	kpj:N559_3632
ko:K07258	kpj:N559_3658
ko:K00135	kpj:N559_4525
ko:K02056	kpj:N559_4545
ko:K07665	kpj:N559_4558
ko:K01730	kpj:N559_0970
ko:K00065	kpj:N559_0971
ko:K02100	kpj:N559_0972
ko:K06201	kpj:N559_1873
ko:K09815	kpj:N559_1887
ko:K01679	kpj:N559_2812
ko:K01692	kpj:N559_2857
ko:K07214	kpj:N559_3723
ko:K02035	kpj:N559_3745
ko:K02033	kpj:N559_3746
ko:K02028	kpj:N559_3752
ko:K02030	kpj:N559_3755
ko:K02793	kpj:N559_3775
ko:K09022	kpj:N559_4641
ko:K01226	kpj:N559_4645
ko:K01222	kpj:N559_4647
ko:K01507	kpj:N559_4678
ko:K07304	kpj:N559_4684
ko:K01082	kpj:N559_4688
ko:K01119	kpj:N559_4689
ko:K01708	kpj:N559_0628
ko:K01630	kpj:N559_0631
ko:K07393	kpj:N559_0641
ko:K00219	kpj:N559_0661
ko:K11530	kpj:N559_0669
ko:K09251	kpj:N559_0670
ko:K00784	kpj:N559_1587
ko:K02348	kpj:N559_1588
ko:K02552	kpj:N559_1589
ko:K02549	kpj:N559_1594
ko:K02030	kpj:N559_2536
ko:K02028	kpj:N559_2539
ko:K02371	kpj:N559_2542
ko:K08178	kpj:N559_2547
ko:K02822	kpj:N559_2555
ko:K03475	kpj:N559_2556
ko:K01439	kpj:N559_2567
ko:K07048	kpj:N559_2569
ko:K07258	kpj:N559_3458
ko:K07757	kpj:N559_3475
ko:K03492	kpj:N559_3483
ko:K02099	kpj:N559_4367
ko:K00853	kpj:N559_4369
ko:K06177	kpj:N559_4373
ko:K01525	kpj:N559_4384
ko:K05966	kpj:N559_4394
ko:K01572	kpj:N559_4403
ko:K07665	kpj:N559_5288
ko:K07665	kpj:N559_5301
ko:K01092	kpj:N559_1390
ko:K04488	kpj:N559_1394
ko:K13628	kpj:N559_1395
ko:K01011	kpj:N559_1403
ko:K00088	kpj:N559_1418
ko:K02824	kpj:N559_1433
ko:K03548	kpj:N559_1439
ko:K07054	kpj:N559_1445
ko:K01439	kpj:N559_1449
ko:K00121	kpj:N559_2335
ko:K03929	kpj:N559_2341
ko:K00055	kpj:N559_2342
ko:K02055	kpj:N559_2361
ko:K02052	kpj:N559_2362
ko:K02014	kpj:N559_2380
ko:K02030	kpj:N559_2390
ko:K09471	kpj:N559_3270
ko:K03451	kpj:N559_3273
ko:K00135	kpj:N559_3275
ko:K11179	kpj:N559_3282
ko:K06910	kpj:N559_3285
ko:K07343	kpj:N559_3293
ko:K03286	kpj:N559_3296
ko:K04091	kpj:N559_3310
ko:K06445	kpj:N559_4186
ko:K02342	kpj:N559_4190
ko:K03469	kpj:N559_4191
ko:K08234	kpj:N559_4213
ko:K02821	kpj:N559_5082
ko:K03475	kpj:N559_5085
ko:K02822	kpj:N559_5086
ko:K00124	kpj:N559_5092
ko:K00127	kpj:N559_5093
ko:K00852	kpj:N559_5121
ko:K10439	kpj:N559_5122
ko:K10440	kpj:N559_5123
ko:K03718	kpj:N559_5130
ko:K02116	kpj:N559_0003
ko:K01480	kpj:N559_0862
ko:K03442	kpj:N559_0884
ko:K00058	kpj:N559_0890
ko:K01934	kpj:N559_0891
ko:K01262	kpj:N559_0894
ko:K08344	kpj:N559_0903
ko:K04763	kpj:N559_0913
ko:K01823	kpj:N559_0918
ko:K12943	kpj:N559_0920
ko:K03316	kpj:N559_1821
ko:K01176	kpj:N559_1840
ko:K00244	kpj:N559_2777
ko:K01607	kpj:N559_2782
ko:K12942	kpj:N559_2793
ko:K00567	kpj:N559_2795
ko:K03326	kpj:N559_3669
ko:K03386	kpj:N559_3674
ko:K10439	kpj:N559_3684
ko:K10440	kpj:N559_3686
ko:K10440	kpj:N559_3687
ko:K00058	kpj:N559_3689
ko:K08964	kpj:N559_3691
ko:K01092	kpj:N559_3696
ko:K02056	kpj:N559_3704
ko:K17686	kpj:N559_5295
ko:K01788	kpj:N559_0537
ko:K02806	kpj:N559_0553
ko:K02067	kpj:N559_0564
ko:K00616	kpj:N559_1456
ko:K08483	kpj:N559_1492
ko:K02784	kpj:N559_1493
ko:K01885	kpj:N559_1503
ko:K02028	kpj:N559_2393
ko:K02030	kpj:N559_2394
ko:K02855	kpj:N559_2401
ko:K00374	kpj:N559_2407
ko:K08167	kpj:N559_2413
ko:K08350	kpj:N559_2427
ko:K02033	kpj:N559_2435
ko:K02035	kpj:N559_2436
ko:K13953	kpj:N559_2437
ko:K01507	kpj:N559_2438
ko:K00027	kpj:N559_2443
ko:K09476	kpj:N559_3321
ko:K00813	kpj:N559_3322
ko:K11085	kpj:N559_3337
ko:K02238	kpj:N559_3338
ko:K06212	kpj:N559_3346
ko:K07308	kpj:N559_3351
ko:K07307	kpj:N559_3352
ko:K16013	kpj:N559_3361
ko:K16012	kpj:N559_3362
ko:K00674	kpj:N559_4235
ko:K01243	kpj:N559_4240
ko:K06858	kpj:N559_4241
ko:K02014	kpj:N559_4251
ko:K02454	kpj:N559_4260
ko:K02463	kpj:N559_4269
ko:K00970	kpj:N559_4276
ko:K01992	kpj:N559_4283
ko:K01990	kpj:N559_4284
ko:K02033	kpj:N559_5146
ko:K02035	kpj:N559_5147
ko:K03649	kpj:N559_0699
ko:K01409	kpj:N559_0703
ko:K00974	kpj:N559_0718
ko:K09806	kpj:N559_0725
ko:K02858	kpj:N559_0726
ko:K01515	kpj:N559_0732
ko:K07666	kpj:N559_0740
ko:K06183	kpj:N559_1637
ko:K00882	kpj:N559_1654
ko:K10540	kpj:N559_1668
ko:K10541	kpj:N559_1670
ko:K03748	kpj:N559_1671
ko:K01489	kpj:N559_1672
ko:K03488	kpj:N559_1677
ko:K02755	kpj:N559_1678
ko:K02756	kpj:N559_1678
ko:K02757	kpj:N559_1678
ko:K10439	kpj:N559_2574
ko:K00852	kpj:N559_2575
ko:K06971	kpj:N559_2576
ko:K08478	kpj:N559_2584
ko:K08475	kpj:N559_2585
ko:K08476	kpj:N559_2586
ko:K06889	kpj:N559_2597
ko:K03436	kpj:N559_2600
ko:K01619	kpj:N559_2602
ko:K01759	kpj:N559_2607
ko:K01026	kpj:N559_2609
ko:K00059	kpj:N559_2610
ko:K00626	kpj:N559_2611
ko:K07017	kpj:N559_2629
ko:K06970	kpj:N559_3497
ko:K07027	kpj:N559_3520
ko:K03635	kpj:N559_3522
ko:K00652	kpj:N559_3535
ko:K06910	kpj:N559_3538
ko:K01479	kpj:N559_3543
ko:K07034	kpj:N559_4421
ko:K00616	kpj:N559_4424
ko:K02533	kpj:N559_4432
ko:K07186	kpj:N559_4448
ko:K08225	kpj:N559_3718
ko:K05815	kpj:N559_4607
ko:K00010	kpj:N559_4614
ko:K05816	kpj:N559_4609
ko:K07150	kpj:N559_0835
ko:K01581	kpj:N559_0836
ko:K08306	kpj:N559_0838
ko:K03575	kpj:N559_0840
ko:K03439	kpj:N559_0841
ko:K09923	kpj:N559_0842
ko:K02221	kpj:N559_0847
ko:K06997	kpj:N559_0848
ko:K02669	kpj:N559_0849
ko:K07447	kpj:N559_0852
ko:K07735	kpj:N559_0853
ko:K01920	kpj:N559_0854
ko:K09761	kpj:N559_0855
ko:K01150	kpj:N559_0856
ko:K02742	kpj:N559_0857
ko:K08137	kpj:N559_0858
ko:K00789	kpj:N559_0859
ko:K01247	kpj:N559_1740
ko:K00876	kpj:N559_1741
ko:K01494	kpj:N559_1742
ko:K00963	kpj:N559_1747
ko:K01991	kpj:N559_1751
ko:K16692	kpj:N559_1752
ko:K00012	kpj:N559_1764
ko:K08679	kpj:N559_1766
ko:K11755	kpj:N559_1775
ko:K02500	kpj:N559_1776
ko:K01814	kpj:N559_1777
ko:K02501	kpj:N559_1778
ko:K01089	kpj:N559_1779
ko:K00817	kpj:N559_1780
ko:K00013	kpj:N559_1781
ko:K16053	kpj:N559_3785
ko:K11732	kpj:N559_3801
ko:K06995	kpj:N559_3806
ko:K06871	kpj:N559_3812
ko:K10013	kpj:N559_3817
ko:K02016	kpj:N559_3824
ko:K02015	kpj:N559_3825
ko:K02013	kpj:N559_3826
ko:K00847	kpj:N559_3831
ko:K16077	kpj:N559_3832
ko:K11737	kpj:N559_4695
ko:K03773	kpj:N559_4696
ko:K07269	kpj:N559_4697
ko:K02939	kpj:N559_4698
ko:K02963	kpj:N559_4699
ko:K02990	kpj:N559_4700
ko:K03078	kpj:N559_4705
ko:K03477	kpj:N559_4710
ko:K09456	kpj:N559_4714
ko:K03218	kpj:N559_4715
ko:K12573	kpj:N559_4716
ko:K13771	kpj:N559_4717
ko:K01939	kpj:N559_4718
ko:K09937	kpj:N559_4719
ko:K04087	kpj:N559_4722
ko:K04088	kpj:N559_4723
ko:K03665	kpj:N559_4724
ko:K03666	kpj:N559_4725
ko:K00791	kpj:N559_4726
ko:K03572	kpj:N559_4727
ko:K01448	kpj:N559_4728
ko:K06925	kpj:N559_4729
ko:K09996	kpj:N559_4733
ko:K13288	kpj:N559_4734
ko:K06949	kpj:N559_4735
ko:K01613	kpj:N559_4736
ko:K04568	kpj:N559_4739
ko:K00246	kpj:N559_4742
ko:K03098	kpj:N559_4744
ko:K16347	kpj:N559_4746
ko:K02356	kpj:N559_4747
ko:K00765	kpj:N559_1782
ko:K02355	kpj:N559_1787
ko:K01141	kpj:N559_1788
ko:K07470	kpj:N559_1791
ko:K09802	kpj:N559_1793
ko:K02233	kpj:N559_1794
ko:K00768	kpj:N559_1795
ko:K01251	kpj:N559_1796
ko:K07168	kpj:N559_1797
ko:K08159	kpj:N559_2690
ko:K03712	kpj:N559_2693
ko:K13632	kpj:N559_2694
ko:K13630	kpj:N559_2695
ko:K15268	kpj:N559_2696
ko:K11963	kpj:N559_2699
ko:K11962	kpj:N559_2700
ko:K11961	kpj:N559_2701
ko:K11960	kpj:N559_2702
ko:K11959	kpj:N559_2703
ko:K00549	kpj:N559_2704
ko:K13633	kpj:N559_2706
ko:K02532	kpj:N559_2712
ko:K04080	kpj:N559_2726
ko:K01284	kpj:N559_2732
ko:K16066	kpj:N559_2733
ko:K11932	kpj:N559_2735
ko:K09771	kpj:N559_2738
ko:K07160	kpj:N559_3603
ko:K03305	kpj:N559_3607
ko:K01546	kpj:N559_3611
ko:K01547	kpj:N559_3612
ko:K01548	kpj:N559_3613
ko:K07667	kpj:N559_3616
ko:K03645	kpj:N559_3619
ko:K03839	kpj:N559_3622
ko:K01886	kpj:N559_3627
ko:K02802	kpj:N559_3628
ko:K02803	kpj:N559_3628
ko:K02804	kpj:N559_3628
ko:K01443	kpj:N559_3630
ko:K02565	kpj:N559_3631
ko:K01953	kpj:N559_3633
ko:K03184	kpj:N559_3634
ko:K06168	kpj:N559_3635
ko:K07042	kpj:N559_3637
ko:K06189	kpj:N559_3638
ko:K03820	kpj:N559_3639
ko:K10001	kpj:N559_3640
ko:K10003	kpj:N559_3641
ko:K10002	kpj:N559_3642
ko:K10004	kpj:N559_3643
ko:K01869	kpj:N559_3648
ko:K03643	kpj:N559_3649
ko:K02340	kpj:N559_3650
ko:K00969	kpj:N559_3651
ko:K09710	kpj:N559_3653
ko:K00783	kpj:N559_3654
ko:K05515	kpj:N559_3655
ko:K05837	kpj:N559_3656
ko:K03642	kpj:N559_3657
ko:K09158	kpj:N559_3659
ko:K03801	kpj:N559_3660
ko:K00355	kpj:N559_4542
ko:K02057	kpj:N559_4543
ko:K02057	kpj:N559_4544
ko:K01867	kpj:N559_4547
ko:K13926	kpj:N559_4550
ko:K07644	kpj:N559_4557
ko:K07798	kpj:N559_4562
ko:K07787	kpj:N559_4563
ko:K03098	kpj:N559_4565
ko:K00574	kpj:N559_4572
ko:K12299	kpj:N559_0630
ko:K00865	kpj:N559_0633
ko:K06911	kpj:N559_0638
ko:K15977	kpj:N559_0642
ko:K08191	kpj:N559_0650
ko:K01812	kpj:N559_0651
ko:K01685	kpj:N559_0652
ko:K07862	kpj:N559_0654
ko:K11391	kpj:N559_0660
ko:K11216	kpj:N559_0662
ko:K11531	kpj:N559_0663
ko:K10558	kpj:N559_0664
ko:K10556	kpj:N559_0665
ko:K10557	kpj:N559_0666
ko:K10555	kpj:N559_0667
ko:K08321	kpj:N559_0668
ko:K07229	kpj:N559_0673
ko:K05881	kpj:N559_0677
ko:K05878	kpj:N559_0679
ko:K00005	kpj:N559_0681
ko:K05880	kpj:N559_0682
ko:K07589	kpj:N559_1560
ko:K07095	kpj:N559_1563
ko:K13788	kpj:N559_1565
ko:K00925	kpj:N559_1566
ko:K09161	kpj:N559_1568
ko:K14260	kpj:N559_1572
ko:K00330	kpj:N559_1574
ko:K00331	kpj:N559_1575
ko:K13378	kpj:N559_1576
ko:K00334	kpj:N559_1577
ko:K00337	kpj:N559_1580
ko:K00338	kpj:N559_1581
ko:K00339	kpj:N559_1582
ko:K00340	kpj:N559_1583
ko:K00341	kpj:N559_1584
ko:K00342	kpj:N559_1585
ko:K00343	kpj:N559_1586
ko:K01661	kpj:N559_1593
ko:K01911	kpj:N559_1595
ko:K12661	kpj:N559_1602
ko:K12660	kpj:N559_1604
ko:K00113	kpj:N559_1605
ko:K00112	kpj:N559_1606
ko:K00111	kpj:N559_1607
ko:K02445	kpj:N559_1608
ko:K01126	kpj:N559_1609
ko:K11107	kpj:N559_1610
ko:K02469	kpj:N559_1614
ko:K07677	kpj:N559_1615
ko:K07687	kpj:N559_1616
ko:K07676	kpj:N559_1617
ko:K09475	kpj:N559_1618
ko:K03734	kpj:N559_1619
ko:K10778	kpj:N559_1620
ko:K03919	kpj:N559_1621
ko:K01951	kpj:N559_2519
ko:K09458	kpj:N559_2523
ko:K03543	kpj:N559_2525
ko:K00133	kpj:N559_2528
ko:K02029	kpj:N559_2537
ko:K02029	kpj:N559_2538
ko:K02083	kpj:N559_2541
ko:K17195	kpj:N559_2557
ko:K02057	kpj:N559_2570
ko:K02529	kpj:N559_2572
ko:K08160	kpj:N559_3455
ko:K11534	kpj:N559_3457
