ko:K19743	zmi:ZCP4_1234
ko:K03076	zmi:ZCP4_0744
ko:K02876	zmi:ZCP4_0745
ko:K02907	zmi:ZCP4_0746
ko:K02988	zmi:ZCP4_0747
ko:K02881	zmi:ZCP4_0748
ko:K02933	zmi:ZCP4_0749
ko:K02994	zmi:ZCP4_0750
ko:K02954	zmi:ZCP4_0751
ko:K02931	zmi:ZCP4_0752
ko:K02895	zmi:ZCP4_0753
ko:K02874	zmi:ZCP4_0754
ko:K02961	zmi:ZCP4_0755
ko:K02904	zmi:ZCP4_0756
ko:K02878	zmi:ZCP4_0757
ko:K02982	zmi:ZCP4_0758
ko:K02890	zmi:ZCP4_0759
ko:K02965	zmi:ZCP4_0760
ko:K02886	zmi:ZCP4_0761
ko:K02892	zmi:ZCP4_0762
ko:K02926	zmi:ZCP4_0763
ko:K02906	zmi:ZCP4_0764
ko:K02946	zmi:ZCP4_0765
ko:K02358	zmi:ZCP4_0766
ko:K02355	zmi:ZCP4_0767
ko:K02992	zmi:ZCP4_0768
ko:K02950	zmi:ZCP4_0769
ko:K00382	zmi:ZCP4_0771
ko:K10806	zmi:ZCP4_0772
ko:K00627	zmi:ZCP4_0773
ko:K15034	zmi:ZCP4_0777
ko:K06177	zmi:ZCP4_0778
ko:K00721	zmi:ZCP4_0779
ko:K04042	zmi:ZCP4_0784
ko:K01091	zmi:ZCP4_0785
ko:K07278	zmi:ZCP4_0786
ko:K09800	zmi:ZCP4_0787
ko:K07552	zmi:ZCP4_0788
ko:K01915	zmi:ZCP4_0789
ko:K00027	zmi:ZCP4_1252
ko:K04077	zmi:ZCP4_1253
ko:K04078	zmi:ZCP4_1254
ko:K04773	zmi:ZCP4_1255
ko:K08303	zmi:ZCP4_1256
ko:K07265	zmi:ZCP4_1259
ko:K04066	zmi:ZCP4_1260
ko:K00833	zmi:ZCP4_1263
ko:K00652	zmi:ZCP4_1264
ko:K02170	zmi:ZCP4_1265
ko:K03733	zmi:ZCP4_1267
ko:K01920	zmi:ZCP4_1268
ko:K06942	zmi:ZCP4_1269
ko:K01056	zmi:ZCP4_1270
ko:K02897	zmi:ZCP4_1271
ko:K03555	zmi:ZCP4_1274
ko:K02520	zmi:ZCP4_1275
ko:K00057	zmi:ZCP4_1277
ko:K01409	zmi:ZCP4_1278
ko:K01749	zmi:ZCP4_1279
ko:K01719	zmi:ZCP4_1280
ko:K02911	zmi:ZCP4_1282
ko:K03621	zmi:ZCP4_1283
ko:K00648	zmi:ZCP4_1284
ko:K03210	zmi:ZCP4_1286
ko:K03072	zmi:ZCP4_1287
ko:K03074	zmi:ZCP4_1288
ko:K01733	zmi:ZCP4_1291
ko:K06969	zmi:ZCP4_1293
ko:K07120	zmi:ZCP4_1296
ko:K09765	zmi:ZCP4_1298
ko:K12972	zmi:ZCP4_1299
ko:K07120	zmi:ZCP4_1300
ko:K01698	zmi:ZCP4_1303
ko:K01873	zmi:ZCP4_1304
ko:K09991	zmi:ZCP4_1306
ko:K02197	zmi:ZCP4_0081
ko:K02198	zmi:ZCP4_0082
ko:K02199	zmi:ZCP4_0083
ko:K02200	zmi:ZCP4_0084
ko:K02919	zmi:ZCP4_0089
ko:K01834	zmi:ZCP4_0092
ko:K03778	zmi:ZCP4_0093
ko:K13953	zmi:ZCP4_0094
ko:K09823	zmi:ZCP4_0095
ko:K01662	zmi:ZCP4_0096
ko:K09688	zmi:ZCP4_0099
ko:K01711	zmi:ZCP4_0103
ko:K07462	zmi:ZCP4_0105
ko:K01495	zmi:ZCP4_0106
ko:K02939	zmi:ZCP4_0108
ko:K02963	zmi:ZCP4_0109
ko:K02990	zmi:ZCP4_0110
ko:K00645	zmi:ZCP4_0111
ko:K00059	zmi:ZCP4_0112
ko:K03116	zmi:ZCP4_0114
ko:K03117	zmi:ZCP4_0115
ko:K03118	zmi:ZCP4_0116
ko:K01810	zmi:ZCP4_0122
ko:K00383	zmi:ZCP4_0123
ko:K03549	zmi:ZCP4_0125
ko:K02533	zmi:ZCP4_0131
ko:K07738	zmi:ZCP4_0132
ko:K00600	zmi:ZCP4_0133
ko:K01808	zmi:ZCP4_0134
ko:K00643	zmi:ZCP4_0135
ko:K01776	zmi:ZCP4_0136
ko:K07266	zmi:ZCP4_0953
ko:K01772	zmi:ZCP4_0956
ko:K09939	zmi:ZCP4_0958
ko:K03601	zmi:ZCP4_0959
ko:K01945	zmi:ZCP4_0960
ko:K03699	zmi:ZCP4_0962
ko:K02902	zmi:ZCP4_0964
ko:K13292	zmi:ZCP4_0966
ko:K09807	zmi:ZCP4_0969
ko:K03585	zmi:ZCP4_0972
ko:K03704	zmi:ZCP4_0974
ko:K03684	zmi:ZCP4_0975
ko:K11719	zmi:ZCP4_0976
ko:K09774	zmi:ZCP4_0977
ko:K06861	zmi:ZCP4_0978
ko:K03092	zmi:ZCP4_0979
ko:K00789	zmi:ZCP4_0980
ko:K03820	zmi:ZCP4_0981
ko:K02194	zmi:ZCP4_0991
ko:K02193	zmi:ZCP4_0992
ko:K03777	zmi:ZCP4_0995
ko:K12542	zmi:ZCP4_0996
ko:K12541	zmi:ZCP4_0997
ko:K12543	zmi:ZCP4_0998
ko:K11443	zmi:ZCP4_1001
ko:K02913	zmi:ZCP4_1002
ko:K03667	zmi:ZCP4_1003
ko:K01419	zmi:ZCP4_1004
ko:K03530	zmi:ZCP4_1005
ko:K01465	zmi:ZCP4_1473
ko:K06980	zmi:ZCP4_1474
ko:K01939	zmi:ZCP4_1475
ko:K04751	zmi:ZCP4_0790
ko:K01262	zmi:ZCP4_0791
ko:K01354	zmi:ZCP4_0792
ko:K01644	zmi:ZCP4_0796
ko:K07507	zmi:ZCP4_0799
ko:K00003	zmi:ZCP4_0800
ko:K11532	zmi:ZCP4_0801
ko:K11752	zmi:ZCP4_0807
ko:K00793	zmi:ZCP4_0808
ko:K14652	zmi:ZCP4_0809
ko:K00794	zmi:ZCP4_0810
ko:K01657	zmi:ZCP4_0814
ko:K03770	zmi:ZCP4_0815
ko:K01803	zmi:ZCP4_0816
ko:K03075	zmi:ZCP4_0817
ko:K01937	zmi:ZCP4_0818
ko:K01881	zmi:ZCP4_0819
ko:K09808	zmi:ZCP4_0820
ko:K09810	zmi:ZCP4_0821
ko:K05800	zmi:ZCP4_0822
ko:K01938	zmi:ZCP4_0824
ko:K03977	zmi:ZCP4_0825
ko:K09795	zmi:ZCP4_0833
ko:K06179	zmi:ZCP4_0838
ko:K00942	zmi:ZCP4_0843
ko:K01476	zmi:ZCP4_0844
ko:K07390	zmi:ZCP4_1309
ko:K03517	zmi:ZCP4_1311
ko:K00767	zmi:ZCP4_1312
ko:K01166	zmi:ZCP4_1313
ko:K03524	zmi:ZCP4_1314
ko:K03525	zmi:ZCP4_1315
ko:K12574	zmi:ZCP4_1316
ko:K01951	zmi:ZCP4_1326
ko:K00375	zmi:ZCP4_1327
ko:K01714	zmi:ZCP4_1328
ko:K03839	zmi:ZCP4_1329
ko:K02016	zmi:ZCP4_1332
ko:K02015	zmi:ZCP4_1333
ko:K02013	zmi:ZCP4_1334
ko:K06193	zmi:ZCP4_1335
ko:K03734	zmi:ZCP4_1337
ko:K03803	zmi:ZCP4_1338
ko:K03813	zmi:ZCP4_1341
ko:K02595	zmi:ZCP4_1342
ko:K02594	zmi:ZCP4_1343
ko:K04487	zmi:ZCP4_1344
ko:K15790	zmi:ZCP4_1347
ko:K02596	zmi:ZCP4_1350
ko:K02592	zmi:ZCP4_1351
ko:K02587	zmi:ZCP4_1352
ko:K02591	zmi:ZCP4_1353
ko:K02586	zmi:ZCP4_1354
ko:K02588	zmi:ZCP4_1355
ko:K16090	zmi:ZCP4_1356
ko:K02593	zmi:ZCP4_1358
ko:K02597	zmi:ZCP4_1359
ko:K02585	zmi:ZCP4_1361
ko:K02584	zmi:ZCP4_1362
ko:K02502	zmi:ZCP4_1476
ko:K00058	zmi:ZCP4_1477
ko:K00831	zmi:ZCP4_1478
ko:K01424	zmi:ZCP4_1479
ko:K09758	zmi:ZCP4_1480
ko:K06966	zmi:ZCP4_1483
ko:K04518	zmi:ZCP4_1484
ko:K03575	zmi:ZCP4_1485
ko:K06221	zmi:ZCP4_1488
ko:K06134	zmi:ZCP4_1492
ko:K03797	zmi:ZCP4_1494
ko:K00783	zmi:ZCP4_1496
ko:K09710	zmi:ZCP4_1497
ko:K00969	zmi:ZCP4_1498
ko:K00147	zmi:ZCP4_1499
ko:K03798	zmi:ZCP4_1501
ko:K04075	zmi:ZCP4_1502
ko:K00568	zmi:ZCP4_1506
ko:K00928	zmi:ZCP4_1507
ko:K02371	zmi:ZCP4_1508
ko:K08484	zmi:ZCP4_1509
ko:K01053	zmi:ZCP4_1511
ko:K00950	zmi:ZCP4_1513
ko:K03723	zmi:ZCP4_1515
ko:K03655	zmi:ZCP4_1516
ko:K01866	zmi:ZCP4_1517
ko:K09001	zmi:ZCP4_1518
ko:K01867	zmi:ZCP4_1520
ko:K03980	zmi:ZCP4_1521
ko:K03071	zmi:ZCP4_1522
ko:K08304	zmi:ZCP4_1525
ko:K02313	zmi:ZCP4_0001
ko:K06158	zmi:ZCP4_0002
ko:K06890	zmi:ZCP4_0005
ko:K01061	zmi:ZCP4_0006
ko:K01265	zmi:ZCP4_0008
ko:K01620	zmi:ZCP4_0009
ko:K01256	zmi:ZCP4_0011
ko:K07054	zmi:ZCP4_0014
ko:K06911	zmi:ZCP4_0017
ko:K03809	zmi:ZCP4_0019
ko:K00858	zmi:ZCP4_0022
ko:K03437	zmi:ZCP4_0023
ko:K11189	zmi:ZCP4_0024
ko:K00674	zmi:ZCP4_0845
ko:K07025	zmi:ZCP4_0846
ko:K13628	zmi:ZCP4_0847
ko:K11717	zmi:ZCP4_0849
ko:K09015	zmi:ZCP4_0850
ko:K09013	zmi:ZCP4_0851
ko:K09014	zmi:ZCP4_0852
ko:K00817	zmi:ZCP4_0854
ko:K00220	zmi:ZCP4_0855
ko:K00655	zmi:ZCP4_0856
ko:K09811	zmi:ZCP4_0858
ko:K09812	zmi:ZCP4_0859
ko:K02221	zmi:ZCP4_0861
ko:K05595	zmi:ZCP4_0862
ko:K02622	zmi:ZCP4_0863
ko:K04083	zmi:ZCP4_0864
ko:K13583	zmi:ZCP4_0867
ko:K01992	zmi:ZCP4_0868
ko:K03694	zmi:ZCP4_0869
ko:K01524	zmi:ZCP4_0871
ko:K02427	zmi:ZCP4_0872
ko:K01247	zmi:ZCP4_0894
ko:K01338	zmi:ZCP4_0895
ko:K00692	zmi:ZCP4_0897
ko:K00692	zmi:ZCP4_0898
ko:K02014	zmi:ZCP4_1363
ko:K03617	zmi:ZCP4_1364
ko:K03616	zmi:ZCP4_1365
ko:K03615	zmi:ZCP4_1366
ko:K03614	zmi:ZCP4_1367
ko:K03612	zmi:ZCP4_1368
ko:K03613	zmi:ZCP4_1369
ko:K09801	zmi:ZCP4_1370
ko:K02014	zmi:ZCP4_1371
ko:K00661	zmi:ZCP4_1372
ko:K01091	zmi:ZCP4_1373
ko:K03294	zmi:ZCP4_1374
ko:K05788	zmi:ZCP4_1375
ko:K02945	zmi:ZCP4_1377
ko:K00945	zmi:ZCP4_1378
ko:K00800	zmi:ZCP4_1379
ko:K01687	zmi:ZCP4_1383
ko:K06147	zmi:ZCP4_1385
ko:K08169	zmi:ZCP4_0137
ko:K08591	zmi:ZCP4_0138
ko:K04096	zmi:ZCP4_0139
ko:K03168	zmi:ZCP4_0140
ko:K13038	zmi:ZCP4_0143
ko:K03688	zmi:ZCP4_0144
ko:K03183	zmi:ZCP4_0145
ko:K10563	zmi:ZCP4_0147
ko:K00311	zmi:ZCP4_0150
ko:K00919	zmi:ZCP4_0152
ko:K03215	zmi:ZCP4_0155
ko:K01496	zmi:ZCP4_0156
ko:K07278	zmi:ZCP4_0159
ko:K09800	zmi:ZCP4_0160
ko:K01484	zmi:ZCP4_0161
ko:K01207	zmi:ZCP4_0162
ko:K06978	zmi:ZCP4_0165
ko:K07657	zmi:ZCP4_0168
ko:K02039	zmi:ZCP4_0169
ko:K07636	zmi:ZCP4_0170
ko:K01613	zmi:ZCP4_0171
ko:K17103	zmi:ZCP4_0172
ko:K01779	zmi:ZCP4_0173
ko:K02967	zmi:ZCP4_0175
ko:K02357	zmi:ZCP4_0176
ko:K09903	zmi:ZCP4_0177
ko:K02838	zmi:ZCP4_0178
ko:K00806	zmi:ZCP4_0179
ko:K00981	zmi:ZCP4_0180
ko:K00099	zmi:ZCP4_0181
ko:K11749	zmi:ZCP4_0182
ko:K07277	zmi:ZCP4_0183
ko:K02372	zmi:ZCP4_0185
ko:K02909	zmi:ZCP4_0186
ko:K00384	zmi:ZCP4_0189
ko:K00053	zmi:ZCP4_0190
ko:K01439	zmi:ZCP4_1528
ko:K02014	zmi:ZCP4_1529
ko:K03978	zmi:ZCP4_1533
ko:K03217	zmi:ZCP4_1534
ko:K08998	zmi:ZCP4_1535
ko:K03536	zmi:ZCP4_1536
ko:K07391	zmi:ZCP4_1537
ko:K03086	zmi:ZCP4_1538
ko:K09117	zmi:ZCP4_1541
ko:K01956	zmi:ZCP4_1542
ko:K01955	zmi:ZCP4_1543
ko:K03624	zmi:ZCP4_1544
ko:K07323	zmi:ZCP4_1546
ko:K01689	zmi:ZCP4_1550
ko:K00161	zmi:ZCP4_1552
ko:K00162	zmi:ZCP4_1553
ko:K03469	zmi:ZCP4_1557
ko:K02204	zmi:ZCP4_1558
ko:K01662	zmi:ZCP4_1560
ko:K13954	zmi:ZCP4_1561
ko:K01775	zmi:ZCP4_1563
ko:K02066	zmi:ZCP4_1564
ko:K02065	zmi:ZCP4_1565
ko:K06878	zmi:ZCP4_1566
ko:K07090	zmi:ZCP4_1567
ko:K03701	zmi:ZCP4_1568
ko:K03594	zmi:ZCP4_1570
ko:K03629	zmi:ZCP4_1571
ko:K02470	zmi:ZCP4_1572
ko:K06889	zmi:ZCP4_1581
ko:K09799	zmi:ZCP4_1392
ko:K01256	zmi:ZCP4_1394
ko:K08325	zmi:ZCP4_1399
ko:K01755	zmi:ZCP4_1400
ko:K01586	zmi:ZCP4_1402
ko:K00963	zmi:ZCP4_1403
ko:K16074	zmi:ZCP4_1404
ko:K07460	zmi:ZCP4_1407
ko:K07056	zmi:ZCP4_1408
ko:K05807	zmi:ZCP4_1410
ko:K00851	zmi:ZCP4_1411
ko:K03299	zmi:ZCP4_1412
ko:K00135	zmi:ZCP4_1414
ko:K00528	zmi:ZCP4_1415
ko:K02793	zmi:ZCP4_0025
ko:K06958	zmi:ZCP4_0026
ko:K14980	zmi:ZCP4_0028
ko:K14981	zmi:ZCP4_0029
ko:K00088	zmi:ZCP4_0030
ko:K03500	zmi:ZCP4_0031
ko:K02528	zmi:ZCP4_0037
ko:K00097	zmi:ZCP4_0038
ko:K03771	zmi:ZCP4_0039
ko:K04744	zmi:ZCP4_0040
ko:K01255	zmi:ZCP4_0041
ko:K02339	zmi:ZCP4_0042
ko:K01676	zmi:ZCP4_0043
ko:K06442	zmi:ZCP4_0044
ko:K00286	zmi:ZCP4_0047
ko:K03801	zmi:ZCP4_0048
ko:K07106	zmi:ZCP4_0052
ko:K02529	zmi:ZCP4_0060
ko:K02078	zmi:ZCP4_0061
ko:K09458	zmi:ZCP4_0062
ko:K07082	zmi:ZCP4_0063
ko:K01653	zmi:ZCP4_0191
ko:K01652	zmi:ZCP4_0192
ko:K00791	zmi:ZCP4_0193
ko:K01079	zmi:ZCP4_0194
ko:K00428	zmi:ZCP4_0195
ko:K03592	zmi:ZCP4_0196
ko:K01673	zmi:ZCP4_0198
ko:K03644	zmi:ZCP4_0199
ko:K03743	zmi:ZCP4_0201
ko:K12506	zmi:ZCP4_0203
ko:K05540	zmi:ZCP4_0204
ko:K13598	zmi:ZCP4_0206
ko:K13599	zmi:ZCP4_0207
ko:K04764	zmi:ZCP4_0209
ko:K00799	zmi:ZCP4_0211
ko:K00265	zmi:ZCP4_0212
ko:K00266	zmi:ZCP4_0213
ko:K06153	zmi:ZCP4_0214
ko:K03885	zmi:ZCP4_0217
ko:K06190	zmi:ZCP4_0218
ko:K03449	zmi:ZCP4_0219
ko:K06925	zmi:ZCP4_0225
ko:K03671	zmi:ZCP4_0229
ko:K12573	zmi:ZCP4_0230
ko:K04765	zmi:ZCP4_0231
ko:K06167	zmi:ZCP4_0232
ko:K03424	zmi:ZCP4_0233
ko:K01874	zmi:ZCP4_0234
ko:K02341	zmi:ZCP4_0235
ko:K00943	zmi:ZCP4_0236
ko:K07258	zmi:ZCP4_0237
ko:K03642	zmi:ZCP4_0238
ko:K00694	zmi:ZCP4_0243
ko:K07223	zmi:ZCP4_1586
ko:K00426	zmi:ZCP4_1588
ko:K00425	zmi:ZCP4_1589
ko:K00656	zmi:ZCP4_1590
ko:K04069	zmi:ZCP4_1591
ko:K09771	zmi:ZCP4_1594
ko:K03811	zmi:ZCP4_1595
ko:K08311	zmi:ZCP4_1598
ko:K00764	zmi:ZCP4_1600
ko:K01919	zmi:ZCP4_1601
ko:K09761	zmi:ZCP4_1602
ko:K00946	zmi:ZCP4_1603
ko:K03625	zmi:ZCP4_1604
ko:K00013	zmi:ZCP4_1605
ko:K00765	zmi:ZCP4_1606
ko:K05527	zmi:ZCP4_1607
ko:K06045	zmi:ZCP4_1608
ko:K09883	zmi:ZCP4_1612
ko:K04759	zmi:ZCP4_1614
ko:K04758	zmi:ZCP4_1615
ko:K02337	zmi:ZCP4_1616
ko:K01952	zmi:ZCP4_1619
ko:K01952	zmi:ZCP4_1620
ko:K06041	zmi:ZCP4_1621
ko:K07799	zmi:ZCP4_1622
ko:K07788	zmi:ZCP4_1623
ko:K07789	zmi:ZCP4_1624
ko:K00948	zmi:ZCP4_1630
ko:K02916	zmi:ZCP4_1632
ko:K02887	zmi:ZCP4_1633
ko:K01889	zmi:ZCP4_1634
ko:K01890	zmi:ZCP4_1635
ko:K01754	zmi:ZCP4_0065
ko:K06447	zmi:ZCP4_0067
ko:K02303	zmi:ZCP4_0068
ko:K00652	zmi:ZCP4_0069
ko:K01951	zmi:ZCP4_0072
ko:K15555	zmi:ZCP4_0075
ko:K15554	zmi:ZCP4_0076
ko:K15553	zmi:ZCP4_0077
ko:K02014	zmi:ZCP4_0078
ko:K02195	zmi:ZCP4_0079
ko:K05800	zmi:ZCP4_0901
ko:K01779	zmi:ZCP4_0902
ko:K00845	zmi:ZCP4_0903
ko:K01690	zmi:ZCP4_0904
ko:K00036	zmi:ZCP4_0905
ko:K01972	zmi:ZCP4_0907
ko:K00773	zmi:ZCP4_0908
ko:K03702	zmi:ZCP4_0909
ko:K05837	zmi:ZCP4_0911
ko:K05515	zmi:ZCP4_0912
ko:K03570	zmi:ZCP4_0914
ko:K03569	zmi:ZCP4_0915
ko:K03572	zmi:ZCP4_0916
ko:K07735	zmi:ZCP4_0921
ko:K03665	zmi:ZCP4_0922
ko:K03666	zmi:ZCP4_0923
ko:K03320	zmi:ZCP4_0924
ko:K03568	zmi:ZCP4_0926
ko:K02619	zmi:ZCP4_0927
ko:K00812	zmi:ZCP4_0928
ko:K00788	zmi:ZCP4_0933
ko:K01092	zmi:ZCP4_0935
ko:K02356	zmi:ZCP4_0936
ko:K01760	zmi:ZCP4_0937
ko:K09457	zmi:ZCP4_0938
ko:K03101	zmi:ZCP4_0940
ko:K01870	zmi:ZCP4_0941
ko:K11753	zmi:ZCP4_0942
ko:K06131	zmi:ZCP4_0948
ko:K00286	zmi:ZCP4_0951
ko:K14475	zmi:ZCP4_1418
ko:K04754	zmi:ZCP4_1419
ko:K00297	zmi:ZCP4_1421
ko:K00548	zmi:ZCP4_1422
ko:K00548	zmi:ZCP4_1423
ko:K03596	zmi:ZCP4_1425
ko:K04761	zmi:ZCP4_1431
ko:K03386	zmi:ZCP4_1432
ko:K00640	zmi:ZCP4_1433
ko:K14261	zmi:ZCP4_1436
ko:K06891	zmi:ZCP4_1437
ko:K00790	zmi:ZCP4_1438
ko:K05810	zmi:ZCP4_1440
ko:K00121	zmi:ZCP4_1441
ko:K03060	zmi:ZCP4_1443
ko:K00847	zmi:ZCP4_1444
ko:K03832	zmi:ZCP4_1446
ko:K03561	zmi:ZCP4_1447
ko:K03559	zmi:ZCP4_1448
ko:K03559	zmi:ZCP4_1449
ko:K02970	zmi:ZCP4_1450
ko:K03100	zmi:ZCP4_1453
ko:K00997	zmi:ZCP4_1454
ko:K03474	zmi:ZCP4_1455
ko:K00762	zmi:ZCP4_1456
ko:K05838	zmi:ZCP4_1457
ko:K07157	zmi:ZCP4_1458
ko:K03185	zmi:ZCP4_1459
ko:K03466	zmi:ZCP4_1460
ko:K01142	zmi:ZCP4_1463
ko:K01497	zmi:ZCP4_1464
ko:K01736	zmi:ZCP4_1469
ko:K00208	zmi:ZCP4_1470
ko:K07058	zmi:ZCP4_1471
ko:K02884	zmi:ZCP4_0247
ko:K00554	zmi:ZCP4_0248
ko:K02860	zmi:ZCP4_0249
ko:K02959	zmi:ZCP4_0250
ko:K03106	zmi:ZCP4_0251
