ko:K07498	cgm:cgp_3225
ko:K13527	cgm:cgp_1691
ko:K07588	cgm:cgp_1724
ko:K01847	cgm:cgp_1725
ko:K01847	cgm:cgp_1726
ko:K04488	cgm:cgp_1760
ko:K14339	cgm:cgp_1766
ko:K01990	cgm:cgp_1767
ko:K01992	cgm:cgp_1768
ko:K00616	cgm:cgp_1776
ko:K09762	cgm:cgp_1792
ko:K15520	cgm:cgp_2847
ko:K02619	cgm:cgp_2851
ko:K01835	cgm:cgp_2800
ko:K02004	cgm:cgp_2811
ko:K18926	cgm:cgp_2971
ko:K18926	cgm:cgp_2739
ko:K07004	cgm:cgp_2868
ko:K06986	cgm:cgp_2869
ko:K15733	cgm:cgp_1881
ko:K18955	cgm:cgp_0850
ko:K21949	cgm:cgp_2344
ko:K03417	cgm:cgp_0760
ko:K03417	cgm:cgp_0797
ko:K08316	cgm:cgp_1500
ko:K02004	cgm:cgp_3320
ko:K02005	cgm:cgp_3322
ko:K00567	cgm:cgp_3331
ko:K00027	cgm:cgp_3335
ko:K00851	cgm:cgp_3336
ko:K00970	cgm:cgp_3415
ko:K00101	cgm:cgp_3227
ko:K07304	cgm:cgp_3236
ko:K06177	cgm:cgp_3258
ko:K16163	cgm:cgp_3349
ko:K03475	cgm:cgp_3365
ko:K01990	cgm:cgp_3367
ko:K01992	cgm:cgp_3368
ko:K00010	cgm:cgp_3391
ko:K00010	cgm:cgp_3392
ko:K13953	cgm:cgp_3107
ko:K00392	cgm:cgp_3118
ko:K04750	cgm:cgp_3122
ko:K07793	cgm:cgp_3125
ko:K16923	cgm:cgp_3135
ko:K06988	cgm:cgp_3143
ko:K16648	cgm:cgp_3161
ko:K01596	cgm:cgp_3169
ko:K06860	cgm:cgp_3173
ko:K12437	cgm:cgp_3178
ko:K12428	cgm:cgp_3179
ko:K13687	cgm:cgp_3187
ko:K14136	cgm:cgp_3189
ko:K16650	cgm:cgp_3191
ko:K01854	cgm:cgp_3196
ko:K04518	cgm:cgp_3207
ko:K03299	cgm:cgp_3216
ko:K00016	cgm:cgp_3219
ko:K07025	cgm:cgp_3221
ko:K15555	cgm:cgp_1379
ko:K02484	cgm:cgp_2887
ko:K00265	cgm:cgp_0229
ko:K00951	cgm:cgp_1861
ko:K01897	cgm:cgp_0480
ko:K01897	cgm:cgp_2521
ko:K00681	cgm:cgp_1090
ko:K14228	cgm:cgp_t5024
ko:K14233	cgm:cgp_t5007
ko:K14233	cgm:cgp_t5008
ko:K14233	cgm:cgp_t5011
ko:K14233	cgm:cgp_t5012
ko:K14219	cgm:cgp_t5022
ko:K14224	cgm:cgp_t5027
ko:K14224	cgm:cgp_t5029
ko:K14224	cgm:cgp_t5030
ko:K14224	cgm:cgp_t5056
ko:K14228	cgm:cgp_t5033
ko:K14228	cgm:cgp_t5034
ko:K14228	cgm:cgp_t5051
ko:K14225	cgm:cgp_t5035
ko:K14225	cgm:cgp_t5038
ko:K14225	cgm:cgp_t5040
ko:K14225	cgm:cgp_t5046
ko:K14225	cgm:cgp_t5059
ko:K14237	cgm:cgp_t5036
ko:K14237	cgm:cgp_t5039
ko:K14237	cgm:cgp_t5041
ko:K14222	cgm:cgp_t5037
ko:K01978	cgm:cgp_4102
ko:K14220	cgm:cgp_t5043
ko:K14220	cgm:cgp_t5044
ko:K14232	cgm:cgp_t5045
ko:K14219	cgm:cgp_t5047
ko:K14226	cgm:cgp_t5048
ko:K14229	cgm:cgp_t5049
ko:K14229	cgm:cgp_t5050
ko:K14229	cgm:cgp_t5057
ko:K14218	cgm:cgp_t5052
ko:K14231	cgm:cgp_t5053
ko:K14221	cgm:cgp_t5054
ko:K14221	cgm:cgp_t5055
ko:K14234	cgm:cgp_t5058
ko:K01186	cgm:cgp_1756
ko:K00845	cgm:cgp_2932
ko:K01788	cgm:cgp_2933
ko:K02035	cgm:cgp_2937
ko:K02033	cgm:cgp_2938
ko:K02031	cgm:cgp_2939
ko:K02034	cgm:cgp_2939
ko:K07067	cgm:cgp_2951
ko:K00088	cgm:cgp_2964
ko:K17686	cgm:cgp_0464
ko:K14949	cgm:cgp_3046
ko:K01011	cgm:cgp_3073
ko:K13640	cgm:cgp_3097
ko:K01243	cgm:cgp_3102
ko:K01507	cgm:cgp_2988
ko:K05565	cgm:cgp_3024
ko:K05568	cgm:cgp_3026
ko:K05570	cgm:cgp_3028
ko:K14683	cgm:cgp_3039
ko:K02030	cgm:cgp_3045
ko:K08167	cgm:cgp_2893
ko:K06902	cgm:cgp_2895
ko:K03932	cgm:cgp_2901
ko:K02077	cgm:cgp_2911
ko:K02074	cgm:cgp_2912
ko:K02075	cgm:cgp_2913
ko:K02808	cgm:cgp_2925
ko:K02809	cgm:cgp_2925
ko:K02810	cgm:cgp_2925
ko:K02564	cgm:cgp_2928
ko:K03762	cgm:cgp_3395
ko:K02016	cgm:cgp_3404
ko:K08987	cgm:cgp_3407
ko:K00868	cgm:cgp_3409
ko:K07735	cgm:cgp_3414
ko:K03980	cgm:cgp_3419
ko:K03088	cgm:cgp_3420
ko:K00384	cgm:cgp_3422
ko:K03671	cgm:cgp_3423
ko:K01448	cgm:cgp_3424
ko:K03501	cgm:cgp_3428
ko:K03217	cgm:cgp_3429
ko:K08998	cgm:cgp_3430
ko:K03536	cgm:cgp_3431
ko:K02914	cgm:cgp_3432
ko:K00925	cgm:cgp_3047
ko:K13788	cgm:cgp_3048
ko:K00528	cgm:cgp_3049
ko:K08289	cgm:cgp_3054
ko:K01939	cgm:cgp_3063
ko:K01624	cgm:cgp_3068
ko:K00762	cgm:cgp_3071
ko:K03695	cgm:cgp_3079
ko:K03312	cgm:cgp_3080
ko:K03686	cgm:cgp_3098
ko:K03687	cgm:cgp_3099
ko:K04043	cgm:cgp_3100
ko:K04564	cgm:cgp_3237
ko:K08224	cgm:cgp_3240
ko:K07146	cgm:cgp_3249
ko:K03217	cgm:cgp_3252
ko:K03655	cgm:cgp_0039
ko:K02057	cgm:cgp_0045
ko:K02015	cgm:cgp_0052
ko:K02013	cgm:cgp_0053
ko:K07090	cgm:cgp_0072
ko:K03284	cgm:cgp_0080
ko:K03811	cgm:cgp_0083
ko:K07175	cgm:cgp_0085
ko:K03300	cgm:cgp_0088
ko:K01012	cgm:cgp_0095
ko:K08170	cgm:cgp_0103
ko:K01430	cgm:cgp_0113
ko:K01429	cgm:cgp_0114
ko:K01428	cgm:cgp_0115
ko:K03187	cgm:cgp_0116
ko:K03188	cgm:cgp_0117
ko:K03189	cgm:cgp_0118
ko:K03190	cgm:cgp_0119
ko:K01241	cgm:cgp_0124
ko:K13821	cgm:cgp_0129
ko:K08296	cgm:cgp_0142
ko:K01756	cgm:cgp_2876
ko:K01945	cgm:cgp_2878
ko:K03305	cgm:cgp_2884
ko:K00833	cgm:cgp_2885
ko:K01935	cgm:cgp_2886
ko:K00156	cgm:cgp_2891
ko:K03340	cgm:cgp_2900
ko:K00697	cgm:cgp_2907
ko:K01087	cgm:cgp_2909
ko:K03218	cgm:cgp_2923
ko:K01883	cgm:cgp_2924
ko:K01193	cgm:cgp_2927
ko:K01443	cgm:cgp_2929
ko:K01714	cgm:cgp_2931
ko:K01918	cgm:cgp_0148
ko:K00606	cgm:cgp_0149
ko:K03652	cgm:cgp_0151
ko:K00773	cgm:cgp_0285
ko:K09125	cgm:cgp_0286
ko:K02343	cgm:cgp_0296
ko:K03338	cgm:cgp_0197
ko:K00140	cgm:cgp_0199
ko:K03337	cgm:cgp_0201
ko:K03336	cgm:cgp_0202
ko:K03335	cgm:cgp_0203
ko:K06605	cgm:cgp_0205
ko:K03704	cgm:cgp_0215
ko:K00266	cgm:cgp_0230
ko:K06213	cgm:cgp_0275
ko:K14445	cgm:cgp_0277
ko:K06187	cgm:cgp_0298
ko:K01649	cgm:cgp_0303
ko:K00928	cgm:cgp_0306
ko:K00133	cgm:cgp_0307
ko:K03088	cgm:cgp_0309
ko:K03781	cgm:cgp_0310
ko:K05571	cgm:cgp_0321
ko:K05569	cgm:cgp_0323
ko:K05567	cgm:cgp_0325
ko:K09747	cgm:cgp_0297
ko:K09117	cgm:cgp_0335
ko:K00252	cgm:cgp_0346
ko:K10773	cgm:cgp_0353
ko:K02283	cgm:cgp_0363
ko:K12510	cgm:cgp_0364
ko:K03704	cgm:cgp_0371
ko:K03168	cgm:cgp_0373
ko:K02341	cgm:cgp_0376
ko:K13979	cgm:cgp_0400
ko:K00973	cgm:cgp_0401
ko:K02016	cgm:cgp_0405
ko:K05786	cgm:cgp_0168
ko:K01579	cgm:cgp_0172
ko:K07090	cgm:cgp_0176
ko:K03579	cgm:cgp_0178
ko:K03919	cgm:cgp_0181
ko:K01246	cgm:cgp_0182
ko:K06996	cgm:cgp_0185
ko:K03310	cgm:cgp_0254
ko:K03637	cgm:cgp_0260
ko:K03750	cgm:cgp_0261
ko:K02018	cgm:cgp_0262
ko:K02020	cgm:cgp_0263
ko:K08972	cgm:cgp_0266
ko:K00817	cgm:cgp_0267
ko:K00240	cgm:cgp_0447
ko:K01433	cgm:cgp_0457
ko:K03306	cgm:cgp_0545
ko:K01661	cgm:cgp_0548
ko:K05995	cgm:cgp_0550
ko:K02551	cgm:cgp_0552
ko:K11737	cgm:cgp_0555
ko:K03183	cgm:cgp_0556
ko:K03073	cgm:cgp_0561
ko:K02601	cgm:cgp_0562
ko:K02867	cgm:cgp_0563
ko:K02863	cgm:cgp_0564
ko:K00574	cgm:cgp_0663
ko:K03466	cgm:cgp_0668
ko:K02871	cgm:cgp_0673
ko:K02996	cgm:cgp_0674
ko:K03431	cgm:cgp_0675
ko:K01775	cgm:cgp_0681
ko:K06925	cgm:cgp_0682
ko:K07085	cgm:cgp_0683
ko:K03789	cgm:cgp_0686
ko:K04078	cgm:cgp_0690
ko:K03088	cgm:cgp_0696
ko:K11939	cgm:cgp_0701
ko:K01951	cgm:cgp_0703
ko:K13789	cgm:cgp_0723
ko:K01669	cgm:cgp_0728
ko:K00790	cgm:cgp_0422
ko:K00075	cgm:cgp_0423
ko:K00012	cgm:cgp_0435
ko:K00382	cgm:cgp_0441
ko:K00963	cgm:cgp_0442
ko:K07110	cgm:cgp_0444
ko:K00239	cgm:cgp_0446
ko:K02016	cgm:cgp_0467
ko:K02015	cgm:cgp_0468
ko:K02013	cgm:cgp_0469
ko:K00075	cgm:cgp_0476
ko:K01524	cgm:cgp_0488
ko:K00286	cgm:cgp_0490
ko:K02492	cgm:cgp_0497
ko:K01749	cgm:cgp_0498
ko:K02935	cgm:cgp_0573
ko:K03043	cgm:cgp_0576
ko:K03046	cgm:cgp_0577
ko:K02950	cgm:cgp_0581
ko:K02992	cgm:cgp_0582
ko:K02355	cgm:cgp_0583
ko:K02358	cgm:cgp_0587
ko:K02013	cgm:cgp_0589
ko:K02015	cgm:cgp_0590
ko:K02015	cgm:cgp_0591
ko:K02946	cgm:cgp_0593
ko:K02906	cgm:cgp_0594
ko:K02926	cgm:cgp_0596
ko:K02892	cgm:cgp_0597
ko:K02886	cgm:cgp_0598
ko:K02965	cgm:cgp_0599
ko:K02890	cgm:cgp_0600
ko:K02982	cgm:cgp_0601
ko:K02878	cgm:cgp_0602
ko:K02904	cgm:cgp_0603
ko:K02961	cgm:cgp_0604
ko:K02874	cgm:cgp_0608
ko:K02895	cgm:cgp_0609
ko:K02931	cgm:cgp_0610
ko:K02379	cgm:cgp_0616
ko:K16927	cgm:cgp_0621
ko:K16786	cgm:cgp_0622
ko:K16787	cgm:cgp_0622
ko:K16785	cgm:cgp_0623
ko:K02994	cgm:cgp_0628
ko:K02933	cgm:cgp_0629
ko:K02881	cgm:cgp_0630
ko:K02864	cgm:cgp_0572
ko:K02003	cgm:cgp_0733
ko:K02072	cgm:cgp_0735
ko:K02071	cgm:cgp_0736
ko:K02073	cgm:cgp_0737
ko:K12410	cgm:cgp_0745
ko:K02016	cgm:cgp_0748
ko:K03216	cgm:cgp_0749
ko:K01491	cgm:cgp_0750
ko:K00641	cgm:cgp_0754
ko:K01740	cgm:cgp_0755
ko:K06200	cgm:cgp_0756
ko:K01720	cgm:cgp_0759
ko:K00031	cgm:cgp_0766
ko:K14161	cgm:cgp_0714
ko:K02013	cgm:cgp_0768
ko:K02015	cgm:cgp_0769
ko:K02015	cgm:cgp_0770
ko:K01142	cgm:cgp_0773
ko:K02016	cgm:cgp_0776
ko:K02013	cgm:cgp_0777
ko:K02015	cgm:cgp_0778
ko:K01867	cgm:cgp_0779
ko:K07058	cgm:cgp_0780
ko:K00761	cgm:cgp_0786
ko:K00457	cgm:cgp_0502
ko:K03786	cgm:cgp_0503
ko:K00014	cgm:cgp_0504
ko:K02011	cgm:cgp_0507
ko:K02012	cgm:cgp_0508
ko:K13542	cgm:cgp_0510
ko:K01698	cgm:cgp_0512
ko:K01599	cgm:cgp_0516
ko:K00231	cgm:cgp_0517
ko:K01845	cgm:cgp_0518
ko:K07399	cgm:cgp_0523
ko:K02548	cgm:cgp_0531
ko:K01911	cgm:cgp_0533
ko:K15977	cgm:cgp_0534
ko:K01707	cgm:cgp_0536
ko:K02988	cgm:cgp_0631
ko:K02907	cgm:cgp_0632
ko:K02876	cgm:cgp_0634
ko:K00140	cgm:cgp_0635
ko:K04755	cgm:cgp_0640
ko:K03076	cgm:cgp_0647
ko:K01265	cgm:cgp_0649
ko:K02518	cgm:cgp_0651
ko:K02952	cgm:cgp_0652
ko:K02948	cgm:cgp_0653
ko:K02986	cgm:cgp_0654
ko:K03040	cgm:cgp_0655
ko:K02879	cgm:cgp_0656
ko:K06173	cgm:cgp_0657
ko:K00382	cgm:cgp_0790
ko:K01720	cgm:cgp_0796
ko:K06287	cgm:cgp_0809
ko:K03524	cgm:cgp_0814
ko:K01589	cgm:cgp_0816
ko:K03549	cgm:cgp_0817
ko:K01588	cgm:cgp_0820
ko:K05592	cgm:cgp_1307
ko:K02106	cgm:cgp_1321
ko:K01887	cgm:cgp_1333
ko:K01586	cgm:cgp_1334
ko:K00003	cgm:cgp_1337
ko:K00872	cgm:cgp_1338
ko:K02114	cgm:cgp_1369
ko:K05606	cgm:cgp_1373
ko:K05838	cgm:cgp_1375
ko:K15554	cgm:cgp_1377
ko:K15553	cgm:cgp_1380
ko:K16147	cgm:cgp_1382
ko:K02013	cgm:cgp_1383
ko:K03521	cgm:cgp_1386
ko:K03522	cgm:cgp_1387
ko:K04487	cgm:cgp_1388
ko:K07154	cgm:cgp_1391
ko:K03824	cgm:cgp_1393
ko:K00566	cgm:cgp_1397
ko:K01972	cgm:cgp_1401
ko:K02435	cgm:cgp_1403
ko:K01687	cgm:cgp_1432
ko:K01652	cgm:cgp_1435
ko:K01653	cgm:cgp_1436
ko:K00053	cgm:cgp_1437
ko:K16264	cgm:cgp_1447
ko:K00052	cgm:cgp_1453
ko:K02361	cgm:cgp_1462
ko:K07727	cgm:cgp_1464
ko:K03147	cgm:cgp_1476
ko:K00688	cgm:cgp_1479
ko:K07090	cgm:cgp_1483
ko:K02945	cgm:cgp_1531
ko:K00859	cgm:cgp_1538
ko:K02529	cgm:cgp_1547
ko:K03702	cgm:cgp_1550
ko:K03701	cgm:cgp_1560
ko:K02520	cgm:cgp_1563
ko:K02916	cgm:cgp_1564
ko:K02887	cgm:cgp_1565
ko:K05813	cgm:cgp_1570
ko:K01126	cgm:cgp_1572
ko:K03437	cgm:cgp_1573
ko:K01889	cgm:cgp_1574
ko:K01890	cgm:cgp_1575
ko:K00145	cgm:cgp_1580
ko:K00620	cgm:cgp_1581
ko:K00930	cgm:cgp_1582
ko:K00611	cgm:cgp_1584
ko:K03402	cgm:cgp_1585
ko:K01940	cgm:cgp_1586
ko:K01755	cgm:cgp_1588
ko:K09791	cgm:cgp_1592
ko:K01866	cgm:cgp_1594
ko:K00373	cgm:cgp_1342
ko:K00371	cgm:cgp_1343
ko:K00370	cgm:cgp_1344
ko:K02575	cgm:cgp_1345
ko:K03750	cgm:cgp_1351
ko:K02529	cgm:cgp_1410
ko:K10441	cgm:cgp_1411
ko:K06726	cgm:cgp_1414
ko:K02016	cgm:cgp_1418
ko:K03453	cgm:cgp_1419
ko:K02434	cgm:cgp_1420
ko:K06895	cgm:cgp_1424
ko:K05596	cgm:cgp_1425
ko:K01703	cgm:cgp_1487
ko:K01704	cgm:cgp_1488
ko:K00057	cgm:cgp_1492
ko:K01921	cgm:cgp_1493
ko:K00946	cgm:cgp_1495
ko:K03648	cgm:cgp_1496
ko:K03655	cgm:cgp_1498
ko:K00954	cgm:cgp_1501
ko:K02029	cgm:cgp_1503
ko:K06442	cgm:cgp_1600
ko:K00858	cgm:cgp_1601
ko:K03631	cgm:cgp_1602
ko:K01937	cgm:cgp_1606
ko:K05896	cgm:cgp_1611
ko:K06024	cgm:cgp_1614
ko:K06178	cgm:cgp_1615
ko:K00945	cgm:cgp_1616
ko:K03977	cgm:cgp_1617
ko:K07238	cgm:cgp_1623
ko:K09858	cgm:cgp_1626
ko:K03070	cgm:cgp_1629
ko:K08999	cgm:cgp_1632
ko:K02042	cgm:cgp_1649
ko:K02042	cgm:cgp_1650
ko:K02041	cgm:cgp_1651
ko:K02044	cgm:cgp_1652
ko:K14153	cgm:cgp_1654
ko:K00878	cgm:cgp_1655
ko:K01251	cgm:cgp_0860
ko:K00943	cgm:cgp_0861
ko:K03070	cgm:cgp_0868
ko:K06949	cgm:cgp_0872
ko:K00800	cgm:cgp_0873
ko:K03088	cgm:cgp_0876
ko:K03657	cgm:cgp_0886
ko:K10716	cgm:cgp_0887
ko:K03426	cgm:cgp_0888
ko:K03657	cgm:cgp_0889
ko:K07043	cgm:cgp_0891
ko:K00375	cgm:cgp_0897
ko:K06215	cgm:cgp_0898
ko:K08681	cgm:cgp_0899
ko:K01809	cgm:cgp_0856
ko:K03724	cgm:cgp_0968
ko:K03449	cgm:cgp_0972
ko:K01810	cgm:cgp_0973
ko:K03657	cgm:cgp_0976
ko:K02003	cgm:cgp_0978
ko:K11175	cgm:cgp_0983
ko:K00602	cgm:cgp_0984
ko:K01644	cgm:cgp_0985
ko:K02963	cgm:cgp_0988
ko:K02954	cgm:cgp_0989
ko:K02913	cgm:cgp_0990
ko:K02902	cgm:cgp_0991
ko:K03321	cgm:cgp_0992
ko:K02909	cgm:cgp_0994
ko:K02911	cgm:cgp_0995
ko:K03282	cgm:cgp_1001
ko:K00963	cgm:cgp_1004
ko:K03750	cgm:cgp_1005
ko:K03790	cgm:cgp_1006
ko:K03449	cgm:cgp_1009
ko:K15977	cgm:cgp_1010
ko:K07056	cgm:cgp_1015
ko:K01874	cgm:cgp_1017
ko:K03654	cgm:cgp_1018
ko:K02837	cgm:cgp_1060
ko:K11959	cgm:cgp_1061
ko:K11960	cgm:cgp_1062
ko:K11961	cgm:cgp_1064
ko:K11962	cgm:cgp_1065
ko:K11963	cgm:cgp_1066
ko:K01056	cgm:cgp_1067
ko:K00459	cgm:cgp_1068
ko:K00134	cgm:cgp_1069
ko:K01056	cgm:cgp_1071
ko:K02897	cgm:cgp_1072
ko:K00948	cgm:cgp_1075
ko:K04042	cgm:cgp_1076
ko:K07778	cgm:cgp_1083
