ko:K11707	ctg:E11023_00360
ko:K07738	ctg:E11023_02110
ko:K06204	ctg:E11023_02115
ko:K03101	ctg:E11023_02120
ko:K03310	ctg:E11023_02125
ko:K00748	ctg:E11023_02135
ko:K09817	ctg:E11023_02160
ko:K09816	ctg:E11023_02165
ko:K03979	ctg:E11023_02170
ko:K02899	ctg:E11023_02175
ko:K02888	ctg:E11023_02180
ko:K07083	ctg:E11023_01355
ko:K01962	ctg:E11023_01370
ko:K01448	ctg:E11023_01385
ko:K01928	ctg:E11023_01390
ko:K03587	ctg:E11023_01395
ko:K03438	ctg:E11023_01405
ko:K03584	ctg:E11023_02465
ko:K01890	ctg:E11023_02495
ko:K02034	ctg:E11023_02510
ko:K01772	ctg:E11023_02560
ko:K07099	ctg:E11023_02575
ko:K00975	ctg:E11023_02580
ko:K03628	ctg:E11023_02590
ko:K00859	ctg:E11023_02595
ko:K03301	ctg:E11023_02610
ko:K00995	ctg:E11023_02615
ko:K03495	ctg:E11023_02630
ko:K03800	ctg:E11023_02635
ko:K00940	ctg:E11023_02640
ko:K03550	ctg:E11023_02645
ko:K01159	ctg:E11023_02650
ko:K00134	ctg:E11023_02665
ko:K02879	ctg:E11023_02670
ko:K03040	ctg:E11023_02675
ko:K02948	ctg:E11023_02680
ko:K02952	ctg:E11023_02685
ko:K03076	ctg:E11023_02690
ko:K02876	ctg:E11023_02695
ko:K02988	ctg:E11023_02700
ko:K02881	ctg:E11023_02705
ko:K02933	ctg:E11023_02710
ko:K02412	ctg:E11023_03780
ko:K02411	ctg:E11023_03785
ko:K02409	ctg:E11023_03790
ko:K13819	ctg:E11023_03800
ko:K04487	ctg:E11023_03805
ko:K06178	ctg:E11023_03820
ko:K03524	ctg:E11023_03830
ko:K05837	ctg:E11023_03835
ko:K01875	ctg:E11023_03850
ko:K11752	ctg:E11023_03855
ko:K14652	ctg:E11023_03860
ko:K00794	ctg:E11023_03865
ko:K03310	ctg:E11023_03880
ko:K03466	ctg:E11023_03900
ko:K00351	ctg:E11023_03910
ko:K03210	ctg:E11023_03915
ko:K00231	ctg:E11023_03935
ko:K01599	ctg:E11023_03945
ko:K03723	ctg:E11023_03950
ko:K01872	ctg:E11023_03955
ko:K00615	ctg:E11023_03965
ko:K01241	ctg:E11023_03970
ko:K02356	ctg:E11023_03980
ko:K01929	ctg:E11023_04000
ko:K01000	ctg:E11023_04005
ko:K03980	ctg:E11023_03285
ko:K01151	ctg:E11023_03290
ko:K02986	ctg:E11023_03300
ko:K07146	ctg:E11023_03305
ko:K13789	ctg:E11023_03310
ko:K01698	ctg:E11023_03340
ko:K00346	ctg:E11023_03345
ko:K03582	ctg:E11023_03370
ko:K03583	ctg:E11023_03375
ko:K03168	ctg:E11023_03390
ko:K02221	ctg:E11023_03400
ko:K03581	ctg:E11023_03440
ko:K06861	ctg:E11023_03450
ko:K01627	ctg:E11023_03460
ko:K06180	ctg:E11023_03475
ko:K06960	ctg:E11023_03480
ko:K02469	ctg:E11023_03485
ko:K02470	ctg:E11023_03490
ko:K02492	ctg:E11023_03495
ko:K07042	ctg:E11023_02200
ko:K03183	ctg:E11023_02230
ko:K01778	ctg:E11023_02240
ko:K01358	ctg:E11023_02245
ko:K00600	ctg:E11023_02250
ko:K01770	ctg:E11023_02265
ko:K02946	ctg:E11023_02275
ko:K02355	ctg:E11023_02280
ko:K02992	ctg:E11023_02285
ko:K02950	ctg:E11023_02290
ko:K03797	ctg:E11023_02300
ko:K07462	ctg:E11023_02335
ko:K12257	ctg:E11023_02345
ko:K00806	ctg:E11023_02360
ko:K00981	ctg:E11023_02370
ko:K00945	ctg:E11023_02375
ko:K00655	ctg:E11023_02380
ko:K01887	ctg:E11023_02385
ko:K00790	ctg:E11023_02390
ko:K02836	ctg:E11023_02410
ko:K00991	ctg:E11023_02425
ko:K06173	ctg:E11023_02430
ko:K07710	ctg:E11023_02450
ko:K02313	ctg:E11023_01420
ko:K00347	ctg:E11023_01435
ko:K00348	ctg:E11023_01440
ko:K00349	ctg:E11023_01445
ko:K00350	ctg:E11023_01450
ko:K02437	ctg:E11023_01455
ko:K03800	ctg:E11023_01470
ko:K03696	ctg:E11023_01475
ko:K00566	ctg:E11023_01480
ko:K01963	ctg:E11023_01515
ko:K04564	ctg:E11023_01520
ko:K03685	ctg:E11023_01535
ko:K04485	ctg:E11023_01540
ko:K01749	ctg:E11023_01545
ko:K01873	ctg:E11023_01555
ko:K03046	ctg:E11023_01615
ko:K03043	ctg:E11023_01620
ko:K02935	ctg:E11023_01625
ko:K02864	ctg:E11023_01630
ko:K02863	ctg:E11023_01635
ko:K02867	ctg:E11023_01640
ko:K02994	ctg:E11023_02715
ko:K02931	ctg:E11023_02720
ko:K02895	ctg:E11023_02725
ko:K02874	ctg:E11023_02730
ko:K02961	ctg:E11023_02735
ko:K02904	ctg:E11023_02740
ko:K02878	ctg:E11023_02745
ko:K02982	ctg:E11023_02750
ko:K02890	ctg:E11023_02755
ko:K02965	ctg:E11023_02760
ko:K02886	ctg:E11023_02765
ko:K02892	ctg:E11023_02770
ko:K02926	ctg:E11023_02775
ko:K02906	ctg:E11023_02780
ko:K00604	ctg:E11023_02790
ko:K00677	ctg:E11023_02795
ko:K02372	ctg:E11023_02800
ko:K02535	ctg:E11023_02805
ko:K03820	ctg:E11023_02810
ko:K06925	ctg:E11023_02825
ko:K03671	ctg:E11023_02835
ko:K03216	ctg:E11023_02840
ko:K01876	ctg:E11023_02850
ko:K01892	ctg:E11023_02855
ko:K07783	ctg:E11023_02860
ko:K02337	ctg:E11023_02865
ko:K03311	ctg:E11023_02910
ko:K00382	ctg:E11023_02925
ko:K03644	ctg:E11023_02930
ko:K03222	ctg:E11023_02935
ko:K03223	ctg:E11023_02950
ko:K03226	ctg:E11023_02955
ko:K03228	ctg:E11023_02965
ko:K02601	ctg:E11023_01645
ko:K03073	ctg:E11023_01650
ko:K02358	ctg:E11023_01655
ko:K02518	ctg:E11023_01660
ko:K01803	ctg:E11023_01705
ko:K03601	ctg:E11023_01710
ko:K03602	ctg:E11023_01715
ko:K01662	ctg:E11023_01725
ko:K00873	ctg:E11023_01730
ko:K03701	ctg:E11023_01735
ko:K02343	ctg:E11023_01740
ko:K09747	ctg:E11023_01745
ko:K11381	ctg:E11023_01775
ko:K03686	ctg:E11023_01780
ko:K02970	ctg:E11023_01785
ko:K01338	ctg:E11023_01795
ko:K03733	ctg:E11023_01810
ko:K06287	ctg:E11023_01820
ko:K03075	ctg:E11023_01835
ko:K01462	ctg:E11023_01840
ko:K02528	ctg:E11023_01845
ko:K06888	ctg:E11023_01855
ko:K03523	ctg:E11023_01875
ko:K01714	ctg:E11023_01890
ko:K00928	ctg:E11023_01895
ko:K00133	ctg:E11023_01900
ko:K00215	ctg:E11023_01905
ko:K00800	ctg:E11023_01915
ko:K00891	ctg:E11023_01920
ko:K01736	ctg:E11023_01925
ko:K01783	ctg:E11023_00630
ko:K02356	ctg:E11023_00635
ko:K02160	ctg:E11023_00640
ko:K01961	ctg:E11023_00645
ko:K02871	ctg:E11023_00655
ko:K02996	ctg:E11023_00660
ko:K02029	ctg:E11023_00675
ko:K07058	ctg:E11023_00690
ko:K06999	ctg:E11023_00710
ko:K07566	ctg:E11023_00715
ko:K09125	ctg:E11023_00730
ko:K07039	ctg:E11023_00735
ko:K01972	ctg:E11023_00765
ko:K02913	ctg:E11023_00785
ko:K09808	ctg:E11023_00790
ko:K03720	ctg:E11023_00870
ko:K01696	ctg:E11023_00880
ko:K01695	ctg:E11023_00885
ko:K03611	ctg:E11023_00910
ko:K00979	ctg:E11023_00940
ko:K01937	ctg:E11023_00945
ko:K07447	ctg:E11023_00950
ko:K00036	ctg:E11023_00955
ko:K01057	ctg:E11023_00960
ko:K02343	ctg:E11023_00965
ko:K00943	ctg:E11023_00970
ko:K02469	ctg:E11023_00975
ko:K02470	ctg:E11023_00980
ko:K00773	ctg:E11023_00995
ko:K06213	ctg:E11023_01000
ko:K15580	ctg:E11023_01020
ko:K15581	ctg:E11023_01025
ko:K03319	ctg:E11023_01050
ko:K02527	ctg:E11023_01070
ko:K01869	ctg:E11023_01075
ko:K01845	ctg:E11023_01080
ko:K07735	ctg:E11023_01085
ko:K08999	ctg:E11023_01090
ko:K01807	ctg:E11023_01095
ko:K03787	ctg:E11023_01120
ko:K03179	ctg:E11023_01125
ko:K03186	ctg:E11023_01130
ko:K00426	ctg:E11023_00080
ko:K07175	ctg:E11023_00085
ko:K01870	ctg:E11023_00105
ko:K03100	ctg:E11023_00110
ko:K02909	ctg:E11023_00120
ko:K02835	ctg:E11023_00125
ko:K02493	ctg:E11023_00130
ko:K03106	ctg:E11023_00135
ko:K02959	ctg:E11023_00140
ko:K00554	ctg:E11023_00145
ko:K02884	ctg:E11023_00150
ko:K03470	ctg:E11023_00155
ko:K00942	ctg:E11023_00160
ko:K01874	ctg:E11023_00170
ko:K03581	ctg:E11023_00175
ko:K01494	ctg:E11023_00205
ko:K03551	ctg:E11023_00215
ko:K01255	ctg:E11023_00240
ko:K02340	ctg:E11023_00250
ko:K07056	ctg:E11023_00255
ko:K00164	ctg:E11023_00285
ko:K00658	ctg:E11023_00290
ko:K05810	ctg:E11023_00295
ko:K03526	ctg:E11023_00300
ko:K02400	ctg:E11023_00315
ko:K02405	ctg:E11023_00320
ko:K01866	ctg:E11023_00330
ko:K03596	ctg:E11023_00340
ko:K03301	ctg:E11023_00345
ko:K00630	ctg:E11023_04285
ko:K08301	ctg:E11023_04290
ko:K02911	ctg:E11023_04300
ko:K03621	ctg:E11023_04305
ko:K03431	ctg:E11023_04335
ko:K00820	ctg:E11023_04340
ko:K03834	ctg:E11023_04345
ko:K03834	ctg:E11023_04355
ko:K06890	ctg:E11023_04360
ko:K03110	ctg:E11023_04365
ko:K01903	ctg:E11023_04370
ko:K01902	ctg:E11023_04375
ko:K09760	ctg:E11023_04390
ko:K03439	ctg:E11023_04410
ko:K00075	ctg:E11023_04420
ko:K03625	ctg:E11023_04430
ko:K02520	ctg:E11023_04435
ko:K02916	ctg:E11023_04440
ko:K02887	ctg:E11023_04445
ko:K01889	ctg:E11023_04450
ko:K11720	ctg:E11023_04460
ko:K07091	ctg:E11023_04465
ko:K04075	ctg:E11023_04470
ko:K03798	ctg:E11023_04475
ko:K00962	ctg:E11023_04480
ko:K02956	ctg:E11023_04485
ko:K00099	ctg:E11023_00380
ko:K03629	ctg:E11023_00395
ko:K02338	ctg:E11023_00400
ko:K03664	ctg:E11023_00405
ko:K03734	ctg:E11023_00410
ko:K01491	ctg:E11023_00415
ko:K02902	ctg:E11023_00450
ko:K00705	ctg:E11023_00455
ko:K04058	ctg:E11023_00465
ko:K03230	ctg:E11023_00470
ko:K03229	ctg:E11023_00475
ko:K06942	ctg:E11023_00480
ko:K11753	ctg:E11023_00485
ko:K02834	ctg:E11023_00495
ko:K02519	ctg:E11023_00500
ko:K02600	ctg:E11023_00505
ko:K02945	ctg:E11023_00510
ko:K00384	ctg:E11023_00515
ko:K00997	ctg:E11023_00520
ko:K00208	ctg:E11023_00540
ko:K03575	ctg:E11023_00555
ko:K04077	ctg:E11023_00570
ko:K04078	ctg:E11023_00575
ko:K08602	ctg:E11023_00580
ko:K03695	ctg:E11023_00590
ko:K01265	ctg:E11023_04535
ko:K03321	ctg:E11023_04560
ko:K03527	ctg:E11023_04575
ko:K03162	ctg:E11023_03590
ko:K00939	ctg:E11023_00670
ko:K02035	ctg:E11023_00725
ko:K06889	ctg:E11023_00780
ko:K00567	ctg:E11023_02505
ko:K02033	ctg:E11023_02515
ko:K02035	ctg:E11023_02520
ko:K02030	ctg:E11023_02565
ko:K08483	ctg:E11023_01750
ko:K11189	ctg:E11023_01755
ko:K00784	ctg:E11023_01805
ko:K02433	ctg:E11023_00020
ko:K03471	ctg:E11023_00050
ko:K01507	ctg:E11023_04080
ko:K01082	ctg:E11023_04095
ko:K01909	ctg:E11023_04105
ko:K00652	ctg:E11023_04110
ko:K02454	ctg:E11023_03000
ko:K01262	ctg:E11023_03015
ko:K07315	ctg:E11023_03085
ko:K00241	ctg:E11023_03115
ko:K03386	ctg:E11023_03165
ko:K02428	ctg:E11023_03180
ko:K02035	ctg:E11023_00905
ko:K02049	ctg:E11023_00930
ko:K01409	ctg:E11023_01015
ko:K15582	ctg:E11023_01030
ko:K06889	ctg:E11023_01060
ko:K03856	ctg:E11023_01990
ko:K00813	ctg:E11023_03360
ko:K01934	ctg:E11023_03420
ko:K09815	ctg:E11023_02155
ko:K00970	ctg:E11023_02130
ko:K00033	ctg:E11023_00335
ko:K01408	ctg:E11023_04280
ko:K00059	ctg:E11023_01220
ko:K07052	ctg:E11023_01310
ko:K02342	ctg:E11023_01350
ko:K00970	ctg:E11023_03710
ko:K01596	ctg:E11023_03745
ko:K00972	ctg:E11023_03770
ko:K01719	ctg:E11023_02260
ko:K00380	ctg:E11023_02270
ko:K01885	ctg:E11023_02325
ko:K07098	ctg:E11023_02420
ko:K02342	ctg:E11023_02820
ko:K07258	ctg:E11023_02895
ko:K03227	ctg:E11023_02960
ko:K02806	ctg:E11023_01500
ko:K02806	ctg:E11023_01505
ko:K02124	ctg:E11023_01565
ko:K02123	ctg:E11023_01570
ko:K02120	ctg:E11023_01575
ko:K02118	ctg:E11023_01580
ko:K02117	ctg:E11023_01585
ko:K02121	ctg:E11023_01595
ko:K00616	ctg:E11023_01610
ko:K03177	ctg:E11023_00490
ko:K06179	ctg:E11023_00550
ko:K01679	ctg:E11023_04555
ko:K04763	ctg:E11023_04605
ko:K00700	ctg:E11023_04615
ko:K06910	ctg:E11023_03885
ko:K07117	ctg:E11023_03890
ko:K14232	ctg:E11023_t04674
ko:K14233	ctg:E11023_t04700
ko:K01840	ctg:E11023_01525
ko:K11645	ctg:E11023_01105
ko:K15583	ctg:E11023_01040
ko:K14221	ctg:E11023_t04688
ko:K00850	ctg:E11023_01055
ko:K10823	ctg:E11023_01035
ko:K14223	ctg:E11023_t04738
ko:K01834	ctg:E11023_03810
ko:K14226	ctg:E11023_t04734
ko:K07714	ctg:E11023_02455
ko:K00895	ctg:E11023_01065
ko:K01985	ctg:E11023_r04746
ko:K01985	ctg:E11023_r04748
ko:K11709	ctg:E11023_00375
ko:K11708	ctg:E11023_00370
ko:K11710	ctg:E11023_00365
ko:K14233	ctg:E11023_t04742
ko:K03559	ctg:E11023_03135
ko:K14219	ctg:E11023_t04722
ko:K14227	ctg:E11023_t04680
ko:K09810	ctg:E11023_00795
ko:K14234	ctg:E11023_t04676
ko:K02028	ctg:E11023_00680
ko:K14222	ctg:E11023_t04736
ko:K14220	ctg:E11023_t04672
ko:K01977	ctg:E11023_r04750
ko:K01977	ctg:E11023_r04752
ko:K01980	ctg:E11023_r04754
ko:K01980	ctg:E11023_r04756
ko:K17103	ctg:E11023_04395
ko:K14233	ctg:E11023_t04698
ko:K04084	ctg:E11023_03125
ko:K14218	ctg:E11023_t04682
ko:K14218	ctg:E11023_t04720
ko:K14230	ctg:E11023_t04684
ko:K14230	ctg:E11023_t04696
ko:K14235	ctg:E11023_t04692
ko:K14233	ctg:E11023_t04710
ko:K14231	ctg:E11023_t04702
ko:K14228	ctg:E11023_t04704
ko:K14228	ctg:E11023_t04712
ko:K14228	ctg:E11023_t04714
ko:K14219	ctg:E11023_t04706
ko:K14219	ctg:E11023_t04716
ko:K14232	ctg:E11023_t04718
ko:K14229	ctg:E11023_t04726
ko:K14224	ctg:E11023_t04728
ko:K14228	ctg:E11023_t04744
ko:K14234	ctg:E11023_t04724
ko:K14225	ctg:E11023_t04730
ko:K14228	ctg:E11023_t04708
ko:K14237	ctg:E11023_t04690
ko:K14230	ctg:E11023_t04686
ko:K14234	ctg:E11023_t04694
ko:K14236	ctg:E11023_t04678
ko:K14225	ctg:E11023_t04732
ko:K14237	ctg:E11023_t04740
ko:K06972	ctg:E11023_04385
ko:K07081	ctg:E11023_02225
ko:K08275	ctg:E11023_00425
ko:K01802	ctg:E11023_02845
ko:K03309	ctg:E11023_02085
ko:K08719	ctg:E11023_03760
ko:K01921	ctg:E11023_04030
ko:K01924	ctg:E11023_04030
ko:K01829	ctg:E11023_04125
ko:K01829	ctg:E11023_04145
ko:K07033	ctg:E11023_03610
ko:K01214	ctg:E11023_00225
ko:K03825	ctg:E11023_02405
ko:K03496	ctg:E11023_03055
ko:K03497	ctg:E11023_03630
ko:K03111	ctg:E11023_00235
ko:K02626	ctg:E11023_01950
ko:K11991	ctg:E11023_04490
ko:K04771	ctg:E11023_04380
ko:K19411	ctg:E11023_03565
ko:K02031	ctg:E11023_03640
ko:K07125	ctg:E11023_01675
ko:K22100	ctg:E11023_01700
ko:K12132	ctg:E11023_01550
ko:K20265	ctg:E11023_01110
ko:K20074	ctg:E11023_01335
ko:K11749	ctg:E11023_00385
ko:K22099	ctg:E11023_03210
ko:K00526	ctg:E11023_04405
ko:K02335	ctg:E11023_02600
ko:K01520	ctg:E11023_01510
ko:K02314	ctg:E11023_02625
ko:K00287	ctg:E11023_03215
ko:K03553	ctg:E11023_03430
ko:K02316	ctg:E11023_04200
ko:K02032	ctg:E11023_03635
ko:K00525	ctg:E11023_04400
ko:K02050	ctg:E11023_04550
ko:K02051	ctg:E11023_04550
ko:K01534	ctg:E11023_03840
ko:K16239	ctg:E11023_00445
