ko:K03602	abau:IX87_04485
ko:K05784	abau:IX87_04585
ko:K05783	abau:IX87_04590
ko:K05782	abau:IX87_04595
ko:K05548	abau:IX87_04600
ko:K16872	abau:IX87_04610
ko:K03578	abau:IX87_04615
ko:K03386	abau:IX87_04620
ko:K03387	abau:IX87_04640
ko:K00799	abau:IX87_04650
ko:K07004	abau:IX87_04655
ko:K03439	abau:IX87_04660
ko:K00799	abau:IX87_04665
ko:K01465	abau:IX87_04680
ko:K00609	abau:IX87_04685
ko:K12297	abau:IX87_04695
ko:K03743	abau:IX87_04705
ko:K03695	abau:IX87_04710
ko:K07397	abau:IX87_04725
ko:K10914	abau:IX87_04730
ko:K01939	abau:IX87_04750
ko:K02502	abau:IX87_04755
ko:K00134	abau:IX87_04760
ko:K01872	abau:IX87_04765
ko:K00674	abau:IX87_09360
ko:K10026	abau:IX87_09365
ko:K06920	abau:IX87_09370
ko:K03564	abau:IX87_09385
ko:K07552	abau:IX87_09415
ko:K01952	abau:IX87_09420
ko:K01129	abau:IX87_09425
ko:K03550	abau:IX87_09430
ko:K03551	abau:IX87_09435
ko:K07107	abau:IX87_09445
ko:K03562	abau:IX87_09450
ko:K03560	abau:IX87_09455
ko:K03641	abau:IX87_09465
ko:K03640	abau:IX87_09470
ko:K03841	abau:IX87_09480
ko:K03437	abau:IX87_09485
ko:K03088	abau:IX87_09490
ko:K10763	abau:IX87_09525
ko:K01933	abau:IX87_09535
ko:K11175	abau:IX87_09540
ko:K04773	abau:IX87_09550
ko:K02517	abau:IX87_09555
ko:K02238	abau:IX87_09560
ko:K09810	abau:IX87_09565
ko:K09808	abau:IX87_09570
ko:K09768	abau:IX87_09580
ko:K00831	abau:IX87_09590
ko:K01993	abau:IX87_09600
ko:K01992	abau:IX87_09605
ko:K02469	abau:IX87_09635
ko:K03522	abau:IX87_09640
ko:K16234	abau:IX87_14055
ko:K01745	abau:IX87_14060
ko:K01712	abau:IX87_14065
ko:K09975	abau:IX87_14070
ko:K05836	abau:IX87_14075
ko:K11734	abau:IX87_14095
ko:K01555	abau:IX87_14100
ko:K00457	abau:IX87_14120
ko:K03453	abau:IX87_14135
ko:K08281	abau:IX87_14140
ko:K01714	abau:IX87_14145
ko:K01923	abau:IX87_14155
ko:K07478	abau:IX87_14170
ko:K09160	abau:IX87_14180
ko:K03575	abau:IX87_14200
ko:K01246	abau:IX87_14215
ko:K12957	abau:IX87_14220
ko:K06222	abau:IX87_14240
ko:K08301	abau:IX87_10735
ko:K06287	abau:IX87_10740
ko:K03571	abau:IX87_10745
ko:K03570	abau:IX87_10750
ko:K03569	abau:IX87_10755
ko:K02435	abau:IX87_10760
ko:K02433	abau:IX87_10765
ko:K02434	abau:IX87_10770
ko:K05520	abau:IX87_10775
ko:K17938	abau:IX87_10815
ko:K01754	abau:IX87_10820
ko:K07001	abau:IX87_10825
ko:K03310	abau:IX87_10830
ko:K03975	abau:IX87_15230
ko:K15977	abau:IX87_15235
ko:K01951	abau:IX87_15245
ko:K06911	abau:IX87_15265
ko:K07397	abau:IX87_15270
ko:K00799	abau:IX87_15275
ko:K01887	abau:IX87_15285
ko:K00027	abau:IX87_15290
ko:K07223	abau:IX87_15295
ko:K05834	abau:IX87_15300
ko:K09816	abau:IX87_15305
ko:K09817	abau:IX87_15310
ko:K09823	abau:IX87_15315
ko:K09815	abau:IX87_15320
ko:K02116	abau:IX87_15325
ko:K02108	abau:IX87_15330
ko:K02110	abau:IX87_15335
ko:K02109	abau:IX87_15340
ko:K02113	abau:IX87_15345
ko:K02111	abau:IX87_15350
ko:K02115	abau:IX87_15355
ko:K02112	abau:IX87_15360
ko:K02114	abau:IX87_15365
ko:K00432	abau:IX87_15375
ko:K07566	abau:IX87_15400
ko:K04096	abau:IX87_15405
ko:K01462	abau:IX87_15415
ko:K02014	abau:IX87_15425
ko:K01738	abau:IX87_15475
ko:K09992	abau:IX87_19945
ko:K01652	abau:IX87_19950
ko:K02024	abau:IX87_19960
ko:K03149	abau:IX87_19965
ko:K03154	abau:IX87_19970
ko:K01652	abau:IX87_19990
ko:K15509	abau:IX87_19995
ko:K02529	abau:IX87_20010
ko:K01061	abau:IX87_20015
ko:K02024	abau:IX87_20050
ko:K06989	abau:IX87_20070
ko:K09023	abau:IX87_20075
ko:K18146	abau:IX87_20155
ko:K18145	abau:IX87_20160
ko:K18144	abau:IX87_20165
ko:K18143	abau:IX87_20170
ko:K06889	abau:IX87_20205
ko:K02073	abau:IX87_02795
ko:K02073	abau:IX87_02800
ko:K02071	abau:IX87_02805
ko:K02072	abau:IX87_02810
ko:K06942	abau:IX87_02815
ko:K08289	abau:IX87_02855
ko:K00990	abau:IX87_02860
ko:K14267	abau:IX87_02865
ko:K00432	abau:IX87_02880
ko:K07305	abau:IX87_02885
ko:K14260	abau:IX87_02890
ko:K05597	abau:IX87_02900
ko:K02337	abau:IX87_02905
ko:K15396	abau:IX87_02910
ko:K00640	abau:IX87_02915
ko:K03387	abau:IX87_02930
ko:K07240	abau:IX87_02935
ko:K07240	abau:IX87_02940
ko:K03325	abau:IX87_02950
ko:K00537	abau:IX87_02960
ko:K03457	abau:IX87_02995
ko:K16841	abau:IX87_03000
ko:K03119	abau:IX87_03005
ko:K15552	abau:IX87_03010
ko:K15551	abau:IX87_03020
ko:K00425	abau:IX87_03060
ko:K00426	abau:IX87_03065
ko:K08303	abau:IX87_07585
ko:K10017	abau:IX87_07600
ko:K10015	abau:IX87_07605
ko:K10016	abau:IX87_07610
ko:K10014	abau:IX87_07615
ko:K00600	abau:IX87_07645
ko:K10857	abau:IX87_07655
ko:K07168	abau:IX87_12320
ko:K01878	abau:IX87_12345
ko:K01879	abau:IX87_12350
ko:K05526	abau:IX87_12405
ko:K01484	abau:IX87_12410
ko:K06447	abau:IX87_12415
ko:K00673	abau:IX87_12420
ko:K00840	abau:IX87_12425
ko:K00261	abau:IX87_12430
ko:K16235	abau:IX87_12435
ko:K03923	abau:IX87_12505
ko:K00058	abau:IX87_12540
ko:K11939	abau:IX87_12545
ko:K11939	abau:IX87_12550
ko:K07090	abau:IX87_12560
ko:K03177	abau:IX87_12565
ko:K02884	abau:IX87_12580
ko:K00554	abau:IX87_12585
ko:K02860	abau:IX87_12590
ko:K02428	abau:IX87_16945
ko:K00641	abau:IX87_16960
ko:K01649	abau:IX87_16965
ko:K16090	abau:IX87_16975
ko:K03545	abau:IX87_16980
ko:K01358	abau:IX87_16985
ko:K03544	abau:IX87_16990
ko:K01676	abau:IX87_17005
ko:K13788	abau:IX87_17010
ko:K00925	abau:IX87_17015
ko:K01690	abau:IX87_17025
ko:K01625	abau:IX87_17030
ko:K03299	abau:IX87_17035
ko:K00851	abau:IX87_17040
ko:K00131	abau:IX87_17045
ko:K00147	abau:IX87_17050
ko:K01207	abau:IX87_17065
ko:K03797	abau:IX87_17070
ko:K00940	abau:IX87_17090
ko:K06941	abau:IX87_17095
ko:K02656	abau:IX87_17100
ko:K01892	abau:IX87_17115
ko:K17713	abau:IX87_17125
ko:K03977	abau:IX87_17130
ko:K06133	abau:IX87_17135
ko:K03071	abau:IX87_17140
ko:K06949	abau:IX87_17155
ko:K13288	abau:IX87_17160
ko:K00208	abau:IX87_17170
ko:K05685	abau:IX87_17180
ko:K13888	abau:IX87_17185
ko:K02340	abau:IX87_17190
ko:K03643	abau:IX87_17195
ko:K01869	abau:IX87_17200
ko:K01652	abau:IX87_17210
ko:K01653	abau:IX87_17215
ko:K00053	abau:IX87_17220
ko:K00285	abau:IX87_21715
ko:K01679	abau:IX87_21745
ko:K01784	abau:IX87_21750
ko:K07235	abau:IX87_21755
ko:K11179	abau:IX87_21770
ko:K03750	abau:IX87_21790
ko:K03635	abau:IX87_21800
ko:K03639	abau:IX87_21810
ko:K03752	abau:IX87_21820
ko:K00372	abau:IX87_21825
ko:K00362	abau:IX87_21835
ko:K03786	abau:IX87_21895
ko:K02160	abau:IX87_21900
ko:K01961	abau:IX87_21905
ko:K05820	abau:IX87_21915
ko:K00215	abau:IX87_14255
ko:K03686	abau:IX87_14265
ko:K18303	abau:IX87_14275
ko:K18302	abau:IX87_14280
ko:K18301	abau:IX87_14285
ko:K01595	abau:IX87_14290
ko:K07090	abau:IX87_14305
ko:K01687	abau:IX87_14315
ko:K00604	abau:IX87_14320
ko:K03500	abau:IX87_14325
ko:K03308	abau:IX87_14335
ko:K01638	abau:IX87_18825
ko:K00657	abau:IX87_18830
ko:K03559	abau:IX87_18835
ko:K03559	abau:IX87_18840
ko:K03561	abau:IX87_18845
ko:K03832	abau:IX87_18850
ko:K02014	abau:IX87_18855
ko:K02033	abau:IX87_18880
ko:K02034	abau:IX87_18885
ko:K02031	abau:IX87_18890
ko:K02032	abau:IX87_18890
ko:K01082	abau:IX87_18905
ko:K02968	abau:IX87_18915
ko:K02553	abau:IX87_18925
ko:K07223	abau:IX87_18935
ko:K03723	abau:IX87_18945
ko:K04755	abau:IX87_18960
ko:K04044	abau:IX87_18965
ko:K04082	abau:IX87_18970
ko:K13628	abau:IX87_18975
ko:K04488	abau:IX87_18980
ko:K04487	abau:IX87_18985
ko:K13643	abau:IX87_18990
ko:K03530	abau:IX87_19010
ko:K03770	abau:IX87_19015
ko:K00496	abau:IX87_19025
ko:K10857	abau:IX87_01540
ko:K00075	abau:IX87_06200
ko:K01104	abau:IX87_06205
ko:K07107	abau:IX87_06220
ko:K01114	abau:IX87_06225
ko:K02343	abau:IX87_06235
ko:K08167	abau:IX87_06240
ko:K00059	abau:IX87_06260
ko:K00626	abau:IX87_06265
ko:K00616	abau:IX87_06280
ko:K11250	abau:IX87_06285
ko:K05782	abau:IX87_06295
ko:K07507	abau:IX87_06300
ko:K01531	abau:IX87_06305
ko:K07275	abau:IX87_06355
ko:K16088	abau:IX87_06360
ko:K03824	abau:IX87_06365
ko:K16053	abau:IX87_06390
ko:K07552	abau:IX87_10850
ko:K00380	abau:IX87_10865
ko:K09790	abau:IX87_10910
ko:K09977	abau:IX87_10915
ko:K01439	abau:IX87_10925
ko:K02660	abau:IX87_10940
ko:K02659	abau:IX87_10945
ko:K02658	abau:IX87_10950
ko:K02657	abau:IX87_10955
ko:K01881	abau:IX87_10975
ko:K09946	abau:IX87_10980
ko:K06193	abau:IX87_10985
ko:K06980	abau:IX87_11000
ko:K03981	abau:IX87_11005
ko:K07088	abau:IX87_11015
ko:K02014	abau:IX87_11025
ko:K03652	abau:IX87_11030
ko:K10563	abau:IX87_11035
ko:K03769	abau:IX87_11040
ko:K03282	abau:IX87_11050
ko:K06207	abau:IX87_11055
ko:K16345	abau:IX87_11060
ko:K00564	abau:IX87_11065
ko:K11733	abau:IX87_11070
ko:K14415	abau:IX87_11075
ko:K03286	abau:IX87_11085
ko:K08084	abau:IX87_11090
ko:K00626	abau:IX87_11095
ko:K04750	abau:IX87_11100
ko:K00381	abau:IX87_11115
ko:K00117	abau:IX87_11120
ko:K07267	abau:IX87_11125
ko:K02346	abau:IX87_15520
ko:K07273	abau:IX87_15525
ko:K06966	abau:IX87_15545
ko:K09858	abau:IX87_15555
ko:K08369	abau:IX87_15565
ko:K02621	abau:IX87_15570
ko:K01897	abau:IX87_15575
ko:K01507	abau:IX87_15590
ko:K01714	abau:IX87_15615
ko:K01628	abau:IX87_15620
ko:K00375	abau:IX87_15625
ko:K07391	abau:IX87_15630
ko:K09806	abau:IX87_15635
ko:K04752	abau:IX87_15640
ko:K03320	abau:IX87_15645
ko:K07738	abau:IX87_15650
ko:K11752	abau:IX87_15655
ko:K07318	abau:IX87_15660
ko:K00793	abau:IX87_15665
ko:K02339	abau:IX87_15680
ko:K01255	abau:IX87_15685
ko:K07091	abau:IX87_15690
ko:K11720	abau:IX87_15695
ko:K15633	abau:IX87_15700
ko:K03797	abau:IX87_15705
ko:K02667	abau:IX87_15710
ko:K02668	abau:IX87_15730
ko:K07262	abau:IX87_15740
ko:K01733	abau:IX87_15745
ko:K00003	abau:IX87_15750
ko:K03981	abau:IX87_15755
ko:K04763	abau:IX87_15760
ko:K04758	abau:IX87_15765
ko:K04759	abau:IX87_15770
ko:K01925	abau:IX87_15780
ko:K03588	abau:IX87_15785
ko:K03543	abau:IX87_20320
ko:K00297	abau:IX87_20330
ko:K00948	abau:IX87_20345
ko:K02013	abau:IX87_20365
ko:K02015	abau:IX87_20370
ko:K02016	abau:IX87_20375
ko:K13979	abau:IX87_20380
ko:K13928	abau:IX87_03080
ko:K13935	abau:IX87_03095
ko:K13934	abau:IX87_03100
ko:K13933	abau:IX87_03105
ko:K13932	abau:IX87_03110
ko:K13931	abau:IX87_03115
ko:K13930	abau:IX87_03120
ko:K13929	abau:IX87_03125
ko:K03566	abau:IX87_03130
ko:K07734	abau:IX87_03150
ko:K00375	abau:IX87_03155
ko:K06518	abau:IX87_03165
ko:K11209	abau:IX87_03180
ko:K00059	abau:IX87_03190
ko:K00640	abau:IX87_03220
ko:K11717	abau:IX87_03230
ko:K02030	abau:IX87_03245
ko:K02030	abau:IX87_03250
ko:K02028	abau:IX87_03255
ko:K02029	abau:IX87_03260
ko:K02029	abau:IX87_03265
ko:K06975	abau:IX87_03270
ko:K03781	abau:IX87_03325
ko:K03743	abau:IX87_03335
ko:K01990	abau:IX87_07925
ko:K01992	abau:IX87_07930
ko:K06879	abau:IX87_07935
ko:K05837	abau:IX87_07945
ko:K08305	abau:IX87_07950
ko:K03642	abau:IX87_07955
ko:K02357	abau:IX87_07985
ko:K02967	abau:IX87_07990
ko:K01265	abau:IX87_07995
ko:K02575	abau:IX87_08005
ko:K00322	abau:IX87_08020
ko:K03644	abau:IX87_08025
ko:K06445	abau:IX87_08030
ko:K01607	abau:IX87_08035
ko:K01251	abau:IX87_08045
ko:K00297	abau:IX87_08050
ko:K09761	abau:IX87_08055
ko:K00029	abau:IX87_08065
ko:K00974	abau:IX87_08070
ko:K04691	abau:IX87_08075
ko:K04564	abau:IX87_08085
ko:K03179	abau:IX87_08120
ko:K03181	abau:IX87_08125
ko:K01915	abau:IX87_08130
ko:K03305	abau:IX87_08135
ko:K01262	abau:IX87_08140
ko:K02959	abau:IX87_12595
ko:K02655	abau:IX87_12600
ko:K02655	abau:IX87_12605
ko:K02674	abau:IX87_12610
ko:K02672	abau:IX87_12620
ko:K02671	abau:IX87_12625
ko:K08084	abau:IX87_12630
ko:K03527	abau:IX87_12635
ko:K00942	abau:IX87_12640
ko:K03060	abau:IX87_12645
ko:K02192	abau:IX87_12660
ko:K03594	abau:IX87_12665
ko:K06872	abau:IX87_12690
ko:K03744	abau:IX87_12695
ko:K07044	abau:IX87_12700
ko:K00266	abau:IX87_12705
ko:K00265	abau:IX87_12710
ko:K01735	abau:IX87_12780
ko:K00891	abau:IX87_12785
ko:K02666	abau:IX87_12790
ko:K02665	abau:IX87_12795
ko:K02662	abau:IX87_12810
ko:K05366	abau:IX87_12815
ko:K00563	abau:IX87_12820
ko:K01000	abau:IX87_12830
ko:K01929	abau:IX87_12835
ko:K01928	abau:IX87_12840
ko:K03587	abau:IX87_12845
ko:K03586	abau:IX87_12850
ko:K03438	abau:IX87_12855
ko:K02048	abau:IX87_12860
ko:K01885	abau:IX87_12870
ko:K16235	abau:IX87_12890
ko:K02837	abau:IX87_17265
ko:K03424	abau:IX87_17280
ko:K01681	abau:IX87_17285
ko:K05539	abau:IX87_17310
ko:K00324	abau:IX87_17335
ko:K00928	abau:IX87_05125
ko:K03563	abau:IX87_05130
ko:K03470	abau:IX87_05135
ko:K03521	abau:IX87_09645
ko:K03733	abau:IX87_09650
ko:K01778	abau:IX87_09660
ko:K01586	abau:IX87_09665
ko:K11737	abau:IX87_09675
ko:K04485	abau:IX87_09680
ko:K04568	abau:IX87_09690
ko:K03473	abau:IX87_09695
ko:K02379	abau:IX87_09705
ko:K00865	abau:IX87_09715
ko:K16137	abau:IX87_09720
ko:K07124	abau:IX87_09725
ko:K07044	abau:IX87_09740
ko:K09982	abau:IX87_09780
ko:K03824	abau:IX87_09785
ko:K04760	abau:IX87_09805
ko:K14058	abau:IX87_09820
ko:K03799	abau:IX87_09830
ko:K01126	abau:IX87_09845
ko:K00901	abau:IX87_09855
ko:K04077	abau:IX87_09860
ko:K04078	abau:IX87_09865
ko:K01596	abau:IX87_09885
ko:K00111	abau:IX87_09890
ko:K00864	abau:IX87_09895
ko:K01491	abau:IX87_09915
ko:K01866	abau:IX87_14380
ko:K09001	abau:IX87_14385
ko:K15724	abau:IX87_14395
ko:K06158	abau:IX87_14415
ko:K15536	abau:IX87_14425
ko:K02470	abau:IX87_14430
ko:K03629	abau:IX87_14435
ko:K02338	abau:IX87_14440
ko:K02313	abau:IX87_14445
ko:K02914	abau:IX87_14450
ko:K03536	abau:IX87_14455
ko:K08998	abau:IX87_14460
ko:K03217	abau:IX87_14465
ko:K03650	abau:IX87_14470
ko:K03981	abau:IX87_14485
ko:K00760	abau:IX87_14505
ko:K01487	abau:IX87_14515
ko:K05794	abau:IX87_14535
ko:K02558	abau:IX87_14550
ko:K09922	abau:IX87_14555
ko:K01588	abau:IX87_14565
ko:K01589	abau:IX87_14570
ko:K04043	abau:IX87_14595
ko:K03687	abau:IX87_14605
ko:K02014	abau:IX87_19090
ko:K02231	abau:IX87_19130
ko:K00768	abau:IX87_19135
ko:K02226	abau:IX87_19140
ko:K02233	abau:IX87_19150
ko:K01626	abau:IX87_19155
ko:K07090	abau:IX87_19160
ko:K16088	abau:IX87_19180
ko:K00748	abau:IX87_19185
ko:K01993	abau:IX87_19195
ko:K02503	abau:IX87_19235
ko:K10764	abau:IX87_19285
ko:K09747	abau:IX87_19295
ko:K06187	abau:IX87_19300
ko:K03684	abau:IX87_19305
ko:K09902	abau:IX87_19335
ko:K09989	abau:IX87_19350
ko:K00135	abau:IX87_20455
ko:K02510	abau:IX87_20460
ko:K02509	abau:IX87_20465
ko:K01826	abau:IX87_20470
ko:K00455	abau:IX87_20475
ko:K00151	abau:IX87_20480
ko:K05921	abau:IX87_20485
ko:K05921	abau:IX87_20490
ko:K02508	abau:IX87_20495
ko:K07552	abau:IX87_20500
ko:K01866	abau:IX87_20505
ko:K00325	abau:IX87_17340
ko:K09710	abau:IX87_17350
ko:K07678	abau:IX87_17370
ko:K12339	abau:IX87_17375
ko:K07501	abau:IX87_17380
ko:K03215	abau:IX87_17385
ko:K00951	abau:IX87_17390
ko:K02237	abau:IX87_17405
ko:K00970	abau:IX87_17410
ko:K00950	abau:IX87_17415
ko:K00606	abau:IX87_17420
ko:K01918	abau:IX87_17425
ko:K06958	abau:IX87_17430
ko:K08485	abau:IX87_17435
ko:K09889	abau:IX87_17440
ko:K00666	abau:IX87_17445
ko:K01868	abau:IX87_17450
ko:K02520	abau:IX87_17455
ko:K02916	abau:IX87_17475
ko:K02887	abau:IX87_17480
ko:K01889	abau:IX87_17505
ko:K01890	abau:IX87_17510
ko:K04764	abau:IX87_17515
ko:K03628	abau:IX87_17525
ko:K03671	abau:IX87_17530
ko:K15256	abau:IX87_03395
ko:K00666	abau:IX87_03400
ko:K00253	abau:IX87_03410
ko:K01969	abau:IX87_03415
ko:K13766	abau:IX87_03420
ko:K01968	abau:IX87_03425
ko:K01640	abau:IX87_03430
ko:K04090	abau:IX87_03440
ko:K01032	abau:IX87_03470
ko:K01031	abau:IX87_03475
ko:K08196	abau:IX87_03480
ko:K06446	abau:IX87_03485
ko:K00074	abau:IX87_03500
ko:K00626	abau:IX87_03505
ko:K00612	abau:IX87_03525
ko:K00459	abau:IX87_03535
ko:K06446	abau:IX87_03555
ko:K08196	abau:IX87_03560
ko:K05306	abau:IX87_03565
ko:K03430	abau:IX87_03570
ko:K02011	abau:IX87_03580
ko:K00262	abau:IX87_00365
ko:K03616	abau:IX87_00370
ko:K10773	abau:IX87_00375
ko:K00939	abau:IX87_00385
ko:K05515	abau:IX87_00400
ko:K08316	abau:IX87_00405
ko:K03192	abau:IX87_00410
ko:K03189	abau:IX87_00415
ko:K03188	abau:IX87_00420
ko:K03187	abau:IX87_00425
ko:K01428	abau:IX87_00430
ko:K01429	abau:IX87_00440
ko:K01430	abau:IX87_00445
ko:K03190	abau:IX87_00450
ko:K01637	abau:IX87_00470
ko:K03300	abau:IX87_00495
ko:K09965	abau:IX87_00505
ko:K00956	abau:IX87_00510
ko:K00957	abau:IX87_00515
ko:K04567	abau:IX87_00530
ko:K05297	abau:IX87_00560
ko:K04761	abau:IX87_00570
ko:K00937	abau:IX87_00580
ko:K03814	abau:IX87_00585
ko:K02004	abau:IX87_00595
ko:K02003	abau:IX87_00600
ko:K10804	abau:IX87_00605
ko:K01673	abau:IX87_00610
ko:K07400	abau:IX87_00630
ko:K01130	abau:IX87_00640
ko:K12262	abau:IX87_05145
ko:K06901	abau:IX87_05155
ko:K06911	abau:IX87_05180
ko:K03333	abau:IX87_05230
ko:K01130	abau:IX87_05250
ko:K11475	abau:IX87_05275
ko:K05819	abau:IX87_05285
ko:K18383	abau:IX87_05290
ko:K12508	abau:IX87_05300
ko:K01707	abau:IX87_05340
ko:K03535	abau:IX87_05370
ko:K01708	abau:IX87_05375
ko:K00154	abau:IX87_05405
ko:K11737	abau:IX87_05410
ko:K00673	abau:IX87_05425
ko:K00840	abau:IX87_05430
ko:K01113	abau:IX87_09935
ko:K00796	abau:IX87_09955
ko:K03798	abau:IX87_09960
ko:K02427	abau:IX87_09965
ko:K07574	abau:IX87_09970
ko:K01956	abau:IX87_09985
ko:K01955	abau:IX87_09990
ko:K03624	abau:IX87_09995
ko:K07443	abau:IX87_10010
ko:K03316	abau:IX87_10060
ko:K07054	abau:IX87_10065
ko:K09781	abau:IX87_10070
ko:K01867	abau:IX87_10075
ko:K01902	abau:IX87_10080
ko:K01903	abau:IX87_10085
ko:K00382	abau:IX87_10090
ko:K00658	abau:IX87_10095
ko:K00164	abau:IX87_10100
ko:K00240	abau:IX87_10105
ko:K00239	abau:IX87_10110
ko:K00242	abau:IX87_10115
ko:K00241	abau:IX87_10120
ko:K01647	abau:IX87_10125
ko:K06938	abau:IX87_10130
ko:K07146	abau:IX87_10135
ko:K07039	abau:IX87_10140
ko:K03086	abau:IX87_10155
ko:K09158	abau:IX87_10160
ko:K03801	abau:IX87_10165
ko:K03216	abau:IX87_10195
ko:K02302	abau:IX87_10200
ko:K01875	abau:IX87_10205
ko:K03634	abau:IX87_10215
ko:K02899	abau:IX87_10220
ko:K03767	abau:IX87_14635
ko:K03774	abau:IX87_14675
ko:K00681	abau:IX87_01600
ko:K03446	abau:IX87_01605
ko:K03543	abau:IX87_01610
ko:K01698	abau:IX87_01620
ko:K03153	abau:IX87_01625
ko:K07071	abau:IX87_01630
ko:K06996	abau:IX87_01640
ko:K03547	abau:IX87_01650
ko:K06997	abau:IX87_01665
ko:K02669	abau:IX87_01670
ko:K02670	abau:IX87_01675
ko:K03711	abau:IX87_01680
ko:K06186	abau:IX87_01685
ko:K09801	abau:IX87_01690
ko:K00930	abau:IX87_01715
ko:K15778	abau:IX87_01720
ko:K03656	abau:IX87_01730
ko:K03610	abau:IX87_01750
ko:K03609	abau:IX87_01755
ko:K03608	abau:IX87_01760
ko:K05835	abau:IX87_01770
ko:K03466	abau:IX87_01775
ko:K00384	abau:IX87_01780
ko:K00684	abau:IX87_01785
ko:K03789	abau:IX87_01795
ko:K07044	abau:IX87_01820
ko:K02358	abau:IX87_01825
ko:K02355	abau:IX87_01830
ko:K02992	abau:IX87_01835
ko:K02950	abau:IX87_01840
ko:K00647	abau:IX87_01850
ko:K08973	abau:IX87_01855
ko:K06911	abau:IX87_01860
ko:K02014	abau:IX87_06395
ko:K03719	abau:IX87_06420
ko:K04093	abau:IX87_06425
ko:K00799	abau:IX87_06440
ko:K01256	abau:IX87_06445
ko:K00878	abau:IX87_06460
ko:K01826	abau:IX87_06465
ko:K13954	abau:IX87_06475
ko:K00138	abau:IX87_06490
ko:K03735	abau:IX87_06500
ko:K03736	abau:IX87_06505
ko:K01951	abau:IX87_06510
ko:K01886	abau:IX87_06515
ko:K03768	abau:IX87_06520
ko:K03269	abau:IX87_06525
ko:K10679	abau:IX87_06535
ko:K03666	abau:IX87_06545
ko:K00791	abau:IX87_06550
ko:K03572	abau:IX87_06555
ko:K06925	abau:IX87_06560
ko:K06177	abau:IX87_06565
ko:K06183	abau:IX87_06580
ko:K03576	abau:IX87_06595
ko:K10716	abau:IX87_06615
ko:K01682	abau:IX87_06625
ko:K09800	abau:IX87_06635
ko:K06134	abau:IX87_06650
ko:K09470	abau:IX87_06670
ko:K07667	abau:IX87_06675
ko:K00626	abau:IX87_11140
ko:K01782	abau:IX87_11145
ko:K11068	abau:IX87_11185
ko:K03070	abau:IX87_11200
ko:K11754	abau:IX87_11225
ko:K01963	abau:IX87_11230
ko:K01695	abau:IX87_11235
ko:K07044	abau:IX87_11245
ko:K01696	abau:IX87_11260
ko:K01817	abau:IX87_11265
ko:K16092	abau:IX87_11270
ko:K00798	abau:IX87_11275
ko:K01126	abau:IX87_11280
ko:K08997	abau:IX87_11295
ko:K07664	abau:IX87_11300
ko:K07642	abau:IX87_11305
ko:K02014	abau:IX87_11345
ko:K01876	abau:IX87_11355
ko:K07270	abau:IX87_11390
ko:K07276	abau:IX87_11425
ko:K00826	abau:IX87_11430
ko:K01894	abau:IX87_15790
ko:K06204	abau:IX87_15795
ko:K03651	abau:IX87_15800
ko:K01515	abau:IX87_15805
ko:K03147	abau:IX87_15810
