ko:K03560	rrh:RPM_02365
ko:K02445	rrh:RPM_00500
ko:K00940	rrh:RPM_00505
ko:K03495	rrh:RPM_00510
ko:K03501	rrh:RPM_00515
ko:K01627	rrh:RPM_00540
ko:K01129	rrh:RPM_00565
ko:K01887	rrh:RPM_00570
ko:K02621	rrh:RPM_00580
ko:K01494	rrh:RPM_00600
ko:K03071	rrh:RPM_00605
ko:K13584	rrh:RPM_00610
ko:K06879	rrh:RPM_00615
ko:K09987	rrh:RPM_00620
ko:K00325	rrh:RPM_00625
ko:K07275	rrh:RPM_00630
ko:K03762	rrh:RPM_00640
ko:K03075	rrh:RPM_00655
ko:K01883	rrh:RPM_00665
ko:K02967	rrh:RPM_00670
ko:K02357	rrh:RPM_00675
ko:K02527	rrh:RPM_00690
ko:K09778	rrh:RPM_00695
ko:K00812	rrh:RPM_00700
ko:K04754	rrh:RPM_00715
ko:K00948	rrh:RPM_00725
ko:K01775	rrh:RPM_00740
ko:K02066	rrh:RPM_00745
ko:K02065	rrh:RPM_00750
ko:K02994	rrh:RPM_05520
ko:K02954	rrh:RPM_05525
ko:K02931	rrh:RPM_05530
ko:K02895	rrh:RPM_05535
ko:K02874	rrh:RPM_05540
ko:K02961	rrh:RPM_05545
ko:K02904	rrh:RPM_05550
ko:K02878	rrh:RPM_05555
ko:K02982	rrh:RPM_05560
ko:K02890	rrh:RPM_05565
ko:K02965	rrh:RPM_05570
ko:K02886	rrh:RPM_05575
ko:K02892	rrh:RPM_05580
ko:K02926	rrh:RPM_05585
ko:K02906	rrh:RPM_05590
ko:K02946	rrh:RPM_05595
ko:K02358	rrh:RPM_05605
ko:K03218	rrh:RPM_05610
ko:K03531	rrh:RPM_05635
ko:K08276	rrh:RPM_05645
ko:K03704	rrh:RPM_05665
ko:K02528	rrh:RPM_05670
ko:K04744	rrh:RPM_05680
ko:K03601	rrh:RPM_05685
ko:K01142	rrh:RPM_05700
ko:K03977	rrh:RPM_05710
ko:K03688	rrh:RPM_05750
ko:K03183	rrh:RPM_05755
ko:K03424	rrh:RPM_05830
ko:K01874	rrh:RPM_05835
ko:K00943	rrh:RPM_05840
ko:K01749	rrh:RPM_04230
ko:K06980	rrh:RPM_04270
ko:K03684	rrh:RPM_04280
ko:K00382	rrh:RPM_04295
ko:K02919	rrh:RPM_04350
ko:K00343	rrh:RPM_04425
ko:K01698	rrh:RPM_04435
ko:K04066	rrh:RPM_04455
ko:K03186	rrh:RPM_04460
ko:K06178	rrh:RPM_04495
ko:K04485	rrh:RPM_04510
ko:K03584	rrh:RPM_04520
ko:K02519	rrh:RPM_04540
ko:K01892	rrh:RPM_02310
ko:K03562	rrh:RPM_02360
ko:K00133	rrh:RPM_02400
ko:K01419	rrh:RPM_02420
ko:K03667	rrh:RPM_02425
ko:K07391	rrh:RPM_02440
ko:K00748	rrh:RPM_02460
ko:K07082	rrh:RPM_02470
ko:K06202	rrh:RPM_02475
ko:K03168	rrh:RPM_02510
ko:K04096	rrh:RPM_02520
ko:K07447	rrh:RPM_02545
ko:K00067	rrh:RPM_02560
ko:K02986	rrh:RPM_02620
ko:K03801	rrh:RPM_07475
ko:K11066	rrh:RPM_07480
ko:K02959	rrh:RPM_07485
ko:K02913	rrh:RPM_07490
ko:K03572	rrh:RPM_07495
ko:K00019	rrh:RPM_07505
ko:K03762	rrh:RPM_07520
ko:K00228	rrh:RPM_07525
ko:K08973	rrh:RPM_07540
ko:K01772	rrh:RPM_07545
ko:K01599	rrh:RPM_07550
ko:K09991	rrh:RPM_01720
ko:K02622	rrh:RPM_01735
ko:K03797	rrh:RPM_01740
ko:K07716	rrh:RPM_01745
ko:K02871	rrh:RPM_01765
ko:K02996	rrh:RPM_01770
ko:K08641	rrh:RPM_01775
ko:K08311	rrh:RPM_01800
ko:K02356	rrh:RPM_01810
ko:K01613	rrh:RPM_01825
ko:K03543	rrh:RPM_01835
ko:K05527	rrh:RPM_01855
ko:K01924	rrh:RPM_01865
ko:K00075	rrh:RPM_01870
ko:K01921	rrh:RPM_01875
ko:K03589	rrh:RPM_01880
ko:K03590	rrh:RPM_01885
ko:K02535	rrh:RPM_01905
ko:K08300	rrh:RPM_01915
ko:K02259	rrh:RPM_01920
ko:K01142	rrh:RPM_01945
ko:K00161	rrh:RPM_01950
ko:K00162	rrh:RPM_01955
ko:K06207	rrh:RPM_01960
ko:K00031	rrh:RPM_01985
ko:K05571	rrh:RPM_01990
ko:K05566	rrh:RPM_01995
ko:K09710	rrh:RPM_06885
ko:K02518	rrh:RPM_06955
ko:K06287	rrh:RPM_06960
ko:K06204	rrh:RPM_06965
ko:K03733	rrh:RPM_06970
ko:K03182	rrh:RPM_06995
ko:K03466	rrh:RPM_07020
ko:K01265	rrh:RPM_07030
ko:K03630	rrh:RPM_07040
ko:K02195	rrh:RPM_07070
ko:K09817	rrh:RPM_07095
ko:K03701	rrh:RPM_07130
ko:K09131	rrh:RPM_07160
ko:K04079	rrh:RPM_07165
ko:K00643	rrh:RPM_07170
ko:K03545	rrh:RPM_07185
ko:K01889	rrh:RPM_03245
ko:K01890	rrh:RPM_03250
ko:K02338	rrh:RPM_03255
ko:K01869	rrh:RPM_03275
ko:K03684	rrh:RPM_03285
ko:K00981	rrh:RPM_03295
ko:K00806	rrh:RPM_03300
ko:K07638	rrh:RPM_03305
ko:K07659	rrh:RPM_03310
ko:K00826	rrh:RPM_03315
ko:K01714	rrh:RPM_03320
ko:K03664	rrh:RPM_03325
ko:K01902	rrh:RPM_03335
ko:K01903	rrh:RPM_03340
ko:K02834	rrh:RPM_03390
ko:K06187	rrh:RPM_03405
ko:K00858	rrh:RPM_03435
ko:K00057	rrh:RPM_03445
ko:K07088	rrh:RPM_03450
ko:K00384	rrh:RPM_03460
ko:K03657	rrh:RPM_03500
ko:K01754	rrh:RPM_03525
ko:K01338	rrh:RPM_03530
ko:K02600	rrh:RPM_04545
ko:K09748	rrh:RPM_04550
ko:K13771	rrh:RPM_04565
ko:K06442	rrh:RPM_04570
ko:K01866	rrh:RPM_04575
ko:K03185	rrh:RPM_04740
ko:K13599	rrh:RPM_04750
ko:K05515	rrh:RPM_04765
ko:K03587	rrh:RPM_04780
ko:K03438	rrh:RPM_04790
ko:K03925	rrh:RPM_04795
ko:K03703	rrh:RPM_04810
ko:K03070	rrh:RPM_04885
ko:K00997	rrh:RPM_04895
ko:K03060	rrh:RPM_04900
ko:K00215	rrh:RPM_01075
ko:K02434	rrh:RPM_01090
ko:K02435	rrh:RPM_01100
ko:K02838	rrh:RPM_01110
ko:K09903	rrh:RPM_01115
ko:K05569	rrh:RPM_01120
ko:K07277	rrh:RPM_01145
ko:K11749	rrh:RPM_01150
ko:K03625	rrh:RPM_01155
ko:K09761	rrh:RPM_01185
ko:K09779	rrh:RPM_01190
ko:K03530	rrh:RPM_01200
ko:K02341	rrh:RPM_01205
ko:K03106	rrh:RPM_01210
ko:K03926	rrh:RPM_01275
ko:K01737	rrh:RPM_01280
ko:K00658	rrh:RPM_01285
ko:K00164	rrh:RPM_01295
ko:K01299	rrh:RPM_01300
ko:K03631	rrh:RPM_01305
ko:K05807	rrh:RPM_01310
ko:K03686	rrh:RPM_01320
ko:K04043	rrh:RPM_01325
ko:K02340	rrh:RPM_01350
ko:K06134	rrh:RPM_01355
ko:K03821	rrh:RPM_06290
ko:K07042	rrh:RPM_06315
ko:K03644	rrh:RPM_06330
ko:K00600	rrh:RPM_06335
ko:K06999	rrh:RPM_06340
ko:K07390	rrh:RPM_06345
ko:K10773	rrh:RPM_06350
ko:K07056	rrh:RPM_06395
ko:K03116	rrh:RPM_06405
ko:K01095	rrh:RPM_06410
ko:K02888	rrh:RPM_06415
ko:K02899	rrh:RPM_06420
ko:K00928	rrh:RPM_06425
ko:K09888	rrh:RPM_06465
ko:K15371	rrh:RPM_06480
ko:K03650	rrh:RPM_06485
ko:K02078	rrh:RPM_06525
ko:K09458	rrh:RPM_06530
ko:K15738	rrh:RPM_06535
ko:K07133	rrh:RPM_06550
ko:K00942	rrh:RPM_06555
ko:K03570	rrh:RPM_06565
ko:K02860	rrh:RPM_02650
ko:K03602	rrh:RPM_02660
ko:K03652	rrh:RPM_02685
ko:K08998	rrh:RPM_02700
ko:K00334	rrh:RPM_02705
ko:K00333	rrh:RPM_02710
ko:K00332	rrh:RPM_02715
ko:K00331	rrh:RPM_02720
ko:K00330	rrh:RPM_02725
ko:K00208	rrh:RPM_02765
ko:K03820	rrh:RPM_02770
ko:K04566	rrh:RPM_02830
ko:K07088	rrh:RPM_02835
ko:K00029	rrh:RPM_02840
ko:K00024	rrh:RPM_02915
ko:K01937	rrh:RPM_02940
ko:K00979	rrh:RPM_02945
ko:K09861	rrh:RPM_03945
ko:K01867	rrh:RPM_03980
ko:K00655	rrh:RPM_03985
ko:K07018	rrh:RPM_04005
ko:K06895	rrh:RPM_04025
ko:K08218	rrh:RPM_04035
ko:K02523	rrh:RPM_04060
ko:K04487	rrh:RPM_04095
ko:K04487	rrh:RPM_04100
ko:K13643	rrh:RPM_04105
ko:K01358	rrh:RPM_04170
ko:K02945	rrh:RPM_04175
ko:K00945	rrh:RPM_04180
ko:K02194	rrh:RPM_02000
ko:K00411	rrh:RPM_02010
ko:K00412	rrh:RPM_02015
ko:K00413	rrh:RPM_02025
ko:K02836	rrh:RPM_02055
ko:K03596	rrh:RPM_02060
ko:K05837	rrh:RPM_02125
ko:K01354	rrh:RPM_02130
ko:K05567	rrh:RPM_02160
ko:K01524	rrh:RPM_02205
ko:K03555	rrh:RPM_02250
ko:K01808	rrh:RPM_02255
ko:K07043	rrh:RPM_02265
ko:K03641	rrh:RPM_02275
ko:K03089	rrh:RPM_02280
ko:K00566	rrh:RPM_02295
ko:K03979	rrh:RPM_07190
ko:K01647	rrh:RPM_07195
ko:K06180	rrh:RPM_07210
ko:K02493	rrh:RPM_07225
ko:K07566	rrh:RPM_07230
ko:K01879	rrh:RPM_07235
ko:K01878	rrh:RPM_07240
ko:K09765	rrh:RPM_07255
ko:K01872	rrh:RPM_07285
ko:K06173	rrh:RPM_07290
ko:K03086	rrh:RPM_07295
ko:K03624	rrh:RPM_07310
ko:K00324	rrh:RPM_07315
ko:K00324	rrh:RPM_07320
ko:K02343	rrh:RPM_07330
ko:K09747	rrh:RPM_07335
ko:K06985	rrh:RPM_07350
ko:K06167	rrh:RPM_07390
ko:K07091	rrh:RPM_07410
ko:K02339	rrh:RPM_07415
ko:K01154	rrh:RPM_07430
ko:K03427	rrh:RPM_07440
ko:K03313	rrh:RPM_07465
ko:K01491	rrh:RPM_03585
ko:K00384	rrh:RPM_03590
ko:K00791	rrh:RPM_03690
ko:K06861	rrh:RPM_03710
ko:K09774	rrh:RPM_03715
ko:K11719	rrh:RPM_03720
ko:K06041	rrh:RPM_03725
ko:K00962	rrh:RPM_03730
ko:K02956	rrh:RPM_03735
ko:K07058	rrh:RPM_03760
ko:K01915	rrh:RPM_03765
ko:K05810	rrh:RPM_03770
ko:K01462	rrh:RPM_03775
ko:K03523	rrh:RPM_03825
ko:K11754	rrh:RPM_03830
ko:K04564	rrh:RPM_03835
ko:K03524	rrh:RPM_03860
ko:K02520	rrh:RPM_03890
ko:K00627	rrh:RPM_03895
ko:K02835	rrh:RPM_03900
ko:K07462	rrh:RPM_03905
ko:K03628	rrh:RPM_03915
ko:K04773	rrh:RPM_03920
ko:K05788	rrh:RPM_03925
ko:K09773	rrh:RPM_00005
ko:K03671	rrh:RPM_00010
ko:K00677	rrh:RPM_00035
ko:K02372	rrh:RPM_00040
ko:K02536	rrh:RPM_00045
ko:K07001	rrh:RPM_00060
ko:K06925	rrh:RPM_00095
ko:K00790	rrh:RPM_04905
ko:K02470	rrh:RPM_04910
ko:K06213	rrh:RPM_04920
ko:K03210	rrh:RPM_04965
ko:K03072	rrh:RPM_04970
ko:K07152	rrh:RPM_04975
ko:K02197	rrh:RPM_04980
ko:K03980	rrh:RPM_04990
ko:K03655	rrh:RPM_05005
ko:K01028	rrh:RPM_05025
ko:K01029	rrh:RPM_05030
ko:K01000	rrh:RPM_05050
ko:K01929	rrh:RPM_05055
ko:K01928	rrh:RPM_05060
ko:K03723	rrh:RPM_05065
ko:K09159	rrh:RPM_05070
ko:K02313	rrh:RPM_05080
ko:K06942	rrh:RPM_05145
ko:K01056	rrh:RPM_05160
ko:K02897	rrh:RPM_05165
ko:K02916	rrh:RPM_05175
ko:K02887	rrh:RPM_05180
ko:K02914	rrh:RPM_05185
ko:K03536	rrh:RPM_05190
ko:K02276	rrh:RPM_01365
ko:K07080	rrh:RPM_01455
ko:K04044	rrh:RPM_01470
ko:K04082	rrh:RPM_01475
ko:K03470	rrh:RPM_01480
ko:K03702	rrh:RPM_01485
ko:K02469	rrh:RPM_01520
ko:K01462	rrh:RPM_01560
ko:K00604	rrh:RPM_01565
ko:K06916	rrh:RPM_01580
ko:K07568	rrh:RPM_01585
ko:K00425	rrh:RPM_01615
ko:K00426	rrh:RPM_01620
ko:K01923	rrh:RPM_01645
ko:K01868	rrh:RPM_01655
ko:K03569	rrh:RPM_06570
ko:K11720	rrh:RPM_06575
ko:K03640	rrh:RPM_06580
ko:K00648	rrh:RPM_06590
ko:K02911	rrh:RPM_06595
ko:K03110	rrh:RPM_06605
ko:K00789	rrh:RPM_06615
ko:K00789	rrh:RPM_06620
ko:K00789	rrh:RPM_06630
ko:K02337	rrh:RPM_06650
ko:K00012	rrh:RPM_06655
ko:K03118	rrh:RPM_06670
ko:K01875	rrh:RPM_06675
ko:K07726	rrh:RPM_06715
ko:K00339	rrh:RPM_06720
ko:K00340	rrh:RPM_06725
ko:K00341	rrh:RPM_06730
ko:K00342	rrh:RPM_06735
ko:K00338	rrh:RPM_06745
ko:K00337	rrh:RPM_06750
ko:K01681	rrh:RPM_06765
ko:K02114	rrh:RPM_06770
ko:K02112	rrh:RPM_06775
ko:K02115	rrh:RPM_06780
ko:K02111	rrh:RPM_06785
ko:K02113	rrh:RPM_06790
ko:K00382	rrh:RPM_06795
ko:K04047	rrh:RPM_06800
ko:K05366	rrh:RPM_06830
ko:K06168	rrh:RPM_06835
ko:K01495	rrh:RPM_02965
ko:K01881	rrh:RPM_02970
ko:K03550	rrh:RPM_02985
ko:K03551	rrh:RPM_03000
ko:K08218	rrh:RPM_03010
ko:K03642	rrh:RPM_03020
ko:K06190	rrh:RPM_03030
ko:K07243	rrh:RPM_03035
ko:K00449	rrh:RPM_03050
ko:K08309	rrh:RPM_03070
ko:K07010	rrh:RPM_03095
ko:K02275	rrh:RPM_03110
ko:K03101	rrh:RPM_03120
ko:K01925	rrh:RPM_03130
ko:K03588	rrh:RPM_03135
ko:K02563	rrh:RPM_03140
ko:K01778	rrh:RPM_03235
ko:K00135	rrh:RPM_03480
ko:K12340	rrh:RPM_01715
ko:K02433	rrh:RPM_01095
ko:K02427	rrh:RPM_01160
ko:K01322	rrh:RPM_01215
ko:K00059	rrh:RPM_06520
ko:K01724	rrh:RPM_01785
ko:K01092	rrh:RPM_01815
ko:K08738	rrh:RPM_01895
ko:K06179	rrh:RPM_01925
ko:K03455	rrh:RPM_06880
ko:K05524	rrh:RPM_07065
ko:K06910	rrh:RPM_07090
ko:K03574	rrh:RPM_02955
ko:K11085	rrh:RPM_03005
ko:K07258	rrh:RPM_03015
ko:K01297	rrh:RPM_03080
ko:K02274	rrh:RPM_03100
ko:K03177	rrh:RPM_03740
ko:K00799	rrh:RPM_03815
ko:K01885	rrh:RPM_02505
ko:K03386	rrh:RPM_02525
ko:K04763	rrh:RPM_02750
ko:K01989	rrh:RPM_02785
ko:K05832	rrh:RPM_02790
ko:K05833	rrh:RPM_02795
ko:K11528	rrh:RPM_04360
ko:K00674	rrh:RPM_01380
ko:K06147	rrh:RPM_01505
ko:K05794	rrh:RPM_06695
ko:K02193	rrh:RPM_06740
ko:K05568	rrh:RPM_02135
ko:K05568	rrh:RPM_02150
ko:K05568	rrh:RPM_02155
ko:K01082	rrh:RPM_02245
ko:K02258	rrh:RPM_02285
ko:K03294	rrh:RPM_02305
ko:K01439	rrh:RPM_07425
ko:K01262	rrh:RPM_04065
ko:K03294	rrh:RPM_04070
ko:K13628	rrh:RPM_04085
ko:K04488	rrh:RPM_04090
ko:K01823	rrh:RPM_04165
ko:K09815	rrh:RPM_00100
ko:K00970	rrh:RPM_00105
ko:K01507	rrh:RPM_04985
ko:K01934	rrh:RPM_04290
ko:K02533	rrh:RPM_00915
ko:K03593	rrh:RPM_00935
ko:K00241	rrh:RPM_00960
ko:K06147	rrh:RPM_05990
ko:K02067	rrh:RPM_06165
ko:K03469	rrh:RPM_06175
ko:K09949	rrh:RPM_06185
ko:K02342	rrh:RPM_06195
ko:K09691	rrh:RPM_00015
ko:K05570	rrh:RPM_04745
ko:K00567	rrh:RPM_04845
ko:K03769	rrh:RPM_04890
ko:K00939	rrh:RPM_05485
ko:K02116	rrh:RPM_00180
ko:K01409	rrh:RPM_00380
ko:K01965	rrh:RPM_05300
ko:K01966	rrh:RPM_05305
ko:K07343	rrh:RPM_05320
ko:K00568	rrh:RPM_05330
ko:K01885	rrh:RPM_05335
ko:K01679	rrh:RPM_05620
ko:K15383	rrh:RPM_05705
ko:K10563	rrh:RPM_05760
ko:K03301	rrh:RPM_03745
ko:K03301	rrh:RPM_06295
ko:K14235	rrh:RPM_t07565
ko:K14232	rrh:RPM_t07617
ko:K16053	rrh:RPM_00455
ko:K01840	rrh:RPM_03700
ko:K12262	rrh:RPM_03365
ko:K14230	rrh:RPM_t07615
ko:K14222	rrh:RPM_t07573
ko:K14223	rrh:RPM_t07585
ko:K07323	rrh:RPM_00720
ko:K14229	rrh:RPM_t07575
ko:K14227	rrh:RPM_t07577
ko:K14221	rrh:RPM_t07579
ko:K14233	rrh:RPM_t07581
ko:K14219	rrh:RPM_t07583
ko:K14223	rrh:RPM_t07587
ko:K14218	rrh:RPM_t07589
ko:K14237	rrh:RPM_t07591
ko:K14233	rrh:RPM_t07593
ko:K14218	rrh:RPM_t07597
ko:K14228	rrh:RPM_t07599
ko:K14237	rrh:RPM_t07603
ko:K14236	rrh:RPM_t07607
ko:K14226	rrh:RPM_t07611
ko:K14233	rrh:RPM_t07613
ko:K14230	rrh:RPM_t07569
ko:K01980	rrh:RPM_r07629
ko:K01985	rrh:RPM_r07625
ko:K14220	rrh:RPM_t07571
ko:K01977	rrh:RPM_r07627
ko:K14230	rrh:RPM_t07563
ko:K14228	rrh:RPM_t07621
ko:K14225	rrh:RPM_t07601
ko:K14231	rrh:RPM_t07557
ko:K14224	rrh:RPM_t07559
ko:K14234	rrh:RPM_t07623
ko:K14219	rrh:RPM_t07595
ko:K14219	rrh:RPM_t07619
ko:K14228	rrh:RPM_t07609
ko:K14225	rrh:RPM_t07605
ko:K14234	rrh:RPM_t07561
ko:K14234	rrh:RPM_t07567
ko:K00335	rrh:RPM_00890
ko:K02030	rrh:RPM_01085
ko:K17717	rrh:RPM_06980
ko:K17716	rrh:RPM_02565
ko:K14998	rrh:RPM_06200
ko:K09810	rrh:RPM_06010
ko:K02488	rrh:RPM_01805
ko:K02028	rrh:RPM_07385
ko:K17103	rrh:RPM_01830
ko:K08316	rrh:RPM_04505
ko:K05540	rrh:RPM_00080
ko:K01791	rrh:RPM_02570
ko:K12574	rrh:RPM_03440
ko:K15270	rrh:RPM_00635
ko:K06867	rrh:RPM_01730
ko:K06900	rrh:RPM_05115
ko:K04096	rrh:RPM_02515
ko:K00567	rrh:RPM_04825
ko:K02022	rrh:RPM_02390
ko:K03446	rrh:RPM_01125
ko:K18588	rrh:RPM_01175
ko:K18587	rrh:RPM_05260
ko:K18707	rrh:RPM_03240
ko:K06147	rrh:RPM_01605
ko:K07171	rrh:RPM_00030
ko:K03496	rrh:RPM_00520
ko:K03497	rrh:RPM_00525
ko:K03201	rrh:RPM_00815
ko:K03201	rrh:RPM_00820
ko:K03201	rrh:RPM_00825
ko:K03201	rrh:RPM_00830
ko:K03201	rrh:RPM_00835
ko:K03496	rrh:RPM_01050
ko:K03111	rrh:RPM_07135
ko:K03204	rrh:RPM_02165
ko:K03203	rrh:RPM_02170
ko:K03203	rrh:RPM_02180
ko:K03204	rrh:RPM_02185
ko:K03196	rrh:RPM_02195
ko:K03205	rrh:RPM_02200
ko:K07473	rrh:RPM_07400
ko:K16898	rrh:RPM_06205
ko:K16899	rrh:RPM_03085
ko:K19157	rrh:RPM_07405
ko:K19159	rrh:RPM_00705
ko:K07062	rrh:RPM_07245
ko:K00336	rrh:RPM_06755
ko:K04771	rrh:RPM_00950
ko:K09690	rrh:RPM_00020
ko:K00525	rrh:RPM_03655
ko:K09796	rrh:RPM_04815
ko:K00507	rrh:RPM_00385
ko:K03198	rrh:RPM_00805
ko:K03199	rrh:RPM_06685
ko:K04755	rrh:RPM_01465
ko:K03195	rrh:RPM_02190
ko:K03199	rrh:RPM_00810
ko:K06197	rrh:RPM_01315
ko:K03553	rrh:RPM_06515
ko:K03676	rrh:RPM_01490
ko:K01185	rrh:RPM_07150
ko:K03465	rrh:RPM_02270
ko:K02316	rrh:RPM_07300
ko:K01520	rrh:RPM_03065
ko:K06223	rrh:RPM_04310
ko:K02314	rrh:RPM_04470
ko:K00287	rrh:RPM_00215
ko:K00558	rrh:RPM_00420
ko:K06889	rrh:RPM_02600
ko:K06148	rrh:RPM_02395
ko:K00526	rrh:RPM_03665
ko:K02335	rrh:RPM_06610
ko:K21498	rrh:RPM_02075
ko:K21498	rrh:RPM_02550
ko:K10026	rrh:RPM_05170
ko:K21929	rrh:RPM_07205
ko:K03595	rrh:RPM_00905
ko:K11991	rrh:RPM_07075
ko:K02257	rrh:RPM_02625
