ko:K00033	ctrt:SOTOND6_00066
ko:K03471	ctrt:SOTOND6_00009
ko:K00939	ctrt:SOTOND6_00130
ko:K02035	ctrt:SOTOND6_00141
ko:K06889	ctrt:SOTOND6_00153
ko:K01596	ctrt:SOTOND6_00755
ko:K00972	ctrt:SOTOND6_00760
ko:K01834	ctrt:SOTOND6_00767
ko:K06910	ctrt:SOTOND6_00781
ko:K07117	ctrt:SOTOND6_00782
ko:K01507	ctrt:SOTOND6_00825
ko:K01082	ctrt:SOTOND6_00827
ko:K01909	ctrt:SOTOND6_00829
ko:K00652	ctrt:SOTOND6_00830
ko:K01408	ctrt:SOTOND6_00860
ko:K01679	ctrt:SOTOND6_00913
ko:K04763	ctrt:SOTOND6_00924
ko:K00700	ctrt:SOTOND6_00926
ko:K14233	ctrt:SOTOND6_00893
ko:K11645	ctrt:SOTOND6_00222
ko:K03820	ctrt:SOTOND6_00565
ko:K06925	ctrt:SOTOND6_00568
ko:K03671	ctrt:SOTOND6_00571
ko:K03216	ctrt:SOTOND6_00572
ko:K01876	ctrt:SOTOND6_00574
ko:K02600	ctrt:SOTOND6_00099
ko:K02945	ctrt:SOTOND6_00100
ko:K00384	ctrt:SOTOND6_00101
ko:K00997	ctrt:SOTOND6_00102
ko:K01214	ctrt:SOTOND6_00044
ko:K00208	ctrt:SOTOND6_00106
ko:K03575	ctrt:SOTOND6_00109
ko:K04077	ctrt:SOTOND6_00112
ko:K04078	ctrt:SOTOND6_00113
ko:K08602	ctrt:SOTOND6_00114
ko:K03695	ctrt:SOTOND6_00115
ko:K01783	ctrt:SOTOND6_00123
ko:K02356	ctrt:SOTOND6_00124
ko:K02160	ctrt:SOTOND6_00125
ko:K01961	ctrt:SOTOND6_00126
ko:K02871	ctrt:SOTOND6_00127
ko:K02996	ctrt:SOTOND6_00128
ko:K02029	ctrt:SOTOND6_00131
ko:K07058	ctrt:SOTOND6_00134
ko:K06999	ctrt:SOTOND6_00138
ko:K07566	ctrt:SOTOND6_00139
ko:K09125	ctrt:SOTOND6_00142
ko:K07039	ctrt:SOTOND6_00143
ko:K01972	ctrt:SOTOND6_00150
ko:K01892	ctrt:SOTOND6_00575
ko:K07783	ctrt:SOTOND6_00576
ko:K02337	ctrt:SOTOND6_00577
ko:K03311	ctrt:SOTOND6_00587
ko:K00382	ctrt:SOTOND6_00590
ko:K03644	ctrt:SOTOND6_00591
ko:K03222	ctrt:SOTOND6_00592
ko:K03223	ctrt:SOTOND6_00594
ko:K03226	ctrt:SOTOND6_00595
ko:K03228	ctrt:SOTOND6_00597
ko:K02455	ctrt:SOTOND6_00603
ko:K02453	ctrt:SOTOND6_00605
ko:K03572	ctrt:SOTOND6_00608
ko:K01868	ctrt:SOTOND6_00614
ko:K01867	ctrt:SOTOND6_00618
ko:K03702	ctrt:SOTOND6_00619
ko:K01689	ctrt:SOTOND6_00620
ko:K00240	ctrt:SOTOND6_00624
ko:K00239	ctrt:SOTOND6_00625
ko:K03424	ctrt:SOTOND6_00628
ko:K03562	ctrt:SOTOND6_00630
ko:K03641	ctrt:SOTOND6_00633
ko:K03640	ctrt:SOTOND6_00634
ko:K03648	ctrt:SOTOND6_00643
ko:K03657	ctrt:SOTOND6_00644
ko:K03092	ctrt:SOTOND6_00645
ko:K06137	ctrt:SOTOND6_00646
ko:K13941	ctrt:SOTOND6_00649
ko:K01633	ctrt:SOTOND6_00650
ko:K03086	ctrt:SOTOND6_00651
ko:K02968	ctrt:SOTOND6_00653
ko:K03980	ctrt:SOTOND6_00660
ko:K01151	ctrt:SOTOND6_00661
ko:K02986	ctrt:SOTOND6_00662
ko:K07146	ctrt:SOTOND6_00663
ko:K13789	ctrt:SOTOND6_00664
ko:K01698	ctrt:SOTOND6_00670
ko:K00346	ctrt:SOTOND6_00671
ko:K03582	ctrt:SOTOND6_00677
ko:K03583	ctrt:SOTOND6_00678
ko:K03168	ctrt:SOTOND6_00681
ko:K02913	ctrt:SOTOND6_00154
ko:K09808	ctrt:SOTOND6_00155
ko:K09810	ctrt:SOTOND6_00156
ko:K03720	ctrt:SOTOND6_00171
ko:K01696	ctrt:SOTOND6_00172
ko:K01695	ctrt:SOTOND6_00173
ko:K03611	ctrt:SOTOND6_00179
ko:K00979	ctrt:SOTOND6_00187
ko:K01937	ctrt:SOTOND6_00188
ko:K07447	ctrt:SOTOND6_00189
ko:K00036	ctrt:SOTOND6_00190
ko:K01057	ctrt:SOTOND6_00191
ko:K02343	ctrt:SOTOND6_00192
ko:K00943	ctrt:SOTOND6_00193
ko:K02469	ctrt:SOTOND6_00194
ko:K02470	ctrt:SOTOND6_00195
ko:K00773	ctrt:SOTOND6_00198
ko:K06213	ctrt:SOTOND6_00199
ko:K15580	ctrt:SOTOND6_00203
ko:K15581	ctrt:SOTOND6_00204
ko:K02221	ctrt:SOTOND6_00683
ko:K03581	ctrt:SOTOND6_00690
ko:K06861	ctrt:SOTOND6_00692
ko:K01627	ctrt:SOTOND6_00694
ko:K06180	ctrt:SOTOND6_00698
ko:K06960	ctrt:SOTOND6_00699
ko:K02469	ctrt:SOTOND6_00700
ko:K02470	ctrt:SOTOND6_00701
ko:K02492	ctrt:SOTOND6_00702
ko:K03224	ctrt:SOTOND6_00709
ko:K02417	ctrt:SOTOND6_00712
ko:K03219	ctrt:SOTOND6_00714
ko:K02838	ctrt:SOTOND6_00720
ko:K09903	ctrt:SOTOND6_00721
ko:K02357	ctrt:SOTOND6_00722
ko:K02967	ctrt:SOTOND6_00723
ko:K03162	ctrt:SOTOND6_00725
ko:K09013	ctrt:SOTOND6_00729
ko:K09015	ctrt:SOTOND6_00730
ko:K11717	ctrt:SOTOND6_00731
ko:K07220	ctrt:SOTOND6_00735
ko:K03306	ctrt:SOTOND6_00736
ko:K01873	ctrt:SOTOND6_00311
ko:K03046	ctrt:SOTOND6_00323
ko:K03043	ctrt:SOTOND6_00324
ko:K02935	ctrt:SOTOND6_00325
ko:K02864	ctrt:SOTOND6_00326
ko:K02863	ctrt:SOTOND6_00327
ko:K02867	ctrt:SOTOND6_00328
ko:K02601	ctrt:SOTOND6_00329
ko:K03073	ctrt:SOTOND6_00330
ko:K02358	ctrt:SOTOND6_00332
ko:K02518	ctrt:SOTOND6_00334
ko:K01803	ctrt:SOTOND6_00342
ko:K03601	ctrt:SOTOND6_00343
ko:K03602	ctrt:SOTOND6_00344
ko:K01662	ctrt:SOTOND6_00346
ko:K00873	ctrt:SOTOND6_00347
ko:K03701	ctrt:SOTOND6_00348
ko:K02343	ctrt:SOTOND6_00349
ko:K09747	ctrt:SOTOND6_00350
ko:K11381	ctrt:SOTOND6_00356
ko:K03686	ctrt:SOTOND6_00357
ko:K02970	ctrt:SOTOND6_00358
ko:K01338	ctrt:SOTOND6_00360
ko:K03733	ctrt:SOTOND6_00363
ko:K03319	ctrt:SOTOND6_00209
ko:K00850	ctrt:SOTOND6_00210
ko:K00895	ctrt:SOTOND6_00212
ko:K02527	ctrt:SOTOND6_00215
ko:K01869	ctrt:SOTOND6_00216
ko:K01845	ctrt:SOTOND6_00217
ko:K07735	ctrt:SOTOND6_00218
ko:K08999	ctrt:SOTOND6_00219
ko:K01807	ctrt:SOTOND6_00220
ko:K03787	ctrt:SOTOND6_00225
ko:K03179	ctrt:SOTOND6_00226
ko:K03186	ctrt:SOTOND6_00227
ko:K03308	ctrt:SOTOND6_00240
ko:K02078	ctrt:SOTOND6_00245
ko:K00645	ctrt:SOTOND6_00247
ko:K00648	ctrt:SOTOND6_00248
ko:K06187	ctrt:SOTOND6_00249
ko:K07277	ctrt:SOTOND6_00250
ko:K06142	ctrt:SOTOND6_00251
ko:K02536	ctrt:SOTOND6_00252
ko:K00161	ctrt:SOTOND6_00254
ko:K00162	ctrt:SOTOND6_00255
ko:K00627	ctrt:SOTOND6_00256
ko:K00688	ctrt:SOTOND6_00257
ko:K02313	ctrt:SOTOND6_00259
ko:K00927	ctrt:SOTOND6_00737
ko:K10773	ctrt:SOTOND6_00741
ko:K03650	ctrt:SOTOND6_00742
ko:K01613	ctrt:SOTOND6_00743
ko:K03070	ctrt:SOTOND6_00745
ko:K03977	ctrt:SOTOND6_00747
ko:K03544	ctrt:SOTOND6_00749
ko:K01358	ctrt:SOTOND6_00750
ko:K03545	ctrt:SOTOND6_00751
ko:K03569	ctrt:SOTOND6_00754
ko:K00057	ctrt:SOTOND6_00759
ko:K02412	ctrt:SOTOND6_00762
ko:K02411	ctrt:SOTOND6_00763
ko:K02409	ctrt:SOTOND6_00764
ko:K13819	ctrt:SOTOND6_00765
ko:K04487	ctrt:SOTOND6_00766
ko:K06178	ctrt:SOTOND6_00768
ko:K03524	ctrt:SOTOND6_00770
ko:K05837	ctrt:SOTOND6_00771
ko:K01875	ctrt:SOTOND6_00774
ko:K11752	ctrt:SOTOND6_00775
ko:K14652	ctrt:SOTOND6_00776
ko:K00794	ctrt:SOTOND6_00777
ko:K03310	ctrt:SOTOND6_00780
ko:K03466	ctrt:SOTOND6_00784
ko:K06287	ctrt:SOTOND6_00365
ko:K03075	ctrt:SOTOND6_00368
ko:K01462	ctrt:SOTOND6_00369
ko:K02528	ctrt:SOTOND6_00370
ko:K06888	ctrt:SOTOND6_00372
ko:K03523	ctrt:SOTOND6_00376
ko:K01714	ctrt:SOTOND6_00379
ko:K00928	ctrt:SOTOND6_00380
ko:K00133	ctrt:SOTOND6_00381
ko:K00215	ctrt:SOTOND6_00382
ko:K00800	ctrt:SOTOND6_00384
ko:K00891	ctrt:SOTOND6_00385
ko:K01736	ctrt:SOTOND6_00386
ko:K01735	ctrt:SOTOND6_00387
ko:K13832	ctrt:SOTOND6_00388
ko:K03758	ctrt:SOTOND6_00392
ko:K00024	ctrt:SOTOND6_00394
ko:K01810	ctrt:SOTOND6_00396
ko:K03665	ctrt:SOTOND6_00397
ko:K06167	ctrt:SOTOND6_00398
ko:K09996	ctrt:SOTOND6_00399
ko:K06966	ctrt:SOTOND6_00406
ko:K09131	ctrt:SOTOND6_00407
ko:K10206	ctrt:SOTOND6_00409
ko:K01881	ctrt:SOTOND6_00412
ko:K03705	ctrt:SOTOND6_00413
ko:K03687	ctrt:SOTOND6_00414
ko:K04043	ctrt:SOTOND6_00415
ko:K12573	ctrt:SOTOND6_00416
ko:K07164	ctrt:SOTOND6_00417
ko:K03217	ctrt:SOTOND6_00260
ko:K04487	ctrt:SOTOND6_00267
ko:K07083	ctrt:SOTOND6_00271
ko:K01962	ctrt:SOTOND6_00274
ko:K01448	ctrt:SOTOND6_00277
ko:K01928	ctrt:SOTOND6_00278
ko:K03587	ctrt:SOTOND6_00279
ko:K03438	ctrt:SOTOND6_00281
ko:K02313	ctrt:SOTOND6_00284
ko:K00347	ctrt:SOTOND6_00287
ko:K00348	ctrt:SOTOND6_00288
ko:K00349	ctrt:SOTOND6_00289
ko:K00350	ctrt:SOTOND6_00290
ko:K02437	ctrt:SOTOND6_00291
ko:K03800	ctrt:SOTOND6_00294
ko:K03696	ctrt:SOTOND6_00295
ko:K00566	ctrt:SOTOND6_00296
ko:K01963	ctrt:SOTOND6_00302
ko:K04564	ctrt:SOTOND6_00303
ko:K03685	ctrt:SOTOND6_00306
ko:K04485	ctrt:SOTOND6_00307
ko:K01749	ctrt:SOTOND6_00308
ko:K00351	ctrt:SOTOND6_00789
ko:K03210	ctrt:SOTOND6_00790
ko:K00231	ctrt:SOTOND6_00794
ko:K01599	ctrt:SOTOND6_00796
ko:K03723	ctrt:SOTOND6_00797
ko:K01872	ctrt:SOTOND6_00798
ko:K00615	ctrt:SOTOND6_00802
ko:K01241	ctrt:SOTOND6_00803
ko:K02356	ctrt:SOTOND6_00804
ko:K01929	ctrt:SOTOND6_00809
ko:K01000	ctrt:SOTOND6_00810
ko:K01925	ctrt:SOTOND6_00811
ko:K03588	ctrt:SOTOND6_00813
ko:K02563	ctrt:SOTOND6_00814
ko:K06960	ctrt:SOTOND6_00816
ko:K00791	ctrt:SOTOND6_00819
ko:K09710	ctrt:SOTOND6_00822
ko:K09458	ctrt:SOTOND6_00823
ko:K00263	ctrt:SOTOND6_00826
ko:K00655	ctrt:SOTOND6_00828
ko:K04066	ctrt:SOTOND6_00831
ko:K04567	ctrt:SOTOND6_00834
ko:K01883	ctrt:SOTOND6_00835
ko:K03536	ctrt:SOTOND6_00837
ko:K02919	ctrt:SOTOND6_00838
ko:K02954	ctrt:SOTOND6_00839
ko:K06041	ctrt:SOTOND6_00418
ko:K00658	ctrt:SOTOND6_00419
ko:K00912	ctrt:SOTOND6_00421
ko:K03437	ctrt:SOTOND6_00422
ko:K06969	ctrt:SOTOND6_00423
ko:K00793	ctrt:SOTOND6_00424
ko:K07738	ctrt:SOTOND6_00425
ko:K06204	ctrt:SOTOND6_00426
ko:K03101	ctrt:SOTOND6_00427
ko:K03310	ctrt:SOTOND6_00428
ko:K00748	ctrt:SOTOND6_00430
ko:K09817	ctrt:SOTOND6_00436
ko:K09816	ctrt:SOTOND6_00437
ko:K03979	ctrt:SOTOND6_00438
ko:K02899	ctrt:SOTOND6_00439
ko:K02888	ctrt:SOTOND6_00440
ko:K07042	ctrt:SOTOND6_00445
ko:K03183	ctrt:SOTOND6_00451
ko:K01778	ctrt:SOTOND6_00453
ko:K01358	ctrt:SOTOND6_00454
ko:K00600	ctrt:SOTOND6_00455
ko:K01770	ctrt:SOTOND6_00457
ko:K02946	ctrt:SOTOND6_00459
ko:K02355	ctrt:SOTOND6_00460
ko:K02992	ctrt:SOTOND6_00461
ko:K02950	ctrt:SOTOND6_00462
ko:K03797	ctrt:SOTOND6_00464
ko:K03559	ctrt:SOTOND6_00631
ko:K09779	ctrt:SOTOND6_00002
ko:K02435	ctrt:SOTOND6_00003
ko:K02434	ctrt:SOTOND6_00005
ko:K02517	ctrt:SOTOND6_00011
ko:K00425	ctrt:SOTOND6_00014
ko:K00426	ctrt:SOTOND6_00015
ko:K07175	ctrt:SOTOND6_00016
ko:K01870	ctrt:SOTOND6_00021
ko:K03100	ctrt:SOTOND6_00022
ko:K02909	ctrt:SOTOND6_00024
ko:K02835	ctrt:SOTOND6_00025
ko:K02493	ctrt:SOTOND6_00026
ko:K03106	ctrt:SOTOND6_00027
ko:K02959	ctrt:SOTOND6_00028
ko:K00554	ctrt:SOTOND6_00029
ko:K02884	ctrt:SOTOND6_00030
ko:K03470	ctrt:SOTOND6_00031
ko:K00942	ctrt:SOTOND6_00032
ko:K01874	ctrt:SOTOND6_00034
ko:K03581	ctrt:SOTOND6_00035
ko:K01494	ctrt:SOTOND6_00041
ko:K03551	ctrt:SOTOND6_00042
ko:K03703	ctrt:SOTOND6_00843
ko:K03555	ctrt:SOTOND6_00844
ko:K14164	ctrt:SOTOND6_00848
ko:K00995	ctrt:SOTOND6_00849
ko:K00703	ctrt:SOTOND6_00850
ko:K02897	ctrt:SOTOND6_00852
ko:K01056	ctrt:SOTOND6_00853
ko:K02990	ctrt:SOTOND6_00854
ko:K02963	ctrt:SOTOND6_00855
ko:K02939	ctrt:SOTOND6_00856
ko:K00919	ctrt:SOTOND6_00857
ko:K00630	ctrt:SOTOND6_00861
ko:K08301	ctrt:SOTOND6_00862
ko:K02911	ctrt:SOTOND6_00864
ko:K03621	ctrt:SOTOND6_00865
ko:K03431	ctrt:SOTOND6_00870
ko:K00820	ctrt:SOTOND6_00871
ko:K03834	ctrt:SOTOND6_00872
ko:K03834	ctrt:SOTOND6_00874
ko:K06890	ctrt:SOTOND6_00875
ko:K03110	ctrt:SOTOND6_00876
ko:K01903	ctrt:SOTOND6_00877
ko:K01902	ctrt:SOTOND6_00878
ko:K09760	ctrt:SOTOND6_00881
ko:K00075	ctrt:SOTOND6_00887
ko:K03625	ctrt:SOTOND6_00888
ko:K02520	ctrt:SOTOND6_00889
ko:K02916	ctrt:SOTOND6_00890
ko:K02887	ctrt:SOTOND6_00891
ko:K01889	ctrt:SOTOND6_00892
ko:K07462	ctrt:SOTOND6_00471
ko:K12257	ctrt:SOTOND6_00472
ko:K00806	ctrt:SOTOND6_00474
ko:K00981	ctrt:SOTOND6_00475
ko:K00945	ctrt:SOTOND6_00476
ko:K00655	ctrt:SOTOND6_00477
ko:K01887	ctrt:SOTOND6_00478
ko:K00790	ctrt:SOTOND6_00479
ko:K02836	ctrt:SOTOND6_00483
ko:K00991	ctrt:SOTOND6_00486
ko:K06173	ctrt:SOTOND6_00487
ko:K07710	ctrt:SOTOND6_00492
ko:K07714	ctrt:SOTOND6_00493
ko:K03584	ctrt:SOTOND6_00496
ko:K08998	ctrt:SOTOND6_00500
ko:K01890	ctrt:SOTOND6_00502
ko:K02034	ctrt:SOTOND6_00505
ko:K01772	ctrt:SOTOND6_00514
ko:K07099	ctrt:SOTOND6_00517
ko:K00975	ctrt:SOTOND6_00518
ko:K03628	ctrt:SOTOND6_00520
ko:K00859	ctrt:SOTOND6_00521
ko:K01255	ctrt:SOTOND6_00047
ko:K02340	ctrt:SOTOND6_00049
ko:K07056	ctrt:SOTOND6_00050
ko:K00164	ctrt:SOTOND6_00056
ko:K00658	ctrt:SOTOND6_00057
ko:K05810	ctrt:SOTOND6_00058
ko:K03526	ctrt:SOTOND6_00059
ko:K02400	ctrt:SOTOND6_00063
ko:K02405	ctrt:SOTOND6_00064
ko:K01866	ctrt:SOTOND6_00065
ko:K03596	ctrt:SOTOND6_00067
ko:K03301	ctrt:SOTOND6_00068
ko:K00099	ctrt:SOTOND6_00074
ko:K03629	ctrt:SOTOND6_00077
ko:K02338	ctrt:SOTOND6_00078
ko:K03664	ctrt:SOTOND6_00079
ko:K03734	ctrt:SOTOND6_00080
ko:K01491	ctrt:SOTOND6_00081
ko:K02902	ctrt:SOTOND6_00088
ko:K00705	ctrt:SOTOND6_00089
ko:K04058	ctrt:SOTOND6_00091
ko:K03230	ctrt:SOTOND6_00092
ko:K03229	ctrt:SOTOND6_00093
ko:K06942	ctrt:SOTOND6_00094
ko:K11753	ctrt:SOTOND6_00095
ko:K02834	ctrt:SOTOND6_00097
ko:K02519	ctrt:SOTOND6_00098
ko:K11720	ctrt:SOTOND6_00895
ko:K07091	ctrt:SOTOND6_00896
ko:K04075	ctrt:SOTOND6_00897
ko:K03798	ctrt:SOTOND6_00898
ko:K00962	ctrt:SOTOND6_00899
ko:K02956	ctrt:SOTOND6_00900
ko:K01265	ctrt:SOTOND6_00909
ko:K03321	ctrt:SOTOND6_00914
ko:K03527	ctrt:SOTOND6_00917
ko:K03301	ctrt:SOTOND6_00524
ko:K00995	ctrt:SOTOND6_00525
ko:K03495	ctrt:SOTOND6_00528
ko:K03800	ctrt:SOTOND6_00529
ko:K00940	ctrt:SOTOND6_00530
ko:K03550	ctrt:SOTOND6_00531
ko:K01159	ctrt:SOTOND6_00532
ko:K00134	ctrt:SOTOND6_00536
ko:K02879	ctrt:SOTOND6_00537
ko:K03040	ctrt:SOTOND6_00538
ko:K02948	ctrt:SOTOND6_00539
ko:K02952	ctrt:SOTOND6_00540
ko:K03076	ctrt:SOTOND6_00541
ko:K02876	ctrt:SOTOND6_00542
ko:K02988	ctrt:SOTOND6_00543
ko:K02881	ctrt:SOTOND6_00544
ko:K02933	ctrt:SOTOND6_00545
ko:K02994	ctrt:SOTOND6_00546
ko:K02931	ctrt:SOTOND6_00547
ko:K02895	ctrt:SOTOND6_00548
ko:K02874	ctrt:SOTOND6_00549
ko:K02961	ctrt:SOTOND6_00550
ko:K02904	ctrt:SOTOND6_00551
ko:K02878	ctrt:SOTOND6_00552
ko:K02982	ctrt:SOTOND6_00553
ko:K02890	ctrt:SOTOND6_00554
ko:K02965	ctrt:SOTOND6_00555
ko:K02886	ctrt:SOTOND6_00556
ko:K02892	ctrt:SOTOND6_00557
ko:K02926	ctrt:SOTOND6_00558
ko:K02906	ctrt:SOTOND6_00559
ko:K00604	ctrt:SOTOND6_00561
ko:K00677	ctrt:SOTOND6_00562
ko:K02372	ctrt:SOTOND6_00563
ko:K02535	ctrt:SOTOND6_00564
ko:K02028	ctrt:SOTOND6_00132
ko:K14220	ctrt:SOTOND6_00039
ko:K15035	ctrt:SOTOND6_00020
ko:K14222	ctrt:SOTOND6_00808
ko:K01980	ctrt:SOTOND6_00787
ko:K01980	ctrt:SOTOND6_00800
ko:K01985	ctrt:SOTOND6_00788
ko:K01985	ctrt:SOTOND6_00801
ko:K17103	ctrt:SOTOND6_00882
ko:K14233	ctrt:SOTOND6_00373
ko:K14228	ctrt:SOTOND6_00490
ko:K04084	ctrt:SOTOND6_00629
ko:K14236	ctrt:SOTOND6_00145
ko:K14227	ctrt:SOTOND6_00184
ko:K14218	ctrt:SOTOND6_00674
ko:K14230	ctrt:SOTOND6_00213
ko:K14230	ctrt:SOTOND6_00340
ko:K14235	ctrt:SOTOND6_00331
ko:K14233	ctrt:SOTOND6_00526
ko:K14231	ctrt:SOTOND6_00441
ko:K14221	ctrt:SOTOND6_00229
ko:K14233	ctrt:SOTOND6_00434
ko:K14228	ctrt:SOTOND6_00534
ko:K14228	ctrt:SOTOND6_00570
ko:K14219	ctrt:SOTOND6_00494
ko:K14219	ctrt:SOTOND6_00695
ko:K14232	ctrt:SOTOND6_00668
ko:K14229	ctrt:SOTOND6_00718
ko:K14224	ctrt:SOTOND6_00719
ko:K14226	ctrt:SOTOND6_00785
ko:K14223	ctrt:SOTOND6_00851
ko:K14218	ctrt:SOTOND6_00185
ko:K14219	ctrt:SOTOND6_00638
ko:K01977	ctrt:SOTOND6_00786
ko:K01977	ctrt:SOTOND6_00799
ko:K14234	ctrt:SOTOND6_00715
ko:K14225	ctrt:SOTOND6_00724
ko:K14228	ctrt:SOTOND6_00498
ko:K14228	ctrt:SOTOND6_00922
ko:K14232	ctrt:SOTOND6_00062
ko:K14237	ctrt:SOTOND6_00230
ko:K14230	ctrt:SOTOND6_00214
ko:K14234	ctrt:SOTOND6_00144
ko:K14234	ctrt:SOTOND6_00333
ko:K14225	ctrt:SOTOND6_00752
ko:K14237	ctrt:SOTOND6_00885
ko:K01840	ctrt:SOTOND6_00304
ko:K06972	ctrt:SOTOND6_00880
ko:K08719	ctrt:SOTOND6_00758
ko:K07081	ctrt:SOTOND6_00450
ko:K01802	ctrt:SOTOND6_00573
ko:K08275	ctrt:SOTOND6_00083
ko:K08274	ctrt:SOTOND6_00395
ko:K01921	ctrt:SOTOND6_00815
ko:K01924	ctrt:SOTOND6_00815
ko:K01829	ctrt:SOTOND6_00833
ko:K01829	ctrt:SOTOND6_00836
ko:K03309	ctrt:SOTOND6_00420
ko:K07033	ctrt:SOTOND6_00728
ko:K03497	ctrt:SOTOND6_00732
ko:K03496	ctrt:SOTOND6_00615
ko:K03111	ctrt:SOTOND6_00046
ko:K03825	ctrt:SOTOND6_00482
ko:K03496	ctrt:SOTOND6_p7
ko:K02626	ctrt:SOTOND6_00391
ko:K11991	ctrt:SOTOND6_00901
ko:K02031	ctrt:SOTOND6_00734
ko:K04771	ctrt:SOTOND6_00879
ko:K19411	ctrt:SOTOND6_00717
ko:K19405	ctrt:SOTOND6_00716
ko:K07125	ctrt:SOTOND6_00336
ko:K12132	ctrt:SOTOND6_00310
ko:K20265	ctrt:SOTOND6_00223
ko:K20074	ctrt:SOTOND6_00268
ko:K11749	ctrt:SOTOND6_00075
ko:K22100	ctrt:SOTOND6_00341
ko:K22099	ctrt:SOTOND6_00647
ko:K00526	ctrt:SOTOND6_00884
ko:K02316	ctrt:SOTOND6_00845
ko:K02314	ctrt:SOTOND6_p3
ko:K02335	ctrt:SOTOND6_00522
ko:K03553	ctrt:SOTOND6_00688
ko:K01520	ctrt:SOTOND6_00301
ko:K00287	ctrt:SOTOND6_00648
ko:K02314	ctrt:SOTOND6_00527
ko:K02032	ctrt:SOTOND6_00733
ko:K00525	ctrt:SOTOND6_00883
ko:K02050	ctrt:SOTOND6_00912
ko:K02051	ctrt:SOTOND6_00912
ko:K01534	ctrt:SOTOND6_00772
ko:K16239	ctrt:SOTOND6_00087
