ko:K00054	sah:SaurJH1_2621
ko:K03763	sah:SaurJH1_1350
ko:K01430	sah:SaurJH1_2355
ko:K03187	sah:SaurJH1_2358
ko:K02621	sah:SaurJH1_1444
ko:K02622	sah:SaurJH1_1443
ko:K02469	sah:SaurJH1_0006
ko:K03188	sah:SaurJH1_2359
ko:K03189	sah:SaurJH1_2360
ko:K03190	sah:SaurJH1_2361
ko:K01703	sah:SaurJH1_2133
ko:K11144	sah:SaurJH1_1775
ko:K03647	sah:SaurJH1_0771
ko:K02440	sah:SaurJH1_1384
ko:K03666	sah:SaurJH1_1389
ko:K02338	sah:SaurJH1_0002
ko:K01956	sah:SaurJH1_1286
ko:K09693	sah:SaurJH1_0675
ko:K09692	sah:SaurJH1_0676
ko:K00525	sah:SaurJH1_0772
ko:K01821	sah:SaurJH1_1453
ko:K06967	sah:SaurJH1_1652
ko:K02334	sah:SaurJH1_1058
ko:K01428	sah:SaurJH1_2357
ko:K02518	sah:SaurJH1_2296
ko:K02876	sah:SaurJH1_2299
ko:K01419	sah:SaurJH1_1338
ko:K02313	sah:SaurJH1_0001
ko:K03427	sah:SaurJH1_1895
ko:K04075	sah:SaurJH1_0544
ko:K03702	sah:SaurJH1_0799
ko:K03644	sah:SaurJH1_0942
ko:K01154	sah:SaurJH1_0467
ko:K03667	sah:SaurJH1_1339
ko:K00974	sah:SaurJH1_1545
ko:K03723	sah:SaurJH1_0538
ko:K03299	sah:SaurJH1_2580
ko:K02749	sah:SaurJH1_2390
ko:K02750	sah:SaurJH1_2390
ko:K00641	sah:SaurJH1_0012
ko:K07090	sah:SaurJH1_0037
ko:K06400	sah:SaurJH1_0049
ko:K07646	sah:SaurJH1_0060
ko:K03328	sah:SaurJH1_0123
ko:K01784	sah:SaurJH1_0153
ko:K02051	sah:SaurJH1_0163
ko:K02005	sah:SaurJH1_0187
ko:K02003	sah:SaurJH1_0188
ko:K02004	sah:SaurJH1_0189
ko:K01990	sah:SaurJH1_0193
ko:K02035	sah:SaurJH1_0199
ko:K10112	sah:SaurJH1_0204
ko:K02012	sah:SaurJH1_0215
ko:K01126	sah:SaurJH1_0218
ko:K01897	sah:SaurJH1_0224
ko:K02035	sah:SaurJH1_0227
ko:K03328	sah:SaurJH1_0539
ko:K01091	sah:SaurJH1_0592
ko:K02015	sah:SaurJH1_0648
ko:K07025	sah:SaurJH1_0649
ko:K03740	sah:SaurJH1_0954
ko:K03100	sah:SaurJH1_0983
ko:K02035	sah:SaurJH1_1009
ko:K03455	sah:SaurJH1_1027
ko:K07052	sah:SaurJH1_1110
ko:K02016	sah:SaurJH1_1119
ko:K02552	sah:SaurJH1_1124
ko:K04069	sah:SaurJH1_0217
ko:K01153	sah:SaurJH1_0185
ko:K09814	sah:SaurJH1_2429
ko:K06147	sah:SaurJH1_2503
ko:K03535	sah:SaurJH1_2587
ko:K00817	sah:SaurJH1_2758
ko:K07132	sah:SaurJH1_2821
ko:K07497	sah:SaurJH1_2822
ko:K03312	sah:SaurJH1_2415
ko:K02939	sah:SaurJH1_0015
ko:K07668	sah:SaurJH1_0018
ko:K00783	sah:SaurJH1_0024
ko:K07667	sah:SaurJH1_0059
ko:K02042	sah:SaurJH1_0131
ko:K02041	sah:SaurJH1_0133
ko:K09790	sah:SaurJH1_0157
ko:K02049	sah:SaurJH1_0162
ko:K00930	sah:SaurJH1_0172
ko:K07106	sah:SaurJH1_0181
ko:K00016	sah:SaurJH1_0231
ko:K05338	sah:SaurJH1_0253
ko:K00852	sah:SaurJH1_0259
ko:K06726	sah:SaurJH1_0260
ko:K02821	sah:SaurJH1_0390
ko:K07224	sah:SaurJH1_0401
ko:K03116	sah:SaurJH1_0405
ko:K07729	sah:SaurJH1_0407
ko:K06942	sah:SaurJH1_0422
ko:K02990	sah:SaurJH1_0424
ko:K02963	sah:SaurJH1_0426
ko:K08987	sah:SaurJH1_0455
ko:K02071	sah:SaurJH1_0496
ko:K02072	sah:SaurJH1_0497
ko:K02073	sah:SaurJH1_0498
ko:K03486	sah:SaurJH1_0510
ko:K07056	sah:SaurJH1_0523
ko:K05985	sah:SaurJH1_0526
ko:K02528	sah:SaurJH1_0527
ko:K09685	sah:SaurJH1_0530
ko:K06412	sah:SaurJH1_0532
ko:K07571	sah:SaurJH1_0543
ko:K04083	sah:SaurJH1_0547
ko:K06215	sah:SaurJH1_0555
ko:K08681	sah:SaurJH1_0556
ko:K03708	sah:SaurJH1_0558
ko:K11145	sah:SaurJH1_0567
ko:K03218	sah:SaurJH1_0568
ko:K06962	sah:SaurJH1_0569
ko:K01737	sah:SaurJH1_0751
ko:K06920	sah:SaurJH1_0752
ko:K02013	sah:SaurJH1_0776
ko:K02836	sah:SaurJH1_0795
ko:K06023	sah:SaurJH1_0801
ko:K00384	sah:SaurJH1_0805
ko:K07071	sah:SaurJH1_0810
ko:K03075	sah:SaurJH1_0819
ko:K03664	sah:SaurJH1_0822
ko:K03704	sah:SaurJH1_0833
ko:K02437	sah:SaurJH1_0849
ko:K07476	sah:SaurJH1_0852
ko:K02071	sah:SaurJH1_0854
ko:K02072	sah:SaurJH1_0855
ko:K02073	sah:SaurJH1_0856
ko:K03687	sah:SaurJH1_1673
ko:K03978	sah:SaurJH1_1765
ko:K02986	sah:SaurJH1_1810
ko:K03216	sah:SaurJH1_1943
ko:K07586	sah:SaurJH1_1955
ko:K01926	sah:SaurJH1_2120
ko:K02926	sah:SaurJH1_2317
ko:K02017	sah:SaurJH1_2344
ko:K04068	sah:SaurJH1_2693
ko:K02042	sah:SaurJH1_0132
ko:K08996	sah:SaurJH1_0171
ko:K02003	sah:SaurJH1_0299
ko:K06956	sah:SaurJH1_0442
ko:K03308	sah:SaurJH1_0493
ko:K06885	sah:SaurJH1_0641
ko:K05566	sah:SaurJH1_0661
ko:K10026	sah:SaurJH1_0750
ko:K06024	sah:SaurJH1_1582
ko:K06890	sah:SaurJH1_0705
ko:K02039	sah:SaurJH1_1475
ko:K07124	sah:SaurJH1_1590
ko:K03705	sah:SaurJH1_1674
ko:K01719	sah:SaurJH1_1761
ko:K07658	sah:SaurJH1_1784
ko:K07002	sah:SaurJH1_1918
ko:K07035	sah:SaurJH1_1947
ko:K07052	sah:SaurJH1_2105
ko:K02016	sah:SaurJH1_2246
ko:K01727	sah:SaurJH1_2271
ko:K03752	sah:SaurJH1_2336
ko:K08717	sah:SaurJH1_2354
ko:K07107	sah:SaurJH1_2418
ko:K00231	sah:SaurJH1_1919
ko:K02529	sah:SaurJH1_0262
ko:K01990	sah:SaurJH1_0268
ko:K03307	sah:SaurJH1_0304
ko:K07243	sah:SaurJH1_0403
ko:K01990	sah:SaurJH1_0409
ko:K01834	sah:SaurJH1_0435
ko:K09822	sah:SaurJH1_0488
ko:K02826	sah:SaurJH1_1143
ko:K00426	sah:SaurJH1_1169
ko:K11072	sah:SaurJH1_1181
ko:K01126	sah:SaurJH1_1202
ko:K07025	sah:SaurJH1_1259
ko:K03589	sah:SaurJH1_1268
ko:K03590	sah:SaurJH1_1269
ko:K06131	sah:SaurJH1_1406
ko:K03816	sah:SaurJH1_0446
ko:K02825	sah:SaurJH1_1282
ko:K04757	sah:SaurJH1_2139
ko:K01548	sah:SaurJH1_2150
ko:K03536	sah:SaurJH1_2792
ko:K03595	sah:SaurJH1_1659
ko:K06217	sah:SaurJH1_1663
ko:K02687	sah:SaurJH1_1670
ko:K03698	sah:SaurJH1_1929
ko:K03090	sah:SaurJH1_2138
ko:K02109	sah:SaurJH1_2181
ko:K01476	sah:SaurJH1_2234
ko:K02068	sah:SaurJH1_2530
ko:K04758	sah:SaurJH1_2627
ko:K07213	sah:SaurJH1_2634
ko:K05786	sah:SaurJH1_2776
ko:K02034	sah:SaurJH1_0198
ko:K02564	sah:SaurJH1_0606
ko:K05570	sah:SaurJH1_0665
ko:K02240	sah:SaurJH1_0791
ko:K05311	sah:SaurJH1_0812
ko:K00841	sah:SaurJH1_1131
ko:K11070	sah:SaurJH1_1183
ko:K03531	sah:SaurJH1_1270
ko:K07444	sah:SaurJH1_1533
ko:K02945	sah:SaurJH1_1563
ko:K04487	sah:SaurJH1_1713
ko:K06209	sah:SaurJH1_1733
ko:K03575	sah:SaurJH1_1956
ko:K02530	sah:SaurJH1_2266
ko:K09940	sah:SaurJH1_2369
ko:K03631	sah:SaurJH1_1611
ko:K01807	sah:SaurJH1_2404
ko:K08303	sah:SaurJH1_1703
ko:K04485	sah:SaurJH1_0562
ko:K02787	sah:SaurJH1_2260
ko:K02788	sah:SaurJH1_2260
ko:K02799	sah:SaurJH1_2226
ko:K02800	sah:SaurJH1_2226
ko:K09007	sah:SaurJH1_0603
ko:K03686	sah:SaurJH1_1671
ko:K02563	sah:SaurJH1_1507
ko:K02600	sah:SaurJH1_1352
ko:K11085	sah:SaurJH1_1954
ko:K04077	sah:SaurJH1_2103
ko:K02112	sah:SaurJH1_2177
ko:K02529	sah:SaurJH1_1826
ko:K03893	sah:SaurJH1_1861
ko:K03320	sah:SaurJH1_2116
ko:K01929	sah:SaurJH1_2157
ko:K03628	sah:SaurJH1_2195
ko:K07038	sah:SaurJH1_2241
ko:K06950	sah:SaurJH1_2164
ko:K01104	sah:SaurJH1_2189
ko:K00128	sah:SaurJH1_2196
ko:K02988	sah:SaurJH1_2301
ko:K05340	sah:SaurJH1_2324
ko:K00833	sah:SaurJH1_2500
ko:K06999	sah:SaurJH1_2593
ko:K07104	sah:SaurJH1_2597
ko:K00130	sah:SaurJH1_2689
ko:K03758	sah:SaurJH1_2713
ko:K03319	sah:SaurJH1_2775
ko:K08602	sah:SaurJH1_1018
ko:K02250	sah:SaurJH1_1106
ko:K06969	sah:SaurJH1_1163
ko:K06207	sah:SaurJH1_1191
ko:K03284	sah:SaurJH1_2448
ko:K08170	sah:SaurJH1_2519
ko:K10209	sah:SaurJH1_2637
ko:K10211	sah:SaurJH1_2639
ko:K03300	sah:SaurJH1_2695
ko:K01401	sah:SaurJH1_2717
ko:K08976	sah:SaurJH1_1199
ko:K03703	sah:SaurJH1_1227
ko:K07030	sah:SaurJH1_1310
ko:K00615	sah:SaurJH1_1430
ko:K03480	sah:SaurJH1_1446
ko:K04766	sah:SaurJH1_1824
ko:K01955	sah:SaurJH1_1287
ko:K02115	sah:SaurJH1_2178
ko:K02036	sah:SaurJH1_1476
ko:K02086	sah:SaurJH1_1541
ko:K09816	sah:SaurJH1_1647
ko:K02316	sah:SaurJH1_1654
ko:K03596	sah:SaurJH1_1677
ko:K01868	sah:SaurJH1_1774
ko:K00873	sah:SaurJH1_1788
ko:K04487	sah:SaurJH1_1807
ko:K04768	sah:SaurJH1_1825
ko:K02342	sah:SaurJH1_1982
ko:K06158	sah:SaurJH1_2121
ko:K01547	sah:SaurJH1_2151
ko:K05837	sah:SaurJH1_2159
ko:K03753	sah:SaurJH1_2339
ko:K02379	sah:SaurJH1_2347
ko:K03574	sah:SaurJH1_2568
ko:K06518	sah:SaurJH1_2617
ko:K04759	sah:SaurJH1_2626
ko:K07035	sah:SaurJH1_2647
ko:K00380	sah:SaurJH1_2698
ko:K01814	sah:SaurJH1_2755
ko:K03495	sah:SaurJH1_2790
ko:K08094	sah:SaurJH1_2813
ko:K04041	sah:SaurJH1_2591
ko:K07284	sah:SaurJH1_2603
ko:K07107	sah:SaurJH1_2613
ko:K00016	sah:SaurJH1_2678
ko:K03451	sah:SaurJH1_2691
ko:K07778	sah:SaurJH1_1409
ko:K02032	sah:SaurJH1_1469
ko:K02031	sah:SaurJH1_1470
ko:K02034	sah:SaurJH1_1471
ko:K02033	sah:SaurJH1_1472
ko:K00259	sah:SaurJH1_1528
ko:K03654	sah:SaurJH1_1569
ko:K07146	sah:SaurJH1_2770
ko:K07241	sah:SaurJH1_2778
ko:K03322	sah:SaurJH1_1187
ko:K02824	sah:SaurJH1_1283
ko:K03106	sah:SaurJH1_1321
ko:K04094	sah:SaurJH1_1336
ko:K01586	sah:SaurJH1_1490
ko:K03977	sah:SaurJH1_1562
ko:K07478	sah:SaurJH1_1718
ko:K03979	sah:SaurJH1_1734
ko:K03544	sah:SaurJH1_1766
ko:K03151	sah:SaurJH1_1806
ko:K09769	sah:SaurJH1_1374
ko:K01589	sah:SaurJH1_1147
ko:K01889	sah:SaurJH1_1219
ko:K10947	sah:SaurJH1_2773
ko:K01963	sah:SaurJH1_1791
ko:K01902	sah:SaurJH1_1330
ko:K03043	sah:SaurJH1_0579
ko:K03060	sah:SaurJH1_1294
ko:K01623	sah:SaurJH1_2682
ko:K01903	sah:SaurJH1_1329
ko:K02428	sah:SaurJH1_1232
ko:K01745	sah:SaurJH1_0008
ko:K01875	sah:SaurJH1_0009
ko:K01939	sah:SaurJH1_0017
ko:K01126	sah:SaurJH1_0027
ko:K00561	sah:SaurJH1_0039
ko:K01771	sah:SaurJH1_0086
ko:K01619	sah:SaurJH1_0129
ko:K01839	sah:SaurJH1_0130
ko:K01104	sah:SaurJH1_0142
ko:K01791	sah:SaurJH1_0146
ko:K01791	sah:SaurJH1_0155
ko:K00145	sah:SaurJH1_0174
ko:K00681	sah:SaurJH1_0200
ko:K00656	sah:SaurJH1_0216
ko:K00632	sah:SaurJH1_0221
ko:K08259	sah:SaurJH1_0267
ko:K01639	sah:SaurJH1_0305
ko:K01788	sah:SaurJH1_0308
ko:K01046	sah:SaurJH1_0310
ko:K01227	sah:SaurJH1_0372
ko:K00626	sah:SaurJH1_0412
ko:K00549	sah:SaurJH1_0414
ko:K01739	sah:SaurJH1_0417
ko:K03386	sah:SaurJH1_0440
ko:K01951	sah:SaurJH1_0449
ko:K00943	sah:SaurJH1_0516
ko:K00919	sah:SaurJH1_0529
ko:K00948	sah:SaurJH1_0535
ko:K00760	sah:SaurJH1_0545
ko:K00796	sah:SaurJH1_0549
ko:K01633	sah:SaurJH1_0550
ko:K00950	sah:SaurJH1_0551
ko:K00640	sah:SaurJH1_0565
ko:K01436	sah:SaurJH1_0586
ko:K00639	sah:SaurJH1_0587
ko:K00853	sah:SaurJH1_0589
ko:K03657	sah:SaurJH1_1994
ko:K00793	sah:SaurJH1_1857
ko:K00282	sah:SaurJH1_1627
ko:K01462	sah:SaurJH1_1173
ko:K00382	sah:SaurJH1_1178
ko:K01092	sah:SaurJH1_1189
ko:K01776	sah:SaurJH1_1231
ko:K00611	sah:SaurJH1_1252
ko:K00926	sah:SaurJH1_1253
ko:K01000	sah:SaurJH1_1266
ko:K01925	sah:SaurJH1_1267
ko:K01870	sah:SaurJH1_1277
ko:K01465	sah:SaurJH1_1285
ko:K01591	sah:SaurJH1_1288
ko:K00762	sah:SaurJH1_1289
ko:K00942	sah:SaurJH1_1293
ko:K01783	sah:SaurJH1_1306
ko:K00554	sah:SaurJH1_1324
ko:K00806	sah:SaurJH1_1346
ko:K00981	sah:SaurJH1_1347
ko:K01881	sah:SaurJH1_1349
ko:K00962	sah:SaurJH1_1360
ko:K00864	sah:SaurJH1_1385
ko:K00791	sah:SaurJH1_1388
ko:K01915	sah:SaurJH1_1394
ko:K01174	sah:SaurJH1_1412
ko:K00928	sah:SaurJH1_1415
ko:K00003	sah:SaurJH1_1416
ko:K03046	sah:SaurJH1_0580
ko:K02340	sah:SaurJH1_1679
ko:K03040	sah:SaurJH1_2292
ko:K01658	sah:SaurJH1_1458
ko:K00364	sah:SaurJH1_1425
ko:K01356	sah:SaurJH1_1427
ko:K07304	sah:SaurJH1_1450
ko:K00766	sah:SaurJH1_1459
ko:K01609	sah:SaurJH1_1460
ko:K01817	sah:SaurJH1_1461
ko:K00928	sah:SaurJH1_1483
ko:K00133	sah:SaurJH1_1484
ko:K01714	sah:SaurJH1_1485
ko:K00215	sah:SaurJH1_1486
ko:K01775	sah:SaurJH1_1489
ko:K00658	sah:SaurJH1_1502
ko:K00164	sah:SaurJH1_1503
ko:K03797	sah:SaurJH1_1509
ko:K07304	sah:SaurJH1_1513
ko:K00287	sah:SaurJH1_1515
ko:K00560	sah:SaurJH1_1516
ko:K01754	sah:SaurJH1_1527
ko:K01893	sah:SaurJH1_1542
ko:K00800	sah:SaurJH1_1552
ko:K01735	sah:SaurJH1_1553
ko:K01736	sah:SaurJH1_1554
ko:K00940	sah:SaurJH1_1556
ko:K00057	sah:SaurJH1_1561
ko:K00945	sah:SaurJH1_1565
ko:K00286	sah:SaurJH1_1591
ko:K00784	sah:SaurJH1_1592
ko:K00036	sah:SaurJH1_1593
ko:K01775	sah:SaurJH1_1596
ko:K00033	sah:SaurJH1_1601
ko:K00891	sah:SaurJH1_1629
ko:K01151	sah:SaurJH1_1649
ko:K00969	sah:SaurJH1_1686
ko:K00876	sah:SaurJH1_1702
ko:K01872	sah:SaurJH1_1709
ko:K00566	sah:SaurJH1_1712
ko:K01876	sah:SaurJH1_1720
ko:K00951	sah:SaurJH1_1724
ko:K00759	sah:SaurJH1_1725
ko:K00773	sah:SaurJH1_1729
ko:K00561	sah:SaurJH1_1747
ko:K01873	sah:SaurJH1_1755
ko:K01246	sah:SaurJH1_1756
ko:K01845	sah:SaurJH1_1759
ko:K01698	sah:SaurJH1_1760
ko:K01749	sah:SaurJH1_1762
ko:K02492	sah:SaurJH1_1764
ko:K00134	sah:SaurJH1_1778
ko:K00859	sah:SaurJH1_1779
ko:K00850	sah:SaurJH1_1789
ko:K00027	sah:SaurJH1_1792
ko:K00259	sah:SaurJH1_1800
ko:K00925	sah:SaurJH1_1802
ko:K00058	sah:SaurJH1_1814
ko:K01866	sah:SaurJH1_1819
ko:K01938	sah:SaurJH1_1822
ko:K01895	sah:SaurJH1_1823
ko:K01924	sah:SaurJH1_1830
ko:K01261	sah:SaurJH1_1835
ko:K03439	sah:SaurJH1_1838
ko:K01869	sah:SaurJH1_1848
ko:K01227	sah:SaurJH1_1862
ko:K00616	sah:SaurJH1_1868
ko:K00789	sah:SaurJH1_1877
ko:K01610	sah:SaurJH1_1878
ko:K01772	sah:SaurJH1_1920
ko:K01599	sah:SaurJH1_1921
ko:K01845	sah:SaurJH1_1952
ko:K01104	sah:SaurJH1_1969
ko:K01265	sah:SaurJH1_1976
ko:K01972	sah:SaurJH1_1993
ko:K01756	sah:SaurJH1_1997
ko:K08258	sah:SaurJH1_1998
ko:K01916	sah:SaurJH1_2002
ko:K00763	sah:SaurJH1_2003
ko:K00491	sah:SaurJH1_2004
ko:K01448	sah:SaurJH1_1722
ko:K00819	sah:SaurJH1_0976
ko:K01126	sah:SaurJH1_0978
ko:K01940	sah:SaurJH1_0980
ko:K01810	sah:SaurJH1_0981
ko:K03100	sah:SaurJH1_0984
ko:K01826	sah:SaurJH1_0987
ko:K01649	sah:SaurJH1_0995
ko:K00826	sah:SaurJH1_0591
ko:K00712	sah:SaurJH1_0601
ko:K00712	sah:SaurJH1_0602
ko:K00625	sah:SaurJH1_0626
ko:K01597	sah:SaurJH1_0629
ko:K01887	sah:SaurJH1_0645
ko:K05946	sah:SaurJH1_0674
ko:K00980	sah:SaurJH1_0679
ko:K06153	sah:SaurJH1_0723
ko:K01669	sah:SaurJH1_0731
ko:K00882	sah:SaurJH1_0739
ko:K01443	sah:SaurJH1_0741
ko:K00075	sah:SaurJH1_0779
ko:K00865	sah:SaurJH1_0783
ko:K01258	sah:SaurJH1_0784
ko:K01358	sah:SaurJH1_0809
ko:K00134	sah:SaurJH1_0813
ko:K00927	sah:SaurJH1_0814
ko:K01803	sah:SaurJH1_0815
ko:K01689	sah:SaurJH1_0817
ko:K01174	sah:SaurJH1_0832
ko:K01227	sah:SaurJH1_0927
ko:K03367	sah:SaurJH1_0951
ko:K01255	sah:SaurJH1_0961
ko:K01867	sah:SaurJH1_1014
ko:K00858	sah:SaurJH1_1024
ko:K02551	sah:SaurJH1_1125
ko:K01661	sah:SaurJH1_1127
ko:K01318	sah:SaurJH1_1130
ko:K01923	sah:SaurJH1_1148
ko:K01952	sah:SaurJH1_1150
ko:K01952	sah:SaurJH1_1151
ko:K01933	sah:SaurJH1_1153
ko:K01945	sah:SaurJH1_1156
ko:K02499	sah:SaurJH1_0540
ko:K00158	sah:SaurJH1_2615
ko:K01641	sah:SaurJH1_2622
ko:K00294	sah:SaurJH1_2630
ko:K00226	sah:SaurJH1_2665
ko:K01579	sah:SaurJH1_2673
ko:K01918	sah:SaurJH1_2674
ko:K00606	sah:SaurJH1_2675
ko:K00077	sah:SaurJH1_2676
ko:K01575	sah:SaurJH1_2677
ko:K00823	sah:SaurJH1_2680
ko:K00116	sah:SaurJH1_2683
ko:K00108	sah:SaurJH1_2688
ko:K01077	sah:SaurJH1_2706
ko:K00926	sah:SaurJH1_2712
ko:K00611	sah:SaurJH1_2714
ko:K01478	sah:SaurJH1_2715
ko:K01809	sah:SaurJH1_2722
ko:K07304	sah:SaurJH1_2741
ko:K01104	sah:SaurJH1_2743
ko:K08253	sah:SaurJH1_2744
ko:K01046	sah:SaurJH1_2751
ko:K01693	sah:SaurJH1_2757
ko:K00013	sah:SaurJH1_2759
ko:K00765	sah:SaurJH1_2760
ko:K01304	sah:SaurJH1_2771
ko:K00036	sah:SaurJH1_2809
ko:K00033	sah:SaurJH1_2810
ko:K01810	sah:SaurJH1_2811
ko:K07704	sah:SaurJH1_0251
ko:K03671	sah:SaurJH1_1226
ko:K01114	sah:SaurJH1_2098
ko:K01439	sah:SaurJH1_2101
ko:K01409	sah:SaurJH1_2123
ko:K01687	sah:SaurJH1_2127
ko:K00053	sah:SaurJH1_2130
ko:K01649	sah:SaurJH1_2131
ko:K00052	sah:SaurJH1_2132
ko:K01754	sah:SaurJH1_2135
ko:K01775	sah:SaurJH1_2145
ko:K00997	sah:SaurJH1_2146
ko:K01921	sah:SaurJH1_2158
ko:K00788	sah:SaurJH1_2166
ko:K00878	sah:SaurJH1_2167
ko:K00790	sah:SaurJH1_2174
ko:K01791	sah:SaurJH1_2185
ko:K00761	sah:SaurJH1_2186
ko:K00600	sah:SaurJH1_2187
ko:K00857	sah:SaurJH1_2193
ko:K00790	sah:SaurJH1_2198
ko:K01937	sah:SaurJH1_2201
ko:K07173	sah:SaurJH1_2208
ko:K00756	sah:SaurJH1_2210
ko:K01619	sah:SaurJH1_2211
ko:K01809	sah:SaurJH1_2217
ko:K00820	sah:SaurJH1_2225
ko:K01220	sah:SaurJH1_2259
ko:K01635	sah:SaurJH1_2262
ko:K00917	sah:SaurJH1_2263
ko:K01819	sah:SaurJH1_2264
ko:K01819	sah:SaurJH1_2265
ko:K01575	sah:SaurJH1_2275
ko:K01227	sah:SaurJH1_2373
ko:K01092	sah:SaurJH1_2378
ko:K01468	sah:SaurJH1_2398
ko:K01712	sah:SaurJH1_2399
ko:K01785	sah:SaurJH1_2407
ko:K01823	sah:SaurJH1_2416
ko:K00116	sah:SaurJH1_2435
ko:K01834	sah:SaurJH1_2490
ko:K01906	sah:SaurJH1_2497
ko:K00652	sah:SaurJH1_2498
ko:K01012	sah:SaurJH1_2499
ko:K01935	sah:SaurJH1_2501
ko:K00865	sah:SaurJH1_2507
ko:K00077	sah:SaurJH1_2518
ko:K01752	sah:SaurJH1_2606
ko:K00283	sah:SaurJH1_1626
ko:K05847	sah:SaurJH1_0762
ko:K03739	sah:SaurJH1_0952
ko:K07084	sah:SaurJH1_0962
ko:K05569	sah:SaurJH1_0967
