ko:K03293	sagc:DN94_06620
ko:K12999	sagc:DN94_06615
ko:K03367	sagc:DN94_08045
ko:K02914	sagc:DN94_08065
ko:K02001	sagc:DN94_08075
ko:K02002	sagc:DN94_08075
ko:K02000	sagc:DN94_08080
ko:K03476	sagc:DN94_08090
ko:K03493	sagc:DN94_08095
ko:K00880	sagc:DN94_08105
ko:K07045	sagc:DN94_08110
ko:K00616	sagc:DN94_08135
ko:K02821	sagc:DN94_08155
ko:K02822	sagc:DN94_08160
ko:K03475	sagc:DN94_08165
ko:K01939	sagc:DN94_08180
ko:K01919	sagc:DN94_08195
ko:K04083	sagc:DN94_08210
ko:K03823	sagc:DN94_08225
ko:K03696	sagc:DN94_08230
ko:K03708	sagc:DN94_08235
ko:K02357	sagc:DN94_08245
ko:K02967	sagc:DN94_08250
ko:K03386	sagc:DN94_08255
ko:K03387	sagc:DN94_08260
ko:K07386	sagc:DN94_08285
ko:K01462	sagc:DN94_08305
ko:K03664	sagc:DN94_06625
ko:K12573	sagc:DN94_06630
ko:K03075	sagc:DN94_06635
ko:K02747	sagc:DN94_08320
ko:K01625	sagc:DN94_08330
ko:K03763	sagc:DN94_08355
ko:K01881	sagc:DN94_08365
ko:K11749	sagc:DN94_08370
ko:K00981	sagc:DN94_08375
ko:K00806	sagc:DN94_08380
ko:K03210	sagc:DN94_08385
ko:K01784	sagc:DN94_08415
ko:K10112	sagc:DN94_08425
ko:K01635	sagc:DN94_08440
ko:K00917	sagc:DN94_08445
ko:K01819	sagc:DN94_08450
ko:K01819	sagc:DN94_08455
ko:K02530	sagc:DN94_08475
ko:K09815	sagc:DN94_08485
ko:K07560	sagc:DN94_08490
ko:K00951	sagc:DN94_08495
ko:K03647	sagc:DN94_08505
ko:K02012	sagc:DN94_08525
ko:K07720	sagc:DN94_08530
ko:K02795	sagc:DN94_08545
ko:K02794	sagc:DN94_08550
ko:K02793	sagc:DN94_08555
ko:K07706	sagc:DN94_08590
ko:K06896	sagc:DN94_08600
ko:K01990	sagc:DN94_06650
ko:K00859	sagc:DN94_06655
ko:K10563	sagc:DN94_06660
ko:K07042	sagc:DN94_06705
ko:K10254	sagc:DN94_06730
ko:K07304	sagc:DN94_06740
ko:K00243	sagc:DN94_06745
ko:K02838	sagc:DN94_06750
ko:K09903	sagc:DN94_06755
ko:K10824	sagc:DN94_06760
ko:K15587	sagc:DN94_06765
ko:K15586	sagc:DN94_06770
ko:K15584	sagc:DN94_06780
ko:K02863	sagc:DN94_06785
ko:K02867	sagc:DN94_06790
ko:K08170	sagc:DN94_06795
ko:K03342	sagc:DN94_06810
ko:K03466	sagc:DN94_06815
ko:K03767	sagc:DN94_06820
ko:K03709	sagc:DN94_06840
ko:K01243	sagc:DN94_06845
ko:K01515	sagc:DN94_06855
ko:K04042	sagc:DN94_06860
ko:K04750	sagc:DN94_06865
ko:K00059	sagc:DN94_06885
ko:K03311	sagc:DN94_06930
ko:K01874	sagc:DN94_06935
ko:K16868	sagc:DN94_06940
ko:K01142	sagc:DN94_06960
ko:K00567	sagc:DN94_06970
ko:K00058	sagc:DN94_06975
ko:K00831	sagc:DN94_06985
ko:K06201	sagc:DN94_06990
ko:K07056	sagc:DN94_06995
ko:K02341	sagc:DN94_07005
ko:K00943	sagc:DN94_07010
ko:K04767	sagc:DN94_07015
ko:K01996	sagc:DN94_07020
ko:K01995	sagc:DN94_07025
ko:K01997	sagc:DN94_07035
ko:K01999	sagc:DN94_07040
ko:K01358	sagc:DN94_07050
ko:K00761	sagc:DN94_07055
ko:K14155	sagc:DN94_07060
ko:K03216	sagc:DN94_07065
ko:K03294	sagc:DN94_07070
ko:K03499	sagc:DN94_07075
ko:K03498	sagc:DN94_07080
ko:K08998	sagc:DN94_07095
ko:K06178	sagc:DN94_07100
ko:K06024	sagc:DN94_07105
ko:K05896	sagc:DN94_07110
ko:K07095	sagc:DN94_07125
ko:K02428	sagc:DN94_07130
ko:K01776	sagc:DN94_07135
ko:K09976	sagc:DN94_07140
ko:K16788	sagc:DN94_07145
ko:K07105	sagc:DN94_07150
ko:K06890	sagc:DN94_07155
ko:K06950	sagc:DN94_07160
ko:K03437	sagc:DN94_07165
ko:K01512	sagc:DN94_07170
ko:K03217	sagc:DN94_07175
ko:K10009	sagc:DN94_07180
ko:K07658	sagc:DN94_08615
ko:K02039	sagc:DN94_08620
ko:K02038	sagc:DN94_08630
ko:K02037	sagc:DN94_08635
ko:K02040	sagc:DN94_08640
ko:K09761	sagc:DN94_08650
ko:K02687	sagc:DN94_08655
ko:K07729	sagc:DN94_08695
ko:K07478	sagc:DN94_08705
ko:K01990	sagc:DN94_08740
ko:K00005	sagc:DN94_08790
ko:K00549	sagc:DN94_08805
ko:K01869	sagc:DN94_08840
ko:K02601	sagc:DN94_08855
ko:K03073	sagc:DN94_08865
ko:K12555	sagc:DN94_08875
ko:K06180	sagc:DN94_08880
ko:K01619	sagc:DN94_08895
ko:K03317	sagc:DN94_08900
ko:K00757	sagc:DN94_08905
ko:K12574	sagc:DN94_05530
ko:K05833	sagc:DN94_05535
ko:K05832	sagc:DN94_05540
ko:K01989	sagc:DN94_05545
ko:K01575	sagc:DN94_05555
ko:K01652	sagc:DN94_05560
ko:K03574	sagc:DN94_05580
ko:K01727	sagc:DN94_05585
ko:K01790	sagc:DN94_05595
ko:K00973	sagc:DN94_05600
ko:K06967	sagc:DN94_05615
ko:K02086	sagc:DN94_05620
ko:K00759	sagc:DN94_05625
ko:K04077	sagc:DN94_08920
ko:K04078	sagc:DN94_08925
ko:K05833	sagc:DN94_08930
ko:K05832	sagc:DN94_08935
ko:K01989	sagc:DN94_08940
ko:K07104	sagc:DN94_08950
ko:K09861	sagc:DN94_08955
ko:K07447	sagc:DN94_09000
ko:K03742	sagc:DN94_09020
ko:K01246	sagc:DN94_09025
ko:K03550	sagc:DN94_09030
ko:K08152	sagc:DN94_09035
ko:K03572	sagc:DN94_09040
ko:K03704	sagc:DN94_09045
ko:K03555	sagc:DN94_09050
ko:K03402	sagc:DN94_09055
ko:K01887	sagc:DN94_09060
ko:K01876	sagc:DN94_09080
ko:K01892	sagc:DN94_09085
ko:K02911	sagc:DN94_09090
ko:K02913	sagc:DN94_09095
ko:K00926	sagc:DN94_09105
ko:K00611	sagc:DN94_09110
ko:K07717	sagc:DN94_09115
ko:K07719	sagc:DN94_09120
ko:K05847	sagc:DN94_09125
ko:K05845	sagc:DN94_09130
ko:K05846	sagc:DN94_09130
ko:K14205	sagc:DN94_09135
ko:K08987	sagc:DN94_09145
ko:K01421	sagc:DN94_09150
ko:K02986	sagc:DN94_09165
ko:K02939	sagc:DN94_09180
ko:K00789	sagc:DN94_03935
ko:K16925	sagc:DN94_03965
ko:K16786	sagc:DN94_03970
ko:K16787	sagc:DN94_03970
ko:K16785	sagc:DN94_03975
ko:K03707	sagc:DN94_03980
ko:K00941	sagc:DN94_03985
ko:K00878	sagc:DN94_03990
ko:K00788	sagc:DN94_03995
ko:K00790	sagc:DN94_04000
ko:K01265	sagc:DN94_04015
ko:K07058	sagc:DN94_04020
ko:K01972	sagc:DN94_04035
ko:K00700	sagc:DN94_04050
ko:K00975	sagc:DN94_04055
ko:K00703	sagc:DN94_04065
ko:K02110	sagc:DN94_04070
ko:K02108	sagc:DN94_04075
ko:K02109	sagc:DN94_04080
ko:K02113	sagc:DN94_04085
ko:K02111	sagc:DN94_04090
ko:K02115	sagc:DN94_04095
ko:K02112	sagc:DN94_04100
ko:K02114	sagc:DN94_04105
ko:K00790	sagc:DN94_04115
ko:K15051	sagc:DN94_04125
ko:K01889	sagc:DN94_04130
ko:K01890	sagc:DN94_04140
ko:K02313	sagc:DN94_00005
ko:K02338	sagc:DN94_00010
ko:K06942	sagc:DN94_00030
ko:K01056	sagc:DN94_00035
ko:K03723	sagc:DN94_00040
ko:K01467	sagc:DN94_00060
ko:K04075	sagc:DN94_00065
ko:K00760	sagc:DN94_00070
ko:K03798	sagc:DN94_00075
ko:K01990	sagc:DN94_00215
ko:K10947	sagc:DN94_00225
ko:K01443	sagc:DN94_00235
ko:K01878	sagc:DN94_00245
ko:K07054	sagc:DN94_04145
ko:K02469	sagc:DN94_04445
ko:K07284	sagc:DN94_04450
ko:K08234	sagc:DN94_04455
ko:K01951	sagc:DN94_04470
ko:K03710	sagc:DN94_04475
ko:K04094	sagc:DN94_04480
ko:K02073	sagc:DN94_04490
ko:K02003	sagc:DN94_04505
ko:K02004	sagc:DN94_04510
ko:K03106	sagc:DN94_04545
ko:K09787	sagc:DN94_04550
ko:K14982	sagc:DN94_04555
ko:K14983	sagc:DN94_04560
ko:K01256	sagc:DN94_04565
ko:K02039	sagc:DN94_04570
ko:K02036	sagc:DN94_04575
ko:K02036	sagc:DN94_04580
ko:K02038	sagc:DN94_04585
ko:K02037	sagc:DN94_04590
ko:K02040	sagc:DN94_04595
ko:K01092	sagc:DN94_04610
ko:K16509	sagc:DN94_04620
ko:K11753	sagc:DN94_04625
ko:K03177	sagc:DN94_04630
ko:K07052	sagc:DN94_04650
ko:K02004	sagc:DN94_04655
ko:K02003	sagc:DN94_04660
ko:K03168	sagc:DN94_04665
ko:K02016	sagc:DN94_04675
ko:K02013	sagc:DN94_04680
ko:K02015	sagc:DN94_04685
ko:K02015	sagc:DN94_04690
ko:K00661	sagc:DN94_04695
ko:K03470	sagc:DN94_04700
ko:K14540	sagc:DN94_04705
ko:K07705	sagc:DN94_04720
ko:K01118	sagc:DN94_00250
ko:K01879	sagc:DN94_00255
ko:K00105	sagc:DN94_00270
ko:K02440	sagc:DN94_00275
ko:K00615	sagc:DN94_00300
ko:K01990	sagc:DN94_00310
ko:K01992	sagc:DN94_00315
ko:K02809	sagc:DN94_00320
ko:K02810	sagc:DN94_00320
ko:K00931	sagc:DN94_00325
ko:K00147	sagc:DN94_00330
ko:K03438	sagc:DN94_00335
ko:K12556	sagc:DN94_00345
ko:K01000	sagc:DN94_00350
ko:K18692	sagc:DN94_00355
ko:K02030	sagc:DN94_00360
ko:K02029	sagc:DN94_00365
ko:K02028	sagc:DN94_00370
ko:K00384	sagc:DN94_00380
ko:K00763	sagc:DN94_00385
ko:K01916	sagc:DN94_00390
ko:K01372	sagc:DN94_00395
ko:K05366	sagc:DN94_00400
ko:K03700	sagc:DN94_00405
ko:K07444	sagc:DN94_00420
ko:K07173	sagc:DN94_00430
ko:K18682	sagc:DN94_00435
ko:K01992	sagc:DN94_00445
ko:K07778	sagc:DN94_00450
ko:K00942	sagc:DN94_00465
ko:K03060	sagc:DN94_00470
ko:K04066	sagc:DN94_00475
ko:K00604	sagc:DN94_00480
ko:K03500	sagc:DN94_00485
ko:K11617	sagc:DN94_00505
ko:K11618	sagc:DN94_00510
ko:K03768	sagc:DN94_00515
ko:K07570	sagc:DN94_00520
ko:K04069	sagc:DN94_00525
ko:K02759	sagc:DN94_00540
ko:K02760	sagc:DN94_00545
ko:K01955	sagc:DN94_04765
ko:K01956	sagc:DN94_04770
ko:K00609	sagc:DN94_04775
ko:K01465	sagc:DN94_04780
ko:K00762	sagc:DN94_04785
ko:K01591	sagc:DN94_04790
ko:K00133	sagc:DN94_04810
ko:K06131	sagc:DN94_04820
ko:K01938	sagc:DN94_04835
ko:K03800	sagc:DN94_04840
ko:K01598	sagc:DN94_04880
ko:K01835	sagc:DN94_04890
ko:K00600	sagc:DN94_04915
ko:K07566	sagc:DN94_04920
ko:K02493	sagc:DN94_04925
ko:K02835	sagc:DN94_04930
ko:K01821	sagc:DN94_04940
ko:K03734	sagc:DN94_04945
ko:K16169	sagc:DN94_04965
ko:K03816	sagc:DN94_04970
ko:K00364	sagc:DN94_04975
ko:K06180	sagc:DN94_05005
ko:K00858	sagc:DN94_05010
ko:K03310	sagc:DN94_05320
ko:K02945	sagc:DN94_05350
ko:K00826	sagc:DN94_05370
ko:K02621	sagc:DN94_05375
ko:K02622	sagc:DN94_05380
ko:K08591	sagc:DN94_05385
ko:K03648	sagc:DN94_05400
ko:K01791	sagc:DN94_05420
ko:K01104	sagc:DN94_05480
ko:K03783	sagc:DN94_05500
ko:K00537	sagc:DN94_05505
ko:K01807	sagc:DN94_05515
ko:K07816	sagc:DN94_05015
ko:K09825	sagc:DN94_00860
ko:K10682	sagc:DN94_00870
ko:K10681	sagc:DN94_00875
ko:K00773	sagc:DN94_00885
ko:K03523	sagc:DN94_00895
ko:K11991	sagc:DN94_00905
ko:K01810	sagc:DN94_00915
ko:K01934	sagc:DN94_00920
ko:K07335	sagc:DN94_00930
ko:K00963	sagc:DN94_00935
ko:K03536	sagc:DN94_00945
ko:K03217	sagc:DN94_00950
ko:K06346	sagc:DN94_00955
ko:K00948	sagc:DN94_01070
ko:K00841	sagc:DN94_01075
ko:K03584	sagc:DN94_01080
ko:K07052	sagc:DN94_01095
ko:K03621	sagc:DN94_01100
ko:K02078	sagc:DN94_01105
ko:K01923	sagc:DN94_01110
ko:K01952	sagc:DN94_01115
ko:K00764	sagc:DN94_01120
ko:K01933	sagc:DN94_01125
ko:K11175	sagc:DN94_01130
ko:K00602	sagc:DN94_01140
ko:K01788	sagc:DN94_01155
ko:K02027	sagc:DN94_01160
ko:K02026	sagc:DN94_01170
ko:K01639	sagc:DN94_01185
ko:K01945	sagc:DN94_01205
ko:K01588	sagc:DN94_01210
ko:K01589	sagc:DN94_01215
ko:K01756	sagc:DN94_01230
ko:K03551	sagc:DN94_01240
ko:K01104	sagc:DN94_01245
ko:K04072	sagc:DN94_01260
ko:K01733	sagc:DN94_01270
ko:K02946	sagc:DN94_01280
ko:K02906	sagc:DN94_01285
ko:K02926	sagc:DN94_01290
ko:K02892	sagc:DN94_01295
ko:K02886	sagc:DN94_01300
ko:K02965	sagc:DN94_01305
ko:K02890	sagc:DN94_01310
ko:K02982	sagc:DN94_01315
ko:K02878	sagc:DN94_01320
ko:K02904	sagc:DN94_01325
ko:K02961	sagc:DN94_01330
ko:K02874	sagc:DN94_01335
ko:K02895	sagc:DN94_01340
ko:K02931	sagc:DN94_01345
ko:K02954	sagc:DN94_01350
ko:K02994	sagc:DN94_01355
ko:K02933	sagc:DN94_01360
ko:K02881	sagc:DN94_01365
ko:K02988	sagc:DN94_01370
ko:K02876	sagc:DN94_01380
ko:K03076	sagc:DN94_01385
ko:K00939	sagc:DN94_01390
ko:K02518	sagc:DN94_01395
ko:K02952	sagc:DN94_01405
ko:K02948	sagc:DN94_01410
ko:K03040	sagc:DN94_01415
ko:K02879	sagc:DN94_01420
ko:K09962	sagc:DN94_01505
ko:K12296	sagc:DN94_01515
ko:K07260	sagc:DN94_01525
ko:K03705	sagc:DN94_01535
ko:K03687	sagc:DN94_01540
ko:K04043	sagc:DN94_01545
ko:K03686	sagc:DN94_01550
ko:K06173	sagc:DN94_01560
ko:K00868	sagc:DN94_01565
ko:K03545	sagc:DN94_01585
ko:K03048	sagc:DN94_01590
ko:K01937	sagc:DN94_01595
ko:K06889	sagc:DN94_01600
ko:K04485	sagc:DN94_01615
ko:K01673	sagc:DN94_01620
ko:K09698	sagc:DN94_01630
ko:K10439	sagc:DN94_01635
ko:K10440	sagc:DN94_01640
ko:K10441	sagc:DN94_01645
ko:K06726	sagc:DN94_01650
ko:K00852	sagc:DN94_01655
ko:K02529	sagc:DN94_01660
ko:K02004	sagc:DN94_01665
ko:K02003	sagc:DN94_01670
ko:K01940	sagc:DN94_01685
ko:K01755	sagc:DN94_01690
ko:K02907	sagc:DN94_01375
ko:K01624	sagc:DN94_01695
ko:K02902	sagc:DN94_01705
ko:K07030	sagc:DN94_01715
ko:K17076	sagc:DN94_01735
ko:K17073	sagc:DN94_01740
ko:K17074	sagc:DN94_01740
ko:K06153	sagc:DN94_01750
ko:K16511	sagc:DN94_01755
ko:K02851	sagc:DN94_01760
ko:K09013	sagc:DN94_01765
ko:K09015	sagc:DN94_01770
ko:K11717	sagc:DN94_01775
ko:K04488	sagc:DN94_01780
ko:K09014	sagc:DN94_01785
ko:K07258	sagc:DN94_01795
ko:K15580	sagc:DN94_01800
ko:K15581	sagc:DN94_01805
ko:K15582	sagc:DN94_01810
ko:K15583	sagc:DN94_01815
ko:K10823	sagc:DN94_01820
ko:K09817	sagc:DN94_01855
ko:K09816	sagc:DN94_01860
ko:K15051	sagc:DN94_01865
ko:K01866	sagc:DN94_01870
ko:K03693	sagc:DN94_01875
ko:K03043	sagc:DN94_01880
ko:K03046	sagc:DN94_01885
ko:K02243	sagc:DN94_01895
ko:K02248	sagc:DN94_01905
ko:K00925	sagc:DN94_01920
ko:K07729	sagc:DN94_01925
ko:K00286	sagc:DN94_01940
ko:K01261	sagc:DN94_01945
ko:K06878	sagc:DN94_01965
ko:K07704	sagc:DN94_01985
ko:K07705	sagc:DN94_01990
ko:K05338	sagc:DN94_01995
ko:K05339	sagc:DN94_02000
ko:K02035	sagc:DN94_02005
ko:K02033	sagc:DN94_02010
ko:K02034	sagc:DN94_02015
ko:K02822	sagc:DN94_02050
ko:K03475	sagc:DN94_02055
ko:K00615	sagc:DN94_02060
ko:K00615	sagc:DN94_02065
ko:K02956	sagc:DN94_02075
ko:K00962	sagc:DN94_02080
ko:K00640	sagc:DN94_02090
ko:K01883	sagc:DN94_02100
ko:K11145	sagc:DN94_02105
ko:K03218	sagc:DN94_02110
ko:K06962	sagc:DN94_02115
ko:K07729	sagc:DN94_02130
ko:K02871	sagc:DN94_02135
ko:K02996	sagc:DN94_02140
ko:K05846	sagc:DN94_02200
ko:K05845	sagc:DN94_02205
ko:K05846	sagc:DN94_02210
ko:K05847	sagc:DN94_02215
ko:K07586	sagc:DN94_02260
ko:K03565	sagc:DN94_02265
ko:K02348	sagc:DN94_02280
ko:K03647	sagc:DN94_02300
ko:K01607	sagc:DN94_02330
ko:K16264	sagc:DN94_02355
ko:K02773	sagc:DN94_02395
ko:K02774	sagc:DN94_02400
ko:K01629	sagc:DN94_02410
ko:K02773	sagc:DN94_02415
ko:K02775	sagc:DN94_02420
ko:K02774	sagc:DN94_02425
ko:K02027	sagc:DN94_02435
ko:K02026	sagc:DN94_02445
ko:K01785	sagc:DN94_02470
ko:K01873	sagc:DN94_02495
ko:K01914	sagc:DN94_02545
ko:K00954	sagc:DN94_02565
ko:K07177	sagc:DN94_02570
ko:K06941	sagc:DN94_02585
ko:K01658	sagc:DN94_02605
ko:K03523	sagc:DN94_02610
ko:K00626	sagc:DN94_02625
ko:K10773	sagc:DN94_02635
ko:K02236	sagc:DN94_02640
ko:K00845	sagc:DN94_02650
ko:K06207	sagc:DN94_02660
ko:K01925	sagc:DN94_02670
ko:K02563	sagc:DN94_02675
ko:K03589	sagc:DN94_02680
ko:K03590	sagc:DN94_02685
ko:K03531	sagc:DN94_02690
ko:K06997	sagc:DN94_02695
ko:K09772	sagc:DN94_02700
ko:K02221	sagc:DN94_02705
ko:K04074	sagc:DN94_02715
ko:K01870	sagc:DN94_02720
ko:K03697	sagc:DN94_02735
ko:K02029	sagc:DN94_02745
ko:K02028	sagc:DN94_02750
ko:K01491	sagc:DN94_02760
ko:K03601	sagc:DN94_02770
ko:K03602	sagc:DN94_02775
ko:K13789	sagc:DN94_02780
ko:K06442	sagc:DN94_02785
ko:K03402	sagc:DN94_02790
ko:K03631	sagc:DN94_02795
ko:K03530	sagc:DN94_02815
ko:K00226	sagc:DN94_02825
ko:K12554	sagc:DN94_02830
ko:K05363	sagc:DN94_02835
