ko:K16238	bthl:BG87_600
ko:K01868	bthl:BG87_2489
ko:K00951	bthl:BG87_2491
ko:K17218	bthl:BG87_2494
ko:K01029	bthl:BG87_2500
ko:K01028	bthl:BG87_2501
ko:K07107	bthl:BG87_2504
ko:K00311	bthl:BG87_2506
ko:K01736	bthl:BG87_2507
ko:K07058	bthl:BG87_2511
ko:K03809	bthl:BG87_2512
ko:K06168	bthl:BG87_3302
ko:K07042	bthl:BG87_3304
ko:K07232	bthl:BG87_3305
ko:K06189	bthl:BG87_3306
ko:K03820	bthl:BG87_3307
ko:K01878	bthl:BG87_3308
ko:K01879	bthl:BG87_3309
ko:K03273	bthl:BG87_3310
ko:K00655	bthl:BG87_3311
ko:K07043	bthl:BG87_3312
ko:K01759	bthl:BG87_3313
ko:K02528	bthl:BG87_3315
ko:K00097	bthl:BG87_3316
ko:K03771	bthl:BG87_3317
ko:K04744	bthl:BG87_3318
ko:K07102	bthl:BG87_3319
ko:K06147	bthl:BG87_3321
ko:K10806	bthl:BG87_3322
ko:K02379	bthl:BG87_3324
ko:K07516	bthl:BG87_3327
ko:K08310	bthl:BG87_3331
ko:K01876	bthl:BG87_3332
ko:K03688	bthl:BG87_3336
ko:K03690	bthl:BG87_3337
ko:K03183	bthl:BG87_3339
ko:K01754	bthl:BG87_3343
ko:K06879	bthl:BG87_3344
ko:K06015	bthl:BG87_3346
ko:K01753	bthl:BG87_3348
ko:K05520	bthl:BG87_3349
ko:K00790	bthl:BG87_4151
ko:K10017	bthl:BG87_4152
ko:K10015	bthl:BG87_4153
ko:K10016	bthl:BG87_4154
ko:K15977	bthl:BG87_4157
ko:K14645	bthl:BG87_4162
ko:K01531	bthl:BG87_4164
ko:K03322	bthl:BG87_4171
ko:K01569	bthl:BG87_4172
ko:K02035	bthl:BG87_4173
ko:K07394	bthl:BG87_4174
ko:K12685	bthl:BG87_4175
ko:K11904	bthl:BG87_4182
ko:K08641	bthl:BG87_4185
ko:K02035	bthl:BG87_4186
ko:K02033	bthl:BG87_4187
ko:K02034	bthl:BG87_4188
ko:K03566	bthl:BG87_4193
ko:K17836	bthl:BG87_4194
ko:K06194	bthl:BG87_4195
ko:K05786	bthl:BG87_4983
ko:K01512	bthl:BG87_4984
ko:K03527	bthl:BG87_4989
ko:K10253	bthl:BG87_4991
ko:K01845	bthl:BG87_4995
ko:K06200	bthl:BG87_4998
ko:K02651	bthl:BG87_5008
ko:K02651	bthl:BG87_5009
ko:K02278	bthl:BG87_5010
ko:K02279	bthl:BG87_5012
ko:K02280	bthl:BG87_5013
ko:K02282	bthl:BG87_5018
ko:K02283	bthl:BG87_5019
ko:K12510	bthl:BG87_5020
ko:K12511	bthl:BG87_5021
ko:K00832	bthl:BG87_5025
ko:K09690	bthl:BG87_1372
ko:K09691	bthl:BG87_1373
ko:K11892	bthl:BG87_5378
ko:K11891	bthl:BG87_5379
ko:K11890	bthl:BG87_5380
ko:K11902	bthl:BG87_5382
ko:K11901	bthl:BG87_5383
ko:K11900	bthl:BG87_5384
ko:K06887	bthl:BG87_5385
ko:K11897	bthl:BG87_5386
ko:K11896	bthl:BG87_5387
ko:K11895	bthl:BG87_5388
ko:K11907	bthl:BG87_5389
ko:K11904	bthl:BG87_5390
ko:K03076	bthl:BG87_838
ko:K02518	bthl:BG87_839
ko:K02919	bthl:BG87_840
ko:K02952	bthl:BG87_841
ko:K02948	bthl:BG87_842
ko:K02986	bthl:BG87_843
ko:K03040	bthl:BG87_844
ko:K02879	bthl:BG87_845
ko:K03926	bthl:BG87_846
ko:K04084	bthl:BG87_847
ko:K01698	bthl:BG87_848
ko:K03978	bthl:BG87_849
ko:K07399	bthl:BG87_851
ko:K17247	bthl:BG87_854
ko:K01586	bthl:BG87_855
ko:K06202	bthl:BG87_857
ko:K05366	bthl:BG87_858
ko:K02663	bthl:BG87_860
ko:K02666	bthl:BG87_862
ko:K00891	bthl:BG87_863
ko:K01735	bthl:BG87_864
ko:K01129	bthl:BG87_865
ko:K05813	bthl:BG87_866
ko:K05814	bthl:BG87_867
ko:K02423	bthl:BG87_336
ko:K02422	bthl:BG87_337
ko:K02408	bthl:BG87_338
ko:K02409	bthl:BG87_339
ko:K02410	bthl:BG87_340
ko:K02411	bthl:BG87_341
ko:K02412	bthl:BG87_342
ko:K02413	bthl:BG87_343
ko:K02414	bthl:BG87_344
ko:K09456	bthl:BG87_346
ko:K00154	bthl:BG87_347
ko:K18981	bthl:BG87_348
ko:K01708	bthl:BG87_349
ko:K01706	bthl:BG87_350
ko:K01706	bthl:BG87_351
ko:K03535	bthl:BG87_352
ko:K01707	bthl:BG87_354
ko:K08224	bthl:BG87_358
ko:K19265	bthl:BG87_361
ko:K00477	bthl:BG87_363
ko:K00789	bthl:BG87_365
ko:K02517	bthl:BG87_366
ko:K01778	bthl:BG87_367
ko:K09921	bthl:BG87_368
ko:K03733	bthl:BG87_369
ko:K06969	bthl:BG87_370
ko:K06204	bthl:BG87_372
ko:K01419	bthl:BG87_373
ko:K03667	bthl:BG87_374
ko:K15012	bthl:BG87_375
ko:K15011	bthl:BG87_376
ko:K00930	bthl:BG87_378
ko:K05501	bthl:BG87_380
ko:K00641	bthl:BG87_381
ko:K08218	bthl:BG87_383
ko:K13979	bthl:BG87_386
ko:K01142	bthl:BG87_387
ko:K02434	bthl:BG87_389
ko:K00791	bthl:BG87_1207
ko:K03572	bthl:BG87_1208
ko:K03975	bthl:BG87_1209
ko:K03442	bthl:BG87_1210
ko:K16011	bthl:BG87_1212
ko:K07266	bthl:BG87_1213
ko:K01991	bthl:BG87_1215
ko:K01711	bthl:BG87_1219
ko:K12994	bthl:BG87_1221
ko:K09689	bthl:BG87_1223
ko:K09688	bthl:BG87_1224
ko:K10107	bthl:BG87_1225
ko:K07265	bthl:BG87_1226
ko:K02535	bthl:BG87_1230
ko:K01991	bthl:BG87_1240
ko:K01104	bthl:BG87_1241
ko:K16692	bthl:BG87_1242
ko:K07265	bthl:BG87_1244
ko:K03819	bthl:BG87_1245
ko:K01627	bthl:BG87_1248
ko:K03270	bthl:BG87_1249
ko:K06041	bthl:BG87_1250
ko:K00963	bthl:BG87_1251
ko:K02403	bthl:BG87_1252
ko:K00318	bthl:BG87_1254
ko:K01066	bthl:BG87_2053
ko:K06980	bthl:BG87_2056
ko:K07082	bthl:BG87_2057
ko:K00943	bthl:BG87_2058
ko:K02341	bthl:BG87_2059
ko:K03823	bthl:BG87_2060
ko:K03424	bthl:BG87_2061
ko:K06867	bthl:BG87_2062
ko:K01424	bthl:BG87_2070
ko:K01608	bthl:BG87_2074
ko:K02275	bthl:BG87_2076
ko:K03088	bthl:BG87_2078
ko:K02990	bthl:BG87_2080
ko:K02686	bthl:BG87_2081
ko:K02963	bthl:BG87_2082
ko:K02939	bthl:BG87_2083
ko:K07220	bthl:BG87_2085
ko:K03306	bthl:BG87_2086
ko:K07175	bthl:BG87_2088
ko:K03564	bthl:BG87_2089
ko:K00604	bthl:BG87_2092
ko:K10012	bthl:BG87_2093
ko:K14260	bthl:BG87_2098
ko:K00003	bthl:BG87_2099
ko:K01733	bthl:BG87_2100
ko:K03750	bthl:BG87_2101
ko:K03636	bthl:BG87_2102
ko:K03635	bthl:BG87_2103
ko:K06886	bthl:BG87_2104
ko:K00783	bthl:BG87_2884
ko:K06287	bthl:BG87_2885
ko:K08301	bthl:BG87_2886
ko:K16345	bthl:BG87_2887
ko:K03088	bthl:BG87_2897
ko:K02849	bthl:BG87_2904
ko:K11085	bthl:BG87_2909
ko:K02337	bthl:BG87_2910
ko:K07146	bthl:BG87_2911
ko:K01894	bthl:BG87_2912
ko:K08289	bthl:BG87_2916
ko:K03466	bthl:BG87_2919
ko:K05973	bthl:BG87_2922
ko:K03616	bthl:BG87_2924
ko:K10773	bthl:BG87_2925
ko:K09989	bthl:BG87_2931
ko:K05782	bthl:BG87_2932
ko:K00616	bthl:BG87_2933
ko:K04750	bthl:BG87_2934
ko:K05815	bthl:BG87_868
ko:K05816	bthl:BG87_869
ko:K01126	bthl:BG87_870
ko:K07275	bthl:BG87_871
ko:K07491	bthl:BG87_872
ko:K00265	bthl:BG87_873
ko:K00266	bthl:BG87_874
ko:K03310	bthl:BG87_875
ko:K01975	bthl:BG87_876
ko:K02471	bthl:BG87_877
ko:K03153	bthl:BG87_878
ko:K03154	bthl:BG87_879
ko:K03149	bthl:BG87_880
ko:K00788	bthl:BG87_881
ko:K02065	bthl:BG87_882
ko:K02066	bthl:BG87_883
ko:K02067	bthl:BG87_884
ko:K04754	bthl:BG87_885
ko:K07323	bthl:BG87_886
ko:K07122	bthl:BG87_887
ko:K01990	bthl:BG87_888
ko:K01992	bthl:BG87_889
ko:K00790	bthl:BG87_891
ko:K00765	bthl:BG87_892
ko:K10013	bthl:BG87_1687
ko:K10255	bthl:BG87_1688
ko:K02300	bthl:BG87_1689
ko:K02299	bthl:BG87_1690
ko:K02298	bthl:BG87_1691
ko:K02297	bthl:BG87_1692
ko:K13771	bthl:BG87_1694
ko:K04488	bthl:BG87_1697
ko:K11717	bthl:BG87_1698
ko:K09015	bthl:BG87_1699
ko:K09013	bthl:BG87_1700
ko:K09014	bthl:BG87_1701
ko:K07234	bthl:BG87_1702
ko:K00459	bthl:BG87_1707
ko:K08303	bthl:BG87_1708
ko:K04561	bthl:BG87_1718
ko:K00496	bthl:BG87_1719
ko:K01669	bthl:BG87_1720
ko:K00860	bthl:BG87_1721
ko:K07782	bthl:BG87_1722
ko:K06133	bthl:BG87_1724
ko:K01745	bthl:BG87_1725
ko:K05836	bthl:BG87_1726
ko:K01712	bthl:BG87_1727
ko:K09975	bthl:BG87_1728
ko:K01468	bthl:BG87_1729
ko:K05603	bthl:BG87_1730
ko:K07010	bthl:BG87_1732
ko:K01915	bthl:BG87_1733
ko:K12256	bthl:BG87_1734
ko:K03406	bthl:BG87_2522
ko:K08223	bthl:BG87_2523
ko:K01243	bthl:BG87_2524
ko:K03657	bthl:BG87_2525
ko:K01873	bthl:BG87_2526
ko:K00963	bthl:BG87_2527
ko:K00010	bthl:BG87_2534
ko:K00010	bthl:BG87_2535
ko:K02058	bthl:BG87_2537
ko:K02057	bthl:BG87_2538
ko:K02056	bthl:BG87_2539
ko:K03338	bthl:BG87_2540
ko:K03336	bthl:BG87_2541
ko:K03335	bthl:BG87_2542
ko:K03337	bthl:BG87_2543
ko:K01996	bthl:BG87_2544
ko:K01995	bthl:BG87_2545
ko:K01998	bthl:BG87_2545
ko:K01997	bthl:BG87_2546
ko:K07107	bthl:BG87_2547
ko:K01872	bthl:BG87_2554
ko:K04062	bthl:BG87_2557
ko:K01886	bthl:BG87_2558
ko:K01207	bthl:BG87_2561
ko:K00428	bthl:BG87_2563
ko:K00209	bthl:BG87_2565
ko:K00598	bthl:BG87_2566
ko:K07687	bthl:BG87_2567
ko:K01241	bthl:BG87_3351
ko:K06966	bthl:BG87_3353
ko:K03885	bthl:BG87_3355
ko:K01061	bthl:BG87_3357
ko:K01011	bthl:BG87_3358
ko:K03602	bthl:BG87_3360
ko:K00795	bthl:BG87_3361
ko:K01662	bthl:BG87_3362
ko:K09007	bthl:BG87_3363
ko:K01409	bthl:BG87_3364
ko:K07007	bthl:BG87_3365
ko:K02970	bthl:BG87_3366
ko:K09117	bthl:BG87_3367
ko:K03086	bthl:BG87_3369
ko:K03457	bthl:BG87_3375
ko:K00033	bthl:BG87_3378
ko:K06194	bthl:BG87_3381
ko:K12262	bthl:BG87_3383
ko:K02014	bthl:BG87_3385
ko:K00375	bthl:BG87_3388
ko:K02052	bthl:BG87_3389
ko:K02055	bthl:BG87_3390
ko:K02054	bthl:BG87_3391
ko:K02053	bthl:BG87_3392
ko:K05998	bthl:BG87_3393
ko:K00505	bthl:BG87_3396
ko:K01681	bthl:BG87_3401
ko:K01720	bthl:BG87_3402
ko:K01644	bthl:BG87_3404
ko:K00024	bthl:BG87_3405
ko:K03710	bthl:BG87_3406
ko:K00241	bthl:BG87_3407
ko:K01607	bthl:BG87_4202
ko:K10716	bthl:BG87_4204
ko:K03406	bthl:BG87_4208
ko:K03823	bthl:BG87_4211
ko:K15553	bthl:BG87_4213
ko:K07044	bthl:BG87_4217
ko:K01426	bthl:BG87_4220
ko:K09957	bthl:BG87_4223
ko:K00675	bthl:BG87_4224
ko:K01761	bthl:BG87_4227
ko:K01426	bthl:BG87_4229
ko:K06989	bthl:BG87_4237
ko:K01652	bthl:BG87_4238
ko:K09019	bthl:BG87_4250
ko:K07098	bthl:BG87_4251
ko:K07507	bthl:BG87_4252
ko:K00020	bthl:BG87_5038
ko:K06133	bthl:BG87_5040
ko:K00382	bthl:BG87_5045
ko:K09699	bthl:BG87_5046
ko:K00167	bthl:BG87_5047
ko:K00166	bthl:BG87_5048
ko:K03333	bthl:BG87_5054
ko:K07028	bthl:BG87_5060
ko:K13993	bthl:BG87_5065
ko:K05366	bthl:BG87_5068
ko:K01426	bthl:BG87_5074
ko:K02480	bthl:BG87_5077
ko:K07485	bthl:BG87_1987
ko:K07485	bthl:BG87_2979
ko:K07485	bthl:BG87_5591
ko:K07485	bthl:BG87_721
ko:K14234	bthl:BG87_914
ko:K03307	bthl:BG87_2935
ko:K18982	bthl:BG87_3732
ko:K00058	bthl:BG87_3733
ko:K00799	bthl:BG87_3738
ko:K09915	bthl:BG87_3741
ko:K01752	bthl:BG87_3745
ko:K00303	bthl:BG87_3746
ko:K00305	bthl:BG87_3749
ko:K01633	bthl:BG87_3750
ko:K03704	bthl:BG87_3751
ko:K07675	bthl:BG87_3759
ko:K08369	bthl:BG87_3760
ko:K03497	bthl:BG87_3777
ko:K12241	bthl:BG87_4567
ko:K12240	bthl:BG87_4568
ko:K12239	bthl:BG87_4569
ko:K12243	bthl:BG87_4570
ko:K12238	bthl:BG87_4571
ko:K04782	bthl:BG87_4573
ko:K01851	bthl:BG87_4574
ko:K08642	bthl:BG87_4575
ko:K01996	bthl:BG87_4576
ko:K01995	bthl:BG87_4577
ko:K01998	bthl:BG87_4578
ko:K01997	bthl:BG87_4579
ko:K01999	bthl:BG87_4580
ko:K00285	bthl:BG87_4581
ko:K07107	bthl:BG87_4587
ko:K17735	bthl:BG87_4588
ko:K02002	bthl:BG87_4590
ko:K17736	bthl:BG87_4591
ko:K05994	bthl:BG87_4593
ko:K08720	bthl:BG87_4594
ko:K02002	bthl:BG87_4595
ko:K01133	bthl:BG87_4596
ko:K01433	bthl:BG87_4598
ko:K02002	bthl:BG87_4600
ko:K00479	bthl:BG87_4602
ko:K03521	bthl:BG87_4603
ko:K03522	bthl:BG87_4604
ko:K01273	bthl:BG87_4608
ko:K00600	bthl:BG87_4609
ko:K00148	bthl:BG87_4611
ko:K02529	bthl:BG87_4612
ko:K00692	bthl:BG87_4613
ko:K03543	bthl:BG87_4615
ko:K07045	bthl:BG87_5402
ko:K00574	bthl:BG87_5404
ko:K13777	bthl:BG87_5411
ko:K13779	bthl:BG87_5412
ko:K11731	bthl:BG87_5413
ko:K13778	bthl:BG87_5414
ko:K13774	bthl:BG87_5415
ko:K03932	bthl:BG87_5421
ko:K00854	bthl:BG87_5432
ko:K09981	bthl:BG87_5437
ko:K03717	bthl:BG87_5439
ko:K00484	bthl:BG87_5440
ko:K00059	bthl:BG87_5443
ko:K01426	bthl:BG87_5444
ko:K02433	bthl:BG87_390
ko:K02435	bthl:BG87_391
ko:K03569	bthl:BG87_392
ko:K03570	bthl:BG87_393
ko:K03571	bthl:BG87_394
ko:K05515	bthl:BG87_395
ko:K05837	bthl:BG87_396
ko:K01630	bthl:BG87_398
ko:K01737	bthl:BG87_399
ko:K06920	bthl:BG87_401
ko:K03500	bthl:BG87_406
ko:K03799	bthl:BG87_407
ko:K00604	bthl:BG87_409
ko:K01462	bthl:BG87_410
ko:K04096	bthl:BG87_411
ko:K03169	bthl:BG87_413
ko:K00058	bthl:BG87_415
ko:K03640	bthl:BG87_1260
ko:K03641	bthl:BG87_1261
ko:K03646	bthl:BG87_1262
ko:K03560	bthl:BG87_1263
ko:K03562	bthl:BG87_1264
ko:K07107	bthl:BG87_1265
ko:K16066	bthl:BG87_1266
ko:K00600	bthl:BG87_1267
ko:K07738	bthl:BG87_1268
ko:K08084	bthl:BG87_1269
ko:K02672	bthl:BG87_1271
