ko:K11749	dmy:X793_01535
ko:K00099	dmy:X793_01540
ko:K00981	dmy:X793_01545
ko:K00806	dmy:X793_01550
ko:K02838	dmy:X793_01555
ko:K09903	dmy:X793_01560
ko:K02357	dmy:X793_01565
ko:K02967	dmy:X793_01570
ko:K01952	dmy:X793_01575
ko:K01952	dmy:X793_01580
ko:K06215	dmy:X793_01585
ko:K00088	dmy:X793_01605
ko:K07056	dmy:X793_01610
ko:K01874	dmy:X793_01620
ko:K02523	dmy:X793_01625
ko:K03798	dmy:X793_01640
ko:K01151	dmy:X793_01645
ko:K09710	dmy:X793_01650
ko:K00940	dmy:X793_01655
ko:K06925	dmy:X793_01665
ko:K00946	dmy:X793_01670
ko:K03183	dmy:X793_01675
ko:K03183	dmy:X793_01680
ko:K01735	dmy:X793_01685
ko:K02548	dmy:X793_01690
ko:K02528	dmy:X793_01705
ko:K00919	dmy:X793_01710
ko:K10716	dmy:X793_01725
ko:K00974	dmy:X793_01730
ko:K09695	dmy:X793_01735
ko:K09694	dmy:X793_01740
ko:K02028	dmy:X793_01770
ko:K02029	dmy:X793_01775
ko:K02030	dmy:X793_01780
ko:K09125	dmy:X793_01805
ko:K17758	dmy:X793_01815
ko:K17759	dmy:X793_01815
ko:K03525	dmy:X793_01820
ko:K13038	dmy:X793_01825
ko:K01873	dmy:X793_01830
ko:K03070	dmy:X793_01850
ko:K00948	dmy:X793_01855
ko:K00600	dmy:X793_01860
ko:K12574	dmy:X793_01870
ko:K03466	dmy:X793_01875
ko:K03702	dmy:X793_01885
ko:K03550	dmy:X793_01890
ko:K01159	dmy:X793_01895
ko:K00997	dmy:X793_01905
ko:K00334	dmy:X793_01910
ko:K01966	dmy:X793_01915
ko:K01703	dmy:X793_01920
ko:K01704	dmy:X793_01925
ko:K00030	dmy:X793_01930
ko:K00024	dmy:X793_01935
ko:K01677	dmy:X793_01945
ko:K01678	dmy:X793_01950
ko:K02503	dmy:X793_01955
ko:K01515	dmy:X793_01960
ko:K00619	dmy:X793_01965
ko:K00858	dmy:X793_01970
ko:K04517	dmy:X793_01980
ko:K14170	dmy:X793_01985
ko:K01736	dmy:X793_01990
ko:K00800	dmy:X793_01995
ko:K00891	dmy:X793_02000
ko:K00014	dmy:X793_02005
ko:K03785	dmy:X793_02010
ko:K01735	dmy:X793_02015
ko:K03856	dmy:X793_02020
ko:K02950	dmy:X793_02025
ko:K02992	dmy:X793_02030
ko:K02355	dmy:X793_02035
ko:K02946	dmy:X793_02040
ko:K02906	dmy:X793_02045
ko:K02926	dmy:X793_02050
ko:K02892	dmy:X793_02055
ko:K02886	dmy:X793_02060
ko:K02965	dmy:X793_02065
ko:K02890	dmy:X793_02070
ko:K02982	dmy:X793_02075
ko:K02878	dmy:X793_02080
ko:K02904	dmy:X793_02085
ko:K02961	dmy:X793_02090
ko:K02874	dmy:X793_02095
ko:K02895	dmy:X793_02100
ko:K02931	dmy:X793_02105
ko:K02954	dmy:X793_02110
ko:K02994	dmy:X793_02115
ko:K02933	dmy:X793_02120
ko:K02881	dmy:X793_02125
ko:K02988	dmy:X793_02130
ko:K02907	dmy:X793_02135
ko:K02876	dmy:X793_02140
ko:K03076	dmy:X793_02145
ko:K00939	dmy:X793_02150
ko:K01265	dmy:X793_02155
ko:K02518	dmy:X793_02160
ko:K02919	dmy:X793_02165
ko:K02952	dmy:X793_02170
ko:K02948	dmy:X793_02175
ko:K02986	dmy:X793_02180
ko:K03040	dmy:X793_02185
ko:K02879	dmy:X793_02190
ko:K06173	dmy:X793_02195
ko:K02871	dmy:X793_02200
ko:K02996	dmy:X793_02205
ko:K15916	dmy:X793_02220
ko:K00789	dmy:X793_02235
ko:K01251	dmy:X793_02240
ko:K07028	dmy:X793_02245
ko:K00772	dmy:X793_02260
ko:K08963	dmy:X793_02265
ko:K01990	dmy:X793_02275
ko:K07159	dmy:X793_02300
ko:K03592	dmy:X793_02305
ko:K03568	dmy:X793_02310
ko:K03431	dmy:X793_02315
ko:K04042	dmy:X793_02320
ko:K00973	dmy:X793_02325
ko:K00820	dmy:X793_02330
ko:K06910	dmy:X793_02335
ko:K01586	dmy:X793_02345
ko:K02341	dmy:X793_02350
ko:K02939	dmy:X793_02380
ko:K00384	dmy:X793_02385
ko:K03621	dmy:X793_02390
ko:K03701	dmy:X793_02405
ko:K03086	dmy:X793_02430
ko:K01129	dmy:X793_02440
ko:K08999	dmy:X793_02450
ko:K02108	dmy:X793_02460
ko:K02110	dmy:X793_02465
ko:K02109	dmy:X793_02470
ko:K02113	dmy:X793_02475
ko:K02111	dmy:X793_02480
ko:K02115	dmy:X793_02485
ko:K02112	dmy:X793_02490
ko:K02114	dmy:X793_02495
ko:K02860	dmy:X793_02500
ko:K06960	dmy:X793_02505
ko:K02959	dmy:X793_02510
ko:K05982	dmy:X793_02515
ko:K02836	dmy:X793_02520
ko:K03630	dmy:X793_02530
ko:K15580	dmy:X793_02535
ko:K01875	dmy:X793_02555
ko:K04567	dmy:X793_02560
ko:K03584	dmy:X793_02570
ko:K03284	dmy:X793_02580
ko:K06187	dmy:X793_02585
ko:K09747	dmy:X793_02590
ko:K02343	dmy:X793_02595
ko:K00134	dmy:X793_02620
ko:K01689	dmy:X793_02635
ko:K06966	dmy:X793_02640
ko:K01056	dmy:X793_02645
ko:K01972	dmy:X793_02650
ko:K08681	dmy:X793_02660
ko:K00058	dmy:X793_02665
ko:K01866	dmy:X793_02675
ko:K11753	dmy:X793_02680
ko:K03043	dmy:X793_02685
ko:K03046	dmy:X793_02690
ko:K03551	dmy:X793_02695
ko:K09765	dmy:X793_02700
ko:K03789	dmy:X793_02705
ko:K07739	dmy:X793_02725
ko:K14128	dmy:X793_02730
ko:K14126	dmy:X793_02735
ko:K00442	dmy:X793_02740
ko:K06196	dmy:X793_02755
ko:K01843	dmy:X793_02800
ko:K01921	dmy:X793_02805
ko:K03711	dmy:X793_02810
ko:K09815	dmy:X793_02815
ko:K09817	dmy:X793_02820
ko:K09816	dmy:X793_02825
ko:K03531	dmy:X793_02835
ko:K03590	dmy:X793_02840
ko:K07130	dmy:X793_02860
ko:K01783	dmy:X793_02865
ko:K01808	dmy:X793_02870
ko:K00615	dmy:X793_02875
ko:K02016	dmy:X793_02895
ko:K02015	dmy:X793_02900
ko:K02013	dmy:X793_02905
ko:K02227	dmy:X793_02915
ko:K00817	dmy:X793_02920
ko:K00768	dmy:X793_02930
ko:K02233	dmy:X793_02935
ko:K02226	dmy:X793_02940
ko:K02231	dmy:X793_02945
ko:K03671	dmy:X793_02950
ko:K00197	dmy:X793_02970
ko:K14138	dmy:X793_02975
ko:K00194	dmy:X793_02980
ko:K01491	dmy:X793_02985
ko:K07321	dmy:X793_02990
ko:K01938	dmy:X793_03000
ko:K01876	dmy:X793_03015
ko:K03545	dmy:X793_03020
ko:K01358	dmy:X793_03025
ko:K00852	dmy:X793_03030
ko:K02356	dmy:X793_03045
ko:K01262	dmy:X793_03050
ko:K03168	dmy:X793_03060
ko:K04096	dmy:X793_03065
ko:K00172	dmy:X793_03095
ko:K00171	dmy:X793_03100
ko:K00169	dmy:X793_03105
ko:K00170	dmy:X793_03110
ko:K00334	dmy:X793_03115
ko:K00335	dmy:X793_03120
ko:K00065	dmy:X793_03155
ko:K10206	dmy:X793_03170
ko:K01778	dmy:X793_03175
ko:K00791	dmy:X793_03180
ko:K01803	dmy:X793_03185
ko:K15635	dmy:X793_03190
ko:K00927	dmy:X793_03195
ko:K01662	dmy:X793_03200
ko:K00760	dmy:X793_03215
ko:K02887	dmy:X793_03220
ko:K02916	dmy:X793_03225
ko:K02520	dmy:X793_03230
ko:K01868	dmy:X793_03235
ko:K06997	dmy:X793_03265
ko:K01462	dmy:X793_03275
ko:K15987	dmy:X793_03305
ko:K03624	dmy:X793_03325
ko:K07052	dmy:X793_03340
ko:K03147	dmy:X793_03350
ko:K03501	dmy:X793_03355
ko:K00943	dmy:X793_03365
ko:K00566	dmy:X793_03370
ko:K03470	dmy:X793_03375
ko:K07460	dmy:X793_03380
ko:K00788	dmy:X793_03385
ko:K07477	dmy:X793_03390
ko:K15987	dmy:X793_03395
ko:K01880	dmy:X793_03410
ko:K03547	dmy:X793_03415
ko:K06178	dmy:X793_03420
ko:K01486	dmy:X793_03430
ko:K00760	dmy:X793_03435
ko:K01990	dmy:X793_03445
ko:K07568	dmy:X793_03455
ko:K03787	dmy:X793_03460
ko:K01579	dmy:X793_03475
ko:K00606	dmy:X793_03480
ko:K01918	dmy:X793_03485
ko:K17734	dmy:X793_03645
ko:K06204	dmy:X793_03725
ko:K03284	dmy:X793_03750
ko:K02114	dmy:X793_03770
ko:K02470	dmy:X793_03775
ko:K00390	dmy:X793_03825
ko:K03086	dmy:X793_03865
ko:K03455	dmy:X793_03905
ko:K18831	dmy:X793_03915
ko:K01990	dmy:X793_03945
ko:K09013	dmy:X793_03955
ko:K02013	dmy:X793_03965
ko:K14415	dmy:X793_03995
ko:K01649	dmy:X793_04005
ko:K00052	dmy:X793_04010
ko:K01704	dmy:X793_04015
ko:K01703	dmy:X793_04020
ko:K07507	dmy:X793_04025
ko:K01649	dmy:X793_04030
ko:K00053	dmy:X793_04035
ko:K01653	dmy:X793_04040
ko:K01652	dmy:X793_04045
ko:K01687	dmy:X793_04050
ko:K07566	dmy:X793_04055
ko:K01951	dmy:X793_04060
ko:K01945	dmy:X793_04070
ko:K01588	dmy:X793_04075
ko:K01756	dmy:X793_04080
ko:K01923	dmy:X793_04085
ko:K01693	dmy:X793_04090
ko:K00817	dmy:X793_04095
ko:K00013	dmy:X793_04100
ko:K00765	dmy:X793_04105
ko:K01892	dmy:X793_04110
ko:K03524	dmy:X793_04125
ko:K01990	dmy:X793_04135
ko:K01992	dmy:X793_04140
ko:K02004	dmy:X793_04160
ko:K02003	dmy:X793_04165
ko:K03596	dmy:X793_04175
ko:K00334	dmy:X793_04195
ko:K00335	dmy:X793_04200
ko:K04568	dmy:X793_04225
ko:K02356	dmy:X793_04230
ko:K06994	dmy:X793_04240
ko:K03893	dmy:X793_04270
ko:K07159	dmy:X793_04305
ko:K09740	dmy:X793_04320
ko:K02669	dmy:X793_04335
ko:K00330	dmy:X793_04340
ko:K00331	dmy:X793_04345
ko:K00332	dmy:X793_04350
ko:K00333	dmy:X793_04355
ko:K00337	dmy:X793_04360
ko:K05580	dmy:X793_04365
ko:K00339	dmy:X793_04370
ko:K00341	dmy:X793_04380
ko:K00342	dmy:X793_04385
ko:K00343	dmy:X793_04390
ko:K03424	dmy:X793_04395
ko:K10773	dmy:X793_04400
ko:K02232	dmy:X793_04405
ko:K02614	dmy:X793_04410
ko:K01995	dmy:X793_04415
ko:K01912	dmy:X793_04425
ko:K01996	dmy:X793_04430
ko:K01999	dmy:X793_04435
ko:K01998	dmy:X793_04445
ko:K01997	dmy:X793_04450
ko:K01897	dmy:X793_04455
ko:K00179	dmy:X793_04460
ko:K00180	dmy:X793_04465
ko:K04488	dmy:X793_04480
ko:K08982	dmy:X793_04485
ko:K17686	dmy:X793_04490
ko:K13993	dmy:X793_04495
ko:K03594	dmy:X793_04500
ko:K04564	dmy:X793_04505
ko:K02500	dmy:X793_04530
ko:K09720	dmy:X793_04535
ko:K09458	dmy:X793_04545
ko:K07462	dmy:X793_04550
ko:K08591	dmy:X793_04555
ko:K13292	dmy:X793_04560
ko:K06877	dmy:X793_04565
ko:K09764	dmy:X793_04570
ko:K02956	dmy:X793_04575
ko:K00962	dmy:X793_04580
ko:K00215	dmy:X793_04585
ko:K00133	dmy:X793_04590
ko:K01714	dmy:X793_04595
ko:K01939	dmy:X793_04610
ko:K00995	dmy:X793_04615
ko:K08256	dmy:X793_04620
ko:K01858	dmy:X793_04625
ko:K03177	dmy:X793_04635
ko:K02834	dmy:X793_04640
ko:K02519	dmy:X793_04645
ko:K07742	dmy:X793_04650
ko:K02600	dmy:X793_04655
ko:K07391	dmy:X793_04660
ko:K02935	dmy:X793_04680
ko:K02864	dmy:X793_04685
ko:K02863	dmy:X793_04690
ko:K02867	dmy:X793_04695
ko:K02601	dmy:X793_04700
ko:K03073	dmy:X793_04705
ko:K02913	dmy:X793_04710
ko:K02358	dmy:X793_04715
ko:K15521	dmy:X793_04740
ko:K07089	dmy:X793_04755
ko:K01912	dmy:X793_04800
ko:K03685	dmy:X793_04845
ko:K01255	dmy:X793_04870
ko:K01897	dmy:X793_04885
ko:K06001	dmy:X793_04900
ko:K01870	dmy:X793_04915
ko:K06346	dmy:X793_04920
ko:K03217	dmy:X793_04925
ko:K03536	dmy:X793_04935
ko:K02914	dmy:X793_04940
ko:K02963	dmy:X793_04945
ko:K03111	dmy:X793_04950
ko:K02990	dmy:X793_04955
ko:K09022	dmy:X793_04975
ko:K03631	dmy:X793_04990
ko:K07576	dmy:X793_05015
ko:K03215	dmy:X793_05035
ko:K06287	dmy:X793_05045
ko:K01950	dmy:X793_05055
ko:K01915	dmy:X793_05060
ko:K04751	dmy:X793_05065
ko:K03320	dmy:X793_05070
ko:K02500	dmy:X793_05090
ko:K02501	dmy:X793_05105
ko:K00196	dmy:X793_05110
ko:K01738	dmy:X793_05120
ko:K02227	dmy:X793_05135
ko:K03711	dmy:X793_05175
ko:K02585	dmy:X793_05180
ko:K02592	dmy:X793_05200
ko:K02587	dmy:X793_05205
ko:K02591	dmy:X793_05210
ko:K02586	dmy:X793_05215
ko:K02590	dmy:X793_05220
ko:K02589	dmy:X793_05225
ko:K02588	dmy:X793_05230
ko:K02017	dmy:X793_05235
ko:K02018	dmy:X793_05240
ko:K02020	dmy:X793_05245
ko:K11261	dmy:X793_05300
ko:K02016	dmy:X793_05305
ko:K02015	dmy:X793_05310
ko:K02013	dmy:X793_05315
ko:K06147	dmy:X793_05330
ko:K06147	dmy:X793_05335
ko:K03523	dmy:X793_05350
ko:K00794	dmy:X793_05365
ko:K14652	dmy:X793_05370
ko:K00793	dmy:X793_05375
ko:K11752	dmy:X793_05380
ko:K09807	dmy:X793_05385
ko:K03100	dmy:X793_05390
ko:K00762	dmy:X793_05395
ko:K03572	dmy:X793_05405
ko:K03657	dmy:X793_05410
ko:K02825	dmy:X793_05420
ko:K00609	dmy:X793_05425
ko:K01465	dmy:X793_05430
ko:K01956	dmy:X793_05435
ko:K01955	dmy:X793_05440
ko:K02823	dmy:X793_05445
ko:K01495	dmy:X793_05450
ko:K01733	dmy:X793_05455
ko:K00003	dmy:X793_05460
ko:K00966	dmy:X793_05470
ko:K01895	dmy:X793_05475
ko:K02835	dmy:X793_05480
ko:K02493	dmy:X793_05485
ko:K02355	dmy:X793_05490
ko:K06384	dmy:X793_05495
ko:K04763	dmy:X793_05505
ko:K03703	dmy:X793_05510
ko:K03824	dmy:X793_05515
ko:K03555	dmy:X793_05525
ko:K01622	dmy:X793_05555
ko:K02428	dmy:X793_05560
ko:K02338	dmy:X793_05565
ko:K04043	dmy:X793_05595
ko:K01433	dmy:X793_05665
ko:K07304	dmy:X793_05680
ko:K07305	dmy:X793_05685
ko:K07343	dmy:X793_05695
ko:K02669	dmy:X793_05735
ko:K00620	dmy:X793_05740
ko:K00930	dmy:X793_05745
ko:K01940	dmy:X793_05760
ko:K01755	dmy:X793_05765
ko:K02902	dmy:X793_05770
ko:K07030	dmy:X793_05775
ko:K03655	dmy:X793_05795
ko:K01887	dmy:X793_05805
ko:K00208	dmy:X793_05815
ko:K07040	dmy:X793_05825
ko:K02911	dmy:X793_05830
ko:K00645	dmy:X793_05835
ko:K00059	dmy:X793_05840
ko:K03625	dmy:X793_05845
ko:K02078	dmy:X793_05850
ko:K03723	dmy:X793_05860
ko:K00931	dmy:X793_05865
ko:K00147	dmy:X793_05895
ko:K00989	dmy:X793_05900
ko:K03743	dmy:X793_05910
ko:K09131	dmy:X793_05915
ko:K06207	dmy:X793_05940
ko:K09946	dmy:X793_05970
ko:K07478	dmy:X793_05980
ko:K06990	dmy:X793_05995
ko:K04069	dmy:X793_06000
ko:K09767	dmy:X793_06020
ko:K00859	dmy:X793_06045
ko:K00329	dmy:X793_06050
ko:K00356	dmy:X793_06050
ko:K02888	dmy:X793_06055
ko:K02899	dmy:X793_06060
ko:K02909	dmy:X793_06065
ko:K01814	dmy:X793_06085
ko:K02435	dmy:X793_06100
ko:K02433	dmy:X793_06105
ko:K07729	dmy:X793_06120
ko:K01990	dmy:X793_06125
ko:K01992	dmy:X793_06130
ko:K10907	dmy:X793_06140
ko:K01867	dmy:X793_06145
ko:K03527	dmy:X793_06150
ko:K01635	dmy:X793_06155
ko:K16370	dmy:X793_06160
ko:K03088	dmy:X793_06170
ko:K02454	dmy:X793_06185
ko:K02653	dmy:X793_06190
ko:K02662	dmy:X793_06220
ko:K02669	dmy:X793_06225
ko:K02654	dmy:X793_06235
ko:K05947	dmy:X793_06240
ko:K01885	dmy:X793_06250
ko:K04070	dmy:X793_06260
ko:K07042	dmy:X793_06270
ko:K17828	dmy:X793_06285
ko:K03101	dmy:X793_06295
ko:K06180	dmy:X793_06300
ko:K00767	dmy:X793_06330
ko:K00278	dmy:X793_06335
ko:K03210	dmy:X793_06340
ko:K06168	dmy:X793_06345
ko:K10563	dmy:X793_06365
ko:K00611	dmy:X793_06390
ko:K03977	dmy:X793_06395
ko:K08591	dmy:X793_06400
ko:K00057	dmy:X793_06405
ko:K03686	dmy:X793_06410
ko:K04043	dmy:X793_06415
ko:K03687	dmy:X793_06420
ko:K03705	dmy:X793_06425
ko:K07502	dmy:X793_06440
ko:K03628	dmy:X793_06455
ko:K00616	dmy:X793_06460
ko:K01937	dmy:X793_06465
ko:K03686	dmy:X793_06470
ko:K13640	dmy:X793_06475
ko:K03696	dmy:X793_06480
ko:K00764	dmy:X793_06490
ko:K01933	dmy:X793_06495
ko:K00602	dmy:X793_06500
ko:K00763	dmy:X793_06505
ko:K04075	dmy:X793_06520
ko:K06013	dmy:X793_06530
ko:K01409	dmy:X793_06545
ko:K04078	dmy:X793_06550
ko:K04077	dmy:X793_06555
ko:K04651	dmy:X793_06565
ko:K04652	dmy:X793_06570
ko:K04656	dmy:X793_06575
ko:K04653	dmy:X793_06580
ko:K04654	dmy:X793_06585
ko:K04655	dmy:X793_06590
ko:K05595	dmy:X793_06650
ko:K02897	dmy:X793_06670
ko:K07045	dmy:X793_06675
ko:K01975	dmy:X793_06680
ko:K05808	dmy:X793_06695
ko:K00567	dmy:X793_06700
ko:K14475	dmy:X793_06705
ko:K03630	dmy:X793_06710
ko:K02337	dmy:X793_06720
ko:K01657	dmy:X793_06765
ko:K01658	dmy:X793_06770
ko:K00766	dmy:X793_06775
ko:K01609	dmy:X793_06780
ko:K01817	dmy:X793_06785
ko:K03856	dmy:X793_06790
ko:K01696	dmy:X793_06795
ko:K01695	dmy:X793_06800
ko:K06199	dmy:X793_06830
ko:K09137	dmy:X793_06835
ko:K07730	dmy:X793_06840
ko:K04759	dmy:X793_06855
ko:K04758	dmy:X793_06860
ko:K03664	dmy:X793_06870
ko:K03497	dmy:X793_06900
ko:K01915	dmy:X793_06945
ko:K07814	dmy:X793_06995
ko:K06147	dmy:X793_07030
ko:K07729	dmy:X793_07150
ko:K04518	dmy:X793_07160
ko:K03075	dmy:X793_07170
ko:K02434	dmy:X793_07175
ko:K12141	dmy:X793_07230
ko:K12140	dmy:X793_07235
ko:K03386	dmy:X793_07270
ko:K00336	dmy:X793_00760
ko:K19221	dmy:X793_01140
ko:K14226	dmy:X793_04520
ko:K14237	dmy:X793_05345
ko:K14222	dmy:X793_06620
ko:K19302	dmy:X793_06370
ko:K14086	dmy:X793_04180
ko:K01992	dmy:X793_02270
ko:K01992	dmy:X793_03450
ko:K01992	dmy:X793_03950
ko:K05919	dmy:X793_07485
ko:K02016	dmy:X793_01165
ko:K07667	dmy:X793_01235
ko:K07164	dmy:X793_01470
ko:K03284	dmy:X793_01800
ko:K06940	dmy:X793_02790
ko:K06966	dmy:X793_02890
ko:K03551	dmy:X793_03555
ko:K04763	dmy:X793_03690
ko:K18707	dmy:X793_04540
ko:K04771	dmy:X793_04910
ko:K04771	dmy:X793_05880
ko:K04771	dmy:X793_05885
ko:K09825	dmy:X793_06865
ko:K14219	dmy:X793_04515
ko:K14219	dmy:X793_03210
ko:K01978	dmy:X793_01490
ko:K14225	dmy:X793_03140
ko:K14225	dmy:X793_04145
ko:K14231	dmy:X793_03500
ko:K14228	dmy:X793_06745
ko:K14237	dmy:X793_06755
ko:K07025	dmy:X793_02340
ko:K07668	dmy:X793_01200
ko:K19710	dmy:X793_07445
ko:K19689	dmy:X793_04280
ko:K07100	dmy:X793_03425
ko:K00334	dmy:X793_00750
ko:K14088	dmy:X793_04190
ko:K00821	dmy:X793_05750
ko:K01977	dmy:X793_04825
ko:K12137	dmy:X793_07245
ko:K00525	dmy:X793_02775
ko:K00525	dmy:X793_01135
ko:K00525	dmy:X793_01410
ko:K03553	dmy:X793_07395
ko:K00558	dmy:X793_00450
ko:K00525	dmy:X793_01295
ko:K01493	dmy:X793_01750
ko:K01520	dmy:X793_01760
ko:K02315	dmy:X793_02365
ko:K02314	dmy:X793_02375
ko:K03546	dmy:X793_02420
ko:K02316	dmy:X793_02435
ko:K00560	dmy:X793_03975
ko:K03465	dmy:X793_06805
ko:K05576	dmy:X793_04375
ko:K14090	dmy:X793_04215
ko:K02335	dmy:X793_06375
ko:K02227	dmy:X793_01145
ko:K07033	dmy:X793_03960
ko:K14091	dmy:X793_04220
ko:K10914	dmy:X793_01180
ko:K21929	dmy:X793_01865
ko:K14232	dmy:X793_03280
ko:K03741	dmy:X793_00740
ko:K22044	dmy:X793_07260
ko:K03892	dmy:X793_04750
ko:K22205	dmy:X793_07165
ko:K22222	dmy:X793_02615
ko:K22222	dmy:X793_04985
ko:K07755	dmy:X793_06515
