ko:K03183	cmg:NC81_03595
ko:K06167	cmg:NC81_03335
ko:K09996	cmg:NC81_03340
ko:K03856	cmg:NC81_03345
ko:K06966	cmg:NC81_03380
ko:K09131	cmg:NC81_03385
ko:K10206	cmg:NC81_03395
ko:K01881	cmg:NC81_03410
ko:K03705	cmg:NC81_03415
ko:K03687	cmg:NC81_03420
ko:K04043	cmg:NC81_03425
ko:K12573	cmg:NC81_03430
ko:K07164	cmg:NC81_03435
ko:K06041	cmg:NC81_03440
ko:K00658	cmg:NC81_03445
ko:K00912	cmg:NC81_03455
ko:K03437	cmg:NC81_03460
ko:K06969	cmg:NC81_03465
ko:K00793	cmg:NC81_03470
ko:K07738	cmg:NC81_03475
ko:K06204	cmg:NC81_03480
ko:K03101	cmg:NC81_03485
ko:K03310	cmg:NC81_03490
ko:K00970	cmg:NC81_03495
ko:K00748	cmg:NC81_03500
ko:K09815	cmg:NC81_03525
ko:K02916	cmg:NC81_01115
ko:K02520	cmg:NC81_01110
ko:K01889	cmg:NC81_01125
ko:K02887	cmg:NC81_01120
ko:K11720	cmg:NC81_01140
ko:K07091	cmg:NC81_01145
ko:K04075	cmg:NC81_01150
ko:K03798	cmg:NC81_01155
ko:K00962	cmg:NC81_01160
ko:K02956	cmg:NC81_01165
ko:K01265	cmg:NC81_01210
ko:K01679	cmg:NC81_01230
ko:K03321	cmg:NC81_01235
ko:K03527	cmg:NC81_01255
ko:K04763	cmg:NC81_01290
ko:K00700	cmg:NC81_01300
ko:K09779	cmg:NC81_01360
ko:K02435	cmg:NC81_01365
ko:K02433	cmg:NC81_01370
ko:K02434	cmg:NC81_01375
ko:K03471	cmg:NC81_01395
ko:K02517	cmg:NC81_01405
ko:K00425	cmg:NC81_01420
ko:K00426	cmg:NC81_01425
ko:K07175	cmg:NC81_01430
ko:K01870	cmg:NC81_01450
ko:K03100	cmg:NC81_01455
ko:K02909	cmg:NC81_01465
ko:K02835	cmg:NC81_01470
ko:K02493	cmg:NC81_01475
ko:K03106	cmg:NC81_01480
ko:K02959	cmg:NC81_01485
ko:K00554	cmg:NC81_01490
ko:K02884	cmg:NC81_01495
ko:K03470	cmg:NC81_01500
ko:K00942	cmg:NC81_01505
ko:K01874	cmg:NC81_01515
ko:K03581	cmg:NC81_01520
ko:K01494	cmg:NC81_01550
ko:K03551	cmg:NC81_01555
ko:K01255	cmg:NC81_01580
ko:K02340	cmg:NC81_01590
ko:K07056	cmg:NC81_01595
ko:K02470	cmg:NC81_00165
ko:K02492	cmg:NC81_00170
ko:K03224	cmg:NC81_00205
ko:K02417	cmg:NC81_00220
ko:K03219	cmg:NC81_00230
ko:K02838	cmg:NC81_00260
ko:K09903	cmg:NC81_00265
ko:K02357	cmg:NC81_00270
ko:K02967	cmg:NC81_00275
ko:K03162	cmg:NC81_00285
ko:K09013	cmg:NC81_00305
ko:K09015	cmg:NC81_00310
ko:K11717	cmg:NC81_00315
ko:K07220	cmg:NC81_00335
ko:K03306	cmg:NC81_00340
ko:K00927	cmg:NC81_00345
ko:K10773	cmg:NC81_00365
ko:K03650	cmg:NC81_00370
ko:K01613	cmg:NC81_00380
ko:K03070	cmg:NC81_00390
ko:K03977	cmg:NC81_00400
ko:K00970	cmg:NC81_00405
ko:K03544	cmg:NC81_00410
ko:K01358	cmg:NC81_00415
ko:K03545	cmg:NC81_00420
ko:K03569	cmg:NC81_00435
ko:K01596	cmg:NC81_00440
ko:K08719	cmg:NC81_00455
ko:K00057	cmg:NC81_00460
ko:K00972	cmg:NC81_00465
ko:K02411	cmg:NC81_00480
ko:K02409	cmg:NC81_00485
ko:K13819	cmg:NC81_00490
ko:K04487	cmg:NC81_00495
ko:K01834	cmg:NC81_00500
ko:K06178	cmg:NC81_00505
ko:K03524	cmg:NC81_00515
ko:K05837	cmg:NC81_00520
ko:K01875	cmg:NC81_00535
ko:K11752	cmg:NC81_00540
ko:K14652	cmg:NC81_00545
ko:K00794	cmg:NC81_00550
ko:K03310	cmg:NC81_00565
ko:K06910	cmg:NC81_00570
ko:K07117	cmg:NC81_00575
ko:K03466	cmg:NC81_00585
ko:K00351	cmg:NC81_00620
ko:K03210	cmg:NC81_00625
ko:K00231	cmg:NC81_00645
ko:K01599	cmg:NC81_00655
ko:K03723	cmg:NC81_00660
ko:K01872	cmg:NC81_00665
ko:K00615	cmg:NC81_00690
ko:K01241	cmg:NC81_00695
ko:K02356	cmg:NC81_00700
ko:K01929	cmg:NC81_00725
ko:K01000	cmg:NC81_00730
ko:K01925	cmg:NC81_00735
ko:K03588	cmg:NC81_00745
ko:K02563	cmg:NC81_00750
ko:K01921	cmg:NC81_00755
ko:K01924	cmg:NC81_00755
ko:K06960	cmg:NC81_00760
ko:K02469	cmg:NC81_00160
ko:K02412	cmg:NC81_00475
ko:K00791	cmg:NC81_00775
ko:K09458	cmg:NC81_00795
ko:K01082	cmg:NC81_00815
ko:K00655	cmg:NC81_00820
ko:K01909	cmg:NC81_00825
ko:K00652	cmg:NC81_00830
ko:K04066	cmg:NC81_00835
ko:K04567	cmg:NC81_00850
ko:K01883	cmg:NC81_00855
ko:K03536	cmg:NC81_00865
ko:K02919	cmg:NC81_00870
ko:K02954	cmg:NC81_00875
ko:K03703	cmg:NC81_00890
ko:K03555	cmg:NC81_00895
ko:K14164	cmg:NC81_00915
ko:K00995	cmg:NC81_00920
ko:K00703	cmg:NC81_00925
ko:K02897	cmg:NC81_00935
ko:K01056	cmg:NC81_00940
ko:K02990	cmg:NC81_00945
ko:K02963	cmg:NC81_00950
ko:K02939	cmg:NC81_00955
ko:K00919	cmg:NC81_00960
ko:K01408	cmg:NC81_00975
ko:K00630	cmg:NC81_00980
ko:K08301	cmg:NC81_00985
ko:K03621	cmg:NC81_00995
ko:K03431	cmg:NC81_01020
ko:K00820	cmg:NC81_01025
ko:K03834	cmg:NC81_01030
ko:K03834	cmg:NC81_01035
ko:K06890	cmg:NC81_01040
ko:K03110	cmg:NC81_01045
ko:K01903	cmg:NC81_01050
ko:K01902	cmg:NC81_01055
ko:K06972	cmg:NC81_01065
ko:K09760	cmg:NC81_01070
ko:K17103	cmg:NC81_01075
ko:K09710	cmg:NC81_00790
ko:K00263	cmg:NC81_00810
ko:K01507	cmg:NC81_00805
ko:K01934	cmg:NC81_00095
ko:K03581	cmg:NC81_00110
ko:K06861	cmg:NC81_00120
ko:K00164	cmg:NC81_01625
ko:K00658	cmg:NC81_01630
ko:K05810	cmg:NC81_01635
ko:K03526	cmg:NC81_01640
ko:K02400	cmg:NC81_01660
ko:K02405	cmg:NC81_01665
ko:K01866	cmg:NC81_01670
ko:K00033	cmg:NC81_01675
ko:K03596	cmg:NC81_01680
ko:K03301	cmg:NC81_01685
ko:K11707	cmg:NC81_01705
ko:K11710	cmg:NC81_01710
ko:K11708	cmg:NC81_01715
ko:K11709	cmg:NC81_01720
ko:K00099	cmg:NC81_01725
ko:K03629	cmg:NC81_01740
ko:K02338	cmg:NC81_01745
ko:K03664	cmg:NC81_01750
ko:K03734	cmg:NC81_01755
ko:K01491	cmg:NC81_01760
ko:K08275	cmg:NC81_01770
ko:K02902	cmg:NC81_01795
ko:K00705	cmg:NC81_01800
ko:K03230	cmg:NC81_01815
ko:K03229	cmg:NC81_01820
ko:K06942	cmg:NC81_01825
ko:K11753	cmg:NC81_01830
ko:K03177	cmg:NC81_01835
ko:K02834	cmg:NC81_01840
ko:K02519	cmg:NC81_01845
ko:K02600	cmg:NC81_01850
ko:K02945	cmg:NC81_01855
ko:K00384	cmg:NC81_01860
ko:K00997	cmg:NC81_01865
ko:K00208	cmg:NC81_01885
ko:K06179	cmg:NC81_01895
ko:K03575	cmg:NC81_01900
ko:K04077	cmg:NC81_01915
ko:K04078	cmg:NC81_01920
ko:K08602	cmg:NC81_01925
ko:K03695	cmg:NC81_01930
ko:K01783	cmg:NC81_01970
ko:K02356	cmg:NC81_01975
ko:K02160	cmg:NC81_01980
ko:K01961	cmg:NC81_01985
ko:K02871	cmg:NC81_01990
ko:K02996	cmg:NC81_01995
ko:K00939	cmg:NC81_02005
ko:K02029	cmg:NC81_02010
ko:K02028	cmg:NC81_02015
ko:K07058	cmg:NC81_02025
ko:K06999	cmg:NC81_02045
ko:K07566	cmg:NC81_02050
ko:K02035	cmg:NC81_02060
ko:K09125	cmg:NC81_02065
ko:K07039	cmg:NC81_02070
ko:K01972	cmg:NC81_02105
ko:K06889	cmg:NC81_02120
ko:K02913	cmg:NC81_02130
ko:K09808	cmg:NC81_02135
ko:K09810	cmg:NC81_02140
ko:K01951	cmg:NC81_02200
ko:K00088	cmg:NC81_02205
ko:K01627	cmg:NC81_00130
ko:K02035	cmg:NC81_02220
ko:K02049	cmg:NC81_02250
ko:K01937	cmg:NC81_02275
ko:K07447	cmg:NC81_02280
ko:K00036	cmg:NC81_02285
ko:K01057	cmg:NC81_02290
ko:K02343	cmg:NC81_02295
ko:K00943	cmg:NC81_02300
ko:K02469	cmg:NC81_02305
ko:K02470	cmg:NC81_02310
ko:K00773	cmg:NC81_02325
ko:K06213	cmg:NC81_02330
ko:K01409	cmg:NC81_02345
ko:K15580	cmg:NC81_02350
ko:K15581	cmg:NC81_02355
ko:K15582	cmg:NC81_02360
ko:K10823	cmg:NC81_02365
ko:K15583	cmg:NC81_02370
ko:K03319	cmg:NC81_02380
ko:K00850	cmg:NC81_02385
ko:K06889	cmg:NC81_02390
ko:K00895	cmg:NC81_02395
ko:K02527	cmg:NC81_02410
ko:K01869	cmg:NC81_02415
ko:K01845	cmg:NC81_02420
ko:K07735	cmg:NC81_02425
ko:K08999	cmg:NC81_02430
ko:K01807	cmg:NC81_02435
ko:K03658	cmg:NC81_02465
ko:K03787	cmg:NC81_02470
ko:K03179	cmg:NC81_02475
ko:K03186	cmg:NC81_02480
ko:K03308	cmg:NC81_02545
ko:K00645	cmg:NC81_02580
ko:K00648	cmg:NC81_02585
ko:K06187	cmg:NC81_02590
ko:K07277	cmg:NC81_02595
ko:K06142	cmg:NC81_02600
ko:K02536	cmg:NC81_02605
ko:K00161	cmg:NC81_02615
ko:K00162	cmg:NC81_02620
ko:K00627	cmg:NC81_02625
ko:K00688	cmg:NC81_02630
ko:K02313	cmg:NC81_02640
ko:K03217	cmg:NC81_02645
ko:K07052	cmg:NC81_02660
ko:K04487	cmg:NC81_02680
ko:K02342	cmg:NC81_02695
ko:K07083	cmg:NC81_02700
ko:K01962	cmg:NC81_02715
ko:K01448	cmg:NC81_02730
ko:K01928	cmg:NC81_02735
ko:K03587	cmg:NC81_02745
ko:K03438	cmg:NC81_02755
ko:K02313	cmg:NC81_02770
ko:K00347	cmg:NC81_02785
ko:K00348	cmg:NC81_02790
ko:K00349	cmg:NC81_02795
ko:K00350	cmg:NC81_02800
ko:K02437	cmg:NC81_02805
ko:K03800	cmg:NC81_02820
ko:K03696	cmg:NC81_02825
ko:K00566	cmg:NC81_02830
ko:K02806	cmg:NC81_02845
ko:K02806	cmg:NC81_02850
ko:K00979	cmg:NC81_02270
ko:K02078	cmg:NC81_02570
ko:K01963	cmg:NC81_02860
ko:K01840	cmg:NC81_02870
ko:K03733	cmg:NC81_03165
ko:K03075	cmg:NC81_03190
ko:K02528	cmg:NC81_03200
ko:K09817	cmg:NC81_03530
ko:K09816	cmg:NC81_03535
ko:K01985	cmg:NC81_00610
ko:K01985	cmg:NC81_00685
ko:K01978	cmg:NC81_04690
ko:K03825	cmg:NC81_03755
ko:K03496	cmg:NC81_04415
ko:K03111	cmg:NC81_01575
ko:K03497	cmg:NC81_00320
ko:K02626	cmg:NC81_03300
ko:K11991	cmg:NC81_01170
ko:K04771	cmg:NC81_01060
ko:K11749	cmg:NC81_01730
ko:K02031	cmg:NC81_00330
ko:K11645	cmg:NC81_02450
ko:K19405	cmg:NC81_00240
ko:K19411	cmg:NC81_00245
ko:K07125	cmg:NC81_03035
ko:K02032	cmg:NC81_00325
ko:K14237	cmg:NC81_01090
ko:K01977	cmg:NC81_00600
ko:K01977	cmg:NC81_00675
ko:K12132	cmg:NC81_02905
ko:K20074	cmg:NC81_02685
ko:K20265	cmg:NC81_02455
ko:K14234	cmg:NC81_00235
ko:K14225	cmg:NC81_00280
ko:K14225	cmg:NC81_00425
ko:K14233	cmg:NC81_01130
ko:K14232	cmg:NC81_01655
ko:K14237	cmg:NC81_02495
ko:K14227	cmg:NC81_02255
ko:K14230	cmg:NC81_02405
ko:K14220	cmg:NC81_01540
ko:K01980	cmg:NC81_00605
ko:K01980	cmg:NC81_00680
ko:K14234	cmg:NC81_02075
ko:K22100	cmg:NC81_03055
ko:K22099	cmg:NC81_04570
ko:K00526	cmg:NC81_01085
ko:K02335	cmg:NC81_03950
ko:K00287	cmg:NC81_04575
ko:K02314	cmg:NC81_03975
ko:K02316	cmg:NC81_00900
ko:K03553	cmg:NC81_00100
ko:K01520	cmg:NC81_02855
ko:K00525	cmg:NC81_01080
ko:K02050	cmg:NC81_01225
ko:K02051	cmg:NC81_01225
ko:K03309	cmg:NC81_03450
ko:K01829	cmg:NC81_00860
ko:K14236	cmg:NC81_02080
ko:K14226	cmg:NC81_00590
ko:K01534	cmg:NC81_00525
ko:K16239	cmg:NC81_01790
ko:K04058	cmg:NC81_01810
