ko:K08744	mte:CCDC5079_1680
ko:K01012	mte:CCDC5079_1467
ko:K03517	mte:CCDC5079_1471
ko:K04787	mte:CCDC5079_2204
ko:K04789	mte:CCDC5079_2200
ko:K04791	mte:CCDC5079_2201
ko:K04792	mte:CCDC5079_2198
ko:K04790	mte:CCDC5079_2202
ko:K16146	mte:CCDC5079_0113
ko:K16147	mte:CCDC5079_1230
ko:K16148	mte:CCDC5079_1120
ko:K16149	mte:CCDC5079_2787
ko:K16150	mte:CCDC5079_2788
ko:K07171	mte:CCDC5079_1796
ko:K01011	mte:CCDC5079_2870
ko:K14728	mte:CCDC5079_2710
ko:K05343	mte:CCDC5079_0112
ko:K03281	mte:CCDC5079_0129
ko:K00324	mte:CCDC5079_0141
ko:K00324	mte:CCDC5079_0142
ko:K00325	mte:CCDC5079_0143
ko:K07107	mte:CCDC5079_0149
ko:K02066	mte:CCDC5079_0153
ko:K02066	mte:CCDC5079_0154
ko:K02066	mte:CCDC5079_0551
ko:K02066	mte:CCDC5079_0552
ko:K07133	mte:CCDC5079_0560
ko:K00965	mte:CCDC5079_0576
ko:K00965	mte:CCDC5079_0577
ko:K00849	mte:CCDC5079_0578
ko:K03581	mte:CCDC5079_0586
ko:K03582	mte:CCDC5079_0587
ko:K03583	mte:CCDC5079_0588
ko:K03073	mte:CCDC5079_0595
ko:K02601	mte:CCDC5079_0596
ko:K02867	mte:CCDC5079_0597
ko:K02863	mte:CCDC5079_0598
ko:K00574	mte:CCDC5079_0599
ko:K00574	mte:CCDC5079_0600
ko:K00574	mte:CCDC5079_0601
ko:K01720	mte:CCDC5079_1043
ko:K01647	mte:CCDC5079_1044
ko:K00549	mte:CCDC5079_1046
ko:K12410	mte:CCDC5079_1063
ko:K00370	mte:CCDC5079_1073
ko:K00371	mte:CCDC5079_1074
ko:K00373	mte:CCDC5079_1075
ko:K06207	mte:CCDC5079_1077
ko:K11737	mte:CCDC5079_1580
ko:K03321	mte:CCDC5079_1583
ko:K05896	mte:CCDC5079_1585
ko:K06024	mte:CCDC5079_1586
ko:K06178	mte:CCDC5079_1587
ko:K00945	mte:CCDC5079_1588
ko:K03977	mte:CCDC5079_1589
ko:K00074	mte:CCDC5079_1591
ko:K02575	mte:CCDC5079_1611
ko:K02313	mte:CCDC5079_0002
ko:K02338	mte:CCDC5079_0003
ko:K03629	mte:CCDC5079_0004
ko:K02470	mte:CCDC5079_0006
ko:K02469	mte:CCDC5079_0007
ko:K00459	mte:CCDC5079_0021
ko:K07735	mte:CCDC5079_0036
ko:K01869	mte:CCDC5079_0038
ko:K01858	mte:CCDC5079_0043
ko:K00074	mte:CCDC5079_0439
ko:K00574	mte:CCDC5079_0440
ko:K00574	mte:CCDC5079_0441
ko:K00075	mte:CCDC5079_0451
ko:K06895	mte:CCDC5079_0457
ko:K01524	mte:CCDC5079_0466
ko:K00286	mte:CCDC5079_0470
ko:K00574	mte:CCDC5079_0473
ko:K02492	mte:CCDC5079_0478
ko:K01749	mte:CCDC5079_0479
ko:K13542	mte:CCDC5079_0480
ko:K01698	mte:CCDC5079_0481
ko:K01845	mte:CCDC5079_0492
ko:K01665	mte:CCDC5079_0929
ko:K01874	mte:CCDC5079_0931
ko:K03424	mte:CCDC5079_0932
ko:K02528	mte:CCDC5079_0934
ko:K00919	mte:CCDC5079_0935
ko:K01056	mte:CCDC5079_0937
ko:K02897	mte:CCDC5079_0938
ko:K00948	mte:CCDC5079_0940
ko:K04042	mte:CCDC5079_0941
ko:K03723	mte:CCDC5079_0943
ko:K01689	mte:CCDC5079_0946
ko:K01524	mte:CCDC5079_0949
ko:K07667	mte:CCDC5079_0950
ko:K07646	mte:CCDC5079_0951
ko:K01546	mte:CCDC5079_0952
ko:K01547	mte:CCDC5079_0953
ko:K01548	mte:CCDC5079_0954
ko:K00278	mte:CCDC5079_1472
ko:K00767	mte:CCDC5079_1473
ko:K00013	mte:CCDC5079_1476
ko:K00817	mte:CCDC5079_1477
ko:K01693	mte:CCDC5079_1478
ko:K02501	mte:CCDC5079_1479
ko:K02500	mte:CCDC5079_1482
ko:K07300	mte:CCDC5079_1484
ko:K03564	mte:CCDC5079_1485
ko:K01657	mte:CCDC5079_1486
ko:K01609	mte:CCDC5079_1488
ko:K01696	mte:CCDC5079_1489
ko:K01695	mte:CCDC5079_1490
ko:K00873	mte:CCDC5079_1494
ko:K10805	mte:CCDC5079_1495
ko:K00426	mte:CCDC5079_1498
ko:K00425	mte:CCDC5079_1499
ko:K02945	mte:CCDC5079_1506
ko:K00859	mte:CCDC5079_1507
ko:K03702	mte:CCDC5079_1509
ko:K03701	mte:CCDC5079_1515
ko:K04567	mte:CCDC5079_1517
ko:K02520	mte:CCDC5079_1518
ko:K02887	mte:CCDC5079_1519
ko:K03437	mte:CCDC5079_1520
ko:K00604	mte:CCDC5079_1305
ko:K03500	mte:CCDC5079_1306
ko:K01783	mte:CCDC5079_1307
ko:K11752	mte:CCDC5079_1308
ko:K00793	mte:CCDC5079_1311
ko:K14652	mte:CCDC5079_1314
ko:K00794	mte:CCDC5079_1315
ko:K03703	mte:CCDC5079_1319
ko:K06958	mte:CCDC5079_1320
ko:K00134	mte:CCDC5079_1333
ko:K00927	mte:CCDC5079_1334
ko:K01803	mte:CCDC5079_1335
ko:K01057	mte:CCDC5079_1342
ko:K00036	mte:CCDC5079_1344
ko:K00615	mte:CCDC5079_1346
ko:K09014	mte:CCDC5079_1357
ko:K09015	mte:CCDC5079_1358
ko:K07001	mte:CCDC5079_1885
ko:K08281	mte:CCDC5079_1891
ko:K03820	mte:CCDC5079_1899
ko:K07113	mte:CCDC5079_1902
ko:K01061	mte:CCDC5079_1903
ko:K02954	mte:CCDC5079_1904
ko:K07006	mte:CCDC5079_1906
ko:K02230	mte:CCDC5079_1907
ko:K02229	mte:CCDC5079_1909
ko:K06042	mte:CCDC5079_1910
ko:K01653	mte:CCDC5079_2757
ko:K01652	mte:CCDC5079_2758
ko:K15977	mte:CCDC5079_2760
ko:K02434	mte:CCDC5079_2764
ko:K01972	mte:CCDC5079_2769
ko:K00566	mte:CCDC5079_2780
ko:K04487	mte:CCDC5079_2781
ko:K03522	mte:CCDC5079_2784
ko:K03521	mte:CCDC5079_2785
ko:K02013	mte:CCDC5079_2798
ko:K01079	mte:CCDC5079_2799
ko:K02016	mte:CCDC5079_2802
ko:K13979	mte:CCDC5079_2803
ko:K03639	mte:CCDC5079_2865
ko:K03637	mte:CCDC5079_2866
ko:K04069	mte:CCDC5079_2893
ko:K00330	mte:CCDC5079_2900
ko:K00331	mte:CCDC5079_2901
ko:K00332	mte:CCDC5079_2902
ko:K00333	mte:CCDC5079_2903
ko:K00334	mte:CCDC5079_2904
ko:K00337	mte:CCDC5079_2907
ko:K00338	mte:CCDC5079_2908
ko:K00339	mte:CCDC5079_2909
ko:K00341	mte:CCDC5079_2910
ko:K00342	mte:CCDC5079_2911
ko:K00343	mte:CCDC5079_2912
ko:K03924	mte:CCDC5079_2919
ko:K03088	mte:CCDC5079_2974
ko:K00800	mte:CCDC5079_2978
ko:K06949	mte:CCDC5079_2979
ko:K07228	mte:CCDC5079_2987
ko:K03070	mte:CCDC5079_2990
ko:K00943	mte:CCDC5079_2997
ko:K01251	mte:CCDC5079_2998
ko:K00496	mte:CCDC5079_3000
ko:K01809	mte:CCDC5079_3003
ko:K00067	mte:CCDC5079_3014
ko:K01673	mte:CCDC5079_3021
ko:K01588	mte:CCDC5079_3023
ko:K01589	mte:CCDC5079_3024
ko:K01443	mte:CCDC5079_3082
ko:K07058	mte:CCDC5079_3085
ko:K01867	mte:CCDC5079_3086
ko:K00031	mte:CCDC5079_3088
ko:K01740	mte:CCDC5079_3089
ko:K00641	mte:CCDC5079_3090
ko:K01491	mte:CCDC5079_3107
ko:K03216	mte:CCDC5079_3114
ko:K01087	mte:CCDC5079_3120
ko:K01662	mte:CCDC5079_3125
ko:K03527	mte:CCDC5079_3126
ko:K03466	mte:CCDC5079_3193
ko:K06173	mte:CCDC5079_3200
ko:K02879	mte:CCDC5079_3201
ko:K02986	mte:CCDC5079_3203
ko:K02948	mte:CCDC5079_3204
ko:K02952	mte:CCDC5079_3205
ko:K01790	mte:CCDC5079_3208
ko:K01666	mte:CCDC5079_3211
ko:K01652	mte:CCDC5079_3212
ko:K00697	mte:CCDC5079_3227
ko:K02066	mte:CCDC5079_3237
ko:K02066	mte:CCDC5079_3238
ko:K09807	mte:CCDC5079_3358
ko:K00760	mte:CCDC5079_3359
ko:K04075	mte:CCDC5079_3360
ko:K07259	mte:CCDC5079_3362
ko:K09799	mte:CCDC5079_3364
ko:K04095	mte:CCDC5079_3376
ko:K02341	mte:CCDC5079_3377
ko:K03168	mte:CCDC5079_3381
ko:K12510	mte:CCDC5079_3388
ko:K02283	mte:CCDC5079_3389
ko:K01895	mte:CCDC5079_3397
ko:K10773	mte:CCDC5079_3404
ko:K06937	mte:CCDC5079_3461
ko:K09129	mte:CCDC5079_3467
ko:K09957	mte:CCDC5079_3485
ko:K05846	mte:CCDC5079_3486
ko:K05846	mte:CCDC5079_3487
ko:K05847	mte:CCDC5079_3488
ko:K05845	mte:CCDC5079_3489
ko:K00817	mte:CCDC5079_3500
ko:K01126	mte:CCDC5079_3572
ko:K04564	mte:CCDC5079_3576
ko:K02553	mte:CCDC5079_3581
ko:K00266	mte:CCDC5079_3585
ko:K04719	mte:CCDC5079_0284
ko:K01126	mte:CCDC5079_0295
ko:K07238	mte:CCDC5079_0296
ko:K01304	mte:CCDC5079_0297
ko:K01494	mte:CCDC5079_0299
ko:K00012	mte:CCDC5079_0300
ko:K00973	mte:CCDC5079_0311
ko:K14260	mte:CCDC5079_0314
ko:K11738	mte:CCDC5079_0322
ko:K04043	mte:CCDC5079_0326
ko:K03687	mte:CCDC5079_0327
ko:K03686	mte:CCDC5079_0328
ko:K01756	mte:CCDC5079_0719
ko:K01923	mte:CCDC5079_0722
ko:K01354	mte:CCDC5079_0723
ko:K01952	mte:CCDC5079_0729
ko:K03710	mte:CCDC5079_0733
ko:K00382	mte:CCDC5079_0735
ko:K07223	mte:CCDC5079_0738
ko:K01952	mte:CCDC5079_0742
ko:K00764	mte:CCDC5079_0746
ko:K01933	mte:CCDC5079_0747
ko:K06980	mte:CCDC5079_0748
ko:K02036	mte:CCDC5079_0757
ko:K02039	mte:CCDC5079_0758
ko:K03921	mte:CCDC5079_0761
ko:K01733	mte:CCDC5079_1198
ko:K00872	mte:CCDC5079_1199
ko:K03628	mte:CCDC5079_1200
ko:K02835	mte:CCDC5079_1201
ko:K02493	mte:CCDC5079_1202
ko:K02108	mte:CCDC5079_1206
ko:K02109	mte:CCDC5079_1207
ko:K02111	mte:CCDC5079_1210
ko:K02115	mte:CCDC5079_1211
ko:K02112	mte:CCDC5079_1212
ko:K02114	mte:CCDC5079_1213
ko:K00790	mte:CCDC5079_1217
ko:K13529	mte:CCDC5079_1219
ko:K05838	mte:CCDC5079_1227
ko:K00688	mte:CCDC5079_1231
ko:K00763	mte:CCDC5079_1233
ko:K01776	mte:CCDC5079_1239
ko:K00989	mte:CCDC5079_1241
ko:K07560	mte:CCDC5079_1752
ko:K08972	mte:CCDC5079_1759
ko:K03782	mte:CCDC5079_1764
ko:K01637	mte:CCDC5079_1771
ko:K09166	mte:CCDC5079_1782
ko:K11065	mte:CCDC5079_1786
ko:K14652	mte:CCDC5079_1794
ko:K00163	mte:CCDC5079_2078
ko:K00645	mte:CCDC5079_2080
ko:K02078	mte:CCDC5079_2081
ko:K00111	mte:CCDC5079_2086
ko:K03820	mte:CCDC5079_2098
ko:K03306	mte:CCDC5079_2112
ko:K01521	mte:CCDC5079_2118
ko:K14155	mte:CCDC5079_2121
ko:K09925	mte:CCDC5079_2122
ko:K04079	mte:CCDC5079_2126
ko:K03584	mte:CCDC5079_2184
ko:K07042	mte:CCDC5079_2189
ko:K09761	mte:CCDC5079_2192
ko:K03686	mte:CCDC5079_2193
ko:K03705	mte:CCDC5079_2194
ko:K07086	mte:CCDC5079_2207
ko:K00390	mte:CCDC5079_2212
ko:K02045	mte:CCDC5079_2217
ko:K02047	mte:CCDC5079_2218
ko:K02046	mte:CCDC5079_2219
ko:K02048	mte:CCDC5079_2220
ko:K03596	mte:CCDC5079_2223
ko:K02340	mte:CCDC5079_2230
ko:K02237	mte:CCDC5079_2233
ko:K09710	mte:CCDC5079_2238
ko:K00969	mte:CCDC5079_2239
ko:K00147	mte:CCDC5079_2244
ko:K04756	mte:CCDC5079_2246
ko:K01950	mte:CCDC5079_2252
ko:K00931	mte:CCDC5079_2253
ko:K03979	mte:CCDC5079_2254
ko:K02888	mte:CCDC5079_2255
ko:K00940	mte:CCDC5079_2258
ko:K11754	mte:CCDC5079_2260
ko:K01873	mte:CCDC5079_2261
ko:K03752	mte:CCDC5079_2263
ko:K00175	mte:CCDC5079_2264
ko:K00174	mte:CCDC5079_2265
ko:K03544	mte:CCDC5079_2267
ko:K01358	mte:CCDC5079_2270
ko:K01358	mte:CCDC5079_2271
ko:K03545	mte:CCDC5079_2272
ko:K01808	mte:CCDC5079_2275
ko:K01256	mte:CCDC5079_2277
ko:K06886	mte:CCDC5079_2280
ko:K03625	mte:CCDC5079_2334
ko:K02356	mte:CCDC5079_2335
ko:K03786	mte:CCDC5079_2338
ko:K01735	mte:CCDC5079_2339
ko:K01736	mte:CCDC5079_2340
ko:K02654	mte:CCDC5079_2349
ko:K00014	mte:CCDC5079_2350
ko:K07082	mte:CCDC5079_2351
ko:K07447	mte:CCDC5079_2352
ko:K01872	mte:CCDC5079_2353
ko:K07478	mte:CCDC5079_2357
ko:K02003	mte:CCDC5079_2361
ko:K07001	mte:CCDC5079_2362
ko:K01876	mte:CCDC5079_2371
ko:K00077	mte:CCDC5079_2372
ko:K01892	mte:CCDC5079_2379
ko:K00759	mte:CCDC5079_2383
ko:K03074	mte:CCDC5079_2385
ko:K03072	mte:CCDC5079_2386
ko:K06916	mte:CCDC5079_2453
ko:K00231	mte:CCDC5079_2460
ko:K01599	mte:CCDC5079_2461
ko:K03684	mte:CCDC5079_2464
ko:K01662	mte:CCDC5079_2465
ko:K00886	mte:CCDC5079_2483
ko:K03086	mte:CCDC5079_2484
ko:K07058	mte:CCDC5079_2486
ko:K00322	mte:CCDC5079_2491
ko:K07044	mte:CCDC5079_2547
ko:K00259	mte:CCDC5079_2550
ko:K00459	mte:CCDC5079_2551
ko:K00962	mte:CCDC5079_2553
ko:K11753	mte:CCDC5079_2555
ko:K06978	mte:CCDC5079_2570
ko:K05813	mte:CCDC5079_2594
ko:K02834	mte:CCDC5079_2599
ko:K04096	mte:CCDC5079_2654
ko:K07391	mte:CCDC5079_2655
ko:K07460	mte:CCDC5079_2656
ko:K02379	mte:CCDC5079_2657
ko:K03470	mte:CCDC5079_2660
ko:K03100	mte:CCDC5079_2661
ko:K02884	mte:CCDC5079_2662
ko:K00554	mte:CCDC5079_2664
ko:K02860	mte:CCDC5079_2665
ko:K02959	mte:CCDC5079_2666
ko:K03106	mte:CCDC5079_2673
ko:K00990	mte:CCDC5079_2676
ko:K04751	mte:CCDC5079_2678
ko:K03320	mte:CCDC5079_2679
ko:K03110	mte:CCDC5079_2680
ko:K03529	mte:CCDC5079_2681
ko:K03685	mte:CCDC5079_2685
ko:K07040	mte:CCDC5079_2686
ko:K06911	mte:CCDC5079_0167
ko:K03088	mte:CCDC5079_0168
ko:K05349	mte:CCDC5079_0172
ko:K01687	mte:CCDC5079_0174
ko:K03439	mte:CCDC5079_0193
ko:K00574	mte:CCDC5079_0602
ko:K00645	mte:CCDC5079_0606
ko:K02864	mte:CCDC5079_0608
ko:K02935	mte:CCDC5079_0609
ko:K02065	mte:CCDC5079_0613
ko:K03043	mte:CCDC5079_0619
ko:K03046	mte:CCDC5079_0620
ko:K01151	mte:CCDC5079_0622
ko:K09456	mte:CCDC5079_0624
ko:K02616	mte:CCDC5079_0626
ko:K02950	mte:CCDC5079_0634
ko:K02992	mte:CCDC5079_0635
ko:K02355	mte:CCDC5079_0636
ko:K02358	mte:CCDC5079_0637
ko:K02946	mte:CCDC5079_0650
ko:K02906	mte:CCDC5079_0651
ko:K02926	mte:CCDC5079_0652
ko:K02892	mte:CCDC5079_0653
ko:K02886	mte:CCDC5079_0654
ko:K02890	mte:CCDC5079_0655
ko:K02982	mte:CCDC5079_0656
ko:K02878	mte:CCDC5079_0657
ko:K02961	mte:CCDC5079_0658
ko:K00318	mte:CCDC5079_1099
ko:K03088	mte:CCDC5079_1100
ko:K06966	mte:CCDC5079_1114
ko:K00796	mte:CCDC5079_1116
ko:K01246	mte:CCDC5079_1119
ko:K00975	mte:CCDC5079_1121
ko:K06978	mte:CCDC5079_1123
ko:K03088	mte:CCDC5079_1129
ko:K03117	mte:CCDC5079_1132
ko:K00705	mte:CCDC5079_1643
ko:K07507	mte:CCDC5079_1668
ko:K03885	mte:CCDC5079_1669
ko:K01652	mte:CCDC5079_1678
ko:K03070	mte:CCDC5079_1679
ko:K02437	mte:CCDC5079_1684
ko:K08999	mte:CCDC5079_1687
ko:K00281	mte:CCDC5079_1689
ko:K02939	mte:CCDC5079_0051
ko:K00031	mte:CCDC5079_0059
ko:K01752	mte:CCDC5079_0062
ko:K00600	mte:CCDC5079_0063
ko:K14155	mte:CCDC5079_0065
ko:K12140	mte:CCDC5079_0075
ko:K12141	mte:CCDC5079_0076
ko:K03271	mte:CCDC5079_0099
ko:K02355	mte:CCDC5079_0105
ko:K02548	mte:CCDC5079_0502
ko:K01911	mte:CCDC5079_0510
ko:K03306	mte:CCDC5079_0512
ko:K01661	mte:CCDC5079_0515
ko:K02551	mte:CCDC5079_0521
ko:K03183	mte:CCDC5079_0524
ko:K03799	mte:CCDC5079_0529
ko:K00057	mte:CCDC5079_0530
ko:K09767	mte:CCDC5079_0532
ko:K00763	mte:CCDC5079_0537
ko:K07282	mte:CCDC5079_0538
ko:K06996	mte:CCDC5079_0541
ko:K09122	mte:CCDC5079_0544
ko:K07001	mte:CCDC5079_0980
ko:K07001	mte:CCDC5079_0981
ko:K01697	mte:CCDC5079_0995
ko:K03624	mte:CCDC5079_0998
ko:K06888	mte:CCDC5079_1001
ko:K11068	mte:CCDC5079_1002
ko:K00600	mte:CCDC5079_1009
ko:K07175	mte:CCDC5079_1011
ko:K03601	mte:CCDC5079_1023
ko:K03527	mte:CCDC5079_1025
ko:K06942	mte:CCDC5079_1027
ko:K00036	mte:CCDC5079_1033
ko:K01889	mte:CCDC5079_1525
ko:K01890	mte:CCDC5079_1526
ko:K00145	mte:CCDC5079_1531
ko:K00620	mte:CCDC5079_1532
ko:K00930	mte:CCDC5079_1533
ko:K00611	mte:CCDC5079_1535
ko:K12429	mte:CCDC5079_1104
ko:K03088	mte:CCDC5079_1913
ko:K05895	mte:CCDC5079_1914
ko:K05936	mte:CCDC5079_1915
ko:K03118	mte:CCDC5079_1935
ko:K03116	mte:CCDC5079_1936
ko:K03432	mte:CCDC5079_1951
ko:K03433	mte:CCDC5079_1952
ko:K00765	mte:CCDC5079_1961
ko:K01652	mte:CCDC5079_3247
ko:K01666	mte:CCDC5079_3275
ko:K01738	mte:CCDC5079_3415
ko:K09117	mte:CCDC5079_3419
ko:K03924	mte:CCDC5079_3423
ko:K00864	mte:CCDC5079_3427
ko:K07008	mte:CCDC5079_3433
ko:K01919	mte:CCDC5079_3435
ko:K00133	mte:CCDC5079_3440
ko:K00928	mte:CCDC5079_3441
ko:K01649	mte:CCDC5079_3442
ko:K03402	mte:CCDC5079_1536
ko:K01940	mte:CCDC5079_1537
ko:K01755	mte:CCDC5079_1538
ko:K03652	mte:CCDC5079_1564
ko:K01866	mte:CCDC5079_1565
ko:K06442	mte:CCDC5079_1569
ko:K00858	mte:CCDC5079_1570
ko:K03631	mte:CCDC5079_1571
ko:K01937	mte:CCDC5079_1574
ko:K06187	mte:CCDC5079_3447
ko:K09747	mte:CCDC5079_3448
ko:K01448	mte:CCDC5079_3449
ko:K00574	mte:CCDC5079_3452
ko:K02343	mte:CCDC5079_3453
ko:K01875	mte:CCDC5079_3564
ko:K03980	mte:CCDC5079_3637
ko:K03088	mte:CCDC5079_3638
ko:K00384	mte:CCDC5079_3640
ko:K03671	mte:CCDC5079_3641
ko:K03501	mte:CCDC5079_3646
ko:K03217	mte:CCDC5079_3648
ko:K08641	mte:CCDC5079_0774
ko:K00161	mte:CCDC5079_0778
ko:K01738	mte:CCDC5079_0783
ko:K14267	mte:CCDC5079_0793
ko:K03637	mte:CCDC5079_0799
ko:K03639	mte:CCDC5079_0803
ko:K00831	mte:CCDC5079_0815
ko:K00528	mte:CCDC5079_0817
ko:K01647	mte:CCDC5079_0821
ko:K09136	mte:CCDC5079_1274
ko:K02825	mte:CCDC5079_1278
ko:K18851	mte:CCDC5079_0115
ko:K00609	mte:CCDC5079_1279
ko:K01465	mte:CCDC5079_1280
ko:K01956	mte:CCDC5079_1282
ko:K01955	mte:CCDC5079_1283
ko:K01591	mte:CCDC5079_1285
ko:K00942	mte:CCDC5079_1289
ko:K03060	mte:CCDC5079_1290
ko:K13038	mte:CCDC5079_1291
ko:K00789	mte:CCDC5079_1292
ko:K04066	mte:CCDC5079_1301
ko:K02066	mte:CCDC5079_1810
ko:K02066	mte:CCDC5079_1811
ko:K05596	mte:CCDC5079_1834
ko:K06895	mte:CCDC5079_1835
ko:K01194	mte:CCDC5079_1853
ko:K07133	mte:CCDC5079_1855
ko:K07107	mte:CCDC5079_2284
ko:K15371	mte:CCDC5079_2285
ko:K00631	mte:CCDC5079_2288
ko:K06966	mte:CCDC5079_2296
ko:K00627	mte:CCDC5079_2299
ko:K00162	mte:CCDC5079_2300
ko:K00161	mte:CCDC5079_2301
ko:K01644	mte:CCDC5079_2302
ko:K01969	mte:CCDC5079_2306
ko:K01029	mte:CCDC5079_2307
ko:K01028	mte:CCDC5079_2308
ko:K07124	mte:CCDC5079_2313
ko:K06915	mte:CCDC5079_2314
ko:K13288	mte:CCDC5079_2315
ko:K03564	mte:CCDC5079_2323
ko:K00997	mte:CCDC5079_2325
ko:K11533	mte:CCDC5079_2326
ko:K01584	mte:CCDC5079_2332
ko:K03210	mte:CCDC5079_2387
ko:K03551	mte:CCDC5079_2391
ko:K03550	mte:CCDC5079_2392
ko:K01159	mte:CCDC5079_2393
ko:K00797	mte:CCDC5079_2399
ko:K08681	mte:CCDC5079_2402
ko:K10805	mte:CCDC5079_2403
ko:K06215	mte:CCDC5079_2404
ko:K00275	mte:CCDC5079_2405
ko:K00995	mte:CCDC5079_2410
ko:K01868	mte:CCDC5079_2412
ko:K14415	mte:CCDC5079_2428
ko:K09771	mte:CCDC5079_2434
ko:K07738	mte:CCDC5079_2496
ko:K01356	mte:CCDC5079_2497
ko:K03665	mte:CCDC5079_2501
ko:K01778	mte:CCDC5079_2502
ko:K00791	mte:CCDC5079_2503
ko:K06168	mte:CCDC5079_2509
ko:K03565	mte:CCDC5079_2511
ko:K00995	mte:CCDC5079_2520
ko:K03466	mte:CCDC5079_2522
ko:K01714	mte:CCDC5079_2527
ko:K03427	mte:CCDC5079_2529
ko:K09927	mte:CCDC5079_2533
