ko:K07068	mavi:RC58_06095
ko:K00989	mavi:RC58_06945
ko:K02428	mavi:RC58_06950
ko:K14698	mavi:RC58_06985
ko:K14699	mavi:RC58_06990
ko:K06446	mavi:RC58_07010
ko:K00059	mavi:RC58_07015
ko:K00626	mavi:RC58_07020
ko:K14470	mavi:RC58_07025
ko:K15866	mavi:RC58_07070
ko:K01714	mavi:RC58_07095
ko:K00666	mavi:RC58_07115
ko:K02313	mavi:RC58_00005
ko:K02338	mavi:RC58_00010
ko:K03629	mavi:RC58_00015
ko:K02470	mavi:RC58_00025
ko:K02469	mavi:RC58_00030
ko:K12427	mavi:RC58_00085
ko:K06994	mavi:RC58_00090
ko:K12240	mavi:RC58_00135
ko:K03685	mavi:RC58_03960
ko:K10563	mavi:RC58_03965
ko:K01512	mavi:RC58_03980
ko:K03110	mavi:RC58_03990
ko:K03320	mavi:RC58_03995
ko:K04751	mavi:RC58_04000
ko:K00990	mavi:RC58_04005
ko:K03106	mavi:RC58_04020
ko:K07258	mavi:RC58_04040
ko:K02959	mavi:RC58_04050
ko:K06960	mavi:RC58_04055
ko:K02860	mavi:RC58_04060
ko:K00554	mavi:RC58_04065
ko:K02884	mavi:RC58_04075
ko:K03100	mavi:RC58_04080
ko:K03470	mavi:RC58_04085
ko:K02379	mavi:RC58_04105
ko:K07460	mavi:RC58_04110
ko:K07391	mavi:RC58_04135
ko:K03733	mavi:RC58_04160
ko:K02967	mavi:RC58_04170
ko:K02357	mavi:RC58_04175
ko:K01426	mavi:RC58_04180
ko:K09903	mavi:RC58_04220
ko:K02838	mavi:RC58_04225
ko:K00981	mavi:RC58_04230
ko:K06941	mavi:RC58_04235
ko:K00099	mavi:RC58_04250
ko:K01426	mavi:RC58_08395
ko:K03584	mavi:RC58_08400
ko:K14215	mavi:RC58_08405
ko:K03711	mavi:RC58_08415
ko:K01880	mavi:RC58_08425
ko:K01129	mavi:RC58_08445
ko:K00640	mavi:RC58_08490
ko:K01738	mavi:RC58_08495
ko:K11717	mavi:RC58_08510
ko:K02066	mavi:RC58_08525
ko:K02067	mavi:RC58_08540
ko:K02067	mavi:RC58_08545
ko:K02067	mavi:RC58_08550
ko:K02067	mavi:RC58_08555
ko:K02067	mavi:RC58_08560
ko:K18481	mavi:RC58_08565
ko:K18481	mavi:RC58_08570
ko:K02575	mavi:RC58_08605
ko:K00232	mavi:RC58_08610
ko:K16786	mavi:RC58_08625
ko:K16787	mavi:RC58_08625
ko:K16785	mavi:RC58_08630
ko:K03186	mavi:RC58_10965
ko:K08166	mavi:RC58_10980
ko:K08972	mavi:RC58_11000
ko:K07045	mavi:RC58_11005
ko:K08178	mavi:RC58_11010
ko:K03742	mavi:RC58_11015
ko:K07560	mavi:RC58_11025
ko:K14520	mavi:RC58_11040
ko:K15981	mavi:RC58_11070
ko:K18851	mavi:RC58_11090
ko:K04093	mavi:RC58_11095
ko:K07045	mavi:RC58_11135
ko:K01915	mavi:RC58_11140
ko:K03594	mavi:RC58_11160
ko:K04761	mavi:RC58_11185
ko:K03386	mavi:RC58_11190
ko:K04756	mavi:RC58_11195
ko:K00101	mavi:RC58_11210
ko:K01338	mavi:RC58_11215
ko:K00705	mavi:RC58_11635
ko:K01692	mavi:RC58_11705
ko:K05898	mavi:RC58_11725
ko:K03090	mavi:RC58_11770
ko:K00666	mavi:RC58_11820
ko:K00545	mavi:RC58_12115
ko:K04763	mavi:RC58_12120
ko:K01515	mavi:RC58_12125
ko:K01937	mavi:RC58_12130
ko:K03631	mavi:RC58_12145
ko:K00858	mavi:RC58_12150
ko:K06442	mavi:RC58_12155
ko:K01866	mavi:RC58_12180
ko:K03652	mavi:RC58_12185
ko:K03320	mavi:RC58_12190
ko:K01990	mavi:RC58_12195
ko:K03822	mavi:RC58_12215
ko:K16167	mavi:RC58_12300
ko:K12434	mavi:RC58_12310
ko:K16167	mavi:RC58_12315
ko:K01940	mavi:RC58_12325
ko:K03402	mavi:RC58_12330
ko:K00611	mavi:RC58_12335
ko:K00930	mavi:RC58_12345
ko:K00620	mavi:RC58_12350
ko:K00145	mavi:RC58_12355
ko:K01890	mavi:RC58_12360
ko:K01889	mavi:RC58_12365
ko:K03437	mavi:RC58_12385
ko:K02887	mavi:RC58_12390
ko:K01092	mavi:RC58_12680
ko:K01814	mavi:RC58_12685
ko:K01817	mavi:RC58_12685
ko:K02501	mavi:RC58_12690
ko:K01693	mavi:RC58_12695
ko:K00817	mavi:RC58_12700
ko:K00013	mavi:RC58_12705
ko:K00767	mavi:RC58_12715
ko:K00278	mavi:RC58_12720
ko:K03517	mavi:RC58_12725
ko:K01012	mavi:RC58_12750
ko:K01935	mavi:RC58_12790
ko:K00652	mavi:RC58_12795
ko:K00833	mavi:RC58_12800
ko:K06044	mavi:RC58_12825
ko:K01236	mavi:RC58_12830
ko:K01754	mavi:RC58_12850
ko:K00631	mavi:RC58_12865
ko:K02337	mavi:RC58_12885
ko:K07124	mavi:RC58_12895
ko:K06886	mavi:RC58_12905
ko:K06180	mavi:RC58_12915
ko:K03101	mavi:RC58_12920
ko:K01424	mavi:RC58_12925
ko:K02346	mavi:RC58_12930
ko:K01870	mavi:RC58_12940
ko:K03647	mavi:RC58_03395
ko:K13979	mavi:RC58_03435
ko:K02016	mavi:RC58_03440
ko:K02274	mavi:RC58_03445
ko:K01079	mavi:RC58_03450
ko:K02013	mavi:RC58_03455
ko:K01692	mavi:RC58_03465
ko:K01669	mavi:RC58_03500
ko:K06994	mavi:RC58_03510
ko:K01823	mavi:RC58_03515
ko:K09879	mavi:RC58_03535
ko:K02291	mavi:RC58_03555
ko:K10027	mavi:RC58_03560
ko:K13787	mavi:RC58_03565
ko:K07071	mavi:RC58_03585
ko:K16150	mavi:RC58_03590
ko:K16149	mavi:RC58_03595
ko:K03521	mavi:RC58_03605
ko:K03522	mavi:RC58_03610
ko:K04487	mavi:RC58_03625
ko:K00566	mavi:RC58_03630
ko:K01972	mavi:RC58_03645
ko:K01758	mavi:RC58_03650
ko:K02888	mavi:RC58_07765
ko:K02899	mavi:RC58_07770
ko:K03979	mavi:RC58_07775
ko:K00931	mavi:RC58_07780
ko:K01950	mavi:RC58_07805
ko:K01704	mavi:RC58_07815
ko:K01703	mavi:RC58_07820
ko:K03710	mavi:RC58_07835
ko:K00852	mavi:RC58_07840
ko:K00147	mavi:RC58_07855
ko:K07161	mavi:RC58_07865
ko:K00969	mavi:RC58_07870
ko:K09710	mavi:RC58_07875
ko:K06994	mavi:RC58_07895
ko:K12423	mavi:RC58_07915
ko:K06994	mavi:RC58_07930
ko:K02237	mavi:RC58_07960
ko:K02340	mavi:RC58_07970
ko:K02968	mavi:RC58_07975
ko:K00784	mavi:RC58_08000
ko:K03596	mavi:RC58_08015
ko:K02048	mavi:RC58_08035
ko:K02046	mavi:RC58_08040
ko:K02047	mavi:RC58_08045
ko:K02045	mavi:RC58_08050
ko:K08095	mavi:RC58_01675
ko:K08095	mavi:RC58_10735
ko:K08095	mavi:RC58_10825
ko:K08095	mavi:RC58_07550
ko:K08095	mavi:RC58_21665
ko:K08095	mavi:RC58_21670
ko:K16048	mavi:RC58_16700
ko:K01990	mavi:RC58_01145
ko:K00020	mavi:RC58_21550
ko:K12466	mavi:RC58_15620
ko:K07497	mavi:RC58_08335
ko:K03722	mavi:RC58_06905
ko:K12952	mavi:RC58_14960
ko:K01992	mavi:RC58_12200
ko:K07068	mavi:RC58_12560
ko:K07068	mavi:RC58_16575
ko:K01066	mavi:RC58_11925
ko:K01822	mavi:RC58_16235
ko:K01822	mavi:RC58_06655
ko:K18481	mavi:RC58_00750
ko:K18481	mavi:RC58_00755
ko:K18481	mavi:RC58_00760
ko:K18481	mavi:RC58_00765
ko:K02067	mavi:RC58_00770
ko:K02067	mavi:RC58_00775
ko:K02067	mavi:RC58_00780
ko:K02067	mavi:RC58_00790
ko:K02067	mavi:RC58_00795
ko:K02066	mavi:RC58_00800
ko:K02066	mavi:RC58_00805
ko:K00666	mavi:RC58_00810
ko:K07107	mavi:RC58_00825
ko:K00038	mavi:RC58_00925
ko:K00325	mavi:RC58_00940
ko:K00324	mavi:RC58_00945
ko:K00324	mavi:RC58_00950
ko:K09958	mavi:RC58_00955
ko:K00128	mavi:RC58_00975
ko:K06911	mavi:RC58_01000
ko:K04047	mavi:RC58_01005
ko:K06893	mavi:RC58_01015
ko:K07058	mavi:RC58_04860
ko:K03086	mavi:RC58_04880
ko:K00886	mavi:RC58_04885
ko:K01092	mavi:RC58_04890
ko:K03499	mavi:RC58_04935
ko:K03499	mavi:RC58_04940
ko:K01662	mavi:RC58_04965
ko:K03684	mavi:RC58_04970
ko:K01692	mavi:RC58_04980
ko:K01599	mavi:RC58_04985
ko:K00231	mavi:RC58_04990
ko:K07305	mavi:RC58_05010
ko:K16647	mavi:RC58_05015
ko:K06916	mavi:RC58_05030
ko:K01607	mavi:RC58_05080
ko:K01574	mavi:RC58_05130
ko:K07164	mavi:RC58_09220
ko:K05337	mavi:RC58_09230
ko:K09990	mavi:RC58_09250
ko:K00606	mavi:RC58_09275
ko:K01915	mavi:RC58_09295
ko:K00982	mavi:RC58_09300
ko:K01915	mavi:RC58_09315
ko:K03644	mavi:RC58_09330
ko:K03801	mavi:RC58_09335
ko:K07071	mavi:RC58_09340
ko:K00658	mavi:RC58_09345
ko:K01255	mavi:RC58_09365
ko:K00605	mavi:RC58_09375
ko:K00826	mavi:RC58_09380
ko:K00768	mavi:RC58_09390
ko:K02231	mavi:RC58_09395
ko:K00865	mavi:RC58_09405
ko:K00856	mavi:RC58_09420
ko:K01953	mavi:RC58_09425
ko:K02275	mavi:RC58_09430
ko:K03891	mavi:RC58_09455
ko:K03890	mavi:RC58_09460
ko:K03889	mavi:RC58_09465
ko:K02276	mavi:RC58_09470
ko:K13668	mavi:RC58_09490
ko:K01897	mavi:RC58_09495
ko:K08641	mavi:RC58_15825
ko:K03704	mavi:RC58_15830
ko:K03921	mavi:RC58_15915
ko:K02039	mavi:RC58_15930
ko:K02036	mavi:RC58_15935
ko:K02038	mavi:RC58_15940
ko:K02037	mavi:RC58_15945
ko:K02040	mavi:RC58_15950
ko:K15520	mavi:RC58_15955
ko:K01011	mavi:RC58_15980
ko:K02619	mavi:RC58_16000
ko:K06980	mavi:RC58_16005
ko:K01933	mavi:RC58_16015
ko:K00764	mavi:RC58_16020
ko:K07052	mavi:RC58_16030
ko:K01952	mavi:RC58_16035
ko:K07223	mavi:RC58_16055
ko:K03710	mavi:RC58_16070
ko:K01952	mavi:RC58_16080
ko:K01952	mavi:RC58_16085
ko:K07077	mavi:RC58_16100
ko:K06986	mavi:RC58_16105
ko:K00622	mavi:RC58_16695
ko:K16049	mavi:RC58_16705
ko:K16050	mavi:RC58_16710
ko:K16047	mavi:RC58_16715
ko:K15983	mavi:RC58_16720
ko:K02077	mavi:RC58_16755
ko:K02074	mavi:RC58_16760
ko:K02075	mavi:RC58_16765
ko:K07160	mavi:RC58_16770
ko:K03893	mavi:RC58_16780
ko:K01126	mavi:RC58_16795
ko:K03218	mavi:RC58_16800
ko:K01883	mavi:RC58_16805
ko:K01770	mavi:RC58_16810
ko:K00991	mavi:RC58_16815
ko:K07736	mavi:RC58_16820
ko:K04485	mavi:RC58_16830
ko:K07067	mavi:RC58_16835
ko:K01673	mavi:RC58_16845
ko:K11159	mavi:RC58_16870
ko:K03696	mavi:RC58_16890
ko:K04567	mavi:RC58_16900
ko:K03525	mavi:RC58_16905
ko:K01579	mavi:RC58_16910
ko:K01918	mavi:RC58_16915
ko:K00950	mavi:RC58_16935
ko:K01633	mavi:RC58_16940
ko:K00796	mavi:RC58_16945
ko:K01495	mavi:RC58_16950
ko:K03798	mavi:RC58_16955
ko:K01738	mavi:RC58_17270
ko:K07448	mavi:RC58_17300
ko:K17763	mavi:RC58_17330
ko:K17762	mavi:RC58_17335
ko:K17752	mavi:RC58_17340
ko:K02493	mavi:RC58_17360
ko:K05520	mavi:RC58_17365
ko:K00124	mavi:RC58_17380
ko:K00123	mavi:RC58_17385
ko:K00123	mavi:RC58_17390
ko:K01008	mavi:RC58_17395
ko:K01042	mavi:RC58_17405
ko:K03833	mavi:RC58_17410
ko:K09117	mavi:RC58_17415
ko:K03924	mavi:RC58_17435
ko:K00864	mavi:RC58_17465
ko:K11991	mavi:RC58_17845
ko:K04517	mavi:RC58_17855
ko:K09957	mavi:RC58_17860
ko:K05846	mavi:RC58_17865
ko:K05846	mavi:RC58_17870
ko:K05845	mavi:RC58_17880
ko:K14953	mavi:RC58_17935
ko:K02484	mavi:RC58_17940
ko:K00817	mavi:RC58_17985
ko:K01692	mavi:RC58_18000
ko:K01990	mavi:RC58_18045
ko:K16649	mavi:RC58_18050
ko:K01992	mavi:RC58_18055
ko:K06912	mavi:RC58_18060
ko:K16653	mavi:RC58_18075
ko:K16652	mavi:RC58_18080
ko:K13686	mavi:RC58_18085
ko:K11387	mavi:RC58_18090
ko:K11385	mavi:RC58_18110
ko:K11386	mavi:RC58_18115
ko:K15554	mavi:RC58_18510
ko:K15553	mavi:RC58_18515
ko:K15555	mavi:RC58_18520
ko:K00574	mavi:RC58_18565
ko:K03762	mavi:RC58_18575
ko:K02039	mavi:RC58_18580
ko:K18481	mavi:RC58_18665
ko:K02067	mavi:RC58_18690
ko:K02075	mavi:RC58_19285
ko:K02074	mavi:RC58_19290
ko:K02077	mavi:RC58_19295
ko:K14743	mavi:RC58_19350
ko:K00598	mavi:RC58_19365
ko:K00598	mavi:RC58_19370
ko:K04719	mavi:RC58_19380
ko:K14340	mavi:RC58_19450
ko:K00045	mavi:RC58_19475
ko:K01494	mavi:RC58_19535
ko:K00012	mavi:RC58_19560
ko:K06994	mavi:RC58_20185
ko:K01692	mavi:RC58_20195
ko:K01322	mavi:RC58_20205
ko:K00138	mavi:RC58_20210
ko:K09959	mavi:RC58_20215
ko:K00382	mavi:RC58_20230
ko:K07110	mavi:RC58_20245
ko:K01637	mavi:RC58_20255
ko:K00074	mavi:RC58_20260
ko:K00574	mavi:RC58_20265
ko:K00574	mavi:RC58_20270
ko:K16645	mavi:RC58_20290
ko:K01619	mavi:RC58_20305
ko:K00075	mavi:RC58_20325
ko:K15521	mavi:RC58_20345
ko:K01834	mavi:RC58_20355
ko:K07768	mavi:RC58_20360
ko:K07776	mavi:RC58_20365
ko:K01524	mavi:RC58_20385
ko:K00286	mavi:RC58_20405
ko:K01784	mavi:RC58_20415
ko:K00574	mavi:RC58_20425
ko:K00805	mavi:RC58_20740
ko:K03799	mavi:RC58_20745
ko:K00057	mavi:RC58_20760
ko:K09767	mavi:RC58_20770
ko:K00965	mavi:RC58_20820
ko:K00849	mavi:RC58_20825
ko:K07746	mavi:RC58_20875
ko:K02066	mavi:RC58_20885
ko:K02066	mavi:RC58_20890
ko:K02067	mavi:RC58_20895
ko:K02067	mavi:RC58_20900
ko:K02067	mavi:RC58_20905
ko:K02067	mavi:RC58_20910
ko:K02067	mavi:RC58_20915
ko:K02067	mavi:RC58_20920
ko:K03583	mavi:RC58_20940
ko:K00574	mavi:RC58_20945
ko:K01725	mavi:RC58_20960
ko:K07001	mavi:RC58_20965
ko:K01692	mavi:RC58_20980
ko:K02913	mavi:RC58_21010
ko:K02878	mavi:RC58_21325
ko:K02904	mavi:RC58_21330
ko:K02961	mavi:RC58_21335
ko:K01130	mavi:RC58_21340
ko:K02040	mavi:RC58_21345
ko:K02874	mavi:RC58_21370
ko:K02895	mavi:RC58_21375
ko:K02931	mavi:RC58_21380
ko:K02954	mavi:RC58_21385
ko:K02994	mavi:RC58_21390
ko:K02933	mavi:RC58_21395
ko:K02881	mavi:RC58_21400
ko:K02988	mavi:RC58_21405
ko:K02907	mavi:RC58_21410
ko:K02876	mavi:RC58_21415
ko:K04773	mavi:RC58_21425
ko:K01628	mavi:RC58_21450
ko:K00058	mavi:RC58_21455
ko:K03076	mavi:RC58_21475
ko:K00939	mavi:RC58_21480
ko:K01265	mavi:RC58_21485
ko:K03088	mavi:RC58_21490
ko:K16839	mavi:RC58_21500
ko:K02003	mavi:RC58_21520
ko:K01652	mavi:RC58_21525
ko:K00648	mavi:RC58_21535
ko:K00817	mavi:RC58_21540
ko:K00140	mavi:RC58_21560
ko:K01790	mavi:RC58_21610
ko:K03497	mavi:RC58_22210
ko:K03496	mavi:RC58_22215
ko:K03501	mavi:RC58_22225
ko:K06346	mavi:RC58_22230
ko:K03217	mavi:RC58_22235
ko:K03536	mavi:RC58_22240
ko:K06147	mavi:RC58_00160
ko:K06147	mavi:RC58_00165
ko:K16926	mavi:RC58_00170
ko:K16786	mavi:RC58_00175
ko:K16787	mavi:RC58_00175
ko:K03119	mavi:RC58_00185
ko:K02016	mavi:RC58_00190
ko:K02013	mavi:RC58_00195
ko:K02015	mavi:RC58_00200
ko:K00666	mavi:RC58_00260
ko:K02575	mavi:RC58_00270
ko:K02016	mavi:RC58_00280
ko:K02575	mavi:RC58_00295
ko:K01719	mavi:RC58_00300
ko:K00362	mavi:RC58_00320
ko:K00239	mavi:RC58_00340
ko:K00240	mavi:RC58_00345
ko:K00626	mavi:RC58_00370
ko:K00059	mavi:RC58_00375
ko:K01207	mavi:RC58_00395
ko:K03781	mavi:RC58_00420
ko:K03781	mavi:RC58_00425
ko:K00122	mavi:RC58_00435
ko:K01759	mavi:RC58_00445
ko:K03526	mavi:RC58_04260
ko:K06976	mavi:RC58_04265
ko:K01265	mavi:RC58_04280
ko:K02232	mavi:RC58_04285
ko:K01915	mavi:RC58_04295
ko:K07010	mavi:RC58_04300
ko:K07241	mavi:RC58_04330
