ko:K01006	lmoz:LM1816_11527
ko:K02759	lmoz:LM1816_06795
ko:K05592	lmoz:LM1816_05233
ko:K01226	lmoz:LM1816_05213
ko:K02026	lmoz:LM1816_05208
ko:K13256	lmoz:LM1816_05053
ko:K07088	lmoz:LM1816_05028
ko:K04041	lmoz:LM1816_05023
ko:K03737	lmoz:LM1816_16325
ko:K02025	lmoz:LM1816_05203
ko:K03324	lmoz:LM1816_05008
ko:K00054	lmoz:LM1816_05003
ko:K00847	lmoz:LM1816_04943
ko:K01674	lmoz:LM1816_04933
ko:K11069	lmoz:LM1816_00950
ko:K11070	lmoz:LM1816_00945
ko:K11071	lmoz:LM1816_00940
ko:K11072	lmoz:LM1816_00935
ko:K03316	lmoz:LM1816_00915
ko:K02028	lmoz:LM1816_05123
ko:K02029	lmoz:LM1816_05118
ko:K02030	lmoz:LM1816_05118
ko:K03665	lmoz:LM1816_00710
ko:K06999	lmoz:LM1816_00700
ko:K15975	lmoz:LM1816_00695
ko:K07098	lmoz:LM1816_00715
ko:K02529	lmoz:LM1816_05193
ko:K06147	lmoz:LM1816_05058
ko:K03449	lmoz:LM1816_16270
ko:K04047	lmoz:LM1816_13047
ko:K04079	lmoz:LM1816_13042
ko:K01104	lmoz:LM1816_13027
ko:K03216	lmoz:LM1816_13012
ko:K03800	lmoz:LM1816_12992
ko:K03652	lmoz:LM1816_12977
ko:K00867	lmoz:LM1816_12952
ko:K00383	lmoz:LM1816_11072
ko:K03492	lmoz:LM1816_06945
ko:K02761	lmoz:LM1816_06940
ko:K03095	lmoz:LM1816_06920
ko:K06959	lmoz:LM1816_06915
ko:K03321	lmoz:LM1816_06910
ko:K05518	lmoz:LM1816_06905
ko:K05786	lmoz:LM1816_00880
ko:K07118	lmoz:LM1816_00875
ko:K07150	lmoz:LM1816_00870
ko:K03976	lmoz:LM1816_00855
ko:K11737	lmoz:LM1816_00835
ko:K01118	lmoz:LM1816_00830
ko:K02793	lmoz:LM1816_00820
ko:K02794	lmoz:LM1816_00815
ko:K02795	lmoz:LM1816_00810
ko:K03800	lmoz:LM1816_00720
ko:K03090	lmoz:LM1816_06900
ko:K04749	lmoz:LM1816_06890
ko:K07315	lmoz:LM1816_06885
ko:K07723	lmoz:LM1816_06860
ko:K01929	lmoz:LM1816_16305
ko:K01921	lmoz:LM1816_05173
ko:K11733	lmoz:LM1816_00895
ko:K02773	lmoz:LM1816_10782
ko:K01783	lmoz:LM1816_10762
ko:K01808	lmoz:LM1816_10757
ko:K06978	lmoz:LM1816_10737
ko:K03785	lmoz:LM1816_10727
ko:K00014	lmoz:LM1816_10722
ko:K02911	lmoz:LM1816_10702
ko:K13653	lmoz:LM1816_10667
ko:K06941	lmoz:LM1816_10662
ko:K10254	lmoz:LM1816_10657
ko:K06885	lmoz:LM1816_10632
ko:K01990	lmoz:LM1816_00640
ko:K07726	lmoz:LM1816_00625
ko:K02417	lmoz:LM1816_00450
ko:K02416	lmoz:LM1816_00445
ko:K02417	lmoz:LM1816_00440
ko:K02390	lmoz:LM1816_16360
ko:K02389	lmoz:LM1816_00425
ko:K02417	lmoz:LM1816_00410
ko:K03407	lmoz:LM1816_16365
ko:K03413	lmoz:LM1816_00390
ko:K02406	lmoz:LM1816_00385
ko:K03337	lmoz:LM1816_01372
ko:K06608	lmoz:LM1816_01362
ko:K02760	lmoz:LM1816_01317
ko:K02761	lmoz:LM1816_01312
ko:K06193	lmoz:LM1816_01292
ko:K05995	lmoz:LM1816_01272
ko:K01624	lmoz:LM1816_05643
ko:K00244	lmoz:LM1816_05623
ko:K05878	lmoz:LM1816_05583
ko:K05879	lmoz:LM1816_05578
ko:K01803	lmoz:LM1816_05573
ko:K01990	lmoz:LM1816_14377
ko:K00826	lmoz:LM1816_14372
ko:K01807	lmoz:LM1816_14357
ko:K03367	lmoz:LM1816_16250
ko:K03739	lmoz:LM1816_14337
ko:K14188	lmoz:LM1816_14332
ko:K03740	lmoz:LM1816_16255
ko:K00208	lmoz:LM1816_13192
ko:K06180	lmoz:LM1816_13187
ko:K00858	lmoz:LM1816_13182
ko:K07816	lmoz:LM1816_13177
ko:K08303	lmoz:LM1816_13147
ko:K02851	lmoz:LM1816_13137
ko:K03710	lmoz:LM1816_13132
ko:K01443	lmoz:LM1816_13122
ko:K07089	lmoz:LM1816_12942
ko:K03491	lmoz:LM1816_11142
ko:K01223	lmoz:LM1816_16285
ko:K02759	lmoz:LM1816_11127
ko:K02761	lmoz:LM1816_11122
ko:K00135	lmoz:LM1816_11112
ko:K07457	lmoz:LM1816_00185
ko:K08976	lmoz:LM1816_00175
ko:K07090	lmoz:LM1816_10167
ko:K01126	lmoz:LM1816_10142
ko:K01118	lmoz:LM1816_10117
ko:K06147	lmoz:LM1816_10102
ko:K06147	lmoz:LM1816_10097
ko:K10947	lmoz:LM1816_10057
ko:K03523	lmoz:LM1816_10052
ko:K01740	lmoz:LM1816_10037
ko:K02783	lmoz:LM1816_10992
ko:K02782	lmoz:LM1816_10987
ko:K02783	lmoz:LM1816_10987
ko:K02781	lmoz:LM1816_10982
ko:K02016	lmoz:LM1816_10977
ko:K01635	lmoz:LM1816_10967
ko:K02083	lmoz:LM1816_10957
ko:K01222	lmoz:LM1816_10952
ko:K09157	lmoz:LM1816_16420
ko:K07166	lmoz:LM1816_10932
ko:K01222	lmoz:LM1816_10872
ko:K08987	lmoz:LM1816_10857
ko:K07282	lmoz:LM1816_10847
ko:K00948	lmoz:LM1816_10812
ko:K02775	lmoz:LM1816_10807
ko:K02774	lmoz:LM1816_10802
ko:K01783	lmoz:LM1816_10792
ko:K10112	lmoz:LM1816_09130
ko:K01439	lmoz:LM1816_09055
ko:K01182	lmoz:LM1816_08985
ko:K02004	lmoz:LM1816_04607
ko:K02005	lmoz:LM1816_04592
ko:K09685	lmoz:LM1816_04587
ko:K03478	lmoz:LM1816_04582
ko:K02795	lmoz:LM1816_04072
ko:K02793	lmoz:LM1816_04067
ko:K02794	lmoz:LM1816_04067
ko:K06147	lmoz:LM1816_04137
ko:K00938	lmoz:LM1816_03492
ko:K01597	lmoz:LM1816_16755
ko:K01191	lmoz:LM1816_16825
ko:K04750	lmoz:LM1816_02697
ko:K16013	lmoz:LM1816_02647
ko:K16012	lmoz:LM1816_02642
ko:K00851	lmoz:LM1816_02627
ko:K00657	lmoz:LM1816_03467
ko:K00869	lmoz:LM1816_03477
ko:K06346	lmoz:LM1816_03407
ko:K06610	lmoz:LM1816_03392
ko:K01813	lmoz:LM1816_03382
ko:K01629	lmoz:LM1816_03377
ko:K02025	lmoz:LM1816_03332
ko:K02768	lmoz:LM1816_01662
ko:K05340	lmoz:LM1816_01647
ko:K07729	lmoz:LM1816_01622
ko:K07238	lmoz:LM1816_01612
ko:K01759	lmoz:LM1816_01572
ko:K03306	lmoz:LM1816_01567
ko:K15524	lmoz:LM1816_01542
ko:K02768	lmoz:LM1816_01527
ko:K02004	lmoz:LM1816_16480
ko:K02003	lmoz:LM1816_01497
ko:K00286	lmoz:LM1816_01447
ko:K03648	lmoz:LM1816_01412
ko:K05937	lmoz:LM1816_01397
ko:K03336	lmoz:LM1816_16505
ko:K03338	lmoz:LM1816_01377
ko:K03284	lmoz:LM1816_00120
ko:K07104	lmoz:LM1816_00110
ko:K03294	lmoz:LM1816_16385
ko:K01534	lmoz:LM1816_00080
ko:K07025	lmoz:LM1816_00040
ko:K15770	lmoz:LM1816_08970
ko:K00564	lmoz:LM1816_08950
ko:K09698	lmoz:LM1816_08865
ko:K01182	lmoz:LM1816_04542
ko:K02025	lmoz:LM1816_04507
ko:K09815	lmoz:LM1816_04362
ko:K02035	lmoz:LM1816_04357
ko:K02033	lmoz:LM1816_04292
ko:K07706	lmoz:LM1816_03767
ko:K01478	lmoz:LM1816_03732
ko:K00058	lmoz:LM1816_03257
ko:K01788	lmoz:LM1816_03127
ko:K02799	lmoz:LM1816_03117
ko:K02800	lmoz:LM1816_03117
ko:K02798	lmoz:LM1816_03107
ko:K03491	lmoz:LM1816_03052
ko:K02004	lmoz:LM1816_02992
ko:K03488	lmoz:LM1816_02977
ko:K02755	lmoz:LM1816_02972
ko:K02756	lmoz:LM1816_02972
ko:K02757	lmoz:LM1816_02972
ko:K03708	lmoz:LM1816_08825
ko:K00088	lmoz:LM1816_16685
ko:K01081	lmoz:LM1816_16690
ko:K01990	lmoz:LM1816_02957
ko:K00088	lmoz:LM1816_02887
ko:K07258	lmoz:LM1816_02862
ko:K03342	lmoz:LM1816_02837
ko:K07343	lmoz:LM1816_02817
ko:K00616	lmoz:LM1816_02802
ko:K08161	lmoz:LM1816_02792
ko:K03699	lmoz:LM1816_02777
ko:K03491	lmoz:LM1816_16575
ko:K07652	lmoz:LM1816_09185
ko:K07668	lmoz:LM1816_09180
ko:K08969	lmoz:LM1816_09175
ko:K00016	lmoz:LM1816_16635
ko:K11031	lmoz:LM1816_04647
ko:K01771	lmoz:LM1816_04642
ko:K06147	lmoz:LM1816_04142
ko:K01990	lmoz:LM1816_16730
ko:K02755	lmoz:LM1816_03607
ko:K02756	lmoz:LM1816_03607
ko:K02757	lmoz:LM1816_03607
ko:K06201	lmoz:LM1816_03602
ko:K02795	lmoz:LM1816_03582
ko:K02793	lmoz:LM1816_03572
ko:K00820	lmoz:LM1816_00595
ko:K00158	lmoz:LM1816_00575
ko:K10947	lmoz:LM1816_00560
ko:K02412	lmoz:LM1816_00545
ko:K02411	lmoz:LM1816_16350
ko:K02410	lmoz:LM1816_00525
ko:K02409	lmoz:LM1816_00520
ko:K02408	lmoz:LM1816_00515
ko:K03924	lmoz:LM1816_01847
ko:K02388	lmoz:LM1816_00510
ko:K02387	lmoz:LM1816_00505
ko:K02422	lmoz:LM1816_00495
ko:K02407	lmoz:LM1816_00490
ko:K02397	lmoz:LM1816_00485
ko:K02396	lmoz:LM1816_16355
ko:K09770	lmoz:LM1816_00465
ko:K03415	lmoz:LM1816_00380
ko:K02557	lmoz:LM1816_00360
ko:K02556	lmoz:LM1816_00355
ko:K00575	lmoz:LM1816_00345
ko:K02392	lmoz:LM1816_00340
ko:K02404	lmoz:LM1816_00335
ko:K02400	lmoz:LM1816_16375
ko:K02401	lmoz:LM1816_00315
ko:K09703	lmoz:LM1816_01862
ko:K10974	lmoz:LM1816_01857
ko:K02421	lmoz:LM1816_00310
ko:K02420	lmoz:LM1816_00305
ko:K02419	lmoz:LM1816_00300
ko:K01992	lmoz:LM1816_00250
ko:K01990	lmoz:LM1816_00245
ko:K00661	lmoz:LM1816_00230
ko:K00868	lmoz:LM1816_00220
ko:K22010	lmoz:LM1816_08288
ko:K07030	lmoz:LM1816_10012
ko:K01669	lmoz:LM1816_10002
ko:K03070	lmoz:LM1816_09967
ko:K06969	lmoz:LM1816_09957
ko:K06999	lmoz:LM1816_09952
ko:K03492	lmoz:LM1816_09927
ko:K01223	lmoz:LM1816_09922
ko:K06901	lmoz:LM1816_09917
ko:K07443	lmoz:LM1816_09907
ko:K04486	lmoz:LM1816_09902
ko:K02502	lmoz:LM1816_09897
ko:K00765	lmoz:LM1816_09892
ko:K00013	lmoz:LM1816_09887
ko:K01693	lmoz:LM1816_09882
ko:K02501	lmoz:LM1816_09877
ko:K01814	lmoz:LM1816_09872
ko:K02500	lmoz:LM1816_09867
ko:K01496	lmoz:LM1816_09862
ko:K01523	lmoz:LM1816_09857
ko:K00262	lmoz:LM1816_09852
ko:K07404	lmoz:LM1816_00972
ko:K03305	lmoz:LM1816_11057
ko:K08325	lmoz:LM1816_11052
ko:K00641	lmoz:LM1816_10032
ko:K00805	lmoz:LM1816_02222
ko:K00805	lmoz:LM1816_02212
ko:K00939	lmoz:LM1816_02062
ko:K01426	lmoz:LM1816_02012
ko:K16786	lmoz:LM1816_02002
ko:K16787	lmoz:LM1816_01997
ko:K03593	lmoz:LM1816_01877
ko:K02775	lmoz:LM1816_02347
ko:K02822	lmoz:LM1816_02257
ko:K03475	lmoz:LM1816_02252
ko:K07048	lmoz:LM1816_02247
ko:K01470	lmoz:LM1816_16890
ko:K02004	lmoz:LM1816_16062
ko:K02035	lmoz:LM1816_15997
ko:K03048	lmoz:LM1816_15947
ko:K02116	lmoz:LM1816_15822
ko:K02549	lmoz:LM1816_16970
ko:K02851	lmoz:LM1816_15727
ko:K07692	lmoz:LM1816_15707
ko:K06023	lmoz:LM1816_14727
ko:K01784	lmoz:LM1816_14697
ko:K01785	lmoz:LM1816_14692
ko:K01835	lmoz:LM1816_14687
ko:K09762	lmoz:LM1816_14672
ko:K06994	lmoz:LM1816_14130
ko:K02240	lmoz:LM1816_15697
ko:K02242	lmoz:LM1816_15692
ko:K07658	lmoz:LM1816_15627
ko:K04488	lmoz:LM1816_13860
ko:K00657	lmoz:LM1816_13815
ko:K01580	lmoz:LM1816_13975
ko:K07032	lmoz:LM1816_13990
ko:K02793	lmoz:LM1816_12217
ko:K01619	lmoz:LM1816_12207
ko:K00784	lmoz:LM1816_12107
ko:K01515	lmoz:LM1816_12077
ko:K01990	lmoz:LM1816_12072
ko:K01992	lmoz:LM1816_12067
ko:K03711	lmoz:LM1816_12027
ko:K04763	lmoz:LM1816_12022
ko:K03783	lmoz:LM1816_12012
ko:K00805	lmoz:LM1816_11877
ko:K04517	lmoz:LM1816_11847
ko:K00027	lmoz:LM1816_11802
ko:K00974	lmoz:LM1816_11747
ko:K07304	lmoz:LM1816_11492
ko:K07305	lmoz:LM1816_11487
ko:K03810	lmoz:LM1816_11482
ko:K03784	lmoz:LM1816_11472
ko:K07213	lmoz:LM1816_11452
ko:K07035	lmoz:LM1816_07843
ko:K01992	lmoz:LM1816_07808
ko:K01990	lmoz:LM1816_07803
ko:K07177	lmoz:LM1816_17345
ko:K08724	lmoz:LM1816_01197
ko:K07105	lmoz:LM1816_12357
ko:K02028	lmoz:LM1816_10467
ko:K02029	lmoz:LM1816_10462
ko:K02030	lmoz:LM1816_10462
ko:K01992	lmoz:LM1816_10402
ko:K12555	lmoz:LM1816_10352
ko:K01990	lmoz:LM1816_10342
ko:K01992	lmoz:LM1816_10337
ko:K01679	lmoz:LM1816_10332
ko:K03698	lmoz:LM1816_10297
ko:K15582	lmoz:LM1816_08143
ko:K15583	lmoz:LM1816_08138
ko:K10823	lmoz:LM1816_17270
ko:K16509	lmoz:LM1816_08123
ko:K06198	lmoz:LM1816_08108
ko:K01026	lmoz:LM1816_07988
ko:K01759	lmoz:LM1816_07968
ko:K01808	lmoz:LM1816_05568
ko:K00616	lmoz:LM1816_05553
ko:K00615	lmoz:LM1816_05548
ko:K01223	lmoz:LM1816_16560
ko:K02775	lmoz:LM1816_07548
ko:K00882	lmoz:LM1816_07543
ko:K05020	lmoz:LM1816_07528
ko:K01409	lmoz:LM1816_13362
ko:K06889	lmoz:LM1816_13357
ko:K07052	lmoz:LM1816_13332
ko:K15770	lmoz:LM1816_07733
ko:K07052	lmoz:LM1816_07743
ko:K00691	lmoz:LM1816_07713
ko:K02004	lmoz:LM1816_17320
ko:K07098	lmoz:LM1816_07603
ko:K00625	lmoz:LM1816_07583
ko:K01191	lmoz:LM1816_12322
ko:K01191	lmoz:LM1816_12312
ko:K09704	lmoz:LM1816_12307
ko:K07720	lmoz:LM1816_17425
ko:K05570	lmoz:LM1816_13730
ko:K05568	lmoz:LM1816_17020
ko:K05565	lmoz:LM1816_13700
ko:K03768	lmoz:LM1816_13690
ko:K02004	lmoz:LM1816_17035
ko:K03574	lmoz:LM1816_05668
ko:K16957	lmoz:LM1816_17075
ko:K16958	lmoz:LM1816_13522
ko:K16959	lmoz:LM1816_13517
ko:K06183	lmoz:LM1816_13492
ko:K16329	lmoz:LM1816_13482
ko:K03436	lmoz:LM1816_13467
ko:K00882	lmoz:LM1816_17085
ko:K16899	lmoz:LM1816_10557
ko:K06889	lmoz:LM1816_10522
ko:K07533	lmoz:LM1816_10292
ko:K01990	lmoz:LM1816_10272
ko:K01992	lmoz:LM1816_10267
ko:K06976	lmoz:LM1816_10242
ko:K01834	lmoz:LM1816_10217
ko:K10563	lmoz:LM1816_06745
ko:K03346	lmoz:LM1816_06730
ko:K11144	lmoz:LM1816_06725
ko:K01580	lmoz:LM1816_17065
ko:K02564	lmoz:LM1816_13577
ko:K01258	lmoz:LM1816_16133
ko:K07094	lmoz:LM1816_07397
ko:K02433	lmoz:LM1816_07372
ko:K02030	lmoz:LM1816_07272
ko:K02025	lmoz:LM1816_07232
ko:K09963	lmoz:LM1816_07172
ko:K07586	lmoz:LM1816_07012
ko:K09825	lmoz:LM1816_06987
ko:K01760	lmoz:LM1816_09792
ko:K01424	lmoz:LM1816_11937
ko:K01104	lmoz:LM1816_11902
ko:K00805	lmoz:LM1816_11887
ko:K02086	lmoz:LM1816_11692
ko:K03700	lmoz:LM1816_11662
ko:K02824	lmoz:LM1816_11387
ko:K02823	lmoz:LM1816_11362
ko:K00949	lmoz:LM1816_11257
ko:K07030	lmoz:LM1816_11242
ko:K00059	lmoz:LM1816_11202
ko:K09787	lmoz:LM1816_11172
ko:K01104	lmoz:LM1816_11162
ko:K02552	lmoz:LM1816_09777
ko:K08680	lmoz:LM1816_09767
ko:K00016	lmoz:LM1816_09732
ko:K03574	lmoz:LM1816_17630
ko:K01439	lmoz:LM1816_09452
ko:K06286	lmoz:LM1816_09322
ko:K11741	lmoz:LM1816_05163
ko:K00941	lmoz:LM1816_05393
ko:K00878	lmoz:LM1816_05388
ko:K03707	lmoz:LM1816_05383
ko:K02759	lmoz:LM1816_09260
ko:K11741	lmoz:LM1816_05168
ko:K18926	lmoz:LM1816_10862
ko:K19975	lmoz:LM1816_11427
ko:K19973	lmoz:LM1816_11437
ko:K12574	lmoz:LM1816_06035
ko:K00951	lmoz:LM1816_06530
ko:K08986	lmoz:LM1816_12947
ko:K00059	lmoz:LM1816_04813
ko:K02056	lmoz:LM1816_04783
ko:K01823	lmoz:LM1816_04738
ko:K00033	lmoz:LM1816_15587
ko:K00929	lmoz:LM1816_17760
ko:K15986	lmoz:LM1816_06115
ko:K02076	lmoz:LM1816_06095
ko:K07533	lmoz:LM1816_06090
ko:K00383	lmoz:LM1816_17710
ko:K16789	lmoz:LM1816_06005
ko:K05845	lmoz:LM1816_17720
ko:K05846	lmoz:LM1816_17720
ko:K06902	lmoz:LM1816_05940
ko:K01641	lmoz:LM1816_05930
ko:K00626	lmoz:LM1816_05925
ko:K02443	lmoz:LM1816_12912
ko:K01992	lmoz:LM1816_00685
ko:K01719	lmoz:LM1816_06700
ko:K07584	lmoz:LM1816_06625
ko:K04518	lmoz:LM1816_06600
ko:K00016	lmoz:LM1816_06590
ko:K03399	lmoz:LM1816_08408
ko:K04720	lmoz:LM1816_08273
ko:K13921	lmoz:LM1816_08258
ko:K13923	lmoz:LM1816_08228
ko:K01262	lmoz:LM1816_15462
ko:K02245	lmoz:LM1816_15402
ko:K02246	lmoz:LM1816_15397
ko:K02248	lmoz:LM1816_15387
ko:K02249	lmoz:LM1816_15382
ko:K00845	lmoz:LM1816_15372
ko:K01934	lmoz:LM1816_15352
ko:K03177	lmoz:LM1816_15307
ko:K09764	lmoz:LM1816_15297
ko:K09976	lmoz:LM1816_15187
ko:K03713	lmoz:LM1816_15147
ko:K01226	lmoz:LM1816_17835
ko:K03486	lmoz:LM1816_17840
ko:K03574	lmoz:LM1816_08713
ko:K04750	lmoz:LM1816_08683
ko:K02428	lmoz:LM1816_08648
ko:K03471	lmoz:LM1816_08593
ko:K06994	lmoz:LM1816_08583
ko:K02004	lmoz:LM1816_17860
ko:K02009	lmoz:LM1816_08468
ko:K02004	lmoz:LM1816_06440
ko:K01243	lmoz:LM1816_06375
ko:K06948	lmoz:LM1816_06350
ko:K02238	lmoz:LM1816_17680
ko:K01489	lmoz:LM1816_06195
ko:K02190	lmoz:LM1816_17875
ko:K06889	lmoz:LM1816_05825
ko:K14227	lmoz:LM1816_17045
ko:K17686	lmoz:LM1816_11457
ko:K03734	lmoz:LM1816_02192
ko:K16785	lmoz:LM1816_02182
ko:K02946	lmoz:LM1816_02177
ko:K02906	lmoz:LM1816_02172
ko:K02926	lmoz:LM1816_16900
ko:K02892	lmoz:LM1816_02157
ko:K02886	lmoz:LM1816_02152
ko:K02965	lmoz:LM1816_02147
ko:K02890	lmoz:LM1816_02142
ko:K02982	lmoz:LM1816_02137
ko:K02878	lmoz:LM1816_02132
ko:K02904	lmoz:LM1816_02127
ko:K02961	lmoz:LM1816_02122
ko:K02874	lmoz:LM1816_02117
ko:K02895	lmoz:LM1816_02112
ko:K02931	lmoz:LM1816_02107
ko:K02954	lmoz:LM1816_02102
ko:K02994	lmoz:LM1816_02097
ko:K02933	lmoz:LM1816_02092
ko:K02881	lmoz:LM1816_02087
ko:K02988	lmoz:LM1816_02082
ko:K02907	lmoz:LM1816_02077
ko:K02876	lmoz:LM1816_02072
ko:K03076	lmoz:LM1816_02067
ko:K02518	lmoz:LM1816_02052
ko:K02919	lmoz:LM1816_02047
ko:K02952	lmoz:LM1816_02042
ko:K02948	lmoz:LM1816_02037
ko:K03040	lmoz:LM1816_02032
ko:K02879	lmoz:LM1816_02027
ko:K07507	lmoz:LM1816_02007
ko:K16785	lmoz:LM1816_16910
ko:K06173	lmoz:LM1816_01982
ko:K02871	lmoz:LM1816_01977
ko:K02996	lmoz:LM1816_01972
ko:K01142	lmoz:LM1816_16143
ko:K02013	lmoz:LM1816_16123
ko:K06950	lmoz:LM1816_16118
ko:K01588	lmoz:LM1816_07477
ko:K01589	lmoz:LM1816_07472
ko:K01756	lmoz:LM1816_07467
ko:K01923	lmoz:LM1816_07462
ko:K01952	lmoz:LM1816_07457
ko:K01952	lmoz:LM1816_07452
ko:K01952	lmoz:LM1816_07447
ko:K00764	lmoz:LM1816_07442
ko:K01933	lmoz:LM1816_07437
ko:K11175	lmoz:LM1816_07432
ko:K00602	lmoz:LM1816_17540
ko:K01945	lmoz:LM1816_07417
ko:K03308	lmoz:LM1816_07402
ko:K03657	lmoz:LM1816_07392
ko:K01972	lmoz:LM1816_07387
ko:K02435	lmoz:LM1816_07377
ko:K02434	lmoz:LM1816_17545
ko:K03215	lmoz:LM1816_07347
ko:K00891	lmoz:LM1816_07337
ko:K02003	lmoz:LM1816_07327
ko:K01486	lmoz:LM1816_07302
ko:K02029	lmoz:LM1816_07287
ko:K08317	lmoz:LM1816_07267
ko:K00266	lmoz:LM1816_07247
ko:K08972	lmoz:LM1816_14732
ko:K13292	lmoz:LM1816_14722
ko:K06019	lmoz:LM1816_14717
ko:K00384	lmoz:LM1816_14702
ko:K06958	lmoz:LM1816_14682
ko:K01358	lmoz:LM1816_14155
ko:K01273	lmoz:LM1816_14125
ko:K03092	lmoz:LM1816_14120
ko:K05311	lmoz:LM1816_14115
ko:K00134	lmoz:LM1816_14110
ko:K00927	lmoz:LM1816_14105
ko:K01803	lmoz:LM1816_14100
ko:K15633	lmoz:LM1816_14095
ko:K01689	lmoz:LM1816_14090
ko:K03075	lmoz:LM1816_14070
ko:K03928	lmoz:LM1816_14065
ko:K12573	lmoz:LM1816_14060
ko:K03664	lmoz:LM1816_14055
ko:K02016	lmoz:LM1816_13960
ko:K02015	lmoz:LM1816_13955
ko:K04072	lmoz:LM1816_17620
ko:K01657	lmoz:LM1816_09527
ko:K00766	lmoz:LM1816_09517
ko:K01609	lmoz:LM1816_09512
ko:K01817	lmoz:LM1816_09507
ko:K01696	lmoz:LM1816_09502
ko:K01695	lmoz:LM1816_09497
ko:K00824	lmoz:LM1816_09447
ko:K03439	lmoz:LM1816_09427
ko:K06878	lmoz:LM1816_09387
ko:K03466	lmoz:LM1816_09382
ko:K01924	lmoz:LM1816_09377
ko:K13853	lmoz:LM1816_17635
ko:K01866	lmoz:LM1816_09337
ko:K02986	lmoz:LM1816_09332
ko:K04487	lmoz:LM1816_09317
ko:K03151	lmoz:LM1816_09312
ko:K00145	lmoz:LM1816_09307
ko:K00620	lmoz:LM1816_17640
ko:K00611	lmoz:LM1816_12762
ko:K00858	lmoz:LM1816_12757
ko:K00925	lmoz:LM1816_12732
ko:K00259	lmoz:LM1816_12722
ko:K03501	lmoz:LM1816_03132
ko:K03781	lmoz:LM1816_03057
ko:K02761	lmoz:LM1816_03047
ko:K02760	lmoz:LM1816_16800
ko:K05349	lmoz:LM1816_03032
ko:K02759	lmoz:LM1816_03027
ko:K06942	lmoz:LM1816_03022
ko:K02003	lmoz:LM1816_16810
ko:K01223	lmoz:LM1816_02967
ko:K01919	lmoz:LM1816_02962
ko:K02759	lmoz:LM1816_02932
ko:K02761	lmoz:LM1816_02922
ko:K02760	lmoz:LM1816_02917
ko:K01223	lmoz:LM1816_02912
ko:K03654	lmoz:LM1816_02882
ko:K06978	lmoz:LM1816_02867
ko:K01586	lmoz:LM1816_12007
ko:K05896	lmoz:LM1816_12002
ko:K06024	lmoz:LM1816_11997
ko:K06178	lmoz:LM1816_11992
ko:K07775	lmoz:LM1816_11987
ko:K07651	lmoz:LM1816_11982
ko:K03654	lmoz:LM1816_17445
ko:K00945	lmoz:LM1816_11932
ko:K02945	lmoz:LM1816_11927
ko:K03977	lmoz:LM1816_11922
ko:K00057	lmoz:LM1816_17450
ko:K03530	lmoz:LM1816_11897
