ko:K13040	sbp:Sbal223_3676
ko:K05812	sbp:Sbal223_2080
ko:K01759	sbp:Sbal223_2281
ko:K03746	sbp:Sbal223_4476
ko:K05787	sbp:Sbal223_2523
ko:K11927	sbp:Sbal223_0896
ko:K11928	sbp:Sbal223_1588
ko:K11755	sbp:Sbal223_1926
ko:K00228	sbp:Sbal223_0037
ko:K00569	sbp:Sbal223_3727
ko:K02671	sbp:Sbal223_0851
ko:K02458	sbp:Sbal223_0158
ko:K02671	sbp:Sbal223_3231
ko:K07793	sbp:Sbal223_0927
ko:K00244	sbp:Sbal223_0637
ko:K00244	sbp:Sbal223_3883
ko:K12982	sbp:Sbal223_4281
ko:K07794	sbp:Sbal223_0926
ko:K18928	sbp:Sbal223_3009
ko:K03770	sbp:Sbal223_2746
ko:K03530	sbp:Sbal223_2747
ko:K01338	sbp:Sbal223_2748
ko:K03544	sbp:Sbal223_2749
ko:K03545	sbp:Sbal223_2751
ko:K01883	sbp:Sbal223_2753
ko:K03269	sbp:Sbal223_2755
ko:K06169	sbp:Sbal223_2756
ko:K01886	sbp:Sbal223_2758
ko:K04759	sbp:Sbal223_2759
ko:K03630	sbp:Sbal223_0402
ko:K02902	sbp:Sbal223_0403
ko:K02913	sbp:Sbal223_0404
ko:K05786	sbp:Sbal223_0407
ko:K03654	sbp:Sbal223_0409
ko:K01649	sbp:Sbal223_0411
ko:K00052	sbp:Sbal223_0412
ko:K01703	sbp:Sbal223_0413
ko:K01704	sbp:Sbal223_0414
ko:K06076	sbp:Sbal223_0415
ko:K00864	sbp:Sbal223_0416
ko:K03925	sbp:Sbal223_0418
ko:K03438	sbp:Sbal223_0419
ko:K03586	sbp:Sbal223_0420
ko:K03587	sbp:Sbal223_0421
ko:K01928	sbp:Sbal223_0422
ko:K01929	sbp:Sbal223_0423
ko:K01000	sbp:Sbal223_0424
ko:K01925	sbp:Sbal223_0425
ko:K03588	sbp:Sbal223_0426
ko:K02563	sbp:Sbal223_0427
ko:K01924	sbp:Sbal223_0428
ko:K03589	sbp:Sbal223_0429
ko:K03590	sbp:Sbal223_0430
ko:K03531	sbp:Sbal223_0431
ko:K02535	sbp:Sbal223_0432
ko:K03070	sbp:Sbal223_0435
ko:K01698	sbp:Sbal223_0436
ko:K03424	sbp:Sbal223_0438
ko:K03118	sbp:Sbal223_0440
ko:K03117	sbp:Sbal223_0441
ko:K03116	sbp:Sbal223_0442
ko:K03688	sbp:Sbal223_0443
ko:K03690	sbp:Sbal223_0444
ko:K03183	sbp:Sbal223_0445
ko:K02553	sbp:Sbal223_0447
ko:K09954	sbp:Sbal223_1361
ko:K03830	sbp:Sbal223_1364
ko:K06911	sbp:Sbal223_1365
ko:K06941	sbp:Sbal223_1370
ko:K02656	sbp:Sbal223_1371
ko:K01892	sbp:Sbal223_1374
ko:K03977	sbp:Sbal223_1377
ko:K03601	sbp:Sbal223_1378
ko:K00088	sbp:Sbal223_1379
ko:K01951	sbp:Sbal223_1380
ko:K01952	sbp:Sbal223_1383
ko:K00425	sbp:Sbal223_1384
ko:K00426	sbp:Sbal223_1385
ko:K09794	sbp:Sbal223_1388
ko:K00059	sbp:Sbal223_1403
ko:K01652	sbp:Sbal223_1404
ko:K09860	sbp:Sbal223_1410
ko:K02399	sbp:Sbal223_1411
ko:K02398	sbp:Sbal223_1412
ko:K02386	sbp:Sbal223_1413
ko:K03415	sbp:Sbal223_1414
ko:K03582	sbp:Sbal223_2291
ko:K03581	sbp:Sbal223_2292
ko:K01921	sbp:Sbal223_2294
ko:K02429	sbp:Sbal223_2298
ko:K00156	sbp:Sbal223_2307
ko:K02002	sbp:Sbal223_2312
ko:K01462	sbp:Sbal223_2315
ko:K07443	sbp:Sbal223_2316
ko:K06445	sbp:Sbal223_2319
ko:K02342	sbp:Sbal223_2323
ko:K03469	sbp:Sbal223_2324
ko:K08307	sbp:Sbal223_2328
ko:K07289	sbp:Sbal223_2331
ko:K02553	sbp:Sbal223_2332
ko:K01305	sbp:Sbal223_2340
ko:K03527	sbp:Sbal223_3232
ko:K03774	sbp:Sbal223_3233
ko:K03101	sbp:Sbal223_3234
ko:K01870	sbp:Sbal223_3235
ko:K03980	sbp:Sbal223_3237
ko:K02968	sbp:Sbal223_3238
ko:K09861	sbp:Sbal223_3241
ko:K03310	sbp:Sbal223_3242
ko:K00616	sbp:Sbal223_3245
ko:K01810	sbp:Sbal223_3246
ko:K03088	sbp:Sbal223_3251
ko:K01588	sbp:Sbal223_3254
ko:K01589	sbp:Sbal223_3255
ko:K01919	sbp:Sbal223_3260
ko:K04758	sbp:Sbal223_2760
ko:K06447	sbp:Sbal223_3695
ko:K00673	sbp:Sbal223_3696
ko:K03600	sbp:Sbal223_3702
ko:K03599	sbp:Sbal223_3703
ko:K00413	sbp:Sbal223_3704
ko:K00412	sbp:Sbal223_3705
ko:K00411	sbp:Sbal223_3706
ko:K04087	sbp:Sbal223_3707
ko:K04088	sbp:Sbal223_3708
ko:K03665	sbp:Sbal223_3709
ko:K03666	sbp:Sbal223_3710
ko:K00791	sbp:Sbal223_3711
ko:K03572	sbp:Sbal223_3712
ko:K01448	sbp:Sbal223_3713
ko:K06925	sbp:Sbal223_3714
ko:K06949	sbp:Sbal223_3718
ko:K01613	sbp:Sbal223_3719
ko:K01126	sbp:Sbal223_3722
ko:K02192	sbp:Sbal223_3726
ko:K07175	sbp:Sbal223_3732
ko:K03580	sbp:Sbal223_3733
ko:K09893	sbp:Sbal223_3738
ko:K00655	sbp:Sbal223_3739
ko:K03442	sbp:Sbal223_3747
ko:K01938	sbp:Sbal223_3748
ko:K07180	sbp:Sbal223_2504
ko:K09786	sbp:Sbal223_2505
ko:K03603	sbp:Sbal223_2507
ko:K03314	sbp:Sbal223_2508
ko:K03611	sbp:Sbal223_2509
ko:K09768	sbp:Sbal223_2514
ko:K00275	sbp:Sbal223_2515
ko:K01611	sbp:Sbal223_2516
ko:K01585	sbp:Sbal223_2517
ko:K00243	sbp:Sbal223_2519
ko:K09915	sbp:Sbal223_2520
ko:K01935	sbp:Sbal223_2524
ko:K02169	sbp:Sbal223_2525
ko:K01012	sbp:Sbal223_2527
ko:K01624	sbp:Sbal223_3462
ko:K00927	sbp:Sbal223_3463
ko:K00134	sbp:Sbal223_3464
ko:K00615	sbp:Sbal223_3465
ko:K00789	sbp:Sbal223_3466
ko:K03427	sbp:Sbal223_3470
ko:K01154	sbp:Sbal223_3471
ko:K01153	sbp:Sbal223_3473
ko:K03837	sbp:Sbal223_3483
ko:K03828	sbp:Sbal223_3486
ko:K00351	sbp:Sbal223_3490
ko:K00350	sbp:Sbal223_3491
ko:K00349	sbp:Sbal223_3492
ko:K00348	sbp:Sbal223_3493
ko:K00347	sbp:Sbal223_3494
ko:K00346	sbp:Sbal223_3495
ko:K02014	sbp:Sbal223_3505
ko:K02426	sbp:Sbal223_3508
ko:K08303	sbp:Sbal223_3514
ko:K06177	sbp:Sbal223_3515
ko:K03718	sbp:Sbal223_3516
ko:K03497	sbp:Sbal223_4410
ko:K06158	sbp:Sbal223_0886
ko:K07070	sbp:Sbal223_0888
ko:K06911	sbp:Sbal223_0892
ko:K05591	sbp:Sbal223_0893
ko:K05873	sbp:Sbal223_0901
ko:K07184	sbp:Sbal223_0905
ko:K03306	sbp:Sbal223_0906
ko:K07220	sbp:Sbal223_0907
ko:K09980	sbp:Sbal223_0913
ko:K00797	sbp:Sbal223_0914
ko:K00982	sbp:Sbal223_0917
ko:K07086	sbp:Sbal223_0919
ko:K06916	sbp:Sbal223_0922
ko:K07795	sbp:Sbal223_0925
ko:K11105	sbp:Sbal223_0935
ko:K02517	sbp:Sbal223_0936
ko:K09900	sbp:Sbal223_1827
ko:K01647	sbp:Sbal223_1831
ko:K00241	sbp:Sbal223_1832
ko:K00242	sbp:Sbal223_1833
ko:K00239	sbp:Sbal223_1834
ko:K00240	sbp:Sbal223_1835
ko:K00164	sbp:Sbal223_1836
ko:K00658	sbp:Sbal223_1837
ko:K01903	sbp:Sbal223_1838
ko:K01902	sbp:Sbal223_1839
ko:K06140	sbp:Sbal223_1840
ko:K03284	sbp:Sbal223_1846
ko:K07660	sbp:Sbal223_1850
ko:K01484	sbp:Sbal223_1854
ko:K03168	sbp:Sbal223_1855
ko:K01626	sbp:Sbal223_1861
ko:K09773	sbp:Sbal223_1862
ko:K01007	sbp:Sbal223_1863
ko:K09986	sbp:Sbal223_1865
ko:K00263	sbp:Sbal223_1868
ko:K01756	sbp:Sbal223_1871
ko:K07153	sbp:Sbal223_1872
ko:K00566	sbp:Sbal223_1873
ko:K06181	sbp:Sbal223_1875
ko:K00031	sbp:Sbal223_1876
ko:K03704	sbp:Sbal223_1877
ko:K06891	sbp:Sbal223_1878
ko:K03694	sbp:Sbal223_1879
ko:K02518	sbp:Sbal223_1880
ko:K02647	sbp:Sbal223_2770
ko:K00865	sbp:Sbal223_2773
ko:K06996	sbp:Sbal223_2788
ko:K03305	sbp:Sbal223_2795
ko:K02168	sbp:Sbal223_2804
ko:K02039	sbp:Sbal223_2815
ko:K07773	sbp:Sbal223_3660
ko:K01278	sbp:Sbal223_3662
ko:K03841	sbp:Sbal223_3663
ko:K03769	sbp:Sbal223_3684
ko:K05365	sbp:Sbal223_3685
ko:K03579	sbp:Sbal223_3686
ko:K01975	sbp:Sbal223_3688
ko:K10914	sbp:Sbal223_3690
ko:K09749	sbp:Sbal223_0830
ko:K01920	sbp:Sbal223_0833
ko:K09761	sbp:Sbal223_0834
ko:K02742	sbp:Sbal223_0836
ko:K02355	sbp:Sbal223_0843
ko:K02568	sbp:Sbal223_0846
ko:K02567	sbp:Sbal223_0847
ko:K02570	sbp:Sbal223_0848
ko:K02655	sbp:Sbal223_0853
ko:K02003	sbp:Sbal223_0856
ko:K03310	sbp:Sbal223_0857
ko:K06980	sbp:Sbal223_0860
ko:K08984	sbp:Sbal223_0862
ko:K01918	sbp:Sbal223_0867
ko:K00606	sbp:Sbal223_0868
ko:K00950	sbp:Sbal223_0869
ko:K06204	sbp:Sbal223_0872
ko:K06206	sbp:Sbal223_0873
ko:K07751	sbp:Sbal223_0874
ko:K00855	sbp:Sbal223_0876
ko:K07019	sbp:Sbal223_0878
ko:K09929	sbp:Sbal223_1765
ko:K09790	sbp:Sbal223_1767
ko:K00759	sbp:Sbal223_1768
ko:K02343	sbp:Sbal223_1769
ko:K09747	sbp:Sbal223_1770
ko:K06187	sbp:Sbal223_1771
ko:K03825	sbp:Sbal223_1772
ko:K03812	sbp:Sbal223_1778
ko:K01716	sbp:Sbal223_1779
ko:K07689	sbp:Sbal223_1782
ko:K03703	sbp:Sbal223_1783
ko:K00995	sbp:Sbal223_1784
ko:K05995	sbp:Sbal223_1786
ko:K03799	sbp:Sbal223_1787
ko:K05596	sbp:Sbal223_1788
ko:K03564	sbp:Sbal223_1790
ko:K03567	sbp:Sbal223_1791
ko:K01714	sbp:Sbal223_1792
ko:K07287	sbp:Sbal223_1793
ko:K04079	sbp:Sbal223_1798
ko:K05838	sbp:Sbal223_1799
ko:K00939	sbp:Sbal223_1800
ko:K01772	sbp:Sbal223_1801
ko:K00892	sbp:Sbal223_1802
ko:K07014	sbp:Sbal223_1815
ko:K09904	sbp:Sbal223_1816
ko:K06899	sbp:Sbal223_1817
ko:K00428	sbp:Sbal223_1818
ko:K09907	sbp:Sbal223_1822
ko:K03769	sbp:Sbal223_2710
ko:K03832	sbp:Sbal223_2714
ko:K03559	sbp:Sbal223_2715
ko:K02342	sbp:Sbal223_2003
ko:K03502	sbp:Sbal223_2005
ko:K03503	sbp:Sbal223_2006
ko:K06969	sbp:Sbal223_2014
ko:K11068	sbp:Sbal223_2021
ko:K03147	sbp:Sbal223_2024
ko:K03154	sbp:Sbal223_2027
ko:K03149	sbp:Sbal223_2028
ko:K03150	sbp:Sbal223_2029
ko:K01876	sbp:Sbal223_2040
ko:K01159	sbp:Sbal223_2042
ko:K03550	sbp:Sbal223_2043
ko:K03551	sbp:Sbal223_2044
ko:K09916	sbp:Sbal223_2049
ko:K04773	sbp:Sbal223_2051
ko:K11107	sbp:Sbal223_2053
ko:K00526	sbp:Sbal223_2054
ko:K06987	sbp:Sbal223_2953
ko:K03449	sbp:Sbal223_2955
ko:K06193	sbp:Sbal223_2956
ko:K03500	sbp:Sbal223_2967
ko:K06213	sbp:Sbal223_2974
ko:K00432	sbp:Sbal223_2975
ko:K07636	sbp:Sbal223_2980
ko:K07657	sbp:Sbal223_2981
ko:K03554	sbp:Sbal223_2983
ko:K06966	sbp:Sbal223_2987
ko:K06968	sbp:Sbal223_2993
ko:K07020	sbp:Sbal223_2995
ko:K03151	sbp:Sbal223_2998
ko:K02557	sbp:Sbal223_2999
ko:K03308	sbp:Sbal223_3924
ko:K01754	sbp:Sbal223_3931
ko:K01687	sbp:Sbal223_3932
ko:K11258	sbp:Sbal223_3933
ko:K01652	sbp:Sbal223_3934
ko:K00053	sbp:Sbal223_3935
ko:K02521	sbp:Sbal223_3936
ko:K07391	sbp:Sbal223_3940
ko:K00826	sbp:Sbal223_3951
ko:K09892	sbp:Sbal223_3956
ko:K03673	sbp:Sbal223_3958
ko:K06039	sbp:Sbal223_3964
ko:K06910	sbp:Sbal223_3974
ko:K01581	sbp:Sbal223_3975
ko:K03756	sbp:Sbal223_3976
ko:K00851	sbp:Sbal223_3978
ko:K06145	sbp:Sbal223_3980
ko:K07136	sbp:Sbal223_3982
ko:K03561	sbp:Sbal223_2716
ko:K03561	sbp:Sbal223_2717
ko:K02336	sbp:Sbal223_2724
ko:K03722	sbp:Sbal223_2725
ko:K04067	sbp:Sbal223_2727
ko:K09909	sbp:Sbal223_2728
ko:K01761	sbp:Sbal223_2732
ko:K08990	sbp:Sbal223_2733
ko:K06918	sbp:Sbal223_2734
ko:K03969	sbp:Sbal223_2737
ko:K03974	sbp:Sbal223_2738
ko:K00973	sbp:Sbal223_1473
ko:K03630	sbp:Sbal223_2357
ko:K06915	sbp:Sbal223_2366
ko:K01676	sbp:Sbal223_2375
ko:K01665	sbp:Sbal223_2376
ko:K01893	sbp:Sbal223_2379
ko:K02569	sbp:Sbal223_2381
ko:K02568	sbp:Sbal223_2382
ko:K02567	sbp:Sbal223_2383
ko:K02570	sbp:Sbal223_2384
ko:K02571	sbp:Sbal223_2385
ko:K03578	sbp:Sbal223_2386
ko:K07278	sbp:Sbal223_2390
ko:K09800	sbp:Sbal223_2391
ko:K02897	sbp:Sbal223_2392
ko:K03669	sbp:Sbal223_2396
ko:K03670	sbp:Sbal223_2397
ko:K03734	sbp:Sbal223_2400
ko:K03620	sbp:Sbal223_2406
ko:K06938	sbp:Sbal223_3289
ko:K02048	sbp:Sbal223_3292
ko:K02046	sbp:Sbal223_3293
ko:K02047	sbp:Sbal223_3294
ko:K02045	sbp:Sbal223_3295
ko:K08289	sbp:Sbal223_3300
ko:K06177	sbp:Sbal223_3301
ko:K05801	sbp:Sbal223_3306
ko:K07102	sbp:Sbal223_3308
ko:K04744	sbp:Sbal223_3309
ko:K03771	sbp:Sbal223_3311
ko:K00097	sbp:Sbal223_3312
ko:K02528	sbp:Sbal223_3313
ko:K06195	sbp:Sbal223_3314
ko:K01525	sbp:Sbal223_3315
ko:K00287	sbp:Sbal223_3318
ko:K03979	sbp:Sbal223_3321
ko:K02899	sbp:Sbal223_3322
ko:K02888	sbp:Sbal223_3323
ko:K02523	sbp:Sbal223_3324
ko:K03648	sbp:Sbal223_3325
ko:K02014	sbp:Sbal223_3331
ko:K07226	sbp:Sbal223_3336
ko:K07227	sbp:Sbal223_3337
ko:K03832	sbp:Sbal223_3339
ko:K03561	sbp:Sbal223_3340
ko:K02016	sbp:Sbal223_3342
ko:K02015	sbp:Sbal223_3343
ko:K02013	sbp:Sbal223_3344
ko:K00954	sbp:Sbal223_4276
ko:K11211	sbp:Sbal223_4282
ko:K02527	sbp:Sbal223_4283
ko:K00639	sbp:Sbal223_4285
ko:K02439	sbp:Sbal223_4287
ko:K02441	sbp:Sbal223_4288
ko:K02335	sbp:Sbal223_4290
ko:K03978	sbp:Sbal223_4291
ko:K09894	sbp:Sbal223_4294
ko:K01661	sbp:Sbal223_4303
ko:K00820	sbp:Sbal223_4305
ko:K02014	sbp:Sbal223_4307
ko:K04042	sbp:Sbal223_4308
ko:K02114	sbp:Sbal223_4309
ko:K02112	sbp:Sbal223_4310
ko:K02115	sbp:Sbal223_4311
ko:K02111	sbp:Sbal223_4312
ko:K02113	sbp:Sbal223_4313
ko:K02109	sbp:Sbal223_4314
ko:K02110	sbp:Sbal223_4315
ko:K02108	sbp:Sbal223_4316
ko:K03497	sbp:Sbal223_4318
ko:K03501	sbp:Sbal223_4320
ko:K03495	sbp:Sbal223_4321
ko:K06205	sbp:Sbal223_4323
ko:K03650	sbp:Sbal223_4324
ko:K03217	sbp:Sbal223_4325
ko:K08998	sbp:Sbal223_4326
ko:K03536	sbp:Sbal223_4327
ko:K02914	sbp:Sbal223_4328
ko:K07107	sbp:Sbal223_0343
ko:K01745	sbp:Sbal223_0344
ko:K02078	sbp:Sbal223_0349
ko:K02078	sbp:Sbal223_0350
ko:K03655	sbp:Sbal223_0354
ko:K07693	sbp:Sbal223_0355
ko:K07778	sbp:Sbal223_0356
ko:K07301	sbp:Sbal223_0358
ko:K03060	sbp:Sbal223_0362
ko:K00942	sbp:Sbal223_0363
ko:K03630	sbp:Sbal223_0380
ko:K01153	sbp:Sbal223_0388
ko:K00989	sbp:Sbal223_0395
ko:K00762	sbp:Sbal223_0396
ko:K01495	sbp:Sbal223_0397
ko:K08363	sbp:Sbal223_1304
ko:K01669	sbp:Sbal223_1309
ko:K09701	sbp:Sbal223_1313
ko:K00574	sbp:Sbal223_1314
ko:K03575	sbp:Sbal223_1325
ko:K03439	sbp:Sbal223_1326
ko:K09923	sbp:Sbal223_1327
ko:K01425	sbp:Sbal223_1328
ko:K09131	sbp:Sbal223_1335
ko:K02221	sbp:Sbal223_1336
ko:K00286	sbp:Sbal223_1337
ko:K06997	sbp:Sbal223_1338
ko:K02669	sbp:Sbal223_1339
ko:K02670	sbp:Sbal223_1340
ko:K00432	sbp:Sbal223_1341
ko:K01772	sbp:Sbal223_1342
ko:K07447	sbp:Sbal223_1343
ko:K07735	sbp:Sbal223_1344
ko:K03113	sbp:Sbal223_1345
ko:K11065	sbp:Sbal223_1349
ko:K03442	sbp:Sbal223_1350
ko:K01620	sbp:Sbal223_1352
ko:K09933	sbp:Sbal223_1355
ko:K00167	sbp:Sbal223_2234
ko:K00166	sbp:Sbal223_2235
ko:K05526	sbp:Sbal223_2236
ko:K03645	sbp:Sbal223_2239
ko:K03839	sbp:Sbal223_2243
ko:K02356	sbp:Sbal223_2245
ko:K01915	sbp:Sbal223_2246
ko:K08722	sbp:Sbal223_2249
ko:K01129	sbp:Sbal223_2250
ko:K01625	sbp:Sbal223_2251
ko:K01690	sbp:Sbal223_2252
ko:K01057	sbp:Sbal223_2253
ko:K00036	sbp:Sbal223_2254
ko:K00873	sbp:Sbal223_2256
ko:K01283	sbp:Sbal223_2259
ko:K09858	sbp:Sbal223_2262
ko:K01738	sbp:Sbal223_2267
ko:K10026	sbp:Sbal223_2268
ko:K06920	sbp:Sbal223_2269
ko:K03702	sbp:Sbal223_2271
ko:K03617	sbp:Sbal223_2273
ko:K03616	sbp:Sbal223_2274
ko:K03615	sbp:Sbal223_2275
ko:K03614	sbp:Sbal223_2276
ko:K03612	sbp:Sbal223_2277
ko:K03613	sbp:Sbal223_2278
ko:K10773	sbp:Sbal223_2279
ko:K07147	sbp:Sbal223_2283
ko:K09760	sbp:Sbal223_2284
ko:K08309	sbp:Sbal223_2285
ko:K03924	sbp:Sbal223_2287
ko:K03583	sbp:Sbal223_2290
ko:K02529	sbp:Sbal223_3176
ko:K03305	sbp:Sbal223_3183
ko:K00135	sbp:Sbal223_3187
ko:K09471	sbp:Sbal223_3188
ko:K11074	sbp:Sbal223_3189
ko:K11075	sbp:Sbal223_3190
ko:K11076	sbp:Sbal223_3191
ko:K11073	sbp:Sbal223_3192
ko:K01915	sbp:Sbal223_3193
ko:K07010	sbp:Sbal223_3194
ko:K03642	sbp:Sbal223_3199
ko:K09472	sbp:Sbal223_3202
ko:K00822	sbp:Sbal223_3203
ko:K00140	sbp:Sbal223_3204
ko:K06995	sbp:Sbal223_3205
ko:K01443	sbp:Sbal223_3209
ko:K00820	sbp:Sbal223_3210
ko:K02529	sbp:Sbal223_3221
ko:K03885	sbp:Sbal223_3222
ko:K08084	sbp:Sbal223_3224
ko:K02655	sbp:Sbal223_3227
ko:K02674	sbp:Sbal223_3228
ko:K02672	sbp:Sbal223_3230
ko:K00059	sbp:Sbal223_4155
ko:K10924	sbp:Sbal223_0515
ko:K10924	sbp:Sbal223_0516
ko:K10926	sbp:Sbal223_0517
ko:K10927	sbp:Sbal223_0518
ko:K03569	sbp:Sbal223_0522
ko:K03570	sbp:Sbal223_0523
ko:K13256	sbp:Sbal223_2678
ko:K08305	sbp:Sbal223_1755
ko:K03446	sbp:Sbal223_3786
ko:K02001	sbp:Sbal223_2311
ko:K03409	sbp:Sbal223_0739
ko:K00297	sbp:Sbal223_0566
ko:K01424	sbp:Sbal223_2050
ko:K01077	sbp:Sbal223_0686
ko:K01048	sbp:Sbal223_4299
ko:K07687	sbp:Sbal223_0289
ko:K01187	sbp:Sbal223_2299
ko:K02483	sbp:Sbal223_2450
ko:K02483	sbp:Sbal223_0298
ko:K12065	sbp:Sbal223_4376
ko:K12063	sbp:Sbal223_4378
ko:K12056	sbp:Sbal223_4388
ko:K12057	sbp:Sbal223_4432
ko:K12060	sbp:Sbal223_4435
ko:K12065	sbp:Sbal223_4500
ko:K12063	sbp:Sbal223_4502
ko:K12057	sbp:Sbal223_4508
ko:K12072	sbp:Sbal223_4512
ko:K12056	sbp:Sbal223_4513
ko:K08357	sbp:Sbal223_3679
ko:K04335	sbp:Sbal223_0865
ko:K01187	sbp:Sbal223_2017
ko:K07787	sbp:Sbal223_4103
ko:K11753	sbp:Sbal223_3236
ko:K01243	sbp:Sbal223_3137
ko:K15371	sbp:Sbal223_1911
ko:K07659	sbp:Sbal223_4134
ko:K03455	sbp:Sbal223_3045
ko:K06186	sbp:Sbal223_3049
ko:K09801	sbp:Sbal223_3050
ko:K03664	sbp:Sbal223_3052
ko:K07056	sbp:Sbal223_3988
ko:K07121	sbp:Sbal223_3989
ko:K07460	sbp:Sbal223_3990
ko:K01867	sbp:Sbal223_3995
ko:K01091	sbp:Sbal223_3996
ko:K01783	sbp:Sbal223_3997
ko:K06223	sbp:Sbal223_4000
ko:K03112	sbp:Sbal223_4001
ko:K01735	sbp:Sbal223_4002
ko:K00891	sbp:Sbal223_4003
ko:K02666	sbp:Sbal223_4004
ko:K02665	sbp:Sbal223_4005
ko:K02662	sbp:Sbal223_4008
ko:K05366	sbp:Sbal223_4009
ko:K01755	sbp:Sbal223_4010
ko:K01940	sbp:Sbal223_4011
ko:K00611	sbp:Sbal223_4012
ko:K00930	sbp:Sbal223_4013
ko:K00145	sbp:Sbal223_4014
ko:K01595	sbp:Sbal223_4015
ko:K02200	sbp:Sbal223_4019
ko:K02199	sbp:Sbal223_4020
ko:K02198	sbp:Sbal223_4021
ko:K02200	sbp:Sbal223_4022
ko:K02193	sbp:Sbal223_4024
ko:K02194	sbp:Sbal223_4025
ko:K02195	sbp:Sbal223_4026
ko:K02196	sbp:Sbal223_4027
ko:K02197	sbp:Sbal223_4028
ko:K02879	sbp:Sbal223_4030
ko:K03040	sbp:Sbal223_4031
ko:K02986	sbp:Sbal223_4032
ko:K02948	sbp:Sbal223_4033
ko:K02952	sbp:Sbal223_4034
ko:K02919	sbp:Sbal223_4035
ko:K03076	sbp:Sbal223_4036
ko:K02876	sbp:Sbal223_4037
ko:K05896	sbp:Sbal223_1667
ko:K06024	sbp:Sbal223_1668
ko:K06178	sbp:Sbal223_1669
ko:K02003	sbp:Sbal223_1679
ko:K03100	sbp:Sbal223_1681
ko:K03312	sbp:Sbal223_1682
