ko:K18137	abab:BJAB0715_02253
ko:K13038	abab:BJAB0715_03318
ko:K03630	abab:BJAB0715_03319
ko:K07053	abab:BJAB0715_03322
ko:K06190	abab:BJAB0715_03323
ko:K09780	abab:BJAB0715_03324
ko:K15461	abab:BJAB0715_03326
ko:K09767	abab:BJAB0715_03328
ko:K10806	abab:BJAB0715_03330
ko:K03672	abab:BJAB0715_03331
ko:K00382	abab:BJAB0715_03335
ko:K07400	abab:BJAB0715_01092
ko:K01673	abab:BJAB0715_01096
ko:K10804	abab:BJAB0715_01097
ko:K02003	abab:BJAB0715_01098
ko:K03814	abab:BJAB0715_01101
ko:K00937	abab:BJAB0715_01102
ko:K04761	abab:BJAB0715_01104
ko:K05297	abab:BJAB0715_01106
ko:K04567	abab:BJAB0715_01111
ko:K00957	abab:BJAB0715_01114
ko:K09965	abab:BJAB0715_01116
ko:K03300	abab:BJAB0715_01118
ko:K01637	abab:BJAB0715_01121
ko:K03190	abab:BJAB0715_01125
ko:K01430	abab:BJAB0715_01126
ko:K01429	abab:BJAB0715_01127
ko:K01428	abab:BJAB0715_01128
ko:K03187	abab:BJAB0715_01129
ko:K03188	abab:BJAB0715_01130
ko:K03189	abab:BJAB0715_01131
ko:K03192	abab:BJAB0715_01132
ko:K02503	abab:BJAB0715_01892
ko:K10764	abab:BJAB0715_01900
ko:K09747	abab:BJAB0715_01902
ko:K06187	abab:BJAB0715_01903
ko:K03684	abab:BJAB0715_01904
ko:K09902	abab:BJAB0715_01908
ko:K09989	abab:BJAB0715_01911
ko:K06001	abab:BJAB0715_01912
ko:K07320	abab:BJAB0715_01913
ko:K01736	abab:BJAB0715_01914
ko:K03644	abab:BJAB0715_01918
ko:K00627	abab:BJAB0715_01921
ko:K00382	abab:BJAB0715_01922
ko:K17218	abab:BJAB0715_01928
ko:K07090	abab:BJAB0715_01929
ko:K00003	abab:BJAB0715_01930
ko:K09916	abab:BJAB0715_02681
ko:K00858	abab:BJAB0715_02682
ko:K05365	abab:BJAB0715_02683
ko:K00528	abab:BJAB0715_02695
ko:K08303	abab:BJAB0715_02698
ko:K10017	abab:BJAB0715_02701
ko:K10015	abab:BJAB0715_02702
ko:K10016	abab:BJAB0715_02703
ko:K00600	abab:BJAB0715_02709
ko:K10857	abab:BJAB0715_02713
ko:K06879	abab:BJAB0715_02717
ko:K05837	abab:BJAB0715_02719
ko:K03642	abab:BJAB0715_02721
ko:K02357	abab:BJAB0715_02727
ko:K06966	abab:BJAB0715_03449
ko:K03284	abab:BJAB0715_03450
ko:K07122	abab:BJAB0715_03452
ko:K07323	abab:BJAB0715_03453
ko:K02066	abab:BJAB0715_03455
ko:K02065	abab:BJAB0715_03456
ko:K01662	abab:BJAB0715_03460
ko:K00228	abab:BJAB0715_03462
ko:K00014	abab:BJAB0715_03463
ko:K07168	abab:BJAB0715_03468
ko:K01878	abab:BJAB0715_03473
ko:K01879	abab:BJAB0715_03474
ko:K05526	abab:BJAB0715_03485
ko:K01484	abab:BJAB0715_03486
ko:K06447	abab:BJAB0715_03487
ko:K00673	abab:BJAB0715_03488
ko:K00840	abab:BJAB0715_03489
ko:K00261	abab:BJAB0715_03490
ko:K00836	abab:BJAB0715_02841
ko:K03580	abab:BJAB0715_02849
ko:K01845	abab:BJAB0715_02852
ko:K00788	abab:BJAB0715_02853
ko:K06956	abab:BJAB0715_02861
ko:K00031	abab:BJAB0715_02867
ko:K06181	abab:BJAB0715_02869
ko:K00031	abab:BJAB0715_02870
ko:K01814	abab:BJAB0715_03591
ko:K02204	abab:BJAB0715_03598
ko:K02500	abab:BJAB0715_03599
ko:K06188	abab:BJAB0715_03602
ko:K01173	abab:BJAB0715_03606
ko:K03549	abab:BJAB0715_03608
ko:K08224	abab:BJAB0715_03631
ko:K14225	abab:BJAB0715_tRNA11
ko:K02887	abab:BJAB0715_00640
ko:K01889	abab:BJAB0715_00644
ko:K01890	abab:BJAB0715_00645
ko:K04764	abab:BJAB0715_00646
ko:K03628	abab:BJAB0715_00649
ko:K03671	abab:BJAB0715_00650
ko:K01524	abab:BJAB0715_00651
ko:K01962	abab:BJAB0715_00652
ko:K04075	abab:BJAB0715_00653
ko:K00286	abab:BJAB0715_00654
ko:K02221	abab:BJAB0715_00655
ko:K04754	abab:BJAB0715_00667
ko:K03092	abab:BJAB0715_00670
ko:K05808	abab:BJAB0715_00671
ko:K00790	abab:BJAB0715_00673
ko:K00765	abab:BJAB0715_00674
ko:K00013	abab:BJAB0715_00675
ko:K00817	abab:BJAB0715_00676
ko:K01665	abab:BJAB0715_00677
ko:K07160	abab:BJAB0715_01443
ko:K09967	abab:BJAB0715_01453
ko:K09967	abab:BJAB0715_01454
ko:K11746	abab:BJAB0715_01456
ko:K07722	abab:BJAB0715_01460
ko:K11901	abab:BJAB0715_01480
ko:K11900	abab:BJAB0715_01481
ko:K11903	abab:BJAB0715_01482
ko:K11897	abab:BJAB0715_01483
ko:K11896	abab:BJAB0715_01484
ko:K11895	abab:BJAB0715_01485
ko:K11891	abab:BJAB0715_01487
ko:K11890	abab:BJAB0715_01488
ko:K04762	abab:BJAB0715_02231
ko:K03565	abab:BJAB0715_02233
ko:K00677	abab:BJAB0715_02235
ko:K02372	abab:BJAB0715_02236
ko:K02536	abab:BJAB0715_02237
ko:K06142	abab:BJAB0715_02238
ko:K07277	abab:BJAB0715_02239
ko:K11749	abab:BJAB0715_02240
ko:K00099	abab:BJAB0715_02241
ko:K00981	abab:BJAB0715_02242
ko:K00806	abab:BJAB0715_02243
ko:K02838	abab:BJAB0715_02244
ko:K09903	abab:BJAB0715_02245
ko:K14441	abab:BJAB0715_02246
ko:K07708	abab:BJAB0715_02248
ko:K07712	abab:BJAB0715_02249
ko:K01770	abab:BJAB0715_02256
ko:K00285	abab:BJAB0715_02258
ko:K07235	abab:BJAB0715_02264
ko:K03750	abab:BJAB0715_02271
ko:K03639	abab:BJAB0715_02275
ko:K16137	abab:BJAB0715_03019
ko:K07124	abab:BJAB0715_03020
ko:K04760	abab:BJAB0715_03028
ko:K14058	abab:BJAB0715_03031
ko:K03799	abab:BJAB0715_03033
ko:K01126	abab:BJAB0715_03036
ko:K00901	abab:BJAB0715_03038
ko:K04077	abab:BJAB0715_03039
ko:K04078	abab:BJAB0715_03040
ko:K00111	abab:BJAB0715_03044
ko:K00864	abab:BJAB0715_03047
ko:K01491	abab:BJAB0715_03051
ko:K00796	abab:BJAB0715_03056
ko:K03798	abab:BJAB0715_03057
ko:K07574	abab:BJAB0715_03059
ko:K01956	abab:BJAB0715_03062
ko:K01955	abab:BJAB0715_03063
ko:K03624	abab:BJAB0715_03064
ko:K01745	abab:BJAB0715_03790
ko:K01712	abab:BJAB0715_03791
ko:K09975	abab:BJAB0715_03792
ko:K05836	abab:BJAB0715_03793
ko:K11734	abab:BJAB0715_03797
ko:K01555	abab:BJAB0715_03798
ko:K00457	abab:BJAB0715_03802
ko:K03453	abab:BJAB0715_03805
ko:K08281	abab:BJAB0715_03806
ko:K01714	abab:BJAB0715_03807
ko:K01923	abab:BJAB0715_03809
ko:K07478	abab:BJAB0715_03812
ko:K09160	abab:BJAB0715_03814
ko:K03575	abab:BJAB0715_03818
ko:K01246	abab:BJAB0715_03821
ko:K12957	abab:BJAB0715_03822
ko:K06222	abab:BJAB0715_03826
ko:K00215	abab:BJAB0715_03829
ko:K03686	abab:BJAB0715_03831
ko:K01595	abab:BJAB0715_03836
ko:K03665	abab:BJAB0715_03344
ko:K02528	abab:BJAB0715_03349
ko:K00097	abab:BJAB0715_03350
ko:K02871	abab:BJAB0715_03351
ko:K02996	abab:BJAB0715_03352
ko:K03599	abab:BJAB0715_03353
ko:K03600	abab:BJAB0715_03354
ko:K15984	abab:BJAB0715_00690
ko:K01070	abab:BJAB0715_00692
ko:K09956	abab:BJAB0715_00693
ko:K01783	abab:BJAB0715_00694
ko:K04043	abab:BJAB0715_00045
ko:K03687	abab:BJAB0715_00046
ko:K03774	abab:BJAB0715_00057
ko:K03101	abab:BJAB0715_00058
ko:K01870	abab:BJAB0715_00059
ko:K11753	abab:BJAB0715_00060
ko:K15554	abab:BJAB0715_00065
ko:K15553	abab:BJAB0715_00067
ko:K15553	abab:BJAB0715_00068
ko:K14682	abab:BJAB0715_00069
ko:K03673	abab:BJAB0715_00075
ko:K00989	abab:BJAB0715_00080
ko:K01114	abab:BJAB0715_00082
ko:K00767	abab:BJAB0715_00084
ko:K03806	abab:BJAB0715_00085
ko:K03980	abab:BJAB0715_00086
ko:K00919	abab:BJAB0715_00823
ko:K02494	abab:BJAB0715_00824
ko:K02492	abab:BJAB0715_00826
ko:K05807	abab:BJAB0715_00828
ko:K06180	abab:BJAB0715_00829
ko:K05810	abab:BJAB0715_00830
ko:K03664	abab:BJAB0715_00832
ko:K00954	abab:BJAB0715_00833
ko:K16135	abab:BJAB0715_00837
ko:K07246	abab:BJAB0715_00838
ko:K01950	abab:BJAB0715_00846
ko:K06911	abab:BJAB0715_00848
ko:K08973	abab:BJAB0715_00849
ko:K02950	abab:BJAB0715_00852
ko:K02992	abab:BJAB0715_00853
ko:K02355	abab:BJAB0715_00854
ko:K02358	abab:BJAB0715_00855
ko:K07044	abab:BJAB0715_00856
ko:K07044	abab:BJAB0715_00857
ko:K03789	abab:BJAB0715_00858
ko:K00684	abab:BJAB0715_00860
ko:K00384	abab:BJAB0715_00861
ko:K03466	abab:BJAB0715_00862
ko:K03608	abab:BJAB0715_00865
ko:K03609	abab:BJAB0715_00866
ko:K03610	abab:BJAB0715_00867
ko:K03656	abab:BJAB0715_00871
ko:K00375	abab:BJAB0715_01639
ko:K07734	abab:BJAB0715_01640
ko:K13929	abab:BJAB0715_01644
ko:K13930	abab:BJAB0715_01645
ko:K13931	abab:BJAB0715_01646
ko:K13932	abab:BJAB0715_01647
ko:K13933	abab:BJAB0715_01648
ko:K13934	abab:BJAB0715_01649
ko:K07223	abab:BJAB0715_00188
ko:K05834	abab:BJAB0715_00189
ko:K09816	abab:BJAB0715_00190
ko:K09817	abab:BJAB0715_00191
ko:K09823	abab:BJAB0715_00192
ko:K02108	abab:BJAB0715_00195
ko:K02110	abab:BJAB0715_00196
ko:K02109	abab:BJAB0715_00197
ko:K02113	abab:BJAB0715_00198
ko:K02111	abab:BJAB0715_00199
ko:K02115	abab:BJAB0715_00200
ko:K02112	abab:BJAB0715_00201
ko:K02114	abab:BJAB0715_00202
ko:K00432	abab:BJAB0715_00205
ko:K07566	abab:BJAB0715_00210
ko:K04096	abab:BJAB0715_00211
ko:K01462	abab:BJAB0715_00213
ko:K01738	abab:BJAB0715_00223
ko:K02346	abab:BJAB0715_00232
ko:K00643	abab:BJAB0715_01015
ko:K01953	abab:BJAB0715_01018
ko:K08369	abab:BJAB0715_01022
ko:K01714	abab:BJAB0715_01023
ko:K03088	abab:BJAB0715_01025
ko:K16087	abab:BJAB0715_01027
ko:K09790	abab:BJAB0715_01032
ko:K03561	abab:BJAB0715_01784
ko:K00912	abab:BJAB0715_01787
ko:K00979	abab:BJAB0715_01788
ko:K02341	abab:BJAB0715_01789
ko:K02676	abab:BJAB0715_01790
ko:K03424	abab:BJAB0715_01791
ko:K02456	abab:BJAB0715_01793
ko:K02458	abab:BJAB0715_01794
ko:K02459	abab:BJAB0715_01795
ko:K02460	abab:BJAB0715_01796
ko:K01737	abab:BJAB0715_01797
ko:K03648	abab:BJAB0715_01798
ko:K00945	abab:BJAB0715_01802
ko:K02945	abab:BJAB0715_01803
ko:K05788	abab:BJAB0715_01804
ko:K01591	abab:BJAB0715_01806
ko:K06916	abab:BJAB0715_01810
ko:K01638	abab:BJAB0715_01811
ko:K03561	abab:BJAB0715_01814
ko:K03832	abab:BJAB0715_01815
ko:K02034	abab:BJAB0715_01821
ko:K02968	abab:BJAB0715_01827
ko:K02553	abab:BJAB0715_01829
ko:K07223	abab:BJAB0715_01831
ko:K03723	abab:BJAB0715_01833
ko:K01779	abab:BJAB0715_02584
ko:K00574	abab:BJAB0715_02590
ko:K00574	abab:BJAB0715_02592
ko:K09701	abab:BJAB0715_02593
ko:K03098	abab:BJAB0715_02596
ko:K07644	abab:BJAB0715_02597
ko:K07127	abab:BJAB0715_02600
ko:K09857	abab:BJAB0715_02601
ko:K06192	abab:BJAB0715_02602
ko:K03808	abab:BJAB0715_02603
ko:K03808	abab:BJAB0715_02604
ko:K03762	abab:BJAB0715_02609
ko:K07347	abab:BJAB0715_02612
ko:K06923	abab:BJAB0715_02620
ko:K03312	abab:BJAB0715_02621
ko:K03821	abab:BJAB0715_02622
ko:K13777	abab:BJAB0715_03356
ko:K13779	abab:BJAB0715_03357
ko:K11731	abab:BJAB0715_03358
ko:K13778	abab:BJAB0715_03359
ko:K13774	abab:BJAB0715_03360
ko:K17103	abab:BJAB0715_03370
ko:K07115	abab:BJAB0715_03371
ko:K07394	abab:BJAB0715_03372
ko:K00024	abab:BJAB0715_03375
ko:K01166	abab:BJAB0715_03376
ko:K08309	abab:BJAB0715_03377
ko:K06168	abab:BJAB0715_03378
ko:K07042	abab:BJAB0715_03380
ko:K03832	abab:BJAB0715_03381
ko:K03816	abab:BJAB0715_03384
ko:K03809	abab:BJAB0715_03385
ko:K07058	abab:BJAB0715_03386
ko:K07078	abab:BJAB0715_03391
ko:K12573	abab:BJAB0715_03395
ko:K07084	abab:BJAB0715_00335
ko:K07275	abab:BJAB0715_00336
ko:K04079	abab:BJAB0715_00338
ko:K07002	abab:BJAB0715_00344
ko:K01825	abab:BJAB0715_00348
ko:K03703	abab:BJAB0715_00351
ko:K00995	abab:BJAB0715_00353
ko:K10778	abab:BJAB0715_00354
ko:K07447	abab:BJAB0715_00360
ko:K07735	abab:BJAB0715_00361
ko:K03631	abab:BJAB0715_00362
ko:K09913	abab:BJAB0715_00364
ko:K03218	abab:BJAB0715_00365
ko:K00859	abab:BJAB0715_00367
ko:K02654	abab:BJAB0715_00368
ko:K02652	abab:BJAB0715_00370
ko:K01803	abab:BJAB0715_00371
ko:K03075	abab:BJAB0715_00372
ko:K09748	abab:BJAB0715_00373
ko:K02600	abab:BJAB0715_00374
ko:K02519	abab:BJAB0715_00375
ko:K02834	abab:BJAB0715_00376
ko:K05564	abab:BJAB0715_00377
ko:K05563	abab:BJAB0715_00378
ko:K05562	abab:BJAB0715_00379
ko:K05561	abab:BJAB0715_00380
ko:K05515	abab:BJAB0715_01134
ko:K10773	abab:BJAB0715_01138
ko:K00262	abab:BJAB0715_01140
ko:K00783	abab:BJAB0715_01143
ko:K01338	abab:BJAB0715_01144
ko:K01118	abab:BJAB0715_01934
ko:K07240	abab:BJAB0715_01935
ko:K03710	abab:BJAB0715_01936
ko:K01744	abab:BJAB0715_01946
ko:K02106	abab:BJAB0715_01952
ko:K01029	abab:BJAB0715_01953
ko:K01028	abab:BJAB0715_01954
ko:K00019	abab:BJAB0715_01959
ko:K01061	abab:BJAB0715_01962
ko:K02019	abab:BJAB0715_01971
ko:K02020	abab:BJAB0715_01972
ko:K02018	abab:BJAB0715_01973
ko:K00216	abab:BJAB0715_01975
ko:K02967	abab:BJAB0715_02728
ko:K01265	abab:BJAB0715_02729
ko:K02575	abab:BJAB0715_02731
ko:K00322	abab:BJAB0715_02735
ko:K03644	abab:BJAB0715_02736
ko:K01251	abab:BJAB0715_02740
ko:K00297	abab:BJAB0715_02741
ko:K09761	abab:BJAB0715_02742
ko:K00029	abab:BJAB0715_02746
ko:K04691	abab:BJAB0715_02748
ko:K04564	abab:BJAB0715_02750
ko:K03179	abab:BJAB0715_02754
ko:K03181	abab:BJAB0715_02755
ko:K01915	abab:BJAB0715_02756
ko:K03305	abab:BJAB0715_02757
ko:K00766	abab:BJAB0715_02763
ko:K01609	abab:BJAB0715_02764
ko:K07402	abab:BJAB0715_02766
ko:K13482	abab:BJAB0715_02767
ko:K13481	abab:BJAB0715_02768
ko:K01495	abab:BJAB0715_02769
ko:K01599	abab:BJAB0715_02774
ko:K08160	abab:BJAB0715_03502
ko:K03923	abab:BJAB0715_03505
ko:K11939	abab:BJAB0715_03510
ko:K11939	abab:BJAB0715_03511
ko:K07090	abab:BJAB0715_03513
ko:K02884	abab:BJAB0715_03517
ko:K00554	abab:BJAB0715_03518
ko:K02860	abab:BJAB0715_03519
ko:K02959	abab:BJAB0715_03520
ko:K02655	abab:BJAB0715_03521
ko:K02655	abab:BJAB0715_03522
ko:K02672	abab:BJAB0715_03525
ko:K02671	abab:BJAB0715_03526
