ko:K03559	cttj:CTRC971_03150
ko:K02405	cttj:CTRC971_00330
ko:K01866	cttj:CTRC971_00335
ko:K03596	cttj:CTRC971_00345
ko:K03301	cttj:CTRC971_00350
ko:K00099	cttj:CTRC971_00385
ko:K03629	cttj:CTRC971_00400
ko:K02338	cttj:CTRC971_00405
ko:K03664	cttj:CTRC971_00410
ko:K03734	cttj:CTRC971_00415
ko:K01491	cttj:CTRC971_00420
ko:K02902	cttj:CTRC971_00455
ko:K00705	cttj:CTRC971_00460
ko:K04058	cttj:CTRC971_00470
ko:K03230	cttj:CTRC971_00475
ko:K03229	cttj:CTRC971_00480
ko:K06942	cttj:CTRC971_00485
ko:K11753	cttj:CTRC971_00490
ko:K02834	cttj:CTRC971_00500
ko:K02519	cttj:CTRC971_00505
ko:K02600	cttj:CTRC971_00510
ko:K02945	cttj:CTRC971_00515
ko:K03431	cttj:CTRC971_04350
ko:K00820	cttj:CTRC971_04355
ko:K03834	cttj:CTRC971_04360
ko:K03834	cttj:CTRC971_04370
ko:K06890	cttj:CTRC971_04375
ko:K03110	cttj:CTRC971_04380
ko:K01903	cttj:CTRC971_04385
ko:K01902	cttj:CTRC971_04390
ko:K09760	cttj:CTRC971_04405
ko:K17103	cttj:CTRC971_04410
ko:K03439	cttj:CTRC971_04425
ko:K00075	cttj:CTRC971_04435
ko:K03625	cttj:CTRC971_04445
ko:K02520	cttj:CTRC971_04450
ko:K02916	cttj:CTRC971_04455
ko:K02887	cttj:CTRC971_04460
ko:K01889	cttj:CTRC971_04465
ko:K11720	cttj:CTRC971_04480
ko:K07091	cttj:CTRC971_04485
ko:K04075	cttj:CTRC971_04490
ko:K03798	cttj:CTRC971_04495
ko:K00962	cttj:CTRC971_04500
ko:K02956	cttj:CTRC971_04505
ko:K01265	cttj:CTRC971_04555
ko:K03321	cttj:CTRC971_04590
ko:K04487	cttj:CTRC971_01325
ko:K07083	cttj:CTRC971_01345
ko:K01962	cttj:CTRC971_01360
ko:K01448	cttj:CTRC971_01375
ko:K01928	cttj:CTRC971_01380
ko:K03587	cttj:CTRC971_01385
ko:K03438	cttj:CTRC971_01395
ko:K02313	cttj:CTRC971_01410
ko:K00347	cttj:CTRC971_01425
ko:K00348	cttj:CTRC971_01430
ko:K00349	cttj:CTRC971_01435
ko:K00350	cttj:CTRC971_01440
ko:K02437	cttj:CTRC971_01445
ko:K03800	cttj:CTRC971_01460
ko:K03696	cttj:CTRC971_01465
ko:K00566	cttj:CTRC971_01470
ko:K01963	cttj:CTRC971_01505
ko:K04564	cttj:CTRC971_01510
ko:K03685	cttj:CTRC971_01525
ko:K04485	cttj:CTRC971_01530
ko:K01749	cttj:CTRC971_01535
ko:K01873	cttj:CTRC971_01545
ko:K07462	cttj:CTRC971_02335
ko:K12257	cttj:CTRC971_02345
ko:K00806	cttj:CTRC971_02355
ko:K00981	cttj:CTRC971_02365
ko:K00945	cttj:CTRC971_02370
ko:K00655	cttj:CTRC971_02375
ko:K01887	cttj:CTRC971_02380
ko:K00790	cttj:CTRC971_02385
ko:K02836	cttj:CTRC971_02405
ko:K00991	cttj:CTRC971_02420
ko:K06173	cttj:CTRC971_02425
ko:K07710	cttj:CTRC971_02445
ko:K07714	cttj:CTRC971_02450
ko:K03584	cttj:CTRC971_02460
ko:K08998	cttj:CTRC971_02485
ko:K01890	cttj:CTRC971_02495
ko:K02034	cttj:CTRC971_02510
ko:K01772	cttj:CTRC971_02560
ko:K01698	cttj:CTRC971_03350
ko:K00346	cttj:CTRC971_03355
ko:K03582	cttj:CTRC971_03380
ko:K03583	cttj:CTRC971_03385
ko:K03168	cttj:CTRC971_03400
ko:K02221	cttj:CTRC971_03410
ko:K03581	cttj:CTRC971_03450
ko:K06861	cttj:CTRC971_03460
ko:K01627	cttj:CTRC971_03470
ko:K06180	cttj:CTRC971_03490
ko:K06960	cttj:CTRC971_03495
ko:K02469	cttj:CTRC971_03500
ko:K02470	cttj:CTRC971_03505
ko:K02492	cttj:CTRC971_03510
ko:K03224	cttj:CTRC971_03545
ko:K02417	cttj:CTRC971_03560
ko:K03219	cttj:CTRC971_03570
ko:K02838	cttj:CTRC971_03585
ko:K09903	cttj:CTRC971_03590
ko:K14234	cttj:CTRC971_t04764
ko:K14225	cttj:CTRC971_t04770
ko:K00384	cttj:CTRC971_00520
ko:K00997	cttj:CTRC971_00525
ko:K00208	cttj:CTRC971_00545
ko:K03575	cttj:CTRC971_00560
ko:K04077	cttj:CTRC971_00575
ko:K04078	cttj:CTRC971_00580
ko:K08602	cttj:CTRC971_00585
ko:K03695	cttj:CTRC971_00595
ko:K01783	cttj:CTRC971_00635
ko:K02356	cttj:CTRC971_00640
ko:K02160	cttj:CTRC971_00645
ko:K01961	cttj:CTRC971_00650
ko:K02871	cttj:CTRC971_00660
ko:K02996	cttj:CTRC971_00665
ko:K02029	cttj:CTRC971_00680
ko:K07058	cttj:CTRC971_00695
ko:K06999	cttj:CTRC971_00715
ko:K07566	cttj:CTRC971_00720
ko:K09125	cttj:CTRC971_00735
ko:K07039	cttj:CTRC971_00740
ko:K01972	cttj:CTRC971_00770
ko:K03527	cttj:CTRC971_04605
ko:K03046	cttj:CTRC971_01605
ko:K03043	cttj:CTRC971_01610
ko:K02935	cttj:CTRC971_01615
ko:K02864	cttj:CTRC971_01620
ko:K02863	cttj:CTRC971_01625
ko:K02867	cttj:CTRC971_01630
ko:K02601	cttj:CTRC971_01635
ko:K03073	cttj:CTRC971_01640
ko:K02358	cttj:CTRC971_01645
ko:K02518	cttj:CTRC971_01650
ko:K01803	cttj:CTRC971_01685
ko:K03601	cttj:CTRC971_01690
ko:K03602	cttj:CTRC971_01695
ko:K01662	cttj:CTRC971_01705
ko:K00873	cttj:CTRC971_01710
ko:K03701	cttj:CTRC971_01715
ko:K02343	cttj:CTRC971_01720
ko:K09747	cttj:CTRC971_01725
ko:K11381	cttj:CTRC971_01755
ko:K03686	cttj:CTRC971_01760
ko:K02970	cttj:CTRC971_01765
ko:K01338	cttj:CTRC971_01775
ko:K03733	cttj:CTRC971_01795
ko:K14228	cttj:CTRC971_t04748
ko:K14228	cttj:CTRC971_t04784
ko:K14232	cttj:CTRC971_t04714
ko:K07099	cttj:CTRC971_02575
ko:K00975	cttj:CTRC971_02580
ko:K03628	cttj:CTRC971_02590
ko:K00859	cttj:CTRC971_02595
ko:K03301	cttj:CTRC971_02610
ko:K00995	cttj:CTRC971_02615
ko:K03495	cttj:CTRC971_02635
ko:K03800	cttj:CTRC971_02640
ko:K00940	cttj:CTRC971_02645
ko:K03550	cttj:CTRC971_02650
ko:K01159	cttj:CTRC971_02655
ko:K00134	cttj:CTRC971_02670
ko:K02879	cttj:CTRC971_02675
ko:K03040	cttj:CTRC971_02680
ko:K02948	cttj:CTRC971_02685
ko:K02357	cttj:CTRC971_03595
ko:K02967	cttj:CTRC971_03600
ko:K03162	cttj:CTRC971_03605
ko:K09013	cttj:CTRC971_03630
ko:K09015	cttj:CTRC971_03635
ko:K11717	cttj:CTRC971_03640
ko:K07220	cttj:CTRC971_03660
ko:K03306	cttj:CTRC971_03665
ko:K00927	cttj:CTRC971_03670
ko:K10773	cttj:CTRC971_03690
ko:K03650	cttj:CTRC971_03695
ko:K01613	cttj:CTRC971_03700
ko:K03070	cttj:CTRC971_03710
ko:K03977	cttj:CTRC971_03720
ko:K03544	cttj:CTRC971_03730
ko:K01358	cttj:CTRC971_03735
ko:K03545	cttj:CTRC971_03740
ko:K03569	cttj:CTRC971_03755
ko:K00057	cttj:CTRC971_03780
ko:K02412	cttj:CTRC971_03795
ko:K02411	cttj:CTRC971_03800
ko:K02409	cttj:CTRC971_03805
ko:K13819	cttj:CTRC971_03815
ko:K04487	cttj:CTRC971_03820
ko:K06178	cttj:CTRC971_03835
ko:K03524	cttj:CTRC971_03845
ko:K14237	cttj:CTRC971_t04730
ko:K14230	cttj:CTRC971_t04726
ko:K02952	cttj:CTRC971_02690
ko:K03076	cttj:CTRC971_02695
ko:K02876	cttj:CTRC971_02700
ko:K02988	cttj:CTRC971_02705
ko:K02881	cttj:CTRC971_02710
ko:K02933	cttj:CTRC971_02715
ko:K02994	cttj:CTRC971_02720
ko:K02931	cttj:CTRC971_02725
ko:K02895	cttj:CTRC971_02730
ko:K02874	cttj:CTRC971_02735
ko:K02961	cttj:CTRC971_02740
ko:K02904	cttj:CTRC971_02745
ko:K02878	cttj:CTRC971_02750
ko:K02982	cttj:CTRC971_02755
ko:K02890	cttj:CTRC971_02760
ko:K02965	cttj:CTRC971_02765
ko:K02886	cttj:CTRC971_02770
ko:K02892	cttj:CTRC971_02775
ko:K02926	cttj:CTRC971_02780
ko:K02906	cttj:CTRC971_02785
ko:K00604	cttj:CTRC971_02795
ko:K00677	cttj:CTRC971_02800
ko:K02372	cttj:CTRC971_02805
ko:K02535	cttj:CTRC971_02810
ko:K01977	cttj:CTRC971_r04790
ko:K01977	cttj:CTRC971_r04792
ko:K07052	cttj:CTRC971_01305
ko:K02342	cttj:CTRC971_01340
ko:K02806	cttj:CTRC971_01490
ko:K02806	cttj:CTRC971_01495
ko:K02124	cttj:CTRC971_01555
ko:K02342	cttj:CTRC971_02825
ko:K07258	cttj:CTRC971_02900
ko:K03227	cttj:CTRC971_02975
ko:K02454	cttj:CTRC971_03015
ko:K01262	cttj:CTRC971_03030
ko:K14225	cttj:CTRC971_t04772
ko:K14219	cttj:CTRC971_t04756
ko:K14231	cttj:CTRC971_t04742
ko:K07315	cttj:CTRC971_03100
ko:K00241	cttj:CTRC971_03125
ko:K00241	cttj:CTRC971_03130
ko:K03386	cttj:CTRC971_03180
ko:K02428	cttj:CTRC971_03200
ko:K00813	cttj:CTRC971_03370
ko:K01934	cttj:CTRC971_03430
ko:K02123	cttj:CTRC971_01560
ko:K02120	cttj:CTRC971_01565
ko:K02118	cttj:CTRC971_01570
ko:K02117	cttj:CTRC971_01575
ko:K02121	cttj:CTRC971_01585
ko:K00616	cttj:CTRC971_01600
ko:K08483	cttj:CTRC971_01730
ko:K11189	cttj:CTRC971_01735
ko:K00784	cttj:CTRC971_01790
ko:K00970	cttj:CTRC971_03725
ko:K01596	cttj:CTRC971_03760
ko:K00972	cttj:CTRC971_03785
ko:K01834	cttj:CTRC971_03825
ko:K03856	cttj:CTRC971_01985
ko:K06910	cttj:CTRC971_03900
ko:K07117	cttj:CTRC971_03905
ko:K02433	cttj:CTRC971_00020
ko:K03471	cttj:CTRC971_00050
ko:K01507	cttj:CTRC971_04095
ko:K01082	cttj:CTRC971_04110
ko:K01909	cttj:CTRC971_04120
ko:K00652	cttj:CTRC971_04125
ko:K01408	cttj:CTRC971_04285
ko:K00970	cttj:CTRC971_02130
ko:K09815	cttj:CTRC971_02155
ko:K01719	cttj:CTRC971_02260
ko:K00380	cttj:CTRC971_02270
ko:K01885	cttj:CTRC971_02325
ko:K07098	cttj:CTRC971_02415
ko:K00567	cttj:CTRC971_02505
ko:K02033	cttj:CTRC971_02515
ko:K02035	cttj:CTRC971_02520
ko:K02030	cttj:CTRC971_02565
ko:K00033	cttj:CTRC971_00340
ko:K11707	cttj:CTRC971_00365
ko:K11710	cttj:CTRC971_00370
ko:K11708	cttj:CTRC971_00375
ko:K11709	cttj:CTRC971_00380
ko:K03177	cttj:CTRC971_00495
ko:K06179	cttj:CTRC971_00555
ko:K00939	cttj:CTRC971_00675
ko:K02028	cttj:CTRC971_00685
ko:K02035	cttj:CTRC971_00730
ko:K06889	cttj:CTRC971_00785
ko:K04763	cttj:CTRC971_04645
ko:K00700	cttj:CTRC971_04655
ko:K02035	cttj:CTRC971_00905
ko:K02049	cttj:CTRC971_00930
ko:K01409	cttj:CTRC971_01015
ko:K15582	cttj:CTRC971_01030
ko:K10823	cttj:CTRC971_01035
ko:K15583	cttj:CTRC971_01040
ko:K06889	cttj:CTRC971_01060
ko:K00059	cttj:CTRC971_01220
ko:K14237	cttj:CTRC971_t04780
ko:K01840	cttj:CTRC971_01515
ko:K06972	cttj:CTRC971_04400
ko:K11645	cttj:CTRC971_01105
ko:K07081	cttj:CTRC971_02225
ko:K08275	cttj:CTRC971_00430
ko:K01921	cttj:CTRC971_04045
ko:K01924	cttj:CTRC971_04045
ko:K01802	cttj:CTRC971_02850
ko:K08719	cttj:CTRC971_03775
ko:K08274	cttj:CTRC971_01960
ko:K01829	cttj:CTRC971_04140
ko:K01829	cttj:CTRC971_04160
ko:K03309	cttj:CTRC971_02085
ko:K07033	cttj:CTRC971_03625
ko:K01214	cttj:CTRC971_00225
ko:K03825	cttj:CTRC971_02400
ko:K03496	cttj:CTRC971_03070
ko:K03497	cttj:CTRC971_03645
ko:K03111	cttj:CTRC971_00235
ko:K02626	cttj:CTRC971_01940
ko:K11991	cttj:CTRC971_04510
ko:K04771	cttj:CTRC971_04395
ko:K19411	cttj:CTRC971_03580
ko:K02031	cttj:CTRC971_03655
ko:K19405	cttj:CTRC971_03575
ko:K07125	cttj:CTRC971_01660
ko:K12132	cttj:CTRC971_01540
ko:K20265	cttj:CTRC971_01110
ko:K20074	cttj:CTRC971_01330
ko:K11749	cttj:CTRC971_00390
ko:K22100	cttj:CTRC971_01680
ko:K22099	cttj:CTRC971_03230
ko:K00526	cttj:CTRC971_04420
ko:K02335	cttj:CTRC971_02600
ko:K02314	cttj:CTRC971_02630
ko:K00287	cttj:CTRC971_03235
ko:K03553	cttj:CTRC971_03440
ko:K02316	cttj:CTRC971_04215
ko:K01520	cttj:CTRC971_01500
ko:K02032	cttj:CTRC971_03650
ko:K00525	cttj:CTRC971_04415
ko:K02050	cttj:CTRC971_04570
ko:K02051	cttj:CTRC971_04570
ko:K01534	cttj:CTRC971_03855
ko:K16239	cttj:CTRC971_00450
