ko:K18929	hez:U064_0478
ko:K01156	hez:U064_0088
ko:K02904	hez:U064_0299
ko:K02961	hez:U064_0300
ko:K02874	hez:U064_0301
ko:K02895	hez:U064_0302
ko:K02931	hez:U064_0303
ko:K02954	hez:U064_0304
ko:K02994	hez:U064_0305
ko:K02933	hez:U064_0306
ko:K02881	hez:U064_0307
ko:K02988	hez:U064_0308
ko:K02876	hez:U064_0309
ko:K03076	hez:U064_0310
ko:K01265	hez:U064_0311
ko:K02518	hez:U064_0312
ko:K02952	hez:U064_0313
ko:K02948	hez:U064_0314
ko:K02986	hez:U064_0315
ko:K03040	hez:U064_0316
ko:K02879	hez:U064_0317
ko:K00949	hez:U064_0318
ko:K03811	hez:U064_0319
ko:K03707	hez:U064_0320
ko:K01657	hez:U064_0325
ko:K01658	hez:U064_0326
ko:K00766	hez:U064_0327
ko:K13498	hez:U064_0328
ko:K01696	hez:U064_0329
ko:K01695	hez:U064_0330
ko:K15778	hez:U064_0332
ko:K00343	hez:U064_0334
ko:K00342	hez:U064_0335
ko:K00341	hez:U064_0336
ko:K00340	hez:U064_0337
ko:K00339	hez:U064_0338
ko:K00338	hez:U064_0339
ko:K00337	hez:U064_0340
ko:K00334	hez:U064_0343
ko:K00333	hez:U064_0344
ko:K00332	hez:U064_0345
ko:K00331	hez:U064_0346
ko:K00330	hez:U064_0347
ko:K12410	hez:U064_0348
ko:K00762	hez:U064_0350
ko:K02838	hez:U064_0351
ko:K13038	hez:U064_1149
ko:K00788	hez:U064_1151
ko:K00941	hez:U064_1152
ko:K00878	hez:U064_1153
ko:K01153	hez:U064_1156
ko:K03427	hez:U064_1159
ko:K09805	hez:U064_1161
ko:K00364	hez:U064_1163
ko:K03271	hez:U064_1164
ko:K03272	hez:U064_1165
ko:K03274	hez:U064_1166
ko:K03273	hez:U064_1167
ko:K09792	hez:U064_1168
ko:K03525	hez:U064_1169
ko:K03624	hez:U064_1173
ko:K00748	hez:U064_1174
ko:K04651	hez:U064_1176
ko:K02390	hez:U064_1177
ko:K01521	hez:U064_1178
ko:K06193	hez:U064_1179
ko:K03781	hez:U064_1182
ko:K02014	hez:U064_1184
ko:K01159	hez:U064_1185
ko:K03781	hez:U064_1192
ko:K06207	hez:U064_1196
ko:K01885	hez:U064_1200
ko:K02017	hez:U064_1201
ko:K03075	hez:U064_0352
ko:K02169	hez:U064_0353
ko:K01867	hez:U064_0354
ko:K13893	hez:U064_0355
ko:K13894	hez:U064_0356
ko:K00014	hez:U064_0358
ko:K12573	hez:U064_0359
ko:K02340	hez:U064_0360
ko:K02990	hez:U064_0361
ko:K02963	hez:U064_0363
ko:K01872	hez:U064_0365
ko:K06287	hez:U064_0366
ko:K01455	hez:U064_0367
ko:K11928	hez:U064_0396
ko:K13821	hez:U064_0397
ko:K03190	hez:U064_0411
ko:K02018	hez:U064_1202
ko:K02020	hez:U064_1203
ko:K03455	hez:U064_1205
ko:K08602	hez:U064_1206
ko:K01153	hez:U064_1212
ko:K01153	hez:U064_1215
ko:K03427	hez:U064_1216
ko:K01154	hez:U064_1217
ko:K00937	hez:U064_1219
ko:K00254	hez:U064_1220
ko:K01714	hez:U064_1222
ko:K00076	hez:U064_1223
ko:K00995	hez:U064_1225
ko:K12506	hez:U064_1228
ko:K05516	hez:U064_1232
ko:K13640	hez:U064_1233
ko:K07478	hez:U064_1234
ko:K03711	hez:U064_1236
ko:K02417	hez:U064_1239
ko:K02416	hez:U064_1240
ko:K02405	hez:U064_1241
ko:K04562	hez:U064_1243
ko:K02404	hez:U064_1244
ko:K00950	hez:U064_1245
ko:K01262	hez:U064_1246
ko:K03786	hez:U064_1247
ko:K02956	hez:U064_1249
ko:K02400	hez:U064_1250
ko:K07098	hez:U064_1253
ko:K01895	hez:U064_1254
ko:K09748	hez:U064_1255
ko:K03189	hez:U064_0412
ko:K03188	hez:U064_0413
ko:K03187	hez:U064_0414
ko:K03191	hez:U064_0415
ko:K01428	hez:U064_0416
ko:K14048	hez:U064_0417
ko:K03101	hez:U064_0419
ko:K03431	hez:U064_0420
ko:K02968	hez:U064_0421
ko:K02835	hez:U064_0422
ko:K03406	hez:U064_0426
ko:K02996	hez:U064_0427
ko:K02871	hez:U064_0428
ko:K00116	hez:U064_0430
ko:K03086	hez:U064_0432
ko:K00645	hez:U064_0434
ko:K01733	hez:U064_0442
ko:K03406	hez:U064_0443
ko:K09765	hez:U064_0444
ko:K03406	hez:U064_0447
ko:K01119	hez:U064_0448
ko:K07173	hez:U064_0449
ko:K01760	hez:U064_0450
ko:K01738	hez:U064_0451
ko:K04043	hez:U064_0453
ko:K03687	hez:U064_0454
ko:K03705	hez:U064_0455
ko:K01628	hez:U064_0456
ko:K02406	hez:U064_0459
ko:K03168	hez:U064_0460
ko:K01868	hez:U064_0465
ko:K02520	hez:U064_0466
ko:K02916	hez:U064_0467
ko:K02834	hez:U064_1256
ko:K02519	hez:U064_1257
ko:K00872	hez:U064_1259
ko:K02535	hez:U064_1261
ko:K03610	hez:U064_1262
ko:K00606	hez:U064_1267
ko:K03551	hez:U064_1268
ko:K03117	hez:U064_1269
ko:K03118	hez:U064_1270
ko:K07568	hez:U064_1271
ko:K03501	hez:U064_1272
ko:K06950	hez:U064_1273
ko:K03413	hez:U064_1277
ko:K02687	hez:U064_1278
ko:K03798	hez:U064_1279
ko:K17103	hez:U064_1281
ko:K17686	hez:U064_1282
ko:K07241	hez:U064_1286
ko:K11085	hez:U064_1291
ko:K00609	hez:U064_1293
ko:K06442	hez:U064_1295
ko:K11753	hez:U064_1296
ko:K00615	hez:U064_1297
ko:K03466	hez:U064_1299
ko:K02392	hez:U064_1301
ko:K03596	hez:U064_1304
ko:K01662	hez:U064_1305
ko:K02411	hez:U064_1306
ko:K02410	hez:U064_1307
ko:K02409	hez:U064_1308
ko:K01937	hez:U064_1310
ko:K02887	hez:U064_0468
ko:K01752	hez:U064_0472
ko:K03837	hez:U064_0473
ko:K01626	hez:U064_0474
ko:K03564	hez:U064_0476
ko:K00782	hez:U064_0477
ko:K03303	hez:U064_0480
ko:K03303	hez:U064_0481
ko:K03575	hez:U064_0482
ko:K09477	hez:U064_0483
ko:K00404	hez:U064_0484
ko:K00405	hez:U064_0485
ko:K00407	hez:U064_0486
ko:K00406	hez:U064_0487
ko:K01689	hez:U064_0494
ko:K00891	hez:U064_0497
ko:K03279	hez:U064_0499
ko:K07126	hez:U064_0500
ko:K01698	hez:U064_0503
ko:K02484	hez:U064_0504
ko:K08303	hez:U064_0508
ko:K02836	hez:U064_0510
ko:K03750	hez:U064_0511
ko:K02421	hez:U064_0512
ko:K01624	hez:U064_0515
ko:K02356	hez:U064_0516
ko:K15898	hez:U064_0521
ko:K02003	hez:U064_0522
ko:K03820	hez:U064_0523
ko:K03558	hez:U064_0524
ko:K04567	hez:U064_0525
ko:K00600	hez:U064_0526
ko:K07462	hez:U064_1311
ko:K06180	hez:U064_1312
ko:K03168	hez:U064_1335
ko:K01585	hez:U064_1349
ko:K15257	hez:U064_1352
ko:K01772	hez:U064_1353
ko:K01874	hez:U064_1354
ko:K00574	hez:U064_1355
ko:K16052	hez:U064_1356
ko:K15846	hez:U064_1361
ko:K01951	hez:U064_1362
ko:K02503	hez:U064_1367
ko:K00245	hez:U064_0532
ko:K00244	hez:U064_0533
ko:K00246	hez:U064_0534
ko:K01803	hez:U064_0535
ko:K00208	hez:U064_0536
ko:K02536	hez:U064_0537
ko:K00789	hez:U064_0538
ko:K00940	hez:U064_0539
ko:K02911	hez:U064_0541
ko:K03621	hez:U064_0542
ko:K00648	hez:U064_0543
ko:K03593	hez:U064_0548
ko:K04079	hez:U064_0552
ko:K07126	hez:U064_0553
ko:K01439	hez:U064_0554
ko:K03495	hez:U064_0555
ko:K14445	hez:U064_0556
ko:K00981	hez:U064_0557
ko:K00099	hez:U064_0558
ko:K06910	hez:U064_0561
ko:K04487	hez:U064_0563
ko:K13819	hez:U064_0564
ko:K04485	hez:U064_0566
ko:K12267	hez:U064_0567
ko:K07090	hez:U064_0568
ko:K03321	hez:U064_0570
ko:K00979	hez:U064_0573
ko:K03981	hez:U064_0574
ko:K07126	hez:U064_0578
ko:K01749	hez:U064_0580
ko:K01881	hez:U064_0581
ko:K01889	hez:U064_1368
ko:K01890	hez:U064_1369
ko:K00800	hez:U064_1370
ko:K03527	hez:U064_1371
ko:K02945	hez:U064_1372
ko:K00058	hez:U064_1374
ko:K03182	hez:U064_1375
ko:K06997	hez:U064_1376
ko:K03269	hez:U064_1377
ko:K03415	hez:U064_1378
ko:K03407	hez:U064_1379
ko:K03408	hez:U064_1380
ko:K11065	hez:U064_1381
ko:K04564	hez:U064_1382
ko:K15256	hez:U064_1383
ko:K04066	hez:U064_1384
ko:K06013	hez:U064_1389
ko:K02493	hez:U064_1390
ko:K00262	hez:U064_1391
ko:K01772	hez:U064_1395
ko:K09761	hez:U064_1397
ko:K01494	hez:U064_1399
ko:K02160	hez:U064_1400
ko:K01961	hez:U064_1401
ko:K15895	hez:U064_1408
ko:K00573	hez:U064_1411
ko:K07091	hez:U064_1412
ko:K06173	hez:U064_1413
ko:K01784	hez:U064_1414
ko:K07126	hez:U064_1419
ko:K01625	hez:U064_1420
ko:K01690	hez:U064_1421
ko:K00036	hez:U064_1422
ko:K01057	hez:U064_1423
ko:K02492	hez:U064_0582
ko:K02523	hez:U064_0583
ko:K04047	hez:U064_0586
ko:K07710	hez:U064_0587
ko:K02394	hez:U064_0589
ko:K05592	hez:U064_0590
ko:K13896	hez:U064_0593
ko:K13895	hez:U064_0594
ko:K01939	hez:U064_0598
ko:K11749	hez:U064_0601
ko:K03601	hez:U064_0602
ko:K03695	hez:U064_0605
ko:K06196	hez:U064_0606
ko:K01465	hez:U064_0607
ko:K06168	hez:U064_0610
ko:K09778	hez:U064_0611
ko:K06940	hez:U064_0615
ko:K01609	hez:U064_0617
ko:K01524	hez:U064_0619
ko:K02841	hez:U064_0620
ko:K02517	hez:U064_0621
ko:K00773	hez:U064_0622
ko:K09944	hez:U064_0623
ko:K01735	hez:U064_0624
ko:K01586	hez:U064_0631
ko:K04093	hez:U064_0632
ko:K01163	hez:U064_0633
ko:K03342	hez:U064_0634
ko:K01426	hez:U064_0635
ko:K02397	hez:U064_0636
ko:K02888	hez:U064_0637
ko:K02899	hez:U064_0638
ko:K12368	hez:U064_0639
ko:K12369	hez:U064_0640
ko:K00845	hez:U064_1424
ko:K13979	hez:U064_1425
ko:K00172	hez:U064_1429
ko:K00171	hez:U064_1430
ko:K00169	hez:U064_1431
ko:K00170	hez:U064_1432
ko:K01756	hez:U064_1433
ko:K03702	hez:U064_1435
ko:K07126	hez:U064_1438
ko:K02396	hez:U064_1440
ko:K03775	hez:U064_1445
ko:K03640	hez:U064_1447
ko:K03641	hez:U064_1448
ko:K03559	hez:U064_1450
ko:K02114	hez:U064_1452
ko:K02112	hez:U064_1453
ko:K02115	hez:U064_1454
ko:K02111	hez:U064_1455
ko:K02113	hez:U064_1456
ko:K02109	hez:U064_1457
ko:K02109	hez:U064_1458
ko:K03524	hez:U064_1461
ko:K00604	hez:U064_1462
ko:K03768	hez:U064_1467
ko:K03563	hez:U064_1468
ko:K00919	hez:U064_1469
ko:K03664	hez:U064_1470
ko:K03561	hez:U064_1471
ko:K03559	hez:U064_1472
ko:K02914	hez:U064_1473
ko:K03536	hez:U064_1474
ko:K03217	hez:U064_1476
ko:K06346	hez:U064_1477
ko:K12370	hez:U064_0641
ko:K12371	hez:U064_0642
ko:K12372	hez:U064_0643
ko:K03979	hez:U064_0644
ko:K01845	hez:U064_0647
ko:K07226	hez:U064_0661
ko:K01887	hez:U064_0662
ko:K03116	hez:U064_0663
ko:K00942	hez:U064_0664
ko:K02393	hez:U064_0668
ko:K15896	hez:U064_0671
ko:K00912	hez:U064_0672
ko:K01916	hez:U064_0673
ko:K00053	hez:U064_0675
ko:K03609	hez:U064_0676
ko:K03608	hez:U064_0677
ko:K04096	hez:U064_0678
ko:K07447	hez:U064_0679
ko:K03442	hez:U064_0688
ko:K03531	hez:U064_0696
ko:K03590	hez:U064_0697
ko:K03770	hez:U064_0698
ko:K00833	hez:U064_0699
ko:K03650	hez:U064_1478
ko:K07337	hez:U064_1483
ko:K06178	hez:U064_1485
ko:K02337	hez:U064_1486
ko:K00428	hez:U064_1487
ko:K02067	hez:U064_1490
ko:K02065	hez:U064_1491
ko:K02066	hez:U064_1492
ko:K00826	hez:U064_1494
ko:K02242	hez:U064_1499
ko:K00943	hez:U064_1500
ko:K00954	hez:U064_1501
ko:K03186	hez:U064_1502
ko:K02386	hez:U064_1503
ko:K03657	hez:U064_1504
ko:K01875	hez:U064_1506
ko:K03602	hez:U064_1508
ko:K03183	hez:U064_1509
ko:K08973	hez:U064_1510
ko:K01992	hez:U064_1513
ko:K01993	hez:U064_1514
ko:K03306	hez:U064_1517
ko:K01928	hez:U064_1520
ko:K00616	hez:U064_1521
ko:K02897	hez:U064_1522
ko:K01056	hez:U064_1523
ko:K11720	hez:U064_1524
ko:K09943	hez:U064_1527
ko:K17686	hez:U064_1528
ko:K02435	hez:U064_0700
ko:K15633	hez:U064_0701
ko:K01879	hez:U064_0703
ko:K15726	hez:U064_0706
ko:K00057	hez:U064_0713
ko:K01878	hez:U064_0714
ko:K07164	hez:U064_0716
ko:K02527	hez:U064_0717
ko:K06179	hez:U064_0718
ko:K13292	hez:U064_0719
ko:K03743	hez:U064_0722
ko:K01963	hez:U064_0724
ko:K00783	hez:U064_0725
ko:K00285	hez:U064_0735
ko:K03310	hez:U064_0736
ko:K01775	hez:U064_0737
ko:K02424	hez:U064_0738
ko:K10009	hez:U064_0739
ko:K01737	hez:U064_0746
ko:K03787	hez:U064_0748
ko:K00795	hez:U064_0749
ko:K01495	hez:U064_0750
ko:K03799	hez:U064_0751
ko:K06176	hez:U064_0752
ko:K06187	hez:U064_0753
ko:K01821	hez:U064_0754
ko:K11752	hez:U064_1530
ko:K03312	hez:U064_1531
ko:K00290	hez:U064_1532
ko:K08591	hez:U064_1534
ko:K01633	hez:U064_1535
ko:K02014	hez:U064_1537
ko:K01042	hez:U064_1538
ko:K02600	hez:U064_1539
ko:K01156	hez:U064_1541
ko:K07316	hez:U064_1543
ko:K03655	hez:U064_1544
ko:K01142	hez:U064_1547
ko:K02313	hez:U064_1550
ko:K00820	hez:U064_1553
ko:K01154	hez:U064_1556
ko:K03427	hez:U064_1558
ko:K07043	hez:U064_1559
ko:K16091	hez:U064_1560
ko:K01476	hez:U064_1561
ko:K00259	hez:U064_1562
ko:K00858	hez:U064_1566
ko:K03631	hez:U064_1567
ko:K02342	hez:U064_1573
ko:K01783	hez:U064_1574
ko:K03841	hez:U064_1575
ko:K02357	hez:U064_1579
ko:K02967	hez:U064_1580
ko:K03313	hez:U064_1582
ko:K03210	hez:U064_1583
ko:K00134	hez:U064_0757
ko:K01955	hez:U064_0759
ko:K02014	hez:U064_0761
ko:K15844	hez:U064_0763
ko:K15843	hez:U064_0764
ko:K03657	hez:U064_0765
ko:K02390	hez:U064_0769
ko:K02389	hez:U064_0770
ko:K13788	hez:U064_0772
ko:K00625	hez:U064_0773
ko:K00925	hez:U064_0774
ko:K00925	hez:U064_0775
ko:K00925	hez:U064_0776
ko:K04652	hez:U064_0779
ko:K04653	hez:U064_0780
ko:K04654	hez:U064_0781
ko:K15847	hez:U064_0786
ko:K02015	hez:U064_0791
ko:K02013	hez:U064_0792
ko:K01883	hez:U064_0795
ko:K03980	hez:U064_0796
ko:K03550	hez:U064_0798
ko:K10716	hez:U064_0801
ko:K02902	hez:U064_0802
ko:K15846	hez:U064_0803
ko:K01000	hez:U064_0804
ko:K01925	hez:U064_0805
ko:K07107	hez:U064_0807
ko:K03308	hez:U064_0808
ko:K03308	hez:U064_0809
ko:K01058	hez:U064_0810
ko:K02338	hez:U064_0811
ko:K02470	hez:U064_0812
ko:K03072	hez:U064_1584
ko:K03074	hez:U064_1585
ko:K01869	hez:U064_1587
ko:K11754	hez:U064_1589
ko:K03723	hez:U064_1593
ko:K00411	hez:U064_1594
ko:K00412	hez:U064_1595
ko:K00413	hez:U064_1596
ko:K03587	hez:U064_1599
ko:K02408	hez:U064_1600
ko:K02388	hez:U064_1601
ko:K02387	hez:U064_1602
ko:K03588	hez:U064_1603
ko:K02016	hez:U064_1604
ko:K02016	hez:U064_1605
ko:K03386	hez:U064_1606
ko:K02073	hez:U064_1607
ko:K05515	hez:U064_1608
ko:K03978	hez:U064_1610
ko:K09774	hez:U064_1611
ko:K03270	hez:U064_1613
ko:K03642	hez:U064_1614
ko:K08307	hez:U064_1615
ko:K03424	hez:U064_1616
ko:K00793	hez:U064_1617
ko:K04061	hez:U064_1618
ko:K02071	hez:U064_1619
ko:K02072	hez:U064_1620
ko:K03474	hez:U064_1625
ko:K00097	hez:U064_1626
ko:K01409	hez:U064_1627
ko:K02392	hez:U064_1628
ko:K03625	hez:U064_0001
ko:K00794	hez:U064_0002
ko:K01627	hez:U064_0003
ko:K01673	hez:U064_0004
ko:K01591	hez:U064_0005
ko:K01918	hez:U064_0006
ko:K08077	hez:U064_0817
ko:K00215	hez:U064_0820
ko:K01915	hez:U064_0823
ko:K02939	hez:U064_0825
ko:K01419	hez:U064_0826
ko:K03667	hez:U064_0827
ko:K07126	hez:U064_0830
ko:K12086	hez:U064_0831
ko:K12088	hez:U064_0833
ko:K12090	hez:U064_0835
ko:K12091	hez:U064_0837
ko:K12092	hez:U064_0838
ko:K12093	hez:U064_0839
ko:K12094	hez:U064_0840
ko:K12095	hez:U064_0841
ko:K12096	hez:U064_0842
ko:K12097	hez:U064_0843
ko:K12098	hez:U064_0844
ko:K12101	hez:U064_0847
ko:K12102	hez:U064_0848
ko:K12103	hez:U064_0849
ko:K12104	hez:U064_0850
ko:K12105	hez:U064_0851
ko:K12107	hez:U064_0853
ko:K12108	hez:U064_0854
ko:K12109	hez:U064_0855
ko:K12110	hez:U064_0857
ko:K15842	hez:U064_0859
ko:K01776	hez:U064_0860
ko:K03628	hez:U064_0861
ko:K02909	hez:U064_0862
ko:K07056	hez:U064_0863
ko:K03218	hez:U064_0864
ko:K01962	hez:U064_0868
ko:K09458	hez:U064_0869
ko:K02078	hez:U064_0870
ko:K00059	hez:U064_0871
ko:K15845	hez:U064_0012
ko:K04077	hez:U064_0013
ko:K04078	hez:U064_0014
ko:K00566	hez:U064_0016
ko:K09859	hez:U064_0021
ko:K03415	hez:U064_0022
ko:K13747	hez:U064_0023
ko:K12977	hez:U064_0024
ko:K03760	hez:U064_0025
ko:K01647	hez:U064_0027
ko:K00031	hez:U064_0028
ko:K01935	hez:U064_0030
ko:K06891	hez:U064_0033
ko:K03694	hez:U064_0034
ko:K01579	hez:U064_0035
ko:K09747	hez:U064_0036
ko:K12050	hez:U064_0040
ko:K12049	hez:U064_0041
ko:K12048	hez:U064_0042
ko:K01711	hez:U064_0044
ko:K02377	hez:U064_0045
ko:K04655	hez:U064_0047
ko:K04656	hez:U064_0048
ko:K00767	hez:U064_0063
ko:K03517	hez:U064_0064
ko:K01613	hez:U064_0065
ko:K02970	hez:U064_0872
ko:K01778	hez:U064_0875
ko:K06942	hez:U064_0878
ko:K01255	hez:U064_0879
ko:K00759	hez:U064_0881
ko:K01808	hez:U064_0883
ko:K03100	hez:U064_0885
ko:K01491	hez:U064_0886
ko:K01465	hez:U064_0890
ko:K02417	hez:U064_0893
ko:K10773	hez:U064_0894
ko:K07082	hez:U064_0897
ko:K00176	hez:U064_0898
ko:K00174	hez:U064_0899
ko:K00175	hez:U064_0900
ko:K00177	hez:U064_0901
ko:K01156	hez:U064_0902
ko:K07316	hez:U064_0903
ko:K03611	hez:U064_0905
ko:K00652	hez:U064_0908
ko:K02406	hez:U064_0911
ko:K07457	hez:U064_0912
ko:K01599	hez:U064_0914
ko:K01992	hez:U064_0920
ko:K01972	hez:U064_0923
ko:K03415	hez:U064_0924
ko:K01876	hez:U064_0925
ko:K00939	hez:U064_0926
ko:K03179	hez:U064_0068
ko:K02238	hez:U064_0069
ko:K02484	hez:U064_0072
ko:K03570	hez:U064_0077
ko:K03569	hez:U064_0078
ko:K03544	hez:U064_0079
ko:K00677	hez:U064_0080
ko:K02372	hez:U064_0081
ko:K13626	hez:U064_0082
ko:K05807	hez:U064_0083
ko:K01338	hez:U064_0084
ko:K04517	hez:U064_0085
ko:K01173	hez:U064_0086
ko:K01012	hez:U064_0089
ko:K07058	hez:U064_0090
ko:K09457	hez:U064_0100
ko:K09710	hez:U064_0101
ko:K00791	hez:U064_0102
ko:K03279	hez:U064_0103
ko:K01956	hez:U064_0110
ko:K09804	hez:U064_0111
ko:K00796	hez:U064_0115
ko:K02341	hez:U064_0116
ko:K00928	hez:U064_0118
ko:K08311	hez:U064_0119
ko:K06199	hez:U064_0122
ko:K01719	hez:U064_0123
ko:K07270	hez:U064_0927
ko:K01507	hez:U064_0928
ko:K07456	hez:U064_0929
ko:K01924	hez:U064_0931
ko:K00674	hez:U064_0934
ko:K07126	hez:U064_0935
ko:K03923	hez:U064_0937
ko:K03620	hez:U064_0940
ko:K06920	hez:U064_0946
ko:K00970	hez:U064_0947
ko:K01885	hez:U064_0951
ko:K02221	hez:U064_0952
ko:K08309	hez:U064_0953
ko:K00963	hez:U064_0954
ko:K00790	hez:U064_0956
ko:K01744	hez:U064_0957
ko:K01079	hez:U064_0960
ko:K02217	hez:U064_0961
ko:K07277	hez:U064_0963
ko:K02434	hez:U064_0966
ko:K03469	hez:U064_0969
ko:K03685	hez:U064_0970
ko:K01736	hez:U064_0971
ko:K11473	hez:U064_0974
ko:K00812	hez:U064_0981
ko:K00806	hez:U064_0126
ko:K01990	hez:U064_0127
ko:K01945	hez:U064_0128
ko:K04744	hez:U064_0130
ko:K00962	hez:U064_0132
ko:K02110	hez:U064_0133
ko:K00640	hez:U064_0136
ko:K02358	hez:U064_0146
ko:K02913	hez:U064_0147
ko:K03073	hez:U064_0149
ko:K02601	hez:U064_0150
ko:K02867	hez:U064_0151
ko:K02863	hez:U064_0152
ko:K02864	hez:U064_0153
ko:K02935	hez:U064_0154
ko:K13797	hez:U064_0155
ko:K02950	hez:U064_0156
ko:K02992	hez:U064_0157
ko:K02355	hez:U064_0158
ko:K02843	hez:U064_0160
ko:K01892	hez:U064_0161
ko:K00133	hez:U064_0162
ko:K01674	hez:U064_0165
ko:K08159	hez:U064_0166
ko:K03317	hez:U064_0172
ko:K01839	hez:U064_0173
ko:K03784	hez:U064_0174
ko:K06901	hez:U064_0176
ko:K02429	hez:U064_0177
ko:K02030	hez:U064_0179
ko:K02028	hez:U064_0180
ko:K02029	hez:U064_0181
ko:K02029	hez:U064_0182
ko:K04763	hez:U064_0984
ko:K00567	hez:U064_0985
ko:K07090	hez:U064_0986
ko:K13016	hez:U064_0987
ko:K04042	hez:U064_0993
ko:K02419	hez:U064_0994
ko:K16091	hez:U064_0995
ko:K04759	hez:U064_0996
ko:K07501	hez:U064_0997
ko:K00626	hez:U064_0998
ko:K01028	hez:U064_0999
ko:K01029	hez:U064_1000
ko:K02106	hez:U064_1001
ko:K10856	hez:U064_1005
ko:K00901	hez:U064_1008
ko:K02469	hez:U064_1009
ko:K03701	hez:U064_1015
ko:K03438	hez:U064_1017
ko:K07023	hez:U064_1021
ko:K03092	hez:U064_1022
ko:K06861	hez:U064_1023
ko:K06925	hez:U064_1024
ko:K02343	hez:U064_1025
ko:K06895	hez:U064_1026
ko:K07791	hez:U064_1030
ko:K01424	hez:U064_1031
ko:K15848	hez:U064_1032
