ko:K01212	bamn:BASU_3671
ko:K07030	bamn:BASU_1523
ko:K00059	bamn:BASU_1530
ko:K09787	bamn:BASU_1536
ko:K01489	bamn:BASU_2283
ko:K02238	bamn:BASU_2310
ko:K06948	bamn:BASU_2320
ko:K01784	bamn:BASU_3038
ko:K00851	bamn:BASU_3057
ko:K03299	bamn:BASU_3058
ko:K01664	bamn:BASU_0079
ko:K02619	bamn:BASU_0080
ko:K03708	bamn:BASU_0089
ko:K07067	bamn:BASU_0094
ko:K09698	bamn:BASU_0098
ko:K04091	bamn:BASU_0852
ko:K01990	bamn:BASU_0873
ko:K01081	bamn:BASU_0884
ko:K02443	bamn:BASU_0892
ko:K01835	bamn:BASU_0896
ko:K15329	bamn:BASU_1653
ko:K15312	bamn:BASU_1656
ko:K03647	bamn:BASU_1680
ko:K03713	bamn:BASU_1688
ko:K00854	bamn:BASU_1695
ko:K07105	bamn:BASU_2438
ko:K04518	bamn:BASU_2439
ko:K07584	bamn:BASU_2444
ko:K06402	bamn:BASU_2446
ko:K02236	bamn:BASU_2456
ko:K01719	bamn:BASU_2464
ko:K04076	bamn:BASU_2471
ko:K02851	bamn:BASU_3185
ko:K09693	bamn:BASU_3200
ko:K00852	bamn:BASU_3228
ko:K07114	bamn:BASU_0069
ko:K14237	bamn:BASU_tRNA24
ko:K14237	bamn:BASU_tRNA4
ko:K14237	bamn:BASU_tRNA66
ko:K14237	bamn:BASU_tRNA42
ko:K14236	bamn:BASU_tRNA26
ko:K14236	bamn:BASU_tRNA47
ko:K14223	bamn:BASU_tRNA27
ko:K14223	bamn:BASU_tRNA50
ko:K14223	bamn:BASU_tRNA31
ko:K14229	bamn:BASU_tRNA32
ko:K14229	bamn:BASU_tRNA6
ko:K14229	bamn:BASU_tRNA58
ko:K14229	bamn:BASU_tRNA68
ko:K01113	bamn:BASU_0250
ko:K01424	bamn:BASU_0257
ko:K00034	bamn:BASU_0266
ko:K01182	bamn:BASU_0267
ko:K09815	bamn:BASU_0268
ko:K01176	bamn:BASU_0285
ko:K00016	bamn:BASU_0286
ko:K01916	bamn:BASU_0293
ko:K06889	bamn:BASU_1053
ko:K02035	bamn:BASU_1077
ko:K02033	bamn:BASU_1078
ko:K15582	bamn:BASU_1084
ko:K15583	bamn:BASU_1085
ko:K10823	bamn:BASU_1086
ko:K16509	bamn:BASU_1089
ko:K14228	bamn:BASU_tRNA33
ko:K14228	bamn:BASU_tRNA7
ko:K14228	bamn:BASU_tRNA34
ko:K14232	bamn:BASU_tRNA11
ko:K14232	bamn:BASU_tRNA73
ko:K14232	bamn:BASU_tRNA17
ko:K14230	bamn:BASU_tRNA76
ko:K14221	bamn:BASU_tRNA38
ko:K14221	bamn:BASU_tRNA79
ko:K14221	bamn:BASU_tRNA44
ko:K14221	bamn:BASU_tRNA60
ko:K14235	bamn:BASU_tRNA48
ko:K14226	bamn:BASU_tRNA81
ko:K14226	bamn:BASU_tRNA49
ko:K14225	bamn:BASU_tRNA8
ko:K14225	bamn:BASU_tRNA15
ko:K14225	bamn:BASU_tRNA70
ko:K14225	bamn:BASU_tRNA51
ko:K14222	bamn:BASU_tRNA52
ko:K14219	bamn:BASU_tRNA87
ko:K14219	bamn:BASU_tRNA88
ko:K14219	bamn:BASU_tRNA62
ko:K14223	bamn:BASU_tRNA57
ko:K14228	bamn:BASU_tRNA53
ko:K14228	bamn:BASU_tRNA9
ko:K14228	bamn:BASU_tRNA71
ko:K14225	bamn:BASU_tRNA36
ko:K14225	bamn:BASU_tRNA55
ko:K14225	bamn:BASU_tRNA82
ko:K14230	bamn:BASU_tRNA37
ko:K14230	bamn:BASU_tRNA78
ko:K14230	bamn:BASU_tRNA43
ko:K00564	bamn:BASU_0111
ko:K01560	bamn:BASU_0202
ko:K01992	bamn:BASU_0206
ko:K01992	bamn:BASU_0207
ko:K00547	bamn:BASU_0237
ko:K11626	bamn:BASU_0238
ko:K15976	bamn:BASU_0244
ko:K05937	bamn:BASU_1001
ko:K03307	bamn:BASU_1006
ko:K07120	bamn:BASU_1013
ko:K16899	bamn:BASU_1018
ko:K15629	bamn:BASU_1046
ko:K00059	bamn:BASU_1820
ko:K00058	bamn:BASU_1825
ko:K00027	bamn:BASU_2574
ko:K00059	bamn:BASU_2583
ko:K06286	bamn:BASU_2601
ko:K00027	bamn:BASU_3333
ko:K02446	bamn:BASU_3337
ko:K00616	bamn:BASU_3339
ko:K03048	bamn:BASU_3344
ko:K00088	bamn:BASU_0011
ko:K07258	bamn:BASU_0012
ko:K01104	bamn:BASU_0762
ko:K07104	bamn:BASU_0793
ko:K02414	bamn:BASU_1566
ko:K03976	bamn:BASU_2366
ko:K14338	bamn:BASU_2369
ko:K17216	bamn:BASU_2379
ko:K03929	bamn:BASU_3083
ko:K00090	bamn:BASU_3107
ko:K09762	bamn:BASU_3111
ko:K03574	bamn:BASU_3114
ko:K00939	bamn:BASU_0142
ko:K16786	bamn:BASU_0150
ko:K16787	bamn:BASU_0151
ko:K03593	bamn:BASU_0160
ko:K02480	bamn:BASU_0897
ko:K01077	bamn:BASU_0906
ko:K03294	bamn:BASU_0911
ko:K13953	bamn:BASU_1698
ko:K09976	bamn:BASU_1727
ko:K06196	bamn:BASU_1729
ko:K02428	bamn:BASU_2486
ko:K00241	bamn:BASU_2495
ko:K01209	bamn:BASU_2500
ko:K03471	bamn:BASU_2512
ko:K10440	bamn:BASU_3231
ko:K10439	bamn:BASU_3232
ko:K06325	bamn:BASU_3240
ko:K01104	bamn:BASU_3255
ko:K06147	bamn:BASU_3349
ko:K00374	bamn:BASU_3352
ko:K07729	bamn:BASU_3366
ko:K01480	bamn:BASU_3373
ko:K01980	bamn:BASU_23s_rRNA_3
ko:K17686	bamn:BASU_2986
ko:K06324	bamn:BASU_0618
ko:K07094	bamn:BASU_0651
ko:K15329	bamn:BASU_1395
ko:K01092	bamn:BASU_1414
ko:K01958	bamn:BASU_1428
ko:K02274	bamn:BASU_1433
ko:K02862	bamn:BASU_1436
ko:K07177	bamn:BASU_1448
ko:K01262	bamn:BASU_2204
ko:K13280	bamn:BASU_2220
ko:K02249	bamn:BASU_2225
ko:K02248	bamn:BASU_2226
ko:K02246	bamn:BASU_2228
ko:K02245	bamn:BASU_2229
ko:K02244	bamn:BASU_2230
ko:K02243	bamn:BASU_2231
ko:K11617	bamn:BASU_2940
ko:K01569	bamn:BASU_2957
ko:K01992	bamn:BASU_2973
ko:K03316	bamn:BASU_2977
ko:K00380	bamn:BASU_2979
ko:K07213	bamn:BASU_2987
ko:K11754	bamn:BASU_2457
ko:K01873	bamn:BASU_2458
ko:K06417	bamn:BASU_2461
ko:K01845	bamn:BASU_2462
ko:K01698	bamn:BASU_2463
ko:K01749	bamn:BASU_2465
ko:K02497	bamn:BASU_2466
ko:K02492	bamn:BASU_2467
ko:K03978	bamn:BASU_2469
ko:K01338	bamn:BASU_2470
ko:K07777	bamn:BASU_3182
ko:K16698	bamn:BASU_3187
ko:K16705	bamn:BASU_3189
ko:K00012	bamn:BASU_3190
ko:K01448	bamn:BASU_3194
ko:K00963	bamn:BASU_3199
ko:K05946	bamn:BASU_3206
ko:K01809	bamn:BASU_3209
ko:K07282	bamn:BASU_3220
ko:K06295	bamn:BASU_3224
ko:K02529	bamn:BASU_3227
ko:K06726	bamn:BASU_3229
ko:K00847	bamn:BASU_0604
ko:K03969	bamn:BASU_0606
ko:K06872	bamn:BASU_0608
ko:K03088	bamn:BASU_0612
ko:K11735	bamn:BASU_0619
ko:K03924	bamn:BASU_0621
ko:K01951	bamn:BASU_0624
ko:K03088	bamn:BASU_0627
ko:K06901	bamn:BASU_0629
ko:K01588	bamn:BASU_0634
ko:K01589	bamn:BASU_0635
ko:K01756	bamn:BASU_0636
ko:K01923	bamn:BASU_0637
ko:K01952	bamn:BASU_0638
ko:K01952	bamn:BASU_0639
ko:K01952	bamn:BASU_0640
ko:K00764	bamn:BASU_0641
ko:K01933	bamn:BASU_0642
ko:K11175	bamn:BASU_0643
ko:K00602	bamn:BASU_0644
ko:K01945	bamn:BASU_0645
ko:K01486	bamn:BASU_0647
ko:K03657	bamn:BASU_0652
ko:K01972	bamn:BASU_0653
ko:K00161	bamn:BASU_1404
ko:K08223	bamn:BASU_0706
ko:K15738	bamn:BASU_0712
ko:K01728	bamn:BASU_0721
ko:K03319	bamn:BASU_0722
ko:K00491	bamn:BASU_0734
ko:K01512	bamn:BASU_0735
ko:K01265	bamn:BASU_0740
ko:K02803	bamn:BASU_0741
ko:K02804	bamn:BASU_0741
ko:K13993	bamn:BASU_0745
ko:K02818	bamn:BASU_0748
ko:K02819	bamn:BASU_0748
ko:K05520	bamn:BASU_0756
ko:K01591	bamn:BASU_1494
ko:K00762	bamn:BASU_1495
ko:K00390	bamn:BASU_1496
ko:K16331	bamn:BASU_1497
ko:K00958	bamn:BASU_1498
ko:K00860	bamn:BASU_1499
ko:K03794	bamn:BASU_1501
ko:K02304	bamn:BASU_1502
ko:K09777	bamn:BASU_1506
ko:K00942	bamn:BASU_1507
ko:K03060	bamn:BASU_1508
ko:K13038	bamn:BASU_1509
ko:K04066	bamn:BASU_1510
ko:K01462	bamn:BASU_1511
ko:K00604	bamn:BASU_1512
ko:K03500	bamn:BASU_1513
ko:K06941	bamn:BASU_1514
ko:K06949	bamn:BASU_1517
ko:K01783	bamn:BASU_1518
ko:K02902	bamn:BASU_1521
ko:K01752	bamn:BASU_1524
ko:K01752	bamn:BASU_1525
ko:K03655	bamn:BASU_1526
ko:K03621	bamn:BASU_1528
ko:K00645	bamn:BASU_1529
ko:K02078	bamn:BASU_1531
ko:K03685	bamn:BASU_1532
ko:K03529	bamn:BASU_1533
ko:K03110	bamn:BASU_1534
ko:K03106	bamn:BASU_1537
ko:K02959	bamn:BASU_1538
ko:K06960	bamn:BASU_1539
ko:K02860	bamn:BASU_1541
ko:K00554	bamn:BASU_1542
ko:K03584	bamn:BASU_2280
ko:K07042	bamn:BASU_2286
ko:K07037	bamn:BASU_2287
ko:K06438	bamn:BASU_2289
ko:K07403	bamn:BASU_2293
ko:K09117	bamn:BASU_2294
ko:K03324	bamn:BASU_2295
ko:K09761	bamn:BASU_2297
ko:K02687	bamn:BASU_2298
ko:K03686	bamn:BASU_2299
ko:K04043	bamn:BASU_2300
ko:K03687	bamn:BASU_2301
ko:K03705	bamn:BASU_2302
ko:K03596	bamn:BASU_2304
ko:K06385	bamn:BASU_2306
ko:K06012	bamn:BASU_2307
ko:K02968	bamn:BASU_2308
ko:K02340	bamn:BASU_2309
ko:K02237	bamn:BASU_2312
ko:K02239	bamn:BASU_2313
ko:K09710	bamn:BASU_2315
ko:K00969	bamn:BASU_2317
ko:K07574	bamn:BASU_2318
ko:K00014	bamn:BASU_2319
ko:K07015	bamn:BASU_2321
ko:K06371	bamn:BASU_2323
ko:K13015	bamn:BASU_3040
ko:K01689	bamn:BASU_3042
ko:K15633	bamn:BASU_3043
ko:K01803	bamn:BASU_3044
ko:K00927	bamn:BASU_3045
ko:K00134	bamn:BASU_3046
ko:K05311	bamn:BASU_3047
ko:K02103	bamn:BASU_3049
ko:K00782	bamn:BASU_3059
ko:K05825	bamn:BASU_3062
ko:K03303	bamn:BASU_3064
ko:K03092	bamn:BASU_3065
ko:K07246	bamn:BASU_0560
ko:K03449	bamn:BASU_0571
ko:K07217	bamn:BASU_0576
ko:K00946	bamn:BASU_0581
ko:K06925	bamn:BASU_0582
ko:K03789	bamn:BASU_0584
ko:K06158	bamn:BASU_0586
ko:K03637	bamn:BASU_0587
ko:K01926	bamn:BASU_0588
ko:K03116	bamn:BASU_0589
ko:K03118	bamn:BASU_0590
ko:K04078	bamn:BASU_0593
ko:K04077	bamn:BASU_0594
ko:K03427	bamn:BASU_0598
ko:K01154	bamn:BASU_0599
ko:K01153	bamn:BASU_0600
ko:K09776	bamn:BASU_1350
ko:K03839	bamn:BASU_1354
ko:K03839	bamn:BASU_1356
ko:K05823	bamn:BASU_1358
ko:K03752	bamn:BASU_1364
ko:K03750	bamn:BASU_1366
ko:K03753	bamn:BASU_1367
ko:K03636	bamn:BASU_1369
ko:K02003	bamn:BASU_1372
ko:K02768	bamn:BASU_1376
ko:K02769	bamn:BASU_1376
ko:K02770	bamn:BASU_1376
ko:K03100	bamn:BASU_1377
ko:K00077	bamn:BASU_1380
ko:K03569	bamn:BASU_1383
ko:K07698	bamn:BASU_1385
ko:K01462	bamn:BASU_1392
ko:K00036	bamn:BASU_2141
ko:K02346	bamn:BASU_2143
ko:K03217	bamn:BASU_2145
ko:K05606	bamn:BASU_2148
ko:K02029	bamn:BASU_2152
ko:K09699	bamn:BASU_2156
ko:K00167	bamn:BASU_2157
ko:K00166	bamn:BASU_2158
ko:K00382	bamn:BASU_2159
ko:K00263	bamn:BASU_2161
ko:K01720	bamn:BASU_2166
ko:K01647	bamn:BASU_2167
ko:K00074	bamn:BASU_2169
ko:K01126	bamn:BASU_2171
ko:K01448	bamn:BASU_2172
ko:K01775	bamn:BASU_2179
ko:K07699	bamn:BASU_2180
ko:K06399	bamn:BASU_2181
ko:K03631	bamn:BASU_2182
ko:K03402	bamn:BASU_2183
ko:K00285	bamn:BASU_2891
ko:K09014	bamn:BASU_2895
ko:K11717	bamn:BASU_2897
ko:K09015	bamn:BASU_2898
ko:K09013	bamn:BASU_2899
ko:K02073	bamn:BASU_2902
ko:K02072	bamn:BASU_2903
ko:K02071	bamn:BASU_2904
ko:K07476	bamn:BASU_2907
ko:K02437	bamn:BASU_2909
ko:K07516	bamn:BASU_2913
ko:K00318	bamn:BASU_2915
ko:K01574	bamn:BASU_2921
ko:K00077	bamn:BASU_2922
ko:K02013	bamn:BASU_2924
ko:K04047	bamn:BASU_2928
ko:K07650	bamn:BASU_2931
ko:K06290	bamn:BASU_2938
ko:K00692	bamn:BASU_3670
ko:K08987	bamn:BASU_3677
ko:K00019	bamn:BASU_3686
ko:K01779	bamn:BASU_0421
ko:K03322	bamn:BASU_0428
ko:K07217	bamn:BASU_0437
ko:K11692	bamn:BASU_0440
ko:K11103	bamn:BASU_0441
ko:K01921	bamn:BASU_0450
ko:K01929	bamn:BASU_0451
ko:K05592	bamn:BASU_0452
ko:K00997	bamn:BASU_0456
ko:K06388	bamn:BASU_1223
ko:K03306	bamn:BASU_1224
ko:K07220	bamn:BASU_1225
ko:K15975	bamn:BASU_1227
ko:K16203	bamn:BASU_1233
ko:K16200	bamn:BASU_1234
ko:K16201	bamn:BASU_1235
ko:K16199	bamn:BASU_1237
ko:K03888	bamn:BASU_1998
ko:K03887	bamn:BASU_1999
ko:K00800	bamn:BASU_2004
ko:K00817	bamn:BASU_2006
ko:K01695	bamn:BASU_2007
ko:K01696	bamn:BASU_2008
ko:K01817	bamn:BASU_2009
ko:K01609	bamn:BASU_2010
ko:K00766	bamn:BASU_2011
ko:K01657	bamn:BASU_2012
ko:K06208	bamn:BASU_2013
ko:K01735	bamn:BASU_2014
ko:K01736	bamn:BASU_2015
ko:K00940	bamn:BASU_2017
ko:K03183	bamn:BASU_2019
ko:K06285	bamn:BASU_2021
ko:K01495	bamn:BASU_2022
ko:K03530	bamn:BASU_2023
ko:K06398	bamn:BASU_2024
ko:K00057	bamn:BASU_2027
ko:K03977	bamn:BASU_2028
ko:K02945	bamn:BASU_2031
ko:K00945	bamn:BASU_2032
ko:K01449	bamn:BASU_2036
ko:K00384	bamn:BASU_2038
ko:K00260	bamn:BASU_2039
ko:K16511	bamn:BASU_2040
ko:K06153	bamn:BASU_2742
ko:K05520	bamn:BASU_2745
ko:K00686	bamn:BASU_2750
ko:K00459	bamn:BASU_2752
ko:K06973	bamn:BASU_2756
ko:K10716	bamn:BASU_2759
ko:K01810	bamn:BASU_2762
ko:K09779	bamn:BASU_2768
ko:K10907	bamn:BASU_2770
ko:K14155	bamn:BASU_2774
ko:K07697	bamn:BASU_2775
ko:K06347	bamn:BASU_2776
ko:K06348	bamn:BASU_2777
ko:K11614	bamn:BASU_2782
ko:K07335	bamn:BASU_2785
ko:K02057	bamn:BASU_2787
ko:K02057	bamn:BASU_2788
ko:K05566	bamn:BASU_2790
