ko:K14233	ctrh:SOTONIA1_00896
ko:K00688	ctrh:SOTONIA1_00259
ko:K02313	ctrh:SOTONIA1_00261
ko:K03217	ctrh:SOTONIA1_00262
ko:K04487	ctrh:SOTONIA1_00269
ko:K07083	ctrh:SOTONIA1_00273
ko:K01962	ctrh:SOTONIA1_00276
ko:K01448	ctrh:SOTONIA1_00279
ko:K01928	ctrh:SOTONIA1_00280
ko:K03587	ctrh:SOTONIA1_00281
ko:K03438	ctrh:SOTONIA1_00283
ko:K02313	ctrh:SOTONIA1_00286
ko:K00347	ctrh:SOTONIA1_00289
ko:K00348	ctrh:SOTONIA1_00290
ko:K00349	ctrh:SOTONIA1_00291
ko:K00350	ctrh:SOTONIA1_00292
ko:K02437	ctrh:SOTONIA1_00293
ko:K03800	ctrh:SOTONIA1_00296
ko:K03696	ctrh:SOTONIA1_00297
ko:K00566	ctrh:SOTONIA1_00298
ko:K01772	ctrh:SOTONIA1_00517
ko:K07099	ctrh:SOTONIA1_00520
ko:K00975	ctrh:SOTONIA1_00521
ko:K03628	ctrh:SOTONIA1_00523
ko:K00859	ctrh:SOTONIA1_00524
ko:K03301	ctrh:SOTONIA1_00527
ko:K00995	ctrh:SOTONIA1_00528
ko:K03495	ctrh:SOTONIA1_00531
ko:K03800	ctrh:SOTONIA1_00532
ko:K00940	ctrh:SOTONIA1_00533
ko:K03550	ctrh:SOTONIA1_00534
ko:K01159	ctrh:SOTONIA1_00535
ko:K00134	ctrh:SOTONIA1_00539
ko:K02879	ctrh:SOTONIA1_00540
ko:K03040	ctrh:SOTONIA1_00541
ko:K02948	ctrh:SOTONIA1_00542
ko:K02952	ctrh:SOTONIA1_00543
ko:K03076	ctrh:SOTONIA1_00544
ko:K02876	ctrh:SOTONIA1_00545
ko:K02988	ctrh:SOTONIA1_00546
ko:K02881	ctrh:SOTONIA1_00547
ko:K02933	ctrh:SOTONIA1_00548
ko:K02994	ctrh:SOTONIA1_00549
ko:K02931	ctrh:SOTONIA1_00550
ko:K02895	ctrh:SOTONIA1_00551
ko:K02874	ctrh:SOTONIA1_00552
ko:K02961	ctrh:SOTONIA1_00553
ko:K02904	ctrh:SOTONIA1_00554
ko:K02878	ctrh:SOTONIA1_00555
ko:K02982	ctrh:SOTONIA1_00556
ko:K02890	ctrh:SOTONIA1_00557
ko:K02965	ctrh:SOTONIA1_00558
ko:K02886	ctrh:SOTONIA1_00559
ko:K02892	ctrh:SOTONIA1_00560
ko:K02926	ctrh:SOTONIA1_00561
ko:K02906	ctrh:SOTONIA1_00562
ko:K00604	ctrh:SOTONIA1_00564
ko:K00677	ctrh:SOTONIA1_00565
ko:K02372	ctrh:SOTONIA1_00566
ko:K02535	ctrh:SOTONIA1_00567
ko:K03820	ctrh:SOTONIA1_00568
ko:K06925	ctrh:SOTONIA1_00571
ko:K03671	ctrh:SOTONIA1_00574
ko:K03216	ctrh:SOTONIA1_00575
ko:K01876	ctrh:SOTONIA1_00577
ko:K01892	ctrh:SOTONIA1_00578
ko:K07783	ctrh:SOTONIA1_00579
ko:K02337	ctrh:SOTONIA1_00580
ko:K03311	ctrh:SOTONIA1_00590
ko:K00382	ctrh:SOTONIA1_00593
ko:K03644	ctrh:SOTONIA1_00594
ko:K03222	ctrh:SOTONIA1_00595
ko:K03223	ctrh:SOTONIA1_00597
ko:K03226	ctrh:SOTONIA1_00598
ko:K03228	ctrh:SOTONIA1_00600
ko:K02455	ctrh:SOTONIA1_00606
ko:K02453	ctrh:SOTONIA1_00608
ko:K03572	ctrh:SOTONIA1_00611
ko:K01870	ctrh:SOTONIA1_00021
ko:K03100	ctrh:SOTONIA1_00022
ko:K02909	ctrh:SOTONIA1_00024
ko:K02835	ctrh:SOTONIA1_00025
ko:K02493	ctrh:SOTONIA1_00026
ko:K03106	ctrh:SOTONIA1_00027
ko:K02959	ctrh:SOTONIA1_00028
ko:K00554	ctrh:SOTONIA1_00029
ko:K02884	ctrh:SOTONIA1_00030
ko:K03470	ctrh:SOTONIA1_00031
ko:K00942	ctrh:SOTONIA1_00032
ko:K01874	ctrh:SOTONIA1_00034
ko:K03581	ctrh:SOTONIA1_00035
ko:K09710	ctrh:SOTONIA1_00825
ko:K09458	ctrh:SOTONIA1_00826
ko:K00263	ctrh:SOTONIA1_00829
ko:K00655	ctrh:SOTONIA1_00831
ko:K04066	ctrh:SOTONIA1_00834
ko:K04567	ctrh:SOTONIA1_00837
ko:K01883	ctrh:SOTONIA1_00838
ko:K03536	ctrh:SOTONIA1_00840
ko:K02919	ctrh:SOTONIA1_00841
ko:K02954	ctrh:SOTONIA1_00842
ko:K03703	ctrh:SOTONIA1_00846
ko:K03555	ctrh:SOTONIA1_00847
ko:K14164	ctrh:SOTONIA1_00851
ko:K00995	ctrh:SOTONIA1_00852
ko:K00703	ctrh:SOTONIA1_00853
ko:K02897	ctrh:SOTONIA1_00855
ko:K01056	ctrh:SOTONIA1_00856
ko:K02990	ctrh:SOTONIA1_00857
ko:K02963	ctrh:SOTONIA1_00858
ko:K02939	ctrh:SOTONIA1_00859
ko:K00919	ctrh:SOTONIA1_00860
ko:K00630	ctrh:SOTONIA1_00864
ko:K08301	ctrh:SOTONIA1_00865
ko:K02911	ctrh:SOTONIA1_00867
ko:K03621	ctrh:SOTONIA1_00868
ko:K03431	ctrh:SOTONIA1_00873
ko:K00820	ctrh:SOTONIA1_00874
ko:K03834	ctrh:SOTONIA1_00875
ko:K01963	ctrh:SOTONIA1_00304
ko:K04564	ctrh:SOTONIA1_00305
ko:K03685	ctrh:SOTONIA1_00308
ko:K04485	ctrh:SOTONIA1_00309
ko:K01749	ctrh:SOTONIA1_00310
ko:K01873	ctrh:SOTONIA1_00313
ko:K03046	ctrh:SOTONIA1_00325
ko:K03043	ctrh:SOTONIA1_00326
ko:K02935	ctrh:SOTONIA1_00327
ko:K02864	ctrh:SOTONIA1_00328
ko:K02863	ctrh:SOTONIA1_00329
ko:K02867	ctrh:SOTONIA1_00330
ko:K02601	ctrh:SOTONIA1_00331
ko:K03073	ctrh:SOTONIA1_00332
ko:K02358	ctrh:SOTONIA1_00334
ko:K02518	ctrh:SOTONIA1_00336
ko:K01803	ctrh:SOTONIA1_00344
ko:K03601	ctrh:SOTONIA1_00345
ko:K03602	ctrh:SOTONIA1_00346
ko:K01662	ctrh:SOTONIA1_00348
ko:K00873	ctrh:SOTONIA1_00349
ko:K03701	ctrh:SOTONIA1_00350
ko:K02343	ctrh:SOTONIA1_00351
ko:K01868	ctrh:SOTONIA1_00617
ko:K01867	ctrh:SOTONIA1_00621
ko:K03702	ctrh:SOTONIA1_00622
ko:K01689	ctrh:SOTONIA1_00623
ko:K00240	ctrh:SOTONIA1_00627
ko:K00239	ctrh:SOTONIA1_00628
ko:K03424	ctrh:SOTONIA1_00631
ko:K03562	ctrh:SOTONIA1_00633
ko:K03641	ctrh:SOTONIA1_00636
ko:K03640	ctrh:SOTONIA1_00637
ko:K03648	ctrh:SOTONIA1_00646
ko:K03657	ctrh:SOTONIA1_00647
ko:K03092	ctrh:SOTONIA1_00648
ko:K06137	ctrh:SOTONIA1_00649
ko:K13941	ctrh:SOTONIA1_00652
ko:K01633	ctrh:SOTONIA1_00653
ko:K03086	ctrh:SOTONIA1_00654
ko:K02968	ctrh:SOTONIA1_00656
ko:K03980	ctrh:SOTONIA1_00663
ko:K01151	ctrh:SOTONIA1_00664
ko:K02986	ctrh:SOTONIA1_00665
ko:K07146	ctrh:SOTONIA1_00666
ko:K01494	ctrh:SOTONIA1_00041
ko:K03551	ctrh:SOTONIA1_00042
ko:K01255	ctrh:SOTONIA1_00047
ko:K02340	ctrh:SOTONIA1_00049
ko:K07056	ctrh:SOTONIA1_00050
ko:K00164	ctrh:SOTONIA1_00056
ko:K00658	ctrh:SOTONIA1_00057
ko:K05810	ctrh:SOTONIA1_00058
ko:K03526	ctrh:SOTONIA1_00059
ko:K02400	ctrh:SOTONIA1_00063
ko:K02405	ctrh:SOTONIA1_00064
ko:K01866	ctrh:SOTONIA1_00065
ko:K03596	ctrh:SOTONIA1_00067
ko:K03301	ctrh:SOTONIA1_00068
ko:K00099	ctrh:SOTONIA1_00074
ko:K03629	ctrh:SOTONIA1_00077
ko:K02338	ctrh:SOTONIA1_00078
ko:K03664	ctrh:SOTONIA1_00079
ko:K03734	ctrh:SOTONIA1_00080
ko:K01491	ctrh:SOTONIA1_00081
ko:K02902	ctrh:SOTONIA1_00088
ko:K00705	ctrh:SOTONIA1_00089
ko:K03834	ctrh:SOTONIA1_00877
ko:K06890	ctrh:SOTONIA1_00878
ko:K03110	ctrh:SOTONIA1_00879
ko:K01903	ctrh:SOTONIA1_00880
ko:K01902	ctrh:SOTONIA1_00881
ko:K09760	ctrh:SOTONIA1_00884
ko:K00075	ctrh:SOTONIA1_00890
ko:K03625	ctrh:SOTONIA1_00891
ko:K02520	ctrh:SOTONIA1_00892
ko:K02916	ctrh:SOTONIA1_00893
ko:K02887	ctrh:SOTONIA1_00894
ko:K01889	ctrh:SOTONIA1_00895
ko:K11720	ctrh:SOTONIA1_00898
ko:K07091	ctrh:SOTONIA1_00899
ko:K04075	ctrh:SOTONIA1_00900
ko:K03798	ctrh:SOTONIA1_00901
ko:K00962	ctrh:SOTONIA1_00902
ko:K02956	ctrh:SOTONIA1_00903
ko:K01265	ctrh:SOTONIA1_00912
ko:K03321	ctrh:SOTONIA1_00917
ko:K03527	ctrh:SOTONIA1_00920
ko:K04058	ctrh:SOTONIA1_00091
ko:K03230	ctrh:SOTONIA1_00092
ko:K09747	ctrh:SOTONIA1_00352
ko:K11381	ctrh:SOTONIA1_00358
ko:K03686	ctrh:SOTONIA1_00359
ko:K02970	ctrh:SOTONIA1_00360
ko:K01338	ctrh:SOTONIA1_00362
ko:K03733	ctrh:SOTONIA1_00365
ko:K06287	ctrh:SOTONIA1_00367
ko:K03075	ctrh:SOTONIA1_00370
ko:K01462	ctrh:SOTONIA1_00371
ko:K02528	ctrh:SOTONIA1_00372
ko:K06888	ctrh:SOTONIA1_00374
ko:K03523	ctrh:SOTONIA1_00378
ko:K01714	ctrh:SOTONIA1_00381
ko:K00928	ctrh:SOTONIA1_00382
ko:K00133	ctrh:SOTONIA1_00383
ko:K00215	ctrh:SOTONIA1_00384
ko:K00800	ctrh:SOTONIA1_00386
ko:K00891	ctrh:SOTONIA1_00387
ko:K01736	ctrh:SOTONIA1_00388
ko:K01735	ctrh:SOTONIA1_00389
ko:K13832	ctrh:SOTONIA1_00390
ko:K03758	ctrh:SOTONIA1_00394
ko:K00024	ctrh:SOTONIA1_00396
ko:K01810	ctrh:SOTONIA1_00398
ko:K03665	ctrh:SOTONIA1_00399
ko:K06167	ctrh:SOTONIA1_00400
ko:K09996	ctrh:SOTONIA1_00401
ko:K13789	ctrh:SOTONIA1_00667
ko:K01698	ctrh:SOTONIA1_00673
ko:K00346	ctrh:SOTONIA1_00674
ko:K03582	ctrh:SOTONIA1_00680
ko:K03583	ctrh:SOTONIA1_00681
ko:K03168	ctrh:SOTONIA1_00684
ko:K02221	ctrh:SOTONIA1_00686
ko:K03581	ctrh:SOTONIA1_00693
ko:K06861	ctrh:SOTONIA1_00695
ko:K01627	ctrh:SOTONIA1_00697
ko:K06180	ctrh:SOTONIA1_00701
ko:K06960	ctrh:SOTONIA1_00702
ko:K02469	ctrh:SOTONIA1_00703
ko:K02470	ctrh:SOTONIA1_00704
ko:K02492	ctrh:SOTONIA1_00705
ko:K03224	ctrh:SOTONIA1_00712
ko:K02417	ctrh:SOTONIA1_00715
ko:K03219	ctrh:SOTONIA1_00717
ko:K03229	ctrh:SOTONIA1_00093
ko:K06942	ctrh:SOTONIA1_00094
ko:K11753	ctrh:SOTONIA1_00095
ko:K02834	ctrh:SOTONIA1_00097
ko:K02519	ctrh:SOTONIA1_00098
ko:K02600	ctrh:SOTONIA1_00099
ko:K02945	ctrh:SOTONIA1_00100
ko:K00384	ctrh:SOTONIA1_00101
ko:K00997	ctrh:SOTONIA1_00102
ko:K00208	ctrh:SOTONIA1_00106
ko:K03575	ctrh:SOTONIA1_00109
ko:K04077	ctrh:SOTONIA1_00112
ko:K04078	ctrh:SOTONIA1_00113
ko:K08602	ctrh:SOTONIA1_00114
ko:K03695	ctrh:SOTONIA1_00115
ko:K01783	ctrh:SOTONIA1_00123
ko:K02356	ctrh:SOTONIA1_00124
ko:K02160	ctrh:SOTONIA1_00125
ko:K01961	ctrh:SOTONIA1_00126
ko:K02871	ctrh:SOTONIA1_00127
ko:K02996	ctrh:SOTONIA1_00128
ko:K02029	ctrh:SOTONIA1_00131
ko:K07058	ctrh:SOTONIA1_00134
ko:K06999	ctrh:SOTONIA1_00138
ko:K07566	ctrh:SOTONIA1_00139
ko:K09125	ctrh:SOTONIA1_00142
ko:K06966	ctrh:SOTONIA1_00408
ko:K09131	ctrh:SOTONIA1_00409
ko:K10206	ctrh:SOTONIA1_00411
ko:K01881	ctrh:SOTONIA1_00414
ko:K03705	ctrh:SOTONIA1_00415
ko:K03687	ctrh:SOTONIA1_00416
ko:K04043	ctrh:SOTONIA1_00417
ko:K12573	ctrh:SOTONIA1_00418
ko:K07164	ctrh:SOTONIA1_00419
ko:K06041	ctrh:SOTONIA1_00420
ko:K00658	ctrh:SOTONIA1_00421
ko:K00912	ctrh:SOTONIA1_00423
ko:K03437	ctrh:SOTONIA1_00424
ko:K06969	ctrh:SOTONIA1_00425
ko:K00793	ctrh:SOTONIA1_00426
ko:K07738	ctrh:SOTONIA1_00427
ko:K06204	ctrh:SOTONIA1_00428
ko:K03101	ctrh:SOTONIA1_00429
ko:K03310	ctrh:SOTONIA1_00430
ko:K00748	ctrh:SOTONIA1_00432
ko:K09817	ctrh:SOTONIA1_00438
ko:K09816	ctrh:SOTONIA1_00439
ko:K03979	ctrh:SOTONIA1_00440
ko:K02899	ctrh:SOTONIA1_00441
ko:K02888	ctrh:SOTONIA1_00442
ko:K02838	ctrh:SOTONIA1_00723
ko:K09903	ctrh:SOTONIA1_00724
ko:K02357	ctrh:SOTONIA1_00725
ko:K02967	ctrh:SOTONIA1_00726
ko:K03162	ctrh:SOTONIA1_00728
ko:K09013	ctrh:SOTONIA1_00732
ko:K09015	ctrh:SOTONIA1_00733
ko:K11717	ctrh:SOTONIA1_00734
ko:K07220	ctrh:SOTONIA1_00738
ko:K03306	ctrh:SOTONIA1_00739
ko:K00927	ctrh:SOTONIA1_00740
ko:K10773	ctrh:SOTONIA1_00744
ko:K03650	ctrh:SOTONIA1_00745
ko:K01613	ctrh:SOTONIA1_00746
ko:K03070	ctrh:SOTONIA1_00748
ko:K03977	ctrh:SOTONIA1_00750
ko:K03544	ctrh:SOTONIA1_00752
ko:K01358	ctrh:SOTONIA1_00753
ko:K03545	ctrh:SOTONIA1_00754
ko:K03569	ctrh:SOTONIA1_00757
ko:K00057	ctrh:SOTONIA1_00762
ko:K02412	ctrh:SOTONIA1_00765
ko:K02411	ctrh:SOTONIA1_00766
ko:K02409	ctrh:SOTONIA1_00767
ko:K13819	ctrh:SOTONIA1_00768
ko:K04487	ctrh:SOTONIA1_00769
ko:K06178	ctrh:SOTONIA1_00771
ko:K07039	ctrh:SOTONIA1_00143
ko:K01972	ctrh:SOTONIA1_00150
ko:K02913	ctrh:SOTONIA1_00154
ko:K09808	ctrh:SOTONIA1_00155
ko:K09810	ctrh:SOTONIA1_00156
ko:K03720	ctrh:SOTONIA1_00173
ko:K01696	ctrh:SOTONIA1_00174
ko:K01695	ctrh:SOTONIA1_00175
ko:K03611	ctrh:SOTONIA1_00181
ko:K00979	ctrh:SOTONIA1_00189
ko:K01937	ctrh:SOTONIA1_00190
ko:K07447	ctrh:SOTONIA1_00191
ko:K00036	ctrh:SOTONIA1_00192
ko:K01057	ctrh:SOTONIA1_00193
ko:K02343	ctrh:SOTONIA1_00194
ko:K00943	ctrh:SOTONIA1_00195
ko:K02469	ctrh:SOTONIA1_00196
ko:K07042	ctrh:SOTONIA1_00447
ko:K03183	ctrh:SOTONIA1_00454
ko:K01778	ctrh:SOTONIA1_00456
ko:K02028	ctrh:SOTONIA1_00132
ko:K14220	ctrh:SOTONIA1_00039
ko:K15035	ctrh:SOTONIA1_00020
ko:K14222	ctrh:SOTONIA1_00811
ko:K01980	ctrh:SOTONIA1_00790
ko:K01980	ctrh:SOTONIA1_00803
ko:K01985	ctrh:SOTONIA1_00791
ko:K01985	ctrh:SOTONIA1_00804
ko:K17103	ctrh:SOTONIA1_00885
ko:K02433	ctrh:SOTONIA1_00004
ko:K03471	ctrh:SOTONIA1_00009
ko:K06910	ctrh:SOTONIA1_00784
ko:K07117	ctrh:SOTONIA1_00785
ko:K00059	ctrh:SOTONIA1_00248
ko:K07052	ctrh:SOTONIA1_00265
ko:K02342	ctrh:SOTONIA1_00272
ko:K07098	ctrh:SOTONIA1_00488
ko:K00567	ctrh:SOTONIA1_00507
ko:K02033	ctrh:SOTONIA1_00509
ko:K02035	ctrh:SOTONIA1_00510
ko:K02030	ctrh:SOTONIA1_00518
ko:K02342	ctrh:SOTONIA1_00570
ko:K00033	ctrh:SOTONIA1_00066
ko:K01507	ctrh:SOTONIA1_00828
ko:K01082	ctrh:SOTONIA1_00830
ko:K01909	ctrh:SOTONIA1_00832
ko:K00652	ctrh:SOTONIA1_00833
ko:K01408	ctrh:SOTONIA1_00863
ko:K07258	ctrh:SOTONIA1_00586
ko:K03227	ctrh:SOTONIA1_00599
ko:K02454	ctrh:SOTONIA1_00607
ko:K01262	ctrh:SOTONIA1_00610
ko:K07315	ctrh:SOTONIA1_00624
ko:K11707	ctrh:SOTONIA1_00070
ko:K11710	ctrh:SOTONIA1_00071
ko:K11708	ctrh:SOTONIA1_00072
ko:K11709	ctrh:SOTONIA1_00073
ko:K03177	ctrh:SOTONIA1_00096
ko:K06179	ctrh:SOTONIA1_00108
ko:K14233	ctrh:SOTONIA1_00375
ko:K14228	ctrh:SOTONIA1_00493
ko:K02806	ctrh:SOTONIA1_00301
ko:K02806	ctrh:SOTONIA1_00302
ko:K02124	ctrh:SOTONIA1_00315
ko:K02123	ctrh:SOTONIA1_00316
ko:K02120	ctrh:SOTONIA1_00317
ko:K02118	ctrh:SOTONIA1_00318
ko:K02117	ctrh:SOTONIA1_00319
ko:K02121	ctrh:SOTONIA1_00321
ko:K04084	ctrh:SOTONIA1_00632
ko:K00241	ctrh:SOTONIA1_00629
ko:K03386	ctrh:SOTONIA1_00640
ko:K02428	ctrh:SOTONIA1_00644
ko:K00616	ctrh:SOTONIA1_00324
ko:K08483	ctrh:SOTONIA1_00353
ko:K11189	ctrh:SOTONIA1_00354
ko:K00784	ctrh:SOTONIA1_00364
ko:K00939	ctrh:SOTONIA1_00130
ko:K02035	ctrh:SOTONIA1_00141
ko:K06889	ctrh:SOTONIA1_00153
ko:K00813	ctrh:SOTONIA1_00678
ko:K01934	ctrh:SOTONIA1_00690
ko:K03856	ctrh:SOTONIA1_00402
ko:K02035	ctrh:SOTONIA1_00180
ko:K02049	ctrh:SOTONIA1_00185
ko:K01409	ctrh:SOTONIA1_00204
ko:K15582	ctrh:SOTONIA1_00207
ko:K10823	ctrh:SOTONIA1_00208
ko:K15583	ctrh:SOTONIA1_00209
ko:K06889	ctrh:SOTONIA1_00213
ko:K00970	ctrh:SOTONIA1_00431
ko:K09815	ctrh:SOTONIA1_00437
ko:K01719	ctrh:SOTONIA1_00459
ko:K00380	ctrh:SOTONIA1_00461
ko:K01885	ctrh:SOTONIA1_00472
ko:K00970	ctrh:SOTONIA1_00751
ko:K01596	ctrh:SOTONIA1_00758
ko:K00972	ctrh:SOTONIA1_00763
ko:K01834	ctrh:SOTONIA1_00770
ko:K14236	ctrh:SOTONIA1_00145
ko:K14227	ctrh:SOTONIA1_00186
ko:K14218	ctrh:SOTONIA1_00677
ko:K14230	ctrh:SOTONIA1_00215
ko:K14230	ctrh:SOTONIA1_00342
ko:K14235	ctrh:SOTONIA1_00333
ko:K14233	ctrh:SOTONIA1_00529
ko:K14231	ctrh:SOTONIA1_00443
ko:K14221	ctrh:SOTONIA1_00231
ko:K14233	ctrh:SOTONIA1_00436
ko:K14228	ctrh:SOTONIA1_00537
ko:K14228	ctrh:SOTONIA1_00573
ko:K14219	ctrh:SOTONIA1_00497
ko:K14219	ctrh:SOTONIA1_00698
ko:K14232	ctrh:SOTONIA1_00671
ko:K14229	ctrh:SOTONIA1_00721
ko:K14224	ctrh:SOTONIA1_00722
ko:K14226	ctrh:SOTONIA1_00788
ko:K14223	ctrh:SOTONIA1_00854
ko:K14218	ctrh:SOTONIA1_00187
ko:K14219	ctrh:SOTONIA1_00641
ko:K01977	ctrh:SOTONIA1_00789
ko:K01977	ctrh:SOTONIA1_00802
ko:K14234	ctrh:SOTONIA1_00718
ko:K14225	ctrh:SOTONIA1_00727
ko:K14228	ctrh:SOTONIA1_00501
ko:K14228	ctrh:SOTONIA1_00925
ko:K14232	ctrh:SOTONIA1_00062
ko:K14237	ctrh:SOTONIA1_00232
ko:K14230	ctrh:SOTONIA1_00216
ko:K14234	ctrh:SOTONIA1_00144
ko:K14234	ctrh:SOTONIA1_00335
ko:K14225	ctrh:SOTONIA1_00755
ko:K01679	ctrh:SOTONIA1_00916
ko:K04763	ctrh:SOTONIA1_00927
ko:K00700	ctrh:SOTONIA1_00929
ko:K14237	ctrh:SOTONIA1_00888
ko:K01840	ctrh:SOTONIA1_00306
ko:K06972	ctrh:SOTONIA1_00883
ko:K08719	ctrh:SOTONIA1_00761
ko:K07081	ctrh:SOTONIA1_00453
ko:K01802	ctrh:SOTONIA1_00576
ko:K08275	ctrh:SOTONIA1_00083
ko:K08274	ctrh:SOTONIA1_00397
ko:K01921	ctrh:SOTONIA1_00818
ko:K01924	ctrh:SOTONIA1_00818
ko:K01829	ctrh:SOTONIA1_00836
ko:K01829	ctrh:SOTONIA1_00839
ko:K03309	ctrh:SOTONIA1_00422
ko:K07033	ctrh:SOTONIA1_00731
ko:K01214	ctrh:SOTONIA1_00044
ko:K03825	ctrh:SOTONIA1_00485
ko:K03496	ctrh:SOTONIa1_p7
ko:K03496	ctrh:SOTONIA1_00618
ko:K03497	ctrh:SOTONIA1_00735
ko:K03111	ctrh:SOTONIA1_00046
ko:K02626	ctrh:SOTONIA1_00393
ko:K11991	ctrh:SOTONIA1_00904
ko:K02031	ctrh:SOTONIA1_00737
ko:K04771	ctrh:SOTONIA1_00882
ko:K19411	ctrh:SOTONIA1_00720
ko:K19405	ctrh:SOTONIA1_00719
ko:K07125	ctrh:SOTONIA1_00338
ko:K12132	ctrh:SOTONIA1_00312
ko:K20265	ctrh:SOTONIA1_00225
ko:K20074	ctrh:SOTONIA1_00270
ko:K11749	ctrh:SOTONIA1_00075
ko:K22100	ctrh:SOTONIA1_00343
ko:K22099	ctrh:SOTONIA1_00650
ko:K00526	ctrh:SOTONIA1_00887
ko:K01520	ctrh:SOTONIA1_00303
ko:K02314	ctrh:SOTONIA1_00530
ko:K00287	ctrh:SOTONIA1_00651
ko:K03553	ctrh:SOTONIA1_00691
ko:K02316	ctrh:SOTONIA1_00848
ko:K02335	ctrh:SOTONIA1_00525
ko:K02314	ctrh:SOTONIa1_p3
ko:K02032	ctrh:SOTONIA1_00736
ko:K00525	ctrh:SOTONIA1_00886
ko:K02050	ctrh:SOTONIA1_00915
ko:K02051	ctrh:SOTONIA1_00915
ko:K01534	ctrh:SOTONIA1_00775
ko:K16239	ctrh:SOTONIA1_00087
