ko:K18828	xfl:P303_05575
ko:K02656	xfl:P303_08195
ko:K06941	xfl:P303_08200
ko:K00940	xfl:P303_08205
ko:K00134	xfl:P303_08210
ko:K01939	xfl:P303_08215
ko:K09937	xfl:P303_08220
ko:K04087	xfl:P303_08225
ko:K04088	xfl:P303_08230
ko:K02658	xfl:P303_08240
ko:K09922	xfl:P303_08245
ko:K01881	xfl:P303_08255
ko:K17103	xfl:P303_08265
ko:K03789	xfl:P303_08275
ko:K05349	xfl:P303_08280
ko:K16053	xfl:P303_08285
ko:K01633	xfl:P303_08290
ko:K01409	xfl:P303_08295
ko:K02970	xfl:P303_08300
ko:K09117	xfl:P303_08305
ko:K07058	xfl:P303_08310
ko:K01867	xfl:P303_08335
ko:K03581	xfl:P303_08345
ko:K03582	xfl:P303_08355
ko:K03583	xfl:P303_08360
ko:K02065	xfl:P303_08365
ko:K02066	xfl:P303_08370
ko:K02067	xfl:P303_08375
ko:K07323	xfl:P303_08380
ko:K07122	xfl:P303_08385
ko:K04754	xfl:P303_08390
ko:K09760	xfl:P303_08400
ko:K02049	xfl:P303_08405
ko:K02050	xfl:P303_08410
ko:K06966	xfl:P303_08155
ko:K02014	xfl:P303_05655
ko:K01525	xfl:P303_05715
ko:K02342	xfl:P303_05755
ko:K03294	xfl:P303_08425
ko:K02037	xfl:P303_05680
ko:K02036	xfl:P303_05690
ko:K03469	xfl:P303_05760
ko:K07258	xfl:P303_06060
ko:K02237	xfl:P303_07550
ko:K07102	xfl:P303_07555
ko:K06969	xfl:P303_08435
ko:K11211	xfl:P303_05730
ko:K03782	xfl:P303_06070
ko:K05794	xfl:P303_08440
ko:K01069	xfl:P303_05770
ko:K05516	xfl:P303_06075
ko:K09803	xfl:P303_08905
ko:K00209	xfl:P303_09075
ko:K03688	xfl:P303_09085
ko:K03690	xfl:P303_09090
ko:K01433	xfl:P303_09095
ko:K07018	xfl:P303_09105
ko:K06916	xfl:P303_09110
ko:K03797	xfl:P303_09125
ko:K00053	xfl:P303_09130
ko:K01652	xfl:P303_09135
ko:K11258	xfl:P303_09140
ko:K01754	xfl:P303_09145
ko:K01649	xfl:P303_09150
ko:K00648	xfl:P303_09160
ko:K02911	xfl:P303_09165
ko:K07040	xfl:P303_09170
ko:K03924	xfl:P303_09180
ko:K07285	xfl:P303_09195
ko:K06187	xfl:P303_09205
ko:K09747	xfl:P303_09210
ko:K02343	xfl:P303_09215
ko:K00057	xfl:P303_09250
ko:K03071	xfl:P303_09255
ko:K01719	xfl:P303_09270
ko:K02496	xfl:P303_09275
ko:K02498	xfl:P303_09280
ko:K03524	xfl:P303_09285
ko:K03525	xfl:P303_09290
ko:K06997	xfl:P303_09350
ko:K03555	xfl:P303_09355
ko:K03814	xfl:P303_09360
ko:K04083	xfl:P303_09365
ko:K13993	xfl:P303_06080
ko:K15724	xfl:P303_08445
ko:K07075	xfl:P303_09905
ko:K03702	xfl:P303_09990
ko:K08084	xfl:P303_09995
ko:K01714	xfl:P303_10005
ko:K03567	xfl:P303_10010
ko:K03564	xfl:P303_10015
ko:K07175	xfl:P303_10025
ko:K07175	xfl:P303_10030
ko:K00946	xfl:P303_10050
ko:K03625	xfl:P303_10055
ko:K00794	xfl:P303_10060
ko:K14652	xfl:P303_10065
ko:K00793	xfl:P303_10070
ko:K11752	xfl:P303_10075
ko:K07738	xfl:P303_10080
ko:K00600	xfl:P303_10090
ko:K00116	xfl:P303_10100
ko:K05810	xfl:P303_10110
ko:K06180	xfl:P303_10115
ko:K05807	xfl:P303_10120
ko:K04759	xfl:P303_10130
ko:K04758	xfl:P303_10135
ko:K03500	xfl:P303_10145
ko:K00604	xfl:P303_10150
ko:K01462	xfl:P303_10155
ko:K04096	xfl:P303_10165
ko:K03747	xfl:P303_10170
ko:K03168	xfl:P303_10175
ko:K07566	xfl:P303_10180
ko:K08081	xfl:P303_10205
ko:K03600	xfl:P303_10210
ko:K03599	xfl:P303_10215
ko:K00411	xfl:P303_10230
ko:K06168	xfl:P303_10245
ko:K07042	xfl:P303_10260
ko:K06189	xfl:P303_10270
ko:K03284	xfl:P303_10280
ko:K15125	xfl:P303_10325
ko:K05365	xfl:P303_10345
ko:K07260	xfl:P303_10370
ko:K06204	xfl:P303_10375
ko:K08998	xfl:P303_10380
ko:K01465	xfl:P303_10385
ko:K00681	xfl:P303_10405
ko:K00954	xfl:P303_10425
ko:K08316	xfl:P303_10430
ko:K04079	xfl:P303_10435
ko:K00029	xfl:P303_10440
ko:K11103	xfl:P303_10450
ko:K07221	xfl:P303_10455
ko:K02012	xfl:P303_10470
ko:K07649	xfl:P303_10475
ko:K07774	xfl:P303_10480
ko:K07221	xfl:P303_10485
ko:K03300	xfl:P303_10490
ko:K00023	xfl:P303_10495
ko:K00343	xfl:P303_10500
ko:K00342	xfl:P303_10505
ko:K00341	xfl:P303_10510
ko:K00340	xfl:P303_10515
ko:K00412	xfl:P303_10225
ko:K10763	xfl:P303_07565
ko:K00413	xfl:P303_10220
ko:K00339	xfl:P303_10520
ko:K00338	xfl:P303_10525
ko:K00334	xfl:P303_10545
ko:K00333	xfl:P303_10550
ko:K00332	xfl:P303_10555
ko:K00331	xfl:P303_10560
ko:K00330	xfl:P303_10565
ko:K03075	xfl:P303_10575
ko:K01803	xfl:P303_10580
ko:K01154	xfl:P303_10600
ko:K01154	xfl:P303_10605
ko:K01153	xfl:P303_10610
ko:K01153	xfl:P303_10615
ko:K07043	xfl:P303_10620
ko:K01682	xfl:P303_10630
ko:K01681	xfl:P303_10645
ko:K01897	xfl:P303_10655
ko:K07071	xfl:P303_10660
ko:K01255	xfl:P303_10690
ko:K02558	xfl:P303_10710
ko:K00939	xfl:P303_10715
ko:K15778	xfl:P303_10770
ko:K00067	xfl:P303_10785
ko:K01790	xfl:P303_10790
ko:K00973	xfl:P303_10795
ko:K00337	xfl:P303_10530
ko:K03522	xfl:P303_10810
ko:K05592	xfl:P303_10820
ko:K00962	xfl:P303_10880
ko:K02956	xfl:P303_10885
ko:K03177	xfl:P303_10890
ko:K02834	xfl:P303_10895
ko:K02519	xfl:P303_10900
ko:K02600	xfl:P303_10905
ko:K09748	xfl:P303_10910
ko:K01810	xfl:P303_10925
ko:K01579	xfl:P303_10930
ko:K01918	xfl:P303_10935
ko:K00606	xfl:P303_10940
ko:K00950	xfl:P303_10945
ko:K00970	xfl:P303_10950
ko:K03074	xfl:P303_10960
ko:K03072	xfl:P303_10965
ko:K03210	xfl:P303_10970
ko:K00773	xfl:P303_10975
ko:K15974	xfl:P303_11015
ko:K01609	xfl:P303_11030
ko:K00766	xfl:P303_11035
ko:K01658	xfl:P303_11040
ko:K01657	xfl:P303_11045
ko:K01783	xfl:P303_11050
ko:K01923	xfl:P303_11060
ko:K03521	xfl:P303_10805
ko:K08973	xfl:P303_11075
ko:K09924	xfl:P303_11100
ko:K01737	xfl:P303_11105
ko:K11927	xfl:P303_11110
ko:K09761	xfl:P303_11115
ko:K00833	xfl:P303_11120
ko:K08312	xfl:P303_11125
ko:K01082	xfl:P303_11130
ko:K04765	xfl:P303_11135
ko:K07340	xfl:P303_11145
ko:K00605	xfl:P303_11150
ko:K02437	xfl:P303_11160
ko:K03424	xfl:P303_11180
ko:K11068	xfl:P303_11190
ko:K02837	xfl:P303_11195
ko:K00059	xfl:P303_11200
ko:K10563	xfl:P303_11215
ko:K01866	xfl:P303_11245
ko:K09001	xfl:P303_11255
ko:K08218	xfl:P303_11260
ko:K01142	xfl:P303_11265
ko:K00762	xfl:P303_11300
ko:K15778	xfl:P303_11310
ko:K13038	xfl:P303_11320
ko:K01887	xfl:P303_11330
ko:K01585	xfl:P303_11345
ko:K00797	xfl:P303_11350
ko:K01962	xfl:P303_11070
ko:K02337	xfl:P303_11065
ko:K11720	xfl:P303_11370
ko:K07091	xfl:P303_11375
ko:K01255	xfl:P303_11380
ko:K02339	xfl:P303_11390
ko:K01873	xfl:P303_11400
ko:K07233	xfl:P303_11405
ko:K01738	xfl:P303_11425
ko:K01414	xfl:P303_11430
ko:K03563	xfl:P303_11440
ko:K01872	xfl:P303_11445
ko:K01356	xfl:P303_11455
ko:K01953	xfl:P303_11475
ko:K01439	xfl:P303_11485
ko:K00674	xfl:P303_11495
ko:K01265	xfl:P303_11510
ko:K02884	xfl:P303_11515
ko:K00554	xfl:P303_11520
ko:K02860	xfl:P303_11525
ko:K02959	xfl:P303_11530
ko:K01206	xfl:P303_11535
ko:K02527	xfl:P303_11540
ko:K02517	xfl:P303_11545
ko:K01687	xfl:P303_11565
ko:K07574	xfl:P303_11575
ko:K02427	xfl:P303_11580
ko:K00796	xfl:P303_11595
ko:K00791	xfl:P303_11600
ko:K03666	xfl:P303_11605
ko:K03665	xfl:P303_11610
ko:K03743	xfl:P303_11620
ko:K07345	xfl:P303_11625
ko:K00820	xfl:P303_11360
ko:K03106	xfl:P303_11660
ko:K10563	xfl:P303_11670
ko:K03179	xfl:P303_11710
ko:K07001	xfl:P303_11715
ko:K01012	xfl:P303_11720
ko:K03474	xfl:P303_11740
ko:K05916	xfl:P303_11750
ko:K03657	xfl:P303_11755
ko:K01961	xfl:P303_11760
ko:K02160	xfl:P303_11765
ko:K03786	xfl:P303_11770
ko:K03723	xfl:P303_11780
ko:K07115	xfl:P303_11790
ko:K03282	xfl:P303_11805
ko:K00832	xfl:P303_11815
ko:K01591	xfl:P303_11820
ko:K02655	xfl:P303_11825
ko:K02674	xfl:P303_11830
ko:K02673	xfl:P303_11835
ko:K02672	xfl:P303_11840
ko:K02671	xfl:P303_11845
ko:K08084	xfl:P303_11850
ko:K01626	xfl:P303_11860
ko:K03559	xfl:P303_11895
ko:K03559	xfl:P303_11900
ko:K03561	xfl:P303_11905
ko:K03832	xfl:P303_11910
ko:K07052	xfl:P303_11925
ko:K02470	xfl:P303_11930
ko:K03629	xfl:P303_11940
ko:K02338	xfl:P303_11945
ko:K02313	xfl:P303_11950
ko:K02914	xfl:P303_11955
ko:K03536	xfl:P303_11960
ko:K03217	xfl:P303_11965
ko:K03650	xfl:P303_11975
ko:K15125	xfl:P303_11985
ko:K15125	xfl:P303_11990
ko:K01154	xfl:P303_12110
ko:K01153	xfl:P303_12115
ko:K03427	xfl:P303_12125
ko:K01154	xfl:P303_12130
ko:K01206	xfl:P303_12175
ko:K02014	xfl:P303_12180
ko:K00286	xfl:P303_12185
ko:K00265	xfl:P303_12190
ko:K00266	xfl:P303_12195
ko:K03797	xfl:P303_12225
ko:K00031	xfl:P303_12230
ko:K03628	xfl:P303_12235
ko:K03671	xfl:P303_12240
ko:K03732	xfl:P303_12245
ko:K09812	xfl:P303_12250
ko:K09811	xfl:P303_12255
ko:K03648	xfl:P303_12265
ko:K03089	xfl:P303_12270
ko:K04066	xfl:P303_12280
ko:K03327	xfl:P303_12300
ko:K04773	xfl:P303_12305
ko:K03670	xfl:P303_12310
ko:K03656	xfl:P303_12315
ko:K01588	xfl:P303_12350
ko:K01589	xfl:P303_12355
ko:K07390	xfl:P303_12360
ko:K12297	xfl:P303_12420
ko:K02835	xfl:P303_12425
ko:K02492	xfl:P303_12430
ko:K02494	xfl:P303_12440
ko:K00919	xfl:P303_12445
ko:K00948	xfl:P303_12455
ko:K02897	xfl:P303_12460
ko:K01056	xfl:P303_12465
ko:K02358	xfl:P303_12490
ko:K03073	xfl:P303_12500
ko:K02601	xfl:P303_12505
ko:K07347	xfl:P303_11635
ko:K02867	xfl:P303_12510
ko:K02864	xfl:P303_12520
ko:K03046	xfl:P303_12535
ko:K02950	xfl:P303_12540
ko:K02992	xfl:P303_12545
ko:K02355	xfl:P303_12550
ko:K02358	xfl:P303_12555
ko:K03799	xfl:P303_12560
ko:K03704	xfl:P303_12570
ko:K15738	xfl:P303_12585
ko:K04564	xfl:P303_12600
ko:K07146	xfl:P303_12610
ko:K08300	xfl:P303_12620
ko:K06179	xfl:P303_12625
ko:K03832	xfl:P303_12630
ko:K07400	xfl:P303_12640
ko:K05524	xfl:P303_12650
ko:K00567	xfl:P303_12660
ko:K00030	xfl:P303_12670
ko:K07657	xfl:P303_12685
ko:K07636	xfl:P303_12690
ko:K00937	xfl:P303_12695
ko:K01524	xfl:P303_12700
ko:K03269	xfl:P303_12705
ko:K12340	xfl:P303_12710
ko:K00573	xfl:P303_12715
ko:K06147	xfl:P303_12725
ko:K02967	xfl:P303_12735
ko:K02357	xfl:P303_12740
ko:K15012	xfl:P303_12745
ko:K15011	xfl:P303_12750
ko:K00075	xfl:P303_12770
ko:K00254	xfl:P303_12775
ko:K03043	xfl:P303_12530
ko:K13628	xfl:P303_12810
ko:K02990	xfl:P303_12815
ko:K02963	xfl:P303_12820
ko:K02939	xfl:P303_12825
ko:K03529	xfl:P303_12830
ko:K03528	xfl:P303_12835
ko:K01972	xfl:P303_12845
ko:K04568	xfl:P303_12855
ko:K08963	xfl:P303_12865
ko:K02469	xfl:P303_12870
ko:K01902	xfl:P303_12905
ko:K01903	xfl:P303_12910
ko:K10026	xfl:P303_04710
ko:K01834	xfl:P303_04715
ko:K05982	xfl:P303_04720
ko:K00432	xfl:P303_04730
ko:K03305	xfl:P303_04725
ko:K00528	xfl:P303_04735
ko:K03147	xfl:P303_04740
ko:K01915	xfl:P303_05055
ko:K07276	xfl:P303_05070
ko:K03320	xfl:P303_05045
ko:K04751	xfl:P303_05050
ko:K01424	xfl:P303_01405
ko:K03809	xfl:P303_01410
ko:K00763	xfl:P303_01420
ko:K00215	xfl:P303_01455
ko:K01956	xfl:P303_01460
ko:K01955	xfl:P303_01465
ko:K03624	xfl:P303_01470
ko:K07462	xfl:P303_01480
ko:K02836	xfl:P303_01485
ko:K04567	xfl:P303_01490
ko:K13815	xfl:P303_01495
ko:K10715	xfl:P303_01500
ko:K13816	xfl:P303_01505
ko:K12526	xfl:P303_01510
ko:K01925	xfl:P303_01520
ko:K03574	xfl:P303_01530
ko:K00297	xfl:P303_01535
ko:K09807	xfl:P303_01540
ko:K06287	xfl:P303_01545
ko:K08301	xfl:P303_01550
ko:K03568	xfl:P303_01565
ko:K03592	xfl:P303_01580
ko:K13979	xfl:P303_01600
ko:K04042	xfl:P303_01610
ko:K04093	xfl:P303_01615
ko:K02114	xfl:P303_01620
ko:K02112	xfl:P303_01625
ko:K02115	xfl:P303_01630
ko:K02111	xfl:P303_01635
ko:K02113	xfl:P303_01640
ko:K02109	xfl:P303_01645
ko:K02110	xfl:P303_01650
ko:K02108	xfl:P303_01655
ko:K02946	xfl:P303_01670
ko:K02906	xfl:P303_01675
ko:K02926	xfl:P303_01680
ko:K02886	xfl:P303_01685
ko:K02965	xfl:P303_01690
ko:K02890	xfl:P303_01695
ko:K02982	xfl:P303_01700
ko:K02878	xfl:P303_01705
ko:K02904	xfl:P303_01710
ko:K02961	xfl:P303_01715
ko:K02874	xfl:P303_01720
ko:K02895	xfl:P303_01725
ko:K02931	xfl:P303_01730
ko:K02954	xfl:P303_01735
ko:K02994	xfl:P303_01740
ko:K02933	xfl:P303_01745
ko:K02881	xfl:P303_01750
ko:K02988	xfl:P303_01755
ko:K02876	xfl:P303_01760
ko:K03076	xfl:P303_01765
ko:K02952	xfl:P303_01770
ko:K02948	xfl:P303_01775
ko:K02986	xfl:P303_01780
ko:K03040	xfl:P303_01785
ko:K02879	xfl:P303_01790
ko:K09806	xfl:P303_01795
ko:K07391	xfl:P303_01800
ko:K02474	xfl:P303_01825
ko:K03545	xfl:P303_01840
ko:K01358	xfl:P303_01845
ko:K03544	xfl:P303_01850
ko:K01338	xfl:P303_01855
ko:K03530	xfl:P303_01860
ko:K13655	xfl:P303_02925
ko:K13651	xfl:P303_02930
ko:K02300	xfl:P303_03000
ko:K02299	xfl:P303_03005
ko:K02298	xfl:P303_03010
ko:K02297	xfl:P303_03015
ko:K02523	xfl:P303_03020
ko:K01759	xfl:P303_03045
ko:K06213	xfl:P303_03055
ko:K08483	xfl:P303_03065
ko:K11189	xfl:P303_03070
ko:K02821	xfl:P303_03075
ko:K06958	xfl:P303_03080
ko:K12573	xfl:P303_04255
ko:K06920	xfl:P303_04975
ko:K01876	xfl:P303_04980
ko:K01676	xfl:P303_04985
ko:K03797	xfl:P303_04990
ko:K03770	xfl:P303_01875
ko:K09799	xfl:P303_01880
ko:K03671	xfl:P303_01900
ko:K06183	xfl:P303_01905
ko:K09941	xfl:P303_01920
ko:K02902	xfl:P303_01925
ko:K02913	xfl:P303_01930
ko:K06131	xfl:P303_01935
ko:K00799	xfl:P303_01945
ko:K00024	xfl:P303_01950
ko:K03768	xfl:P303_01955
ko:K06207	xfl:P303_01960
ko:K13408	xfl:P303_01970
ko:K13409	xfl:P303_01990
ko:K01992	xfl:P303_01995
ko:K01990	xfl:P303_02000
ko:K02674	xfl:P303_02005
ko:K03579	xfl:P303_02020
ko:K09800	xfl:P303_02040
ko:K03417	xfl:P303_02045
ko:K01476	xfl:P303_02120
ko:K06894	xfl:P303_02125
ko:K13288	xfl:P303_02150
ko:K09773	xfl:P303_02165
ko:K09920	xfl:P303_02170
ko:K03574	xfl:P303_02175
ko:K06023	xfl:P303_03085
ko:K05808	xfl:P303_03090
