ko:K09796	nms:NMBM01240355_1469
ko:K00858	nms:NMBM01240355_0806
ko:K00075	nms:NMBM01240355_0810
ko:K03327	nms:NMBM01240355_0811
ko:K02502	nms:NMBM01240355_0812
ko:K01939	nms:NMBM01240355_0813
ko:K03799	nms:NMBM01240355_0814
ko:K01591	nms:NMBM01240355_0816
ko:K03760	nms:NMBM01240355_1557
ko:K00831	nms:NMBM01240355_1559
ko:K09748	nms:NMBM01240355_1560
ko:K02600	nms:NMBM01240355_1561
ko:K02519	nms:NMBM01240355_1562
ko:K11068	nms:NMBM01240355_1565
ko:K03310	nms:NMBM01240355_1566
ko:K03611	nms:NMBM01240355_1568
ko:K01775	nms:NMBM01240355_1570
ko:K09157	nms:NMBM01240355_1572
ko:K07166	nms:NMBM01240355_1573
ko:K07320	nms:NMBM01240355_1575
ko:K13038	nms:NMBM01240355_1584
ko:K03060	nms:NMBM01240355_1586
ko:K00942	nms:NMBM01240355_1587
ko:K00759	nms:NMBM01240355_1588
ko:K08303	nms:NMBM01240355_1590
ko:K03808	nms:NMBM01240355_1596
ko:K06192	nms:NMBM01240355_1597
ko:K09857	nms:NMBM01240355_1598
ko:K01246	nms:NMBM01240355_1599
ko:K00281	nms:NMBM01240355_1602
ko:K02358	nms:NMBM01240355_0125
ko:K03073	nms:NMBM01240355_0127
ko:K02601	nms:NMBM01240355_0128
ko:K02867	nms:NMBM01240355_0129
ko:K02863	nms:NMBM01240355_0130
ko:K02864	nms:NMBM01240355_0131
ko:K02935	nms:NMBM01240355_0132
ko:K03043	nms:NMBM01240355_0133
ko:K03046	nms:NMBM01240355_0134
ko:K02950	nms:NMBM01240355_0138
ko:K02992	nms:NMBM01240355_0139
ko:K02355	nms:NMBM01240355_0140
ko:K02946	nms:NMBM01240355_0142
ko:K02906	nms:NMBM01240355_0144
ko:K02926	nms:NMBM01240355_0145
ko:K02892	nms:NMBM01240355_0146
ko:K02886	nms:NMBM01240355_0147
ko:K02965	nms:NMBM01240355_0148
ko:K02890	nms:NMBM01240355_0149
ko:K02982	nms:NMBM01240355_0150
ko:K02878	nms:NMBM01240355_0151
ko:K02904	nms:NMBM01240355_0152
ko:K02961	nms:NMBM01240355_0153
ko:K02874	nms:NMBM01240355_0154
ko:K02895	nms:NMBM01240355_0155
ko:K02931	nms:NMBM01240355_0156
ko:K02954	nms:NMBM01240355_0157
ko:K02994	nms:NMBM01240355_0158
ko:K02933	nms:NMBM01240355_0159
ko:K02881	nms:NMBM01240355_0160
ko:K02988	nms:NMBM01240355_0161
ko:K02907	nms:NMBM01240355_0162
ko:K02876	nms:NMBM01240355_0163
ko:K03076	nms:NMBM01240355_0164
ko:K02518	nms:NMBM01240355_0165
ko:K02919	nms:NMBM01240355_0166
ko:K02952	nms:NMBM01240355_0167
ko:K02948	nms:NMBM01240355_0168
ko:K02986	nms:NMBM01240355_0169
ko:K03040	nms:NMBM01240355_0170
ko:K02879	nms:NMBM01240355_0171
ko:K03610	nms:NMBM01240355_0172
ko:K03609	nms:NMBM01240355_0173
ko:K03608	nms:NMBM01240355_0174
ko:K04761	nms:NMBM01240355_0175
ko:K00031	nms:NMBM01240355_0919
ko:K10806	nms:NMBM01240355_0924
ko:K07287	nms:NMBM01240355_0927
ko:K01714	nms:NMBM01240355_0928
ko:K03218	nms:NMBM01240355_0930
ko:K09793	nms:NMBM01240355_0931
ko:K00791	nms:NMBM01240355_0933
ko:K02356	nms:NMBM01240355_0936
ko:K00641	nms:NMBM01240355_0939
ko:K02919	nms:NMBM01240355_0940
ko:K00605	nms:NMBM01240355_0573
ko:K02437	nms:NMBM01240355_0574
ko:K02492	nms:NMBM01240355_0575
ko:K07218	nms:NMBM01240355_0577
ko:K00311	nms:NMBM01240355_0580
ko:K02884	nms:NMBM01240355_0591
ko:K00554	nms:NMBM01240355_0592
ko:K02860	nms:NMBM01240355_0593
ko:K02959	nms:NMBM01240355_0594
ko:K06287	nms:NMBM01240355_0600
ko:K03118	nms:NMBM01240355_0601
ko:K03117	nms:NMBM01240355_0602
ko:K03116	nms:NMBM01240355_0603
ko:K02503	nms:NMBM01240355_0604
ko:K03210	nms:NMBM01240355_0608
ko:K03072	nms:NMBM01240355_0609
ko:K03074	nms:NMBM01240355_0610
ko:K02956	nms:NMBM01240355_0611
ko:K11076	nms:NMBM01240355_0613
ko:K11075	nms:NMBM01240355_0614
ko:K11074	nms:NMBM01240355_0615
ko:K03320	nms:NMBM01240355_0617
ko:K03628	nms:NMBM01240355_0619
ko:K09773	nms:NMBM01240355_0621
ko:K00800	nms:NMBM01240355_1361
ko:K00782	nms:NMBM01240355_1366
ko:K01588	nms:NMBM01240355_1368
ko:K03572	nms:NMBM01240355_1372
ko:K02343	nms:NMBM01240355_1373
ko:K09747	nms:NMBM01240355_1374
ko:K03785	nms:NMBM01240355_1376
ko:K03656	nms:NMBM01240355_1377
ko:K02346	nms:NMBM01240355_1378
ko:K00528	nms:NMBM01240355_1380
ko:K00459	nms:NMBM01240355_1384
ko:K09926	nms:NMBM01240355_1385
ko:K00615	nms:NMBM01240355_1387
ko:K01524	nms:NMBM01240355_1399
ko:K01867	nms:NMBM01240355_1402
ko:K03695	nms:NMBM01240355_1403
ko:K14260	nms:NMBM01240355_1404
ko:K01821	nms:NMBM01240355_1405
ko:K00260	nms:NMBM01240355_1407
ko:K01091	nms:NMBM01240355_1408
ko:K03565	nms:NMBM01240355_1409
ko:K02909	nms:NMBM01240355_0941
ko:K00297	nms:NMBM01240355_0942
ko:K00549	nms:NMBM01240355_0943
ko:K00382	nms:NMBM01240355_0945
ko:K00242	nms:NMBM01240355_0947
ko:K00239	nms:NMBM01240355_0948
ko:K00240	nms:NMBM01240355_0949
ko:K09159	nms:NMBM01240355_0950
ko:K01647	nms:NMBM01240355_0951
ko:K00164	nms:NMBM01240355_0952
ko:K00658	nms:NMBM01240355_0953
ko:K00382	nms:NMBM01240355_0954
ko:K01903	nms:NMBM01240355_0956
ko:K01902	nms:NMBM01240355_0957
ko:K03701	nms:NMBM01240355_0960
ko:K01613	nms:NMBM01240355_0961
ko:K00766	nms:NMBM01240355_0964
ko:K03300	nms:NMBM01240355_1705
ko:K08301	nms:NMBM01240355_1708
ko:K03071	nms:NMBM01240355_1710
ko:K03655	nms:NMBM01240355_1711
ko:K00145	nms:NMBM01240355_1712
ko:K15125	nms:NMBM01240355_1722
ko:K00789	nms:NMBM01240355_1725
ko:K02517	nms:NMBM01240355_1726
ko:K07399	nms:NMBM01240355_1729
ko:K03978	nms:NMBM01240355_1731
ko:K05366	nms:NMBM01240355_1732
ko:K02662	nms:NMBM01240355_1733
ko:K02666	nms:NMBM01240355_1737
ko:K00891	nms:NMBM01240355_1738
ko:K01735	nms:NMBM01240355_1739
ko:K07738	nms:NMBM01240355_1741
ko:K11752	nms:NMBM01240355_1742
ko:K18842	nms:NMBM01240355_0914
ko:K00835	nms:NMBM01240355_1751
ko:K07053	nms:NMBM01240355_1752
ko:K09001	nms:NMBM01240355_0385
ko:K03306	nms:NMBM01240355_0386
ko:K13634	nms:NMBM01240355_0389
ko:K00946	nms:NMBM01240355_0391
ko:K01095	nms:NMBM01240355_0392
ko:K00278	nms:NMBM01240355_0399
ko:K03517	nms:NMBM01240355_0400
ko:K00767	nms:NMBM01240355_0402
ko:K01142	nms:NMBM01240355_0404
ko:K13821	nms:NMBM01240355_0409
ko:K07391	nms:NMBM01240355_0412
ko:K03673	nms:NMBM01240355_0414
ko:K06153	nms:NMBM01240355_0415
ko:K03925	nms:NMBM01240355_0419
ko:K03438	nms:NMBM01240355_0420
ko:K03586	nms:NMBM01240355_0421
ko:K03587	nms:NMBM01240355_0422
ko:K01928	nms:NMBM01240355_0423
ko:K07673	nms:NMBM01240355_1168
ko:K01933	nms:NMBM01240355_1170
ko:K14652	nms:NMBM01240355_1175
ko:K07478	nms:NMBM01240355_1177
ko:K01733	nms:NMBM01240355_1182
ko:K00528	nms:NMBM01240355_1184
ko:K03665	nms:NMBM01240355_1186
ko:K09765	nms:NMBM01240355_1188
ko:K03630	nms:NMBM01240355_1189
ko:K01919	nms:NMBM01240355_1190
ko:K01703	nms:NMBM01240355_1191
ko:K01704	nms:NMBM01240355_1193
ko:K00052	nms:NMBM01240355_1195
ko:K01744	nms:NMBM01240355_1197
ko:K06980	nms:NMBM01240355_1202
ko:K14058	nms:NMBM01240355_1203
ko:K09823	nms:NMBM01240355_1208
ko:K00865	nms:NMBM01240355_1210
ko:K09795	nms:NMBM01240355_1215
ko:K00954	nms:NMBM01240355_1954
ko:K00783	nms:NMBM01240355_1957
ko:K09710	nms:NMBM01240355_1958
ko:K00969	nms:NMBM01240355_1959
ko:K01673	nms:NMBM01240355_1960
ko:K02063	nms:NMBM01240355_1961
ko:K02204	nms:NMBM01240355_1964
ko:K03835	nms:NMBM01240355_1966
ko:K03273	nms:NMBM01240355_1967
ko:K00655	nms:NMBM01240355_1968
ko:K07043	nms:NMBM01240355_1969
ko:K06173	nms:NMBM01240355_1971
ko:K03147	nms:NMBM01240355_1975
ko:K00760	nms:NMBM01240355_1982
ko:K09760	nms:NMBM01240355_1985
ko:K00413	nms:NMBM01240355_1986
ko:K00412	nms:NMBM01240355_1987
ko:K00411	nms:NMBM01240355_1988
ko:K03576	nms:NMBM01240355_1990
ko:K02996	nms:NMBM01240355_1991
ko:K02871	nms:NMBM01240355_1992
ko:K09888	nms:NMBM01240355_1993
ko:K00057	nms:NMBM01240355_1995
ko:K01595	nms:NMBM01240355_1996
ko:K01873	nms:NMBM01240355_0176
ko:K07238	nms:NMBM01240355_0177
ko:K00285	nms:NMBM01240355_0178
ko:K03310	nms:NMBM01240355_0179
ko:K00677	nms:NMBM01240355_0180
ko:K02372	nms:NMBM01240355_0182
ko:K02536	nms:NMBM01240355_0183
ko:K06142	nms:NMBM01240355_0184
ko:K07277	nms:NMBM01240355_0185
ko:K11749	nms:NMBM01240355_0186
ko:K00099	nms:NMBM01240355_0187
ko:K00981	nms:NMBM01240355_0188
ko:K00806	nms:NMBM01240355_0189
ko:K02838	nms:NMBM01240355_0190
ko:K03501	nms:NMBM01240355_0194
ko:K03470	nms:NMBM01240355_0196
ko:K03495	nms:NMBM01240355_0197
ko:K03310	nms:NMBM01240355_0198
ko:K00097	nms:NMBM01240355_0199
ko:K08300	nms:NMBM01240355_0201
ko:K00748	nms:NMBM01240355_0203
ko:K00215	nms:NMBM01240355_0205
ko:K06186	nms:NMBM01240355_0206
ko:K00684	nms:NMBM01240355_0208
ko:K00134	nms:NMBM01240355_0209
ko:K01752	nms:NMBM01240355_0217
ko:K02470	nms:NMBM01240355_0218
ko:K01414	nms:NMBM01240355_0220
ko:K03781	nms:NMBM01240355_0222
ko:K00325	nms:NMBM01240355_0973
ko:K00324	nms:NMBM01240355_0975
ko:K01079	nms:NMBM01240355_0976
ko:K00602	nms:NMBM01240355_0978
ko:K01448	nms:NMBM01240355_0982
ko:K03777	nms:NMBM01240355_1001
ko:K05541	nms:NMBM01240355_1003
ko:K02337	nms:NMBM01240355_1755
ko:K01091	nms:NMBM01240355_1765
ko:K03527	nms:NMBM01240355_1766
ko:K03101	nms:NMBM01240355_1767
ko:K01870	nms:NMBM01240355_1768
ko:K11753	nms:NMBM01240355_1769
ko:K01866	nms:NMBM01240355_1770
ko:K06942	nms:NMBM01240355_1772
ko:K01938	nms:NMBM01240355_1773
ko:K01956	nms:NMBM01240355_1782
ko:K01955	nms:NMBM01240355_1787
ko:K03923	nms:NMBM01240355_1789
ko:K07568	nms:NMBM01240355_1790
ko:K02160	nms:NMBM01240355_1791
ko:K01961	nms:NMBM01240355_1792
ko:K02687	nms:NMBM01240355_1793
ko:K13288	nms:NMBM01240355_1794
ko:K01845	nms:NMBM01240355_1795
ko:K06168	nms:NMBM01240355_1796
ko:K01662	nms:NMBM01240355_1797
ko:K03733	nms:NMBM01240355_1798
ko:K01624	nms:NMBM01240355_1799
ko:K03634	nms:NMBM01240355_0624
ko:K11073	nms:NMBM01240355_0625
ko:K02837	nms:NMBM01240355_0628
ko:K02500	nms:NMBM01240355_0630
ko:K01814	nms:NMBM01240355_0631
ko:K02501	nms:NMBM01240355_0632
ko:K13788	nms:NMBM01240355_0633
ko:K02011	nms:NMBM01240355_0635
ko:K02012	nms:NMBM01240355_0636
ko:K01755	nms:NMBM01240355_0638
ko:K00963	nms:NMBM01240355_0639
ko:K08310	nms:NMBM01240355_0643
ko:K01972	nms:NMBM01240355_0664
ko:K03806	nms:NMBM01240355_0666
ko:K07082	nms:NMBM01240355_0667
ko:K00943	nms:NMBM01240355_0668
ko:K00029	nms:NMBM01240355_0669
ko:K06194	nms:NMBM01240355_1411
ko:K03787	nms:NMBM01240355_1412
ko:K06200	nms:NMBM01240355_1419
ko:K06181	nms:NMBM01240355_1421
ko:K00928	nms:NMBM01240355_1423
ko:K00989	nms:NMBM01240355_1424
ko:K05896	nms:NMBM01240355_1427
ko:K00763	nms:NMBM01240355_1428
ko:K01887	nms:NMBM01240355_1429
ko:K01807	nms:NMBM01240355_1433
ko:K01770	nms:NMBM01240355_1434
ko:K00991	nms:NMBM01240355_1435
ko:K00925	nms:NMBM01240355_1440
ko:K04084	nms:NMBM01240355_1442
ko:K03775	nms:NMBM01240355_1445
ko:K03664	nms:NMBM01240355_1449
ko:K01929	nms:NMBM01240355_0425
ko:K01000	nms:NMBM01240355_0427
ko:K01925	nms:NMBM01240355_0429
ko:K03588	nms:NMBM01240355_0430
ko:K02563	nms:NMBM01240355_0431
ko:K01924	nms:NMBM01240355_0432
ko:K01921	nms:NMBM01240355_0433
ko:K03589	nms:NMBM01240355_0434
ko:K03590	nms:NMBM01240355_0435
ko:K03531	nms:NMBM01240355_0436
ko:K06901	nms:NMBM01240355_0437
ko:K00925	nms:NMBM01240355_0444
ko:K13771	nms:NMBM01240355_0446
ko:K07234	nms:NMBM01240355_0448
ko:K07552	nms:NMBM01240355_0453
ko:K14170	nms:NMBM01240355_0454
ko:K03584	nms:NMBM01240355_0455
ko:K03474	nms:NMBM01240355_0456
ko:K07090	nms:NMBM01240355_0459
ko:K00997	nms:NMBM01240355_0460
ko:K07444	nms:NMBM01240355_0463
ko:K01448	nms:NMBM01240355_0465
ko:K06925	nms:NMBM01240355_0466
ko:K01776	nms:NMBM01240355_0467
ko:K02968	nms:NMBM01240355_0471
ko:K01058	nms:NMBM01240355_0472
ko:K02168	nms:NMBM01240355_1218
ko:K03723	nms:NMBM01240355_1223
ko:K01579	nms:NMBM01240355_1224
ko:K01627	nms:NMBM01240355_1225
ko:K01689	nms:NMBM01240355_1227
ko:K05589	nms:NMBM01240355_1228
ko:K11107	nms:NMBM01240355_1229
ko:K00655	nms:NMBM01240355_1234
ko:K08307	nms:NMBM01240355_1237
ko:K00945	nms:NMBM01240355_1240
ko:K02945	nms:NMBM01240355_1241
ko:K05788	nms:NMBM01240355_1242
ko:K01070	nms:NMBM01240355_1245
ko:K06916	nms:NMBM01240355_1246
ko:K00940	nms:NMBM01240355_1247
ko:K06941	nms:NMBM01240355_1248
ko:K02656	nms:NMBM01240355_1249
ko:K01358	nms:NMBM01240355_1251
ko:K03545	nms:NMBM01240355_1252
ko:K03466	nms:NMBM01240355_1253
ko:K02939	nms:NMBM01240355_1259
ko:K02963	nms:NMBM01240355_1260
ko:K02686	nms:NMBM01240355_1261
ko:K02990	nms:NMBM01240355_1262
ko:K00384	nms:NMBM01240355_1263
ko:K03745	nms:NMBM01240355_1998
ko:K07084	nms:NMBM01240355_1999
ko:K02493	nms:NMBM01240355_2000
ko:K03568	nms:NMBM01240355_2001
ko:K00788	nms:NMBM01240355_2004
ko:K03154	nms:NMBM01240355_2005
ko:K03149	nms:NMBM01240355_2006
ko:K01491	nms:NMBM01240355_2013
ko:K00133	nms:NMBM01240355_2015
ko:K01142	nms:NMBM01240355_2018
ko:K01883	nms:NMBM01240355_2019
ko:K03979	nms:NMBM01240355_2023
ko:K07056	nms:NMBM01240355_2026
ko:K07460	nms:NMBM01240355_2027
ko:K03271	nms:NMBM01240355_2028
ko:K01265	nms:NMBM01240355_2031
ko:K00116	nms:NMBM01240355_2034
ko:K02967	nms:NMBM01240355_2038
ko:K02357	nms:NMBM01240355_2039
ko:K09903	nms:NMBM01240355_2040
ko:K03453	nms:NMBM01240355_0226
ko:K09458	nms:NMBM01240355_0227
ko:K02078	nms:NMBM01240355_0228
ko:K00982	nms:NMBM01240355_0235
ko:K07043	nms:NMBM01240355_0237
ko:K07160	nms:NMBM01240355_0239
ko:K03657	nms:NMBM01240355_0242
ko:K00330	nms:NMBM01240355_0247
ko:K00331	nms:NMBM01240355_0248
ko:K00332	nms:NMBM01240355_0249
ko:K00333	nms:NMBM01240355_0250
ko:K00334	nms:NMBM01240355_0251
ko:K00337	nms:NMBM01240355_0255
ko:K00338	nms:NMBM01240355_0256
ko:K00339	nms:NMBM01240355_0257
ko:K00340	nms:NMBM01240355_0258
ko:K04095	nms:NMBM01240355_0259
ko:K00341	nms:NMBM01240355_0261
ko:K00342	nms:NMBM01240355_0262
ko:K00343	nms:NMBM01240355_0263
ko:K00795	nms:NMBM01240355_0265
ko:K03602	nms:NMBM01240355_0266
ko:K06949	nms:NMBM01240355_0267
ko:K03550	nms:NMBM01240355_0269
ko:K03642	nms:NMBM01240355_0271
ko:K03216	nms:NMBM01240355_0272
ko:K02048	nms:NMBM01240355_1019
ko:K01589	nms:NMBM01240355_1021
ko:K01657	nms:NMBM01240355_1023
ko:K15738	nms:NMBM01240355_1025
ko:K03975	nms:NMBM01240355_1026
ko:K00600	nms:NMBM01240355_1027
ko:K09794	nms:NMBM01240355_1029
ko:K03841	nms:NMBM01240355_1030
ko:K07115	nms:NMBM01240355_1031
ko:K08591	nms:NMBM01240355_1032
ko:K01633	nms:NMBM01240355_1033
ko:K06199	nms:NMBM01240355_1036
ko:K03466	nms:NMBM01240355_1038
ko:K00147	nms:NMBM01240355_1039
ko:K00931	nms:NMBM01240355_1040
ko:K01649	nms:NMBM01240355_1041
ko:K07039	nms:NMBM01240355_1042
ko:K13292	nms:NMBM01240355_1043
ko:K00930	nms:NMBM01240355_1045
ko:K10763	nms:NMBM01240355_1048
ko:K02471	nms:NMBM01240355_1049
ko:K01448	nms:NMBM01240355_1066
ko:K03789	nms:NMBM01240355_1802
ko:K00762	nms:NMBM01240355_1804
ko:K14682	nms:NMBM01240355_1806
ko:K00573	nms:NMBM01240355_1814
ko:K01803	nms:NMBM01240355_1816
ko:K03075	nms:NMBM01240355_1817
ko:K07726	nms:NMBM01240355_1820
ko:K01869	nms:NMBM01240355_1825
ko:K00937	nms:NMBM01240355_1828
ko:K02338	nms:NMBM01240355_1829
ko:K02313	nms:NMBM01240355_1830
ko:K02914	nms:NMBM01240355_1831
ko:K03536	nms:NMBM01240355_1832
ko:K08998	nms:NMBM01240355_1833
ko:K03217	nms:NMBM01240355_1834
ko:K07056	nms:NMBM01240355_1835
ko:K07040	nms:NMBM01240355_1837
ko:K02911	nms:NMBM01240355_1838
ko:K07101	nms:NMBM01240355_1839
ko:K03621	nms:NMBM01240355_1840
ko:K00648	nms:NMBM01240355_1844
