ko:K11720	syq:SYNPCCP_2878
ko:K02992	syq:SYNPCCP_1747
ko:K02950	syq:SYNPCCP_1748
ko:K01945	syq:SYNPCCP_1750
ko:K01808	syq:SYNPCCP_1752
ko:K09932	syq:SYNPCCP_1755
ko:K07267	syq:SYNPCCP_1756
ko:K00958	syq:SYNPCCP_1759
ko:K10960	syq:SYNPCCP_1763
ko:K00005	syq:SYNPCCP_1764
ko:K00111	syq:SYNPCCP_1775
ko:K00864	syq:SYNPCCP_1778
ko:K03437	syq:SYNPCCP_1779
ko:K04651	syq:SYNPCCP_1781
ko:K00748	syq:SYNPCCP_1783
ko:K02888	syq:SYNPCCP_1784
ko:K02899	syq:SYNPCCP_1785
ko:K08641	syq:SYNPCCP_1786
ko:K01649	syq:SYNPCCP_1787
ko:K13821	syq:SYNPCCP_1793
ko:K01902	syq:SYNPCCP_1804
ko:K01950	syq:SYNPCCP_1810
ko:K03284	syq:SYNPCCP_2780
ko:K00262	syq:SYNPCCP_2791
ko:K09457	syq:SYNPCCP_2792
ko:K00097	syq:SYNPCCP_2797
ko:K00773	syq:SYNPCCP_2799
ko:K01000	syq:SYNPCCP_2803
ko:K03737	syq:SYNPCCP_2809
ko:K02020	syq:SYNPCCP_2812
ko:K06940	syq:SYNPCCP_2816
ko:K00696	syq:SYNPCCP_2817
ko:K03408	syq:SYNPCCP_2819
ko:K01924	syq:SYNPCCP_2928
ko:K00075	syq:SYNPCCP_2929
ko:K03594	syq:SYNPCCP_2931
ko:K06187	syq:SYNPCCP_2933
ko:K06946	syq:SYNPCCP_2936
ko:K02048	syq:SYNPCCP_2945
ko:K02046	syq:SYNPCCP_2947
ko:K02047	syq:SYNPCCP_2948
ko:K02045	syq:SYNPCCP_2949
ko:K07240	syq:SYNPCCP_2951
ko:K02355	syq:SYNPCCP_2957
ko:K00053	syq:SYNPCCP_2960
ko:K01814	syq:SYNPCCP_2962
ko:K00278	syq:SYNPCCP_2963
ko:K02698	syq:SYNPCCP_2965
ko:K03086	syq:SYNPCCP_2966
ko:K09919	syq:SYNPCCP_2969
ko:K00928	syq:SYNPCCP_2970
ko:K01414	syq:SYNPCCP_2972
ko:K00286	syq:SYNPCCP_2973
ko:K01703	syq:SYNPCCP_3030
ko:K01689	syq:SYNPCCP_3041
ko:K01962	syq:SYNPCCP_3046
ko:K08482	syq:SYNPCCP_3054
ko:K02699	syq:SYNPCCP_3065
ko:K02563	syq:SYNPCCP_3067
ko:K07447	syq:SYNPCCP_3072
ko:K01524	syq:SYNPCCP_3073
ko:K01778	syq:SYNPCCP_3077
ko:K02016	syq:SYNPCCP_0032
ko:K02016	syq:SYNPCCP_0033
ko:K04654	syq:SYNPCCP_0044
ko:K00067	syq:SYNPCCP_0045
ko:K00703	syq:SYNPCCP_0047
ko:K15256	syq:SYNPCCP_0052
ko:K05946	syq:SYNPCCP_0056
ko:K02654	syq:SYNPCCP_0064
ko:K00215	syq:SYNPCCP_0066
ko:K03671	syq:SYNPCCP_0067
ko:K01952	syq:SYNPCCP_0068
ko:K00942	syq:SYNPCCP_0072
ko:K07090	syq:SYNPCCP_0075
ko:K08300	syq:SYNPCCP_0080
ko:K03470	syq:SYNPCCP_0081
ko:K00962	syq:SYNPCCP_0083
ko:K09774	syq:SYNPCCP_0140
ko:K06861	syq:SYNPCCP_0141
ko:K05895	syq:SYNPCCP_0142
ko:K02698	syq:SYNPCCP_0143
ko:K05573	syq:SYNPCCP_0145
ko:K03564	syq:SYNPCCP_0150
ko:K00820	syq:SYNPCCP_0151
ko:K03797	syq:SYNPCCP_0155
ko:K02115	syq:SYNPCCP_0158
ko:K02111	syq:SYNPCCP_0159
ko:K02113	syq:SYNPCCP_0160
ko:K02109	syq:SYNPCCP_0161
ko:K02109	syq:SYNPCCP_0162
ko:K02110	syq:SYNPCCP_0163
ko:K02108	syq:SYNPCCP_0164
ko:K03924	syq:SYNPCCP_0169
ko:K02065	syq:SYNPCCP_0173
ko:K00950	syq:SYNPCCP_0175
ko:K00382	syq:SYNPCCP_0179
ko:K03186	syq:SYNPCCP_0182
ko:K06207	syq:SYNPCCP_0188
ko:K07080	syq:SYNPCCP_0189
ko:K00761	syq:SYNPCCP_0192
ko:K03524	syq:SYNPCCP_0255
ko:K03183	syq:SYNPCCP_0257
ko:K00031	syq:SYNPCCP_0259
ko:K02221	syq:SYNPCCP_0265
ko:K02012	syq:SYNPCCP_0266
ko:K00554	syq:SYNPCCP_0267
ko:K00012	syq:SYNPCCP_0273
ko:K03185	syq:SYNPCCP_0274
ko:K06199	syq:SYNPCCP_0275
ko:K11472	syq:SYNPCCP_0281
ko:K13292	syq:SYNPCCP_0285
ko:K00228	syq:SYNPCCP_0287
ko:K02902	syq:SYNPCCP_0290
ko:K07243	syq:SYNPCCP_0294
ko:K02338	syq:SYNPCCP_0295
ko:K01695	syq:SYNPCCP_0296
ko:K06180	syq:SYNPCCP_0412
ko:K13993	syq:SYNPCCP_0420
ko:K03644	syq:SYNPCCP_0423
ko:K02535	syq:SYNPCCP_0431
ko:K03798	syq:SYNPCCP_0434
ko:K07075	syq:SYNPCCP_0440
ko:K02224	syq:SYNPCCP_0446
ko:K02066	syq:SYNPCCP_0453
ko:K03116	syq:SYNPCCP_0454
ko:K02911	syq:SYNPCCP_0458
ko:K00208	syq:SYNPCCP_0460
ko:K02708	syq:SYNPCCP_0518
ko:K00931	syq:SYNPCCP_0521
ko:K02469	syq:SYNPCCP_0527
ko:K09933	syq:SYNPCCP_0529
ko:K09817	syq:SYNPCCP_0536
ko:K09816	syq:SYNPCCP_0537
ko:K05516	syq:SYNPCCP_0547
ko:K04043	syq:SYNPCCP_0548
ko:K00600	syq:SYNPCCP_0549
ko:K01448	syq:SYNPCCP_0556
ko:K03587	syq:SYNPCCP_0568
ko:K11473	syq:SYNPCCP_0570
ko:K01147	syq:SYNPCCP_0628
ko:K03798	syq:SYNPCCP_0630
ko:K04758	syq:SYNPCCP_0632
ko:K04759	syq:SYNPCCP_0633
ko:K09775	syq:SYNPCCP_0636
ko:K06999	syq:SYNPCCP_0643
ko:K06381	syq:SYNPCCP_0644
ko:K01991	syq:SYNPCCP_0649
ko:K01875	syq:SYNPCCP_0652
ko:K02337	syq:SYNPCCP_0666
ko:K05567	syq:SYNPCCP_0675
ko:K05567	syq:SYNPCCP_0677
ko:K09458	syq:SYNPCCP_0736
ko:K02078	syq:SYNPCCP_0737
ko:K03594	syq:SYNPCCP_0740
ko:K02897	syq:SYNPCCP_0742
ko:K01939	syq:SYNPCCP_0743
ko:K02909	syq:SYNPCCP_0745
ko:K02996	syq:SYNPCCP_0746
ko:K02871	syq:SYNPCCP_0747
ko:K06173	syq:SYNPCCP_0748
ko:K02879	syq:SYNPCCP_0749
ko:K03040	syq:SYNPCCP_0750
ko:K02948	syq:SYNPCCP_0751
ko:K02952	syq:SYNPCCP_0752
ko:K02919	syq:SYNPCCP_0753
ko:K02518	syq:SYNPCCP_0754
ko:K03076	syq:SYNPCCP_0756
ko:K02876	syq:SYNPCCP_0757
ko:K02988	syq:SYNPCCP_0758
ko:K02881	syq:SYNPCCP_0759
ko:K02933	syq:SYNPCCP_0760
ko:K02994	syq:SYNPCCP_0761
ko:K02931	syq:SYNPCCP_0762
ko:K02895	syq:SYNPCCP_0763
ko:K02874	syq:SYNPCCP_0764
ko:K02961	syq:SYNPCCP_0765
ko:K02904	syq:SYNPCCP_0766
ko:K02878	syq:SYNPCCP_0767
ko:K02982	syq:SYNPCCP_0768
ko:K02890	syq:SYNPCCP_0769
ko:K02965	syq:SYNPCCP_0770
ko:K02886	syq:SYNPCCP_0771
ko:K02892	syq:SYNPCCP_0772
ko:K02926	syq:SYNPCCP_0773
ko:K02906	syq:SYNPCCP_0774
ko:K04047	syq:SYNPCCP_0775
ko:K00930	syq:SYNPCCP_0781
ko:K03188	syq:SYNPCCP_0782
ko:K02639	syq:SYNPCCP_0853
ko:K03821	syq:SYNPCCP_0855
ko:K05577	syq:SYNPCCP_0860
ko:K02689	syq:SYNPCCP_0862
ko:K02690	syq:SYNPCCP_0863
ko:K00162	syq:SYNPCCP_0870
ko:K00865	syq:SYNPCCP_0873
ko:K01738	syq:SYNPCCP_0875
ko:K00036	syq:SYNPCCP_0876
ko:K03701	syq:SYNPCCP_0877
ko:K03530	syq:SYNPCCP_0883
ko:K03654	syq:SYNPCCP_0886
ko:K02188	syq:SYNPCCP_0888
ko:K01770	syq:SYNPCCP_0891
ko:K03327	syq:SYNPCCP_0892
ko:K03088	syq:SYNPCCP_0896
ko:K07089	syq:SYNPCCP_0898
ko:K03116	syq:SYNPCCP_0900
ko:K03798	syq:SYNPCCP_0902
ko:K02191	syq:SYNPCCP_1012
ko:K00981	syq:SYNPCCP_1013
ko:K03282	syq:SYNPCCP_1018
ko:K03550	syq:SYNPCCP_1019
ko:K02437	syq:SYNPCCP_1025
ko:K13747	syq:SYNPCCP_1027
ko:K00134	syq:SYNPCCP_1034
ko:K00684	syq:SYNPCCP_1036
ko:K03644	syq:SYNPCCP_1037
ko:K03703	syq:SYNPCCP_1045
ko:K01448	syq:SYNPCCP_1046
ko:K07106	syq:SYNPCCP_1050
ko:K02634	syq:SYNPCCP_1052
ko:K02709	syq:SYNPCCP_1054
ko:K09780	syq:SYNPCCP_1056
ko:K01890	syq:SYNPCCP_1814
ko:K01595	syq:SYNPCCP_1817
ko:K00767	syq:SYNPCCP_1820
ko:K06042	syq:SYNPCCP_1823
ko:K01623	syq:SYNPCCP_1828
ko:K15738	syq:SYNPCCP_1836
ko:K06442	syq:SYNPCCP_1838
ko:K00991	syq:SYNPCCP_1842
ko:K03841	syq:SYNPCCP_1843
ko:K11145	syq:SYNPCCP_1846
ko:K03218	syq:SYNPCCP_1847
ko:K01883	syq:SYNPCCP_1849
ko:K06287	syq:SYNPCCP_1850
ko:K00464	syq:SYNPCCP_1853
ko:K06891	syq:SYNPCCP_1854
ko:K05349	syq:SYNPCCP_1859
ko:K01633	syq:SYNPCCP_1861
ko:K06180	syq:SYNPCCP_1865
ko:K02669	syq:SYNPCCP_1868
ko:K03060	syq:SYNPCCP_1871
ko:K03664	syq:SYNPCCP_1874
ko:K03695	syq:SYNPCCP_1880
ko:K00855	syq:SYNPCCP_1882
ko:K02641	syq:SYNPCCP_1883
ko:K08902	syq:SYNPCCP_1886
ko:K03685	syq:SYNPCCP_1887
ko:K02069	syq:SYNPCCP_1888
ko:K00995	syq:SYNPCCP_1892
ko:K03631	syq:SYNPCCP_1894
ko:K09803	syq:SYNPCCP_1898
ko:K02716	syq:SYNPCCP_1901
ko:K00800	syq:SYNPCCP_1904
ko:K01756	syq:SYNPCCP_1908
ko:K01429	syq:SYNPCCP_1910
ko:K02341	syq:SYNPCCP_1913
ko:K04485	syq:SYNPCCP_1915
ko:K03625	syq:SYNPCCP_1919
ko:K04066	syq:SYNPCCP_1921
ko:K08972	syq:SYNPCCP_1931
ko:K02959	syq:SYNPCCP_1935
ko:K06960	syq:SYNPCCP_1936
ko:K01915	syq:SYNPCCP_1937
ko:K06925	syq:SYNPCCP_1942
ko:K00281	syq:SYNPCCP_1943
ko:K00927	syq:SYNPCCP_1948
ko:K01872	syq:SYNPCCP_1950
ko:K00858	syq:SYNPCCP_1957
ko:K04751	syq:SYNPCCP_1960
ko:K01817	syq:SYNPCCP_1963
ko:K01465	syq:SYNPCCP_1966
ko:K02639	syq:SYNPCCP_1977
ko:K14605	syq:SYNPCCP_1982
ko:K02838	syq:SYNPCCP_1984
ko:K09903	syq:SYNPCCP_1985
ko:K03695	syq:SYNPCCP_1987
ko:K02669	syq:SYNPCCP_1991
ko:K01358	syq:SYNPCCP_1993
ko:K01358	syq:SYNPCCP_1994
ko:K02227	syq:SYNPCCP_2003
ko:K02836	syq:SYNPCCP_2004
ko:K03281	syq:SYNPCCP_2005
ko:K01790	syq:SYNPCCP_2017
ko:K00161	syq:SYNPCCP_2019
ko:K01142	syq:SYNPCCP_2021
ko:K00940	syq:SYNPCCP_2023
ko:K08963	syq:SYNPCCP_2028
ko:K00655	syq:SYNPCCP_2029
ko:K08482	syq:SYNPCCP_2034
ko:K15633	syq:SYNPCCP_2038
ko:K03075	syq:SYNPCCP_2039
ko:K00627	syq:SYNPCCP_2041
ko:K03216	syq:SYNPCCP_2047
ko:K05808	syq:SYNPCCP_2049
ko:K03801	syq:SYNPCCP_2050
ko:K00703	syq:SYNPCCP_2052
ko:K02034	syq:SYNPCCP_2059
ko:K00793	syq:SYNPCCP_2062
ko:K02011	syq:SYNPCCP_2064
ko:K09928	syq:SYNPCCP_2067
ko:K06962	syq:SYNPCCP_2068
ko:K02691	syq:SYNPCCP_2071
ko:K07137	syq:SYNPCCP_2089
ko:K00605	syq:SYNPCCP_2093
ko:K04043	syq:SYNPCCP_2094
ko:K13542	syq:SYNPCCP_2098
ko:K03584	syq:SYNPCCP_2105
ko:K00762	syq:SYNPCCP_2112
ko:K01649	syq:SYNPCCP_2114
ko:K06901	syq:SYNPCCP_2116
ko:K06178	syq:SYNPCCP_2117
ko:K07015	syq:SYNPCCP_2118
ko:K07636	syq:SYNPCCP_2125
ko:K01963	syq:SYNPCCP_2126
ko:K00943	syq:SYNPCCP_2133
ko:K01589	syq:SYNPCCP_3136
ko:K00926	syq:SYNPCCP_3145
ko:K00602	syq:SYNPCCP_3153
ko:K00384	syq:SYNPCCP_3158
ko:K02337	syq:SYNPCCP_3162
ko:K03596	syq:SYNPCCP_3163
ko:K11755	syq:SYNPCCP_3167
ko:K02012	syq:SYNPCCP_1387
ko:K01425	syq:SYNPCCP_1390
ko:K02276	syq:SYNPCCP_1395
ko:K04083	syq:SYNPCCP_1397
ko:K03782	syq:SYNPCCP_1398
ko:K07399	syq:SYNPCCP_1399
ko:K01652	syq:SYNPCCP_1400
ko:K01652	syq:SYNPCCP_1407
ko:K11532	syq:SYNPCCP_1411
ko:K06886	syq:SYNPCCP_1414
ko:K03110	syq:SYNPCCP_1419
ko:K08591	syq:SYNPCCP_1422
ko:K00759	syq:SYNPCCP_1424
ko:K03453	syq:SYNPCCP_1427
ko:K01881	syq:SYNPCCP_1431
ko:K07040	syq:SYNPCCP_1549
ko:K03800	syq:SYNPCCP_1552
ko:K03820	syq:SYNPCCP_1555
ko:K01783	syq:SYNPCCP_1561
ko:K02357	syq:SYNPCCP_1570
ko:K02967	syq:SYNPCCP_1571
ko:K07300	syq:SYNPCCP_1572
ko:K03182	syq:SYNPCCP_0301
ko:K13541	syq:SYNPCCP_0302
ko:K02956	syq:SYNPCCP_0306
ko:K07089	syq:SYNPCCP_0307
ko:K00789	syq:SYNPCCP_0311
ko:K05539	syq:SYNPCCP_0312
ko:K02520	syq:SYNPCCP_0314
ko:K00978	syq:SYNPCCP_0325
ko:K01709	syq:SYNPCCP_0326
ko:K01790	syq:SYNPCCP_0327
ko:K01955	syq:SYNPCCP_0334
ko:K01711	syq:SYNPCCP_0348
ko:K01494	syq:SYNPCCP_1573
ko:K06876	syq:SYNPCCP_1582
ko:K02066	syq:SYNPCCP_1585
ko:K01673	syq:SYNPCCP_1590
ko:K00640	syq:SYNPCCP_1591
ko:K01810	syq:SYNPCCP_1592
ko:K10255	syq:SYNPCCP_1593
ko:K01929	syq:SYNPCCP_1595
ko:K02939	syq:SYNPCCP_1597
ko:K02065	syq:SYNPCCP_0474
ko:K00057	syq:SYNPCCP_0477
ko:K03823	syq:SYNPCCP_0478
ko:K01915	syq:SYNPCCP_0479
ko:K01091	syq:SYNPCCP_0484
ko:K05795	syq:SYNPCCP_0487
ko:K03190	syq:SYNPCCP_0492
ko:K06978	syq:SYNPCCP_0497
ko:K07390	syq:SYNPCCP_0502
ko:K09747	syq:SYNPCCP_0503
ko:K00013	syq:SYNPCCP_0504
ko:K01428	syq:SYNPCCP_0507
ko:K01662	syq:SYNPCCP_0514
ko:K06168	syq:SYNPCCP_0578
ko:K01070	syq:SYNPCCP_0588
ko:K01866	syq:SYNPCCP_0592
ko:K01866	syq:SYNPCCP_0595
ko:K03100	syq:SYNPCCP_0608
ko:K00425	syq:SYNPCCP_0610
ko:K00426	syq:SYNPCCP_0611
ko:K03439	syq:SYNPCCP_0612
ko:K00925	syq:SYNPCCP_0613
ko:K01061	syq:SYNPCCP_0614
ko:K05566	syq:SYNPCCP_0683
ko:K00645	syq:SYNPCCP_0693
ko:K00969	syq:SYNPCCP_0697
ko:K00796	syq:SYNPCCP_0699
ko:K12573	syq:SYNPCCP_0705
ko:K01755	syq:SYNPCCP_0708
ko:K02275	syq:SYNPCCP_0712
ko:K02276	syq:SYNPCCP_0714
ko:K03671	syq:SYNPCCP_0715
ko:K04651	syq:SYNPCCP_0721
ko:K01869	syq:SYNPCCP_0726
ko:K03312	syq:SYNPCCP_0727
ko:K00615	syq:SYNPCCP_0735
ko:K03046	syq:SYNPCCP_0789
ko:K03043	syq:SYNPCCP_0790
ko:K03424	syq:SYNPCCP_0791
ko:K02968	syq:SYNPCCP_0792
ko:K03657	syq:SYNPCCP_0795
ko:K03529	syq:SYNPCCP_0796
ko:K04096	syq:SYNPCCP_0801
ko:K03572	syq:SYNPCCP_0805
ko:K02230	syq:SYNPCCP_0818
ko:K03786	syq:SYNPCCP_0823
ko:K06213	syq:SYNPCCP_0824
ko:K03215	syq:SYNPCCP_0830
ko:K01754	syq:SYNPCCP_0831
ko:K09772	syq:SYNPCCP_0832
ko:K01809	syq:SYNPCCP_0833
ko:K09803	syq:SYNPCCP_0834
ko:K04078	syq:SYNPCCP_0835
ko:K04077	syq:SYNPCCP_0836
ko:K01736	syq:SYNPCCP_0840
ko:K02935	syq:SYNPCCP_0841
ko:K02864	syq:SYNPCCP_0842
ko:K02863	syq:SYNPCCP_0843
ko:K02867	syq:SYNPCCP_0844
ko:K02601	syq:SYNPCCP_0845
ko:K03073	syq:SYNPCCP_0846
ko:K02884	syq:SYNPCCP_0847
ko:K03787	syq:SYNPCCP_0905
ko:K01462	syq:SYNPCCP_0906
ko:K04567	syq:SYNPCCP_0908
ko:K03531	syq:SYNPCCP_0921
ko:K03589	syq:SYNPCCP_0922
ko:K03797	syq:SYNPCCP_0923
ko:K03438	syq:SYNPCCP_0925
ko:K03187	syq:SYNPCCP_0927
ko:K03657	syq:SYNPCCP_0930
ko:K08999	syq:SYNPCCP_0931
ko:K07071	syq:SYNPCCP_0932
ko:K01923	syq:SYNPCCP_0936
ko:K07277	syq:SYNPCCP_0937
ko:K02837	syq:SYNPCCP_0938
ko:K06955	syq:SYNPCCP_0941
ko:K00239	syq:SYNPCCP_0944
ko:K02503	syq:SYNPCCP_0946
ko:K09005	syq:SYNPCCP_0948
ko:K02192	syq:SYNPCCP_0949
ko:K01920	syq:SYNPCCP_0958
ko:K07088	syq:SYNPCCP_1082
ko:K00766	syq:SYNPCCP_1085
ko:K06911	syq:SYNPCCP_1091
ko:K07456	syq:SYNPCCP_1093
ko:K01921	syq:SYNPCCP_1100
ko:K06891	syq:SYNPCCP_1102
ko:K02990	syq:SYNPCCP_1104
ko:K06871	syq:SYNPCCP_1107
ko:K03394	syq:SYNPCCP_1112
ko:K00872	syq:SYNPCCP_1114
ko:K03431	syq:SYNPCCP_1116
ko:K01733	syq:SYNPCCP_1181
ko:K10773	syq:SYNPCCP_1185
ko:K01669	syq:SYNPCCP_1189
ko:K01356	syq:SYNPCCP_1193
ko:K00240	syq:SYNPCCP_1194
ko:K09833	syq:SYNPCCP_1197
ko:K09834	syq:SYNPCCP_1198
ko:K03885	syq:SYNPCCP_1206
ko:K01448	syq:SYNPCCP_1207
ko:K03885	syq:SYNPCCP_1210
ko:K03789	syq:SYNPCCP_1212
ko:K01669	syq:SYNPCCP_1213
ko:K03088	syq:SYNPCCP_1216
ko:K03281	syq:SYNPCCP_1217
ko:K02313	syq:SYNPCCP_1224
ko:K00817	syq:SYNPCCP_1284
ko:K06188	syq:SYNPCCP_1286
ko:K03168	syq:SYNPCCP_1287
ko:K02687	syq:SYNPCCP_1300
ko:K13282	syq:SYNPCCP_1312
ko:K03802	syq:SYNPCCP_1313
ko:K03650	syq:SYNPCCP_1319
ko:K11754	syq:SYNPCCP_1322
ko:K02372	syq:SYNPCCP_1330
ko:K05979	syq:SYNPCCP_1331
ko:K01876	syq:SYNPCCP_1333
ko:K03621	syq:SYNPCCP_1440
ko:K00648	syq:SYNPCCP_1441
ko:K02717	syq:SYNPCCP_1442
ko:K07086	syq:SYNPCCP_1443
ko:K00858	syq:SYNPCCP_1445
ko:K04564	syq:SYNPCCP_1450
ko:K00052	syq:SYNPCCP_1451
ko:K02548	syq:SYNPCCP_1453
ko:K03665	syq:SYNPCCP_1456
ko:K07075	syq:SYNPCCP_1461
ko:K01255	syq:SYNPCCP_1462
ko:K07130	syq:SYNPCCP_1481
ko:K01698	syq:SYNPCCP_1490
ko:K01735	syq:SYNPCCP_1492
ko:K10206	syq:SYNPCCP_2238
ko:K03655	syq:SYNPCCP_2240
ko:K04773	syq:SYNPCCP_2241
ko:K01951	syq:SYNPCCP_2243
ko:K06153	syq:SYNPCCP_2245
ko:K02231	syq:SYNPCCP_2246
ko:K00973	syq:SYNPCCP_2251
ko:K01879	syq:SYNPCCP_2252
ko:K04094	syq:SYNPCCP_2255
ko:K03495	syq:SYNPCCP_2257
ko:K03798	syq:SYNPCCP_2264
ko:K01338	syq:SYNPCCP_2265
ko:K03118	syq:SYNPCCP_2266
ko:K01247	syq:SYNPCCP_2269
ko:K04077	syq:SYNPCCP_2274
ko:K09807	syq:SYNPCCP_2277
ko:K07107	syq:SYNPCCP_2282
ko:K02356	syq:SYNPCCP_2285
ko:K02160	syq:SYNPCCP_2286
ko:K00812	syq:SYNPCCP_2295
ko:K01647	syq:SYNPCCP_2296
ko:K08296	syq:SYNPCCP_2297
ko:K03154	syq:SYNPCCP_2300
ko:K01673	syq:SYNPCCP_2305
ko:K07395	syq:SYNPCCP_2306
ko:K01653	syq:SYNPCCP_2310
ko:K07042	syq:SYNPCCP_2312
ko:K00901	syq:SYNPCCP_2313
ko:K04040	syq:SYNPCCP_2315
ko:K07001	syq:SYNPCCP_2322
ko:K04043	syq:SYNPCCP_2325
