ko:K15039	sii:LD85_1697
ko:K03231	sii:LD85_2140
ko:K02946	sii:LD85_2141
ko:K02034	sii:LD85_3019
ko:K13057	sii:LD85_3027
ko:K00573	sii:LD85_3038
ko:K03707	sii:LD85_3039
ko:K01803	sii:LD85_3044
ko:K01647	sii:LD85_3047
ko:K01720	sii:LD85_3050
ko:K06206	sii:LD85_3064
ko:K04719	sii:LD85_3070
ko:K03789	sii:LD85_2149
ko:K13038	sii:LD85_2150
ko:K01937	sii:LD85_2192
ko:K04796	sii:LD85_2194
ko:K07332	sii:LD85_0119
ko:K07333	sii:LD85_0118
ko:K07991	sii:LD85_2259
ko:K03394	sii:LD85_0110
ko:K07143	sii:LD85_1482
ko:K07325	sii:LD85_0124
ko:K00024	sii:LD85_3051
ko:K00261	sii:LD85_0749
ko:K01895	sii:LD85_0753
ko:K05592	sii:LD85_0758
ko:K06920	sii:LD85_0781
ko:K03183	sii:LD85_0793
ko:K01649	sii:LD85_1356
ko:K09903	sii:LD85_1358
ko:K03106	sii:LD85_1363
ko:K03263	sii:LD85_1364
ko:K03166	sii:LD85_1366
ko:K03167	sii:LD85_1367
ko:K00809	sii:LD85_1368
ko:K03724	sii:LD85_1371
ko:K03170	sii:LD85_1373
ko:K03622	sii:LD85_1374
ko:K02435	sii:LD85_1380
ko:K00340	sii:LD85_2031
ko:K00339	sii:LD85_2032
ko:K00836	sii:LD85_2906
ko:K06940	sii:LD85_2920
ko:K06137	sii:LD85_2932
ko:K03799	sii:LD85_2937
ko:K01443	sii:LD85_2957
ko:K00627	sii:LD85_1007
ko:K00382	sii:LD85_1012
ko:K08368	sii:LD85_1034
ko:K01895	sii:LD85_1040
ko:K02616	sii:LD85_1042
ko:K07041	sii:LD85_1585
ko:K04796	sii:LD85_1588
ko:K02922	sii:LD85_1589
ko:K00797	sii:LD85_1590
ko:K01251	sii:LD85_1591
ko:K02889	sii:LD85_1595
ko:K03051	sii:LD85_1596
ko:K07572	sii:LD85_1597
ko:K02528	sii:LD85_1598
ko:K02984	sii:LD85_1601
ko:K04042	sii:LD85_1602
ko:K06942	sii:LD85_1603
ko:K02877	sii:LD85_1604
ko:K07581	sii:LD85_1605
ko:K03432	sii:LD85_1608
ko:K03679	sii:LD85_1610
ko:K11600	sii:LD85_1611
ko:K02921	sii:LD85_1613
ko:K04798	sii:LD85_1616
ko:K09154	sii:LD85_1621
ko:K00052	sii:LD85_1622
ko:K01870	sii:LD85_1623
ko:K09142	sii:LD85_1624
ko:K02906	sii:LD85_1625
ko:K02930	sii:LD85_1626
ko:K02892	sii:LD85_1627
ko:K02886	sii:LD85_1628
ko:K02965	sii:LD85_1629
ko:K02890	sii:LD85_1630
ko:K02982	sii:LD85_1631
ko:K02904	sii:LD85_1632
ko:K02961	sii:LD85_1634
ko:K02874	sii:LD85_1635
ko:K02895	sii:LD85_1636
ko:K02987	sii:LD85_1637
ko:K02931	sii:LD85_1638
ko:K00338	sii:LD85_2033
ko:K00337	sii:LD85_2034
ko:K00333	sii:LD85_2035
ko:K00332	sii:LD85_2036
ko:K00330	sii:LD85_2037
ko:K04564	sii:LD85_2044
ko:K03785	sii:LD85_2051
ko:K00800	sii:LD85_2052
ko:K00891	sii:LD85_2053
ko:K01736	sii:LD85_2054
ko:K00014	sii:LD85_2055
ko:K01735	sii:LD85_2056
ko:K00615	sii:LD85_2059
ko:K00615	sii:LD85_2060
ko:K02866	sii:LD85_2065
ko:K07561	sii:LD85_2066
ko:K07573	sii:LD85_2067
ko:K03057	sii:LD85_2069
ko:K03057	sii:LD85_2070
ko:K06174	sii:LD85_2073
ko:K02962	sii:LD85_2075
ko:K06915	sii:LD85_2078
ko:K01892	sii:LD85_2082
ko:K03433	sii:LD85_2083
ko:K06869	sii:LD85_2087
ko:K02034	sii:LD85_2960
ko:K02826	sii:LD85_2972
ko:K00113	sii:LD85_2987
ko:K06966	sii:LD85_0493
ko:K00820	sii:LD85_0497
ko:K02034	sii:LD85_0504
ko:K01304	sii:LD85_0539
ko:K07095	sii:LD85_0541
ko:K00864	sii:LD85_0547
ko:K03552	sii:LD85_1175
ko:K07301	sii:LD85_1177
ko:K03800	sii:LD85_2485
ko:K03809	sii:LD85_2486
ko:K03885	sii:LD85_2492
ko:K08369	sii:LD85_2497
ko:K00782	sii:LD85_2511
ko:K06885	sii:LD85_2514
ko:K03118	sii:LD85_2530
ko:K03116	sii:LD85_2531
ko:K01687	sii:LD85_2532
ko:K01299	sii:LD85_2533
ko:K06871	sii:LD85_0577
ko:K07133	sii:LD85_0581
ko:K09703	sii:LD85_0594
ko:K06915	sii:LD85_0606
ko:K07732	sii:LD85_1383
ko:K06953	sii:LD85_1386
ko:K03120	sii:LD85_1387
ko:K08975	sii:LD85_1390
ko:K03124	sii:LD85_1393
ko:K00555	sii:LD85_1395
ko:K07728	sii:LD85_1396
ko:K04795	sii:LD85_1398
ko:K02983	sii:LD85_1400
ko:K09482	sii:LD85_1401
ko:K03330	sii:LD85_1402
ko:K09014	sii:LD85_1408
ko:K09013	sii:LD85_1409
ko:K01869	sii:LD85_1858
ko:K07090	sii:LD85_2727
ko:K00390	sii:LD85_2730
ko:K00381	sii:LD85_2731
ko:K07402	sii:LD85_2745
ko:K00074	sii:LD85_2751
ko:K01895	sii:LD85_2759
ko:K01999	sii:LD85_2767
ko:K01995	sii:LD85_2768
ko:K01996	sii:LD85_2769
ko:K01997	sii:LD85_2770
ko:K01998	sii:LD85_2771
ko:K03799	sii:LD85_0808
ko:K07402	sii:LD85_0830
ko:K06869	sii:LD85_1412
ko:K02437	sii:LD85_1413
ko:K00605	sii:LD85_1414
ko:K00282	sii:LD85_1415
ko:K00283	sii:LD85_1416
ko:K01689	sii:LD85_1420
ko:K03168	sii:LD85_1425
ko:K03055	sii:LD85_1426
ko:K01873	sii:LD85_1436
ko:K00812	sii:LD85_1437
ko:K01609	sii:LD85_1438
ko:K01657	sii:LD85_1440
ko:K01817	sii:LD85_1441
ko:K00766	sii:LD85_1442
ko:K01695	sii:LD85_1443
ko:K01512	sii:LD85_1445
ko:K01858	sii:LD85_1446
ko:K03182	sii:LD85_1451
ko:K01733	sii:LD85_1452
ko:K00928	sii:LD85_1453
ko:K00133	sii:LD85_1454
ko:K00611	sii:LD85_1457
ko:K01733	sii:LD85_1870
ko:K02038	sii:LD85_1871
ko:K02037	sii:LD85_1872
ko:K02040	sii:LD85_1873
ko:K02036	sii:LD85_1874
ko:K02013	sii:LD85_1875
ko:K02015	sii:LD85_1876
ko:K02016	sii:LD85_1877
ko:K03118	sii:LD85_1878
ko:K03116	sii:LD85_1879
ko:K03116	sii:LD85_1880
ko:K07739	sii:LD85_1882
ko:K09744	sii:LD85_1886
ko:K06915	sii:LD85_1892
ko:K01867	sii:LD85_1909
ko:K00817	sii:LD85_1914
ko:K03124	sii:LD85_1916
ko:K03113	sii:LD85_1917
ko:K01880	sii:LD85_1920
ko:K00123	sii:LD85_2784
ko:K02379	sii:LD85_2786
ko:K00313	sii:LD85_2799
ko:K00175	sii:LD85_2801
ko:K00174	sii:LD85_2802
ko:K00261	sii:LD85_0869
ko:K01790	sii:LD85_0877
ko:K00053	sii:LD85_0896
ko:K01887	sii:LD85_1469
ko:K09721	sii:LD85_1481
ko:K00943	sii:LD85_1483
ko:K10725	sii:LD85_1493
ko:K03637	sii:LD85_1495
ko:K04800	sii:LD85_1496
ko:K03433	sii:LD85_1499
ko:K03186	sii:LD85_1926
ko:K02974	sii:LD85_1928
ko:K02977	sii:LD85_1929
ko:K02975	sii:LD85_1940
ko:K03170	sii:LD85_1942
ko:K09735	sii:LD85_1945
ko:K03050	sii:LD85_1946
ko:K03049	sii:LD85_1947
ko:K02991	sii:LD85_1950
ko:K02956	sii:LD85_1952
ko:K00549	sii:LD85_1953
ko:K00549	sii:LD85_1954
ko:K00794	sii:LD85_1960
ko:K06915	sii:LD85_1965
ko:K03724	sii:LD85_1966
ko:K02875	sii:LD85_1967
ko:K07731	sii:LD85_1975
ko:K07133	sii:LD85_2846
ko:K00313	sii:LD85_2856
ko:K00384	sii:LD85_2868
ko:K03521	sii:LD85_2870
ko:K03522	sii:LD85_2871
ko:K00172	sii:LD85_2876
ko:K00171	sii:LD85_2877
ko:K00169	sii:LD85_2878
ko:K00170	sii:LD85_2879
ko:K09000	sii:LD85_0930
ko:K02034	sii:LD85_0958
ko:K00451	sii:LD85_0966
ko:K01895	sii:LD85_0982
ko:K00820	sii:LD85_1980
ko:K00973	sii:LD85_1981
ko:K00798	sii:LD85_1984
ko:K03500	sii:LD85_1989
ko:K03671	sii:LD85_1992
ko:K01915	sii:LD85_1994
ko:K01495	sii:LD85_1996
ko:K03639	sii:LD85_1998
ko:K01738	sii:LD85_2002
ko:K09157	sii:LD85_2005
ko:K00763	sii:LD85_2007
ko:K02966	sii:LD85_2008
ko:K06875	sii:LD85_2009
ko:K02910	sii:LD85_2011
ko:K03264	sii:LD85_2012
ko:K02944	sii:LD85_2013
ko:K04797	sii:LD85_2014
ko:K03110	sii:LD85_2015
ko:K02601	sii:LD85_2017
ko:K02867	sii:LD85_2018
ko:K02863	sii:LD85_2019
ko:K02864	sii:LD85_2020
ko:K02869	sii:LD85_2021
ko:K01872	sii:LD85_2022
ko:K03151	sii:LD85_2027
ko:K01858	sii:LD85_2028
ko:K00343	sii:LD85_2029
ko:K01595	sii:LD85_0069
ko:K07068	sii:LD85_1030
ko:K00973	sii:LD85_1069
ko:K00963	sii:LD85_1085
ko:K00012	sii:LD85_1086
ko:K02954	sii:LD85_1639
ko:K02994	sii:LD85_1640
ko:K02933	sii:LD85_1641
ko:K02912	sii:LD85_1642
ko:K02885	sii:LD85_1643
ko:K02881	sii:LD85_1644
ko:K02988	sii:LD85_1645
ko:K02907	sii:LD85_1646
ko:K02876	sii:LD85_1647
ko:K03076	sii:LD85_1648
ko:K02915	sii:LD85_1651
ko:K00945	sii:LD85_1652
ko:K06974	sii:LD85_1656
ko:K03752	sii:LD85_1668
ko:K03750	sii:LD85_1669
ko:K03753	sii:LD85_1670
ko:K00331	sii:LD85_1679
ko:K07566	sii:LD85_1680
ko:K03524	sii:LD85_1681
ko:K03592	sii:LD85_1682
ko:K03568	sii:LD85_1683
ko:K07722	sii:LD85_1684
ko:K00003	sii:LD85_1686
ko:K04069	sii:LD85_1690
ko:K09129	sii:LD85_1692
ko:K07398	sii:LD85_2088
ko:K03420	sii:LD85_2089
ko:K03627	sii:LD85_2090
ko:K03665	sii:LD85_2091
ko:K07254	sii:LD85_2092
ko:K06932	sii:LD85_2103
ko:K10725	sii:LD85_2104
ko:K09120	sii:LD85_2105
ko:K00952	sii:LD85_2106
ko:K05873	sii:LD85_2108
ko:K04483	sii:LD85_2111
ko:K01754	sii:LD85_2113
ko:K07137	sii:LD85_2116
ko:K01939	sii:LD85_2117
ko:K06863	sii:LD85_2118
ko:K06863	sii:LD85_2119
ko:K01756	sii:LD85_2120
ko:K00946	sii:LD85_2121
ko:K06937	sii:LD85_2122
ko:K02434	sii:LD85_2125
ko:K00761	sii:LD85_2126
ko:K02979	sii:LD85_2127
ko:K02896	sii:LD85_2128
ko:K00940	sii:LD85_2129
ko:K03243	sii:LD85_2130
ko:K03053	sii:LD85_2131
ko:K03041	sii:LD85_2133
ko:K03042	sii:LD85_2134
ko:K02908	sii:LD85_2135
ko:K02600	sii:LD85_2136
ko:K02950	sii:LD85_2137
ko:K02992	sii:LD85_2139
ko:K00789	sii:LD85_2195
ko:K09150	sii:LD85_2196
ko:K07179	sii:LD85_2197
ko:K00382	sii:LD85_3071
ko:K01915	sii:LD85_3075
ko:K01151	sii:LD85_3098
ko:K07743	sii:LD85_3102
ko:K00067	sii:LD85_3103
ko:K09122	sii:LD85_2200
ko:K09141	sii:LD85_2201
ko:K01494	sii:LD85_2204
ko:K01749	sii:LD85_2212
ko:K01845	sii:LD85_2213
ko:K01698	sii:LD85_2214
ko:K02492	sii:LD85_2215
ko:K07580	sii:LD85_2221
ko:K06176	sii:LD85_2223
ko:K03105	sii:LD85_2236
ko:K02995	sii:LD85_2237
ko:K05831	sii:LD85_2239
ko:K05827	sii:LD85_2241
ko:K06915	sii:LD85_2247
ko:K00031	sii:LD85_3130
ko:K01704	sii:LD85_0264
ko:K01703	sii:LD85_0265
ko:K01669	sii:LD85_0266
ko:K12410	sii:LD85_0273
ko:K01902	sii:LD85_0280
ko:K01903	sii:LD85_0281
ko:K01868	sii:LD85_0284
ko:K01649	sii:LD85_2263
ko:K03179	sii:LD85_2264
ko:K07133	sii:LD85_1193
ko:K03592	sii:LD85_1196
ko:K03568	sii:LD85_1197
ko:K03390	sii:LD85_1215
ko:K03388	sii:LD85_1217
ko:K03390	sii:LD85_1219
ko:K00382	sii:LD85_1222
ko:K01012	sii:LD85_1229
ko:K03800	sii:LD85_1231
ko:K06929	sii:LD85_1232
ko:K07477	sii:LD85_1698
ko:K07112	sii:LD85_2550
ko:K07238	sii:LD85_2573
ko:K01714	sii:LD85_2574
ko:K02034	sii:LD85_2599
ko:K00973	sii:LD85_0642
ko:K00067	sii:LD85_0643
ko:K01637	sii:LD85_0644
ko:K01638	sii:LD85_0645
ko:K01895	sii:LD85_0650
ko:K03564	sii:LD85_0666
ko:K01895	sii:LD85_0667
ko:K00180	sii:LD85_0668
ko:K00179	sii:LD85_0669
ko:K01681	sii:LD85_1248
ko:K01040	sii:LD85_1257
ko:K02003	sii:LD85_1262
ko:K05520	sii:LD85_1268
ko:K02019	sii:LD85_1269
ko:K01589	sii:LD85_1270
ko:K01588	sii:LD85_1271
ko:K02437	sii:LD85_1275
ko:K03320	sii:LD85_1281
ko:K03237	sii:LD85_1285
ko:K02978	sii:LD85_1286
ko:K02929	sii:LD85_1287
ko:K02683	sii:LD85_1289
ko:K00948	sii:LD85_1292
ko:K07446	sii:LD85_1293
ko:K09736	sii:LD85_1295
ko:K01975	sii:LD85_1297
ko:K07558	sii:LD85_1298
ko:K01955	sii:LD85_1700
ko:K01956	sii:LD85_1701
ko:K01755	sii:LD85_1702
ko:K01940	sii:LD85_1703
ko:K01933	sii:LD85_1706
ko:K01945	sii:LD85_1707
ko:K00764	sii:LD85_1708
ko:K00764	sii:LD85_1709
ko:K01952	sii:LD85_1710
ko:K01952	sii:LD85_1711
ko:K01923	sii:LD85_1713
ko:K06878	sii:LD85_1714
ko:K06943	sii:LD85_1715
ko:K01591	sii:LD85_1723
ko:K00762	sii:LD85_1724
ko:K00609	sii:LD85_1725
ko:K00610	sii:LD85_1726
ko:K01465	sii:LD85_1728
ko:K03057	sii:LD85_1734
ko:K01875	sii:LD85_1737
ko:K02501	sii:LD85_1740
ko:K00013	sii:LD85_1742
ko:K02500	sii:LD85_1743
ko:K01693	sii:LD85_1744
ko:K01814	sii:LD85_1745
ko:K00765	sii:LD85_1746
ko:K00817	sii:LD85_1747
ko:K01869	sii:LD85_1749
ko:K09732	sii:LD85_1752
ko:K01611	sii:LD85_1753
ko:K01195	sii:LD85_2610
ko:K01714	sii:LD85_2611
ko:K05349	sii:LD85_2613
ko:K01811	sii:LD85_2631
ko:K00074	sii:LD85_2660
ko:K03183	sii:LD85_0681
ko:K01895	sii:LD85_0734
ko:K07124	sii:LD85_1310
ko:K00123	sii:LD85_1311
ko:K03424	sii:LD85_1312
ko:K12140	sii:LD85_1315
ko:K12141	sii:LD85_1316
ko:K07241	sii:LD85_1322
ko:K00156	sii:LD85_1324
ko:K03885	sii:LD85_1325
ko:K03517	sii:LD85_1336
ko:K00278	sii:LD85_1337
ko:K00767	sii:LD85_1338
ko:K00703	sii:LD85_1346
ko:K00873	sii:LD85_1353
ko:K01807	sii:LD85_1355
ko:K01652	sii:LD85_1761
ko:K00053	sii:LD85_1763
ko:K03552	sii:LD85_1764
ko:K06865	sii:LD85_1765
ko:K08681	sii:LD85_1766
ko:K06215	sii:LD85_1767
ko:K02976	sii:LD85_1768
ko:K01881	sii:LD85_1769
ko:K01874	sii:LD85_1778
ko:K09140	sii:LD85_1785
ko:K00927	sii:LD85_1788
ko:K00600	sii:LD85_1791
ko:K01611	sii:LD85_1796
ko:K06920	sii:LD85_1799
ko:K02826	sii:LD85_2689
ko:K02034	sii:LD85_2700
ko:K01494	sii:LD85_2704
ko:K02614	sii:LD85_3008
ko:K05826	sii:LD85_2242
ko:K15495	sii:LD85_1308
ko:K00958	sii:LD85_2729
ko:K06957	sii:LD85_2413
ko:K09147	sii:LD85_3045
ko:K07496	sii:LD85_0614
ko:K13722	sii:LD85_3096
ko:K06921	sii:LD85_0510
ko:K00021	sii:LD85_1792
ko:K01916	sii:LD85_3117
ko:K07114	sii:LD85_1254
ko:K01622	sii:LD85_2074
ko:K14234	sii:LD85_R0036
ko:K03540	sii:LD85_0042
ko:K01259	sii:LD85_2521
ko:K07496	sii:LD85_0659
ko:K07496	sii:LD85_1074
ko:K07068	sii:LD85_0730
ko:K10197	sii:LD85_2578
ko:K14231	sii:LD85_R0019
ko:K07158	sii:LD85_1948
ko:K14218	sii:LD85_R0035
ko:K14218	sii:LD85_R0002
ko:K14219	sii:LD85_R0010
ko:K14219	sii:LD85_R0021
ko:K14219	sii:LD85_R0032
ko:K03056	sii:LD85_2068
ko:K02224	sii:LD85_1956
ko:K03059	sii:LD85_1918
ko:K00666	sii:LD85_1015
ko:K09711	sii:LD85_1230
ko:K10844	sii:LD85_2048
ko:K14230	sii:LD85_R0022
ko:K14236	sii:LD85_R0014
ko:K14228	sii:LD85_R0018
ko:K14221	sii:LD85_R0049
ko:K07068	sii:LD85_2750
ko:K00008	sii:LD85_2397
ko:K07405	sii:LD85_1345
ko:K00104	sii:LD85_2480
ko:K14233	sii:LD85_R0026
ko:K00666	sii:LD85_1032
ko:K00303	sii:LD85_2207
ko:K00020	sii:LD85_0458
ko:K01426	sii:LD85_0360
ko:K07045	sii:LD85_0368
ko:K00721	sii:LD85_1078
ko:K09715	sii:LD85_2945
ko:K01187	sii:LD85_2594
ko:K01011	sii:LD85_2733
ko:K14187	sii:LD85_2058
ko:K13993	sii:LD85_0222
ko:K06921	sii:LD85_0890
ko:K14232	sii:LD85_R0047
ko:K14224	sii:LD85_R0023
ko:K14224	sii:LD85_R0012
ko:K14218	sii:LD85_R0028
ko:K14228	sii:LD85_R0007
ko:K14235	sii:LD85_R0050
ko:K14229	sii:LD85_R0041
ko:K14233	sii:LD85_R0015
ko:K14219	sii:LD85_R0031
ko:K10196	sii:LD85_2579
ko:K15763	sii:LD85_0414
ko:K15764	sii:LD85_0415
ko:K14220	sii:LD85_R0046
ko:K03537	sii:LD85_1607
ko:K14225	sii:LD85_R0024
ko:K01739	sii:LD85_0169
ko:K01239	sii:LD85_1857
ko:K00721	sii:LD85_2393
ko:K05989	sii:LD85_2626
ko:K07579	sii:LD85_3100
ko:K07496	sii:LD85_0825
ko:K14225	sii:LD85_R0027
ko:K14225	sii:LD85_R0020
ko:K00446	sii:LD85_0407
ko:K01385	sii:LD85_0747
ko:K01271	sii:LD85_1997
ko:K08676	sii:LD85_0433
ko:K02031	sii:LD85_0957
ko:K08177	sii:LD85_0353
ko:K07068	sii:LD85_1793
ko:K02303	sii:LD85_0231
ko:K02303	sii:LD85_2732
ko:K01607	sii:LD85_2741
ko:K03239	sii:LD85_2679
ko:K01992	sii:LD85_0864
ko:K01992	sii:LD85_1207
ko:K01990	sii:LD85_0496
ko:K01990	sii:LD85_0865
ko:K01990	sii:LD85_3036
ko:K07496	sii:LD85_0853
ko:K14232	sii:LD85_R0029
ko:K14232	sii:LD85_R0004
ko:K14229	sii:LD85_R0040
ko:K09717	sii:LD85_2146
ko:K05966	sii:LD85_2147
ko:K07176	sii:LD85_1299
ko:K07068	sii:LD85_3004
ko:K07087	sii:LD85_3035
ko:K07096	sii:LD85_0707
ko:K03386	sii:LD85_0361
ko:K03307	sii:LD85_0367
ko:K01596	sii:LD85_0424
ko:K00294	sii:LD85_0429
ko:K03307	sii:LD85_0272
ko:K07457	sii:LD85_0282
ko:K00567	sii:LD85_0285
ko:K00626	sii:LD85_0293
ko:K00059	sii:LD85_0296
ko:K13953	sii:LD85_0297
ko:K07048	sii:LD85_0316
ko:K09963	sii:LD85_0501
ko:K02035	sii:LD85_0502
ko:K02033	sii:LD85_0503
ko:K14233	sii:LD85_R0045
ko:K14219	sii:LD85_R0030
ko:K14234	sii:LD85_R0009
ko:K14237	sii:LD85_R0042
ko:K14237	sii:LD85_R0033
ko:K14230	sii:LD85_R0016
ko:K14237	sii:LD85_R0013
ko:K14233	sii:LD85_R0037
ko:K03709	sii:LD85_1676
ko:K00793	sii:LD85_1959
ko:K15017	sii:LD85_3126
ko:K03538	sii:LD85_1633
ko:K01977	sii:LD85_R0006
ko:K15372	sii:LD85_2910
ko:K14534	sii:LD85_2896
ko:K03653	sii:LD85_1429
ko:K15038	sii:LD85_1154
ko:K01524	sii:LD85_0380
ko:K01474	sii:LD85_0589
ko:K01439	sii:LD85_0608
ko:K14654	sii:LD85_0432
ko:K15037	sii:LD85_0259
ko:K01964	sii:LD85_0260
ko:K03457	sii:LD85_0752
ko:K01470	sii:LD85_2775
ko:K01170	sii:LD85_2081
ko:K14234	sii:LD85_R0048
ko:K14223	sii:LD85_R0008
ko:K14223	sii:LD85_R0025
ko:K05308	sii:LD85_2428
ko:K10198	sii:LD85_2577
ko:K10199	sii:LD85_2576
ko:K01992	sii:LD85_2472
ko:K01990	sii:LD85_2471
ko:K01990	sii:LD85_1206
ko:K01090	sii:LD85_1252
ko:K01170	sii:LD85_1924
ko:K01985	sii:LD85_R0043
ko:K14228	sii:LD85_R0001
ko:K07033	sii:LD85_1407
ko:K11395	sii:LD85_2429
ko:K01897	sii:LD85_2580
ko:K01239	sii:LD85_0057
ko:K03052	sii:LD85_2084
ko:K01485	sii:LD85_2862
ko:K14228	sii:LD85_R0017
ko:K14228	sii:LD85_R0011
ko:K06963	sii:LD85_1492
ko:K14227	sii:LD85_R0003
ko:K14230	sii:LD85_R0038
ko:K00150	sii:LD85_1789
ko:K01784	sii:LD85_2235
ko:K00626	sii:LD85_0731
ko:K00626	sii:LD85_0732
ko:K02033	sii:LD85_0959
ko:K10848	sii:LD85_1617
ko:K13953	sii:LD85_0979
ko:K05606	sii:LD85_0221
ko:K15020	sii:LD85_1501
ko:K02027	sii:LD85_2919
ko:K02025	sii:LD85_2916
ko:K02026	sii:LD85_2916
ko:K02035	sii:LD85_0960
ko:K14656	sii:LD85_1384
ko:K07388	sii:LD85_2311
ko:K06877	sii:LD85_2365
ko:K00852	sii:LD85_2380
ko:K03136	sii:LD85_2093
ko:K01719	sii:LD85_2211
ko:K03232	sii:LD85_2220
ko:K02927	sii:LD85_2226
ko:K07744	sii:LD85_2279
ko:K01885	sii:LD85_2296
ko:K07129	sii:LD85_2303
ko:K06990	sii:LD85_2321
ko:K01823	sii:LD85_2324
ko:K07575	sii:LD85_2394
ko:K04763	sii:LD85_1986
ko:K02924	sii:LD85_2010
ko:K03856	sii:LD85_2057
ko:K09685	sii:LD85_2124
ko:K06994	sii:LD85_1895
ko:K03593	sii:LD85_1902
ko:K01480	sii:LD85_1919
ko:K07442	sii:LD85_1937
ko:K03242	sii:LD85_1949
ko:K02858	sii:LD85_1958
ko:K08096	sii:LD85_1961
ko:K03626	sii:LD85_1976
ko:K00869	sii:LD85_1979
ko:K02033	sii:LD85_2962
ko:K00772	sii:LD85_2924
ko:K07025	sii:LD85_3101
ko:K01515	sii:LD85_3111
ko:K06928	sii:LD85_3116
ko:K02035	sii:LD85_2697
ko:K02033	sii:LD85_2698
ko:K00626	sii:LD85_2749
ko:K00027	sii:LD85_2753
ko:K07034	sii:LD85_2758
ko:K03855	sii:LD85_2798
ko:K02124	sii:LD85_1770
ko:K02120	sii:LD85_1772
ko:K02118	sii:LD85_1773
ko:K02117	sii:LD85_1774
ko:K02121	sii:LD85_1775
ko:K02122	sii:LD85_1776
ko:K00666	sii:LD85_2808
ko:K01480	sii:LD85_2903
ko:K02035	sii:LD85_2961
ko:K00626	sii:LD85_3005
ko:K00276	sii:LD85_3011
ko:K02033	sii:LD85_3018
ko:K07151	sii:LD85_1283
ko:K00059	sii:LD85_2524
ko:K02033	sii:LD85_2598
ko:K02035	sii:LD85_2602
ko:K01597	sii:LD85_2668
ko:K00938	sii:LD85_2669
