ko:K03885	pmj:P9211_00911
ko:K01740	pmj:P9211_07511
ko:K00651	pmj:P9211_07521
ko:K06287	pmj:P9211_12351
ko:K02232	pmj:P9211_12371
ko:K02012	pmj:P9211_12551
ko:K07336	pmj:P9211_12561
ko:K04773	pmj:P9211_12671
ko:K02914	pmj:P9211_12701
ko:K03536	pmj:P9211_12711
ko:K03217	pmj:P9211_12731
ko:K01875	pmj:P9211_12751
ko:K02954	pmj:P9211_12771
ko:K00962	pmj:P9211_12781
ko:K02913	pmj:P9211_08941
ko:K01056	pmj:P9211_02751
ko:K01696	pmj:P9211_01811
ko:K06381	pmj:P9211_14021
ko:K05515	pmj:P9211_00431
ko:K03086	pmj:P9211_18311
ko:K10563	pmj:P9211_03641
ko:K04042	pmj:P9211_10391
ko:K02342	pmj:P9211_07261
ko:K06196	pmj:P9211_15781
ko:K01963	pmj:P9211_09771
ko:K06442	pmj:P9211_15831
ko:K07042	pmj:P9211_02001
ko:K04075	pmj:P9211_17771
ko:K02042	pmj:P9211_07841
ko:K02044	pmj:P9211_07861
ko:K07769	pmj:P9211_13951
ko:K03969	pmj:P9211_04291
ko:K02469	pmj:P9211_00041
ko:K02469	pmj:P9211_11271
ko:K02470	pmj:P9211_17611
ko:K01703	pmj:P9211_02821
ko:K03564	pmj:P9211_00881
ko:K03424	pmj:P9211_16081
ko:K06208	pmj:P9211_12681
ko:K03787	pmj:P9211_13151
ko:K01704	pmj:P9211_02811
ko:K02437	pmj:P9211_17961
ko:K06206	pmj:P9211_02891
ko:K03795	pmj:P9211_07571
ko:K03555	pmj:P9211_17711
ko:K00648	pmj:P9211_01501
ko:K03500	pmj:P9211_04221
ko:K03218	pmj:P9211_06961
ko:K02433	pmj:P9211_06981
ko:K02970	pmj:P9211_11801
ko:K08289	pmj:P9211_11841
ko:K03100	pmj:P9211_05151
ko:K01465	pmj:P9211_05161
ko:K03587	pmj:P9211_05201
ko:K00616	pmj:P9211_05211
ko:K02838	pmj:P9211_05231
ko:K09903	pmj:P9211_05241
ko:K01772	pmj:P9211_05281
ko:K05810	pmj:P9211_05311
ko:K02945	pmj:P9211_05331
ko:K01817	pmj:P9211_05391
ko:K04039	pmj:P9211_05461
ko:K04038	pmj:P9211_05471
ko:K00765	pmj:P9211_05631
ko:K09931	pmj:P9211_05671
ko:K00383	pmj:P9211_05711
ko:K07301	pmj:P9211_05721
ko:K05575	pmj:P9211_10561
ko:K01414	pmj:P9211_10571
ko:K01633	pmj:P9211_10591
ko:K00147	pmj:P9211_10601
ko:K06978	pmj:P9211_10671
ko:K00700	pmj:P9211_10681
ko:K01599	pmj:P9211_10691
ko:K03695	pmj:P9211_10731
ko:K07390	pmj:P9211_10761
ko:K03474	pmj:P9211_10801
ko:K05592	pmj:P9211_10851
ko:K06187	pmj:P9211_10891
ko:K07146	pmj:P9211_10921
ko:K01012	pmj:P9211_10931
ko:K00806	pmj:P9211_10941
ko:K02343	pmj:P9211_17841
ko:K02003	pmj:P9211_10131
ko:K02004	pmj:P9211_10141
ko:K09772	pmj:P9211_03921
ko:K00286	pmj:P9211_03931
ko:K03584	pmj:P9211_03961
ko:K01619	pmj:P9211_03971
ko:K05808	pmj:P9211_03981
ko:K06861	pmj:P9211_09991
ko:K09763	pmj:P9211_10001
ko:K06207	pmj:P9211_10011
ko:K08641	pmj:P9211_10061
ko:K02357	pmj:P9211_10091
ko:K02967	pmj:P9211_10101
ko:K03502	pmj:P9211_07071
ko:K01495	pmj:P9211_14731
ko:K00759	pmj:P9211_14741
ko:K09971	pmj:P9211_14771
ko:K09970	pmj:P9211_14781
ko:K07120	pmj:P9211_14811
ko:K02945	pmj:P9211_03471
ko:K07738	pmj:P9211_03481
ko:K08591	pmj:P9211_13811
ko:K02160	pmj:P9211_00271
ko:K07478	pmj:P9211_00871
ko:K02291	pmj:P9211_01581
ko:K02293	pmj:P9211_01591
ko:K05577	pmj:P9211_01641
ko:K05575	pmj:P9211_01651
ko:K00858	pmj:P9211_01731
ko:K05578	pmj:P9211_01751
ko:K05580	pmj:P9211_01761
ko:K02669	pmj:P9211_08231
ko:K02652	pmj:P9211_08241
ko:K02654	pmj:P9211_08281
ko:K03798	pmj:P9211_08451
ko:K00873	pmj:P9211_08471
ko:K02221	pmj:P9211_08491
ko:K01754	pmj:P9211_08511
ko:K01662	pmj:P9211_08521
ko:K02704	pmj:P9211_03501
ko:K07107	pmj:P9211_03521
ko:K07566	pmj:P9211_03541
ko:K06885	pmj:P9211_03591
ko:K03797	pmj:P9211_03601
ko:K06169	pmj:P9211_03841
ko:K03977	pmj:P9211_03881
ko:K06997	pmj:P9211_03911
ko:K00789	pmj:P9211_03451
ko:K09710	pmj:P9211_09441
ko:K00995	pmj:P9211_09631
ko:K02639	pmj:P9211_14071
ko:K02687	pmj:P9211_14081
ko:K01925	pmj:P9211_14121
ko:K08983	pmj:P9211_14221
ko:K03308	pmj:P9211_14351
ko:K03703	pmj:P9211_08821
ko:K08973	pmj:P9211_08831
ko:K02230	pmj:P9211_08851
ko:K00548	pmj:P9211_08871
ko:K10773	pmj:P9211_09581
ko:K02274	pmj:P9211_04421
ko:K02335	pmj:P9211_12141
ko:K02338	pmj:P9211_00001
ko:K01956	pmj:P9211_06931
ko:K01057	pmj:P9211_09911
ko:K00033	pmj:P9211_09921
ko:K00975	pmj:P9211_09931
ko:K02492	pmj:P9211_09941
ko:K01783	pmj:P9211_09961
ko:K00537	pmj:P9211_05131
ko:K09121	pmj:P9211_04881
ko:K02637	pmj:P9211_03621
ko:K02636	pmj:P9211_04631
ko:K03525	pmj:P9211_00891
ko:K03644	pmj:P9211_10901
ko:K02337	pmj:P9211_06991
ko:K03644	pmj:P9211_16371
ko:K03676	pmj:P9211_01971
ko:K06949	pmj:P9211_00191
ko:K02994	pmj:P9211_16651
ko:K02931	pmj:P9211_16661
ko:K02895	pmj:P9211_16671
ko:K02874	pmj:P9211_16681
ko:K02961	pmj:P9211_16691
ko:K02904	pmj:P9211_16701
ko:K02878	pmj:P9211_16711
ko:K02982	pmj:P9211_16721
ko:K02890	pmj:P9211_16731
ko:K02965	pmj:P9211_16741
ko:K02886	pmj:P9211_16751
ko:K02892	pmj:P9211_16761
ko:K02926	pmj:P9211_16771
ko:K02906	pmj:P9211_16781
ko:K03553	pmj:P9211_16811
ko:K03722	pmj:P9211_16831
ko:K06864	pmj:P9211_16911
ko:K01611	pmj:P9211_16921
ko:K01595	pmj:P9211_16951
ko:K01465	pmj:P9211_05731
ko:K09780	pmj:P9211_05771
ko:K04094	pmj:P9211_05851
ko:K03310	pmj:P9211_06131
ko:K02692	pmj:P9211_16981
ko:K05837	pmj:P9211_17001
ko:K03593	pmj:P9211_17011
ko:K01933	pmj:P9211_17101
ko:K00101	pmj:P9211_17191
ko:K00688	pmj:P9211_17241
ko:K02860	pmj:P9211_17291
ko:K00820	pmj:P9211_17311
ko:K00615	pmj:P9211_17351
ko:K03147	pmj:P9211_17361
ko:K03551	pmj:P9211_17401
ko:K03664	pmj:P9211_17411
ko:K03570	pmj:P9211_17471
ko:K03111	pmj:P9211_17491
ko:K01251	pmj:P9211_17511
ko:K06925	pmj:P9211_17521
ko:K00847	pmj:P9211_17531
ko:K03575	pmj:P9211_17541
ko:K06213	pmj:P9211_17571
ko:K06199	pmj:P9211_17581
ko:K06199	pmj:P9211_17591
ko:K00791	pmj:P9211_17621
ko:K02520	pmj:P9211_17631
ko:K00640	pmj:P9211_17661
ko:K06042	pmj:P9211_17721
ko:K01586	pmj:P9211_10961
ko:K03696	pmj:P9211_10981
ko:K00981	pmj:P9211_11011
ko:K00705	pmj:P9211_11061
ko:K00948	pmj:P9211_11091
ko:K02641	pmj:P9211_11131
ko:K01756	pmj:P9211_15851
ko:K02169	pmj:P9211_15901
ko:K01935	pmj:P9211_15911
ko:K03501	pmj:P9211_15951
ko:K06941	pmj:P9211_16031
ko:K02968	pmj:P9211_16091
ko:K09748	pmj:P9211_16131
ko:K07742	pmj:P9211_16151
ko:K06891	pmj:P9211_16211
ko:K01338	pmj:P9211_16291
ko:K02946	pmj:P9211_16301
ko:K02358	pmj:P9211_16311
ko:K02355	pmj:P9211_16321
ko:K02992	pmj:P9211_16331
ko:K02950	pmj:P9211_16341
ko:K03179	pmj:P9211_04571
ko:K05936	pmj:P9211_04601
ko:K03118	pmj:P9211_04641
ko:K00942	pmj:P9211_04671
ko:K02694	pmj:P9211_04691
ko:K01409	pmj:P9211_04701
ko:K01885	pmj:P9211_04741
ko:K02884	pmj:P9211_04761
ko:K01265	pmj:P9211_04771
ko:K06873	pmj:P9211_04791
ko:K09767	pmj:P9211_04811
ko:K01845	pmj:P9211_04841
ko:K01142	pmj:P9211_04851
ko:K02011	pmj:P9211_04901
ko:K01724	pmj:P9211_04911
ko:K01299	pmj:P9211_04931
ko:K01507	pmj:P9211_04941
ko:K01749	pmj:P9211_04951
ko:K03086	pmj:P9211_04961
ko:K04066	pmj:P9211_04971
ko:K00930	pmj:P9211_04991
ko:K05895	pmj:P9211_05031
ko:K05895	pmj:P9211_05041
ko:K01939	pmj:P9211_05071
ko:K01881	pmj:P9211_05091
ko:K01507	pmj:P9211_05121
ko:K03070	pmj:P9211_17671
ko:K00036	pmj:P9211_11141
ko:K09775	pmj:P9211_11181
ko:K07037	pmj:P9211_11211
ko:K01649	pmj:P9211_11241
ko:K00928	pmj:P9211_17741
ko:K03702	pmj:P9211_17751
ko:K01714	pmj:P9211_17791
ko:K00133	pmj:P9211_17801
ko:K03545	pmj:P9211_17811
ko:K03544	pmj:P9211_17831
ko:K02916	pmj:P9211_17871
ko:K02887	pmj:P9211_17881
ko:K03149	pmj:P9211_17901
ko:K00507	pmj:P9211_17991
ko:K02939	pmj:P9211_18001
ko:K02314	pmj:P9211_18011
ko:K03495	pmj:P9211_18021
ko:K01972	pmj:P9211_18071
ko:K01873	pmj:P9211_18101
ko:K02428	pmj:P9211_18151
ko:K00797	pmj:P9211_18161
ko:K01480	pmj:P9211_18171
ko:K00605	pmj:P9211_18191
ko:K01876	pmj:P9211_18201
ko:K01937	pmj:P9211_18211
ko:K06920	pmj:P9211_18241
ko:K00937	pmj:P9211_18301
ko:K01626	pmj:P9211_18331
ko:K03281	pmj:P9211_18351
ko:K01433	pmj:P9211_18381
ko:K04043	pmj:P9211_18401
ko:K00014	pmj:P9211_18411
ko:K02990	pmj:P9211_18431
ko:K01940	pmj:P9211_18441
ko:K01000	pmj:P9211_18471
ko:K03701	pmj:P9211_18501
ko:K03631	pmj:P9211_18511
ko:K01733	pmj:P9211_18541
ko:K01952	pmj:P9211_00021
ko:K00764	pmj:P9211_00031
ko:K03625	pmj:P9211_00081
ko:K03110	pmj:P9211_00091
ko:K01755	pmj:P9211_00121
ko:K05539	pmj:P9211_00141
ko:K07305	pmj:P9211_00151
ko:K03687	pmj:P9211_00161
ko:K09747	pmj:P9211_00201
ko:K00075	pmj:P9211_00211
ko:K01924	pmj:P9211_00221
ko:K00946	pmj:P9211_00241
ko:K00097	pmj:P9211_00281
ko:K02188	pmj:P9211_00361
ko:K01872	pmj:P9211_00511
ko:K00940	pmj:P9211_00531
ko:K03153	pmj:P9211_00541
ko:K02434	pmj:P9211_00551
ko:K00859	pmj:P9211_00561
ko:K07444	pmj:P9211_00591
ko:K00690	pmj:P9211_06751
ko:K07026	pmj:P9211_06761
ko:K06153	pmj:P9211_06831
ko:K02040	pmj:P9211_06851
ko:K00766	pmj:P9211_06921
ko:K11145	pmj:P9211_06951
ko:K02518	pmj:P9211_12251
ko:K02706	pmj:P9211_12331
ko:K02705	pmj:P9211_12341
ko:K03529	pmj:P9211_00651
ko:K03801	pmj:P9211_03991
ko:K01962	pmj:P9211_05371
ko:K03046	pmj:P9211_16051
ko:K00384	pmj:P9211_12241
ko:K00432	pmj:P9211_11881
ko:K07088	pmj:P9211_12031
ko:K06942	pmj:P9211_12121
ko:K00099	pmj:P9211_12161
ko:K07019	pmj:P9211_12181
ko:K02551	pmj:P9211_10431
ko:K01462	pmj:P9211_00761
ko:K09015	pmj:P9211_00791
ko:K09013	pmj:P9211_00801
ko:K09014	pmj:P9211_00811
ko:K00390	pmj:P9211_00901
ko:K03499	pmj:P9211_00941
ko:K09001	pmj:P9211_00951
ko:K06158	pmj:P9211_01001
ko:K07058	pmj:P9211_01081
ko:K00278	pmj:P9211_01131
ko:K10206	pmj:P9211_16221
ko:K03040	pmj:P9211_16551
ko:K02224	pmj:P9211_11161
ko:K03106	pmj:P9211_13331
ko:K06443	pmj:P9211_11261
ko:K00088	pmj:P9211_11281
ko:K02426	pmj:P9211_11391
ko:K00003	pmj:P9211_11401
ko:K02035	pmj:P9211_11431
ko:K02033	pmj:P9211_11441
ko:K00852	pmj:P9211_11481
ko:K03839	pmj:P9211_11561
ko:K02690	pmj:P9211_16401
ko:K02699	pmj:P9211_16461
ko:K01775	pmj:P9211_16471
ko:K02909	pmj:P9211_16501
ko:K02996	pmj:P9211_16511
ko:K02871	pmj:P9211_16521
ko:K02879	pmj:P9211_16541
ko:K02948	pmj:P9211_16561
ko:K02952	pmj:P9211_16571
ko:K02919	pmj:P9211_16581
ko:K00939	pmj:P9211_16591
ko:K03076	pmj:P9211_16601
ko:K02876	pmj:P9211_16611
ko:K02988	pmj:P9211_16621
ko:K02881	pmj:P9211_16631
ko:K02933	pmj:P9211_16641
ko:K06183	pmj:P9211_11041
ko:K06173	pmj:P9211_16531
ko:K00826	pmj:P9211_08861
ko:K02276	pmj:P9211_04411
ko:K02259	pmj:P9211_04451
ko:K04077	pmj:P9211_04501
ko:K00991	pmj:P9211_04551
ko:K06024	pmj:P9211_08501
ko:K05896	pmj:P9211_01671
ko:K03800	pmj:P9211_05411
ko:K03403	pmj:P9211_09361
ko:K03609	pmj:P9211_03571
ko:K03116	pmj:P9211_02761
ko:K02709	pmj:P9211_02771
ko:K00600	pmj:P9211_02841
ko:K03980	pmj:P9211_02881
ko:K03526	pmj:P9211_07901
ko:K03797	pmj:P9211_07911
ko:K03517	pmj:P9211_07931
ko:K01735	pmj:P9211_07971
ko:K02666	pmj:P9211_08151
ko:K02653	pmj:P9211_08221
ko:K00978	pmj:P9211_12931
ko:K00979	pmj:P9211_12971
ko:K01356	pmj:P9211_13051
ko:K00611	pmj:P9211_13061
ko:K03798	pmj:P9211_13071
ko:K00858	pmj:P9211_13131
ko:K00788	pmj:P9211_13191
ko:K03154	pmj:P9211_13201
ko:K01770	pmj:P9211_13261
ko:K00554	pmj:P9211_13271
ko:K03595	pmj:P9211_13281
ko:K06890	pmj:P9211_13301
ko:K06217	pmj:P9211_13311
ko:K02959	pmj:P9211_13321
ko:K03086	pmj:P9211_13361
ko:K00566	pmj:P9211_13381
ko:K01609	pmj:P9211_13441
ko:K00382	pmj:P9211_13451
ko:K03437	pmj:P9211_13461
ko:K01737	pmj:P9211_01221
ko:K00891	pmj:P9211_01231
ko:K02834	pmj:P9211_01271
ko:K01719	pmj:P9211_01291
ko:K07071	pmj:P9211_01351
ko:K02500	pmj:P9211_04261
ko:K00606	pmj:P9211_13581
ko:K00053	pmj:P9211_13631
ko:K02227	pmj:P9211_13641
ko:K01885	pmj:P9211_13731
ko:K03530	pmj:P9211_13741
ko:K02066	pmj:P9211_13781
ko:K01591	pmj:P9211_13821
ko:K01866	pmj:P9211_13831
ko:K01255	pmj:P9211_13861
ko:K00677	pmj:P9211_13891
ko:K02372	pmj:P9211_13901
ko:K02535	pmj:P9211_13911
ko:K07277	pmj:P9211_13921
ko:K01923	pmj:P9211_13931
ko:K01945	pmj:P9211_13941
ko:K08482	pmj:P9211_13961
ko:K08481	pmj:P9211_13971
ko:K02888	pmj:P9211_13981
ko:K07086	pmj:P9211_02331
ko:K05516	pmj:P9211_02351
ko:K01698	pmj:P9211_02361
ko:K02963	pmj:P9211_08951
ko:K02231	pmj:P9211_09011
ko:K03216	pmj:P9211_09021
ko:K03798	pmj:P9211_09061
ko:K02911	pmj:P9211_09071
ko:K07462	pmj:P9211_09101
ko:K06940	pmj:P9211_09121
ko:K02639	pmj:P9211_09201
ko:K03568	pmj:P9211_09221
ko:K03592	pmj:P9211_09231
ko:K00604	pmj:P9211_09241
ko:K03723	pmj:P9211_09271
ko:K03185	pmj:P9211_09331
ko:K00796	pmj:P9211_09371
ko:K01803	pmj:P9211_09381
ko:K02899	pmj:P9211_13991
ko:K00784	pmj:P9211_14031
ko:K03527	pmj:P9211_02911
ko:K06999	pmj:P9211_02941
ko:K02233	pmj:P9211_02971
ko:K00773	pmj:P9211_02981
ko:K00762	pmj:P9211_03021
ko:K01693	pmj:P9211_03081
ko:K00950	pmj:P9211_03131
ko:K02067	pmj:P9211_03151
ko:K02065	pmj:P9211_03161
ko:K05581	pmj:P9211_03181
ko:K05582	pmj:P9211_03191
ko:K02707	pmj:P9211_03231
ko:K02713	pmj:P9211_03251
ko:K00772	pmj:P9211_03271
ko:K01008	pmj:P9211_03281
ko:K03657	pmj:P9211_03301
ko:K08226	pmj:P9211_03411
ko:K00012	pmj:P9211_03421
ko:K01624	pmj:P9211_09801
ko:K03686	pmj:P9211_01371
ko:K01738	pmj:P9211_01381
ko:K00943	pmj:P9211_01441
ko:K03621	pmj:P9211_01491
ko:K00645	pmj:P9211_01511
ko:K00655	pmj:P9211_01521
ko:K03979	pmj:P9211_02391
ko:K07393	pmj:P9211_02431
ko:K01437	pmj:P9211_02441
ko:K02703	pmj:P9211_02461
ko:K01736	pmj:P9211_02471
ko:K03798	pmj:P9211_02481
ko:K02716	pmj:P9211_02501
ko:K01870	pmj:P9211_02611
ko:K03439	pmj:P9211_02641
ko:K03431	pmj:P9211_02651
ko:K03465	pmj:P9211_02681
ko:K01494	pmj:P9211_02691
ko:K00798	pmj:P9211_02701
ko:K03564	pmj:P9211_08571
ko:K02902	pmj:P9211_08581
ko:K04079	pmj:P9211_08591
ko:K02036	pmj:P9211_08631
ko:K02038	pmj:P9211_08641
ko:K02037	pmj:P9211_08651
ko:K04043	pmj:P9211_08661
ko:K07106	pmj:P9211_08691
ko:K00145	pmj:P9211_08721
ko:K01810	pmj:P9211_08741
ko:K01869	pmj:P9211_08751
ko:K01778	pmj:P9211_08761
ko:K07259	pmj:P9211_08791
ko:K00790	pmj:P9211_13481
ko:K01921	pmj:P9211_13541
ko:K03589	pmj:P9211_13561
ko:K03531	pmj:P9211_13571
ko:K01814	pmj:P9211_09651
ko:K07447	pmj:P9211_09701
ko:K07015	pmj:P9211_09721
ko:K00931	pmj:P9211_09731
ko:K02536	pmj:P9211_09741
ko:K00052	pmj:P9211_09751
ko:K00855	pmj:P9211_09761
ko:K01952	pmj:P9211_09811
ko:K01952	pmj:P9211_09821
ko:K00761	pmj:P9211_09861
ko:K01687	pmj:P9211_09881
ko:K04567	pmj:P9211_17441
ko:K03523	pmj:P9211_10201
ko:K03101	pmj:P9211_10211
ko:K01915	pmj:P9211_10271
ko:K01776	pmj:P9211_10321
ko:K03182	pmj:P9211_10361
ko:K00800	pmj:P9211_10371
ko:K01929	pmj:P9211_10401
ko:K01661	pmj:P9211_10421
ko:K03100	pmj:P9211_10441
ko:K01867	pmj:P9211_10521
ko:K01868	pmj:P9211_10531
ko:K00845	pmj:P9211_10541
ko:K01961	pmj:P9211_00681
ko:K02600	pmj:P9211_16141
ko:K02519	pmj:P9211_16161
ko:K03629	pmj:P9211_16931
ko:K03608	pmj:P9211_03561
ko:K11329	pmj:P9211_01481
ko:K09966	pmj:P9211_08891
ko:K02313	pmj:P9211_05681
ko:K03177	pmj:P9211_14011
ko:K03777	pmj:P9211_13031
ko:K00284	pmj:P9211_16351
ko:K01589	pmj:P9211_07981
ko:K00325	pmj:P9211_12191
ko:K09458	pmj:P9211_17341
ko:K01588	pmj:P9211_01841
ko:K02114	pmj:P9211_15581
ko:K02115	pmj:P9211_15691
ko:K02109	pmj:P9211_15721
ko:K02109	pmj:P9211_15731
ko:K00872	pmj:P9211_10551
ko:K00324	pmj:P9211_12211
ko:K01601	pmj:P9211_05521
ko:K02552	pmj:P9211_01951
ko:K02341	pmj:P9211_01431
ko:K00609	pmj:P9211_02551
ko:K03582	pmj:P9211_10831
ko:K00958	pmj:P9211_02491
ko:K03581	pmj:P9211_10841
ko:K03060	pmj:P9211_15491
ko:K03583	pmj:P9211_10811
ko:K00161	pmj:P9211_13351
ko:K00793	pmj:P9211_04391
ko:K00794	pmj:P9211_17691
ko:K02234	pmj:P9211_09841
ko:K03469	pmj:P9211_02181
ko:K03470	pmj:P9211_16251
ko:K10697	pmj:P9211_01421
ko:K03789	pmj:P9211_10971
ko:K01515	pmj:P9211_03121
ko:K02825	pmj:P9211_15511
ko:K03075	pmj:P9211_15531
ko:K04077	pmj:P9211_15551
ko:K04078	pmj:P9211_15561
ko:K01262	pmj:P9211_15611
ko:K00969	pmj:P9211_15641
ko:K03601	pmj:P9211_01051
ko:K03610	pmj:P9211_03581
ko:K02111	pmj:P9211_15701
ko:K03588	pmj:P9211_15771
ko:K07399	pmj:P9211_15791
ko:K04752	pmj:P9211_15821
ko:K00627	pmj:P9211_04031
ko:K01738	pmj:P9211_04051
ko:K02986	pmj:P9211_04081
ko:K08998	pmj:P9211_04091
ko:K01928	pmj:P9211_04111
ko:K00116	pmj:P9211_04171
ko:K03596	pmj:P9211_04181
ko:K02034	pmj:P9211_04201
ko:K00556	pmj:P9211_04211
ko:K03183	pmj:P9211_04271
ko:K02003	pmj:P9211_04311
ko:K11175	pmj:P9211_08731
ko:K01874	pmj:P9211_08971
ko:K01895	pmj:P9211_10301
ko:K03926	pmj:P9211_05051
ko:K01104	pmj:P9211_17121
ko:K07090	pmj:P9211_06631
ko:K01091	pmj:P9211_03461
ko:K01091	pmj:P9211_13001
ko:K03602	pmj:P9211_01061
ko:K00150	pmj:P9211_00231
ko:K01911	pmj:P9211_01921
ko:K00703	pmj:P9211_10411
ko:K03186	pmj:P9211_09161
ko:K02835	pmj:P9211_16491
ko:K03820	pmj:P9211_13391
ko:K02643	pmj:P9211_12281
ko:K03689	pmj:P9211_08411
ko:K02640	pmj:P9211_11321
ko:K07304	pmj:P9211_06881
ko:K07304	pmj:P9211_13871
ko:K01835	pmj:P9211_00861
ko:K08300	pmj:P9211_16241
ko:K11754	pmj:P9211_13501
ko:K03405	pmj:P9211_11361
ko:K00696	pmj:P9211_18491
ko:K02113	pmj:P9211_15711
ko:K02110	pmj:P9211_15741
ko:K01807	pmj:P9211_16111
ko:K02275	pmj:P9211_04431
ko:K02501	pmj:P9211_11301
ko:K02112	pmj:P9211_15571
ko:K03043	pmj:P9211_16071
ko:K01879	pmj:P9211_10041
ko:K01679	pmj:P9211_15861
ko:K03569	pmj:P9211_17481
ko:K06180	pmj:P9211_02111
ko:K01892	pmj:P9211_07281
ko:K01159	pmj:P9211_11371
ko:K07568	pmj:P9211_04041
ko:K02502	pmj:P9211_08611
ko:K02356	pmj:P9211_00261
ko:K01951	pmj:P9211_00371
ko:K00812	pmj:P9211_07871
ko:K04485	pmj:P9211_01471
ko:K02563	pmj:P9211_02151
ko:K02501	pmj:P9211_14921
ko:K03684	pmj:P9211_17051
ko:K03685	pmj:P9211_17271
ko:K02078	pmj:P9211_17331
ko:K00013	pmj:P9211_16101
ko:K02435	pmj:P9211_02581
ko:K01652	pmj:P9211_05291
ko:K01665	pmj:P9211_18251
ko:K01657	pmj:P9211_16971
ko:K01664	pmj:P9211_02021
ko:K02836	pmj:P9211_01981
ko:K00524	pmj:P9211_07711
ko:K01682	pmj:P9211_18341
ko:K02108	pmj:P9211_15751
ko:K03655	pmj:P9211_10071
ko:K02493	pmj:P9211_03531
ko:K04037	pmj:P9211_05451
ko:K11325	pmj:P9211_04121
ko:K02722	pmj:P9211_00701
ko:K02723	pmj:P9211_05861
ko:K02724	pmj:P9211_17701
ko:K08902	pmj:P9211_05081
ko:K06168	pmj:P9211_13531
ko:K00031	pmj:P9211_17171
ko:K01092	pmj:P9211_08621
ko:K01092	pmj:P9211_01091
ko:K08903	pmj:P9211_07201
ko:K02689	pmj:P9211_16391
ko:K02691	pmj:P9211_17321
ko:K02693	pmj:P9211_03651
ko:K02696	pmj:P9211_16451
ko:K02697	pmj:P9211_04681
ko:K02698	pmj:P9211_08541
ko:K02700	pmj:P9211_05421
ko:K02634	pmj:P9211_04621
ko:K02710	pmj:P9211_02791
ko:K02718	pmj:P9211_03491
ko:K12574	pmj:P9211_17781
ko:K01950	pmj:P9211_15651
ko:K00228	pmj:P9211_17021
ko:K00602	pmj:P9211_02931
ko:K06883	pmj:P9211_10221
ko:K06883	pmj:P9211_15631
ko:K11755	pmj:P9211_05821
ko:K11753	pmj:P9211_13171
ko:K02708	pmj:P9211_03241
ko:K02708	pmj:P9211_03751
ko:K05371	pmj:P9211_10161
ko:K12573	pmj:P9211_09151
ko:K01654	pmj:P9211_12451
ko:K05585	pmj:P9211_16791
ko:K02294	pmj:P9211_02591
ko:K06891	pmj:P9211_15141
ko:K07052	pmj:P9211_16201
ko:K00059	pmj:P9211_04541
ko:K01297	pmj:P9211_04561
ko:K12073	pmj:P9211_01911
