ko:K07492	bsup:BSPT1_II0505
ko:K13628	bsup:BSPT1_I0775
ko:K00858	bsup:BSPT1_I0777
ko:K11717	bsup:BSPT1_I0781
ko:K09015	bsup:BSPT1_I0782
ko:K09013	bsup:BSPT1_I0783
ko:K09014	bsup:BSPT1_I0784
ko:K04487	bsup:BSPT1_I0785
ko:K07018	bsup:BSPT1_I0786
ko:K00939	bsup:BSPT1_I0991
ko:K03303	bsup:BSPT1_I0996
ko:K01784	bsup:BSPT1_I1001
ko:K01933	bsup:BSPT1_I1005
ko:K11175	bsup:BSPT1_I1006
ko:K07115	bsup:BSPT1_I1013
ko:K01166	bsup:BSPT1_I1016
ko:K00799	bsup:BSPT1_I1017
ko:K16079	bsup:BSPT1_I1018
ko:K03703	bsup:BSPT1_I1021
ko:K03636	bsup:BSPT1_I1023
ko:K03635	bsup:BSPT1_I1024
ko:K09914	bsup:BSPT1_I1025
ko:K00940	bsup:BSPT1_I1026
ko:K06158	bsup:BSPT1_I1028
ko:K02339	bsup:BSPT1_I1030
ko:K01255	bsup:BSPT1_I1031
ko:K07091	bsup:BSPT1_I1033
ko:K11720	bsup:BSPT1_I1034
ko:K04744	bsup:BSPT1_I1035
ko:K03771	bsup:BSPT1_I1036
ko:K09747	bsup:BSPT1_I0028
ko:K02343	bsup:BSPT1_I0029
ko:K00800	bsup:BSPT1_I0020
ko:K00945	bsup:BSPT1_I0021
ko:K02945	bsup:BSPT1_I0023
ko:K06187	bsup:BSPT1_I0027
ko:K04751	bsup:BSPT1_I0710
ko:K01915	bsup:BSPT1_I0711
ko:K01091	bsup:BSPT1_I0713
ko:K06179	bsup:BSPT1_I0715
ko:K06147	bsup:BSPT1_I0716
ko:K06167	bsup:BSPT1_I0717
ko:K03424	bsup:BSPT1_I0718
ko:K01874	bsup:BSPT1_I0719
ko:K02341	bsup:BSPT1_I0721
ko:K00943	bsup:BSPT1_I0722
ko:K07258	bsup:BSPT1_I0723
ko:K03642	bsup:BSPT1_I0724
ko:K00537	bsup:BSPT1_I0725
ko:K04764	bsup:BSPT1_I0943
ko:K00648	bsup:BSPT1_I0944
ko:K03621	bsup:BSPT1_I0945
ko:K17662	bsup:BSPT1_I0947
ko:K15987	bsup:BSPT1_I0949
ko:K03625	bsup:BSPT1_I0950
ko:K00794	bsup:BSPT1_I0951
ko:K00793	bsup:BSPT1_I0952
ko:K11752	bsup:BSPT1_I0953
ko:K07738	bsup:BSPT1_I0954
ko:K00600	bsup:BSPT1_I0955
ko:K01698	bsup:BSPT1_I0961
ko:K02621	bsup:BSPT1_I0964
ko:K01876	bsup:BSPT1_I0966
ko:K03684	bsup:BSPT1_I0967
ko:K01524	bsup:BSPT1_I0968
ko:K00937	bsup:BSPT1_I0969
ko:K00480	bsup:BSPT1_I0971
ko:K09972	bsup:BSPT1_I0972
ko:K09971	bsup:BSPT1_I0973
ko:K09970	bsup:BSPT1_I0974
ko:K09969	bsup:BSPT1_I0975
ko:K01760	bsup:BSPT1_I0977
ko:K02258	bsup:BSPT1_I1246
ko:K02274	bsup:BSPT1_I1249
ko:K02275	bsup:BSPT1_I1250
ko:K03568	bsup:BSPT1_I1252
ko:K00942	bsup:BSPT1_I1253
ko:K07082	bsup:BSPT1_I1255
ko:K09458	bsup:BSPT1_I1256
ko:K02078	bsup:BSPT1_I1257
ko:K00059	bsup:BSPT1_I1258
ko:K00645	bsup:BSPT1_I1259
ko:K02990	bsup:BSPT1_I1260
ko:K02963	bsup:BSPT1_I1261
ko:K02939	bsup:BSPT1_I1263
ko:K00574	bsup:BSPT1_I1264
ko:K00763	bsup:BSPT1_I0111
ko:K00847	bsup:BSPT1_I0114
ko:K05366	bsup:BSPT1_I0116
ko:K16079	bsup:BSPT1_I0118
ko:K16079	bsup:BSPT1_I0119
ko:K03684	bsup:BSPT1_I0120
ko:K13688	bsup:BSPT1_I0110
ko:K00989	bsup:BSPT1_I0173
ko:K02428	bsup:BSPT1_I0175
ko:K07056	bsup:BSPT1_I0177
ko:K07460	bsup:BSPT1_I0178
ko:K02302	bsup:BSPT1_I0180
ko:K00381	bsup:BSPT1_I0182
ko:K00390	bsup:BSPT1_I0183
ko:K00567	bsup:BSPT1_I0186
ko:K00548	bsup:BSPT1_I0189
ko:K07782	bsup:BSPT1_I0190
ko:K16871	bsup:BSPT1_I0191
ko:K00957	bsup:BSPT1_I0192
ko:K00955	bsup:BSPT1_I0193
ko:K01082	bsup:BSPT1_I0194
ko:K02444	bsup:BSPT1_I0198
ko:K00111	bsup:BSPT1_I0199
ko:K00138	bsup:BSPT1_I0201
ko:K13953	bsup:BSPT1_I0202
ko:K09959	bsup:BSPT1_I0203
ko:K02529	bsup:BSPT1_I0204
ko:K06147	bsup:BSPT1_I0205
ko:K15599	bsup:BSPT1_I0208
ko:K03707	bsup:BSPT1_I0209
ko:K15598	bsup:BSPT1_I0210
ko:K00788	bsup:BSPT1_I0211
ko:K03149	bsup:BSPT1_I0212
ko:K03154	bsup:BSPT1_I0213
ko:K03153	bsup:BSPT1_I0214
ko:K00941	bsup:BSPT1_I0215
ko:K04083	bsup:BSPT1_I0325
ko:K06195	bsup:BSPT1_I0326
ko:K10764	bsup:BSPT1_I0327
ko:K01494	bsup:BSPT1_I0328
ko:K00254	bsup:BSPT1_I0333
ko:K01259	bsup:BSPT1_I0336
ko:K03282	bsup:BSPT1_I0340
ko:K00643	bsup:BSPT1_I0341
ko:K06518	bsup:BSPT1_I0347
ko:K01918	bsup:BSPT1_I0353
ko:K04485	bsup:BSPT1_I1266
ko:K03558	bsup:BSPT1_I1267
ko:K00764	bsup:BSPT1_I1268
ko:K17103	bsup:BSPT1_I1270
ko:K01613	bsup:BSPT1_I1271
ko:K06147	bsup:BSPT1_I1272
ko:K06966	bsup:BSPT1_I1276
ko:K03215	bsup:BSPT1_I1277
ko:K06442	bsup:BSPT1_I1278
ko:K01662	bsup:BSPT1_I1279
ko:K06911	bsup:BSPT1_I1280
ko:K03602	bsup:BSPT1_I1284
ko:K14652	bsup:BSPT1_I1286
ko:K01736	bsup:BSPT1_I1287
ko:K09778	bsup:BSPT1_I1290
ko:K03704	bsup:BSPT1_I1293
ko:K07393	bsup:BSPT1_I1597
ko:K07275	bsup:BSPT1_I1598
ko:K01649	bsup:BSPT1_I1601
ko:K13503	bsup:BSPT1_I1604
ko:K03719	bsup:BSPT1_I1606
ko:K02002	bsup:BSPT1_I1613
ko:K02001	bsup:BSPT1_I1614
ko:K02000	bsup:BSPT1_I1615
ko:K12372	bsup:BSPT1_I1616
ko:K12370	bsup:BSPT1_I1617
ko:K12369	bsup:BSPT1_I1618
ko:K12368	bsup:BSPT1_I1619
ko:K12368	bsup:BSPT1_I1620
ko:K00566	bsup:BSPT1_I1624
ko:K06975	bsup:BSPT1_I1627
ko:K13588	bsup:BSPT1_I1631
ko:K13584	bsup:BSPT1_I1632
ko:K07270	bsup:BSPT1_I1638
ko:K07289	bsup:BSPT1_I1641
ko:K11074	bsup:BSPT1_I1642
ko:K11075	bsup:BSPT1_I1643
ko:K11076	bsup:BSPT1_I1644
ko:K11073	bsup:BSPT1_I1645
ko:K00773	bsup:BSPT1_I0735
ko:K09803	bsup:BSPT1_I0736
ko:K16079	bsup:BSPT1_I0739
ko:K01676	bsup:BSPT1_I0754
ko:K02030	bsup:BSPT1_I0857
ko:K06162	bsup:BSPT1_I0859
ko:K00874	bsup:BSPT1_I0861
ko:K01785	bsup:BSPT1_I0862
ko:K09458	bsup:BSPT1_I0866
ko:K09458	bsup:BSPT1_I0867
ko:K02517	bsup:BSPT1_I0869
ko:K01783	bsup:BSPT1_I0870
ko:K01756	bsup:BSPT1_I0871
ko:K07104	bsup:BSPT1_I0872
ko:K07002	bsup:BSPT1_I0873
ko:K02510	bsup:BSPT1_I0874
ko:K01923	bsup:BSPT1_I0877
ko:K01952	bsup:BSPT1_I0878
ko:K01952	bsup:BSPT1_I0879
ko:K01952	bsup:BSPT1_I0882
ko:K07390	bsup:BSPT1_I0884
ko:K07552	bsup:BSPT1_I0885
ko:K14058	bsup:BSPT1_I0887
ko:K02426	bsup:BSPT1_I1144
ko:K02433	bsup:BSPT1_I1145
ko:K01354	bsup:BSPT1_I1151
ko:K04564	bsup:BSPT1_I1153
ko:K01560	bsup:BSPT1_I1154
ko:K06915	bsup:BSPT1_I1156
ko:K03449	bsup:BSPT1_I1158
ko:K03284	bsup:BSPT1_I1160
ko:K07341	bsup:BSPT1_I1162
ko:K02167	bsup:BSPT1_I1165
ko:K02529	bsup:BSPT1_I1170
ko:K00854	bsup:BSPT1_I1171
ko:K01805	bsup:BSPT1_I1172
ko:K10439	bsup:BSPT1_I1175
ko:K10440	bsup:BSPT1_I1176
ko:K10441	bsup:BSPT1_I1177
ko:K12995	bsup:BSPT1_I1178
ko:K00971	bsup:BSPT1_I1180
ko:K01840	bsup:BSPT1_I1181
ko:K09988	bsup:BSPT1_I1493
ko:K00606	bsup:BSPT1_I0354
ko:K00528	bsup:BSPT1_I0355
ko:K13747	bsup:BSPT1_I0358
ko:K03327	bsup:BSPT1_I0363
ko:K02480	bsup:BSPT1_I0365
ko:K02048	bsup:BSPT1_I0371
ko:K02046	bsup:BSPT1_I0372
ko:K02047	bsup:BSPT1_I0373
ko:K07002	bsup:BSPT1_I0374
ko:K07027	bsup:BSPT1_I0375
ko:K06891	bsup:BSPT1_I0540
ko:K03694	bsup:BSPT1_I0541
ko:K02503	bsup:BSPT1_I0542
ko:K09919	bsup:BSPT1_I0543
ko:K02967	bsup:BSPT1_I0548
ko:K02357	bsup:BSPT1_I0549
ko:K09903	bsup:BSPT1_I0550
ko:K02838	bsup:BSPT1_I0551
ko:K00806	bsup:BSPT1_I0552
ko:K00981	bsup:BSPT1_I0553
ko:K11749	bsup:BSPT1_I0554
ko:K07277	bsup:BSPT1_I0555
ko:K02536	bsup:BSPT1_I0556
ko:K02372	bsup:BSPT1_I0557
ko:K00677	bsup:BSPT1_I0558
ko:K09949	bsup:BSPT1_I0559
ko:K00748	bsup:BSPT1_I0560
ko:K01647	bsup:BSPT1_I0561
ko:K01885	bsup:BSPT1_I0562
ko:K01356	bsup:BSPT1_I0565
ko:K03750	bsup:BSPT1_I0566
ko:K03637	bsup:BSPT1_I0567
ko:K01609	bsup:BSPT1_I0568
ko:K00766	bsup:BSPT1_I0569
ko:K03770	bsup:BSPT1_I0570
ko:K01803	bsup:BSPT1_I0571
ko:K03075	bsup:BSPT1_I0572
ko:K01937	bsup:BSPT1_I0574
ko:K01627	bsup:BSPT1_I0575
ko:K01689	bsup:BSPT1_I0576
ko:K00161	bsup:BSPT1_I0579
ko:K00162	bsup:BSPT1_I0580
ko:K00627	bsup:BSPT1_I0581
ko:K00382	bsup:BSPT1_I0582
ko:K13583	bsup:BSPT1_I0321
ko:K14261	bsup:BSPT1_I0428
ko:K03543	bsup:BSPT1_I0652
ko:K00003	bsup:BSPT1_I0429
ko:K11532	bsup:BSPT1_I0431
ko:K01921	bsup:BSPT1_I0433
ko:K07462	bsup:BSPT1_I0435
ko:K01759	bsup:BSPT1_I0437
ko:K03704	bsup:BSPT1_I0439
ko:K09005	bsup:BSPT1_I0440
ko:K00640	bsup:BSPT1_I0443
ko:K03218	bsup:BSPT1_I0450
ko:K02358	bsup:BSPT1_I0454
ko:K03073	bsup:BSPT1_I0456
ko:K02601	bsup:BSPT1_I0457
ko:K02867	bsup:BSPT1_I0458
ko:K02863	bsup:BSPT1_I0459
ko:K02864	bsup:BSPT1_I0460
ko:K02935	bsup:BSPT1_I0461
ko:K03043	bsup:BSPT1_I0462
ko:K03046	bsup:BSPT1_I0463
ko:K02950	bsup:BSPT1_I0467
ko:K02992	bsup:BSPT1_I0468
ko:K02355	bsup:BSPT1_I0469
ko:K02358	bsup:BSPT1_I0470
ko:K02946	bsup:BSPT1_I0471
ko:K02906	bsup:BSPT1_I0472
ko:K02926	bsup:BSPT1_I0473
ko:K02892	bsup:BSPT1_I0474
ko:K02886	bsup:BSPT1_I0475
ko:K02965	bsup:BSPT1_I0476
ko:K02890	bsup:BSPT1_I0477
ko:K02982	bsup:BSPT1_I0478
ko:K02878	bsup:BSPT1_I0479
ko:K02904	bsup:BSPT1_I0480
ko:K08998	bsup:BSPT1_I0636
ko:K01868	bsup:BSPT1_I0640
ko:K04765	bsup:BSPT1_I0644
ko:K04765	bsup:BSPT1_I0645
ko:K01784	bsup:BSPT1_I0646
ko:K14347	bsup:BSPT1_I0648
ko:K13953	bsup:BSPT1_I0651
ko:K02871	bsup:BSPT1_I0925
ko:K02996	bsup:BSPT1_I0926
ko:K01480	bsup:BSPT1_I0928
ko:K00145	bsup:BSPT1_I0929
ko:K02259	bsup:BSPT1_I0930
ko:K01991	bsup:BSPT1_I0937
ko:K01711	bsup:BSPT1_I1195
ko:K07127	bsup:BSPT1_I1208
ko:K01483	bsup:BSPT1_I1209
ko:K03523	bsup:BSPT1_I1210
ko:K01006	bsup:BSPT1_I1218
ko:K06996	bsup:BSPT1_I1219
ko:K16264	bsup:BSPT1_I1220
ko:K03529	bsup:BSPT1_I1221
ko:K03575	bsup:BSPT1_I1225
ko:K01560	bsup:BSPT1_I1226
ko:K03281	bsup:BSPT1_I1228
ko:K01733	bsup:BSPT1_I1233
ko:K03790	bsup:BSPT1_I1235
ko:K07735	bsup:BSPT1_I1237
ko:K03469	bsup:BSPT1_I1240
ko:K02204	bsup:BSPT1_I1241
ko:K03527	bsup:BSPT1_I1242
ko:K14998	bsup:BSPT1_I1243
ko:K02276	bsup:BSPT1_I1245
ko:K03702	bsup:BSPT1_I1544
ko:K03704	bsup:BSPT1_I1546
ko:K07659	bsup:BSPT1_I1553
ko:K07638	bsup:BSPT1_I1555
ko:K06878	bsup:BSPT1_I1557
ko:K13292	bsup:BSPT1_I1561
ko:K05810	bsup:BSPT1_I1563
ko:K00948	bsup:BSPT1_I1566
ko:K06915	bsup:BSPT1_I1567
ko:K02897	bsup:BSPT1_I1568
ko:K01056	bsup:BSPT1_I1569
ko:K06942	bsup:BSPT1_I1570
ko:K00759	bsup:BSPT1_I1573
ko:K00413	bsup:BSPT1_I1575
ko:K00412	bsup:BSPT1_I1576
ko:K00411	bsup:BSPT1_I1577
ko:K18893	bsup:BSPT1_I1579
ko:K18893	bsup:BSPT1_I1580
ko:K03216	bsup:BSPT1_I1581
ko:K00228	bsup:BSPT1_I1585
ko:K03824	bsup:BSPT1_I1586
ko:K00970	bsup:BSPT1_I1589
ko:K09986	bsup:BSPT1_I1591
ko:K03924	bsup:BSPT1_I1592
ko:K02961	bsup:BSPT1_I0481
ko:K02874	bsup:BSPT1_I0482
ko:K02895	bsup:BSPT1_I0483
ko:K02931	bsup:BSPT1_I0484
ko:K02954	bsup:BSPT1_I0485
ko:K02994	bsup:BSPT1_I0486
ko:K02933	bsup:BSPT1_I0487
ko:K02881	bsup:BSPT1_I0488
ko:K02988	bsup:BSPT1_I0489
ko:K02907	bsup:BSPT1_I0490
ko:K02876	bsup:BSPT1_I0491
ko:K03076	bsup:BSPT1_I0492
ko:K00939	bsup:BSPT1_I0493
ko:K02952	bsup:BSPT1_I0495
ko:K02948	bsup:BSPT1_I0496
ko:K03040	bsup:BSPT1_I0497
ko:K02879	bsup:BSPT1_I0499
ko:K07478	bsup:BSPT1_I0501
ko:K01872	bsup:BSPT1_I0506
ko:K01077	bsup:BSPT1_I0508
ko:K00031	bsup:BSPT1_I0511
ko:K05520	bsup:BSPT1_I0513
ko:K02533	bsup:BSPT1_I0514
ko:K01776	bsup:BSPT1_I0515
ko:K07080	bsup:BSPT1_I0516
ko:K01847	bsup:BSPT1_I0520
ko:K01965	bsup:BSPT1_I0521
ko:K01966	bsup:BSPT1_I0522
ko:K09457	bsup:BSPT1_I0526
ko:K01752	bsup:BSPT1_I0534
ko:K00384	bsup:BSPT1_I0688
ko:K18480	bsup:BSPT1_I0692
ko:K02067	bsup:BSPT1_I0693
ko:K02065	bsup:BSPT1_I0694
ko:K02066	bsup:BSPT1_I0695
ko:K00029	bsup:BSPT1_I0698
ko:K01885	bsup:BSPT1_I0699
ko:K01916	bsup:BSPT1_I0700
ko:K00901	bsup:BSPT1_I0701
ko:K01626	bsup:BSPT1_I0702
ko:K00383	bsup:BSPT1_I0703
ko:K09924	bsup:BSPT1_I0704
ko:K01807	bsup:BSPT1_I0705
ko:K01091	bsup:BSPT1_I0707
ko:K05845	bsup:BSPT1_I0223
ko:K00262	bsup:BSPT1_I0225
ko:K00303	bsup:BSPT1_I0226
ko:K02027	bsup:BSPT1_I0232
ko:K02025	bsup:BSPT1_I0233
ko:K02026	bsup:BSPT1_I0234
ko:K10112	bsup:BSPT1_I0235
ko:K03534	bsup:BSPT1_I0237
ko:K18335	bsup:BSPT1_I0239
ko:K18334	bsup:BSPT1_I0241
ko:K02395	bsup:BSPT1_I0254
ko:K09862	bsup:BSPT1_I0271
ko:K06287	bsup:BSPT1_I0272
ko:K02518	bsup:BSPT1_I0273
ko:K03455	bsup:BSPT1_I0376
ko:K12257	bsup:BSPT1_I0377
ko:K02232	bsup:BSPT1_I0389
ko:K02231	bsup:BSPT1_I0392
ko:K02234	bsup:BSPT1_I0393
ko:K02230	bsup:BSPT1_I0394
ko:K08978	bsup:BSPT1_I0396
ko:K07090	bsup:BSPT1_I0397
ko:K02189	bsup:BSPT1_I0399
ko:K05936	bsup:BSPT1_I0400
ko:K05895	bsup:BSPT1_I0401
ko:K02188	bsup:BSPT1_I0402
ko:K02303	bsup:BSPT1_I0403
ko:K02224	bsup:BSPT1_I0404
ko:K02225	bsup:BSPT1_I0405
ko:K02227	bsup:BSPT1_I0406
ko:K01999	bsup:BSPT1_I0407
ko:K13786	bsup:BSPT1_I0408
ko:K13541	bsup:BSPT1_I0411
ko:K03394	bsup:BSPT1_I0412
ko:K06042	bsup:BSPT1_I0413
ko:K02229	bsup:BSPT1_I0414
ko:K00595	bsup:BSPT1_I0415
ko:K16079	bsup:BSPT1_I0417
ko:K03630	bsup:BSPT1_I0418
ko:K01265	bsup:BSPT1_I0419
ko:K06206	bsup:BSPT1_I0420
ko:K02535	bsup:BSPT1_I1455
ko:K03531	bsup:BSPT1_I1457
ko:K03590	bsup:BSPT1_I1458
ko:K03589	bsup:BSPT1_I1459
ko:K01921	bsup:BSPT1_I1460
ko:K00075	bsup:BSPT1_I1461
ko:K01924	bsup:BSPT1_I1462
ko:K02563	bsup:BSPT1_I1463
ko:K03588	bsup:BSPT1_I1464
ko:K01925	bsup:BSPT1_I1465
ko:K01000	bsup:BSPT1_I1466
ko:K01929	bsup:BSPT1_I1467
ko:K01928	bsup:BSPT1_I1468
ko:K03587	bsup:BSPT1_I1469
ko:K03438	bsup:BSPT1_I1471
ko:K03322	bsup:BSPT1_I1473
ko:K05801	bsup:BSPT1_I1476
ko:K07273	bsup:BSPT1_I1478
ko:K07088	bsup:BSPT1_I1481
ko:K00297	bsup:BSPT1_I1483
ko:K00598	bsup:BSPT1_I1488
ko:K01693	bsup:BSPT1_I1896
ko:K02501	bsup:BSPT1_I1898
ko:K01814	bsup:BSPT1_I1899
ko:K02500	bsup:BSPT1_I1900
ko:K01523	bsup:BSPT1_I1901
ko:K00867	bsup:BSPT1_I1902
ko:K15034	bsup:BSPT1_I1903
ko:K01610	bsup:BSPT1_I1904
ko:K01610	bsup:BSPT1_I1905
ko:K14981	bsup:BSPT1_I1906
ko:K14980	bsup:BSPT1_I1907
ko:K02793	bsup:BSPT1_I1909
ko:K11189	bsup:BSPT1_I1910
ko:K01251	bsup:BSPT1_I1912
ko:K03671	bsup:BSPT1_I1919
ko:K11754	bsup:BSPT1_I1920
ko:K01963	bsup:BSPT1_I1921
ko:K01695	bsup:BSPT1_I1922
ko:K01696	bsup:BSPT1_I1924
ko:K01817	bsup:BSPT1_I1925
ko:K07043	bsup:BSPT1_I1927
ko:K05782	bsup:BSPT1_I1929
ko:K09956	bsup:BSPT1_I0422
ko:K03644	bsup:BSPT1_I0584
ko:K18588	bsup:BSPT1_I0585
ko:K03743	bsup:BSPT1_I0587
ko:K12506	bsup:BSPT1_I0588
ko:K07708	bsup:BSPT1_I0590
ko:K07708	bsup:BSPT1_I0591
ko:K07712	bsup:BSPT1_I0593
ko:K13598	bsup:BSPT1_I0594
ko:K13599	bsup:BSPT1_I0595
ko:K03499	bsup:BSPT1_I0596
ko:K03499	bsup:BSPT1_I0597
ko:K03666	bsup:BSPT1_I0599
ko:K03665	bsup:BSPT1_I0600
ko:K01358	bsup:BSPT1_I0601
ko:K03544	bsup:BSPT1_I0602
ko:K01338	bsup:BSPT1_I0603
ko:K03530	bsup:BSPT1_I0604
ko:K03701	bsup:BSPT1_I0605
ko:K02043	bsup:BSPT1_I0607
ko:K05774	bsup:BSPT1_I0609
ko:K05595	bsup:BSPT1_I0610
ko:K02469	bsup:BSPT1_I0611
ko:K00954	bsup:BSPT1_I0613
ko:K07568	bsup:BSPT1_I0616
ko:K00773	bsup:BSPT1_I0617
ko:K03585	bsup:BSPT1_I0619
ko:K18138	bsup:BSPT1_I0620
ko:K00252	bsup:BSPT1_I0623
ko:K07001	bsup:BSPT1_I0632
ko:K01496	bsup:BSPT1_I0633
ko:K01495	bsup:BSPT1_I0634
ko:K06024	bsup:BSPT1_I0839
ko:K05896	bsup:BSPT1_I0840
ko:K01207	bsup:BSPT1_I0841
ko:K01887	bsup:BSPT1_I0843
ko:K01129	bsup:BSPT1_I0844
ko:K01142	bsup:BSPT1_I0847
ko:K07126	bsup:BSPT1_I0848
ko:K05800	bsup:BSPT1_I0851
ko:K00768	bsup:BSPT1_I0852
ko:K02233	bsup:BSPT1_I0853
ko:K06938	bsup:BSPT1_I0854
ko:K06985	bsup:BSPT1_I0855
ko:K05539	bsup:BSPT1_I0856
ko:K02520	bsup:BSPT1_I1932
ko:K02916	bsup:BSPT1_I1934
ko:K02887	bsup:BSPT1_I1935
ko:K05846	bsup:BSPT1_I0222
ko:K01889	bsup:BSPT1_I1937
ko:K01890	bsup:BSPT1_I1938
ko:K04043	bsup:BSPT1_I1940
ko:K03686	bsup:BSPT1_I1941
ko:K00570	bsup:BSPT1_I1942
ko:K01591	bsup:BSPT1_I1943
ko:K05592	bsup:BSPT1_I0123
ko:K02470	bsup:BSPT1_I0124
ko:K01070	bsup:BSPT1_I0126
ko:K01070	bsup:BSPT1_I0127
ko:K02348	bsup:BSPT1_I0129
ko:K00121	bsup:BSPT1_I0130
ko:K03579	bsup:BSPT1_I0132
ko:K15011	bsup:BSPT1_I0133
ko:K15012	bsup:BSPT1_I0136
ko:K01867	bsup:BSPT1_I0141
ko:K03980	bsup:BSPT1_I0142
ko:K00990	bsup:BSPT1_I0143
ko:K00029	bsup:BSPT1_I0144
ko:K00029	bsup:BSPT1_I0145
ko:K03555	bsup:BSPT1_I0146
ko:K03101	bsup:BSPT1_I0148
ko:K03437	bsup:BSPT1_I0149
ko:K06969	bsup:BSPT1_I0150
ko:K05788	bsup:BSPT1_I0152
ko:K04773	bsup:BSPT1_I0153
ko:K11719	bsup:BSPT1_I0154
ko:K09774	bsup:BSPT1_I0155
ko:K06861	bsup:BSPT1_I0156
ko:K03092	bsup:BSPT1_I0157
ko:K02806	bsup:BSPT1_I0161
ko:K10773	bsup:BSPT1_I0165
ko:K06203	bsup:BSPT1_I0166
ko:K03687	bsup:BSPT1_I0170
ko:K03705	bsup:BSPT1_I0171
ko:K05846	bsup:BSPT1_I0220
ko:K05847	bsup:BSPT1_I0221
ko:K18118	bsup:BSPT1_I0654
ko:K03446	bsup:BSPT1_I0653
ko:K01011	bsup:BSPT1_I0657
ko:K01738	bsup:BSPT1_I0659
ko:K11927	bsup:BSPT1_I0660
ko:K01754	bsup:BSPT1_I0661
ko:K03809	bsup:BSPT1_I0664
ko:K00769	bsup:BSPT1_I0667
ko:K16053	bsup:BSPT1_I0672
ko:K16053	bsup:BSPT1_I0673
ko:K07007	bsup:BSPT1_I0675
ko:K13587	bsup:BSPT1_I0676
ko:K06204	bsup:BSPT1_I0678
ko:K08296	bsup:BSPT1_I0679
ko:K06918	bsup:BSPT1_I0680
ko:K08990	bsup:BSPT1_I0681
ko:K00950	bsup:BSPT1_I0683
ko:K01633	bsup:BSPT1_I0684
ko:K00796	bsup:BSPT1_I0685
ko:K02986	bsup:BSPT1_I0888
ko:K02337	bsup:BSPT1_I0892
ko:K09810	bsup:BSPT1_I0893
ko:K09808	bsup:BSPT1_I0894
ko:K01881	bsup:BSPT1_I0895
ko:K05606	bsup:BSPT1_I0898
ko:K12574	bsup:BSPT1_I0899
ko:K03524	bsup:BSPT1_I0900
ko:K00343	bsup:BSPT1_I0901
ko:K00342	bsup:BSPT1_I0902
ko:K00341	bsup:BSPT1_I0903
ko:K00340	bsup:BSPT1_I0904
ko:K00339	bsup:BSPT1_I0905
ko:K00338	bsup:BSPT1_I0906
ko:K00337	bsup:BSPT1_I0907
ko:K00334	bsup:BSPT1_I0910
ko:K00333	bsup:BSPT1_I0911
ko:K00332	bsup:BSPT1_I0912
ko:K00331	bsup:BSPT1_I0913
ko:K00330	bsup:BSPT1_I0914
ko:K00479	bsup:BSPT1_I1494
ko:K06193	bsup:BSPT1_I1496
ko:K08281	bsup:BSPT1_I1497
ko:K09799	bsup:BSPT1_I1498
ko:K01442	bsup:BSPT1_I1500
ko:K09807	bsup:BSPT1_I1508
ko:K09160	bsup:BSPT1_I1510
ko:K03086	bsup:BSPT1_I1512
ko:K03324	bsup:BSPT1_I1514
