ko:K01006	lmz:LMOSLCC2482_1929
ko:K02190	lmz:LMOSLCC2482_1242
ko:K03713	lmz:LMOSLCC2482_1350
ko:K09976	lmz:LMOSLCC2482_1358
ko:K09764	lmz:LMOSLCC2482_1378
ko:K03177	lmz:LMOSLCC2482_1380
ko:K01934	lmz:LMOSLCC2482_1388
ko:K00845	lmz:LMOSLCC2482_1391
ko:K02249	lmz:LMOSLCC2482_1393
ko:K00626	lmz:LMOSLCC2482_1469
ko:K01641	lmz:LMOSLCC2482_1470
ko:K06902	lmz:LMOSLCC2482_1472
ko:K05845	lmz:LMOSLCC2482_1477
ko:K05846	lmz:LMOSLCC2482_1477
ko:K00383	lmz:LMOSLCC2482_1488
ko:K02004	lmz:LMOSLCC2482_1561
ko:K00567	lmz:LMOSLCC2482_1043
ko:K03697	lmz:LMOSLCC2482_1044
ko:K07052	lmz:LMOSLCC2482_1045
ko:K11189	lmz:LMOSLCC2482_1049
ko:K08483	lmz:LMOSLCC2482_1050
ko:K02009	lmz:LMOSLCC2482_1245
ko:K15771	lmz:LMOSLCC2482_0255
ko:K06201	lmz:LMOSLCC2482_1065
ko:K11617	lmz:LMOSLCC2482_1068
ko:K11618	lmz:LMOSLCC2482_1069
ko:K03499	lmz:LMOSLCC2482_1070
ko:K02755	lmz:LMOSLCC2482_1082
ko:K02756	lmz:LMOSLCC2482_1082
ko:K02757	lmz:LMOSLCC2482_1082
ko:K09825	lmz:LMOSLCC2482_1747
ko:K07586	lmz:LMOSLCC2482_1751
ko:K09963	lmz:LMOSLCC2482_1781
ko:K08724	lmz:LMOSLCC2482_2097
ko:K08152	lmz:LMOSLCC2482_2101
ko:K07177	lmz:LMOSLCC2482_2109
ko:K07052	lmz:LMOSLCC2482_2129
ko:K04763	lmz:LMOSLCC2482_2018
ko:K03711	lmz:LMOSLCC2482_2019
ko:K01515	lmz:LMOSLCC2482_2028
ko:K00784	lmz:LMOSLCC2482_2033
ko:K04517	lmz:LMOSLCC2482_1985
ko:K00805	lmz:LMOSLCC2482_1991
ko:K00805	lmz:LMOSLCC2482_1993
ko:K01104	lmz:LMOSLCC2482_1996
ko:K01424	lmz:LMOSLCC2482_2001
ko:K05337	lmz:LMOSLCC2482_2006
ko:K03783	lmz:LMOSLCC2482_2016
ko:K01619	lmz:LMOSLCC2482_2051
ko:K02793	lmz:LMOSLCC2482_2053
ko:K02824	lmz:LMOSLCC2482_1901
ko:K07213	lmz:LMOSLCC2482_1914
ko:K03784	lmz:LMOSLCC2482_1918
ko:K03810	lmz:LMOSLCC2482_1920
ko:K07305	lmz:LMOSLCC2482_1921
ko:K07304	lmz:LMOSLCC2482_1922
ko:K03469	lmz:LMOSLCC2482_1941
ko:K07105	lmz:LMOSLCC2482_2077
ko:K03700	lmz:LMOSLCC2482_1952
ko:K02086	lmz:LMOSLCC2482_1956
ko:K00974	lmz:LMOSLCC2482_1966
ko:K00027	lmz:LMOSLCC2482_1976
ko:K02823	lmz:LMOSLCC2482_1896
ko:K09704	lmz:LMOSLCC2482_2069
ko:K01191	lmz:LMOSLCC2482_2070
ko:K01191	lmz:LMOSLCC2482_2071
ko:K07720	lmz:LMOSLCC2482_2066
ko:K11051	lmz:LMOSLCC2482_1034
ko:K06889	lmz:LMOSLCC2482_2133
ko:K05350	lmz:LMOSLCC2482_0370
ko:K11741	lmz:LMOSLCC2482_0894
ko:K11741	lmz:LMOSLCC2482_0895
ko:K01580	lmz:LMOSLCC2482_2436
ko:K03488	lmz:LMOSLCC2482_2438
ko:K07032	lmz:LMOSLCC2482_2439
ko:K01409	lmz:LMOSLCC2482_2134
ko:K05568	lmz:LMOSLCC2482_2384
ko:K05570	lmz:LMOSLCC2482_2386
ko:K06976	lmz:LMOSLCC2482_2275
ko:K07533	lmz:LMOSLCC2482_2285
ko:K03698	lmz:LMOSLCC2482_2286
ko:K01679	lmz:LMOSLCC2482_2291
ko:K12555	lmz:LMOSLCC2482_2295
ko:K06889	lmz:LMOSLCC2482_2327
ko:K00882	lmz:LMOSLCC2482_2338
ko:K03436	lmz:LMOSLCC2482_2339
ko:K01372	lmz:LMOSLCC2482_2340
ko:K06183	lmz:LMOSLCC2482_2344
ko:K02564	lmz:LMOSLCC2482_2361
ko:K01580	lmz:LMOSLCC2482_2366
ko:K00657	lmz:LMOSLCC2482_2404
ko:K04488	lmz:LMOSLCC2482_2413
ko:K05020	lmz:LMOSLCC2482_2153
ko:K00882	lmz:LMOSLCC2482_2156
ko:K02775	lmz:LMOSLCC2482_2157
ko:K07052	lmz:LMOSLCC2482_2190
ko:K00625	lmz:LMOSLCC2482_2164
ko:K07098	lmz:LMOSLCC2482_2168
ko:K02004	lmz:LMOSLCC2482_2177
ko:K00691	lmz:LMOSLCC2482_2183
ko:K07035	lmz:LMOSLCC2482_2209
ko:K01759	lmz:LMOSLCC2482_2232
ko:K01026	lmz:LMOSLCC2482_2236
ko:K10823	lmz:LMOSLCC2482_2258
ko:K15583	lmz:LMOSLCC2482_2259
ko:K15582	lmz:LMOSLCC2482_2260
ko:K07570	lmz:LMOSLCC2482_2372
ko:K02004	lmz:LMOSLCC2482_2374
ko:K03768	lmz:LMOSLCC2482_2379
ko:K05565	lmz:LMOSLCC2482_2381
ko:K18926	lmz:LMOSLCC2482_0522
ko:K08161	lmz:LMOSLCC2482_2763
ko:K00616	lmz:LMOSLCC2482_2765
ko:K07343	lmz:LMOSLCC2482_2768
ko:K03342	lmz:LMOSLCC2482_2772
ko:K07258	lmz:LMOSLCC2482_2776
ko:K00088	lmz:LMOSLCC2482_2780
ko:K02755	lmz:LMOSLCC2482_2794
ko:K02756	lmz:LMOSLCC2482_2794
ko:K02757	lmz:LMOSLCC2482_2794
ko:K03488	lmz:LMOSLCC2482_2795
ko:K02004	lmz:LMOSLCC2482_2797
ko:K07027	lmz:LMOSLCC2482_2557
ko:K03048	lmz:LMOSLCC2482_2565
ko:K02035	lmz:LMOSLCC2482_2574
ko:K02004	lmz:LMOSLCC2482_2586
ko:K03491	lmz:LMOSLCC2482_2806
ko:K02798	lmz:LMOSLCC2482_2816
ko:K02799	lmz:LMOSLCC2482_2818
ko:K02800	lmz:LMOSLCC2482_2818
ko:K01788	lmz:LMOSLCC2482_2820
ko:K00059	lmz:LMOSLCC2482_2833
ko:K00058	lmz:LMOSLCC2482_2842
ko:K04844	lmz:LMOSLCC2482_2851
ko:K02025	lmz:LMOSLCC2482_2856
ko:K01629	lmz:LMOSLCC2482_2864
ko:K01813	lmz:LMOSLCC2482_2865
ko:K06610	lmz:LMOSLCC2482_2867
ko:K06346	lmz:LMOSLCC2482_2870
ko:K02242	lmz:LMOSLCC2482_2516
ko:K02240	lmz:LMOSLCC2482_2517
ko:K07692	lmz:LMOSLCC2482_2519
ko:K02549	lmz:LMOSLCC2482_2524
ko:K02116	lmz:LMOSLCC2482_2540
ko:K04086	lmz:LMOSLCC2482_p0049
ko:K06994	lmz:LMOSLCC2482_2466
ko:K09762	lmz:LMOSLCC2482_2475
ko:K01835	lmz:LMOSLCC2482_2478
ko:K01785	lmz:LMOSLCC2482_2479
ko:K01784	lmz:LMOSLCC2482_2480
ko:K06023	lmz:LMOSLCC2482_2486
ko:K07658	lmz:LMOSLCC2482_2505
ko:K00851	lmz:LMOSLCC2482_2734
ko:K16012	lmz:LMOSLCC2482_2737
ko:K16013	lmz:LMOSLCC2482_2738
ko:K04750	lmz:LMOSLCC2482_2746
ko:K01191	lmz:LMOSLCC2482_2756
ko:K03593	lmz:LMOSLCC2482_2596
ko:K09952	lmz:LMOSLCC2482_2606
ko:K01426	lmz:LMOSLCC2482_2615
ko:K00939	lmz:LMOSLCC2482_2623
ko:K00805	lmz:LMOSLCC2482_2653
ko:K00805	lmz:LMOSLCC2482_2654
ko:K01470	lmz:LMOSLCC2482_2659
ko:K07048	lmz:LMOSLCC2482_2660
ko:K03475	lmz:LMOSLCC2482_2661
ko:K02822	lmz:LMOSLCC2482_2662
ko:K02775	lmz:LMOSLCC2482_2684
ko:K01421	lmz:LMOSLCC2482_0448
ko:K01442	lmz:LMOSLCC2482_0450
ko:K09817	lmz:LMOSLCC2482_0158
ko:K09816	lmz:LMOSLCC2482_0159
ko:K02341	lmz:LMOSLCC2482_0166
ko:K07461	lmz:LMOSLCC2482_0170
ko:K07056	lmz:LMOSLCC2482_0171
ko:K06284	lmz:LMOSLCC2482_0172
ko:K01874	lmz:LMOSLCC2482_0177
ko:K03424	lmz:LMOSLCC2482_0185
ko:K05985	lmz:LMOSLCC2482_0187
ko:K02528	lmz:LMOSLCC2482_0188
ko:K00919	lmz:LMOSLCC2482_0190
ko:K02003	lmz:LMOSLCC2482_0194
ko:K06412	lmz:LMOSLCC2482_0196
ko:K06412	lmz:LMOSLCC2482_0197
ko:K04042	lmz:LMOSLCC2482_0198
ko:K00948	lmz:LMOSLCC2482_0199
ko:K01114	lmz:LMOSLCC2482_0205
ko:K02897	lmz:LMOSLCC2482_0211
ko:K01056	lmz:LMOSLCC2482_0213
ko:K03723	lmz:LMOSLCC2482_0214
ko:K07571	lmz:LMOSLCC2482_0218
ko:K03798	lmz:LMOSLCC2482_0220
ko:K03525	lmz:LMOSLCC2482_0221
ko:K04083	lmz:LMOSLCC2482_0222
ko:K01738	lmz:LMOSLCC2482_0223
ko:K00796	lmz:LMOSLCC2482_0224
ko:K01633	lmz:LMOSLCC2482_0225
ko:K00950	lmz:LMOSLCC2482_0226
ko:K04567	lmz:LMOSLCC2482_0228
ko:K03696	lmz:LMOSLCC2482_0232
ko:K04485	lmz:LMOSLCC2482_0233
ko:K00991	lmz:LMOSLCC2482_0235
ko:K01770	lmz:LMOSLCC2482_0236
ko:K00640	lmz:LMOSLCC2482_0238
ko:K01883	lmz:LMOSLCC2482_0239
ko:K11145	lmz:LMOSLCC2482_0240
ko:K03218	lmz:LMOSLCC2482_0241
ko:K06962	lmz:LMOSLCC2482_0242
ko:K03091	lmz:LMOSLCC2482_0243
ko:K03073	lmz:LMOSLCC2482_0244
ko:K02601	lmz:LMOSLCC2482_0245
ko:K02867	lmz:LMOSLCC2482_0247
ko:K02863	lmz:LMOSLCC2482_0248
ko:K02864	lmz:LMOSLCC2482_0249
ko:K02935	lmz:LMOSLCC2482_0250
ko:K00690	lmz:LMOSLCC2482_0258
ko:K03043	lmz:LMOSLCC2482_0261
ko:K03046	lmz:LMOSLCC2482_0262
ko:K01223	lmz:LMOSLCC2482_0264
ko:K15975	lmz:LMOSLCC2482_0273
ko:K02034	lmz:LMOSLCC2482_0275
ko:K01223	lmz:LMOSLCC2482_0278
ko:K02072	lmz:LMOSLCC2482_0291
ko:K02071	lmz:LMOSLCC2482_0292
ko:K02073	lmz:LMOSLCC2482_0293
ko:K00783	lmz:LMOSLCC2482_0301
ko:K02761	lmz:LMOSLCC2482_0310
ko:K02760	lmz:LMOSLCC2482_0311
ko:K02759	lmz:LMOSLCC2482_0313
ko:K03707	lmz:LMOSLCC2482_0320
ko:K00878	lmz:LMOSLCC2482_0321
ko:K00941	lmz:LMOSLCC2482_0322
ko:K00788	lmz:LMOSLCC2482_0323
ko:K01223	lmz:LMOSLCC2482_0324
ko:K00615	lmz:LMOSLCC2482_0344
ko:K01808	lmz:LMOSLCC2482_0347
ko:K01803	lmz:LMOSLCC2482_0348
ko:K05879	lmz:LMOSLCC2482_0349
ko:K05878	lmz:LMOSLCC2482_0350
ko:K02769	lmz:LMOSLCC2482_0361
ko:K02770	lmz:LMOSLCC2482_0361
ko:K01624	lmz:LMOSLCC2482_0362
ko:K05995	lmz:LMOSLCC2482_0364
ko:K06193	lmz:LMOSLCC2482_0368
ko:K02761	lmz:LMOSLCC2482_0371
ko:K02760	lmz:LMOSLCC2482_0372
ko:K06608	lmz:LMOSLCC2482_0380
ko:K00140	lmz:LMOSLCC2482_0381
ko:K03337	lmz:LMOSLCC2482_0382
ko:K03338	lmz:LMOSLCC2482_0383
ko:K03336	lmz:LMOSLCC2482_0384
ko:K03648	lmz:LMOSLCC2482_0388
ko:K00286	lmz:LMOSLCC2482_0394
ko:K02003	lmz:LMOSLCC2482_0402
ko:K03306	lmz:LMOSLCC2482_0413
ko:K02110	lmz:LMOSLCC2482_0096
ko:K02113	lmz:LMOSLCC2482_0097
ko:K02111	lmz:LMOSLCC2482_0098
ko:K02115	lmz:LMOSLCC2482_0099
ko:K02112	lmz:LMOSLCC2482_0100
ko:K02114	lmz:LMOSLCC2482_0101
ko:K01448	lmz:LMOSLCC2482_0142
ko:K06975	lmz:LMOSLCC2482_0147
ko:K02034	lmz:LMOSLCC2482_0150
ko:K16509	lmz:LMOSLCC2482_2257
ko:K03699	lmz:LMOSLCC2482_2760
ko:K01977	lmz:LMOSLCC2482rRNA01
ko:K01977	lmz:LMOSLCC2482rRNA04
ko:K01977	lmz:LMOSLCC2482rRNA15
ko:K01977	lmz:LMOSLCC2482rRNA12
ko:K01977	lmz:LMOSLCC2482rRNA09
ko:K01977	lmz:LMOSLCC2482rRNA18
ko:K06198	lmz:LMOSLCC2482_2255
ko:K14234	lmz:LMOSLCC2482tRNA63
ko:K16511	lmz:LMOSLCC2482_2256
ko:K02038	lmz:LMOSLCC2482_2501
ko:K02037	lmz:LMOSLCC2482_2502
ko:K02040	lmz:LMOSLCC2482_2503
ko:K07636	lmz:LMOSLCC2482_2504
ko:K07718	lmz:LMOSLCC2482_2067
ko:K00872	lmz:LMOSLCC2482_2549
ko:K02996	lmz:LMOSLCC2482_2608
ko:K02871	lmz:LMOSLCC2482_2609
ko:K06173	lmz:LMOSLCC2482_2610
ko:K07507	lmz:LMOSLCC2482_2614
ko:K02879	lmz:LMOSLCC2482_2617
ko:K03040	lmz:LMOSLCC2482_2618
ko:K02948	lmz:LMOSLCC2482_2619
ko:K02952	lmz:LMOSLCC2482_2620
ko:K02919	lmz:LMOSLCC2482_2621
ko:K02518	lmz:LMOSLCC2482_2622
ko:K03076	lmz:LMOSLCC2482_2624
ko:K02876	lmz:LMOSLCC2482_2625
ko:K02907	lmz:LMOSLCC2482_2626
ko:K02988	lmz:LMOSLCC2482_2627
ko:K02881	lmz:LMOSLCC2482_2628
ko:K02933	lmz:LMOSLCC2482_2629
ko:K02994	lmz:LMOSLCC2482_2630
ko:K02954	lmz:LMOSLCC2482_2632
ko:K02931	lmz:LMOSLCC2482_2633
ko:K02895	lmz:LMOSLCC2482_2634
ko:K02874	lmz:LMOSLCC2482_2635
ko:K02961	lmz:LMOSLCC2482_2636
ko:K02774	lmz:LMOSLCC2482_2685
ko:K02773	lmz:LMOSLCC2482_2686
ko:K01808	lmz:LMOSLCC2482_2693
ko:K07667	lmz:LMOSLCC2482_2697
ko:K07646	lmz:LMOSLCC2482_2698
ko:K01548	lmz:LMOSLCC2482_2699
ko:K01547	lmz:LMOSLCC2482_2700
ko:K01546	lmz:LMOSLCC2482_2701
ko:K02760	lmz:LMOSLCC2482_2702
ko:K02761	lmz:LMOSLCC2482_2703
ko:K02759	lmz:LMOSLCC2482_2704
ko:K01531	lmz:LMOSLCC2482_2707
ko:K00943	lmz:LMOSLCC2482_2711
ko:K05878	lmz:LMOSLCC2482_2713
ko:K05879	lmz:LMOSLCC2482_2714
ko:K06187	lmz:LMOSLCC2482_2723
ko:K09747	lmz:LMOSLCC2482_2724
ko:K02343	lmz:LMOSLCC2482_2725
ko:K06978	lmz:LMOSLCC2482_2777
ko:K03654	lmz:LMOSLCC2482_2779
ko:K01223	lmz:LMOSLCC2482_2783
ko:K02760	lmz:LMOSLCC2482_2784
ko:K02761	lmz:LMOSLCC2482_2785
ko:K02759	lmz:LMOSLCC2482_2787
ko:K01919	lmz:LMOSLCC2482_2792
ko:K01223	lmz:LMOSLCC2482_2793
ko:K02003	lmz:LMOSLCC2482_2796
ko:K06942	lmz:LMOSLCC2482_2801
ko:K02759	lmz:LMOSLCC2482_2802
ko:K05349	lmz:LMOSLCC2482_2803
ko:K02760	lmz:LMOSLCC2482_2804
ko:K02761	lmz:LMOSLCC2482_2805
ko:K03781	lmz:LMOSLCC2482_2807
ko:K08600	lmz:LMOSLCC2482_2247
ko:K02013	lmz:LMOSLCC2482_2248
ko:K02015	lmz:LMOSLCC2482_2249
ko:K02016	lmz:LMOSLCC2482_2250
ko:K08602	lmz:LMOSLCC2482_2254
ko:K15581	lmz:LMOSLCC2482_2261
ko:K15580	lmz:LMOSLCC2482_2262
ko:K01867	lmz:LMOSLCC2482_2264
ko:K09458	lmz:LMOSLCC2482_2267
ko:K00648	lmz:LMOSLCC2482_2268
ko:K03695	lmz:LMOSLCC2482_2272
ko:K06890	lmz:LMOSLCC2482_2273
ko:K01772	lmz:LMOSLCC2482_2277
ko:K01599	lmz:LMOSLCC2482_2278
ko:K02503	lmz:LMOSLCC2482_2282
ko:K01778	lmz:LMOSLCC2482_2074
ko:K01870	lmz:LMOSLCC2482_2075
ko:K04074	lmz:LMOSLCC2482_2076
ko:K04487	lmz:LMOSLCC2482_2078
ko:K00278	lmz:LMOSLCC2482_2079
ko:K00767	lmz:LMOSLCC2482_2080
ko:K03517	lmz:LMOSLCC2482_2081
ko:K02221	lmz:LMOSLCC2482_2087
ko:K09772	lmz:LMOSLCC2482_2088
ko:K06997	lmz:LMOSLCC2482_2089
ko:K03531	lmz:LMOSLCC2482_2090
ko:K03590	lmz:LMOSLCC2482_2091
ko:K03589	lmz:LMOSLCC2482_2092
ko:K02563	lmz:LMOSLCC2482_2093
ko:K01925	lmz:LMOSLCC2482_2094
ko:K01000	lmz:LMOSLCC2482_2095
ko:K01928	lmz:LMOSLCC2482_2096
ko:K03438	lmz:LMOSLCC2482_2099
ko:K03925	lmz:LMOSLCC2482_2100
ko:K00077	lmz:LMOSLCC2482_2103
ko:K02911	lmz:LMOSLCC2482_2105
ko:K07040	lmz:LMOSLCC2482_2106
ko:K00014	lmz:LMOSLCC2482_2302
ko:K13531	lmz:LMOSLCC2482_2308
ko:K13530	lmz:LMOSLCC2482_2309
ko:K06180	lmz:LMOSLCC2482_2310
ko:K07220	lmz:LMOSLCC2482_2314
ko:K03306	lmz:LMOSLCC2482_2315
ko:K06901	lmz:LMOSLCC2482_2320
ko:K05520	lmz:LMOSLCC2482_2322
ko:K02759	lmz:LMOSLCC2482_2324
ko:K02250	lmz:LMOSLCC2482_2335
ko:K00954	lmz:LMOSLCC2482_2110
ko:K02259	lmz:LMOSLCC2482_2116
ko:K10716	lmz:LMOSLCC2482_2117
ko:K14166	lmz:LMOSLCC2482_2120
ko:K03282	lmz:LMOSLCC2482_2122
ko:K01442	lmz:LMOSLCC2482_2125
ko:K04077	lmz:LMOSLCC2482_2126
ko:K04078	lmz:LMOSLCC2482_2127
ko:K01926	lmz:LMOSLCC2482_2131
ko:K06158	lmz:LMOSLCC2482_2132
ko:K03789	lmz:LMOSLCC2482_2135
ko:K06925	lmz:LMOSLCC2482_2137
ko:K06199	lmz:LMOSLCC2482_2140
ko:K06199	lmz:LMOSLCC2482_2141
ko:K01940	lmz:LMOSLCC2482_2151
ko:K01755	lmz:LMOSLCC2482_2152
ko:K02768	lmz:LMOSLCC2482_2337
ko:K02769	lmz:LMOSLCC2482_2337
ko:K02770	lmz:LMOSLCC2482_2337
ko:K00299	lmz:LMOSLCC2482_2353
ko:K01421	lmz:LMOSLCC2482_2363
ko:K01628	lmz:LMOSLCC2482_2155
ko:K02774	lmz:LMOSLCC2482_2158
ko:K02773	lmz:LMOSLCC2482_2159
ko:K06215	lmz:LMOSLCC2482_2162
ko:K08681	lmz:LMOSLCC2482_2163
ko:K04758	lmz:LMOSLCC2482_2165
