ko:K11707	cpsg:B598_0483
ko:K03224	cpsg:B598_0043
ko:K02417	cpsg:B598_0046
ko:K03219	cpsg:B598_0048
ko:K02838	cpsg:B598_0055
ko:K09903	cpsg:B598_0056
ko:K02357	cpsg:B598_0057
ko:K02967	cpsg:B598_0058
ko:K03162	cpsg:B598_0060
ko:K09013	cpsg:B598_0064
ko:K09015	cpsg:B598_0065
ko:K11717	cpsg:B598_0066
ko:K07220	cpsg:B598_0073
ko:K01883	cpsg:B598_0893
ko:K04567	cpsg:B598_0894
ko:K04066	cpsg:B598_0897
ko:K01909	cpsg:B598_0898
ko:K00655	cpsg:B598_0899
ko:K01082	cpsg:B598_0900
ko:K00263	cpsg:B598_0901
ko:K01507	cpsg:B598_0902
ko:K09458	cpsg:B598_0904
ko:K09710	cpsg:B598_0905
ko:K00791	cpsg:B598_0910
ko:K03926	cpsg:B598_0913
ko:K06960	cpsg:B598_0914
ko:K02563	cpsg:B598_0916
ko:K03588	cpsg:B598_0917
ko:K01925	cpsg:B598_0919
ko:K01000	cpsg:B598_0920
ko:K01929	cpsg:B598_0921
ko:K02356	cpsg:B598_0927
ko:K01241	cpsg:B598_0928
ko:K00615	cpsg:B598_0929
ko:K01872	cpsg:B598_0930
ko:K03723	cpsg:B598_0933
ko:K01599	cpsg:B598_0934
ko:K00231	cpsg:B598_0936
ko:K03210	cpsg:B598_0941
ko:K00351	cpsg:B598_0942
ko:K03306	cpsg:B598_0074
ko:K00927	cpsg:B598_0075
ko:K07258	cpsg:B598_0081
ko:K02337	cpsg:B598_0088
ko:K07783	cpsg:B598_0089
ko:K01892	cpsg:B598_0091
ko:K01876	cpsg:B598_0092
ko:K03216	cpsg:B598_0094
ko:K03671	cpsg:B598_0095
ko:K06925	cpsg:B598_0099
ko:K02342	cpsg:B598_0100
ko:K03820	cpsg:B598_0102
ko:K02535	cpsg:B598_0103
ko:K02372	cpsg:B598_0104
ko:K00677	cpsg:B598_0105
ko:K00604	cpsg:B598_0106
ko:K02906	cpsg:B598_0109
ko:K02926	cpsg:B598_0110
ko:K02892	cpsg:B598_0111
ko:K02886	cpsg:B598_0112
ko:K02965	cpsg:B598_0113
ko:K02890	cpsg:B598_0114
ko:K02982	cpsg:B598_0115
ko:K02878	cpsg:B598_0116
ko:K02904	cpsg:B598_0117
ko:K02961	cpsg:B598_0118
ko:K02874	cpsg:B598_0119
ko:K02895	cpsg:B598_0120
ko:K02931	cpsg:B598_0121
ko:K02994	cpsg:B598_0122
ko:K02933	cpsg:B598_0123
ko:K02881	cpsg:B598_0124
ko:K02988	cpsg:B598_0125
ko:K02876	cpsg:B598_0126
ko:K03076	cpsg:B598_0127
ko:K02952	cpsg:B598_0128
ko:K02948	cpsg:B598_0129
ko:K03040	cpsg:B598_0130
ko:K02879	cpsg:B598_0131
ko:K03466	cpsg:B598_0950
ko:K07117	cpsg:B598_0952
ko:K06910	cpsg:B598_0953
ko:K03310	cpsg:B598_0954
ko:K00794	cpsg:B598_0958
ko:K14652	cpsg:B598_0959
ko:K11752	cpsg:B598_0960
ko:K01875	cpsg:B598_0961
ko:K05837	cpsg:B598_0964
ko:K03524	cpsg:B598_0965
ko:K06178	cpsg:B598_0967
ko:K04487	cpsg:B598_0969
ko:K13819	cpsg:B598_0970
ko:K02409	cpsg:B598_0972
ko:K02411	cpsg:B598_0973
ko:K02412	cpsg:B598_0974
ko:K00972	cpsg:B598_0976
ko:K00057	cpsg:B598_0977
ko:K01596	cpsg:B598_0981
ko:K03569	cpsg:B598_0982
ko:K03545	cpsg:B598_0985
ko:K01358	cpsg:B598_0987
ko:K03544	cpsg:B598_0988
ko:K00970	cpsg:B598_0989
ko:K03977	cpsg:B598_0990
ko:K03070	cpsg:B598_0992
ko:K01613	cpsg:B598_0994
ko:K03650	cpsg:B598_0995
ko:K10773	cpsg:B598_0996
ko:K03311	cpsg:B598_0997
ko:K02519	cpsg:B598_0511
ko:K02600	cpsg:B598_0512
ko:K02945	cpsg:B598_0513
ko:K00384	cpsg:B598_0514
ko:K00997	cpsg:B598_0515
ko:K03217	cpsg:B598_0518
ko:K02313	cpsg:B598_0519
ko:K00688	cpsg:B598_0521
ko:K00627	cpsg:B598_0522
ko:K00162	cpsg:B598_0523
ko:K00161	cpsg:B598_0524
ko:K02536	cpsg:B598_0527
ko:K06142	cpsg:B598_0528
ko:K07277	cpsg:B598_0529
ko:K06187	cpsg:B598_0530
ko:K00648	cpsg:B598_0531
ko:K00645	cpsg:B598_0532
ko:K00059	cpsg:B598_0533
ko:K02078	cpsg:B598_0534
ko:K03308	cpsg:B598_0539
ko:K06213	cpsg:B598_0543
ko:K02071	cpsg:B598_0548
ko:K02072	cpsg:B598_0549
ko:K02073	cpsg:B598_0550
ko:K02470	cpsg:B598_0553
ko:K02469	cpsg:B598_0554
ko:K00943	cpsg:B598_0555
ko:K02343	cpsg:B598_0556
ko:K06999	cpsg:B598_0557
ko:K07566	cpsg:B598_0559
ko:K06966	cpsg:B598_0563
ko:K00134	cpsg:B598_0132
ko:K01159	cpsg:B598_0136
ko:K03550	cpsg:B598_0137
ko:K00940	cpsg:B598_0138
ko:K03800	cpsg:B598_0139
ko:K03495	cpsg:B598_0140
ko:K00995	cpsg:B598_0143
ko:K03301	cpsg:B598_0144
ko:K00859	cpsg:B598_0147
ko:K03628	cpsg:B598_0148
ko:K00762	cpsg:B598_0151
ko:K00975	cpsg:B598_0152
ko:K07099	cpsg:B598_0153
ko:K02030	cpsg:B598_0155
ko:K01772	cpsg:B598_0156
ko:K02035	cpsg:B598_0163
ko:K02033	cpsg:B598_0164
ko:K02034	cpsg:B598_0165
ko:K00567	cpsg:B598_0166
ko:K01890	cpsg:B598_0168
ko:K03584	cpsg:B598_0173
ko:K07714	cpsg:B598_0178
ko:K07710	cpsg:B598_0180
ko:K06173	cpsg:B598_0184
ko:K00991	cpsg:B598_0185
ko:K07098	cpsg:B598_0186
ko:K00382	cpsg:B598_1000
ko:K03644	cpsg:B598_1001
ko:K03222	cpsg:B598_1002
ko:K03223	cpsg:B598_1004
ko:K03226	cpsg:B598_1005
ko:K03227	cpsg:B598_1006
ko:K03228	cpsg:B598_1007
ko:K02455	cpsg:B598_1013
ko:K02454	cpsg:B598_1014
ko:K02453	cpsg:B598_1015
ko:K01262	cpsg:B598_1018
ko:K03572	cpsg:B598_1020
ko:K01868	cpsg:B598_1026
ko:K01867	cpsg:B598_1030
ko:K03702	cpsg:B598_1031
ko:K01689	cpsg:B598_1032
ko:K07315	cpsg:B598_1033
ko:K00240	cpsg:B598_1037
ko:K00239	cpsg:B598_1038
ko:K00241	cpsg:B598_1039
ko:K03424	cpsg:B598_1040
ko:K03562	cpsg:B598_1042
ko:K03641	cpsg:B598_1045
ko:K03640	cpsg:B598_1046
ko:K03386	cpsg:B598_1049
ko:K02836	cpsg:B598_0188
ko:K00790	cpsg:B598_0193
ko:K01887	cpsg:B598_0194
ko:K00655	cpsg:B598_0195
ko:K00945	cpsg:B598_0196
ko:K00981	cpsg:B598_0197
ko:K00806	cpsg:B598_0198
ko:K12257	cpsg:B598_0202
ko:K07462	cpsg:B598_0203
ko:K01885	cpsg:B598_0206
ko:K03797	cpsg:B598_0212
ko:K02950	cpsg:B598_0217
ko:K02992	cpsg:B598_0218
ko:K02355	cpsg:B598_0219
ko:K02946	cpsg:B598_0220
ko:K00380	cpsg:B598_0221
ko:K01770	cpsg:B598_0222
ko:K02888	cpsg:B598_0225
ko:K02899	cpsg:B598_0226
ko:K03979	cpsg:B598_0227
ko:K09817	cpsg:B598_0229
ko:K09815	cpsg:B598_0230
ko:K00788	cpsg:B598_0232
ko:K00878	cpsg:B598_0233
ko:K03310	cpsg:B598_0238
ko:K03101	cpsg:B598_0239
ko:K06204	cpsg:B598_0240
ko:K07738	cpsg:B598_0241
ko:K02428	cpsg:B598_1053
ko:K03648	cpsg:B598_1055
ko:K03657	cpsg:B598_1056
ko:K03092	cpsg:B598_1057
ko:K03168	cpsg:B598_1059
ko:K01934	cpsg:B598_1065
ko:K06137	cpsg:B598_1067
ko:K13941	cpsg:B598_1070
ko:K01633	cpsg:B598_1071
ko:K03086	cpsg:B598_1072
ko:K02968	cpsg:B598_1074
ko:K03581	cpsg:B598_1076
ko:K13789	cpsg:B598_1080
ko:K03179	cpsg:B598_0564
ko:K03186	cpsg:B598_0565
ko:K03787	cpsg:B598_0569
ko:K07039	cpsg:B598_0571
ko:K14441	cpsg:B598_0579
ko:K02913	cpsg:B598_0580
ko:K09808	cpsg:B598_0581
ko:K02871	cpsg:B598_0584
ko:K02996	cpsg:B598_0585
ko:K00939	cpsg:B598_0587
ko:K01057	cpsg:B598_0591
ko:K00036	cpsg:B598_0592
ko:K15580	cpsg:B598_0593
ko:K01409	cpsg:B598_0594
ko:K03402	cpsg:B598_0595
ko:K02029	cpsg:B598_0596
ko:K07058	cpsg:B598_0600
ko:K01783	cpsg:B598_0603
ko:K02356	cpsg:B598_0604
ko:K02160	cpsg:B598_0605
ko:K01961	cpsg:B598_0606
ko:K09131	cpsg:B598_0277
ko:K00793	cpsg:B598_0242
ko:K06969	cpsg:B598_0243
ko:K03437	cpsg:B598_0244
ko:K00912	cpsg:B598_0245
ko:K00658	cpsg:B598_0247
ko:K06041	cpsg:B598_0248
ko:K07164	cpsg:B598_0249
ko:K01719	cpsg:B598_0253
ko:K00600	cpsg:B598_0254
ko:K01358	cpsg:B598_0255
ko:K01778	cpsg:B598_0256
ko:K03183	cpsg:B598_0258
ko:K07042	cpsg:B598_0265
ko:K03652	cpsg:B598_0269
ko:K12573	cpsg:B598_0270
ko:K04043	cpsg:B598_0271
ko:K03687	cpsg:B598_0272
ko:K03705	cpsg:B598_0273
ko:K01881	cpsg:B598_0274
ko:K10206	cpsg:B598_0279
ko:K06966	cpsg:B598_0282
ko:K03307	cpsg:B598_0288
ko:K03856	cpsg:B598_0290
ko:K09996	cpsg:B598_0292
ko:K06167	cpsg:B598_0294
ko:K03665	cpsg:B598_0295
ko:K09125	cpsg:B598_0621
ko:K00773	cpsg:B598_0624
ko:K03611	cpsg:B598_0628
ko:K02049	cpsg:B598_0632
ko:K00979	cpsg:B598_0637
ko:K01937	cpsg:B598_0638
ko:K07447	cpsg:B598_0639
ko:K02035	cpsg:B598_0641
ko:K02035	cpsg:B598_0642
ko:K02035	cpsg:B598_0643
ko:K15581	cpsg:B598_0644
ko:K15582	cpsg:B598_0645
ko:K10823	cpsg:B598_0646
ko:K15583	cpsg:B598_0647
ko:K03319	cpsg:B598_0649
ko:K00850	cpsg:B598_0650
ko:K06889	cpsg:B598_0651
ko:K02527	cpsg:B598_0655
ko:K01869	cpsg:B598_0656
ko:K06889	cpsg:B598_0657
ko:K01972	cpsg:B598_0660
ko:K03695	cpsg:B598_0672
ko:K02065	cpsg:B598_0674
ko:K02066	cpsg:B598_0675
ko:K01845	cpsg:B598_0676
ko:K07735	cpsg:B598_0677
ko:K08999	cpsg:B598_0678
ko:K01807	cpsg:B598_0679
ko:K08602	cpsg:B598_0686
ko:K04078	cpsg:B598_0687
ko:K04077	cpsg:B598_0688
ko:K03581	cpsg:B598_0694
ko:K01874	cpsg:B598_0695
ko:K00942	cpsg:B598_0697
ko:K03470	cpsg:B598_0698
ko:K02884	cpsg:B598_0699
ko:K00554	cpsg:B598_0700
ko:K02959	cpsg:B598_0701
ko:K03106	cpsg:B598_0702
ko:K02493	cpsg:B598_0703
ko:K02835	cpsg:B598_0704
ko:K02909	cpsg:B598_0705
ko:K03100	cpsg:B598_0707
ko:K01870	cpsg:B598_0708
ko:K07175	cpsg:B598_0710
ko:K00426	cpsg:B598_0714
ko:K00425	cpsg:B598_0715
ko:K02517	cpsg:B598_0718
ko:K00873	cpsg:B598_0720
ko:K03701	cpsg:B598_0721
ko:K01873	cpsg:B598_0723
ko:K02124	cpsg:B598_0725
ko:K02123	cpsg:B598_0726
ko:K02120	cpsg:B598_0727
ko:K02118	cpsg:B598_0728
ko:K00700	cpsg:B598_0298
ko:K09779	cpsg:B598_0319
ko:K02435	cpsg:B598_0320
ko:K02433	cpsg:B598_0321
ko:K02434	cpsg:B598_0322
ko:K03471	cpsg:B598_0326
ko:K06888	cpsg:B598_0336
ko:K02528	cpsg:B598_0338
ko:K01662	cpsg:B598_0339
ko:K03602	cpsg:B598_0341
ko:K03601	cpsg:B598_0342
ko:K01803	cpsg:B598_0343
ko:K03075	cpsg:B598_0345
ko:K01462	cpsg:B598_0347
ko:K02067	cpsg:B598_0673
ko:K11709	cpsg:B598_0486
ko:K11708	cpsg:B598_0485
ko:K11710	cpsg:B598_0484
ko:K00895	cpsg:B598_0652
ko:K14226	cpsg:B598_0948
ko:K14233	cpsg:B598_0817
ko:K03559	cpsg:B598_1043
ko:K14219	cpsg:B598_0028
ko:K14227	cpsg:B598_0633
ko:K01834	cpsg:B598_0968
ko:K11645	cpsg:B598_0546
ko:K09810	cpsg:B598_0582
ko:K14234	cpsg:B598_0572
ko:K14223	cpsg:B598_0876
ko:K02028	cpsg:B598_0597
ko:K14233	cpsg:B598_0231
ko:K14220	cpsg:B598_0690
ko:K01980	cpsg:B598_1085
ko:K14224	cpsg:B598_0054
ko:K01985	cpsg:B598_1084
ko:K17103	cpsg:B598_0828
ko:K04084	cpsg:B598_1041
ko:K14218	cpsg:B598_0005
ko:K14218	cpsg:B598_0634
ko:K14234	cpsg:B598_0049
ko:K14229	cpsg:B598_0053
ko:K14225	cpsg:B598_0059
ko:K14228	cpsg:B598_0096
ko:K14228	cpsg:B598_0134
ko:K14228	cpsg:B598_0182
ko:K14228	cpsg:B598_0171
ko:K14228	cpsg:B598_0786
ko:K14233	cpsg:B598_0142
ko:K14233	cpsg:B598_0335
ko:K14219	cpsg:B598_0412
ko:K14219	cpsg:B598_1050
ko:K14231	cpsg:B598_0224
ko:K14232	cpsg:B598_0472
ko:K14232	cpsg:B598_1081
ko:K14221	cpsg:B598_0567
ko:K14237	cpsg:B598_0568
ko:K14236	cpsg:B598_0573
ko:K14230	cpsg:B598_0653
ko:K14230	cpsg:B598_0654
ko:K14230	cpsg:B598_0749
ko:K14235	cpsg:B598_0743
ko:K14222	cpsg:B598_0922
ko:K01977	cpsg:B598_1086
ko:K14225	cpsg:B598_0984
ko:K14219	cpsg:B598_0177
ko:K14234	cpsg:B598_0745
ko:K14237	cpsg:B598_0824
ko:K01840	cpsg:B598_0376
ko:K06972	cpsg:B598_0830
ko:K07081	cpsg:B598_0259
ko:K03582	cpsg:B598_0009
ko:K01872	cpsg:B598_0931
ko:K03572	cpsg:B598_1019
ko:K04077	cpsg:B598_1051
ko:K14441	cpsg:B598_0578
ko:K00773	cpsg:B598_0623
ko:K22099	cpsg:B598_1068
ko:K08274	cpsg:B598_0782
ko:K08275	cpsg:B598_0496
ko:K18707	cpsg:B598_0296
ko:K03825	cpsg:B598_0189
ko:K03497	cpsg:B598_0070
ko:K03496	cpsg:B598_1027
ko:K03111	cpsg:B598_0450
ko:K02626	cpsg:B598_0777
ko:K11991	cpsg:B598_0809
ko:K04771	cpsg:B598_0832
ko:K11749	cpsg:B598_0488
ko:K19405	cpsg:B598_0051
ko:K19411	cpsg:B598_0052
ko:K00500	cpsg:B598_0761
ko:K07033	cpsg:B598_0063
ko:K03309	cpsg:B598_0246
ko:K12132	cpsg:B598_0722
ko:K20074	cpsg:B598_0438
ko:K20265	cpsg:B598_0545
ko:K01214	cpsg:B598_0447
ko:K01802	cpsg:B598_0093
ko:K00526	cpsg:B598_0826
ko:K02316	cpsg:B598_0886
ko:K02314	cpsg:B598_0141
ko:K03553	cpsg:B598_1066
ko:K00287	cpsg:B598_1069
ko:K01520	cpsg:B598_0379
ko:K02335	cpsg:B598_0146
ko:K00525	cpsg:B598_0827
ko:K02031	cpsg:B598_0072
ko:K02050	cpsg:B598_0797
ko:K02051	cpsg:B598_0797
ko:K01829	cpsg:B598_0892
ko:K01534	cpsg:B598_0963
ko:K16239	cpsg:B598_0500
