ko:K11741	lrg:LRHM_2681
ko:K03299	lrg:LRHM_0273
ko:K02074	lrg:LRHM_0281
ko:K07304	lrg:LRHM_1165
ko:K01607	lrg:LRHM_1177
ko:K06286	lrg:LRHM_1204
ko:K03316	lrg:LRHM_0597
ko:K01674	lrg:LRHM_0603
ko:K15051	lrg:LRHM_0614
ko:K01220	lrg:LRHM_0629
ko:K02786	lrg:LRHM_0631
ko:K01784	lrg:LRHM_0633
ko:K01785	lrg:LRHM_0636
ko:K00917	lrg:LRHM_0642
ko:K01635	lrg:LRHM_0643
ko:K01819	lrg:LRHM_0644
ko:K01819	lrg:LRHM_0645
ko:K02530	lrg:LRHM_0646
ko:K00845	lrg:LRHM_1639
ko:K11618	lrg:LRHM_1646
ko:K11617	lrg:LRHM_1647
ko:K00033	lrg:LRHM_1663
ko:K06948	lrg:LRHM_1674
ko:K11144	lrg:LRHM_1692
ko:K03346	lrg:LRHM_1693
ko:K10563	lrg:LRHM_1696
ko:K03469	lrg:LRHM_1410
ko:K07052	lrg:LRHM_0021
ko:K07052	lrg:LRHM_0024
ko:K02004	lrg:LRHM_0033
ko:K02342	lrg:LRHM_0920
ko:K03316	lrg:LRHM_0924
ko:K11072	lrg:LRHM_0926
ko:K11071	lrg:LRHM_0927
ko:K11069	lrg:LRHM_0929
ko:K02243	lrg:LRHM_0944
ko:K02244	lrg:LRHM_0945
ko:K02245	lrg:LRHM_0946
ko:K02246	lrg:LRHM_0947
ko:K02248	lrg:LRHM_0948
ko:K01989	lrg:LRHM_0665
ko:K05832	lrg:LRHM_0667
ko:K05833	lrg:LRHM_0668
ko:K14983	lrg:LRHM_0677
ko:K06183	lrg:LRHM_0810
ko:K07069	lrg:LRHM_0811
ko:K06198	lrg:LRHM_0820
ko:K07816	lrg:LRHM_0823
ko:K06201	lrg:LRHM_0827
ko:K07404	lrg:LRHM_0829
ko:K00059	lrg:LRHM_0842
ko:K02240	lrg:LRHM_0851
ko:K02242	lrg:LRHM_0852
ko:K06994	lrg:LRHM_0068
ko:K07052	lrg:LRHM_0089
ko:K15524	lrg:LRHM_0093
ko:K05822	lrg:LRHM_0111
ko:K07316	lrg:LRHM_0981
ko:K01156	lrg:LRHM_0982
ko:K07386	lrg:LRHM_0987
ko:K07273	lrg:LRHM_0992
ko:K00938	lrg:LRHM_1013
ko:K02755	lrg:LRHM_1017
ko:K02756	lrg:LRHM_1017
ko:K02757	lrg:LRHM_1017
ko:K02433	lrg:LRHM_0977
ko:K14982	lrg:LRHM_0678
ko:K01934	lrg:LRHM_0699
ko:K01990	lrg:LRHM_1484
ko:K01489	lrg:LRHM_1488
ko:K07305	lrg:LRHM_1497
ko:K00712	lrg:LRHM_1523
ko:K00712	lrg:LRHM_1524
ko:K09963	lrg:LRHM_0127
ko:K02004	lrg:LRHM_0131
ko:K00567	lrg:LRHM_0157
ko:K09004	lrg:LRHM_0169
ko:K15051	lrg:LRHM_1093
ko:K03810	lrg:LRHM_1096
ko:K06959	lrg:LRHM_1196
ko:K07010	lrg:LRHM_1198
ko:K02986	lrg:LRHM_1202
ko:K04487	lrg:LRHM_1205
ko:K03151	lrg:LRHM_1206
ko:K01926	lrg:LRHM_1208
ko:K01873	lrg:LRHM_1209
ko:K11754	lrg:LRHM_1210
ko:K03630	lrg:LRHM_1212
ko:K03569	lrg:LRHM_1213
ko:K03570	lrg:LRHM_1214
ko:K03571	lrg:LRHM_1215
ko:K00763	lrg:LRHM_1792
ko:K03710	lrg:LRHM_1793
ko:K01443	lrg:LRHM_1794
ko:K00286	lrg:LRHM_1795
ko:K03305	lrg:LRHM_1800
ko:K01610	lrg:LRHM_1807
ko:K04759	lrg:LRHM_1809
ko:K04758	lrg:LRHM_1810
ko:K07118	lrg:LRHM_1813
ko:K01875	lrg:LRHM_1817
ko:K01575	lrg:LRHM_1821
ko:K01652	lrg:LRHM_1822
ko:K02913	lrg:LRHM_1827
ko:K05813	lrg:LRHM_2662
ko:K07106	lrg:LRHM_2669
ko:K00783	lrg:LRHM_2691
ko:K13993	lrg:LRHM_2698
ko:K01940	lrg:LRHM_2710
ko:K01755	lrg:LRHM_2711
ko:K02761	lrg:LRHM_2714
ko:K02760	lrg:LRHM_2716
ko:K02759	lrg:LRHM_2717
ko:K06180	lrg:LRHM_1829
ko:K05964	lrg:LRHM_1836
ko:K01643	lrg:LRHM_1837
ko:K01644	lrg:LRHM_1838
ko:K01646	lrg:LRHM_1839
ko:K01910	lrg:LRHM_1840
ko:K03300	lrg:LRHM_1844
ko:K07559	lrg:LRHM_1846
ko:K07090	lrg:LRHM_1857
ko:K15581	lrg:LRHM_1867
ko:K02204	lrg:LRHM_1874
ko:K03449	lrg:LRHM_2723
ko:K03817	lrg:LRHM_2754
ko:K03924	lrg:LRHM_2756
ko:K01744	lrg:LRHM_2762
ko:K01951	lrg:LRHM_1892
ko:K08659	lrg:LRHM_1896
ko:K03657	lrg:LRHM_1898
ko:K01772	lrg:LRHM_1905
ko:K02003	lrg:LRHM_1909
ko:K03665	lrg:LRHM_1912
ko:K00067	lrg:LRHM_1919
ko:K01790	lrg:LRHM_1921
ko:K00973	lrg:LRHM_1922
ko:K10040	lrg:LRHM_1930
ko:K10039	lrg:LRHM_1931
ko:K00942	lrg:LRHM_1936
ko:K01866	lrg:LRHM_1939
ko:K00948	lrg:LRHM_2798
ko:K00009	lrg:LRHM_2801
ko:K02003	lrg:LRHM_2812
ko:K02073	lrg:LRHM_2818
ko:K08317	lrg:LRHM_2819
ko:K03495	lrg:LRHM_2827
ko:K03650	lrg:LRHM_2828
ko:K03217	lrg:LRHM_2831
ko:K03536	lrg:LRHM_2832
ko:K02914	lrg:LRHM_2833
ko:K03734	lrg:LRHM_1943
ko:K00688	lrg:LRHM_1945
ko:K00703	lrg:LRHM_1946
ko:K00975	lrg:LRHM_1947
ko:K00975	lrg:LRHM_1948
ko:K00826	lrg:LRHM_1950
ko:K04041	lrg:LRHM_1953
ko:K01790	lrg:LRHM_1960
ko:K15581	lrg:LRHM_1986
ko:K15580	lrg:LRHM_1987
ko:K02356	lrg:LRHM_1989
ko:K00782	lrg:LRHM_1990
ko:K02759	lrg:LRHM_1994
ko:K02761	lrg:LRHM_1997
ko:K07407	lrg:LRHM_1998
ko:K09861	lrg:LRHM_1999
ko:K03581	lrg:LRHM_2001
ko:K09703	lrg:LRHM_2008
ko:K01338	lrg:LRHM_2012
ko:K01421	lrg:LRHM_2021
ko:K01193	lrg:LRHM_2026
ko:K00574	lrg:LRHM_2028
ko:K01962	lrg:LRHM_2029
ko:K01963	lrg:LRHM_2030
ko:K01961	lrg:LRHM_2031
ko:K02372	lrg:LRHM_2032
ko:K02160	lrg:LRHM_2033
ko:K09458	lrg:LRHM_2034
ko:K00645	lrg:LRHM_2036
ko:K02078	lrg:LRHM_2038
ko:K00648	lrg:LRHM_2039
ko:K02372	lrg:LRHM_2041
ko:K02002	lrg:LRHM_2063
ko:K02001	lrg:LRHM_2064
ko:K02000	lrg:LRHM_2065
ko:K06206	lrg:LRHM_2066
ko:K00872	lrg:LRHM_2070
ko:K01733	lrg:LRHM_2071
ko:K00003	lrg:LRHM_2072
ko:K00928	lrg:LRHM_2073
ko:K03778	lrg:LRHM_2080
ko:K01953	lrg:LRHM_2092
ko:K02548	lrg:LRHM_2098
ko:K00925	lrg:LRHM_2100
ko:K01223	lrg:LRHM_2107
ko:K00426	lrg:LRHM_2122
ko:K00425	lrg:LRHM_2123
ko:K00756	lrg:LRHM_2124
ko:K01246	lrg:LRHM_2130
ko:K03523	lrg:LRHM_2137
ko:K06287	lrg:LRHM_2147
ko:K03572	lrg:LRHM_2148
ko:K03555	lrg:LRHM_2149
ko:K04077	lrg:LRHM_2152
ko:K04078	lrg:LRHM_2153
ko:K01926	lrg:LRHM_2159
ko:K06158	lrg:LRHM_2160
ko:K02760	lrg:LRHM_2161
ko:K03789	lrg:LRHM_2163
ko:K02965	lrg:LRHM_2392
ko:K02886	lrg:LRHM_2393
ko:K02892	lrg:LRHM_2394
ko:K02926	lrg:LRHM_2395
ko:K02906	lrg:LRHM_2396
ko:K02946	lrg:LRHM_2397
ko:K13256	lrg:LRHM_2398
ko:K02355	lrg:LRHM_2401
ko:K02992	lrg:LRHM_2402
ko:K02950	lrg:LRHM_2403
ko:K03046	lrg:LRHM_2405
ko:K03043	lrg:LRHM_2406
ko:K03696	lrg:LRHM_2407
ko:K04567	lrg:LRHM_2409
ko:K04083	lrg:LRHM_2411
ko:K03798	lrg:LRHM_2412
ko:K00760	lrg:LRHM_2413
ko:K04075	lrg:LRHM_2414
ko:K07571	lrg:LRHM_2415
ko:K03723	lrg:LRHM_2419
ko:K01056	lrg:LRHM_2420
ko:K00266	lrg:LRHM_2428
ko:K01775	lrg:LRHM_2433
ko:K00997	lrg:LRHM_2434
ko:K05592	lrg:LRHM_2435
ko:K01929	lrg:LRHM_2436
ko:K07056	lrg:LRHM_2170
ko:K02341	lrg:LRHM_2172
ko:K00943	lrg:LRHM_2174
ko:K06187	lrg:LRHM_2176
ko:K09747	lrg:LRHM_2177
ko:K02343	lrg:LRHM_2178
ko:K14205	lrg:LRHM_2182
ko:K02935	lrg:LRHM_2187
ko:K02864	lrg:LRHM_2188
ko:K08369	lrg:LRHM_2192
ko:K02863	lrg:LRHM_2199
ko:K02867	lrg:LRHM_2200
ko:K01531	lrg:LRHM_2201
ko:K02601	lrg:LRHM_2210
ko:K03073	lrg:LRHM_2211
ko:K02913	lrg:LRHM_2212
ko:K03734	lrg:LRHM_2215
ko:K03885	lrg:LRHM_2219
ko:K02909	lrg:LRHM_2441
ko:K00790	lrg:LRHM_2442
ko:K01937	lrg:LRHM_2444
ko:K03885	lrg:LRHM_2445
ko:K06885	lrg:LRHM_2452
ko:K03282	lrg:LRHM_2455
ko:K00948	lrg:LRHM_2458
ko:K04042	lrg:LRHM_2459
ko:K02068	lrg:LRHM_2462
ko:K02069	lrg:LRHM_2463
ko:K00919	lrg:LRHM_2465
ko:K02528	lrg:LRHM_2468
ko:K05985	lrg:LRHM_2469
ko:K03424	lrg:LRHM_2470
ko:K02773	lrg:LRHM_2471
ko:K01874	lrg:LRHM_2481
ko:K12410	lrg:LRHM_2489
ko:K06962	lrg:LRHM_2234
ko:K03218	lrg:LRHM_2235
ko:K11145	lrg:LRHM_2236
ko:K01883	lrg:LRHM_2237
ko:K04485	lrg:LRHM_2251
ko:K06975	lrg:LRHM_2254
ko:K03549	lrg:LRHM_2260
ko:K00147	lrg:LRHM_2274
ko:K00931	lrg:LRHM_2275
ko:K01999	lrg:LRHM_0300
ko:K01997	lrg:LRHM_0301
ko:K01998	lrg:LRHM_0302
ko:K01995	lrg:LRHM_0303
ko:K01996	lrg:LRHM_0304
ko:K02761	lrg:LRHM_0307
ko:K01839	lrg:LRHM_0309
ko:K01809	lrg:LRHM_0318
ko:K03710	lrg:LRHM_0319
ko:K02082	lrg:LRHM_0320
ko:K01443	lrg:LRHM_0321
ko:K12308	lrg:LRHM_0322
ko:K02773	lrg:LRHM_0332
ko:K02774	lrg:LRHM_0333
ko:K14155	lrg:LRHM_0338
ko:K02761	lrg:LRHM_0340
ko:K02760	lrg:LRHM_0341
ko:K02759	lrg:LRHM_0342
ko:K03610	lrg:LRHM_1216
ko:K01524	lrg:LRHM_2495
ko:K00937	lrg:LRHM_2496
ko:K01524	lrg:LRHM_2497
ko:K03823	lrg:LRHM_2500
ko:K06872	lrg:LRHM_2503
ko:K03744	lrg:LRHM_2504
ko:K01867	lrg:LRHM_2505
ko:K05847	lrg:LRHM_2512
ko:K09694	lrg:LRHM_2518
ko:K09695	lrg:LRHM_2519
ko:K06950	lrg:LRHM_2523
ko:K03701	lrg:LRHM_2525
ko:K07150	lrg:LRHM_2539
ko:K00864	lrg:LRHM_2544
ko:K03182	lrg:LRHM_2550
ko:K03186	lrg:LRHM_2551
ko:K09384	lrg:LRHM_2283
ko:K07707	lrg:LRHM_2298
ko:K02954	lrg:LRHM_2333
ko:K03609	lrg:LRHM_1217
ko:K02029	lrg:LRHM_1218
ko:K06131	lrg:LRHM_1222
ko:K03925	lrg:LRHM_1224
ko:K03438	lrg:LRHM_1225
ko:K01000	lrg:LRHM_1228
ko:K01925	lrg:LRHM_1229
ko:K02563	lrg:LRHM_1230
ko:K03589	lrg:LRHM_1231
ko:K03590	lrg:LRHM_1232
ko:K03531	lrg:LRHM_1233
ko:K09772	lrg:LRHM_1234
ko:K02221	lrg:LRHM_1235
ko:K04074	lrg:LRHM_1237
ko:K01870	lrg:LRHM_1238
ko:K03704	lrg:LRHM_1239
ko:K02040	lrg:LRHM_1240
ko:K04487	lrg:LRHM_1247
ko:K00566	lrg:LRHM_1251
ko:K03581	lrg:LRHM_1254
ko:K01462	lrg:LRHM_1262
ko:K00161	lrg:LRHM_1266
ko:K00162	lrg:LRHM_1267
ko:K00627	lrg:LRHM_1268
ko:K00382	lrg:LRHM_1269
ko:K06207	lrg:LRHM_1273
ko:K03707	lrg:LRHM_0354
ko:K00878	lrg:LRHM_0356
ko:K00788	lrg:LRHM_0357
ko:K00941	lrg:LRHM_0358
ko:K02529	lrg:LRHM_0360
ko:K00615	lrg:LRHM_0391
ko:K00615	lrg:LRHM_0392
ko:K00847	lrg:LRHM_0393
ko:K01624	lrg:LRHM_0399
ko:K01624	lrg:LRHM_0400
ko:K02529	lrg:LRHM_0405
ko:K03588	lrg:LRHM_1274
ko:K00954	lrg:LRHM_1278
ko:K02237	lrg:LRHM_1280
ko:K02340	lrg:LRHM_1282
ko:K02968	lrg:LRHM_1283
ko:K02956	lrg:LRHM_1284
ko:K02358	lrg:LRHM_1288
ko:K03545	lrg:LRHM_1295
ko:K03544	lrg:LRHM_1296
ko:K03978	lrg:LRHM_1297
ko:K03703	lrg:LRHM_1302
ko:K02768	lrg:LRHM_1303
ko:K02769	lrg:LRHM_1303
ko:K02770	lrg:LRHM_1303
ko:K03979	lrg:LRHM_1306
ko:K07124	lrg:LRHM_1309
ko:K03695	lrg:LRHM_1311
ko:K02911	lrg:LRHM_1312
ko:K02337	lrg:LRHM_1317
ko:K00850	lrg:LRHM_1318
ko:K00873	lrg:LRHM_1319
ko:K00243	lrg:LRHM_1321
ko:K02859	lrg:LRHM_1323
ko:K05896	lrg:LRHM_1324
ko:K06024	lrg:LRHM_1325
ko:K06178	lrg:LRHM_1326
ko:K03654	lrg:LRHM_1330
ko:K00945	lrg:LRHM_1332
ko:K02945	lrg:LRHM_1333
ko:K03977	lrg:LRHM_1334
ko:K01207	lrg:LRHM_0419
ko:K07006	lrg:LRHM_0424
ko:K12111	lrg:LRHM_0454
ko:K12941	lrg:LRHM_0460
ko:K03530	lrg:LRHM_1335
ko:K03800	lrg:LRHM_1420
ko:K07444	lrg:LRHM_1423
ko:K05366	lrg:LRHM_1427
ko:K10773	lrg:LRHM_1429
ko:K01893	lrg:LRHM_1431
ko:K01821	lrg:LRHM_1445
ko:K06967	lrg:LRHM_1450
ko:K03086	lrg:LRHM_1451
ko:K01879	lrg:LRHM_1453
ko:K01878	lrg:LRHM_1454
ko:K02003	lrg:LRHM_0473
ko:K02073	lrg:LRHM_0483
ko:K01442	lrg:LRHM_0484
ko:K05879	lrg:LRHM_0490
ko:K05878	lrg:LRHM_0491
ko:K01246	lrg:LRHM_0505
ko:K01624	lrg:LRHM_0507
ko:K07010	lrg:LRHM_0516
ko:K01915	lrg:LRHM_0518
ko:K07090	lrg:LRHM_0525
ko:K00759	lrg:LRHM_1534
ko:K07462	lrg:LRHM_1535
ko:K03596	lrg:LRHM_1539
ko:K03686	lrg:LRHM_1540
ko:K04043	lrg:LRHM_1541
ko:K03687	lrg:LRHM_1542
ko:K03705	lrg:LRHM_1543
ko:K11753	lrg:LRHM_1545
ko:K02834	lrg:LRHM_1548
ko:K02519	lrg:LRHM_1549
ko:K07742	lrg:LRHM_1551
ko:K02600	lrg:LRHM_1552
ko:K09748	lrg:LRHM_1553
ko:K03763	lrg:LRHM_1554
ko:K01881	lrg:LRHM_1555
ko:K11749	lrg:LRHM_1556
ko:K00981	lrg:LRHM_1557
ko:K00806	lrg:LRHM_1558
ko:K02838	lrg:LRHM_1561
ko:K09903	lrg:LRHM_1562
ko:K02357	lrg:LRHM_1563
ko:K02967	lrg:LRHM_1564
ko:K07461	lrg:LRHM_1565
ko:K00655	lrg:LRHM_1567
ko:K02884	lrg:LRHM_1575
ko:K00554	lrg:LRHM_1576
ko:K02860	lrg:LRHM_1577
ko:K06960	lrg:LRHM_1578
ko:K02959	lrg:LRHM_1579
ko:K03106	lrg:LRHM_1580
ko:K01256	lrg:LRHM_0535
ko:K08996	lrg:LRHM_0539
ko:K00014	lrg:LRHM_0543
ko:K00014	lrg:LRHM_0545
ko:K00651	lrg:LRHM_0546
ko:K01738	lrg:LRHM_0547
ko:K02424	lrg:LRHM_0551
ko:K10009	lrg:LRHM_0552
ko:K03311	lrg:LRHM_0554
ko:K00868	lrg:LRHM_0572
ko:K00297	lrg:LRHM_0573
ko:K00549	lrg:LRHM_0574
ko:K08177	lrg:LRHM_0579
ko:K07862	lrg:LRHM_0583
ko:K03529	lrg:LRHM_1586
ko:K03685	lrg:LRHM_1587
ko:K02034	lrg:LRHM_1589
ko:K02078	lrg:LRHM_1594
ko:K03621	lrg:LRHM_1595
ko:K03655	lrg:LRHM_1596
ko:K02902	lrg:LRHM_1599
ko:K01783	lrg:LRHM_1601
ko:K06949	lrg:LRHM_1602
ko:K03500	lrg:LRHM_1605
ko:K00604	lrg:LRHM_1606
ko:K04066	lrg:LRHM_1607
ko:K13038	lrg:LRHM_1608
ko:K03060	lrg:LRHM_1609
ko:K00942	lrg:LRHM_1610
ko:K07001	lrg:LRHM_1611
ko:K03631	lrg:LRHM_1613
ko:K03402	lrg:LRHM_1614
ko:K06442	lrg:LRHM_1615
ko:K13789	lrg:LRHM_1616
ko:K03602	lrg:LRHM_1617
ko:K03601	lrg:LRHM_1618
ko:K01491	lrg:LRHM_1619
ko:K03625	lrg:LRHM_1620
ko:K02356	lrg:LRHM_1622
ko:K02899	lrg:LRHM_1624
ko:K02888	lrg:LRHM_1626
ko:K03110	lrg:LRHM_1585
ko:K01915	lrg:LRHM_1632
ko:K06890	lrg:LRHM_1698
ko:K01924	lrg:LRHM_1704
ko:K03466	lrg:LRHM_1705
ko:K06878	lrg:LRHM_1707
ko:K03439	lrg:LRHM_1710
ko:K02503	lrg:LRHM_1714
ko:K06180	lrg:LRHM_1720
ko:K03402	lrg:LRHM_1721
ko:K01887	lrg:LRHM_1722
ko:K01684	lrg:LRHM_2558
ko:K02774	lrg:LRHM_2560
ko:K02773	lrg:LRHM_2561
ko:K01625	lrg:LRHM_2562
ko:K02759	lrg:LRHM_2564
ko:K01628	lrg:LRHM_2575
ko:K02431	lrg:LRHM_2576
ko:K00848	lrg:LRHM_2578
ko:K01818	lrg:LRHM_2579
ko:K03534	lrg:LRHM_2582
ko:K00848	lrg:LRHM_2583
ko:K01807	lrg:LRHM_2592
ko:K01232	lrg:LRHM_2594
ko:K01042	lrg:LRHM_2601
ko:K01465	lrg:LRHM_2602
ko:K06199	lrg:LRHM_2342
ko:K06199	lrg:LRHM_2343
ko:K15553	lrg:LRHM_2346
ko:K15554	lrg:LRHM_2350
ko:K02996	lrg:LRHM_2357
ko:K02871	lrg:LRHM_2358
ko:K02003	lrg:LRHM_2361
ko:K06173	lrg:LRHM_2364
ko:K02879	lrg:LRHM_2369
ko:K03040	lrg:LRHM_2370
ko:K02948	lrg:LRHM_2371
ko:K02952	lrg:LRHM_2372
ko:K02919	lrg:LRHM_2373
ko:K02518	lrg:LRHM_2374
ko:K03076	lrg:LRHM_2376
ko:K02876	lrg:LRHM_2377
ko:K02907	lrg:LRHM_2378
ko:K02988	lrg:LRHM_2379
ko:K02881	lrg:LRHM_2380
ko:K02933	lrg:LRHM_2381
ko:K02994	lrg:LRHM_2382
ko:K02954	lrg:LRHM_2383
ko:K02931	lrg:LRHM_2384
ko:K02895	lrg:LRHM_2385
ko:K02874	lrg:LRHM_2386
ko:K02961	lrg:LRHM_2387
ko:K02904	lrg:LRHM_2388
ko:K02878	lrg:LRHM_2389
ko:K02982	lrg:LRHM_2390
ko:K02890	lrg:LRHM_2391
ko:K01581	lrg:LRHM_1634
ko:K00791	lrg:LRHM_1636
ko:K03704	lrg:LRHM_0594
ko:K00262	lrg:LRHM_0595
ko:K03426	lrg:LRHM_0605
ko:K03320	lrg:LRHM_0611
ko:K07223	lrg:LRHM_0612
ko:K07507	lrg:LRHM_0613
ko:K02440	lrg:LRHM_0621
ko:K00864	lrg:LRHM_0623
ko:K02531	lrg:LRHM_0627
ko:K02787	lrg:LRHM_0628
ko:K02788	lrg:LRHM_0628
ko:K00849	lrg:LRHM_0632
ko:K00965	lrg:LRHM_0634
ko:K02529	lrg:LRHM_0635
ko:K03624	lrg:LRHM_1650
ko:K00876	lrg:LRHM_1651
ko:K07082	lrg:LRHM_1652
ko:K01890	lrg:LRHM_1653
ko:K01889	lrg:LRHM_1654
ko:K06950	lrg:LRHM_1657
ko:K03437	lrg:LRHM_1658
ko:K01512	lrg:LRHM_1659
ko:K03217	lrg:LRHM_1660
ko:K07040	lrg:LRHM_1667
ko:K09710	lrg:LRHM_1670
ko:K00969	lrg:LRHM_1672
ko:K07574	lrg:LRHM_1673
ko:K07015	lrg:LRHM_1675
ko:K15975	lrg:LRHM_1677
ko:K06999	lrg:LRHM_1678
ko:K06966	lrg:LRHM_1680
ko:K02887	lrg:LRHM_1681
ko:K02916	lrg:LRHM_1682
ko:K02520	lrg:LRHM_1683
ko:K01868	lrg:LRHM_1690
ko:K07454	lrg:LRHM_1691
ko:K07738	lrg:LRHM_1694
ko:K00859	lrg:LRHM_1695
ko:K13993	lrg:LRHM_0652
ko:K03575	lrg:LRHM_0653
ko:K00941	lrg:LRHM_0658
ko:K07118	lrg:LRHM_0661
ko:K05349	lrg:LRHM_0663
ko:K01574	lrg:LRHM_0682
ko:K03547	lrg:LRHM_0648
ko:K01356	lrg:LRHM_0694
ko:K07088	lrg:LRHM_0696
ko:K03284	lrg:LRHM_0701
ko:K07088	lrg:LRHM_0705
ko:K03584	lrg:LRHM_1486
ko:K07042	lrg:LRHM_1490
ko:K09117	lrg:LRHM_1492
ko:K02970	lrg:LRHM_1493
ko:K09773	lrg:LRHM_1494
ko:K01151	lrg:LRHM_1495
ko:K01876	lrg:LRHM_1498
ko:K01892	lrg:LRHM_1499
ko:K01448	lrg:LRHM_1503
ko:K07560	lrg:LRHM_1505
ko:K09761	lrg:LRHM_1508
ko:K02687	lrg:LRHM_1509
ko:K03652	lrg:LRHM_1511
ko:K11065	lrg:LRHM_0706
ko:K00940	lrg:LRHM_0711
ko:K01091	lrg:LRHM_0718
ko:K07173	lrg:LRHM_0728
ko:K03550	lrg:LRHM_0730
ko:K03551	lrg:LRHM_0731
ko:K07568	lrg:LRHM_0732
ko:K00773	lrg:LRHM_0733
