ko:K02030	kpu:KP1_2889
ko:K00998	kpu:KP1_4165
ko:K05811	kpu:KP1_4166
ko:K03761	kpu:KP1_4167
ko:K03695	kpu:KP1_4170
ko:K05810	kpu:KP1_4171
ko:K06180	kpu:KP1_4172
ko:K05807	kpu:KP1_4173
ko:K05809	kpu:KP1_4174
ko:K01626	kpu:KP1_4178
ko:K02884	kpu:KP1_4184
ko:K00554	kpu:KP1_4185
ko:K02860	kpu:KP1_4186
ko:K02959	kpu:KP1_4187
ko:K03106	kpu:KP1_4189
ko:K03687	kpu:KP1_4192
ko:K00858	kpu:KP1_4193
ko:K03631	kpu:KP1_4194
ko:K06186	kpu:KP1_4195
ko:K09801	kpu:KP1_4196
ko:K03664	kpu:KP1_4198
ko:K05804	kpu:KP1_4202
ko:K01816	kpu:KP1_4209
ko:K00299	kpu:KP1_4217
ko:K07267	kpu:KP1_4219
ko:K09159	kpu:KP1_4613
ko:K06980	kpu:KP1_4614
ko:K11068	kpu:KP1_4615
ko:K09900	kpu:KP1_4617
ko:K01223	kpu:KP1_4619
ko:K02437	kpu:KP1_4626
ko:K00605	kpu:KP1_4628
ko:K03185	kpu:KP1_4630
ko:K01262	kpu:KP1_4631
ko:K09895	kpu:KP1_4632
ko:K09888	kpu:KP1_4633
ko:K01807	kpu:KP1_4637
ko:K05596	kpu:KP1_4638
ko:K09807	kpu:KP1_4639
ko:K06895	kpu:KP1_4640
ko:K03442	kpu:KP1_4641
ko:K01624	kpu:KP1_4642
ko:K00927	kpu:KP1_4643
ko:K03472	kpu:KP1_4644
ko:K00615	kpu:KP1_4645
ko:K07387	kpu:KP1_4646
ko:K01480	kpu:KP1_4648
ko:K01585	kpu:KP1_4649
ko:K00789	kpu:KP1_4650
ko:K02742	kpu:KP1_4652
ko:K09761	kpu:KP1_4654
ko:K01920	kpu:KP1_4656
ko:K07735	kpu:KP1_4657
ko:K07447	kpu:KP1_4658
ko:K04333	kpu:KP1_4659
ko:K02669	kpu:KP1_4660
ko:K06997	kpu:KP1_4661
ko:K02221	kpu:KP1_4662
ko:K09131	kpu:KP1_4664
ko:K09923	kpu:KP1_4671
ko:K03439	kpu:KP1_4672
ko:K03575	kpu:KP1_4673
ko:K08306	kpu:KP1_4675
ko:K03289	kpu:KP1_4677
ko:K01581	kpu:KP1_4678
ko:K07150	kpu:KP1_4679
ko:K00874	kpu:KP1_5259
ko:K08195	kpu:KP1_5263
ko:K03704	kpu:KP1_5266
ko:K01879	kpu:KP1_5269
ko:K01878	kpu:KP1_5270
ko:K01805	kpu:KP1_5276
ko:K10543	kpu:KP1_5278
ko:K10545	kpu:KP1_5279
ko:K10544	kpu:KP1_5280
ko:K02529	kpu:KP1_5281
ko:K03796	kpu:KP1_5282
ko:K03833	kpu:KP1_5286
ko:K01042	kpu:KP1_5287
ko:K02798	kpu:KP1_5289
ko:K02799	kpu:KP1_5289
ko:K02800	kpu:KP1_5289
ko:K00009	kpu:KP1_5290
ko:K02562	kpu:KP1_5291
ko:K00427	kpu:KP1_5296
ko:K00101	kpu:KP1_5298
ko:K03216	kpu:KP1_5299
ko:K00640	kpu:KP1_5300
ko:K00057	kpu:KP1_5301
ko:K03071	kpu:KP1_5302
ko:K03676	kpu:KP1_5303
ko:K09798	kpu:KP1_5309
ko:K00060	kpu:KP1_5311
ko:K00639	kpu:KP1_5312
ko:K03274	kpu:KP1_5313
ko:K02843	kpu:KP1_5314
ko:K02841	kpu:KP1_5315
ko:K02849	kpu:KP1_5320
ko:K02844	kpu:KP1_5321
ko:K11209	kpu:KP1_4695
ko:K03559	kpu:KP1_4703
ko:K03561	kpu:KP1_4704
ko:K06221	kpu:KP1_4712
ko:K00655	kpu:KP1_4716
ko:K02621	kpu:KP1_4717
ko:K07645	kpu:KP1_4721
ko:K03923	kpu:KP1_4722
ko:K02622	kpu:KP1_4725
ko:K07000	kpu:KP1_4726
ko:K03651	kpu:KP1_4727
ko:K09920	kpu:KP1_4728
ko:K12340	kpu:KP1_4730
ko:K07238	kpu:KP1_4735
ko:K02858	kpu:KP1_4736
ko:K00982	kpu:KP1_4743
ko:K07184	kpu:KP1_4746
ko:K06153	kpu:KP1_4748
ko:K01633	kpu:KP1_4749
ko:K08591	kpu:KP1_4750
ko:K02527	kpu:KP1_5324
ko:K00954	kpu:KP1_5326
ko:K10563	kpu:KP1_5327
ko:K02913	kpu:KP1_5328
ko:K02902	kpu:KP1_5329
ko:K03630	kpu:KP1_5330
ko:K01520	kpu:KP1_5332
ko:K05501	kpu:KP1_5334
ko:K00762	kpu:KP1_5336
ko:K00989	kpu:KP1_5337
ko:K01993	kpu:KP1_5340
ko:K01972	kpu:KP1_5350
ko:K00942	kpu:KP1_5351
ko:K03060	kpu:KP1_5352
ko:K00556	kpu:KP1_5354
ko:K03655	kpu:KP1_5356
ko:K02446	kpu:KP1_5358
ko:K00528	kpu:KP1_5359
ko:K01803	kpu:KP1_5362
ko:K01521	kpu:KP1_5364
ko:K02048	kpu:KP1_5365
ko:K09892	kpu:KP1_5367
ko:K02440	kpu:KP1_5368
ko:K00864	kpu:KP1_5370
ko:K03312	kpu:KP1_5371
ko:K01222	kpu:KP1_5376
ko:K01811	kpu:KP1_5378
ko:K02073	kpu:KP1_5394
ko:K09958	kpu:KP1_5397
ko:K07006	kpu:KP1_5398
ko:K07552	kpu:KP1_5409
ko:K07106	kpu:KP1_5410
ko:K11191	kpu:KP1_5411
ko:K11192	kpu:KP1_5411
ko:K02760	kpu:KP1_5424
ko:K02761	kpu:KP1_5425
ko:K02759	kpu:KP1_5426
ko:K02024	kpu:KP1_5427
ko:K11082	kpu:KP1_5429
ko:K11083	kpu:KP1_5430
ko:K11084	kpu:KP1_5431
ko:K11081	kpu:KP1_5432
ko:K03430	kpu:KP1_5436
ko:K05306	kpu:KP1_5437
ko:K07784	kpu:KP1_5444
ko:K07783	kpu:KP1_5445
ko:K07686	kpu:KP1_5447
ko:K01653	kpu:KP1_5448
ko:K01652	kpu:KP1_5449
ko:K01753	kpu:KP1_5458
ko:K06871	kpu:KP1_5459
ko:K00389	kpu:KP1_5461
ko:K01232	kpu:KP1_5462
ko:K02749	kpu:KP1_5463
ko:K02750	kpu:KP1_5463
ko:K01921	kpu:KP1_1182
ko:K08161	kpu:KP1_1184
ko:K00286	kpu:KP1_1188
ko:K09768	kpu:KP1_1189
ko:K09945	kpu:KP1_1190
ko:K00891	kpu:KP1_1192
ko:K09913	kpu:KP1_1195
ko:K03554	kpu:KP1_1196
ko:K00847	kpu:KP1_1197
ko:K03546	kpu:KP1_1198
ko:K03547	kpu:KP1_1199
ko:K07657	kpu:KP1_1200
ko:K07636	kpu:KP1_1201
ko:K03311	kpu:KP1_1203
ko:K11736	kpu:KP1_1204
ko:K09932	kpu:KP1_1209
ko:K01624	kpu:KP1_1211
ko:K03475	kpu:KP1_1213
ko:K03147	kpu:KP1_0234
ko:K07740	kpu:KP1_0235
ko:K03426	kpu:KP1_0236
ko:K01599	kpu:KP1_0237
ko:K05982	kpu:KP1_0238
ko:K09891	kpu:KP1_0239
ko:K05787	kpu:KP1_0241
ko:K07803	kpu:KP1_0243
ko:K07709	kpu:KP1_0245
ko:K07713	kpu:KP1_0246
ko:K01945	kpu:KP1_0247
ko:K00602	kpu:KP1_0248
ko:K03827	kpu:KP1_0250
ko:K00651	kpu:KP1_0251
ko:K01638	kpu:KP1_0253
ko:K01637	kpu:KP1_0254
ko:K00548	kpu:KP1_0257
ko:K03324	kpu:KP1_0258
ko:K05995	kpu:KP1_0259
ko:K06182	kpu:KP1_0260
ko:K03453	kpu:KP1_0262
ko:K00928	kpu:KP1_0263
ko:K01810	kpu:KP1_0264
ko:K10110	kpu:KP1_0273
ko:K10109	kpu:KP1_0274
ko:K10108	kpu:KP1_0275
ko:K10111	kpu:KP1_0276
ko:K02317	kpu:KP1_0771
ko:K00481	kpu:KP1_0775
ko:K02761	kpu:KP1_0780
ko:K02344	kpu:KP1_0786
ko:K03789	kpu:KP1_0787
ko:K08723	kpu:KP1_0788
ko:K02837	kpu:KP1_0789
ko:K03424	kpu:KP1_0793
ko:K01619	kpu:KP1_0795
ko:K01839	kpu:KP1_0799
ko:K03784	kpu:KP1_0801
ko:K03800	kpu:KP1_0802
ko:K04485	kpu:KP1_0805
ko:K08309	kpu:KP1_0809
ko:K03720	kpu:KP1_0810
ko:K05804	kpu:KP1_0813
ko:K05805	kpu:KP1_0814
ko:K07663	kpu:KP1_0815
ko:K07641	kpu:KP1_0816
ko:K06143	kpu:KP1_0817
ko:K07773	kpu:KP1_0818
ko:K02533	kpu:KP1_0819
ko:K00872	kpu:KP1_0822
ko:K01733	kpu:KP1_0823
ko:K09861	kpu:KP1_0825
ko:K03310	kpu:KP1_0826
ko:K00616	kpu:KP1_0827
ko:K03831	kpu:KP1_0829
ko:K07034	kpu:KP1_0831
ko:K04043	kpu:KP1_0835
ko:K03686	kpu:KP1_0836
ko:K03313	kpu:KP1_0837
ko:K03717	kpu:KP1_0838
ko:K02968	kpu:KP1_0840
ko:K06871	kpu:KP1_1454
ko:K06995	kpu:KP1_1461
ko:K09471	kpu:KP1_1462
ko:K02014	kpu:KP1_1466
ko:K11732	kpu:KP1_1467
ko:K02796	kpu:KP1_1482
ko:K02795	kpu:KP1_1483
ko:K10679	kpu:KP1_1487
ko:K06048	kpu:KP1_1500
ko:K02033	kpu:KP1_1502
ko:K02034	kpu:KP1_1503
ko:K11073	kpu:KP1_1848
ko:K11076	kpu:KP1_1849
ko:K11075	kpu:KP1_1850
ko:K11074	kpu:KP1_1852
ko:K03212	kpu:KP1_1854
ko:K09996	kpu:KP1_1858
ko:K09998	kpu:KP1_1859
ko:K09999	kpu:KP1_1860
ko:K09997	kpu:KP1_1861
ko:K10000	kpu:KP1_1862
ko:K11066	kpu:KP1_1865
ko:K01620	kpu:KP1_1868
ko:K00156	kpu:KP1_1869
ko:K11933	kpu:KP1_1872
ko:K06188	kpu:KP1_1875
ko:K03704	kpu:KP1_1881
ko:K06891	kpu:KP1_1882
ko:K03694	kpu:KP1_1883
ko:K02518	kpu:KP1_1884
ko:K00684	kpu:KP1_1885
ko:K00384	kpu:KP1_1889
ko:K03466	kpu:KP1_1891
ko:K03634	kpu:KP1_1892
ko:K07478	kpu:KP1_1893
ko:K01875	kpu:KP1_1894
ko:K07306	kpu:KP1_1895
ko:K07308	kpu:KP1_1898
ko:K08219	kpu:KP1_1899
ko:K04064	kpu:KP1_2261
ko:K02760	kpu:KP1_2262
ko:K02761	kpu:KP1_2264
ko:K02759	kpu:KP1_2265
ko:K01222	kpu:KP1_2267
ko:K03478	kpu:KP1_2268
ko:K03781	kpu:KP1_2270
ko:K10806	kpu:KP1_2277
ko:K06190	kpu:KP1_2279
ko:K06940	kpu:KP1_2281
ko:K07275	kpu:KP1_2282
ko:K07336	kpu:KP1_2283
ko:K01695	kpu:KP1_2294
ko:K01696	kpu:KP1_2295
ko:K01657	kpu:KP1_2298
ko:K07053	kpu:KP1_2299
ko:K03566	kpu:KP1_2302
ko:K06178	kpu:KP1_2303
ko:K03168	kpu:KP1_2311
ko:K01681	kpu:KP1_2315
ko:K01591	kpu:KP1_2320
ko:K03113	kpu:KP1_2321
ko:K04062	kpu:KP1_2322
ko:K07127	kpu:KP1_2712
ko:K07154	kpu:KP1_2714
ko:K01265	kpu:KP1_2721
ko:K11175	kpu:KP1_4077
ko:K00937	kpu:KP1_4078
ko:K06871	kpu:KP1_4084
ko:K01951	kpu:KP1_4086
ko:K00088	kpu:KP1_4087
ko:K03601	kpu:KP1_4088
ko:K04031	kpu:KP1_4489
ko:K04029	kpu:KP1_4490
ko:K01448	kpu:KP1_4494
ko:K03581	kpu:KP1_4497
ko:K03582	kpu:KP1_4498
ko:K01407	kpu:KP1_4499
ko:K03583	kpu:KP1_4500
ko:K02681	kpu:KP1_4501
ko:K02680	kpu:KP1_4503
ko:K02679	kpu:KP1_4504
ko:K00560	kpu:KP1_4505
ko:K08484	kpu:KP1_4508
ko:K08311	kpu:KP1_4509
ko:K03573	kpu:KP1_4512
ko:K08227	kpu:KP1_4516
ko:K02529	kpu:KP1_4519
ko:K05350	kpu:KP1_4523
ko:K02761	kpu:KP1_4524
ko:K01586	kpu:KP1_4526
ko:K02532	kpu:KP1_4537
ko:K00688	kpu:KP1_5127
ko:K00703	kpu:KP1_5128
ko:K00975	kpu:KP1_5129
ko:K02438	kpu:KP1_5130
ko:K00700	kpu:KP1_5131
ko:K00133	kpu:KP1_5132
ko:K00851	kpu:KP1_5135
ko:K06145	kpu:KP1_5136
ko:K06911	kpu:KP1_5137
ko:K03825	kpu:KP1_5140
ko:K00681	kpu:KP1_5141
ko:K01126	kpu:KP1_5143
ko:K05816	kpu:KP1_5144
ko:K05815	kpu:KP1_5145
ko:K05814	kpu:KP1_5146
ko:K05813	kpu:KP1_5147
ko:K07341	kpu:KP1_5148
ko:K01996	kpu:KP1_5150
ko:K01995	kpu:KP1_5152
ko:K01998	kpu:KP1_5153
ko:K01997	kpu:KP1_5154
ko:K01999	kpu:KP1_5155
ko:K01999	kpu:KP1_5159
ko:K00375	kpu:KP1_5162
ko:K03089	kpu:KP1_5163
ko:K09811	kpu:KP1_5165
ko:K09812	kpu:KP1_5166
ko:K03110	kpu:KP1_5167
ko:K08316	kpu:KP1_5168
ko:K08993	kpu:KP1_5169
ko:K04085	kpu:KP1_5173
ko:K09125	kpu:KP1_5174
ko:K07264	kpu:KP1_5180
ko:K10011	kpu:KP1_5182
ko:K10012	kpu:KP1_5184
ko:K07806	kpu:KP1_5185
ko:K03194	kpu:KP1_3626
ko:K03197	kpu:KP1_3627
ko:K03199	kpu:KP1_3628
ko:K03200	kpu:KP1_3629
ko:K03203	kpu:KP1_3633
ko:K03204	kpu:KP1_3634
ko:K03195	kpu:KP1_3635
ko:K03196	kpu:KP1_3636
ko:K03566	kpu:KP1_3655
ko:K01251	kpu:KP1_3666
ko:K02233	kpu:KP1_3668
ko:K09802	kpu:KP1_3669
ko:K07470	kpu:KP1_3671
ko:K07258	kpu:KP1_3672
ko:K01141	kpu:KP1_3673
ko:K02355	kpu:KP1_3674
ko:K00765	kpu:KP1_3679
ko:K03977	kpu:KP1_4091
ko:K01892	kpu:KP1_4094
ko:K06941	kpu:KP1_4098
ko:K00940	kpu:KP1_4100
ko:K05367	kpu:KP1_4101
ko:K06894	kpu:KP1_4102
ko:K07751	kpu:KP1_4107
ko:K04755	kpu:KP1_4109
ko:K04044	kpu:KP1_4110
ko:K04082	kpu:KP1_4111
ko:K04488	kpu:KP1_4113
ko:K04487	kpu:KP1_4114
ko:K01092	kpu:KP1_4117
ko:K05820	kpu:KP1_4122
ko:K00600	kpu:KP1_4130
ko:K05916	kpu:KP1_4131
ko:K07715	kpu:KP1_4133
ko:K07711	kpu:KP1_4135
ko:K01952	kpu:KP1_4136
ko:K11991	kpu:KP1_4138
ko:K00997	kpu:KP1_4142
ko:K03474	kpu:KP1_4143
ko:K03584	kpu:KP1_4144
ko:K03595	kpu:KP1_4145
ko:K03685	kpu:KP1_4146
ko:K03100	kpu:KP1_4148
ko:K03596	kpu:KP1_4149
ko:K03803	kpu:KP1_4151
ko:K03598	kpu:KP1_4152
ko:K03597	kpu:KP1_4153
ko:K03088	kpu:KP1_4155
ko:K01284	kpu:KP1_2614
ko:K04080	kpu:KP1_2622
ko:K03299	kpu:KP1_2628
ko:K02032	kpu:KP1_3099
ko:K02051	kpu:KP1_3108
ko:K02049	kpu:KP1_3117
ko:K02050	kpu:KP1_3120
ko:K07240	kpu:KP1_3123
ko:K01028	kpu:KP1_3129
ko:K01029	kpu:KP1_3130
ko:K00626	kpu:KP1_3131
ko:K00074	kpu:KP1_3132
ko:K01575	kpu:KP1_3136
ko:K01652	kpu:KP1_3138
ko:K02200	kpu:KP1_3149
ko:K02199	kpu:KP1_3150
ko:K02198	kpu:KP1_3151
ko:K02197	kpu:KP1_3152
ko:K02196	kpu:KP1_3153
ko:K02195	kpu:KP1_3154
ko:K02194	kpu:KP1_3155
ko:K02193	kpu:KP1_3156
ko:K06151	kpu:KP1_3158
ko:K06152	kpu:KP1_3160
ko:K00013	kpu:KP1_3680
ko:K00817	kpu:KP1_3681
ko:K01089	kpu:KP1_3683
ko:K02501	kpu:KP1_3684
ko:K01814	kpu:KP1_3685
ko:K02500	kpu:KP1_3686
ko:K01991	kpu:KP1_3720
ko:K00963	kpu:KP1_3726
ko:K07289	kpu:KP1_3728
ko:K01494	kpu:KP1_3729
ko:K00876	kpu:KP1_3730
ko:K01247	kpu:KP1_3731
ko:K04046	kpu:KP1_3733
ko:K07799	kpu:KP1_3742
ko:K07788	kpu:KP1_3743
ko:K07789	kpu:KP1_3744
ko:K07642	kpu:KP1_3746
ko:K07664	kpu:KP1_3747
ko:K08303	kpu:KP1_3748
ko:K11755	kpu:KP1_3687
ko:K09691	kpu:KP1_3697
ko:K09690	kpu:KP1_3698
ko:K00012	kpu:KP1_3701
ko:K00033	kpu:KP1_3704
ko:K03606	kpu:KP1_3705
ko:K03208	kpu:KP1_3706
ko:K03207	kpu:KP1_3708
ko:K02377	kpu:KP1_3709
ko:K01711	kpu:KP1_3711
ko:K02853	kpu:KP1_0156
ko:K03293	kpu:KP1_0158
ko:K02498	kpu:KP1_0160
ko:K09760	kpu:KP1_0190
ko:K03183	kpu:KP1_0191
ko:K03690	kpu:KP1_0193
ko:K03688	kpu:KP1_0194
ko:K03116	kpu:KP1_0195
ko:K03117	kpu:KP1_0196
ko:K03118	kpu:KP1_0197
ko:K03424	kpu:KP1_0198
ko:K05785	kpu:KP1_0199
ko:K03182	kpu:KP1_0200
ko:K05368	kpu:KP1_0201
ko:K03498	kpu:KP1_0206
ko:K00230	kpu:KP1_0207
ko:K00075	kpu:KP1_0209
ko:K03524	kpu:KP1_0210
ko:K00867	kpu:KP1_0211
ko:K02358	kpu:KP1_0213
ko:K02496	kpu:KP1_0161
ko:K01719	kpu:KP1_0162
ko:K01749	kpu:KP1_0163
ko:K05851	kpu:KP1_0164
ko:K06202	kpu:KP1_0166
ko:K01778	kpu:KP1_0168
ko:K09921	kpu:KP1_0169
ko:K03733	kpu:KP1_0170
ko:K03657	kpu:KP1_0172
ko:K03284	kpu:KP1_0173
ko:K05786	kpu:KP1_0174
ko:K01058	kpu:KP1_0177
ko:K03654	kpu:KP1_0178
ko:K03576	kpu:KP1_0185
ko:K00549	kpu:KP1_0187
ko:K00757	kpu:KP1_0189
ko:K00135	kpu:KP1_0725
ko:K00483	kpu:KP1_0734
ko:K02511	kpu:KP1_0736
ko:K02510	kpu:KP1_0737
ko:K02509	kpu:KP1_0738
ko:K00151	kpu:KP1_0741
ko:K03307	kpu:KP1_0753
ko:K01883	kpu:KP1_1384
ko:K07127	kpu:KP1_1395
ko:K01647	kpu:KP1_1398
ko:K07345	kpu:KP1_1401
ko:K03765	kpu:KP1_1408
ko:K03757	kpu:KP1_1409
ko:K03305	kpu:KP1_1412
ko:K04567	kpu:KP1_1414
ko:K03335	kpu:KP1_1417
ko:K02529	kpu:KP1_1421
ko:K02809	kpu:KP1_1431
ko:K02810	kpu:KP1_1431
ko:K00847	kpu:KP1_1434
ko:K02013	kpu:KP1_1439
ko:K02015	kpu:KP1_1440
ko:K02016	kpu:KP1_1441
ko:K00615	kpu:KP1_1784
ko:K11927	kpu:KP1_1785
ko:K03722	kpu:KP1_1786
ko:K06970	kpu:KP1_1793
ko:K10037	kpu:KP1_1796
ko:K10036	kpu:KP1_1797
ko:K04047	kpu:KP1_1799
ko:K11939	kpu:KP1_1800
ko:K11934	kpu:KP1_1801
ko:K11924	kpu:KP1_1804
ko:K01223	kpu:KP1_1806
ko:K08191	kpu:KP1_1812
ko:K07757	kpu:KP1_1815
ko:K00656	kpu:KP1_1816
ko:K04069	kpu:KP1_1817
ko:K03750	kpu:KP1_1819
ko:K07258	kpu:KP1_1832
ko:K11534	kpu:KP1_1833
ko:K08160	kpu:KP1_1836
ko:K07085	kpu:KP1_1841
ko:K03674	kpu:KP1_1843
ko:K10678	kpu:KP1_1845
ko:K05844	kpu:KP1_1846
ko:K09712	kpu:KP1_2192
ko:K03449	kpu:KP1_2197
ko:K03503	kpu:KP1_2205
ko:K03502	kpu:KP1_2206
ko:K00432	kpu:KP1_2213
ko:K09786	kpu:KP1_2215
ko:K07180	kpu:KP1_2216
ko:K00134	kpu:KP1_2222
ko:K07305	kpu:KP1_2223
ko:K09916	kpu:KP1_2224
ko:K01424	kpu:KP1_2229
ko:K04773	kpu:KP1_2230
ko:K09474	kpu:KP1_2232
ko:K01008	kpu:KP1_2233
ko:K03169	kpu:KP1_2236
ko:K00262	kpu:KP1_2238
ko:K08320	kpu:KP1_2239
ko:K05779	kpu:KP1_2243
ko:K05778	kpu:KP1_2244
ko:K05777	kpu:KP1_2245
ko:K01142	kpu:KP1_2250
ko:K00840	kpu:KP1_2251
ko:K00673	kpu:KP1_2252
ko:K06447	kpu:KP1_2253
ko:K01484	kpu:KP1_2254
ko:K05526	kpu:KP1_2256
ko:K05984	kpu:KP1_2259
ko:K02532	kpu:KP1_2638
ko:K00549	kpu:KP1_2647
ko:K05595	kpu:KP1_2662
ko:K08159	kpu:KP1_2663
ko:K03535	kpu:KP1_2665
ko:K01714	kpu:KP1_2667
ko:K00016	kpu:KP1_2672
ko:K03829	kpu:KP1_2673
ko:K01425	kpu:KP1_2676
ko:K00041	kpu:KP1_2680
ko:K00598	kpu:KP1_2690
ko:K02072	kpu:KP1_2697
ko:K02073	kpu:KP1_2699
ko:K02011	kpu:KP1_3174
ko:K02012	kpu:KP1_3175
ko:K02016	kpu:KP1_3191
ko:K02015	kpu:KP1_3192
ko:K02015	kpu:KP1_3194
ko:K02013	kpu:KP1_3195
ko:K02014	kpu:KP1_3196
ko:K02049	kpu:KP1_3198
ko:K02051	kpu:KP1_3202
ko:K05810	kpu:KP1_3209
ko:K01666	kpu:KP1_3212
ko:K04073	kpu:KP1_3213
ko:K05713	kpu:KP1_3216
ko:K02032	kpu:KP1_3751
ko:K02031	kpu:KP1_3752
ko:K02034	kpu:KP1_3753
ko:K02033	kpu:KP1_3754
ko:K02035	kpu:KP1_3755
ko:K07345	kpu:KP1_4244
ko:K01118	kpu:KP1_4255
ko:K11685	kpu:KP1_4260
ko:K00375	kpu:KP1_4265
ko:K06191	kpu:KP1_4267
ko:K03647	kpu:KP1_4268
ko:K00525	kpu:KP1_4269
ko:K00526	kpu:KP1_4270
ko:K02002	kpu:KP1_4273
ko:K03543	kpu:KP1_4279
ko:K01649	kpu:KP1_4281
ko:K07173	kpu:KP1_4284
ko:K01919	kpu:KP1_4285
ko:K03073	kpu:KP1_0214
ko:K02601	kpu:KP1_0215
ko:K02867	kpu:KP1_0217
ko:K02863	kpu:KP1_0218
ko:K02864	kpu:KP1_0219
ko:K02935	kpu:KP1_0220
ko:K03043	kpu:KP1_0222
ko:K03046	kpu:KP1_0223
ko:K07792	kpu:KP1_0224
ko:K02759	kpu:KP1_0225
ko:K02760	kpu:KP1_0226
ko:K03150	kpu:KP1_0229
ko:K03149	kpu:KP1_0230
ko:K03154	kpu:KP1_0231
ko:K03148	kpu:KP1_0232
ko:K00788	kpu:KP1_0233
ko:K04762	kpu:KP1_5102
ko:K04083	kpu:KP1_5103
ko:K01610	kpu:KP1_5104
ko:K07638	kpu:KP1_5105
ko:K07659	kpu:KP1_5106
ko:K04760	kpu:KP1_5107
ko:K06959	kpu:KP1_5108
ko:K04758	kpu:KP1_5110
ko:K04759	kpu:KP1_5111
ko:K07490	kpu:KP1_5112
ko:K02170	kpu:KP1_5114
ko:K07400	kpu:KP1_5118
ko:K06155	kpu:KP1_5119
ko:K00705	kpu:KP1_5120
ko:K00688	kpu:KP1_5121
ko:K03556	kpu:KP1_5122
ko:K02444	kpu:KP1_5123
ko:K02441	kpu:KP1_5124
ko:K02439	kpu:KP1_5125
ko:K00111	kpu:KP1_5126
ko:K07304	kpu:KP1_0489
ko:K07278	kpu:KP1_0490
ko:K09800	kpu:KP1_0491
ko:K01507	kpu:KP1_0494
ko:K03841	kpu:KP1_0499
ko:K02558	kpu:KP1_0501
ko:K09889	kpu:KP1_0504
ko:K03592	kpu:KP1_0505
ko:K01465	kpu:KP1_0514
ko:K01042	kpu:KP1_0515
ko:K04068	kpu:KP1_0523
ko:K02760	kpu:KP1_0527
ko:K01222	kpu:KP1_0528
ko:K02761	kpu:KP1_0529
ko:K01226	kpu:KP1_0530
ko:K02818	kpu:KP1_0531
ko:K02819	kpu:KP1_0531
ko:K03485	kpu:KP1_0532
ko:K01531	kpu:KP1_0533
ko:K09022	kpu:KP1_0534
ko:K00610	kpu:KP1_0535
ko:K00609	kpu:KP1_0536
ko:K00611	kpu:KP1_0539
ko:K09893	kpu:KP1_0540
ko:K06169	kpu:KP1_0542
ko:K03828	kpu:KP1_0543
ko:K01873	kpu:KP1_0544
ko:K02339	kpu:KP1_0545
ko:K01255	kpu:KP1_0546
ko:K07091	kpu:KP1_0548
ko:K11720	kpu:KP1_0549
ko:K06915	kpu:KP1_0550
ko:K06606	kpu:KP1_0551
ko:K00140	kpu:KP1_0552
ko:K03337	kpu:KP1_0553
ko:K06079	kpu:KP1_1051
ko:K01881	kpu:KP1_1053
ko:K06080	kpu:KP1_1055
ko:K02073	kpu:KP1_1056
ko:K02072	kpu:KP1_1057
ko:K02071	kpu:KP1_1059
ko:K03273	kpu:KP1_1061
ko:K06222	kpu:KP1_1065
ko:K08307	kpu:KP1_1070
