ko:K03602	abw:BL01_13710
ko:K01915	abw:BL01_08780
ko:K03181	abw:BL01_08785
ko:K03179	abw:BL01_08790
ko:K04564	abw:BL01_08825
ko:K04691	abw:BL01_08835
ko:K00974	abw:BL01_08840
ko:K00029	abw:BL01_08845
ko:K09761	abw:BL01_08855
ko:K00297	abw:BL01_08860
ko:K01251	abw:BL01_08865
ko:K01607	abw:BL01_08875
ko:K06445	abw:BL01_08880
ko:K03644	abw:BL01_08885
ko:K00322	abw:BL01_08890
ko:K02575	abw:BL01_08905
ko:K01265	abw:BL01_08915
ko:K02967	abw:BL01_08920
ko:K02357	abw:BL01_08925
ko:K03154	abw:BL01_09220
ko:K03089	abw:BL01_09230
ko:K04085	abw:BL01_09235
ko:K03704	abw:BL01_09240
ko:K03732	abw:BL01_09245
ko:K00057	abw:BL01_09260
ko:K08296	abw:BL01_09265
ko:K02461	abw:BL01_09270
ko:K02462	abw:BL01_09275
ko:K00254	abw:BL01_09280
ko:K03558	abw:BL01_09285
ko:K00764	abw:BL01_09290
ko:K00090	abw:BL01_09305
ko:K09117	abw:BL01_09315
ko:K02970	abw:BL01_09320
ko:K01409	abw:BL01_09325
ko:K06923	abw:BL01_09335
ko:K00822	abw:BL01_09375
ko:K00140	abw:BL01_09380
ko:K11735	abw:BL01_09385
ko:K03821	abw:BL01_09440
ko:K03312	abw:BL01_09445
ko:K06923	abw:BL01_09450
ko:K01934	abw:BL01_09480
ko:K03549	abw:BL01_09845
ko:K01173	abw:BL01_09855
ko:K06188	abw:BL01_09870
ko:K02500	abw:BL01_09885
ko:K02204	abw:BL01_09890
ko:K01814	abw:BL01_09920
ko:K02501	abw:BL01_09935
ko:K01693	abw:BL01_09940
ko:K18118	abw:BL01_09965
ko:K07638	abw:BL01_09970
ko:K07659	abw:BL01_09975
ko:K06959	abw:BL01_09980
ko:K01673	abw:BL01_09985
ko:K01740	abw:BL01_09995
ko:K15725	abw:BL01_10045
ko:K15727	abw:BL01_10050
ko:K15726	abw:BL01_10055
ko:K16264	abw:BL01_10060
ko:K16235	abw:BL01_10090
ko:K01885	abw:BL01_10110
ko:K08160	abw:BL01_10410
ko:K03652	abw:BL01_10465
ko:K10563	abw:BL01_10470
ko:K03769	abw:BL01_10475
ko:K03282	abw:BL01_10485
ko:K06207	abw:BL01_10490
ko:K16345	abw:BL01_10495
ko:K00564	abw:BL01_10500
ko:K11733	abw:BL01_10505
ko:K14415	abw:BL01_10510
ko:K03286	abw:BL01_10520
ko:K08084	abw:BL01_10525
ko:K00626	abw:BL01_10530
ko:K04750	abw:BL01_10535
ko:K00381	abw:BL01_10550
ko:K00117	abw:BL01_10555
ko:K07267	abw:BL01_10560
ko:K00626	abw:BL01_10575
ko:K01782	abw:BL01_10580
ko:K11068	abw:BL01_10605
ko:K03070	abw:BL01_10620
ko:K11754	abw:BL01_10645
ko:K01963	abw:BL01_10650
ko:K01695	abw:BL01_10655
ko:K07044	abw:BL01_10665
ko:K01696	abw:BL01_10680
ko:K01817	abw:BL01_10685
ko:K16092	abw:BL01_10690
ko:K00798	abw:BL01_10695
ko:K09790	abw:BL01_11295
ko:K03758	abw:BL01_11315
ko:K00116	abw:BL01_11335
ko:K02167	abw:BL01_11350
ko:K02168	abw:BL01_11355
ko:K02168	abw:BL01_11360
ko:K11103	abw:BL01_11385
ko:K11931	abw:BL01_11400
ko:K11936	abw:BL01_11405
ko:K03811	abw:BL01_11420
ko:K06989	abw:BL01_11485
ko:K01652	abw:BL01_11495
ko:K01462	abw:BL01_11515
ko:K01425	abw:BL01_11520
ko:K08223	abw:BL01_11530
ko:K01785	abw:BL01_11535
ko:K00615	abw:BL01_11560
ko:K00615	abw:BL01_11565
ko:K00548	abw:BL01_11570
ko:K03306	abw:BL01_11575
ko:K01753	abw:BL01_11580
ko:K10857	abw:BL01_11945
ko:K03760	abw:BL01_12130
ko:K02014	abw:BL01_12135
ko:K02014	abw:BL01_12185
ko:K03832	abw:BL01_12190
ko:K03561	abw:BL01_12195
ko:K03559	abw:BL01_12200
ko:K03559	abw:BL01_12205
ko:K18144	abw:BL01_12485
ko:K18143	abw:BL01_12490
ko:K03543	abw:BL01_12600
ko:K01069	abw:BL01_12615
ko:K02072	abw:BL01_12620
ko:K02071	abw:BL01_12625
ko:K02073	abw:BL01_12630
ko:K01945	abw:BL01_12635
ko:K00602	abw:BL01_12640
ko:K03557	abw:BL01_12645
ko:K02687	abw:BL01_12655
ko:K03495	abw:BL01_12665
ko:K07395	abw:BL01_12695
ko:K01775	abw:BL01_12700
ko:K02939	abw:BL01_12710
ko:K02963	abw:BL01_12715
ko:K02990	abw:BL01_12720
ko:K02300	abw:BL01_12730
ko:K02299	abw:BL01_12735
ko:K02298	abw:BL01_12740
ko:K02297	abw:BL01_12745
ko:K09773	abw:BL01_12760
ko:K00925	abw:BL01_12765
ko:K13788	abw:BL01_12770
ko:K01424	abw:BL01_13060
ko:K06173	abw:BL01_13065
ko:K02518	abw:BL01_13075
ko:K00052	abw:BL01_13090
ko:K01704	abw:BL01_13100
ko:K01703	abw:BL01_13105
ko:K08311	abw:BL01_13135
ko:K08484	abw:BL01_13140
ko:K03782	abw:BL01_13145
ko:K09765	abw:BL01_13160
ko:K09927	abw:BL01_13170
ko:K03449	abw:BL01_13175
ko:K11892	abw:BL01_13205
ko:K11893	abw:BL01_13210
ko:K11902	abw:BL01_13215
ko:K11907	abw:BL01_13220
ko:K03286	abw:BL01_13230
ko:K11890	abw:BL01_13235
ko:K11891	abw:BL01_13240
ko:K11895	abw:BL01_13250
ko:K11896	abw:BL01_13255
ko:K11897	abw:BL01_13260
ko:K11903	abw:BL01_13265
ko:K11900	abw:BL01_13270
ko:K11901	abw:BL01_13275
ko:K02050	abw:BL01_13290
ko:K02049	abw:BL01_13295
ko:K02051	abw:BL01_13300
ko:K07722	abw:BL01_13310
ko:K11746	abw:BL01_13330
ko:K01941	abw:BL01_13335
ko:K09967	abw:BL01_13340
ko:K17938	abw:BL01_13945
ko:K01754	abw:BL01_13950
ko:K07001	abw:BL01_13955
ko:K03310	abw:BL01_13960
ko:K07552	abw:BL01_13980
ko:K00380	abw:BL01_13995
ko:K09790	abw:BL01_14040
ko:K09977	abw:BL01_14045
ko:K01439	abw:BL01_14055
ko:K02660	abw:BL01_14070
ko:K02659	abw:BL01_14075
ko:K02658	abw:BL01_14080
ko:K02657	abw:BL01_14085
ko:K01881	abw:BL01_14105
ko:K09946	abw:BL01_14110
ko:K06193	abw:BL01_14115
ko:K06980	abw:BL01_14130
ko:K03981	abw:BL01_14135
ko:K07088	abw:BL01_14145
ko:K01338	abw:BL01_14160
ko:K00783	abw:BL01_14165
ko:K00262	abw:BL01_14180
ko:K03616	abw:BL01_14185
ko:K10773	abw:BL01_14190
ko:K00939	abw:BL01_14200
ko:K05515	abw:BL01_14215
ko:K08316	abw:BL01_14220
ko:K03192	abw:BL01_14225
ko:K03189	abw:BL01_14230
ko:K03767	abw:BL01_14840
ko:K03687	abw:BL01_14870
ko:K04043	abw:BL01_14880
ko:K01589	abw:BL01_14905
ko:K01588	abw:BL01_14910
ko:K09922	abw:BL01_14920
ko:K02558	abw:BL01_14925
ko:K05794	abw:BL01_14940
ko:K01487	abw:BL01_14960
ko:K00760	abw:BL01_14970
ko:K03981	abw:BL01_14980
ko:K03650	abw:BL01_14995
ko:K03217	abw:BL01_15000
ko:K08998	abw:BL01_15005
ko:K03536	abw:BL01_15010
ko:K02914	abw:BL01_15015
ko:K02313	abw:BL01_15020
ko:K02338	abw:BL01_15025
ko:K03629	abw:BL01_15030
ko:K02470	abw:BL01_15035
ko:K15536	abw:BL01_15040
ko:K06158	abw:BL01_15050
ko:K15724	abw:BL01_15070
ko:K09001	abw:BL01_15080
ko:K01866	abw:BL01_15085
ko:K00261	abw:BL01_04045
ko:K00425	abw:BL01_04055
ko:K00426	abw:BL01_04060
ko:K09909	abw:BL01_04080
ko:K07078	abw:BL01_04085
ko:K03110	abw:BL01_04090
ko:K07390	abw:BL01_04130
ko:K01265	abw:BL01_04145
ko:K03311	abw:BL01_04150
ko:K02768	abw:BL01_04175
ko:K08483	abw:BL01_04175
ko:K11183	abw:BL01_04175
ko:K00882	abw:BL01_04180
ko:K02769	abw:BL01_04185
ko:K02770	abw:BL01_04185
ko:K00117	abw:BL01_04220
ko:K03321	abw:BL01_04230
ko:K01556	abw:BL01_04250
ko:K04762	abw:BL01_04285
ko:K03565	abw:BL01_04295
ko:K00677	abw:BL01_04305
ko:K02372	abw:BL01_04310
ko:K02536	abw:BL01_04315
ko:K06142	abw:BL01_04320
ko:K07277	abw:BL01_04325
ko:K11749	abw:BL01_04330
ko:K00099	abw:BL01_04335
ko:K00981	abw:BL01_04340
ko:K01126	abw:BL01_10700
ko:K08997	abw:BL01_10715
ko:K07664	abw:BL01_10720
ko:K07642	abw:BL01_10725
ko:K00799	abw:BL01_10750
ko:K02014	abw:BL01_10775
ko:K01876	abw:BL01_10785
ko:K07276	abw:BL01_10835
ko:K00826	abw:BL01_10840
ko:K00982	abw:BL01_10845
ko:K07568	abw:BL01_10860
ko:K03744	abw:BL01_10870
ko:K00773	abw:BL01_10875
ko:K03210	abw:BL01_10880
ko:K03072	abw:BL01_10885
ko:K03074	abw:BL01_10890
ko:K13038	abw:BL01_10895
ko:K03630	abw:BL01_10900
ko:K07053	abw:BL01_10910
ko:K06190	abw:BL01_10915
ko:K09780	abw:BL01_10920
ko:K15461	abw:BL01_10930
ko:K09767	abw:BL01_10940
ko:K10806	abw:BL01_10950
ko:K03672	abw:BL01_10955
ko:K00382	abw:BL01_10975
ko:K01130	abw:BL01_11600
ko:K07400	abw:BL01_11610
ko:K01673	abw:BL01_11630
ko:K10804	abw:BL01_11635
ko:K02003	abw:BL01_11640
ko:K02004	abw:BL01_11645
ko:K03814	abw:BL01_11655
ko:K00937	abw:BL01_11660
ko:K04761	abw:BL01_11670
ko:K05297	abw:BL01_11680
ko:K04567	abw:BL01_11700
ko:K03608	abw:BL01_11715
ko:K03609	abw:BL01_11720
ko:K03610	abw:BL01_11725
ko:K03656	abw:BL01_11745
ko:K15778	abw:BL01_11755
ko:K00930	abw:BL01_11760
ko:K09801	abw:BL01_11785
ko:K06186	abw:BL01_11790
ko:K03711	abw:BL01_11795
ko:K02670	abw:BL01_11800
ko:K02669	abw:BL01_11805
ko:K06997	abw:BL01_11810
ko:K03547	abw:BL01_11825
ko:K06996	abw:BL01_11835
ko:K07071	abw:BL01_11845
ko:K03153	abw:BL01_11850
ko:K01698	abw:BL01_11855
ko:K03543	abw:BL01_11865
ko:K03446	abw:BL01_11870
ko:K00681	abw:BL01_11875
ko:K00657	abw:BL01_12210
ko:K01638	abw:BL01_12215
ko:K06916	abw:BL01_12220
ko:K01591	abw:BL01_12240
ko:K05788	abw:BL01_12250
ko:K02945	abw:BL01_12255
ko:K00945	abw:BL01_12260
ko:K03648	abw:BL01_12280
ko:K01737	abw:BL01_12285
ko:K02460	abw:BL01_12290
ko:K02459	abw:BL01_12295
ko:K02458	abw:BL01_12300
ko:K02456	abw:BL01_12305
ko:K03424	abw:BL01_12315
ko:K02676	abw:BL01_12320
ko:K02341	abw:BL01_12325
ko:K00979	abw:BL01_12330
ko:K00912	abw:BL01_12335
ko:K11085	abw:BL01_12340
ko:K03559	abw:BL01_12345
ko:K03561	abw:BL01_12350
ko:K03501	abw:BL01_12365
ko:K07102	abw:BL01_12375
ko:K04744	abw:BL01_12380
ko:K03771	abw:BL01_12385
ko:K01624	abw:BL01_12390
ko:K00927	abw:BL01_12400
ko:K09966	abw:BL01_12405
ko:K18146	abw:BL01_12475
ko:K18145	abw:BL01_12480
ko:K01676	abw:BL01_12775
ko:K03544	abw:BL01_12790
ko:K01358	abw:BL01_12795
ko:K03545	abw:BL01_12800
ko:K16090	abw:BL01_12805
ko:K01649	abw:BL01_12815
ko:K00641	abw:BL01_12820
ko:K02428	abw:BL01_12835
ko:K07088	abw:BL01_12840
ko:K03116	abw:BL01_12845
ko:K03117	abw:BL01_12850
ko:K03118	abw:BL01_12855
ko:K07093	abw:BL01_12860
ko:K07093	abw:BL01_12865
ko:K13292	abw:BL01_12875
ko:K07304	abw:BL01_12905
ko:K03559	abw:BL01_12910
ko:K03561	abw:BL01_12915
ko:K03832	abw:BL01_12920
ko:K01433	abw:BL01_12925
ko:K00154	abw:BL01_12935
ko:K02902	abw:BL01_12940
ko:K02913	abw:BL01_12945
ko:K03455	abw:BL01_12950
ko:K03657	abw:BL01_12975
ko:K03168	abw:BL01_12990
ko:K03745	abw:BL01_13010
ko:K15738	abw:BL01_13015
ko:K02517	abw:BL01_13025
ko:K11102	abw:BL01_13035
ko:K00133	abw:BL01_13045
ko:K09967	abw:BL01_13345
ko:K07126	abw:BL01_13380
ko:K11263	abw:BL01_13390
ko:K07160	abw:BL01_13405
ko:K11904	abw:BL01_13435
ko:K07025	abw:BL01_13445
ko:K08195	abw:BL01_13480
ko:K02517	abw:BL01_13490
ko:K03555	abw:BL01_13515
ko:K05524	abw:BL01_13525
ko:K12542	abw:BL01_13555
ko:K12541	abw:BL01_13560
ko:K12543	abw:BL01_13565
ko:K06861	abw:BL01_13570
ko:K09774	abw:BL01_13575
ko:K11719	abw:BL01_13580
ko:K03270	abw:BL01_13585
ko:K06041	abw:BL01_13590
ko:K01883	abw:BL01_13595
ko:K08995	abw:BL01_13610
ko:K03188	abw:BL01_14235
ko:K03187	abw:BL01_14240
ko:K01428	abw:BL01_14245
ko:K01429	abw:BL01_14250
ko:K01430	abw:BL01_14255
ko:K03190	abw:BL01_14260
ko:K01637	abw:BL01_14280
ko:K03300	abw:BL01_14300
ko:K09965	abw:BL01_14310
ko:K00956	abw:BL01_14315
ko:K00957	abw:BL01_14320
ko:K08167	abw:BL01_14335
ko:K00059	abw:BL01_14355
ko:K00626	abw:BL01_14360
ko:K00616	abw:BL01_14375
ko:K11250	abw:BL01_14380
ko:K05782	abw:BL01_14390
ko:K07507	abw:BL01_14395
ko:K01531	abw:BL01_14400
ko:K07275	abw:BL01_14440
ko:K16088	abw:BL01_14445
ko:K03760	abw:BL01_14450
ko:K09895	abw:BL01_14480
ko:K01262	abw:BL01_14485
ko:K03185	abw:BL01_14490
ko:K06895	abw:BL01_14515
ko:K05596	abw:BL01_14520
ko:K07056	abw:BL01_14530
ko:K13779	abw:BL01_15700
ko:K11731	abw:BL01_15705
ko:K13778	abw:BL01_15710
ko:K13774	abw:BL01_15715
ko:K03457	abw:BL01_15775
ko:K01738	abw:BL01_15800
ko:K02346	abw:BL01_15845
ko:K07273	abw:BL01_15850
ko:K06966	abw:BL01_15860
ko:K09858	abw:BL01_15870
ko:K08369	abw:BL01_15880
ko:K02621	abw:BL01_15885
ko:K01897	abw:BL01_15890
ko:K01507	abw:BL01_15905
ko:K00297	abw:BL01_15985
ko:K15125	abw:BL01_16275
ko:K03710	abw:BL01_16310
ko:K09936	abw:BL01_16330
ko:K09936	abw:BL01_16335
ko:K00058	abw:BL01_16350
ko:K00799	abw:BL01_16380
ko:K01256	abw:BL01_16385
ko:K00878	abw:BL01_16400
ko:K13652	abw:BL01_16405
ko:K01826	abw:BL01_16410
ko:K13954	abw:BL01_16420
ko:K00138	abw:BL01_16435
ko:K03735	abw:BL01_16445
ko:K03736	abw:BL01_16450
ko:K01951	abw:BL01_16455
ko:K01886	abw:BL01_16460
ko:K03768	abw:BL01_16465
ko:K03269	abw:BL01_16470
ko:K10679	abw:BL01_16480
ko:K02221	abw:BL01_16500
ko:K00286	abw:BL01_16505
ko:K04075	abw:BL01_16510
ko:K01962	abw:BL01_16515
ko:K01524	abw:BL01_16520
ko:K03671	abw:BL01_16525
ko:K03628	abw:BL01_16530
ko:K04764	abw:BL01_16540
ko:K01890	abw:BL01_16545
ko:K01889	abw:BL01_16550
ko:K13888	abw:BL01_16845
ko:K05685	abw:BL01_16850
ko:K00208	abw:BL01_16860
ko:K13288	abw:BL01_16870
ko:K06949	abw:BL01_16875
ko:K03071	abw:BL01_16890
ko:K06133	abw:BL01_16895
ko:K09458	abw:BL01_16905
ko:K00059	abw:BL01_16910
ko:K00647	abw:BL01_16920
ko:K07107	abw:BL01_16945
ko:K01745	abw:BL01_16950
ko:K02078	abw:BL01_16975
ko:K02078	abw:BL01_16980
ko:K03977	abw:BL01_16995
ko:K17713	abw:BL01_17000
ko:K01892	abw:BL01_17010
ko:K02656	abw:BL01_17025
ko:K06941	abw:BL01_17030
ko:K00940	abw:BL01_17035
ko:K03797	abw:BL01_17055
ko:K01207	abw:BL01_17060
ko:K00147	abw:BL01_17075
ko:K00131	abw:BL01_17080
ko:K00851	abw:BL01_17085
ko:K03299	abw:BL01_17090
ko:K01625	abw:BL01_17095
ko:K01690	abw:BL01_17100
ko:K11936	abw:BL01_17120
ko:K07262	abw:BL01_17715
ko:K01733	abw:BL01_17720
ko:K00003	abw:BL01_17725
ko:K03981	abw:BL01_17730
ko:K04763	abw:BL01_17735
ko:K04758	abw:BL01_17740
ko:K04759	abw:BL01_17745
ko:K01925	abw:BL01_17755
ko:K03588	abw:BL01_17760
ko:K01894	abw:BL01_17765
ko:K06204	abw:BL01_17770
ko:K03651	abw:BL01_17775
ko:K01515	abw:BL01_17780
ko:K03147	abw:BL01_17785
ko:K03298	abw:BL01_17800
ko:K12340	abw:BL01_17805
ko:K02039	abw:BL01_17810
ko:K01755	abw:BL01_17820
ko:K08082	abw:BL01_17825
ko:K08083	abw:BL01_17830
ko:K01749	abw:BL01_17835
ko:K01719	abw:BL01_17840
ko:K07107	abw:BL01_17855
ko:K02463	abw:BL01_17865
ko:K02452	abw:BL01_17870
ko:K02453	abw:BL01_17875
ko:K01091	abw:BL01_17885
ko:K01657	abw:BL01_17890
ko:K02614	abw:BL01_17990
ko:K02617	abw:BL01_17995
ko:K02616	abw:BL01_18000
ko:K16235	abw:BL01_18760
ko:K01665	abw:BL01_18765
ko:K12410	abw:BL01_18795
ko:K02437	abw:BL01_18800
ko:K09912	abw:BL01_18820
ko:K07862	abw:BL01_18830
ko:K00817	abw:BL01_18860
ko:K00013	abw:BL01_18865
ko:K00765	abw:BL01_18870
ko:K00790	abw:BL01_18875
ko:K00286	abw:BL01_13655
ko:K03704	abw:BL01_13665
ko:K03601	abw:BL01_13705
ko:K07213	abw:BL01_13750
ko:K05549	abw:BL01_13760
ko:K05550	abw:BL01_13765
ko:K05784	abw:BL01_13770
ko:K05783	abw:BL01_13775
ko:K05782	abw:BL01_13780
ko:K05548	abw:BL01_13785
ko:K16872	abw:BL01_13795
ko:K03578	abw:BL01_13800
ko:K03386	abw:BL01_13805
ko:K03387	abw:BL01_13825
ko:K00799	abw:BL01_13835
ko:K07004	abw:BL01_13840
ko:K03439	abw:BL01_13845
ko:K00799	abw:BL01_13850
ko:K01465	abw:BL01_13865
ko:K00609	abw:BL01_13870
ko:K12297	abw:BL01_13880
ko:K03743	abw:BL01_13890
ko:K03695	abw:BL01_13895
ko:K07397	abw:BL01_13910
ko:K05520	abw:BL01_13925
ko:K07460	abw:BL01_14535
ko:K03426	abw:BL01_14550
ko:K13893	abw:BL01_14570
ko:K13894	abw:BL01_14575
ko:K13895	abw:BL01_14580
ko:K13896	abw:BL01_14585
ko:K02014	abw:BL01_14595
ko:K03683	abw:BL01_14605
ko:K01465	abw:BL01_14610
ko:K01940	abw:BL01_14620
ko:K00219	abw:BL01_14625
ko:K06911	abw:BL01_15510
ko:K06901	abw:BL01_15535
ko:K12262	abw:BL01_15545
ko:K03470	abw:BL01_15555
ko:K03563	abw:BL01_15560
ko:K00928	abw:BL01_15565
ko:K01872	abw:BL01_15570
ko:K00134	abw:BL01_15575
ko:K02502	abw:BL01_15580
ko:K01939	abw:BL01_15585
ko:K07098	abw:BL01_15620
ko:K03665	abw:BL01_15635
ko:K01525	abw:BL01_15655
ko:K02528	abw:BL01_15660
ko:K00097	abw:BL01_15665
ko:K02871	abw:BL01_15670
ko:K02996	abw:BL01_15675
ko:K03599	abw:BL01_15680
ko:K03600	abw:BL01_15685
ko:K13777	abw:BL01_15695
ko:K00948	abw:BL01_16000
ko:K02013	abw:BL01_16020
ko:K02015	abw:BL01_16025
ko:K02016	abw:BL01_16030
ko:K13979	abw:BL01_16035
ko:K02688	abw:BL01_16115
ko:K14393	abw:BL01_16130
ko:K00154	abw:BL01_16140
ko:K03781	abw:BL01_16155
ko:K03885	abw:BL01_16210
ko:K11747	abw:BL01_16250
ko:K02887	abw:BL01_16570
ko:K02916	abw:BL01_16575
ko:K02520	abw:BL01_16595
ko:K01868	abw:BL01_16600
ko:K00666	abw:BL01_16605
ko:K09889	abw:BL01_16610
ko:K08485	abw:BL01_16615
ko:K06958	abw:BL01_16620
ko:K01918	abw:BL01_16625
ko:K00606	abw:BL01_16630
ko:K00950	abw:BL01_16635
ko:K00970	abw:BL01_16640
ko:K02237	abw:BL01_16645
ko:K00951	abw:BL01_16660
ko:K03215	abw:BL01_16665
ko:K07501	abw:BL01_16670
ko:K12339	abw:BL01_16675
ko:K07678	abw:BL01_16680
ko:K09710	abw:BL01_16700
ko:K00325	abw:BL01_16710
ko:K00324	abw:BL01_16715
ko:K00324	abw:BL01_16720
ko:K05539	abw:BL01_16740
ko:K01681	abw:BL01_16765
ko:K03424	abw:BL01_16770
ko:K02837	abw:BL01_16785
ko:K00053	abw:BL01_16810
ko:K01653	abw:BL01_16815
ko:K01652	abw:BL01_16820
ko:K01869	abw:BL01_16830
ko:K03643	abw:BL01_16835
ko:K02340	abw:BL01_16840
ko:K02835	abw:BL01_17160
ko:K02493	abw:BL01_17165
ko:K15554	abw:BL01_17170
ko:K15553	abw:BL01_17175
ko:K01895	abw:BL01_17195
ko:K01633	abw:BL01_17215
ko:K01546	abw:BL01_17225
ko:K01547	abw:BL01_17230
ko:K01548	abw:BL01_17235
ko:K07646	abw:BL01_17240
ko:K07667	abw:BL01_17245
ko:K09470	abw:BL01_17250
ko:K06134	abw:BL01_17260
ko:K09800	abw:BL01_17275
ko:K01682	abw:BL01_17285
ko:K10716	abw:BL01_17295
ko:K03576	abw:BL01_17315
ko:K06183	abw:BL01_17330
ko:K06177	abw:BL01_17345
ko:K06925	abw:BL01_17350
ko:K03572	abw:BL01_17355
ko:K00791	abw:BL01_17360
ko:K01912	abw:BL01_18005
ko:K00074	abw:BL01_18015
ko:K15866	abw:BL01_18020
ko:K01692	abw:BL01_18025
ko:K02613	abw:BL01_18030
ko:K02612	abw:BL01_18035
ko:K02611	abw:BL01_18040
ko:K02610	abw:BL01_18045
ko:K02609	abw:BL01_18050
ko:K02618	abw:BL01_18055
ko:K01752	abw:BL01_18060
ko:K12658	abw:BL01_18100
ko:K03298	abw:BL01_18110
ko:K09712	abw:BL01_18125
ko:K13639	abw:BL01_18130
ko:K03321	abw:BL01_18145
ko:K00019	abw:BL01_18175
ko:K11928	abw:BL01_18180
ko:K03719	abw:BL01_18185
ko:K13821	abw:BL01_18190
ko:K07397	abw:BL01_18225
ko:K00615	abw:BL01_18230
ko:K00789	abw:BL01_18235
ko:K07113	abw:BL01_18250
ko:K03823	abw:BL01_18260
ko:K01159	abw:BL01_18270
ko:K01012	abw:BL01_18285
ko:K05358	abw:BL01_18290
ko:K05808	abw:BL01_18885
ko:K03092	abw:BL01_18890
ko:K01628	abw:BL01_18910
ko:K01714	abw:BL01_18915
ko:K11103	abw:BL01_18955
ko:K02358	abw:BL01_19030
ko:K03543	abw:BL01_19045
ko:K07345	abw:BL01_19080
ko:K07347	abw:BL01_19090
ko:K07345	abw:BL01_19165
ko:K17103	abw:BL01_17430
ko:K07115	abw:BL01_17435
ko:K07394	abw:BL01_17440
ko:K00024	abw:BL01_17455
ko:K01166	abw:BL01_17460
ko:K08309	abw:BL01_17465
ko:K06168	abw:BL01_17470
ko:K07042	abw:BL01_17480
ko:K03832	abw:BL01_17485
ko:K03816	abw:BL01_17500
ko:K03809	abw:BL01_17505
ko:K07058	abw:BL01_17510
ko:K07078	abw:BL01_17535
ko:K09806	abw:BL01_17625
ko:K04752	abw:BL01_17630
ko:K03320	abw:BL01_17635
ko:K07738	abw:BL01_17640
ko:K11752	abw:BL01_17645
ko:K07318	abw:BL01_17650
ko:K00793	abw:BL01_17655
ko:K02339	abw:BL01_17670
ko:K01255	abw:BL01_17675
ko:K07091	abw:BL01_17680
ko:K11720	abw:BL01_17685
ko:K15633	abw:BL01_17690
ko:K03797	abw:BL01_17695
ko:K02667	abw:BL01_17700
ko:K02668	abw:BL01_17705
ko:K09857	abw:BL01_18380
ko:K06192	abw:BL01_18385
ko:K03808	abw:BL01_18390
ko:K03808	abw:BL01_18395
ko:K09758	abw:BL01_18405
ko:K03762	abw:BL01_18425
ko:K07347	abw:BL01_18440
ko:K07346	abw:BL01_18445
ko:K04754	abw:BL01_18465
ko:K02454	abw:BL01_18500
ko:K02014	abw:BL01_00875
ko:K01462	abw:BL01_00885
ko:K04096	abw:BL01_00895
ko:K07566	abw:BL01_00900
ko:K00432	abw:BL01_00925
ko:K02114	abw:BL01_00935
ko:K02112	abw:BL01_00940
ko:K02115	abw:BL01_00945
ko:K02111	abw:BL01_00950
ko:K02113	abw:BL01_00955
ko:K02109	abw:BL01_00960
ko:K02110	abw:BL01_00965
ko:K02108	abw:BL01_00970
ko:K02116	abw:BL01_00975
ko:K09815	abw:BL01_00980
ko:K09823	abw:BL01_00985
ko:K09817	abw:BL01_00990
ko:K09816	abw:BL01_00995
ko:K05834	abw:BL01_01000
ko:K07223	abw:BL01_01005
ko:K00027	abw:BL01_01015
ko:K01887	abw:BL01_01020
ko:K00799	abw:BL01_01030
ko:K07397	abw:BL01_01035
